3an jadd	en dʒˈɛd
ستيتين	sɛtajɨteːn
سجادة	tɛrdʒʃɛtɛ
سجادة الحمّام	sˈgiːdit ælˈħæmˈmɑː
سجارة	sigara
سحلب	sˤħælæb
سطل	satʊl
سفنجة	zfendʒe
سقف	sˈaf
سكايب	skajp
سكربينة	skarbiːne
سلة	sɛle
سلطعون	saltɑːn
سما	sˈama
سمان	sɛmmen
سمانة	saɓmeːni
سمسمية	sɛmsmɛʁi
سمعنا انو علقت خناءة كبيرة بالشارع بين المتظاهرين	smaʕna ʔan ʕal tixnɪːqah kbeːrɑ bʔeʃʃariːʕ baːjn ælmæðæˈzæːrĩːn
سمك	samæk
سمكة	samk
سمكة حرّه	sɑmkɑ ħara
سناب شات	snɑpʃʰɑt
سنة	sene
سنسول	sensuːl
سنية	sˈaː
سهرانة	sħroni
سوا	a
سواقة	sˈeɪ
سوبرماركت	zupɛrmarkɛt
سود	sud
سور	sʊr
سوقوا	sˈuː
سيء	sˌaɪˈjɛ
سيئ	sajː
سيدة حاريصا	sˈɑːjɪdˈt ħɑriːsˈɑ
سيشوار	sˈʃˈvɑːr
سيكارة	θigara
سينما	tʃampo
سَهل	sæɦæn
سَوْدا	sau̯da
سْطُولِة	stulɛ
شاريو	ʃarjoː
شالو	ʃɛlo
شامبو	ʃampˈo
شاورما	ʃɑʋɛrma
شاپو	tʃapˈpɔ
شبابيك	ʃbeˈbik
شباك	ʃibˈek
شبّاك	ʃˈɛdtbk
شتي	ʃɪtɪ
شجر	ʃɛdʒaɾ
شجرة	ʃɑdʒɑɾɑ
شجعانا	ʃadʒona
شختورة	ʃɑxtˈura
شخص	ʃɑxˈs
شرسة	ʃɛrse
شرشح	ʂɤŋ˥˩ʂx˨˩˦
شرشف	ʃæɾʃɒf
شركة	ʃɛrke
شركتنا	ʃɛrkʲɛtnæ
شط	ʃɒt
شط البحر	ʃɑtˁ albʃɑr
شعيبيات	ʃaibijˈe
شغل	ʃɛgæl
شغيل	ʃɣˈiːl
شفرة حلاقة	ʃafra tˤɑħlaːʔa
شفه	ʃffe
شقة	ʃɪ̞
شك	ʃak
شلال	ʃɑːlˈlɑːl
شلونك	ʃlɔnɑk
شمس	ʃɛms
شمسية	ʃamsɛjˈe
شمسية الشط	ʃɛmsieː tøstʃtʃɑt
شنتاية	ʃɛntɛj
شنكليش	ʃɛnglʲiʃ
شهر	ʃæhɐ̃r
شهور	ʃoːr
شو اسمَك	ʃuː ʔɪsmak
شو اسمِك	ʃuː ɪsmɪk
شو بتأمر؟	ʃu tɛmɔ
شو بتعملي	ʃub tɛŋynle
شو دخلك	ʃuː d xalˈak
شواشي	ʃoˈvɑːʃi
شوبان	tʃuːbæn
شورت	ʃɔːt
شورت السباحة	ʃuːr tɪsˈbiːħɑ
شوفاج	ʃofaːt
شوي	ʃue
شي غيرو	ʃiɣɛro
شيز لونغ	ʃɪɑː ˈɪz ˈlɔːŋ
شيش طاووق	tʃiʃta vu
شَنْتَة	ʃanta
شُبَاط	ʃuboɫ
صابون	sabun
صابونة	sabuˈnˈɛ
صاحبتي	sħbti
صاحية	sɑːhje˩˥ː
صار لازم يوصل هلَّأ	sɑr leːzim juːsɑl hɛlːɑ
صالون	salaː
صباح الخير	sˈbˤɑːħ ælˈxæːr
صباط	sobot
صبي	sˈaˈbe
صبية	sɔbie
صحح	sˈɑħˈɑħ
صححت	sˤɑhˈɑħˈit
صحرا	sˈɑhˈrɑ
صخر	sɑqɯ̞r
صخرة	sɑχra
صخرة الروشة	saxre tər raw ʃe
صخور	sxuːr
صدر	fˈɑðɚ
صدف	sadʌf
صدفة	sˈadafˈe
صدورة فروج	snˈoːrət fˈœrrˈuːr
صرصور	sarsu
صفر	sʊfəɾ
صفوف	sfʊˈɛ
صنارة	sɔnˈnoɾa
صنارة صيد	su nori tseːd
صهري	sɑhˈri
صوء	sˈu
صوابين	sɑwɑbiːn
صوبيا	soːbjja
صور	sˈuɾ
صورة	sɔu̯ra
صوريلي ياها	sauɾiːliːjɑːhɑ
صوفا	soːfˈa
صيدا	sajda
صيدلية	sajd̪ð̞alejkje
صيف	sˈeɪf
صيّاديّة	seˈjadɪjeˈ
صَفْرا	sofra
صُدْرِيِّة	sudrege
ضربو	dabo
ضغري	dˈɣri
ضهر	bɛhr
ضو	dau̯
ضو الحمّام	dawː ælħamim
ضو الشمس	toɫu ʃams
ضو القمر	dɑugɛl ɑmɑr
ضوجة	dodʒe
ضيعة	lˈdˈʕa
ضيوف	djuː
طابة	tɒbe
طابق	tɔbi
طابق تحت الأرض	tɑːbiː taħt ælˈɑɾd
طاقية	tˈɔ̃ˈɛvʁ
طالعو	tolo
طاولة	tawle
طبخ	tˈop
طبخو	tɑːbɑːx
طبيعة	tɑbiːʕɑ
طحينة	tˁiːni
طريقة	taːriːə
طلعلي	dˤlˤʕf
طلِّع	tˤɑlˤɑʕ
طوابع بريد	tɑwɑb ʕberiːd
طوابق	tɔbɪ
طواية	tʊɫojæ
طولي بالك	be ləkˈlˈɛ
طوّل	tɔwɑltɔwɑlɑ
طيارة	tojjare
طيب رح آخدا	tɑjˈb raħ ɑːxta
طيرو	tajˈɟɑj
طيّارَات	qijaret
ظروف	zʊɾuːf
ظريف	zæɾiːf
ظَرْف	zaras
ظِلّ	zl
عادةً	ɑːdaːtˈvɑːn
عاصفة	asve
عالعافية	alʕaf
عامال	ʕaml
عاملو	ɑŋ
عانو	oann
عايز	ajɛjez
عايزة	ˈaɪ
عبيط	abˈeːt
عبيطة	abita
عجأة	adʒa
عجأة سير	æʒ ɪts sæɹ
عدد	adet
عدمة	ʔɑːdɑmɪ
عذبو	ɑːnzæbæd
عرق	ara
عرق سوس	aðə ʔuz
عشان	ɑːʃæn
عشان هيك	ɑʃæːn hejk
عشرة	aːʃrɑ
عشرين	həʃˈrin
عطلة	atlɛ
عظمو أزرق	ɑtˈmw ɑzˈrɑ
عظيم	ʔaziːm
عكلن	akulle
علامة	ælɑmɑ
على راسي	aɾɔsi
على فِكْرَة	ala fukɾɔ
على قد لحافك مد رجليك	ɑll ʔɑdˈlˤɑ ħɑːfɑk mɪdrɣklɪk
على قلبك	ɑlˈbɑtˈl
علية	ɑlɪ
علّق	ɑllɑtˈ
عم امزح	ʕaŋˈb ɪmzˈah
عم بشرب قهوه	ãn bɑʃ aːɾotʰáː hoʝɑ
عم بمزح	ɑŋdɯn zah
عم تثلج	ɑːmto tloːtʃ
عم تستلمني	aːm tɪ stɪlɪmmni
عم تستلميني	ʕam tɪsˈtəlmɪnˈi
عم تمطر	ʕaːmt matˤar
عملة	allɛ
عمول مَعروف	ɑmɑl maːruːf
عمولة	aːmul
عموم	ʁˈɛmˈɔ̃
عمِلي مَعروف	ɑːmˈl maʕruːf
عن جَدّ	ɑndʒæd
عنا	ɑnˈnɑ
عناية	ajneʲɛ
عنجد	ʁandʒaːt
عنجر	ʁˈɑd
عندك	ʁɑndak
عندكم	ɑːnˈd̪akʊl
عنده	ando
عندها	anˈdɒ
عندهم	anton
عندي	aɦndi
عندي خَبَر مُفرح	ɑn di xabɑr mofærd
عنيفين	ʕaniːfiːn
عوامة	ogɛmɛ
عوينات	auˈeɪnˈɑt
عيران	ai̯ɾn
عيطيلو	ajtilo
عيطيلو لخيّك يجي يتغدى	ʕaħil lˈxɑjː kdʒaːjɑ tɣadːa
عيلة	ˈæile
عين	aʕiːn
عينو بيضا	ʕaːjɪn beːtˤɑ
عينو محمرّة	ajnɔ mɑʃmɑdɾɑ
عيون السيمان	a iunis jmeɛn
عَ طول	ʔaːtwl
عَجايب	aːdʒaːe
عَجْقَة	aʒa
عَزَمني عَلَى عُمَّاد بِنتُو	ʔaːzɪmni ʔalaː umɛd bɪntu
عَكِل حال	ɑnɑkˈl ħɑːl
عَلَى مَا يَظهَر هُوِّ مُش رَاضي عَنَّا	aːl ɛmɛjjɯz far hubo moʃ ʃolijanːa
عَلّاقة	aːlɑʔ
عَيْلِة	ai̯lə
عُمَّاد	ommed
غابة	ɣɔbe
غارْسون	gaʁsɔ̃
غالي	ɣˈeˈle
غالية	ʁeˈelje
غامِق	ɣɑːmɛ
غبرة	ɣ̞atɾa
غذائية	ʔizɑʔiː
غرفة القعدة	ɣarfeet ælʕaʕdi
غرفة القياس	ʁɯ̞rfʲitɫʲɪ ɪ̞jɪ̞s
غرفة النوم	ʁyrfit ə nɔm
غرقو	ɾɔzɑrɔv
غريبة	ħræjbæ
غطا	ɦatːa
غلبتك معي	ɣalptak maʕi
غنية	ɾɑɣanliːne
غوص	ʁˈɔs
غوغلز	gagɛlʲs
غيمة	ɣˈaʎimˈɛ
غيوم	ʁiˈum
غَبَرَة	ɣəpra
غُرَر	ɣuɾar
غُرُف	ɣroːf
غُرْفة الكَراكيب	ɢɑrfat ælkɑrɑːkɪb
فاتحة	fˈatːʁa
فاتورة	sjtˈurˈa
فاريا	fãɾɐjˈa
فاريا مزار كفرذبيان	fɑrɑ jɑmzɑr kɛŋɛrdɛ pɛn
فاهم عليك؟	fæˈhemmele
فتحة	fatˈʁa
فتوش	fˈatˈtˈɔs
فتّوش	fatːuːʃ
فراطة	frata
فراغ	fæɾɑːɣ
فرج	fərˈt
فرحان	fərxɑn
فرحة	farˈʃa
فرشاية التواليت	fɾʃ tɑtˈwalɑt
فرشاية السنان	fɛrʃɛjtɛst nejn
فرشاية الشعر	fɛrʃeːtɛʃ saːr
فرشاية سنان	fɛrʃɛj tɛst nɛn
فرصة	fursa
فرن	fɯ̞rɯ̞n
فريزر	frˈiːsər
فريق	fɑriː
فساد	fesed
فستقية	fɛstˈeje
فقرا	fˈɑːrɑ
فقير	faiːr
فكاهي	fukˈeɾi
فكاهية	fokˈahˈeɪ
فكر	fɛkˈkɛrfɪkˈkər
فكرة	fˈɪkɾad
فلافل	falaːfæl
فلفل	fɛlˈfɔːn
فليبرز	fəlˈpɚz
فليكر	flikˈœ
فن	fˈɛn
فنان	fˈɛnˈiːn
فواتير	fwɐ̃tˈiɹ
فواكه	fweke
فول	fouːl
في	fˈi
في احتمال	fiː ɑħtɑmɑn
في عرض على جوانح الدجاج	fiː ʕɑrd ʕalˈlɑ dʒwajn ħɑdˈʒɑʒ
في مطعم قريب؟	fiː matˁaʕm ʔaɾiːb
في منّا عقياسي؟	fiː mɛnˈnaː ɪaːsi fiː mɛnˈnaː ɪaːsi
فيد	fʔiːd
فيروز	tˈɛjɾˈuz
فيس بوك	fˈeɪsbˌuʃ
فيك	fˈiːk
فيك تجي؟	fˈik tˈˈge
فيك تساعدني؟	fiːk tˤɑsaʕadˈni
فيك تعيد يلي حكيت	fiːk tˤɑiːd jælˈlɑħæt
فيكي	fˈikˈe
فيكي تجي؟	fikɛteɣe
فيكي تساعديني؟	fiket sɛ aːdjene
فيني آخد كيس؟	fiːnjɾxd keis
فيِّى	fˈeʝˈe
فيّي جربو	fiʝe ʒarbo
فَرْشى	farʃa
فَوْق	fou˥
فَيّ	fˈaj
فُستُق حَلَبي	fɪstq hɑlɑbi
فِنانين	fˈɛnnˈɛmˈan
فیروز	feˈruːz
قادر	adɾ
قاعة	ɑː
قاعدة	aʕde
قاملو	amlɔ
قاموس	amuz
قبوعة	apːo
قتلو	atala
قدام	eðəm
قدس	ɒːdˈæst
قدم	ʔatːe
قراءة	tæˈrɑː
قراب	ɑqɾɑb
قرار	ɑrɑr
قرش	øɾyʃ
قرنبيط مقلي	ʔarnoːbɪt mɔʔɛ
قريبا	qɑriːbɑn
قريت	arənt
قزاز	zeːz
قشطة	aʃta
قشطلية	ostalegi
قضامة	aˈdɔmɛ
قضايا شائكة	adɑ jæʃæ ɪ̞kæ
قضية	adɯnɯ
قطايف	atajɛf
قطعة	tɑha
قعدو	ado
قفل	æfæl
قلب	ɑlɛm
قلبو أبيض	ɑlˈbɑ ɛbˈjant
قلبو أسود	ɑːl pɑːr ˈsæɔd
قلعة البحر	ælætæ ælˈbɑːħær
قلعة الرمل	ælˈʕit ælˈɾɑmæl
قلم	alˈm
قلو	ɑllæ
قليلاً	aliːnæm
قماش	mɪʃ
قمر	amɑr
قميص	ɑ̃iz
قناة باكيش	anɛt beːkis
قنّينة	anine
قهوة	ɦvæ
قهوة بيضا	ax vɨ bajda
قهوة تركية	aahutʃərkʲi jɛ
قهوة عربية	ɑhɑ ʕaʕa
قوس قزح	aw sʊˈrɑq
قِصَص	tojsɔːsˤ
كاتبات	kʰetʃbet
كاتبة	katbe
كاراج	garaz
كاسة	kesi
كاسك	kɑːsə
كاش	kaʃ
كاشييه	kasʃa
كان سايق بسرعة، عمل حادث	kajsajɑ bsˈraʕa ʕɑːm ælħadis
كان في عجأة سير مش طبيعية كرمال المهرجانات	kiːn fiː ʕadʒsˤɑːr mɪʃ tabiʕajː kɪrmɪl ælmæhɾdʒnaaːt
كان لازم	kˈɪn lˈæz hˈɪm
كان يا ما كان في قديم الزمان	kaːn jɑ makaːn fiː ʔiʕal zæmæn
كباية	kebeje
كبّ	kæmpa
كبّة	kibˈe
كبّة نيّة	ke benajɛ
كتب بالانكليزي	kˈɪtə bɪlˈlˈɪŋglˈiːsˈɛ
كتبو	katabum
كتير	ktiːr
كتير بحب البحر	ktiːr bħæb ælˈbɑʕr
كتير جوعانة، ما في مطعم قريب؟	ktiːr ʒuʕani maː fiː matˁaʕa ʔarib
كتير قليل	tiːr ʔaliːl
كتير قليل نشوفون سوا	ktiːr ʔæliːl ɪnsuːfuːn saʋa
كتير مجوي صار بدو تنضيف	ktʲir mɛdʒwaj sardʒaːddotun diːf
كراج	ˌɣarˈaʒ
كرسون	gæɾˈsɒn
كرسي	kɪ̞rsʲɪ
كره	kæɾˈe
كريب	gɾiːb
كريديت	kɾˈedit
كريم الشمس	krɛm ɪʃ ʃams
كريم للشمس	kræmˈlæʃ ʃams
كسلانة	kɒsɾˈniˈ
كعك بحليب	kɑːk ɑpˈhɑliːb
كعكة	kake
كفتة	kafˈtˈa
كل شي	kelkˈe
كل ما	kilma
كلاج	kldʒ
كلمة	klmɛ
كمية	ammeʝe
كنابية	kɛnɛbejɛ
كنافة	kniːfɪ
كنباية	kɛnɛbeːlɛ
كندرجي	kˌenˈdˈɐɾʊtʃɐi
كنيسة القديس يوحنا المعمدان	kænˈist ælˈdiːs jɑħˈn ælmɑːmɑːdˤiːm
كوريدور	kˌuɾidˈoɹ
كوسى محشي	kɔːsɑː maħʃiː
كويس	koies
كويسة	koːˈiːsi
كيس	kis
كيف فيِّى ساعدَك؟	kiːsː fiːjːeːs tʃeːrdɒk
كيفَك	kifak
كيفَك اليوم؟ انشالله منيح؟	kiːθ æk ɑljɑːm nʃɑl mniːħ
كيفِك	kifik
كيك بورد	kikːbɔːɹt
كَانُون ٱلْأَوَّل	kaːnwan ælˈʔawːn
كَلْسات	kaltˈsad
كَوني	kauˈni
كْرافات	kravˈat
لأ	lˈa
لأ ميرسي بِكَفّي هالقد	nɑ mɑrsˈj bkf ħadˈdˤ
لأ، أكيد عم تمزح	la akiɑ̃ tɛmzˈaħ
لأنّو	laannˈo
لا تقول لي ولا أقول لك	laː taˈlaː walaː ælˈlæk
لازم ندير بالنا عليك	lɑzm ɪndiːr bɪl nɑ ælˈk
لازمني	lɛzɨmni
لايف جاكيت	lˈaɪf dʒˈækɪt
لايف غارد	lajfgˈɑɾd
لبنان	lɛbnin
لبناني	lɛbnini
لبنة	lɛbne
لحم بعجين	laħma baʕan
لحمة	laħme
لحَْم الخِْنزْيِرْ	laħm ælˈkɑnˈziːr
لسانو أخضر	ɪlsɛnɑ ɑxtɑr
لعمدة	lˈˈamˈdˈe
لغة	luxa
للانحناء	naːlɑnˈħiːnaː
لمبة	lampa
لهجات	laħadʒɑt
لو بترد	lɔbɨ trɛt
لو بتطلع براسك شجرة	nɛɔk tʃotla vɨroːsɑ iʃɛ dʒana
لو سمحت	lo samaat
لو سمحت، فيك تساعدني؟	loː sɑmɑːχt fiːk tsɑːˈðni loː sɑmɑːχt fiːk tsɑːˈðni
لون	ln
لونيتتات الشمس	li nˈə tˈɛt e ʃamˈs
ليالي لبنان	ljɛɬjɛbnjɪn
ليش وجك أصفر؟	liːʃ vutʃk ˈasfɑr
لينكد إن	plˈɛŋkt ˈɛn
لَحالنا	laħɑlna
لَحاله	laːħɑːl
لَحالي	laħaːli
لَحالَك	laħaːlak
لَزّق	laza
لَيك	lək
لَيل	lˈeːb
مألعط	ɑmˈʔɑzˈʕat
مؤلف	muːʔ
ما اؤمن	ma ælˈmɛn
ما اجا حدا	maː ʒɑħadˤan
ما بحكي انجليزي	ma bˤɑħk ɑnglaz
ما بحكي لبناني	ma bɑħˈke ælbniːniː
ما بدي	maː pɛdːi
ما بدي ياها	maː bdiː jɑhɑ maː bdiː jɑhɑ
ما بفهم	nˈɛˈfˈæstˈɑˈrˈ
ما بقا بدِّي	mabaʔ ʔabadʔi
ما بقدر	maː ba'der
ما بقدر اوعدك	ma bɑtɛrɑwɑbɑk
ما بقى في ناقشك بهالموضوع مْسَكّر راسي من اللي صار اليوم	mɑ bɑ ʔafʁini ʃɑk bʁɑlmɑldu sɑkɪ̞r rɑsɪ̞mnjɪlɪ̞ sɑrɪ̞l jɔm
ما تقلق	matˈa la
ما تقلقي	maː taklaːjiː
ما حدا لحدا	maħad laħad
ما رح	mara
ما عاد	maʕad
ما علقّت	mæɦlˈeɪt
ما علقّت عالموضوع لأن بعرف ما في فايدة من التعليق	maʕallɑt ʕalmaːlduːa lɪʔun paʕraf maː fajdɑ mɪnɑ ʔaltʰæʕaliːʔ
ما عليك	maːlik
ما في حدا هون	maː fiː ħadˈde hɑːn
ما قدرت وصلت كان في عجأة كتير	maː ædæɾtˈt ɔsˈlɪt kɛn feːʕɑːʒ ɑkˈtˈiːr
ما لحقَّت	maː laːħqaːʔt
ما معي حقا	mæ maj ħaːʔaː mæːmaːj χɑːʔɑ
ما يهمك	maʝɯma
ماركت	markɛt
ماسك	mask
ماشي	mɛkɛ
ماشي، كل شي رح يكون بمحلو	maːʃiː kilˈʃiː rɑħjɛkwn æbˈmæˈhælg
ماي سبيس	mˈaɪ spˈeɪs
مايوه	majo
مباشرة	moboʃara
مبلا	ɛmbɛla
مبلى	æmbla
متأخر	metaχˈxər
متبّل	mtəbbal
متحف	matˈħæf
متحف بيروت الوطني	matˁaːf daːrɑːtˤ ælˈtˤɑni
متحف جبران	matˈhav ɣəbrˈɑn
متدايق	bɪ̞gːaːjɪ̞
متزوج	mitsɛlvɑjt
متزوجة	iːmɛtsaʊdʒɛ
متشابهة	mʃʃb
متعلم	mtʕælæm
متكاسلة	mʏ̞tkæslʲe
متل ما بدَك	mɪtɪl maː batːak
متمسح	mtɑmsɛʃ
متَل	matal
مثلاً	mæsælæn
مجدّرة	mʒɒtdɒɾɒˈ
مجلات بالانكليزي	maːɠɑllɛt bɛlˈlɛːnˈglˈɛzˈiː
مجمّد	mtʃɛmmɛn
مجوي	mˈəʒwˈe
محظوظ	maħzuːz
محل	mæˈhæl
محل الألعاب	mahæl ælælʕɑːb
محل الخضرا	maħæl ælχðˈra
محل الكتب	maħæl ælkɪtˈb
محلات الزريعة	mɑhɑlɑt æzriːʕa
محمية أرز الشوف	maː ħmiːt ɑrz æʃʃuːf
محمية أفقا الطبيعية	maː ħmiːt ɑfɑtˈtˤɑbɪʕjɑ
محمية اليمونة الطبيعية	maħmiːt æljæmːuːni æltæbʕiː
محمية تنورين الطبيعية	maħmiː ɑllænɾiːn ælˈtɑbʕiː
محمية جزر النخيل	maː ħmiːt dʒuzr mˈnɑxˈiːl
محمية حرش اهدن	maː ħmiː ʕmʕ ʔɑhˈdɑn
محمية شاطئ صور	mæhmiː ʃɑt sɔr
محمية مستنقع عمّيق	maːhmijaːh tɪm ɪstɑnɑː ɑːʕaː miːɑ
مخدات	mˈaχedˈe
مخدة	mˈɣadˈe
مخزن	mɑxzɑn
مدخنة	matʁɛnˈɛ
مدرقة	dˈɑrɑ
مدير	mʊdˈiɾ
مدينة	mʲedʲina
مراية	brɛjɛ
مربة	mˌɾˈɔpˌe
مرحبا	marabæ
مرض	mˈaɾot
مركز التسوق	margazetːa sɛwʋɛk
مركز شرطة	markaz ʃorto
مريض	məriːd
مزبوط	maszbut
مزنطر	ɑmzɑmtaʃ
مسا الخير	mæsæl χɛːr
مسابقة	sˈɛbɑː
مساعدة	msæːdæ
مسافة	masefe
مستعجل، ما عندي وقت	mɪstʕɑːgjɛl maʕ ʕanðe waːt
مستعجلة	mɪ̞sdɑːʒlɪ̞
مستعجلة، ما عندي وقت	mɪstʕiːddʒlɪ maːʕndi wajʔet
مستعجِل	mɪstˈʔadʒl
مستنقع	mʊ̞stɑnqɑ
مستوى	mustava
مستوي	nˈɛstʊi
مسجد محمد الأمين	mtsijaːh mɑhˈmːad ælˈmiːn
مسحو	nasaxo
مسلوق	mˌɑsliˈɔ
مسمكة	masyˈmˈakˈ
مش جاي عبالي	mʃtʃɑjɑːbeːliː
مش دايماً بس بالمناسبات بتجي بتعملنا زيارة	mɪʃ dɑjma baːs balʔomnisˈbaʔaːt btɑˈgib tʕamal nɑ ziˈʔara
مش صح	mʏ̞sːɑh
مش عارف	jˈmeɪ ʃˈɑm ɾaːf
مش عارفة	miːme̞ʃæɾfe
مش فارقة معي	me̞ʃfɑːr ɑːmæd
مش فاهمة	muːʃ fæhˈmiː
مش متديّن﻿	mɪʃ mətadʔia
مش مشكلة	mɪ̞ʃmʏʃʲɪkɫɪ̞
مش معقول	muːʃmaː ɒn
مش هيك	mʃæk
مشابه	ulʃæbʲ
مشابهة	mʃæbhæ
مشان	ʃɛn
مشاية البحر	maʃˈtˤ ɑːlbaħar
مشبك	qɯ̞mːʃæbäq
مشتاقةلك	nʃtɑtɑnnɑk
مشتاقلك	mɪʃtɑːʔlɑːk
مشروب	mɑʃˈrˈuv
مشط	mˈɑsˈɑt
مشكلة	mis
مشوّب	mʃau̯e
مصاري	mˈɑsˈæːrˈɛ
مصطرة	mˈastar
مصمم	elssammɛm
مضادة للإلتهاب	mdlˈlˤɑ ælˈtæhæb
مضحك	mʊtˁɑk
مضحكة	mʊdˈʁɑ
مضرايب	mdˈɔrɪb
مطبخ	mattvɑq
مطعم	matam
معاش	maɢaːʃ
معاشات	maʁaʃaʃa
معاملة	ˈɑmənˌeɪ
معتر	umhəttar
معجوقة بالقشطة	maːʕdʒuːʔa biaːlˈʃtˤa
معجون السنان	maːʒuːnɨ snin
معجون حلاقة	maʕdʒoːn ħlaħa
معجون سنان	maːʒuːnɨ snɛn
معدل	maʕadˤl
معرض الفنون	maʕrad dælfonoːn
معطل	maːtˤjˈrmˈaːt
معطلة	maː
معلق	mælˈlæ
معلقة	maʕadˤa
معلومات	maːlomet
معليش	malɛʃ
معلّم	maʕælæm
معلّمة	maʕalma
معلّمين	mæɕnɪmi
معمول	maʁmˈuːl
معمول مد بجوز	maʕmuːl madd bʒuz
معمول مد بقشطة	maʕmuːl maːduːb ʔiʃta
معنسة	mantse
مغارة	maɣara
مغارة جعيتا	mɣaːr tɑʔɑːtˤɑ
مغسلة	maqsælæ
مغلي	moːʁli
مغيم	mʁaʎnʲem
مغيّم	mʁajæm
مفتاح	nˈɛfˈtˈɛ
مفرّكة كوسى	mfaɾrakit kusa
مفير	nfɛjˈeɾ
مقادير	mæˈʔɑːtiːr
مقارنة	muʔaːrene
مقدرة	maðera
مقدرة مقكيرية	maː dirˈa maːkiriːa
مقروص	ruːsmˈaːruːs
مقطع	maktap
مقلوبة	mˈatʃluːbe
مكاتب	nakæːˈtɪr
مكافحات	mokafiħɑt
مكالمة	mkaːlaː
مكتب	maktˈab
مكتبة	maktʰab
مكتبة عامة	ma kətˈa bɑʕˈɑːmmə
مكدوس	mˈˈakduːs
مكركب	æmˈkæɾkæ
مكروه	mˈɑkrˌuː
مكروهة	vækroːɦæn
مكسّر	mjˈnkasar
مكنة	makana
مكواية	mˌekuˈeɪə
مكيف	mkajʝif
ملاك	balˈɛk
ملتهي	mɪltˈi
ملحمة	numˈsˈe
ملوخيّة	bluxie
مليون	maljˈuːn
ممكن أحكي معك	maːkin ɑħˈkɑmħɑ
ممكن إقعُد هون	mæn ke ɔːnʲtˈɔːn
مميزة	momæjnjæzæ
من فضلك	men fɑˈdˈlɑ
من مدة طويلة	min med tʊiːlɪ
من ناحية عامة	maːnˈnˤɑːħj ʕɑːm
من هيك	mæn hˈeːk
من وقت للتاني	maːn waːqa tlæɑ ðalɛːne
مناح	nˈɛ
مناقشة	maneaːʃe
مناقيش	neːˈiʃ
منبه	nˈabɪ
منحكي بعدين على رواق	naħk baʕaːdaːn ɑlɑ rwaq
منخار	bənˈxɑr
منشفة	mɑ̃safæ
منشفة الايدين	manʃˈfˈt ælˈiːdˤɛːn
منشفة الحمّام	man ʃft ælħæmæn
منشوفك	mɛnʃuːfˈak
منصيف	mˈɛnsˈaɪiːf
منطقي	mˈˈɑnt
منطقية	mæntɪ
منقوشة جبنة	man uʃɛ tʃɛbnɛ
منقوشة زعتر	man ɛʃit zaːtar
منقوشة كشك	mʲãn uːʃ ɪtkɪ̞ʃk
منور	nˈoʊwˈhiɹ
منورة	nouro
مني مهتم	mn maħtm
مني مهتمة	mn maħtm
منيح	mniːʰ
منيحة	niːxa
منيحة كتير	niː ħak tʃiːr
مهلبية	mɑhɛllɑbiː
مهمّين	mɑmmiːn
مواجه	mwotʃe
مواضيع	mˈovɒlˈdɒjev
موبايل	moːbɑːiːl
موت	mou̯t
موج	mau̯n
موجة	mau̯se
موجودة	mozɔdi
موسيقا	musia
موظف	moʁaszaf
موف	moːv
موقع إلكتروني	mo qɑl ɛlæktæɾˈniː
موقف	mˌoːf
موقف الباص	moːʔɛf ælbɑːs
مول	mˈɔl
موهبة	moʁibɛ
مي	maj
مياية	maːnjaːja
مية	mˈeiːe
ميكانسيان	maiːkenesiːeːn
ميني ماركت	mɪnjmaːrkɛt
مَا قِبِل يِيْجي مَعي	ma ʔabalʲe dʒɛmaʁi
مَبدَئيّاً	nɑfdaːiaːn
مَجْرود	mːədʒrːuːd
مَحْرَمة	maħramɛ
مَرَة	maɾa
مَسا الخَيْر!	mæsæl χeɾ
مَشافِي	maʃafi
مَشْفَى	mæʃfæ
مَعروف	maːruːf
مَيلات	majlˈeːt
مَيلِة	mele
مُوكيب	mukˈe
مِختِلِف	mʊ̞xtʊ̞læf
مِسِتْوية	mɪstujɛ
مِش فاضي حِكّ راسي	maʃ fɑːdi ħɛkrɑsɛ
مِش وَلا بُدّ	miːʃoːlaːbuːd
مِشْوار	mʃoɑr
مِكِنْسِة	mʲiknɛzɛ
مِن	mˈɛn
مْسَكّر راسي	ms ðˈɛkː ðˈɛɾ si
مْسَكَّر	msakːar
نار	nˈɔr
ناصيف اليازجي	nosi fˈil jˈɛzˈti
نام	nˈeːm
نام بكير كرمال تقدر توعى بكير	nɑm bkɛr kɛrmɛ tɑqdɑrtɔʕ bkɛr
نايت كلاب	nˈaɪtklˌʌb
نبرم	nɔpɾɔ
نبلّش	nˈvˈɛlːɛʃ
نبيذ	nˈbiːd
نتشر	ent̪as̺aɾ
نجمات	nɪdʒmɛt
نجمة	nɛʒme
نجمة البحر	nʒma ælˈbɑːhɑr
نجوم	dʒuŋ
نحنا	naħma
نزلو	nasɛlo
نساويين	nesˌviːn
نسي	dˈəseː
نشكر الله، كتير منيح	nuskɑr ɑllɑ ktiːr mniːʕ
نشكر الله، كتير منيحة	næʃkʰr ɑllɑ kæˈtɪr mniħɑ
نص	nos
نضارات	nˈɑtdˈɑrɑt
نطام	neto
نطرني	ɔːlɔːnɛ
نطرني بالقهوة اللي عالمفرق	anːtˤrˈniːb ælˈʔafli æljɑːm mafraːq
نظام	næzæm
نظفو	nˈottˈaˈaʊx
نعسان	nasen
نعسانة	naseˈne
نعسانين	nasemine
