1	iktɪ̞ʲik
имньыдыме	jɪ̞mnʲɪdʊ̞mɑn
имньыж	imnʲetɨ
имньыже	emnʲeʐa
имньыжым	imnʲeʐa
имньызе	imniz
имньыла	imn
имньылан	imnɛlan
имньым	imnˈim
имньын	ʲimnʲi
имнян	ɛmljoɾn
имнян лияш	ja pavʲerɨɫa lʲejaʂ
имняндӱр	imnjɛndur
имнянтӱр	imnjantur
император	ɪmpiratɔr
императрице	impʲeratrʲitsɨ
империализм	ɨnˈtɨɾˌiɐlˈˌizmɐ
империалист	impeɾialˈist
империй	imperi
империйысе	jmperiɛse
импорт	kimpɔɾt
импресарио	imprɛsario
импровизаций	improvizatsɨʲi
импульс	impuls
имываштӱр	imʊvaʃtyr
имывор	imɔvɔr
имыгол	imɑgwl
имыже	jimɨʐɛ
имым	vɨjavɨ
имыш	ijmuʃ
имышу	imˈoʃˈu
иналаш	ɯ̞nɑɫɑʂ
инан	tʃiːzinɒn
инанаш	iːnanaʃ
инандараш	jɪ̞nɑndɑrɑʒ
инандарымаш	ernadʒɑɾamaʃ
инандарымашан	ʁonondɑrmɑʂɑn
инандарыме	iːnɒndaːɾɒmɒ
инандарыш	jɯ̞nãndâɾʂ
инандарыше	kinadaːrɨʃ
инанен	ʲimnɑnɛn
инансыр	ð̞ĩŋanˈsɑr
инансырын	jɯnanzarɑn
инаныдымаш	jænɑnɯdɯmaːʃ
инаныдыме	ʲinɑnadama
инаныдымын	jinɑnɑdɑman
инаныман	ən
инаныме	inaːnɯmɯ
инаныше	inaðatʃa
инаугураций	inauguratsɨj
инаш	imɑʃ
инвалид	invalid
инвентаризаций	invintarizatsɨj
инверсий	ɪnbɪ̞ɾˈsiː
инверсиян	jnversian
инвестиций	invasˈtitsyj
инвестор	invɛstor
ингалятор	ĩŋgɐlˈatˈor
ингаляций	inˈgalˈatsiˈ
ингерманланд	ĩŋdʲɪrmɑnzaːnt
ингуш	iːnguʃ
индекс	ɪnˈdɪks
индексан	ɪndɛksoːn
индеш	i̠ndez
индешан	ɪnˈdɛʃɑn
индешарня	jˈnðˈɪsˈaɾnjˈɑ
индешарнян	i̠ndiʂɑrnʲɪɑn
индеше	i̠m̩ð̞ɦʃ
индешкугарня	ĩŋʲikɨlgɑrɲa
индешле	indɛsɫe
индешлу	iŋdɒʃɫoɦ
индешлуымшо	ʲintɪ̞ʂɫugɯ̞nsɯ̞
индешлымше	ænwɛsjɯmʁɯ̞mʁɯ̞
индешлын	iŋdæʃɫɑn
индешшӱдымшӧ	ʲintæ-ʂʏ̞ðʏ̞mʂɯ̞
индешшӱдӧ	iŋdɒsʉdø
индешымше	in̪d̪e̞ʃɛmʃɛ
индешын	ɪnvɛʃɐn
индешын-луын	ĩŋð̞eʃɨŋlõn
индешынек	ʲintɪ̞ʂɛnʲːɪ̞k
индивидуал	ˌiŋdivˌidwˈɑl
индивидуализм	ˌiŋdidˌuɐlˈizm
индивидуалист	ˌiŋdivˌiduˌɐlˈiʃt
индивидуум	jnð̞iβ̞ið̞uõm
индикатор	ɪnˈdikˈatɛr
индукций	jinduktsi
индус	ɪnˈdˈʊs
индустриализаций	ˌiŋdustɹˌiɐlizˈatsɨɪ
индустрий	iŋdˈusˌtˈɹi
индустрийысе	industriˈize
индустриян	industriˈan
индустрияҥаш	industriɐɛŋaʃ
индустрияҥдаш	ĩŋð̞ʊstɾiãn̪d̪aɾʒ
индустрияҥдымаш	ĩŋduztrʲijandɛmarʃ
индустрияҥмаш	ˌiŋdwstɾˈiɐ̃ˈeɾamˈaɾʒ
индустрияҥме	ɪ̞nːʊ̞stɪ̞rʲiːjɑːnbɪ̞
индустрияҥше	industriaʃe
индыбай	iŋd̪ɯpa
индыра	ɛndɪrɑ
индыралташ	ʲintɪ̞rɑɫtas
индыралтмаш	i̠nð̞ɯ̞rɑɫtmɑʁ
индыралтме	iŋdɯrɑltmi
индыралтше	ĩnd̪ɪ̞r̥aɫtʃ
индырат	ɪ̞ndɪ̞rɑ
индыраш	ɪnˈdɜɾas
индырен	ʲintʲɪrɪ̞n
индырчык	jɪ̞ndɪ̞rʲtʃʊ̞k
индырыкташ	ɪ̞ndɪ̞rʊ̞ktæʃ
индырымаш	ʲintɪ̞rɑmɑʂ
индырыме	ʲintiɾmɯ̞
индырыше	i�̞ɪnd̥ːarassˈɣ̞sʲ
инерций	jɪnˈertsɪ
инерциян	nertsian
инжектор	kʲinɣ̞est̪
инжекторан	inzẽkt̪orãn̪t̪
инженер	inɣ̞ɛn̪ieɾ
инженерлан	ʲinʐɨnʲerɫa
инжир	iːnziːr
инициал	iniːtsɪʲau̯
инициативан	iniːtsijɛtˈiːvɑːn
инициативе	insjɐtivɛ
инициативнын	ɪnʲitsɪʲaːtʲiu̯nən
инициативыдыме	ĩːtʃtʃɒtjɒvdɒmaː
инициатор	initsɪator
инкассатор	inkassatən
инквизитор	ɪŋkwɪzjtor
инквизиций	inkvizˈitsyj
инклинатор	inklʲinator
инкубатор	imkobatər
инкубаторысо	inkubatrɔsɔ
инкубаций	ɛnkubatsɨʲi
инноваций	ɫinnʊvɑts
иномарке	ʲinɐmarka
инспектироватлаш	ɪnspjɛkˈtɪrɔu̯aplɑʃ
инспектироватлымаш	inspʲektʲirʊvatɫumarʃ
инспектироватлыме	inspɛktirɔvɑtɫɛmɛ
инспектироватлыше	inspʲektʲiruvaatɫaʂɨ
инспектор	ɪ̞nspɛktɪ̞r
инспекций	inspetsij
инспекцийысе	ɪ̞nsbʲektsʲiʲizɪ̞
инстанций	jɛnstɑntsɪ
инстанцийысе	jɪnstɑntsʲiːse
инстинкт	ɪnstiːnkst
инстинктан	insdintan
институт	iŋstˈitˈwtˈɛ
институтысо	iŋʃtˈitˈutɐsˈɔ
инструктаж	instrukdaɾʃ
инструктажысе	instɾuptaːʒɨsɨ
инструктор	ɪnstɾˈuktɚ
инструкций	instruktsɨj
инструкцийдыме	jasdrugtsɨjda
инструкцийым	ɪnˈstɾukti
инструкцийысе	ɪnstrʊktsijɛsʲɪ
инструкциян	instruktsial
инструмент	instrumjɛnt
инсценироватлаш	iŋstɛnʲirɯvɑtɫɑʃ
инсценироватлымаш	insɪˈnˈɪrɑvɑtɫɯmaːʒ
инсценироватлыме	ʉnsrɛŋjrʊ̞wɑŋɯ
инсценировко	instsɛnʲirɔvka
интеграций	intɛgraːtsɪɪ
интегрирований	ɛntɛgrɪrɔvɐnˈi
интеллект	jintiːnlekt
интеллектан	kindɛlɛtɑn
интеллектдыме	jntjɾlektɪmɛ
интеллигент	intellˈˈigent
интеллигенций	intilligentsi
интендант	ɪntɪnˈdɑnt
интенсификаций	intensifikatsi
интерактив	ɪntɛrˈaktif
интеракционизм	intɛraktsʲionnʲism
интервал	ɨntɛrval
интервалан	intɛrvɑlɑn
интервалдыме	ĩŋt̪eɾβ̞ald̪emi
интервент	int̪eɾβ̞jẽn̪
интервенций	intervjɛntsiː
интервот	β̞ĩŋt̪eɾβ̞õːt̪
интервотлан	ɪ̞ntɪ̞rwʊ̞tɫɑn
интервотыш	intɛrvotaʃ
интервью	intervju
интервьюсо	intervjuso
интерес	intˈɛɾɪs
интересан	interesant
интересдыме	iŋtjɪrɪzðiɴɪ̞
интересоватлалташ	intiɾisɔvatɫɑɫtɑɾʃ
интересоватлалтмаш	ʲintiɾɯsɯbɑtlɑltmaːʃ
интересоватлалтме	ĩŋtjɪɾɯ̞sɑbɑtɫɑɑwtmɛ
интересоватлалтше	ɪ̞ntɛrɪ̞sɪ̞wɑtɫɑɫtʂɯ̞
интересоватлаш	intiɾɪsɪbɑtlaʃ
интересоватлымаш	intɛrɛsɔvɑtɫɯ̞mɑʃ
интересоватлыме	ĩntɪrɪ̞sɪ̞vɑtɯ̞ɫɯ̞
интересоватлыше	intɛrasɐvɐtɫɯʃɪ
интернат	ɪ̞ntɪ̞rnät
интернат-пӧрт	ɪ̞ntɪ̞rnætɪ̞rk
интернат-пӧртысӧ	iŋtɪrnɑtpɛrtɨsɪ
интернат-школ	iːnˈtɪrnˈatskɔl
интернат-школысо	ɛndɛrˈnatʃkɔlsɔ
интернатур	intiɾnatur
интернатурысо	intɛrnatursɔ
интернатысе	intɪ̞ɾnätɪ̞sɪ̞
интернационал	intɛrnɔtsial
интернационализм	jntɛɾnˈatsiˌɔnalˈizm
интернационалист	intɛrnatsɨjanalʲist
интернет	int̪ɛrˈnɛt̪
интернетысе	intɛrnɛtɨse
интерполятор	interpolator
интерьер	jntrjers
интерьеран	int̪ɪriɪrvɑn
интерьерысе	iŋtɪ̞rjɛrɪ̞lsæ
интонаций	intɔnatsɪj
интонациян	intonatsian
интриге	intrɪgɛ
интриговатлаш	ĩŋtɾigubatuɾas
интриговатлымаш	ĩn̪t̪ɾjɔkɑbat̪ɫamaʃ
интриговатлыме	intrigovatlɛme
интриговатлыше	intrigʊɫɑtɫʊʃɛ
интуиций	ɪn˥˥tsu˨˩˦i˨˩˦tsɯ˧
интуицийдыме	intuitsidme
интуициян	intuitsijan
интурист	emtuɾistɐ
инфаркт	jɛnfɑrt
инфекций	ɪnfektsiː
инфекциян	ɪnfɛktsɪˈoːn
инфикс	jnfˈiːqs
инфинитив	ɪnfinˈitiv
инфинитиван	initsjatavan
инфляций	ɪnflˈˈatˈtsiː
инфляциян	ĩːnpliːˈɾtsiːjarn
инфоресуршо	infʲarʲisursʲːa
информант	ɪnfɔrmað
информатизаций	jˈnfɔrmɐkizˈɐtsiɪ
информатике	jnformatjkɛ
информатикысе	tʲintfoɾmatikzɛ
информатор	tʃãn
информаций	infarmatsɪj
информацийысе	infɔrmatsiɛzɛ
информациян	jnfɔrmatsian
информбюро	ɪnfɔɾmbjʊɾɑ
инфраструктур	ɪnfrastrʊtˈtʊr
инфраструктуран	ɛˈnfrastrukturan
инфраструктурысо	ɪnfrastrʊ̞ktʊ̞rɯ̞sɑ
инцидент	intsedent
инцидентан	intsedientan
иныкташ	ĩŋakt̪az
инымаш	jɯˈnɯmaʃ
иныме	iːnama
иныше	ʲinɛʂæ
ион	hion
ионосфер	iːnˈæsfˈɪɾ
ионосферысе	tielnusfereze
иорданын	ɯ̞rðɑnin
ипай	kipaj
ипон	hjpon
ипотеке	ipoteke
ипподром	ipɔdɾɔm
ипподромысо	ipadromɨsau
иприт	ipɾið̞
ир	piu̯
иракаций	jɪrɑkɑtsɪj
иралаш	ɯ̞rɑɫɑs
иралт	iɾal
иралтараш	iɾaltaraʂ
иралтарымаш	bʲirɑɫtɑrɯ̞mɑʂ
иралтарыме	ɪ̞rɑɫtɑrɑmɑ
иралтарыше	pavʲerɨɫaraltaraʂa
иралташ	hʲiralt̪aʃ
иралтмаш	tʲirɑɫtmaʃ
иралтме	kɯ̞rɑɑɫtmɯ̞
иралтше	piraɫtʃ
иралтымаш	iɾaalt̪amas
иралтыме	iɾaɫtɯmɯ
иралтыше	iɾaɫtaʃa
иран	irɑn
ираш	ɪ̞rɑʂ
ирбай	ɾɑj
ирбулат	irbuɫät
ирвелчан	rɛfɛtʃɑn
ирвызле	bʲirvazɫʲ
ирвырляҥге	bɐrfɨrɫjɐngɐ
иргаза	ɪ̞rgʊ̞zɑ
иргеде	ɛrgɛda
иргубай	i̯rgubæj
иргыне	jʏ̞rgʏ̞nʲ
ирдар	ɨrdɑr
ирдуган	ɯrdugɑn
иримне	irɨmɲa
ирис	iris
ирйытын	ɪ̞rɪ̞jɑtɑn
иркалаш	irkɑɫɑʂ
иркален	bʲirkɑɫɯ̞
ирканай	i̠rkɑnäj
иркебай	ɪ̞rkʲɪbäj
ирланаш	ɫirlanaʂ
ирланд	ɪ̞rɫɑnt
ирланымаш	i̠rɫənʊ̞mɑʂ
ирланыме	ɯrɫaːnɑmɯ
ирланыше	i̠rɫɑnɯ̞ʒ
ирлаш	iɾɫas
ирлык	irɫɯ̞k
ирлымаш	bʲirɫɯ̞mɑʂ
ирлыме	bʲirwɑmɑ
ирлыше	irɫɑʃɯ
ирмамык	ʲirmamak
ирмераҥ	iɾmeɾan
ирмузо	jɛrmuzɐ
ирок	iro
ироний	irɔniː
ирониян	irfamiliaːn
ирпелчан	ɦɛrpɛutʃaŋ
ирпызле	ɒˈɾpizlɒ
иррационал	irrɛtsɪɐnav
ирсаш	bɪ̞ɾsɑʒ
ирсӧсна	irsøsnæ
иртуган	ɾtugɑn
ируржа	bolʲʂruxa
ирушкал	ji̠rʊ̞ʃkɑɫ
ирчара	i̠ɾtʃäɾːɑ
ирчиегайык	irqijɛkajɑv
иршогертен	iɾʃogɛrtɛn
иршӱльӧ	irʃulæ
ирылташ	ɾʊ̞ɫtɑʒ
ирылтмаш	bʲirɯ̞ɫtmɑʂ
ирылтме	kʲirɫtmɑ
ирылтше	irɔtʃɛ
ирымаш	ɦiːrɔmaʃ
ирыме	iroma
ирын	ʲirɨn
ирыше	jeroʂa
ирӱшкыж	iɾʊ̞ʂqɯ̞ʐ
ирӹктӓлтӓш	ʲirʲɪtæltaʃ
ирӹктӹмӹ	jʏ̞rʏ̞ktʏ̞mʏ̞
ис	is
исак	a
исаков	kʲiːzakov
исан	aɪsˈan
исанбай	esẽnbaʝ
исвичура	eswʲitʃura
исенеков	isənɛkof
исер	ɛsʲer
исерланаш	eseɾɾõn̪aʃ
исерланен	esɾɫanɯ̞
исерланыде	æsɪ̞rɫɑnɯ̞dɪ̞
исерланымаш	ʲisʲɪrɫɑnʊ̞mɑʂ
исерланыме	ʲisrɫanama
исерланыше	hʲisʲirɫɑnɯ̞ʂ
исий	esi
исилбай	esilbaj
исимет	esimˈɛt
исинбай	ɪ̞sʲinbɑj
иск	zk
искибай	ɪ̞skɪ̞βɑj
исключений	jˈeskɭuˌtʃiˈjni
искусство	ɪskuʃtwɔ
искусствым	isˈkʊstʊ
искуш	eskʊ̞ʃ
ислам	izlam
исламгарей	ɪ̞sɫɑmgɑrɑj
исланд	ɪslɑnd
ислибай	jsɫɪbɑj
исмай	tʃiːzimɪj
исменей	ɪsmɛne
исмерде	ɪ̞smɪ̞rðɪ̞
испан	ɪspən
испанке	ɪspankɪ
исполат	ɪ̞spɑɫɑt
исполком	ispokom
исполкомысо	kispɔɫkɔlmɯsɑ
исправник	nɨspravnʲik
испулат	a
испытаний	nɔmɛtpɛtaiɲːi
испытатель	ispɪtɑtɪm
истак	ɪstˈɑk
истерий	istɛriː
истерике	istɛrikɛ
истмат	istɒˈtˈ
историзм	istˌuɾˈizm
историй	istori
историйысе	istɔriːe̞s̻e̞
историк	istorik
источник	istotʃnik
истребитель	tʃiːzˈtɹɛbˈgjˈtˈɛl
истребительысе	istrɛbjtxlesj
истубай	ɪstubaj
исыр	eser
исырвондо	bolʲʂsʲirvonte
исырлык	kisɯɾɯoː
исырпеледыш	jsʲerpʲeɫɛdaʂ
ит	it
ит кай	itkaj
ит моктане	id moktane
ит нал	ʲitnau
ит шорт	it ʃoɾt
итай	iːtɑːiː
итальян	italiˈan
итальянке	italiˈanke
итвер	ʲitvʲer
ите	itɛ
ительмен	ɪ̞tjɪlmæn
ити	tiːtiː
иткей	ɪtkɛj
ито	ito
итыкай	ətɑkɑj
итылбай	ɪ̞tʊ̞ɫbɑj
ихтымбай	ʲiʲkɪtɑmbaj
ичъ	itʃ
иш	iʃ
иша	ɪˈʃɑ
иша [топоним]	pʲiʂa
ишак	kʲiʂɐc
ишалт	pʲiʂaɫ
ишалташ	izseltaz
ишалтмаш	bʲisau̯tmas
ишалтме	bɨʂaɫpna
ишалтмыла	bʲeʃɑɫtmɑ
ишалтше	pʲiʂaɫtʂɨ
ишалтымаш	kisalt̪amaɾs
ишалтыме	jʃaɫtɐmɐ
ишалтын	esaltɐ
ишалтыше	bʲetʂau̯tɨʂ
ишаньык	mʲiʂanʲik
ишат	bɪʃa
ишаш	kɯ̞ʃæʃ
ишен	ɪ̞ʂɛ
ишенат	ɪ̞ʃɪ̞nɑ
ишеныт	kʰonkajʂɛna
ишим	æʃɪ̞m
ишимбай	ɪ̞ʂɪ̞nbɑj
ишкан	iʃkɑn
ишке	ɪ̞ʃkɪ̞
ишкелде	iskelde
ишко	ɪ̞ʃkɔ
ишкылалташ	biʃkɯlɑɫtɑʃ
ишкылалтмаш	iʃkɯlɑɫtmɑʃ
ишкылалтме	iʃkɯlɑɫtmɯ
ишкылалтше	izkalaltʃ
ишкыланаш	ɪ̞ʃkɯ̞ɫɑnɑʂ
ишкыланымаш	ʃkɑlɑnɑmɑʃ
ишкыланыме	ibɒlɒnama
ишкыланыше	ʃkɯ̞ɫɑnɯ̞ʂ
ишкылаш	bizβ̞ɯ̞ɫɑs
ишкылен	ɪ̞ʃqɯ̞ɫɯ̞n
ишкылымаш	eskelamas
ишкылыме	iʃkɯ̞ɫɑmɑk
ишкылыше	iʃqɯ̞ɫɯ̞r
ишкысе	bʲisbɑs
ишмай	ɪ̞ʃmɑj
ишмет	hɪ̞ʂmæt
ишмурат	hɪ̞ʂmuɾat
ишналташ	esnalt̪ɐʃ
ишнаш	ɪ̞ʃnɑʃ
ишнымаш	iʃnɯ̞mɑʂ
ишныме	ʲiʂnama
ишныше	pʲiʂnɤɕɛ
ишпай	espai
ишпакей	espakej
ишта	ist̪a
иштай	ʃtaj
иштарен	ɪ̞ʃtɑrɛn
иштарыме	iʃtɑrɯ̞mɯ̞
иштерек	iʃtɛræt
иштубай	ɪˈstˈubˈaɪ
иштуган	istugan
иштул	iztɔl
иштыбай	ʃtabaj
ишумбай	iʃimbɑj
ишыктараш	iʃɪ̞ktɑɾɑʃ
ишыктарымаш	ʂɯ̞ktɑɾɑmɑʂ
ишыктарыме	nʲaʂɨbtarama
ишыктарыше	jisɨbdaraʂɨ
ишыкташ	izʃɪ̞ktärʃ
ишыктен	ɪ̞ʃɪ̞ktɛ
ишыктылаш	iʃɯ̞ktɑɫɑʂ
ишыктымаш	iʃɯcdɑmas
ишыктыме	eseʃtʃame
ишыктыш	is̺ɯ̞kt̪ɯ̞rs
ишыктыше	issekt̪eɾs
ишыман	ɪ̞ʃʊ̞mɑn
ишымаш	jɯ̞ʃɯ̞mɑʂ
ишыме	iʃimɨ
ишымышт	esɯzmɯz
ишынет	iʃɯ̞nɯ̞
ишышан	iʃiʃan
ишыше	eskɛ
июль	iːl
июльысо	iulɨso
июляш	iu̯lʲaʃ
июнь	iun˧˧
июньысо	iuniso
июняш	iuˈnjaʒ
ия	e̞jɒ
ияварня	ɟʝabãnʝa
ияварняшудо	javarnʲaʂude
иявондо	ijavunda
иявондым	javˈɔ̃d
иявулеж	numeɾojaβ̞olestʃ
иявуч	iavutʃ
ияголя	ˈjagˈulɑ
иягомыж	ðæɾgˈom
иягорем	jagɔrɛm
иягудо	ɪˈjagud
иязе	ijɯzɯ
ияк-пелак	ijakpʲelak
ияланаш	jɑɫɑnɑʃ
иялане	iʝɑlane
ияланымаш	iːjjalɑnɯmaːʃ
ияланыме	i̠jɑɫɑnɯ̞mɯ̞
ияланыше	ʲiʲɑɫɑnɯ̞ʂʲɪ
ияложаш	ɫoʐaʐ
иян	iːn
иянюго	ʲːanʲuba
ияраш	ijɑrɑʃ
ияргаш	ɯ̞järgäʃ
иярташ	jɑrtɑʃ
ияртыш	ɯ̞jɑrtʊ̞ʂ
иярчык	ijɑrtʃɯ̞k
ияш	iaz
ияшрак	ˈjaʃɾa
ияшудо	jaʂuto
ияҥаш	iʝɑŋɑʃ
ияҥдаш	jæŋdæʃ
ияҥде	iˈjɑŋdɛ
ияҥдымаш	iʲæŋdɯ̞mɑʂ
ияҥдыме	ijɑŋdɯmɯ
ияҥдыше	ijɑŋdʊ̞ʂɯ̞
ияҥмаш	kʏ̞nmɯ̞ʂ
ияҥме	iʝaŋmɑ
ияҥше	liːjˈænʃɪ
ияҥын	lʲŋ
иӓвонгы	b
иӓшуды	jaʃuˈða
йакталче	jaktɑɫtʃʲe
йивика	ʲavjka
йишӓн	lˈiːvən
йовыж	jɔvɐʒ
йовыжок	ioɾaʒok
йога	lɣa
йогалеш	ʝaʝaβ̞oleɾ
йогалын	ewgɑɫɯ̞
йогат	lɣa
йогаш	ioɣ̞as
йоген	lʲugʲæn
йогешташ	ioɣ̞est̪as
йогештмаш	iokemoʃ
йогештме	juɣeʃtma
йогештше	jɔgɛʃtʃɛ
його	lɛʁ
йогор	jɔgɔr
йогыде	ljˈokɯde
йогылана	jˈugɯlana
йогыланаш	jʊ̞gɯ̞ɫɑnɑʃ
йогыланен	jgɫne
йогыланенна	ɫgɯ̞ɫɑnɪ̞nnæ
йогыланымаш	iʊ̞ɢɯ̞ɫɯ̞nɯ̞mɑʂ
йогыланыме	jugɯɫoɑnɯmɯ
йогыланыше	jùɣɛɫanoʃe
йогылдал	juɣəlda
йогылык	jʊ̞gʊ̞ɫʊ̞k
йогыман	jɒgimiˈn
йогымаш	jɑʁɯmɑʃ
йогымо	jɔgɯmɯ
йогымыжо	jokomɨʐa
йогын	jɔɫgɯn
йогынан	jugʲɑn
йогынвӱдыш	jɔuːgɛnvˈʏɾdəʃ
йогынла	lgenɫ
йогынлык	jɔɫɯ̞nɫʊ̞k
йогынысо	elgʊˈnˈɑssɑ
йогыныш	lgɯnɯʃ
йогыш	ljˈogoʃ
йогышан	jˈuvʃaɪn
йогышо	lʲoɣaʂa
йогышт	jɔgɔ̞ʃt
йод	jod
йодам	jɔdɐ
йодан	ɛɔtan
йодат	jɔda
йодаш	judaʃ
йодаҥдымаш	ladaŋdamaʃ
йодаҥдыме	jodɑŋdɑma
йодаҥдыше	jɔdaːŋdaːsɑ
йодде	et̪d̪e
йоддеак	jˈʊdˈɛd
йоддегечак	jɔdɛgɪtʃɑ
йодедаш	joðedɐʃ
йодеш	ɛadɛs
йодкагаз	jɔtqalgaz
йодман	ludmɑ
йодмаш	jɔtmaʃ
йодмашан	ʲodmɑʂan
йодмашетым	takmaʂɛta
йодмашыжым	bɛtnɛtʃæʃa
йодмашысе	adzʲinadmaʂasja
йодмашышт	io˥˩ːdmo˥˩ːʃaʃ
йодмо	jɔdma
йоднеже	tutnes
йоднешт	iʝuðmɯ
йодо	jɔda
йодшан	køtsʃøz
йодшо	lʲotsʲa
йодыкташ	eɣiolaqtaʃ
йодылдалаш	judɯldalaʃ
йодылдаш	jɔnɔʎdæʃ
йодылтын	ləʏtɯlɯn
йодын	jɔdɨn
йодынам	jɯ̞dɯ̞nɑm
йодынат	jɯsɯna
йодынна	judunla
йодыныт	joðɯnɯ
йодыт	jɔd
йодыч	ɛjɔtɛtʃ
йодыш	judɐʃ
йодыш-влакым	jodatɨvɫakam
йодышан	iodɛsan
йодышем-влаклан	juðɯ̞ʂɪ̞mwɫäkɫɑn
йодышет	lʲodʂəʂɛtt
йодышлан	jodaʃɫo
йодышташ	jodatɨtɨ
йодыштман	jʊ̞dɯ̞ʂtmɑn
йодыштмаш	ɪɔdɔʃtʰnɔʃ
йодыштмо	jɔdɛʃtma
йодыштшо	jodsʲtsʲa
йодыштшын	jɔdɛstʃɐn
йодыштын	ʲodɛʂta
йодыштыт	ɛ̀ʊ̯dɛʃtɛ
йодышым	judɑʃɑm
йодышымак	ɛɔtɑʃumɑ
йодышысо	jɔdɛʃɨ
йодышышт	jodaʂaʂta
йож	joɾʃ
йожар	ɟəar
йожга	esba
йожгалык	bɛndʒɛɟalɨ
йожган	joʃgɑ
йожгата	jʊ̞rkɑtɑ
йожгаташ	aʝusgatˈaʃ
йожгатымаш	jʊ̞ʒgɑtɑmɑʂ
йожгатыме	joskvatɯ̞mɯ̞
йожгатыше	juʃbataʃ
йожгаш	esgãs
йожгашудо	bʲoʂʲaʂuða
йожгымаш	eʃɣimaʃ
йожгымо	joʃgɔma
йожгышо	joʐbɨʃ
йождаралташ	joʃdɑrɑlkɑʃ
йождараш	aʃdɑɾaʃ
йождарен	jʊ̞ʒdɒrɒn
йождарымаш	jøzdǎɾɯmas
йождарыме	jozdaɾəm
йождарыше	juʂdaːraʂɨ
йожек	ɪ̞ʲɪʒɪ̞k
йожек-важык	joʒɛkvatʃ
йожекла	ʲːoʂɛdɫa
йожеклана	juʐakɫona
йожекрак	joʒɛkra
йожекшинча	køʁʃkʃintʃa
йожекшинчан	lɛʃtʃʰɛn
йозак	jʊˈsɑk
йозакче	jozɑkˈtʃɯ
йозакшат	ɪ̞wsɑkʂa
йок лияш	jok lʲi jaʂ
йокма	jɔkma
йокмажат	ilqmɑʒa
йокмам	lukmɑm
йокнаш	lʲoknɑʃ
йокой	ljokoj
йокрок	ɛ
йокроклана	jʊ̞krʊ̞kɫɑnä
йокрокланаш	jɑqrɔpɫɑnɯʃ
йокрокланымаш	bʲekrɔpɫɑnɯmɑʃ
йокрокланыме	ɛpleirukɫanɯmɯ
йокрокланыше	jokrakɫanaʂ
йокрокло	jˈokɾˈoklʌ
йокроклык	k
йокроклыкым	jokrokɫokɑm
йокрокын	jʊ̞qɾʊ̞q
йоктара	joktara
йоктаралтын	jɯ̞ptɑrɑɫtɯ̞n
йоктарат	jʊ̞gtʊ̞rɑt
йоктараш	jʊ̞ktʊ̞rɑʃ
йоктарде	joktardɨ
йоктарем	jʊ̞ktʊ̞rʊ̞m
йоктарен	juxtare
йоктаренам	joktarɨnam
йоктаренат	joktarena
йоктареныт	jɯ̞ktʊ̞rɛn
йоктарыде	jɯ̞ktɑrɯ̞dɛ
йоктарыктен	jɯ̞ktɑrɯ̞qtæn
йоктарыман	juqtɑɾomɑt
йоктарымаш	jakt̪aɾɑmɑʃ
йоктарымашан	ɛɛtäɾɯmasaːt
йоктарыме	iktaɾama
йоктарымыжлан	jɯ̞ktɑrɯ̞mɯ̞ʁɫɑ
йоктарынешт	ɯ̞ptɑɾɑnɑʃt
йоктарыше	biztˈaːrɯz
йоктарышт	jʊ̞ktɑrʊ̞ʂt
йоктем	loktem
йоктемрож	ioxtemarɔtʃ
йокындараш	joqɯndɑrɑʃ
йокындарымаш	jɔqɯ̞ntɑrɯ̞mɑʂ
йокындарыме	ilkəntaːrɯ̞mɛ
йол	ɟɯɫ
йола	jʊ̞ɫɑ
йола-вала	jɔɫɑvɑɫæ
йолагай	jæɫægɑj
йолагайланаш	jʊ̞ɫɑgɑjɫɑnɑʃ
йолагайланымаш	jɯɫägɑjɫɑnɑmäʂ
йолагайланыме	jɒˈlɒgɒjˈlɒnimɒˈ
йолагайланыше	jɔɫɑgɑjˈɫɑnɯʃɯ
йолагайлык	lɑzɑjˈɫɯ
йолаже	iʝaʃ
йолазе	lwˈʁ
йолалалташ	lɑlɑɫt̪aɾ
йолалалтмаш	julɑɫoʊ̞mɑʂ
йолалалтме	lɑɫɑɫtmɯ
йолалалтше	jʊ̞ɫɑɫɑɫtʃɑ
йолалаш	lɑɫɑɾ
йолалташ	jʊ̞ɫɑɫtɑʂ
йолалтмаш	ilɑlkmɑʃ
йолалтме	jɯ̞ɫɑɑɫtmɯ̞
йолалтше	lɛltʃɛ
йолалымаш	lɑˈlɯmaːʃ
йолалыме	jɔɫɑɑɫɑmɑ
йолалыше	lɑɫɯ̞ʂʊ̞
йолан	jɔɫɑn
йолас	iˈɫɑs
йолаташ	jɑɫɑtɑʃ
йолатен	jɯ̞ɫätæn
йолатымаш	lataˈmaʃ
йолатыме	ɫatɯmɯ
йолатыше	lɑtɯ̞ʃɯ̞
йолаш	jʊ̞ɫɑs
йолашан	lɑʂɑn
йолашдыме	juɫɯ̞ʐtɯ̞mɯ̞
йолашым	køpɫaʃɯm
йолаҥаш	jʊ̞ɫɑnɑʂ
йолва	ɫ
йолвал	ɯ̞jɯ̞ɫβɑɫ
йолвалык	jɯ̞ɫmɑɫɯ̞k
йолвам	lvam
йолван	jʊ̞ɫvɑn
йолван-йолван	jʊ̞ɫʁɑnjɔ̞ɫbɑɾ
йолванӱштӧ	jʊ̞ɫʁɑnʏ̞ʂtɪ̞
