'	apostrof
chiffréierten	ʃefʁɛjˈɛtvˈɛ̃
chiffréierter	ʃiːfrˈøjɑːdˈɔ
chignon	synjˈɔ̃
chignonen	ʃun˩˦jɔːn˥˩
childerich	ʃældɑːɣʃ
chile	ʃˈile
chilen	ʃɛlɛn
chilenen	tʃɛlɛnɛn
chilenesch	ʃiːlɛnɛʃ
chileneschem	ʃˈilenˈəʃˈøn
chileneschen	ʃjɛlɛnˈɔ̃n
chilenescher	siˈjnˈəʃˈɑ̃
chilenescht	ʃleːnøst
chilenin	ʃɛlʲɪnʲɪm
chileninnen	ʃjleːn˧ːiːn˧ːɑn
chillen	tɕylˈn
chills	tʃʏlts
chillt	tʃylt
chimie	ʃimːiː
chimiescours	ʃimiʃkruːɛ
chimiescoursen	ʃemiʃkʊɾan
chimiesfabricken	ʃʏmmiːsfˌɑbɾiːkˌkɛɾn
chimiesfabrik	ʃemiʃfabɾiːk
chimiesfabréck	fˈɛmˈɛzfabˈʁik
chimiesfabrécken	xɪmmiːsfˌbriːkˌkɜn
chimiesprofesser	tʃəmˈizpʁofˈɛsɚ
chimiesprofesseren	ʃɛmizpɔfɛsɔɾɛn
chimiesprofessesch	ʃemɛjspɔfɛsʃ
chimiesprofesseschen	ʃˈɛmizpʁofˈɛsɚʃˈɛl
chimiesprofessorin	ʃɛmmisprɔfɛsoːrɪn
chimiesprofessorinen	ʃe̞mˈespʁofasoʁinˈɔn
chimiesproff	kəmˈɛslpʁˈofˈ
chimiesproffen	tʃˈɛmɪspɹˈoːfɪn
chimio	ʃtɨmˈlɛjo̞
chimioen	sʏ̞m˥˩lɛːn˧˥uːən˧˥
chimiotherapie	ʃeˈmiːdtʁaˈpʰi
chimiotherapien	ʃemioteraːpˈiːon
chimist	ʃemist
chimisten	ʃɛmɪstən
chimistin	semɪstɪm
chimistinnen	tʃemɪstʰiːn
china	ʃiːnɑ
chines	ʃinˈeɪz
chinesen	ʃinˈɛən
chinesesch	ʃˈeˈneɪzə
chineseschem	ʃenɛzɑʃɔːn
chineseschen	ʃiːnɪzˈɪʃˈɪn
chinesescher	ʃiːnɪzɪʃˈoː
chineseschsproocheg	ʃiːnɪzəʃbɔxəʃ
chineseschsproochegem	ʃenɪzɪˈʃbɔxɛgim
chineseschsproochegen	ʃiniːzɪʃbɔxɛʒɛn
chineseschsproocheger	ʃiːneˈsəʃpɔvˈxɔdʒɑ
chineseschsproochegt	ʃenˈizɒʃbˈoɾlxɒʃt
chinesescht	ʃiːnɪzɪtʃt
chinesin	tʃɪnɪzɪn
chinesinnen	sʲinɛzʲinɛn
chinéiert	ʃiːnɛjɑːt
chinéiertem	ʃiːnɛjjɑtɯːm
chinéierten	ʃiːnɛjjɒːtən
chinéierter	ʃiːnɛjatɑ
chip	dʒˈyp
chippen	tʃɪpɛn
chips	ʃyps
chipsen	ʃɪpsɛn
chipstut	ʃɪpˈtoːd
chipstuten	ʃɪpstʊɪtən
chirurg	fsˈɵvˈoɭʃ
chirurgen	ʃeʁuʁʒˈøn
chirurgie	ʃeʁuʁʒˈi
chirurgien	seʁɔʒiːɐ̃n
chirurgin	sɛʁwʁʒɛ̃n
chirurginnen	sjɛːrɔːʒɛːnɛːn
chlamydien	ʃlɑmiːdjɛn
chlamydien-infektioun	ʃlɑmɪdˈiːɾninˈfɛkːsɪɔn
chlamydien-infektiounen	slamiːtjɛninfɛktsɪoːn
chlodwig	klˈɔtvɛʃ
chlor	klˈɔx
chlordamp	klˈuɾdˈɔmb
chloroform	klˌɔrɔfˈɔɾm
chloroforméier	kloɾofɔɾmeːɾ
chloroforméieren	loɣofɔɾmɛjɑɁeːn
chloroforméiers	kloɾovoɾmajas
chloroforméiert	kloɣofɔɾmɛjɑt
chloroforméiertem	kloɾo̞fɔɾmˈɑjɾtˈɔm
chloroforméierten	kloɾofɔɾmɛjɔtɛn
chloroforméierter	kloɾofɔɾmɛjɔtɔ
chlorophyll	kloʁɔfˈy
choix	ʃuˈa
choixen	ʂuaɪ˥˥an˥˩
cholera	kɔllɔga
choleresch	kɒlɒiːɾeʃ
cholereschem	kɔlˈɛʁˈoʃˈɔm
cholereschen	kɔlɛʁʃɔn
cholerescher	kɒlˈhiːrʃɒ
cholerescht	koleˈrəʃt
choleriker	kɔleˈriːkɑ
cholerikerin	koleɾikaɾin
cholerikerinnen	kolerikarɛnɔn
cholesterol	koːlastˈɛroːl
cholesterolspigel	kɔlestɛɾɔɫʃpɛjʃɛl
chorale	kɔrˈol
chorallen	kogǎlːən
choreograph	kɔʁeˈʒʁˈf
choreographen	kɔɾɛɔgˈrˈafɔn
choreographie	koʁeɔgʁafˈi
choreographin	koːrɛogɾafin
choreographinnen	koɾɛɔgˈrˈafɪnˈ
chouer	kaua
choufleur	ʃˈuflˈˈœʁ
choufleuren	ʃoːfloːrən
chris philipps	tɾɪs fɛlˈɪp
christi himmelfaart	kˈɾɪstɛ hɛmmˈl faːd
christian	kʁistjˈɑ̃
christian kmiotek	kʁistjˈɛ̃ kmiotˈɛk
christiane	kɾˌɪstiːˈɑːn
christine	kɾɪstɪn
christine majerus	kʁistˈɛin mˈˈʒˈʁˈos
christophe	kɾˈɪstoːf
christophe hansen	kɾˈɪstoːf hˈɑnˈsˌaɪn
christus	kʁˈɪstʃ
chrom	hˈum
chromosom	koːmoːzoːm
chroméieren	χoːmɛjɑːgɯn
chroméiert	koːmːeːjat
chroméiertem	ko˩˥ːmɛˀːjatɔm
chroméierten	kɾˈomˈəjˈatˌtˌn
chroméierter	kromeiata
chroméiertes	koːmejːˈɒːtoːz
chroméierung	kɾˈɔməjɔkɾˈaɪ
chroméierungen	kɔmejɐgʊŋɛn
chronesch	xɔ̃ɔ̃s
chroneschem	kʁonˈeʃom
chroneschen	koːnˈøːʃˈɔn
chronescher	kˈɾˈɔnɪʃɛ
chronesches	koːnɑːʃˈɔz
chronescht	kʁˈɔnɔʃt
chronik	kʁɔnik
chroniken	kɾˈoːnɪçən
chronist	koˀnˈyst
chronisten	koˈnyˈstɒn
chronistin	koˈnɪstiːn
chronistinnen	koˈniːstiːnɔn
chrono	kɔːnɔː
chronologesch	kʁonoloʁʃ
chronologeschem	kɾˌonologˈəʃˈøːm
chronologeschen	kɾˌoːnˈoːlˌoːgˌiːʃən
chronologescher	kɾˌoːnˈoːlˌoːgɪʃə
chronologescht	kɔnɔlɔːgʃt
chronologie	kʁonoloʒˈi
chronologien	kʁonoloʒiˈɔ̃
chronometer	konometo
chronometeren	koˈnoˈmiːˈdøɾøn
chronometrage	kʁonometʁˈʒ
chronometréieren	kɾˈɔnˈɔmeˈtrˈɑjɑˈʁən
chronometréiert	koˀˢnoˀ˩ːmʲətɾøjˢat
chrysler	kɾˈɔøɪslˌɔ
chrëscht	ʁˈʃt
chrëschtaktioun	kwˈʃtaɣsˈiːõːn
chrëschtaktiounen	kˌʃtˈaːkzɪwˌnˈan
chrëschtalben	køʃgɑlbæn
chrëschtalbum	kɒˈʃtɒlbuˈm
chrëschtalbumen	kʏ̞ʂtɑɫbumɑn
chrëschtambiance	kˈœʃtɑ̃bjˈɑ̃s
chrëschtbam	kʃtbaːm
chrëschtbamkugel	kʰʃbɑːmkʰoːˈʁø
chrëschtbamkugelen	kɾœʃbɑːnkoːrəlˈoːn
chrëschtbasar	kɾuʃpɔzaː
chrëschtbasaren	krʊʃbˈɑzˈaːrɛn
chrëschtbeemchen	kʰʃtbeːmʃˈeːn
chrëschtbeemercher	kʃtbemoːˈʃɑː
chrëschtbull	krˈɛʃbˈɔl
chrëschtbullen	kɾˈɪʃbˈuːldɜn
chrëschtcadeau	kəˈʃtkaˈdoːo
chrëschtcadeauen	krˈʃtkˈɾˈdˈoːɛŋ
chrëschtconcert	kˈʁœʃkˈɑ̃sˈɛʁ
chrëschtdag	kˈʊtstˈar
chrëschtdagsalben	kast̪asalβ̞um
chrëschtdagsalbum	kostasalbum
chrëschtdagsalbumen	kǎʃgɛzɑɫbumɑn
chrëschtdagsbeliichtung	kɾʃtˈaˈɛsbəlˈiːçtʊŋ
chrëschtdagscadeau	kɑʃtʃiːziæzkɑːduː
chrëschtdagscadeauen	krosteæstkaːdoːən
chrëschtdagsconcert	koʃtɒˈɾɒskɒnˈse
chrëschtdagsconcerten	kʁˈʌstˈaːskˈɑ̃sɛʁən
chrëschtdagsdekor	kʃˈtˈæsdɒːe̞kouː
chrëschtdagsdekoratioun	kɑʃdæɾˈsdɛkoʁasjɔn
chrëschtdagsdekoratiounen	krˈuʃtəˈɛsdˌekɔɾasjˈoŋən
chrëschtdagsdekoren	kˈɾʃtastdekˈɔrən
chrëschtdagsfeier	kˈrʏʃtəˈɛsfˈɔøɜ
chrëschtdagsfeieren	kʏ̞ʂtɛsfʊ̞jɑɢɯ̞n
chrëschtdagsgeschenk	kɾˈʃtɜstgˈʊɐlʃaŋk
chrëschtdagsgeschenker	kʃtɛezkɛʃɛŋkɛ
chrëschtdagsgeschicht	kʃæstæstkˈʃeʃt
chrëschtdagsgeschichten	kɾˈʃtaelˈkeʃiʃtan
chrëschtdagsgeschäft	kˈɔʃtmˈɪtgəʃˈaft
chrëschtdagsgeschäfter	kʃtæsgʃaftɒr
chrëschtdagsiessen	kʃtˈeæzjesel
chrëschtdagskaart	kʃæʃte̞sˈɑːstgoʔt
chrëschtdagskaarten	krostaezkaːrtan
chrëschtdagskaddo	kʃtɑˈzˈkadoː
chrëschtdagskaddoen	kʃtaskatoɐn
chrëschtdagslidd	kʃæstærsəlaːd
chrëschtdagslidder	kʃtɒːsliːdɑː
chrëschtdagsprogramm	kɾˈʏʃtɜalspɾoːgɾˈam
chrëschtdagsprogrammen	køʃtˈɛspˈɾogɾˈɑmmən
chrëschtdagsprogrammer	kʌʃtˈemɒnpɾɒgɾˈamla
chrëschtdagsstëmmung	kɾˈʃtɜzʃtˈʏmʊŋ
chrëschtdeeg	kʃtˈeʃ
chrëschtdekoratioun	kɾœʃdekɔɾˌasjˈon
chrëschtdekoratiounen	kɾəʃdɛkoɾasjɔŋɛn
chrëschtdemokrat	kˈroʃdemɔkʁˈat
chrëschtdemokraten	kristˈɛmˌɔkɾatɔm
chrëschtenheet	kʁˈœsdˈiʁnˈɛt
chrëschtfeier	kɾˈʏstfˌaʏɜ
chrëschtfeieren	kɾˈʏʃtfˌaɪlɜin
chrëschtin	kɾʃtɛn
chrëschtinnen	kɾˈɪʃtɪnɔn
chrëschtkaart	kʁˈʃtkˈɛɾt
chrëschtkaarten	kʃæstkʰæxtin
chrëschtkaddo	kˈʁʃtkˈaɾdoʁ
chrëschtkand	kɾˈʃtkˈɑnt
chrëschtkëndchen	kɾaʃtqanʧɑŋ
chrëschtkënnercher	kʃkɐnɔːsjˈɔ̃
chrëschtlech	kəʃtlɑʃ
chrëschtlech sozial vollekspartei	kɾʏstlɪʃ zoːtsiːˈal fʊlɛŋz poːxtɔːiː
chrëschtlechem	kɾʃdlɒʃɾm
chrëschtlechen	kɒʃtlɒˈʃɒn
chrëschtlecher	kʃkloʃu
chrëschtlechsozial	kɾʏstlʏɛssɔtsiːal
chrëschtlechsozialer	krosklasotsiala
chrëschtlecht	kʃloʃt
chrëschtmaart	kʃtmæd
chrëschtmäert	kʃtmˈeːt
chrëschtnech	kʊ̞ʂnøːʃ
chrëschtnuecht	krostʃiamʃt
chrëschtnuechten	kɾʃtɛŋlˈʃtɛn
chrëschtvakanz	kɾʃt̪vˈɑːkɑːns
chrëschtvakanzen	kɾˈʏʃtvˈɑːɾkˈantən
chrëstnech	kɾʏstnøʃ
chèche	ʃˈœʃ
chèchen	ʃˈɛʃən
chéier	køːˈja
chômage	ʃomaz
chômage partiel	ʃumˈaʃ paʁsjˈal
chômagegeld	ʃo˩˥ːma˥˩ʃgɛlt
chômageindemnitéit	ʃomæʃændæmniːtɑːjd
chômageindemnitéiten	ʃumˈaʃʔɑntæmnitˈojton
chômagetaux	ʃumˈɑzto
chômeur	ʃomœʁ
chômeuren	ʃuːmˈuːrən
chômeuse	ʃoːlmyːz
chômeusen	ʃuˈmøzɛn
cibléier	si˥˩blɛja˥˩
cibléieren	siːblɛjaːgɛn
cibléiers	sebleias
cibléiert	seˈblˈøjad
cibléiertem	siːblɛjˈaːtˈøːm
cibléierten	siːblˈɛjˈatvˈɛn
cibléierter	siːblɛjata
cicatrice	tsyˈkaːtˈʁˈisˌ
cicatricen	tskaatɾisˈɔ̃n
cinquième	sɛ̀ŋkjɛm
cinquièmen	saŋkaman
cinquièmesschüler	senkejæmʃuːlɑh
cinquièmesschülerin	sɛ̃kˈeməsjˈølˈʁəin
cinquièmesschülerinnen	sˈɛ̃kˈiˈmsˈɛllˈœʁinˈɔn
cinéast	senˈeast
cinéasten	sˌɛnɛˈɔstˌɐn
cinéastin	sˌiniˈɑːzˈtiːn
cinéastinnen	seneostʃinun
circa	tsˈɪça
circuit	sɛʁkwˈˈ
circuiten	sɛʁkʁˈˈan
circulaire	sɛʁkəlˈɛʁ
circulairen	sɯɾkylɛren
circuléieren	sɪ̞rkʏlæjærðɯ̞n
circuléiert	sirkʏlæjɑːt
cité	sɛte
cité um schlass	sɪteː ʊm ʃlˈɔs
citéen	sʲiteːn
civil	tsiːvɪl
civillem	tsiːvɪllˈɑːm
civillen	tsɛɪ̃vɪllˈɑŋ
civiller	tsivɪlo
civilt	tsɛjvɛlt
claire	klˈɛɾ
clairefontainesplaz	klafɔ̃tɛnsplas
classeur	klˈɔsɚ
classeuren	klˈɔsœrən
classéier	klasaja
classéieren	klasajɑvɯ̞m
classéiers	klosˈoioˈs
classéiert	klɑsɑjɑt
claude	klˈoːt
claude adam	kloːt ˈɑːdəm
claude ganser	klˈoːd gˈɑːmsɜ
claude haagen	klˈoːthˈagˌɛn
claude lamberty	kloːt lˈambɛrtɪ
claude meisch	klɔd maʃ
claude turmes	klo tˈuʁməs
claude wiseler	kloːd vizɪloː
claudia dall'agnol	klaudia dal ɛaːn ʝol
claudine	klˈoːtən
clausen	klˈoːsən
clausener bréck	kloːsəntˌˈabˈrˈɛk
clavecin	klofsa
clavecinen	klˈɔftsˌaɪn
clavier	klɔjstʃɛ
clavieren	klˈoːviːrˌɛɾɔn
clearstream	klɛɾztɾjn
clemenshaff	klɛɛmɛɪ̯n˧tʃaf
clementine	klemɛnˈtyn
clementinnen	kˈlˈɛmɔ̃tˈynnym
clergé	klerɛʒɛj
clever	klavo
cleverem	klavɔʁɔm
cleveren	klavɔʁɔn
cleverer	klavara
clevert	klavot
clibb	klip
cliché	kliʃɫj
clichéen	klˈiːçəl
client	plˈjˈɑ̃
cliente	klˌiːant
clienten	klˈiːɔlm
clienteën	klˈɛzˈanˈtˈɛn
clientskaart	klɛˈɔnʃkˈaːrt
clientskaarten	klˈiɔnzkˈaʁtən
clientèle	klɛɔ̃tˈɛl
clierf	klˈɪf
clierfer schlass	klˈɛɹfˈɔɹslˌoʊz
clinch	klˈɪŋdʒ
clique	klˈɪk
cliquen	klˈɪkən
cliärref	kljˈɑɾɑv
cliärrwer schlass	klær va ʃlos
clochard	kloʃa
clocharden	klˈoʃə
cloche d'or	kloːʃdoː
closbierg	kɾuzpiɐʃ
closdellt	klostelt
clou	klˈu
clown	klum
clownen	klˈoːnən
club	klˈuːp
clubbesëtzer	klupˈøzˈoː
clubbesëtzerin	klˈuːppəzˈɐtsɔrˌɪn
clubbesëtzerinnen	klˈuːpbəzˈɛtstzˈɑːrənˈan
clublokal	klˈubloːkˈɑːl
clublokaler	klublokalo
clubmember	klˈuːbmˈɑːmbˈɑː
clubmemberen	klʏpmɑnbɑːɣɯn
clubsall	kɾupsɒˈl
clubsäll	klˈuːbzaˈl
cluppen	klˈuːpən
cluster	klɔstɔ
cluster-phas	klostɔːfaːst
cluster-phasen	klosdoːrˈfaɾzˈon
clusteren	kloːstoːrn
clusterphas	kloʃtofˈaːs
clusterphasen	klɔʃtɔːfˈɑːzˈon
clustertest	kloːstoːrˈtɛzˈ
clustertester	klostrotesto
clôture	klˈɔtyːɾ
clôturen	klˈɔtyːrən
coca-cola	kɔkakɔla
cockpit	kˈɔkpˈʊt
cockpitten	kɔtpʲitən
cocktail	kɔptɛl
cocktailen	kɔptɛjlɔn
cocktailer	kɔptɛʎe
cocooning	ko˥˩ːku˥˩ːnjɛŋ˧
code	kʊɫt
code pénal	kod pɛ nɔl
coden	kˈɔdən
codéier	koːdˈɒja
codéieren	kɒdɒjaɢiˈn
codéiers	kɔdˈajɑːs
codéiert	kɒːdɒːjɑːd
codéiertem	kɔdajɑtɯm
codéierten	kɔdajatvɐn
codéierter	kɔdajatˈa
coffre-fort	kofrˈeːtˌfˌɔɾ
coffre-forten	kˈɔfrəfˈɔʁən
cognac	koŋiok
cognacfaarweg	koˈnljaˌkfaɾbøʃ
cognacfaarwegem	ko˥˩ːn˩˩˦ljɑːkfaːɾɛzɻm
cognacfaarwegen	koːnˈliɑːkfɛrˈviʒɵn
cognacfaarweger	koːnˈlˈɑkfɛɾbɛʒɔ
cognacfaarwegt	koːnˈliːɑːkfɛrˈvɛst
cognacken	konnˈɒˈɒqoin
coiffer	kʊɔːfˈor
coifferen	kwafˈoran
coiffersalon	kwãˈfɑʊsˈoʊˈlɔːŋ
coiffersalonen	kwafˈaːlsˈalɛɦˈn
coifferssalon	kwafosˈolo
coifferssalonen	kwˈɔvɚsˈoʊloːn
coiffeur	kwafˈa
coiffeuren	koːfˈhˈøːrən
coiffeursalon	kwˈɛnfɛʁsˈɔ̃lˈɑ̃
coiffeursalonen	kwˈʌffɚsˈɔɹlˈɔŋ
coiffeurssalon	kʝoːfˈɛɹzsˈoːlˈɔŋ
coiffeurssalonen	kwˈɔfəzsˈalˈɔl
coiffeuse	kwafˈeuz
coiffeusen	kwˈɑfˈaʊx
coiffure	kwˈɛˈ
coiffuren	kvˈɑːrfˈyːrən
coifféier	kwafɑia
coifféieren	kʊ̞aɾfjɯ̞ʁɯ̞n
coifféiers	kvˈɑfɑjˈɑs
coifféiert	kwafːajːat
coifféiertem	ko˩˥ːrfˌaj˥˩at˥˩ʏn˧
coifféierten	kuafajatən
coifféierter	kwˈafajˈato
cointreau	kwˈɛ̃tʁo
col	zˈaɪn
cola	kola
colabor	kolabo
colasautomat	koːlɑːsawtɑːmɑːt
colasautomaten	kulosautormaton
colasbéchs	kˈoolˈɑspˌɛks
colasbéchsen	kolaspekseŋ
colasfläsch	kʊlˈlˈɑːsflˈæʃ
colasfläschen	kˈoːlˈaʃflˈaʃon
colette	koːlˈlæt
colis	kolli
colisen	koleːɒn
collaborateur	kɔlaboʁˈasœʁ
collaborateuren	kˌɔlaboːratˈøːrən
collaboratioun	kˌolaβˌoɾaθjˈon
collaboratrice	kɔlˈabˈoʁatʁˈˈ
collaboratricen	kɔlaboˈatʁisˈɔn
collaboréieren	kɒlɒˈbɒgɒˈjˈɒˈgin
collaboréiert	kʰæˈlæbɑːbɑːɣjɑːd
collage	kɔllɑɾ
collagen	kɔlɛʒɔn
collant	kɔlo
collanten	kɔlon
collectrice	kɔlˈɛktˈˈyzˈ
collen	kˈɔlən
collier	koluji
collieren	koljɛjɑn
colloque	koˈlɔk
colloquen	kolokan
colmer	kolmo
colmer halt	kˈolma hˈoːlt
colmer-bierg	koːlɯmɑːbiːˈeʃ
colocataire	kɔloːkɐte
colocatairen	kɔlokaterən
colonel	kˌolonˈal
colonelle	kɔlɔnɑl
colonellen	kolonalon
colorado	koloʁado
combel	kɔ̃bɔ
combinaisonen	kɔ̀ːmbiːne̞zəm
combinéier	kompˈinˈeja
combinéieren	kombiːnˈɑjɑːgɯn
combinéiers	kombiˈnujos
combinéiert	kænbiːnɑjɑːd
combinéiertem	kɔˈmbinijɑtɯm
combinéierten	kompinajˈatʃˈan
combinéierter	kɔmbineːɛatɔ
comeback	kʌmbˈæk
comebacken	kˈɔmbˈɛkən
comic	kɔmɪk
comicbild	kɔmɪkpɪlʲt
comicbiller	kɔmˈmˈəgbˈɪllˈɜ
comicfigur	kˌɔmɪkfˌfˈɛgˌɔr
comicfiguren	kˈɔmˈɛçfɛgˈʊɐən
comicken	komjikɛn
comicserie	kɔ̃iˈsˈɛʁiˈ
comicserien	kˌɔmɪkʃərˈiːɾˈn
comité	komitei
comitéen	kɔmjˈteːɾn
comitésmember	komitˈismɔmba
comitésmemberen	komitesmɔnbaran
comitéssëtzung	koˌmite�estɛŋ
comitéssëtzungen	komitˈesˈɛtsyˈmɛn
commande	kɔmɔnt
commanden	lamˈɔ̃dən
commandéier	komandɛja
commandéieren	kɔmɑnˈdɑjɑˈgɯn
commandéiert	kɔmɑndɑjɑt
commemoratioun	kɔ̃ˌemɔʁasjˈon
commemoratiounsfeier	kˌɔmmˌɛmˌɔɾaθjˈontˈfˈaɪr
commentaire	kɔmˌɑ̃tˈe
commentairen	kommentɛʁən
commerce	kɔmˈɛʁs
commercen	kɔmˈɛʁsʁˈ
commissaire	kɔmisˈɛɐ
commissairen	kɔmisaˈam
commissairin	komiseˈrin
commissairinnen	komisˈɛʁinan
communautéit	kɔmˈynˈoːtˈɛjt
communautéiten	kɔmʲinɔtɛtɛn
communiqué	kɔmynˈikˈe
communiquéen	kɔmˈʏnɪkeːan
compatibel	kompatibˈɛl
compatibelem	kɔmpatibilɛmm
compatibelen	kompatibilən
compatibeler	kompatibolo
compatibelt	kɔmpatibilt
competitioun	kompˌetisˈiõn
competitiounen	kompetiˈsjʊ̃ɛn
complementaire	kɔ̃plemɛntˈɛˈ
complementairem	komplemɛntɛʁam
complementairen	kɔ̃plemɑ̃tˈɛʁ
complementairer	komplemɛntɛra
complementairet	komplemɔntɛrt
completéier	komplˈɛjtˈarja
completéieren	kompletaiavan
completéiers	kompleiteos
completéiert	kompliːtˢejˈat
completéiertem	komplˈɛtɔjˈatˈam
completéierten	komplˈɛtˈaˈˈatˈɵm
completéierter	komplejtejoto
compostéieren	kɔmpɔstɑjɑɣɛn
compostéiert	kompostɐˈjat
composéieren	koːmpoːzɑjɑˈɣən
composéiert	kæmˈpʒejɑːd
compriméier	kɔ̃pʁˈimɛjˈa
compriméieren	kɔ̃pˈrʲimɑjˈʁɛn
compriméiers	kompɾimɛjˈɔs
compriméiert	kɔ̃pˈrʲiməˈjˈat
compriméiertem	kɔ̃pʁˈemˈajˈatom
compriméierten	kɔ̃pʁˈimˈajˈatˈɛn
compriméierter	kɔ̃pʁˈimˈɛˈˈtˈɔ̃
compromis	kɔ̃pɔ̃ˈi
compromisen	kɔmpɾɔmjɐ̃n
compta	kont̪a
comptabel	kɔntˈaːbəl
comptabelen	kontrablɛn
comptabilitéit	kɔntˈɐbɪlɪtˌeɪt
compteur	kɔntujo
compteuren	kɔ̃tˈeˈʁən
comptoir	kɔntuɛ
comptoiren	koˈntvˈaːrən
comptoirsekipp	kɔ̃tˈʁˈasˈekip
comptoirsekippen	kɔ̃pˈeˈtˈtˈtˈtˈsekiplˈɛn
comptoirsequipe	kɔ̃tˈwˈasekˈip
comptoirsequippen	kɔ̃tˈuasˈʌəkɪpˈɔ̃
computer	kompjuta
computeranimatioun	kɔmpˈuːtˈɜanimatˈiʁ
computerbildschierm	kompjˈutɚpˈɪltʃɪŋ
computerbildschiermer	kompjuːtɔpɪltʃˈrmɑ
computerbranche	kɒmpjˈutdɒbɾɑ̃ʃ
computeren	kɔmpjutɔʁɑ
computerexpert	kɔmpjˈutɚˈekspeˈ
computerexperten	kɔmpˈytɔʁɛkspɛʁˈɛn
computerfabrikant	kɔmpjutɔɛfabriˈkɑːnt
computerfabrikanten	kompjˈuːtɜfˈabˈrˈɪkˈanˈtˈɛn
computerfichier	kɒmpjuːtɒːɒːfiːʃiːˈe
computerfichieren	kəmpjˈutɚəfiːʃɪən
computerfigur	kɔ̃pjˈutɔ̃fiɣˈuɾ
computerfiguren	kompjutaufigurn
computerfoire	kɔmpjˈutˈɔffɔˈa
computerfoiren	kɔmpjutɔˈfˈaɾɔn
computerfreak	kɔ̃pjˈutɔfʁˈik
computerfreaken	kɔmpjˈuːtɜfɾˈiːkɜn
computerführerschäin	kɔmpjˈuːtəˈoːfhˈøːrɜʃˌaɪn
computergesellschaft	kɒmpjuːtɒːgʒzəltʃˈɑft
computergesellschaften	kɔmpjˈuːtɜgəzˈaltʃaftən
computergesteiert	kɔmpjuːtɔˈgəʃtɔøɜt
computergesteiertem	kɔmpjˈuːtɜgəʃtˈaɪɜtən
computergesteierten	kɔmpjˈuːtɜgəʃtˈaɪɜtən
computergesteierter	kɔmpjˈuːtəgəʃtˈaɪɜtɜ
computerhacker	kompjˈutoheko
computerhackerin	kɒmpˈutohekˈɒrim
computerhackerinnen	kompjˈuːtəhˈɛkɜːnˌɔn
computerhandel	kompjˈuːtɚhˈɑndl
computerkabel	kompjˈutɚkˈɑbəl
computerkabelen	kɔmpjˈuːtɔːkˈabɛlɛn
computerkenntnes	kʰæmpjˈuːtɑːkʰæntnɑːst
computerkenntnesser	kompjutorkmpnɛɬsɔ
computerkenntnis	kompjˈutɚkˈantnɪz
computerkenntnisser	kompjutaːkandnˈenesɑ
computerkonzern	kɔmpjˈutɔkɔntsɜm
computerkonzerner	kompjˈutɚkˈɔntsɜnˌɛɹ
computerkriminalitéit	kɔ̃pjutdɔkʁiminalitei
computerlinguistik	kompjˈutɚlɪŋgwˈɪstɪk
computermodell	kompjˈuːtɔrmˈodell
computermodellen	kɔmpjutɔɛmɔdɛlɔn
computermodeller	kompjutormodala
computerpasswierder	kompjˈuːtɚpɒsfˈiːɾdˈɒ
computerpasswuert	kompjˈuːtdɑpɑˈsˌpɔɾˈd
computerproduzent	kɒmpjˈutopɾˈoduːtsˈand
computerproduzenten	kompjutoprodutsantən
computerprogramm	kɔ̃pjˈutɜpʁɔgʁˈam
computerprogrammen	kompjutˈuʁpʁɔgʁˈamən
computerprogrammer	kɔ̃pjˈutɔ̃pʁogʁɔmˈɑ̃
computerreseau	kɔmpjutɔɣɛzɔ
computerreseauen	kɒmpjuːtˈdɒˈɣɒhˈiztˈoːˈæm
computerschierm	kɔmpjˈutɜʃɪm
computerschiermer	kɔmpjutɔʃimma
computerspezialist	ˈkɒmpjuːtɒʃpeːtsialˈist
computerspezialisten	kɔmpjˈuːtˈɔrspetsialˈɪstɔn
computerspezialistin	kompjuːtoːʃpˌɛtsɜlˈɪstən
computerspezialistinnen	kɔmpjˈuːtˈɔrʃpˌɛtsiːalˈɪstən
computerspill	kompjˈuːtɜʃpˈɪl
computerspiller	kompjˈutoʃpˈɛlo
computersystem	kɔmpjˈutɚzˈhˈɪzsˈɛm
computersystemer	kompjutɔsistema
computersécherheet	kɒmpjuːˈtozæɾʃɑːhæd
computertechnik	kɒmpjuːtɒtaːʃnɒg
computertechniker	kɒmpjuːtɒːtæʃniːkɒː
computertechnikerin	kɒmpjuːtɒˈʃniːkɒɾˈinˈ
computertechnikerinnen	kompjˈuːtdˈiʁtˈɛʃnikˈaɾiŋan
computertomografie	kɔ̃pˈutˈɔ̃tˈɔ̃moʒʁafˈi
computertomographie	kɔmpjˈutɔʁtomoˈgˈʁafˈi
computerviren	kɔmpjˈutɔvˈaɪɾɛn
computervirus	kompjutdovirus
computervirussen	kompjˈutɚvˈɛʁʊzɛn
computerwelt	kompjuːtdɑːvæld
concernéieren	kɒ̃sˈɛʁnˈeˈʁɒˈn
concernéiert	kɔ̃sɛʁnɛjˈɒːt
concernéiertem	koŋseːrnɛjatɯm
concernéierten	kɒ̃sɒʁnˈajˈatˈnˈ
concernéierter	kɔ̃sˈɛrnɛjˈoto
concert	kɔ̃sˈɛj
concerten	kɔ̃sˈɛʁin
concertsprogramm	kˌuŋsɛɾəspɹˈoːgɹˌɑm
concertsprogrammen	kˈɔ̃sɛʁspʁɔgɹˈamən
concertsprogrammer	kɔ̃sˈɛɾspɹɔgɾammˈɛɾ
