!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
arreio	a
arreitado	ˌɐʁeɪtˈadw
arreitamento	ˌɐʁeɪtɐmˈeɪŋtw
arreitar	aːd̪ajt˨˩
arrelia	agɛlie
arreliado	ˌɐʁeljˈadw
arreliar	eliaɾ
arrelvar	ˈaχɨwˌax
arrematadamente	aʁˌematˈadɐmˈeɪŋtɨ
arrematado	aʁɨmɐtˈadu
arrematador	ɐʁˌemˌɐtˈadˈoɹ
arrematadores	aʁɨmɐtˈadʊɾɨʒ
arrematamento	aʁematˈamˌeɪŋtʊ
arrematante	aʁˌematˈɐ̃ŋtɨ
arrematar	aɦɪvɑtːɑ
arrematação	ɐʁˌemɐtɐsˈɐ̃ʊ̃
arremate	aʁematˈe
arrematou	aɣematow
arremeda	aheˈmijadv
arremedar	ɑːxɪmjedɑːx
arremedo	ˌɐʁemˈedʊ
arremedos	ˌɐxˌemˈeɾədʊʒ
arremessa	aχˈemˈs
arremessada	ˌɐʁˌemɨsˈadɐ
arremessado	ɐʁˈemɨsˈadw
arremessador	aʁˌenisɐdˈoɹ
arremessando	ˌɐʁemɨsˈɐ̃ŋdw
arremessar	aɣemesai
arremessara	aʁˈemɨsˈaɾə
arremessaria	aʁˌemɨsˌɐɾˈiɐ
arremessasse	æˈrmɪˈsæːsiː
arremessava	ɐʁˌemɨʃtˈsɐvɐ
arremesso	ɣ̞ɲz
arremessou	axemesˈow
arremeter	ɐχhɪ̞mætʲɪɐχ
arrendado	ˌɐʁeɪŋdˈadw
arrendamento	baħndumj
arrendar	arɛndaɾ
arrendatário	ɐʁˌeɪŋdɐtˈaɾjʊ
arrendação	ɐʁˌeɪŋdɐsˈɐ̃ʊ̃
arrenegar	ɾɨnjʒaʁ
arrepanhar	axepõɲa
arrepelar	ãxepelaɾ
arrepende	ɐʁepˈeɪŋtɨ
arrepender	aɾɪpɛndɪ̞ɾ
arrepender-se	aʁˌepɪŋdˈeɹsɨ
arrependeria	aχɛntɛɾie
arrependesse	aʁepenˈdɨs
arrependeu	ɐʁˌepɪŋdˌeʊ
arrependi	aʁɨpˈemdˌiɐ
arrependido	aʁˌepɨŋdˈidʊ
arrependimento	aʁɨbˈeɪŋdimˈeɪŋtʊ
arrependo	ˈaʁepjˈɛndo
arrepiado	aʁepiˈadʊ
arrepiados	aʁɨpjˈadʊʒ
arrepiando	aʁɨpiˈaŋdw
arrepiante	ɐɹɨbjˈɑl
arrepiar	ahepieɾ
arrepiaram	aʁepiˈaɾˈɐ̃ʊ̃
arrepio	ʁpiu
arrepios	ʁepiʝˈɛs
arrepiou	axepio
arrepsia	ahɛpsiɛ
arrestado	ˌɐʁɨʃtˈadw
arrestamento	ɐʁˌeʃtɐmˈeɪŋtʊ
arrestar	arˈɛstɐ
arrestelar	ahɛsdælar
arrestelo	aɾɛstɛlw
arresto	arɛsto
arretado	ˌɐʁɨtˈadw
arretando	pˌɐʁɨtˈɐ̃ŋu
arretar	tʃiːzitʃi
arrevesado	ˌɐʁɨvizˈadw
arrevesar	ˈaxɛvizˈax
arrevessar	ˈaxˈevˈesˈaɾ
arrevezar	axefezɾ
arreísmo	aʁeˈizm
arri égua	aɾˈiɐgwɐ
arriar	ˈaɣaːjˈax
arriação	ɐʁˌiɐsˈɐ̃ʊ̃
arriba	esɣ̞riβ̞a
arribadiço	aʁibadiztʊ
arribar	ɾibãn̪t̪
arribassaia	ahebasɑiːh
arribaçã	aibastɐ
arribação	ˌɐʁibɐsˈɐ̃ʊ̃
arrife	ahisi
arrigo barnabé	ajrbaɾna beja
arrijar	ˈteˈɾ
arrimadiço	ahˈimɐdˈisʊ
arrimar	ɑːxtnɑːx
arrisca	aɾiʃka
arriscada	ɐʁˌiʃkˈadɐ
arriscado	ɐʁiʃkˈadʊ
arriscando	ɐʁiʃkˈɐ̃ŋdʊ
arriscar	aɣ̞jskaɾ
arriscaria	aɹɪʃkaɾiː
arriscava	ɐʁˌɨʃkˈavɐ
arriscavam	ɐʁˈɪʃkˌɐvɐ̃ʊ̃
arrisco	axˈajsko
arrisque	æˈxiːsæ
arritmia	ˌɐʁiŋˌimˈɪɐ
arrivismo	ɐʁˌevˈizʊ
arrivista	aʁevˈistɐ
arrizotônico	aɾisɔtɔnikɔ
arriégua	ahɲia
arroba	aɾˈɔba
arrobas	ˈaɾoːbaz
arrochado	ˌɐʁuʃˈadw
arrochar	æɾxʃæx
arrocho	axoʃu
arrocho salarial	a ʁˈoʃʊ sˌɐlaɾiˈɑl
arrodear	a˥˥ho˥˩˦deɪ˥˩aɻ˥˩
arroeira	aɾˈoeidˈɐ
arrogante	ˌɐʁugˈɐ̃ŋtɨ
arrogantemente	ɛʁugantmɛnt
arrogantes	ˌɐʁugˈɐ̃ŋtɨʒ
arrogar	aɾɔgˈa
arrogo	ɐʁˈogʊ
arrogância	ˌɐʁugˈɐ̃ŋsjw
arroio	aɣoio
arroio chuí	axojuʃuʃ
arroio do meio	ɐʁˈoɪʊ dʊ mˈeɪʊ
arroio do padre	ɐʁˈoɪʊ dʊ pˈadɹɨ
arroio do sal	ɐʁˈoɪʊ dʊ sˈɑl
arroio do tigre	ɐʁˈoɪʊ dʊ tˈigɹɨ
arroio dos ratos	ʁˈoɪʊ dʊʒ ʁˈatʊʒ
arroio grande	ˌɐʁˈoɪw gɹˈɐ̃ŋdɨ
arroio padrense	ɐʁˈoɪʊ pˌɐdɹˈeɪŋʃɨ
arroio trinta	ɐʁˈoɪʊ tɹˈiŋtɐ
arroio-meense	aɾˈɔʎumˌeɪŋs
arroio-salense	ɑɣulsɑwˈnˈs
arroios	háhojos
arroiossilvense	ɑhɔjʊsʲiʋdʲj
arroiotrintense	ahojʊtɹˈistejˈse
arrojada	ˌɐʁuxˈaða
arrojadamente	ˌɐʁuʒˈadɐmˌeɪŋtɨ
arrojadiço	ˌɐʁˈɔʒɐdˈisʊ
arrojado	ˌɐʁuʒˈadw
arrojados	aɾuʒaðuz
arrojar	ˈaxˈloːʒˈa
arrojaram	juæghælgʌnəm
arrojaria	aʁˌoʒɨɾˈiɐ
arrojasse	æɣoːzʒæhiː
arrojo	ɐʁˈoʒʊ
arrolamento	ˌɐʁulɐmˈeɪŋtɨ
arrolar	ɑɑɣulaɾ
arrolhado	ɐʁˈˌɔʎadw
arrolhar	aʁˌolˈaɹ
arrombada	ˌɐʁombˈadɐ
arrombadiço	aʁˈomɐdisʊ
arrombado	ˌɐʁubˈadw
arrombador	ɐʁˈomɐdˈowɾɐ
arrombamento	maħunʔamiːtˤ
arrombando	ajɦoŋgoŋðe
arrombar	ɒhumbɒˈr
arrombar a porta	a rombaɾ a pˈoɾta
arrombaram a caixa com um pé de cabra	ɐʁˈombeɾɐ̃ʊ̃ ɐ kˈaɪʃɐ kˈom pˈɛ dɨ kˈabɹɐ
arrombassi	ˌɐʁˈoŋbɐsɨ
arrombou	ɑɾumbɔu
arronches	axˈnʃ
arrostar	ˌɐʁustˈaɹ
arrotando	ˌɐʁutˈɐ̃ŋdw
arrotar	ɛʁutˈaɹ
arroteamento	ˈæməlʃˈɛmɪ
arrotear	axot̪eas
arroteia	ˌɐʁutˈeɪɐ
arroto	aɣoɾtɔ
arrotou	aho
arroubamento	ˈħuːbɐmɪd
arroubar	axobar
arroubo	ˈɛstləgˈo
arroubos	aʁˈobʊʒ
arroxar	ahoʃa
arroxeado	aʁˌuʃjˈadw
arroxear	aːxoʃeːaː
arroz	aɾˈoʃ
arroz amarelo	ɐʁˈoɨʒ ɐmɐɾˈɛlʊ
arroz basmati	aɾɔis bˌɐʒmˈatʃɨ
arroz branco	ɐʁˈɔɪs bɹˈanŋkʊ
arroz com feijão	a ɫˈoʃ kˌuŋfɹɨɲə
arroz de carreteiro	ɐʁˈoʒ dɨ kˌɐʁɨtˈeɪɾʊ
arroz de coco	ɐʁˈoʒ dɨ kˈokʊ
arroz de cuxá	ˌɐʁˈoʒ dɨ kˌuʃˈa
arroz de festa	a hoʒ dˈi fˈɛstɚ
arroz de forno	ɐʁˈoɨʒ dɨ fˈoɾənʊ
arroz doce	aɣoɣe doːs
arroz e feijão	ɐʁˈoɪʒ i fˌeʒˈɐ̃ʊ̃
arroz frito	aɾɔis fritu
arroz integral	ˌɐʁˈoɪʒ ˌiŋtegɾˈɑl
arroz jasmim	axoz raz mʲin
arroz selvagem	ˌɐʁˈoɪʒ sˌeʊvˈaʒeɪŋ
arroz-de-leite	ɐʁˈɔʒdɨlˈeɪtɨ
arroz-doce	ɾɛʃdɔs
arrozal	ˌɐʁuzˈaʊ
arruaceiro	ɐʁˈuɐsˈeɪɾʊ
arruaceiros	ɐʁˈuɐsˈeɪɾʊʃ
arruamento	aɣuamjntow
arruar	æxwæ
arruaça	aχwɒsɒ
arruaçar	aʁuast̪aʁ
arruda	axudɨ
arruda dos vinhos	a ʁˈoðɐ dʊʒ vˈiɲʊʒ
arrudão	aʁudˈɐ̃ʊ̃
arruela	axoʝˈlˈa
arrufada	tˈɐvˌufˈadɐ
arrufadiço	aʁˈufɐdˈisʊ
arrufar	aχofa
arrufos	aʁufuz
arrugar	auuˈgˈaːx
arruianada	aɣoianadda
arruinada	ɦɔɛnavɛ
arruinado	aɣuiːnɑːdu
arruinar	ɐʁˌuiŋaːr
arruinaram	ˌɐʁuinˈaɾɐ̃ʊ̃
arruinará	axvɨnaɾɑ
arrulhar	ɣuljˈaɾ
arrumada	ˌɐʁumˈadɐ
arrumadeira	aʁˈumadˌeɪɾa
arrumadinho	ahomadʒiŋ
arrumado	aʁumˈadʊ
arrumador	ˌɐʁˈumadˌoɹ
arrumando	aʁumˈanðʊ
arrumar	ɐʁˈˌumˈaɹ
arrumar a roupa	a ɣumara ɣropa
arrumar sarna para se coçar	ɑhɔmɑʃ saɦnɑ prɛ si kɔsaɾ
arrumar-se	maʁmɔ̃mɛʁsi
arrumasse	ˈɐhˈˈomɐsj
arrumassem	aɾumasˈeɪŋ
arrumava	ˌɐʁumˈavɐ
arrumação	ɐʁˌumɐsˈɐ̃ʊ̃
arrume seus brinquedos, joão. quando eles sumirem não diga que não avisei.	ˌɐʁˈomɨ seʊʃ bɹˌiŋkˈedʊʒ dʒuˈɐ̃ʊ̃ kwˈɐ̃ŋdʊ ˌelɨ sˌumˈiɾɐ nˌɐ̃ʊ̃ dˈigɐ kɨ nˌɐ̃ʊ̃ ˌɐvizˈeɪ
arrumou	aɣmˈɔ̃
arruçar	ɑxˈhɑsɑx
arruído	aɾwɛdʒu
arruínada	aʁunˈadˈɨ
arrás	ɑɦas
arrátel	axaatɛw
arrítmico	aɾitmikˈow
arrôto	aɣotːo
arsenal	ɐɾsɨnɑl
arsénic	kɛŋˌ
arsênico	arseniko
arsênico-branco	ɐʁsˈɛnikʊbɹˈɐ̃ŋkʊ
arsênio	aɾsˈɛɲʊ
arsínoe	axsiːnue
art popular	axtspɔpulaːr
artabro	axtaabro
artaxerxes	axtaʃerʃis
arte	aɾtɯ
arte-final	ˈaɾətɨfɨnˈɑl
arte-finalista	ˌɐxtefˌiŋalˈiʃtɨ
artefato	axtefatˈo
artefatos	axtefatus
arteirice	aɾteiɾisj
arteiro	ˌaɾθˈeɪdoʊ
artelho	mɐɾətɨʎu
artelhos	axteɫjus
artema santos	ɑxte mɑsɑn pʃ
artemijem	axtemiʃejm
artemio	artemio
artemisinina	aɾətemizˈinˈiŋɐ
artemísia	aɾtɨmizjɐ
artenizia	ˌɐʁtenˈiʒjɐ
arterial	axteriau
arterializar	axtɛɾiːjaːliːzɑx
arteriosclerose	axtˈɛɾiʊʃklˌeɾˈɔzi
arteriovenosa	aɾtˈɛɾiʊvˈɛnˈɔzˈɐ
artes	aɾtʃ
artes cênicas	astʃis senikus
artes marciais	axtʃ mksjz
artes marciais mistas	ɐɾətˈeʃmɐsˌiˈaɪʃ mˈiʃtɐʒ
artesanais	aɾtˌezɐnˈaɪʒ
artesanal	aɾt̪esonal
artesanalmente	artˈizɐnˈɑlˈmˈeɪŋtˈe
artesanato	art̪z̺anat̪o
artesiano	ˌɐʁtɨziˈɐ̃ŋw
artesã	ˌɐxtezˈɐ̃ʊ̃
artesão	aɾtɨzˈɐ̃ʊ̃
arthur	aɾtʊɾ
arthur casas	aɾtˈuɾ kˈazɐʃ
arthur mariano	aʁtˈuʁ
arthur melo	aɾtˈu mˈɛl
arthur nestrovski	axto xnɛstrobzki
arthur omar	axtuɾumˈaɣ
arthur zanetti	a tɔ zanɛtʃe
articaína	artikˈaɪnˌɐ
artice	aɾtisi
articulada	ˌɐɾikulˈadɐ
articulado	ˌɐɾikulˈadw
articulados	artikuladʊs
articulando	ˌɐɾətikˌulɐ̃ŋdw
articular	aɾətˈikulaɾ
articulação	artiklusioŋ
articulação do quadril	ˌɐɾikulɐsˈɐ̃ʊ̃ dʊ kwɐdɹˈil
articulação sinovial	ˌɐɾətikˌulɐsˈɐ̃ʊ̃ sɨ nuvjˈɑl
articulações	axtʃikˈuːlasˈonˈis
artidoro	ˈaɾtʃɨdˈɔɾʊ
artificiais	ˌɐɾətifisiˈaɪʒ
artificial	ˌɐɾətɨfisjˈaʊ
artificialismo	artʃifisialesmʊ
artificialmente	ˌɐʁtifˈisjɐlmˈeɪ
artifício	ˌaɾətifˈisjw
artigo	artʃiguo
artigo de fé	eɾtĩŋk d̪e feɾ
artigos	aɾtˈiʒʊʒ
artilhar	ɑqtʃɪlɑq
artilharar	ørtleˈɾar
artilharia	aɾtʃjlaɾia
artilheiro	aɾtʃilejro
artimanha	ˌɐɾtimˈɐ̃ɲɐ
artimanhas	æɾtʃæmɒːjæz
artiodátilo	axtʃiːdðətʃlo
artiozoário	æxtʃiːzæzˈvɑːrɪuː
artista	ɾtʃɪstɯ
artista de rua	ɐ tˈiʃtɐ dɨ ʁˈuɐ
artista gráfico	artʃistagrafikɔ
artistas	atːʃistɛs
artistas brasileiros de exilaram no exterior durante a ditadura militar.	ˌɐɾətˈiʃtɐʒ bɹˌɐziʎˈeɪɾʊʒ sɨ ˌezilˈaɾɐ̃ʊ̃ nʊ ʃtˌeɾiˈoɹ dˌuɾˈɐ̃ŋdʊ dˌitɐdˈuɾɐ mˌilitˈaɾɐ
artistas brasileiros se exilaram no exterior durante a ditadura militar.	aɾətˈiʃtɐʃ bɹˌɐzilˈeɪɾʊʃ sɨ ʃiˈlɐɾaʊ nʊ ˌiʃteɾiˈoɹ dˌuɾˈɐ̃ŋtɨ ɐ dˌitɐtˈuɾɐ mˌilitˈaɾ
artisticamente	axtʃɛtʃkamɛnts
artistico	ɑrˈtiʃtik
artologia	axtoloʒie
artomel	attʊneow
artralgia	aɾtɾau̯gia
artrite	artɾitʃ
artrite psoriática	ɐɾtɹˈet pɨzˈoɾjɐtikɐ
artrite reumatoide	artritʃɛ ɛ mɛtɔidʒ
artrocéfalo	axtɾusɛfalvou
artroplastia	axtɜpləsdʃɪjɛ
artroscopia	axtroskopie
artroscópio	axtreskˈopjʊ
artrose	axtɾɑzi
artrotomia	altrɐtɔmjijɛ
artrópode	artropodʒi
artrópodes	artropodʒis
artsaque	ɐɮpˌsakˈ
artur	artuːr
artur bernardes	alpur bernardʒis
artur cavion	aʁtˈuʁ kavjˈɔ̃
artur de azevedo	ɐɾətˈuɾə dɨ ɐzˈɨvˈeɪadʊ
artur jaceguai	aɾətˈuɾˈ xazɛgwˈaɪ
artur jorge	ˌɐɾətuɾˌeʃɨ
artur moraes	aɾətuɾ mˌuɾˈaɪʒ
artur nogueira	ɐɾətˈuɾə nˌulgˈiɾɐ
artur oliveira cavion	ˌɐɾətˈuɾw ˌɔlivˈeɪɾɐ kˌɐviˈɔ̃
artur orlando da silva	ˌɐʁtˈuʁ ˌuʁlˈɐ̃ŋdw dɐ sˈilvɐ
artur pizarro	ɨɾətˈuɾˈ pˌizˈaʁʊ
artur ávila	aɾtˈaːɾtˈɑ̃ʁˌ aðilˈla
arturo nogueira	aɾtˈuɾʊ nˈogɛjɾˈ
artv	aɛɾɨteve
artéria	artˈeɾˈie
artéria eferente	axtɛɾe i feɾente
artéria temporal superficial	ˌaɾtˈɛɾɐ tˌeɪmpuɾˈɑl supˌeɾəfisjˈɑl
artérias	ˌɐɾtˈɛɾjɐʒ
artículo	ɑɣtʃiːkɔlɔ
artífice	ertifis
artísticas	aɾtʃisɾikaz
artístico	axtʃistʃko
artísticos	ˌɐɾətˈiʃtikˌuz
aruanense	aɾˈuanˈeɪŋsɨ
aruanã	ɾoɾna
aruaque	aɾuakˈ
aruba	aluˈbˈa
arujá	ɾɒhɾuːˈʒɑ
aruá	aɾˈua
aruás	aɾˈoˈas
aruás é um povo indígena brasileiro	ɐɾəʊˈɐʒ ɛ ũŋ pˈovʊ ˌiŋdˈidʒɨnɐ bɹˌɐzidˈeɪɾʊ
arvense	axvjɛnse
arvorar	ˌɐʒvoɾˈaɹ
arvore	ˈaɾəvlˌiʊ
arvoredense	aɾəʁɨdˈeɪŋ
arvoredo	ˌɐɾəvuɾˈedʊ
arvoreta	avoɾet̪a
arvorezinha	ˌɐɾəvˌuɾɨzˈiɲɐ
arvorezinhense	aɾəʊɾɨzˈiŋˈeɪŋsʃ
arvícola	ˈaxvijjəkˈolɑp
ary	ariː
ary barroso	aɾibɐʁˈozʊ
ary de oliveira e souza	ɐɾi dɨ ɔlˈivˈeɪɾɨ sˈowzɐ
ary fernandes	ˌɐɾɨfˌɨɾənˈadɨʒ
ary fontoura	ˌɐɾɨfunˈtˈoɾɐ
ary frança	aɾˈifɾɐ̃ŋsɐ
ary toledo	ɐɾitˈolˈedow
aryana	arjana
aryiola	aɾiola
arzila	ˈaxziːlɑ
arzira	axazjɾa
ará	ara
arábia	aɾɾpia
arábia saudita	aɾˈabjɐ sˌɑldˈitɐ
arábias	arabias
arábica	arabika
arábicas	arabikas
arábico	arabiko
arábigo	arabigo
arábio	aɾˈabjo
aráceo	erasio
arália	aˈrɐʎɐ
arália elegantíssima	ɐɾˈaʎɐ ˌelɨgˌɐ̃ŋtˈisˌimɐ
arália variegata	aɾˈaʎɐ vˈaɾi ɐ gˈatɐ
aráquida	araːqida
aráveis	ˌɐɾaʊˈeɪʒ
arável	aɾˈavˌɛl
arão	aɾowm
aréola	aɾeola
arês	aɾˈis
aríete	arietʃi
arúspice	aɾuʃisi
as	eʃ
as aftas ardem e doem, feridas idem	ɐʒ ˈaɾəftɐʒ ˈaɾədeɪŋ i doɪŋ fˌeɾˈidɐʃ ˈidɨ
as algemas	as ɑʒˈemɐʒ
as alminhas são padrões de culto das almas do purgatório.	ɐɐʒ aʊmˈiɲɐʒ sɐ̃ʊ̃ pˌɐdɹˈõjʃ dɨ kˈultʊ dɐʒ ˈɑlmɐʒ dʊ pˌulgɐtˈoɾjʊ
as aparências enganam	ɐʒ ˌɐpaɾˈeɪsjɐʒ ˌeɪŋgˈɐ̃nɐ̃ʊ̃
as aparências enganam.	ɐʒ ˌɐpaɾˈeɪŋsjɐʒ ˌeɪŋgˈɐ̃nɐ̃ʊ̃
as aspas (potugal)	as ˈaʃpɐʒ
as belas-artes	ɐʒ bˈɛlɐʒ ˈaɾətɨʒ
as boas palavras requerem boas acções.	ɐʒ bˈoɐʃ pˌɐlˈavɹɐʃ ʁˌekˈɛɾɨm bˈoɐʒ ɐsˈõjʒ
as bolachas crocantes	ɐʒ bˌulˈaʃɐʒ kɹˌukˈɐ̃ŋtjɐʃ
as botas de atacadores estão sujas	ɐʒ bˈɔtɐʒ dɨ ˌɐtɐkɐdˈoɾɨʒ ɨʃtˌɐ̃ʊ̃ sˈuʒɐʃ
as brigadas internacionais eram formadas por militares voluntários estrangeiros que lutaram na guerra civil espanhola entre 1936 3 1938.	nˌɐ̃ʊ̃ teɪŋ kˈomʊ pɹˌunũŋsiˈaɹ ˌumɐ kˈoɪzɐ dˈɛsɐʒ ˈeɪŋ θˈiŋkʊ sˌegˈoŋdʊʃ
as calendas	as kalˈendɐʒ
as calendas (portugal)	as kˌɐlˈeɪŋdɐʃ
as calças	as kˈaʊsɨs
as canções	as kɐlsɔjs
as casas	as kases
as casas deles são diferentes das nossas	ɐʒ kˈazɐʃ dˌelɨʒ sɐ̃ʊ̃ dˌifɨɾˈeɪŋtɨʒ dɐʒ nˈɔsɐʒ
as casas eram de madeira	ɐʒ kˈazɐʃ ˌɛɾɐ̃ʊ̃ dɨ mˌɐdˈeɪɾɐ
as casas novas	as kˈasas nˈovɐʒ
as chamadas línguas românicas são idiomas que se originaram da evolução do latim	ɐʒ ʃamˈadɐʒ lˈiŋgwɐʒ ʁumˈɐ̃nikɐ sɐ̃ʊ̃ ˌidiˈomɐʒ kɨ se uɾəiʒˈiŋʊ̃ dɐ ˌevolusˈɐ̃ʊ̃ dʊ lɐtˈiŋ
as chaves estão na mesa	ɐʒ ʃˈavɨʃ ɨʃtˌɐ̃ʊ̃ nɐ mˈezɐ
as chuvas provocaram 14 mortes	ɐʒ ʃˈuvɐʃ pɹˌuvokˈaɾɐ̃ʊ̃ kɐtˈoʃɨ mˈɔɾətʊʃ
as cidades	ɐɐʒ sˌidˈadɨʃ
as cinco da madrugada estavam todos exaustos	ɐʒ sˈiŋkʊ dɐ mˌɐdɹugˈadɐ ʃtˌɐvɐ̃ʊ̃ tˈodʊʃ ˌezˈaʊʃtʊʒ
as comparações são odiosas.	ɐʒ kˌumpɐɾɐsˈõjʃ sɐ̃ʊ̃ ɔdˈiozɐʒ
as compressas de gelo são excelentes para aliviar a dor após uma pancada.	ɐʒ kˌuŋpɹˈɛsɐʃ dɨ ʒˈelʊʃ sɐ̃ʊ̃ ˌesθɨnˈeɪŋtɨʒ pˌɐɾɐ ˌɐliviˈaɹ ɐ dˈoɹ ɐpˈɔs ˌumɐ plˌiŋkˈadɐ
as comunicações	ɐɐʒ kˌumunˌikɐsˈõjʃ
as construções serão feitas com lages de concreto.	ɐʒ kˌuŋstɹusˈõjʃ sɨɾˈɐ̃ʊ̃ fˈeɪtɐʃ kˈom lˈaʒeɪŋʃ dɨ kˌuŋkɹˈɛtʊ
as convenções partidárias	ɐʒ kˌuŋvɨɲsˈõjʃ pˌɐɾətidˈaɾjɐʃ
as copas (portugal)	aʃkˈɔpɐʃ
as correções	ɐʒ kˌuʁɨsˈõjʃ
as costas	ɛʃkɔstɛʃ
as crianças estão brincando lá fora.	ɐʒ kɹˌiˈɐ̃ŋsɐʃ ɨʃtˌɐ̃ʊ̃ bɹˌiŋkˈɐ̃ŋdʊ lˈa fˈɔɾɐ
as crises não afastam os amigos	ɐʒ kɹˈizɨʒ nˌɐ̃ʊ̃ ˌɐfˈaʃtɐ̃ʊ̃ uʒ ɐmˈigʊʒ
as crises não afastam os amigos. apenas selecionam.	ɐʒ kɹˈizɨʃ nˌɐ̃ʊ̃ ˌɐfˈaʃtɐ̃ʊ̃ uʒ ɐmˈigʊʒ ɐpˈenɐ sˌelɨsiˈonɐ̃ʊ̃
as cãs	au̯skaːs
as demais empresas	ɐʒ dˌɨmˈaɪʒ ˌeɪmpɹˈezɐʒ
as diretrizes	as dʒɾetrisis
as direções	ɐʒ dˌiɾɨsˈõjʒ
as docas	as dˈokɐʒ
as duas	s duɐs
as duas casas são iguais	ɐʒ dˈuɐʒ kˈazɐʃ sɐ̃ʊ̃ igˈaɪʃ
as dádivas quebrantam penhas.	ɐʒ dˈadˈivˈɐʒ kˌebɹˈɐ̃ŋtɐ̃ʊ̃ pˈeɪɲɐʒ
as dívidas	as jˈuvidˈɔs
as eleições autárquicas serão em outubro	ɐʒ ˌilɨsˈõjʒ aʊtˈaɾəkikɐʒ sɨɾˈɐ̃ʊ̃ ˈeɪŋ ˌuwtˈubʁw
as emboladas do norte	ɐʒ ˌeɪmbulˈadɐʒ dʊ nˈɔtɨ
as empresas retêm uma parte do dinheiro.	ɐʒ ˌeɪmpɹˈezɐʒ ʁˌetˈeɪɐ̃ɪŋ ˌumɐ pˈaɾətɨ dʊ dˌiɲˈeɪɾʊ
as equações são fórmulas matemáticas	ɐʒ ˌikwasˈõjʒ sɐ̃ʊ̃ fˈɔʁmulɐʒ mˌɐtɨmˈatikwɨz
as espadas	as espadɐs
as estradas brasileiras estão cheias de caminhões velhos.	ɐʒ ʃtɹˈɐdɐʃ bɹˌɐzilˈeɪɾɐʒ ɨʃtˌɐ̃ʊ̃ ʃˈeɪɐʃ dɨ kɐmiˈõjʒ vˈɛɾjʊʒ
as exportações brasileiras tiveram um superávit de 5% .	ɐ dˌiʃpɔtˈasɔjʃ bɹˌɐzilˈeɪɾɐ ʃtˌivˈɛɾɐ ũŋ supˌeɾˈaɾətɨ dɨ sˈiŋkʊ puɹ sˈeɪŋtʊ
as exposições	as espˌuzisˈõjʃ
as famosas praias do rio de janeiro	ɐʒ fɐmˈɔzɐʒ pɹˈaɪɐʃ dʊ ʁˈiʊ dɨ ʒɐnˈeɪɾʊ
as folhas queimam no fogo	ɐʒ fˈoʎɐʃ kˈeɪmɐ̃ʊ̃ nʊ fˈogʊ
as forças armadas brasileiras	ɐʒ fˈoɾəsɐʃ ˌɐɾmˈadɐʒ bɹˌɐzilˈeɪɾɐʒ
as fotos da nossa viagem	ɐʒ fˈɔtʊʃ dɐ nˈɔsɐ vjˈaʒeɪŋ
as fotos ficaram ótimas	ɐʒ fˈɔtʊʃ fˌikˈaɾɐ̃ʊ̃ ˈɔtimɐʒ
as frenéticas	ais fɨɾnɛtikɐjs
as férias	aʃfɛɾiɛʃ
as garrafas serão recicladas	ɐʒ gˌɐʁˈafɐʃ sɨɾˈɐ̃ʊ̃ ʁˌesiklˈadɐʒ
as gorduras dão mais sabor `a carne.	ɐʒ gˌuɾədˈuɾɐʃ dˈɐ̃ʊ̃ mˈaɪʒ sˌɐbˈoɹ ɐ kˈaɾəmɨ
as horas de lazer	saɾa sulaɾɟɛɾ
as ideias	as ˌidˈeɪɐʒ
as informações são armazenadas em cd-rom	ɐʒ ˌeɪŋfuɾəmɐsˈõjʒ sɐ̃ʊ̃ ˌɐɾəmɐzenˈadɐʒ ˈeɪŋ sˌedɨhˈum
as jibóias (portugal)	es j βoiaʒ
as lentilhas	as lˌeɪŋtˈiʎʊʒ
as línguas bantas	as liŋgwas bˈanŋtɐs
as línguas bérberes	as lˈiŋgwɐʃ bˈɛɾəbˌeɾiz
as línguas indo-europeias	ɐʒ lˈiŋgwɐʒ ˌiŋdwˌeʊɾˈɔpˈɛɪɐʒ
as línguas românicas	as lˈiŋgwɐʒ ɾomˈɐ̃njkɐʒ
as línguas tupi-guaranis	as liŋgwɔʒ tʊ piguɔɾe nis
as matinas	as matˈinas
as meiguices	esmeˈɣisˈs
as melhoras!	es mʝoɾɛs
as meninas	as meniŋes
as meninas estão bebendo.	ɐʒ mˌenˈinɐʒ ɨʃtˌɐ̃ʊ̃ bˌevˈeɪŋdʊ
as meninas estão correndo.	ɐʒ mˌenˈinɐʒ ɨʃtˌɐ̃ʊ̃ kˌuʁeɪŋdʊ
as meninas estão escrevendo.	ɐʒ mˌenˈinɐʒ ɨʃtˈɐ̃ʊ̃ ʃkɹˌevˈeŋdʊ
as meninas estão lendo.	ɐʒ mˌenˈinɨʒ ɨʃtˌɐ̃ʊ̃ lˈeɪŋdʊ
as meninas não gostam uma da outra	ɐʒ mˌenˈinɐʒ nˌɐ̃ʊ̃ gˈoaʃtɐ̃ʊ̃ ˌumɐ dɐ ˈowtɹɨ
as mina pira	a ʒˈˌemˈinɐ pˈeɾɐ
as minhas condolências	ɐʒ mˌiɲɐʒ kˌuŋdulˈeɪŋsjɐʃ
as minhas irmãs	ɐʒ mˌiɲɐʒ ˌiɾəmˈɐ̃ʒ
