!	tɕam˧˧tʰaːn˧˧
"điện ảnh"	bjˈɛ̃
dán lại	jɛːn˥˧ rai˧˧
dán lên	nlɤ̆n
dán mắt vào	iœn˧˥ maːʔauː
dán nhãn hiệu	jɛːn˥˥ nʲæːn˥˩ heː˥˩w˧˧
dán đầy	dʒen˧˧ dɤ̆j˧˨
dáng bộ	jœːŋ˨˩ pɔ˧˧
dáng cách	d̪e̞n̪t̪ káp
dáng chừng	dʑiẽ˧˧ tɕɤŋ˧˧
dáng dấp	dʑẽŋ˨˩ jap˨
dáng đi	dʒyẽ˨˩ŋ˧˧ di˧˧
dáng điệu	diẽn˧˧ diẽː˧w˧˧
dã chiến	d̪e kˈi
dã cầm	d̪e ke
dã man	jɛˈmeɪ
dã nhân	dʒaː˧˧
dã tràng	zaː aːrm
dãi gió	jaːjˈɔ
dãi nắng	jɑhˈnɑhˈ
dải	jɑj
dải nhỏ	dʑãj˧˧ nɪŋ˧˧a˥˧
dải núi	dʑãj˧˨ nu˧˧i˧˧
dải rút	kai˧˧ lu˥˩
dải tết	ɔːj˧ʔt̚˨˩ʰt̚˥˩
dải đeo	jã˥˥ bjw˥˩
dải đất	dˈiːzˈtˤ
dạ	dˌiːzə
dạ con	zɑːkɑːn
dạ dày	dʒa dʒai
dạ dày bò	ðætˈʃɑjbɑː
dại	jˈaɪ
dại mặt	dˌiːzəmˌaː
dạn mặt	bjɛn˨˩ ma˥˩
dạng	u˨˩˦
dạng răng	nɤŋ˧˧rʌŋ˧˧
dạng thức	dʒaŋ˨˩ tʰɯk˦˥
dạng tấm	seŋ˨˩sɐm˥
dạng đất	dʒaː˧˧ hãŋ˧˧ dɤ̆t˦˥
dạy	dɐaːjˈ
dạy bảo	�j˧˩˨ mɑ˧˧a˨˩˦w˧˧˧
dạy dỗ	jɐ̀iː˧˥
dạy học	dʑài̯˨˩ haʋ˥
dạy nhạc	jʔe˨˩ɕk˥
dạy vẽ	jˈɑj vˈɛɹ
de	zˈɛ
delta	den˨˩ta˧˧
dè chừng	dir diur
dè dặt	dˌeːzə
dẻo	eʊ
dẹt	jˈɛt
di an	ziːjæm
di chuyển	ji˥˧ tsu˨˩˦ɪn˧˥
di chúc	zi˧˧ tɕʰ˥ʊk˨ˀ˩
di căn	ziːkam
di cư	zeːkøː
di dời	ziː zˈaɪ
di sản	dʑiː˥˨sǎːn˧
di truyền	jˈʌŋ
di truyền học	i˥˥tɕʰiː˧˥xɑʊ˨˩˦
di truyền	je˩˥ːʈʂʰon˧˥a˥˧
di tích	zˈit
di động	tsi˥˧lau˨˦
di động	zˈiːdˌaʊ
diep	jˈɛvletʃ
dinh	dˌiːzə
dinh dưỡng	dʒɤŋ˧˧ dɯəŋ˧˧
dinh trại	sintʃa
diêm	zjˈɛm
diêm dúa	nˈeˈʌ
diêm vương	zimˌvŋ
diều	u
diều hâu	zˌeˈʊhˈˈɑl
diễn kịch	tʁˌaːtˈtˈ
diễn ra	n˩˩˦i˧˥ŋ˧˥ raː˥˩
diễn tiến	den ˈdæɾ jæn
diễn tập	dʑiː˥˧tap˨˩
diễn viên	dʒiʔn viːn
diễn văn	dĩ˧˨ ɪn˧˧ vang˧˧
diễn xuất	jĩ˥˥ sot˦
diễn âm	ziː ɪn ebˁɑb
diện tích	d̪e̞n̪t̪a
diệt chủng	tsit˦tsʰʊŋ˨˩
diệt trừ	dʒiːt˨˩tɕjɛː˧˥
diệu dược	tsiw˨˩ziw˨˩
dĩ chí	dʒenikˈe
dĩ nhiên	estas nʲen
dĩ vãng	t̚˨˩n˧wãː˧
dị đoan	ˈaɪ dˈaʊə
dịch	jɛ
dịch hạch	jɔːtmɔːhaːr
dịch vị	tˈɪt
dịch âm	dʒe am
dịp	ipɔ
dịu dàng	di˧˧iu˨˦ jɛŋ˨˩˦
dịu giọng	ljuzˈɛn
dịu hiền	dʑo
diếp cá	dɪp˦˥ kɛ˧˧
diều	jˈɛjɔ
diều hâu	lɔːaː
diễm xưa	kʰonˈstˈa
diễn ra	nɤːˈʌˈ
diễn tả	tiən˨˦ tã˧˧
diễn viên	zənvˌiːrˌɛn
diễn viên hài	tʃiɛn˨˩ piənˈ haɪ
diễn viên hề	dʲiː mvɪnˈhɛ
diễn văn	dʑiəŋ˨ˀ˩ văŋ˧˧
diễn đàn	nɤŋ˧˧ nai˧˧
diễn đạt	dʑi˧˧ laː˧˨
diễu hành	jeu˧˧ haɪŋ˥˧
diện	u˨˩˦
diện thoại	diət˨˩ tʰwaj˧˧
diện tích	dʑiən˨˩˦ tɤk˦˥
diệt chủng	jɛ˨˦ tɕĩũŋ˨˦
do	dˌiːzə
do dự	a dɤ˧˥
do dự	ja˥˥
do thái giáo	jɔː˧˧ tʰaːj˧˧ zaːw˨
do tuông	sɔ˥˧tŏŋ˨˩
do vậy	dʒa˥˧ vɐi˨˩˦
do đó	dˌiːzə nˈɔ
do đâu	ja dao
do đó	do˧˧ do˧˧
doan	zwan˥˥
doanh nghiệp	dʒoŋ liː
doanh nhân	tɤ˧˥ lu˨˩˦ tʰoʊ˧˥  ʈʂɤŋ˨˩˦tu˥˩ɕʐɚ˥˩xɤ˧˥pɔ˥˥
doanh trại	zˈɛntʃˈæ
doi đất	zɔj˨ˀ˩ dɤ̆t˦˥
dong	dɔm˧˧
dong nguyen	dũã˧ŋ˧ny˧˧
dong tam	jom˨˩tam˥˩
doãn	zo˩˥ːan
dò	dˌiːzə
dò dẫm	dˌiːzəm˨˩
dò tìm	sɛntim
dò xem	dˈiːsəm
dòng chữ	rɔŋ˧˧tsɯ˧
dòng họ	jɐu˨˩
dòng máu	zɔŋm˧mau˧
dọc trục	jaˈp daˈm
dọc tẩu	jap˨tau˨˩
dọc đường	dʒɔp˨ˀ˩ dɯəŋ˧˧
du	sɔː
du dương	zu zˈɛ̃
du học	zˈuː hɑq
du khách	juːkæ
du khách	ʲuːxat
du kích	lɛːkkɛt˦
du lịch	ʒʊlɪ
duc	dˈø
dung	niː
dung dị	zi˧˧
dung dịch	sũŋm˨˩
dung hợp	mɧp
dung lượng	iun lœ̃ŋ
dung mạo	n˩˩˦uən˧˧ ma˧˧
dung nạp	hŋ˥˩hnáp˥
dung túng	ium˨˩tʊŋ˨˩
dung điểm	dʊŋ˨ˀ˩ dem˧˧
duy	jˈɛː
duy ngã độc tôn	ziŋaː˧ ʔanũ˧˩k˨ˀ˩ tɔn˧˧
duy nhất	jjoeɱ
duy trì	y˧˥ʈʂi˥˩
duy tâm	ʌˈiːtəm
duy tân	lwˈi ttˈa
duyên hải	ʔɛn˨˩hâːj˧
duyên kiếp	syn˧˧ kiep˨ˀ˩
duyên nghiệp	jʏ̞nmɪ̞
duyên nợ	tsynˈtˈ
duyên phận	zˈɛ ldˈe pˈa
duyệt	syətˈsyətˈsyətˈ
dùi lỗ	zoˈilo
dùng	dʒoŋ
dùng chung quyển sách	dʒuŋ˨˩ tʃuŋ˥˩ guyən˧˧ satʰ˦
dùng dằng	jʊŋ˨˩�ɥâːl˧
dùng tự điển	dʒoŋm˧˧ tɤ˧˩˨ diən˧˧
dũng cảm	dũŋ˧˧ kãm˨˩
dục năng	io grandaŋ
dục vọng	iu˨˩pŋ˥˥
dụng cụ	jʊŋ˨˩ kʰou˨˩
dụng tình	jʊŋ˨˩ tan˥˥
duệ	tsue
dài	dˌiːzə
dài hạn	zˈaːjhʌˌ
dài tay	jâːj tai̯
dành	aŋˈ
dành cho	jɐn˨˩kʰa˥
dành dụm	zãŋˈzɯ
dàu dàu	zjɛːu˨˩zjɛːu˨˩
dày	sik˦
dày gió dạn sương	zăj˧˨ dɑ˧˧ zãn˨˦ ʃɯəŋ˧˧
dái	dʒuɛ
dám	sam
dám hỏi	hɐiː˧
dán	ɟʝɛn
dán nhãn	ɑŋ˧˧ njan˩˩˦
dáng	je
dáng dấp	ɤŋ˧˧ jiːp˨ˀ˩
dáng ngờ	xjɑŋ˨˩˦
dâm	dʒɛm
dâm dục	jɐm˥
dâm dật	dam dʒɤ˧˧
dâm từ	zamtug
dâm xảo	dʒɤm˧˧ sǎʊ˨˩
dâm đãng	dʒăm˨ˀ˩ da˧˧an˧˧
dân	jˈɛn
dân cày	n˧˧ kài˥˧
dân chúng	dʑən˧˧ tɕʰũŋ˧˧
dân chủ	zən tʃoˈgo
dân cư	zenkue
dân gian	zenzaːn
dân số	jɛn sʌ
dân số	zan˥˥ sĩ˥˩
dân sự	sɛn˥˩tsɯ˥˩
dân trí	dʑɛn˨˩˦ʈʂɚ˥˩
dân tộc	nʝɯ̞ŋ˨˩tap˨
dân tộc	zan˥˥ tʰau˧˧
dân tộc thiểu số	jɐn˨˩ lɔːk̚˨
dân tộc việt nam	jn̥˩tok̚˨˩ pʰi˥˩ neŋ˧
dâng	jɤŋ˥˥
dâu	zˈaʊ
dâu tây	estas taj
dây	zˈeɪ
dây an toàn	lə˧˧ an˧˧ toan˧˧
dây bìm bìm	jˈajˈɛmˈbˈeɪmˈ
dây cáp	ɛjkɑ
dây chuyền	sɤɕti˥˩
dây chuyền	dʒejdʒɛ
dây chằng	də˥˩j˧˧ kʰaŋ˨ˀ˩
dây chằng bên	jˈɛj˧ mən˧˧
dây chằng chéo	nei̯˩˧tsan˨˩ keu˨˩
dây chỉ	jæːj̥˧
dây cương	sɛj˨˩koʊ˥˩
dây dẫn	jɔːlɔːn
dây dưa	sˈeɪzˌuɑl
dây giày	dʒˈeɪ dʒˈeɪ
dây hoa	jˈɑˈi ˈgɑːwˈɑ
dây kéo	zai̯˧˧ kʰiau˨˩
dây leo	dʒɤj˧˨ lɛːu˧˧
dây lưng	gˈɛ
dây móc áo	saj˧˧ mɔk˨ au˧˧
dây nhảy	saj nːjaj
dây nhỏ	dʒeː˥˩ɲa˥˧
dây nịt	jai̯nːet
dây quàng	di˧˧ kʰua˧˧n˨˩
dây quấn	gɛ̀ːw˧n
dây thần kinh	sɐi̯˧˥ tʰɐn˨˩ kɪŋ˥˥
dây thắng	jɛ˥˥ tʰaŋ˨˩˦
dây thắng ngựa	sɐ̃j˧tʰaŋ˧˧ luə˧˧
dây thắt	zai̯t̪at̪
dây thừng	sãĩ˧˧ tʰɯŋ˧˧
dây thần kinh	jɛː˨tŋ˥˩fɔːn˧
dây thắt lưng	zăj˧˨ tʰăt˧˧ lɯŋm˧˧
dây thừng	jajt̚˨˩ŋ˧
dây trường xuân	sai˧˧ tɕɯəŋ˨ˀ˩ swan˥˥
dây tời	zajːtɔːj
dây vịn	jˈeɪliːn
dây xích	sɐ̃i̯˧sɪ̞
dây xoắn	jæj˧sæ˥˩n
dây đai hành lý nằm ở đâu?	zɤ̆j˧ daj˧ hɑɲ˨˦ lĩ˧˨ nɑm˧˥ ɤ˧˧ dɤ̆u˨ˀ˩
dây đeo quần	jɛj˧ʔdʔua̯n˧
dây điện	jˈeɪ˥lin˧
dây điện	sɤ̆˥ diət˨˩
dây đo	zəˈi do
dây đo sâu	zaj˧˧ no˧˧˧ ʃau˨˦
dầm	fiam
dầm dề	jˈɑm jˈɛ
dầm mưa	dɑŋm˧ʊ˧
dầm sương	dʒam ʃoˌ
dầu	dˌiːzˈaʊ
dấm	dʒam
dấu hiệu	jɐu˥˥ hɪ˧˥
dấu nhạc	jau̯nʲa
dấu trừ	dˌiːzə tˈø
dấu âm	dˌiːzəl am
dẫn	xal
dẫn lực	d̪iɾ ũn lãũ̯
dẫn nhiệt	dˌiːzəlnˌaɪ
dẫn nước	jˈɛ̃ lˈɔ̃
dậy	�ˈaɪˈ
dậy trưa	jˈaɪˌkə
dã	saʔa
dãi dầu	saj˧˧zɑʊ˨˩˦
dãn	dʒen
dãy bạch mã	zˈeɪfɪk mɛːɹˈʔ
dãy núi	jæj nøɪ
dãy trường sơn	zajitʃɨwɨmɨ sɨnˈ
dè dặt	ze˧ˈzek˨
dè xẻn	je˧˥sɛːn˩˩˦
dé	zˈɛɾ
dép	v
dép da	la da
dép lào	ʔblaːw˧
dép quai hậu	pʰua̯j˥˩hɑũ˨˩
dép xăng đan	zɛ˧˧ saŋ˨˦da˧˧ng˧
dép xỏ ngón	ɛːp˦˥ sɔːŋ˧˧ɔn˧˧
dép đi trong nhà	nɛpdiːʈram nɛ
dê	zˈe
dễ	je
dễ bảo	ɟʲɛ˧˧ bâu˨˦
dễ bẩn	f˧
dễ bảo	ɤ˧˧ ma˧˧ a˥˧
dễ cháy	ɛ˧˧ zɛ˧˧
dễ chảy	dʒeː˥˩j
dễ chịu	˧˧ di˧˧ ɛ˨˦ tɕiəw˧˧
dễ dàng	jɛ˩˦
dễ dãi	a jãːj
dễ dính	dʒɛː˥ː dʒɪn˧˥
dễ hiểu	jæ˥˥ hɛːu˥˧
dễ hơn	dʒɛ˧˧ hɤn˧˧
dễ lây	dʒa e lˈaɪ
dễ lắm	ʝe lam
dễ mang	se e maːjˈɛn
dễ mến	dʒe ã man
dễ nghe	dʒuʁiː˧
dễ ngửi	ðe nuj
dễ như bỡn	ʲːɛ˨˩ʲnɯ˧˧ bɔ˧˨an˧˧
dễ nổ	dˌiːzə nˈo
dễ nặn	jɛ̀ nãn̪
dễ quá	jˈɛ ˈaɪ wˈʌn
dễ rèn	ɟʰɛ ræ̹iːn
dễ sôi	dʒa e sˈoːj
dễ tháo	ɑ˧˧ tʰâ˨˩l
dễ thông qua	ge˧˧ tʰoŋ˨˦ kʷa˥˥
dễ thương	ʑɛ˧˧ tʰɯəŋ˨˩˦
dễ thường	nɤŋ˨˩˦ tʰɯəŋ˧˧
dễ tin	gijaːħ piːn
dễ tính	ɛ˧˧ tɪ̆ŋ˧˧
dễ uốn	dʒu ɛ n
dễ vỡ	dʒe̞k vaː
dễ vỡ	okazas la
dễ xem	nur sem
dễ đo	nˈo
dễ đọc	ʝaː laːwp˦
dễ đổ	ʝɛ˧˧ dɔ˨˦
dì	zi˥˩
dì dượng	ziːzɑ
dì ghẻ	tsi˥˧ɛ˨
dìu	jˈu
dí dỏm	ɟʝˈɑmˈ
dính dáng	dʲĩnh˧˨ dʲæŋ˧˧
dò xét	lɔ˥˧sɛːt˥
dòi	tʃiːzaːji
dòm	jam
dòng	zăŋ
dòng họ	hɔː
dòng máu	ɔːŋ˧maːw˧
dòng sông	diam˨˩ sa˥˩ŋ˥˩
dô	zˈoː
dông	zˈɑm
dồi	ˈɔ
dồn lại	zən˧˧ laj˨ˀ˩ʔ
dốc	jˈɛp
dối trá	ioj ke
dốt đặc	joɾna
dù	zuː
dù cho	zɑːɾˈtʃɑː
dù là ngày tết nhưng tôi vẫn phải vật lộn với bài vở.	du˧˨ laː˧˨ ŋăj˧˩˨ tɛt˦˥ ɲɤŋ˧˧ to˧˧ vɤn˧˧ faj˧˩˨ vɤt˦˥ lej˧˧ lo˧˨ vɤ˧˨ baj˧˨ vɤ˧˨
dù làm	zˈulən
dù sao	suːsauː
dù sao đi nữa	dʒù˧˨ saːʔ di˧˧ nɤ˧˧
dù vậy	juː˧
dùm đi	zũmdi
dùng	ljoŋ˨˩
dùng dao mổ trâu cắt tiết gà	zũŋm˧˧ zaːʔ mɤw˧˧ mău˧˧ cɤt˦˥ piɤt˦˥ gã˧˧
dăm bào	dam plau̯
dằm	djam
dằn	djˈan
dằn vặt	sanʋˈat
dằng dây	jˈakʃtˈ
dặm	dʑˈam
dặn dò	jɑn˨˩ jɑ˥˩
dĩ an	e i˧˥aŋ˥˥
dĩ nhiên	ni˧˧ ni˧˧
dĩ vãng	siː ɪvˈa
dĩa	zˈiːɾ
dũng cảm	zumkaɾ
dũng khí	zˈʊŋkʰˈə
dũng tướng	iŋtɛ
dơ	zɒː
dơ bẩn	zˈɛ bənˈiˌ
dơ bẩn	lal̪t̪ bãn
dơ dáy	zɤː zăjˈ
dơ duốc	zə zuok
dỡ đi	aɟi
dở hơi	jaˈhɑj
dở người	dɑ ɲə ɫì˧˨
dư	suɔ˨˩˦
dư luận	zʏ̞nˈlʏn
dư âm	dɯ̞˨˩˦ ɤm˥˩
dưa	zˈuɚ
dưa chuột	tɕuː
dưa hấu	zɯˌɑː hɑl
dưa hấu	dʒɨː hau˥˧
dưa leo	jʊəʔlɛːw˧
dưa tây	dɯə˧˧ tài˧˨
dưa xanh	zˈɪə zˈaɪn
dương	jˈɯ̞ŋ
dương bản	dɯəŋ˧˧ bãn˨˦
dương cụ	lɛːlgɔːu˨˩˦
dương cầm	eːŋ˨˦kam˧
dương cơ	t̪o la
dương cực	zˈɛ ɔ̃n kˈak
dương cầm	jɯŋ˦˥kʰam˥˩
dương danh	sɯəŋ˧˧ zan˥˩
dương gian	jɯːŋ˧˧ xŋ˥˩
dương hoàng yến	hŋ˥˥hŋ˥˥
dương khí	zænˈkæˈɪ
dương liễu	zjɛːnglɛː˧ɔ
dương lịch	zəɾum la
dương lịch	dʧɯəŋ˧˧ lɤ̆t˦˥
dương mai	ðɯəŋ˧˧ mai˧˧
dương oai	ʒˈəʊnwˌaɪ
dương thế	zəɪŋd̪ ɦẽːʔ
dương tính	lã˥˥tɤn˥˩
dương tính	zjˈontˌeɪni
dương uy	njɛŋ˨˩˦ ɔj˧˧
dương vật	ljoʊ˨˩˦ vaː˧˧
dương văn minh	ɯəŋ˧˧ vǎn˧˧ miŋ˧˧
dương vật	njɯːŋ˨˩ vɑːt˧˥
dương xỉ	nɤŋ˧˧ si˧˧
dương ô	ziːnˈoː
dương điện	zi˧˧ uən˧˧ di˧˧ an˧˧
dường như	lŋ˧˥
dưới	uizˈ
dưới sàn	nʲɪŋ˧˥ʂuən˧˥
dưỡng	fou˥
dưỡng chép hình	ɤ˧˧ cɛ˧˧ hɤ̆˩˨
dưỡng dục	zɯəŋ zuk
dưỡng dẫn	dʑɯ̞˨˩˦ ɤ̚˧˩˨ dʑǎn˨˦
dưỡng gạt	dʑɯɯn˧˧ gaː˧ˀ˥
dưỡng khí	ɪŋ˧˥xɤj˥˩
dưỡng khoan	dɯə˧˧ kwa˧˧ n
dưỡng sức	sɯəŋ˨˩ sɯt˦
dượng	ɯ˧˥
dừa	jɤ˨˩˦
dừng	iŋ˥˥
dứt khoát	jɤ˥˥ xwan˥˥
dự bị	ləʔ̚˨˩β̞laj˧
dự phòng	sau̯
dự trữ	jœ˧˥kɑ˨˩
dự tuyển	junt̪o e
dựa dẫm	jˈɤ˨˩˦ jam˨˩˦
dưới	zɣɑj
dưới sàn	ɔːj˧ʈʰan˨˩
dưới đây	zi˧˧j˨ˀ˩ʔ dăj˧˨
dường như	ɲɯ̞ŋ˨˩˦ nɯ̞˧
dưỡng đường	nɤ˧˧ dɤ˧˧
dưỡng, rồi đôi chân của bé từ từ bị liệt	suəŋ˨˦ zo˧˧ doj˧˨ trɤŋm˨˦ kwa˧˨ bɛ˧˧ tɯ˧˧ tɯ˧˧ biən˧˨ liən˧˨
dược khoa	jɑʊ˨˩˦kʰua˥˥
dược phẩm	zofam
dược sĩ	ɤ˧˧ ʃɤ˧˧
dược sỹ	jˈu seɪn
dượng	ɤ˧˥
dạ	jˈæ
dạ cổ hoài lang	dʒaː˨˩ kɔ˧˧ hoài̯˧˧ lan˧˧
dạ dày	jɑːjjɑj
dạ mươi giờ hai mươi rồi	da˧˩ mɯəj˧˥ dɤ˧˧ haj˧˩˨ mɯəj˧˧ rɔj˧˨
dạ vâng	la vˈɛl
dại dốt	ja jˈo
dại dột	dʑaːj˩˩˦g
dạng	dˈas
dạo	dʑaːu˨˩
dạo này	dʑaːw˧n˧
dạo này sao rồi?	zɑw˨ˀ˩ năj˧˩˨ saːw˧˧ zoj˧˧
dạo này thế nào ?	saːŋ˩˩˦naj˧ʔtʰnaːw˧
dạy	saɪ
dạy giỏi	sœ˧˧sœ˧˧
dạy học	jɐt̚˨ hɐp˦
dạy khôn	dˌiːzə kɔːn
dải ngân hà	lai˨˩ nŋ˥˩ hˈæv
dải đất	sài̯˧˥ dɤ̆t˦˥
dấu	lɤ˥˩
dấu bằng	sɐu˧˧
dấu chân	dʒɑʊ˨˩˦ tɕian˥˥
dấu chấm	ljoŋ˨˩ kam˥˥
dấu cộng	sɔːkˈaː
dấu hiệu	jɐu˥˧
dấu hỏi	ɕjɛ˧˧
dấu móc	dʒo˧˧
dấu ngoặc	zoːˈoːˈɛ
dấu nặng	dʑou˥˧nɑŋ˨˩
dấy lên	jˈajlɛn
dần	dʒoŋ
dần dần	jian˨˩ jian˨˩
dầu	dʒo
dầu gội	zau̯goɪ
dầu gội đầu	dʒău˧˧ ɣɔ˧˨ do˧˧˧ lăw˧˧
dầu khí	ɕ
dầu lửa	zaːuːliːva
dầu mè	jau̯˩˧
dầu xả	zau˨˩ saː˩˨
dầu ôliu	zau̯ʔo̞ljw
dầu ăn	dʒaːʊˈtaːŋ
dầy	dʒaːi
dẫm	tsam
dẫn	ɕ
dẫn chương trình	ɑŋ˧˧ cɯŋ˧˧ tn˧˧
dẫn dắt	dʑɤŋ˧˧ zãːk˨ˀ˩
dẫn đầu	vŋm˨˦mɤ˧˧dau˧˧
dẫn đến	dʒœːŋ˨˩den˧
dập	jˈɑp
dập ghim	dʒapgim
dập lửa	zaplˈœr
dập tắt	ɟʰɛpat
dậy	jˈɛ
dậy thì	zˈæˈjtiː
dằng trước	dʒaŋ˨˩˦
dặm	dʑˈeːm
dặm khơi	jɐmːˈʃɑj
dặm đến gặp tôi trong 1 bộ quần	tʰɤm˧˧ təp˧˧ toj˧˧ tʰɤ̆m˧˧ mot˨ˀ˩ buʔ˧ koan˧˧
dặn	ja
dặn bảo	jˈaŋ˨˩ a˥˧
dẻo	dˈɛ
dể thương	ðæj ɪ̞dhɪ̞ŋ
dễ	zˈe
dễ chịu	es tʃe eβ̞le
dễ dàng	zˈɛ ɛ ðˈɛm
dễ dãi	jɛː˧˥ jɑː˧˥
dễ gần	dɑ˧˧ ɛ˨ˀ˩ gɑŋ˥˥
dễ mến	es
dễ thương	seˈʔetʃi
dệt may	ʔj˧tnaj
dệt vải	dʒarˈsˈabˈʕaj
dị	djˈɛː
dị mộng	dˈeɪ mˈaʊ
dị tướng	dʒeːˈto
dị tật	jɔ̀iː˧ at˦
dị ứng	ab˨˩ʔ ɤ˧˥
dịch	gˈɛt
dịch bài này	ʒɯ̞k bɫăj˧ năj˧
dịch bệnh	nit̪ bɔːn
dịch bệnh hoành hành	j˧t̚˨˩ʔp̚˨˩n˧hɔːn˧hɑn˥
dịch hạch	zˈɛkˈrˈɛkˈ
dịch vụ	jɐt̚˨ vɐu˧˥
dịch vụ báo thức	n˩˩˦tp˨˩aː˧w˧tʰɤ̆
dịch vụ phòng	ɤ˧˨ və˧˧ fɔ˧˥
dịp	j
dịu	zɯːl
dọa	ja˥˩
dọa dẫm	jʊəɪ˨˩˦jɑm˨˩˦
dọc	jˈak
dọn	dˌiːzə
dọn dẹp	tɔ̀n˥˩
dọn khỏi	ɑn˥˩ hɑ˧˥
dọn đến	ɔŋ˧˧ dən˧˧
dốc trượt tuyết	jok trøːtˢuɪ
dốt	zˈoːt
dốt như bò	so ɲimbo
dốt nát	dũãː˧ nɛ
dồi dào	zuizau
dồn dập	jˈon˦˥
dỗ	zo˩˥ː
dộng từ	i˧˧ɔ̄ːm˧˧tɤ˧˧
dờ	d̪ja
dở	zˈɑː
dỡ hàng	dʒãː˧haː˧ŋ˨ˀ˩
dỡ ra	a rai
dụ	u
dụ ngôn	iu̯˧˥ŋɔːn˥
dục	io
dục tốc bất đạt	zuʔp˨ˀ toʔp˦˥ bɤt˦˥ daːt˦˥
dục vọng	ʝˈok bˈaʊn
dục đức	dˈɔ̃ dˈø
dụng	lũŋ˧˥
dứa	jˈɯ̞
dứt	dˈiː
dứt khoát	dʒɛb kwãːˈjɛ
dừa	ɪ˥˩
dừng	dŋ˨˩
dừng lo lắng	nɤ̆ɴ˧˨ lo˧˧ laːŋ˨ˀ˩
dừng lại	dʒən˧˧ laj˧˨
dữ	sə
dữ dội	tsˈɛguznoːj
dữ hơn	dʑɯ˧˧ kʰon˧˧
dữ liệu	tsɯ˨˩˦ ljɛʊ˨˩˦
dự	vˈɛˈ
dự báo thời tiết	ɤ˧˨ bʔ˧˧ ʔɤ˧˧ tʰɤ˧˥ ʔe˧˧ tʰiɤ˧˧
dự bị	nɾəabai
dự kiến	ɟʝ t̪e
dự luật	ʔt̚˨˩aw˧loʔt̚˨˩
dự phòng	tsɯpɑŋ
dự trù	dʒɤ˨˩˦ʈʂʊ˥˥
dự tính	ɔːn
dự án	zɯɔːan
dự định	dʒə˨˩lɤ˧˥
dựa trên	zɔtʃɛn
e	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
e lệ	ˈɛle
e ngại	ɛ˥˥ ɛ˥˥
e rằng	ɛɾlɑŋ
em	m
em bao nhiêu tuổi ?	ɛm˧˧ ba˧˧w˧˧nɤ˧˧ tʰo˧˧j˧˧
em bé	embe
em chào anh	ɛm˧˧ tʃaːw˧˧ anŋ˧˧
em chào chị	em˧˧ tɕʰaːtʰi˧˧
em có khoẻ không?	ɛn˧˧ kã˧˧ xʰtʰ˧õŋm˧˧
em có khách hàng không?	ɛm˧˧ ko˧˩˨ xăt˧˥ haːŋ˧˨ xoŋm˧˧
em có muốn trở thành người luôn đồng hành cùng tôi suốt cả chặng đường đời không?	uən˧˧ kɔ˧˧ muən˧˧ cɤ˧˩˨ tʰɤ̆n˧˥ ɲɤj˧˨ luən˧˧ doŋm˧˧ haɲ˧˧ kuŋm˧˧ to˧˧ suɔt˦˥ ka˧˩˨ tʂa˨ˀ˩ʔ ɛ˧˧ dɤ̆j˧˨
em có đồng ý lấy anh không ?	ɛm˧˨ kɔ˧˨ dɔŋm˧˧ i˧˨ lɤj˨ˀ˩ʔ an˧˧ xoŋm˧˧
em dâu	ɛmˈzɐwˌ
em giai mình làm tại nhà máy diêm	ɛm zaː˧ mɪn˧˨ lam˧ˀ˥ tɑ˧˧ nhaː˧ mɤj˧˩ dim˧˧
em giai mình mua cái đèn pin	em zajmɤn muɟla ɛn biːn
em gái	lɛjm gaj
em gái tôi hay bị lừa vì nó rất cả tin	ɛm dɑ˧˧ kən˧˧ hɑi˧˧ dɤn˧˧ ɛt˨ˀ˩ʔ tʰɤ˧˥ ʔə˧˧ nɤw˧˧ kən˧˧ hɑi˧˧ dɤn˧˧ lɤ˨ˀ˩ʔ tʰɤ˧˧ ʔ˧˧ nɤ˧˧
em họ	emho
em lan dạy mình đan mành mành	ʔɛm˧lɔ̄ːn˧ʔhmndaːn˧manʔman˩˩˦
em lan mua cái quạt lụa màu tím	ɛm˧˧ laːm˧˧ mu˧˧ ka˧˩˨i˧˧ hoæ˧˧t lu˧˨ mɔ˧˨ ti˧˩˨
em rất là xinh đẹp	ɛm zʌt˦˥ laː˧˨ sin˧˩˨ dẽt˦˥
em rể	emze
em trai	en tˈɾˈaɪ
em tuyệt lắm	emteɾla
em vẫn buồn như xưa	ɛm˧˧ dɤ̆ŋm˧˧ po˧˧ ʔi˧˧ sɯ˧˧
em yeu anh	ɛm˧˧ ˧˧ iu˧˧ ɑŋ˨˩˦
em yêu	ˈæm juː
em yêu anh nhiều lắm	ẽm˨˩ iə˧˧ ɑŋ˨˩˦ njɯə˧˧ lăm˧˧˧
em út	ˈo
em ăn cơm chưa	ɛm ăn kɤm cɯə˧˧
em đang học tiếng trung ạ	ɛm˧˧ nɑŋ˧˧ hɑŋ˧˧ tiən˧˧ cɯ˧˧ ʔə˧˧
em đi mua rau.	˨˩lɤ˧˥ di˧˩ mu˧˧ rau˧˧
em đẹp lắm	ɛm˧˧ dep˧˨ lăm˧˧
em ơi	ˈɛm ɤɪ
em ơi tính tiền cho anh	tĩŋ˧˧ diən˧˧ cɔ˧ aŋ˧˧
