-ին	ɪn
բաժանմունքում	bɑʒɑŋmɔŋkum
բաժանորդ	baxanost
բաժանվել	paaʒɑ̃vˈɛl
բաժին	baʒən
բաժինը	basime
բաժնետոմս	daʒnɨtoms
բաժնում	poʒnum
բալ	pɔːl
բալիկ	baliko
բախում	baxʊm
բախվել	bɑːxbɛl
բակ	pag
բաղնիք	tɑɢɯnɯk
բաղրամյան	bɑqrɑmjɑn
բաճկոն	batʃkɔn
բայ	baj
բայազետ	bajazet
բան	bon
բանալի	bonalim
բանալու անցք	bˈɑ̃alˌuː
բանակ	bɑnɑt
բանակցություն	bonaktʃiqˈjun
բանաձեւ	ɔnɑdzɛv
բանան	banan
բանաստեղծություն	panɒstaqtˈiˈnˈ
բաները	baːnajɾe
բաներին	banerin
բանկ	bal
բանկատեր	dantatɛr
բանկիր	poːnkiːr
բանջարեղեն	bonˈdʒɒɾˈiˈqen
բանվորները	bɒnbɒɾneɾim
բանտ	pɑnd
բառ	ar
բառամթերք	nˈoʊnˈoʊsˈiːləsˈʌnɛzlɪkɛ
բառապաշար	baɾapɑsɑɾ
բառարան	bɑːrɑrɯn
բառեր	bˈɑrˈɾɛt
բառը	morɾem
բաստուրմա	bast̪uɾma
բավական	davapan
բավականաչափ	babakanatʃap
բավարար է	bɐbɐrɑɾa
բավարարվել	babaɾaɾgɛl
բարակ	paɾak
բարբառ	bɑɾbɑɾ
բարգավաճում	boɾɣalɔtʃu
բարդ	bɑrt
բարելավել	bɔɦɾɛlabɛl
բարեկամ	berakan
բարեկենդան	barakˈantʰana
բարենորոգում	bɑːrɑːnæˈɾɑkʰeːm
բարեվ ձեզ	mʌɾˈɛvdzɛs
բարեփոխություն	bɑɾɑpɑχutʃɯm
բարի	bali
բարի առավոտ	bari əraʊot
բարի գալուստ	baːriː gɑːluːst
բարի գիշեր	baːɾig gisər
բարի երեկո	bʊ̞rɪ̞ jɯ̞rɑkɑ
բարի լւոյս	baːri lʊis
բարի օր	bˈaɾe ˈɔɾ
բարին	barim
բարիշել	pɾiːʃjɑːl
բարիք	balik
բարկանալ	argaːnə
բարկացած	pɑɾkɑtsʰatsʰ
բարկություն	bˈɑɹkwˈʊtʃˈan
բարձր	vɑɾtsəɾ
բարձր աթոռ ունե՞ք	bɑɾtsʰəɾ ɑtʰoɾun ek
բարձրահասակ	bɑɾtɯnɑhɑsɑk
բարձրանալը	bɒrtsiɾˈɒnˈɒdi
բարձրանում	bartsɾamɪn
բարձրաստիճան	bʌtsʰastʃaˈn
բարձրացման	bɑɣtsʰɑtsman
բարձրացնել	bɑːɹtsɑːɹtsnˈʌt
բարյացակամություն	bʊɾɪjɑtsʰɑkɑmutʃjun
բարոյագիտական	baɾɔɛkitatɑm
բարոյական	blarojˈaktː
բարություն	baruʲtsʲu
բարև	barɛt
բաց	pats
բաց գույնի	batskɔjni
բաց երկնագույն	fɑtsʰ eɾknɑgum
բաց մանուշակագույն	batsʲ manuʂa kagoʲem
բաց անել	batsɑnɛ
բաց թողնել	bʲɪtstʰoχnél
բացահայտ	batːzɑhɑj
բացառապես	matsaɾapɛs
բացառել	bɑːtsʰɑːrɑːjl
բացատրություն	basatrutsi
բացարձակ	bätsɑɾtsɑk
բացել	bˈɑːtsən
բացեց	mˈɑtsɚt
բացի այդ	bat ʃiː ajt
բելառուսական	bælɑrɯ̞sɑkæn
բելգիա	belge
բեմադրել	bemadrɛl
բենել	damɑl
բենզալցակայան	mɛnzalɑtsʰɑqɑjɑm
բեջանյան	beˈdʒeˈnˈion
բեռ	bˈɔ̃
բեռնաթափել	lɛtʃtɛbɛrnaːtʰagɛŋ
բեռնատար	bɔɾnɔkɔj
բեռնատար մեքենա	hœrna dɔrmæk hena
բեռնարկղ	ɾunɑɾdɔ
բեռնել	bermal
բեռնում	lɛrnɔvɔ
բերան	aɾɒn
բերանը	dorona
բերանը մի բան դնել	boɾɔnnʲinʲutaːɣɛtaˈn
բերել	beʁɫe
բերելու	dajɾlʊ
բերնաթափել	dˈoʊldnˈoʊphˈæpən
բերում է	beirɨmei
բերված	bʊɾɑːɾ
բեքայի դաշտավայր	beːkajóʃtɐvɒj
բզզալ	bazzaɫ
բժիշկ	aʒɛʃk
բժշկական	bʊ̞zʊ̞ʂtʊ̞käːn
բժշկել	boʐɨʂtʲim
բժշկություն	bʏ̞ʒʏ̞ʂkʏtːjɯ̞n
բիկինի	pikini
բիրտ	dˈi
բլանկ	blank
բլանկը	blanke
բլուզ	bɫus
բլուր	bɪlˈʊɾ
բյուր	bjɾ
բյուրական	buɹɑkkãn
բնագիտություն	banaxatatʃatʃɨm
բնական	bɑnɑːkɑːn
բնական է	bnətɑːne
բնական է	bunakɑɯ̞n
բնականաբար	ɑlɑlɑnɑl
բնակավայրի	ɓnəːqɑːbaɪɾiː
բնակարան	peɾnɑkɑɾɑn
բնակելի	bəˈnɛkeːliː
բնակիչ	dʊnˈoːgi
բնույթ	bˈɛnə�t
բնույթի	bɔnɔjtiː
բոբիկ	vobj
բոլոր	bɔɫoɾ
բոլորը	bɔɾlɔɾɛ
բողբոջ	bɔɾbɔtʃ
բողոք	bʊ̞ʁʊ̞k
բոյով	pajɔv
բովանդակալից	pofandɑkɑlɛts
բովանդակել	boˈvɑˈndɑˈkæl
բովել	bovɛl
բորբոքել	bolbokel
բորբոքելու	bɔrbɔkke̞lʊ
բորբոքում	laboˈku
բորբոքվել	voʁbokʰeˈl
բորտուղեկցորդ	hóɾtúgɛktsʃɔɾt
բութ	mˈut
բուժարան	jɛn˩˧xʊ˥˩tjɛn˥˩
բուժել	buzɒl
բուժվել	puʒvˈɛl
բուժքույր	bʊ̞ʂkɔjtʃ
բուլղար	buxɑr
բուլղարերեն	bˈulgɒlɒgɒn
բուլվար	bwlβɑɾ
բույն է	bujme
բույս	bujˈs
բույսերի	poiseli
բույր	buð̞ik
բուռն	moɾem
բուռն ծափահարություններ	bʊ̞rɑntsɯ̞ ɑfɑɾɯ̞uθɪ̞ŋdʲɪr
բուսական	bosakon
բուսական թեյ	busɑkɑnt hɛj
բուսականություն	puʃaːkɔːnˈutɪən
բուսականությունը	busɑkɑmitsjɵnɛ
բուրավետ	buɾavet
բջիջ	bʌdˈit
բջջային	batʃtʃɑjim
բջջային հեռախոս	bətʃtʃaːjiːn ɦr aːxs
բջջի	bˈʌtdˈidi
բռնակալ	brnakaːl
բռնապետ	pornʊtʊ
բռնել	bɯ̞rnæl
բռնության	bɪrˈnʌtjɪm
բռնցքամարտ	berənskɑmɑɾt
բռնցքամարտիկ	ɾɑntsʰkʰɑmɑrtʰik
բռունցքներ	brunsknər
բրազիլիա	brazɨlʲa
բրահմա	buraħma
բրդուճ	bostɔtʃ
բրիգադը	brigaːda
բրինձ	bˈɾˈiŋs
բրուտ	brut
գ	im
գա	gɑ
գագիկ	gɐgˈik
գազան	kazan
գազաններին	ɣazanɛ
գազար	gəˈzɑːd
գազարագույն	kˌɐzɐlˌɐgˈaɪŋ
գալ	kɑːl
գալակտիկաներ	kalaktikanes
գալիս	galis
գալուստ սարգիս կիւլպէնկեան	galʊs tsərɑtliz kɛl pəŋ keːˈn
գալստյանը	galestiana
գաղտնի	gˈaxtnˈe
գամ	gɑːm
գամել	kamil
գայանե	gajɑnɛ
գայանե խաչատրյան	gɑjɑne χäːtʃʰɑtrʲiːn
գայանե չիլոյան	gajane tʃil ojɔn
գայլ	gˈaɪz
գայլաձուկ	gäːlæbzoːk
գայլը	kajl
գանձ	gˈant
գառ	gɑːt
գառնի	darnɛ
գառնիկ	gɑrnik
գառնիր	darni
գարեն	gˈaɾˈɛn
գարեջուր	kɑɾɑdʒoɾ
գարի	gari
գարուն	kɐɾuːn
գեղամ	gəˈram
գեղանկարչություն	gegɑnnɯˈkɑɾtʃotʃun
գեղարդ	gʝægɑːr
գեղարվեստական	kéʁɑɾfestɑkɑ́n
գեղեցիկ	jɪˈɾɑdˈiːk
գեղեցկուհին	dʒéɾʁɛtskuhĩŋ
գեղմնավետ	gɛŋneːvɛt
գենետիկ	kænɛtʲikː
գեները	dʒenera
գեշ	dˈos
գետ	et
գետամեջ	gʲɛdˈemetʃ
գետային	dʒɛtɑjɛn
գետավան	ɣɛtabɑm
գերան	la
գերատեսչություն	gæræʁdɑʃtʃotʃon
գերարագ	jɑrɑk
գերեզմանոց	gʲiðmʲaˈnod
գերիշխող	gæɾiʃqɑq
գերհզոր	gæɾhøzɑɾ
գերմաներեն	gɛrmɑnɛlɛn
գերմանիայի	germɑnijɑj
գերչակի ձեթ	kéɾʃɑkʰet zet
գթալ	kɔŋˈ
գինեգործ	híŋːɛgɔɾts
գինը սխալ է	ɟil nes sɑhɑlɑ
գինի	gini
գիշեր	giʃɛɾ
գիշերը	dʒʃtʃɛɾɛ
գիշերվա	ðiːzolbaːn
գիտական	gitˈakˌan
գիտակցություն	nitaʊptsuʁkjʊn
գիտելիքների	ɟɛtalɛknariː
գիտեն	kˈitˈɛn
գիտենալ	kitenoɾ
գիտնական	ɟɛpnǎqɑn
գիտնականների	kʰitnɑːkɑnnéɾi
գիտության	tlituts�tun
գիտություն	dʒetʃ
գիտությունը	gitutsjona
գիրք	kɪ̞k
գլենդել	klˈɛndæl
գլենդելում	klainbɛlˈum
գլխակապ	tˢəlˈxʌtqoːb
գլխաշոր	kˈilxæˈʃɑʃ
գլխաշորով	ulkʰɑʃuɾuf
գլխապտույտ	ðˁælħɑtˤtˤɑːm
գլխավոր	tɛn˧˥tʃɑːmɑːl
գլխարկ	kʰenχælk
գլխացավ	glˈxɑːtˈsɑːf
գլխացավ ունեմ	kɯlxɑtsɑvunɯ
գլորել	kloɾt
գլուխ	klux
գլուխս	gloħes
գծով	kɛtse
գյուղ	kjoʁ
գյուղական	ɟʝoɣaakak
գյուղապետ	gˈœʁˈapˈaːt
գյուղատնտեսական	joʁatɯ̞ntɑsäkɑn
գյուղատնտեսություն	kixaːtontaasʃuːtʃjæn
գյուղացիների	giuhatʃineri
գյուղի	kjuːɾiː
գյումրի	gumri
գնա արևելք հիմնական փողոցով	kʰnɑ ɑɾevél kʰimnɑkɑ́n pʰoχotsof
գնա կամրջի տակով	kɯ̞nɑk ɑmɾdʒit ɑkof
գնա հարավ մայրուղով	kɪːnˈa ħˈalaf mˈajɾuɣuːf
գնա հետ դեպի հիմնական փողոց	knɑ́ het tẽpí himnɑkɑ́n pʰohoʰtsʰ
գնա հյուսիս մայրուղով	kɔːnɑː hjosis mɑiːruːv
գնա ուղիղ մինչև	kɛˈnɑl uːgriːx mɪn tʃef
գնալ	nˈal
գնալ կամ գալ	d̪enalt̪ãn̪d̪aʝ
գնացք	kˌanˈatsk
գնդակ	gʏ̞ndak
գնդակոծություններին	nʲindækʊtʲːimtʲaɾi
գնդաձև	βɯ̞ntɑzɯ̞
գնել	kənɛl
գնում	ãlə
գնում էին	ganum tʃiam
գնում կատարել	kʏ̞nʏ̞mkætæræɬ
գնումներ	ð̞ẽn̪omd̪eɾ
գոլ	gɔu̯
գոլորշի	gʊlɑːrʃuː
գոհ	gˈo
գոհար	gʊɦˈɑːr
գող	bua
գոճի	gotʃi
գոմեշ	gɔmɛs
գոյություն ունի	kujutsu nuːni
գոռ ներկարարյան	mkaɾ neɾkɒrɒɾiɒˈn
գովազդ	gɔvɔst
գովազդային գործակալ	kovɑzɑdɑjiŋ koɾtsɑkɑl
գովազդել	gɔvastaj
գովազդներ են	goˈgɒˈz næɾn
գովեստով	ʒˈaɪnəlˈɛmˈɛnˈɛ
գոտի	koti
գոտի-կորսետ	ko˥˩ːti˩˥ːko˥˩ːlset̪
գորգ	kɔɾg
գորիսում	kolisˈum
գործ	dˈias
գործադրել	kɔrtsaðɾɛl
գործած բլուզ	bˌoɾtʃˈaɾz bluːz
գործավար	pʰoɾtsɑvɑɾ
գործարար	gɾtsɑ́ɾɑr
գործարք	gɔrtsɑrk
գործարքային	goɾdʒɑʃkʰɑjum
գործել	gˈɔɹtsˈæn
գործեր	gʊrtsæjˈ
գործերն ինչպե՞ս են ընթանում	gɾtsə e nintʃpɛs ɛn ɑntʰɑnum
գործը	kortsɛ
գործընթացների	kovtsəntɑtsnéɾí
գործընկեր	gʊ̞rtsʊ̞nkɪ̞ð
գործիք	gʊ̞ɾtʲik
գործնական	ɔtsɨnɔtɔvɔ
գործողության	boltsʊvutʲːan
գործողությունը	gorsɒhutsʲunə
գործողությունները	gɔɾtɑʁutʃjúmnɑjɾa
գործողությունների	waːntsəgoːtsˈeoːne̞j
գործոնների	gotsonˈnæri
գորտ	gˈɔɹt
գուամ	gwam
գուլպա	kʊːlpa
գուլպաներ	kʰuːlpɑːnlaʃ
գումար	gummaʃ
գույն	tuːjˈʌŋfʷʊʔt̚bɒɫplˈeɪɚzˈweəɹɪŋbluːəndjeləˈjuːnɪfɔːmsfˈaɪtfˈɔɹðəbˈɔl
գունազարդել	gonnəzɑrtʰɛl
գունատ մանուշակագույն	kuːnat mɑ muːʃaːkaka kuːjn
գունդ	ugˈŋd
գուրգենի	gɔlɛgɛne
գուրգուրել	guɾguɾeʲl
գռփող	garpo
գտալ	gətˈaɪl
գտնել	kɛtnɛ
գրաբար	gɾɔbor
գրադարակ	gɾaːdaːra
գրադարան	kɾadaɾəm
գրականագետ	graːkanagˈet
գրականություն	drakanuðsʲen
գրանցել	gɾˈansˈɛl
գրանցվել	bɚaʊnflaɪ
գրավ	gɾa
գրավել	gravɛl
գրավիչ	graviʒ
գրավում	gravum
գրբաց	kɾpats
գրել	kɾl
գրիգոր	griːkɔr
գրիգորյան	kroɣoɾiem
գրիմ	bɹim
գրիշա	griʃa
գրիչ	kɾitʃ
գրիպ	drip
գրիպային	bipaj
գրիր	θɹɪm
գրկել	kœ̃kɛt
գրող	nˈoʊkˈænˈisɑːt˥tsskʰoːxtjˈɛ̀
գրողի	biroc
գրություն	kʏ̞rʏ̞tʏ̞n
գրում	d̪im
գրում եմ	brɔmmɛn
գրքեր	gˈɚkˈɪɹ
գրքույկներ	gəkˈɢueknæz
գցող	kˈʌtsˈɒh
գևգեոզյան	gjafʁʝaxozan
գևորգ ջահուկյան	gɪvˈoːn dʒˈɑ ɦoʊtgˈiːɑŋ
դ	da
դա	da
դադարեցնեք	dakʰaɾatʰsʰmɛk
դաժա՞ն է	dazaˈne
դաժան	dajaˈna
դաժան է	d̪a fɛtʃe
դալար	nɔɫɔm
դահլիճ	dokˈlidʒi
դահուկային արահետ	t̪əɣ̞uqäːɪn əɾäːe̞t̪
դանդաղ	tɑndɑg
դանիական	daɲˈala
դանիել	dˈanil
դանիերեն	daneɾen
դանիէլ	dˈɑnˈe
դաշնագիր	dˈɑʒnˈodiːɭ
դաշտ	dɑːʃt
դաշտը	daʃta
դաշտի	dastɨ
դառը	dara
դառնա	d̪aɾn
դառնալու	darnaldʊ
դառնում	d̪aɾnõɾ
դաս	tas
դասագիրք	taːsagɪfq
դասախոս	lasaːxost
դասախոսություն	dɑstaxʊstɯtjiŋ
դասակ	dˈɑstˈɑt
դասավանդել	tasavanˈden
դասարան	dɑsɑran
դասի գնալ	tasignab
դաստակ	dasˈtak
դաստիարակ	d̪ɐstʲiɑrɑt
դաստիարակել	dəstʲɪrʲɑkʲeːl
դավ	dɑːb
դավթի	dæfti
դավիթ	david
դատախազներ	dataχɑzneɾ
դատապարտյալների	t̪ed̪epãɾt̪ialneɾi
դատապարտվել էր	tɑt ɑ pɑʃtəwél eʃ
դատավոր	dɑtɑvɔr
դատարկ	bapaːr
դատարկ է	dapau̯tʃkʲi
դատարկ էր	da taːɾkɛɾ
դատաքննություն	dataqnutsʲon
դատաքննությունը	datəkənutsiui
դարակ	daːɾat
դարձակ	tsˈɑɹtsˈʌp
դարձան	dartsɔn
դարձավ	dˈɑɹtˈsɑɹ
դարձուածք	tʰaɾtsʰpɑtskʰ
դարձրեց	dartsrɛts
դարձրու	taːrˈtˈɾu
դարչնագույն	tɑrtʃɑnɑkʰoːˈn
դարպաս	dapas
դդմիկ	lətˈmik
դդում	dˈətˈum
դեբյուտ	dʲebʲut
դեկտեմբեր	tɛktɛmdeɾ
դեղ	dˈɔ̃
դեղագործ	tʰeŋlagoɾts
դեղատոմս	dˈɛʁˈatˈɔ̃s
դեղատուն	d̪aɣ̞at̪on
դեղին	tæɾʲim
դեղձ	dˈɛ
դեղնադեմ	ozna
դեղնախտ	dobra
դեղնավուն	tsʰoɣnɑɾbun
դեղնել	boɣumu
դեղնուց	dɔʁnwt
դեղորայք եմ ընդունում	tsʲiɣo lajik e̞mantuno
դեմ	dˈɛm
դեմը	dɛma
դեմը կտրել	dɛnapetrɛl
դեմոկրատական	dɛmapraɔtɔkɔm
դեմոկրատիա	dɛnakrɔtɨ
դեպի աջ	tˈɛpi ak
դեպի արևմուտք գնացող մայրուղի	tepí ɑɾevmútʰ pkínɑtsʰóʁ mɑjɾuʁʰí
դեպի հետ	teː pi het
դեպի ձախ	tɛpˈitsˈax
դեպի շրջանաձև երթևեկության երրորդ ելքը	tïip i ʃɾdʒɑnɑtsép jeɾ tvéʒkutsʰjɑn jeɾoɾt jelkʰ e
դեպք	dˈɛ
դեպքեր	dˈɛpˈke
դեպքերը	deːpkereːl
դեպքի	tɛpki
դեպքում	dakˈon
դեռ	dˈɔɹ
դեռեվս	tɾɛvas
դեռեվս ays or bidi kam	ðɛ arɛvɛ zai̯ soɾ btʃiɟəl
դեռեւս	dæɾgæwɑz
դեսանտային	desantajen
դեսերտի համար ի՞նչ ունեք	tʰeséɾ tí hɑmɑ́ɾiŋ tʃʰunékʰ
դեսուդեն	ðesɔdˈen
դեսպանատուն	tɛspɑnɑtun
դեր զոր	beːtʃ zɒt
դերասան	ðeɾasan
դերասանուհի	dsɑnˈuhˈi
դերձակ	dɑrtsɑ́k
դերչնագույն	dʒurnʃuɣuɪn
դժգոհություն	leskou̯seŋ
դժժալ	bɑzɑm
դժոխք	dˈɛst
դժվար	zˈɛzmˈar
դժվար թե	ðəzˈvɑrˈtɛm
դժվարություններս	tɛʃuɑrɔtsuŋnɛrɛsɛ
դի	tʃiː
դիալոգ	niamo
դիալողոս	dʒyplugut
դիակ	dˌiːzə
դիանա խուբեսերյան	dianna xʊ pə seriːɔn
դիաֆրագմա	ðiːzʝɑðʝ
դիետա	dʲeto
դիզայն	dizˈɛɪn
դիզել	dizel
դիլիջան	ɾillidʒan
դիմակավորվել	d̪imakaβ̞oɾβ̞el
դիմահարդար	mi˥˩mɑ˥˥ʔʊ˨˩˦ʂu˨˩˦
դիմահարդարում	bimˈɑhˈ
դիմանալ	tiːmanal
դիմանկարչություն	dimaːn˧lɑːkaːrʃutn
դիմավորել	dimaboroel
դիմացը	dimatse
դիմել	t̪iːmæn
դիմորդ	dʒemos
դիմում	dimum
դիմումի	td̪eɣ̞iɾeoŋ
դինամիկայով	t̪iːnaːmikaːɟai̯f
դիպլոմ	diplˈoːm
դիվան	divaːn
դիվանագետ	bizɑmɑgɛt
դիվանագիտական	ð̞ivanaɣ̞it̪akẽn
դիվերսիոն	d̪iβ̞eɾsion
դիտարան	bit̪oran
դիտարանի	ditʃaɾaˈni
դիտարկում	d̪et̪aʃkõm
դիրք	ðiɾkøn
դիրքային	ɟɞɾkâi̯n
դլե յաման	roaːjɐman
դղրդալ	dɯgɯrˈtaˈn
դյուրավառ	tiuɾabar
դնդչել	dˈoʊnttʃˈaɪl
դնել	ð̞ene
դնթռել	dtrn
դոդոշ	dɔdɔʃ
դոլմա	dolma
դոկտոր	dɔkˈtɔr
դոկտորություն	doktorutsʲon
դող	dˈɔʁ
դողալ	dohaːl
դողում է	tˈeˈɪsua
դողում էր	a doˈmɛʁ
դոյզն	tuzˈin
դոնոր	ˈdɒnɒɾ
դու	tu
դու գեղեցիկ ես	toʁa ʁaʲtsʲikæs
դուդուկ	duduk
դույմ	tʃiːm
դուշ	dˈuʃ
դուռ	dum
դուռն	durum
դուստր	tuːstəʃ
դուստրեր	tʏsˈtʏrɛtʃ
դուստրերը	tʊ̞wʂtʊɾɛjjæ
դուստրերի	tustˈveɾi
դուր գալիս	tuɾ kalis
դուրս բերել	dusberel
դուրս գալ	d̪usgɔn
դուրս գրել	toɾsdʊɾaːlʲ
դուրս գցել	toɫɯ̞s̺tuts̺o
դուրս ընկնել	doːstˈændmɑːd
դուրս թողնել	dʊˈstħɒgnoˈ
դուրս հանել	dˈoɾəstˈumˈɔɹoʊ
դուրս նայել	tusnajɛl
դուք	tuk
դուք mastercard ընդունու՞մ եք	duːk mɑːstɑː koʔɑrd ɔntuːnˈuː me̞jk
դուք զբաղվա՞ծ եք	duks baɣvatak
դուք ընկեր ունե՞ք	dukə me keːr ɔnɛk
դուք ընկերուհի ունե՞ք	duː kɪn kjeˈrʏɦi mɪˈnɛk
դուք խոսու՞մ եք անգլերեն	tʃiːzi kʰɒsʃuːm e kɒŋg leˈlæɾiːn
դուք խոսու՞մ եք ռուսերեն	duk xosum e kɾusɛr en
դուք շատ գրավիչ եք	lukʃaɾt grəvitʃɛk
դուք պարու՞մ եք	duk paromɛk
դուք քարտեզ ունե՞ք	dup kʰɑrtɑzumɛk
դպրոց	tɛprɔs
դռնապան	d̪ornapan
դրա	bɔˈɫɑ
դրախտ	drɑːxt
դրախտը	draɣdam
դրախտում	brastum
դրական	drakaːn
դրամ	dram
դրամական	dʒɑmɑkɑeɗ
դրամաշորթ	d̪ɾamaʃoɾ
դրամաշորթություն	dramasɛrtutsjun
դրամապանակ	dramapanak
դրամատուն	dʁamahtun
դրանից	dɾaːnɨts
դրանք	drank
դրանք են	brˈanken
դրասենյակ	ðaːrɑsːajnɑ
դրացի	graːtsi
դրդում ես	dertumɛs
դրել	boroːl
դրեց	dratsʲ
դրսում ազատ սեղաններ կա՞ն	dɾsúm ɑzɑtsʰéʁɑnnéɾkɑ́n
դրսևորում	tærsævɑrɔm
դրսևորվում է	resʲtsʲevoɾvume
դրվատական	darʋatakkɑːn
ե	etʃ
ե՞րբ եք ինձ զանգել	jæ peknim zˈaŋgəl
ե՞րբ է վերջին գնացքը մեկնում	éɾ tʃɑvɛr dʒɑmɑn ɑtskʰɑnʔaknúm
եբրայերեն	jeˈpɾɒjeˈlɒm
եգիպտոս	jægiptoz
եգիպտոսի	jɑgipnasːe
եդեմում	edemi
եդեսիա	jedesja
եզակի	jeˈzɑːkɪ
եզակի թիվ	jeːzɑːkiː tʰiː
եզր	jezə
եզրակացության	jezɾɑkɑtsuʰtʃjɑn
եզրակացություններ	jezɾakazutɕumneɾ
եզրափակման	jezrapɑtmɑn
եզրաքար	jæzɾakɑɾ
եթե	jætæ
ելակ	elak
ելնելով	jɛn˩˥nɛːlɔv
ելույթ	jˈɛløːt
ելք	jˈlk
եկամուտ	dʒotamuestʃ
եկել	tjˈakˈe
եկեղեցի	ˈokəʁˈɛtsˈim
եկեղեցու	je˩˥ːkɛrɛtso˥˩ː
եկեք	kikːɪkː
եհովա	jɔɦɔva
եհովա աստված	jɛɦo vaː aːstvat
եհովայի	jehovˈɑːriː
եհովայի վկաներ	jeɣo vɑj vɔkɑnʲer
եհովային	ɟʲehoʋaʲi
եհովան	jehoːvɒn
եղածը	jɛratsɛ
եղանակ	ʲiːzɛxɑːnɑ
եղանակը	jaɣanakə
եղանակները	jeχɑnɑtnæerɪm
եղավ	kʰaf
եղբայր	jæχbaːjɛr
եղեգն	dˈiːegˈɛg
եղեգնաձոր	ʲæɢnɔdzɔr
եղել	jeɣeːl
եղիազարյան	jeɣiːzɑɾiːjɑn
եղիշե չարենց	néɾ iʃ ɑ tʃʰɑɾ jentsz
եղիր	ʑuχuɫ
եղունգ	æðæm
եղջերավոր	ʁeχtsʃerɑbɑɾ
եղջյուր	ɛˈeˈʁtˈˈ
եղրեւանի	ɪ̞ɢɪ̞rɪ̞wɑnʲɪ
եղևնու	jɛnɨvnɔ
եմ	sɛm
են	on
ենթաստամոքսային գեղձ	jænt hɑstɑm ʔøksʔə ʔeŋ kerts
ենթարկված	jænthɑlkʰʊmɑːts
ենթարկվել	jẽːntʰaɾkɾel
ենթարկվելով	jntʰɑɾtʰvɛlof
ենթարկվում էին	dʒentazgume
ենք	ɛ̃p˨ɛn˧
եռակցել	jɑrɑqsæl
եռամսյակ	ˈjarˈɑmsjɑt
եռանդուն	kijɯrɑntʏn
եռանկյունի	ɛrandɟɪni
ես	jˈɛs
ես ամրագրում ունեմ	jɛ sam rɑgrɔbŋɔnɛm
ես այդպես եմ կարծում	jɒs ɒjˈt pɒl sɒˈm kɒɾtun
ես անդորագիր ունեմ	ies ɑndoɾɑgíɾunəm
ես առկա հիվանդություն ունեմ	jes ɑrkɑ hijfɑndutʰjunən em
ես բաց եմ թողել իմ կանգառը	jés pɑts jəm tʰɔvél ĩnkɑ́ŋgɑrə
ես եմ	jɛsem
ես ետ եմ եկել	jes je təmjɛkel
ես ընկուզեղենից ալերգիա ունեմ	jes əŋkuzɑɾɑnítsʰ ɑléɾgijɑ unə
ես կուզեմ իմ սթեյքը միջին պատրաստման	ja esɣuze mʲimsteʲkə mʲitʃʰiŋ pɑtɾɑstnoːn
ես հայ եմ	jˈɛs hˈaɪɚ
ես ու դու	həz u
ես ուղակի նայում եմ	jæsʏbækʲiˈnæ jomæm
ես ունեմ շատ ավտոմեքենաներ	jɛs unem ʃɑt af tə mjeχénɑn eɾ
ես սալաթ եմ ուզում	nʲez sæˈlæ teːm ɔːgum
ես սիրում եմ այն	jes siɾum eˈmɑjn
ես փոխհատուցում եմ ուզում	jes poχɑ tutsʰum e muzum
ես քեզ սիրում եմ։	jæs gˈaz sˈaɪt rˈumən
ես օգնության կարիք ունեմ	jɒsɒˈknˈiˈʃɒŋˈqɒɾi konɒm
եսամոլ	jɛstamɑw
եսամոլություն	jæsˈtˈɑmˈɑlɑːˈluːttsum
եսայիա	jɛstsaje
եսասիրական	estossiɾaːkon
եսասիրություն	jesasðirutsion
եսթեր	nˈɪsteɪt
եսիմ	jɒˈʃɒm
եվայի	jebajɯ
եվրասիա	jeːbrɑkja
եվրոպա	ɛˈʋlʲɔba
եվրոպական	jevraˈpakaˈ
եվրոպայի	jɛvropai
ետևում	jatɛvum
երազ	jeˈɾɑːs
երազանք	ɾɑzɑn
երազել	jæˈɾˈɑːtsɯˌ
երազիկ	kéɾɑziːnjeːˈtʃkéjhɑjɑlédiː
երազում է	je razumæ
երազում էր	je razumer
երաժիշտ	ɛraʒist
երաժշտություն	iːɾaʒɒsdwtsiŋ
երախտիք	jeɾaχtík
երակ	jɛrɑk
երաշխավորել	ɒnɒʃχɒvɒɾeɾn
երաշխավորում	jɑrɑʃχɑvɑrɯ̞m
երաշխավորված	β̞eræʃχɑbw̜ɫdɑ
երաշխիք կա՞	ɑʃχʰʰikʰ kə
երբ	jˈɛ
երբևէ	jækpʲeˈbe
երգել	ɒlken
երգիչ	ɛrˈkɛ
երդիկ	éɾtʰiːk
երեխա	jeɾæxæ
երեխայիդ	jeˈɾexɑj
երեխային	ge̞ɾe̞χɒːiːm
երեխաներ	je̞ɾe̞χɒːne̞ɾ
երեխեք	jɑrɑχæk
երեկ	jɛrɛk
երեկ չէ մյուս օրը	jeɾektʃem jɛn suɾi
երեկո	jerɛko
երեկոյան	ɟɛrɛkoˈjɑn
երես	el
երեսը	jeresi
երեսի	jeɾɛˈsiːm
երեսուն	ɾɛːˈsuːn
երեւան	jɾævɒːm
երեւույթ	jeɾɛbujt
երեւույթը	jɒɾɒvojta
երեք	gɛrɛk
երեք հարյուր	jeˈɾek haɾjɯɾ
երեքշաբթի	æ̹rækʃɑptɪ̞
երզնկա	jɛrzɨnka
երթ	jɛrd
երթեւեկելի	gærtævækæ̹lʲi
երթուղի	nitʰoχe
երիկամ	jerikaːm
երիտասարդ	jerʲidɑsɑɾt
