0	lĩŋ˨˩ kʰoŋ˥˥
增長天王	sã˥˥tioŋ˥˧tʰian˥˥ʔ ŋ˧˧
增长天王	sã˥˥tiŋ˥˧ʔtʰian˥˥ʔə˧˧
墨子	bi˦ak˨tsi˥˧
墨守成規	liak˨siu˥˧ sin˥˧ke˥˥
墨守成规	liak˦ siu˥˧ sin˥˧ ke˥˥
墨家	bjak˨ka˥˥
墨斗	maktau
墨汁	bǎk˨˩tsap˦˥
墨窰	mˈakɪɹ
墨西哥	bǎk˨˩sai˥˧ kɤ˥˥
墨贼	bˈatˈzˈaːt
墨頭	nˈɑtˈa
墩上	tun˥˥tɕĩŋ˥˥
墮落	doːnˈo
墳墓	hũ˧˥mpo˥˩
壁	pia̯
壁爐	pialo
壁紙	piaʔ˨tsua˥˧
壁纸	piaʔsua
壁花	piaʔ˦ hoa˥˧
壁虎	si˥˧kʰa˥˥tsua˨˦
壁路	pialo
壓	t̪e
壓制	apʰ seː
壓力	ʔap̚˦˥latʰ
壓縮	ap̚˦˥sok̚˨
壓迫	apːiaʒ
壓霸	apa
壞	pʰi˥˩
壞人	pʰaːi˨˩kaː˥
士兵	su˨˩piŋ˥˥
士大夫	si˨˩ taːi˨˦ hɔ˥˥
壬	rd̥in˧
壮	sʊŋ˨˩˦
壮丁	tson˥˥pĩŋ˨˩
壮志凌云	tsʊŋ˥˥ tsi˥˧lĩŋ˨˩uən˧˧
壮志未酬	tsʊŋ˥˥ tsi˥˧ mi˨˦ siu˨˦
壮族	tsʊŋ˥˥tsʊk˥˥
壮语	tsɯ˥˥
壯	tsʊŋ˨˩˦
壯丁	tsʰũ˥˥tĩŋ˨˩˦
壯志凌雲	tsʰũŋ˥˥ tsi˥˧ linŋ˥˥ un˥˥
壯志未酬	tsi˥˧ li˨˦siu˨˦
壯才	sʊŋ˨˩tsai˥˧
壯族	tsuŋ˨˩tsuk˨
声	sĩ˥˥
声卡	sã˥˥kʰa˥˥
声名鹊起	sĩ˥˥ mi˧˧ŋ˨˦ tsʰuk˨˩
声声慢	sin˥˥sĩŋ˥˥ man˥˧
声带	sĩã˨˩tua˧˧
声明	sin˥˥ min˨˦
声望	sĩŋ˥˥mŋ˥˥ sĩã˥˥mõŋ˥˥
声母	sĩ˥˩ɑ̃˥ bu˥˧
声色场所	sĩã˨˩ siŋ˥˧ tĩŋ˥˧ sĩã˨˩
声色犬马	sin˥˥siat˥˧keŋ˧˧ma˥˧
声誉	sin˥˥ i˥˩
声说	tsĩ˥˩a˥˧seɪ˥˩
声调	sĩã˨˩tiau˨˦
声量	sĩã˨˩lĩũ˥˧
声音	sĩ˥˥ im˥˩
壳	sfʃ
壶	o
壹	eɪt
壺	ˌaʊ˥˩
壽司	tɕjoʊ˥˧ɕi˧˧
壽命	siũ˨˩mĩən˧˧
壽喜燒	siu˥˧ h˥˥ h˥˥
处决	si˥˧ kuat˦
处暑	sˈiː
处理	tsouli˥˧ si˥˩ri˧˧
备用	pi˥˧jʊŋ˥˩
备货	bi˥˧ hej
复	hɔː
复习	hoːk
复仇	hɔːk˨˩ ʃuː˨˦
复兴	hʊ̞k˥ hiŋ˥˥
复兴号	hɔːkʰiːŋ˥˥hɔː
复兴社	hok˨hĩŋ˥˥sĩã˨˩
复制	hok˨tsi˥˧
复印	ok u
复印机	hok˨
复婚	hɔːkpʰun˧
复杂	hok˨tsap˦
复活	hok˨ wa˧˧
复苏	hoːk sɔː
夏	ˈɛ
夏侯惇	ha˧˧hio˨˦tũn˥˥
夏侯淵	ha˧˧hio˧˧ iən˥˧
夏侯渊	hã˥˥hio˨˦ iən˥˧
夏利	ha˧˧li˨˩˦
夏天	la˥˧tʰĩ˥˥
夏威夷	ha˨˦ue˧˧i˨˦
夏季	ha˥˥kue˥˥ hæ˥˥ku˥˥i˥˧
夏普	ha˨˩˦pɔ˥˥
夏枯草	ha˨˦ kʰo˥˥ tsʰau˥˧
夏目漱石	haː˧˥mok˨ sĩ˥˧tʰ
夏至	he˨˦tsi˥˧
夕阳	sit˦
夕陽	sit˦
夕陽西下	sik˦˥ jʊŋ˨˩sɛ˥˥ ha˧˧
外	gua˥˧
外交	ua˨˦kau˥˥
外來語	ua˨˦la˥˧ei˦˥
外分泌	ŋa˨˦hun˥˥ pi˨˦
外匯	tʷ˥ua˥˧ xue˨˩
外口	ua˧˧kʰau˨˩
外向	ua˨˦hioŋ˨˩
外国	ua˥˧ku˨˩˦
外国人	waː˨kɔː˧˥
外国仔	ɔː˩˧kʊ˥˥
外國	ua˧˧kok˨
外國人	ua˨˦ kʰɔ˨˩kɔ˧˥lɑŋ˨˩
外地	guatue
外地人	ua˧˧tue˨˦ laŋ˨˦
外婆	uaua˨˩ma˥˩
外孙	ŋa˥˧sũ˥˥
外孫	ua˧˧sun
外层	ŋua˥˧tsan˨˦
外層	ŋua˥˧tsan˨˦
外帯	ua˧˧tua˧˧
外教	gua˧˧kau˥˧
外星人	ua˧˧tsʰi˥˥ laŋ˧˧
外来语	ua˨˦la˥˧ ji˥˧
外汇	gua˥˧feʔ˨
外环	ua˥˧kʰan˨˩
外環	lua˥˧kʰan˨˦
外甥	gu˨˩˦e˨˦ sœ˥˥
外省	ŋ˥˥ua˥˧sin˥˥
外省人	ua˧˧sin˥˥ laŋ˨˦
外科	ua˨˦ kʰa˥˥
外行	ŋua˨˦hɑŋ˥˥
外語	gwan˨˩gi˨˩i˨˩
外语	gwa˥˧gi˥˧
外貿	ˈuɔɹəpio
外資	gwa˥˥tsu˨˩˦
外资	ua˨˦tsu˥˧
外送	ŋua˨˦saŋ˥˥
外部	gua˥˧pɔ˥˥
外面	ŋua˥˧pin˨˦
外面更通俗的说法—外口	ua˨˦kʰau˥˥
多	dˈoː
多么	tʰjɛn˨˩˦li˥˩
多元	tuan˨˦
多姿多彩	to˥˥tsi˥˥ tsa˨˩
多媒体	to˥˥mui˥˧tʰe˥˧
多媒體	to˥˥mui˥˧tʰe˥˧
多少錢	lua˧˧tsi˥˧
多少钱	lua˨˦tsĩ˥˥
多愁善感	tɔ˥˥siŋ˨˩ ka˥˥
多拉a夢	tɔ˧˧ laː˧˨ e˧˧m˥˩ ɔŋ˧˧
多災多難	to˧˧tsaʔ˧˧to˧˧nan˨˦
多聞天王	to˥˥mun˨˦ tʰian˥˥ʔ uŋ˧˧
多謝	tʃt˦au̯ʃja˥˧
多謝你	to˧˧ɕa˨˩˦li˥˩
多谢	to˥˥ɕia˥˧
多边形	tɔ˥˥ pi˥˧
多邊形	tɔ˥˥ pi˥˧ hĩŋ˨˦
多闻天王	to˥˥bun˨˦tʰian˥˥ʔʊŋ˧˥
多雲	tsʰuaʔ˨ hũn˥˥
多面体	to˥˥ pi˧˧n˥˥ tʰe˥˥
多面體	to˥˧ bi˧˧n˥˥ tʰe˥˥
夜	t̪ɾɛ
夜上海	a˥˧sioŋ˨˦hai˥˥
夜交藤	a˨˦kau˥˧tin˨˦
夜市	a˥˧tsi˥˥
夜店	jaː taːjˈ
夜晚	a˥˧bwan˥˥
夜盲症	ia˥˧ bõ˥˧˧ tʰin˨˦
夜郎	ia˨˦ nʊŋ˧˥
夜郎自大	a˨˦ lŋ˨˦ tsit˦ai˨˦
够	kau
够气	kau˥˥kʰu˨˩˦
够额	kau˥˥ɑ˧˥
夠	kau
夠氣	kau˥˧kʰu˨˩˦
夠額	kau̯ jˈat
夠額夠氣	kau˥˥kʰu˨˩˦
夢	bank
夢幻	mũ˨˩n˥˥
夢想	mõŋsioŋ
大	tua˧˧tai˥˧
大一	tua˧˧it˦
大三	tʰua˧˧saː˧
大三通	tua˧˧sa˥˧tʰʰũŋ˥˥
大三阳	tua˧˧sa˥˧joŋ˨˦
大上海	tua˧˧siŋ˨˦hai˥˥
大中华	tua˧˧tioŋ˥˧hɔ˨˦
大中華	tua˧˧tioŋ˥˧hɔ˨˦
大主大意	tua˧˧tsu˧˧tua˧˧i˥˧
大义凛然	tai˥˥ ji˧˧lĩŋ˨˦nian˨˦
大义灭亲	tai˥˥ ji˨˩˦ biaʔ˨tsʰin˥˥
大乘	tai˥˥sĩŋ˨˩
大乘佛教	ta˥˥ɕĩŋ˨˩ pu˥˩kau˥˥
大二	tua˧˧li˨˦
大人	tua˧˧laŋ˨˦
大人-文读（称呼官员）	tai˥˧rin˧˧
大人物	tũã˨˩ riŋ˨˦ buit˦
大众	tai˥˧ʔtioŋ˨˩
大会	tai˥˥hue˥˥
大伯	tua˧˧pe˨˩˦
大佐	tai˨˦tsɔ˥˧
大体	ka˥˥i˨˩˦tʰe˥˥
大使	ta˥˩i˨˩sai˥˥
大使館	ta˥˥e˨˦sai˥˥ guan˥˧
大使馆	ta˥˥e˨˦sai˥˧kwan˥˥
大便	ta˥˥i˨˦pian˥˥ tɑŋ˥˥sai˥˥
大倌	ta˥˥kɔ˨a˥˥
大写	tua˧˧sĩã˥˧
大冢制药	ta˥˥ɕʰ˥˥tsĩ˥˥je˨˦
大前天	suŋ˥˥tsǎ˥˧nit
大剣	tai˥˧kam˨˩˦
大加樂	taːiː kaː loːk
大化改新	ta˥˥ɛ˨˦hua˥˧ ka˥˥sĩŋ˥˥
大卫·李嘉图	tai˥˥ue˨˦ li˨˦ ka˥˥to˧˧
大厅	pat˧
大同	tai˨˦ tʊŋ˨˦
大名	tâi̯pĩŋ˨˩
大名-白读	tua˧˧mĩã˨˦
大后天	nɤ˧˧ a˥˩l˧lɪ˧˧
大唐	tǎi˨˩tʊŋ˨˩
大唐西域記	tʰi˧˥ tʰoŋ˧˧ se˨˩jɐt˨ ki˨˩
大唐西域记	tʰi˧˥ tʰoŋ˨˩se˧˧ jɐt˨ ki˨˩
大喙食	tua˧˧tsʰui˨˩ʔie˥˧
大器晩成	tai˥˥ki˥˧ bwan˧˧sĩŋ˨˦
大四	tua˧˧si˨˦
大囝	toa˧˧kia˧˧
大圓	tua˧˧ i˨˦
大地	tajte
大地震	tua˧˧te˥˧tsĩŋ˥˥
大块头	tua˧˧kau˥˥
大型	tua˧˧hĩŋ˨˦
大型商場	tua˧˧ hin˥˧ sioŋ˥˧ tiu˨˦
大塚製藥	tai˥˧hĩũ˥˧tsĩ˥˧e˨˦
大声	tua˧˧sĩã˨˦
大声小说	tua˧˧sian˥˥sue˥˧sɤ˥˧
大夏	ta˥˩ɐ˧˥ha˥˨
大奥	sa˥˩e˨˦
大奧	ta˥˥ɕʰi˨˩˦
大姑	tua˧˧ko˥˥
大娘姑	tua˧˧niu˥˧kɔ˨˦
大学	taːiː˨haːk˥
大学-文读（四书五经中的“大学”，台湾高等教育学校习惯用文读-大学）	taːi˧ haːk˥
大学生	tua˧˧a˨˦sœ˥˥
大學	tua˧˥ɔ˨
大學-文讀（四書五經的“大學”，臺灣高等教育學校習慣用文讀-大學）	ta˥˩ɪ˧hɐk˥
大學部	tai˧haːk˥ po˨˩
大官	ta˥˥kũã˥˥
大宛	ta˥˥i˨˦uan˥˥
大家	ta˥˥kɛ˥˥ tɑ˥˥kɛ˥˥
大家好	taː˥˩teː˥˩hɔː
大寒	tai˥˥
大寫	tua˧˧sia˥˧
大将军	ta˥˥jtsioŋ˥˥kun˥˥
大將軍	ta˥˥ɕioŋ˥˧ kun˥˧
大尾	tˈwˈaːmə
大展宏图	tai˥˧tian˥˧ hʊŋ˨˩˦to˧˧
大展宏圖	tai˧˧ti˥˧n˥˥ hoŋ˨˦to˧˧
大屠杀	tua˧˧toŋ˨˩sat˦
大屠殺	tua˧˧toʊ˨˩sat˦
大岛	tua˧˧toŋ˥˥
大峡谷	taj˧˧gap˥˥ kɔ˧˧
大島	tua˧˧toʊ˥˧
大嶝岛	tua˧˧tiŋ˥˧ to˥˧
大嶝島	tua˧˧tiŋ˥˧ to˥˧
大幾十萬	toakue tsam˧˧baŋ˨˩
大廳	ua˨˦tʰĩã˨˩
大彻大悟	ta˥˥e˨˦tʰiat˥˥ ta˥˥e˨˦lɔ˥˧
大後天	dɔ˧˧aːw˧˧li˥˩
大徹大悟	ta˥˥e˨˦tʰiat˥˥ ta˥˥e˨˦go˨˦
大心肝	tua˧˧sim˥˥kũã˨˩
大悲咒	ta˥˥i˥˧ pi˥˧ tɕiu˨˦
大意	tʰa˥˥ɛː˨ i˥˩
大批	tua˧˧pʰi˨˦
大拇指	tʰau˨˩ pu˥˩
大招	tua˧˧tsiaʊ˥˧
大招（楚辞）-文读	tai˥˧tsiaʊ˥˧
大排档	tua˧˧pa˥˥i˥˧tʰuŋ˥˧
大提琴	tua˧˧tʰe˧˧ kʰim˥˧
大数据	tua˧˧su˥˧ki˥˧
大數據	tua˧˧sɔ˥˧ki˥˧
大方	ta˥˩i˨˩˦hʊŋ˥˥
大明帝國	tãĩ˧˧ viŋ˨˦ tẽ˨˦ ko˧˧
大明朝	ta˥˥e˨˦ŋ˥˥tiau˨˦
大智若愚	tai˥˧ti˥˧ljok˨ u˨˦
大暑	kã˥˥tɕi˥˥
大會	tai˥˧hue˥˧
大條	tũã˨˩ tĩã˨˩
大樓	tua˧˧lau˨˦
大正时代	ta˥˥i˧˧tsĩŋ˨˩ si˨˩ ta˥˥
大正時代	ta˥˥tsĩŋ˨˩si˧˧ ta˥˥
大气层	tua˧˧ki˥˧tsan˨˦
大氣層	tua˧˧ki˥˧tsan˥˧
大水蚁	tua˧˧tsue˧˧ hia˥˧
大汉	tua˧˧han˨˦
大洋洲	tua˧˧ĩũ˥˥tsĩũ˥˥
大流士	ta˥˥ɛ˨˦liu˨˦sĩ˥˧
大浪	tua˧˧ĩŋ˥˥
大海	tua˧˧hai˥˥
大漢	toa˧˧han˨˩
大热	sua˧˧lua˧˧
大熱	tua˧˧la˥˧
大爆炸	tua˧˧pok˨tsa˥˧
大猴	tɔakɐʊ
大王	ta˥˥i˨˩˦ŋ˨˩˦
大理	tai˥˧riː˥˧
大理寺	tai˥˥li˧˧si˥˧
大理石	tai˥˥li˧˧tsiaʔ˨
大田	tua˧˧tsʰan˨˦
大疆	tai˥˧kioŋ˥˥
大白鯊	tua˧˧pe˨˩˦sa˥˩
大白鲨	tua˧˧pe˨˩˦sa˥˩
大相径庭	tai˥˧sĩã˥˧
大相徑庭	tai˥˧sĩã˥˧ keŋ˥˥ tiŋ˨˦
大眾	tai˥˧ʔtʰoŋ˨˩
大瞿越	taːi˨˩kuː˧waːtʰ
大禹	ta˥˩ɛ˨˩˦u˨˩˦
大秦	tai˧˧tsĩ˧˧
大稻埕	tua˧˧tiu˧˧tĩã˨˩
大篆	tua˧˧tsʰwan˥˥
大約	tɐi˨˩jɔːk˥
大細目	to̞a̠s̺o̞i̯ pak
大細粒	tʰa˥˧su˥˧iliaʔ˨
大細聲	tua˧˧sue˥˥ siŋ˥˥
大細領	tua˧˧su˥˧nia˥˧
大細骹	tua˧˧sɔ˥˧ikʰa˥˧
大约	æk
大细仙	tua˧˧sĩã˨˩
大羅金仙	tai˧˧lɔ˥˨ kim˥˥ sian˥˧
大美人	tua˧˧bi˧˧tsin˨˦
大義凜然	ta˥˥ɛ˨˦li˥˩m˧˥nian˨˦
大義滅親	tai˥˥ ji˧˧ biat˦˥ tsʰin˥˥
大聲	tua˧˧sĩã˨˩
大聲八説	toa˧˧siaʔ˦ pɔ˥˥sik˦
大肠	tua˧˧tŋ˨˦
大肠花	tua˧˧taŋ˥˧hue˥˥
大胆	da
大脑	tua˧˧la˥˧
大腦	tua˧˧ra˨˩
大腸	tua˧˧tŋ˨˦
大腹肚	tua˧˧ pak˨˩toʊ˥˧
大膽創別墅則會大棟	tua˧˧ta˥˥ tsʰũŋ˥˥  es˨˦sũ˥˥tsiaʔ˨tuat˦oŋ˥˥
大臣	sa˥˥i˨˦ sin˨˦
大致	kʰt̚˨˩i˥˩
大舅	tua˧˧ku˥˥
大衛·李嘉圖	ta˥˥ɛ˨˦ue˧˧li˥˧ ka˥˥ to˧˧
大西洋	tai˧˧ seŋ˨˦ hiu˨˦
大變款	tua˧˧pian˥˧kʰan˥˥
大象	tua˧˧tsiu˨˦
大貨項	tua˧˧heʔ˨ hɑŋ˥˥
大賽	tai̯˨sai̯˧
大赛	tai̯˨sai̯˧
大跃进	ta˥˥jok˨ tsin˨˦
大路	tua˧˧lo˨˩˦
大躍進	ta˥˥jok˨ tsĩn˥˥
大車	tua˧˧tsʰia˥˧
大车	tua˧˧tsʰia˥˧
大连	ta˥˥i˨˦lian˨˦
大选	tai˨˦san˥˥
大連	tɕælɪn
大選	tai˥˥swan˥˥
大部分	tua˧˧toã˨˩hun˥˧
大量	ta˥˥e˨˦liŋ˨˦ ti˥˧a˥˧liŋ˨˦
大金	taj˧˧ kim˧˧
大長今	tai˧˧tioŋ˨˩ kim˥˥
大长今	tai˧˧tioŋ˨˩ kĩm˥˥
大門	sua˥˧mən˧˧
大门	tua˧˧mŋ˨˦
大队	tua˧˧tui˨˦
大阪	tai˨˦pan˥˥
大阪烧	tai˥˧pan˥˥sĩã˨˦
大阪燒	tai˥˧pan˥˥sio˥˧
大陆	tai˥˧lioʔ˨
大陈岛	tã˥˥ti˧˧n˧tɔ˥˥
大陳島	tã˥˥ti˧˧nto˨˦
大陸	taileŋ˨˩
大隊	tua˧˧tui˨˦
大雁塔	taːi˨˩k̚˨˩aːn˥˩tʰaː˥˩
大雄宝殿	ta˥˥hjoŋ˨˦ po˨˦tian˨˦
大雄寶殿	ta˥˥ɕiong˨˩ po˥˥tian˨˦
大雨	tũã˨˩ho˥˥
大雪	ta˥˥i˨˩˦sot˦
大霞美	tua ebe
大韓民國	lə˧˧ hãn˥˥ kɔ˧˧
大韩民国	taːi̯˨haːn˧˥ kʊk˨
大項	tua˧˧haŋ˥˥
大順	tai˥˧sun˨˩˦
大願地藏菩萨	tǎ˧˥wɑn˥˧ʔtɛ˨˩ tsʰɔŋ˧pʰɔː˧sat˦˥
大顺	tai˥˧sun˨˩˦
大風	tua˧˧hoŋ˥˥
大骨汤	tua˧˧ku˨˩tʰʰɤŋ˥˥
大骨湯	a˥˧ku˥˧tʰŋ˥˥
大體	tâi̯tʰɛː
天	t
天下	tʰiã˥˧ha˧˧
天下无敌手	en˧haːmu˧˧tet˨˩siu˨˩
天主教	tʰiən˥˥tsu˧˧kaʊ˥˥
天井	tsi˥˧
天人合一	tʰjɛn˥˥lɪn˧˥ hap˦˥ it˥˩
天价	tʃi˥˧ke˥˥
天体	tʰiã˥˧ tʰe˥˥
天使	tien˥˧sĩ˥˥ ti˥˧sai˥˧
天光	tʰi˥˥ kŋ˥˥
天光早	tʰi˥˥kɤŋ˥˥tsa˥˧˥
天公	tʰi˥˥kʊŋ˥˥
天公伯	hĩ˥˥ kʰoŋ˨˩ peɪ˥˥
天公生	tʰi˥˥koŋ˥˥sí˥˧
天后聖母	tʰiən˥˧hĩ˥˥ɛ˧˧ sian˥˧bo˨˦
天启	tʰiən˥˧ke˥˥
天啟	pʰiən˨˩ke˥˥
天地	tʰjɛn˥˥tʰe˥˥
天地-白读	tʰi˥˥tue˥˧
天地万物	tʰi˧˧te˥˧ban˧˧pu˧˧tʰi˥˧
天地玄黃	tʰiən˥˥te˨˩ hin˧˧ hʊŋ˧˥
天地玄黄	tʰiən˥˧te˨˩ hin˧˧hʊŋ˧˧
天城文	tʰiən˥˥sĩŋ˨˩buən˧˧
天堂	tʰiː˥˧ tɤŋ˨˩
天堑	tʰiən˥˥tsʰiam˨˩
天塹	pʰiã˥˥tsʰiam˥˧
天壤之別	tʰiən˨˩lĩũŋ˥˥ tsi˨˩pies˨˩
天壤之别	tʰiən˧˧liŋ˨˩ tsi˨˩pian˨˩
天子	tʰjɛn˨˩˦
天安門	tʰi˧˧an˥˧aŋ˧˧
天安門事件	tʰiən˥˧laŋ˨˦mun˨˦ su˥˧kĩã˨˩
天安门	tʰjɛn˥˥an˥˩mɤŋ˧˥
天干	pʰiən˥˥kãn˥˥
天平	tʰjã˥˥ piŋ˨˦
天庭	tʰiən˥˧tiŋ˨˦
天性	tʰjɛn˥˥sɪŋ˥˥
天才	tʰiən˥˥tsai˨˦
天文	tʰiən˥˧mən˧˧
天文学家	tʰi˥˧mun˨˦ ha˧˧ka˥˥
天文學家	tʰi˥˧mun˨˦hak˦ ka˥˥
天方	tʰiən˥˧hũŋ˥˥
天方夜譚	tʰiən˥˧hʊŋ˥˥ɑ˨˦ tʰam˨˩
天方夜谭	tʰiən˧˧hʊŋ˥˥ ja˧˧ tʰam˨˩
天时	tʰi˥˥
天昏地暗	tʰien˥˧hun˥˥ te˨˩a˥˧ am˥˩
天星	tʰian˥˥tsʰi˥˥
天時	tʰi˥˥
天朝	tʰjɛn˨˩tiau˨˩
天未光	tʰi˧˧ be˥˧ kɨŋ˨˦
天桥	tʰi˥˧ɕjɛ˥˧
天橋	t̚˥˩kʰeː˧˧
天殕碚	tipɔpɔ
天气	kini˥˧ki˥˧
天气型态	hĩ˥˥ kiŋ˥˧tʰa˥˧
天气太热，个个都说自己被晒成了包拯。	tʰi˧˥sikʰue˥˥ sik˦ kaːi˨˩ laːk̚˨kaː˧ pʰeŋ˨˩ tsʰuaʔ˦au˨˦ tsʰiŋ˥˥
天气预报	tʰi˥˧ʰpɔ˥˥
天氣	kʰi˥˥
天氣預報	tʰi˧˧ki˥˧ i˨˦pɔ˥˧
天水	tʰiən˥˧sũy˥˧
天津	tiən˨˩˦tiŋ˥˥
天津市	tʰiən˥˧tĩŋ˥˥tsʰi˥˥
天津条约	tʰiən˥˧tiŋ˥˧ tiau˨˦ jok˨
天津條約	tʰiən˥˧tĩn˥˧ tiau˨˦jok˨
天涯	tʰi˧˥eŋ˨˦laːi˨˦
天涯明月刀	tʰiŋ˥˧lai˧˧ biŋ˨˦ uat˦to˧˧
天涯海角	tʰiŋ˥˧laːi˧˧ ka˥˥
天演	tʰjɛn˨˩˦jɛn˥˩
天烏烏	tʰi˥˧ɔ˨˦ɔ˨˦
天然	tʰjɛn˨˩˦ljɛn˧˥
天然气	pʰian˥˥lian˨˦ki˥˧
天然氣	tʰiən˥˥ liən˨˩
天理	tʰjɛn˨˩˦li˥˩
天皇	pʰi˧˧an˥˥hŋ˨˦
天皇陛下	tʰian˥˥hoŋ˨˦ pi˥˧ ha˥˥
天真	tʰiən˥˧tsin˥˧
天窗月日	tʰi˧˧tʰan˥˩ge˨˩˦lit˦
天竺	tʰiən˥˧tioŋ˨˩
天線	tsiaʔ˦sua˨˦ tʰi˥˥sɔ˨˩
天线	tʰi˧˧sɔ˧˧
天罗地网	tʰiən˥˧nɔː˧˥ te˨˩ bo˥˧
天羅地網	tʰien˧˧ lɔ˨˦ te˨˩mɔ˥˧ buŋ˨˦
天蓬	tʰiːm˥˩pʰuːŋ˨˩
天蓬元帅	tʰiən˥˥pʰoŋ˨˩ wan˨˦ su˥˧
天蓬元帥	pʰian˥˥pʰian˥˥wan˥˥sue˥˧
天衣无缝	tʰiən˥˥i˥˧ bu˨˦hʊŋ˥˩
天衣無縫	tʰiən˥˥i˥˧ bu˨˦hʊŋ˥˩
天誅地滅	tʰjɛn˨˩˦tu˥˥ te˨˩˦bit˦
天诛地灭	tʰiən˥˥tʰu˥˧te˨˩be˧˧tsoŋ˧˧mian˥˧tʰian˥˧
天象	tĩ˥˥ sioŋ˨˩
天賦	pʰi˧˥kuɔ˥˥
天赋	tʰjɛn˥˥u˥˩
天道酬勤	tʰiən˥˥tʰau˨˦ siu˥˧ kʰuən˥˥
天邊海角	tʰiː˨
天顶	tʰi˧˥pɪŋ˥˥
天馬行空	tʰiən˥˧ma˥˧ hiŋ˨˦kʰoŋ˥˥
天马行空	tʰiən˥˧ma˥˧ hiŋ˨˦kʰoŋ˥˥
天體	tʰiən˨˩tʰe˥˥
天黑黑	tʰi˥˥
天黑黑欲落雨	tʰi˥˧ɔː˧ɔː bɛ˥˥lhɔː˥˧
天龍八部	tʰiən˥˥ljoŋ˨˦ pa˥˥po˨˦
天龙八部	tʰiən˥˥ljoŋ˨˦ pat˦˥pɔ˥˥
太	tʰj
太上隐者	tʰa˥˥ɛ˨˦siŋ˨˦ in˥˧tsiaʔ˨
太公	tʰai˧˧kʊŋ˥˥
太原	tʰa̠i˥˧wan˨˦
太史慈	tʰaɪ˥˥ʰsi˧˧ tsit˦
太子	tʰaʔ˨˦tsi˥˧
太守	tʰa˥˥ɥœn˨˩˦ tʰau˨˦ tʰiu˨˩˦
太岁	tʰa˥˥i˥˥sue˥˧
太师公	tʰa˥˥e˨˦su˥˧koŋ˥˥
太平	tʰa̠i̯˨˩pɪŋ˨˩
太平公主	tʰai˥˧piŋ˨˦ koŋ˥˥tsu˥˥
太平天国	tʰa˥˥i˥˧ŋ˨˦ tʰian˥˥kok˨
太平天國	tʰa˥˥i˥˧ŋ˨˦ tʰian˥˥kok˨
太平岛	tʰai˥˥pɪŋ˨˩˦ tɔ˥˥
太平島	tʰa˥˥i˥˧pin˨˦ tɔ˥˥
太平洋	tʰaːi˧˧piŋ˨˩ iu˥˧
太平洋區域	tʰaːi˥˧ nɔ˥˧ kʰu˥˥ hĩŋ˨˩
太平洋战争	tʰaʔŋ˥˥toŋ˨˩njoʊ˧˧tsĩŋ˥˥tsĩŋ˥˥
太平洋戰爭	tʰa˥˥e˨˦pĩŋ˥˥njoʊ˧˧tsian˥˧
太平洋沒加蓋	tʰa˥˥pʰiŋ˥˧nju˧˧ bo˨˦kʰaŋ˥˥ kʰa˥˥
太极	tʰaːj˧k̚˨˩
太极剑	tʰa˥˥ɛː˦ kiat˦˥ kiam˨˦
太极拳	tʰaːiːk̚˨˩ɛːaː˧k̚˧
太極	ajkja
太極劍	tʰan˥˩kiat˥˥kian˥˥
太極拳	tʰaːkʰeːkkwn
太武山	tʰai˥˧bu˧˧sua˧˧
太歲	tʰa˥˥i˥˥sue˥˧
太湖	tʰa̠i˥˧ʔɔ˨˩
太白金星	tʰaːi˧˧piaʔ˨kĩ˥˥m˥˥siŋ˥˥
太监	tʰɐi̯˧˥kɐm˥
太監	tʰa̠i̯˨˩kɐm˥
太空	tʰa˥˥kʰʊŋ˨˩
太阳	dˈiː tˈɑ̃
太阳穴	tʰa˥˥jʊŋ˨˩ het˦
太阳系	tʰa˥˧hjoŋ˨˩ he˥˧
太阳能	tʰaː˧˥ɛ˨˩˦ʰɤŋ˨˩˦nɤŋ˧˥
太阳风	tʰa˥˥ɛ˨˦ oŋ˨˦ hŋ˥˥
太陽	tʰaːi˥˧jʊŋ˨˩ li˨˩tʰau˨˩
太陽穴	tʰaːi˧˧jʊŋ˨˩ het˦
太陽系	tʰa˥˧hjoŋ˨˩ he˥˧
太陽能	tʰaːʔəŋnɤŋ˧˥
太陽風	tʰa˥˥e˨˦joŋ˨˦hŋ˥˥
太魯閣	tʰɐi̯˨˩lɔːk̚˧
太鲁阁	tʰa˥˥lo˧˧ ko˥˧
夫	aŋ
夫人	hu˥˧lin˨˦
夫妻	u˨˦tsʰue˥˧ u˨˩˦tsʰue˥˧ hɑŋ˥˥ mo˨˩˦
夫差	tɕʰe˥˥
夭寿	hjˈauˌˌɑ
夭寿仔	tʃoːa
夭折	tsit˦
央	joŋ˥˥
央後	u au
失	sˈit
失业	si˧˧
失传	si˧˧twan˨˦
失傳	si˧˧tua˧˧an˨˦
失喙	sit˦tsʰui˥˧
失德	sip˦ jaː˧
失恋	sit˦luan˨˦
失戀	sian˨˦luan˨˦
失效	ɕi˥˧
失敗	sip˦ai˥˧
失望	sbom
失業	ŋiː˧˧ɛːp˨˩
失灵	si˧˧ lɪŋ˧˨
失眠	sipin
失礼	ti˥˩læː˧
失禮	side
失策	sip˦˥tsʰiaʔ˨
失落	tɕiʔlɤ
失誤	sig˨˩oʊ˥˧
失误	sĩ˥˥ en˥˥
失败	sip˦ɑj˥˩
失重	sit˦ taŋ˥˥
失陪	sip˦boɪ˧˧
