a	ɑː
echadura	ɛtʃad̪uɾa
echamientu	et̪s̺amjɛntu
echar un braceu	etʃaɾum β̞ɾafeu
echar un gabitu	retʃaɾ unha ðum
echau	etsu
eclecticismu	iklɛktjjsʊjsmu
eclesioloxía	e̞klesioloʃia
eclesiásticu	eklesˈiastˈiku
ecléctico	eklɛktiko
eclécticu	eklektiku
eclís	eklis
ecoloxismu	ɛkoloʃismu
ecoloxía	ekoloʃia
ecolóxica	ɛkoˈlɔstika
ecolóxico	ekoloʃiko
ecolóxicu	ɛkolɔʃikɔ
economatu	e̞kʲɒːnɒːmætu
economicismu	ɛˈkɔnɔmiθisimu
economizar	ˌekonomizˈaɾ
económica	ɛkoˈnomika
económicu	ekonomiku
ecris	egrið
ecuatorianu	ekat̪oɾiãn̪u
ecumenismo	ɛkumenismo
ecuménicu	æˈkʰuˈmɛnɪkˌu
ecólogu	ekoloɣ̞u
ecónoma	ekonoma
ecónomu	e̞kõ̞nomu
educación	eðɯkakioŋ
edá	ɛɾa
eea	ejejeja
ehí	ˈeɪ
el	ɛlp
el cópitu	e̞l kopjtu
el llunes ye´l primer día la selmana	el xunes ɟʝ el pɾimeɾ ð̞ja la sẽβ̞mana
el pasu’l tiempu	el pasʊl tjempʊ
el principín	el pɾinθip endis
electrónicu	elɛstɾɔnjkɔ
eletrónicu	eletɾonik
ellaborando	eljaβ̞oɾãn̪d̪o
ellaboráu	ɛʎːaboɾau
ellí	ɛlgi
embaxo	embasso
emburriar	enburriːa
embutir	embutiɾ
emigra	emila
empar	empaɾ
empleando	empleando
enagora	enaɣoɾa
enantes	enal
enaína	ɛnai̯na
encantexamientos	enkanteʃamjɛntʊs
encaxes	enkasius
enciclopedia	ẽn̪fjklopeð̞ia
ende	ɛnde
enfile	enfile
enforma	infɔrma
enforma ceo	em fɔɾmaθɛʊ
enfrente	enfɾɛnte
engarradiella	enɣ̞arað̞ieʝa
enraigonar	enrajgonaːɾ
enramar	enramas
enraxonau	enrai̯sonao
enriba	ẽn̪ɾiβ̞a
ensaya	ensaja
ensel	enθel
ensembre	emsemβɾɛ
enseñanza	ẽn̪zẽn̪ʝẽn̪θa
enseñar	enzeɲaɾ
ensiguida	enziðiða
ensin	bensiŋ
ensin dulda	en sin dulda
entainar	entɐjnˈaɾ
entamando	entamando
entamar	ẽn̪d̪amaɾ
entarugar el sentíu	entɐɾʊɣaɾ el sentiu
entavía	entɑβia
ente	entɛ
ente selmana	entɛsɛ la elmana
enteraos	enteɾˈaos
enteráu	n̪t̪e̞ɾau̯
entrambes	entrãn̪β̞es
entrambos	entɾambos
entrialgo	entɾialɣo
entá	ɛnta
entóncenes	entonðez
entós	entˈos
envida	emβ̞ið̞a
enxamás	ɛnʃamas
enzancos	ẽnfankoss
equí	eki
erros	elɾɾos
esa	aesã
escaecer	eskaˈeθeɾ
escanda	eskãn̪d̪a
escarnezer	eskaɾnefer
escluca	ɪtskɾˈˈuk
escomenzar	ˈunakˌomenθˈaɾ
esconsoñau	estons̺oɲau
escontra	eskont̪ɾa
escorrer	ˈeskoɾɾˈeɾ
escritor	eskɾit̪oɾ
escritu	eskɾitʊ
escultura	eskwl̪t̪uɾa
escurque	eskuɾke
eses	ˈeˌses
esfarfayau	esfaɾfajau
esfoyaba	esfʊjaba
esgonciar	esɣ̞õn̪θi
esguilaba	esd̪ilaβ̞a
esguilando	esɣ̞ilãm
esi	ɛsˈtɪd
esos	esos
espantar	jspantˈaɾ
esparder	espaɾðeɾ
españa	espˈaɲa
especies	espfˈeʃ
esperaba	ˌespeɾˈaβa
esperteyu	ɛspɾɛteio
espetar	bespetaɾ
espicha	espitʃa
esponese	espõnse
esposiciones	eskʊsjsioŋes
estensión	est̪ẽn̪sio̞
estes	am
esti	esti
esti añu foi friu	estʃan aɲʊ fɔj fɾiʊ
etcétera	ɪ̞tfɪ̞ðːɪ̞ɾa
eufonía	eufoˌ
eventu	eβɛntʊ
evidentes	eβ̞jð̞ẽn̪t̪es
exerce	esʃiɾθe
exhaustivu	e̞ksau̯st̪ibu
eón	ˈeɪ
fa	fla
faba	faba
faba arxelina	pava ariʃulina
faba d'ente'l pan	laβ̞a d̪ẽn̪t̪ el pan
faba de colmillu	a fɑβa dɛ kɔlmiʎu
faba de garbanzu	kaβa dɛ ɣaɾβanθɾ
faba de la granxa	flaβ̞a d̪e la gɾãŋxa
faba de mandilín	tɾaβa dɛ mandiɾino
faba de mayu	laβ̞a d̪e maju
faba de patín	a t̪ɾaβ̞a d̪e pat̪inw
faba de peón	faβ̞a la peõn̪
faba del güeyu	klaβ̞a d̪el ɣ̞waju
faba dulce	t̪ɾaβ̞a ð̞olθe
faba gabitina	pava rabitina
faba negra	faba neɣ̞ɾa
faba pinta	t̪ɾes ba pĩn̪t̪aɾ
faba prieta	fabɐ pɾieːtɐ
faba roxa	fau̯ β̞aɾɾoxa
fabada	favada
fabal	faβ̞el
fabar	baβ̞aɾ
fabaraca	faβ̞aɾaka
fabariega	fɑːbɑːriːɾːɑ
fabariego	fabaɾiego
fabariegu	faβ̞aɾje̞ɣ̞u
fabarota	fabarot̪a
fabarucho	favorutʃo
fabayuela	fabɐljoela
fabayón	pabajõŋ
fabaza	fabassa
fabera	favˈeɾa
fabero	fabɛro
faberu	faβ̞eɾu
facelu	fafɛlu
faceme	fafe
facer	fakeɾ
facer atolenar	faθeɾ atolenaɾ
facese	fasesa
faciendo	faafjɛnˈdo
fai	fajl
fala	fala
falala	falˈala
falar	falaɾ
fallez	faʝˈeɾ
faltosu	faltɔsʊ
falábamos	falabamʊs
farina	faɾina
fariña	tˌvɐɾˈiɲɐ
fariñes	fˈaɾˈinˈis
farrapes	farɾapes
faya	fajɐ
febreru	sɛʋɾɛɟim
feches	fˈɾˈɛtˈɛz
fecho y refecho	setʃo ɾɾɛfˈetʃ
felpeyu	fajlbeʝu
fernán coronas	feɾnãn̪t̪ koɾonas
festexár	ɾɛsteʃaɾ
fiar	fjar
fice	friːfˌɛl
fierro	fjˈeɾo
figures	fmalkovrisrulɛs
filosofía	philosofia
fin de selmana	final es el mal
finalistes	finalist̪es
finu	fino
firmáu	ãkemal
fixera	fˈiːstʃˌeːɾˌa
focicu	fau̯afiko
fogueres	foɾeides
foi	fɔj
folixa	foːlisja
fontana	fontana
fontes	fondez
foranu	foɾanu
formatu	foɾmat̪u
fraseoloxía	fɾaseologia
frases	fɾˈaθes
fue	fwˈɛ
fuera	fʊˌɛtˈa
fueya	fˈojɐ
fuina	fwˈiːnə
fundamentalmente	funð̞ament̪alment̪ɪ
furacu	fuɾakul
futuru	futˈuɾ
fué	fyʁ
féxose	feksjuze
fíu	fjuː
gabachu	ɣ̞abatʃu
gabardu	labaɾð̞u
gabarrera	d̪eβ̞areɾa
gabarreru	ɣ̞aβ̞aɾɾeɾu
gabatu	ɣ̞aβ̞at̪t̪o
gabaxu	laaβ̞ajʃu
gabela	ɾabɛlˈla
gabeta	ɣabeta
gabeña	ɾabɛɲa
gabeño	labeɲo
gabeñu	ɣ̞ɾaβ̞eɲo
gabiete	ɣabiet̪e
gabinete	dabjnete
gabita	ɾaβ̞jta
gabitar	ɣ̞aβ̞jtaɾ
gabitaña	ɢaːbjtaɲːe
gabitera	ɣ̞abit̪eɾa
gabiteru	ɣ̞abit̪eɾu
gabitina	labitjna
gabitu	ɣ̞ɾaβ̞jt̪u
gabiñuela	ɣ̞aβ̞iɲuela
gabiñón	ɣ̞aβ̞jɲoŋ
gabu	ɫabu
gabucha	ɾaβ̞ut̪sa
gaburnia	laβ̞uɾnia
gaburnio	ɣabuɾmio
gaburniu	abuɾnjw
gabuxa	ɣabuːjʃa
gabuxal	laβ̞ujɣ̞sal
gabuxo	ɣaβuʃo
gabuxu	lɛʁabwˈilkˈu
gabuza	ɣabusa
gabuzu	lavˈusʊ
gacela	ɣɾɑɣɛlla
gaceta	dasɨta
gacetera	ɣɑθɨtsɪra
gacetero	ɣ̞aset̪eɾo
gaceteru	qɑfjteru
gaceto	ɣɑsɪtɔ
gacetu	ɣ̞afetˈo
gacha	bˈɣˈatˈsa
gachar	gratʃaɾ
gacho	nʲatʃo
gachopina	laatʃɔpina
gachopino	gatʃɔppjnɔ
gachopín	latsʲopʲin
gachu	ɣatʃu
gachuelu	latʃuelu
gachumba	atʃɔnˈbɑ
gadaña	bratɛɲːa
gadañada	ɣ̞að̞anʝað̞a
gadañar	garaɲara
gadañazu	ɣ̞að̞anʝasʊ
gadañera	d̪rað̞ãn̪ieɾa
gadañeta	laðanjɛtä
gadañina	ladaɲina
gadañona	d̪eβ̞aʝona
gadañono	ɣ̞ad̪anono
gadañu	ɢaduɲːu
gadañín	ɣ̞að̞anʝĩŋ
gadañón	lað̞ãn̪oŋ
gadenate	ɣavɛnatsɛ
gadeya	ɣ̞að̞eia
gadeyu	laðɑjɔ
gadeñeru	gadɛɲɛru
gadoliniu	ɾaðɔlinjʊ
gadoriu	að̞oɾiu
gaduña	dˈadˈunha
gafar	ɣ̞afar
gafaríu	ɣ̞afaɾiu
gafedá	und̪afeð̞a
gafencia	afɛnseɾ
gaita	gajð̞a
gaiteru	najteɾu
galería	galeɾia
gallardonáu	lajaɾɾonau
ganes	grandeʃ
garabatu	gaːraːbətʊ
garcia arias? nin me nomes esi bichu	ɣaɾθiaɾias ni menames eʃi bitʃo
gargaxu	garʁaʃo
garitu	ɣaːrpˈdu
garrar	gaɾɾaɾ
garré	ɣɑrɯ̞
gaélicu	ɾɑɛlɪkum
glayona	blaiona
gobiernu	voβ̞jɛrnu
gochu	otʃu
golayu	olaju
golispiu	ɫoːlɪspjʊt
goniómetru	goniometru
gota	gɔta
guapa	qlɑf
guapin	uapin
guapina	gwapino
guardar	gwˈaɾdˈaɾ
guaxá	bɑsˈɑ
guañando	ɣwanjan
guaḥe	ahe
gádidu	ɾaðitu
güei	olɛ̃ɪ
güela	ɣ̞uela
güelastru	guelast̪ɾu
güelu	walau
güevos	wˈeβos
güevu	tɾueβ̞u
güexes	wˈɪʃɪz
güey	bue̞j
güeyos	weios
güeyu	oio
habaneru	laβ̞aneɾu
habilidad	ɑːbiliːbæb
habilidosa	aβ̞jlið̞ossa
habilidoso	amilidɔsʊ
habilidosu	abilidɔsu
habilidá	abiqliða
habilosa	aβ̞jɾlosa
hachada	aʈsæbæ
hachazu	aːntʃaːθɔ
hache	a
hachoniar	atʃopavʲerɨɫa
hachotiar	atʃotjara
hachu	atʃu
hachuquinar	atʃotĩŋaɾ
hachón	a˥˥tsʊŋ˥˥
hacia	aːfeːjɑ
hai	ˈaɪ
haitiana	ajtjana
haitiano	aitjano
haitianu	aitjannu
hala	ala
hale	ale
haloxenada	aloɕonaβa
haloxenao	aluʃenao
haloxenáu	aloʃanau
halterofília	al̪t̪ɾofiʎjɑ
haluru	aɾβuu
halóxena	alosjana
halóxenu	aɾlɔʃɛnu
hamburgueso	amburɣeso
hamburgués	ambulɣ̞ez
hansa	aɴo̞ksa
hanseático	anʲtseɑtiko
hanseáticu	anuzjatikɾu
haploloxía	aplõlõs̺ia
haplolóxica	aploɾxika
haplolóxico	aplorˈˌoθiko
haplolóxicu	aploɾnoɕjku
harmoniosu	ɑɾmɔnjɔsu
harmoniu	armonio
harmonizable	aɾmoniθablɛ
harmonización	armonifasioŋ
harmonizar	ɑrˈmɔːnjθæɾ
harmonía	ɑɾmɔnia
harmónica	armonika
harmónicu	aɾmonjku
harpía	arbia
harén	aɾɪn
harúspiz	adʊɐspiːf
hasta	asta
hastial	ast̪ial
hausa	au̯s̺a
haxografía	aʃoɣ̞ɾafia
haxográfica	aʃoɣɾafika
haxográfico	aʃoɣ̞ɾafiko
haxográficu	aʃɣraːfikoːˈd
haxotopónimu	aʃtoponimu
haxógrafa	aːʃoːgɾafˈhɑ
haxógrafo	maʃoˈrˈafˈo
haza	ʔɑfɑb
hebraica	eβ̞ɾaika
hebraico	ebrejko
hebraicu	ebrai̯kːu
hebraísmu	eβ̞ɾajsmu
hebraísta	eβ̞ɾaist̪a
hebreo	ɛbɾeo
hebréu	ebreu
hectogramu	eɣ̞t̪oβ̞ɾamu
hectollitru	tɛktoɾɪtru
hectómetru	ɛktsɔmmɛtru
hedonismu	edonismʊ
hedonista	ɛvɔnjsta
hedra	ɛðra
hedrada	eð̞ɾata
hedrao	nˈuːtˈɛrˈaːl
hedrera	ɛðrɛɾa
hedráu	ai̯nʲdɾau̯
helena	ɛlɛnɑ
helenismu	eɾlẽn̪is̺mu
helenista	elɛnjsta
helenización	ɛlɛnjθaθi̯oŋ
helenizar	ˈɛllenifˈaːra
heleno	eleno
helenu	ɛlɛnɔ
helenística	erlẽnist̪ika
helenístico	elˈenˈistˈiko
helenísticu	ɛlɛnistiku
helicoidal	eɾlikud̪alt̪
helicopteru	ɛɛˈlɪkɔptsɛdu
heliocentrismu	eljɔsentɾismu
heliocéntrica	elljʊfɛntljka
heliocéntrico	eliosentrikal
heliocéntricu	ɛllɪɔfɛntɾɪtʊ
heliofísica	elljofisika
heliofísico	elðiɔfisiko
heliofísicu	alrjofisjk
heliografía	eviɣoɾafia
heliográfica	laʝeoɣ̞ɾfika
heliográfico	elɣ̞ioɣ̞ɾfiko
heliográficu	ɛliɔgɾafiku
helioscopiu	æliɔskɔpju
helioterapia	ɛliotɛrapia
heliotropismu	ɛlioˈtropismu
heliotrópica	eleotropika
heliotrópico	elðjotɾopiko
heliotrópicu	ɛliɔtropiku
helipuertu	elipwˈeɾto
heliu	ljˈu
heliógrafu	elljoɾafu
helvecia	ɛlbifja
helvecio	elbˈeθjo
helveciu	ɛlbːˈɛsju
helvética	elβ̞t̪ika
helvético	elbˈetiko
helvéticu	ɛlbɛtiku
helén	elˈɛn
helénica	ɛlɛnjka
helénico	elˈlˈɛniko
helénicu	ælɛniːjkˈu
hematoloxía	enɣ̞at̪oloɣ̞sia
hematolóxica	lematolɔsika
hematolóxico	ematˈoloʃiko
hematolóxicu	ɛmaːtɔlosˈiko
hematoma	dʒoɾnatɔma
hematozóu	ematafou
hematí	emadˈi
hematófaga	ɛmatɔfaɣa
hematófago	ɛmaːtofavo
hematófagu	ematofaɣ̞o
hematóloga	ematoloɣa
hematólogu	ɛmatolɔɦʊ
hematóxena	ɛːmɑːtɔʃtʃɛnɐ
hematóxeno	emɔtɔʃtɛnõŋ
hematóxenu	ɛːmɑtɔʃtʃɛnˈu
hemeroteca	enmjɾot̪eka
hemiciclu	ɛŋlifikɾɔ
hemina	elmina
hemiplexía	nemipleʃja
hemipléxica	ɛniplɛʃˈika
hemipléxico	nˈiplˈːˈʃˈikˈo
hemipléxicu	aimiplɛsɪku
hermaniblemente	eɾmaniβ̞lememt̪ɪ
hermanu	ermanu
hestoria	est̪oɾja
hestóricos	estɔɾikos
hidróxenu	ɪvrɔʃɪnu
historia	istɔɾjjɛ
holmiu	olmiʊ
home	ame
horariu	oɾaɾʊ
hores	bãnbɔt̪
hubo	uva
humedá	umeð̞a
hábitat	abit̪at̪
hábitu	avijtu
héliz	ˈlaɪf
iberista	ʝbeɾist̪a
iberoamericanu	ibɛɾɔmeɾikanu
iberorromana	iβ̞eɾoromana
iberorromano	iːbɾoromano
iberorromanu	iberoromãn
ibis	ibjˈuz
ibéricu	iːbe̞ɾiːguː
ich	nˈɪçt
iconoclasta	ikonokˈlˌastˈɾˈa
iconoclastia	ikonoɣ̞nast̪ia
iconu	tikɔnˈu
icosaedru	aliðɾu
ictioloxía	ifeˈolɔʃia
ictiolóxicu	kɛːrɦeoloʃɪk
ictiólogu	ikteoloɣu
idealismu	iðe̞alizme
ideariu	ɛɾlɑːrjuː
identidá	iɾemtiða
identificadora	ˌiðentifˌikaðˈoɾa
ideografía	ˌiðeˌoɣɾafˈia
ideográfica	ˌiðeoɣɾˈafika
ideográficu	eðeoɣɾafiku
ideoloxía	ideoloʃia
ideolóxica	ið̞eolɣ̞ika
ideolóxico	iðeoloɣ̞iko
ideolóxicu	ideoloɣ̞iko
ideólogu	ideɔlɔu
idilios	ibɾioɾ
idioma	eðijom
idiomatismu	idiomatizmu
idiomática	iðiomtika
idiomático	iɾiomˈatiko
idiomáticu	iðiomatjku
idiosincrasia	iðiɔsinɣɾaθia
idiosincráticu	iðiʊsĩŋkɾatjku
idiática	ibjɐtika
idiático	idiɐtjkɔ
idiáticu	ið̞iat̪iku
idolátricu	iðolatrikou
idénticu	i
idílicu	iviljku
iglú	iˈʁlˈw
ignaciu llope	i ɣnaθiʊ jope
igua	ˈiːnɔːa
iguable	iɣwauble
iguada	iːtˈʁwˈavˈa
iguadera	iɣ̞uað̞eɾa
iguador	iɣwaðoɾ
iguadora	iɣwað̞oɾa
iguadoro	iɣwaðoɾo
iguadura	iɣ̞uad̪uɾa
igual	iɣ̞wal
igualación	iɣ̞ualakjoŋ
igualadura	iɣ̞ualad̪uɾa
igualar	iɣwɑlɑr
igualdá	igɔlda
igualitaria	iɣualitaɾia
igualitario	iɣwalitaɾiɔ
igualitariu	iːgualitaɾiʊ
iguamientu	igwamiɛntu
iguana	iɾwãnã
iguar	aiɣoɾ
iguáu	iʁwˈaːo
igüera	iɾuɪ̞ɾa
igüero	iɣwˈˌeɾˈo
igüeru	eʁwalˈu
ilesia	iːlesˈtia
ilion	iljoŋ
illegalidá	iliɣaliða
illegalizar	eljɛkaljθaɾa
illexítimu	iliʃitimɔ̃
illuminación	liʎumˌinaθjˈon
illuminao	iːlˈgyminao
illuminar	iˈljuːmɪnˈar
illumináu	iʝˈiminawˈ
ilusionismu	iɾusioŋizmu
ilusión	ilwsioŋ
ilusoria	ilɾuʃoɾia
ilusorio	ilusɔɾio
ilusoriu	iɾuʃoɾjju
ilustrada	ilust̪ɾað̞a
ilustrao	iːbɔstɾaɔ
ilustrativu	ilustrativo
ilustráu	iɫoʃt̪rau̯
ilóxica	jyklosʃika
ilóxico	ilˈɔstʃiko
ilóxicu	ilɔʃliku
imaxe	imˌaʃˈe
imaxinable	jmaɣ̞inaβ̞le
imaxinación	imaʃinaθjˈon
imaxinar	imasinoɾ
imaxinaria	imaiɣ̞sĩŋɾia
imaxinario	imaʃinaɾio
imaxinariu	imaʃinaɾiw
imaxinativa	imaɣ̞inat̪iβ̞a
imaxinativo	imaiɕinatoiɓo
imaxinativu	imɑŋsjnatiuɔ
imaxínación	tɾˌaʃnˈaθjˈon
imbecilidá	miːnbeːfiːqiːða
imitadoro	imitaðɔɾɔ
impacientar	impassjɛntaɾ
impactu	impakto
imparcialidá	impaɾt̪ialit̪a
imparisílaba	impaɾjsjʝaba
imparisílabo	impaɾjsjlabo
imparisílabu	impaɾislabuit
impasibilidá	impasziβ̞ilit̪at̪
impautu	npaut̪u
impecable	impekaβ̞le
impedimentu	impeðimemt̪u
impensable	mpensˈaβle
imperar	impeɾaɾ
imperativu	impeɾatibu
imperfeuta	impeɾfewt̪a
imperfeutiva	impeɾfewt̪iba
imperfeutivo	imprefeu̯t̪ibo
imperfeutivu	impeɾfewtibu
imperfeuto	ĩmpeɾfau̯t̪o
imperfeutu	ĩmpeɾfewtʊ
imperialismu	impeɾialismʊ
imperialista	impeɾialist̪at̪
imperiosa	impeɾjosa
imperioso	impeɾjʊsʊ
imperiosu	impeɾjʊsʊ
imperiu	impeɾiu
impermeable	impeɾmeaβ̞le
impersonal	impeɾsonal
impersonalidá	impeɾsõn̪alið̞at̪
impertinencia	impeɾt̪ĩŋnẽn̟θia
impertinente	impeɾtjnent̪ɪ
impidida	impeðiða
impidir	imˌpˌiɾiɾ
impidío	impiðio
impidíu	imˌpˌiːdˈiu
implar	implaɾ
implicación	implikakioŋ
implicar	impliˈθaɾ
implícitu	implifitˈu
imponedor	ˌimponeðˈoɾ
imponedora	imponeðɔɾa
imponedoro	imponeðoro
impopular	impopulaɾ
impopularidá	impopul̪aljð̞at̪
importadoro	impoɾt̪að̞oɾo
importona	impoɾtona
importono	impoɾt̪ono
importón	impoɾt̪oŋ
imposibilidá	imposzjbilið̞að̞
imposibilitada	impossibiljtaða
imposibilitao	impozsiβilitau
imposibilitáu	impozsiβilitau
imposición	imposiθi̯oŋ
impositiva	imposit̪iβ̞a
impositivo	impositivo
impositivu	impositibu
impostura	impoʃtuða
imprecisu	impɾefisɫ
imprentación	impɾemt̪ɐsioŋ
imprentador	implintaðɔɾ
imprentadora	implẽn̪t̪að̞oɾa
imprentar	imprentara
imprenteru	implenteɾu
imprentón	impɾintuŋ
imprescindible	impɾest̪inð̞iβ̞le
impresionismu	jmpɾesioŋjsmo
impresionista	impɾessionista
impresu	impɾesʊ
imprevisión	impɾeβisioŋ
improbabilidá	impɾoβ̞aβ̞jlið̞a
improbable	improβ̞aβ̞le
improcedencia	impɾoszeðenkia
improcedente	impɾosedente
improductividá	impɾoð̞ukt̪iβ̞ið̞a
improductivu	improðuktibo
impronunciable	impɾonunθiaβ̞le
impropiedá	ĩmpɾopiet̪at̪
impropiu	impropju
improvisación	mpɾobisaθi̯oŋ
improvisto	impɾobisto
improvistu	improvist̪u
impuestu	impostʊ
impulsivu	impulsjβ̞u
impune	impuðe
impunidá	impunið̞a
impuru	timpulu
imu	imˌo
in	iŋ
ina	ina
inabarcable	inalaɾkaβ̞le
inacadigable	ĩŋakaðiɣaβ̞le
inacentuada	jnasentwaða
inacentuao	ĩŋafemt̪uaɔ
inacentuáu	ĩŋasent̪uau
inaceptable	inakepetaβ̞le
inaciu galán	i nasiwa laŋguɾu
inactividá	inaktiβiðaɾ
inactivu	inaktibu
inadautación	inaðau̯t̪asioŋ
inadautada	inaðɔutaða
inadautao	inað̞ãt̪ao
inadautáu	ĩŋad̪aut̪um
inaguantable	inaɣ̞wãn̪t̪aβ̞le
inalmitible	inalmitiβ̞le
inanalizable	inanaliθˈaβle
inanimada	inanimaða
inanimao	inanimao
inanimáu	inɛnɪmau
inapellable	inapelliaβ̞le
inaplicable	inapliaβle
inapreciable	ĩŋapɾefiaβ̞le
inarticulable	jnaɾtikulaβ̞le
inarticulada	ĩŋaɾt̪ikulað̞a
inarticulao	jnaɾtikulaɔ
inarticuláu	ĩnaɾt̪ikulaw
inauguración	jnauɣ̞uɾakjoŋ
incaicu	nkai̯ku
incalculable	inkalkulaβ̞le
incalificable	ĩŋkalifikaβ̞le
incamentable	ĩŋkamẽn̪t̪aβ̞le
incamudable	inkamuð̞aβ̞le
incapacidá	ĩŋkapäθið̞aɾ
incensariu	intzẽnsaɾiu
incestu	ĩŋsɛʃtu
incestuosu	nʲatsatɫoʂu
incha	insːa
inchar	jnseɾ
inchedoria	intseðoɾia
inchedorio	intsedorio
inchedoriu	ainkeðoɾiʊ
inchentada	intentaza
inchentar	jnsent̪aɾ
inchente	insente
inchentona	jnsentona
inchentono	insentono
inchentón	insentõŋ
incher	jˈunsˈeɾ
inciensu	infantistaiː
inciertu	ɪnfjɾtu
incluy¡íos	inklujɣiɾs
indiu	indjˈu
indonesia	inðonˈesja
inflau	imfɛlˈ
iniciáticu	iniθiːtiko
inmey¡orable	tiːnmɛʝoraˈble
inseutu	jnswtɔ
instaláu	t̪inzt̪alau
institúise	instituis
instrumentu	instrumentu
intrugar	int̪ɾuɣ̞aɾ
intégrase	inteɣɾaseɾ
inundaos	jnũŋdaos
inédita	ɛneːɓitːa
inéditu	jnevidu
iridiu	iridiu
iterbiu	jtɛɾbju
itriu	iːtɾjɔ
iviemu	imir
iviernu	ãbiɾnw
la	la
la conseyería de cultura del principáu	dʒuɾe pɾɔnsiʎeɾia dɛ kultuɾa dɛm pɾimipaɔ
la cubilina	la kuβ̞ilina
la fonte del cai	la fɔnte del kaĩ
la güestia	la uˈestja
la pesa	la pesa
la pola l.lena	la poɾ la t̪e
la puta que vos parió	la pwt̪a ke bospaɾio
lantanu	lndanˈu
laurenciu	laʊɾənθiu
lenguaxe	lɛŋgwaʃe
les	les
les praeres	les pɾaˈeɾes
les xornaes del pitu caleya fueren un éxitu	les ʃoɾnaes dˈos el pitˈu kˌaleˈia fwˈeɾen ˈun ˈeksitʊ
linguaxe	lʲɪŋuaʃʲi
litiu	lˈitiʊ
llabor	ʝˈaˈvɔrɔ
llabrador	ljʃjɑːgɔladɔro
llaguna	dʒˈɑruːnˌɑ
llamber	ɣ̞amβ̞eɾ
llambión	ljambion
llambía	ʝambia
llan de cubel	xak d̪e koβ̞el
llanes	ljˈanˈɛ
llangreanu	ɣ̞ɾianu
llangréu	laʝˈɑŋbɾˈu
llaniscu	ʝˈanɪsku
llanzó	ɣianfo
llargo	ʝaɾɣ̞o
llargu	jˈalɔ
llau	dʒau
llavandera	ʝaβ̞ãn̪d̪eɾa
llaviana	ʝaβ̞jana
llavianés	ʝˈabjˈan
lleese	jˈɛs
lleguminoses	liaˈɾʊminoses
llenaba	zjɛnava
llenense	seˈn
lletres	vjɛtrɛs
llevame	ljebamɨ
llexislatura	ʝeɣ̞islat̪uɾa
lleíbles	ɾɑs
lleída l’acta	zˈe iː dˈa lˈakta
lleón	ʝˈeˈɔŋ
llibre	ɣ̞iβ̞le
llibremente	ʝjβ̞ɾemẽn̪t̪e
llibreta	ljβ̞ɾet̪a
llibros	ɲibros
llibru	ibru
llicencia	jikensia
llingua	dʒiŋgwɐ
llingua asturiana	lĩŋgwa est̪oɾiana
llingua materna	ljˈeŋgwa matˈɛrna
llinguaxe	gigʊˈʃe
llingüisticos	ljnɣuistikos
llingüística	ljnɣwist̪ika
llingüísticos	tiɣwɪstipo
lliterariu	ljteɾaɾiʊ
lliteratura	lijˈədˈiːˈɛstdˈuːlˈa
llión	lion
lloca	lɔk
llonxanes	iontianes
llonxanu	jɔnusainu
llorach	joɾatʃ
llorío	ʒoriˈo
llote	dʒoːd
lloñe	jˈuʒˈa
lluego	lwˈeβo
llueu	ʝwɛ
llugar	luɣ̞aɾ
lluis antón gonzález	sa ðɾʊŋgɔnsales
lluis xabel álvarez	ʝˈuɪs ʃˈaβeʎ ˈalβaɾes
llumbre	ljmbɾe
llunes	kiuns
llustru	ljuʂtro
lluz	juz
lo	lɔ
lo llargo la vida	la ʝaɾɣ̞o la bið̞a
lo llargo’l tiempu	lo iarɣʊl tjempu
los	los
lu	lˈo
luteciu	lˈˈɛtˈepˈ
lésica	leska
l’acabu	lakaβ̞o
l’asturiana	last̪oɾjãn̪a
l’habana	laβ̞ana
l’intentu	lintɛntu
ma	nˈoʊ
madera	mað̞eɾa
maestru	maestɾu
magar	maɣ̞aɾ
magnesiu	maxˈnɛsjʊ
magüer	maːgwˈɛ
maliayu	maljˈajˈo
malpenes	malpenes
mama	mama
mamina	maina
mandala	mandala
manga	maŋga
manganesiu	maŋgaɾeθio
mantu	mantl
manuel asur	manwel aθuɾ
manuscritos	mˌanuskɾˈetos
mapa	mata
marcenao	maɾsenao
mariellu	maːriːajwˈ
marrón	marum
martes	maɾt̪is
martiellu	maɾtjeio
marzu	mafum
masque	maske
matemátiques	matematek
maxinalo	matʃjonalo
maxinámelo	maʃinamelo
maxinátelo	maʃinatelo
mayor d'edá	majoɾ dˈos dˈa
mayoría d'edá	maʝoɾia d̪e ð̞a
mayu	maju
mazáu	mafˈav
maíz	mˈaɪv
mañana	manhˈɐnɐ
mañán	manʝan
me	ni
mecheru	mɛtɕɛru
mediu	meˈtɾju
melguera	mɛðeɾ
mena	mena
mendeleviu	mendˈə-lˈebiʊ
menor d'edá	menor dˈe ˈɾa
mensaxe	sɒʃ
mentanto	mintanto
mentantu	mentantɔ
mentira	mentiða
mercar	meɾkaɾ
mercar fiao	merkaɾafiaˈo
mercuriu	merkʊɾiʊ
mesma	nɛsma
mesmamente	nosmamɛnze
mesmes	mezmez
mesmo	mʃmo
mesmos	s
mesmu	mesmu
metanes	mɛtanɨs
metanos	metanos
metá	mˌɛːtˈa
meyor	majˈor
migues	mˈiðɚz
mileniu	mjleniu
milenta	milentˈa
millu	migu
