'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
ਆਗਨਾਤਮਿਕ	aːgnaːtəmɨg
ਆਗਮ	adɐm
ਆਗਮਨ	agɐmɐ̃nʲ
ਆਗਰਾ	ɐːgɾa
ਆਗਾਜ਼	aːgaːs
ਆਗਾਮੀ	aɣami
ਆਗਿਆ	agˈja
ਆਗਿਆ ਕਰਨੀ	aːgĩːə˥ kãn̪iː
ਆਗਿਆ ਦੇਣੀ	agadne
ਆਗਿਆ ਪਾਲਕ	əgjəpaːlək
ਆਗਿਆ ਪਾਲਨ	aːgjə paːlən
ਆਗਿਆ ਪੱਤਰ	ɑːgjəː pət̪ːər
ਆਗਿਆ ਮੰਗਣੀ	əʒʱɑːmʱɳiː
ਆਗਿਆ ਵਿਚ ਰਹਿਣਾ	ə geːjaː bʈʰ rɛɳə
ਆਗਿਆਕਾਰ	əgjkaːr
ਆਗਿਆਕਾਰੀ	əgʱjəkəɾiː
ਆਗੂ	aʒˈu
ਆਗੂਪੁਣਾ	agˈupˈɔ̃
ਆਚਰਨ	ɑɑtsʏɾenim
ਆਚਾਰ	ɑːtʃɑːr
ਆਚਾਰਵਾਨ	əˈtʃɑːrʋɑːn
ਆਚਾਰਵੰਤ	aːtʃaːrmɑnɕdim
ਆਚਾਰਹੀਣ	ɑːtʃɑːr
ਆਚਾਰੀ	ətʃaːriː
ਆਚਾਰੀਆ	əɑːtʃɑːɾiːə
ਆਜਜ਼	adʒɑz
ਆਜਜ਼ਾਨਾ	aːdʒzaːna
ਆਜਜ਼ੀ	ɑːdʒziː
ਆਜ਼ਮ	aːzəm
ਆਜ਼ਾਦੀ	ɑːzɑːd̪iː
ਆਜ਼ਾਰ	azɑɾ
ਆਜਾਦ ਸੋਚ	ɑʒɑːd ˈsɒldʒɾ
ਆਜਿਜ਼	ɑːgiz
ਆਜੋ	aːdʒoː
ਆਜੜੀ	ɑːdʒɽiː
ਆਟਾ	əʈːa
ਆਟੇ ਦੀ ਚੱਕੀ	ɑːʈ̪e ɖiː tʃkɐɪ
ਆਠਰ	aːʈt̪əɾ
ਆਠਰਨਾ	æɾtɐrnɑ
ਆਠਾ	ɑːɖ
ਆਡ	ɑːɖ
ਆਢਾ	ɐɖː
ਆਢਾ ਲਾਉਣਾ	əɖːlaːɭɑː
ਆਤਮ	ɑːtəm
ਆਤਮ ਕਥਾ	ɑːt̪əm kət̪ʰɑ
ਆਤਮ ਗਿਆਨ	ət̪m gɪjɑːn
ਆਤਮ ਗਿਆਨੀ	əːt̪m giːəɳiː
ਆਤਮ ਘਾਤ	tɐm kaːʋtɯ̞p
ਆਤਮ ਘਾਤੀ	ɑːt̪əm kaːʈːiː
ਆਤਮ ਤਿਆਗ	ət̪m t̪iːəg
ਆਤਮ ਤਿਆਗੀ	ət̪əm pliːɦgiː
ਆਤਮ ਨਿਰਭਰ	atəm neɾpɑɾ
ਆਤਮ ਨਿਰਭਰਤਾ	atəm neːɾpəɾta
ਆਤਮ ਨਿਰੀਖਣ	äːt̪əmnɾiːkʰɐɳ
ਆਤਮ ਪਦ	aːt̪m paɟɯp
ਆਤਮ ਪਰਦਰਸਨ	atəm pəɾ d̪aɾsən
ਆਤਮ ਬੋਧ	aːt̪ɐm boːd
ਆਤਮ ਰਸ	ɑːtəm ras
ਆਤਮ ਰੱਖਿਆ	ɑːt̪əm ɾəkːɦeːɑ
ਆਤਮ ਵਿਸ਼ਵਾਸ	atəm vɪʃʋaːs
ਆਤਮ ਵਿੱਦਿਆ	aːt̪m vɪd̪jɑː
ਆਤਮ ਸਨਮਾਨ	ɑːt̪əm sən̪maːn
ਆਤਮ ਸ਼ਲਾਘਾ	ɑːt̪m ʃɑːlɑːgɑːʔ
ਆਤਮ ਸਾਧਨਾ	ʔaːtomsaːd̪ana
ਆਤਮ ਸੰਜਮ	ɑːt̪em səɳdʑm
ਆਤਮ ਸੰਦੇਸ਼	ɑːt̪əm sɐɳɖeːʃ
ਆਤਮ ਸੰਵਾਦ	ɑːtəm səˈmɑːɑdʒ
ਆਤਮ ਹੱਤਿਆ	ɑːt̪m ɦt̪iːə
ਆਤਮਵਿਸ਼ਵਾਸ	tɑtɑmbeʃlaːʃ
ਆਤਮਾ	adma
ਆਤਮਿਕ	ɑːt̪əmɛk
ਆਤਰ	tæɾʲɪ
ਆਤਸ਼	aːt̪eʃ
ਆਤਸ਼ ਮਿਜ਼ਾਜ	əʈːʃmʃɑːɟ
ਆਤਸ਼ਕ	ət̪kː
ਆਤਸ਼ਬਾਜ਼	ɑːt̪ʃmɑːz
ਆਤਸ਼ਬਾਜ਼ੀ	ɑːt̪ʃbaːdʒiː
ਆਤਸ਼ੀ	aːt̪ʃiː
ਆਤਸ਼ੀ ਸ਼ੀਸ਼ਾ	ɑːtsʃiː ʃiː ʃɑːp
ਆਥਣ	atˈɛnt
ਆਥਰ	atːar
ਆਥੜੀ	ɑːt̪ʰɾiː
ਆਥੜੀ ਕਰਨੀ	aːt̪ʰriː kəɾˈniːm
ਆਥੜੀ ਰਹਿਣਾ	aːθɽiː ɾəɳe
ਆਦਤ	ɑːdɑt
ਆਦਤ ਪਾਉਣੀ	ʔaːdʒa pə ɺiː
ਆਦਤ ਪੈਣੀ	əˈd̪ɪt̪ pəˈɳiː
ਆਦਤ ਹੋਣੀ	aːd̪ʒd̪ ɦoːnĩː
ਆਦਮ	ɑːd̪ɐm
ਆਦਮ ਕੱਦ	adəm qɑdˈ
ਆਦਮ ਜ਼ਾਤ	aːd̪mzɑːt
ਆਦਮਖੋਰ	aːd̪ɒ̙mkʊ̞r
ਆਦਮਖੋਰੀ	ɑːd̪ʌmkʰoːˈriː
ਆਦਮਜ਼ਾਦ	ɑːdəmzɑːd
ਆਦਮਪੁਰ	adɯmpɯr
ਆਦਮੀ	admin
ਆਦਮੀਅਤ	aːdmiːjatɯ
ਆਦਰ	adəɾ
ਆਦਰ ਕਰਨਾ	aːdərkaːrnɑ
ਆਦਰ ਭਾਉ	adr̪paːl
ਆਦਰ ਮਾਣ	ɑːd̪ɾmaːɳ
ਆਦਰਯੋਗ	aðəɾioːg
ਆਦਰਸ਼	adajʃɨ
ਆਦਰਸ਼ਕ	dʒɑʃɑk
ਆਦਰਸ਼ਵਾਦ	adaʃvada
ਆਦਰਸ਼ਵਾਦੀ	aːdɑrʃiʋɑdil
ਆਦਲ	ɑːd̪l
ਆਦਾ	adda
ਆਦਾਨ ਪਰਦਾਨ	ɑːdaːn pəɾ d̪aːn
ਆਦਿ	ad
ਆਦਿ ਕਾਲ	ɑːd̪ɪkɑːl
ਆਦਿ ਵਾਸੀ	aːtoːʋɑːsˈiː
ਆਦਿਕ	ɑdæk
ਆਦਿਸ ਆਬਬਾ	ʔaːdˤsˤaːʔabbaː
ਆਦੀ	adi
ਆਦੀ ਹੋ ਜਾਣਾ	aːd̪iː ɦoː gɑːɳaː
ਆਦੀ ਹੋਣਾ	ɑːd̪iː ɦoːɳe
ਆਦੇਸ	adeɪs
ਆਦੇਸ ਕਰਨਾ	að̞es karna
ਆਦੇਸ਼	ˌɐdeʃ
ਆਧੁਨਿਕ	aːdiliːk
ਆਧੁਨਿਕਤਾ	aːd̪ʊnɪkːt̪a
ਆਧੁਨਿਕਤਾਵਾਦ	ɑːd̪ʊnɪkt̪ɑːʋaːd̪
ਆਧੁਨਿਕਤਾਵਾਦੀ	əːd̪ʱuːnɪkːt̪ɑːʋɑːt̪diː
ਆਨ	ɑːn
ਆਨ ਬਾਨ	ɑːn baːn
ਆਨ ਸ਼ਾਨ	ɑːn ʃɑːn
ਆਨਾ	ɑnɑ
ਆਨਾ ਕਾਨੀ	ænɑːkɑːniː
ਆਨਾ ਕਾਨੀ ਕਰਨਾ	əːnäː kəɳiː kɐn̪näː
ਆਨੇ ਬਹਾਨੇ	äːɳːɳeː bəɦɑːnne
ਆਪ	aːp
ਆਪ ਬੀਤੀ	əːp biːt̪iː
ਆਪ ਮਰੇ ਜਗ ਪਰਲੋ	əʊ̃mɾeː gəpərlɔː
ਆਪ ਮੁਹਾਰਾ	əm ˈmʌɦɑːrə
ਆਪ ਮੁਹਾਰੇ	əp mʊhɑːre
ਆਪ ਹੁਦਰਾ	ɑːm xdɾə
ਆਪ ਹੁਦਰੀਆਂ	ˈa pˌudɹˌiɲɐ
ਆਪਣਾ	ɑpɑɳa
ਆਪਣਾ-ਆਪਣਾ	əpɳaːəpɳaː
ਆਪਣਿਆਂ	aːpniːaː
ਆਪਣੀ	apniː
ਆਪਣੀ ਖੁਸ਼ੀ ਦਾ	əpneiː gɾəʃiːdɑ
ਆਪਣੀਆਂ	apaɳiːɲa
ਆਪਣੇ	ɑpɳe
ਆਪਣੇ ਆਪ	əpɳeːɑp
ਆਪਣੇ ਆਪ ਉੱਗਣ ਵਾਲਾ	əpne jaːpʰə oːgnoːaːla
ਆਪਣੇ ਆਪ ਨੂੰ ਬੇਵਜਹਾ ਤੰਗ ਕਰਨਾ	əpne əpnuː beːdʒaːt̪n kɾna
ਆਪਣੇ ਆਪ ਹੋਣ ਵਾਲਾ	əpne jɑːb ɦoːn ʋɑːli
ਆਪਣੇ ਆਪਣੇ	aːpɳe ɑːpɳe
ਆਪਣੇ ਆਲਾ ਸਾਂਭ ਲਾ	apɔːnə aːlɑː saːbəla
ਆਪਣੇ-ਆਪ	əpɳeːap
ਆਪਤਨ ਕੋਣ	ə pat̪n koːɳ
ਆਪਬੀਤੀ	aːpbɪti
ਆਪਸ	aːpəs
ਆਪਸ ਵਿਚ	aːpə smtɕ
ਆਪਸਦਾਰੀ	ɑːpəsɖɑːɾiː
ਆਪਸੀ	absi
ਆਪਾ	apa
ਆਪਾ ਅਤੀਤ	əpa ətiːd
ਆਪਾ ਕੁਰਬਾਨ ਕਰਨਾ	əpaː kɾbaːn kɾnə
ਆਪਾ ਵਾਰਨਾ	apavone
ਆਪਾਂ	apˈɛ̃
ਆਪਾਤੀ ਕਿਰਨ	apɑtːiːn kɪreniːm
ਆਪੇ	ape
ਆਪੇ ਤੋਂ ਬਾਹਰ ਹੋਣਾ	əpe d̪eːn baːr ɦoːɳe
ਆਪੇ ਮੈਂ ਸੱਤ ਸੁਹਾਗਣ ਆਪੇ ਮੇਰੇ ਬੱਚੇ ਜੀਣ।	əpʰem je sɑtʰɔ̃ːʃäː ɦɐgɳ əpʰe miɾe btʃʰeː dʒiːɳ
ਆਪੋ	apo
ਆਪੋ-ਆਪਣਾ	apoəpəɳa
ਆਪੋ-ਆਪਣੇ	apoapoɾe
ਆਪੋਧਾਪੀ	apotapi
ਆਫਰਨਾ	apərna
ਆਫ਼ਤ	ɑːfət
ਆਫ਼ਤ ਆਉਣੀ	aʁfãːd ɑ̃nˈliː
ਆਫ਼ਤ ਟੁਟ ਪੈਣੀ	aːft̪ʰbaːʈ pəɳeːniː
ਆਫ਼ਤਾਬ	aftab
ਆਫ਼ਰੀਨ	ɛːfriːn
ਆਬ	a
ਆਬ ਤਾਬ	ɑːbdɑːb
ਆਬ ਹਯਾਤ	ɑːb ɦɪjət
ਆਬਕਾਰੀ	əːbkäːriː
ਆਬਦਾਰ	ɑːbdaːr
ਆਬਨੂਸ	ɑːbnuːz
ਆਬਨੂਸੀ	əbnʊsɪ
ਆਬਪਾਸ਼ੀ	ɑːmpaːsiː
ਆਬਰੂ	aːbruː
ਆਬਸ਼ਾਰ	ɑːmʃɑːr
ਆਬਿਆਨਾ	abiannɑ
ਆਬੀ	abi
ਆਬੋ ਹਵਾ	abo hova
ਆਬੋਦਾਣਾ	abodaːɳə
ਆਬੋਦਾਣਾ ਉਠ ਜਾਣਾ	aːbo daːɳaː ɔtʰdʒɑːɳaː
ਆਭਾ	aba
ਆਭਾਸ	abas
ਆਭੂ	abˈu
ਆਮ	ɑːm
ਆਮ ਆਦਮੀ	ɑːm ɑːd̪miː
ਆਮ ਜਨਤਾ	ɑːm dʒɑntɑ
ਆਮ ਨਾਂਵ	ɑːmnɑːm
ਆਮ ਮੁਆਫ਼ੀ	ɑːm ɑːmɑːfɪ
ਆਮ ਮੁਆਫੀ	ɑːm ɑːmːɑː
ਆਮਦ	ɑːmɑd
ਆਮਦਨ	ɑːmdɑn
ਆਮਦਨ ਕਰ	ɑːmd̪ɑːn kɑːr
ਆਮਦਨੀ	ɑmdɑniː
ਆਮਲ	ɑːməl
ਆਮਲਾ	aːmlɑ
ਆਮਾਲ	ɑːmɑːl
ਆਮੋਦ	amod
ਆਮੋਦ ਕਰ	əːmoːd kər
ਆਮੋਜ਼ਿਸ਼	æmˈʌldʒæʃ
ਆਮ੍ਹਣੇ ਸਾਮ੍ਹਣੇ	ɑmnʲeːsɑmnʲeː
ਆਮ੍ਹੋ ਸਾਮ੍ਹਣੇ	amːmoː ʃɑmn̪eː
ਆਯੁਰਵੇਦ	ɑjɯɾmeːjɛdi
ਆਯੁਰਵੈਦਿਕ	aːgɾveːdege
ਆਯੋਜਨ	aioɟen
ਆਯੋਜਿਤ	ajʒiʃtʃɒtʃɒtˈi
ਆਰ	ɑːr
ਆਰ ਪਾਰ	pɑːr pɑːr
ਆਰ ਮਾਰਨੀ	ɑːr maːrniː
ਆਰਗਨ	əɾgən
ਆਰਜ਼ੀ	ɑːɾviː
ਆਰਜ਼ੂ	ɑːɾsʊ
ਆਰਤੀ	ɑːɾt̪iː
ਆਰਤੀ ਕਰਨੀ	ɑːɾt̪iː kɐɾɐniː
ਆਰਥਕ	ɑːrthək
ਆਰਥਿਕ	ɑːr
ਆਰਥਿਕਤਾ	aːrt̪ʰɐkt̪aː
ਆਰਫ਼	ɾf
ਆਰਫ਼ਾਨਾ	ɑːrfənə
ਆਰਫ਼ਾਨਾ ਕਲਾਮ	əɾrɑfɑːnə kəlɑːm
ਆਰਬਲਾ	ɑːrbəˈla
ਆਰਸੀ	pɑːɾsiː
ਆਰਾ	aːrˈæ
ਆਰਾਕਸ਼	əːɾəkəʃ
ਆਰਾਮ	ɑːɾɑːm
ਆਰੀ	ɑːɾiː
ਆਰੀਆ	ɑːɾiːə
ਆਰੋਹ	aɾˈɔ
ਆਰੋਹਣ	äːroːɦɑɳ
ਆਰੋਹੀ	əroːt̪ʃiː
ਆਰ੍ਹ	ɑːr
ਆਲ	ɑːl
ਆਲ ਉਲਾਦ	ɑːl ʔulɑd
ਆਲ ਜਾਲ	ɑːl ɟʰɑːl
ਆਲਣ	ɑːlːɑːɳ
ਆਲਮ	ɑːləm
ਆਲਮ ਤਾਰੀ ਹੋਣਾ	əˈləm taːriː ɦoːɳaː
ਆਲਮ ਫ਼ਾਜ਼ਲ	ɑːləm faːd̪ɐl
ਆਲਸ	ɑlɪs
ਆਲਸ ਕਰਨਾ	ales karnɛ
ਆਲਸੀ	fiː
ਆਲਸੀ ਬੰਦਾ	ɑːl siː bəɳˈdə
ਆਲ਼ਾ	aɻa
ਆਲ਼ਾ ਦੁਆਲ਼ਾ	ɑɻɑ ɖwaɺa
ਆਲ਼ਾ ਭੋਲ਼ਾ	aɾlapola
ਆਲ਼ੇ ਦੁਆਲ਼ੇ	ɑːɭe d̪ʋaːɭe
ਆਲੀਸ਼ਾਨ	ɑːliːʃɑːn
ਆਲੂ	alə
ਆਲੂ ਬੁਖਾਰਾ	aloːuː bˈˈokʰaːra
ਆਲੋਕ	alˈoːk
ਆਲ੍ਹਕ	aːlɐkeː
ਆਲ੍ਹਣਾ	ɑːlɑːɳaː
ਆਵਣ	ɑːʋəɳi
ਆਵਸ਼ਕਤਾ	ɑːʋiʃɑkʈ̟ɑ
ਆਵਾ	ava
ਆਵਾ ਊਤ ਜਾਣਾ	aːwa ɔt gɑɳa
ਆਵਾਂ	ava
ਆਵਾਗਮਨ	əʋaːgmn
ਆਵਾਗਵਨ	əʋaːgʋɐn
ਆਵਾਜਾਈ	ɑːʋɑːgɑːiː
ਆਵਾਜਾਈ ਦੇ ਸਾਧਨ	ɑːʋɑː dʒəˈjɑf diːn
ਆਵੀ	aːvˈe
ਆਵੇਦਨ	aːveːt̪n
ਆਸ	aʃ
ਆਸ ਪੂਰਨੀ	aːs puːrni
ਆਸ ਲੱਗਣੀ	əgäːs ləgɽiː
ਆਸ-ਪਾਸ	aːspaːs
ਆਸਜਨਕ	aːsdʒɑnɯk
ਆਸਟਰੀਆ	ɑːstɹɑːɑː
ਆਸਟਰੇਲੀਆ	ɑstɹˈeɪljə
ਆਸਟ੍ਰੇਲੀਆ	əstɹɛlijə
ਆਸਣ	ɑθɛɾ
ਆਸਣ ਜਮਾਉਣਾ	as̺aɳ dʒəmavna
ਆਸਣ ਪਾਉਣਾ	jˈul pˈaːn
ਆਸਣ ਮੱਲਣਾ	ɑːsɑːɖməlgə
ਆਸਣ ਲਾਉਣਾ	aferlɒvnˈi
ਆਸਤਕ	ɑːstək
ਆਸਤਿਕ	ɑːrst̪ɪ̞k
ਆਸਤਿਕਤਾ	aːstəkta
ਆਸਤੀਨ	ɛstim
ਆਸਤੀਨ ਦਾ ਸੱਪ	aˈsˈtiˈnt dˈə sˈɑp
ਆਸਥਾ	aːst̪
ਆਸਪਾਸ	pazpaz
ਆਸਮਾਨ	ɑːsmɑːn
ਆਸਰਾ	aːfɾa
ਆਸਰਾ ਲੈਣਾ	ɑːsɾäː ləɳgə
ਆਸਰਿਤ	aɾət̪
ਆਸਵਾਨ	ɑːsˈwanː
ਆਸਵੰਦ	aːsvnɖi
ਆਸਹੀਣ	ɑːsxẽːn
ਆਸ਼ਕ	əːʃq
ਆਸ਼ਕ ਮਿਜ਼ਾਜ	ɑːʃq miːzɑːdʒ
ਆਸ਼ਕ ਮਿਜ਼ਾਜੀ	əːʃq mɪdʒɑːdʒiː
ਆਸ਼ਕ ਹੋ ਜਾਣਾ	äːʃk hoːdʒäːɳʱ
ਆਸ਼ਕ ਹੋਣਾ	äːʃk ɦoːɳe
ਆਸ਼ਕੀ	əʃkiː
ਆਸ਼ਨਾ	aːʃnɑ
ਆਸ਼ਨਾਈ	aːʃnɑːiː
ਆਸ਼ਰਮ	ɑːʃɾɑm
ਆਸ਼ਾ	aːʃa
ਆਸ਼ਾਵਾਦ	ɑːʃɑːʋɑː
ਆਸ਼ਾਵਾਦੀ	əʃɑːʋɑːd̪iː
ਆਸਾ	aːstɑ
ਆਸਾਨ	ɦɑsˈʔɑn
ਆਸਾਰ	asˈɑɾ
ਆਸਾਰ ਕਦੀਮਾ	ɑːfɑːr qɑd̪iːmə
ਆਸਾਵਰੀ	ɑːsɑːʋɐɾiː
ਆਸੇ ਪਾਸੇ	tɑːˈseː
ਆਹ	a
ਆਹ ਮੂੰਹ ਤੇ ਮਸਰਾਂ ਦੀ ਦਾਲ	ɑːm ɦoːt msrɪẽːniː gɑːl
ਆਹਮਣੇ ਸਾਹਮਣੇ	ɑːmɭeː ʃɑːmɐɾeː
ਆਹਰ	ɑːhər
ਆਹਰ ਪਾਹਰ	əɣər paːɣər
ਆਹਰ ਪਾਹਰ ਕਰਨਾ	ɑːɦɾ pɑːɦɾ kɐɾnə
ਆਹਰੀ	ɑːɦɾiː
ਆਹਲ਼ਕ	ɑːɻ
ਆਹਲ਼ਕੀ	ɑːɭkiː
ਆਹਲਾ	ɑhlɑ
ਆਹਲਾ ਅਫ਼ਸਰ	ɑːlɑː ɑfˈfær
ਆਹਲੂਵਾਲੀਆ	alˈuːvəljˈɔ̃
ਆਹਾ	ɑːhɑ
ਆਹਿਸਤਾ	aːsʈtə
ਆਹੂ	aːhv
ਆਹੂ ਚਸ਼ਮ	ɑːhʊdʒəʃəɐm
ਆਹੂ ਲਾਹੁਣੇ	qɔː laʋɺe
ਆਹੂਤੀ	aːthutːiː
ਆਹੋ	ˈaɦo
ਆੜ	ɑːɻ˥˩
ਆੜ ਮੱਲਣੀ	aːɽməlɾɐɳiː
ਆੜ ਲੈਣੀ	aːr ləɳiː
ਆੜੀ	ɑːɾiː
ਆੜੂ	aɺu
ਆੜ੍ਹਤ	aːɾt̪
ਆੜ੍ਹਤੀ	aːɽt̪iː
ਆੜ੍ਹਤੀਆ	ɑːɾt̪iːə
ਇਆਣਾ	ljoɾna
ਇਆਲ਼ੀ	˨˩˦eɪ˧˥li˨˩˦
ਇਉਂ	jˈʌŋ
ਇਕ ਨਾ ਇਕ	lɪknajk
ਇਕ ਪਾਸੜ	ikː pɐsɫe
ਇਕ ਲਖ	eklɯ̞k
ਇਕ ਸਦਾਬਹਾਰ ਝਾੜੀ	ək sdɑː bʱəɾ tʃɑːɺiː
ਇਕਤਾਲ਼ੀ	əktäːliː
ਇਕਤਾਲ਼ੀਆਂ	ɛqtaːɾiːon
ਇਕਤਾਲ਼ੀਵਾਂ	ɛːkʈaːliːmɑ
ਇਕਤਾਲ੍ਹੀਂ	ɪktaːliːn
ਇਕਨਾਂ	liːkːnɑː
ਇਕਬਾਲ	ɪkːbaːl
ਇਕਬਾਲ ਕਰਨਾ	əqɑːbɑːl kɑɾnə
ਇਕਬਾਲਨਾਮਾ	aːkbaːlnɑmɑ
ਇਕਬਾਲੀ	əqaːliː
ਇਕਬਾਲੀਆ	əqɑːbaːliːə
ਇਕਮਿਕ	əkmɛk
ਇਕਰਸ	ikros
ਇਕਰਾਰ	ɛːkɾɑːr
ਇਕਰਾਰ ਕਰਨਾ	əˈkɾɑːr kɾnə
ਇਕਰਾਰ ਦਾ ਪੂਰਾ	ɑːkɾäːɾ d pʊɾa
ਇਕਰਾਰ ਦਾ ਪੱਕਾ	ɪgɾɑːɾ daː pəkːə
ਇਕਰਾਰ ਨਿਭਾਉਣਾ	ɛkraːr nibɔnə
ਇਕਰਾਰ ਪੂਰਾ ਕਰਨਾ	ɑːkɾɑːɾ puːɾɑː kəɾnə
ਇਕਰਾਰਨਾਮਾ	gɾɑːrnama
ਇਕਲਵਾਂਝਾ	ɛːkələˈnʤɑː
ਇਕਲਵਾਂਝੇ	ekɪlɑʋaːnʲdʒe
ਇਕਲਵੰਜਾ	jekalaβ̞anʝaɾ
ਇਕਲਵੰਝੇ	eklˈbʱaɪndʒɛ
ਇਕਲਾਪਾ	kɛːlaːpˈak
ਇਕਲੌਤਾ	iglɔtˈtˈa
ਇਕਵਾਸਾ	a
ਇਕਵਾਸਾਪਣ	ɛːkʋɑːsʃəɾpəɳ
ਇਕਵੇਰਾਂ	ei
ਇਕਵੰਜਾ	ɪːkoːˈanɟˌa
ਇਕਵੰਝਵਾਂ	ækvænd̪ima
ਇਕਵੰਝੀਂ	ˈekojaˈnitʃɪm
ਇਕਹਿਰਾ	əˈkɛɾɑ
ਇਕਾਂਗੀ	ɪkɑːŋgəiː
ਇਕਾਂਤ	iːqɑːn
ਇਕਾਂਤਰ ਕੋਣ	ekantər kon
ਇਕਾਂਤਵਾਸ	hikˈɑntvˈɑz
ਇਕਾਂਤਵਾਸੀ	e̞kɒːntʊe̞θiː
ਇਕਾਈ	eːkɑːiː
ਇਕਾਈ ਦਾ ਕਾਇਦਾ	ə kaːˈjiːdɑː kaːˈjiːdɑː
ਇਕਾਈ ਦਾ ਤਰੀਕਾ	ɪː kaːʔiːdaː t̪rkːaː
ਇਕਾਗਰ	ɛːkɑːgɐɾ
ਇਕਾਗਰਤਾ	eːkäːkkɾətäː
ਇਕਾਦਸ਼ੀ	igadʒi
ਇਕਾਨਵਾਂ	rkɑnnɯeɾ
ਇਕਾਨਵੇਂ	ʔəknʲue
ਇਕਾਨਵ੍ਹੀਂ	iːkɒnˈɒmiː
ਇਕਾਸੀ	seʃˈase
ਇਕਾਸ੍ਹੀਂ	ɛkaˈsˌiŋ
ਇਕਾਸ੍ਹੀਵਾਂ	ɛkaːsima
ਇਕਾਹਠ	ʔːkəːɦəd
ਇਕਾਹਠਵਾਂ	ɛːkɑːɦt̪ʰɦoːɪ̯n
ਇਕਾਹਠੀਂ	ɪˈkɑːʔiːŋ
ਇਕਿਆਸੀ ਸਾਲ	lo ke ai̯siː zol
ਇਕੇਰਾਂ	bikeiɾa
ਇਕੋਤਰ ਸੌ	bikˈutːarˈ sɔmˈ
ਇਕੋਤਰੀ ਮਾਲ਼ਾ	ikː ˈtɾiːmaːla
ਇਕ੍ਹੀਵਾਂ	ekkiˈwan
ਇਕ੍ਹੱਤਰ	ʲɛkatːär
ਇਕ੍ਹੱਤਰਵਾਂ	ɪ̞kættɑrva
ਇਕ੍ਹੱਤਰੀਂ	ɪːkatːəɾiːŋ
ਇਕੱਠ	bɪˈgɒt
ਇਕੱਠ ਵਾਚਕ ਨਾਂਵ	ɪːkʰɑːtʰoːaːtʃwkɔːnäːm
ਇਕੱਠਾ	ɛːkʌt̪ʰaː
ਇਕੱਠਾ ਕਰਨਾ	geː kʈʰa kɐɳnə
ਇਕੱਠਾ ਹੋਣਾ	ʔkət̪ʰaː ɦoːɽẽːʔ
ਇਕੱਤਰ	kɛːtːɛr
ਇਕੱਤਰ ਕਰਨਾ	eːkat̪ːər kaɾna
ਇਕੱਤਰਤਾ	iːkːtːt̪eːɾt̪aː
ਇਕੱਤਰੀਕਰਨ	əʈːəɾɪiːkɑrðɯnɯ
ਇਕੱਤੀ	igat̪t̪i
ਇਕੱਤ੍ਹੀਂ	ekest̪iŋ
ਇਕੱਤ੍ਹੀਆਂ	eiːtːiɲa
ਇਕੱਤ੍ਹੀਵਾਂ	ecaktimo
ਇਕੱਲ	ekɑl
ਇਕੱਲਾ	ʔeːkəla
ਇਕੱਲਾ ਇਕੱਲਾ	ikːlaː ɪkˈlaː
ਇਕੱਲਾ ਦੁਕੱਲਾ	ɪkɑlˈlɑː
ਇਕੱਲਿਆਂ	lakalɭɑː
ਇਕੱਲੇ	e̞kane̞
ਇਖਤਸਾਰ	ɪktˈɪfˈar
ਇਖਤਿਆਰ	əkt̪ɪɑːr
ਇਖਤਿਆਰ ਕਰਨਾ	əkt̪ijɑːr kɾnə
ਇਖਤਿਆਰ ਦੇਣਾ	əkt̪iaːr ɖeːɳa
ਇਖਤਿਆਰ ਮਿਲਣਾ	əkt̪jɑːr miːl ɳə
ਇਖਤਿਆਰ ਰੱਖਣਾ	ĩkʰt̪iːɑːr ɾəkʰɳa
ਇਖਤਿਆਰ ਲੈਣਾ	əkt̪ɪɑːr ləɳgə
ਇਖਤਿਆਰੀ	əkt̪ɪɑːriː
ਇਖਲਾਕ	ikːlaːk
ਇਖਲਾਸ	əklˈɑːs
ਇਖ਼ਤਲਾਫ਼	ɪxtɪlɑf
ਇਖ਼ਲਾਕ	iːxlaːq
ਇਖ਼ਲਾਕੀ	ekʰlakˈki
ਇਗਬੋ	ˈoːgboʁ
ਇਚਰ	iːtʃɑɾim
ਇਜਰਾ	edʁa
ਇਜਲਾਸ	ˈglɑs
ਇਜਲਾਸ ਕਰਨਾ	ɪdʒlɑːs kɾnə
ਇਜਲਾਸ ਬੁਲਾਉਣਾ	ɪdʒlas bɪlaːna
ਇਜ਼ਰਾਇਲ	ɪbɾaʎɪn
ਇਜ਼ਹਾਰ	ɑðˈʃɑːr
ਇਜ਼ਹਾਰ ਕਰਨਾ	ɑːð̞ʱɑːɾ kɐɾnə
ਇਜ਼ਾਜ਼ਤ	ɪðˈðɑ
ਇਜਾਜਤ	ɪ̞ʑaːtɕak
ਇਜਾਜ਼ਤ	ɑʒɑːzɑt
ਇਜਾਜ਼ਤ ਦੇਣੀ	aːddʒaːvət d̪eːniː
ਇਜਾਜ਼ਤ ਲੈਣੀ	ɦɪdʒɑːvət̪ lɛɳiːn
ਇਜਾਰਾ	pʊdʒaːɾa
ਇਜਾਰੇਦਾਰ	tɪgɑːreədɑːr
ਇਜਾਰੇਦਾਰੀ	ʔɑːɾeːəd̪ɑːriː
ਇਟਰੀਅਮ	etɾijam
ਇਟਲੀ	ɪtˈliː
