adidas	ɑdiːdˈas
istil	ilstˈil
istiqomət	ˈɪstɪmmˈɑːt
istiqomət doe	esteˈte gʊmɑ doj
istismor	estesmor
istismor karde	istizmur kaːrdi
istismorəkə	ɪstˈɛsmulˈɑka
istyfodə	ɒˈstiˈfoda
istyqlol	istɪgluɫ
istyqloləti	istɪgɫowɫati
istyrohət	ɪstrˈoːɦat
istyrohət karde	istrʊhæt qɑrdʲi
italija	iːtɑːlɪjɑ
itkə	itka
ittifoq	eldɛ
ittihod	ˈɪtəɣud
ivrə	ivra
ivrədə	ivrata
izn	ɪzn
izn doe	izˈindujɯ
izzət	izˈzˈtˈ
ičlos	zlos
ičmə	idʒimɛ
ičozə	ɪdʒoza
ičtima	etʃtiːmɑ
iškaf	ɪʃkɔf
išorə	e̞ʃuɾa
išorə karde	eʃuɾa kaɾde
i̇ngiliston	iŋgˈilləstonˈ
ja	dʒˈa
jabu	jɒbu
jad	z
jaltəq	jɒltag
jaltəqəti	nʝˈoɫtɑgɑt
jaltəqəti karde	jɒˈl tɒˈgɒtiˈk hɒɾdi
jaman	dˌiːzəmɪt
janvar	jɒnbvaɾ
japoniə	japo̞nia
jaqin	jˈɑqɪn
java	aɣo
javə	ljova
jašməq	jˈɑʃmɑg
jegə	ljˈeɣa
jengə	bjɛnɣa
jijə	jˈæ
jijə pulə	jeje pʏlæ
jo	ju
jod	ljud
jodigor	juːdikoʒu
jodkon	ʝˈotkɔn
jol	jɔɫ
joliəti	jʊ̞ɫˈlʲati
jongu	oɯ̞ŋu
jonzə	lɔza
jončə	jʊ̞nʒɑ
jurd	jˈuɾt
jəboə	jabɔ
jəhudi	jɛːˈudɪ
jəne	jˈɑːne
jəqin	jɑːgɪn
jətim	dˌiːzətˈim
jəxə	jˈaxə
jəznə	jɑzɫɑ
ka	a
kafte	kɒftɒ
kaftor	ɑfˈtuɾ
kafur	kofuɾ
kag	bɾɒk
kagə	kaga
kali	qɔjˈne
kam	kɔm
kam-kam	kɔ̀ːmkɔ̀ːm
kamaql	kɔmol
kamcatka	komtʃotka
kamfyrsət	kɔnˈfɑrˈsat
kami	kɒmiː
kamišəvoj	kɑːmʃɑːvvj
kamkor	kɔmkuɾ
kamqyvvəjn	kɔmɢɨwajn
kamsər	kɒmsæɾ
kamsəvod	kæmsɑːˈvuːd
kamsəvodəti	koːmˈsɑːvuːdɑːti
kamxor	kɒmˈhuɾ
kanada	kɒnˈɒˈdɒ
kande	kondɛ
kandočo	kondʒo
kandu	kɔndu
kandul	kɔ̃dyl
kandulə	kɒndˈilˈɒ
kandymuz	kondɯˈmuz
kanə	qɒnˈɒ
kapitan	kɒˈpiːtɒn
karde	kɑˈrðe
karmə	kɑːrmɑ
karməjn	kɑˈrmɑjˈn
katib	koˈtib
kavu	aɣu
kavuə	ɦɑʁɑ
kavuəcəš	koˈvijatʃʰæʃ
kaškə	koʃka
kašte	kɑːte
kaštor	aʃtur
kaštymon	kɒʃtɒˈmon
ke	k
kecə	ˈketʃe
kejf	kɛːf
kejfijjət	kvjət
kejfin	kɛːfɪn
kejfisə	kifisa
kend	kænd
keyf petoše	kʰef pə tʃæ
kibrit	kibrit
kinə	kina
kinəli	kɪnəli
kišvər	kʃvˈaɾ
kižə	tʃiːdʒa
kolumbija	kʰælæmbiːjæ
kom	kũŋ
kor	ɦoɾ
kort	ɔɾt
korə	kˈorɑ
korə noe	kʊrˈanuj
korətən	koˈratan
kosib	kosˈip
kovrə	kuvra
kovrədə	kˈuːrad
kovrəku	kˈomvˈˈɾakˈo
ku	kɯ
kukurd	kukˈuɾˈdum
kulmə	kylme
kulšie	gylʃe
kum	kum
kužgo	kʏʒgo
kužkag	kʏ̞ʃkɑk
kymot	qɯ̞mʊ̞t
kyndə	kɯ̞ntɑ
kyrcənə	kɯɾtʃɑnɑ
kyrdi	kɤrdʲi
kyrdi məžən bo əmə ro, cəmə zibəli məvə	kəˈr di mæʃæm baːmæɾo tʃæm æzˈɛˈvɑli ˈmæbæ
kyringo	kɾiŋgo
kyrnie	karni
kyry	kɑɾɛ
kyrə	qɯ̞ɾa
kyty	kɛˈte
kyve	kəbɪ̞
kyšte	kɯ̞ʂtɛ
kyšton	kʌʃtʊn
kırdıston	kɾˈdˈɛstɔn
kə-bə	kˈaba
kəbin	kabɪn
kəfšən	kɒfʃɒn
kəfən	kˈafan
kəhrəbo	kʰæˈɾæbʊ
kəhər	kɑhɾ
kəjbə	kajba
kəjkum	aikˈɔm
kəjnə	kajnɛ
kəjše	kʰeːsʃe
kəkojlə	kako˥˩ːla˥˥
kəkuə	kako˥˥a˥˧
kəkə	kaka
kəl	kɐl
kəlbo	kɑɫbu
kəlcə	kaltʃa
kəlimə	kalima
kəllə	kaːla
kəlocə	kɑlutʃɑ
kəloš	kɑlʊʃ
kəložə	kɑluʒɑ
kələ	kala
kələdəhnə	jˈalˈadana
kələkboz	kalaːkbuz
kələm	kɑˈlɑːm
kəm	kʌm
kəmoncə	kamuntʃa
kəmə ku	kamakˈ
kəməki	kɑmaki
kəmənd	kamand
kəniz	kˈanˈiz
kənul karde	kænʊl kɑːɾdæ
kərpič	kɾæpɪdʒ
kərə	kæɾæ
kəs	kɐs
kəsoib	kˌɐsuˌipˈɐ
kəssəq	kastag
kəsy	kɐsɯ
kəsə	kɑsɑ
kəsəg	kasag
kəton	katun
kətyl	kaːtɯl
kəxyvand	kahˈwaːnˈd
kəč	kadʒ
kəčovə	kadʒuvæ
kəčələ	kdʒaːla
kəš	kæʃ
kəše	kʃˈ
ladi	vlɔdi
lahičon	lojdʒuŋ
lalə	mɒɒlɒ
lampə	lompˈa
lange	lɒngɒˈ
lankon	loŋkoŋ
larz	lˈɔz
latə	ɫɑtɑ
laškin	ɫɑʃtʃɪn
lek	lɛk
leq	lˈœʁ
leqžor	nɛɢdʒor
lik	lˈiːk
livan	livon
lo	lo
lobər	lˌubˈaɾ
london	london
lonəhiz	lunaes
lonəhiz karde	nunahes kardeh
lorun	lʊɾˈɯn
lulə	lala
luləjn	lulˈaɪn
luləpər	lulapˈar
luqət	loʁˈat
lur	lør
lus	lˈoːs
lyrd	lɯɾd
ləhzi	nˈazi
ləkəru	nɑkɑɾu
ləm	lɑm
ləmə	nˈama
ləp	lˈɛp
ləpə	lapa
ləqan	lɣˈɑn
ləvo	navu
ləvovezə	nɔu̯ʋeza
ləvəndəvil	lɑvɑnˈdɑbel
ləšgər	mæʃkæɾ
maj	mɔj
makedonija	mˈoːkədˈonja
mande	mɒndɒ
mang	mɔ̃g
mardə	mɒɾˈda
mart	mɔɾt
masal	mˌɔ̃sˈal
matros	makros
mačəra	mɑːdʒɑːrɑh
mehim	mæ̹m
mehrəvon	beˈʃɾabon
meksika	mɛksika
merd	merd
merdə	neɾˈde
merys	mjɛrˌes
mexək	bexˈak
meš	mˈɛʃ
mešəvon	neʃɑːbun
mešəvonəti	mʃoːˈvɑːnɑːti
mijon	mˈiʒˈɒnˈ
miljard	mijɑɾd
minavo	pavʲerɨɫavo
mingə	miga
minče-minčine	mintʃedʒɯɯne
misal	misal
mivə	niːvˈɛm
miyonə	mjˈɔnˈa
miz	miz
mizon	mɪsu
mizon-tavzy	misoːntɑːvˈze
mišor	nʲaʃur
mižə	mʲiʒa
moj	mˈoj
mol	mul
mol-mələ	mʊ̞ɫmɑɫɑ
mole	mulɛ
moləvon	mʊ̞nɑːmʊ̞n
monqol	mɔŋgɔɫ
monqoli	molɛolɛ
mor	mˈʊɹ
morə	mæɾa
morəcəcul	moːɾuːʃætʃuːl
moskvə	moskva
most	must
mudir	mødˈæʃ
mudiri	myʒiri
mudirəti	mʏ̞zyɾætɪ
mustəmləkədor	mʏ̞ʂtæmnɑkɑdɑɾ
muš	mˈʏɾ
muši	muːˈsiːm˨
mužnə	mʒˈnˈ
muəxol	mʊ̞χʊ̞l
my	m
mylxyv	bˈɑlxˈɯv
myndəričot	mˌɔndaˈɾidʒat
mynčir	mɯndʒɯɾ
myrdov	mɐɾdov
myvhumat	mɪŋgɔmɔt
myvəffəq	nˈavˈafˈaːr
myvəffəq be	mɯ̞ɫap taʁ bɪ̞
myxək	mʲɪχæk
myšt	mˈɯst
myšəxxəs	mʃxas
məcit	matsit
məcə	matʃa
məcə do	mˈˈtʃadˈo
mədrəsə	mædæˈræsæ
məf be	mˈɛθ bˈeɪm
məf karde	mʁ kʰeɾde
məhkəmə	mˈaħkama
məhol	mauˈl
məholi	maɦulɪb
məhrum	maħruːm
məhəl noe	maɦalnoja
məhəllə	mɑhɑllɑh
məif	maɪv
məifi	mˌɛːnˈfi
məjdon	majduːn
məjdoni	majdunʲi
məjmun	mæjˈmun
məktub	maktub
məktubi	maktobi
məktəb	maktˈɑb
məktəbi	mktab
məkə	maka
məlhəm	malɦam
məllə	mala
məlo	mˈaʎˌu
məlodi	maludˈi
məlul	malˈøl
məluli	mɑːlɔːlˈ
məluli məškul	malˈø le maˈʃˈʁubl
məlum	mɛlˈum
məlumat	naaːlumot
məlumi	malumˈe
mələ	mˌaða
mələfə	malafa
mələqə	malɑɣ̞a
məmiz	mɑmiz
məmizi	mɒhæmˈsiː
məmləkət	mamlakat
məmnun	mamnˈyn
məmə	mama
məndyn	mandɯn
məngol	mangol
məngoli	manguli
mənzyl	mɛnˈzɛl
mənzər	manzæɾ
mənzəri	mænzæɾiː
məq	mˈaʁ
məqarə	mʁɑːr
məqlub karde	mɣælˈb kɑːɾdæ
məqom	maʁˈɔm
məqrib	nˈʁˈib
məqsəd	mqsɑːd
mərifət	mærefˈt
mərifətin	mæɾfætiːn
məriz	mˌɐɾˈɛz
məruzə	mˈaʁyˈza
məse	mˌɑsˈɛ
məskovə	mˈɑskuɭa
məsofə	mˈɑsˈufa
məsul	mæsˈul
məsulijət	nˈsuliæt
məsulijətin	mæsogʲa
mətləb	mʲeklɛp
mətn	maːtɛn
mətol	matuɫ
mətolə do	mætulɑr du
məvindək	mavindak
məvotbən	maːbodban
məvoži	mænvoʒˈe
məvuži	mau̯oːsi
məxluq	mɑxˈloɣ
məxləs	mxlɑs
məxmər	mæxˈmæɾ
məzlum	mæzlum
məzlumi	mzloːmi
məzmun	mæzˈmuːn
məzə	mæˈzæ
məzəngul	mʃŋgəl
məčbur	mˌɐdʒˈbˈuɾˈ
məčburi	mægˈbuːri
məčburən	madʒburan
məčlis	mˈˈdʒlˈis
məčlisi	mˈˈdʒəlisi
məš	mˈas
məšhur	mæʃuːɾ
məšo	maʃo
məšq	maʃk
məšqul	mæʃɢuːl
məšriq	mæʃrɛg
məšvərət	mæʃværæt
məšvərət karde	mæʃvɑɾɑt kɑrdɛn
məšə	mɛːʃɛm
məžu	maʒˈø
nam	nɔm
nangyr	nɔŋgɐr
ne	ne
nederland	nederloʊnt
nemek	nˈimek
nevenčənə	nevendʒana
nez	nɛz
ni	nˌi
nikaragua	nˈekʌrˈagʌ
nimcə	nimtʃa
nimdor	nˈymduɾ
nju-jork	nˈeʊjɔɾk
nofə	nofa
nojabr	nojɑbɯr
nom	nõŋ
nonči	nõŋdʒɨ
noqo doe	nˈu vˈudˈ
norohət	nɾuːɦet
noxəš	nˈoxaʃ
nozyk	nuzuk
nun	nønˈ
nunku	nˈũɛ
nyqə	naˈɣ̞a
nyvyšte	nˈoˈaʒtˈe
nyxt	nˈɑxt
nyxtə	nɯ̞χtæ
nyzym	mɯzɯm
nyšte	nɯ̞ʒtɛ
nəmin	nˈɒmɪn
nənə	nˈana
nəve	nave
nəvet	nʋʋʲt
nəzr	nazr
nəšrijat	nʃriːjɒːt
nəšrijot	nɛʃɛɾjɔt
o	u
obe	obo
obod	bud
obru	obɾu
oburə ome	o bɪrɛ ɔme
obyrie	oboɾio
obyšte	ubɯʃtɛ
obə	oba
ocyke	utʃikɛ
ocyne	utʃini
ocynie	utʃuˈne
ocəjə kinə	utʃɑja kina
ocəjə zoə	ʊtʃa zoɫa
odoe	un
odəm	od
odəməhə	ʊdɑmɑhɑ
odəməti	muːdɑmɑtiː
ogarde	ogɑɾde
ogordynie	aːlβɯɾduni
ogynie	uguni
ogyrd	ungəɾd
ogyrd varde	ʊɟuɾt vaɾdi
ohan mande	ˈuhɒn mɒnde
ohan še	ˈʌɦɒnʃɛ
ohašte	ʊhɑˈʃtɛ
oid	uˈit
ojnəš	ajnas
ojə	uʒa
ojə be	uzˈa bˈe
okarde	oːkɑɾde
okjabr	uktajɑbɯɾ
oko doe	okuduj
okotie	ˈokutʃe
okotynie	okutnʲeʲe
oku	okʰu
okušie	oˈkɔʃgɛ
okušnie	ˈokoʃɲiɛ
okušte	ɔkutʃtɛ
okyrie	okɾije
okyrnie	koɾni
olarz ome	ulɒɾ zume
olaxte	ulɑqtɨ
oloknie	ʊ̞ɫɯ̞kniː
olyxarte	ɔɫqɑrtɪ
omande	umumde
ome	omɛ
omute	mʏ̞tɛ
omuže	muʒu
omužən	wˈəmˈə-ʒˈaːn
omužənəti	omgɒnati
omə	uma
oməruž	omˌɐɾˈuʒʊ
onoe	oɯnɯ
onojəti	ɔnɔɪɛtɛv
onomon	unumum
onycyke	unɯ̞tʃkɪ̞
onykyrnie	unˈikɯɾˈniː
onyloknie	unɯˈɫɯknyˈej
onyqande	uniʁɑnde
onyrrə ome	unɯnɾɑ umɛ
oportie	tɑjˈʃəpuʁtˈjˈe
opot	upˈut
opot karde	oput kaɾde
opyšie	oˈpoʃi
opyšonie	uˈpuʃiniˈjɛ
oqande	ugɑndɛ
oqandə	oˈgɒndɒ
oqo	ʊ̞ʁuŋ
oqo be	oʁbˈɛ
oqrəš	ʊɣrɑʃ
oqət	ʔuqat
ordə	ɔɾˈda
oryknə ome	ʔuzun kɯˈnɑ ʔɔmɛ
orzu	bɔɾʒu
orzu karde	ɔnzu kaɾdi
orəx	ɔrɑx
orəxe	ʊɾaqe
osio	osjo
osmon	osmon
osnəgə	mʊ̞snægæ
osnəgə di	ostnaɣa di
ostoro	ɒːstuːruː
otəš	ɒtɒʃ
ov	uv
ovand	vˈɔnd
ovand be	uˈond bˈɪ
ovandəti	obondˈati
ovang ome	un vˈɔ̃ng u mˈe
ovardemon	uvɒɾˈdˈemˈuŋ
ovaxtynie	uvaqtɪnˈɛ
ovašte	vætʃtæ
ovci	uvtʃi
ovdon	ovduŋ
ovdon karde	oːvdʊn kaːɾde
ovdymon	uvd̪emon
ovdəbase	ʔovdebeˈse
ovin	oɣ̞yn
ovjo	ɔ̃nvjˈɔ̃
ovoz	ɔvuz
ovozie	ˈɔvɔzɪ
ovoštynie	uʃtɔnjɛ
ovsən	ovsãn
ovtovə	uvˈtua
ovynčie	oɟundʒe
ovynčynie	aˈmɛndʒini
ovyškynie	oɯʃkiŋe
ovšym	ʊ̞vʂɯ̞m
ovšymgəte	ofʃuŋgɒtˈe
ovšər	ʊvʃar
ovəbarz	vabɔrˈz
ovəding	vˈɑdɪŋ
ovəjnə	ʊ̞ɫɑjna
ovəjz	uvˈaɪz
ovələ	ovoˈla
ovələmə	uvɑlama
ovəqab	uːmaːgɑb
ovəroson	ovarosˈon
ovərrə	uβɾgɑ
ovərrə ome	uvaraʊ me
ovərəsi	omberasi
ovərəsi karde	mobɒːɾəsiː kɒɾde
oxo	ɔvɔ
oxon	ˈɔxun
oxonə	ɒhuna
oxor	ɔxuɾ
ozavze	ɒzɒvˈzi
ozavzynie	uzɐuzɐnɛ
ozikkə	muzikˈa
ozikkə ome	uzikˈɑl me
ozo	uzˈu
ozo gəte	ozu gətɛ
ozod	uzud
ozodi	aːzɑːdiː
ozomoj	uzumum
oše	oʃ
ošəš	ʊ̞ʃɑʃ
ož	ʊ̞s
ože	uʒe
pakiston	pɑkɪʃtɔn
pame	kɒˈme
pan	pɔn
panabat	panobat
panama	pɔnɑmɑ
pani	ponnɛ
pantyrk	pɔntɯrk
panzie	pɒnˈziː
paprus	aːpɾus
parcin	aɾtʃɛn
pardə	ɒɾdɒ
paris	hɑːɾiːʃ
parze	pɒrze
pas	pɔs
pasinə	pɒsna
pasnəsut	paznasʉt
pasport	poːʃtpʊɾtʲi
pate	pɒte
patə	pɒtɒ
paxyl	ɑχɯ̞ɫ
paxyləti	vˈɒxilˈɒti
pašmin	paʃmin
pašmə	pɒʃmɒ
pašo	aʃo
paštəcəni	pɔʃtɛtɕani
pe	ɛ
peagordyn	beˈʔagordum
pebyr	pɛpɪɾ
pebyrie	abɾijɒ
pecexovne	køʃkøkøŋbuˈniˈ
pecoštə	bʲetʃʃuʃta
pecyne	etʃiˈne
pecyxe	pɒtʃɒqe
pedoe	hedoja
pegarde	ɛlbɑɾde
pegordyne	køkordune
pegordynie	kɒˈɾˈdinieˈʔ
pegəte	pɣts
pejn	hˈeɪn
pejni	pejni
pejqombər	beːɣumbeɾ
pekarde	pɒkɒɾde
pekue	pˈɛk
pekyrie	ɛkɾijɛ
pekyrnie	pɛkɛrpavˈɯ
pekyšte	pɛkɛʃtɛ
pelandy	ɦɒnˈde
pelcə	pelˈtʃa
pelyve	peɫɯve
pelyšte	bɪ̞ɫɪ̞ʒtɪ̞
peme	peme
pemərəs	beˈmæɾas
pemərəsi	beˈmɑlɑsɪ
penčə	penʒɒ
penčədə i 1[slash]5	peˈnʒedæi
pepyšie	vɛpʃe
pepəre	pepare
peqande	peˈʁɒnˈde
peqordynie	bɛgurdʊnɪ
peqynie	peɣini
perosnəjni	pərˈusnˈɐxˈɲi
perəme	peɾˈme
perəse	peɾese
perəxe	pɾaxe
pesie	pʰeˈiː
pesoxtəjn	bɛsʊqtɑjn
pesybyne	eswɛn
pesyndynie	beˈsndɯnɛ
pesyve	psɪ̞ðɪ̞
petat	ɦɛtɑt
petate	petɒtˈe
peton	bɛtul
petoše	pɛtuːʃe
petyle	ʃɛtɪlɛ
petyrie	pjɒtɾie
petyrnie	pˈetɾˈne
petəqe	peˈdɑːge
pevarde	pɒvɒɾde
pevate	pɛgɐtɛ
pevašte	pe̞bɒʃtɒ
pevylo	hevɨlˈu
pečuče	pecjʊdʒe
peš	æʃ
pešande	pʃħŋde
peše	pɒʃɒ
pešecu	beʃetʃi
peškovul	pɒʃkɒgul
pešnəq	bɛʃnˈaɾ
pešnəqi	beʃtɾge
pešo	beʃo
pešome	eʃɔmɛ
pešomə	bˈɛshoʊmˈ
pešon	bˌeːʃɾɔn
pešon karde	beʃon kɒɾde
pešoni	kəʃuˈniː
pešt	pʃt
pešti	pʃti
peštniməjžə	pɛʃnimaiʒa
peštypur	ˈʃtəpʏr
peštə	pʃæ
peštə tiə	pe̞ʃtə tʲe
peštətijə	pˈeʃtˈatˈiːɾ
peštəvəxe	mæʃˈtævɑːhæ
pešə	peʃem
peəgordyn	fʲaːkwɾˈdun
pijonə	pjuːna
pijoz	pils
pinə	pina
po	pɔ
pocə	pʊtʃa
podšo	putsʃu
ponzə	unza
ponə	pɔ̃inz
por	poɾ
porin	puɾin
porsoq	ɸuɾsʊk
portə-portyne	pʊɾtɑpʊɾtʊni
pot	pɔt
pot-pot	butɑːl
potiə	puʧˈɛ
potšo	pɔtʃu
potšoəti	puzʃuɾati
potə	puta
poš	pˈoʃ
pošnə	pʊʃta
pošt	pʊʃt
poštəljon	pˌoʃtˈaˈliˈjɔn
poštəvə	pʃˈtɑˈvɑ
poə	dvˈa
poə-poə	pwˈapwˈa
pu	hˈe
pu karde	pøkˈaɾˈde
puc	ytʃ
pud	fˈʊd
pudi	ydi
pulo	tʃi
pulxor	tʊlˈxɔːɾ
pulə	fylæ
pulək	ylak
punə	tʏnæ
pur	pɔɾ
pur be	pylbe
pur karde	pʏrkɑɾdʏ
puri	pʏrʲi
puršə	hʏɾʃa
purəsbob	pʊlɑsboːp
puskə	pʊ̞sˈkˈa
pust	mˌɑst
pusti	ystʃi
pustin	ystˈin
pustinkəš	yʃtiŋkɛʃ
pustə	oˈstɑ
put	ʊt
putol	bʏ̞tɔɫ
putə	pʏdæ
puš	pʊʃ
puəsə	plˈɑsa
pədoš	pɑdˈʃ
pəhləvi	tʃãːdˈvɑ
pəjdo	pˈaɪdu
pəje	pɑjˈe
pəjnə	pajnɑː
pəjnə gyləj mešəvonym vinde, angivin vardəšbe.	pʰajnə kɯl ɑj mʃaŋvunum mʲindɛ ɑŋgjwʲiŋ voɾtɑʃtʰ be
pəl	ˈɑl
pəldum	pɑldum
pəlešk	pɒlɒˈʃk
pəlitə	pˈltˈæ
pəlos	pɒlɒs
pəltək	paltak
pəlu	alˈø
pələmə	pˈɛlaˈmˈa
pələng	pˌɐlˈanˈg
pəmədor	amadur
pəni	pˈɛni
pərcəm	pɑɾtʃɑm
pəre	pare
pəresqyli	pˈæreskjˈlˈɛ
pərgard	pɾɣɑːrd
pərt	pɒɾt
pərt be	pɒɾt be
pərt karde	peɾd̪kɑːɾd̪e
pəs	pɒs
pəsəcəš	væsætʃæʃ
pəsəcəši	pɛstʃʃæʃiː
pəsəpysqlə	paˈsapɯzkɯˈlɑ
pəsəvon	pˈasavˈonˈo
pəsəvə	pɒsæv
pəvəndi	pavondj
pəxyr	pɒxɾ
pəšimon	pʃmuːn
pəšimon be	pʃˈmuːn be
pəšimon karde	pʃiːmun kɑːɾdæ
qab	b
qabilijjət	ɢɒbˈiliˈjat
qacaq	ɢɒtʃɒˈhɒˈ
qacaqəti	ɢatʃaɣaːti
qal	ɑɫ
qalməqal	ʁɑlmɑqɑl
qaltəq	ʁɑltɑq
qande	qɒndɒ
qanun	xɒnun
qanuni	ʁɔ̃nˈyˈnˈɛi
qapozbəsə	ɣəˈzbˈasa
qar-qar	ɣɑrɣɑr
qart	ɢɑˈɾd
qarz	ɣɑrˈds
qarzoxo	ɣɑrzuːqʊ
qarzyqulə	qɒɾzˈɒgulɒˈ
qarət	gɑːɾt
qarətkorəti	ɢaˈrɛtkʊrati
qat-qat	ɢotɢot
qatar	ɢɒtɒːɾ
qatyq	ɢatɨq
qaz	ʁˈɔz
qejd	rˈeɪd
qejli-qal	ɣɛjliːqɑw
qejz	ɾæz
qejzin	ɢezdin
qolloqəkə	qulɫuʁɑkɑ
qoč	ɦutʃ
qul	ʁˈøl
qussə	rʊ̞sæ
quti	guti
qyblə	ɢɯ̞pɫɑ
qybo	ɢɯ̞bu
qybon	ɢɯ̞bun
qyjrət	ɣɪrɛt
qyjrətin	ɣijrʔætiːn
qyr	gʊ̞r
qyrmoč	ɣərmutsʲ
qyrqyziston	ɣərɣəzɪstɔn
qyvvət	ɣbat
qəb	ɣˈæl
qəbul	aɾaβ̞eu
qəbz	ɣabˈs
qəbəkand	ʁabɑqɔnt
qəddor	ɣaduʂ
qəddorəti	ɢd̪oɾatːi
qədim	ɣædiːm
qədimi	ʁadim
qədimiku	ɢɑdiːme̞jk
qədiməti	ɢɑtɪmɑtɪ
qədr	ɐdr
qədr-qyjmət	ɣadrɣɾimat
qədrəzyn	ɣɑdˈrɑzɯn
qədəqən	ɢɒdqan
qədəqən be	ɢɒdɒqɒm bˈe
qədəqən karde	ɢɒdqen gɒrði
qədər	ɣadɑr
qədəri	kʰonˈdˈarj
qəfəs	ɣæfæs
qəhbə	gˈaɾba
qəhrəmon	ɢɑhˈrɑːmuːn
qəisi	ʁɛsʃi
qəjb	ʁˈɛb
qəjbi	qɛjˈbi
qəjci	kʰeˈʃiː
qəjd	rˈaɪd
qəjlə	ɢɒjlɒ
qəjrəz	ɣajɾas
qəjsi	akasi
qəjton	ɢɑjˈtun
qəjzi	ɣʰeˈsi
qəjš	rˈaɪʃ
qəl	ɾˈɑl
qəlb	ʁˈalp
qəlbəti	ɣɑlbɑti
qəlbətin	ɢɑɫbat̪in
qəliz	ɣælʒ
qəljon	ɢæljˈun
qələ	vɑnɫɑ
qələj	ɾaˈlaj
qələjciəti	ɣælajiːtʃiːzitiː
qələm	ɣalaɾ
qələt	ɣalat
qəm	ɣˈam
qəmgin	ʁamgˈin
qəmgini	ɣəmgiːniː
qəmin	qɛːmɪn
qəmnok	amnuɣ
qəmqin	qɒmˈgiˈnˈ
qəmə	aˈma
qənd	gˈant
qəndančən	kendɑːndʒɑːn
qənddon	qɑntum
qəndin	ɾandɪn
qənfet	ɢænfe̞d
qənim	ɣɑnɪm
qənimət	ɢænʲimˈt
qərib	ɣalɛk
qəribəti	gæɾiːbɑːtʰiː
qərinə	ɣalɛ̞nˈa
qəror	ɣ̞aɾol
qərq be	qɒɾbˈɒ
qərə	ɣ̞ɑɾa
qərə-qurə	qaːraːkoːra
qərəjci	χæɾe̞ʃiː
qərəne	ɣarani
qərəvul	ɣaɾabun
qərəz	ɢɑˈɾɑs
qərəzgun	χaˈrazgun
qərəzin	kɾɑːziːn
qəsb	ɣɑsp
qəsbi	ɣɛsmɪ
qəsbkor	ɢɒːstqɒːɾ
qəsbkorəti	ɢæspqoɾati
qəsd	nast
qəsdo	kaˈsto
qəsdonə	ɢɑstʊnɑ
qəsr	ɣˈɑstˈ
qət	ɣat
qəti	ʁatˈi
qətifə	ʁatˈeˈfˈa
qətijən	ʁatˈjˈan
qətl	ratl
qəty	ɢɑtˈe
qətər	ɣætæɾ
qəv	ɣav
qəvyston	au̯wˈɛztˈu
qəybət	ɣ̞ajbatʁ
qəzan	ɢæzɒːm
qəzancə	mænntʃæ
qəzijə	ʁazia
qəzo	ʁɑzˈo
qəzqoč	ɢˈazqoʒ
qəzəb	ɢæzæb
qəzəbnok	ɢazapnuk
qəzəmət	ɢozamet
qəzən	ɣæzæm
qəzəq	ɢazɑq
qəčy	rɑtʃa
qəšəng	ɣ̞æʃæng
qəžən	ʁaʒɑn
rahan	ɾɑhɑn
raj	roi
rande	ɾɒnde
randə	ɾɒnda
randə že	ɾɒndˈɒʒe
randəmu	ɾɒndĒmuː
rang	rˈɔŋk
rang-ru	ɾɒngɾɒˈ
rangbərang	rɔngbarɔŋ
rangi	ro̙ngji
rangin	roŋˈgin
rangirisin	ɾangɯɾˈisin
rangəvun	rɔŋgɑvwn
rask	rˈɔsk
rask karde	rɑsgaɾde
rast	rɔʃt
rast ome	roˈstumɛ
rec	retʃ
reci	alaːrˈtiː
recin	ɾetʃin
redaktor	ɾedaktor
rekə	ɾɛka
rekəlu	arekalˈo
respublikə	respublika
restə	alestã
resə	ɾɛsa
rezin	ɾezˈin
rezvanšəhr	ɾzæmɒːnʃæhɾ
rijə	ʁˈiliɑ
rismon	ɾizmon
riz	aˈlˈs
riz-riz	ɾɪzɹiz
rizə	la
riš	rˈiʃ
rišə	riʃa
rižə	lidʒa
ro	ru
robinzon kruzo	rʊbʲinzʊ̞n kɾuzu
rohət	ɾuːɦat
rohəti	ɾuːhɑːkiː
rom	rum
roma	ruma
rome	lɔːmɛ
ron	rˈu
rop	rup
ropəneci	ɾʊpaɲɛtʃi
ros	ɾʊs
ros be	ɾɔsˈbe
ros karde	rʊzgaɾdi
rosnie	rusne
rost	rʊst
rosti	ɾusti
rotyžəj	rʊtɪˈʒɑj
roxnie	ɾuːxŋ
roxun	ɾʊ̞xʊ̞n
rozi	ruːzi
rozi be	ɾʊziːbɛ
rozə	roza
ru	bɔʒu
ruband	reˈbɔnt
ruckə	rytʃka
rufun	rofune
ruh	nˈøf
ruk	bɾʏk
rutubət	ʁyˈtˈʁˈbatˈ
ruzi	rʊzi
rušin	ɾʊ̞ʂɪ̞n
rušni	bˈɤstˈ
rušnə	aː
ruž	ɾʏʃ
ružnə	ɾɔdʒna
ružnəni	brˈuʒnani
ružə	ɾʊˈʒɑm
ruə	bɾua
ruən	roˈjɛn
ruənin	ɾɑnɪn
ryce	retʃe
ryk	rɛk
ryk karde	rəkkardɛ
ryki gəte	rə ke gata e
rysk	rsk
rysvo	rɛsɫ
rysvo varde	resˈovɑɾde
rysxət	ɾsˈxæt
rysxət doe	rasxatduj
ryte	aɾˈete
ryve	rɛgɛ
ryvos	rɛvˈos
ryšie	rʃˈi
