'mpapucchiari	nupapukiare
llofiu	lovjokɛ
llofriu	lofriu
lolli	oɔln
lona	lɔn
lotola	navatɔla
lucinu	lˈuːgˈinˈo
lumera	lumˈera
lumia	lumia
luna	luna
lungarinu	lʊngarino
lupi	luɔlˈle
luppina	ɛpːˈinɐ
lupu	nˈoːbo
lurdu	gordo
lustru	pluʃo
lìpari	lipari
l’avu	lau
ma	ma
macara	mãgˈaɾɐ
macari	magaɾai
maccia	matʃːa
maccu	malo
machina	maːgʲiːnæ
mafiusu	mafjuso
magasenu	magazenum
magghiolu	mˈaɣːoːlˈo
maggìa	mantʃia
maidda	majdɑ
maiu	maiʊ
majurana	majorana
malacarni	malagainne
malaccrianzatu	maːlakraaːnzatɔ
malalupa	maːlalˈupˈa
malandrinu	andʒeno
malanova	malanova
malu	malo
malucori	naːloːkɐɣaːrɛ
malupinzanti	malobɛntsant
malusangu	tɑllɔsaᵑgɔ
manchiugghia	mankuʒˈlˈɛ
manciafrancu	mãn̪tʃɔfɾa
manciari	manjaːr
manciatura	manʃator
mancu	manko
mancusu	mangozʊ
manera	maneɾa
maneri	manere
maniatu	maneato
manigghia	manijjˈa
maniota	manjota
maniotu	manjuɔtʊ
mannarinu	mnɾiːnum
mannira	mannara
mantellu	manteno
mantra	mˈaˌʌnʃɐ
manu (sicilianu)	mano
manuzza	t̪o̞anutsa
manzu	mandzo
mappina	mapˈena
marastella	marastˈɛlˈlˈɛ
marcabuolu	markabwolo
margiu	mandu
mari	maːre
mari tirrenu	maɾa dɛ ɾɛnɔ
maritari	malikari
marmanicu	malmˈanˈɾɔkˈo
marranzanu	maranzanˈo
marredda	mareda
marrugghiu	marrˈoʊdʒˈo
marruggiu	maːrˈudʒu
marruggliu	marodʒo
martoriu	aɾtˈoɾjum
marzu	martsʊ
mascaratu	maskaraˈto
mascata	mˌaskˈadɐ
mascu	mˈasku
masculini	maskɔlini
masculinu	maskulˈino
masculu	mˈaɪskˈlˌum
massara	mˌɐʒˈɛsɐɹ
massaru	masˈɛaːrʊ
mastazzuolu	maʃtatsuoʎo
mastica	mˈastˈigˈa
mastri	mˈɑʃy
mastru	maːʃːo
mata	maɾda
matelica	maːt̪e̞ɛlega
matina	mat̪ina
matini	madiːn
matinu	matino
matri	matʃ
matrozza	mˈˈɑʃˈorˈtsˈɑ
mazza	matsa
mbriacatoria	briˈaːgatɔria
mbrogghia	broʝ
megghiu	medio
mei	me
mela	mela
meli	mˈɛːlˈi
melu	melo
mennula	mennula
mentiri	mente
mentri	mendʒˈe
mentu	mentu
menza	mentsa
menza palora	multaiɣ̞s baloɾ
menzu	mentsʊ
merca	mˈɛrka
mercuriu	merkuˈriʊ
mergulu	mergˈulˈo
merri	merɾe
merru	merɾo
metiri	mædæl
meusa	meu̯sɛ
mia	mˈiɾ
miceli	misjˈell
micu	migo
migghiaru	miʝeɾ
mili	mjˈeɫ
milicuccu	malˈekuaˈkːo
minchia	mʲiːændʒæ
minchiuni	əndʒoɾalˈɔ
mincia	mjˈn
minghia	minkɛ
miniminagghia	mjnimeadʒa
minna	min
mintuta	mentuuta
minzanu	mentsˈano
mirudda	mjˈrud
misa	mjˈsɐ
mischinu	mɛʃtino
miscula	miːskuːla
misi	misj
missina	mɪn
mitatieri	et̪at̪jere
mitatiria	matatɛɾia
mitilughi	mataloːj
mizzica	mʲitsʲɪgɛ
mmalutu	malutˈo
mmiddari	mdaːr
moddu	mˈɔ̃dʊ
monsù	monzu
moriri	moːni
morti	mˈɔrˈtˈe
mota	mɔdɐ
mpicari	rgare
mpinciri	vanˈɣere
mprinari	bɛrnɐɾa
mprucchia	pɾˈokːja
mprucchiatu	prokiato
mpupatu	pˌuvˈadʊ
muccaturi	mukːadoˈɫri
muccu	mˈoko
muccusu	nuʲkːuzo
muddica	mudɛka
muddicatu	mudlikado
muffuletta	mufɔletːa
muffulettu	mufuβe
mugghiera	hwˈjˈɛː
mugghieri	moɟeɾ
muliettu	molieˈtːo
mulinciana	vulɛnˈdʒana
muluni	moloni
muncibeddu	intʃinbeʎo
mungibeddu	munˈtʃebeldro
mungibellu	bwnt̪xoõ
munnalora	munor
munnari	unnaɾɐ
munneddu	munˈelɔ
munniu	munnio
munnizza	units̺ɛ
munnizzaru	fʊnˈnɛtsːarɔ
munnu	mon
muntarozzu	munt̪arot̪s
muntuari	munðoaret
muntuatu	multaato
mupu	mˈɔbo
mura	mura
mureru	mˌuɾˈeɾʊ
murgaru	morgaro
murtidda	ɾɛt̪iɛɳɖɐ
murì	morj
musca	mˈuska
muscagna	mʊʃkˈaɲɐ
muscaloru	muskaloːr
muscareddu	muskaredo
muscicatu	mˈʊ̃tʃɛkˈatˈɔ
muscu	mˈɔʃkʊ
mussa	mosa
mussiari	ʊseaɾ
mussili	ʊsˈelˈe
mussu	mʊsʊ
mustacchiuni	mˈustatkjɔnˈu
mustazzu	mustas
mustu	mustu
muzzicatu	muntssikadʊ
màttula	mˈatːola
mènnula	mˈɛnˈnˈʊla
na conza e na pala	naɣontsaɾe na bal
naca	nata
naca a vientu	na kalvjɛndo
naccariari	nagariare
nanna	nanna
nannaredda	nɛnŋarɛntʃɛ
nannata	nanasˤˈtˈɛ
nannu	lˈannˈo
nasca	naʃka
nascinu	naːʃɛnoː
nasu	naːsʊ
navigazzioni	naβ̞jgatsion
naxos	naksos
ncapu	nɛkaːpɔ
ncarcari	tˈuɾkaɾ
ncarcatu	kalkaːd
ncarrunavacchi	garrʊnaak
ncasciari	kastʃa
nchiappatu	nˈkˈapːatˈo
nciappatu	dʒapːˈato
ncignari	dʒiɲˈaɾ
ncimari	dʒemare
nciminari	nˈɛmˈnɛ˃ˈarˈɛ
nciminata	nʒɛmanˈaːtˈa
ncinagghia	dʒenadʒi
ncudduriari	nkudːuriare
ncudduriatu	ɛmkɔdɔriato
ncugnari	gˌuɲˈaɾˈe
nenti	neiːnˈdɯ
nesciri	ne̞ʃti
nevi	nɛʋɛ
nevu	nˈɛvʊ
ngagghia	gaj
ngagghiari	gadˈare
ngrasciata	gˈrˈaʃˈaːta
ngrisi	iŋgˈlˌezi
nguanta	alta
nguantera	anð̞eɾ
nica	nɛ
nichea	nekeː
nicissariu	netʃisario
nicu (snc)	nˈikom
niepita	nˈepɪda
nisciuta	neʃuɫta
nissa	rˈiːθɐ
nissa (cartanissetta)	viztæ
niuru	njuːɾo
nivi	nevi
nnacarisi	nakaˈrse
nnarrieri	narie̞re̞
nnimali	nemalɛn
nnimìcu	najmjkɔ
nnocca	nˈɔkˈa
nnòmu	nˈomʊ
nofriu	nobri
nomu	nomum
nonnu	nˈɔnno
nora	nˈɔra
notti	nˈɔtːɪ
novi	nobo
novu	nˈɔvu
npanatigli	β̞ãn̪að̞ie
nsurtari	zultˈaɾ
ntinna	fina
ntorcia	dˈɔltˈ
ntracchiari	dʒakjˈaːrj
ntricaloru	mʃɔnɔː
ntrizzari	bʒɨtsˈaɾ
nturciuniatu	dˈɔrtʃiʊniˈatɔ
nuatri	nautʃe
nuci	nˈoːtʃi
nucidda	rʊˈg
nuddu	nˈɔdˈo
nun capisciu	nun kapiʃo
nun cia fazzu chiù!	undʒɾaːlaː faːtsʰokʰiːa
nun si parti	oːnˈzˈə bˈaɪd
nutaru	nˈotˈaɾ
nuvara	nʊvˈaˈaɾɐ
nuvèmmiru	nʊdʲeˈmːiru
nzi	jʊŋ˨˩˦joʊ˥˩˦ttnjɛn˥˩
nzignari	enʒˈeɲˈaɾɐ
nzignarisi	ðeɲˈarˈesˈ
nzinca	viːnga
nzinu	dˈinsiːnˌ
nzirtari	nˈefˈaɾtˈaɾˈɨ
nzita	ntsʲitɐ
nzitari	tsɔdare
nzitaturi	tsɛdatʊrri
nzivatu	ɔːl
nzuddi	tsurd
nzunnacchiatu	izunakd̪ad̪u
nzunzari	nesuntsari
nè	ne
níuru	nejuɾu
o	ˈoʊ
o caca	oːkɑːkə
occhiu	akː
ocèanu	otʃejanu
ogghi	poːˈnʒin˨˩
ogghi all'annu	poɟɪallanno
ogghiu	ogjo
oggi	otʃ
omerta	ˈɔmɛtta
omu	ɔmɔ
opa	opa
opi	obe
orologgiu	poɾaːlˈɔdʒːo
ortugrafia	ortografˈia
oru	ɔɾʊ
ossìgginu	ostsjttinu
ostali	ostale
otra	aʃa
otrantu	ɔtʃɑntu
otru	oʃo
ottu	ɔtˈtu
ou	ˈoʊ
ova	aɣa
ovu	ovo
pacchiuni	pakːiun
pacenzia	vˈɑːɾʃˈɛntsjˈɪç
paci	taːtʃ
pacinziusu	pˌaˈtjˈeɪŋdˈɾiʊʒ
paddazza	padatsːa
pagghia	pˈagɐ
pagghiaru	fadʒaro
pagghiazzu	pojˈdjartʃo
pagghiusu	patʃos
pagliaru	adjano
paisanu	paisanu
paisazzu	paisˈatsʊ
paisi	aiɪsɪ
palataru	pˌɐlatˈaɾəlˌ
palermu	fareɾm
paliemmu	paliemo
paliermu	aliɑi̯n̪d̪e
palitti	palitːe
palla	falla
pallacanessru	palakaneestɾo
palora	falaɔɾɐ
palumma	balumma
palummu	palumno
pampera	pampɛra
pampina	pampiːn
panaru	panaro
pani	poni
pannu	pano
panza	pantsa
paparedda	pavarɛdːa
paparina	paːpaːriːna
papellu	apˈɛllo
pappafunnu	papːafonˈnˈɔ
pappajaddu	pˈapːˈaiˈadɔ
pappataci	papːataːʃi
para	pˌɐɾɐ
paracu	pˌɐɾˈakʊ
paradisu	pˌaɾadˈisʊ
paranculu	paˈɾˈa
parata	paɾˈadɐ
parati	pˌaɾˈaðɨ
paratu	paˈɾatʊ
pari	pˈaɾɨ
parola	farola
parpagghiuni	lajpaɪgˈoʊnə
parracia	parresi
parrari	parae
parrina	paˈrɪnə
parrinaru	aʒenaɾo
parrinu	peɾɾjnʝo
parrinu, priest	parino
partuallu	artuˈallo
paru	parʊ
paru (scn)	faggo
passapitittu	paszapetitːo
passari	pasˈsˈare
passula	aːtˈsola
passuluni	asɔnˈuɾˈ
pastizzi	pastitsi
pasturi	pastʊri
pasturiddaru	pastoredˈaro
patataru	patataro
patiri	mɑːˈte
patri	parte
patrozzu	pafaɾts
patruni	pason
pattuallu	fˈatːʊaːllˈo
patutu	pato
pecura	peɛːkura
peddi	peti
pepè	fɛpːa
perfilu	perfilo
peri	pere
petra	pˈetra
pettu	beːtːu
pi chissu	pikˈizo
pi favuri	pi fauɾe
pi ssì e pi nno	pi si e pˈɛnno
picca	pˈikːa
picciari	pˌitʃjˈaɾ
picciotta	pˈitʃot
picciottu	fitʃotːo
picciriddu	vɛtʃːeridu
picciu	pitʃo
picciuottu	pitʃotːo
picciusu	pitʃozum
picciuttanza	biztʃotːɑŋɯzɯ
picciutteddu	tʃutɛndɔ
pici (snc)	itʃim
pidamentu	pɔdamentɔ
piddicchiu	tʃuːdˈiːkːtˈˈ
piddicchiusu	fɛndikjʊzʊ
piddirinu	senum
piditozzu	pilidozs
piecura	ɛːkɔra
pieri	pjˈeɾ
piettu	pietːo
pigghiari	piglare
pigghiari piddu	fˈigːari pˈidʒu
pignata	piɲata
pignateddu	piɲatɛrdo
pignulata	pjɲolað̞a
pila	peːlˈɑ
piliddusu	pˌelˈipjʊˌsˌeʊ
pilu	pˈiɾʊ
pinna	fˈɛnːo
pinnangulu	penˈnˈnˈo
pinnula	bʲeːnːola
pinnularu	pˌɪnnˈulˈarˈɔ
pintu	pintu
pipi	bbi
pipituni	vɛbɛdɔne
pira	pˈeɪɾɐ
pirainu	rainɔ
pirettu	pereko
piricuddu	perevˈuːdo
piripicchiu	pˌiɾipikˌjʊˈ
pirsuna	persˌʊna
pirsunaggiu	personˈadʒːo
piru	piu
piru (maccia)	piro
pisanti	pizanti
pisci	pˈeɪʃɨ
pisci r'uovu	piːʃːiːruɔv
pisciruovu	piʃtʃɨruaʋow
piscistoccu	piʃɪstɔkːɔ
pisciuni	priʃoni
pistiari	pesteare
pitazzu	pɐtatsʲːo
pitinia	bei
pitirri	pɔtˈiri
pitittu	tʃto
pittirri	pɛt̪ːr
piula	piːɔla
pizzu	pitsu
pizzuddu	kitsˈo
pizzutu	petsˈo
porcu	porku
porta	pɔrtɔ
portu	pɔɾtʊ
posparu	pɔspɑru
possibbili	possibilie
poti	pote
poviru	po˩˥ːʋɛru
prazzitu	bratˈsɔto
preni	prene
principiari	pˌɾinˈtʃebɪˈaɾɛ
prinizza	renitsːa
prisa	prijsa
prufissuri	prʊsore
pruggettu	propgetːo
prugramma	propraːmˈma
prumintiu	ɾomãn̪t̪iɾ
prunu	rono
pruvulazzu	pˈrˈʊvɔlaˈtsːo
puddicinedda	pʊdˈdɪʃnˈɛdd
puddicinu	pudritʃino
pudditru	kˌutːɪtˈɔ
puddizzuni	upɛtsunɛ
puglia	fˈuʎa
pugnu	pˈˌuɲˈɔ
puja	fuja
pulicara	kulegare
puliziari	foliziarˈi
pullanca	pulɫanke
pulìtica	folitika
puma	fumɑ
pummaroru	ummarolo
pumu	ɔːlɔ
puncigghiuni	pˈontsiʒˈɪonˈ
punciri	bonʧɛ
punti	punti
puorcu	tɔɾpɔ
puorru	poro
puparu	povaro
pupiddu	kuːbiɪnːoː
purceddu	purtʃedʒo
purpetta	pɔɾpɛta
purpu	urpo
purtari	portare
purtuni	portuoni
purtusu	ʊɾtɯusul
puru	poro
pusa	puˈsɛ
puseri	uzer
pusu	uzum
putia	otia
putiaru	potearo
putrisinu	putrɛsino
putru	poto
putrusinu	po˥˩ːtʃo˥˩ːsɛjno˥˩ː
puvureddu	puvʊredʒo
puzzu	putsu
pàggina	pˈadɨnɐ
pòpulu	toɔpɔlɔ
quadara	aːˌˈnˈa
quagghiu	kwaɟʲo
quantitati	kantatˈaːtˈe
quartara	vartara
quartarisi	kvarthiarisen
quarteri	kwatɛre
quartucciu	kwaɾt̪utʃ
quasetta	kwazˈek
quattru	kwadʒo
quattòrdici	paːjˈtojmɪç
quetu	kwˈeɪto
quàlchi	al
quìnnici	wi˥˩nixi˥˩
racina	pɾˈaʃiːnˈa
raggia	radʒa
raggiatu	rˈadʒːato
raggiuni	radʒːoni
ramu	ʒamo
ranatu	ɾanatə
rannula	ɾanːula
ranza	rˈantsa
rapiri	rapɛrɛ
rapista	napɪstɐ
rappa	rapa
rappareddu	dapareɛ
rappatu	rapaˈdo
rappi	rap
rappu	rapo
rarrieri	ɾarɾjɛɾ
rasolu	rasolo
rasta	rasta
ratanannu	ratanannɔ
rattalora	ratːalˈoɾa
rattata	ratːaða
ratteddi	ɾatɛdɪd
rattiddiari	rˈatebale
rausa	au̯sã
ravanti	avante
ravogghia	raʊɔjˈa
ravugghiusu	rau̯bjus
reci	ɾɛjʃi
resca	rɛjʃkɐ
retina	rai̯t̪na
retipuntu	reð̞epũn̪t̪
ri	ri
ricca	ritː
riccu	riko
ricotta	rɛkɔtːɐ
ricuttaru	rugot̪arow
riggina	ridʒˈinɛ
riggiu	rdʒu
riggiu calabbria	ridʒʊ kaːlbrea
rimuddari	pˈɾˈɛmʊdˈare
rimuddatu	remudːatˈɔ
rimunnari	rɛmunˈnar
rina	peɾr̝ina
rinali	rinale
rinescitu	rɯ̞näeʃtʃʊ̞tʊ̞
rinnina	rˈɛnnɪna
rinnoceronti	rˈˈɛnˈatʃerˈɔnte
risagghia	rˈɛsaːjːgːa
rispunzabbilitati	responsabilitatˈe
risu	ɾizʊ
riti	triːti
ritticchiu	rettiɛ
rittu	rˈitːo
rituffu	ɾʊduːθ
rizza	ritsˈa
rizzettu	rˈizetːo
rizzi	retsːi
rizzu	retsʊ
rospu	rospu
rosula	rosul
rotulu	rozoˈlˈo
rricupigghiari	regovidːiːare
rriminari	ramenare
rubbari	robaɾ
ruccaloru	ɾukkolor
rudduliari	ruboriare
ruggeru	mʊˈgˈɛllˈ
ruggia	rˈudʒa
rui	ruːj
rumani	romani
rumani matina	rʊ̞mãnɑ matina
rummicari	ffffmajplilsxoŋomemolai
rumpu	rˈompʊ
runzari	rutsˈaɾi
runzuni	runtsun
ruppu	rupu
russu	roztso
russulidda	rozoˌˌilˈdo
rustutu	xɔstɔtɔ
rusulìa	ɾwsˌulˈia
rutta	rutːa
ruvulu	ɾumulu
rùormiri	ruaembe̞re
saccari	sˌɐkˈaɾɨ
sacchetta	sakketa
sagnari	saɲˈare
saimi	saːjˈme
saimi (snc)	taj ɛmɐ
saitta	sajt
saittuni	dˈeːtˈuːnˈɛ
salaratu	sˌɐlɐɾˈadʊ
salari	salaːrˈe
salentu	salento
sali	ˈsɑlɛ
salici	saˈɛd
saliciuni	taːliːnʃaɔːn
salitu	salito
samperi	sanpe
sampugna	sambunˈnˈɑ
sanari	danaːr
sanceli	jˈu
sancieli	andʒele
sangu	θaŋgo
sangunazzu	saŋˈunaatsˈmˈa
sannunca	nˈolˈuŋkˈɐ
santuzza	sãntutsːɛ
sappa	satˈa
sappi	sapɛ
sapuni	sabuni
saracinu	sˌɐɾɐʃˈinʊ
sarausa	sˈaɾalˈosa
sarda	saːrda
sardignolu	sadʒoɛ
saridda	saridˈa
sarma (misura)	tarma
sarpa	sˈaɾpˈa
sasizza	sasitsa
sausizza	zˈoːzˈits
savana	sawan
saìmi	sa˥˩i˩˦lɨ
sbausu	zpaɫosu
sbiddari	zbɛdaːr
sbriula	brijola
sbutari	kibutaħri
scacchi	skakːi
scaccia	katʃa
scacciu	skotʃu
scacciuni	katʃune
scafazzari	skafˈatːzˈar
scaffa	ʃkˈafɐ
scaffi	skafˈe
scagghiuni	skogɔni
scagna	sˈaɪn
scalora	skalɔra
scaminari	skamanaɾ
scampari	kampare
scancariatu	skankariatʊ
scanciari	skantʃari
scanciu	kantʃo
scancu	esplankɔ
scaniaturi	skaniatuɾɛl
scannaliatu	ʃtɔŋnɔliɔtʰ
scantatu	skantatu
scantu	skanto
scantulinu	skantolino
scappisari	ʃkɐpːɨsˈaɾə
scarda	skarða
scarificatura	zkarifikatˈura
scarpa	kˈarpa
scarparu	skaɾpaɾw
scarsiceddu	skaɾsjtʃedʒu
scasari	skasari
scassari	tʃkassaɾ
scassiceddu	kastitʃentʃɔ
scaurari	ʃkɐʊɾaɾɐ
scauratu	kauɾatɔ
scausu	skao
scecca	ʃtˈa
sceccu	ʃɛkːo
scerra	tʃera
schettu	skɛtːu
schigghia	skˈiɪg
schina	skimɛ
schizzera	sˈkeːtˌsɛra
schizzi	skitsi
scialucheda	ʃalokeða
sciarra	ʃaɾɾa
sciarriarisi	ʃæriːˈɑːrˈse
sciarridderi	ʃarɾɨbejɾe
sciauru	tʃaurop
sciccareddu	sikaːɾjato
sciddicari	fʃʊdˈiogˈare
scifu	ʃifo
scigghiu	ʃidˈeju
scipitu	ʃipɾədo
sciumi	kjoːmɛ
sciàrra	ʃaːs̠a
scognitu	skɔːnjɛtu
scoiattulu	fko˥˩ːj˩˩˦ar˥˩tu˩˥ː
scola	skola
sconzu	skontso
scoppula	skopula
scracchiari	ʃkɾakˈjɑðˈ
scraccu	krakːo
scrima	skrˈema
scripintari	skribintaɾi
scrippiuni	tɾjpjˈon
scrufuniari	fukrɔfonial
scucchiari	skukːiˈaɾi
scugnari	kuɲare
scugnatu	sko˩˥ːɲat˥˩u
scuma	sˈkˈomɐ
scummigghiari	skumigari
scunchiusioni	sukumkjusnejoni
scunzari	sɔkuŋtsaɾjɛ
scupazza	kupatʃa
scupetta	kubˈeɪtˈtˈɛ
scupittata	skuβ̞et̪tað̞a
scurari	eskurare
scurciari	kult̪ʃar
scurdata	skurdata
scursuni	skuɾsʊɔnɛ
scursuni i ranatu	skuɾsˈuni i rˈanatˈo
scuru	skuːru
scusassi	eskuzasɨ
scutari	kuzˈaɾ
scutaru	skutaru
scutra	skɔʒa
scuzzulari	skʊtsulˈare
scàtula	skaːtˈula
sdari	sdaɾj
sdignusu	d̪ɪ̞nniu̯zɪ̞u
sdillabbrari	dɨʃtˈo
sdillabbratu	dˈellˈabˈbrˈatˈɔ
sdilliriu	zdiɾɛljɛɟɛɾ
sdirrubbari	d̪eɾomβ̞aɾ
sdisamurari	dˈosˈamɔraɾ
sdisangatu	sðezamɲatɪ
sdisulari	zdsˈulaɾj
secunnu	segˈuno
seggesta	sˈaɛdʒɛstˈɔ
segghia	faglia
seggia	sˈɛdʒɐ
segretariu	sekretario
sei	se
sempri	sempɾɪ
semu	sˈemʊ
sengulu	senˈu
serra	sera
seru	θˈeɾʊ
setti	seːˈke
sfince	spiːntʃe
sfinciune	ospenʒon
sfinciuni	tʃpenˈtʃonˈ
sfingi	skeɪndʒ
sfurcatu	sforka
sgaggiatu	sɣadʒat
sghicciu	zdˈejtʃu
sguarrari	sqarˈare
si n'carnameli	si e̞ŋgaɾð̞n me̞j ɦal
sicani	seganɛ
siccagnu	sekaɲˌɔ
siccari	sekaːr
siccia	sˈitʃ
sicciu	kɪːtʃu
siccu	fˈiːkˌu
siccumi	sekˈume
sicilia	ˈdedʒˈeiʎˈe
sicilianu	sitʃimeamo
sicìlia	sitʃiŋg
siddiari	sigˈare
siddiarisi	sedˈiarese
siei	jɛj
siggitta	sidʒitː
signi	se
silinunti	selenõŋte
simana	simɑːnˈa
simenta	smenta
simenza	sɪmenˈtsa
simula	imˈola
sini	seni
sinnacu	siːnːəkul
sira	ʃiːrˈɐ
sirata	feɾata
siri	sˈiɾ
sirinu	sɛrɪnɔ
siti	seat
sittèmmiru	setːɛmːero
sivi	sini
sivu	siu
smanciari	santʃare
smanciatu	smantʃato
smarrari	zmarare
smarruggiari	smaruːdʒar
smazzarisi	smatsaːriːsi
sminnittiari	sminitijar
sminzatu	zminsadu
sociu	sɔːf
soggira	sɔndʒɛr
solera	sulˈeɾɐ
soli	sɔle
solu	sɔl
soru	soro
spaccari u bugghiu	ʃpa kaɾa u bˈugʊ
spaccasti	sakaztʃo
sparagnari	spadijaɲare
sparagnaturi	zwˈarˈaɲatˈuɾˌjˈ
sparti	parta
spartiri	ʃqaːrtɪrɪd
spartu	spartu
sperti	spete
spertu	fpertʊ
spicari	ʃpˌikˈaɾˈɛm
spicata	esplorad̪o
spidugghiari	ʃpirugalˈlˈɛ
spila	spiːla
spilari	spilaɾ
spillunga	spilulɔna
spinapulici	bãnnumeɾoβ̞oleɣ̞s
spingula	spumˈola
spiriri	peˈrere
spirriari	spiɾrealja
spirtizza	spyrdiˈtsˈa
spirtusiari	spiɾtʊsiare
spisa	spisa
spisa (snc)	spiːsa
spisidda	spiːzidʒːa
spitali	spi˥˧dari˥˩
spizzeca	spetsˈeka
sponza	fãn̪s
spummicari	spˈomˈmːˈkaːre
spurtusari	portuzare
spurtusatu	portosaːtɔm
sputazza	sputatsːa
sputazzedda	sputatsɛdna
squetu	kwɛːto
stadda	pɑɾdɑ
stagnu	stˈaɲnˈɛ
stari (verbu)	tʃtarɛ
stazza	statsa
sticchiu	ʃtikːlʲu
stidda	stidʒa
stigghiu	tejnʃo
stipu	ʃtipɔ
stissa	ʃtessɔ
stissu	ʃtisso
stivali	sdavˈaːlɛ
stracanciari	aɣaŋxaɾ
strada	ʂa˥˥
strafalariu	ʃɒhɒlaːɾuː
strammari	ʃammalne
strammatu	køŋmeadu
strata	ʂa˥˥
strattu	tʃatːɔ
strazzari	ʃatˈsˈaɾi
strazzatu	ʃatˈsaɾəɫ
streusu	ʃojuz
stricari	ʂɤkaɾj
strigghiu	ʃɛgːl
strina (snc)	sɛjnɛ
strincipettu	ʃrinˈtʃepˈetːo
strittu	rˈitːo
strittu di missina	stretːo dɛmɛsino
strittu di sicilia	ʃitːu dɪ sitʃɨlʲi
strogghiri	ʃotʲiri
strudiri	ʃɔðɛ
strumentu	ʃtɾˈomɨŋdˈɔ
struppiari	supjarɛ
struzzu	ʃutsu
stu	ʃtˈo
stuccari	ʃtˌukˈaɾɐ
stuccatu	tukˈadʊ
stujari	stoiare
stuppagghiari	stupadʒare
stuppagghiu	tupˈaʎo
stuppusu	ʃtuppɔlsɔ
subbia	supja
suca	sˈugɐ
sucalora	sukalõɾa
sucameli	sˌugamˈɛlɨ
sucari	suka
sucarru	sˈukə
sucasarda	sˌuːgɐzˈardˈa
succùrriri	sukˈuʒˈɛli
sucu (snc)	sukʊ
sucuni	soɾuɛnɪ
sudda	sˈotˈtˈɑ
suffri	sufri
suffuru	sofon
sugnu	sonjo
sulagnu	sˌulˈaɲʊ
sularu	flaˈrɔ
suli	suːlˈi
suliccenti	tsultʃejd
sumagghia	saˈmaːdlɑ
sumu	suomum
sunu	suonʊ
superchiu	superkio
supra	soːbrɛ
supraccigghiu	suprotsijtkju
surci	surtʃ
surfareddu	sufarɛdu
surra	sˈor
susirisi	suθiːrɛsɪ
susu	sulsʊ
sutta	sutːa
suttancapu	sʊtːaːnˈdʒapɔ
sìdici	seːɛɾɨɣˈi
tabbutu	amberto
taccu	tɑku
taddarita	tɐrːaːjza
taddu	taːzˈu
tafanariu	tˌɐvanˈaɾjʊ
tagghiari	tagliare
talianu	taliaˈan
taliari	taljare
talìa	ɑŋia
tana	tanɑ
tangi	taandʒi
tannu	tˈannˈo
tannura	dannura
tanu	tɔn
taomina	taːlmina
tappiari	ˈaːpiaj
tappiatu	tɐppiːˈad
tappitu	tapːitu
tardu	tardu
tarigghia	tˈorˈidɪdʒˈɑ
taràntala	daraːnˈdɐ
taràntula	kɑɾaːndola
tasci	taʃi
tasciu	tˈaɾʃo
tavarca	ɾauaɾt̪ɐ
tavuledda	tɐ̃ŋgˈulˈˌeɪtˈɐ
tavulu	taul
tenchia	tɾˈæŋkjə
teni	teˈne
terra	tˈɛra
tesciri	teʃtʃe
testa	tɛjʃtɛ
testi	teʃte
testu	tˈɛsto
ti vugghiu bini	ti lukj lbɨnɨ
tianu	pianum
tignusu	teiɲoso
tila	tila
tila (snc)	tila
tilaru	tɪlaro
timpa	timpa
timpagnu	tembaɲʊ
timpulata	t̪ẽn̪β̞olat̪a
timpune	dˈɛnbˈɔnə
timuliunti	temulɛunte
tina	ti˥˩ljna˥˩
tinciri	tiːn˧tʃere
tinta	pintɐ
tinti	tinti
tintu	tintu
tiraciatu	tˈɪrˈaʒato
tirritoriu	ferritorio
tistiari	tʃiamstiaˈrˈiː
tistunia	tɨzpwɛoɲa
toi	tɔj
tostu	tostu
totò 'u curtu	tɔ taːʊ kurtu
traffinera	trassiˈnlɛ
tramutari	tɾamutare
trapani	tʃɐpɐni
trasiri	tʃasɛne
trasportu	tɾasportɔ
tratturari	tʃiatturare
tratturata	satːorata
travagghiari	tˈɾavˈaʎˈaɾi
travagghiaturi	kavagːaduːr
trenu	ʃɾjɛnum
tri	tʃlɛk˥
trigghia	seiːd̪jæ
trigghiola	kˈaɟʝɔla
trimmicci	primitʃe
tripicianu	tɕɛjbʲiʃanau
triulu	tʂɨʲul
trivulu	t̪rmulo
trizza	tʂɨtsːa
troccula	tsʊˈɑˈkkulɑˈ
trona	tɾɔna
tronu	dʒano
truscia	tʃˈuʃsˈe
trussu	tʃuɫsu
truzzari	trʊtsːare
tràpani	kaːpane
trìdici	ʈʂɚ˥˥
ttaccu	tako
tuccatizzu	tukˈatitsːo
tuculiari	tʊkˈuliarˈe
tuma	tɔɦumma
tumminu	tumɛnɔ
tunna	ton
tunnina	tʊnˈnʲinɐ
tuppiettu	topietːo
tuppu	topːo
tuppuliari	tʊpːˈɔliare
turiddu	tʊrjˈndu
turma	tormɑ
tàlia	t̪alja
tè	tɛ
tìtulu	tˈitolo
u	u
u saliciuni	muzali dʒune
u sumu sumu	ʊ suɔmʊsʊiˈmɔ
ucca	pukːa
ucca i l'arma	o ke laːrma
uccieri	lukːere
ucciria	tʃːɪriːjɛ
uddicu	ud̪iːko
uddiri	ulbiˈɾi
ugghia	odʒa
ugghialoru	dʒaɣo
ugghiularu	okulaɾ
ugna	puɲːa
ula	ˈuːlˈa
uleri	ulˈer
uli	uɔlɛ
