'di	bi
general antonio luna	xeneɾal antɔnja luna
general emilio aguinaldo	general emiljo agɛnaldo
general francisco makabulos	general frantsisko makabulos
general gregorio del pilar	xeneɾal bɾeɣoɾɪ dɪl pjlaɾ
general santos	gˌeneɾˈal sˈantos
gerardo de león	feɾ aɾð̞ut̪a la leɣ̞on
giba	giba
gie-gie	dʑiːdʑi
gigil	gˈigɪl
giit	ɟʰiʔit
gilbert luis centina iii	tˈoˈʊtˈusti ˈɑlɪ
gilid	ɟelʲid
giling	kiliːn˧
gilingin	kæliːn
gilis	miniz
giliw	gˈelˈeu
gimik	jimɪ
gimikan	gimikan
ginagamit	ginagamit
ginagamót	gʲiŋægɐmɔt
ginagawa	nʲaːgɐʋˌæ
ginambala	kinambala
ginamót	ginamut
ginanap	diːnaːnɔ̀ap
ginang	dʲiːnʲɪŋ
ginataan	dinatãan
ginataang	d̪e̞nat̪aãːm
ginaw	lɛʃt
ginawa	kioɔ̞
ginawa nya lang ang nararapat.	ginɔwɑnjə ˈlangeŋ nˈara rapat
ginawin	gʝnɔβin
gingoog	gimoːɔk
ginhawa	gɲaɣ̞a
giniginaw	dʒiːniginao
giniling	ginilin
ginisa	gˈˈnisˈa
ginisang	kimikpeɾ
ginoo	ginˈɔː
ginoong	kinaom
ginto	giŋtɔ
ginulo	ˈgnulˈo
ginusto mo 'yan eh	ginustu mu jene
gipit	gipit
gisado	gisado
gisahin	ɣ̞ʰsæhɪ̞n
gisantes	ɟʝsãn̪t̪es
giseng	kesɛŋ
gising	gʲi˥˧sɪŋ˨˩˦
gisingin	lisˈŋˈin
gisingin mo ako	gʃiŋˈgin mˈuɑqo
gisingin mo ako sa umaga	ɠisiɲin mɔɑkɔ ɑsɑ ɔumɑgɑ
gisingin mo sila	kisˈiːn gɑsˈlˈa
gitara	gitara
gitisig	gitiʃi
gitlapi	gˈɪtlˈæpi
gitling	gʲɪtlʲɪŋ
gitna	gˈinæ
glenda ollero	glˈanda ɔliˈɛɾɔ
gloria macapagal-arroyo	ʒʊˈrɪa mˈkæn fæg ˈrɑːnd
gng.	ginak
gobyerno	gɔbjɛrnɔ
golay	gɔlaj
golets	gɒlts
goli	goli
goma	goma
gomburza	kɔnbwɾza
goyo	gɔio
grabe	grabe
grabe!	gɾabɛ
grace poe	ɾɛi̯spɔː
graciano lopez-jaena	brɛssiːjɛnːo lɔ pe˥˩ːs jnɐ
grado	grado
gradwadong pag-aaral	gɾadwaðʊŋ pɑg ɑɑrɑl
gramatika	gɾamɛtika
gregoria de jesus	pɾˈɛkˈoɾˈiɐ dˈos ʁˈesos
gresya	grˈesja
gripo	gripo
griyego	briego
grumaduate	roˈmatoˈj
grupo	grupo
guadalupe	kwað̞alupi
gubat	ɣ̞oβ̞aɾ
gugo	numeɾo
gugol	googl
guhit	gˈoʊhˈɪt
guillermo estrella tolentino	diˈlˈˈɛɾmɔ ɛs ɾɛlˈliːə tuː lɪtˈ
guisado	gisado
gulaman	gʊ̞lɑmɑn
gulang	kulɑ̃
gulanit	gʏlænɪ̞t
gulatin	kʰuːlaːtŋ˨˩
gulay	gʊlaː
gulay na mapait	gulaj na mapait
gulo	gulo
gulod	gʊlɔt
gulong	gulɔ̃
gulugod	guleʒɔd
guluhin	kʰɔ̀lʰjˈinˀ
gumagana	gumagana
gumagaralgal	gomaːgaɾaːliːgaːj
gumahasa	mɑqsɯ
gumalaw	gumalao
gumaling	guːmˌælˌiŋ
gumamit	kˌumɑˈbit
gumana	gumana
gumapang	gumapag
gumawa	umowa
gumawâ	gumawa
gumising	tʃiːziseɪn
gumuhit	gˈumˈuhˈit
gunamgunam	guːnɪmguːnɪm
guniguni	goniɣoni
gunita	konnitˈa
gunting	guːn˧tiŋ
guntingin	guːntingin
gupit	gupiːt
gupitan	gupit̪an
guro	gɾo
gusali	guzali
gusot	ɣəusˈɑt
gusto	gusto
gusto ko ng halo-halo na may macapuno.	gʊstɔ kɔ nɛŋ hɑlɔ hɑlɔ namaj makapunum
gusto ko sa pilipinas.	gustuqoːs a pjljpʲiːnɛs
gusto ko yung boses mo	gʊ̞stʊ̞ kɔː jŋ bɔ sɛsmɔŋ
gusto mo	gʊ̞stɯ̞mɯ̞
gusto mo ba 'to?	gʊsˈtɑm abatˈo
gusto mo ba ng kape	gusto mɔ ba nɑŋ kɑpɛ
gusto mo bang pumasok sa sine	gʊstɪmˈo baːm pɔmasʊk sa siːni
gutom	kɔto
gutom ako	gutomako
gutóm na gutóm	gtɔm na gɔtɔm
guwapo	kwˈapo
guwatemala	gwatemaala
guya	buja
guyabano	iːt̪e̞a̯m
gágamutín	gagamut̪ĩn
gémino abad	el lˈino abˈaðo
ha-ching	atʃin
habal-habal	ħabɑlħabɑl
habambuhay	ɦɑːb̪ænbʊ̃ɦʲɪ
habang	abau
habilin	abinin
habing	avio
habà	haba
habâ	habə
hagap	akata
hagdan	əˈd̪æl
hagibis	ˈægibɪs
hagip	ɦrgip
hagis	hagis
hagod	agon
hagupit	abupiːd
hagurin	agorin
hahagurin	waːhalauːriːn
hahanapin	jɑhɑjɑpɪm
haharapín	haaːraːpiːn
hahawakan	hahauaːkɑn
hahawakan ko ang kamay mo.	awaaːkɑŋkoː aːŋ kamajmɔ
hain	hain
hakbang	hækbaŋ
hala-hala	alaːlaː
halaan	alaːan
halabos	alaboːs
halaga	ħælɑgɑː
halaghag	halægħag
halakhak	alaqaaq
halal	alal
halalan	hella
halaman	alamani
halamanan	lamanãn
halamang gamot	ɦɑlɑmɑn gamot
halamang ugat	alamalamang ugat
halang	ɦlaŋ
halata	latak
haligi	aligˈi
halik	ɣ̞
halik.	aik
halika	ɦalɪkːa
halikan	halikan
halimaw	æljmæ
halimbawa	pʰalbawɑ
halintulad	halintulad
haliparot	aːlipəɾuːt
haller	aʎˈoʊ
halong	häːlˈlom
halos	alos
halu-halo	aluhalɔ
haluin	haluiːm
halò	halo
hamak	hɑmɑq
hamakin	amkin
hamayka	amajka
hambinging bigat	əmbiŋinː biːgər
hambog	ambok
hamburger	əmbuːʃa
hamog	amɔŋ
hamon	amon
hampas	ampas
hanap	hanna
hanapbuhay	ħaːnatduːhej
hanapin	ɦanəpɨn
hanay	ɦanæm
handa	həndə
handa na ako	handa naako
handaan	ɦɑndɑrɑn
handog	tˈɛndˈo
handusay	antuzsaj
hanep	hɑq
hanga	haŋa
hangaan	həŋˈaɤn
hangad	hŋad
hangarin	æŋaːrʲiːm
hangga't	həŋgat
hanggan	aŋgaŋ
hangganan	aŋka˥˥jnen˧˧
hanggang	aːmgaŋ
hanggang sa muli	nɛŋgɛŋsɐmɔːli
hanggang sa muli!	həŋˈgəŋˈ samuli
hangin	poŋiŋ
hanging	tsa˥˥n
hangál	hɑŋɑl
hangò	haŋɔ
hantungan	antuːŋan
hanz	hans
hapag	ʁˌɐpˈak
hapdi	ħɑbdi
haplos	aplˈos
haplusin	hˈəplˈusiːn
hapo	apo
hapon	apon
hapones	hapəniz
hapuin	apuin
hapunan	apɔ̙nɛn
hapón	ħapn
haranahin	ħarnaːm
harang	haraŋ
harap	arɑp
harapan	rapan
hardin	pravim
haribon	haribon
harina	arina
harot	hæɾæt
harì	harri
hatak	hɑtɑq
hatakin	atakim
hatawin	ɦathawɨn
hati	hati
hatid	ħadiːn
hatinggabi	atingadɪ
hatinig	atini
hatol	hatˈn
hatsing	atɕiŋ
hawa	hava
hawak	awɑq
hawakan	tawaːkaːn
hawakan mo ito.	kɑwɑkɑn ʔitɔ
hawig	hɔig
hawiin	həˈʌiːtn
hayahay	hɐi̯˨
haybol	aibɔl
hayop	dʒuɫa
hayti	hai
hello	hˈɛloʊ
heograpiya	eografia
hepe	hˈɛpə
hernando r. ocampo	baːldˤ ɑːl ɑː faŋdɑ
herusalem	jɑroːaːsɑlɑːm
hesus	esus
heto	ɦeto
heyorhiya	hejoɾja
hibang	hibŋ
hibraltar	ɦibraltar
hidroheno	hidrohe˩˥ːno˥˩ː
hidwaan	hˈˈdwˈaːˈɛl
higa	hˈigˈɑt
higaan	higʔ˨a˥˧n
higanti	igante
higit	higːˌit
higop	hˈigˈoːp
higpit	ŋ˨˩pit˦˥
higupin	higupiŋ
hihirit	hˈihˈɪɹˈɪt
hihiwalayan	hiɾiːbɑlɑjɑn
hika	hitʃ
hikab	hˈəkəb
hikab ka ng hikab	khikːb kʰˈa nɑmhikːb
hikaw	tsyau
hikayat	hikaːjɑt
hikayatin	hikajaːtin
hilaga	kʰilˈagɐ
hilagang korea	ilagan korea
hilahin	flɑːhɪn
hilaw	hilaʊ
hilera	ɦaleɾa
hilig	hiliːd
hiligaynon	keliːgajnon
hiling	hiliːm
hilingin	hiliŋin
himagsik	imagsɪk
himagsikan	tiːmagsiːkan
himala	himaːlaː
himbing	suɔɾiːn
himig	kimi
himnasyo	imnaʃo
himok	hɪ̞mˈq
himpapawid	kĩːnpɑpɑwiat
himpilan	himpilan
himpilan ng eruplano	tʃɛntilɛn nɛ ɛɾʊklanʲɛ
himutok	hibimːtoːq
hinaan	ħinaːn
hinaan mo boses mo.	hiːnə ən mʊbɪl sɛsmɑwˈ
hinagap	hˈɪnəgə
hinagod	hiːnäːgɔt
hinahagod	finohabo
hinahalikan	hiːnɑhɑlɪkæn
hinahanap	hinaħala
hinahanap ka ng hinahanap mo.	hiˈnaxaˈnɑp ka næŋ hiˈnaxa�nɑp mɛ
hinaharap	inaːhaɾa
hinala	ħinaːl
hinanakit	hʲinnanɑqˈiːð
hinanap	hĩːm˧naːnɑb
hinawakan	inawakan
hinawakan ko ang kamay niya.	hiːnɑwɑkɑnkʰɑ ɑŋ kɑmɑjnjɑ
hinayang	hinajaŋ
hindi	hẽːnbeː
hindi ako makapaghintay!	hindi ˈako maːkakantˈai
hindi dapat malukot ang papeles.	mɑndi dapat maluo tawˈtɑŋ pɑpɛlɪs
hindi ganun 'yun!	ĩnd̪iŋgãn̪õŋʝon
hindi katakataka	ɦɪnbika ta qataka
hindi kita iiwan	ɗi kitɑː iːwɑn
hindi kita pababayaan	ɦɪndikitapɾɐbɐbɐjaan
hindi ko alam	hiːnð̞ikoː alˈlaːm
hindi ko gustong maging kalbo.	hɪnd̪iːkə ɣ̞ʊst̪oːŋ bɐg̊aŋ kalbʊ
hindi ko kaya	ljˈkˈoˈkajˌa
hindi mabuti	indi maːbuːti
hindi mapalagay	hindi mə palagaj
hindi n'ya 'ko mahintay.	xnd̥iːajaː˧kʰoː˧maːhntaj˧
hindot	mdot
hindì masyadong magánda.	hindi maʃadʒo mɑgɑⁿɗɑ
hinga	hĩŋ˨˩
hingal	tʃiːn˧al
hingalin	rɨŋˈɐlˈɪm
hinggil	enɣ̞il
hingi	iŋe
hingin ang kamay	hiŋʲin ɑŋqɑmɑj
hinhin	hĩːnˈhĩːn
hinihila	hiːnhila
hinihiling	kenidʒfɑn
hinihingi	jˈɛnijːçnɛ
hinihiwalayan	iniːɦɪ̞wɑjɑn
hininga	hiːnɪ̞ŋa
hiningá	hiːnæɲɑ
hinirang	tʰiː˥˩niː˧raŋ˧
hinlalaki ng paa	ɦɪnl lˈʌki nˈpˈa
hinlalakí	hiːnlaləkiːl
hinliliit	hɪ̞nliʎiʲɪt
hinog	inˈɔg
hintay	nt̪aj˧
hintayan	ɦiːm˧˥tʰaːjɛn˧
hintaying mo dito	hi tajn mʊdˈiːto
hintayín	χɛntæjɪ̞n
hintuan ng bus	kĩn̪t̪uan ba bas
hinubdan	tɨnopdɛn
hinuha	pɪŋ˨˩˦
hinóg	hˈˈiŋoʊgˈæ
hipan	hjˈpən
hipon	hibon
hipuin	hipːlin
hiram	hʲiram
hiramin	mæn
hirang	iraŋ
hiraya	hivaja
hiringgilya	jɾˈɛŋʒiljɐ
hita	jieːta
hito	dːom
hitsura	fitʃura
hità	hita
hiwa	hˈiwˈɑz
hiwaga	hˈiwˈˈævgˈæt
hiwain	hjˈuˈ
hiwalay	tʰiː˧ʔwa˥rai˥
hiwalayan	hiːwaːlaːnhiːwaːlaːn
hiya	hija
hiyain	hˈiˈjaˈɪn
hiyas ng saging	hjesmɛn sɑrgin
hiyâ	hija
honorata "atang" dela rama	gəlɛnɑn dɑːr ɑllɛndɑn beliɾɑb
hopia	hopja
hordan	hɒrdan
hoy	oi
hubad	xʊˈbæn
hubo	bwbwɑ
hubo't hubad	xubˈt xubˈat
hubog	hubog
hubugin	hubugim
hudyo	hudio
hugasan	ugˈaːsˈan
hugis	hugis
hugot	hugod
hugutin	fugutin
hukay	kɑːr
hukayin	hʊ̞qɑjɪn
hukbalahap	ʔwlaːɦɑː
hukbo	hʊ̞kbɔːk
hukbong pangkaragaratan	hʊ̞k bɔŋ pæ̝ːŋ kʰɑɾɑgɑtän
hukbong pangkaragatan	hʊkˈbŋ pəŋkara gətan
hukbong-katihan	pʊkːboːŋkətˈihən
hukuman	jkwman
hukóm	fuqɔm
hula	huːla
hula lang ang mga gradong ibinibigay niya.	hulaklɑŋ ʔeːm mɑɑgɾɑdɔŋ ɪbɛnɪɓɛɪ nʲəɑ
hulaan	hulɑʔan
huli	xulj
huli (verb)	kuli
hulidap	kulæfteˈvɑ
hulihin	koːlnːiːma
hulyo	tʃu
humahanap	humahɑnɑp
humalakhak	hmalaqaaq
humanap	qɑmˈʔaːnuaːl
humanga	tʃomaa
humaplos	umplos
humatsing	puːmˌɑːt˥ʃiŋ˥˧
humawak	ʔomaa
humiga	homiːgə
humihinga	heminiːn˧
huminahon	huːmiːnɑːhl
huminay	hˈˈlˈɪnˌə
huminga	homiŋˌaː
humingal	χɔmeŋɑl
humingî	kominɾi
huminto	xoˈmɛntoː
humipò	fumipo
humiram	χʊ̞mɪ̞ɾɑm
humirantado	ˈaɦɾaˈlɛntaeo
humirap	xʊmˈiːra
humiwà	ʃumiːwa
humugot	fumuɠot
humuhupa	umuhup
humuli	kumulj
hundi	hɯ̞ndɪ
hungkoy	hʊ̞ŋgɔ̞iː
huni	hunɪ
hunyango	mˌiaˈɔ
hunyo	hunjo
hupa	hupˈa
husgahan	hʊ̞sgˈɑhˈan
hustisya	ɟʊstˈisˈɑ
huwad	hˈuwˈʊd
huwag	eɣa
huwag ka nang mag abala	waː knaː mɑgʔablaː
huwag kang magmaneho nang mabilís	wɑkɑ mɑgmanˈɛɔ nɑ mabilis
huwag kang mahiyâ	uaˈgɑŋ məˈhijə
huwag kang malasing kundi iiwanan kita rito!	okal mʃkɔ ɗ iiwaˈnɛn kitɑ ɾito
huwag kang tatakbo	lal̪t̪ant̪ mol̪t̪
huwag magpapadala sa maling hinala.	ʋɑkʰ mɑgpɑpɑ dɔlɑ sa mɑlɪŋ hɪnɑlɑ
huwag mo akong gisingin	wɑgmu waqo waŋbisiːnjɛ
huwag mo akong sisihin, ikaw ang may kasalanan niyan.	wɑg mo okʰɔŋ sisiɦɛŋ ikaw ãmb akiʃkaɪsɛlɑnɛn jɛɲ
huwag na lang	wɒgnɒlɒng
huwang mong alalahanin, hindi yan problema	wɑg mə ˈalalahaːnɛn ɛndi ja pɾɔblɛmə
huwebes	hʊˈɛbəs
huwebes santo	fwˈeβe sˈanto
huwés	fˈa
hámak	hammaq
hápon	hapn
húkbong-dágat	tʃiqtɑgɑ
i (the vowel)	i˥˩
i have a job	ajɑvɑdʒɑb
ialís	ɪˈjælɪs
iangat	tsʰit˦˥ʔan˧at˦˥
iasa	iasa
iba	ibã̝
ibabad	ibabad
ibagsak	ibˌakˈsak
ibahagi	ɪbʕg
ibajay	nʲabaxaj
ibalik	ibɐlik
ibang bansa	tibaŋ bansak
ibaon	ibaɔn
ibaong	ibˌaˈɔ̃
ibasa	ibasa
ibató	bibato
ibató ang tsinelas	nur baton tʃinelao
ibayo	ibajo
ibayong dagat	ibaibajon daˈgat
ibenta	akompanokimenta
ibig sabihin	iː biːl səbiːhiːl
ibigay	ibigaj
ibigin	ibigin
ibinaba	ləp˨a˥
ibinagsak	ibˌinədˈiθˈak
ibinangon	ibinaᵑgɔl
ibintang	ibintam
ibinubuhol	jbnoaɓuɦl
ibiníbigáy	ibiniigai
ibitin	ibitin
ibon	ibon
ibong adarna	ibuʔ adaːrnɑ
ibuhol	ibːoɣul
ibuhos	ibos
ideya	ˌidˈeɪɐ
idlip	adlip
idulog	idɔlˈog
ifugao	ifuˈgoː
igat	igat
igib	igˈeb
igiban	igban
iglap	tɪdlaβ
iglesia ni cristo	ɛɠlʃɛɾ ni kɾistɛ
iglesiya	iːɣlˈesja
igme	igme
igorot	iːgoɾɒːt
igriega	ixbjɛ̀ɣ̞a
iguhit	oguːhˈe
iha	iːjɑ
ihagis	iragis
ihain	jææm
ihalal	iːħalɑl
ihalo	ulˈɾˈɑlˈo
ihambing	iːgənbimː
ihatid	niħat̪n
ihaw	ˈaɪhˈaʊ
ihawin	hɛːweɪn
ihi	i˥˩kɥ˧
ihip	iːhep
iilan	ʔiʔjɬan
iisa	kajʔizɛ
ika nga...	karaikaɴha
ikaapat	ikˈaːpat
ikabubuhay	ikabubuhaj
ikabuhay	iːqɑːbʊɦɛ
ikadalawá	ikːʊˈdˈlɑwa
ikagalak	ikːa˥˥gala˥˩
ikakasal	ikakasal
ikalabíng-isá	ekal̪aβ̞eŋis̺a
ikalat	ikælak
ikalawa	ɪ̞kɪ̞lɪ̞wɑː
ikalawá	igloa
ikalima	ikɑlimɑɑ
ikamusta	ãkamustat
ikansela	kansalaː
ikasampu	ikəsampu
ikasampû	ikasampo
ikatlo	kɛtlɔ
ikaw	ikau
ikaw ang aking	tauʔaŋkin
ikaw ang buhay ko!	kʰaːʔaːŋ˨˩duːhʰkʰɔ
ikaw ang hinahanap ko.	ikˈaw ˈaɪn ʃinˈahɑːnəp kˈu
ikaw ay bata	kau aibata
ikaw ay ligaya ko	akau aj ligaːjɑkɔ
ikaw ay maganda	ikɔ ɑjːmɑ gɑndɑ
ikaw na ba ang hinihintay kong prinsipe?	ikau naka ba ʔeːnijsintoiˈkɔm prɪnsɪˈpe
ikinabubuhay	ikneβuɓuːhajo
ikinagagalak kong malaman	teqenagagla qɔŋlɑl
ikinakapit	ikɛnaskapi
ikinalulungkot	ikːħalːuːlŋgˈgul
ikinalulungkot ko	tʃin alulʊ mkɔᵑgɔ
ikinalulungkot kong ipaalam sa inyo	ɗi keˈnɑlʊlʊŋ koʈgɔn ɦoʔalɑm sɑ imɛn
ikinasal	ikinasalu
ikintal	ikintal
ikinulong	ekinuloiom
ikot	ikːot˦˥ikːot˦˥
ikulong	ekulɔn
ikumpara	ikompara
ikutin ang plato	ikutin anga raito
ilagay	ˈeɾagˈɛl
ilaglag	ibaglag
ilalim	ilalɪm
ilalim ng tubig	ililalim nɑŋ tubig
ilan	gilan
ilang	ilan
ilang taon ka na?	ɨlaŋ tɑˈɔn kɛnɛ
ilang taon na po kayo?	ɪlˈɑŋ tɑˈɔn nɑpun kaˈjo
ilapag	ilapaga
ilaw	ilau
ilawan	ilauan
ildefonso santos	il dˈefonsʊ sˈantos
iligan	iliːgan
iligpit	ilɛtpˈet
ilipat	ilifat
ilm-kreis	bã˥
ilocos norte	iːl ɑːgostɑːr
ilog	ilˈog
iloilo	iloilo
ilong	iloŋ
iluminado lucente	ke wˈʁdˈo ˈænd ðə sˈeɪndə
iláng taón ka na ba	ɛləŋ tɑːn kɑ nɑ ba
imahen	imˈahil
imbakan	ɛmbɑqˈan
imbento	imbeto
imbes	imbe
imbis	ɛmbiz
imelda	imelð̞a
imelda marcos	imel da markos
impeksyon	jmpəktion
impiyerno	impjerno
impong	impon
impostor	impostor
impyerno	empjˈeɾno
ina	ilˈnˈa
inaakit	inaʕt
inaanak	qɯ̞sʊ̞nɑʔɑnɑq
inaantok	inaːnˈtɑq
inaanyayahan	qɪnɑːʔanjajjan
inaapi	inaːpe
inaapi ka ba ng mga tao dito?	iˈmaopka baʔa nʊ mga tao dito
inaaruga	inaːɑrɔgɑ
inaasahan	ɪnɑːsˤɑːħɑːn
inaayos	inaajos
inabala	inabala
inabandona	inaabɑndona
inabot	ilːabod
inahin	jna
inalagaan	inalɑgɑɑn
inalam	tɛnnalɑm
inamag	naːməˈg
inang	ɪnˈɑn
inang bayan	jɪnɑŋɑjɛɲ
inang wika	ʔɪnəŋmɪkraː
inangat	ĩŋemat̪
inanyayahan	ənænjɑnɑn
inapi	inapj
inaral	jnaɾan
inatupag	ilnɛtˈəpa
indak	ɪ̞mdɑq
inday	ilgai̯
india	ˈɪndiə
indiya	ˈɪndiːɑ
indones	ɛ̃dˈɔ̃eʃ
indonesia	indoniʃa
indonesya	ɪndɔnɛʃa
indotsinang pranses	jˈʊtʃ tʃˈiːnɔ pɹˈænsˈɛss
industriya	industria
industriyal	iŋdˌusˌtɹiˈaʎ
industriyalisasyon	industriializˈaʃon
infanta	ɛnfrnta
ingat palagi	iːnətəlaːgi
ingay	iŋaj
inggit	iŋgeq
inglatéra	inˈgaltˈɛrˈa
ingles	inˈglˈes
inhinyeriyang	ilhɪnjɛrˈaː
inhinyero	inginˈero
inihahalal	inihaːhalɑl
inihahatid	aniːhaːħadɪd
inihambing	ɑnɛːnːnbɪŋ
inihaw	iːniːʔtʃ
inihaw na manok	iːn˧iːhaːʔnamnoːk
inihiga	inihigɑ
iniibig	iniːbig
iniibig kita	ini ɛbik kitə
iniinda	iniʔinda
iniipit, inipit, iipitin	ʔɛn˧p̚˨˩t̚˨˩ʔiniːʔpit̚˥˩
iniirog	lairu
iniisip	iːnɪːb
inilalagay	ʔeːn�iːlalagˈai
inilayo	ʄoɯnilajoɾ
inilunsad	jnilonsad
inindyan	lndʒn
inip	enip
init	linˈɛ
initsigan	jˈnɪtʃgˈan
iniupo	iniːupo
iniwan	iniwan
inog	innog
inom	lɛn˧oʁ
insekto	insekto
insenso	intsenso
institusyon	instituˈsion
instrumento	instrʊmentʊ
internet	intɛrnet
intonasyon	ɪnt̪ɔnɔˑʃon
intramuros	int̪ɾamuɾos
intsik	intstʃk
intstík	intʃik
inuman	ʃturt̪nomãn
inumin	jˈnɔmɪn
inutil	inutil
inyo	imno
ipagbigay-alam	iffaqbigajalam
ipaghanda	ˈepaghɐnda
ipaghanda mo s'ya ng pagkain.	ɪpipaghaˈɛndɑmɔ ʃa nɛŋ paghajaˈn
ipaghiganti	ipadgigante
ipagkakaloob	tʃipagkakaloɔm
ipagkumpara	ipəgkʊmpara
ipaglaban	tfaglaban
ipaglalaban kita	ipaglalaban kitə
ipagmalaki	kipagmalaqiː
ipagpaliban	tʃarpagpaliban
ipagpilitan	iːt̚˨˩agpilikˈtan˧
ipahid	ˌipɐʁˈid
ipakilala	papilala
ipakita	ipakita
ipaliwanag	lipˈalɪwaːlˈag
iparada	iparadɐ
iparinig	jpaɾajnivg
ipasok	kipaʃo
ipil	ipil
ipilit	ipiːli
ipinagduyan	ipinakdujan
ipinagheheleng	ipinagiehelin
ipinagkait	ɪpɪnɪt̚ˈgɑːˈid
ipinagmamalaki	ipiːnɑgˈmɑmɑlɑki
ipinamasko	binomɑsɯkuu
ipinang-aliw	ipˌinŋˌaliu
ipinanganak	ipiˈnʲaŋanak
ipis	ipis
ipitin	ipitin
ipo-ipo	ipoipo
ipon	ipon
ipunin	ti˥˩n˧im˧˧
iri	ˈaɪbˈeɪŋ
iriga	ɾɪɣɑ
iritable	aretable
irlanda	irlanda
irog	iːrob
isa	isai
isaalang-alang	isaɑlɑŋɑlɑŋ
isabela	ɪsˈɐbɪlˈa
isabelo delos reyes	ɪs aˈmɾelo dˈos los ɾɾˈeʎes
isabit	ɪsɑːbɪt
isakay	isai
isali	isalii
isalin	isaːlɛm
isama	ɪsɑmɑ
isampay	essenpai
isang	is̺aŋ
isang daan	i˨˩˦sɑ˥˥ ɑ˨˩˦l
isang daan at isa	isəntaˈan ʔat ɪsɑ
isang daang libo	isan daˈaŋ liːbo
isang kulay	isakulai
isang libo	isan libo
isang milyon	isang milion
isang tasang kape, pakiusap	isəŋ tasɛŋ kaˈfɛ pakaɪ usɑp
isang walang	siŋ˥˥ tʰuk˨ lǎŋ˧˥
isang-daan-at-isa	isəŋdaˈanatɪsə
isangguni	isaiŋguni
isanla	ɪsˈænlˌaː
isara	aθara
isauli	isauli
iscreen	eskrim
isda	ˈisda
isda sa tabang	ɗak sətabəŋ
isdaan	isðaan
ishmael bernal	æʃmæj bɛrnæʎ
isigan	nisiᵑgɑn
isilang	isi˥˧ljɛn˨˩˦
isinaalang-alang	isɪnɑɑlɑŋɑlɑŋ
isinasantabi	ˈestenˈasˈɛntapˈi
isinisiwalat	isjniʃiwaa
isip	iːsiːp
isipan	jsipan
isipin	isipin
iskoba	biskoba
iskor	iskɔː
iskritoryo	iskritorio
iskurukutoy	iʃkʊrqutɔj
iskyus	əskjˈuz
isla	isˈla
islobakya	ɛslobaːkɪˈa
islobenya	islobeɲa
isport	bɛsspɔrt
istambay	estanbai
istasyon ng pulis	ɪstɑʃɔn nɑŋ pɔlis
istasyon ng tren	is kastʃon nom kren
istorbo	istorbo
istorbohin	isporbˈoːxɪl
isubo	isubo
isulat	ɪsˈjɑː
isuot	bol˧aʃa
isá	ɪsˈa
itaas	ˈɪtˈɪz
itagò	itago
itakwil	it˦a˥˧kwl˥˩
italyano	italiano
itapon	it˦˥a˥˧pon˩˩˦
itayo	itojo
itigil	ɪtiːgˈl
itigil ang pagpapadala ng mensahe sa aki	ɪtɪgi nɛ pɑpɑtɛlɑ nɛ mɑtsɑmi sa apɛn
itik	iːtɪk
itim	et̪e
itinaas	ɪtiːnəˈɑs
itinabi	itinabi
itinakwil	itinakbil
itinatadhana	ekɪnɪdðeːnænæ
itinatag	itinataɠɑ
itinda	it̪ĩŋd̪a
itindig	itinvig
itinigil	ˈeˈtiːniːgjl
itinuturing	itinotoɾin
itlog	itlog
ito	ito
ito ay aking	ʔintuː aj ʔakiːl
ito na ang realidad ngayon	ito na ɛŋ ɾɛɛlɪdɑt ɲʊjɛ̃n
ito'y	kitoj
itong	itoˈmˌ
itsura	itʃura
itulak	tukˈla
ituloy	toloi
iugnay	ɪːgnˈaj
iw (dipthong)	i˥˩u˥˩
iwaglit	juː˧aːgliːtˤ
iwan	iwan
iwanan	iwanan
iwas	iwas
iwasan	ˈæzən
iwasan ang putik.	iˈʋasən ʌnputik
iwasiwas	iʊsˈɛstˈ
iyak	ɪˈak
iyan	tian˨˩
iyang	jˈaŋ
iyo	io
iyon	ion
iyong	ljoŋ
iyong totoo?	i˧˧ʰtoto˧˧ o˧˧
iyón ay ilog pasig	ion ɑjiˈnɔːɣpɑsɪŋ
iñigo	i˥˩njgo˥˩ː
i̇talya	itˈalɪa
j. elizalde navarro	dʒei elizalde navaro
jabong	tʃˌɐbˈum
jabonga	jabõŋga
jacinto alcos	xaθiːnt ɑlkɑs
jagan	dʒagɔn
jajollibeekamijojoinkaba?	ddʒadʒalibikameʧːadʒːojnkaba
jamming	tʃaːmiːn
japayuki	dʒɑpɑjoːki
jaya-jaya	dʒajadʒaja
jeepney	dʒɪpni
jehova	dʒɛhoɑ
jehovah	dʒehova
jejomar binay	jeː tʃoːmaːr bi nə
jepoy	dʒepoi
jeproks	tsʲaproks
jeprox	dʒeproks
jesus	esus
jesus t. peralta	ke sus ði eɾɾældi
jesús balmori	hə'suɪs bˈælmˌɑɹi
jingle	dʒiŋɣeʎ
jollibee	ʒalibi
jolo	holo
jologs	dʒɒːlɒgz
jontay	ʝˈomˈtˈaʎˈ
jory	dˈɔɹɪ
jose f. lacaba	lɛsˈiːv
jose garcia villa	josʲɛj gɛrsʲii̯ ja biljɛ
jose ma. panganiban	koˈsˈe mˈɑriˈa bˈaɣa iːba
jose maceda	koɾseː ˈseɪ
jose p. laurel	ʊseː piː laːʋɾiːl
jose palma	ose palma
jose rizal	uzˈɛ zɛ rizˈala
jose t. joya	xose ti xoja
josefa	xosejfa
