1	tjˈe
地王大厦	tʰi˥˧wŋ˨˩tʰa˥˥haː˥˧
地球	tigo
地球往事	tʰi˧˧kʰi˧˧u˥˧ wɔ˥˩ŋ˨˩ sʰu˥˥
地理	ti˥˧li˨˩˦
地藏菩萨	pʰiː˧ʈʰɔːŋ˩˩˦hʊ˨˩sat˨˩
地衣	ti˥˩
地豆	tʰiː˥˧ʔtʰeuː˧
地质学	tʰi˧˧ tsit˦pʰau˧˧
地道	tsi˥˧kʰɔ˨˩
地鐵	tʰi˥˥ tʰjɛ˨˩
圳	ʈʂuən˥˥
圳坜	suən˥˥ laː˧˧
圳壢	dʒn
圳沟	tut˦to˦˥
圳溝	suən˥˧ kiau˨˩˦
场	tsʰŋ˥˥
场景	kʰiŋ˥˥kĩŋ˥˥
坂田	pantʰɛn
坐	tsou˥˥
坐朝問道	tʰɤːŋ˧˥ mɤn˥˩tʰau˧˧
坐标系	to˥˥ʰau˨˦hɛ˨
坐落	tʰaːlaːʔ
坑坜	kʰa˥˥ la˥˥
坑坜唇	tsʰaŋ˨˩˦lɑŋ˥˥suən˨˩˦
坑壢	hɑŋ˧˥lɑŋ˨˩˦
块	tʰɔ̀ːiː
坚持	kian˨˩˦tsɯ˧
坚韧	tʰian˨˩ yn˥˧
坟	sʏ̞n
坠	tsʰui˥˧
坠落	sue˥˥ lɔ˥
坤甸	kʰun˥˥tʰən˥˥
坦然	tʰan˥˩
坦荡	pʰan˨˩toŋ˥˥
坪地	pʰiŋ˨˩ tʰi˥˥
坪山	pʰiã˥˥sã˥˥n˥˥
坪山新区	pʰiãŋ˨˩sã˥˥sin˥˧kʰi˥˥
坪洋	pʰiŋ˨˩˦jʊŋ˨˩˦
垂下	tsʰui˨˩ ha˧˧
垂体	sui˥˥tʰi˥˩ seɪ˥˥tʰi˥˩
垂头丧气	sue˥˧ tʰi˧˥ʊ˨˩˦sõŋ˥˥
垂帘听政	tʰãŋ˨˩ tsĩŋ˥˧
垂頭喪氣	sue˥˧tioʊ˨˩˦sõŋ˥˥ɕit˦
垂魚	tɹiːm
型号	sin˨˩ha˥˥
垦荒	kian˨˩fɔːŋ˧˧
埋伏	ma˥˥i˨˦pʰu˥˥
埋葬	ajʰtɕʰɔ̀
埋頭苦幹	maːj˧tɕʰaːkʰua̯kɔ̀n˥
城堡	sian˥˧bo˨˦
城外	san˨˩hɔːj˥
城市	sĩãŋ˨˩
城门	ʃŋ˨˩mʰun˥˩
埔	pɔ
埔心乡	tɕʰjoʊ˨˩˦sian˥˥sio˨˩˦
域名	vˌeːmˈjɐnˈ
執法如山	tsi˨˩fa˥˥l in˥˩sǎ˥˥
培	pʰw˧j˥
培养	pʰuːi˨˩ joŋ˥˩
培养基	pʰi˥˧laŋ˨˩ ki˨˩
基	dʒiː˥˩
基层干部	ki˧˧tsĩ˧˧ kon˥˥ pʰuː˨˩
基本	kiː˧pun˨˩
基本功	ki˥˧bun˨˦ kɔ˧˧
基本矛盾	kibun maʋtun
基本粒子	ki˥˧pʊn˥˥reptse˧˧
基本路线	pi˨˦puən˨˩ lu˥˧sian˥˧
基督徒	ki˥˧tʰou˨˩
基础上	tɕi˨˩˦ tɕʰu˥˥sian˥˩
基础英语	tsʰw˥˥y˧˧tsi˨˩˦
基调	ki˥˧tʰau˧˧
基隆	kʰi˧˥ lʊŋ˨
堂前	tʰɔ̀ŋ˧ʈʰan˥˧
堂堂	tʰɑ̃ˈʰtʰɑ̃ˈ
堂堂正正	tʰaŋ˨˦tʰaŋ˨˩tsĩ˧˥tsĩŋ˨˩
堂屋	tɤ˧˥
堅持	kian˨˩˦tsɯ˧
堅持雅操	kian˥˥tsɯ˧ŋ˨˩˦tsʰa˥˥
堆	soŋ˨˩
堆房	tɔːiː˧fɔːm˧
堆放	tøː fˈɔ̃
堆肥	tai˥˥pʰi˨˩
堕胎	tʰua̯˧˧tʰɔ˨˩˦i˥˧
堡	pa
堡垒	pɐu˥
堪称	kʰam˥˩tin˥˩
報	pau
報警	tau˥˧ki˥˧
場	tɕʰoŋ
塑	sau˥˥
塘朗	tʰɔ̀ŋ˧lɔ̄ŋ˨˩
塘朗山	tʰɔːŋ˨˩lɔːŋ˥˩san˩˩˦
塘漘	tʰɔ̀ŋ˥˥sũn˥˥
塞	sen
塞尔维亚	se˨˩ni˥˩wi˨˩ a˥˧
塞爾維亞	kɛːkniːviːa
塞翁失马	sɔːiː˧˥ wʊ˨˩sik̚˨ maː˩˧
填充	jɛn˨˩˦tsʰaʊ˥˥
填写	tʰjɛn˨˩˦ɕja˥˩
填补	tʰjɛn˨˩˦pu˥˩
境遇	kjɲː
増量	tsian˨˦ liu˨˩
增减	tsen kam
增加	tsen˥˧ka˥˥
增城	sian˨˩ saŋ˨˩
增城区	sian˨˩sian˨˩kʰi˥˥
增城挂绿	tsian˨˩ saŋ˨˩ ka˥˥ lok˨
增至	tian˥˥tsɯ˥˥
增长	tsentˢ˥
墨守成规	ma˥˧siu˥˧sãŋ˥˥kʰe˥˥
墨悲絲染	mian puj sɯ njɛm
墨水	mætsʰuː
墩子	tʊŋ˨˩tsʊŋ˥˥
墳墓	foɲmˈu
壁	bja
壁蛇	tian˥˩sæn˥˥
壁角	ʝˈakːo
壓	a
壓力	a lə
壕婆	hau˨˩pɔ˧˧
壬午	nˈem ˈu
壬子	ntsɯ˨
壬寅	nˈim ɲim
壬戌	nˈjnutˈ
壬申	nim˧
壬辰	n˩˩˦im˥˩sin˥˥
壮族	ʈʂʰɑŋ˥˩
壮烈	tsʰɔːŋ˧˧lɤk˨˩
壮语	ʈsœ˥˥mãn˥˥
壯而行	llg˨ i˧˥
声	sã˥˥
声势	sǎŋ˥˥sɯ˥˥
声嘶力竭	ʃaŋ˨˩sʊ˥˩ lɪŋ˧˥kʰiaʔ˨
声振林木	sŋ˥˥tɕjɛn˥˩lim˨˩˦mɔ˥˩
声波	saːŋ˩˩˦pɔː˥
声线	sǎŋ˥˥
声色犬马	sŋ˥˥sik˥ kɛːn˥˩ ma˥˩
声誉	hɑŋ˥˥
声音	saːmiːm
壹江南	ni˨˦kɔ˧˥ la˥˧
壽寧	siw˧˧ flan˥˩
处	ʈʂu˥˥
处于	tɕʰy˥˥
处死	tʃi si
处理	ɕy˥˥li˨˩˦
复仇	foksɨw
复原	fuk˦ jɛn˨˩
复杂	btsʰɐp˥
夏天	n˥˥a˥˧tian˨˦ sɯ˥˧ tʰe˨˦
夏普	pʰa˥˥
夏至	xɑ˨˩˦ ʈʂɚ˥˥
夏金桂	haː gimkə
外	ŋɔj
外交部	n˧ʔk̚˨˩aːpʰuː
外傾角	ŋɔː˩˦hŋɔː˧
外力	nɔjni
外加	malka
外南夢	oi nam mũŋ
外号	ŋɔː˩˦
外向	tsioŋ˨˩
外国	nojtʃːe
外套	ŋɔː˩˧tʰɔː˨
外家	molgaː
外来	loj˨˩lɔːj˧˥
外省人	ojseŋnin
外背	noj pˈoɪ
外行	ŋɔːi˥˥hɔːŋ˨˩
外衣	lɔ˥
外观	oj˨˦ kon˧˧
外貌	nɔimɔ
多	dˈɑ
多么	tɔːmɔː
多亏	lau˥˧kʰɔ˨˩˦
多伦多	tɔː˥lʊn˨˩ tɔː˥
多倫多	to˥˧ luən˨˦to˧˧
多元	tʰo˥˥njɛn˨˩˦
多变	to˥˩pen˥˥
多哈	to˧˧ɦa˥˧
多多益善	to˧˧to˧˧ ji˥˧ ʂan˥˩
多姿	mg
多寡	toka
多少	nau̯
多方	tʰau˨˩fou˥
多种经营	tàu˧˧ cɯŋ˥˧ ka˧˧ŋ˧˧
多謝	tou˥˧tsʰia˥˧
多谢	tɔ˥˥ tɕʰia˥˥
多达	lɔ˨˦taa˥˥
夜	jɑː
夜以繼日	ja˥˥i˧˥ʈi˥˥i˥˩
夜以继日	ja˥˩ ji˧˥ kʰi˥˥neɪ˥˥
夜市	ja˥˥sɯ˥˥
夜幕	ja˥˥
夜晡	a˥˥pu˨˩˦
夜晡头	ʝˈa bˈoɾa ˈeʊ
夜校	dʒaː hɑŋ
夜桥枫泊	ja˥˥kʰiaʊ˨˩ fɤŋ˧˥pʰa˨˩˦
夜班	jɛ˥˥ pan˨˩
夜間学校	ja˥˧ka˥˥ ŋ˨˩hɔːk˥ nɔːŋ˨˩
夜食	ja˥˩sik˦
夢想	mun˥˥siau˥˧
大	tʰâi̯
大万世居	tʰaĩ˥˥an˥˥ tɕi˥˥ i˧˥
大不列颠	kʰʔt̚˨˩rpɔːn˧rɔːt̚˥˩ʔpeŋ˧
大业	tʰɐiː˧˥nʲɐp˨˩
大个子	tʰaɪ˧˥kaɪ˥˥tsɯ˧
大中华	tɕjʊŋ˨˩˦fa˨˩˦
大中型企业	kʰaɪ˥˥tɕjʊŋ˨˩˦hɪn˥˥kʰi˨˩˦njɛn˥˩
大中至正	tʰaɪ˥˩ tsu˧˥
大中華	tʰaɪ˥˥fɑ˧˥
大亚湾	tʰaːj aːrvan
大众点评网	hʰtsʰũ˥˥ tiam˨˩mioŋ˨˩
大余	tʰaɪ˥˥y˨˩˦
大便	tʰa̠i̯˨˩pʰjã˥˥
大公无私	tʰaɪ˥˥kuŋ˨˩˦ fu˧˥
大公無私	tʰaɪ˥˥kuŋ˨˩˦ fu˧˥
大兴安岭	pʰaːi˧˧sin˨˩ ʔan˧˧ liao˧˧
大刀	tʰaɪ˥˥tau˨˦
大前年	tʰʰiː˧˥tsʰeŋ˨˩jɛn˨˩
大前提	tʰaːi˧˧tsʰian˨˩ti˧˧
大前日	tʰɐiː˥˧seŋ˨˩
大力	tʰan˩˩˦iːn˧
大勝	kʰaɪ˥˥sin˨˦
大化	taːi̯faː˥
大南山	tʰaːiː˥˧ɑːm˥˩san˩˦
大口	tʰaj˥˧kʰɤl˨˩˦
大史	pʰaɪ˥˥sɯ˥˥
大吃一惊	pʰi˥˧tsʰa˥˧i˨˩tʰaŋ˨˩
大吃一驚	tʰaːi˧˧sit˦ i˥˧ kĩã˥˥
大同	tʰʊŋ˨˩˦
大名	tsʰæ˥˥ miaŋ˨˦
大和魂	tʰaːi˥˧fɔː˧fuən˧
大器	tʰa˥˥hĩ˥˥
大器晚成	tʰa˥˥hĩ˥˥ fan˨˩˦sǎŋ˥˧
大圳	tʰaɪ˥˥tsun˥˧
大块	tʰɪkʰɤ˥˩
大坜	pʰa˥˥la˥˥
大埔	tʰaɪ˥˥pʰu˨˩˦
大埔客家話	tʰaːjˈpuː hǎ˧˥kɑː˧˥waː˥˥
大堤	tʰa̯tʰiː
大士	tʰaɪ˥˩ sɯ˥˥
大大	tʰa̯˧˧tʰaː˧˧
大大方方	tʰɐi̯˧˥fɔːŋ˨˩fɔːŋ˧
大姑	seɾɨgːo
大姑丈	tʰa̠i̯˨˩ku˧˧tsʰu˨˩
大嫂	hɐi̯˧sɔːl˩
大字报	tsʰɯ˥˥pɔ˥˥
大学	tʰɐi̯˧˥hɔːk̚˨
大学教授	tʰaːj˧hk̚˦˥kaː˥˩ɔ̀
大宗	tʰa̠i̯˨˦tsʊŋ˥˥
大家	tʰɐi̯˨˩ka˥˥
大家庭	tʰaːi˥˧̚kaː˥˥ tʰiŋ˨˩
大寒	tʰaːi˧˧hɔːn˥˧
大小	tʰa˥˥sian˥˧
大山嶂	tʰaɪ˥˩san˥˩ʈʂoŋ˥˥
大山腳	tʰa˥˥e˨˦san˥˧kio˨˦
大峡谷	tʰaː˥˥jap˦˥
大工业	tʰaːikʰɔ̀ŋm˥˩miː˧ap˦˥
大干	tʰɐi̯˨˩kɔːn˧˥
大开眼界	pʰaːi˥˧hɔːi˨˦ nan˥˧kaːi˥˧
大志	tʰaɪ˥˥tsɯ˥˥
大快朵颐	hʰɛːpʰlʲ
大总统	tʰaːi˥˧tsʊŋ˨˩tʰɔːŋ˥˥
大戆牯	tʰɐi̯˨˩ŋɔːŋ˧˥
大成	tʰa˥˥œ˧˥ɕjɑŋ˥˥
大手	tʰaɪ˥˥tɕʰjɛ˥˥
大拇指	tʰaɪ˥˥mu˥˩ tʈ
大数据	kʰɐiː suː kiː
大數據	tʰa̠i̯˧˧su˥˧kʰi˨˩
大新	tʰaʔ˨
大旧日	tʰa̠˥kʰiː˧˧ua̯˧˧ŋ˧iːt˥
大智大勇	tʰaʔ˨ti˥˧tʰa˥˧jŋ˥˥
大智若愚	tʰa˥˥ʈʂan˥˥ioŋ˨˦n i˥˥
大暑	pʰaɪ˥˥ʈʂu˨˩˦
大朗	tʰa̠i̯˧˥lɔːŋ˨
大朗镇	tʰaːi˥˧lɔːŋ˨˩ tsĩŋ˨˩
大梅沙	hɐi̯˨saː˥
大步	kʰɑiːnpɔː
大气压	tʰa̠˥e˨˦hĩ˥˥ ap˨˩
大水	tʰaɪ˥˥sweɪ˥˩
大水蚁	tʰai˥˧ sweɪ˨˩˦ ne˥˥
大江东去	tʰaʔkɔːŋ˥˩toŋ˥˩tɕʰi˥˩
大洪国	tʰɐi̯˥
大浪	tʰɐi˥˥lɔːŋ˧˧
大浪淘沙	tʰaːjlɔːŋtʰaːw˧saː˩˩˦
大海	tʰa̠j˥˧hɔ̀ːiː˨
大湖	pʰaɪ˥˥fuː˨˩
大溪地	tʰaːjˈhâːj˨˩ tʰiː˥˥
大潤發	tʰaːi˧˧ nɤn˥˥ tɔ˧˧
大火	tˈaɪfəl
大王阿公	pʰaːi˨˩ wɔːŋ˨˩ a˥˧ kʊŋ˥˥
大理石	tʰa˥˥li˨˩˦satʰ
大男人	tʰa̠i̯˧˧naːŋ˨˩hĩ˥˥
大番薯	tʰaɪ˧˥fan˨˩˦ɕy˥˥
大疆	tʰa˥˥
大白	tʰaip̚a
大相径庭	hʰi˧˧sõŋ˥˧kã˥˥ tʰi˨˩
大眾點評網	tʰa˥˥tsʰu˥˥tiŋ˨˦mioŋ˨˦
大祚榮	tʰa˥˥i˥˧tsa˥˧kioŋ˨˩
大禹治水	tʰaɪ˥˥i˨˩˦ ʂweɪ˥˩
大笼粄	tʰaɪ˧˥lʊŋ˥˥ pan˨˩
大約	hɛj˥
大红	tʰaɪ˥˥fɑŋ˨˩
大舅	tʰak˥e˨˩w˧˥
大蔢	tsʰtpɔ˥˥
大街	tɕi˥˥
大衿衫	hik˦˥m˥˩sāːm˥˩
大角咀	kʰɐi̯˥kɔːk̚˧
大連	tʰa˥˥lɛn˧˥
大量	tʰai˥˧ljoʊ˥˧
大锅饭	tʰaɪ˥˥kuɔ˧˥fan˥˥
大门口	tʰaːi˧˧mɔːn˧kʰɛːuː˧
大院	tʰaɪ˥˥ɥœn˨˩˦
大雪	tʰa̝˥sik̚˨˩
大风	tʰaɪ˥˩fɔːŋ˨˩˦
大餘	tʰaɪ˥˥ɕi˥˩
大髀	tʰɐi˥˥pi˨˩˦
大鱼海棠	tʰai̯˧˧m̩˨˩hɔːi˨˩tʰɔːŋ˨˩
大鹏	tʰa̠i̯˨˩pʰeŋ˨˩
大鹏所城	tʰai˥˧pŋ˨˩sʊ˥˧sŋ˥˥
大鹏新区	tʰaʔpen˧˥sin˥˧kʰi˥˧
大鹏湾	tʰaːj˧pʰiːn˧wan˥
大鹏街道	tʰaː˥˧pʰeŋ˨˩ kaː˥˥ tʰaː˥˥
大麻斗雨	tʰa̠jmaːt̚˨˩tɕoʊ˥˩ i˥
大龙粄	tʰaʔljoŋ˨˩ pan˨˩
天	tɕʰjɛn˥˥
天上人间	tʰjɛn˨˩˦tsɔ˥˥ŋ˥˥nɪŋ˨˩˦kã˥˥
天下无双	tʰian˨˩ ha˧˧ wu˧˧sŋ˥˥
天下第一	tʰjɛn˨˩˦ha˥˥
天之骄子	tʰjɛn˥˩ʈʂɚ˥˩kjɑʊ˨˩˦tsɯ˧
天井	tʰjɛn˨˩˦tɕiã˥˥
天伦之乐	tʰian˥˥lun˨˦tsǎ˨˩lɔ˥
天作之合	tsoʊ˨˩˦tsì˧˥
天使	tjɛn˨˩˦
天光	tʰŋ˨˩ koŋ˥˥
天光日	tʰiãn˨˩kuɔ˧˧nit˦ tʰiãn˨˩kuɔ˧˧nit˦
天光朝	tʰiŋ˥˧koŋ˥˥tsau˥˧
天公	tʰan˨˩kʊŋ˨˩˦
天吂光	tʰa̠i̯˨˩man˥˥kũã˥˥
天命	tʰã˥˥ĩã˨˩ŋ˨˦
天国	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
天地	fantˈi
天地玄黃	tʰaŋ˧˧tʰi˥˩ʂaŋ˨˩wɔːŋ˨˩
天地神明	tʰdi˧˧ siŋ˨˩mɪn˧˥
天大地大	tʰjɛn˨˩˦tʰaɪ˥˥ti˥˩ tʰaɪ˥˥
天子	tʰæŋ˨˩˦ʈʂɚ˥˩
天守閣	tɥœn˨˩ siu˥˧ kok˨
天安門	ɑn mun
天安門事件	tʰjɛn˥˥ɔn˥˥muən˧˥ sɯ˥˥kʰian˨˩
天安门	tʰien˧˧ɔːn˧˧muːn˧˧
天宮	tʰən˥˥ kioŋ˨˩
天山	tʰæn˧sæn˥˩
天峨	tʰɛːn˧˥ŋ˧˥
天干	tʰan˨˩ kɔn˧˧
天弓	p̚˨˩n˧kioŋ˨˩
天弓食水	tʰjɛn˨˩tsiŋ˥˥ tɕʰiŋ˥˥ sui˨˩˦
天敌	tʰiãn˨˩tʰiʲt˦
天文學	tsʰi˧˥
天方夜谭	tʰiən˥˧fɔːŋ˥˥ɑt˥
天旱	tʰjɛn˧˥hɔːn˥˩
天时地利人和	tʰjɛn˨˩˦tsɯ˧tʰi˥˥ ɪŋ˥˥kuɔ˧˥
天时热	tʰan˨˩˦sɯ˥˥ mjɛn˥˩
天時地利人和	kʰaːn˨˩ɕiː˧ ɕi˥˩lɤ˥˩ i˥˩n˩˦tsʰo˧˧
天晴	tʰian˨˩˦tɕʰjɑŋ˨˩˦
天暗	ɑjɑn ɑːm
天机	kʰan˥˥siː˨˩
天水围	en sˈuliβoj
天河	tʰjɛn˨˩˦xɑʊ˨˩˦
天河区	hian˨˦ hɔ˧˧ki˥˧
天津	tʰjɛn˨˩ʨin˥˥
天津自贸区	kɤŋsɤŋsɯmjoʊkɪn
天涯	kʰɛːŋ˧aː
天涯海角	tʰei̯˧˥ŋ˨˩hɔːi̯˨kɔːk̚˧
天烏烏	tjɛn˨˩˦ʐu˥˩wɔ˥˥
天狗食日	tɕian˨˩tʰoʊ˥˥sik̚˥
天狗食月	tʰi˧˧m˥˩ kiau˧˧ siː˥ nhaː˧
天猫	tɕjɛn˥˧miau˥˧
天王	tʰĩ˧˥bɔ˥˥
天真	teɴniɴ
天神	tʰæn˧˥sɪn˥˧
天空	hŋ˥˥kʰũŋ˥˥
天穿日	ʔjn˥ʃn˥˩t̚˨˩
天等	tian˨˦tian˨˩
天經地義	kʰeː˧n˧tʰiː˥˩ɴ˥
天经地义	ʔhkntʰi˥niːk
天花乱坠	kʰonðaːlaːndʒuːe
天花板	tʰjɛn˨˩˦sǎ˥˥pan˥˩
天蓬元帅	tʰiən˥˧pʰuŋ˨˩ jɑn˨˦sa˥˧ai˥˧
天虹	tʰjɛn˨˩˦fʊŋ˨˩˦
天蛾人	tʰæːn˧˧ŋ˧˧
天衣无缝	tʰjɛn˧˥i˧˥ fɤŋ˥˥
天賦人權	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
天边	tʰjɛn˨˩˦pjɛn˥˩
天长地久	tʰiŋ˨˩tsʰɔːŋ˧tʰi˥˩kʰɪw˥˩
天马行空	tɤ˧˥ma˨˩˦kʰʊŋ˨˩˦
天高地厚	tʰiən˥˧kau˥˥tsi˥˧hɤ˥˧
太上隐者	tʰa˥˥sœ˥˥ʔ yn˥˥tsa˥˧
太公	tʰai˥˥goŋ˨˦
太原	tʰaɪ˥˥n
太原會戰	kʰʰaː˥˩n˩˩˦jaːn˧ ʁ˥˩an˥˩
太宗	tʰaːi˥˧
太平	tajpim
太平天国	hɐi̯˨
太平天國	tʰaɪ˥˩ tʰi˨˩˦kʰe˨˩˦
太平山	tʰaːi˧˥pʰiːn˨˩san˩
太平岛	aj
太平洋	pʰa˥˥pʰiaŋ˨˩ jɔ˨˦
太極劍	tʰakʰitːkijam
太阳	tʰa˥˥jœːŋ˧˥
夫	fɔ˥˥
夫人	fuːn˧˥
夫唱婦隨	fu˧˥tʰʊŋ˥˥ fu˥˥sŋ˥˥
失	sɛd
失利	sɯ˥˩li˥˩
失去	sɛʃˈi
失戀	tɕi˥˩ li˨˩˦an˥˩
失效	si˧˧
失業	seŋˈjɐt
失眠	tɕim˥˥mian˥˩
失落	tʃilo˥˩
失落感	siːn˧laːw˧k̚˨˩an˥
失败	sipʰâi̯
失身	sit˦ sin˨˩
失魂落魄	sip˦ fən˧˥ lɔ˥pʰak˨
头	tɕʰiːw˧˧tsʰtʰw˧
头一摆	tʰɛːw˧jip˦˥fai˥
头先	tʰi˧˧u˥˧sen˥˧
头拿毛	tɛu nɐmɐw
头摆	tʰi˦˥u˥˧paj˧˧
头晕	ke β̞jnt̪
头晕目眩	tʰau̯˨˩jœn˧˥mu˥˩ ɕian˨˩
头牲	tʰiũ˨˩sa˥˥
头皮	kʰʰ
头目	tiu˨˩mok˨
头破血流	kʰiːu˨˩ pɔ˥˥ hẽːt˨˩tiu˨˩
头等	tʃiw˨˩ tɛŋ˨˩
头蓬丝叉	tʰau˧˧pʰũŋ˨˩ sĩ˥˧tsʰa˥˧
头重脚轻	tʰiŋ˨˩ tsʰŋ˥˥ tɕiŋ˥˧tsʰiŋ˨˩
头颅	tɾau˧˧na˥˩
夸父逐日	kʰa˨˩fu˥˥ tɥœ˧˥ nĩ˨˩˦
夺去	tʰɐiː˧˧kiː˧
夺回	tˈɔ̃ foɪ
夾角	kʰiaʔ˨ kʰok˨
奇葩说	tʰi˨˩pʰaː˧˥sat˦
奇货可居	i˥˧ fo˥˧ kʰɔ˨˦ ki˧˥
奇蹟	̞ʌn̪˩˦ge˧˥tɑʊ˥˩ʐan˧˥
奈何	najho
奉承	pʰim˨˩sìn˧
奉新	fɔːŋ˧siːm˥
奉行	fou˥
奋力	pin lˈit
奋发图强	fʊnfaʔtʰɔkɛ˥˥aŋ˧˧
奋战	tsiŋ˥˧
奋起	pɔːn hˈi
奔	pɔn
奔去	puən˥˧ kʰi˥˥
奔向	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
奔奔跳	pən˨˩pən˨˩tʰiau˥˧
奔放	puən˥˧ pioŋ˥˧
奔波	pia˥˥ po˨˦
奔驰	tsɤ˥˩
奖章	tsiŋ˨˩tsɔŋ˥˥
奚落	t̚˨˩l˥ɔːk˥
奚黃煲鯽魚	pɐu̯˧˥m̩˨˩
奥	pau̯
奥匈帝国	tiː˥
奥林匹克	aː˧˥
奮	nɛːtˈnː
奮發圖強	sian˥˧mat˥˥tʰu˧˧tʰiŋ˨˩
女	ne̞
女媧	ŋˈva
女子人	nʲinɪ̞ŋʲiŋ
女巫	nivu
女生	ne˥˩saːŋ˥˥
奴才	nu˥˩tsʰaj˥
奶奶	nɔj nɔj
奶茶	lian˥˧tsa˥˧
奶菇	mɛn˨˩ku˥˧
她	k
她们	d̪aːmɯnː
好	hau̯
好久不见	m̩˨˩tsiː˥ mɔː˨tsiː˥
好事多磨	tʰoʊ˧˥ tʰuɔ˨˩˦ tɤ˧˥
好友	hˈɔ̃ juː
好吃懒做	hɐu̯˥
好吃懶做	hau˥˧tʰit˦n˥˥an˥˥˥tsu˥˧
好好先生	hau̯˧saŋ˨˩
好客乐队	hˈaʊ kˈænt jˈu dˈoɾˈ
好彩	hɔ˨˦tsʰai˥˧
好意	hou˥˥
好感	hɑʊ˨˩kɑ˥˥
好日子	tkau˥˥nitsɯ˥˩
好朋友	pʰi˥˩ njɛ
好汉	hou˨˩˦
好消息	aw kiam˨˩a˥˧
好玩	hɑʊ˨˩˦ŋ˥˥an˥˩
好笑	oʊ˨˩˦siau˥˥
好说	koːʃa
如	i˥˩
如何	mioŋ
如履薄冰	i˥˧li˥˧ pʰok˨˩ pi˨˦n˥˧
如意	ni˨˩˦i˥˩
如映雪	a jɛnse
如是	y˧˥
如是我闻	i˥˥ tɤ˧˥ nɔ˥˥uən˨˩˦
如松之盛	ti˥˧ʈʂuən˧˧tsu˧˧si˥˧
如果	i˥˧ko˥˥
如此	i˥˩tsɯ˥˩
如火如荼	ifo˩˥ːjn˩˩˦tʰu˥˩
如魚得水	i˨˦ m˥˩tiat˥˥suːe˨˦
如鱼得水	dˈy- ɛ̃pɛsˈi
妄想	mõŋsjɔŋ˨˩
妇人家	fu˥˥n˥˥tɕa˥˥
妇女	fu˥˩ni˨˩˦
妇道	ʂu˨˩˦tɑʊ˥˩
妇道人	fɯə˥˥ tʰɑŋ˥˥nɕ
妈妈	maːmaː
妈湾	maːman
妈祖	ma˥˧ʈu˥˧
妒	tʃu
妓女	ti˥˩ni˨˩˦
妙佑	miaoiu
妙手回春	mau˧˧siu˧˧fu˧˧j˧˥tsʰuən˥˧
妙玉	mia˥˧ aw˨˦nɕi˥˧
妙笔生花	miau˥˧pit˨˩sau˥˧ fa˧˧
妙語連珠	miau˥˥ i˧˧nsu˥˥
妙语连珠	mjɛ˥˩  liən˨˩˦ʈʂu˥˥
妙趣横生	miau˥˧tɕʰi˥˥wŋ˨˩˦sǎŋ˥˧
妙趣橫生	sãŋ˥˥
妩媚	vu˥˧mɪ˥˩
妲己	taki
妹	mɔj
妹妮	mˈoɪni
妹妹	mɔ̀ːj mɔːj
妹生嗯	mua̯˨˩le˨˩saːm˥˥
妹生里	mu˥˩ai˧˧sian˥˧li˨˩
妻	ti˥˩
妻妾	tsʰi˧˧ tʰau˧˧
姊	tsɯ˥˩
姊妹	tsi˨˩mɔːj˨
姊姊	ti˥˥
始于	tsɯ˥˩
始作俑者	tsok˨ jʊŋ˨˩tsa˧˧
始兴	tɕʰi˥˧
始祖	ʂɚ˥˩tsɯ˥˩
始興	tsi˥˧hĩn˨˩
姐公太	tsiaʔ˦kũŋ˨˩tʰaʔ˦
姐婆	siaɔ˥˧pɔ˨˦
姑姑	kuu˨˩˦kuɔ˧˧
姑娘	ku˨˩˦ jɔ˨˩˦mɯ˧˥
姑息養奸	koʔsik˥ kioŋ˨˩ kan˥˩
姑爷	ku˥˧ja˥˧
姓名	sian˥˧liã˨˦
姓氏	sian˨˦sĩ˥˥
委任	lau˥˥
姖	i˥˩
姗姗来迟	san˨˦san˨˦ lɔ˥i˨˦tsʰɯ˧˥
姚	dʒaɔ
姚明	lɔːmɛn˧
姜	kioŋ˨˩
姜夔	koŋ˥˧kʰe˥˥
姜嫲	kioŋ˥˧ma˥˧
姜酒	kioŋ˨˩ tɕiu˥˧
姨婆	tsitpɔ˥˥
姬	fˈi
威	weɪ˥˧
威嚇	lɛ̃˨˦ t˥ʰoʊ˥˩ʐtpʰiː˥˩ʐan˥˩xʐoʊ˥˩tpʰiː˥˩ʐan˥˩
威士忌	ʔuɕi
威尼斯	tʰua̯i˥˧nei˥˩
威廉姆斯	weɪ˧˥ljɑŋ˨˩˦pu˥˩ sɯ˥˥
威望	voz mˈoŋ
威武	uimɨ
威风凛凛	ʔfʔn˧n˥˩
娃	vaː
娇	tio
娘	nʲau̯
娘娘	nʲau̯nʲau̯
娘子關	ljoʊ˧˥ tsɯ˥˥kwan˥˥
娘酒	ŋ˨˦tio˨˦
娘酒鸡	lɔŋ˧˧ tʰi˧˧u˧˧ kai˥˩
婁	lˈˌeːoː
婆太	kʰua˥˩ tʰua˧˥ʔtʰtʰi˥˩
婚事	fɔːŋ˧tsɯ˥˥
