0	nɔla
jebi ih	jɛbi
jebi se	ɛbisɛ
jebo te sve!	je˩˥ː bɔtɛ sʋɛ
jebote!	dˌiːzəbˌuˈɑtˌɛ
jedan	jeden
jedanaest	je̞dɒːneɪst
jedino što	jeˈdi nɔʃtɔ
jednina	jɛdnˈina
jednom	jɛdnɔm
jela	kielˈlˈɑ
jemen	jɛmen
jesam	jæsæm
jesam li te uhvatio u nevrijeme?	jɛ sav dɛ tɛ uxvɑti ɔɫɲa vrɛmɛ
jesen	jˈɛs
jesi	es
jesi li zauzet?	jas se̞liːt zau̯ðit
jeste	jeste
jestive	estɪvɛjjɛstɪvɛj
jesu	jɛsʊ
jezero	jezɾ
jezik	ɪ̞zʲɪk
jezičac	jˈɑzjˈutʃɛts
jod	z
jordan	jˈɔːɹdənt
jorgan	ʒɔɾgan
jovan divjak	iovan ðivjak
jozo šimunović	ioːʃa ʃimoːn� aɟʱ
još	bjoʃ
jucer	jˈultʃeɾ
judaizam	judaizm
jugoistočna	juːgɔjʊstɔtʃna
jugoistočni	jɪkɔistɛtʃniː
jugoslavija	jugoːslɐvja
jugozapadna	jukɔzaːpadna
jugozapadni	ljˈugozaːpatni
juli	juli
jun	lun
juni	iuni
junior	jˈunjoɾ
juniorica	ɔnɔvɔrtsa
juniorska	jixnʲorska
juniorski	jʊnˈjɔːrˈskiː
jura	tʲurɐ
jurska	jurɛska
jurski	ogorstvo
jučer	juːtʃɛr
južna koreja	juʒnaː koˈrɛja
južni sudan	ɛuʒnɛ suˈdan
južnoafrička republika	juʒnaavrɛtʃka rɛpublika
južnoafričke narodne pričice	juʒnɔ ɛɛrjtʃkɛ naːrɔdnɛ pritsɛ
južnoafrički	juʐnaofeʃki
južnoamerička	juʐnaɔmerɛtʂka
južnoamerički	juʐnɔamjaritʂki
južnokorejska	juʐnɔkɔrɪjska
južnokorejski	ɪuʒnɔkɔrɪski
južnoslavenska	juʐosɫavjɛnska
južnoslavenske narodne pričice	ʒuʒnoslaɦvjɛnskaj naːradɲɛj pritsɛ
kackavalja	katʃkava˩˥ːʎa
kad	kat
kada	kada
kada ti odgovara da se čujemo?	kadɑti ʊtgɔvara da sɛ tʃuˈjen
kada ti odgovara?	kɑdɑ tʏ̞tgɔuɫɑrɑ
kafa	kafa
kahva	kɑɦvɑ
kajdanka	tajdãn̪t̪a
kajtazović	kajtazɔvɛtʃ
kakanj	qakaj
kakav	kakam
kako ide?	kˈako idˈe
kako je uš'o, tako je izaš'o: ni 'dobar dan' ni 'doviđenja'!	kako˥˩ː juʃɔ takɔ jɛ izɛʃɔ ni do˥˩ːbar da˥˩n ni da ʋiʒɛɲi
kako se kaže	kako se kaʒe
kako se zovete	kako sɛzɔˈvɛtɛ
kako se zovete?	kako sɛ zɔvɛtɛ
kako se zoveš?	kako sɛ zɔviʃ
kako si?	kakasi
kako ste?	kakɔste
kalcit	kau̯tsit
kalesija	kalɛsia
kalinovik	alɛnɔvik
kambodža	kambɔdʒa
kamen	kˈʌmˈɪn
kamera	kamera
kamerun	kameron
kamila	kamila
kanada	kɑnɑdɑ
kanapom	kanaːpon
kancelarija	kɛntsɪllaɾiːɛ
kapica	kapljitsav
kapitalizam	tʃapɛtalɪzɛm
karamel	kaɾamel
karta	karta
kartografija	kartografja
kasindolska	kasimð̞oɫska
kasno	kasnɔ
kasumovic	kahasumɔvɪtʃ
kat	kat
katar	katar
kation	katiˈon
kazahstan	kazaxstɑn
kašika	kaʃka
kaže se	kaʒese
kenan	kennɔn
kenija	keni
kenozoik	kɛnˈoːzɔik
kesa	kessa
kesu	h
kifla	kifla
kihanje	kiːxaɲɛ
kijev	kje̞
kikić	kikːit
kilo	kilo
kina	kina
kindl	kindɫ
kinematika	kʲiɲɛmɑtʲik
kineski	kineski
kipuće	kiputʃe
kirgistan	ɑˈgustan
kiseljak	kiseɫæq
kladanj	kladaɲe
kladuša	fladuˈʃa
klimatologija	klimatɔlɔgja
ključ	klʲutʃ
ključaloj	kljutʃaloi
klon	klon
klub	klˈub
knjiga	knʲiga
ko sam ja da o tome govorim?	kɔsta mja ad autɔ me kɔvɔriːm
kobasica	kɔbasitsa
kobila	kɔbila
kocka	kɒtski
kockice	kotskitsˈɛ
koga	kɔgakɔga
koja	kɔja
koja kurva	kɔja kurvɔ
koje	koje
koji	kɔːiː
koji debil	koːj dəbːiːl
koji ima posmatrački dar	kɔji ima pɔsmatratʃki dar
kojoj	kojˈoj
kokosovi otoci	kɔkɔso fi ɔtɔtsi
kokoš	kɔkɔs
kola	kɔla
kolač	kɔlatʃ
kolašinac	kɔɫɑʃinats
koliko	kˈoliːkˌo
koliko godina ima vaš muž?	koliko gɔdina ima vaʃ muʒ
koliko je ovo?	kɔliko ɛ jɛ ɔvɔ
kolitis	koːnˈitiːs
kolonijalizam	kɔlɔnijɑlizm
kolumbija	koɫumbiɑ
komad	kɔmand
kometa	kɔmɛta
komori	kormoɾi
kompjuter	kompjˈutɚ
komunizam	kɔmunizm
komšija	kamʃja
koncert	kontsɛrt
konj	kojn
konjic	koɲtsɯ
konjugacija	konuɣaʔa
konstruktor	kɔnstruktor
kontinent	kɒntiˈnent
korisnik	kɔrɪzniːk
korolar	kɔrɔlaːr
kosa	kɒsʃa
kosmologija	kɔsmɔlɔgija
kosmonaut	kosmõŋaʊ̯t
kosmos	kɔsmus
kosovo	kɔzɔvɑ
kotor varoš	kɔtɔr varɔs
kotromanić	χatramaniʧ
kozara	kɑːzdɑːɾe
kočijaš	ɔtˈiːass
kočoperiti	kɔtɔpeɾiki
košarka	kɔʃaɾka
koševo	kɔʃˈɛv
košulja	kɑʃʃuʎa
košuljica	koʃuʲtsɛ
kraj	kraj
kraljica	kraːʎitsa
krastavac	kraːstaʋats
krava	krava
kreda	kɾɛda
krempita	kɾempita
kretati	kɾɛta
krevet	krɛvət
kriminologija	kriminologia
kriške	kriʃka
križanje	kriʒɒɲɛ
krompir	krompjɾ
krtica	kɛrtetsi
krug	kɾuːk
kruh	kru
krumpiri	kruːmpiːri
krunic	kruˈnitʃ
kruška	kuʃka
kršćanstvo	kɾɛʃtʃaŋstɫɛ
kubizam	kuːbiːzam
kuhajte	kuhəjt
kuhana šunka	kuhana ʃuːnka
kuhano	kujˈanɔ
kuharskih	kuxarski
kuhati	kuhati
kuhinja	kuxiˈnʲa
kuja	kujˈa
kukuruz	kukuz
kukuruz šećerac	kukuz ʂɛtɕɛrats
kultura	kultˈuɾɐ
kupovati	kuːpˈɑvˈati
kupovina	kupɔvina
kupres	kuprɛs
kupus	kupus
kurvin sin!	kurviːn sˈiːn
kutija	iˈa
kutljača	xutlʲadʐa
kutljaču	koðlʲatʂu
kuvajt	kuvẽjt
kuća	kutʃa
kušati	kuʃɛti
kvadrat	kvadraːt
kći	ptʃɨ
lajkovac	laɪˈkʰoʊlˈɛt
lak	ak
lakoća	lakotʃˈa
laktaši	lɛktaːʃi
laku noć	la la
lakše reći nego uraditi	akʃaj rɛtʃi nɛgu uɾatit
lama	lˈama
lamija	lamˈeɪ
lampa	lãːmˈpˈaː
lampir	ɫampiɾ
lančić	antitʃ
laos	plˈas
lapovo	napoˈpɔ
laptop	laptɔp
latice	lattsɛ
lav	av
lazarevac	lazariβɛts
lebane	lɛtɑne
leksikografija	lɛʃjkɔgɾafjɑ
leksikologija	lɛksikɔloːgjɛ
lema	lɛma
lepina	lɛpna
leptiri	lɛptiri
leskovac	lesal
lesoto	lasˈot
leći	platʃ
liban	liban
liberalizam	libɛrɑːlizɛm
liberija	liberea
libija	libia
lice	litsɛ
lija	plieː
lijekove	ljɛ̀eːkɔvɛ
lijen	ljˈæn
lijep	liep
lijepa	liepaliepa
lijevi	lieːvi
lijevo	ljɛɾo
limun	limun
lingvistika	lɪŋgvɪstɪkˈa
lipa	lipa
lisica	lisˈekˈa
livno	livnɔ
lj	ilˈle
ljubav	lʲubav
ljubav je	talʲ tʂka tʂa tɨmastav sasa
ljubavi	ʒubavj
ljubavnicu	lopa˥˥ŋitsi˨˩˦
ljubinje	lʲubʲinʲe
ljubičasta	ljubitʃasta
ljubičica	ljubitʃitsa
ljubomoran	loːpəmˈaːrˈɛl
ljubuški	lʊbʊʃki
ljudi	lʲuð
lobanja	ɫabai̯na
logika	lɔgika
lopare	lɔpaɾe
lopatica	lɔpatritsa
lopta	laptatʃa
loptice	ɫɔptitsɛ
loznica	wˈʌtʃuˈɹiˈ
loše	loʃ
lubenica	ljubɛnitsa
lud	luːd
luk	lˈuk
lukavac	ɫukaˈnats
lučani	lo˥˩ːtʃœ˧˥mɛ
ma taman	mataman
maca	matsa
madagaskar	mað̞e̞gæzkaɾd
magarac	magaɾatʃ
magazin	magazin
maglaj	maglaj
magma	magma
mahala	maala
maj	maj
maja milinković	maja mjɛljplipls
majica	majtsa
majka	majka
mak dizdar	mak d̪izð̞ar
makao	mato
makedonija	maked̪onja
makroekonomija	mækɾɑːkænɔːmiː
malavi	naˈlaɾe
maldivi	aldiːɾe
malezija	alizia
mali	mɑɫɪ
mali princ	mal i prɪnts
malo	malo
mama	mama
manga	maga
manirizam	mʲaniɾizɛm
manje	maɲɛ
maramica	maːramɪtɛm
maramicu	maramitsu
maramu	malamu
mario vrančić	maːrjoː ɾanˈtʃɪd
marksizam	maɾksissam
maroko	maɾok
mars	mˈɑɾs
mart	mɑːrt
masaža	massaːʒa
maskenbal	mˈɑskeˈmbɑɫ
maslac	maːslats
maslačak	nɔsɫatʃɔt
maslina	mɑslɛn
mataruška banja	matarus katala
matematika	matematika
materijal	mat̪eɾjal
maternji jezik	matiɾɲiɛsk
mauricijska	mau̯ritska
mauricijske	mauɾiɛtsiːsʲke
mauricijski	mau̯ritsiski
mauricijus	nauritsiuz
mauritanija	maʊɾitˈaːniːɑ
mazga	mazgɑ
mačak	ˈmɑːtʃɑk
mačka	matʃka
mađarska	maːrdʒska
med	mˈeːd
medicina	meditsina
medo	mˈeˈto
medunjanin	mad̪unianiːn
medveđa	mˌaɪˈtvətˈe
medvjed	mʲedvʲet
mehanika	me̞ɦanikæ
mejoza	mʲejuːzɑ
mek	mɛk
mekani	mʲekani
meksiko	mɛksˈik
membrana	membrˈaːnɐ
menadžer	managɛr
merak	mɛrak
merhaba	mʌrhʌbɑ
merkur	mɛrkʊr
mesa	mˈeɪsɐ
meso	nɛsʊ
metabolizam	mɛtabɔɫizɑm
metar	mætæɾ
meteor	mɛteor
meteorit	mɛtɛorit
meteorologija	tˌeʊɾəlˈogɪɐ
međugorje	meʒgɔrie
međunarodno	mɛʒɨnaːrdnɔ
meša selimović	mæʃa sɛ gˈimɔvitʃ
mijanmar	mjãn̪maɾ
miješati	miːʃat
mikologija	mjkɔlɔʒiɐ
mikrobiologija	mɪkrɔbiɔlɔgja
milenijum	multenium
milivoje kostic	mjɫivoju kɔstitʃ
milići	miːɫitʃim
miličević	bjilitʃɛvitʃ
miljacka	mjʝatska
mineralna voda	minɛraɫna vɔda
minimalizam	mjnjmalism
minuta	minuta
minute	minuta
mionica	ne̞ɒːnjɒsˈseb
mir	nˈiɾ
miralem pjanic	mjraːnɛn pja˥˩ːnitʃ
miralem pjanić	mjɾaːlɛm pjanɛtʃ
mirjana	mjɛrjɛna
mirko hrgović	mirko hʊ̞rgɔʲtʃ
miroslav	miːɾosˈslai
mirsad	mʲirsad
mirza	mjɾza
mirza teletović	mirza tɛlɛtɔvitʃ
mitohondrija	mitoɣoŋdria
mitoza	mitoza
miš	mɪ̞ʃ
mjeseca	ɟʝɛfɨtsɑ
mjesto	mjɛsto
mladen krstajić	mɫadɛm kristajtʃ
mladenovac	maːteːrˈmˈɑtˈɛ
mladić	mlaːdɛtʃ
mladoženje	maːdɔʒɛɲɛ
mlijeko	mliɛkːa
mnogo	nˈogʊ
množenje	mʲŋʲ
množina	mnˈoːɾˈ
mobilni telefon	mɔbilnɛ tɛlefon
moj	mˈɔj
moja	mɔja
moja sestra	mɔja sɛstra
moje	mˌoˌeː
molim	molin
molim te malo sporije	mɔlim te malu spɔrijɛ
molim vas malo sporije	mɔlim vas mɑɫɔ spɔrijɛ
molim vas napišite to na papir	mɔɫin vas napiʃtɛ ta˥˩ː na papir
momak	mɔmak
momenat	mɑːmænænd
monarhizam	monarxizm
mongolija	mˌoŋˈgˈˈoʎˈɪa
moraju	moɾaio
moral	ˌmɔrau̯
moravica	mˈˈaʁˈvits
more	nore
most	mos
mostar	bostˈɑr
mostar-duvno	nˈostˈaːrduːvna
motor	mˈotʊr
mozak	moːzak
mozambik	mozaːmbik
moć	motsʃ
možda	mɔʒdo
može	moʒɛ
može, super	mɔʐɛ supɛr
mrkonjić	merkoɲitʃ
mrkva	mrkva
mrkvu	mrkv
mrkšić	mrksɪtʃ
muamer adilović	nˈu ˈɔmɛr ɑdilɑbitʃ
muhamed bešić	mohamɛt bɛːʃtʃ
muharem	muxaːrɛm
mujo	muu̯ja
mustafa	bustafam
mustra	mustra
mutacija	pɔtɑːtsia
muzej	muzˈɛj
muzika	muzɪka
mušan	mʊ̞ːʃæn
na	nɔ
na bosanskom	na bɔsɛnskom
na zdravlje!	na zdradlʲa
nada đurevska	naːnˈatat ʒˈeˈreʃkˈaɾ
nadjev	naːev
nadjevajte	nadijɛbajtɛ
najbrži	najbrɨʐɨ
najduži	naːjˈduʒi
najjeftiniji	naːljiːqt̪iːniː
najlošija	najlɔʃia
najpoznatiji	najpozɲatji
nakratko	nakratko
nalaziti	nabˈɑsiti
namibija	namivja
namještaja	namjɛʃtaja
nana	nˈaːn
napad	naːpad
napolje	napoɫjɛ
narandža	naˈranˈdʒa
narandžasta	nɑːrɑːˈndʒɑːstɑ
narandžasti	nˈorˈaːmdʒaztˈe
naranče	narantʂɛ
narezan	næɾdæzæn
narežite	naraʒit̪a
nasilje	nasiʎe
nasjeckani	nasɛfˈsɑːni
nauka	nauk
nauče	nautʃɛ
naučna fantastika	na ɔtʃina fɔntasik
naučnik	nautʃnik
navijač	neβ̞jat̪ɣ̞
navika	navika
nazad	nazad
način	naːtʃin
naš	nˈɑʃ
naša	naʃa
naše	naʃɛ
ne	nɛ
ne govorim bosanski	nɛ gɔvɔrim bɔsɛnski
ne razumijem	nɛ rɛzumjɛ
ne zanima me	nɛ zaɲi mamɨ
ne znam	næzlm
nebojša radmanović	nɛboːjʃa rɛdmanɔvitʃ
neda ukraden	na je˩˥ːda ʊ˥˩ːkradɨ
nedjelja	nˈedjˈela
nedostaješ mi	nɛ dɔstajɛʃmɨ
nejra	l̪eɣ̞
neka	nɛkanɛka
nema na čemu!	nɛjma na tʃɛmu
nema sumnje	nɛma sumɲɛ
nemoj biti kreten	namu bʲitsʲ kratʲin
nemoj biti šupak	nɛmaːj biːdi ʃobak
nemoj se zajebavati	nɛmɒj sɛ zæjbɒːvɒt
nena	ne
neoklasicizam	nɛoklasitsizɛm
nepal	nɛpɑːl
neprohodne	nɛproɣɔdnɛ
neptun	nɛptun
neretva	nɛritʋa
nermin tulić	nærmiːn tŏlɪtʃ
neum	nˈɛ̃ʊ
nevesinje	nevizsˈiɲe
niger	nigɛr
nigerija	nigerja
nihad đedović	nihad ʒædɔʋiːtʃ
nikad	nikad
nikola špirić	ˈnikoːɫɑ ʃpˈiritʃ
nisam siguran za datum	niː sam siguran za daːtom
nj	nˈe
njemačka	ɲematʂka
njemački	ɲanatʂki
njen	nɛ
njena	nʲæjnæ
njeno	nʲajɛnɑ
njihova	ɲiɦova
njihovo	nʲiɦovo
njoj	nˈoj
noga	nˈoːgˌɑ
nogomet	nogomet̪
norveška	naaɾβ̞eska
nos	nos
nosorog	nosoruɣ
nov	nˈɔv
nova godina	nˈoːvə go diˈnoː
novi	nˈoːvj
novi pazar	nɔvi pɑzar
novine	nobine
novo sarajevo	nɔvɔsaɾɛmɔ
novosadski	navosotskɛ
novoselija	nauɔssella
noću	mˈɔtʃ
nož	nɔʒ
nudžejma	nˈudʒɛjma
nuđejma	lutʃeɛma
obala slonovače	lo balas̺t̪s̺o mez bat̪ se
obarenu	abarenu
obarite	ɔbaːrite
obdarenost	oβðare
običaji	obitʃa
objavljivanje	ɔbjafliːvaːɲɛ
ocijedite	patsijɛdite
od	ɒt
odakle	adakle
odakle dolazite?	ɔdakle doˈlazid
odgovara li ti to?	ɔtgɔva˥˩rali ti kɔ
odgovor	ɔdgɔvɔr
odijelo	puð̞jvɛlo
odjava	dʒoɾˈvɑ
odmora	ɔdmɔra
odnos	pɔdnos
odrasli	odraslj
odžak	potʃak
oftalmologija	ofee̞lmologia
oganj	oganʲ
oglas	ɔglas
ogledalo	oklajtalo
ognjen spahić	ɔgnɛn spaxiɟ
ohladi	oɦlaɗi
okean	okean
oko	ok
okolo	oˈkɔlɔ
okretati	aːkrɛtati
okrug	akrux
olovka	olufka
olovo	olvo
oman	ɑːmɑːn
omarska	omarska
omlet	omlet
omražen	omraʒɛ
ona	ɑnɑ
onkologija	onkolɔgeja
operite	opeɾite
opomena	apamena
opran	ɔpran
oprostite	aprost
opušten	opuʃtɛn
općinstvo	ɒːbtʃiːnstvɒː
orao	oɾau
orašje	oraʃe
orman	ɑɾmæn
orman za knjige	arman zaħt mɛk
osam	ɔːsɔːm
osećam	ozetˈʃaɾ
osim toga	ɔsɛm tɔga
osjećam	ɔsjæhtʃaːm
osmaci	ɔsmɑːtsiːm
osmi	ɑːsmi
osnova	asnɯla
osoba	ɒsuba
ostao	postaɫ
ostavite	ɔstɑvitɛ
ostavka	ɑːstaːlkʰæm
ostružnica	oztrʊsɨtsːa
ostrva glorioso	pɑstɑɾʋagɯlɑɾɯjɑsɯ
ostrvo evropa	ɔstrvɔjurɔuɑ
ostrvo tromelin	ɔstɾɛvɔ trɔmɛɫin
ostrvo žuan de nova	ɔstrɔʒuan deˈnɔˈva
otac	potats
otarasiti	ɔ̃nfˈaʁasˈti
otkaz	ɑtkɑːs
otvoreno	otvorano
otvoriti	otvoriti
ovaca	ovatsa
ovako	obako
ovas	oːvasː
ovca	ovtsʲa
ovdje	aɫvɟɛ
ovisnik	o˩˥ːvisnji˩˥ːk
ovo je sranje	ɔvɔʊ jɛ sraːnjɛ
ovo je zajebano	avaj zaje bona
ovog	ɔvɔk
ovog časa	ɔvuk tʂas
ozbiljan	aːsʋiɫn
ozdravi brzo!	ɔzdravɪ brzo
ozdravite brzo!	ɔzdrɛvite brzɔ
oznake	ɔznakɛ
ozon	ɔːzɔːn
očistite	altʃistit̪e
očišćeni	oːtʃiʃtʃeːni
oštra	aʃˈtraː
pa	ta
pacijent	patsjɛnt
pacov	patsɔ
pada kiša	pɑdɑkɪʃ
padež	paːdəʃ
pakistan	pɑkɪstɑn
pale	pale
pale prača	palɛ pratʃa
paleoantropologija	paleoanθɾɔpɔlɔʒia
paleontologija	pɛlɛrɔntɔlɔgjjɛ
palestina	pɑlɛstɪnɑ
panda	panda
pantalonice	aktaɫonɛtsɛ
papagaj	papagaj
papak	paːtæk
papiga	pɑpɪgˈa
papir	apiɾ
paprike	paprikɛ
papučice	papɔpˈɕɛtsɛ
paradajz	pˌɐɾɐdˈaɪʃ
paradoks	paradɔks
paragvaj	parakvaj
paramecijum	paɾamisziõ
park	park
parlament	pɑɾlɑmɛnt
parodija	paːrɔdjɛm
particip	partitsip
pas	pɑːs
pasoš	pasos
patka	zpatka
patologija	patolɔʒia
pauk	pau̯
pecite	tetsite
pedeset	kədˈɛst
pedja muzijević	pɛdʒa muʒiʒeviːtʃ
pekara	pɛkɛra
pelagićevo	ɛlagitʃˈenˈo
penicilin	fentsibatas
perje	pɛjrjɛ
pernica	pe˥˩ːrnitsa
peru	pɛru
peršun	perʃɛn
pet	pˈe
pet do devet	pjɛtɕ dɛ dɛvjɛt
petak	tʃag
petnaestak	pjɛtsnajɛ�stɑk
petnaesti	pɛtnɑːɛstɪ
petrologija	pɛtrɔlɔgja
petrovac	pɛtrovats
peći	pˈɛti
pečena	iːt̪e̞n̪a
pečenja	pɛtʃʲɛɲɑ
pečenje	atɛnʲa
pečenog	pɛtʃɛnɔk
pidžama	pjd̪ʒama
pijaca	pjɛtsɑ
pikachu	liketʃo
pikachu, u napad!	pika˥˩ːtʃu˩˥ː u˩˥ːna˥˩ːpad
piletina	pilɛtina
pingvin	pɛŋɠvin
pionir	pionˈiːr
pirit	pirit
pisati	piːsati
pismo	piːsmɛ
pita zeljanica	pita zɛɫjanitsa
pitanje	pitaɲɛ
pivo	pivo
piši	piˈʃi
pištolj	piʃtɔj
pjanić	pjanitʃ
pjevač	pjɛvatɕ
plafon	plafon
plan grada	laːŋgɾaːdˈa
planina	ɫanina
plastika	plɑːstika
plata	plaːta
plava	plava
pleh	plɛx
pleistocen	plˈeɪssˈɑpsən
plesati	plɛsɛti
pliocen	prijatsnɪ
pljačka	pjatʃka
ploča	plɔtʃa
pločić	plɔtʃɪtʃ
pluton	kluton
plućnu	plutʃnu
po	to
pobiberite	pɔbibɛrite
pobijedi	pobijɛd
pocitelij	pɔtʃɪti
pod	pɒt
podešavanje	pɔdɪʃaːvai̯nʲ
podgradci	pɔtgrɛts
podignuti	pɔɔdiknuti
podne	pɔːdne
podrazumevano	potratsʊɔmedalʊ
podučavati	pɔdutʃa˥˩ːvat
poezija	poezja
pogreška	pɔgrɛʃka
poklonjen	aqla
polako	pɔlakɔ
policajac	pɔlitsaːjɛts
polimer	pɔlimr
polimerizacija	pɔlimɛrizaːtsia
poljska	pɔʎska
poljubi	olʊbʲi
pomorsko	pɔmɜskɔ
ponedjeljak	to˩˥ːnɛgɛʁe˥˩ːk
ponekad	pɑnɑkɑːdiːm
ponižavanje	puɲiʒavaɲ
pop	pˈɔp
popodne	pɔpɔ˥ːdne
popušiti	apuʃit
porodica	pɔrɔdɛtsa
portugalski	pɔrtugaːlski
posao	posal
poseban	poɾseban
posjetite me jednom	pokɛtjɛʃtʲite meiɛnnɔ
poskok	pɔskɔk
poslanik	pɔslaːniːk
posle	pɔsʎɛ
poslovanje	fɔslɔvaːni
poslovati	pɔslɔmɛt
poslužite	po˥˩ːsɫuʒɪte
posolite	pɑsɑlɯktæ
posoliti	pɔsɔliti
posude	osuðe
posudu	pɔsudu
posušje	pɔsuʃe
potkoljenice	pɔtkoˈlɛnitse
potok	tɔtɔp
potočari	pɔtʊtʃˈare
potpisati	potpjˈisati
povezati	pɔʋɛzɐ
povraćanje	pɔbratɕaɲɛ
povreda	po˥˩ːʋrɛda˥˩ː
pozitivizam	pɔzitivizam
pozorište	pɔɔzɔriʃtɛ
pozovi	pɔzɔvi
pozovite policiju!	pɔzɔʋtsɛ pɔliːtsjʊ
početak	pɔtʃɛjtak
početna	pɔtʃɐtna
počitelj	oˈtʃɪte
pošta	pɔʃta
poštanska marka	poʃtans kamarˈk
požar!	poʒar
poželjno	pozɛjma
požuri	po˥˩ːʒurɛ
prag	frak
pravo	praːvˈo
praznik	praːznjk
pred	red
predavati	pɾɛdaːvat
preduzeće	pɾɛduzˈe
pregovori	kajagoboɾor
prekjuče	pɾakɪtʃɪ
prekjučer	pɾɛkjwtʃer
prekosutra	prakɔsutɾa
premazati	ɾɒːmæzæt
premažite	prʲamʏ̞r̥tʲ
premijer	premjɛr
pretresite	pretrejesite
prevazilaziti	prevaziɫozitɛ
prevod	fajvɔd
prevoz	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
prijatelj	prijatelʲ
prijati	prijapdɪ
prijatno!	prijatna
prije	fɹiː
prijedor	prijɛ˥˩ːdɔr
prijepodne	prɛdpɔɔdmɛ
prijestolonasljednik	nestaɾonaasjpl
pripreme	tɾɪpɾemɪ
pripremiti	pripremti
prirodnom	priːrɔdnɔm
pritisak	prijtiʃak
pričaj	pɾɛjtʃaj
pričati	prijtʃate
priče	pɾitʃɛ
priština	pristina
prnjavor	perɲaːvɔr
prodaja	prɔdaja
prodavati	proˈdavati
prokuplje	pɾɑːvɑkˈup
proljeće	pɾɔlɛtʃɛ
provrije	ro˥˩ːvri˩˥ːje˩˥ː
prozor	proːzor
prst	prɛst
prvi	prɛde
pržiti	taljˈzitˈi
psihologija	psɪxɔlɔgia
psorijaza	kusuruiːzə
ptica	ptitsa
pucati	pɔtsat
puding	pʊˈðiŋ
puna	puna
purpurna haljina	pʊrpʊrna axalina
purpurni	pupurne
pusti me na miru!	kustɪ men amiru
puši mi kurac	puʃiː miː koratsʲ
pčela	ftʃala
pšenica	tʃanʲitsa
radetinac	radɛtijinats
radije	radieː
radio	rˈadio
radnik	ɾadni
radno glagolsko stanje	radna uɟɛlaːɟaɫ skostaːnjɛ
radost	radɔst
rajčice	rajtʃɨtsɛ
rame	ramɛ
rana	rana
rasti	rastɨ
rastopite	rastopjt
ravno	ravno
razanj	raːʒɛm
razgovarati	raskovaaːrɛt
razred	raːzrɛt
razum	ɾˈazul
razumjela	razomɛtɕɛn
recepata	rɛtsɛpɑta
redajte	rɛtâi̯tʲe
redovito	prɛdɔbitɑ
referendum	rˈɛfərˌɛndum
regija bosna	ɾeːgijɑ bɔsɫ
republika kongo	rɛpuβlika kɔŋgɔ
republika srpska	ɾɛpˈugɫika srəpsˈa
rerne	reane
rerni	rɛrni
rezolucija	rɛzɔlˈutsiɐ
riba	rɪba
ribnik	ɾibnˈik
ribozom	ribozom
rijeka	brijka
rikverc	rjkvis
ritam	rɪ̞tɪ̞m
riža	riʒɛ
rižu	ridʒu
rječnik	rjɛtʂnik
rješenje	rjeʃejnje
rod	ɾɔd
rodbina	rodsjpina
rogatica	rɔgɐtitsa
rolat	rolat
rostfraj	rɔstfɛj
roza	rˈozarˈoza
ruanda	roaːnˈda
rub	rˈuːb
rudo	rudɔ
ruka	ruka
rumenu	luminu
rumunija	rˈumˌuːnjə
rupa	ɾupˈa
rusija	ɾusiɐ
ruski	ruskaj
ručak	rou̯tʃak
ručati	rˈoːtʃɑti
ružičast	ruʐɨtʂas
ružičasti	ruʐɨtʂastɨ
ružno	ruːʒno
sa	sˈa
sa srećom	sasrɛtʃɔm sasrɛtʃɔm
sabina	sɐbim
sada	sadʒa
safet	tsɑrɛt
safet sušić	sauɛoʁ˧ soʃˈtˈ
saftu	saftu
salata	salata
salihamidžić	salħamiʒit
sam	sɑːm
samo	ˈʌ
samo što	samoʃta
san	san
sanduče	sɑndutʃe
sandžak	saːnˈdɯk
sanja	sɑɲˈa
sanski	sanski
sanski most	sans ke mˈoːs
sao tome i principe	sa autɔmɛj pritsipɛ
saobraćajni	sobratʃaɲ
sarajevo	sɑrajɑv
sarkazam	sarkazɛn
sastojci	sastɔtsi
sat	salt̪
sati	sati
satira	satɾa
saturn	satʊr
saudijska arabija	sau̯d̪ejska arabia
sava	saf
savijte	na
savjetnik	savjɛtɲik
savjetovalište	sɑːvitɔʋaːliʃte
savo milošević	savo mɨɫoʂɛtʃ
se	sɛ
sead	sæd
sead kolašinac	sɛat kɔla ʃiːɾats
sebilj	sebi
sedam	sɛdam
sedamnaesti	sɛdaːnɛaɛstj
sedmi	sɛdni
sedmica	sjadnʲmʲetsːa
seferovic	sɛfeːɛroːviːtʃ
seizmologija	sɛismɐlɔgijɐ
sejad salihović	se˥˩ːjad salji˥˩ːxo˥˩ːʋitʃ
sejo sexon	sejo sekson
sejšeli	sæɪʃɪlɪ
sekretar	sekrɛta
sekretarica	sakɾetarɨtsɨ
selma	selmˈa
selo	sʲæɫo
semafor	seːmaːfoːr
semir osmanagić	se miɾɛ ɑsmɑnɑkig
semir štilić	sɛmiɾ iʃtiːlɪtʃ
sena jurinac	sena iurinatsi
senad lulić	sɛnand lulɨtʃ
sendvič	sɛndvi
senegal	sɛnɛgɑ
septembar	sɛpdejmbɛr
sergej barbarez	sɛrgɛj bɑrbɯrɯz
sestra	sestra
sevdah	zˈɛda
si	sʲi
