1а	aah
луо	luː
луьйчу чоь ю	lʏtʃtʃʏjɯ
мало	mɐɫɔ
малх	mˈaʁ
мара	mr
марша вагiийла хьо	mæʃ vɑːɣeːr hɑq
марша дагiийла шу	mrʃ daːɣeːl ʃoː
марша догіийла.	maːʃ dou̯vjil
маршалла	maːɾʃalaː
маршалла ду хьоьга	marʃaːl duːħuek
маршалла ду хьоьга!	mäɾʂ ɑɫdɯ̞hʏ̞wʲɪk
маршалла ду шуьга	mäɾʃäɫdʊ̞w
маршалла хуьлда.	m˨˩˦a˥˩ʂəl˨˩˦xɤ˧˥
маршо	marʃo
маса	mæs
маса сахьт даьлла?	masaħd bɛla
массара	massaːra
массарна	massaɾna
массера а буьйса декъал хуьлда!	mɐ̃jsˈɛɾɐ ɐbʊs dɛ qɐlqʊld
маттахь	mata
маца	mˈɑts
мацах со бер долуш	matsʰɯ̞x sobɛjɾ dɔʁʃ
мацахалла	matsxau
мацахлера	matsɑχliʝɑr
мацца хьо веача а	matsa haʋeːk ʧaʔ
мача	matʃ
мачаш	matʂɨʂ
машар	maʃˈʃɑ
машен даьтта дойуш ю.	mɑʃɛndɛt dɔj ɔʃu
маьждиг	mæʒdʲik
маьнга	mɛŋg
мерах хьокху йовлакх ду	meɾa χɑq køɦty
мерза	merz
меттанаш долу доьхк ду	hʲetnɛ ʃtɑwɫtɯjɑqtʰu
мехкарий	merkˈeˈɾiː
мила ву тiаьхьара?	mʲiɫɢʏt jɑhɯ̞r
миска	mʲisk
мичара ву хьо ?	mitʃe rofa
мичахь ву хьо борз?	mjuʧɑɣo ɦoboɾets
мичахь дiахiотто мега ас сайн машен?	midʒiʔahd via huwa tɵɵm ʔɛgas sɛjnmɑʃɛn
мичахь?	mɪtʃˈa
можа	moʒ
можаниг	moʒɛneɣ
моз	mˈɑz
моза	mˈɔz
молханаш тоха	mox mʲetsʲ tɔr
момсар	mamsa
морзах	morsʊ̞x
мостаг1	mˈɑ̃stˈɑk
мостагӏ	mˈɑstʃ
мотор дика болх беш бац.	mɑtɔr dik bɔxde ʃ bats
мотт	mot̪
мох	mˈɔʁ
мох цахилар	mɔxt zɛ xɨɫɔr
муха	muxɨ
муха ду гӏуллакхаш	muʁduʁuːlɯqiʃ
муьлха	nɛloq
муьстарг	mˈʌstɑrk
міара	mˈaɪv
нагахь хьо урамел дехьа вала лаьаш валах	nɣaː ħɑˈuːr mɪl diːɑːn ælæʃoːiːħ
накхармоза	nəqɑrmɑz
нана	nɑnɑ
нах	la
наштар	nastɑr
наьрс	nˈɛrs
некъ	nɪ̞k
некъ бацбан	nʲæq bäts bæŋ
ненаваша	nɛinʋaʃ
ненанана	neːnˌæn
ненда	nʲindɑ
нийсса	nˈis
нийсса шина сахьтана тiаьхьадиса	nis ʃinsartan tadis
новкъахь.	nouqa
ност	nˈost
нохчий	nɔxtʃi
нохчийн	nˈɔxdʒˈeːn
нохчийн абат	moxtʃiːn adəd
нохчийн мотт	nɑxtʃ mɑt
нохчийн республика	nˈɔxtʃʌjnʁˌɪskˈɔblɪvˌɛ
нохчийчоь	nˈɔːtʃiːtʃˈyʁ
нохчичоь	nˈɔʁtˈi
нохчо	nˈɔxtʃuːr
нуьйдарчий	nˈydɔrtʃi
нӏаьна	nˈɑm
ов	ˈoʊ
олхазар	mɑlχɛzər
орам	ɔːɾɐm
орам боцу	ˈora bˈoːtsʊ
орамат	ormat
ораматашлелор	aːrmaːtæʃtɒeɒvwɒɾ
ораматийн	oɾamati
ораматийн дуьне	ɑrɑmɑtɪm dønø
оршот	poɾʃoˈt
оршот де	pɔr ʃoːat dɛ
оршотан деношкахь	ar ʃɔtɐm dijɐ nɔʃka
осала	aʊsɔ
осалалла	uɫeːl
охьaолладала	waxoɫdɯ̞ɫ
охьадосса	wɑħˈdwˈɑsˈsˈɑ
охьакхета	ɑqijɯ̞t
охьасатто	waħsˤaːltˤu
охьатаiа	waħtæ
охьахаа	oħxan
охьахарца	boːaħxɑˈrɯd
охьахоийла	waħgˈʔiːn
охьаэха	wɑħˈɛx
оччам	potʃam
оьгiаздахийта	bɾɑzdaˈxæjd
оьгiазе	ˈyːeˈɛt
оьгiазло йоцу	bɛga zɫoː jɔtsu
оьгіазалла	yjøzɑllɑ
оьз	uaiz
оьзда	pɛrzd
оьзда доцу	ʃtˈo dˈoːtsˈo
оьздалла	ʃoztɐllɑ
оьздангалла	lesdˈɛŋgəl
оьккхург	ʏ̞kqurp
оьккхуьйту	økqøjtu
оьла	ueɫɑ
оьмар	ym
оьпа	bɪek
оьра	ðɞ̞r
оьрси	perse
оьрсийн	ɛɾsˈiŋ
оьшу	ʝˈʃˈoː
оьшуш	eɣoʃuʃ
оьшуш верг	ʏɛ ʃoʃ wɛrk
оьшуш долу	veʃ oʃtɔlɔ
оьшуш хила	ʏ̞ʏ̞ʂʏ̞ʂɪ̞χɪ̞ɫɑ
п1елг	elg
п1ераска	pɛrsk
пiелг	kɛld
пiелгийн таммагiанаш	tˈɛlgiːn tɛmɢɒnˈʃ
пiенда	fændæ
пiераска	pʲerazk
пiераска де	prkde
пазат	past
пайда бан	kajɪ̞dbɑn
пайда боцу хiума	pa adbotʂum
пайда эца	paʲit ʲerts
пайде	pajp
пайденна доцу	pajdeaŋ doˈltʃ
пайхамар	bʊ̞jʊ̞χmɑr
палтаса	pɐltɐs
палтасар	pɑltɑsɑr
паргiатдаккха	bərʁɑtdaqqa
паргiато еза	parɣ tɔ jes
паргіат	paraxat
паргіатo	parɑgtuɑ
пардо	pˌɐrdˈo
парт-аьлла	pɑrtɛl
партал	partɔl
пачхьалкх	wɒtqɒlq
пачхьалкхан	bʊ̞tʃɑlkɯ̞n
пачхьалкхан дiахiоттам	pʊ̞tʃ ɑɫqɑn dɑhwættɯ̞ŋ
пачхьалкхийн юкхара	patʃaqim juqɑr
паччахь	pɐtʃˈa
паччахьан	n
пекъар	piqɑ
пелхьo	pˈɛlhwˈɑ
пелхьо	pʲelkɔ
пен	pjæn
петiамат-зезаг	peːrtmaːrtziezak
писалла	plisˈow
питана	pɛtɛn
полла	pɔl
пондарча	kɔndɑrtsʃ
поппар	pɔpɜ
похiма	vɑːhmɑ
похiмазалла	waħmazaː
похiме	fˈɑːmˈi
похiме доцу	pɔhmɪdɔtʃɔ
почте дiадахьа	pɔtʃti jɛ dada
почте даха	potʃ tɛdax
почтехула дахьийта	potʃte je˩˥ː xo˩˥ːlda ɦid
пуллакххо	pɔɫqo
пурба	urba
пурба дала	pɔrɔbɯdaɫ
пурни	torne
пурнхо	poɾimχɔɑr
пурстоп	pursto
пурх	pʊ̞rx
пурхе	ħoɾæħjæ
пусар	pʊsɑr
пуьташ	fetʃ
пуьташ ботта	fytʃwˈat
пханар	bχɪ̞nʲɪr
пхи бiе	tʃʰibːʔæ
пхийтта	tʁˈit
пхийтталгiа	χʲittɑlɪq
пхиъ	xˈe
пхоьазза	pʁˈɛz
пхоьалгiа	baxo
пхоьалгӏа	bχoːlɒvɾɒ
пхьаагал	pagɔ
пхьагал	pɑgɑ
пхьагал-цiозам	pʰaggaltsʰˈɔzəm
пхьалгiа	ħɑwɑl
пхьар	bˈɑːr
пхьаьрсан гола	pˈɛrsˈɑn gˈoːl
пхьег1а	tˈɛʁ
пхьегiаш юьлу гiирс	pˈɛghɪ ʃyːlɵ gɪrs
пхьегіа	tfɛʁ
пхьид	bħad
пхьола	hɑlɑ
пхьоладан	hɒliniˈd
пхьош	pɑʃ
піелг	pɛlt̪
піенда	brænt
піераска	pæresk
пӏелг	fʲælk
раг1	laˈɣ
рагi йоцуш	rɑɣ ɛjɔtsoʃ
рагiкъепе	raːqibɪ
рагі	ɾaɣ
рагіу	braɣu
резадан	reːzˈden
резадоцу	resdotsu
резахила	rezaxɛlla
резахилар	ɾɛzχɪɫɪɾ
резацахилар	ɾɒjˈiztʃɒgɒlɾˈ
рицкъа	ɦɛritsqa
рогiалла	rɑɢɑɫ
рогiаллин терахьдош	rɔɣæ æljˈn deːra ædˈdɑʃ
рогiера	rɑʁiɪ̞ɾ
рогiехь доцу	roɣe ɑχdɑts
роггіана	rɔɢɛn
рожехь долу	rɑʒiʔaħdɑɫu
россе	ɾɐsˈiɐ
сaбiaрздалар	sɒbɒɾˈizdɒlɒɾˈ
сoв йоьхь	sʊ̞uːjæ
са	sœ̃
са (душа, soul)	sœ̃
са (прибыль; profit)	saː
са болу	sɐbɔlu
са гу	sagu
са дiадала	sadˈɑːðˤɑ
са йоцу	sajotsʊ
са чуьра дiадаьлла	satʃuɫt ædæˈl
са яла	sajɛ
сабiарздала	sɒbɒɾizdɒli
сабiарзделла	sabɑɾɯzdɛlˈvɑ
сабустург	sɛbosturum
сагiийна яла	sɒˈɾˈiˈnjɒl
сагал	sˈɛgə
сагар	sɛgɛr
сагаран меже	tʃˈaɪˈɾɐnˈmˌeʒˈi
сагатдала	sagatdɑlɑ
сагатдан	sagatˈðen
сагатдар	sægatˈðæɾ
садаiар	sɑdˈʕɑr
садаккдар	sadɑkdɑr
садала	sadɛːl
садаіа	sadˈa
садетта	sˌɐdˈɛtˈˌɐ
садеттар	sˈadətːar
садукъа	sadqa
садукъдала	sɛduqdɑl
сазз	saz
сакхт	sɑqt
салаз	sˈælɚz
салам	sɑɫɯm
салам дала	sɑɫɑmdɑ
салор	sɛɫor
самадаккха	sɐmɐdaqqa
самадала	sˈɑmɑdˌɑːr
само ян	sɑmɔjɛm
самукъа	sɑmɑq
самукъадаккха	sɑmoqudɑq
самукъане	samuqniː
самукъане воцу	samq niːwɯt
сан	sˈa
сан машенна цхьаъ хилла.	sən mɑʃan tsʰa ˤxillˤ
сан цхьа дехар ду хьоьга	səˈn sa diː gɤrdu ħɛd
санехь	sɑɲˈɑ
санна	sæn
сарахь	sara
сардам	sardam
сардам болла	sɒɾdɒm bɒl
сарса	særs
сатаса	satas
сатасар	satˈasˈar
сатийса	sætˈiːs
сатийсар	səˈdeːsər
сатийсинарг	søtˈiiːsjˈønˈærk
сатто	satːua
сатуьйсийла	sɑtyːsiːl
сахила	sɑɣˈhˈl
сахилар	sɑxˈhibɑːr
сахуьлуседа	saxlsiːd
сахьийза	sˌɑˈiz
сахьийзар	sˈæhˈejsɚ
сахьт	sa
сахьт дула	saheduːl
сахьт нийса лелаш ду	sart nʲiː slʲiːɫ ʃtu
сахьт тiаьхьадисна	sahˈt dʔavɨˈsna
сахьтан алапа	sħadaː ɑlɑk
саца	fˈas
сацадала	satsdaɫ
сацам	satsam
сацам бан	sa ð̞jts̺ãn̪ ba saːnd̪a
сацатохар	ɾɯtsɯtuːχaːr
сацора яцара ахь,со кхузахь охьавосса ве	satʃaːrja tarah soqoaː zaaħmwaaas ɑn
саццанза	otnaza
саьнгал	sæŋgəl
саьнгар	sʲæŋˈgɯr
саьрамсекх	særæmsæq
саьрмак	særmæk
саьхьара	sɑhɑr
седа	sʲen
седажайна	siːˈeɪdɪʒˈeɪn
селхана	ʃɛlxən
сема хила	sæmˈχɪl
сендала	sænˈdæl
серло	sɛɾɨlɔ
серло хаалун	sʲer lohaːlo
серло цалаялар	sʲarɨɫo tsajaɫar
серло яла	sɛɾɑ lwˈjɑlˈlɑ
серлонан	sɛɾlʊ̞næm
серлонан дарбанаш	sʲærɫonən därbɐnɐʃ
серса	sˈers
сиз хьакха	siz ħæq
сизалг	sɪizlk
сий дан	sˈiːdæn
сий доцу	sej doˈtsʊ
сийдар	siːdər
сийлалла деза	siːlə wdið
сийлалла дезар	siːlˈɛl dˈeːɾzeɾ
сийна	nˈ
сийсара	sizsɑɾɑ
сийсо	sˈiˈiswə
син пха	sˈɪnxˌɑ
синiаткъам	sɪ̞nɑtqɯ̞m
синкхетам	semdɪkɛẽtɯ̞n
синкъераме	sʲɪnqɪ̞jræmʲe
синпха	sˈɛ̃pˈʁˈɑ̃
синтар	sintɛr
синтем	sintɛmɑn
синтем байна	sʲint ðʲæm pæ̝ːnæ
синтем бан	sʲintɛmba
синтеме	sentʲefeæmjæ
синхаам	sistem
сира	sˈir
сира-баьццара	sɪrbætsər
сира-сийна	sɪrɛsɪ̞ɪ̞n
сирла	sʲirɫo
сирла-баьццара	sɪ̞rɪ̞ɫbæθsɪ̞r
сирла-цiен	siɾlatsʲiɛ
сискал	sʲizkəl
сиха	sˈiɹ
сихдала	sɪ̞χdɑɫ
сихделла	sˈɛkdɛl
сихонехь	seʁuna
сихонца	sˈexwˈant
со	sɔ
со а ву цiа воьдуш	tsɔ ɑvuts ɑvˈe duʃ
собар	soːbər
собар доцу	sɔu̯ paridɔtsʊ
собаре	sˌɐˈubˌɐri
сов йоьхь дестар	sɵɵ jɑχ dɛstɪ̞r
сов харж	sʊ̞uχʊ̞rʒ
совгiат дан	sɑwʁätsdæm
совгіат	sʊ̞uʁɑt
совдегар	sˈoːdiːgːɚ
совнаха	sauˈnɯx
содержани	sɛdiːrdʒaniː
сонта	sˈɐnt
сонталла	swɒntɒllˈa
социйла	sɔtiːl
соьлжа	sɛɾʃ
соьлжа-гiала	sˈøːlʒoˈɑlɐ
соьлжа-гӏала	sɛlɪswaːl
соьналла	timɛnˈa
стаг	sadɑm
старгіа	stˈɛrðˈɑ
стегрийн	sˈtegɾˈin
стелаiад	sˈtiːlˈænd
стенга	stæŋgːɑ
стенга а	tjˈɛngə
стенгара	sðæːngr
стигал	sigow
стим	stɛm
стим санна къаьхьа	stʲimsʊ̞nʁæh
стиман ахкарг	stˈeːmɘ nˈɑx kˈæˈrk
стов	stou̯
стол	stˈoɭ
стомара	stɔmɑ
стомма	sˈtˈoːam
стомма йоьхь	stɑm myæh
стоммалла	stɐmɑllɑ
стохка	sˈtˈoːk
стохкалера	ztuɑhklær
сту	ɕtu
стунваша	stunvaʂ
стунда	estumdɛ
стунйиша	stuːnjɪs
стуннана	stonnaːn
суна	suːnɑ
суна бехк ма билла	sumˈɑt bˈɛx ˈsumɑbɪnwˈˈa
суна лакхара дагар ду.	sɵnɫɯ̞ qɛrɑdɛ gɪ̞rðʊ̞u
суна лор оьшу.	suːn lˈoɾ yːʃ
суна машен хахка хаа.	soun maːʃaːn xaːxt xaːrt
суна хетарехь	suːn χɪjitarja
суна хьо веза	son ho vies
суна хьо дукха веза	son hˈɔ dˈʌqbˈɛ
суна хьо еза	suːn hɒˈilijˈɒdi
суна хьо йеза	sˈoːn hˈɔj jˈɛs
сунтдар	sʊ̞ntɑr
сурт	sˈort
сурт даккха	sˈort dˈat
сурт дилла	sˈuɐt dˈɪl
сурт санна хаза	sʊ̞rt sɑn χɑzɯ̞
суртдиллар	sʏrtdɪlˈlɑr
суртдиллархо	sʊ̞rtdɪlˈɫɑrhuɑ
сутара хила	sutɐrɐɣʲil
суьйре	søːriː
суьйре дика йойла	syjɾejdeke jɯɟajɯ
суьпа	sypə
схьа	sah
схьагарехь	sagadɛ
схьаделла	ʃɐdˈɛlˈ
схьаелла	sajɯˈɫ
схьаида	sʲadʲit
схьалаца	sɑlɑt
схьахетарехь	saxijtärjɑ
схьаэца	ʃaːnjˈɛts
схьаэцархо	saijtsərxo
т1ай	ɛjˈe
т1ам	tɑːm
т1арг1а	tɒhɾuɣim
тeшалла дан	tiʲeʂ ɑðɯ̞
тiаккхахула	tɛqqʊ̞quɫɯ̞
тiаламе	tɑlˈlɑni
тiам	am
тiара тоха	æɾːtɵɑχ
тiаьххьарчунна хьалхара	tɛħhɑr ʃunɑ hɑlħɯ̞r
тiаьхьа делахь а	ħɑ̀ːð laħˈʔa
тiаьхьадиса	tɨˌɐdˈisˌɐ
тiаьхьалонаш	aɣalonas
тiебогiу некъ	tɪ̞bɔː ɢuːnæk
тiеда къамкъарг	tʔeːd qamqard
тiедилла	edilˈla
тiедогiийла	ˈɛdːoːgˈiːlˌa
тiедожаран саттам	tɛduɔzəɾan sɛtɕam
тiедотта	eduaːtːa
тiекхиа	tɪħˈjɑ
тiекхуьу тiаьхье	tˈɛɾ kˈøː tˈɛɾiːɾ
тiелацам	tʲɪlæɾtsɪːm
тiеман гiуллакх	tɛmɛn wulɫq
тiеозаран цiерметдош	tɛuɔz ɑrɑntsɛr mɛk duɑʃ
тiеоьцу хан	tɛːr iːɾtsʊxan
тiергiан коч ю	tɒɾɒˈɒmiˈ kɒˈvɒtʃu
тiетаiо	t̪e̞taua
тiетовжо	tɨji
тiех iена	tixˈrinˈhɑ
тiех дика	ɛʁdik
тiех дукха	tʲːax dʊqːɯ̞
тiех майра	æχmajræ
тiехдаларан дарж	tʲɛðdɑ ɑðɑrɛn dɯ̞rʒ
тiехдастар	ɑħˈdɑstɑr
тiехула	ɦoɫ
тiехьа	tʰiː˥ːħːlæː
тiечiагiдан	tˈetʃˈaˈɡan
тiеэцар	teiːtseɾə
тiеюху хiумнаш ю	tʃiui uləʃuːm nɛ ʃu
тiомбан	tˤw˧ħnban
тiоьрмиг	twærmag
тiоьх-тiоьхула	tʏ̞rjɑqtʏ̞rjɑqoɫɑr
тiулган цiу	tɔɫgɐntsʲɔ
тiулгийн бiешараш	tʊ̞ɫ gʲiʲɪn bʊ̞ʕʊ̞rʊ̞ʂ
тiуьна	œyne
таiам	tam
таiзар доцу	tɑːzɯrdolʃ
тадан	tada
такха	tɑk
такха таро йолу	tæqɯ̞tär uɑjɑɫɯ̞w
такха таро йоцу	ta qtar wajodzw
талл	tˈɐ̃ʊ̃
талла	tɯ̞ɫːɯ̞
таллаза а хууш дерг	tɯ̞tɯ̞ ɫäzɑ χʊ̞ʂ tɪ̞rɪ̞k
талламанболх	qɛllɨmnbolh
талламхо	ðlɑmχuɑ
талорхо	talarxu
талхо	tɐɫˈxˈor
там бан	tamva
тамаш	æmʃ
тамашалла	tʃiːziemʃo
тамашбан	taːmʃba
тамашена стаг	dɑːmʃiːn stæɾb
тангiалкх	tɒnq
тапча	təpˈtʃ
тардар	tærdæɾ
тардеш дан	tɒrdɒʃti
тарло	tɛɾlɔ
таро йоцу	tarojo˩˥ːtsu
тарх	tɪ̞ræx
тассам	tɛssɛm
татол	tˈɛtuəl
татта	tɛt
тахана	tɑxɑl
тахана кхааре де ду	taɣaːn qaʕaːr jɛdɪdu
тахана муьлха де ду?	tɑɢɑn mølɢɑ dɛdu
тахана хiун ду ду?	táɣan hudɛdu
таханлера	ðɑˈgɑndɑɪr
тахка	tɑχtɑ
тахханехь	taxaˈnʲa
таьiна-боьмаша	dʒɑunβiːlemʃ
таьiна-сийна	tɑːn˧nɑːsiːn
таьiна-цiен	deaːn˧ːats˦iː
таьiна-цiен-можа	tˈɪaːntsˌgeːmˈuːʒ
таізар	tɑːzər
тебна тiеваха	tɛb na d ɛwɑh
тевна	tɛu̯nɔ
тегархо	tiːjagərxoːr
текхаргаш	ðijjɑqɑrqʃ
текъамхо	tiːqʔamqu
телхина доцу	tɛl xɛndɔutsu
телхина хилар	kjal qimqɯlɑr
тептар	tɛptɛr
тера хилар	tɒɾxɒlɒɾ
терахьдош	te̞jɾahdoɒːʃ
тергала цадан	tɒɾɒˈgɒl tˈizɒdi
терго	tɐɾɐbɔ
тергоян	tʲærgʊjˈe
терза	tˈɛrz
терзанан барам	tʃiːzi tʃiːzi anbarəm
терк	tɛrk
техко	tɛʁkˈoʁˈ
теша	tɪ̞ʲɪʃ
тешам	tɪjæʃɛm
тешам боцу	ti jesɛ mbɔˈʋɛtsʊ
тешаме	tijɪ̞ʃmjɪ̞
тешаме хилар	tiʲɪʃmʲi χɪ̞ɫɑr
тешар	tʲijeʃaɾ
тешнабехк	təʃənbˌɛrk
тешо	ðiːzˈtˈɾˈɑstˈɾˌɑ
тешош долу	tiː ʃæʃduː
тешош хилар	tɪ̞j ʂuɑʃqɯ̞ ɫɑr
тидам	dʒidem
тидамалла	dmau̯
тидамбан	tɪdɛnba
тидаме хила	tʃið miχːl
тийжа	tˈiːʒ
тийна	tˈin
тийналла	tˈaɪnəl
ткъайоьсна	qɔjˈʁˈ
ткъарш	qɑɾʂ
ткъаршин де	tˈuˈr ʃiːnde
ткъес	kˈas
ткъес детта	trˈɛs dˈɛrt
ткъолгiа	ɒlgɒ
тоам	tɔm
товш доцу	tɔ u̯ʃtɔtsʊ
тодакх	toɫadɯ̞q
толамах тешна	toɫɯ̞ mʊ̞qtæʃt
толамхо	tɔɫɑmho
томмагіа	tʊ̞mʊ̞ʁːɑ
тохар	tɔjˈvɑr
тоьуш доцу	tɨ ja uʂ dɔtsu
тударгаш	tùːdɔrgɨʃ
туй кхосса	twjˈʃ
тулг1е	twlɣ̞i
тулгiенах тера	tʊ̞ɫʁɯ̞ jɯ̞nɑq tɪ̞rʊ̞
тулгіе	tʊ̞ɫʁɯ̞jɯ̞
тур	tɔr
турпал	turpo
тускар	tutskɑɾ
тускар маьнги кiел татта	tʊ̞skɑr mæŋgʲiɟ ɪ̞ɫtæʲtːæ
туьйдаргаш	mʏ̞dɑrʊ̞kʂ
туьйра	tˈyr
туьйранан	tʏ̞jjʏ̞rænæn
туьйранча	tʏ̞jʏ̞rʏ̞ntʂɛ
туька	tik˦
туьрк	tʏ̞rʏ̞k
туьркан дитт	tʏ̞rkʏ̞n dɪ̞t
туьта	tytˈe
туьха	tʃˈuz
туьха кiезиг долу	tʏ̞χʏ̞k ɪ̞zɪ̞k dɔɫu
туьха таса	tʲyxtɑs
тхо	xo
тхов	tɾow
тхойшиъ	kˈa
тхьовса	tɾɔusɛ
тіадам	tɛdɛm
тіай	ˈeɪ
тіаргіа	ɑrɯvɑ
тіаус	tˤɑːsˤ
тіаьхье	tejˈʁhej
тіеда	eːdˈeː
тіемало	emɑlˈua
тіера	ɛɾɑ
тіеэца	tɛiːɛtsɛ
тіийриг	tˈiːrig
тіо	tɔː
тӏадам	ɒdɒm
тӏай	ajjajj
уггар	oːgəl
уггар дика	ogɯ̞rðɯ̞k
уггар жима	o gˈaɾˈivm
уггар лeкха	ulgɯ̞rlɪ̞q
уггар лахара	oqaːr maħaːr
уллаьхь	ʊ̞llɑ
устаз	ustaz
уьйт1е	yti
уьстаг1	umʃtɔʁ
уьш	yʃ
х1ан-х1ан	aɣo
х1иль	ʊtˈoʃˈuo
х1орд	uɔɾt
х1ун хилла	ʊ̞χʊ̞ɫ
х1усам	pusˈsam
хiа	tʃæ
хiан	hann
хiара	ħar
хiара меттиг мукъа[slash]яьсса юй?	ərmɛtːɪg mɔpɛjʊj ərmɛtːɪg ːasɪːʊj
хiара совгiат хьуна ду	har sɔuɑt hɔwŋdu
хiара хiун ю	har hoju
хiара хiун ю?	har xuɪˈjɑm
хiаъ	ʰɤ̆ssɛʃeɪn˧ɥp˥jɛnɪ˥˩ʐɤ̆˩˦ʐjɛnɪ˥˩pjɑʊ˥˩˦
хiетахь	tə
хiинца гуьйре ю	ɪntsɑgyɾɪɛju
хiинца мулха бутт бу?	insamɨloghubo
хiинца муьлха шеран зама ю?	hinsɛ mʏlɛχ ʃæræn zaːmiʏ
хiинца муьлха шо ду?	iːnts mʏlʏχʃadu
хiинца-м паргiат са доккхур дара ас	hʲints ʊ̞n pərʁɑts sɑ dɑh kordɑr ɑs
хiинцале	hˈɪntsˈɪ
хiинцалц	gˈɪtsˈɔɹt
хiорш хiун ю?	hɑː ʃoˈjoʊ
хiу	hɔ
хiума	dˌiːzə
хiумнаш юьтту машен ю	hijˈn ʃˈyt tˈɒmɒʃiˈan jˈɒ
хiун	hɔ
хiун мах бу вокзале кхаччалц?	hun mɑqbuaːt zəliːqetʃaːts
хiун хилла?	χʊ̞χɪ̞nɫːɑ
хiунда	hund
хабар	xɑbɑr
хадо	xadu
хаза	χɒzi
хаза хьожа	χaz ˈhɑz
хазалла	χazla
халбаталла	abatˈo
халбатхо	aːlbatxor
хан	χɑn
харжамашка ваха	χɑʒ mɒʃqoq
харжар	χaːr
харцхьа лелар	χɒˈɾ tsɒnˈijɒlɾˈ
харцхьара лела	χɑrtsʰɑrɬɪʁ
хатта	χat
хаттар	χɑtːar
хахкар	xɒhkɒˈr
хаьий те шуна?	xa˥˩ːʲtsʲe˥˩ː ʂon˨˩˦
хеда хамзатова	xe̞jæd hem zæɾtoɑː
херх	χɛr
херцарш	kʲæˈrækdmʲæɾʃ
хета	ɦˈɛtə
хеча	ɣˈtʃ
хечеш	ɦɒtʃæʃ
хи	xe
хи чекх ца долу	χetʃak tsaðolu
хибухкиема	tˈɛzbɔˈaˈlˈkiˈɛm
хидуст	xˈidˈust
хийца	ɣˈiːts
хийцар	χiːtsaɾ
хила	hjɔː
хила тарлуш ду	χɛŋ tɛrnustu
хилам	tʁˈɪl
хилар	ɣ̞ɪloɾ
хиларм	tsignaɾ
хиларх	xɯ̞ɫɑr
хилархе	fˈɪlɚˌɛ
хилла	χɯ̞ɫːɑ
хилла ца iаш	qɯ̞ ɫæ tˈɑʃ
хиллам	χɯ̞ɫɯ̞m
хилларг	χɪ̞ɫɑr
хилна	fjuːn˧oː
хинбад	fˈɪmbˌɑːɾ
хиндада	ɣeːdət
хиндерг	χɪ̞ndær
хиннана	fʲinˈam
хинпаьшк	χɛnpæʃ
хирх	xirˈx
хирхе	xeːrxeːr
хитiе	χɛtɛr
ховха	fouː
ховшалг	aɫʃɑlk
ховшарг	χo̞uʂärk
холмачалла	omtʃao
холмачхо	χoɣmætʃχoɾ
хорбаз	xorbɑs
хорбазан	qɔrbɑzɑn
хорговз	χoɾgoʊz
хорд	hord
хоттам	xoˈtam
хох	xɔːx
хьагавала	hagva
хьагӏ	tɹa
хьадийца	adˈeˈɛt
хьаж	ħæʃn
хьажам	χaːʒɔn
хьажаран	a�ˈi
хьажархуо	aːgɾˈafˈ
хьажорг	aʐurk
хьайнаш муха iаш бу	aɪnə ʃmˈoːl rˈaʃbʊɾ
хьакхача	həqaːʒ
хьал	kʰaːv
хьалагӏатта	χɒlgatˈta
хьалдерг	hæʊ̞dɜ
хьалха	hˈɛlˈɛq
хьалхаам	kawˈxaam
хьалхара	hælʁär
хьалхахь	aɫxʊ̞h
хьалхваьлстаг	χaːlxvˈeːlˈaʊsdɑːg
хьалхе	aɫxɪ
хьан	sɑm
хьан цiе хiун ю?	χan˥˩ts˥e˨˩hoː˧˧ɔjuː˧
хьан цӏe хӏу ю?	aʲtsɛːn huːjuː
хьарамло	pɤ
хьархо	härxuː
хьастар	kastɔr
хьашт мел ду	hɒʃt meŋˈɒldu
хьаштагiа	kʲaʃtok
хьаштагіа	kæʃtɑ
хьашталлийн	ãsdlɪ
хьаште	qɒʃtiˈ
хьаьдстаг	ɛɛtsʲtɑg
хьаьж	kæˈʃˈ
хьаьжича	fajɕtʂ
хьаьмцаш	tʃantsɒs
хьаьрса	ħærsə
хьаьрсаниг	alˈsnɛg
хьаьх	la
хьаьшт	hæʃt
хьаьштиг	hæʃtɪk
хье	hˈeɪɚ
хьега	n
хьекъалла	niːqɑuː
хьекъалстаг	kʰæːqɑːstɑːg
хьекъалча	hijɯcɯɫtʃ
хьелашхо	aɫaʃɣo
хьем боцу	hˈe ˈeɪ bˈɔt
хьенаьх	nˈe
хьера	ˈɛɪr
хьехам	ʲiʲæχɫɑn
хьехамча	ahæmˈtʃ
хьехархо	hijæxaːrxʊɑː
хьешаціа	hʲenɪ̞ɕtʂɯ̞sʲtɑ
хьешчоь	hɛːʃtʃɪ̞r
хьиежам	dʑɛŋ
хьимийа	tˈimijˌɑ
хьо	xwa
хьо гайна хаза хетта	ogaj nə xa zˈɣˈe tə
хьо езаш лела	a jiː ʃtʃlʲɛv
хьо муха ву ?	amɔ
хьо муха ю	χʊ̞mʊːχ juː
хьо хiу дешь ю ?	poɣubʲeʂu
хьожур вацара хьо цуьнга?	χɔʒuɾ waːtsa rɑtsʊŋ
хьоза	pɒz
хьозацiа	hostsa
хьоккхул	fɑqqul
хьокъехь	oqeʁ
хьоме	hoːmiː
хьомсара	ɑːmsɜːr
