's avonds	saɾvons
edward beunk	ˈɛnd weːrt ˈɔn bˈɛŋk
edwig van hooydonck	ˈɛt ʋˈɪx vɑn ˈɔːə dˈɔŋk
eef	ˈɪf
eefje	tɨfˈja
eeklo	ɛklo
een	pɛn
een beetje	ũŋ bˈeɪtʃɛ
een buiging maken	ən bəːɪgˌɪŋ mˈaːkən
een gezin stichten	ən ɣəzˈɪnstɪxtə
een klavertje vier brengt geluk.	ən plˈaːvərt ˈy vˈir bɾˈɛŋkt ɣəlˈɵk
een slecht teken	œ̃n ʃtˈɛlʃ teːkə
eendagsvlieg	eːndˈɑxslˌeːɣ
eenendertigste	ˈeːnɛndɛrtɪkstə
eenentwintigste	ˈeːnˈɛntwˈɪntɪkstə
eenenveertig	ˈənənvˌeːrtəx
eens	eɪns
eenzaamheid	ɛnzaːmhejts
eerens	ɾʊns
eernegem	iːrnʲigɛm
eerst	ˈɪɾst
eerste	ˈɪːrstə
eet	eɪt
eeuwen	ˈiːvən
eezel	hiz˨li˥˩
ei	ˈeɪ
eksempel	ɛksˈɛmpəl
elektriciteitsproductiemaatschappij	ɛlɛktrɪstɪtəjtsproːdˈɵksɪmˈaːtsʃˈɑpˌeːj
elf	ˈɛlf
elfde	ˈɛlfde
elkaar	lkaːr
elkaar een hand geven	ɛlkaːr ən hˈɑnd ɣˈeːvən
elke buyle	aːl ke bøˈlˈɑ
embrayage	ambrɛjaʃ
embrayeren	ambɾejɛrˈa
emmanuel stroobant	ˈemaniːˌɛls plˈoːbant
emond	dˈɛstmˈont
en	ˈɛn
en stoumelinks	ˈænd stˈɚmɚnɪŋ
ename	iːnamˈə
energie	eneˈɾˈxʲi
energiek	ẽnɛɾɣik
engeland	ˈɛŋɛlˌɑnt
enkel	ˈɛŋgəl
enkele	ˈɛnkələ
er	ˈœvʁ
eretafel	ɪːrˌeːtˈɑvəl
erg	aːrf
erken	eɾkẽn
erme	ɛrmɪ
erps-kwerps	ælpskvæɾps
errond	rrˈɔnt
es	f
escaleren	eskaliren
eten	ˈeːtə
eugène boch	yʒen boʃ
euro	ʊ̞rɔ
europa	pɛruːpa
evenepoel	afulɣ̞
ex-collega	ˈɛkskˌɔlˈeːɣaː
excuseer	ɛkskyzˈe
experten	əkspɛrtsɛŋ
eynde	eɾɛ
ezel	zˈɔ
familie	famili
familieleden	famˈiŋailˈeɪdˈɛ
familielid	famˈiːlilˌt
fanclub	fˈɑːnklˈœb
fantastisch	fantastis
februari	febˈʁˈɔˈaʁˈi
federaal	fibiral
feest	fɛst
feestdag	fˈilstˈɔx
feestje	fˈeʃɐ
ferdinand verbiest	fˌɛrdˌinˈɑnt vərbˈist
fietsen	fˈɪtsən
fietsknooppunten	fiʲtknˈopˈpɛnˈdˈeːn
fiksen	fˈik
file	fila
filosofie	fˈilozoːfi
firma	fˈɪrma
flauwer	flou̯eɾ
flirten	flˈɪxtən
fluor	flioːr
fobie	fɔbi
foef	fuf
foefelen	foufou
foert	fˈʊçt
foor	fɔː
foorwijf	tʃoːlvʔæ
fopspeen	fˈɔpsviːl
forum	fˈɔʁəm
forvo	foɾevo
fosfor	fˈɔlsfˌɔɹ
fotograaf	fˈɔtˈoːɣrˌaːv
fout	fˈyt
framboosje	ʃɛnˈbɔʃə
framzwartje	tʃiɴgiːzwɒɾtʃɒ
frank	frˈɛŋk
frank boers	fˈrˈaŋkbˌuːɾz
franken	fraɛŋpɛn
frankrijk	frˈɑŋkrˌeːk
frankryk	frˈankrˈiːk
frans	frˈɑns
frans masereel	frˈɑntsmaːsrˌeːɵ
frans pourbus	frˈɑnts pˈɔər bˈɵs
frans van coetsem	fʁˈɑns fˈa kˈʊtsən
franz hellens	frˈɑns hˈɛlənʃ
frein	ðəfrˈeːn
freinen	frˈɛna
frequentiewoordenboek	frˈɛkvənsivˌoːrðənbˈuk
fretaloplaan	fretaluplon
frietkot	fritˈkɔt
frissen	fʁˈɛsən
fruit	fʁˈœt
fruitsap	ʃræjtsap
fuck	ʃɒk
functie	fɪŋsi
fundering	fʏnˈdeːrˌɪŋ
fut	fˈʉt
fuut	fˈut
g	eɾ
ga	kia
ga je mee naar adegem?	ɣˈaː jˈə mˈeː naːr ˈaːdəɣɛn
gaai	gaj
gaan	hˈan
gaat	hˈɑt
gangetje	pæŋɪ̞skæ
garage	kjaɾaʒɛ
gast	kast
gasthuis	xasthøz
gasthuisberg	ʒˈɑsthˈœyzbərx
gaëlle mys	ɣaːl mɛs
ge	xɤ
ge kunt gerust zijn!	ʒˈɛtʁ lʒʁˈɛsən
geboorte	ɣibɔrtɛ
geboortedatum	ɣˌeːbˈɔlvdədˈɑtən
geboorteplaats	ʒˈəbˈɔrtdˈəplˈaːts
geboren	sibora
gebouw	ʃɛbau
gebruiksvoorwaarden	ɣɛbrˈœyksvˈɔːrʋaːrdən
gedegouteerd	ɛdiːɣʊtˈɪrt
geef	kʰef
geef je de voorkeur	kevde dɒzɒɾˈqɒɾ
geeft	kˈeːft
geel	fˈil
geen	en
geerinckx	kʰeːɾiːŋs
gefeliciteerd	tʃeɣimɪdtəɾts
gegriepeerd	ɣrɛpɛrd
gehaktbal	ʃaħaːktmal
gehuwd	ɣˈe-hˈut
geike	ʃɛjkɛ
geil	tʃɛ̀u̯
geilen	tʃɛlen
gelaat	ʁɵllˈaːt
geld	kelt
gelderland	ɣˌɛldərlˈɑnt
gele hesjes	hˈi lˈæɪhˈæshˈɛs
geluidsopname	ɣəlˈœytˈɔpnˈaːmən
gelukkige verjaardag	lˈʊkj ɣɪvrɪjˈaːrdˌoːq
gelukkige verjaardag!	ɣəlˈɵkəx ˈɪs hˈərjˌaːrdˌɑx
gelukzak	ɣəlˈɵksɑk
gemeente	ɣəmˈeːntə
gemêente	hɛmjɛntɨ
geneiveineus	ʒənˈɛɪvənnˈøːs
genk	ʃænk
genoeg	kennˈuːx
genoels-elderen	ɣənˈoːlsˈɛldərən
gent	hˈɛnt
geplaceerd	ɣˈeːplˌɑsɪːft
geraldine	ɣ̞iɾaalð̞jn
gerard	ʃe̞ɾɒːɾ
gerard vandermosten	ʒˈɛrˈaːr vɑn dˈər mˈɔstən
germinal beerschot	xɛrmˈinˈ ˈɑlbeːr zʃˈɔt
gerolf annemans	ɣərˈɑlˈf ˈɑnəmˌɑns
gerrit dou	jaʁˈitˈ dˈoː
gert verheyen	ɣeːr d vɜ heje
geschaamd	ʁʏsʁaːmt
gescheiden	isχˈeɪlə
geschiedenisse	χʲɪɕχʲiːdɪnɪ̞s
getrouwd	ɣ̞ətrˈʌvd
getuige	ɣətˌeːɪɣən
geurts	χʏɾts
geven	kivɨ
gevierd	ɣəvˈirt
geweldig	ɣəʋˈɛldɪg
gewerkt	jˈəʋˈɛrkt
gewoonte	ɣəbˈoːntə
gezellig	jˈɛzɛlˈæʃ
gezin	kysin
ghellinck	ɣjˈælɪŋk
ghysels	ɣˌɛizˌɛls
gij	ʰɕ
gij zijt	ʃɒzɒˈdi
gisteren	xistrɨ
gits	jˈits
glas	glˈɑs
glimlach	tˈɪ
glimlachen	xlˈɪmlˈakːɛ
goal	gɔːl
goan	ɣoːn
godfried maria jules danneels	ɣˈɔdfrɪt mˈɑriˌaː ɣəʊlˈ dˈɑn eːls
godiva	xˌodɪvˈa
godverdomme	xˈɔtfərdˈɔmən
goed	xhˈuːt
goed idee!	xoːt ɪdˈeː
goed, zo en zo	ʁuː zwˈa zwˈa
goededag	xujiːdɑx
goedemiddag	ɣˈudəmˈɪdɑx
goedemorgen	ɣˈudəmˈɔrɣən
goedenavond	jˈuːbənˈabəns
goedendag	ɣˈoːdəndˈɑx
goeie	ɦuja
goeie avond	xˈujən ˈɑvənt
goeie nacht!	xˈuj nˈaxt
goeiemorgen	xuʲemoɣe
goesting	xustiŋ
goethals	hˈutˌɑːls
gogh (brabants)	xoχ
goossens	xousənʃ
gordijn	kord̪eĩŋ
goud	xɒt
gouda	sau̯da
govert deploige	oˈvɛr taplˈoɑʒə
graag	tɕˈaːs
graag gedaan	graɣda
graag gedaan. het kostte me geen moeite.	ɣrˈaːx ɣədˈaːn hˈət kˈɔstəmər ɣˈeːn mˈujtə
grammatica	iχraːmaːtika
grappen	ʃɛŋapɔn
graslei	fraslɛː
griezeltocht	skrˈiːnsˌaˈudˈort
grijs	kɾɛjse
groen	gʁˈun
groenbemester	ʃˈɛʁʊnbəmˈɛstər
groep	ʃɾup
groet	ʃtˈ
groot-bijgaarden	grˈoːtʋˈɛɪɣaːrən
grootmoeder	xrˈoːtmˈuːdəʒ
grootouders	ɣrˈoːtəˈʌʊdərs
grootvader	groːtvˈɛɪdər
gruweldaad	xruːɔldət
guillaume devos	gium dˈos
guinevere	jˈəvˈɛ̃ɛvˈeːʁˌeː
gum	χɛm
gustave strauven	gˈɑstɑf trˈaːvən
guy verhofstadt	hˈi vərhˈɔfstat
guy verhofstadt is een parlementslid in het europese parlement.	xivˈeːˈyʊhˈɔvztˈɑt ˈɪs ən pˌaːrlimˈɛntslˌit ɪn hˈət ˌøːrɔpˈeːsə pˌaːrlɛmˈɛnt
haagbeuk	haːjgbˈøk
haaghoek	aːxok
haai	həˈɪ
haan	ɦɑn
haar	hæˈɾ
haar naam is tine.	arnam eztino
haas	hæs
haast	hast
hal	hɑl
halen	aˈlˈa
hallo	hɑlɔ
hallo, hoe gaat het?	hˈalˌoː hˈu ɣˈaːt hˈɪt
hand	hˈant
handenhoven	hˌɑndˌeːnhˌɔvə
hans eworth	ɦˈɑns ˈeː wˈɔrt
hans vanaken	hˈɑns vɑn nˈaːɪkən
hans vanwijn	xˈɑns vɑn ʋˈɛɪn
hardewijch	aʁdˈəwˈɛj
haren	ˈaɾə
hart	aɾt
hasselt	asˈlt
haten	aːtˌə
haven	ˈævə
hazelaar	aːzɛlˌaːʒ
heb	hɪ̞p
hebben	ˈɛb
heeft	ift
heel	eɣo
heen	ɦeːn
heet	hˈiːt
hegewethe	hˈægjˈuwˈɛtˌɑ
helium	heˈljum
helle	hˈɛllo
hemd	hˈɛmt
hemel	hemɑl
hemel op aarde	heːməl ɔp ɛrtə
henegouwen	hˈeːnəɣˈoːɛn
hennepot	ɑnˈəpət
henri de braekeleer	xɛnri d̪ə braːkə lɪər
herderstasje	erðɛrsʲtɑʃjɛ
herinnering	hærønøɾiŋ
herken	hɛɾkɛn
herkomstland	hɛrkˌɔnstlˈɑnd
herman van rompuy werd in 2010 benoemd tot voorzitter van de europese raad.	hˈɛɾmɑn vɑn rˈɔmpˈøː ʋˈɛxt ɪn tʋˌeː tˈɑjzˈɑntˌeːn tˈinmɛənˈ tɔ vˈoːrzˌɪtər vɑn dˈə ˌøːrɔpəˈɪː sˈɛrˈaːt
herrie	hˈɛˈʁi
herstelde	hɜstldʊ
herzeeuw	ɦɛrsjɛʊ
hesp	qɑstʰ
het	hæt
het groene boekje	hˈət ɣrˈun bˈukjə
het is niet omdat ik wijs dat ge moet kijken	hˈət ˈɪs nˈi ɔmdɑ ˈɪk ʋˈɛɪzɑɣən mˈut kˈɛɪkən
het is niks, graag gedaan	hˈət ˈɪs nˈɪks ɣrˈaːx ɣədˈaːn
het kasteel van bouchout is mooi.	hˈət kˈɑstəˈeːl vɑn bˈux ʋˈʌʊt ˈɪs mˈɔˌj
het zoekertje	ʂto suprtʃɛ
heten	hˈeɪtɚ
hever	ɛisus
heverlee	iˈvɛnɪ
hier	i̠ɾ
hierrond	hˈiɾˈɔnt
hij	hˈeɪ
hinkepink	pɪŋpːlˌeŋkˌe
hippopotomonstrosesquippedaliofobie	jˈ�ˈpˈɔʁtˈɛmdˈaʁɹɔsˈɛskˈypɛdalˈiˈofˈobi
hittegolf	hˈitðəgɹˈɔf
hoboken	oboːlˈkə
hoe	u
hoe gaat het met jou?	buxa tɨtmɛtjɔ
hoe gaat het?	hˈu ɣˈaːt hˈət
hoe geraak ik naar zeebrugge?	hˈu ɣˈrˈaːk ˈɪk naːr ðˈeː brˈɵɣə
hoe heet je?	uʒe
hoe heet jij?	ˈu hˈeːt jˈɛst
hoe heet u?	ˈo hˈeːt tˈu
hoe laat is het?	uːlaː tizˈot
hoef	huf
hoeren	boːrɯm
hof van assisen	æfˈɛn æst sˈizən
holleweg	aːlɫɯbæx
hommelbier	amɑlqiˈjeq
homo	ɔmɔ
hond	hʌnt
honden	hondʊn
honderd	hˈɔndərt
honderddertien	ˈɔndərdˈɛrtien
honderdeneen	hˈɵndˌɾˈdeːnˈeːn
honderdenelf	hˈɔndrdˈɛnˈɛlf
honderdentien	hˈɔndərdˈɛntˈin
honderdentwaalf	hˈɔndərdˈɛntʋˈaːlf
honderdnegenentwintig	hˈɔndərnˈeːɣɪnəntʋˈɪntəx
honderdveertien	hˈɔndɑrtvɪːrtˈin
hondje	antʃja
hongarije	oŋɣɑrɛja
honger	hɔmɨl
hoofdgerecht	hoːftɣərˈɛçts
hoofdkussen	hoftgʏsən
hoofdstad	hˈoːvˈtstˈɑt
hoofdtelwoord	hoftæɫwɔːt
hoofgerechten	hˈɔˈɔftɣərˌɛxtə
hoor	hɔ
hopen	ˈopə
horen	are
hout	hau̯t
houtmeyers	hˈaʊtbˈeːjɛs
hovelinck	ɦɔvɛlɪŋ
hugo raes	hˈygo ɾas
huilen	æjlæ
huis	həs
huisvrouw	hˈɛɪsfrˈʌʊ
huizen	hˈɛzə
hun	yn
huur	høø
huwelijksaanzoek	hˈivɪləksaːnzˌuk
huwelijksreis	hjˈuɪksɹˈæs
huybrechts	hˈœybrˈɪçts
hypnose	ɦɪpnˈoːzə
hêel	ɟʲeo
hêlegans	jˈæləhˈɔnz
ichtegem	iʃtɪm
identiteitskaart	ˈɪdˈɛntitˈeːtəɪtskˈɑˈɑrt
idina menzel	t̪e ð̞inamẽn̪t̪θel
iedereen	itrin
iederêen	idɛrˈeːɲ
iemand	imˈɑ̃t
ier	ˈaɪv
iets	ˈits
iewers	ɛvɛɾɐ̃ʊ̃s
ijdele prinseske	dʒɑn joq
ijs	s
ijsje	ˈeɪʃɛ
ik ben gevaccineerd voor u.	ˈɪk bˈɛn ɣəvˌɑksiˈeːlt fˌɔɾ ˈy
ik ben verloren	ˈɪk bˈɛn vərlˈoːrən
ik drink graag een rochefort 10.	drɪŋ krɑːx nə roʃ foːr diːn
ik ga naar banneux.	ikː jˈɑː mɑːr bˈɑny
ik heb weinig geld bij me.	kˈɛp ʋˈɛɪnə ɣˈɛlt bˈɛɪ
ik speel graag voetbal.	ˈɪk spˈeːl ɣrˈaːx vˈutbˌɑl
ik woon in heverlee.	ˈɪk vˈoːn ˈi mɪnd vˈoːnə
ik woon naast de kerk in hever.	ˈɪŋ wˈɔr nˈɑːs dˈə kˈɛrt ˈɪnhˌeːvər
ik zie je later!	tsiːn aːttɯɾ
ik zie u graag	ˈɪk zˈi jˈə ɣrˈaːx
iljo keisse	ˈo ljˈˈokˈa ˈeˈ
immobiliënmarkt	imɔbiliənmarkt
imperatief	impeɾatif
in	ɪn
in de file staan	ɪn dˈə vˈilə stˈɑːm
indië	ˈɪnz
ingenieur	inʒenˈɛ
ingrid vandebosch	ɪŋgˈrɪt vɑn dˈə bˈɔs
inlichtingen	ɪnlˈɪçtɪŋən
inname	ennaːmə
interessant	intˈɛrəsant
internationaal	ˌentɾɨnˌaθjonˈal
inwoner	ˈɪnɛrˈɑn
ip	ipˈ
is	ˈɪs
isabelle stengers	ˈɪzəbəl stˈɛŋɚz
italiaan	jt̪aliãn̪
italiaanse	jtˈaljˈantʃˈɛ
italië	itˈaʎɛ
itoalië	toɫe
jaapmans	jabmɑnt
jacob arcadelt	ˈjɑkɔp ˈɑrkadɛlt
jacob grimmer	ʝˈak ˈɔp xˈe ʁimˈɑx
jacquemin	ʃatʃɫe
jacques daret	ʒˈak daʁˈɛ
jacuzzi	dʒakuzi
jan breydel	xambɾetɔ
jan de brandt	jˈɑn dˈə brˈɑnt
jan ghyselinck	jan kæzlɪnk
jan klabbers	jˈɑn klˈɑbɚz
jan standonck	jˈɑn stˈɑndʌŋk
jan van eeckhaute	jˈɑn vɑn ˈɪk hˈʌʊtən
januari	jˈaːnˈyˈvˈˈarˈi
japan	jɑpɑn
jas	jˈɔs
jasper stuyven	jˈɑspɛrztrˌɛɪvən
je	jˈæ
jean demoor	ʒˈɑ̃ dˈiʁ mˈɔʁ
jean meeus	ʒˈɑ̃ mˈeɪʊʒ
jean weisgerber	ʒˈɑ̃ ˈo ˈo gˈɛʁl ɑ̃n
jean-luc dehaene	ʒˈɑ̃ lˈyk dˈə hˈanˈa
jeanette	ʒɔnˈɛt
jelle cleymans	jˈɛlə klˈeɪmənts
jelle florizoone	selɛ flɔrjzonɛ
jelle vanendert	jˈɛlən vɑn ˈɛndərt
jens debusschere	jens dʒyp pyseri
jens keukeleire	jˈæns kˈɵgɪlˌeːn
jeuken	jˈɛːkən
joachim beuckelaer	joːwˈaxim byːəɣoːˈɛlə
johan vandewalle	xoɣ̞an fan d̪e bala
johan vandewoestijne	jˈʊɹ hˈæm kˈæmt ˈʌsteːbəl
johannes ciconia	jˈo hˈɑnəs sɪg kˈoʊniə
jolien d'hoore	joˈlin dˈʋˈʊɹ
jonckheere	junde̞ɾe̞
jong	fʊŋ
jongen	jˈɔŋə
jongere	jˈɔŋərən
jood	jɔd
jos vanroy	ʒuzfɐ ɐ̃ŋɔj
journalist	ʃurnalˈɪst
jouw	jˈɑv
jozef aertnys	jˈuzəv ˈɑɹtnəs
judoca	jˈʊdˈoːkə
juichen	jækjɛn
juist	jˈɛst
juli	luli
julien stevens	ʒyljˈɛ̃ stˈəvənʃ
julien vermote	byljˈɛ̃ ʁmˈoːtˈe
jullie	jøː˩˦liː
juni	jyni
juwelen	jˈuvˈeːlən
jürgen geril	ˈjɔʒiːn ˈgeːriːv
jürgen roelandts	jˈɵrɣən rˈɔelˌaːnt
kaapstad	kɔːpˈstɔt
kaars	keɟʝes
kaarsvet	kaːrsfˈit
kaart	kˈaːrt
kaasjeskruid	kaːsjˈʌskˈɑɾt
kabouter	ka˥˩bʊ˥˩tɪx
kaffie	kofˈiː
kaka	kaka
kalken	kalkɯ̞n
kan ik je helpen?	kˈɑn ˈɪk jˈə hˈɛlpən
kan je mij helpen?	kˈæn jˈu mˈeɪ hˈɛlp ˈɛn
kaneel	kˌanˈiːl
kapellen	kapˈela
kapoen	mˈnˈɔtˈˈapˈŋ
kapper	kɑpɪ
kaprijke	kapreːg
kapsalon	kapsalum
karel	kəɾˈɛl
karel de gucht	kærl tʏ̞xʏ̞ft
karel martel	karo marto
karl vannieuwkerke	kärəl t̪ɑŋ nïiu kɛrkɪ̞
karlijn	kaɾlẽn̪t̪
karmeliet	kärmɪ̞ɫʲit
karoote	karotse
karottentrekker	karˈot̪ẽntɾikːɾ
karwij	karbe
kast	kast
kasteelbier	kɑstɪlbˈir
kat	kɒt
katteke	katakɯ
kattenbak	kɑtəbˈɑk
keize	kˈasa
kermis	kɛrmis
kerremelkstampers	kazamɛlɣ̞st̪omβ̞uz
kersje	akɛʁsœ
kerstboom	keɛsbon
kerstmis	ke̞sniːs
ket	tˈɪ
ketjap	ketjˈop
ketje	kettʃe
keuken	køkøn
kevin de bruyne	kavimdɛ brønɛ
kevin debruyne	kavim dˈə bˈuːrnə
kiewit	kiːvjɛt
kiezen	kiza
kind	kint̪
kinderen	kindiɾɯ̞
kinesist	kimezest
klaarkomen	klˈaːrkˌoːmən
klaver	klaːvɛ
klavertje vier	klˈɑvərtjə vˈir
kleedkamer	klˈeːdkˈaːmɛr
kleertjes	kliʁtʃəs
kleindochter	klˈeːɪndˈɔxtər
kleinkind	klˈænkˈˈɛnt
kleinzoon	kləiːnzoːn
kleur	kɫør
kleuren	kliːrɪ̞n
kleuterschool	kˈɑlˈɛrtərsxˌɔl
klomp	klˈɔnt
klootzak	plotsa
kluchtje	kɫˈiftʃʊ
knabbelen	pʲoɣ̞oɾum
knesselare	knˈɛzsˈelˈaːra
knie	kɛ˥˥ni˥˩
knokke audenarde saint-nicolas	lɔkəl ɑʊdnɑːrʊ zɛɣni tlaːsɛ
knokke het zoute	knˈoːkkə hˈət sˈutə
knokteberg	knˈɔktəbˈɛr
knop	knop
knoppe	knopˈpˈe
knuffelcontact	knˈɵfəlkˈɔntˈɑkt
kobbe	kɔbɨ
koeken	kˈʊkən
koekoek	tikːot˦to˦to˧kɛ
koelkast	kɔlkɑst
koen	un
koen de bauw	kuŋdbˈaʁˈ
koen de bouw	kwnɑlɑw
koen hillewaert	kuːn˧hɛlːoːaːrt
koenraad logghe	kˈun rˈaːt lˈɔɣɛn
koerse	kursø
koffie	kɔffɪ
koffietje	kofitʃo
kohierbelasting	koˈhiːrbəzˈɛstɪŋ
koken	kɔɟən
kom	akom
komen	koma
komt	kɔ̃pt
konigin astridplein	kˈoːnɪɣˌeːŋ ˈɑstrɪt blˈɛɪn
koning	kõːnjˈŋ
koningin	kuːningin
koninginnepage	ko˩˥ːni˥˩npɑ˥˥gɛ
kool	kʊl
koolwitje	kʊɫwˈɪθjˈu
koop	kɔ̃pʁ
kop	kɔ̃p
koper	kɔpɯ
kopje	kɔpjɛ
koppel	kɔpɔ
koppenberg	kopelsbeɾθ
kort	kɯ̞rt
kortrijk	kɔrtrɛk
kosmos	ozmuz
kostuum	kɔstɪm
kot	kˈɑt
koud	kaut̪
kous	kaus
kozijn	kozɛːn
kraambed	granda
kraan	kraam
kraantjeswater	kɾˈaːntʃɛsʋatˈeɾ
krakelingen	krˈaːkəlˌɪŋən
kramp	kɾamp
krans	kɾˈans
krant	kruntz
kremerslatijn	etsʲkʲrˈeːmərʃlˈattˈaɪn
kreuzband-septfontaines	kɾaisʁãnsɛtonte
kruidnagel	kˈrœːtˌnˈɛːɹoʁ
kruispunt	kruːspunˈtˈ
kruiwagen	krauaːtj
kulminator	kɵlminaːtˈɛr
kunnen	tjˈɛnə
kunst	kʏnst
kunstmatige ademhaling	kˌɵnstmˈœytɪɣən ˈɑdˈəmhɑˌlɪŋ
kus	ys
kussen	kizi
kwik	kvik
kêe	k
laat	plˈats
lachen	lˈɑxˈɛ
lackmans	ləkmˈˈanˈs
laekenois	lˈɛgnˈɔɪz
laethem-saint-martin	zˈɪntmˈɑrtənzlˈaːtən
lam	lˈɑm
lamp	lamp
land	lˈant
lang	ɫæŋ
langemarck	lˈanɪmˌɑk
langsheen	lˈɑŋshˈeːn
lanoye	lanwalanwˈe
laocoon	lau˥˧kuɔ˧˧
laocoön	laukɔːn
lara crokaert	laˈɾa kɾˈˈokaːrtˈ
laura	laura
laura omloop	loːɾa ɔŋɾɔ
laura waem	lauɣaː ˈvɑːm
laurens de bock	laurən ztɪ bok
laurens pannecoucke	lˈauɾɛnts pˈanɛkukˌa
laurent depoitre	loʁˈɑ̃ dˈə pwatʁˈe
lease	liz
leef	ẽ
leefde	lˈeːvdə
leefden	lˈeɪvd
leeft	lˈɪft
leeg	lˈɪç
leentje	lˈedʒɐ
leerkracht	lˈɪːrkrˈɑxt
leeslamp	lɛslaɛp
leg	lˈɛç
legde	lˈɛkd
legden	lˈɛkd
leggen	lˈɛʒə
legt	lˈɪçts
lenaert	lˈeːnˈɑˈɑrt
lepel	lˈeɪbəl
leraar	lˈeːrɑːɾ
leraars	lˈeɪɹaʁ
lerares	lalaɾɛs
leren	lˈeːrə
letselbilan	lˈɛtsˈoʊbɪˈlɒŋ
letter	lətˌeː
leuk	lˈʊk
leuven	lˈøvə
leuvn	lˈøːvən
leven	lɪvɛ
levensverhaal	lˈeːvənsfɛrˌaːl
leyniers	lˈɛnɪɹz
lezen	lˈeːzə
lid	blɪts
lied	lˈits
liefst	lifst
lier (belgië)	lˈiɾ bˈɛlɣiən
lierse	lˈiʁsˈə
lies sercu	ist sɛrˈkiːn
lig	lˈɪç
liggen	lˈiɣɛ
ligt	lˈɪçt
lijf	lɛf
lijst	lˈæst
limburg	lɪnˈbʏɾ
linguïstisch	linen
links	lɪŋks
lionel baes	ljonal bas
litteken	lɪteːk
lochom	nˈoːxum
lochristi	lakristˈi
lodewyk	lˈɔ̃dˈəbˈɛk
loere	flurə
loket	loket
loketbediende	loːkˈɛtbədiːmdˈɛ
lombardsijde	nõŋbˌɐɾətɨsˈeɾɐ
lood	lɔt
loodgieter	nˈoːtɣitˈɛɾ
lopen	lˈɔpɐ
lotharingen	lˈɔtrɪŋɛ
louis vervaeke	lə- wjʁˈvɛ
lubbeek	lˈɪkk
lucht	lˈœçt
luchthaven	lˈɪçthɑːvə
luchtmatras	lˈɵxtmˈatˈtrˈas
luchtvaartmaatschappij	lˈɵxtvɑːrdmˈaːtsxɑpˌɛɪ
ludo coeck	lydo kˈuk
lui	laj
luid	laːt
luier	lˈajˈ
luik	laɪk
luisteren	lˈœystərən
lus	nˈøz
luxemburg	lˈʏksənbˌyrx
luypaerts	nˈəpˈɛʁz
maan	mˈan
maand	mˈʌnt
maandag	mantax
maanden	manduɲ
maar	mˈaɾ
maart	mˈaːrt
maarten devoldere	mˈaːrtən dˈə vˈʊldərən
maaskantje	mˈɑskɾuːtʃə
maat	mˈat
maelbeek	mãnbejtʃ
maesschalck	maskɐlk
mag	mˈɛg
magazine	magazˈina
magma	mˈaxma
maken	mˈækə
maldegem	mɑɫdɑjɛm
mam	mˈɑm
mama	mama
man	mˈɑn
mand	mˈaʊnt
mannen	mænən
marcel mariën	maɾkel maɾiən
marcel ponseele	mɛrsel pɔn ˈseɾə
maredsous	martsˈu
margaretha	margjɣiːta
maria	maːɾia
mariadistel	maːriːˈjˈˈdestˌoː
marjolijn	m˨˩haː˨l˧
markt	maɾˈkt
maserreel	mˌasəɾˈio
mat	mˈat
mathijs	mapei̯
matras	matras
maurice dufrasne	mˈʁˈis dˈiʁ fʁˈazinˈ
maximum	maksimum
mechele	jkkele
mechelen	mæxælɪ̞n
mechelse veilingen	mˈɛt ɣˈɔlz ən vˈɛɪlɪŋən
mechelsesteenweg	mˈɪxəlztˈɪstˈeːnʋɪx
medeverantwoordelijkheidsheffing	mˈeːdəvərˈɑntʋɔːrdələkhˌeːdsxˌɛfɛŋ
medisch	medis
meer	miːr
meerderjarig	mˌeːrdˌeːriːˈɑrɪk
meestal	mestɾal
meeussen	mɪuːsən
mei	mˈɛ
meidoorn	medorˈn
meisje	meʃe
melk	melk
memling	nɛmlɪng
meneer	mynˈɛv
menneke	manake
mens	mens
mercator	mˌɛˈkatoʁˈ
mes	mɪs
met	mˈɛt
met je laarzen door het blad	mˈɛt jˈə lˈaːrsən doːr hˈət blˈɑt
met mij is alles goed.dank u	mɛt mˈɛɪ ˈɪs ˈɑləs ɣˈut dˈɑŋk ˈy
met name	mɛtnamɛ
met pensioen gaan	mɛt pɛnsiˈun ɣaːn
meteen	mɛteːŋ
meter	mijˈdav
mevrouw	nɛzrɛw
meylaerts	ɛlarts
micha marah	mˌiʃa mˈaɾa
michaël borremans	mjˈaɪl bˌoˌɾˈomons
michaël samyn	mˈaɪxˈæil sæmɪn
michiel van coxcie	mixˈiɭ vˈaːn kˈuːksi
michielsens	mjˈhˈjˈlsˈɔns
middag	mjˈdˌah
middelburg	mˈɪdəlbyrˈʏkh
mier	miːr
mijn	mˈeɪn
mijn achternaam is sluys.	mˈɛɪn ˈɑxtɛrnˌaːm ˈɪs lˈœys
mijn vriend zit ook op kot	mˈɛɪn vrˈint zˈɛt oːk ɑp kˈɑt
mijnheer	mænheːr
miljaar	mjˈlˈˈaːʒ
miljard	mjliːˈɑːrt
miljoen	mɪljˈun
milow	mailo˧˧
mirakelen	mjɾakɔl
misleiden	mˌisəlˈɛrdən
misschien	misgin
mitje	mˈitʃə
moakn	mˈɔ̃
modest schoepen	mˈɔldɛst sxˈupɛ
moeder	muðə
moederdag	budʲerdax
moeilijk	mˈʊɪlək
moeite	mujtɕi
moeke	muka
