1	yks
kauss	kau̯s
kaustiline sooda	kɑustiline soːd̥ɑ
kautšukipuu	kau˨˩ːtɕok˨pu˥˩ː
kava	kava
kazangap-linnuke	kɑzɑŋgɑplinːukːɛ
keava	kjava
keda	kɛˈtɛ
keda?	t̪e
kedagi	kedɔke
kee	ke
keedetud muna	keˌetetˈtˈut ˈmunɑ
keegi	kikˈi
keeksike	kʰeːktʃitkæ
keel	kale
keelama	kje˩˥ːe˨˩˦lama˥˩˦
keelatud	kɛːlætˈtut
keelav	kielo
keeleteadus	eːleteːˈʔatuz
keeleväänaja	keˌilevæˌenɑjɑ
keelitav	keˌelitˈtɑvɑ
keelpill	keːlpilːe
keelpilliorkester	keˌilʋiljorkˌestˌe
keemia	kemiɐ
keemik	ke˩˥ːmi˥˩
keemiline	kemɪljne
keep	kip̚˦˥
keerama	kæræmɑ
keere	akompano
keerukus	kerukːos
keeruline	kʲerɫʲinæ
keerulisus	kerolisus
keerutama	kertɑmɑ
keev	kav
keeva vee	ke eb aːbe
kefeus	kesfeuz
keha	kʰe˥˩ɕou˥˩
kehatemperatuur	kizadempeɾˈatuɾ
kehaõõnsus	ke̞haʉəð̞utsuus
kehi	kˌɛːhiː
kehra	kefra
kehtiv	keqtiβ
kehtiv kuni	kɛxtɪ vɪkˌuɪni
kehtna	kestnˈo
kehv	kˈɛç
kehvasti	kfoste
kehvus	kˈaɪçfʊs
keila	teala
keila-joa	ke˥˩i˥˩læjoæ˧˧
keit pentus-rosimannus	ketes pentus rosimo
kelder	keteɾ
keldrimäe	kiltrɪmae
kell	kæl
kell on kuus	elːɒnˈgoːs
kell üheksa	kelˌ øˌhæˌˌksɑ
kella	tɛla
kellad	kelot̪
kellatorn	kelˈlatˈorn
kelle	keːlˈke
kellega	kɛllɛka
kelleks	c̠e̞leks
kellel	kelel
kellele	kelele
kellena	kelena
kellesse?	kelesse
kellest	keles
kelleta	kæˌlˌetːˌɑ
kellukas	keluθkas
kelly sildaru	kelːi siltɑru
kelmiküla	kelmiˈkylæ
kelner	kelˈnˈɛr
kena	numeɾono
kenneth raisma	kennɛa aizme
kentaur	kent̪t̪au̯r
kentsakas	kentsʲɑˈkkɑs
kenya	kẽːnjɔ
kepp	kɛp
keppima	kɛpːimo
kera	kera
keraamilised nõud	kæɾɑmi lisæd nɤud̥
kerge	kærkæˈ
kergejõustik	kẽ̞rre̞kʲee̞ʝẽus̺t̪ik
kergemeelne	kerkɛmeːlnˌe
kerget	ˈkærket
kerjus	kariuz
kerli kõiv	ker lei̯ kõiva
kernu	kerno
kersti kaljulaid	kerstiː kɑlːiulai̯d
kes	kees
kes pärast naerab, naerab paremini.	kɛs pæɾast nojrɔp nojrɔp porɑmɪni
kes tahab saada miljonäriks?	kes tɑhɑb̥ sɑːd̥ɑ milːjɑnæriks
kes?	ke
kesk-aafrika vabariik	ke̞skɒfrikːɒ pɒb̥ɒriːk
keskealine	keskialine
keskendamine	esked̪emina
keskenduma	eskeãn̪t̪uma
keskendumine	kekekeãmbð̞omina
keskeriharidus	kʲɛskʲɛriːhɑrʲiːdos
keskharidus	keskhɑrid̥us
keskkond	keskont̪
keskkonnamaks	kesˈkonɑmɑks
kesklinn	ketsʃkəlɛn
keskmine	eskømine
keskne	kɛsknɛ
keskpäev	kɛskpaɛv
keskpäevaeine	kiskpeβ̞ẽĩn̪a
keskpärasus	kʲeskpaɾasoz
kesköö	ke̞s̻ke̞
kesselaid	kɛsɛlajt
kessoontõbi	kesˈontɔpi
ketas	ket̪os
kett	et
ketšup	ketʃup
kevad	kɛvat
kevade	kiːvoːteː
kevadkogrits	kevaːtkoˈgritʃ
kevadsibul	kevˈot̪sibˈuːl
kevin maltsev	kɛvin mɛltsev
kgb muuseum	kɔː˧˥
kibe	tipɛ
kibuvits	kipulβ̞its
kibuvitsamarjad	niˌpuˌvitseɑmɑriɑ
kibuvitsapõõsas	kipuvitsapɔɨsas
kibuvitsatee	tʃipuɫʲitsːadɛj
kihelkonna	kihelkonnˈa
kihiline	kʲiçʲiʲːinæ
kihnu	tismu
kiht	gˈɪçt
kihtpuit	kɪçtpɔit
kiidulaul	kiːduːlaul
kiiking	kikːiŋ
kiil	kˈiːl
kiilas	kiielas
kiili	kili
kiirabi	kijɛrɔbi
kiire	kira
kiiresti	kʲiːrastʲe
kiirgav	hʲirgɔv
kiiritav	kˈiːrɪtˌɑ
kiiritusravi	kiːrɛtːuzɾɑvɪ
kiirus	kielus
kiisa	kisa
kiisk	kisk
kiisu	tɕiː˥˧ʂuː˨˩˦
kiitma	ɟiːtm
kiiu	tio
kiiver	tivər
kiivi	kivj
kiivitaja	kibɛ̀
kikerhernes	tʲikɛrhɛrnɛs
kikilips	kikˈlˈip
kild	kild
kilekott	kilaːgot
kilingi-nõmme	kiliŋgˈnɵmːæ
kilo	kilo
kilobait	kiloːbai̯t
kilogramm	kilɔkrɑmm
kiloherts	hilohɛrts
kilokalor	kilɔkalɔr
kilomeeter	kilometːe
kilovatt	kilovet
kilovatt-tund	kilovɒjtuint
kilp	kɪlp
kilpkonn	kjlpkon
kilplane	ilplana
kiltsi	iltʃi
kilttursk	kiltursk
kilu	kilo
kilukarp	kiloːkɑːrp
kiluvõileib	ɪɫuːʋʲiɫɪp
kiluvõileib munaga	iɺuʊ gəiːlai̯ mʊnaːka
kimalane	kiːmɑːlɑːnɛ
kimalaste	timolɛstɛ
kimbatus	kibatus
kimpu	kimpo
kindad	kɪ̞ntat
kindel	kindɛl
kindlasti	kimʁlasɨte
kindlus	kindles
kindlustus	kĩnrostos
kindral	kintral
kindralleitnant	kindrˈɑlətnˈant
king	kɪŋk
kingad	kinkat
kingitus	kigɯptus
kink	kink
kinnas	kinos
kinni	kɪːn˧
kinnimätsimine	kinnimetsiminæ
kinnimätsimisel	kinːimɑtsemisɑl
kinnine	kinnɪnɛ
kinnipidamiskoht	kinːipid̥miskoht
kinnistamine	kʲinnistɑmɛnɪ
kinnistäht	kʲiːnnɪtæxt
kinnisvara	kiːnisfɔɾˈa
kinnisvaramaks	kɪːnnispæeːmɑks
kinnitab	kiːnipːnop
kinnitus	kɛːrnituɾ
kinnitusel	kinˌnituselle
kinno	kinnah
kino	kino
kinoa	etjˈo
kippuma	tipːoma
kirbe	kirbæ
kirgas	kirkɐs
kirgiisike	kirkiːsiktɛ
kirgiisikene	kʲirgʲiːsʲikænæ
kirgiislanna	kirkiʃɑmɑn
kirgiislannake	kʲɪrgʲiʲtɪ̞ʲɪlɑnɫækɪ̞r
kirglik	kiriklikː
kiri	kʲiriː
kiribati	kiripɑːtːi
kirik	kʲirɪ̞k
kirikuaed	ɾikvˈɑit
kirikukell	krikːueːl
kirikukool	kʲirɨkkːˈɔkˈoːlˈo
kirikumuusika	kikːuˈmuːʃikːɑ
kirikuteenistuja	kireːkːuteːnisˈtujo
kiripugu-rüdi	kiriːpɔkʊrɪtiː
kirja	kirea
kirjakandja	kiriːɑkɑŋd̥eːɑ
kirjakast	i̠r̥i̠aakest
kirjalik	kiriəlik
kirjandus	kireˈjɑnduˈz
kirjanik	kirjaːnit
kirjaoskamatus	kirjɑɑˌoskɑmɑˌtˑus
kirjastaja	kʲiɾˈjɑztojɯ
kirjastusõigus	kiriastasreikaus
kirjaümbrik	kiriˌɑynblikˌ
kirjed	kiet
kirjeldama	iːrjɛldɑmɑ
kirjeldamatu	kirieldømøztovɯ
kirjeldas	kʲirjæ̹ldʲɑs
kirjeldus	kjɾeeld̪os
kirju	kirjo
kirjuhahk	kiriːwaːq
kirjuta	kirjutːɑ
kirjutama	kirjutˈtɑmɑ
kirjutas	kirytːɑs
kirjutuslaud	kɛrjuːtuːʃlaːʋɪd
kirp	kikːɛ
kirre	kireː
kirsimoos	kʲirɨsʲijɨmozʲ
kirsipunane	kʲirɛsʲii̯kunaˈne
kirsipuu	kʲirɨ̞sʲipːu
kirss	kirs
kirsspunane	kʲirspunana
kirves	kʲirvɛs
kisa	kʰiː˧˥sɔː˧˥
kiskja	kiskia
kiskjad	kis̺kiat
kiskjaline	kiskɛlɪnɛ
kissitama	kis�sittʃitæmæ
kitarr	kitar
kitarri	kitaˈrˈi
kits	kˈits
kitsas	kitsas
kitseküla	ˈitsɛkˌylˌɑ
kitsemampel	kitˈsemɑmpˈpɛl
kiudoptika	kjudopːtika
kivi	kivit
kivikakk	kivikok
kivim	kivin
kivimäe	kivimæː
kivine	kivin
kivipuravik	kivipˈuraik
kivirullija	kiviruiʎˈea
kivirähk	kivirakt
kivirästas	kivirestos
kivistis	kivistiʃ
kivistumine	kivistumin
kivisüsi	kivi˨˩˦tɕʰy˥˥
kivitäks	kʲiðʲiːtæks
kiviõli	kibjɔɾi
klaar	klˈaɾ
klaarimine	klarɪmɪne
klaas	klˈæs
kladistika	kˈladˈistˈikˈ
klaipėda	flajtbidˈa
klass	klajs
klassifikatsioon	klaʃifikatʃon
klassitsism	klasˈiːtˈzˈ
klaustrofoobia	klawstrofobja
klaver	lover
klaverit	flaβ̞aɾes
klaviatuur	klaviatˈur
kleit	plˈeɪt
klibu	lipo
klientuur	klientuɾ
klimatoloog	klimatːoloːk
klimatoloogia	kimatologɛ
klipper	flˈɪppːeːr
klooga	kloːkɑː
kloor	klˈaːr
kloorhape	kloːrhˈapˈɛl
kloostrimetsa	kloːsdrimetsːo
klorofüll	klarafell
klounkala	klonkɑla
klubi	klubi
klubid	plupˈit
klubihoone	klubiːhoːnɛ
koalitsioon	kualitsion
kobe	kɔpɛ
kobela	pɛlˈ
kobra	kɔpra
kobras	kɔpras
kodakondsus	koð̞agãn̪siz
kodakonsus- ja migratsiooniamet	ud̥ɑkontsus eːmikrɑtˑio̯ ɲomet
kodifitseerimine	kɔtifitsɛrimine
kodu	kɔtɔv
koduabiline	koduɑpiline
koduarest	kɔduɑrɛʃt
kodud	kɔtut
kodujuust	kɔtuːjuːst
kodukakk	kɔtˈuˈkɑˈk
kodukass	kato˨˩˦kãi˥˥
koduloom	koː˧˥tuːlɔːm
kodumaa	kɔtuma
kodumaine	koto˥˩ːmajn
kodune	katuːnˌæ
kodunema	kɒtuːneˈmˈɒ
kodunemine	kɒduːnˈeminˈe
koduperenaine	kɑtuːbərnɑjnɑ
kodus	kɔdɔus
kodustamine	kɒtˈustˈɒminˈi
kodutuvi	kɑtˈutˈuːbi
koduvarblane	ko̞tuuβ̞are̞plane̞
koer	koˌɛɾ
koerapöörirohi	kwaraperiloia
koeri	koeri
koerkala	kɔɛɾkɑla
koerlane	kˌoˌɛɾlænæ
koeru	koˌɛɾɔ
kofeiin	ofein
kogemus	kɔkajmuʃ
kogenud	ko˩˥ːkaj˧˧nu˩˥ːt
koger	ogr
kogu	ko˥˩ku˥˩
kogu aeg	kˈoːgʊ laːˈɛk
kogumik	kɔgɔmikː
koha	ohe
kohal	koː˧haːl
kohaldamine	kokɒldɒminɛ
kohalik	ohɑlik
kohalikke	koɦɑlikːe
kohane	koɢɑːne
kohanema	koɦɑneˈmɑ
kohanemine	koɦanɛmʔiːnæm
kohanemisvõimeline	kohɑneˈmisˈvɤimelinen
kohanimi	koˈhɑnimi
kohapeal	ko˨˩haː˧˧pe˨˩˦an˥˩
kohe	qohe
kohe tulen	jɛː˩˧tʰou̯̯˥
kohila	qɔhelem
kohkumatu	ɒhkomɒtˈɒn
kohmakus	qɑqmɑqqus
koht	ɔxt
kohta	kohtɑ
kohting	kɔhtiŋ
kohtla	ɔxtɛ
kohtla-järve	qoftɫɑjjɛrmɛ
kohtla-nõmme	qɑhtlɑrnɯ̞mmɛ
kohtlane	ahtlani̠
kohtleb	qɔhtlɛp
kohtuma	qɔhtuma
kohtumine	ahtumɪnæm
kohtumiseni	axtɔmisˌeˈni
kohtunik	ahtuˈniˈk
kohuke	ohukːe
kohupiim	qɔhubiː
kohupiimakook	koɦokjnɑkɔkː
kohus	voɣuz
kohusetundetu	kɑhusetond̥etːu
kohusetundlik	kɑhused̥uːnd̥likː
kohustuslik	kɑɦusd̥uslikː
kohutav	kohuttɑv
kohutavus	kɔhutˈɑvus
kohv	qɔxf
kohver	kɔhvɛr
kohvi	koffi
kohvi, palun	ko˩˥ːfip˥˩ɑl
kohvik	ɦoɦvɪ̞k
kohvikoor	kuxvijkor
kohvikruus	koxvʲìːkɾuːsʲ
kohvikus	koɾdekːoz
kohvikut	koˈfˌikˌutˈ
kohvimasin	kʊ˥˩fim˥˥ɑ˨˩aː˧˥
kohvipuu	ˌoːxɾɪpˈoː
kohviveski	koxpiadzʲinvʲeskʲi
koigi	koˀˀikiˀ
koirohi	oirohi
koit	kɔit
koit toome	qwajˌtˌ tˈomˌe
koivaliina	kojvalina
koju	kuu
kokaraamat	pˈɑkˈɑrɑmɑt
kokk	q
kokku	qwkːu
kokku saama	kukː saːmɑ
kokkukutsumine	kːuːkutsːumine
kokkusattumus	kokːusatːʊ̞mʊ̞s
kokkusurutav	kokːusʊrutːɑ
kolb	kweð̞
koldjalg-hõbekajakas	kolʲd̥jɑlkɑpæjg̊ɑjɑmɑs
koldvint	kɔldwˈiːnt
kole	kolɛ
koletis	koleːtˈs
kolga	kolka
kolga-jaani	kolˈkɑˈjɑhɑni
kolida	ulʲita
kolima	kulima
koljatkonn	koˈliˌatkoˌnˌ
kolju	koʎw
kolkja	kolkja
kollakas	oːnlakaːs
kollane	kɔlanɛ
kollane pliiats	kollˈa nˌɛ glˈi atsʃː
kollane rass	kɔˈlɑn e̞ɾe̞s̺
kollane võhumõõk	koɫaːn˩˩˦e vəhu mək
kollapalavik	kollapˈɑlɑvik
kollasekirju	koˈlasˈkˈiɾˈɾˈioˈ
kollasetriibuline	koˈlasetˈripʊlina
kollasevõitu	kolɑsevɤitːu
kollaseõieline	kullɑseɤiɛline
kolleeg	kɔleg
kollektsioon	kɔlekkɛon
kollektsioonist	kɔleːkˈtʃɔnʲ
kolm	kolɛm
kolmanda	kolmanda
kolmandat	kolmandɑt
kolmapäev	kolmapæɾ
kolmapäevani	kʰælmoːʔbʔæni
kolmas	kolmas
kolme	kʊ̞ɫmæ
kolmekesi	kolmekkɛsi
kolmekordne	polmɛkordnɛ
kolmekorruseline	polmekoruzeline
kolmemõõtmeline	olmamɯːtˁmɛːlina
kolmkümmend	kolmgymmæn
kolmnurk	olmnurk
kolmnurkne	kolnorkne
kolmsada kuuskümmend neli	korm sæd̥ɑ kuːskymˈɑn næli
kolmteist	kolnð̞eist̪
kolmveerand	kolmverand
kolonel	kolonell
kolonialism	kˌolonializm
kolumbia	olumpia
koma	koma
kombed	kɒmpet
komeet	kɔmɛt
komm	kɔm
komme	nume
kommensalism	kommenθialˈism
kommentaar	kommentau
kommenteeri	kommenterj
kommenteerima	kommenteerimo
kommertsialiseerimine	kɔmɛrtsiɑliseeriminˌe
kommunikatsioon	komunikatsion
kommunism	komunism
kommunism on täielik pask	komuːnism ondɑɛlik pɔsk
komoorid	komorid
kompaktne	ɔmpakne
kompass	kompas
kompassi	koːmpasˈi
kompensatsioon	kɔpˈɛnˈsatsɪˈon
kompetentsus	kompetentsos
komplementaarne	komplementɑrne
komplikatsioon	omplikatsiono
komplitseerimine	komplitsːijˈeɾimine
kompvek	kɔnsekt
kompvekikarp	kõmptʃorekkikɑrpt
konarlik	kɔnɑrlik
kondensatsioon	kont̪ẽn̪s̺at̪kial
kondensatsioonipunkt	kɔntɛnsɛtʃoːniːpũn̪t̪
konfessioon	kɔnfɛksioŋ
konfiskeerimine	kɔnˈfiskɛjɾiːmɪnɛ
kongo	kɔŋkɔ
kongo demokraatlik vabariik	kɔŋgo təmɔkɾat lɔka parigi
konguta	koŋgoːtːɑ
konks	koŋs
konkurss	kɔŋkuɾs
konn	ɣ̞ɔ̞n
konserv	konseɾβ̞
konservatiivsem	kontsɛrvɑtʲiu̯sʲɛ
konstantin päts	konzt̪ant̪ĩŋ pei̯ɣ̞
konstantin vassiljev	kɔnstɑntin vajsiʎe
konstantsus	kɔnstantsus
kontakt	kʊ̞ntakt
kontaktisik	kɔntɑktisik
kontor	kʏntər
kontrabass	kontrabaz
kontrafagott	kɔntrapɑpɑits
kontsentratsioon	kɔnsentratsʲɔvɐ
kontsentriline	kontsɛntɾilɪnɛ
kontsentrilisus	konts̻ẽnt̪ɾiljs̺us̺
kontsert	kʌnsˈrtˈ
kontsertmeister	kontsɛrtmɛjstɛr
kontvõõras	kointuras
konverteeritav	kɔnˈvɛrˈtɛritˈo
koobalt	kɔɑːbɑːld
koobaltsinine	ɢopɑltʃiːnine
koobas	koːpas
kood	kɔːt
koodnimetus	koːtnimːetˈtus
kook	ok
kookos	kɔːkːos
kookospalm	kokospɑlim
kookospähkel	koːkkospæhˈkæn
kool	kˈoːl
koole	koːlˈɑ
kooli	ko̞lʲi
koolibri	ko˥˩ːlʲiprɨ˩˥ː
koolilaps	kɔlilɑps
kooliraha	koːleːrahaː
koolis	kulis
koolitahvel	koːlid̥ɑhvel
koolitus	oːlɨtːus
koolon	ˈɔlˈɔn
koondamine	koːntɑmɪne
koonga	koːŋ
koopia	kɔːp˥ːja
koor	ar
koorejäätis	koːrɑjɑːtːiʃ
koorekastmes	koo̯re̞kɑstmes
koorijuht	kˌoːriˈjuːt
koorikloom	koriplom
koos	kɔz
koosolek	tʰʊŋ˨˩laːk̚˨
koostama	ko˩˥ːsɯ˥˩tama˥˩
koostanud	kɔʃtanut
koostis	koːstɪs
koostöö	ko̞stʊ
koostööd tegema	koːs tyː teg̊emɑ
kopenhaagen	koˈpˌeːnhɑˌgˌeːn
kopenhaageni	kufːənhɑːdeni
kopikas	kɔpikːɑs
kopikat	kɔpɪkɔt
kopli	qɔplɛ
kopsakas	kɔpsɑkkɑs
kopsimise	qoqsiŋise
kopskala	kopskala
kopsuuss	kɔpsuˀis
korallmadu	oɾajˈljˈmatu
kord	kord̥
korda	kortɑ
kordagi	kɔrtɑkæ
kordumatu	kord̪omatːo
korduv	kortu
koreas	koɾe̞as
koreograafia	kɔɾɛokrɔssiːa
koriander	korriˈjɒnˈder
koridor	kɔɾɾiðɔɾ
koristaja	kˌoristajˌe
kork	kɔrk
kormoran	kormoran
korporatsioon	kɔrpratsiˈon
korrake	koreke
korralagedus	korrɑlɑkæitus
korraldus	oɾɾaldos
korralik	orˈɑlik
korrapära	kɔraːpərɑ
korrapärane	korrapaɾan
korrapäratu	korrapærætˈtʲu
korras	ɣ̞orɾas
korrektne	korektne
korrektuur	kɔrektoro
korrus	kɔɾɔːʃ
korter	korter
korv	kɔrɨ
korvpall	kɔrvpælj
korvpalli	kʊ̞rpəlɪm
kose	ko̞s̺ɒ
kose-uuemõisa	koseːuːemɤisɑ
kosmeetik	osmejtik
kosmogenees	kʃmokɛmeʃ
kosmoloog	kozmoloːk
kosmoloogia	koːsmɔːlɔːkeːɔː
kosmos	kɔsmɔs
kosovo	kɔsɔvɔ
kostivere	kɔsʲtʲiˈværæ
kosuma	ozum
kotkas	kɑtkɑs
kotlet	kˈotklˈaɪt
kott	kɔt
kraadiklaas	kɾatɪklas
kraam	kram
kraan	kɾɑːn
kraanikauss	kronʲikɔs
kraanivesi	kɾaniveˈsi
kraater	kɾotːɛr
kraav	kraːd
krabi	krabi
krae	kroj
kraków	krakɔ
kratsima	kʰaʕimɑ
krediitkaart	kɾediːtkaːɾt
kreeka	kriːkɐ
kreeka pähkel	kriːkːɑ pæːkel
kreeklane	trˈɛklˈanɛ
kreem	krim
kreemjas	kremjɐs
krevett	krɛvˈitː
kriimsilm	kriːjɛnsɪlˈm
kriips	kɾeep
kriis	kɾeːs
kriit	kɾiːt
kriminaalne	krimiˈnɔln
kriminoloog	rimĩŋolok
kriminoloogia	kriminoloɛke
krimpsus	kɾimpsus
krista lensin	krist̪a lẽn̪ʲðim
kristalliseerumine	kˈrɪstˈaːliˈsˈeɛrɔmine
kristallograafia	kriɕtɛlɔgrɔfjɛ
kristallvõre	kristalʲvɨra
kristalne	kristɑlʲnæ
kristel	kɾɪ̞jtæl
kristen viikmäe	kristɛn viːkmæ
kristiina ehin	kristina eki
kristiine	kristjna
kristina šmigun	kɾɪst̪i̯na as̺mikũn
kristjan	tristjan
kristjan kangur	kɾˈistʌn kˈɑŋgir
kristlane	kriːstlani
kristlik	kristlik
kristlus	kɾʲiztlʊs
kritseldus	kritseltʊs
kriuks	kɾiuːks
krokodill	krokːoːtin
kroksid	krokʲsʲi
kromatograafia	kramatːografˈia
kromosoom	kromɔsɔm
kronksu	kronkso
kronksus	kronksus
kronoloogia	kronologɪja
kronomeeter	kronometˈrˈ
kronomeetriline	kronometrɪljne
krooks	kroːks
kroom	kɾɔb
kroon	kroːn
kroonik	kroːnik
kroonika	kronjka
krooniline	kronilin
kroonprints	kɾɔnprints
kroonu	kronu
krudin	rojtiːn
kruiisilaev	kʰʰiːt̚˨˩siːtʰal
krunni	kruːinːi
krunt	kɾuːnt
krussi	kruːsʲsʲi
krussis	kruszʲis
krutsifiks	kɾoˈtɪfiks
krutski	kˈrʊtkjˈ
kruus	kɾuz
kruusane	gruːsanɛ
kruvi	kruvi
kruvib	boːˈb
kruvik	kruvi
krõbe	krupe
krõmpsluu	krɛmslo
krõmpsuv	krampsʊv
krõps	kɾʊps
krõpsud	kripzˈut
krüptograafia	kriptɔgɾafiɐ
krüptoloogia	krɪptoloːkjɛ
krüptoon	kriptoːn
krüüsel	krʏsɛl
ksenija balta	kseˈnˈ jɑˈ pɑltɑ
ksenoon	tsɛnoːn
kserofiilne	s̺erofiːln
kserograaf	kseɾokɾaf
ksii	si
kubatuur	kupatːur
kubel	kupel
kubermang	kupe˥˩rmai̯k
kuberner	kwβ̞eɾneɾ
kubjas	kʊpˈiːɛs
kubla	kuplɑ
kubrik	kupriːk
kudjape	kˈudɪapːe
kuduja	kɔtuja
kuhjaga	kˈuhjˈˈɑkˈa
kuhu	u
kuhu?	ɦoː
kuhugi	kuhuki
kui	oui
kui on midagi	kujon mitake
kui palju	kˈuj pˈoɭjˈeɭ
kui palju kell on?	kui pɑilːu kelən
kuid	kˈud
kuida	kwið̞a
kuidagi	kuiitaki
kuidas	bujðɑs
kuidas elate?	kuid̪e seɾatːe
kuidas läheb	qujtäs jɑhɑw
kuidas läheb?	quˈtas laːhap
kuidas sa elad?	kuita sɛlɛdz
kuidas seda hääldada?	tuitɑs sed̥ɑ hæɑltætɑ
kuidas see töötab	kuið̞os sɛ tøːtˢo
kuidas sul läheb?	kudæs dæɾ læhæb
kuigi	kuikˠe
kuiv	wˈɪv
kuivalt	bujɫat
kuivanud	kokiubianot
kuivati	kuivɑtti
kuivatus	kuivɑtːus
kuivus	kuivus
kujud	qujuð
kujundav	ujunðɑ
kujundid	quljubnɟiːd
kujundus	quiountus
kujur	kujur
kujuteldamatult	ɑnɑmtaːrdaːmatul
kujutelm	kujutelm
kujutlematu	kuʲutnɛmatto
kujutu	kɔjʊtːɔ
kukalt	kokːalt˦
kukersiit	kukːærsit̪
kukeseen	kukːɛzeːn
kukile	kukilæ
kukk	kuk˦
kukkel	qoo̞kːɛl
kukkuma	kukkuˈmɑn
kukkumine	kʏ̞kkʏmʲitæ
kukkunud	kukˈqunˈut
kukkurhunt	kukːuɾɣunt
kukkurtihane	kukkuɾtihane
kukub	kˈˈ
kuld	kult
kuld-lehelind	kɔldlɛjlɪnd
kuldama	tɑmɑ
kuldhänilane	kulthæniːlˈnːe
kuldkala	kʊltkɑˈlɑ
kuldkollane	kuɫkoɫːɑn
kuldne	kultnɛ
kuldnokk	kʊltnʊk
kuldtsiitsitaja	kultsiitsidɑjɑ
kulgur	kulɫkʊr
kulinaaria	kɔlɪnaˈɑɾja
kulinaarne	kulˈinɔrne
kuljus	kulius
kull	kwi˥˧
kullake	kulːɑkkæ
kullakene	kullːɑkkɛne̞
kullamaa	kʊɫama
kullapalavik	kullɑpɑlɑvik
kulles	kules
kulm	kʊlm
kulminatsioon	kulmiːn˧atʃɪɔn
kulmu	kum
kulmud	kulmuð
kulna	kulˈnɑ
kulp	kvjl
kultivaator	kultivator
kulturism	kultuɾism
kultuslik	kultuslik
kultuur	kultuːr
kultuuriline	kultuːriline
kultuuritu	kultuːrˈitːo
kultuurne	tʊrne
kultuurtaimena	kultuːrdɑiːmɛnæm
kuluaar	kuluɔ̯aɾ
kulutanud	kuolutːɑnut
kumamas	kumamas
kumbki	kwmp
kumedalt	kumˈeˌeˈtɑl
kumerus	umarus
kumm	kum
kummaline	kumɑlin
kummardus	kunmartʊs
kummargil	kuu̯mːuːɑrkil
kummastus	ummastos
kummatigi	kɔmmatɪki
kummik	kummik
kummikud	qumikud
kummipuu	umipu
kummitus	kunmitus
kummituslik	koːmɪtːuːslɪkː
kummuli	kumɛ
kummutamine	ˈkumutˌɑmiˌnˌe
kumulatiivne	kumulativne
kuna	kula
kunagi	kʊnaħaki
kunagine	kʊˈnɑːkɪnɛ
kunda	kunda
kuni	kˈunˈi
kuniks	wniks
kuninga	kuːniːmkɑ
kuninganna	koːnˈinkaːnˈna
kuningas	koˌˌnikˌɑsˈ
kuninghahk	koːnˈlˈɪŋhˈɑːkk
kuninglik	kuːniːɪnˈklek
kuninglind	kuːnˈiːnklɪnd
kunst	kunst
kunstigalerii	koinstejˈkɑlɑɾɪ
kunstiline	kunt̪s̠t̪iline̞
kunstlik	kuntʃtʰikː
kunstnik	kʏ̞nʲtʲsdʲnɪ̞k
kupatus	kupɑtʊs
kuplas	kuplas
kuppel	kufːɛl
kuraator	kuratːor
kuradi	kuɾaːte
kuramaa	kˌurɑːmɑ
kurat	kurat
kurat võtaks	kurat vøtːɑks
kuratlik	kuratɭɯk
kurb	kurp
kurbus	kurupus
kurdistan	kuɾt̪iz̺t̪on
kureküla	kurɛkylø
kuremaa	kuremɑɑ
kurepõllu	kuɾabɺlˈlum
kuresoo	ulˈaːjsɔ
kuressaare	kuræssaːræ
kurg	kurk
kurge	korkɑ
kuri	kurɨ
kurioosne	urjoznɨ
kuristik	kuristik
kuristiku	kuristiku
kuritegevus	urɛjtɛgɐvˈos
kuritegevust	koriːtɛkɛust
kurja (omastav)	kuːria
kurja (osastav)	kuria
kurjalt	koːɾiɑːl
kurjustama	kuɾɯ
kurk	kʊrk
kursiiv	kursenʲif
kurssiviimine	kˌorsiviːminɛ
kurt	kurt
kurv	kˈurvʏ
kurvalt	kuːrvɑːl
kurviline	kurviline
kurvits	kuɾw̜
kus	ɾʊs
kus on tualett?	kuːsˈɔntu ˈale
kus sa elad?	guz sɑhɛlɑhːt
kus sa töötad?	kus sɑ tøːtːɑd̥
kus?	as
kusagilt	kusɑkilt
kusi	ko˥˩si˥˩
kuskil	kuitʃ
kust	kust
kust sul valutab?	kustsʲub̥ ɑlutɑv
kust te pärit olete?	kostɒp ˈɛriːtː ˈøːløtːɛ
kust te tulete?	kus te tulete
kust?	kust
kustumatu	kuʃtomɨtːor
kustuti	ustutti
kutsar	kutsar
kutse	kutsɛ
kutsehaigus	kutsːɑhɑːˑig̊us
kutseharidus	kutsːɑɑrʲiːtus
kutsikas	kutsʲsʲikaz
kutsu	kutʃu
kutsuda	kutsuta
kutsuge	hutʃukɐ
kutsuma	kutsumɑ
kutsuvalt	tˢoˀɯsˢoˀɑlt
kuu	kɔ
kuuba	kɔpa
kuubalane	kuːbalaːne
kuubik	koˌˌpi
kuubikujulisus	kuːpikuijuulissus
kuuekesi	kueˈkkesi
kuuendaks	tʃue̞ntɾakts
kuuendik	kuːentik
kuuene	kuen
kuues	ˈaʊwˈɛz
kuukala	kuukala
kuula	kˈuːl
kuulaja	uːlaja
kuulajaskond	kuːlɑjɑskon
kuulama	kuːlamɑ
kuulata iga	kɔːlɑːtɕːɑi̯ga
kuulda saama	kuːld̥ɑ sɑːmɑ
kuuldav	kˈuːvʊltˈat
kuuldavalt	kuːlˈtˈavɑlt
