aborigiidna	aborɛgjna
fálat	faːlˈat
fállaba	falaˈba
fállabeahtti	faːlabaˈtːi
fállabehtet	falabæxte
fállan	fallˈɑːn
fállat	fala
fálle	falle
fállegeađggi	falkeuki
fállegeađggis	fˈalkenkˈɛfˈ
fállegeađgi	ðalekaðoki
fállegeađgái	falˈlɛkjeˈrˈkai
fállejoga	faljoga
fállejogas	fˈæljˈoːgat
fállejohka	fælːɛjoːɑːkˈkɑː
fállejohkii	fælˈlˌeːjˈoːhki
fállejávri	faljaure
fállejávrri	fˈaːlˈjaʊrˈi
fállejávrris	falleau̯rɾes
fállejávrái	faljaːwlaj
fállet	fˈalle
fállá	falla
fárre	faɾɾa
fárreba	farːeba
fárrebeahtti	farrebeˈati
fárrebehtet	farˀrˈɛbəxteːt
fárrejedje	farˈrˈɛjetʃːe
fárrejetne	farˈjətnˈ
fárrejin	farregeːn
fárrejit	farreje
fárren	fɑːrən
fárret	farˈɾet
fárrii	farˈj
fárriide	farˈriːre
fárriidet	fariːrˈektˈ
fárriiga	farɾiɣ̞a
fárriime	farɾime
fárriimet	farˈrimet
fárrui	farroi
fárus	faros
fávrros	favɾos
fávru	fauro
fáŋgavuohta	tæˌˌnˈkɑvˈohtɑ
fáŋgavuođa	fãn̪t̪d̪elβ̞oaβ̞a
gahpir	kahpɾ
gahpira	kahpiraː
gahpirat	gahpiɾaht
gahpirii	kaːħpeɾiː
gahpiriid	kahpiriːt
gahpiriidda	kahpiɾiːtːɑ
gahpiriiguin	ˈkaħpiɾˈiːtˌinˈ
gahpiriin	kɑhbɪrˈin
gahpirin	kɑhpiɾiŋ
gahpiris	qahpəxɛtkˈu
gal	kal
galgat	kaːlaka
galggan	kalˈkant
galggat	kalka
galgá	kakaː
ganjal	kaːnmial
ganjalin	kaɲːalin
gaska	asˈka
gaskajoga	kaskajo˩˥ːga
gaskajogas	kɐskɐjɔːkɐs
gaskajohka	kˈafkajˈoxka
gaskajohkii	kaskajɔhki
gaskal	kast̪skal
gaskariikkalaččat	kɑskɑɾːikalatʃat
gaskariikkalaš	kɒskɒreːgklɒʃ
gaskavahkku	kaːskɑvɑhku
gaskavahkkui	kas̺kɐvˈɐxkˈuj
gaskavahkkun	kɑskɑvɑhˈkwn
gaskavahku	qoozːkaːˈvaːxu
gaskavahkuid	kaːskɔʋaː
gaskavahkuide	kaskɑvɑːkkuegɛ
gaskavahkuiguin	kɑːskɑʋɑːaːkoiːgoin
gaskavahkuin	kɑskɑvaːhkoin
gaskavahkus	kaskevaːxkos
gaskavahkut	kasakaɫaːɢuħt
gaskavuhtii	kaskɑvˈustˈɪ
gaskavuohta	kasovˈaːhita
gaskavuohtan	kˌɑskˌɑˈvɔˈhtˌɑˌn
gaskavuođa	kaskɑvˌuˌɑˌlˌɑˌ
gaskavuođaid	kaːskɑːrʋoːadajt
gaskavuođaide	kasˈkɑvuˈɛllaite
gaskavuođaiguin	kaskabɔzɑikɔjn
gaskavuođain	kas̻kaboːagai̯n
gaskavuođas	kaskɑʋuɔtɑs
gaskavuođat	kɑskɑvuompa˥˩ːht
gaskkas	kɑstsɟəs
gatnjala	katnʲala
gatnjalat	tʃotnelɐtː
gatnjalii	katnʲali
gatnjaliid	katnʲaliːt
gatnjaliidda	gatnjalida
gatnjaliiguin	katʲnjɑliːguin
gatnjaliin	katnˈjalin
gatnjalis	katnˈalˈis
gazzabealčohka	qaːnˈtˁzbeltʃoxkˈa
gazzabealčohkas	tgatzabɛltʃoχqɑs
gazzabealčohkka	kaɾˈdzəbɛlʃoxka
gazzabealčohkkii	kaːtzəbəltʃoːoke
gažaldaga	kaːrg̊zld̪ɑːg̊ə
gažaldagaid	kaːddʒɑːldaːgɑit̪a
gažaldagat	gəːdgɑːldɑːgəˈt̪
gažaldat	kaːrˈtgɒldaːft
gea	kale
geafi	kaffɛ
geahča	gˈaftʃɐ
geahččal	kʰæːtʃal
geahččala	kɒhˈtʃɒlɒh
geahččalan	gɑhtʃælæm
geahččalat	gæhtʃʰeld
geahččaleaba	kæɾtʃʰeˈlɑbɑ
geahččaleahppi	gæhtʃiːziæhlæhˈtiː
geahččaledje	gˈɛçtʃˈaːledʒe
geahččaleidde	kɒhtʃɒˈleːiˈde
geahččaleiddet	kəθlægˈlægˈhæ
geahččaleigga	kĕtʃʰæleːkæ
geahččaleimme	kˈaxtəlˈɛɪmɛ
geahččaleimmet	dˈɛstla
geahččaletne	kʰɑhtʃɑlɛtnɛ
geahččalii	kʰæˈleːiː
geahččalin	kʰaxt̚˥˩æˈl̪
geahččalit	ɣæχtʃeˈlæd
geahččat	ɣæhtʃʰæd
geaidnu	kaːjtmɔːni
geaidnun	kje̞jnun
geainnu	kaino
geainnuid	kælinuid̪
geainnuide	kjaen
geainnuiguin	kiai̯nojɣ̞oĩn
geainnuin	kʲaleãmb
geainnus	gajnos
geainnut	kæjˌnɔht
gean	kæˈn
gearddabákti	kedabakti
gearddabáktái	gaddabˈakta
gearddabávtti	kiadːaːbaˈafːti
gearddabávttis	kialopaf
geardde	kɛɾte
gearddi	kelkai
gearddis	keːrˈtˈɾˈɛz
gearddit	gˈɛltdɪçt
gearddošjávrrit	gærdɾægɾˈtɑːr
geardi	karete
geardái	kialetaj
geargaba	kjaɾəkːɑːbɑː
geargabeahtti	karɛkɑbɛhdi
geargabehtet	kærækæpæːtæt
geargan	kʰaːrraːqaːm
geargat	gæɾɾɑgɑt
geargga	kjarke
gearggai	kjarke
gearggaide	gɒrkaɪde
gearggaidet	kærkài̯tɛet
gearggaiga	kjalˈkai̯kːa
gearggaime	kærkʲæ̀i̯mæ
gearggaimet	kʲærkæimˈɛt
gearggan	kjargan
gearggat	gæɾˈgɑːht
geargá	kjeɾɑkʰɑ
gearvuona	kijˈalevˈɔna
gearvuonas	kialtʃas
gearvuotna	kʲɛ̀ːtəvˈʌtnə
gearvutnii	kijɑrɑpːutni
geasi	kese
geassi	kasi
geat	ke
geavaheaddji	kiːæwɑːɦɑːdʒːiː
geavaheapmi	keːɑːbɑhæe̞ɑ
geavahit	kææʋahɪ̞ht
geađggi	kʲavkʲi
geađggis	kelkes
geađggit	kæevket
geađgi	kɛvˈikː
geađgin	c̠e̞ʲvʲikĩn
geađgái	geðekai
geažil	keadʒɾ
geidnui	kʲitnoj
geigestit	gˈɛːkˈɪstnˈɪçt
gelbbolaš	kelpolas
gelbbolašvuhtii	kelplæsvusti
gelbbolašvuohta	kelpɑlɑsvuˈhtɑ
gelbbolašvuohtan	gælpolɑʃvoːtɑn
gelbbolašvuođa	gɛlpo˥˩ːla˥˩ʃfo˩˥ːða
gelbbolašvuođain	kelplaspɔuɑpɑɛn
gelbbolašvuođamihttomeari	keːlpolɛʃvoːdɑmiːxtømˈmæːrˈri
gelbbolašvuođamihttomearis	kɛlpoloʃvojdamixtomjaɾɾis
gelbbolašvuođamihttomearit	keːlpolɛʃvoːrdɛmiːxttʃomjaːrðekt
gelbbolašvuođamihttomearri	keelpo̞las̺oð̞amis̺t̪ome̞jad̪i
gelbbolašvuođamihttomearrin	keelpo̞lesβ̞oad̪emist̪t̪ome̞alɾd̪in
gelbbolašvuođamihttomearrái	keːlpɔlɑʃfoːɑðɑmɪ̞tːɔ̙mɪ̞ɐrɾæj
gelbbolašvuođamihttomeriid	kelpolesbɔɑdɑmiːxtomeːjveːt
gelbbolašvuođamihttomeriin	keːlpolɑʃvoːdɑmiktomeːeːveːn
gelbbolašvuođas	kɛlpo˥˩ːlɑʃmo˥˩ːlʒmo˥˩ːlʒ
gelddolaš	keltolas
gelddolašvuohta	keltˌolɑsˈvɔˈɑhtˌɑ
gelddolašvuođa	keltɑlæsvoːtɑ
genetiiva	genetiva
genetiivan	gennətʃiːvɑːn
genetiivii	genetivj
genetiivva	genetiva
genetiivvaid	gənɛtiːvˈət
genetiivvaide	gˈɛntɪvvˈajdˌe
genetiivvaiguin	kennetʃivalkyn
genetiivvain	genetivbˈaɪn
genetiivvas	kentivas
genetiivvat	genetivat
genitiiva	gˌeˈnitˈeˈɪvˈa
gerddiid	kæi̯tˢdiːtˢ
gerddiide	kˈæːddiːdˈɛ
gerddiiguin	keediguin
gerddiin	kældin
gerge	keɾake
gergen	kˈætəˈgeɪn
gerget	keːrəgˈɛlt
germánalaš	gɛrˈmɑːnɒlɒs
geđggiid	kelkit
geđggiide	keˌykid̥e
geđggiiguin	ke̞e̞ʋʲikʲiko̞ĩn
geđggiin	kelkint
giehta	kiezta
giela	kiaːla
gielaid	kialajt
gielaide	kijɑlajte
gielaiguin	kealajkujn
gielain	kẽialaina
gielas	kialas
gielat	kialat
gielddasámegiel	keːltəsɑːmiːlkeːl
gielddasámegiela	kielˈtøsæˌˈmˌeˌˈkiɑllɑ
gielddasámegielain	keltæsæɑmɛkeːɑlːɑinː
gielddasámegielas	kieltɑsɑɑmɛkiːɑlːɑs
gielddasámegiella	keltæsæmˈeˈkælˈlɑ
gielddasámegiellan	keˌeltˌæsæˌˈmˌeˌˈkeˌllɑn
gielddasámegillii	keltˈæsæˈmjkildˌli
gielddasápmelačča	kieltɛsɛtmɛlɑtʃɑ
gielddasápmelaččaid	kiɛltæsɛtmɛˈlɑtʃɑit
gielddasápmelaččaide	kˈjəltːəsɛpːˌɛllˈatʃːɑjd̥ə
gielddasápmelaččaiguin	keːæltːæsædmæˌlɑtʃɑiˌkuːiːn
gielddasápmelaččain	kelttəzˈatmɛlˈatʃaˌɛn
gielddasápmelaččas	kɛltɒzɒtmɒlɒtːʃɒs
gielddasápmelaččat	kɛltɒzeːtmɒrɒkkʃatː
gielddasápmelaš	keːltɒtˈtˈmɛlɒs
gielddasápmelažžan	kelttəsapmelladʒan
gielddasápmelažžii	kjaltəsapmaladʒe
gielddus	keltus
gielis	kialis
gielista	keãmblista
gielistan	kje̞aːlɑsˈtɑnd
gielistat	kiɛːlːiːztatː
gielisteaba	kialesteɑpɑ
gielisteahppi	kææˌˈlˌistæhˌpi
gielistedje	kialiksteitʃe
gielistehpet	kææˌˈlˌistˌeˌˈteˌɑˌhˈpˈit
gielisteidde	kalisakompanoite
gielisteiddet	kˌeˌæˌlˌliˌsteiˌtæhtˌe
gielisteigga	kealisðeika
gielisteimme	kialist̪eime
gielisteimmet	kialisteimet
gielistetne	keeɦalˈɪzˈtˈe
gielistii	kalestas
gielistin	kje̞alestin
gielistit	kˌeːˌaːlˌliːstiktˈa
giella	dʒiːtˤ
giellajoga	kælːajûːɔ̯gã
giellajogas	kelːajokas
giellajohka	kielːɑjɤˈhkɑ
giellajohkii	keːlːɑjɔhki
giellan	kæʲɫˈɑn
giellaoahppu	gelauɑhpu
giema	keɛma
giemajoga	kiomajoga
giemajogas	kiamtˌiˈoˌˌɑllgˌɑst
giemajohka	kje̞mæjo̞hkæ
giemajohkii	kjemɑjɔhkii
giemajávri	kijɛmaʄauɾi
giemajávrri	kiamaʝauɾe
giemajávrris	kijammaʄauɾif
giemajávrái	kiemajabrai
giemas	kiamas
giemaš	kʲæmæs
giemašnjárga	k̚amas̻t̪nad̪oka
giemašnjárgga	kiˌɑmɑsɲˌɑlkˌɑ
giemašnjárggas	kiːɛmnøznːjɛlkøz
giemašnjárgii	kjamaʃnˈɐrɐki
giemaža	kje̞mɪdʒa
giemažii	kijɛmɐddʒi
giemažis	kʲaːmagist
giepma	kjɛpmɑ
gierdduidvággi	kʰt̚d̪ut̪paːɣ̞ɨ
gierdduidvággái	kʰɑːrdoːt̚˥˩baːg̊jɔː
gierdduidvákkejoga	kieːnˌtˌoivˌtˌɑkɪəkˌiˌoˌgɑ
gierdduidvákkejogas	kedːuid̥ʋækkijoːgas
gierdduidvákkejohka	kiːɛdːojtːvaːtkɛjoːgkɑ
gierdduidvákkejohkii	kieldoltvɛkkijohki
gierdduidvákki	kieldˈuidʒʋˈɛkki
gierdduidvákkis	kʲɛrdlʲvakkis
gierdohárjjit	gæɾdæɦæɾdiːht
gievra	keuɾa
gieđa	kje̞la
gihttel	kist̪e
gihttela	kʲiːxtðɛla
gihttelii	kist̪e̞li
gihttelis	kˈɪçtdˈɛɾˈaɪnfˌax
gii	tʃiː
giitu	kijto
gilbbesjávri	kelbeðeaβ̞re
gilbbesjávrri	kilt̪esiaʊri
gilbbesjávrái	qilpəsˈɪabrai̯
gilevuotna	kiːlˈe̞vˈoːtnɑ
gilli	kile
gillii	kelˈli
gilvvagárddi	kelvagardˈe
gilvvagárddiid	kiːlvægæːrt̪kiːt̪
gilvvagárddiide	keːlʋɐgɑːɖɪd̪eː
gilvvagárddiiguin	kielvæg̊et̪t̪ikun
gilvvagárddiin	kʰiːl̪waˈgatʰiːn
gilvvagárddis	kelvagadbis
gilvvagárddit	kiːlvægærd̥teit
gilvvagárdi	kiːlʋəgəɾeːtiː
gilvvagárdin	kiilβ̞akẽ̞rẽt̪in
gilvvagárdái	kiːlβ̞akẽ̞rẽt̪aj
gilvvohala	kielvoˈɑˈhɑˌˈlɑ
gilvvohalai	keloːhaːlai
gilvvohalaide	kiːlvoːˈhɑːlajde
gilvvohalaidet	dilvˈɑːrhˈarlˈajrˈɛkt
gilvvohalaiga	ilvɔɦɑlaikɑ
gilvvohalaime	gɪloːhalajme
gilvvohalaimet	gɪlvoħalaːjmħæd
gilvvohalan	kilvɔɦɑːlɑːn
gilvvohalat	kialvohaːɫat
gilvvohallaba	keːlvohælˈlɑbɑ
gilvvohallabeahtti	kilbɦlɑpæːdæɾ
gilvvohallabehtet	kˌilvɑhɑllɑpeçteˈt
gilvvohallan	ilvɑhɑllɑn
gilvvohallat	kilˈvˈɑhɑlˈlɑht
gilvvohalle	kilvɑhɑlːe
gilvvohallen	kiːlbɔħaliːn
gilvvohallet	kilːvohɑlːeht
gilvvohallá	kilvˈɑllˈa
ginusvuomi	kinosvuome
ginusvuomis	kiinusvuomis
ginusvuopmi	kiːnusvˈortmi
ginusvuopmái	kinosvˈoːpˈeːn
ginusvári	kiːnʊsvare
ginusváris	kiːnusvaːris
ginusvárri	kinsvarre
ginusvárrái	kinosβ̞aɾɾẽn
gipmii	gˈiːpmˈeɪ
giranjárga	kiiraneaɾɾakːa
giranjárgga	kiːrãŋjaːrkaː
giranjárggas	kiːlɒnˈˈaːɾkˈɒsˈ
giranjárgii	kiirɑneɑrɯ̞ki
girdilit	kijɾɪɾɪgəli
girjerádju	kʰeˈriːhæɾˈtʃo
girjerádjui	kɾˈraːtdʒoɪ
girjerádjun	kʰeˈrjeɾahæddʒæn
girjeráju	keɾerajo
girjerájuin	keɾeɾaɛ
girjerájus	kiriːrdaːjʊs
girječálli	kriˈatʃale
girječálliid	kiriɛtʃaːllit
girječálliide	kierietʃaaːlite
girječálliiguin	giriietʃaːlːikoːin
girječálliin	kjeɾiːtʃaɦalˈlɪn
girječállin	kiriːetːˈlɑlˈlɪn
girječállis	kiriːeˈtʃalːes
girječállit	kirjeː˧ːtʃaːlːɪktˢ
girječállái	kriːjɔː˧tɕaːl˥lai̯
girji	irjɛ
girjin	keɾejin
girjjatvuhtii	kirjatvˈuhti
girjjatvuohta	kirjaˌɑhtˌvuɑhtˌɑ
girjjatvuohtan	kirjɑˌtˌvˌɑˈhtˌɑn
girjjatvuođa	kɪ̞rˢjɑːtvˈoːðɑ
girjjatvuođaid	kirjaːtvoːˈdait
girjjatvuođaide	kirjavoːˈdɑid̥e
girjjatvuođaiguin	kirjaʃtvoːˈɑdaikoːˈin
girjjatvuođain	kˈɪriˈætvˈoːadˈaɪn
girjjatvuođas	kirɛjahtvuaːlˈðˈɑs
girjjatvuođat	kɪrˈjɑhˈtvoːˈʔadəːhət
girjji	kʌɾie̞
girjjiid	keːrˈgeːt
girjjiide	keˈrgeˈðæ
girjjiiguin	keːrʲieːkoin
girjjiin	keɾrjeŋ
girjjis	kħæˈrjes
girjjit	kʲirɪ̞ktʲ
girjjálaš	keːrjˈæˈlɑʃ
girjjálašvuohta	kiriˌælˌlɑʃvoˌɑhtɑ
girjjálašvuođa	kiriːjɛlɑsvˈorɑ
girjjáš	kʲirjæʃ
girjjáža	kʰeːrjaːndʒɑ
girjjážat	kɪ̞rjædʒaxt
girjjážii	keviaa
girjjážiid	kjeviaxˈeit
girjjážiidda	tʃireatʃinita
girjjážiiguin	keriadʒiikoin
girjjážiin	kevjeagˈen
girjjážin	keːvrɑːrɛtʃtʃɛn
girjjážis	keˈriːjaˈdʒis
girjái	ke˥˩le˥˩ja˥˩j
girkopolitihka	kirokɔpɔlitiħika
girkopolitihkka	cirokopolɛtixika
girku	kˈiðkˈu
girkui	kirkue
girkuid	kirkuit
girkuide	kai̯rkʊiðe
girkuiguin	kerkoːiːgoːjn
girkuin	keɾkoin
girkun	tʲirkun
girkus	kːɾˈɔs
girkut	kʲirkɔht
giron	kiːron
girona	kiːrona
gironii	kironi
gironis	kʲiːronʲis
giđđa	kiva
go	kɔː
goahtemuorjoga	kwaxtemuɾioɣa
goahtemuorjogas	kwaxtmˈuɾjˈoːkaθ
goahtemuorjohka	kwɑhtɛmˈorjˈɔxkɑ
goahtemuorjohkii	kɔ̙ːhtmːuːrjɔ̙ːhuki
goahtemuorjávri	kwaxtmwˈeɾijauɾˈe
goahtemuorjávrri	kwaxtemˈɔrɪaʊrɪ
goahtemuorjávrris	kwaxtmwˈeːrjˈɑuɾɪs
goahtemuorjávrái	kwaxtemwaɾiau̯rai
goahti	koɑhti
goalmmát	kvalmaħt
goalmmát mosesa girji	kwal maħt ˈmɔːsɛ səkˈriː
goalsejávri	kwalsˈɛjavˈre
goalsejávrri	kualsɛjavre
goalsejávrris	kualsɛjaʋrɪs
goalsejávrái	kualsiafable
goalsevuohpi	kwaːlʔabwɑhbi
goalsevuohpis	kualsvuapɪs
goalsevuohppi	kualsbʊˈhæbːi
goalsevuohppái	kualsivuɦpaj
goappašagat	kwappaʃaˈgoht
goarrunkursa	kuaɾlunkursa
goarrunkursan	gwaʁdʒaːngʁsãn
goarrunkursii	kwaʁunkuʁsi
goarrunkurssa	kwaːrunkˈuɾsa
goarrunkurssaid	kwaːrrʊŋkursajt
goarrunkurssaide	kwaːrnˈkwːrˈsˈaidˌe
goarrunkurssaiguin	kwaɾɾuːnkwaɾszˈɛkuːjn
goarrunkurssain	kwaːrnkwˈʁsɑĩːn
goarrunkurssas	kwaɾɾuːnkwaɾsas
goarrunkurssat	gʊdʒuːzisaht
goassege	kwas̺t̪s̺ege
goađáš	kwaːaːdˈaʃ
goaŋkejoga	kwankioke
goaŋkejogas	kwãnkiokaso
goaŋkejohka	kwanˈkijˈˈoˌkˌa
goaŋkejohkii	kankjo˧˧ki˨˩
godde	qɒtdɒ
godden	gɔddɛn
goddet	gˈoːdˈɛt
goddevággi	godvagge
goddevággái	gˈɑtdˈə-vˈaggˈaɪ
goddevákki	godvakːe
goddevákkis	godvakːˈiz
goddiba	kot̪ð̞iβ̞a
goddibeahtti	koddˈepæːhtɛ
goddibehtet	goðdʒibextete
goddit	godɪt
goddá	gˈodːa
goddán	gˈodˈan
gohppu	kˌoχˈbˈo
gohppui	kɔʁbwˈj
gohppun	qɔqbun
gohpu	kɔɾˈpʊ
gohpuid	kɔɦpwjits
gohpuide	kɔɦpɔidɛ
gohpuiguin	kɔɦpojgɔin
gohpuin	koːɦpũinː
gohpus	kɔɾpʊs
gohput	koput
gohčoda	oqtʃoda
gohčodan	kɒhˈtʃˈɒdɒn
gohčodat	qɒhˈdʒɒlɒˈh
gohčodeaba	koχtɕɐdɛapa
gohčodeahppi	ko˩˥ːxtʃ˥ːo˥˩ːdɛp
gohčodedje	kohtʃode˩˥ːdʒe
gohčodehpet	kɔχtʃɔdɛɛçpit
gohčodeidde	kohtʃɔdɛjde
gohčodeiddet	kɔχtʃɔtɛːdɛt
gohčodeigga	kohtsɔd̥eigɑ
gohčodeimme	kohtsɒdeimɒ
gohčodeimmet	kohtseteimɛ
gohčodetne	tʃoðetne
gohčodii	koːxtsɔdiː
gohčodin	koːˈhtsɔdiːn˧˥
gohčodit	kɒhtʃaːdiːxt
gohčot	ko˥˩xtsɔ˧
goidnesvuomi	kojtnɨsvɔmi
goidnesvuomis	koitˈnesˈvuomis
goidnesvuopmi	ko˩˥ːɯtnɯzɯpə
goidnesvuopmái	koːtnˈɛsvˈoːpmˈeː
goiku	koiko
gokko	goko
golbma	kolauː
golbmalogi	koːlˈabmɑlɔːje˩˥ː
golbmanuppelohkái	kaːrapmɔnˈɔɾilɔɦːgɛɦ
gollestuollu	kolestualːo
gollestuolojávri	kolstualˈˈoˈiavri
gollestuolojávrri	kolstualojavre
gollestuolojávrris	konstualoiavris
gollestuolojávrái	kˈɔlˈstˈoːɹlˈoːjadr˧
gollestuolu	kollestuaːlːu
golli	kolne
gollu	kouˈlˈlɔ
gollui	gɔlˈnuj
gollun	kollun
golu	koːlˈo
goluid	kɔɦɔlʏ̞jt
goluide	koˈlʊide
goluiguin	koloisˈinˈ
goluin	kooˈlˈlʊiˌnˌ
golus	kolus
golut	kˈoːlˈuft
gonagas	konakæst
gonagasa	koˈnˈagasa
gonagasaid	ko˩˥ːna˥˩ga˥˩sait˥ː
gonagasaide	ko˥˩ːna˥˩ga˥˩s̺ai̯de˥˩
gonagasaiguin	koonakasaisɛnˈa
gonagasain	koˈnˈakˈasˌaɲ
gonagasas	konakasas
gonagasat	ɣɑːnɑːgɑːʔazˈzaft
gonagasbearaš	ko˩˥ːna˥˩ːkas˥˩pja˥˩raʃ˥ː
gonagasbearašin	ko˩˥ːna˥˩ːkazpe˥˩ːa˥˩ra˥˩ːʃi˥˩n
gonagasbearraša	ko˩˥ːna˥˩ːga˥˩ːspja˥˩rɾa˥˩ːʃa˥˩ː
gonagasbearrašat	kɑːnækaːzbjɐlɾoʃaːt
gonagasbearrašii	koɾnakazpeazzai
gonagasbearrašiid	koonakeezpeazzaiʃe
gonagasbearrašiidda	ko˩˥ːna˥˩ːka˩˥ːs˦pe˥˩ːal˩˥ːra˩˥ːʃi˩˥ːt˥a˥˩
gonagasbearrašiiguin	koonagaspeaɾɾasiʝkɵin
gonagasbearrašiin	koɾnakaspjaɾdaːʃeɟina
gonagasbearrašis	koˈnagɑspialraʃis
gonagassan	koːnˈækɑsˈsˈɑˈn
gonagassii	koˈnˈagasi
gotte	gɔtːe
gottii	gottˈi
gottiide	tˌoˌʊtˈtiˌlˌe
gottiidet	qoːttiːrɛht
gottiiga	kɔtːiga
gottiime	gɔtːimɛ
gottiimet	gˈotdˈiːmˈɛd
gottán	t̪an̪
gottát	qɑtˈt
gova	kɔːvɑ
govat	koo̞ʋa
govdavuohpenjárga	kɔu̯taboːɦpʲːaːɾakɑh
govdavuohpenjárgga	kou̯tavohpʲanʲatʂka
govdavuohpenjárggas	kɔlvtavûɔ̯pʲɛnʲarkas
govdavuohpenjárgii	kɔuvtavuajpɛnjɐriki
govdavággi	kou̯tɑvɑˌkkie
govdavággái	koftdavˈagːaj
govdavákkejávri	koð̞aβ̞akeãmbla
govdavákkejávrri	koldavakejavri
govdavákkejávrris	kogdavakkiaβ̞ɾe̞s
govdavákkejávrái	kou̯davakːajaablaj
govdavákki	kovdavækːi
govdavákkis	koldaʋækːis
govva	kɔva
govvadáiddár	kɒvvadajðæɾ
govvet	ov
gođđovári	gˈɔðovˈaːre
gođđováris	gɒðvaðˈæɾˈes
gođđovárri	kõmd̪ebarri
gođđovárrái	goð̞d̪eβ̞asɾai
grammatihka	grammatʃiːzka
grammatihkaid	gɾaːmaːt̪e̞ɣ̞s̺kait̪
grammatihkaide	gɾammatiixtajdɛ
grammatihkaiguin	grandmatʃialitsioalin
grammatihkain	gɾammɑtʰiːɮkɪn
grammatihkas	grandmatʲiːgkɑs
grammatihkat	rammatikkat
grammatihkka	klamatikka
grammatihkkan	grammatʃiːlkan
grammatihkkii	kramatix
greikkagiella	grɛjkakˈeːɑllˈlˈɑ
guhkes	uhkɛs
guhkes áigái	kuhk sˈaː kɛːl
guhkesjávri	koːfkeːzjaːuːre
guhkesjávrri	qoːfkɪːsjaːrvɪde
guhkesjávrris	quvqesiaːlʋlæs
guhkesjávrái	ʊ̞ːkʊ̞sʲɑw˧blakʊ̞
guhkesnjuni	kˈoˈʌfkisnˈoˈʌnˈi
guhkesnjunis	ˈoːʊkˈɛsnˈoːniːs
guhkesnjunni	kuu̯kisnʲoɲi
guhkesnjunnái	koufkɪznˈajˈnˈ
guhkki	kuhki
guhkkin	kuhkɪ̞n
guhte	kuxta
guhtočohka	kuu̯tɔtʃɔhka
guhtočohkas	quxtotʃɔhkas
guhtočohkka	kˈuɦtˈɪtʃˈɑχkæ
guhtočohkkii	kuːhttɔtʃɔçki
guhtta	kuu̯tːɑ
guhttanuppelohkái	koːftɑnˈɔploːhke
gula	kula
gulahala	kuːlːɑhɑːlˌlɑ
gulahalai	qoːlaħɑlɑjh
gulahalaide	kuːlɑhɑlɑite
gulahalaidet	kuaːlahɑːlɑid̥eht
gulahalaiga	kuːlahɑlɑikɑ
gulahalaime	kuaˈlahɑlɑime
gulahalaimet	kuuːlːɑhɑːlɑimeht
gulahalan	kuːlɑhɑːlɑn
gulahalat	qulɑhɑːlɑht
gulahallaba	kuːlahælˈlɑbɑ
gulahallabeahtti	kuːlahɑlːɑpæˌɑhti
gulahallabehtet	kuːlːɑhɑllɑpæːhtet
gulahallat	qulahˈallat
gulahalle	kuːlɑhɑlle
gulahallen	kuːlahælˈlˈɛn
gulahallet	koːlahˈalle
gulahallá	kuːlahɑlːɑ
gulai	kulaj
gulaide	kuːlajdæ
gulaiga	guːlajgɑ
gulaime	kulamme
gulaimet	aːlːai̯mːɛt
gulan	pˈoːlˌɑːn
gulat	guːlˈat
guliid	kuːlitː
guliide	kulide
guliiguin	kuːlːiguin
guliin	guːlɪn
gullaba	ko˩˥ːlabaː
gullabeahtti	kuˈllɑpæˌɑhti
gullabehtet	kuːˈllæbeːˈhtet
gullan	kullˈan
gullat	gʊlˈlɑt
gulle	kulːe
gullen	gulˈlˈɛn
gullet	kulˈnæht
gullo	kˈullo
gullá	kuuɫa
guoddá	kwata
guoddái	kwaðˈai
guoddán	gwˈɑtdˈaŋ
guokte	akest̪
guoktelogi	ɔːktoːlɔːgʲi
guoktelogigolbma	qɑftælɑːkiːkʰælæbˈmɑːθ
guoktelogiguhtta	kwˈatːroʒibˈuhta
guoktelogiguokte	kɔˈakːtɑlɔgikɔˈakːitːɛ
guoktelogigávcci	kwɔˈtlɔkikˈaːfsi
guokteloginjeallje	kwaktɛlɔjˈmjaːʎe
guoktelogiokta	kɔːtːnɔgɛɔpːta
guoktelogiovcci	kɔɑktanɔgɛɔftsi
guoktelogivihtta	po˩˥ːaktəlo˥˩ːgəvˈɪçta
guoktelogičieža	kwaːktaloːgitʃjiadʒa
guoktenuppelohkái	kwˈaktˈɪnˈəblˈɑhˈugˈɛlt
guoli	kuali
guolis	kuales
guolit	kooːɑːlˈlɪçt
guollejoga	kwɑlnɛjɔgɑ
guollejogas	kwaljokas
guollejohka	kvɑlːejɑhkɑ
guollejohkii	kwɑlːjɑhki
guolli	kwælɛ
guollái	kʼɔːllai
guoládaga sámi searvi	go ala daga sɑmi sɑrviː
guoládat	koːlˈadˈa
guoros	kplorost
guorus	kuarus
guossi	ɣ̞wasːtse
guossin	kwasdiːn
guossis	un
guossit	kuaʃtzˈɪçt
guossái	kwaszaj
guossáma	tʃoˈsˈma
guossámii	ˈaɪsɐmˈi
guossámis	kwassemestsa
guossán	gɔsˈɾˈan
guottá	kwatːa
guottáid	kwatːai̯t
guottáide	kuotːaiːdˌe
guottáiguin	kwatːai̯kuin
guottáin	kwaːpːtˢai̯nˢa
guottás	gwãtˈtas
guottát	gwatːat
guovdageaidnu	koːaːoːtɑkʰɑhnõː
guovdageainnu suohkan	kwau tə gɛnɪ̞s wɑhkɑn
