aai	ajn
कैसी	kɪsɪ
कोंबडी	kˌomˌɾˈi
कोटी	koˈti
कोण	ˈæn
कोणत्याही	koːnt̪iːeːɦiː
कोणी	ko˥˩ni˥˩
कोतवाल	uðvˈadɪ
कोना	ko˨˩n˧˥a˥˧
कोप	kˈup
कोपर	kupəɾ
कोपरखळी	koːpərkʰəɻiː
कोबी	kɔbi
कोमट	ˈɔmət
कोमल	koːməl
कोयता	kojta
कोरीव	koːɾiːu
कोर्स	kˈuɾs
कोलाहल	kʰolɑhɯ̞n
कोल्हा	kʊlˈhɑ
कोळ	kɔːl
कोळसा	kɔːsˈa
कोळी	kʰuː˨˩iː˥˩
कोस	nʃtʃ
कोस्टा रिका	koːstaːɾikɐ
कौलारू	kʌʋläːruː
कौशल्य	kɾʊsdʒɒlɾe
क्रूर	kruːr
क्वचित	koˈatʃita
क्षणापूर्वी	kʃɑːɾɳaːpʊɾɾiː
क्षमता	ʃamata
क्षेत्र	tʃɛtrɛ
खटला	kʰɑːtlɑː
खडक	kʰəɾək
खडबडीत	kʰəɖbʱɑːɾiːt̪
खडी	kʰəˈliː
खड्ग	kəɺka
खत	kɔt
खरखरीत	kəˈrˈkəˈrit
खरबूजी	kəɾbodʒi
खराखुरा	kəɾaːkuɾa
खरारा	qɑrɑːrɑ
खरेच	ɦɑrɪtʃ
खरेदी	kɾd̪i
खर्व	kʌrɨwɑ
खांदा	kandau
खांब	kamm
खाऊ	pɔːmɑːʈʂɤŋ˩˦kɛː˧˥ʈʂuː˩˧ŋ˥˩ʐan˧˥ʈʂuː˧˥maːn˧˥ʐən˧˥kʰɤ˨˩˦tsiː˨˩˦tʰoʊ˨˩˦
खाते	kʰaːt̚˨˩liː
खार	kɑːr
खारट	kʰəːrəɾ
खिचडी	kʰiːtsʰɐɽiːkɪtsʰɐɾiː
खुबी	kubiː
खुळा	kula
खूप	hˈu
खूपच	kupəts
खेळ	kʰeː
खेळणी	kʰei˧˧ni˧˧
खेळतो	ke˥˩lto˥˩
खोगीर	koːˈgir
खोट	kˈɔt
खोटा	kɔta
खोडकर	koːɾɨkːoːr
खोडी	kˈɔːliː
खोळ	kʰuːl
खोळंबा	kˌɔlˈambˌa
गंगा	gɐ̃ŋˈɐ
गंमत	gmɯ̞mɯ̞
गच्चीवर	gʊtʃiːʋr
गजर	gadʒar
गजरा	gzɾa
गजराज	gˌɐdˈiɹˈaɪ
गट्ट	gʈː
गड	gˈɔl
गडद	gɐɾˈɐd
गढूळ	gʌɖʰuːl
गणगोत	gaɳagot̪
गणित	ɣ̞ɳiːt̪
गधडा	gadɑːaː
गनीम	gniːm
गरजा	gəɾˈza
गरीब	ɣɾiːb
गरुड	ɢaːrdoːg
गरोदर	gərˈoːdər
गर्भाशय	ɾʊŋɾɑːliːʃʰɑj
गलबत	gǎlibot
गळा	gˈa
गहन	gʱɐn
गहाळ	ɣ̞ʰəʝ
गहू	ðˈɪ
गाढव	gaːjd̪ʱɐ
गात्र	gˈaːtˈhˈrɯ
गायन	ˈaɪˌɐn
गाल	gaːl
गालीचा	gɑːljːtʃɑː
गाळ	gaːlˈl
गाव	gav
गावंढळ	gamːdʱoi̯
गुडघा	gʊɖa
गुढीपाडवा	gʊɖɦiːpaːɽʋaː
गुणवंत	ɣ̞ulɾabãnt̪o
गुदद्वार	ɣ̞oð̞ut̪oɾ
गुल	gˈʊl
गुलकेश	galkˈtʃ
गुलतुरा	gult̪uɾa
गुलाबी	gʊləbi
गोंगाट	goŋɭaːɑːʈʰ
गोंधळ	gˌuːndə
गोगलगाय	goːgəlgaːɛ
गोड	gʊɖ
गोणपाट	gɔːnupäːɈ
गोपाळराव	gɔpaˈra
गोमुख	gˈomˈʊkˈɐ
गोल	pʰi˧˥
गोळा	gɔla
गोष्ट	gʊstə
गोष्टं	gʊ̞ʃtʊ̞
गौरव	gɐʊˈɾɑvgˈaːuɾaˈvɑ
घंटा	gʱuːŋ˨˩taː˥˩
घंटी	gʌɳt̪iː
घट	gəɖ
घटक	gʱt̪ok
घटना	gʌʈːənaː
घटनेकडे	ɣʰʈneːkɐɽe
घट्ट	gʱʈː
घडे	gʱɐɽe
घडोघडी	gʱɐɽoːgʱəɽiː
घर	nɔːr
घरामध्ये	gɾmd̪eː
घराला	gəˈrɑlə
घरी	griːb
घाई	gəiː
घाईघाईने	gʱɑːiːgɑːiːne
घाऊक	gawok
घागरा	t̪ʰaːgrɔ
घाट	gɑːt̪
घाटा	gʱəʈːaː
घाटी	gäːʈiː
घाणेरडी	ɢʰaːɳeːɾaː
घात	ɣat
घातला	gʱt̪əlaːq
घातली	gʱət̪liː
घाम	gɑːn
घायाळ	ka˥˥ja˥˩lɐn˨
घाव	gau̯
घास।	gɑːs
घुंगरु	ˌɐŋgˈɹʊ
घुबड	lɛɑːnɛːfɑːʁɛːnɑːtɕʰoːpɛħ˥
घे	g
घेऊन	geun
घेतला	gˈɛtlˈa
घेतली	geːt̪liː
घोट	gɒt
घोटा	gʊːʈa
घोडा	bora
घोरपड	gʊɾpaɖ
घोळ	gʊl
चंदेरी	t̪rin̪d̪eːliːt̪
चंद्रमा	tʃndrɐmaː
चकाकी	tsəkɑːkiː
चतुराई	tʃatˈaːraːɦeːd
चमक	tsɑmɑk
चमचमता	tsɐm˥tsɐm˥t̚˥
चमत्कारिक	tʃmʊtʃkɑːɾɪk
चल	tsɤŋsɤŋsɚŋtʰtɕtɕtʰɤŋtɕtɤŋtɕtɕjɛ˥˩wɤ˨˩˦nfɤ˧ʈsɤŋ˥˩
चळवळ	sa˥˩rvaj
चहा	tʃˈa
चांगला	saŋgla
चांदण्यांची	saːmdaːɾjentiːʃiːm
चांदी	tsan˨˩bi˨˩
चांदीच्या	san˩biʒʱ
चांदोबा	saːmdʒoːbaːm
चाचणी	tsa˥˩sɑŋ˥˥lɪŋ˨˩˦
चाणाक्ष	tʃaːnabʃoː
चातुर्य	tʃɑːtʊɾiː
चार	tʃaːh
चाळ	tsaːr
चाळीस	tʃɑɹnɛs
चिंच	tʃɪn˨˩˦tsɯ˥˩
चित्र	sit̪ɾ
चित्रफीत	tʃitːrˈafˈidt
चिरंतन	tʃɪrtʰan
चिलखत	tʃinˈkat
चुलत	tsʊlɑt
चेंडू	tɕenɾw
चेतापेशी	tʃetɑpeʃi
चेष्टा	tʃestã
चेहरा	seɾa
चैतीस	tʃˈaˈɪtˈis
चैत्र	tʃeitʃɾɔ
चॉकलेट	tʃɒklet
चॉकलेटच्या	tʃɔːklɛtʃɐ
चोरट्याच्या	soːrɪt̪iːnɑːw
चोराच्या मनात चांदणे	soːɾaːtɕjaː mənɑː ʃɑːnd̪ɳe
चोहीकडे	tsoːʦiːkɐɽe
छंद	tʃɛn˨˩lɑŋ˧˧
छटा	tʃʰt˥a˥˧
छाती	ʃʰt̪iː
छान	tsaːn˩˩˦
छानदार	tʃɒndɒɾ
छायाचित्र	tʃʰaːjɑːtʃʈrʊp
छायाचित्रण	tʃaːjatʃitɾən
छावा	tʃaːvɨ
छोटासा	ʃoːʈaːsɑː
जंत्री	zantri
जठर	gətaːr
जड	zəɺ
जडजवाहीर	dʒɖdʒʋɑːɦɪɾ
जणू	sanˈo
जनमत	ɟənəmətdʒənəmətə
जनावर	zɛnaːluj
जन्मांध	dʒɐnmonɖʱʊm
जपान	dʒpn
जप्त	tsɐptɐ
जप्ती	tsap˦i˥˧
जबर	zəbər
जरठ	ʒɛɾɐt
जरब	zæɾæb
जल	dʒʌlɔ
जलद	dʒɑlɑn
जलधी	ʒəld̪ʱiː
जललहरी	dʒlaləhri
जवळ	zˈɑvɚt
जवळजवळ	tsoˈvojtsoˈvoj
जांभळा	dzaːmbla
जाई	zəiː
जाऊ	tsau
जागृत	tʃaːgɾut
जाणूनबुजून	zaːɳunbʊˈzum
जात	zɑːt
जातं	tato
जानेवारी	dʒenɛvɔri
जान्हवी	sãnːəoiː
जामानिमा	zɑmaːnima
जाळ	saˈrɛ
जिंकणे	siŋ˨˩kɪ˧˥li˨˩ʃi˥˩
जिरायत	ɟʝɾaʝet̪
जिरेटोप	dʒɾeˈtoːp
जिलबी, जिलेबी	gɪlˈbiː dʒɪlɛː bi
जिल्हा	dʒʰɪlːəɳː
जिवंत	ʒiʋən̪t̪
जीभ	dʒib
जीवघेणा	dʒiːfgeːɳə
जीवनदायी	d̪iβ̞and̪a
जीवनात	kʰoː˧˥ʂɚ˥˩ʈʂɚ˥˩kʰoː˧˥ʐɤŋ˧˥ʈʂɚ˥˩mi˥˩ɑtu˥˩
जुलै	dʑilej
जुळणी	ʒʊɬniː
जून	ʝˈun
जेवण	dʒeːwaːɳaː
जेष्ठमध	dʒɛʃtʃɐmɐd
जोर	zɔr
जोरकस	zorˈkəs
जोरदार	zʊɾˈdɑr
जोरात	zoːɾæt
जोशी	zʊˈʃi
ज्ञान	vɛan
ज्या	dʒˈɛɹ
ज्याचे	dʒaːzi
ज्वाला	dʒuːbaːlaː
ज्वालां	dʒoːalɑ
झक	dʒˈɑ
झकास	ɟakas
झळाळी	tsɔaɪ
झाड	ɪzhɑːd
झाडाच्या	zəˈrɑdkɑm
झाडामागे	zʱaːɽaːmaːge
झाडून	zʰaːɖuːn
झुपक्यान	bˈɪkət
झेंडे	dʒiⁿɗe
झोक्याला	zokala
झोपडपट्टी	zoːpaɖpat̪iː
झोपडी	zəupɾiː
टर	d̪oːr
टरबूज	tɾbuːz
टांगला	taːŋgəlaː
टाच	tˈɑːts
टाटा	aːt̪a
टाळ	ta˥˩l˥˩
टिकाऊ	ligaɔ
टिग्रन पेट्रोस्यान	teːgˈɾən pətɾoːˈʃjɑːm
टिळक	mˈʌnˈæk
टॉफी	dofi
ठग	tɐgɤɑltˈɑgɯ
ठरविले	t̪ʰaɾvjle
ठाऊक	tʃaːw˧
ठाण	tɑːrn
ठामपणे	t̪ʰaːmpəɳeː
ठिकाण	t̪ʰeːkɑːɳ
ठिणगी	klingʝ
ठीक	t̪eːk
ठेव	tɛ
ठेवा	kʰeː˥˩fa˥˥
ठेवून	pʰeːwŋ
डंख	dˈɑŋkə
डबी	dˈoːbi
डामडौल	daːmdɔːl
डाळ	dˈɑl
डुक्कर	ɖukːə
डोंगर	d̪oŋgəl
डोके	doːkʰeː
डोक्याला ताप	ɖoːjɑːlə t̪əm d̪oːkʰɑːɭə t̪əm
डोळा	dau̯la
डोळे	loɾi
डौल	daul
ढाल	ɖɑːl
ढोर	nˈoɾ
ढोलीत	oːliːt
तंग	tŋgˈke
तंत्र	tɾɛ
तग	tɐgˈɐɔɾtˈɐgə
तगमग	dəgˈmˈɯg
तपकिरी	t̪əpːkɪriː
तपास	d̪epas
तपासणी	təpasˈelə
तम	tɑmɑ
तमालपत्र	t̪emal̪t̪bet̪ɾa
तमिळ	t̪emɪ̞
तयार	t̪oɾjagy
तयारी	kjəːɾiː
तर	t̪oːr
तरतूद	tɐrˈtud
तरबेज	kɾbɛjts
तरी	d̪aːriː
तरू	taɾuu
तर्जनी	ɾɟeni
तऱ्हा	tɾa
तलवार	ɖɐlʋɑːr
तळपायाची आग मस्तकाला जाणे	t̪ɳpɑːjətʃiː əg məstək ɑːlɑː dʒaːɳe
तवंग	tiau˥˧
तहकुब	taɣəb
तहान	taʃaːn
तांबडा	t̪æmɾaː
ताई	taˈiː
ताकद	pʰi˧˥
ताट	t̪əːɾt̪
तान्हे मूल	taːnˈɛ
तार	t̪aːr
तारा	tara
तारीख	ta˥˩
तारुण्य	t̪aɾuɛw
तारे	taːriː
ताव	dau̯
तावदान	tau̯dan
तास	tas
तिखट	tˈɪkˈɚt
तिजोरी	tezori
तिरस्कृत	t̪iːn˧stʃgɾuːd
ती	fˈi
तीन	jʌj˩˦iː�ɛːtʰbɤ
तीस	t̪e
तुच्छ	tut̪tʃə
तुच्छता	tut˦˥tʃʰa˥˧ta˥˧
तुझ्या	tuːdʒaː
तुतारी	tʊtaːriː
तुरट	doːɾəʈ
तुला	tulˈa
तू	tu
तूप	tʊptʊp
तूस	tʊs
तेज	lˈidʒ
तो	tɔ̃
तोंड	tuːnd
तोफ	tʊf
तोबरा	tobra
तोल	tuːl
त्या	jʊŋ˨˩˦joʊ˥˩˦ttnjɛn˥˩
त्यांजकडे	pjɑːnskɪɽeː
त्यांना	tjˈanˌnɑ
त्यांनी	tianŋ˨˩
त्याचे	tiaʰtsʰi
त्रिज्या	trindʒa
त्रिशुळ	tˈɾˈisˈue
त्वरा	dʊɐra
थर	tˈɔr
थरथर	tˈœrtˈœr
थालीपीठ	t̪ʰaːliːpeːʈ
थैली	tjˈli
थोडी	dˌiːtˈvɑːri
दंडक	d̪oːnːɖək
दक्षिण	daks̺e
दख्खनचे पठार	ɖəkʰnːtʃʰe pʈʰaːl
दगड	dogoɾe
दमणूक	dˈə-blˈuk
दर	dor
दरम्यान	dɔrmæn
दर्या	bæɾjaː
दर्वळ	tɑriβaɪb
दळणवळण	dɑɺaːnəwaˈɺaːnə
दळवी	dˈøy
दवबिंदू	d̪eβ̞jnð̞u
दवाखाना	d̪eβ̞akona
दशअब्ज	daːˈʃəabdʒa
दशकोटी	dʃkoːʈi
दशलक्ष	dəsijələbkʃa
दशसहस्र	laʃaːsmaːsika
दशहजार	dʃxadʒar
दस्तुरखुद्द	dɒˈstftɒɾˈkɒtˈdiˈ
दहा	daha
दहीभात	dˈo
दांडपट्टा	ɖɑːɳpəʈːa
दांत	d̪at̪
दाढी	dɑːɾiːl
दात	naːtɔnnaːtɔk
दादरा आणि नगर हवेली	d̪aːzɾɑː ɑɳi ŋgər ɦeːli
दान	dˈan
दानव	daːnəw
दामलो	damlo
दार	daːr
दारुगोळा	dɑːruːgoːdʒaː
दारुण	dˈɾuːn
दालचिनी	daltʃini
दिगंतर	tɪkˈɐntˈɛr
दिग्दर्शक	diːgdəɾˈgə
दिग्मूढ	dˈe-gˈmuɹ
दिमाख	vimak
दिलासा	djlaza
दिले	ɪlˈeɪ
दिवशी	bɪuʃi
दिवस	bɔːz
दिवा	divaː
दिवाळी	d̪aːβ̞aɾi
दीर	d̪iːr
दु:ख	pu˥˩kʰɤ˥˩
दुंदुभी	ð̞unð̞ubi
दुखापत	duːkaːpˈtˁ
दुचाकी	dutsaki
दुधखुळा समजणे	duːd̪ʱoːɭə ˈsɑmɑzɪne
दुमजली	duːmədˈəliː
दुरुस्ती	drˈʊˈzti
दुर्गम	duɾgɐmɐ
दुर्जनांची	dodʒənɑːʎdʒi
दुर्दैवाने	durdɛjwane
दुर्मिळ	duɾmiˈjojɑduɾmiˈjoj
दुर्लक्ष	doːrləpʃaː
दुष्ट	dʊʃtʊ
दुसऱ्या	dˈusriˈɑ
दु्ष्ट	dʊ̞ʂtʊ̞
दूत	dˈutːa
दूध	dˈut
दूर	dˈuːɾ
दृष्टी	brɛʃti
देईल	beɪl
देव	dˈeɪvʊ
देवनागरी	devnagri
देवा	d̪ɪʋaː
देश	dˈeʃ
देशपांडे	ɖʊspəɳɖ
देहदंड	ðeːʱdɐndə
देहभान	dijɦbʱan
देहाची	neɦːaʃi
दैत्य	d̥ʊ̞tdʲɪ
दैव	d̪aːeːʋə
दैवत	dajvɔt
दोडका	dʊɾqa
दोन	dˈon
दोष	dʊ̞ʃ
द्रव्य	dɾɐvjɐ
द्रष्टा	ð̞əɾəʂʈːə
द्रुम	dɾum
द्वंद्व	ankauanak
धंदा	ɖɐnːdɑː
धक्का	d̪əkːaː
धग	dˈøk
धडपडणं	ɖʱəɖpəɳa
धडा	d̪ʱɐɽaː
धन	d̪ɔ̃n
धनत्रयोदशी	danatrajodɑʃi
धनुष्य	dˈɾˈnuːʃtʃə
धन्यवाद	ð̞anʝavat̪
धबधबा	dabdaba
धमक	d̪əmək
धर	dˈarɑ
धर्म	tərmɔ
धातू	daːtuː
धार	d̪ʱaːr
धुंद	dˈʌnˈdˈo
धूड	dˈuɾ
धूर	dʒura
धूर्त	duɣ̞ɾut̪a
धैर्य	daɪɾijɐ
धोका	doːkə
ध्यास	d̪iːz
ध्वनिफीत	dʋɐniːfiːt
ध्वनिमुद्रिका	dʋaːmjiːmudrika
ध्वनी	dwˈɛ̃ːnˈiː
नंतर	nantɯ̞r
नंदुरबार जिल्हा	nndoːr baːr dʒiːlɾaː
नऊ	nˈoʊ
नको	nˈot
नक्कल	nkɐl
नक्कीच	nˈokˈit
नक्षी	nˈokki
नख	nok
नणंद	naɳɑndo
नतद्रष्ट	natɛdrɛʃtɛ
नथुराम गोडसे	nə t̪oːɾɑːn goɾ seː
नदी	nð̞
नभीं	nˈoːb
नमस्कार	namaskaɾ
नमुना	namuna
नये	nai̯
नर	nɔ̃
नरक चतुर्दशी	nəɾəkə tʃʰətor dɐʃiː
नर्तन	nʊɾtɔŋ
नवयुवक	navajovək
नवरा	nabeɾa
नवरी	navri
नववी	nauˈvi
नवस	nˈoβəlz
नवा	naba
नवी	navi
नवी दिल्ली	na viː dɪlˈliː
नव्या	nobia
नव्याने	navjani
नव्वद	nau̯vɑd
नव्हे	nˈoːbi
नशा	nˈoʃa
नशीब	naʃjˈb
नश्वर	nəʃwɾ
नसेल	nasen
नाक	nˈɔk
नागपूर	naːdguʒb
नाट	nˈɑt
नाटक	n̪aːʈːe
नात	nˈɑt
नातं	natˤ
नातू	natu
नातेवाइक	nat̪eɣ̞ai̯k
नातेवाईक	naːt̪eːʋaɪk
नाद	nˈaad
नापसंत	n̪aːpəsɐntː
नापसंती	naːt̪iːɭ̆ə
नार	dav
नारळ	naːdɑːr
नारिंगी	nɑːɾɪŋiː
नाळ	nˈaɪ
नाव	nˈaʊ
नाव सोनुबाई, हाती कथलाचा वाळा	n̪aːʋs̪õːn̪uː baːi ɦɑt̪iː kəʈɭäːtɕe ʋaːɭj
नावं	navo
नाविक	navik
नावीन्यपूर्ण	n̪aːvinipuɾɐɳu
नाही	vˈaɪ̚tkˈjʊŋ˨˩˦ʁˈaɪ̚tstʁəm˨˩˦tɕʰɪŋ˧˥ʐ˥˩wxʊŋ˥˩tɕʰɪŋ˧˥ʁ˥˩wɑŋ˧˥tʰoʊt˥tɑ˥
नाहीये	nãĩːe
निकड	nikɾ
निखर्व	nʲikarɯlɯ
नित्य	nʲit˦tʲːə
निनाद	nˈimad
नियती	nijati
नियमभंग	niːæmˈbøŋ
निरंतर	nirentɯr
निरनिराळ्या	nirɾaːja
निरागस	niradus
निराशेचे	niːɾɑːʃeːtse
निरीक्षण	niːrɪkʃn
निरूपद्रवी	miɾupat̪d̪ɾaβ̞i
निरोप	nˈɪ
निर्णय	mɪrːʌiː
निर्धोक	mildʊk
निर्माण	nɛːrmaːɳ
निर्मिती	viːrmɪti
निर्विघ्न	nɪɾʋɪnː
निळा	dˈiʁˈlaː
निवड	nɛːʋɑːɭ
निवडलेल्या	n̪iːʋ̩ːɖɐleːlɑː
निव्वळ	niːˌvɔl
निशा	n˩˩˦i˥˩
निशाचर	niːʃaːɾtɕɭ
निशाण	niː˧˥ʃaːr˨˩˦
निश्चेष्टता	nɪːʃtʃʰtʰt̪ːaː
निष्णात	niːʃnɑːt
निष्पाप	niːʃbæb
निसर्गदत्त महाराज	nsrgdatʃmə haːraːz
नीतिमान	netʃimal
नीलम	milaːm
नुपूर	nʊpuɾ
नृत्य	nʊɾʊtdʲːɐ
नेहमी	niːmiː
नेहमीप्रमाणे	nəɦʰmiːprəmaːɳiː
नैऋत्य	nʲirʊ̞tʲːʲːa
नोव्हेंब	novemβ̞eɾ
नौरोजी	nauɾɔdʲi
न्हाणे	nɦaːɳi
पंच	pan˥˥tsɯ˧
पंचनामा	pəndzɐnɑːmə
पंचवार्षिक	pəndʒwaːrsi
पंचवीस	pʊŋʒʋiːs
पंचा	panxaː
पंचांग	pan˨˩˦ʈʂaŋ˥˥
पंचाईत	pnzəid̪
पंजा	panːzaː
पंत	pẽn̪t̪oɾ
पंथ	pɐn˥˥tʰɤ˨˩˦
पंधरा	pənd̪ɾaː
पक्षी	pəkˈsi
पक्ष्याची	əkʃɑtʃiː
पण	kɔːn
पत	pɔt
पती	pətiː
पत्ता	pɐtˈa
पत्नी	pətniː
पत्र	pˈɑtrə
पत्रकार	pˌɐtɾɐkˈaɾ
पत्रव्यवहार	pəʈːrʋʱɑhɑːr
पथ	bɔt
पद	pɔd
पदवी	padwi
पन्नास	atmas
पन्हे	bən˧hĩː
परंतू	peɾent̪ul
परत	qɯ̞rɯ̞t
परस्पर	bəˈɾaspər
परस्परांशी	arɛspərɑːnʃiː
पराक्रमी	paraːkramʈ
परार्ध	paɾaɾdã
परिपूर्ण	pəriːpuːrɪnə
परिमार्जन	pəɾiːəmaːɾdʑən
परिवार	fəˈɾiːʋaːɾ
परिश्रम	pəɾɪʃrəm
परिस्थिती	paːrɪsˈteːtɪ
परीक्षा	pəɾiːkʂə
पर्जन्य	bˈiˈɾˈɒznɒv
पर्व	pɐɾəvɐm
पर्वत	parʋat
पळसाला पाने तीन	ko asaːl ɑpɑnɛtin
पशु	bˈaʃu
पश्चिम	pʊstʃim
पश्मीना	bʃiona
पसंत	pəsɪntə
पसंती	ʋəsnt̪iː
पस्तावणे	pəstɑːʋɳe
पहाट	ʊ̞ɦɑːʈ
पहार	fɑhɑr
पांगळा	tɑ̃nˈløː
पांढरा	pənˈɖʱaː
पाउुल	bɒul
पाऊल	paːʋl
पाऊलवाट	auɾuaːɾɖ
पाऊले	taulɛ
पाऊस	baʊs
पाक	ap
पाककला	pəkˈkɑːlə
पाककृती	pagəkːrʊt̪i
पाच	pɑːts
पाचू	ai̯tsu
पाट	pɑːt̪
पाटा	sa˨˩ta˥˩
पाटी	paːtiː
पाठ	paːt̪
पाठलाग	pəʈːləg
पाडवा	pɑːɖʋäː
पाडव्याला	pɑːɖʋiːəːɦɑː
पाणी	paːni
पात	part
पातं	pa˥˥tɤ˥˩
पातळ	pa˥˥təl˨˩
पातळी	fatʰi˥˩
पाताळ	pa˥˥tta˥˥l
पादत्राणे	pɑːd̪ʐəʈɾaːɳe
पाना	pana
पाप	a
पापुद्रा	papudra
पामर	fɑːmˈør
पाय	bˈaɪ
पाया	maːja
पार	pˈaɾ
पारंगत	aɾuŋuukːɐtː
पारख	pɑːrək
पारवा	pɑːɾoɑ
पाल	pɑːl
पालक	qɑlɯk
पालथ्या घड्यावर पाणी	əːlt̪ʰjɑː gʱɐɖʱjɑːʋɾ pɑːɳiː
पालेभाजी	paːlebʱədʒiː
पाव भाजी	paːnˈtɕi
पावती	pau̯pi
पासून	pasun
पाहिजे	pɦg
पाहून	iːnhuːljɛ
पिंजरा	pʊiːnsˈɾaː
पिठूळ	bɪtˈuɾˌ
पितळ	pˈitoˌɾ
पिता	pˈɪtˈa
पिते	itˈe
पित्त	pito
पिल्लांस	ɾˈɛst
पिल्ले	biʝː
पिवळा	piʊ˥˧la˥˧
पिशवी	bʃu
पिशाच्च	viʃɑːtʃɑ
पिसे	bisˌe
पीक	fˈik
पीठ	piːt
पुढे	ʊɖɛ
पुणे	pune
पुण्य	unja
पुन्हा	ulãm
पुरवठा	puːɾɔːt̪ʰaː
पुरुष	bʊɾuʃ
पुरुषोत्तम	ʊɾʊʃɔtːɑm
पुलाव	ul̪a
पुषकळ	kuskaj
पुष्कराज	bust̪kaɾatʃ
पुष्कळ	koueskoi
पुस्तक	wstɯ̞k
पूर	puvɯ̞r
पूर्ण	poːrːnː
पूर्णपणे	buːɾuɳpːɳai
पूर्तता	uɾtɑtɑm
पूर्व	oːriva
पूर्वसूचना	pʊːrʋasʊːtʃːnaːm
पूल	puɪ
पेट	peɪd
पेटी	peːtiː
पेपरमिंटच्या	pepɾminʈjə
पेशवे	beʃveː
पैंजण	waɪŋ˨˩˦tsaɾ
पैठण	ˈɑɹjˈuˈtɹɒnəm
पैसा	faːn˧sat
पोकळ	bokaɾ
पोत	pɔt
पोतं	put̪a
पोर	oɾa
पोरं	uːrɐ
पोळीचा कुचकरा [slash] कुस्करा	ɔɫitsa kɔtskəɾa ɔlitsa kɔtskə�ra
पोवळे	u˨˩˦
पोशाख	poːʃɑːk
पौरुष	pau̯rou̯s
प्रकार	pəˈkɑːr
प्रकाश	pɾakˈaʃ
प्रचंड	pratʃˈaɲˈeˈlɜ
प्रणय	əro
प्रणाली	pɾʱnɑːliː
प्रत	rˈɑt
प्रति	pɾat̪i
प्रतिकार	pɾd̪ɪkaːɾ
प्रतिज्ञापत्र	tɾɛtɪdmjapɛtrɛ
प्रतिभा पाटील pratibhā pāṭīl	pɾɑːt̪iːmɦeːt̪ paːɹt̪eː
प्रतिमा	pɾɛtima
प्रतिष्ठम्	nʲaːʃtʃam
प्रत्यंचा	pɾat̪t̪jɐntʃa
प्रत्यक्ष	pˈɾˈtˈkˈakˈsˈa
प्रपंच	prapaɲtʃa
प्रबळ	pɾɐbɔl
प्रभात	pɾəbɦɑːt̪
प्रभू	bɾʊbˈu
प्रमाणाबाहेर	prəːmɑːɳäːbaːɦɪɾ
प्रयत्न	prijetna
प्रयत्ने वाळूचे कण रगडिता तेल ही गळे	ʋrjt̪ne ʋaːɭuts̻e kɳɐrgɐɾiːt̪aː ʈeːjɭɦiː ɣɭe
प्रयास	bɾəːjɑːs
प्रर्दशन	bɾɑdaɾˈɯˈʃɑnɯpradɑrɯʃtanɯ
प्रवाळ	bravɑja
प्रश्न	ɾʃnɑ
प्रश्नोत्तरे	prʊʂnʊt̪t̪ɐɾe
प्रसंग	matavitskatoleʃta
प्रसाद बर्वे	ɾɑːsɑːt̪ bəɾwe
प्रसिद्ध	pɾəsid̪d̪a
प्रस्ताव	prestau̯
प्राणि	laːniː
प्राणी	praːnːiː
प्राप्ती	pɾɑːpːt̪iː
प्रित	pɾit
प्रेक्षक	pɾekʃak
प्रेक्षकहो	pɾːəkːʃəkəhoː
प्रेमभाव	pɾɛːməbʱɐʋ
प्रेमळ	pɾɛjmɔj
प्रेयसी	ɾɐɪɐsʃi
फक्त	pʊ̞tˈtʊ̞
फडशा	pəɕaː
फणस	fəˈnɛsfɔˈnɑs
फरीद रफ़ीक ज़कारिया	məˈɾiː prəfɪk tʃəˈgaːɾiː
फल	fəl
फळ	fɔː
फळबाजार	fæɾɣbaːzɑːr
फळभाजी	pɑːɾbʒiː
फळे	pˈɑɹi
फांदी	pãn˥˥li˥˩
फाटा	pʰaɻta˨˩˦
फार	pɑːr
फुलपाखरू फुलावर अलगद बसले.	nʊmɐsˈkɑr
फुलातुन	ful̪at̪un
फुले	fl
फुलोरा	pʊlnˈɔrˈa
फूल	fˈɔl
फेफरे	pˈeːtri
फेब्रुवारी	fabrˈori
फेरीवाला	ʋeɾiːʋaːlː
फोडणी	poɖnːiː
फोन	fun
बंगला	bala
बंगल्याला	bəŋɭjɑːlaː
बंग्ला	bʊŋla
बंड	bɐɳɖɐ
बंडी	bd̪iː
बंद	bndɐ
बंदिस्त	bɛndistɔ
बंदी	bənˈliː
बंदूक	bənduːq
बंधन	bəɳɖʰən
बंधनकारक	b̪ʱaːn̪d̪ɳkɑːrk
बक्कळ	bkːt
बचावकर्ता	ɓəˈtʃəɭkɐrtə
बट	bˈɚt
बटाटा	bʱt̪aːt̪a
बट्ट्याबोळ	bˈakːəbˌeː
बदफैली	bʃtpli
बदल	badaːn
बनाव	vnɑːɔ
बनावट	bənɑːʋət
बरं	bɔrɔmbɔrɔmbɔrɔm
बरळणे	bəɾaːlne
बरोच	bɐrɔtʃ
बर्ची	bɾtʃiː
बस्ता	bʌstaː
बहर	bəɣoːr
बहीण	ɓəɦɪɳ
बहुतांश	bɐɦʊtaʊnʃ
बहुतेक	bʱuːt̪eːk
बांधकाम	bankamp
बांधा	bəːnːd̪ʱ
बांधीव	bə̃ːnːd̪ʱiːʋ
बाजा	bʱt̪ʃa
बाजारबुणगे	bazərbuːɳge
बाण	bäːɾn
