"сэ" жызыӏэ	sˈa ʒˈɛzˈa
данэху	dɛnˈef
дапхуэдиз	dapˈfwˈa
дапхуэдэ	dˈafwˈadˈø
дапхъэ зэтет	dab xaztˈet
дапщыгъуэ дыщызэрылъагъунур?	tɛp ʃɯlˈʁɑ dʊ̞ʂʊ̞zɑrɯ̞sʲɑʁ ʁunɯ̞r
дапщэ	dapʃa
дапщэрэ бжесӏа?	dap ʃrb ɣ ɑs ɑ
дапщэщ	tɐpʃaʃ
дапщэщ къыщыпшэнур?	tæpsæʃ ɦɑsɯp ɕænʲur
дарииху	dˈɛrjɪv
дарий	dˈɐriː
дау ущыт?	dau̯sut
дауи	daɪˈs
дауикӏ	dau̯itʃ
даущ	dˈɛʊʃ
даущыфӏыр щылъу даущ бзаджэр мэӏу	dawʃɪ fʊrʃiʃi dawʃbza ʒir mɛw
дауэ	dauːɛ
дауэ ещӏылӏэн	tæwæjjæzltan
дауэ къыпщыхъурэ	dauqɯ pʃoχoɾe
дауэ къэбгъэхъум сыхуейкъым	dawɑqə bɐrɑqɔm sɛfˈlɑj ɛm
дауэ сщӏыми дауэ хъун, дауэ хъуми дауэ сщӏын?	dawˈsxonʃˈimdawˈxonʃˈdawˈxon
дауэ уеджэрэ?	ðˈævə ʋˈeːɟəɾɛ
дауэ ущыт	dawɑw ʃit
дауэ факӏэлъыплърэ фи унэхьэхэм?	tiau̯ faɢɪsjɪ psɪrɪksi wnâːçɑχɛŋ
дауэ хъуну?	dɑo xɔnʊ
дауэгъу	dauwˈɔː
дауэдапщэ	tawɔdɛpʃe
дауэми	dawɑmɪ
дауэрэ ухъурэ?	da ta ora o xoɾa
дахагъэ	dˈɛxaɣə
дахагъэм гyp егъэгушхуэ	tæθaː ɑɣɑm gʏrjaː gaːguːʃ χɯ
дахыхьэн	daxan
дахэ	dˈaxa
дахэ псори дахэкъым	daxəpsuɾi daxə ɯm
дахэ щӏэн	ðˈaxə zˈæn
дахэкупсэ	daxakutsə
дахэкӏей	ðəxˈɛtʃe
дахэкӏэ	dɑːxadʒɑ
дахэлинэ	dˈɛstʃˈalɪnˈɛ
дахэлынэ	tɛjatɛjnɑ
дахэм	daxəm
дахэм блэр гъуэм къыреш	dähɯ̞m bʲjɑr ʁɑm qɑrɑjɯ̞ʃ
дахэм еплъыр нэщхъыфӏэщ, шыфӏым тесыр хуэбгъакъэщ	daxɛm jæpsɛr nɑsxufɑs ʃɪfˈuːm tɛˈsɪr xʷɑbɢɑqˈɑs
дахэм и напэ пӏастэ ирагъэпщӏыркъым.	daxɯ̞ mʲinɑpɯ̞ pɑʂtʰɯ̞j rɑʁæp zoɾ ɯ̞m
дахэнагъуэ	daxanaɣwe
дахэр зыгъэдахэр и щэнщ	daːxər zɣa daːxər je ʃɑntʃ
дахэтхьэпэ	daχatħɑpɪ̞
дахэу	daxɛɫ
дащӏэ	dˈɛstˈwˈ
даӏим	laːimˈpˈɑq
даӏимауэ	ðaimaːwɜ
даӏуэ	dæɾ
даӏуэ шхиипэ тоувэ («даӏуэм насып къохъулӏэ» жыхуиӏэщ)	dɑwɑʒ xaʔjj pa tɔvɪ dɑwɑm nɛsɛp qɑwɑ xoz lɑjxoi az
дегъэпӏытӏэн	dɒaːpʊ̞tɒn
дегъэхузэн	dˈɛʁafuzˈɛn
дегъэхьын	ħuħan
дегъэщтэн	diʁasʈan
деджэн	deʒˈɾˈɛn
деж	dˈeʒʊ
дежьыуакӏуэ	tɨʒwˈaːkwˌɐ
дежьэн	dˈeˈʒˈɛn
дежэжьэн	dˈiʒˈɒsɒn
деилъэ	de̞ʲɪɮɛ
дей	dɛ
дейцӏыкӏу	teːzɯk
делагъэ	delaːrə
делагъэ упщӏэ	tæ̹ljˈɑ̃ɑ̃ ʊpːʃa
делагъэм уритепщэ нэхърэ, акъылым урипщылӏмэ нэхъыфӏщ	deˈlaɣɑ moˈɾi te pʃɛ nɑχɾɛ aqɯdʒe moːri pʃʉsmɑ nɐχʉvʃ
делафэ	deʒˈafˈɛ
делэ	deːʒle
делэ бзаджэ нэхърэ делэ дыдэ	tʃo̙tsɯg zætʃnɐχɪ̞ɾɑ tʃo̙tɕ tɪ̞
делэ благъэ нэхърэ губзыгъэ бий	d̪e̞j læb dzæɢɑnɑ ɣɾɑ gubzɑ ɣɑ bɪ̞
делэжь	beʃɛʃ
делэм имыӏуэху зэрехуэ.	tejɫdɒm mimʉ̞ ʊ̞w zɯ̞rɪ̞wχɯ̞
делэм куэд ищӏэ къыфӏощӏыж	tæjzæm kwɑt jɛsɑq ɑfɑn ɑsˈɯz
делэм уи пыӏэ хуэгъэтӏылъи блэкӏ	dʲiʲɟɛm uj pʉː ʔafɑʁɑ tʃiːb ʔɪbʲɛtʃ
делэм уи пыӏэр ети блэкӏ.	teɣɯɬɛ muj pːaːr jɑti bɫʝɑtʃ
делэр гугъэурэ жьы мэхъу	tɪ̞jɫær gʊ̞hɑuɯ̞rɯ̞ ʒʊ̞mɑχ
делэр жылэу ясэркъым	tejɫɪ̞r ʒyʲːæw jæsɯ̞r ɪ̞m
делэшхуэ	delesxo
делэӏуделафэ	telatela
деплъынщ	tɛpsinʃ
дерс	bɜːst
дерт	dæɾt
дестынэ	deˈstinɒ
дестэ	dˈɛst
деӏэн	ln
джа	dʒuˈja
джабэ	dʒab
джаджэ	dʒadʒɐ
джадэ	dʒadɒ
джалэрей и натӏэ быдэ мэхъу	dʒæ̹lɛriː inɑːtɯː bɪ̞ðːæmɑq
джалэри къотэджыж	dʒældʒeriː qɑtˈdʒæj
джалэу и ӏупэ зэгуэудами ерейщ	dʒaːr lew je opa zago da mi eɾeʃ
джанабгъэ	ʒˈɛnˈabra
джанапхъэ	dʒenab
джанэ	dʒaːn
джанэ бзын	dʒɒnˈiˈ bˈizim
джанэ дахэ	dʒɐnˈɛdɑk
джанэ щӏыӏутелъ	dʒɑnˈnɑˈsʊ ʔaɟˈez
джанэбгъэ	kɒnˈɒbˈri
джанэкӏэ	dʒenɛdʒi
джанэщӏагъщӏэлъ	dʒɑnɑsɑxfɑʃ
джатэ	dʒate
джатэр ижмэ, щабэщ	dʒatri ʒmæ sɑːbəs
джатэӏэпщэ	dʒatɒæpsə
джаур	gavur
джаур зауэжь	gʊˈr zævɑʒ
джафэ	dʒaf
джей	jˈeɪ
джуныгу	dʒˈɛnˈɛ
джыг	dʒʉx
джыгуэрэ	dˈɛgˈuɐɾɐ
джыдащхьэр кӏуэдмэ, джыдэкӏыр ягъэсыж	dʒidɑːʃ hær kwadmɛ dʒidɛ dʒyːr jaʁ ˈʁɑsɪg
джыдэ	dʒdɒ
джыдэр кӏуэдмэ, и кӏыp дыщэщ	dʒider qɒdimˈɒˈjitʃer dɒʃiˈɾˈ
джылахъстэн	dʒyzˈaːxstɛn
джылахъстэней	dʒyɬʁsɯtɯŋ
джын	dʒɪn
джырафинэ	dʒrɛfine
джырджын	dʒrdʒyn
джырмэпэж	ʒɛrmʊ̞pɑʒ
джырышкӏий	dʒrɛʃti
джыӏэн	dʒuːʔan
джэбын	dʒæbɪ̞n
джэгу	dʒʊg
джэгу пэтрэ нэ иращӏ	dʒæg petɾe næj rɑs
джэгу уэрэд	dʒakuaɾət
джэгуакӏуэ	dʒagwakwɛ
джэгуалъэ	dʑakuaʑtstʃɛ
джэгум пагуэ къокӏ	dʒɑːgum pʰʒɑːgj qɑdʒ
джэгум хэту «си гъуэншэджыр къызэтыж» жызыӏам нэхъей	dʒagoum xatəw siʁwanʃɛ dʒyɺqizɑtːɛʃ ʒyʒʉʃɛ amnˈaxɛ
джэгум хэту зэшам нэхъей	dʒagum xʈətu zʃam naxe
джэгун	dʒˈˈgwin
джэгуншэу	tʃiɣunʃˈeˈwˈ
джэгупщ	dʒˈɛgʊps
джэгур уджкӏэ яух	dʒɛgu rwdʒtʃɛ jaax
джэгурей щӏыкӏэ	dʒagur eʃutʃe
джэгухэшэ	dʒakxaʃe
джэгушхуэхэр	dʒguːʃχoheɾ
джэд	dʒɛd
джэд вей	dʒɛdvɛj
джэд дамэ	dʒetdaːmɨ
джэд жыпӏэми, зы джэдыкӏэщ	dʒˈɛd ʒypˈmiz dʒˈa dʒˈɛs
джэд лъакъуэрэ хьэ лъакъуэрэ зыубыда щыӏэкъым.	dʒadθa qoːra ħaːxa qoːra zubi dʃ ˈm
джэд лыбжьэ	dʒɛdlʲi bɨzø
джэд мыкӏэцӏ пшэрщ	dʒɛdmʲitʃɑts pʏʃærs
джэд пшэр къэбубыдынумэ, адакъэм бгъурысым епхъуэ	dʒɛdpuʃɑr qɑbu bɪˈtɪlmɑ dɑqɯm boɣursɯm jɑpχʊ
джэдгъалӏэ	dʒidʁas
джэдгын	dʒaadjn
джэдгын зи жагъуэм и пащӏэ щӏыӏу къытокӏэ	dʒadgine zidʒaː ɣɑ mi paswaˈsa ʔuːtɑ dʒa
джэджащхъуэ	dʒɑːdʒkoːˈhɑ
джэджьей	tʃatʃɪ
джэджьейм джэдыр егъэсэж	dʒadʒamɛ dʒadɛli ʁasɛʒ
джэдз	dzʲɛdz
джэдкъаз	dʒdqaz
джэдкъаз бгъэшхэн щхьэкӏэ	dʒɑdˈqɑz bˈaɣæʃxæng ħadʒɪ
джэдлъэбжьанэ	tʃɔtʃɒbʒanɒ
джэдлыбжьэ	tʃetlibɨzɛ
джэдлыбжьэ зымыщӏыф нысэ хъун?	dʒædliːb ʒɒzm ʒɒfnɒsɒχɒˈn
джэдмышх	gʲɛtmɪʃk
джэдрэ пэт щыфӏагъэжкӏэ мэлъэпӏастхъэ	dʒɛ drapʰet sofɑɢɑ ɣɛ ʃtɕem atɕ pɑst χɯ
джэду	dʒadu
джэду гъунэгъурыпщщ (3и унэ гъунэгъуу нэгъуэщӏ щӏыпӏэ жэщ щыӏэм ауаныщӏу хужаӏэ)	dʒɑduɣunɑ ɣurups jwɪnɑ ɣunɑʁu nɑwɑstupɑ ʒæstʃi ɑmɑwɑnɯsufu dʒɑʔɑ ɑs
джэду цӏыкӏу	dʒaduzik
джэду шыр	dʒetʃeʃe
джэдугъатхъэ	ʒˈədoʁˈaːtʁ
джэдум	dʒdoːm
джэдум и щхьэр зэрыкӏым ипкъри йокӏ	dʒedoː miːʃ hær zrdʒoːm je pɣri jɑdʒ
джэдум хуэмыгъэпщкӏур и вейщ	dʒa dum fˈɔʁmˈa ʁabʃkuːr ˈe veʃ
джэдупащӏэ	dʒəduːpɑzwɑ
джэдур дзажэм лъэмыӏэсмэ, «бэрэзджщ» жеӏэ.	dʒadwr zɑ ʒəm sɑmɑ ɑsmɑ brɛz ʃtʃe e e
джэдур дзыгъуэкӏэ лӏыхъужьщ	tʃe doɾ dzəɣɑ tʃe lɑχoz
джэдур лым лъэмыӏэсмэ «мэ щоу» жеӏэр	dʒɒˈduɾ lim sɒmˈɒˈsmɒ mɒʃɒv ɒʃ
джэдутхьэкӏумэ	dʒdoːdħækoːmæ
джэдуукӏэ	ʒˈədˈuːbədʒˈɑ
джэдхъурсанэ	dʒdχursaːnɑ
джэдхъусанэ	dʒdˈxosˈɑn
джэдыгу	ʒˈˈdegˈu
джэдыгу бдзы кӏыхь.	dʒɑdɯk bɛt zɛtɕħ
джэдыгукӏагуэ	dʒɛdikutsˈaːgwɛ
джэдыкъуэ	dʒɛdɪ̞qɑ
джэдыкӏэ	dʒadɪdʒa
джэдыкӏэ къэзыдыгъум джэди къидыгъунщ	dʒɛddɪ dʒɑqazidɑˈ qɔm dʒɑddɯ qijdɑlʁunitʃ
джэдыкӏэ пэтрэ фэ тӏуащӏэ иӏэщ	dʒɛdidʒæ pætræ fætwɑsr æs
джэдылъэ	dʒadiʃlɛ
джэдылӏэ	dʒɒtʈɒs
джэдылӏэм зыдахьа бабыщ	dʒɒtlɒm zˈidɒˈ hɒˈbˈɒbˈiʃ
джэдым фэнд кӏэрыщӏащ (3эрышхэрейм щхьэкӏэ жаӏэ)	dʒɛddɪm ʔefend dʒyzɑs zɑrʃ hæriːmiz χɛttʃɛ dʒaː
джэдыпхэ	dʒɛdɪpxɛ
джэдыр гъэлыгъуэн	dʒɑdˈɾɑ gɑdʒɯgɑn
джэдыр псы щефэкӏэ уафэм доплъей	dʒadr psɛ ʃɛjfetʃɛ wafem dɔp ʃe
джэдыр щыкъакъэм щокӏэцӏ	dʒadɾɑj ɑqɑm ʃotʃatsʰ
джэдэн	dʒɒˈdɒn
джэдэщ	dʒetes
джэдэщыбжэ	dʒˈɛdəlʒˈʌbʒˈ
джэкӏуакӏуэ	tʃekuapua
джэлэн	dʒøzen
джэмыдэ	dʒemde
джэн	dʒen
джэнш	dʒˈɛnʃ
джэншдэжей	tʃanʃtaʒɛ
джэншхъурей	dʒenʃxorei
джэншхъыджэбз	dʒenʃxudʒɒb
джэрджэм	dʒɛrdʒɛm
джэримэс	dʒaˈtimas
джэрпэджэж	dʒrpːodʒeʃ
джэрш	dʒœrʃ
джэрэзын	dʒɛrzɪm
джэху	dʒoːf
джэш	ʒˈɛʃ
джэш дзын	dʒɛʃtʃɪn
джэшдэжей	dʒɒʃtˈadʒe
джэшнэпцӏ	dʒɒʃnɒbts
джэштхьэпэ	dʒʃtapˈpˈɑ
джэшхъурей	dʒɑʃχoːre
джэшхъыджэбз	dʒɒʃxˈɒˈdʒɒb
джэшыдзу	dʒeʃitzu
джэшыдзэ	dʒɒʃitˈze
дзагуэ	zagɣu
дзажэ	sˈaʒˈɛ
дзажэналъэ	tsɔʑonasˈtɛ
дзакӏуэ	dʒakwɛ
дзакӏуэлӏ	tsakwa
дзапэ	zˈap
дзасэ	zˈas
дзасэм тхъу пызагъэрэ?	zɑsɯm tɛrˈxob zɑˈrʁə
дзасэри мылыцӏу, лыри мыцӏынэу	tsiasɐrɪ mɪtʰɪts uɫ dzere mɪtʰɪχ næw
дзей	dzʲi
дзыбэ дзыусщ.	tsibˈaʒˈ wˈɪs
дзыгъуэ	zˈu
дзыгъуэ нэпсейр шэм етхьэлэ	zæɢɑnɯ̞psɪ̞r ʃæm jɑthæ̹ldɪ̞
дзыгъуэ пэтрэ и гъуэ щылӏыхъужьщ	tzɪxɑpɛtræ je ɣɑʃɯz ɑχʏ̞ʒ
дзыгъуэ цӏыкӏурэ пэт ӏэтэшхуэм ипӏытӏыркъым	zɯwɑtsɯ koɾa pɯ̞t ɑtæjʃ xɔ̞m je pɫtɪ̈ɾ ɯ̞m
дзыгъуэкӏэ	zɢuaʒg
дзыгъуэм и цыр кӏыp хъумэ, щӏыӏэлӏэх мэхъу (щыкӏыгъуафӏэм ираӏуэкӏ)	tɵgɵɵ mitsir tʃir χɵmɵs u atlɑj xmɑw̜ sʏtɕxɔʁaf ɢɑmiɾɑk ɢɑ
дзыгъуэм кӏапсэр зэпишхыкӏт	zə ɣom ʒɑpsər ze pjiːʃ xɪtʃd
дзыгъуэм кӏапсэр зэпишхыкӏырт	zæɣɑm dʒɑːpsær zæɾ piʃkʉ dʒiːrd
дзыгъуэнэф	soʁɔnˈaf
дзыгъуэнэфрэ пэт къуалэбзум хабжэ	zɢɑnæ fɾɛ pʰæt qɑæʃæb zʏm χæbˈʒɪ
дзыгъуэпэцӏыцӏ	iːnˈtˈoːɪpˌatˌiːtˈ
дзыгъуэр гъуэм имыхуэмэ, фэлъыркъэб зыкӏэрещӏэ	zɢɑr hæm je mːeχɑːmɑ faʃerqaa bzʒaːrɑja ʃɣ
дзыгъуэшхуэ	zaroʃˈfo
дзыдзэ	tˈɪtˈi
дзын	tsɛ
дзыуэ	tsiua
дзыхь зыхуумыщӏ щыкъур мэкъутэ	zɒh zɒfumˈiz sɒqur mɒqutˈhæ
дзыхэ	tsʲiχʲa
дзэ	zə
дзэ пакӏэ	tˈɛzɛpˈadʒɔ
дзэбакъуэ	dʒabaqqɑ
дзэгъащтэ дзэ псо и уасэщ	tsɣaʃtet zpsuː je wɑsəʃ
дзэгын	zæhɯ̞n
дзэкӏэ	dzˈɛstʒɑ
дзэкӏэ мащӏэу, хьэщӏэкӏэ куэду.	ze dʒoːnˈmɑ v hosw hosw dʒɑ kwadu
дзэл	duzˈɛl
дзэлдэгу	zazd̪e̞k
дзэлдэудэ	zæstdɒudˈdi
дзэлдэуэ	zældæwɑ
дзэлкъэдабэ	zɛʒadˈab
дзэлхужь	zˈɛtʁˈyʒ
дзэлыгъуэ	sɛsɛkʰwan
дзэлыкъуэбгъэ	səljˈʁˈˈɑ̃tˈbʁˈœ
дзэлыпцӏэ	zægɪ̞pvˈɑ
дзэлыр бэгын, узын.	ð zɛnɪ̞r bʲihɪ̞n ʏ̞zʏ̞n
дзэлӏ	tsas
дзэм къулыкъу щищӏэну кӏуащ	zɒmˈ qosˈi q oʃiz ɒnˈuk vˈaʃ
дзэнтхъ	zˈɛ̃tʁ
дзэпашэ	tsapˈaʃe
дзэр къэсащ, псыр къиуащ	dzɛrqäˈsɑʃ psɯrqijwɑʃ
дзэр узыншэху, шхалъэм зегъэпсэху	tsærø̞znʲtɕɛw̜ w̜ʂχaɮɐm zʲɐχäɢɞ̙ɔ̙psʊ̞w̜
дзэр уришхэн къудейкъым, дахагъэми щыщщ.	zər rʲiːʃkæn qɔdɛ mtxɑːɣɑ mʲisɪs
дзэузгын	dzæuzgɪ̞n
дзэузудз	tseʁuzwz
дзэузхущхъуэ	auzfosˈʁwˈa
дзэху	dzɛxu
дзэху фалъэ.	dzˈa kfaʃa
дзэхуудз	tsˈafˈudz
дзэшхуэ	ttsɛʃwˈa
ди бжьыхьэкӏапэ зэпытщ	dibzadʒɑpɑ zæpɑtsʰ
ди гуапэ зэрыхъунщи	diː koːh pə zəˈɾe xon ʃiː
ди деж	dˈɛtˈe
ди зы мэл хэтщ, дэри зэ дывгъэфий («дэри ди ӏуэху хэлъщ» жыхуиӏэщ)	dizemɛʁatʃ dali zadivra fiː dˈaːli dˈi ʁfˈkˈatʃ ʒojˈaʃ
ди тхьэ	diːdæhæ
ди щэрэлӏокъуэ, гущэм, нэбажэкӏэшэр хъаныдзэм треунащӏэ.	te̞ʃärɒːtɕɒlɒquɒˈ qiˈʃam næbɒʒɒkæ ʃɒɾ χɒnidʒɒm tɾiɵn ɒʒlɒˈ
диин	piːn˩
дин	dˈin
дихьэхын	dħæn
диӏэщ	dʲiːtˈæʃ
доджэгу	todʒek
дожей	doʒɛ
докъушыкъуей	lɔˈkˈtʃˈəpˈɛˈ
докӏу	dˈok
докӏуэ	do˩˥ːkvə
дол и къуэрдэ йодыгъуэж (к ъ у э р д э - тыкуэн хьэпшып цӏыкӏуфэкӏу)	doi̯l je̞qɑɾtæ jo dɔgɑʒ qɑɾtɛ tɪ̞kɛn hæp ʃɪ̞psʲɪk ufɛk
долэжь	dˈoʑˈeʒ
домбаз	dænbæz
домбей	dɔmpej
домбеякъ	dɵmdʊ̞jæq
дотхъэ	dˈoːtˈʁa
дотхэ	dˈoːtgə
дофэ	tˈɔfɛ
дохъутей	dɒɾte
дохъушыкъуэ	tɒχʃɒqwɒˈ
дохъчокъуей	daktʃokbe
дубакъ	duːbaq
дудакъ	dudˈˈaq
дуней	dune
дунейеплъыкӏэ	dynjɛjɛpʃitʃe
дунейм	dunem
дунейм ехыжын	dʏ̞næ mʲɛmʲɛ
дунейм и щытыкӏэ	tynˈejim iʃˈitˈitʃi
дунеймкӏэ зызыгъэнщӏа хьэдрыхэ кӏуакъым	dʏˈnæjɪm dʲɛ zazɑˈʁɑn ʒlaː χadrihe kwɑˈm
дунейпсэу	dʏnepsɛ
дунейр	dʏ̞nʲɪɾ
дунейр зыгъэнэхур зы дыгъэщ	wɛrzɑɣɑ næfʏrɯzɯ dɑʁaːʃ
дунейр и тхъэгъуэми, губзыгъэр гукъеуэншэ хъуркъым	ˈɵnər id χɑˈwɑmɪ gobsʁaˈr gokɛjwɑn ʃaxuɾ ɵm
дунейр къызэӏыхьащ	tɪnˈjq zaħˈaːʃ
дунейр къэкӏухьи уи унэ ихьэж	tɪ̞nɪ̞ rɢæk wħɪ̞ wɪ̞nɑ jæħɪ̞r
дунейр чэзущ	duːneːrˈtʃøzʏʃ
дурыс	duːɾus
дурэш	dʊɾeʃ
ды	dɯ̞
дыблокӏуэсыкӏ	dˈɛbˈiokwasˈetˈu
дыблэплъыкӏащ	dabizepsitʃas
дыгъапӏэ	draːpə
дыгъу	dˈɔ̃
дыгъу цӏыкӏукӏэ къемыжьэ дыгъушхуэ хъуркъым	dɯ̞ʁtsɯ̞ kʏdʲɪrq ɪ̞mɪ̞zʲɪ dʊ̞ʁʊ̞ʂ χɑχʊ̞rʲɪm
дыгъуакӏуэ	dˈɛɣwˈɑkw
дыгъуасэ	doas
дыгъуасэ къэхъуар иджыпсту бжесӏэжынщ	tɢasiq ɑχwaɾ dʒyvˈsob ʒɛjs kɛn ʒyˈŋʒ
дыгъуасэ кӏуэжагъэнщ	doqaːsə ko dʒaːɣaːn
дыгъуасэ хуэдэу	duɣwˈaːsə foˈtˈə
дыгъужь	duguz
дыгъужьгъалӏэ	dɢoʒraːtb
дыгъужьитӏ зы гъуэ изагъэкъым	dʁgjˈt zaɣwˈaj zˈaːgə ˈɛm
дыгъужьитӏ я щӏыб зэхуагъазэкъым	dʁozit jˈaː sɔb zˈxtuaʁaz ɛm
дыгъужьхьэблэ	daxozˈħɒbˈli
дыгъужьым зэ пхъуэгъуэкӏэ зигъэнщӏрэ?	dɒgɒziˈm zɒˈbχɒgɒ tʃɒz jeˈɾɒndʒli
дыгъужьым и дзэр шымэ, псафэ макӏуэ	d ɣozim jiːd zrʃmɑ psaːfa mɑkwɯ̞
дыгъужьым ишхари имышхари тохуэ	d ɣozˈɔ miʃhɑːri je miʃhɑːri tɔfˈh
дыгъужьым ишхыр и фэкӏэ епшыныж	dɒɣɒzim iʃxɪr jiː fɒdʒɒjɒp ʃenɪdʒ
дыгъужьым лы игъуэтмэ, псы игъуэтыркъым	dʊ̞ʁʊ̞ʑɯ̞m li̠ ʁwætmæp sɪ̞ ʁɑ tɪ̞rʲɪm
дыгъужьым мэл щихькӏэ зыфӏихьым хуеплъэкӏыжкъым	dɪʁuzum mɛdʒlɨʃiː χːtʃoz vexim χʉjplitʃi jigim
дыгъужьым мэл щихькӏэ, и нэпкъыжьэ еплъкъым	døʁøzɪm mɛl ʃeχtʃɛj nɛpqʉzʁɑ jɛpsim
дыгъужьынэ	dˈə-ʁəsˈynˈ
дыгъужьынэгъуэжь	dˈiʁʒˈønaʁˈɔʒ
дыгъужьынэплъыжь	dʁosˈynˈapsˈyˈʒ
дыгъужьыр жьы хъумэ, хьэм я джэгуалъэщ	d dʒr zəqumɛ hæm ja dʒagwa ˈseʃ
дыгъужьыр зыщызеуалэм мэлым зыщагъэпсэхукъым.	d ɣuzir ðə søzɪjæwäjldɪm ʔømɛldɪmɪz ʃɑʁɑp sɛwɛm
дыгъужьыр зэдзакъэр и ӏыхьэщ.	dɣozdʒur zatzaːqarj ʔaħaʃ
дыгъужьыр къепхуэкӏыурэ мэл кӏапэр пеуд	tɵɢʊ̞zɵɾ qʲɪpɔ̙ɒ dʒwɾɑ mɛ̝ɮtʃɑ pʰɯ̞r pʰi̞wɪ̞d
дыгъужьырышхэ	dɐɣozɔɾiʃkɛ
дыгъум пабжьэр и дэӏэпыкъуэгъущ	dʁom pa bʒir a ʁapɛk wauɣ̞s
дыгъум щӏыгъур и дыгъуэгъущ	dʊ̞gɔm sʊ̞ʁʊ̞r j dɪwgɑʁs
дыгъумэ	dˈiʁˈomˈa
дыгъурыгъуу	dɣorɣu
дыгъурыгъуур мэжэщӏалӏэмэ, и шырыр ешхыж	d ɣoɾə ɣoɾ mɛʃa ʃɑsɑmɑ j ʃer j ʃxiʃ
дыгъуэпшыхь	tɵɢɑpʃa
дыгъуэпшыхь хуэдэу	daˈgɑb ʃɛh fo dævw
дыгъуэри дыгъужьри къаущэкӏу	d ɣorji d ɣoʒri qawʃak
дыгъэ	dɯ̞ɢɯ̞
дыгъэ къепс щхьа щӏыӏэщ.	dɣaqib sˈaħaːsˈɑ æʃ
дыгъэ къухьэгъуэ	dnqoʊː aɣo
дыгъэ лъакъуэ къыпхуэубыдын?	tɪ̞ɢɑʂɑ qoqʊ̞p ʃoɫ bʏ̞dʲɪn
дыгъэ шыр	daxa ʃur
дыгъэгъазэ	dɣagazə
дыгъэжей	dˈaʁˈaʒˈe
дыгъэм	dɐgɐm
дыгъэм зегъэун	dˈɒˈʁɒm dˈɒˈɾɒɵɒn
дыгъэм полыд	tɐχɑm pɔzɨt
дыгъэми	daʁami
дыгъэмыхъуэ	de̞ɢamɛxwa
дыгъэр зытемыпсэр щыӏэжкъым	dʲiʁɑr zɛtɛmɪ̞psærʂɛ ɑjʐɯ̞m
дыд	dɪd
дыд, фэдэнкӏэ ӏэкӏуэлъакӏуэ, уанэ, ӏэпслъэпс зыщӏыф куэд къэбэрдейм исащ.	tɪt fɪtɛngæ ɑk wɔ̙ɮɑɢ ɵɵä̙nɵɵ ɑpsɯ̙ɮɑps ʊ̈wɪ̙χ ɵfɵkɵɵtka pæ̝ːdɪm isæas
дыдейр нэхъ мащӏэми, нэхъ ӏэфӏщ	dɪdɪr nakhmɑrʃu mɪnax ɑf
дыдж	tˈɛk
дыджу	dʒu
дыдэ	dʒɒtdɒ
дыжа	deʒˈa
дыжын	dʒʉn
дыжьын	dʒiːn
дыжьын бгырыпх	dʏ̞ʂʏ̞n bʲgɪ̞rɪ̞p
дыжьынышэ	dʒʲinʲːiʂɛ
дыжэн	dʒen
дызогъащтэ	dˈiːsɔɾɑːʃtˈə
дызэгурыӏуащ	diːzɛguːɾupuːʁ
дызэгъунэгъущ	dˈɛzaˈɑ̃ˈɔˈ
дызэгъусэщ	dˈiʁˈœʁzˈœs
дызэгъэпсалъэ	dˈɛzaˈʁabsˈaːsˈə
дызэдокӏуэ	dˈiˈætdˈɔkvˈˈɑ
дызэнэӏуасэщ	dizeneoasif
дызэпылъщ	ləzapˈis
дызэрылъагъун	ðɯ̞zɯ̞rʃɛʁʊ̞n
дыкъуакъуэ	dkwɑqqə
дыкъуэнагъ	dˈɛstˈɑnˈnɑː
дыкъуэнагъпэж	dqonaqpajʒ
дыкъуэнагъхужь	dqwaːnɑɑqfuz
дыкъын	dɯ̞qɯ̞n
дыкъыщӏыхьэжмэ	daqsħɑːʒmɑ
дыкъэбгъэнащ	dabʁɑbʁɑnˈaʃ
дыкъэзыухъуреихь	ðɯ̞qäzɑoχʊ̞rʲɪjæ
дын	d̪ɪ̞m
дыпхуэарэзыщ	dˈə-pˈɔœʁlɛzˈˈʒˈ
дыпӏэ	dˈøpˈɛ̃
дырыхъум и гын	ðɯ̞rɯ̞χʊ̞m ɪ̞gɪ̞n
дыта	d̪etˢæ
дытемыхьэу	dˈɛtɛmˈhɑwˈ
дытэн	dˈətˈɛn
дыукӏытэу	dəwʊdʒtɕtʰətɛl
дыуэ	dˈuː
дыуэ зехьэн	dˤuːaː zˈaħan
дыхьэдэкӏ	dħɑtˈtʃ
дыхьэрэн	ðˈħaræn
дыхьэшх	ħɑʃx
дыхьэшхэн куэд жывоӏэм фэ!	d ħaʃxanˈ kwad ʒvwʔ ˈamf
дыхьэшхэн щӏын	dˤaħazħæːn
дыщафэ	dˈəʃˈafə
дыщэ	dˈɛsɜ
дыщэ баш	dˈə ʃˈɛbˌɑʃ
дыщэ къыщӏэхын	dɪ̞ʃæ kʊ̞sæxɪ̞n
дыщэ къэзыгъуэт кӏэншыгъулъэ иредзэ	dʊ̞ʃʊ̞ qäzɯ̞ɢɔt tʃɑn ʃɛʁɵsɛ i̠rɛjtsʲɪ
дыщэ пыӏэ	dˈɛstˈaː pˈœʁ
дыщэ унэ нэхърэ уи унэжь	d ʃawna nɑxrɑ wi wntʃ
