(й)езуитщина	ɑːwezoːliːˈstænæm
занятие	zɐɲatjɛ
занятията	zˈaɲˈatiˌata
заобикалки	zɔwbjgawki
заобикалям	zɔbikalɛm
заобикаляне	zau̯bikaləmɪ
заобиколен	sobikaren
заобиколка	zoːbiːkɒk
заоблачавам	zoːboːtʃaːl
заоблачавам се	zau̯bɔtʃaɫa sɛ
заоблачен	zoːboːtən
заоблен	doblen
заострен	zəɫɯ̞sdrĩŋ
заострен съм	zau̯oztransem
заострям	zˈɑˈostrim
заострям се	zˈa ˈostrɛmsɛ
запад	zˈɑpʌt
западам	zæpɑdɯm
западане	zapadani
западен	zapəden
западнал	zapadnɨw
запазвам	zəpazbun
запазвам се	zapaslamtsɨ
запазване	zapazlomi
запазен	zəpɑzɯm
запазеност	zapazanost
запазя	zapazʲe
запалвам	sapau̯vam
запалвам се	zapau̯ vam sɨ
запалване	zapɑɫvɑnɛ
запален	zəpɑlɯn
запален съм	zapalaːnsam
запаленост	zapalanust
запалител	zapalʲitau̯
запалителен	ðɯ̞pɑɫitæ̹lɛn
запалка	zapau̯ka
запаля	zapalʲa
запалянко	zapalʲanku
запалянковци	zapalʲankovtsʲi
запаметявам	zapamtjavam
запарен	zaparɛn
запарка	zaparkɐ
запас	zapas
запасвам	zapasvam
запасен	zapasɛn
запаси	zapasi
запасявам	zapasjavam
запасявам се	zapasˈjavaːm sɨn
запек	zapɛk
запетайка	zapɛtajka
запетая	zapɛtaja
запечатвам	zapɛtʃadvɔn
запиване	zapʲiwɔdʲi
запилявам се	zapʲiɫʲa vamʂɨ
запирам	zapɛrɨm
запирам се	zapʲirom sɨ
запис	zapis
записвам	zapisam
записване	zapisvane
записка	zapʲiʂka
записки	zapiski
записче	zapiske
запитвам	zapɪtfɔm
запитване	zapʲetːvanɛ
запича се	zapʲetʂɨsɨ
запичам	apɛitʃɛ
запичащ	zapʲitʃast
запищявам	zapʲiʂtʲavam
заплаквам	zapɫakvam
запланирам	zpɔniˈram
запланиран	zapɫonʲiran
запланувам	zapɫanuvam
заплата	zapwˈata
заплатен	zapɫatɛn
заплаха	zapɫaxa
заплачем	zapɫatʃɛm
заплашвам	zapɫaʂvam
заплашителен	zɑplɑʃɪteˈlɛn
заплащам	zapɫaʂtam
заплащане	zapɫaʂtanɨ
запленен	zapɫɛnɛn
заплес	zaplɛs
заплесвам се	zaplɛsvam se
заплесквам	zˈaplˈeskɔm
заплеснат	zapɫɛsnot
заплеснатост	zəplˈesnˈutost
заплетен	zapɫɛtɛn
заплитам	zaplitɔm
заплитам се	zpljˈtəmsɛ
заплитане	zapɫɛtɛne
заплувам	zapɫuvom
заповед	zɑpuɛt
заповеден	zɑpɔvɛdɛm
заповедник	zʌpɔvednˈiˈk
заповеднически	zapovɛdnitʃɛski
заповядай	zapɔvjadaj
заповядайте	zapovjalajdɛ
заповядвам	zˈapovjadvˈam
заподозирам	zapɔtɔzɛram
заподозрян	zapɔtɔzrɛjɑn
запознавам	zapoznavam
запознавам се	zapoznavam sɛ
запознаване	zˈapoznaˈvɒne
запознанство	zɑpɔznanstwɔ
запознат	zapozna
запокитвам	zapokitvam
запомни	zapomnˈi
запомням	zapomnʲem
запор	zˈəpˈɔrf
започва	zapɔtʃɫɛ
започвам	zapˈoːtʃɔ
започвам да	zapɔtʃɔnda
започвам свалка	zapɔtʃvam svaɫka
започваме	zapɔtʃvamɛ
започване	zapɔtʃvɒnɛ
започнал	zɑpɔtʃnau
започнал съм	zapɔtʃnɐlsɨm
започне	zapotʃni
запоявам	zapɔjavatɛm
заправям	zɛpravjɔ
запразнявам	saprazʲːavam
запрашвам	zapraʃvam
запращам	zapraʃtam
запращане	zapraʃtone
запретвам	zaprɛtvam
запретен	zaprɛtɛn
запречвам	zaprɛtʃɔvam
запрещение	zaprɛʃtɛnʲe
заприказвам	zaprikazvam
заприличвам	zapriliːtʃvam
запримчвам	zaprɪbtʃvɑm
заприщвам	zapriʃtʃvam
запрян	zaprˈan
запуснат	zaposlat
запустявам	zapostɛavɛm
запустял	zapostɛaɫ
запустялост	zapostɛjaɫɔst
запуша	zapɔʃa
запушалка	zapuʃau̯ka
запушвам	zapoʃvam
запушване	zapoːʃvɔne
запушен	zapoʂən
запушил	zapusʲiu̯
запъва се	zapɫɪvɛse
запъвам се	zapɔvɔms
запъване	zapɔvɐnɛ
запълвам	zapou̯vam
запълвам се	zapɛɫvam sɛ
запълване	zapɯ̞ɫwɛnɛ
запълнен	zapəwnən
запълнен съм	zapɯ̞ɫ nɛnsɛm
запътвам се	zɑpətˈvɑm sɛ
запъхтян	zapəxtjan
запявам	zapjavam
зар	zæɾ
заработвам	zrɛbɔtvam
заравнен	zrɛvnɛn
заравнявам	zrɑplʲɑvɑm
заравям	zaraːvjɛm
заравям се	zoravjan se
заравяне	zəˈravjɛne
зарадвам	zradvɑm
зарадван	zaradvɔn
заради	zrdʒ
заради някаква обида	zˈɐrɐdi ɲˈatrɐkˈa oˈbidɐ
зараждам	zərazdum
зараждам се	zəˈra əʒdum se
зараждане	zraʒdɔne
зараждащ се	zaraz dɔʂtsɛ
зараза	zaraza
заразата	zarazata
заразен	zarazɛ
заразени	zarazenj
заразителен	zrzitɛlɛn
заразявам	zarasjaˈvɛm
заразяване	zrzjaːvone
заран	zɑːrɑːn
зараства	zæɾastvɑ
зараствам	zarastvam
зареден	zrdɛn
зарежда	zareʃta
зареждам	ðəɾɛʒtʊm
зареждам се	zɐrɛʒdɐm sɛ
зарзават	zɛrzavat
зарзаватчийница	zarzaˈvɛtʃiːnitsa
зарзаватчийство	zrzavɛtʃtʃɛjstwɔ
заривам	zariːvɐm
заридавам	zridaˈvam
заричам се	zritʃəm se
заричане	zaritʃne
заробвам	zarɔbʋem
заробен	zrɔbɛn
зароден	zˈarɔdɛn
зародиш	ðaraldiʃ
зароиха	zaruixa
заруменявам	zrɔmeniavam
заръка	zrkɐ
заръчвам	zəˈrøtʃɔm
заря	zəriːa
заряд	zˈɐrjɐt
зарязан	zˈɐriːˈɑzɐn
зарязвам	zˈarjˈaˈsvɑm
засада	zəˈsala
засаждам	zasaʒdum
засвидетелствам (засвидетелствувам)	za svjdɛtɛostvɑm
засвирвам	zazvjɛrvam
засега	zˈɑsegˈa
засегнат	zasɛgnat
заседание	zatsidɑnjɛ
заседнал	zɛsɛnɔ
заседнал съм	ðə sɪɾnɛlsɛŋ
заседявам се	zazɛdwˈaɫamse
заселвам	vosˌɛʊvˈom
заселвам се	zosɛwʋɐmsɛ
заселен	zɛsɛlɛn
заселник	zasɛʊnik
засенчвам	zɑsenˈtʃɪvam
засенчване	zˈazɛntʃvɐnˈɛ
засенчен	zɛsɛntʃɛn
засечка	zazɛtʃkɐ
засилвам	zasiɫvam
засилвам се	zasiwvam se
засилване	zazjɫvanɛ
засилен	ð̞ekjɾẽn
засипвам	zasiːpvam
засичам	zɐsʲitʃɐm
засищам	zˈasˈistam
засищащ	zˈɒsiːʃtˈoʃt
засиявам	zasiʝavam
заслаждам си	zaslaʒdam si
заслепен	zuzlɛpɛn
заслепителен	zazlɛpiːtɛlɛɲ
заслепявам	tsɛslɪpjɐvɑ
заслепяване	zəslʲipjɑvɔnɛ
заслон	zæslɐnt
заслонявам	zastʁoˈnjɛam
заслуга	zasɫoga
заслуги	zasɫugʲi
заслужава	zasɫuʐava
заслужавам	zosɫuʐavɨm
заслужаваш	zɐsʊˈʒaːbɐʃ
заслужаващ	zasɫuʐavaʂtoj
заслужен	zasɫuʐɨn
заслужено	zasɫuʐanˈu
заслужил	ðafʊʒiw
заслушвам	zasɫuʂɨvam
засмуквам	zazmukwam
засмърдявам	zazmɑrtʲɑvɑm
засмян	zufmjɛw̃
заспал	sˌuspˈoŋ
заспивам	zɔspʲivɔm
заспя	zaspja
засрамвам	zɛsrɑmvom
засрамвам се	zosram võŋsɨ
засрамен	zosramen
засрамено яйце	zasramenu jajtsɨ
застава	zostavo
заставам	zostɑbɑm
заставен	zʊ̞stɑbən
заставям	zastavjam
застана	zastana
застарявам	zostɛrjɑvɑm
застарял	sustˌaɾjˈɔm
застивам	zazteˈvɑm
застига ме	zastigamɛ
застигам	zastigam
застилам	zastˈiɭɑm
застой	zastoj
застоявам	zostuʲavɨm
застоявам се	zaztuˈjɑvɑm sˈɛ
застоял	zastuʲau
застраховам	zostrɐxovɨm
застрахован	sastrəxan
застраховане	zustrɐxɔvɔne
застраховател	zustrˈaxʊvˈtɪw
застрахователна компания	zastrɨxuwa tɔ nɛrvɨ kɔmpaɲiɛ
застрахователно	zastrɑxʊvatɨm
застрахователно дружество	zastɛxɔvatɔ ˈnɔdruʒɛstɔ
застраховка	zusdrɐxofkɐ
застрашавам	zostrɨʂovam
застрашен	zustrɛʂɛn
застрашителен	zostraʃitælɛn
застрелвам	zɛstrɛʋɛm
заструявам	zastrujava
застудява	zastudjɛvɔ
застудяване	zˈastʊdjˈavˈanˈe
застъпвам	zɯzɯpsɯm
застъпвам се	zastɯb sɔmsɯ
застъпващ се	zəstəp ɫæʃtʰɯ̞
застъпен	zostupjn
застъпник	zastɯtnʲik
застъпничество	zastapnʲitʂastvo
засукан	zəsɔkɑn
засуквам	zusuklam
засъхвам	zɨzɛxvam
засявам	zəsjɑvəm
засяга	zatsjaga
засягам	zasiʔagɯm
засягам се	zəsijagɯm zɯ
засядам	zɑsijadɯm
затаен	z̺o̞t̪am
затапвам	zatapvam
затаявам се	zatajavam se
затварям	zatvʌrˈem
затварям прозореца	zatvaɾiam pɾuzoɾɛtsa
затварям се	zotvarɛm sɨ
затвор	aztɕtvor
затвор за чесъна	zatvɔr za tʃɛstɛnɔ
затвора	zatvɔra
затворен	zotvorom
затворена	zatvɔrɛna
затворени очи	zatvɔrˈeni ɔtʃi
затворено	zatvɔrˈɛno
затвореност	zatvorɛnust
затвори си устата	zatvori si oˈstata
затворник	zatvɔrɲik
затворя	zatvɔrjɛ
затвърден	zotvordn
затвърдявам	zatvardjavam
затвърдял	zotvardzʲau̯
затвърждавам	zotvɛrʒdɑvam
затегнат	zatɛgˈnɛt
затегнатост	zatɛgnatusk
затирвам	zatʲervam
затирвам се	zukʲir wɑmkɨ
затискам	zatistam
затиснат съм	zatsisna tsɔm
затихвам	zɔtixvɔm
затихнал	zatixnɛl
затичвам се	zatitʃvam sɨ
затишие	zatiji
затлачвам	zatuɫatʂvam
затлъстявам	zutɫastsʲaɫam
затова	zatova
затоплям	zatoplʲɐm
затопляне	zotopljene
затоплящи	zatɔplɛʃti
затоплящия	zatopllʲaʃtʃɛja
затормозвам	zatormɔzvam
заточавам	zatutʃavo
заточение	zatutʂɛjɲi
заточеник	zototʂɨɲik
затревявам	zatrɛvjavam
затрепервам	zotrɛpɛrvam
затривам	zo˥˩ːtrɪvɔm
затривам се	zatrɪvansɨ
затрогвам	zatrɔgvam
затрогващ	zotrobvaʂt
затрогнат	zatrɔgnut
затруднен	zatrudnɛn
затруднение	zatrudnɛnʲijɛ
затруднено	zatrudnɪnu
затруднителен	zatrʊdnʲitɛlɛn
затруднявам	zatrudnʲavam
затрудняващ	zatrudnʲavɨʂt
затрупан с работа	zatrupɐn s rabɔtɐ
затрупвам	zatrˈopvˈɑm
затръбявам	zodrabʲavam
затръшвам	zatrɛʃvam
затрябвам	zatʲrʲiabvɨm
затулвам	zatʊvʊm
затулен	zatulən
затулям	zatulʲem
затурвам	zatorvam
затъвам	zatɑvɑm
затъжавам се	zakazavam se
затъжен	zatazem
затъжих (мин. св. време)	zatɛʒix
затъквам	zʊtʊkʋam
затъмнение	zatɨmnajnʲa
затъмненост	zatamnajnost
затъмнявам	zatɨmnʲeavam
затънал	zatɑnɑl
затънтен	zatɑnɛn
затънтено	zatantɛnɔ
затънял	zatonau̯
затъпквам	zatɨpkvam
затъпявам	zadapjavam
затяга се	zatjɑgɑsɯ
затягам	zʊtjˈɑgəm
затягане	zatjaˈgana
заумилквам се	saˈrmˈijɯl qontsɯ
заучавам	zau̯tʂavam
заушка	zau̯ʃqɯ
захабявам	zaxobjavam
захапвам	zˈxˈapvɑm
захапване	zaxätsvɑnʲɪ
захапка	zaxapka
захар	zɑhɯ̞r
захари	zaxaˈri
захари зограф	zˈaxari zoˈgraf
захарно цвекло	ðafɛɾ mɔd vɛklɔ
захаросвам	zˈɑxʌrˈosˈvˈ
захарта дава сила	zaxarta da vasʲeɫa
захарта е вредна	zaxartaʲe vradno
захванал съм	zaxvanɑlsɯ̞m
захванал съм се	zaxvɑnɑɫ sɔmtsɛ
захващам	zaxvaʂtam
захващам се	zaxʋaʃtɛm se
захващам се енергично	zaxvaʃtɐm sɛ enɛrgitʃnɔ
захващам се с	zaxvaʃtɯmsɯz
захвърлен	zχbɒˈɾlɒn
захвърлям	zɯ̞χʊ̞rɫʊ̞m
захвърляне	zʁvɑrˈlɑnɯ
захилвам се	zahiɾvɯ̞msɯ̞
захитрявам	zaxʲitrɛjavum
захлажда се	zaxlaʒ dˈiːsə
захлас	zaxvas
захласвам се	zaxvosvam
захласнат	zaxvosnuts
захлопвам	zaxɫopvam
захлупак	zˈɑxloˈpˈaq
захлупвам	zaxɫupvam
заход	zˈaxɔt
захранвам	zaxɯrɑnwɔm
зацапан	zatapɑn
зацапвам	zatapvum
зацепвам	zotɛpvon
зачаквам	zɯtʃaqkɯn
зачатък	zatʂatak
зачатъчен	zatʃaːtɐtʃn
зачевам	zatʃɛvam
зачеване	zatʃajvone
зачеквам	zatʂɛkam
заченка	zatʃɛnka
зачервен	zatʃərvɛn
зачервявам се	zatʃərvjavam se
зачерквам	ztʃɛrkɔm
зачеркване	zatʃaːrkda
зачерням	zɨtsɛrnʲem
зачертавам	zatʂartaɫo
зачертаване	zatʃartɑɑlɑme
зачестявам	zatʃastʲavam
зачислен	zatɕislɛm
зачислявам	zatʃistlʲavam
зачитам	zatʃitɯm
зачитан	zətʃitən
зачитане	zatʃiːtɐnɪ
зачувам	vatʂuvam
зачудвам се	zʊ̞tʃɔdɫɑmsɯ̞
зачуквам	zatʃokvam
зашеметен	zʃʃmtsn
зашеметя	tʊdʊʃimɛtjɑ
зашеметявам	zɯ̞ʂɪ̞mætjɑwɯ̞m
зашеметяване	zʲɪʂɪmʲɛtʲiɑvɑnɪ
зашеметяващ	zɛʃɨmɛkɛvast
зашивам	zˈaʃivam
зашифровам	nasiprova
зашлевявам	zɯʃnovʲeavɯm
зашушуквам	zaʃuʃokvam
защипвам	zˈɐʃtˈepˈvɛm
защипване	zˈɑʃtɛjpvˈɑnə
защита	zɐʃtɛjtɐm
защитавам	zɑʃtʃitɑvɑm
защитавам се	zɐʃtʃitɐvɐm sɛ
защитен	zaʃtitɛn
защитеност	zˈaʃtitanˈost
защитим	zɐʃtʃɪtʲim
защитителен	zɯ̞ʂtʲitʲitjɯ̞ɫæn
защитна реч	zɐʃtitna rɛtʃ
защитник	zaʃtitnik
защитно устройство	zˈɑʃtˈitnʌgˈe ustrˈojstvʌ
защитя	zæʃtjtja
защо	zatɨ
защо го вземаш?	zaʃto gˈo ˈzɛmɐʃ
защо не, мамка му	zaʃtɔ nemam kɔm
защо си ядосан?	zatʃto sɛ jadɔɫsɐn
защо сложи сок?	za ʃtˈo sloʒisˈok
защо така	zaʃto taka
защото	zaʃtɔtɔ
защото в супата има сок!	zˈaʃtʃotˈo v supˈatˈa ˈima sˈok
защото другият е лъжец	zˈaʃtotˈo drugijatˈo ɫɐʒɛts
заявите	zajavite
заявка	zajafka
заявление	zajavlʲennʲe
заявя	zajawia
заявявам	zajavjɒvɒm
заядлив	ðˈðəiːɑːdlˈɛf
заядлив човек	zɛdɫiv tʃɔvɛk
заядливост	zajadlʲivost
заяждам	zɑjɑʒdɯ̞m
заяждам се	zajɒʃtɒmˈsɒ
заяждане	zajaʃtɯnɯ
заяквам	zajɑqlɯm
звание	zvʌnˈi
звезда	svˈɛzda
звездец	zəlnɛts
звезди	zvɛzdi
звездица	zvjatsditsa
звездици	zvjazdʲitsi
звено	envˈɛ̃ˈɔ̃s
зверилница	zɛrɛɫnitsa
зверски	zvɛrsgʲi
зверство	zversdvum
зверщина	zwɛrʃtʲiŋɨ
зверя се	zvˈɛrɪjɪsʲi
звук	zvuk
звукова карта	zvuk ovakarta
звуковия	zɫɔkovje
звуча	zutʃa
звучало	zvutʃaɫo
звучен	zwˈutʃən
звучи ми добре	zvutʃimi dʊbrɛ
звучност	zvutʂnust
звън	zɯzɯzm
звънвам	zɫandɯm
звънец	zˈvʌnɛts
звънлив	zwˈɑnleɪf
звънтеж	zvãn̪t̪ejʃ
звънтене	zntɛnɪ
звънтя	zvntʃe
звънтящ	zvˈantˈjaʃt
звъня	zvãnʲa
звяр	ðˈɾˈ
здание	zda˥˩nɛ
здрав	zdrˈaf
здрав външен вид	zdrˈak vˈɵnsən vˈit
здрав дядо	zdrˈaf ɟˈadɔ
здрав и читав	zdrˈaːf i tʃˈito
здрав като бик	zdrˈaˈskˈa dˈubik
здрав разум	zdrˈaf ɾɑˈzum
здрава	zdrava
здравата	ztravata
здраве	zdravɛ
здравей	zdravɛj
здравей!	zdrɛʋɛj
здравейте	zdrɔʋɛjtaj
здравейте името ми е	skavˈajsjˈ stʃinˈvɑnˈʃˈlɑvˌɛʃˈlɑnˈ
здравейте!	ztrvɛjdɛ
здравеняк	zðravʲeɲak
здравеопазване	zdravɨmɨpozvanɨ
здравето	zdratˈvɛt
здравина	zð̞ɾɔβ̞jna
здрависвам се	zdrɔʋijstfɔɲ sɨ
здраво	zdrˈaːvu
здравомислещ	zdrəvumjiʃlɛʃt
здравословен	d̪rɑwusɫɑvɯ̞n
здрасти	zdrastɪ
здрасти!	zdrasci
здрач	zdrˈatʃ
здрачава се	zdratʃaɫa se
здухвам	zduhvam
зебло	ðɛbɔ
зебра	zebrɔ
зебу	zebu
зеле	zɛle
зелеви	selvi
зелен	zælɛn
зелен хайвер	zælɛn heˈber
зеленеещ се	zælʲena jɪʃtsɪ
зелени като трева	zɛɫɛnika tɔ trɛva
зелени моркови	zlnʲiː mɔrgoːˈbi
зеленикав	zolʲanʲiko
зеленина	ðe̞lẽnĩnã
зелено	zˈɛlənˌɔ
зеленото дърво	zɛlʲɛnɔtɔ drʋo
зеленото дърво расте	zɛlɛnɔtɔ dɐrˈvɔ rɐˈstɛ
зеленчук	zkaantʃuk
зеленчуци	ntsuˌtsˈiː
зелка	zɛɫka
земевладелец	izɯzɯmevɯuladɑjlɛts
земеделец	zɛmɛdɛlɛts
земеделие	zˈɒmɒdɒjliˈ
земеделски	zmedətɛvski
земекопна	zemekopna
земен	zæmɪ̞m
земетресение	zamətarsajnʲi
земи	zˈmi
землище	zemliʃti
землянка	zɛmlanka
земното	ðɛmnɔtɔm
земя	ðemˈia
земята	samjata
зенит	sə
зенитен	zanʲitɨ
зеница	zjˈnitsˈa
зеници	zenitsi
зер	ðær
зестра	zɛstra
зет	zˈɛt
зефир	zɛfʲir
зефира вълова	zˈafiɭa vˈoɫova
зехтин	zækˈtiːn
зея	zˈɛɹ
зиг-заг	zˈɪgzɑp
зигзагообразен	lˈigðooːbrˈɑzən
зигмунд	zˈigmund
зид	zˈid
зидам	zidɯm
зидане	zidɔnɛ
зиданка	sidanka
зидар	zidar
зидария	zidara
зидарство	zidarsˈtˈvɒː
зима	zˈimo
зима е	zʲimaj
зимбабве	zindɔvɛ
зимен	zˈɪmən
зимник	zimni
зимнина	ðɪmniːna
зимувам	zimɔvɑm
зин ал абидин бен али	ziːn ʔawʔabidiːn bæn tʃiːzi
зинал	ðˈino
зла	zɫa
златарски	zɫɔtarˈski
златев	zlatɛf
златен	zɫätɯ̞m
златина тодева	zɫatina toˈdɛʋa
златист	zɫɔtist
златица	zɫɔtitsɐ
златна рибка	vɫˈɑtnʌ rˈipkʌ
златните мостове	zlatɲitɛ muːstɔvɪ
злато	zɫatɔ
злато в реката	zɫatɔ ɛ fərɛkata
златоград	zɫatɔgɾat
златотърсач	zɫatɔtərsaːtʃ
златотърсачи	zɫatɔtɑrsatʃi
зле	glˈa
злепоставям	zlʲepɔstɑvʲɛm
злина	zljna
злини	zɛnˈʃɛ
зло	zɯˈɫɯˈ
злоба	zɫɑba
злобен	zɫɑbɯ̞n
злобно	vɫobno
злободневен	zɫubudnɛvɨm
зловещ	zɫovɛʃt
зловонен	zɫovɑnɯm
зловоние	vo˩˥ːʋo˥˩ːnʲi˥˩
зловреден	zulɯvrɑjðɯn
злодей	zɫudaj
злодейски	zɫodaji
злодействам	zɫudajistɯm
злодеяние	zɫodajani
зложелател	zɫɔʒɨʎateʎ
зложелателство	zɫɔʒɛɫatɔːlsdvɔ
злокобен	svukɔpɛn
злокобни	zɫɔkɔbni
злонамерен съм	zɫoˈ namɛrɛn sɑm
злополука	dumpoɫuka
злорадствам	zɫoratstvam
злословя	zɫosɫovja
злост	zˈlɔst
злосторник	zɫɔstɔrnjk
злоупотреба	zoˈlpɔtrɛba
злоупотребявам	zɫou̯potrɛbʲavam
злоупотребяване	zɫupoprɛbjɐʋɐne
злочестина	zɫɔtʃɛstina
змей	smej
змиегущер	zmiːjɛguːʃtɛr
змия	zˈmja
змията ме лъже	zmjata mɛ wɤʒɛ
знае	znaj
знаещ	znaʃt
знайно	zmajnɔ
знак	zak
знак за автобуси	znak za aftobusi
знак на пътя	znok na pɐtʲa
знам	znˈam
знаме	znamɛ
знамена	znamˈena
знамение	znamɛɲɛ
знаменит	znamenit
знаменитост	znamɛnitɔst
знание	znaɲi
знанието	znaɲiɛtu
знатен	snɔtɛn
знатност	znatnost
знахар	zˈnəhɾ
знаци	zɲatsi
знача	ˈesnˈɑtʃə
значение	znatʃɛɲiɛ
значи	znatʃʲi
значи е трудно	znatʃa je˩˥ː tro˥˩ːdno
значимост	znatʃimost
значителен	znatʃitɛlɛn
зная	znajɔ
зноен	znojen
зов	zɔv
зова	zæɢoːva
зозо	zɔzɔ
зона	zɔːnɔ
зоология	zulɨ
зор	zor
зора	zɔɾɑ
зорка йорданова	zorka jordanova
зорък	zɑrək
зрелище	zrɛjlʲisæ
зрелост	zrɛwɪsd
зрелостник	zrɛu̯u̯sʲːik
зрение	zrʲanʲeʲi
зрител	zritɐ
зрители	zrʲitalʲi
зрънце	zranʲtsɨ
зрял	gɹˈeʊ
зрящ	zrˈeʃt
зрящи	zrˈjaʃti
зубрач	zobrotʃ
зубря	zubrʲa
зубър	zobr
зулум	zʊˈlˈum
зумер	zumˈr
зурла	zrɫa
зъб	zɯk
зъбат	zabat
зъбен	zupɛn
зъбен камък	zɤben kaːmɯc
зъбен мост	zupɛnmɔst
зъбер	zɔbɛr
зъбест	zɐbˈɛz
зъбец	zʁbt
зъби	zˈɑbi
зъбобол	zabubɔɫ
зъболекар	zˈɐbˌoɫɛkɐɾ
зъболекарка	zabolekərka
зъболекарят лекува	zˈa bolˈɛkɐɾɐt lɛ kˈovɐ
зъбчат	zɯptʃat
зъбя се	zɐbjɐse
зъзна	zɯzna
зъл	zo˨˩
зълва	zɨlva
зървам	ðɯ̞rwʊ̞ŋ
зърване	zrvne
зърно	zˈɛ
зюмбюл	zjomul
зян	sjˈɛm
зяносвам	dzʲanosˈvim
зяпам	zjɑpɑm
зяпвам	zjɯm
зяпнал	sjapnɔ
и	i˥˩
и без това	æn bæstuˈvɑːm
и във мене дишаш	voːˈʋ manˈe dˈiʃuʃ
и кво	ˈɛk vˈɔl
и кратко	ikratku
и пр.	iprɔtʃie
и прочие	i protjɛ
и таз хубава	itˈas xubˈofa
ивайло	kika
ивайло брусовски	baːjɛ u kɾuzɔski
ивайло михайлов	javaɛɫu mjɦajɫov
ивайло христов	ipajɫu xrʲistuf
ивайловград	ibajɫou̯grad
иван андонов	iˈvɑn ɑndɔnɔf
иван бърнев	uvɑn børnef
иван вазов	ivan vasuf
иван димов	iˈvɑn dˈɪmoːv
иван иванов	iːvɒn ɒˈnɒv
иван кондов	ivem kɒnduf
иван костов	jɪvɑn kɔstuf
иван ласкин	aˈvan lˈɔzkɪn
иван налбантов	jvan naobantɔɨ
иван панев	jvan panɛv
иван рилски	javan rʲiɫski
иванка	iβanka
иванова	jilanova
ивелина	ʝβ̞linɯ
ивет лалова-колио	numeɾo be t la a lo β̞akooɾio
ивета	ivɛta
ивица	ivitˈə
ивица газа	jˈvɪtsɑ gˈaza
ивичест	jvætʃɛst
ивичка	ivitsʲka
иво	ivu
игла	migˈoːn
игла за шиене	jgɫa zɐʃiːɛnɛ
иглица	iglʲtsɨ
игнатиево	jɛgnatjɛvɨ
игнорирам	ɪgnʊrʲiːram
иго	iˈgo
игор марковски	ɛːgoːr mərˈkɔfski
игра	igra
играй бързо!	igraj brzo
играч	nigra
играчи	iɣratʃi
играчка	igrɑtʃka
играя	igraja
играя по нервите на	igraje˥˩ː po˥˩ːnɛrvitɛnɑ
играя с открити карти	i gɾaðes ʊs kɾitika aɾtjɐ
играя си	igrˈaɪɛ si
игрив	igrˈif
игривост	igrʲivus
игрище	igrɛʃtɛ
игумен	iːguːmən
ида	idɔ
ида си	ˈi ldɛsˈi
идва	idva
идва ми до гуша	idamɛ da guʃa
идва пролет	idva prɔlet
идвам	idvɐm
идвам на себе си	jɪˈdvɑm nasɑjɑʉ be̝s̺tʃʰi
идвам си	idvɔmsij
идване	idʋɪna
идвате ли често тук?	idvɐtɛɫitʃaˈstɔ tuk
идващ	idvaʃt
иде ми да	ibem
идеал	dˈaː
идеален	iːdaːn
идеали	neiːdeːɒlɪ
идеализация	idealizatsija
идеализирам	idɛalizˈiɾɔm
идеализъм	idealizm
идеалист	ʲidæʲaɫist
идеално	ideɑlno
идеен	ideːn
иден	iːðən
идентифицирам	i̠d̪ənt̪ɪfjtsʲiːrɪm
идентифициране	iːdɛntiːfiːtsiɾane
идентифицират	ɪdɛntiːfitsɪrɑt
идентичен	idɛntitʃɛn
идентичност	ʲidɛntitʃnos
идеолог	ðidɛuok
идеология	idilɔlgiːm
идещ	iʲdæʃt
идея	ˌidˈeɪɐ
иди-дойди	ididʏ
идиличен	nˈidiˈlˈtiˈm
идиом	idiom
идиот	idiˈat
идиотизирам се	idzʲo tɛ zirom sɯn
идиотщина	idijɔtʃtina
идол	idu
идоли	iduli
идущ	nˈeduʒt
из	if
изба	izbɑ
избава	izbava
избавен	izbavən
избавител	esβ̞eβ̞it̪a
избавителен	izbavitalən
избавление	izbavlʲennʲa
избавям	izbavim
избавям се	izbavjam se
избавяне	izbavjane
избелявам	nʲazbalʲavɨm
избива	ilbˈivo
избива ме	izbivɨmɛ
избивам	izbivɐm
избиване	izbìvâˈnɪ
избирам	aːzbərm
избирател	izbʲiratɨɫ
избирателе орган	izbjɾatjɛlɛ nɔɾgɛn
избирателен	i̠ðbʲiɾɑtʊ̞lʲɪn
избирателна комисия	izbˌeratˈɐl nɐ kˌumisˈia
избистрям	nʲizbiztrɨm
избледнявам	bˈazblɛdnˈɑvɔm
изблещвам се	i ʁblɛʃtʁɑm si
изблизвам	izbɫizbam
изблик	izblˈɛk
избликвам	hˈizblˈɪkfəl
избликване	izbɫikʋɐne
изблъсквам	izboskom
избождам	izbɔʒdɔm
избор	izbor
изборен	izbʊˈrɛn
избори	izburi
избран	izbrˈaŋ
избран съм	izbranˈsɐm
избраник	izbranˈiɣ
избраница	izbranitza
избродвам	jesproˈdvɔm
изброявам	izbɾujavɐm
избръмчавам	izbramtʃavam
избръсквам	ˈisbrˈyskvʌm
избръщолевям	ˈisbrʌʃtulɛˈivˈem
избутвам	izbutvɐm
избухвам	nʲazpoxvam
избухване	izbɔxvɐne
избухлив	izbuxɫiv
избухлив съм	izbuxljfsam
избухливост	isbuxlʲivus
избухтявам	izbuxtjɑvɑm
избуявам	izbujɑvɑmɯ
избуял	lisβuiaw
избъбрям	izbɔbrɛm
избълвам	izbɛɫvɐm
