×	peke
サロン・ミュージック	saɾoɴ mjɯːdʑikːɯ
サロン的	saɾoɴteki
サワアジサイ	saɰᵝaadʑisai
サワガニ	saɰᵝagani
サワギキョウ	saɰᵝagikjoɯ
サワグルミ	saɰᵝagɯɾɯmi
サワシバ	saɰᵝaɕiba
サワラ	saɰᵝaɾa
サワー	saɰᵝaː
サワークラウト	saɰᵝaːkɯɾaɯto
サワークリーム	saɰᵝaːkɯɾiːmɯ
サワードウ	saɰᵝaːdoɯ
サワー・クリーム	saɰᵝaː kɯɾiːmɯ
サワー種	saɰᵝaːdane
サン	saɴ
サンオイル	saɴoiɾɯ
サンオブアビッチ	saɴobɯabitɕːi
サンオーエス	saɴoːesɯ
サンカ	saɴka
サンカクガイ	saɴkakɯgai
サンカメイガ	saɴkameiga
サンガリズム	saɴgaɾizɯmɯ
サンキスト	saɴkisɯto
サンキュ	saɴkjɯ
サンキュー	saɴkjɯː
サンキューカッス	saɴkjɯːkasːɯ
サンキューカード	saɴkjɯːkaːdo
サンキュー・カード	saɴkjɯː kaːdo
サンキュー事故	saɴkjɯːdʑiko
サンキライ	saɴkiɾai
サンクガーデン	saɴkɯgaːdeɴ
サンクコスト	saɴkɯkosɯto
サンクション	saɴkɯɕoɴ
サンクス	saɴkɯsɯ
サンクスギビングデー	saɴkɯsɯgibiɴgɯdeː
サンクスギビング・デー	saɴkɯsɯgibiɴgɯ deː
サンクチュアリ	saɴkɯtɕɯaɾi
サンクチュアリー	saɴkɯtɕɯaɾiː
サンクチュール	saɴkɯtɕɯːɾɯ
サンクトゥス	saɴkɯtɯsɯ
サングラス	saɴgɯɾasɯ
サングリア	saɴgɯɾia
サンケア指数	saɴkeaɕisɯɯ
サンコウチョウ	saɴkoɯtɕoɯ
サンゴ	saɴgo
サンゴアイゴ	saɴgoaigo
サンゴトラザメ	saɴgotoɾazame
サンゴトラザメ属	saɴgotoɾazamezokɯ
サンゴヘビ	saɴgohebi
サンゴミズキ	saɴgomizɯki
サンゴ礁	saɴgoɕoɯ
サンゴ科	saɴgoka
サンザ	saɴza
サンザシ	saɴzaɕi
サンシェード	saɴɕieːdo
サンシモニズム	saɴɕimonizɯmɯ
サンシャイン	saɴɕaiɴ
サンシャインフィッシュ	saɴɕaiɴɸiɕːɯ
サンシュユ	saɴɕɯjɯ
サンショウ	saɴɕoɯ
サンショウクイ	saɴɕoɯkɯi
サンショウモ	saɴɕoɯmo
サンジカリスト	saɴdʑikaɾisɯto
サンジカリスム	saɴdʑikaɾisɯmɯ
サンジカリズム	saɴdʑikaɾizɯmɯ
サンジカルスト	saɴdʑikaɾɯsɯto
サンジカルスム	saɴdʑikaɾɯsɯmɯ
サンスクリット	saɴsɯkɯɾitːo
サンスクリット語	saɴsɯkɯɾitːogo
サンスクリーン	saɴsɯkɯɾiːɴ
サンステファノ条約	saɴsɯteɸanodʑoɯjakɯ
サンストーン	saɴsɯtoːɴ
サンスーシ	saɴsɯːɕi
サンスーツ	saɴsɯːtsɯ
サンセット	saɴsetːo
サンセットバタフライフィッシュ	saɴsetːobataɸɯɾaiɸiɕːɯ
サンセベリア	saɴsebeɾia
サンセベーリア	saɴsebeːɾia
サンセリフ	saɴseɾiɸɯ
サンソフト	saɴsoɸɯto
サンソン図法	saɴsoɴzɯhoɯ
サンタ	saɴta
サンタクロース	saɴtakɯɾoːsɯ
サンタフェ	saɴtaɸɯe
サンタマリア	saɴtamaɾia
サンタン	saɴtaɴ
サンタンオイル	saɴtaɴoiɾɯ
サンタンカ	saɴtaɴka
サンタン・オイル	saɴtaɴ oiɾɯ
サンタ・クロース	saɴta kɯɾoːsɯ
サンタ・マリア	saɴta maɾia
サンダル	saɴdaɾɯ
サンダル履き	saɴdaɾɯbaki
サンダー	saɴdaː
サンダーバード	saɴdaːbaːdo
サンチマン	saɴtɕimaɴ
サンチュ	saɴtɕɯ
サンチュール	saɴtɕɯːɾɯ
サンチーム	saɴtɕiːmɯ
サンテティスム	saɴteteisɯmɯ
サンディエゴ	saɴdeiego
サンディカリスト	saɴdeikaɾisɯto
サンディカリスム	saɴdeikaɾisɯmɯ
サンディカリズム	saɴdeikaɾizɯmɯ
サンデッキ	saɴdekːi
サンデー	saɴdeː
サント	saɴto
サントニン	saɴtoniɴ
サントメプリンシペ	saɴtomepɯɾiɴɕipe
サントメ縞	saɴtomedʑima
サントラ	saɴtoɾa
サントール	saɴtoːɾɯ
サンド	saɴdo
サンドイッチ	saɴdoitɕːi
サンドイッチマン	saɴdoitɕːimaɴ
サンドイッチ・マン	saɴdoitɕːi maɴ
サンドイッチ構造	saɴdoitɕːikoɯzoɯ
サンドウィッチ	saɴdoɯitɕːi
サンドウェッジ	saɴdoɯedʑːi
サンドウエッジ	saɴdoɯedʑːi
サンドスキー	saɴdosɯkiː
サンドストーム	saɴdosɯtoːmɯ
サンドストーン	saɴdosɯtoːɴ
サンドタイガーシャーク	saɴdotaigaːɕaːkɯ
サンドバギー	saɴdobagiː
サンドバス	saɴdobasɯ
サンドバッグ	saɴdobagːɯ
サンドバーシャーク	saɴdobaːɕaːkɯ
サンドバー・シャーク	saɴdobaː ɕaːkɯ
サンドパイル	saɴdopaiɾɯ
サンドブラスト	saɴdobɯɾasɯto
サンドペーパー	saɴdopeːpaː
サンドボックス	saɴdobokːɯsɯ
サンドポンプ	saɴdopoɴpɯ
サンドレス	saɴdoɾesɯ
サンド・ウェッジ	saɴdo ɯedʑːi
サンド・ウエッジ	saɴdo ɯedʑːi
サンド・スキー	saɴdo sɯkiː
サンド・タイガー・シャーク	saɴdo taigaː ɕaːkɯ
サンド・バギー	saɴdo bagiː
サンド・バス	saɴdo basɯ
サンド・パイル	saɴdo paiɾɯ
サンド・ポンプ	saɴdo poɴpɯ
サンノゼ	saɴnoze
サンハチロク	saɴhatɕiɾokɯ
サンバ	saɴba
サンバイザー	saɴbaizaː
サンバー	saɴbaː
サンバーストバタフライフィッシュ	saɴbaːsɯtobataɸɯɾaiɸiɕːɯ
サンバーン	saɴbaːɴ
サンビーム	saɴbiːmɯ
サンフェリクスバタフライフィッシュ	saɴɸɯeɾikɯsɯbataɸɯɾaiɸiɕːɯ
サンフォライズ	saɴɸoɾaizɯ
サンフォードキツネザル	saɴɸoːdokitsɯnezaɾɯ
サンフラワー	saɴɸɯɾaɰᵝaː
サンフランシスコ	saɴɸɯɾaɴɕisɯko
サンフランシスコ講和条約	saɴɸɯɾaɴɕisɯkokoɯɰᵝadʑoɯjakɯ
サンプラ	saɴpɯɾa
サンプラー	saɴpɯɾaː
サンプリング	saɴpɯɾiɴgɯ
サンプリングキーボード	saɴpɯɾiɴgɯkiːboːdo
サンプリングレート	saɴpɯɾiɴgɯɾeːto
サンプリング・キーボード	saɴpɯɾiɴgɯ kiːboːdo
サンプリング・レート	saɴpɯɾiɴgɯ ɾeːto
サンプリング周波数	saɴpɯɾiɴgɯɕɯɯhasɯɯ
サンプリング定理	saɴpɯɾiɴgɯteiɾi
サンプル	saɴpɯɾɯ
サンプルサイズ	saɴpɯɾɯsaizɯ
サンプルセリングシステム	saɴpɯɾɯseɾiɴgɯɕisɯtemɯ
サンプルドキュメント	saɴpɯɾɯdokjɯmeɴto
サンプルブック	saɴpɯɾɯbɯkːɯ
サンプルホールド装置	saɴpɯɾɯhoːɾɯdosoɯtɕi
サンプル・サイズ	saɴpɯɾɯ saizɯ
サンプル・ドキュメント	saɴpɯɾɯ dokjɯmeɴto
サンプル・ブック	saɴpɯɾɯ bɯkːɯ
サンプル集団	saɴpɯɾɯɕɯɯdaɴ
サンボ	saɴbo
サンボウカン	saɴboɯkaɴ
サンボリスト	saɴboɾisɯto
サンボリスム	saɴboɾisɯmɯ
サンボリズム	saɴboɾizɯmɯ
サンポウカン	saɴpoɯkaɴ
サンマ	saɴma
サンマイクロシステムズ	saɴmaikɯɾoɕisɯtemɯzɯ
サンマリノ	saɴmaɾino
サンマー	saɴmaː
サンユーザグループ	saɴjɯːzagɯɾɯːpɯ
サンライズ	saɴɾaizɯ
サンライト	saɴɾaito
サンルーフ	saɴɾɯːɸɯ
サンルーム	saɴɾɯːmɯ
サンローラン	saɴɾoːɾaɴ
サン・オイル	saɴ oiɾɯ
サン・オブ・ア・ビッチ	saɴ obɯ a bitɕːi
サン・セリフ	saɴ seɾiɸɯ
サン・ディエゴ	saɴ deiego
サン・デッキ	saɴ dekːi
サン・バイザー	saɴ baizaː
サン・フランシスコ	saɴ ɸɯɾaɴɕisɯko
サン・マイクロシステムズ	saɴ maikɯɾoɕisɯtemɯzɯ
サン・マリノ	saɴ maɾino
サン・ユーザ・グループ	saɴ jɯːza gɯɾɯːpɯ
サン・ライズ	saɴ ɾaizɯ
サン族	saɴzokɯ
サー	saː
サーカス	saːkasɯ
サーカス団	saːkasɯdaɴ
サーカディアンリズム	saːkadeiaɴɾizɯmɯ
サーカムスクライブ	saːkamɯsɯkɯɾaibɯ
サーカムスクリプション	saːkamɯsɯkɯɾipɯɕoɴ
サーカムフレックス	saːkamɯɸɯɾekːɯsɯ
サーガ	saːga
サーキット	saːkitːo
サーキットエミュレーション	saːkitːoemjɯɾeːɕoɴ
サーキットエミュレーションサービス	saːkitːoemjɯɾeːɕoɴsaːbisɯ
サーキットトレーニング	saːkitːotoɾeːniɴgɯ
サーキットブレーカー	saːkitːobɯɾeːkaː
サーキット・エミュレーション	saːkitːo emjɯɾeːɕoɴ
サーキット・エミュレーション・サービス	saːkitːo emjɯɾeːɕoɴ saːbisɯ
サーキット・トレーニング	saːkitːo toɾeːniɴgɯ
サーキット・ブレーカー	saːkitːo bɯɾeːkaː
サーキュラー	saːkjɯɾaː
サーキュラースカート	saːkjɯɾaːsɯkaːto
サーキュラーピッチ	saːkjɯɾaːpitɕːi
サーキュラー・スカート	saːkjɯɾaː sɯkaːto
サーキュラー・ピッチ	saːkjɯɾaː pitɕːi
サーキュレーション	saːkjɯɾeːɕoɴ
サーキュレーター	saːkjɯɾeːtaː
サークライン	saːkɯɾaiɴ
サークリップ	saːkɯɾipːɯ
サークル	saːkɯɾɯ
サークル活動	saːkɯɾɯkatsɯdoɯ
サークレット	saːkɯɾetːo
サーコート	saːkoːto
サージ	saːdʑi
サージタンク	saːdʑitaɴkɯ
サージプロテクタ	saːdʑipɯɾotekɯta
サージャン	saːdʑaɴ
サージャント	saːdʑaɴto
サージャントメイジャーダムゼルフィッシュ	saːdʑaɴtomeidʑaːdamɯzeɾɯɸiɕːɯ
サージャントメイジャー・ダムゼルフィッシュ	saːdʑaɴtomeidʑaː damɯzeɾɯɸiɕːɯ
サージャントメージャー	saːdʑaɴtomeːdʑaː
サージャント・メージャー	saːdʑaɴto meːdʑaː
サージン	saːdʑiɴ
サージング	saːdʑiɴgɯ
サージ・プロテクタ	saːdʑi pɯɾotekɯta
サージ抵抗	saːdʑiteikoɯ
サージ耐力	saːdʑitaiɾjokɯ
サーズ	saːzɯ
サーズデー	saːzɯdeː
サーセン	saːseɴ
サータアンダーギー	saːtaaɴdaːgiː
サーターアンダギー	saːtaːaɴdagiː
サーチ	saːtɕi
サーチエンジン	saːtɕieɴdʑiɴ
サーチエンジンポジショニング	saːtɕieɴdʑiɴpodʑiɕoniɴgɯ
サーチエンジン対策	saːtɕieɴdʑiɴtaisakɯ
サーチエンジン最適化	saːtɕieɴdʑiɴsaitekika
サーチタイム	saːtɕitaimɯ
サーチパス	saːtɕipasɯ
サーチパタン	saːtɕipataɴ
サーチャー	saːtɕaː
サーチャージ	saːtɕaːdʑi
サーチライト	saːtɕiɾaito
サーチ・エンジン	saːtɕi eɴdʑiɴ
サーチ・エンジン・ポジショニング	saːtɕi eɴdʑiɴ podʑiɕoniɴgɯ
サーチ・タイム	saːtɕi taimɯ
サーチ・パス	saːtɕi pasɯ
サーチ・パタン	saːtɕi pataɴ
サーチ不可能	saːtɕiɸɯkanoɯ
サーチ文字列	saːtɕimodʑiɾetsɯ
サーチ時間	saːtɕidʑikaɴ
サーチ許可	saːtɕikjoka
サーチ＆リカバリー	saːtɕiaɴdoɾikabaɾiː
サーチ＆リカバリーダイブ	saːtɕiaɴdoɾikabaɾiːdaibɯ
サーチ＆リカバリー・ダイブ	saːtɕiaɴdoɾikabaɾiː daibɯ
サーティ	saːtei
サーティフィケイト	saːteiɸikeito
サーティフィケート	saːteiɸikeːto
サーティー	saːteiː
サーティーン	saːteiːɴ
サーディン	saːdeiɴ
サート	saːto
サード	saːdo
サードニックス	saːdonikːɯsɯ
サードパーティ	saːdopaːtei
サードパーティー	saːdopaːteiː
サードベイス	saːdobeisɯ
サードベンダ	saːdobeɴda
サードベース	saːdobeːsɯ
サード・パーティ	saːdo paːtei
サード・パーティー	saːdo paːteiː
サード・ベイス・	saːdo beisɯ
サード・ベンダ	saːdo beɴda
サード・ベース	saːdo beːsɯ
サーバ	saːba
サーバクライアント型	saːbakɯɾaiaɴtogata
サーバブレード	saːbabɯɾeːdo
サーバル	saːbaɾɯ
サーバント	saːbaɴto
サーバ・ブレード	saːba bɯɾeːdo
サーバー	saːbaː
サービサー	saːbisaː
サービス	saːbisɯ
サービスに依存	saːbisɯniisoɴ
サービスの妨害	saːbisɯnoboɯgai
サービスの復旧	saːbisɯnoɸɯkːjɯɯ
サービスの貿易に関する一般協定	saːbisɯnoboɯekinikaɴsɯɾɯipːaɴkjoɯtei
サービスアクセスポイント	saːbisɯakɯsesɯpoiɴto
サービスアクセス点	saːbisɯakɯsesɯteɴ
サービスアスペクト	saːbisɯasɯpekɯto
サービスエリア	saːbisɯeɾia
サービスエンドポイント	saːbisɯeɴdopoiɴto
サービスエース	saːbisɯeːsɯ
サービスカー	saːbisɯkaː
サービスガール	saːbisɯgaːɾɯ
サービスクラス	saːbisɯkɯɾasɯ
サービスグレード	saːbisɯgɯɾeːdo
サービスコンセント	saːbisɯkoɴseɴto
サービスコート	saːbisɯkoːto
サービスサイズ	saːbisɯsaizɯ
サービスステイション	saːbisɯsɯteiɕoɴ
サービスステーション	saːbisɯsɯteːɕoɴ
サービスセンター	saːbisɯseɴtaː
サービスタイプ	saːbisɯtaipɯ
サービスタイム	saːbisɯtaimɯ
サービスデータ単位	saːbisɯdeːtataɴi
サービスハウス	saːbisɯhaɯsɯ
サービスバイト	saːbisɯbaito
サービスバルコニー	saːbisɯbaɾɯkoniː
サービスビューロー	saːbisɯbjɯːɾoː
サービスブレーク	saːbisɯbɯɾeːkɯ
サービスプリミティブ	saːbisɯpɯɾimiteibɯ
サービスプログラム	saːbisɯpɯɾogɯɾamɯ
サービスプロバイダ	saːbisɯpɯɾobaida
サービスマン	saːbisɯmaɴ
サービスマーク	saːbisɯmaːkɯ
サービスヤード	saːbisɯjaːdo
サービスライン	saːbisɯɾaiɴ
サービスルーチン	saːbisɯɾɯːtɕiɴ
サービスルーチンプログラム	saːbisɯɾɯːtɕiɴpɯɾogɯɾamɯ
サービスルーム	saːbisɯɾɯːmɯ
サービスレベル	saːbisɯɾebeɾɯ
サービスロード	saːbisɯɾoːdo
サービス・アクセス・ポイント	saːbisɯ akɯsesɯ poiɴto
サービス・アスペクト	saːbisɯ asɯpekɯto
サービス・エリア	saːbisɯ eɾia
サービス・エンドポイント	saːbisɯ eɴdopoiɴto
サービス・エース	saːbisɯ eːsɯ
サービス・カー	saːbisɯ kaː
サービス・ガール	saːbisɯ gaːɾɯ
サービス・クラス	saːbisɯ kɯɾasɯ
サービス・グレード	saːbisɯ gɯɾeːdo
サービス・コンセント	saːbisɯ koɴseɴto
サービス・コート	saːbisɯ koːto
サービス・サイズ	saːbisɯ saizɯ
サービス・ステイション	saːbisɯ sɯteiɕoɴ
サービス・ステーション	saːbisɯ sɯteːɕoɴ
サービス・センター	saːbisɯ seɴtaː
サービス・タイプ	saːbisɯ taipɯ
サービス・タイム	saːbisɯ taimɯ
サービス・ハウス	saːbisɯ haɯsɯ
サービス・バルコニー	saːbisɯ baɾɯkoniː
サービス・ビューロー	saːbisɯ bjɯːɾoː
サービス・ブレーク	saːbisɯ bɯɾeːkɯ
サービス・プリミティブ	saːbisɯ pɯɾimiteibɯ
サービス・プログラム	saːbisɯ pɯɾogɯɾamɯ
サービス・プロバイダ	saːbisɯ pɯɾobaida
サービス・マーク	saːbisɯ maːkɯ
サービス・ヤード	saːbisɯ jaːdo
サービス・ライン	saːbisɯ ɾaiɴ
サービス・ルーチン	saːbisɯ ɾɯːtɕiɴ
サービス・ルーム	saːbisɯ ɾɯːmɯ
サービス・レベル	saːbisɯ ɾebeɾɯ
サービス・ロード	saːbisɯ ɾoːdo
サービス不能攻撃	saːbisɯɸɯnoɯkoɯgeki
サービス付き	saːbisɯtsɯki
サービス付き高齢者向け住宅	saːbisɯtsɯkikoɯɾeiɕamɯkedʑɯɯtakɯ
サービス便覧	saːbisɯbiɴɾaɴ
サービス信頼性	saːbisɯɕiɴɾaisei
サービス内容	saːbisɯnaijoɯ
サービス制御群	saːbisɯseigjogɯɴ
サービス品質	saːbisɯçiɴɕitsɯ
サービス品質契約	saːbisɯçiɴɕitsɯkeijakɯ
サービス妨害攻撃	saːbisɯboɯgaikoɯgeki
サービス実現	saːbisɯdʑitsɯgeɴ
サービス拒否攻撃	saːbisɯkjoçikoɯgeki
サービス提供区域	saːbisɯteikjoɯkɯiki
サービス提供地域	saːbisɯteikjoɯtɕiiki
サービス提供者	saːbisɯteikjoɯɕa
サービス料	saːbisɯɾjoɯ
サービス料金	saːbisɯɾjoɯkiɴ
サービス業	saːbisɯgjoɯ
サービス残業	saːbisɯzaɴgjoɯ
サービス産業	saːbisɯsaɴgjoɯ
サービス種別	saːbisɯɕɯbetsɯ
サービス統合ディジタル網	saːbisɯtoɯgoɯdeidʑitaɾɯmoɯ
サービス要素	saːbisɯjoɯso
サービス部門	saːbisɯbɯmoɴ
サーフ	saːɸɯ
サーファー	saːɸaː
サーフィス	saːɸisɯ
サーフィスモデル	saːɸisɯmodeɾɯ
サーフィス・モデル	saːɸisɯ modeɾɯ
サーフィン	saːɸiɴ
サーフェイス	saːɸɯeisɯ
サーフェイスモデル	saːɸɯeisɯmodeɾɯ
サーフェイス・モデル	saːɸɯeisɯ modeɾɯ
サーフェス	saːɸɯesɯ
サーフェスモデル	saːɸɯesɯmodeɾɯ
サーフェス・モデル	saːɸɯesɯ modeɾɯ
サーフキャスティング	saːɸɯkjasɯteiɴgɯ
サーフキャスト	saːɸɯkjasɯto
サーフジェット	saːɸɯdʑietːo
サーフスキー	saːɸɯsɯkiː
サーフトローリング	saːɸɯtoɾoːɾiɴgɯ
サーフパンツ	saːɸɯpaɴtsɯ
サーフボード	saːɸɯboːdo
サーフミュージック	saːɸɯmjɯːdʑikːɯ
サーフライダー	saːɸɯɾaidaː
サーフローラー	saːɸɯɾoːɾaː
サーフ・キャスティング	saːɸɯ kjasɯteiɴgɯ
サーフ・キャスト	saːɸɯ kjasɯto
サーフ・ジェット	saːɸɯ dʑietːo
サーフ・スキー	saːɸɯ sɯkiː
サーフ・パンツ	saːɸɯ paɴtsɯ
サーフ・ミュージック	saːɸɯ mjɯːdʑikːɯ
サーフ・ライダー	saːɸɯ ɾaidaː
サーフ・ローラー	saːɸɯ ɾoːɾaː
サーブ	saːbɯ
サーブアンドボレー	saːbɯaɴdoboɾeː
サーブポイント	saːbɯpoiɴto
サーブル	saːbɯɾɯ
サーブレット	saːbɯɾetːo
サーブ・アンド・ボレー	saːbɯ aɴdo boɾeː
サーブ・ポイント	saːbɯ poiɴto
サープラス	saːpɯɾasɯ
サーベイ	saːbei
サーベイヤー	saːbeijaː
サーベイランス	saːbeiɾaɴsɯ
サーベル	saːbeɾɯ
サーベルタイガー	saːbeɾɯtaigaː
サーベル・タイガー	saːbeɾɯ taigaː
サーボ	saːbo
サーボブレーキ	saːbobɯɾeːki
サーボモーター	saːbomoːtaː
サーボ機構	saːbokikoɯ
サーマル	saːmaɾɯ
サーマルプリンタ	saːmaɾɯpɯɾiɴta
サーマルプリンター	saːmaɾɯpɯɾiɴtaː
サーマルペーパー	saːmaɾɯpeːpaː
サーマルリレー	saːmaɾɯɾiɾeː
サーマル・プリンタ	saːmaɾɯ pɯɾiɴta
サーマル・プリンター	saːmaɾɯ pɯɾiɴtaː
サーマル・ペーパー	saːmaɾɯ peːpaː
サーマル・リレー	saːmaɾɯ ɾiɾeː
サーミスター	saːmisɯtaː
サーム	saːmɯ
サーメット	saːmetːo
サーメン	saːmeɴ
サーモ	saːmo
サーモインナー	saːmoiɴnaː
サーモエレメント	saːmoeɾemeɴto
サーモカップル	saːmokapːɯɾɯ
サーモカラー	saːmokaɾaː
サーモグラフィー	saːmogɯɾaɸiː
サーモコンクリート	saːmokoɴkɯɾiːto
サーモスタット	saːmosɯtatːo
サーモメータ	saːmomeːta
サーモメーター	saːmomeːtaː
サーモン	saːmoɴ
サーモンピンク	saːmoɴpiɴkɯ
サーモン・ピンク	saːmoɴ piɴkɯ
サーモ・インナー	saːmo iɴnaː
サーランギ	saːɾaɴgi
サーロイン	saːɾoiɴ
サーロインステーキ	saːɾoiɴsɯteːki
サーロイン・ステーキ	saːɾoiɴ sɯteːki
サーン	saːɴ
サーヴィス	saːvisɯ
サ変	saheɴ
サ変動詞	saheɴdoɯɕi
サ変名詞	saheɴmeiɕi
サ店	sateɴ
サ行	sagjoɯ
サ行変格活用	sagjoɯheɴkakɯkatsɯjoɯ
サ高住	sakoɯdʑɯɯ
ザ	za
ザイフリボク	zaiɸɯɾibokɯ
ザイル	zaiɾɯ
ザイロフォウン	zaiɾoɸoɯɴ
ザイロフォン	zaiɾoɸoɴ
ザイン	zaiɴ
ザイール	zaiːɾɯ
ザウアークラウト	zaɯaːkɯɾaɯto
ザウルス	zaɯɾɯsɯ
ザカフカス	zakaɸɯkasɯ
ザカート	zakaːto
ザギン	zagiɴ
ザクザク	zakɯzakɯ
ザクスカ	zakɯsɯka
ザクソンインターネット	zakɯsoɴiɴtaːnetːo
ザクロ	zakɯɾo
ザクロ石	zakɯɾoiɕi
ザクースカ	zakɯːsɯka
ザゼンソウ	zazeɴsoɯ
ザック	zakːɯ
ザッツオーケー	zatsːɯoːkeː
ザッツオール	zatsːɯoːɾɯ
ザッツライト	zatsːɯɾaito
ザッハトルテ	zahːatoɾɯte
ザッハートルテ	zahːaːtoɾɯte
ザッピング	zapːiɴgɯ
ザップ	zapːɯ
ザトウクジラ	zatoɯkɯdʑiɾa
ザバイオーネ	zabaioːne
ザバイヨーネ	zabaijoːne
ザバリョーネ	zabaɾjoːne
ザブザブ	zabɯzabɯ
ザボン	zaboɴ
ザラつく	zaɾatsɯkɯ
ザラにある	zaɾaniaɾɯ
ザラクビオオトカゲ	zaɾakɯbiootokage
ザラザラ	zaɾazaɾa
ザラ場	zaɾaba
ザリガニ	zaɾigani
ザルガイ	zaɾɯgai
ザルガイ科	zaɾɯgaika
ザル蕎麦	zaɾɯsoba
ザワつく	zaɰᵝatsɯkɯ
ザワークラウト	zaɰᵝaːkɯɾaɯto
ザワークラフト	zaɰᵝaːkɯɾaɸɯto
ザンジバルバタフライフィッシュ	zaɴdʑibaɾɯbataɸɯɾaiɸiɕːɯ
ザンビア	zaɴbia
ザンビア共和国	zaɴbiakjoɯɰᵝakokɯ
ザーコム	zaːkomɯ
ザーザー	zaːzaː
ザーッ	zaː
ザーメン	zaːmeɴ
ザ行	zagjoɯ
シ	ɕi
シアター	ɕiataː
シアターオルガン	ɕiataːoɾɯgaɴ
シアター・オルガン	ɕiataː oɾɯgaɴ
シアトル	ɕiatoɾɯ
シアナミド	ɕianamido
シアノコバラミン	ɕianokobaɾamiɴ
シアノバクテリア	ɕianobakɯteɾia
シアノ基	ɕianoki
シアン	ɕiaɴ
シアン化カリウム	ɕiaɴkakaɾiɯmɯ
シアン化ナトリウム	ɕiaɴkanatoɾiɯmɯ
シアン化合物	ɕiaɴkagoɯbɯtsɯ
シアン化水素	ɕiaɴkasɯiso
シアン化水銀	ɕiaɴkasɯigiɴ
シアン化物	ɕiaɴkabɯtsɯ
シアン化銀	ɕiaɴkagiɴ
シアン基	ɕiaɴki
シアン酸	ɕiaɴsaɴ
シィクワシャー	ɕiikɯɰᵝaɕaː
シイ	ɕii
シイザア	ɕiizaa
シイノキ	ɕiinoki
シイラ	ɕiiɾa
シェア	ɕiea
シェアウェア	ɕieaɯea
シェアウエア	ɕieaɯea
シェアクロッパー	ɕieakɯɾopːaː
シェアハウス	ɕieahaɯsɯ
シェアリング	ɕieaɾiɴgɯ
シェア・クロッパー	ɕiea kɯɾopːaː
シェアード	ɕieaːdo
シェアードハブ	ɕieaːdohabɯ
シェアードメモリ	ɕieaːdomemoɾi
シェアードメモリー	ɕieaːdomemoɾiː
シェアードライブラリ	ɕieaːdoɾaibɯɾaɾi
シェアード・ハブ	ɕieaːdo habɯ
シェアード・メモリ	ɕieaːdo memoɾi
シェアード・メモリー	ɕieaːdo memoɾiː
シェアード・ライブラリ	ɕieaːdo ɾaibɯɾaɾi
シェイク	ɕieikɯ
シェイド	ɕieido
シェイバー	ɕieibaː
シェイパ	ɕieipa
シェイピング	ɕieipiɴgɯ
シェイフ	ɕieiɸɯ
シェイプアップ	ɕieipɯapːɯ
シェイプトキャンバス	ɕieipɯtokjaɴbasɯ
シェケル	ɕiekeɾɯ
シェトランドポニー	ɕietoɾaɴdoponiː
シェトランド・ポニー	ɕietoɾaɴdo poniː
シェニール糸	ɕieniːɾɯito
シェパーズパイ	ɕiepaːzɯpai
シェパーズ・パイ	ɕiepaːzɯ pai
シェパード	ɕiepaːdo
シェパードチェック	ɕiepaːdotɕekːɯ
シェフ	ɕieɸɯ
シェフナイフ	ɕieɸɯnaiɸɯ
シェフ・ナイフ	ɕieɸɯ naiɸɯ
シェラック	ɕieɾakːɯ
シェラフ	ɕieɾaɸɯ
シェリフ	ɕieɾiɸɯ
シェリー	ɕieɾiː
シェリー酒	ɕieɾiːɕɯ
シェル	ɕieɾɯ
シェルスクリプト	ɕieɾɯsɯkɯɾipɯto
シェルター	ɕieɾɯtaː
シェルタードハウジング	ɕieɾɯtaːdohaɯdʑiɴgɯ
シェルパ	ɕieɾɯpa
シェルパ族	ɕieɾɯpazokɯ
シェルピンスキーのガスケット	ɕieɾɯpiɴsɯkiːnogasɯketːo
シェルピンスキーのギャスケット	ɕieɾɯpiɴsɯkiːnogjasɯketːo
シェルフ	ɕieɾɯɸɯ
シェルプログラマ	ɕieɾɯpɯɾogɯɾama
シェルプロンプト	ɕieɾɯpɯɾoɴpɯto
シェル・プログラマ	ɕieɾɯ pɯɾogɯɾama
シェル・プロンプト	ɕieɾɯ pɯɾoɴpɯto
シェル変数	ɕieɾɯheɴsɯɯ
シェル構造	ɕieɾɯkoɯzoɯ
シェー	ɕieː
シェーカー	ɕieːkaː
シェーク	ɕieːkɯ
シェークダラー	ɕieːkɯdaɾaː
シェークハンド	ɕieːkɯhaɴdo
シェークハンドグリップ	ɕieːkɯhaɴdogɯɾipːɯ
シェーク・ハンド	ɕieːkɯ haɴdo
シェーグレン症候群	ɕieːgɯɾeɴɕoɯkoɯgɯɴ
シェーディング	ɕieːdeiɴgɯ
シェード	ɕieːdo
シェーバー	ɕieːbaː
シェーパー	ɕieːpaː
シェービング	ɕieːbiɴgɯ
シェービングクリーム	ɕieːbiɴgɯkɯɾiːmɯ
シェービングフォーム	ɕieːbiɴgɯɸoːmɯ
シェービングローション	ɕieːbiɴgɯɾoːɕoɴ
シェービング・クリーム	ɕieːbiɴgɯ kɯɾiːmɯ
シェービング・フォーム	ɕieːbiɴgɯ ɸoːmɯ
シェービング・ローション	ɕieːbiɴgɯ ɾoːɕoɴ
シェーピング	ɕieːpiɴgɯ
シェープ	ɕieːpɯ
シェープアップ	ɕieːpɯapːɯ
シェーマ	ɕieːma
シェール	ɕieːɾɯ
