abbabeiggi	æpːaːbatʃa
leygardagur	lˈeɪtˈaɪdˈaʊɚ
leynavatn	la-nalaːʕtʰni
leynavatn verður kallað breiðavatn í kollafirði	lˈɛn avˈartn vˈɛˈɾˈ kˈadla bˈrɑjjəlˈartn ˈɛn kˈadla fˈyl
leyva	lˈɛnjvɑ
leyvur	lajˈvoɾ
libanon	lipanau
libya	lipia
liggja	lɪtʃˈa
likka	lˈɪçtka
liktinstein	lˈɪktdˈeːnstˈɔøn
lilja	lilia
lindi	lente
linur	lˈiːn
listakona	dˈisiːtˈakˈvˈɑlˈ
listamaður	ðəstɑmˈɑuəɹ
litava	lidaua
litirnir	lid̪ine
liva	lˈeːvɚ
ljós	ls
ljósá	je̞w̪sɑ
ljót	ʝˈauːt
ljótt	jˈɑːt
ljótur	jaat̪oɾ
loft	loft
logi	lɔjɐ
lomb	tsoˈ
lomvigi	nˈoːɾvˈeːɜ
lond	lɔnt
longutong	lwk
lopra	lɔpʒa
loysa	lojsa
lundi	lˈumtɐ
lurta	mustʃtsa
lygn	lækæn
lágan	luan
lágum	lauɫn
lás	lˈɔs
læa	lˈeɪɚ
læknafrøði	lˈaknˈɑfriːhˈa
læknar	lˈaxknˈa
lækni	lˈaxknˈa
lær	ðeəɹ
lærarafelags	laɾðaɾafiʝə
lærarar	nəaːlɑlɑɾ
lærari	lalɛ
lærubók	laɾəbɪk
lína	mojná
línuskip	lugnʃ
líta	lwt̪a
lítil	luiten
lítið	lwt̪ɐ
lítla dímun	lɔtʃtʃa dɔ ɛ mɔm
lítlatá	rʏ̞xtlˈaptˈa
lítlifingur	lˈʌstlɪfɛnkɔɹ
lív	nˈoːi
lívevnafrøði	luːjvˈɛrnavʃˈɛljɛ
lívfrøði	lujˈupʒøː˧
lívrunnin evnafrøði	lˈoːv rˈʉnən ˈɛvna frˈøːja
lívæðr	løjˈap
lógvi	raħtʃiːzːʃuɾaːnʃuɾaːn
løgregla	ləkregla
løgreglur	ləkrɛklɛr
løgting	lˈʌk
løðar	naːn
lúgva	lˈɪkvˈa
lúka	nˈukːa
lús	ləuz
lýsa	lufa
lýsingarorð	lwˈissˈɛkəɹdˈ
lýðar	lu˨˩˦ɕja˥˩
mai	maj
maia	maja
mala	mˈɛlla
malta	mɑɮtɑ
mamma	mama
mammur	mammˈeː
mangur	mˈælkɚ
maria	ˈalɪe
marjun	mˈɑɹiən
markus	maʃkas
marokko	maloɣko
mars	mˈaʃ
matstova	mætstˈoː
matstovur	maststɔvɪr
maður	mavʊʒ
mega	mejˈa
meginland	mˈeːjlˈanˈd
meina	majˈnna
meinhardt joensen	majnɑʃtʃɛ i oˈtʃa
menn	men
menna	menna
menniskja	mænɪʃɑm
merkir	mˈɛstʃɚ
merkja	mɛstʃa
merkur	mˈɛʃkə
meyra	majɪːlˌeʒː
meyruslúkari	mʲæʲɪʒuslʲɪwkaɾʲɛ
mikkjal helmsdal	mˈɪtʃˈeːal hˈɛlmstˌaːl
mikkjal thomassen	misk dʒald tˈoːməsən
mikladalur	mikloddeːlər
mikudagur	mˈikodˈaʊɹ
millumnavn	mˈɪtlənaɾm
minuttur	nˈunˈutˈɪg
missa	mɪsˈsɑ
miðevropa	miːdæftæɾ
miðja	meja
miðjur	mˈi
miðvágur	nˈoˈɦoʊ
mjødn	jˈɛs
mjølva	mjˈalˈɯvˈa
mjørkadalur	nʲaʃkadaɫo
moldova	molto
monako	monako
montenegro	mˌanˈtˈɛnˈɛkɾˈo
morskranes	mˈuʃkrɐdɪs
mostir	mˈɑstɚ
muga	mua
munna	munna
munnur	mʏ̞nɫɑr
mutla	multla
muður	mˈuɹ
mykines	mitʃles
mynd	mɛnt
mágur	mauɾ
mál	mal
málkunnleiki	mugˈaːlkwnˈlɑtʃˈɯ
málmaður	mˈɑlmˈɑʊɹ
mánadagur	maːnɑdɛ
máni	moɑn
mánin	maːnɨn
máur	mowˈr
mæla	mjalla
mær	mæ
mær gongst væl, takk	mˈɛrkˈuŋst vˈɛl tˈɑːk
mær gongst væl, takk, og tygum?	mɛrkɔŋ kʃiː beːl tˤɑʃk ot ɛ jom
mær gongst væl, takk, og tær	mˈɛn kɔn sɛwˈəlt ˈaxt ˈɔf tɛj
mær tørvar bara onkran at venja føroyskt við	mˈeːd hˈøːvər bˈɛːr ˈɔkran ad vˈɛːnjɑː fˈøːrdəstvˌiː
míga	mugja
mín	muʲin
mín familja er stór.	ma familjɐ ʃteu̯s
mótmæli	maːʏtmæːlɪ̞
mótmælisgonga	lˈoːtnˈoːnˈɛstɐ
móðir	mou̯vɛ
móðurmál	maːwɔːmɑːl
møður	mˈoːvɚs
múli	maola
mús	nˈuːz
mýggj	mutʃ
mýggjabit	mʊtʃabiːt
mýggjabiti	mukːʃabˈitɐ
mýl	mojn
mýlislívfrøði	majləsluːfrea
mýs	mˈuɪs
naddoddur	nˈɑtˈʌptˈɔɹ
nakki	nastʃa
namibia	nɑmiˈpja
navnorð	lau̯nˈoɾ
negl	vˈɛkl
nei	nˈaɪ
nema	nema
nepal	nɛhpɑl
neptun	næftu
nevna	jɛn˥˩nɑː
niels ryberg finsen	nils røg pərk fˈinˈsˈeː
nikka	nɪka
niður	nˈijˈʉ
niðurlendsk	nejoːlˈænˈtz
niðurlendskt	niːjøjˈnkst
niðurlond	niːjøːnˈʌŋ
noreg	moʒɛ
noregsland	nˈɔrəkslˈant
nornagest ríma	nˈɑt nˈɑt jˈɛst ɹˈujma
norrøna	na
norskt	nˈɔʃ
norðdepil	nˈɔrtˈɾæfˈbɒs
norðlýsið	nˈɔrlˈʌsˈɑ
norðoya fornminnissavn	nˈɔr ˈɑjɑ fˈat mˈɛn sˈɛgən
norðoyggjar	nˈɔɹlˈɔtʃæ
norðoyri	nɒɾɒjɾæm
norðradalur	nˈɔɹtˈeɾleɾ
norðragøta	nˈɔlˈakˈatˈa
norðskáli	nˈoʃkˈɑlɯ
norður	nɔʒuʒ
norðurkorea	nˈɔrkˈɔɹiə
norðurlond	nˈɔ̃ʒˈəˈɔm
november	nɔvɛmpɪ
nsí runavík	nsuɾ ɾuːnɑvu
náa	nˈuɐ
nátt	no
náttin	aˈsˈte
náttklæði	nˈotklaɪɪm
náttúruvísindi	nˈɔftˈɔʁˈvɛzɪ
næmingar	nɛ�ɑminke
næmingur	nˈɑməŋɚ
níga	nˈoiːˈɑ
níggju	nʊtʃtʃɔ
nítjan	nˈojˈtʃaŋ
nólsoy	əlsəi
nót	nˈoʊ
nøs	lˈeɪs
nøvn	nˈøvn
nú er nóg mikið!	nøː ɛl nøː mˈiʒ
nýføðingur	nˈʊɪflˈaɪŋgˈoɾ
nýggj	nˈotʃ
nýggjur	ʃoɾ
nýsæland	nˈɔsɛˈɑlɑːm
nýta	nujta
nýtt	nɔst
og	aɣo
oktober	ɑktˈɑpˈɛ
oldurabbi	aːldrapɫɯ
olduromma	altɔɾɔmˈmɑ
omaná	umma
omma	dʒoɾma
ommubeiggi	amuvatʃa
ommur	ˈɔmə
ommusystir	ammʊzesteːr
ongland	ˈɔnklˈæm
onnur	ɔnlɔɾ
ont	æw̯n
opna	ˈɔrtnɜ
ordiliga	plˈeɪɑ
orknoyggjar	aʃkɐnɐtʃa
ormurin langi	aɾmɾenlɛntʃɯ
orsaka	aʃaka
orsaka meg!	ɑː zæxˈqæmæ
orð	pɔː
orðabók	boɾɑbul
orðalýsingar	ʊɾalʊsĩŋkaɾ
oyggin	atʃen
oyggj	tɕ
oyggjar	aːt̪kaːr
oyggjarvegur	ˈotʃabˈɛðor
oynni	etna
oyra	ɑjˈʃa
oyralippa	ɑːjɾælvpæm
oyrarbakki	ɑjɾɑpətʃa
oyri	ajyʒe
pappageykar	papadʒeiko
pappageykur	apːaːgɑl
pauli	pɑwɫä
pennar	pˈɛnɜ
pennur	pˈɛnlˌɛɹ
petur	pˈɛstɚ
piltur	pˈɪstɚ
pinkubarn	tˈiːfgəbˈɑːtən
plantufrøði	tʃaːtpəfɔɾɛj
pluto	plutˈo
plássið	klosa
politi	pɔlɛti
porkeri	pɒʃtʃɒˈɾeɾ
portugal	poʃtɔgɑl
portugisiskt	paʃtʊkˈeːʲɪsˈɪst
postboð	pɔstpɔ
posthús	pɔstəlz
poul	pɔːl
prentari	pˌɾˈɛntˈɛl
práta	bɐbdɑm
prógva	kretʃnɒ
páll	pˈɑt
pálsdóttir	pɔlsdɒtːɛɾ
pápabeiggi	pɒhpɒbɒtʃˈi
pápar	pˈɔːpˈa
pápasystir	plˈɑfbˈɑːsˈɛstɚ
pápi	pˈa
pætur dam jacobsen	pʰiːtʰr dʒnmiːe̞k qɑbsən
pólland	pɔɔnɑm
pólskt	pɔlst
púta	pɨuta
r	fˈɛstˈ
rani	ljoɫo
raðtal	realtæl
reis	roɪs
reiður	lˌaiˈljˈoːl
reka	tɛka
rekja	retʃa
renna	lˈɛnna
rené tórgarð	rɛnnʲe tɛ urkaː
revar	lˈeːvɑːr
revur	nʲabɔj
reytt	ɾɛ
reyð	rˈeɪ
reyður	rɛjɛ
rigna	r̝ɪkna
rigndi	rɪktˈɛ
ring	ʒˈink
ringa	d̪ɪnka
ringið eftir løgregluni!	ɾuːntɕ æɢlɑr rɛklinaː
ringt	ri
ringur	ʒizˌeinkˈɔɹ
risin	ɾɪɛn
rita	rˈita
rituvík	rɛitɔk
rivna	guzətɪmɪdɑ
robert	ʒˈə-wɒpˈeʃt
rosina	ʒosina
ross	lˈɔs
rotta	jøtːa
rottur	rˈɔstˈɵ
royna	rɔjna
roysningar	rˈøstgˈaɪm
roysningur	ʃoːsnːiːkgul
rumenia	rumˈeija
runavík	luŋujk
russiskt	kʒɔzsɪst
russland	ɾʊslant
ryggur	rˈikːˈeɾ
rán	n˧oɔ̀n˧
rína	lujna
rísa	lwjsta
rógva	ʒˈɛkv
rógvari	rɛkvarjo
rógvi baldvinsson	ɟak vipaːlt vinsoɐn
rógvi jacobsen	lˈɛk vˈɑjˈaxk ɑʊpˈsəl
rógvi poulsen	ɾəkwə pɔlsən
rói patursson	rˈoːvə pətɚsˈøːn
rópa	lɛʊˈ
róður	ɾauː
rúni	bɾˈeuˈnˈɑ
saga	saka
sagnorð	saknøɾ
sakførari	sˈɛʁkfɔlˈɔlˈ
sakir	sakˈljˈ
sakna	sakna
saksun	saksɔn
saksunarvatn	sakːsʰunɑɾʋaː
saltangará	sastʃigera
sambia	sampja
sameina	samajna
samfelag	safælˈlɑː
san marino	san maɾino
sandavágur	santabaːbɪɾ
sandoy	santɔj
sandsvatn	sˈaɪəmsˈɔ
sandur	santˈor
sandvík	sanˈgoj
sangur	sankul
sannleiki	saˈnlɑjtʃa
sannur	saːntnɔɾ
saturn	saxtu
segði	sæjˈɛ
seinni	satnɑ
seks	sˈɛks
sekstan	sˈɛkstˌan
senda	sˈɛnta
sendistova	santɛstoˈba
september	sestˈɛmpˈɛr
serbia	sɛɫpja
serkur	sʃkw
seta	sʲɛsta
seta meg	sætːˈa mˈeːd
seytjan	sɛjdʒɒn
seyðir	sˈeɪjˈu
seyður	ʃaj
siga	sˈiːa
sigla	sˈɪkla
sigldi	sɪltæ
silki	sætʃtjæ
silvur	zlbɔɾ
singapor	seŋkãˈpʊɹ
sjey	ʃaː
sjeyogfjøruti	seɪeːlfiːltiː
sjokuláta	ʃɑkˈlɑtˈt̪a
sjálvandi	ʃaːlvantɑ
sjón	ʃlɛn
sjónleikarar	sʃoːnlaːkaːraː
sjónleikarhús	siunleːkɦeːus
sjónleikari	ʃɛnlɑjkalɑ
sjónop	ʃɛlmˈɔp
sjónvarp	sjɒnˈbɒɾt
sjúkrahús	sʊkɾəus
sjúkt	fˈɾˈɛkˈt
sjúrður	ʃu
skansin	skãnsõŋ
skarvanes	skalʋɑnjɛsts
skarð	skˈaʒ
skeið	sˈkɔj
skeiðir	skoj
skera	fɕɛʐa
skerpikjøt	sʃbeʃɔʃt
skerpikjøt smakkar væl	tʃæʃ bɪ̞ɮ ʃɵt smɑʁka væːɬ
skerping	tʃaʃpe
skilja	ʃiːljɛ
skilji	tʃilja
skimast	ʃiːmˈʌst
skinnabein	ʃiːn˩˧nɑː˩˧baːj˧
skjóta	seltɐ
skjúrta	ʃʊ̞ʂta
skjúrtur	ʃʏ̞sʏ̞r
skopun	sgɔfpɔn
skorsteinur	skɔʃtajnɔ
skot	skuʌt
skotlandi	skˈɔrtlˈaːntˌeː
skriva	skrˈiːva
skriviborð	skɾjlˈbˈoːr
skrædna	tɐp
skríggja	skrʊtːʃa
skyr	ʃiːr
skál	skuːal
skál!	skol
skálavík	tsɣaːlaqoɾw
skáli	skuɫɯ̞
skálir	sɔɫeɾ
skógvar	skiklaɾ
skógvur	sˈkeːkkul
skóleistar	sakaːlast̪aɾ
skóleistur	skoːlxastˈe
skøvningur	skˈoʊnləŋkˈɚ
skúlabók	skuːlaboːk
skúlar	skuːlˈlˈɛʒ
skúvoy	sˈɛkˈʌvˈɔj
skýggj	skwtʃ
sleikja	slajtʃa
sligin	slˈiːn
slovakia	slovau̯tkaj
slovenia	slo˩˥ːuvɛnja˥˩
slættanes	slatːanɛs
slættaratindur	slataɾatəntɔr
smátta	smˈɑtːa
smáverulívfrøði	smaːbeɾiɫujpɾaja
snakka	snˈaxka
snorri	̚˥˩snardʒɨ
sofa	sofa
song	sõŋ˥˥
sonni nattestad	sˈɔmnən nɑːt dˈə stˈɑːt
sornfelli	satnpatlæ
sov væl	sɔwɛl
sova	sova
sovið væl	sɔbɛvæl
spakur	spakɔr
spania	spˈaɪnljə
spanskt	spˈænst
spegil	spiːɾˈjˈl
spentur	spestɔr
spilla	spetˈla
spong	zpɔŋk
sponn	spam
spurningur	sˌpˈoːlnˈɛgəl
spurvur	spɔɾɛvɛ
spyrja	spʃɪːdʒɪː
spyrna	spilnˈa
spyrnti	spent̪a
spæl	d̪alt̪
spæla	alˈla
spælari	sɛbɛrlaɾa
spóni	spɛu̯nɐ
spónur	spɛuʊlnˈ
spølni	spelne
spønir	spiːnːeː
standa	stanta
stari	ste˨˩˦ajɛ�n˧˥
starta	stɔʃtɔ
starvsfelagi	stˌaɾvzfɛllˈeː
stava	sˈtɛava
staðir	stˈɛːgˈeːr
staður	zˈtɑːvˈus
steggi	sðːetʃa
steikja	stajtʃa
steinur	festejndð
stetla	strəktla
stivlar	fælˈɛnˈbˈɑː
stivli	stevle
stjørna	stʲetna
stjørnufrøði	sdˌiːtoːdˈeːnˈlˈɑf
stova	stɔva
strendur	strˈɛntər
streymnes	strømmnˈɛz
streymoy	strɛjmoj
stríð	strˈuːid
studentur	stʊˈtɑːstʊɾ
stuttligt at hitta teg	s d̪oɾt lˈʊdˈa tˈɪ tˈatə
stuttligur	stˈotplˈeɪər
stykki	stɪstʃa
stór	stˈɛr
stóra dímun	stɛwzatɔ jmɔn
stórabretland	stˈœrabrˈɛtlant
stóratá	stɔgɛatːa
stóravatn	ztɛurava
stórt	ztɑːʃt
stórur	stɛldɔr
størri	stʃtɑʒ
støstur	tsestu
stýra	stujʐa
stýrisvølurin	s'toilˈezfˈɾˈɑðerˈin
sukur	sokol
sum	sum
sumba	sˌumpˈa
sumbiarhólmur	soŋtɪjɑɦɯl
summar	sʌmˈmɑ
sunnudagur	zˈɔ̃dˈəˈaːwə
suður	sʊɫ
suðurafrika	suːrˈɑfriːˌɛkˈɑ
suðurkorea	sˈoːvkɔldɛ
suðuroy	sɔɾoi
suðuroyar	tsuːrɔjɐ
suðuroyggjar	saːrɑːtˈɣə
svar	sɛɾ
svara	sʋɛʒa
svart	svaʃt
svartbakur	saʃdɛkvɛ
svartur	sastɛ
sveiggja	svatʃa
svenskt	svɛŋst
svimja	svˈɛ̃ɪˈa
svimjing	tsʰɛnjˈɛ̀
svágur	swavol
svávul	svovou
svín	zˈuɪn
svínoy	svˈojnʌj
svínáir	sʋɨnaje
svørt	svæʃt
svøríki	svɔrdidʒɛ
syngja	senˈtɕa
synir	sˈinər
systir	sˈɪstɚ
systkin	zɪstʃən
systkinabarn	sɪ̞ʃnɑgɑt
systrar	sˈɪstrar
systursynir	sˈɪstəsˈinɚ
syvja	se
syðradalur	sɪrˈadalaˈ
syðrugøta	seɾɪkata
sá	sɔ
sára	saˈɾɑ
síggjast	sʌtʃast
símun samuelsen	suːj muːmˈsa mɑːrˈsænd
síðla	sojlɑ
sól	sɛʊ̃
sólgerð	sˈɔltʃɚ
sólin	sɛuɫən
søgu	sɛvo
søkkur	sɜvkø
sørvágsvatn	søːɬbɔksvˈɑ
sørvágur	sɐrˈvɑːv
súgdjór	tsuːˈʌˈ
súggrísur	sɪuːgɾɑːsæ
súkkla	seklaɾ
súkkling	sˈøklɛg
súni olsen	sˈu nˈi ˈɔl sˈæn
súpan	supˈɑˈ
súrepli	sewˈrøklø
súrevni	sju˩˥ːʋne˥˩ː
súrna	søːnˈɑ
sýria	swˈiˈeɾ
tailand	tˈɒjilˈɒnt
taivan	tˈaɪvən
tak	tˈak
taka	tˈakə
takk	tˈɑk
takk fyri	tˈɑːk fˈiːr
takk, í líka máta	tˈaɾk lˈʉk ˈan vˈaɾt dˈa
tala	tˈeːɑlna
tallerkar	tɑɫɑʃtʃɯkɑj
tallerkur	tˈalɒʃtʃˈuɾ
talorð	tɐlˈoɹ
talv	tɑːnɫɯmɯ
tann	tɑːn
tannbust	tamplos
tarvar	tˈaɪvˌaɪ
tarvur	tælˈvɔl
tað	ðe
tað er einki at takka fyri!	tʰæːr ɔntʃaltak aferu
tað er í lagi	tɾliːjæ
tað meinar tú ikki, ha?	ta moj na tuʃhɑ
tað mást tú orsaka!	tæmˈstˈoːz tʃæɾke
tað var ein onnur kona.	taværən ɑnˈnɯr koːaːnˈna
tað var so lítið	teˈɒ beʃ ɒldo jˈdɒˈ
te	tˢe˧˥
teigafjall	taiːjafiːat
teingja	tɔntʃa
teir	tʰr
teisti	tɛsta
teitur	tˈaɪtəl
telda	tʃi
teldil	tæltl
telgja	teltʃa
telja	pli
telva	tænˈlˈɪbɑ
tenn	tan
teppi	tɒkdi
terna	tɛtnɑ
ternan	tʰɛtnɔn
ternu	tətnˈoʁ
teska	tɛska
tey	ˈeɪʊ
tey fóru gangandi tvey og tvey.	tˈɛfɚ gˈɛŋk ˈɔndɚ tɹˈeɪ lɛutˈtweɪ
thorvald	tɑ˥˩rfɑ˥˥
tikarar	tʰiː˥kaːi̯˧
tikari	tˌiːkɑɾ
til	tɪl
til lukku	tʃiː lˈuhko
til lukku við føðingardegnum	tʃiː lˈɔkk fɛːn kaɪ nˈɛl
tillukku við føðingardegnum	lennˈoχkˈu vipˈøːntadʒːanˈu
tin	kɛːn
tindasvín	tʰĩn˥˥tɔ˧˧suən˧˧
tindhólmur	tʃiːntʃlmɔr
tinganes	tʰiŋganlɯjˈʌs
tinna	tʃætlˈa
tippoldurabbi	tɪpɔltuloppɯ
tippolduromma	tɯɾomɯ
tit	tip
tjóðskap	tʃau̯skap
tjóðskapa	tʃau̯skapa
tjóðskapanna	tɕawʂkapana
tjóðskapar	tʃelskapar
tjóðskaparins	tʃau̯skaβ̞aɾẽn̪t̪s
tjóðskapi	tʃˈewskˈapɨ
tjóðskapin	tʃælskɑp
tjóðskapinum	tʃaːlskaːpɨnɔm
tjóðskapir	tʃau̯skapɛ
tjóðskapirnar	tʃˈɛlssɹˈɑppˈɛnˈɛ
tjóðskapirnir	tʃaːlsgˈæpəlnˈʌv
tjóðskapum	tʃau̯skapom
tjóðskapunum	tʃau̯skaponom
tjóðskapur	tʃau̯skapuɾ
tjóðskapurin	tʃaːwskapiːm
tjørnuvík	tʃatnavojk
tjúgu	tʃeɣo
tjúkki	tʃˈɚtʃa
toftavatn	tɨftɔla
toftir	tˈɔftɚ
tonn	tɑːn
torn	tɜːn
torna	tɑtmɑ
tornandi	sopnante
tornað	tɔtnɔ
tornaði	tɔtnɔjɛ
tornið	bˈɔlnə
torsteins kvæði	tˈoːʃt dˈiː zˈuː
torsteins kvæði er gamalt føroyskt kvæði, ið verður nýtt í føroyskum dansi.	tˈɔrsdŋsgˈvɛːgə ˈɛn jˈamal fˈøːrʉgˌsgvɛːgə ˈɔk vˈiː vˈɪːr ˈɛn ˈɔkeːtˈ fˈøːrkˈuː mdˈatsˈɛ
tosa	dvɔsa
tosar	tˈuˈɔsɚ
tosar tú við meg?	t̪ɔsa tɪ̞wɪ̞ mʲɛ
treiskur	kespɛ
trettan	tsɛsta
trilla	dʒˈɛnnˈvˈa
trol	tɾoːl
trolari	tˈɾˈɔnlɑˈɾˈɯ
trongisvágur	srɔntʃɛslaʋɛr
troyggja	trotʃa
tráða	tsuava
træ	tsʰɯ˨˩˦ja˥˩
træið	tr̝aɪ̯e
tríati	trijati
tríggir	sutʃe
trímenningur	sɾɛjmnɛkla
tróndur í gøtu	ʃant tʃiːzi e̞ɾuːkɒft
trøllabundin	trø̞tlɑbɔntɛn
trøllanes	srətɛɑnɛss
trøllkonufingur	trˈʌstkˈɔnəfˈɪŋgə
trúgva	trʏ̞kva
trý	tr̝oj
trý neyt á einum bási.	tʃɔj naʲidɔ ɛɛᵑgɔlʲita pasɛ
tummas	tʊmˈmas
tummil	tʊmmɛl
tunga	tʊŋkɐ
turið torkilsdóttir	tʰoːlʉn tʰɒrsiːd ˈstøːt iːd
turkaland	tuʃkalant
turriklæði	tutʒˈɛkˈlˈa
tveir	tˈvˈaɪl
tvey	tɹˈeɪ
tvær	tvˈɛːr
tvætla	tˈvˈatˈlˈɑg
tvøroyrar bóltfelag	tˈɪ lˈœɹ ˈɑɪ rˈɑɹ bˈoftfələ
tvøroyri	tvɔʐɔʒɒ
tvørur	tˈʌvˈrgˈuɾˈ
tyggja	tˈɪtʃˈa
tyngja	tintʃa
tyrnir	tʰɤp˥njuː˧
tá	tʰua
tá ið	tajˈu
tægr	tˈak
tær	t̪e̞ɒl
tær nýtist ikki at vera óhøvisk.	tˈɛr nˈu ˈɪtɛ stˈɪtʃɛ ˈɛd vˈeːra ˈoːv hˈøːvərˌsk
tíggju	tɔʧˈo
tími	tˈuiːm
tíð	tɔj
tó	tˈoʊ
tólv	tˈɛl
tórshavn	tsɛʊsau
tórshavn er miðstaður føroyinga	tˈoːl ʃˈaʊn ˈænd mˈeɪs dæɵ rˈɛflænkˈa
tórður	tɑʊ˥˩lɤ
tórður thomsen	tɔuɾ tɒm sænd
tøk	tˈɚk
tøkk	tˈɛk
tú	tuː
túsund	tˈusən
túsund takk	tʰils ðˈæŋ tʰaɢ
túsund takk fyri gávuna!	tʃaus ntɑk fjɾɛ gavɛnɑ
týr	tʊjˈʁ
týrur	tʃiːzitʃiː
týsdagur	tʃiːzitɛr
týskland	tˈʏʃlant
týskt	tukʃit
týða	tʊjˈa
uganda	ukanta
ukraina	okazt
ull	tɫ
ullintur	tˈutlˈɛntə
um tú spyrt tápuligar spurningar, fært tú tápulig svar.	ntɔ spist tɔgɵll æz pɔrnigˌɛ fartu tɔgɵllˈis vˈɛr
umaftur	tɾˌomˌɪsˈtˈoɾ
umskylda	ʔɔmʃeltˈta
umskylda at eg gloymdi at tú hevði føðingardag.	mɕild̥a atːe̞k lɑntʰiatʰu e̞fø̞i̯n kɛld̥a
undirklæði	ontɛrklajjɛ
ungarn	uːnˈkaɪnd
ungi	kˈut
universitet	univɛrsitˈiːt
upp	uf
upptikið	ofteatʃa
uranus	ɔɾɑnɔz
vaka	bˈɛɹkˈa
vakna	waqna
vaknaður	vaknavol
vakur	vˈaxkɜ
vakurt	vjɑkɔʃ
vallaratúni	vatlaɾjotunɛ
vangi	beŋtʃe
varrar	bˈaʒlˈaɾ
vatikanið	waxtekˈɑːn
vatn	dˈiː
vatns	fans
vatnsoyrar	vˈansˈɑːrdˈɛɹ
vatntættur	antˈator
veggur	ekul
vegi	veie
vegur	vivor
vekja	vɛʃtʃa
vekjari	kormelistʃar
veksa	mæksa
velja	vˈɛʎeɪːˈa
venjing	mʏ̞nʲĩŋ
venus	vˈenʊs
vera	væra
verdóttir	ð̞ankest̪e
verja	d̪eʝa
verkfrøðingur	vˈɛʃkfˈˈɾˈaɪnkɚ
verksmiðja	væʃkˈsmɪˌa
versonur	mʃʃɐnɐ
verða	vˈɛra
verður	lɪˈeɪʒuːɹ
verøld	bʲeːlʲɐlt
vestmanna	væsmɑːnɑ
vestur	vˈɛstɚ
vestursahara	vˈɛstɚʃaːhara
vetur	bˈɛstɚ
veva	vova
vevja	vˈeːtjɑ
veðr	vˈɛk
veðrir	vˈekˈrˈʁˈɛ
veðrið	vˈɛkrə
veðrur	bˈaɪnən
veðrurin er spakur	lækkɪ̞ dɪ̞nɪ̞ spɛrkɪ̞l
veður	ɹɛvɚ
vilja	vˈɛʎɪa
viljormur davidsen	vɛljormu taʋɪtsɛn
vilt tú hava eitt sindur av vatni?	ɢɵɬtɵɵ w̜iʃin tɵrɵäpɞ̙ɞ̙χtɵnä
vinarligur	vˈeːnˈɛɹlˈɪˈoːl
vinda	vˈɛnta
vindeyga	vɪntɛ
vindjakki	vinnjatʃe
vinir	vˈiːnə
vinka	plˈikːa
vinkona	mʏ̞fkʊ̞nˈa
vinmaður	vˈɛndmeˌʊɚ
vinna	vˈɪnːa
vinur	vˈiːnər
virka	bɪʃka
vit síggjast	viːtˈ sʊ gˈastˈ
vita	vita
vitalis	vitales
vitja	vˈitʃa
vitji	vitʃa
við	ɾiː
viðareiði	bijjãrajʲɛ
viðarlundin	bijalontɛ
viðbjørg	tsiːpjˈɛk
viðoy	visjoj
vjetnam	vjæθnɑm
vognur	mokːaj
vágar	vˈʊlɚ
vágur	voɾ
vánalig	ˈvanˈalɪ
vár	wˈɑːɹ
vátur	vɑːtːuɾ
vælgagnist	nalgˈɑknˈɛz
vælkomin	belkomən
vænta	vatːa
vættrar	vˈatːrˌar
víga	voja
víkarbyrgi	ujkapɛytʃe
víkingur gøta	vujtʃinˈgul gɔtˈa
víkja	oːjtsoː
vísari	vojsɑˈrðom
vív	voːˈiv
víðgongdur	vɨkːou̯tɯr
vóna	ðæunːa
vøgga	mɤkːa
vøggubarn	vˈakgəbˈaɾtən
vøka	bɛkˈa
vøkur	zˈɔkə
vørr	ðeɾ
yndisligur	ˈɪntəslˈɪr
yrkja	ɪ̞ʃtʃɑ
yrkti	ɪʃtɛ
yvir	iːve
yðja	ˈiːa
á	a
áarvegur	ˈuˈɑɹbˈɛvɚ
áhaldin	tɯ̞n
áhoyrari	kwaːhɔ̙ɪ̆ɹɔɹɪ̆
áleypari	alaːjˈbal
álka	ɔskɑ
állur	ˈatlˈɔr
ánir	aːnlɯɾ
ár	aɪ
árnafjall	oːpmaːfjat
árnafjørður	atˈnɑɣlˈɯjɑɾˈɯ
ása	aʃˈa
ást	ɔst
ástarleikur	astˈalˈojko
átjan	atʃaːm
átta	aˈsta
ávøkstur	aːvaɟnstoːr
æ	eo
ælabogi	ˈɛlɐbˈol
ætla	ˈatla
ætt	ˈaxt
ættarnavn	aktɑjnɑm
ættarnøvn	aðtɑɾnɑː
ættir	ɑqtɯ̞
æða	da
æðr	zˈtˈ
æðuvík	ɛaːɾbəvoj
í	oi
í bussinum	u jɛpuːsfɪnam
í feriu	uifɛʎʊ
í gjár	tsuaɪ˥˧ təm˧˥ʰən˧˥ tso˨˩˦la˥˧j˧fa˥˧
íf	buje
íf fuglafjørður	oi
íkornar	iːqɔtnɔj
íkorni	uʲːotna
írland	ˈɔɾəlˈɑnt
ísland	ʊʃlɑmˈt
íslendskt	aʃlæsd
ísrael	uʃtʃtʃn
ísur	owisoɾ
ítróttamaður	wuːjdɾɒtɒmɒvuɾ
ítróttarfelag	ɔøtʃɒsðɾɑfdɑː
íðka	ˈuxka
íðkari	mbyskaɾa
íðunn	ojum
ó	ˈo
óførur	ˈoːfə
ókeypis	æʊtʃæbɪs
