a'tlatl	atˈlats
ocuilin	oquilim
ohtli	otlɪng
ohuih	auwˌi
okatka	okatka
ollin	olim
ollintonatiuh	ollejntʊnatiu
ololiuqui	olʊ̃lʲiʊ̃kʰi
ololohuiztli	ˈolɔlɔwˈɪtsli
ome	ome
ome'	ɔːmɛ
omecíhuatl	uʃˈnˈkˈæmtʃi
ometecuhtli	umetekutɾi
ometzticatca	ometʃtjkatka
omextin	omestin
omitl	omik
omochihuazquia	omotʃiwaspia
omococoh	aːmaːqqaː
ompa	ompɑ
ompohualli	ompɔwɑʄ
ompohuallihuan chicome	ompo awaliː wanːtʃɪ kɔmɛ
oncah	onka
oncayaya	onkaʝaja
oni	ˈɔni
onichocac	onitʃokak
onimitzittac	onnimitsitak
ontequiti	ontekiti
opochtli	pɔpo˥˩ːtʃli˥˩ː
oquichpil	okizpil
oquichpilmeh	ukitilme
oquichtin	aojtesen
oquichtli	wakˈitstli
oticchiyaya	otixjaja
otihuetz	otːiwˈets
otstle	aˈtʃɛk
ozomahtli	qɑstɑmətke
oztotl	oʃtok
pahpaquiliztli	apaakilistli
pahtia	nʲapavestas
pahtli	batːli
palani	balani
palantoc	plantək
palehuia	bat˦le˥˩ja˥˩
pamitl	pamik
pampa	pampa
pano	pano
panolti	penolt̪e
pantitlán	pnt̪jklæn
pantli	antʃɛ
pantzin	pantsin
papalotl	papalos
paquiliztli	paklʲisdlʲi
paxaloa	paˈsaloˈa
paxaloanih	pʃaloɑnʲi
paxalohquetl	pʃloxkɪtl
payīnalli	paːginˈla
pehua	peua
pehualoni	beˈʁoloni
pepena	tɛfɛjnɔ
pepeztic	vɛpɛstik
peuhqui	peki
piali	tiali
piali nouanpoyouan	bjalimaw an poʝaw an
pialli	piallj
pialli, quenin tica?	bialy ke nintika
pilaltepetzin	pilaltepetsʃiːn
pilconetzin	bitʃiamkonduktion
piltecuani	t̪et̪e
piltzactzin	ilːˈtʃaksin
pipiyoli	kipiolj
pitzomeh	piːtsɑːmɛ
pitzotl	pitsot
pitztol	pitstso
pixtoc	pistok
piya	pia
piyali	fiali
piyalli	piali
piyo	pia
polatoh	polato
polihui	pˌɔliwi
poloa	poːˈloːa
popoca	pɔpɔkɐ
popocatepepan	pəpokatɛpɛpɛn
popocatépetl	pokokatɛpet
popokatepetl	popokatɛpɛt
poxtli	pɔstɛɾ
pāpalōtl	afalok
quechcuayo	ketʃkuaio
quehuac	keua
quema	kema
quemacatzin	kemakatʃin
quemah	kˈæm
queman	keman
quemanian	kemanian
quemmaniuhqui	kˈɪŋmˈangˈɛltkiː
quemmantica	kemantika
quemmantzin	kemantsin
quen	ken
quena	kenne
quence	kentse
quenhuac	kemvak
quenin	kenin
quenin motoca	kẽn jn motoka
quenion	enion
queniuhcatza	kenɪkkˈatsɑ
queniuhcatzan	kentsuɾkastsam
queniuhqui	ukeinɪçki
queniuhqui moillia ica nahuatl?	kəɲjiːkːi mwˈeɪliɑ ikːaːnˈawˈat
queniuhqui motocah?	kɛɲis kɪmˈo toka
quennopa	enopa
quenque	kelkˈe
quentzin	kentsim
quetl	etʃ
quetzalcoatl	køtkɛalkoadɨ
quetzalcohuātl	ketsaɾkoas
quetzalcōātl	ktsɑlkɔʃtʃ
quetzalli	ketsaˈli
quetzalpetatl	kɛtsɛalpetɔtʃ
quetzaltic	kẽt̪s̺alt̪ik
quetzalticcihuatl	kettsalteksiga
quetzaltototl	ketsaeltototu
quezqui	kɛʃkɪ
quiahuitl	kiawi
quiamati	kiemati
quiamatih	kiamati
quicahcayahuaz	kikaɾkaʝevas
quicehuizceh	kisewise
quichihuah	ketʃiwa
quichihuazque	kitʃiwaske
quicuamachilia	kikuɔmɑtʃiliɑ
quicuayaya	kikoˌˌaɪɐˈja
quihto	kisto
quihtoa	kist̪oa
quihtoah	kist̪oa
quihualtoca	kibol̟t̪oka
quiihtoh	kistɔ
quiinvestigarozquia	kiinvestgaroskia
quiitta	kita
quiittah	kɪːtˤa
quiittaqueh	tʃiːtake
quillih	kile
quilnamiquiz	kinamikis
quimanaz	umanas
quimandarozquiya	kimandarooskia
quimati	kimate
quimichin	t̪im̟˨ʲiʲːim˨˩˦
quimichpatlan	kimitʃpatlɑ
quinamacah	kinamaka
quinanquilih	kinaːnkili
quinechcahuih	kinetsʲkaːwɪ
quinequi	akustsjɛnɑ
quinequiah	kinekia
quinequih	kineki
quinequiz	kʲinˈnɛkʲiˌs
quinitta	ˈkinitˈa
quinittah	kinit̪a
quinmicahuia	kinmikauja
quinpapanoltili	kinpapanortili
quipantito	kipãn̪t̪it̪a
quipiyazquia	kipiaskie
quipiyazquiah	kipiaskia
quiquici	kikisi
quitl	kˈut
quitlacachihuan	ˈkitlakəttʃˈwa
quitlanizque	kitlaniske
quitlanizqueh	tˌiðlˈanniske
quitlanquechih	kidlanketʃi
quitlipoloa	kit̪lipɔlua
quixtia	kist̪ia
quiyahuitl	kiaue
quiyahuātl	kiawa
quiza	kisa
quizqui	kiskin
see tosaasaanil	ʃiːdʒaˑnɕɔn̪iˑ
segundo desfile de huehues, ciudad de puebla.	seɣˈundo desfˈile de wˈeɣwe ˈeʎa θjuðˈad de pwˈeβla
senitztoya	senˈitstˈoja
sijtli	siklˈi
sitlalin	sɪtlaːlɪn
sivatl	sˈivət
siwatl	sˈiwˈɔt
ta	ta
tahtli	dæɾˈliː
tahtzin	tatsiŋ
tahuantzin	tauansin
tajtli	tˈaxtli
tamalli	taˈmali
tamazunchale	tãmãsɔmtʃale
tanmechyolehua	tanmɛtʃjɔlɛwɑ
tapachtli	tapaːtʃtʰli
tatah	tata
tateh	date
tatzintli	tadfinsi
teahhua	ɛɛsjwɑ
tecac	tɛkak
tecactli	tˢekatˢli
tecahcayahuayaya	tˈɛkaskaʎˈˌaˈwˈajjˈajjˈa
tecamacayahque	tekamakaijɑhke
tecciztecatl	tʃieksistɛkat
tech	t̪ɛts
techan	beːtʃˈan
techichi	tʃitʃi
techitta	t̪e̞t̪ʃit̪a
techittah	tɛtʃita
technequih	tɛtʃnɛki
teco	tɛk˥o˥˩
tecococayotl	tẽk̞oko̞kaiot
tecolli	tekoni
tecolotl	tɛkolɔt
tecomitl	tˈɛkˈomik
tecotlazohtlaliztli	tekotlasotlalistli
tecpatitlan	tɛkpatɪtlɛn
tecpatl	tˈɛkpˈas
tecpatli	tekbatli
tecpillatolli	tɛkpilatɔli
tecua	tekwa
tecuah	tɛkva
tecuani	tɛkwani
tecuanimeh	t̪e̞kãn̪imaɾ
tecuciztecatl	tɛuksisɛtɛkat
tecuexes	tekwekes
tecuixin	t˨˩ekwɨʃən˧
teezzoh	teestso
tehamen	ðəhæmˈɪn
tehua	teua
tehual	te˨˩wan˥
tehuani	t̪eɣ̞oanli
tehuanten	tegwantˌen
tehuanti	teguaŋtʃi
tehuantin	teguantin
tehuatl	teɢwek
tehuaxca	tɛuasˈkɐ
tehuia	tewia
tehuilana	tɛwjlana
teipan	teipan
telpocameh	telokame
telpocatl	t̪elpokat̪
temachtiani	tʃimatʃtiani
temahpil	tˢmɛ̀hpil
temaquixtiliztli	temakistilistli
temiquiliztli	temikilistri
temoa	te˨˩moa˥˥
temētztli	tɛmɛtski
tenaliztli	tɛnˈʌtˈistˈlj
tenamaxcatitlan	t̪enemãʃkat̪it̪len
tenamitl	tɛnɑmɪn
tenantzin	tenanen
tenantzin = older woman	te nansin tˈe nansin
tenchalli	entʃali
tenextepoztli	tɛnɛʃtɛpɔstli
tenextic	tɛnɛstɪk
tenextilía	tenestilia
tenochca	te˥˩ːno˥˩ːtʃika˥˩ː
tenqui	dˈɛntəli
tenxipalli	tenʃipali
tenōchtitlan	t̪enai̯t̪ʃð̞it̪lãn̪
teocalli	teokali
teochihua	teotʃwa
teocihui	teɔtʃiwɪ
teomiyoh	teʊmˌijˈe
teonanácatl	tɛɔnanaka
teotihuacan	teotiuwɑkɑŋ
teotihuacàn	tˌeotˌiwˈakan
teotihuacán	kʰo˨˩tʰw˧˥a˥˧kʰa˥˧
teotl	dɛk
teotlac	t̪e̞t̪lak
teotlactzin	te˨˩ʰt˦l˥˩aktse˨˩˦
teoyojtika	tʃoˈʝostʲiko
tepahtianih	təpəstiani
tepahtihquetl	tɛbadɪçkɛtɛ
tepamitl	tɛpamiːt
tepantlajtoani	dpantlakvam
tepantli	tɛpandlɪ
tepec	tɛpɛc
tepeco	tepeko
tepecuac	təpɛkwək
tepehualiztli	stepeualistli
tepehuani	tɛpɛuãnp
tepehui	tɛpɛwi
tepeixco	tɛpɛisʲkɔ
tepemeh	tɛpɛme
tepepoxco	tɛpɛpɔʃkɔ
tepetinih	tɛpɛtɛme
tepetl	təpəts
tepeyac	tɛpɛjak
tepeyolohtli	tepeiɔlotli
tepiltzin	t̪epilts̺ĩn̪
tepitzin	tɛpɪtsɪn
teposkuikakaxitl	testekoskwikaakaʃi
tepotzli	tˈɛststˈu
tepozcahuayoh	tʲepozkawajɐ
tepoztli	dˈə-pˈɔstli
tepoztototl	tɛpoːstɔtok
tepuzcoatl	dpuːskoːtl
tepētl	tɛpɛts
tequi	teki
tequihuia	t̪e̞kiwiːja
tequilia	tekilja
tequipachoa	tetʃapadʒoa
tequipacholli	t̪ekʃatʃpatʃaˑlle
tequiti	t̪ekjti
tequitici	tekitiʃi
tequitinih	tekitini
tequititi	tʃiŋgidʒti
tequititicateh	tʲekjtitʲikatʲe
tequitito	tʲekjtjtʊ
tequitiyaya	t̪ekjtijaja
tequitl	ekik
tequitqui	təkiːdke
tequixpoh	takisjpo
tequixquitl	tʲɪkɪ̞ʃkɪ̞tɪ̞l
tequiyotl	tˌekjjˈotʃ
tetahtzin	tetatsʰim
tetelpochtin	t̪et̪aelpojt̪ɣ̞st̪ĩŋ
teteochihualiztli	teteotʃiualistli
tetic	tɛtik
tetiya	tet̪ia
tetl	tet
tetlapali	etlapali
tetsauitl	tɛtsawit
tetzcoco	tetsuko
tetzcohco	tɛtskɔkˈɔ
texotic	sosoktik
tezcatepepoxcocopahuic	tɛskatepɛpoʃkɔkɔpɑuɔl
tezcatl	teskat
tezcatlipoca	təskatʰlɪpɔkˈa
the nawatl language, a uto-aztecan language of mexico spoken by over a million people. it can also be spelled nahuatl or nahuatl.	naua tlxtolj seː tlxtoljɣlɑn xʉlɾɔakitekɲ ɣ̞ulto nawa
tiahcicohya	tiɑθikɑxjɑ
tiahcitozquiah	tʲiasitɔskɪjɐ
tiahui	jau̯i
tianquitzli	tjankjstli
tianquiz	t̪jãn̪kis
tianquizco	tiankisko
ticafentecqueh	tikɑfˌeːntæhke
ticahticateh	tikatikatˈe
ticalaqui	tikalaki
ticamanalozceh	tikamenaloste
ticamati	tikamati
ticamatih	tikamati
ticcahcih	tikasi
ticcalacqueh	kˌaləkˌe
ticcehuiah	tixseua
ticchihua	tits˦iwa˦
ticchihuacan	teqtʃɪkɑqkɑn
ticchihuazceh	tiʃiase
ticchihuazque	diktʃvaske
ticciohuiltia	tiksˈioːbiltˈia
ticcocolia	tiːkaːlˈliːa
ticcua	tikːwa
ticcuacan	ɗiˈkuatʰan
ticcuahqui	dˈikwəkˈi
ticcuamachilia	tikuwamɑtʃɛliɑ
ticcumplirocan	tikˈtumpɛdiɾɛkˈan
tichoca	itʃoka
ticihuapil	tisewapːˈiːl
ticihuatl	dˈɛˈsˈtˈɛwˈɛt
ticnamaca	tʃiqnamaka
ticnequi	tɪkˈnɛkˈi
ticnequih	tʲiknɛki
ticochi	tiko˥˥tʃi˥˧
ticochican	tikotʃikan
ticochih	dikoːtʃi
ticochiz	tikoʝis
ticochizceh	tikoatʃise
ticonican	tikonika
ticpiya	tikpia
ticpiyah	tikːlia
ticpiyazquia	tukpiaspia
ticquixtizcehya	tigisteseɦia
tictehuican	tiksəwikãn
tictequihuia	tiktekjuja
tietic	tietik
tietiqueh	tie̞tike
tihuallauh	ti˥˩uan˥˥la˥˥
tihuallaz	ð̞iɣ̞ualˈes
tihuallohuih	te˨˩waˀlui˥˩
tihuelzi	tiuelis
tihuetzqueh	ibetsʲke
tihuetzqui	ɾiwɛtski
tihuicacan	t̪iβ̞ikakẽn
tihuicaz	tiwjkas
tihuicazceh	tiwikase
tiiahui	tʃiʔiɑue
tiiahuihuan	tiː˧iː˧˧ɑw˧˧iː˧˧waːn˧˧
tiichpocameh	uʲtspokamɛ
tiiconeuh	ti˥˩ik˦˥one˥˩˦
tiihzac	tiːiːsak
tiitatah	tɪɪtɛta
tiitztoc	tiːˈitstˈok
tiixpoliuhqui	tiːʃpəldikke
tilmahtli	tʃiammatʃli
timaltican	t̪emal̪t̪ikẽn̪
timechittah	tiːmɛjtsiːta
timihtotianih	timistotiani
timihtotican	ti˥˩mistotika˥˩
timihtotihquetl	timitːotːikːetl
timihtotizceh	ti˥˩ːmisto˥˩ːti˥˩sɛ
timiquitiya	timikitia
timitstemoa	timˈit˦temˈɔɛ
timitzchiyazceh	tiimitslingvonase
timitzcocoliah	tiːmitsʲtʃokolja
timitzittah	ti˥˩mits˦ita
timitznamaquiltizquiah	temitsnamakiltkia
timoahuihuan	ti˨˩mɔː˧wa˥˩wa˥˩
timocahuah	timokawa
timociauhcahua	tiːmusiasʃawa
timocicinihqueh	tiːməˈsiːsiːniːke
timococoa	timɔkɔkɔa
timococoah	t̪imɔkɔkɔa
timococohqueh	ti˥˩moko˥˩ːko˥˩ː
timocuapqueh	timukˌakˈke
timocuezoz	timokuesos
timocuezozceh	timotʃapelistose
timodetenerohqueh	timodɛteneɾɔske
timoimaginaroz	tiʃatasimaxinarus
timoittah	timojita
timoittazceh	timojtase
timomacahuazceh	timomɑkɑwɑse
timomachilia	timomaktʃilia
timomachtia	tiˈmomatsˈtia
timomachtiani	ti˥˩mʊmatsʊ˥˩tjɑ˥˥ni˥˩
timomachtianih	tiːmˈomˈˈomˈestˈianˈiː
timomachtianimeh	timomatstianime
timomachtihquetl	tʰimɔmɔ̙nst̥kaetɔ̙
timomachtique	tibumastike
timomaihtoah	tiˈmumɑːɦitˈoaː
timomelahuah	tiːmɔmɔlawa
timonamictiya	tiːmunamiːk
timopalehuican	timopalowˈɪka
timopanolti	timopaiˈnolte
timotehuianime	simotebujanime
timotenxinqueh	tiːmətɛnʃiːnkeː
timotlaloah	t̪imut̪lalõã
timotlalocan	t̪imt̪laloka
timotlaloz	timtlalos
timotlalozceh	ti˥˩mɛtlalo˥˩ːse
timottah	tiːnmɔta
tinechcahcayahuaz	tʃineskaskʃaʃaʃ
tinechchiyaz	tinetʃtʃias
tinechcocolia	tiːnətʃkoːˈgoləɪɑ
tinechhuetzquiltia	tiːnətʃvəɾtskɪltja
tinechitta	tiːn˧˧tʃ˥˩itː˧˧aː˧˧
tinechmacac	ti˥˩nɛtɕmakak
tinechnequi	ti˥˩nets̺neki
tineci	tiːnesi
tinehnemih	tʃinenemi
tinemi	tine
tinoahui	tienawi
tinocneuh	ti˧˧okne˧˧iu˧˧
tinohueltih	tʃinualti
tinonanan	tiːn˧lɔːnɛnam˧
tinotatah	tinʊtata
tionyohuih	tionjuvi
tiopan	tiopan
tiotlac	tiot̪lak
tiotlaquilti	tijotʃtʃɔpʰaketj
tipanoh	tipanˈo
tipaxalohquetl	tipaʃaːləxket̪e
tiplanearohqueh	tiplanearoːtʃke
tiquetzaltic	tʲikɪtʲsaltʲik
tiquicxichiya	tekekeʃitʃia
tiquihtoa	tikistoa
tiquihtoah	tekestoa
tiquihtozceh	tikistose
tiquincocolia	tiːˈgiːmkoː˧koljaː
tiquinitta	tiːkːnit̪a
tiquinittah	teˈkɪnita
tiquinpiya	tiːˈkjˈnˈpiːjˈ
tiquitta	tikita
tiquittah	tikita
tiquittaque	tiːkitake
tiquittaqueh	tikitake
tiquittazceh	ti˥˩ːki˥˩ːta˥˩sə
tiquitztoc	tikkitstokk
titechchiyaz	tidetsʃtʃias
titechcocolia	titɛtʃkɔkɔlɪa
titechitta	titatʃita
titeihyohuia	titeixəvwja
titelpocameh	titerelpokame
titelpocatl	t̪it̪aelpokat̪
titepahtihquetl	titepæːhtikɛetl
titequiti	titekiti
titequititicah	titˈekɪtitika
titetiqueh	tiːtətike
titlacameh	tilakamme
titlacatl	nitlakat
titlachicuenia	tʰiːt˦˥lɔːk˨˩tɕikwn˧niaʔ˧
titlachpana	t̪it̪lat̪ɕipãnla
titlacohuacoh	tidlakowako
titlacua	tˈɛtˈɛlˈkwa
titlacuacan	tʲitlʲakwakãn
titlacuacoh	titatualeaiotɔ
titlacuah	tˈitlˈakwˈa
titlacuahqueh	t̪its̺akwãkke
titlacuahqui	titːlaːkwɑkˌi
titlacuatih	tˈitlˈakwatˈe
titlacuatoh	tidlakwato
titlahcuiloa	titlakweloa
titlahcuiloah	tiːtləɣkuːloːa
titlamahuizoa	tidlamavisoa
titlamamanih	tɪtlæmɑmanˈni
titlamaxima	tˈitlamaːsima
titlamehuah	tˈitlameua
titlanilia	titlanilia
titlaonican	tɪtlaːvnika
titlatzotzona	tʃiːzlatsʃoːtsɔnːna
titlaxcalcuaticateh	θlaʃkaalkatikat̪e
titlazohtlaque	tid̪lasot̪lakke
titztica	tiːɪtstika
tiyacan	tʲijakɐn
tiyauh	t̪ia
tiyaz	ties
tiyazceh	tiase
tiyohuih	t̪iːzom˧
tizanilozceh	tʃisaniloko
tlaahhua	klaʔʔakɑ
tlaahhuatihuallauh	tlaʔaxwaːtːiwaːlla
tlaahhuayaya	laɑhɑjɑjɑ
tlaahhuaz	laæsˈwas
tlaahuetzi	tlaʕwetsi
tlaahuetziz	kˈlaˈɛːtsis
tlaahuetzticah	tɛlaaːwɛtsɨtɛkːa
tlacacemelle	plakasamele
tlacachihua	tlakatʃiva
tlacameh	tlakame
tlacapohua	tsakkapɐua
tlacatecolotl	tsˈlˈɑkatˈekˈoloð
tlacati	akati
tlacatl	tlakak
tlacaxipehualiztli	konduktorokaʃipeallisto
tlacayoh	tlakaio
tlaceceyan	klasasejan
tlacelel	lasælɛl
tlachco	tljatʃko
tlachihualli	tlatʃue
tlachinolli	tlatʃjnoːlɲi
tlachixki	plaktɕisdʑkʲi
tlacohua	dlakɔva
tlacopan	dakapan
tlacotona	tɾakɔtɔnːna
tlacua	falaːkwa
tlacuah	tslawa
tlacuahqueh	tlakue
tlacuahquetl	tslakuaːkːɛt
tlacuahqui	tlakuaqi
tlacualiztli	tlakuallistli
tlacualli	tlakuali
tlacuani	lakaɣ̞ni
tlacuaquilotl	tˈˈakwakˈiːlˈlɔt
tlacuayaya	tlakwajaja
tlacuazquiah	tlakwaskia
tlacuilo	tˈɪlˈɑɹkwˈillˈɑ
tlacuilos	tʃakwilos
tlacuitlapan	tsakuet̪apen
tlahco	tlaxko
tlahcotonaya	kla˥˩ːto˩˥ːnaja˥˩˦
tlahcoyohual	tlakːojɔɑl
tlahcuiloa	tlakwlɔa
tlahpaloa	lapaloa˦˥
tlahtlacolli	tʰlatʰlakoːˈliː
tlahtlacza	tlatlasa
tlahtlania	tˤlaːħːlaːnia
tlahtlaniliztli	klaklanilistli
tlahtoa	klasaːstola
tlahtoani	tʰlæhtuːaːniː
tlahtol	tʰlətʰl
tlahtolcuepani	tlastolkoepamai
tlahtolli	təlˈhtəlˈli
tlahuel	tlaw̜e̞l
tlahuetziyan	klawetseɛn
tlahuizcalpantecuhtli	natʃauɛskalpanteupli
tlahuītequiliztli	slauɨtɛkjljstli
tlaixpan	tlaiːspan
tlaixpiya	slajspia
tlaixpiyalli	estastʃiamli
tlajtouali	tʰlæxˈtɑvɑlɪ
tlakatl	tɛlakat
tlalcacahuatl	tlɑɬtʃːakaːɣwak
tlalchi	tlaltʃi
tlalco	slalko
tlale	klale
tlalelolco	tlatelolkum
tlalia	tlajljɛ
tlalilia	kˈlˈɑlɛjˈlja
tlalle	klarlæ
tlalli	laːli
tlaloc	plɛlk
tlalocan	falsalokan
tlalpan	laalmenau
tlalpoxco	gɛtaːlpɔʃko
tlaltecuhtli	tslaːlteːˈweːktli
tlalticpac	t̪lal̪t̪ikpaːk
tlalticpactempan	t̪ʃlalt̪ikpakt̪ɛmpan
tlaltipactli	tlaltipaktʃiam
tlaltizapan	tlal̪t̪isapa
tlaltíkpaktli	klartʃipatʃa
tlamaca	klamakˈa
tlamachtia	lamætʃˈtiːja
tlamachtianih	tlamatstjani
tlamachtihquetl	t̪ekst̪amakst̪iket̪
tlamachtiliztli	klamatstilistli
tlamachtilli	tʃlamatʃtili
tlamahuitzolli	la˥˧ma˥˩tsɔ˧˧lɛn˧˥
tlamahuizolli	tlamauisɔlɨ
tlamantli	tlamankˈli
tlamatcanemiliztli	lamætkæniːmiːˈliːʒdiːd
tlamati	lamatse
tlamatini	tlamat̪jna
tlamatinime	klamat̪jnĩn̪e
tlami	tlɛnmi
tlampa	tlɛmpɑ
tlan	klaɾn
tlanahuatihquetl	tɪ̞lɛnnæwɑtðɪ̞kɛtkɪ̞l
tlanahuatile	tɛlanawaʔɨʎe
tlanahuatiliztli	tlaːnawatilistli
tlanahuatilli	tawɑtili
tlanamaca	sãn̪t̪d̪emkka
tlanamacaquetl	tɛlanamakakɛt
tlanamacato	lanamakato
tlaneci	flanesi
tlanecic	tlanesik
tlanehuilia	tlˈannevˈɪliə
tlanequilizticayopa	falsanekilistikaiopa
tlanextli	flanestli
tlanezqui	tsanezki
tlanquechia	tlˈanˈtˈkˈətʃɪa
tlanqui	tɛskɪ
tlapalehuiliztli	tlapaleujlispli
tlapaloctli	tlapalatˈli
tlapechtli	klaːpɛtʃtli
tlapehuala	lapegwala
tlapiyalli	klaːpˌiːalˈli
tlapohpolhuia	tʃapopoloja
tlapohua	tlapoa
tlapohualiztli	tlapo˥˩ːʋalɨ˩ːʃtli˥˩
tlapohuaz	kˈapʃaspavas
tlapāltepoztli	falsabalteposgj
tlapōhualmatiliztli	lapoualmatilisle
tlasotlakayotl	klasotlakaʝot
tlatchtli	klatʃte
tlatehua	klatɛwa
tlatelolco	platenolko
tlateochiualistli	kɛ˥˩ːtlɑ˥˩ːˈte˥˩ːˈo˥˩ːtʃiwɑlɪsli
tlatlani	tlatlani
tlatlaniliztli	klatlanilistli
tlatlauhtia	tʃlɐtʃlɐtːia
tlatoctzin	tlatoktsiŋ
tlatzihui	kˈlˈatˈsiwi
tlatzotzontli	laːtsəˈtsənklɪ
tlaxcala	laeskala
tlaxcalli	plaʃkaˈli
tlaxcallān	ʃɑqqaʃlaa
tlaxcaltzin	tlasçalsʲim
tlaxtlahua	tlaʃlawa
tlaxtlahuazceh	tlastlawɑsɛ
tlaxtlahuilia	tlasdlaɣoilia
tlaxtlahuilli	klastlawili
tlayecana	tlaje˩˥ːkana˥˩
tlayi	tlaji
tlayohua	laxau̯ɒ
tlazalehualli	klasaleɣuali
tlazcamati	klaskamate
tlazocamati	diplomatiolasokamati
tlazohcamati	klasokamate
tlazohnantzin	klasonantsin
tlazohtla	tɫasotɫa
tlazohtlaliztli	klasotlalistli
tlazohtlaloni	tʃlɒsɒːtlɒlɒniː
tlazolteotl	lasafɾɛos
tlazoltéot	tlasalteo
tlazōlteōtl	plasoldejok
tleca	lˈɛkːa
tleica	kleika
tlein	klane
tleino	kleino
tleka la tichichi?	tʃlɛg ʔalaːhl tiːn˧tiːt˥ tʃeːˈten˧
tlen	tˈɛlˈnˈɛ
tlenhueli	tˈlˈɛnwˈˈli
tlenon	plenon
tlequiquiztlālli	plekikistlai
tlicolli	el
tlilli	plili
tliltic	kɾiːtik
tliltique	tliltike
tlilxochitl	lɛsatʃiti
tlipoloa	kliː˧˧po˧˧lɔːa˥˧
tlitl	plˈeɪt
tlitliltzin	tʃlɪpˈlilˈsin
tlixihuitl	klestʃiwˈit
tlohtli	flosli
tlono	plˈano
tloque	tʃloke
tlájtoli	kʰæˈdæstæl
tlālli	ʈʂɑːli˨˩˦
tlāloc	dˈɾˌalˈɔk
tlāloctepoztli	plalotʃɛpɔskali
tlālōcēlōtl	tlaloselot
tlīltic tepoztli	klinˈik dˈi bˈɔstə
tocah	tɔkɐ
tocahuayohhuan	toˈkawaɟˈoxwa
tocaitl	tokaj
tocal	tokal
tocatl	tokat
tocaxtia	t̪okast̪ia
tocayo	tokajo
tocayoh	tokajo
tocayotl	togajot
tochtli	tɔtstli
toci	toɔsɛ
tocicihtzin	tosisektsin
tocih	tosi
tocomaleh	tokomaːlɛ
tocompaleh	tokompalð̞e
toconehuan	tokonne˩˥ːwa˥˩
tohhuantin	tokwanˈteˈn
toichpocahuan	doiʃpˌokˈaɫɐ
toichpocauh	tojtsʲpoka
toicniuh	toiːkniː
toltec	tɔltɛk
toltecatl	toltʃekatʃ
tomahuac	tomawak
tomahuizticatlahtol	tʃimawistikatlatɔl
tomatl	tʃi
tomichin	tonitsin
tomin	lɔːmɪn
tona	tɔnˈna
tonacaztlan	to˩˥ːna˩˥ːkastʰla
tonahuac	tonawa
tonale	dˈoːnˈale
tonalli	tonale
tonalpohualli	tomalpoˈgol
tonaltzintli	donalsinkle
tonantzin	tonantsin
tonantziné	tonantsine
tonatiuh	tonatjo
tonatiuyoh	tonatiuxo
tonauac	tɔnaɫak
tonayampa	onajãmpa
tonayan	tonajan
tonetehuiliz	tonetevilis
tonochtin	tonɔtʃtiːn
totahtzin	totaksiːn
totajtsi	ˈtotˈatsɪn
totatah	tata
toteco	toteko
totequi	tɔteki
totiotzin	tɔttiːɔtsin
totlalhui	tˌotˈlalwˈi
totlalnantzin	totlalnantsim
totlalticpac	tɔtˈlaltikˈpak
totlalticpacnantzi	totʃaaltikpaknantsim
totomeh	tatome
totoniz	totonis
totonqui	tʃi
tototl	tɔtɔts
totzitzintin	totsitsintin
toyolloh	tajɑlo
tsahtsi	sahtsi
tuxtla	tukstla
tzacua	tsakwa
tzahtzi	tsatsi
tzictli	tʃikli
tzin	sen
tzinco	tsinko
tzintamalli	tsintamalˈi
tzitzimime	tsitimime
tzitzitlíni	setseklinɛ
tzompantli	sonpatʃ
tzoncalli	lnka˥˩ali
tzonquizca	tsonkaska
tzontli	tsontli
tzopelatl	tso̞pælˈak
tzopelic	fapɛlik
tzopilotl	sɔpjllɔt
tzotzo	tsoˈtˈzˈo
tzotzopaztli	sɔtʃiːzipæsdʒiː
tōchtli	tˈʌtʃtlˈi
tōmatl	tomai̯
tōnalli	ˈtonalli
tōnatiuh	tonatiu
tōnatiuyoh	tʃinatiuʝˈo
uan	wˈʌn
uetzcayotl	uð̞sãĩ̯ot̪
uexotl	voːˈxotl
ueytepostli	waɪtˈɪdˈkɒstlɪ
xacoiztatl	ʃakoistats
xalisco	ʃalisko
xalli	ʃali
xalostotitlán	ʃaːloˈstʊtitlˈan
xalpan	alpən
xalpan nozo ipan xalli	ʃalpan la sɔj panʃalli
xamixcaltexcaxitl	ʃameʃkalt̪eʃkaʃet
xapon	ʃapon
xicalaqui	sekalaki
xicalpextle	tʃiːkɛlpæsdʒe
xicaltlapo	ʃikaltlapo
xiccahua	sij˧˧ka˥˧wa˥˧
xiccalaqui	ʃikalai
xiccehui	ʃiːfsəwˈi
xicchihua	sˈɪtʃˈiwa
xicchihuacan	sitʃiwɑkɑŋ
xiccohua	seek˨ow˧aːn˥
xiccotonti	usʃiikatʰɔntʰe
xiccua	sikːwa
xichoca	ʃitʃoka
xichocacan	si̯t˨tʃokakän
xichocatehua	ʃitʃokateua
xicmaca	ʃikmaka
xicmacaya	siɣ̞makaʝa
xicmanaya	sikmanaja
xicmatlalana	tʃiqmɑtlæˈlænlɑŋnɑ
xicnotzati	ɕiknotsat˦e
xicochi	si˥˩kɔ˧˧tsi˥˩
xicochican	ʃiːkotʃɪkaj
xiconhualica	sikonvallika
xiconhualicati	sikoːnbalaːkatʃti
xiconicanya	siko˩˥ːnika˥˩ɲa
xiconnotzati	ʃikonotsatˈe
xicontici	ʃikondukˈa
