caihongzi	tsʰaɪ˧˥kʰʊŋ˨˩˦tsɯ˧
把几吊吊哩, 不講道理	pa˥˥tsit˦tsiaʔ˦liau˨˦ nei˧˥pu˥˧kʰon˨˩˦tɕi˨˩˦la˥˥nei˧˥
把是	pɔ˥˥ʂɚ˥˥
把海带从水里 撈起来咯	pa˨˩˦xaɪ˨˩˦ taɪ˥˩tsʰʊŋ˨˩˦ʂweɪ˨˩˦li˨˩˦lɑʊ˥˥tɕjɛ˥˥tɕʰi˨˩˦laɪ˧luɔ˥˩
把海带从水里撈起来咯	pɔ˥˥a˥˥ta˥˩ tsuən˥˩ʂweɪ˥˥ bi˨˩˦ tɤ˧˥tɕʰi˨˩˦ la˥˥lɔ˥
抠鬼	kʰɤ˥˩
披萨饼	pi sˈa pjˈɛ̃
披薩	pˈiːsa
抻敨	sɐn˥˥kʰɑʊ˥˥
抻直	tsʰɤŋ˥˥tsɯ˧
抽胡说	xɤ˧˥ xu˧˥ɕɥœ˥˥
抿一口	mjˈʌŋ
担脚	pɛ̃ˈtˈsˈw
拊开	fˈaˈsˈa
拐哒场	kwa˥˥aɻ˥˩tɕjɑŋ˨˩˦
拐场	tua˥˧ai˧˧tsau˨˦
拖鞋	tʰu˥˥a˥˧
拢来	nɐn˩˩˦lai˥
括号	kuɔ˧˥xɑʊ˨˩˦
括弧	kuɔ˧˥
拳头骨	tyn ɪnˈdɑːgɔ
指南	tsuna
指南针	tsɯ˥˥la˥˥tsan˥˥
指甲	tsɯ˧˥kɔ˨
指甲子	tɕʈʂɚ˨˩˦kɑʊ˥˥tsɯ˧
指码子	tsizɑ mɑʋ tsaɪ
挎	xwa˥˥
挎哒一个包	kʰa˨˩˦ tɔ˥˥i˥˩ pɑʊ˥˥
挎哒一根项链	kwa˥˥ i˥˩ kɤŋ˥˥a˥˥lɪn˧˥
挑土	tʰau˥˥tʰou˥˥
挤油渣子	kiaʊ˨˩taːzɯ˨˩
捏像	lɥœ˧˥
掉水的	ljoʊ˨˩ʃue˧˥lĩ˥˩
掐脖子	xɑʊ˧˥ ʈʂu˨˩˦ʈʂɚ˧˥
接坨	tʃeː toːgoː
提水	kioa˨˩ʃweɪ˥˧
提篮子	tio̞˨˩ lanzɯ˥˩
揪干	tɕioʊ˥˧ kʰa˨˩˦
揫钱	tɕʰjɑʊ˨˩˦tɕɪŋ˥˧
搁（藏）起来	kɯːtɕiɾa
搂裤子	lɑʊ˨˩˦kʰu˥˥tsɯ˧
搉斷	tɕʰweɪ˥˥tʰu˧˥
搞不成器	ba β̞ot̪ẽn̪ɣ̞i
搞名堂	tɑŋ˥
搞大路	ka˥˥ta˥˩ kʰau˨˩ tʰau˧˥lɔ˨
搞完冇咯	ka˥˥y˧˥ i˧˥ma˨˩˦luɔ˥˩
搞路子	kalau̯tsɯ
搣	ne
搬家	kou˥˥
搭伙	tɐxˈo
搭帮	taɾpɔ
搲水	mɔːsweɪ˧˧
搲汤	uɔːtʰɑŋ
携带	kʰua˥˥tʰo˨˩
摆格	ã k
摆看	pɑj˥˩kʰa˥˥
摛出来	tsʰɯ˥˩ ʂu˨˩˦
摸罗拐	u˨˩˦ lu˨˩˦kwan˥˥
摸骡拐	mu˨˩˦lu˨˩˦kwan˥˥
撇淡的	pio̞ dndi
撈起来	la ho tʃiː la
撒噶嗒	sɑːgə dˈa
撩别	liau˥˧pʰiaʔ˨
撩发哒	ne̞ˈjɑː˩˦hoː˧˥
撮垃圾	ʐu˧˥lɔ˥tɕi˥˥
撮箕	tsu˥˩dʑi˥˩
擂茶	lai˧˥tsuɔ˨˩˦
擒家伙	tɕĩŋ˨˩tsua˥˧pu˥˧
擤鼻涕	ʂu˨˩˦bɤs˥˩
擦子	tsʰaɪ˥˥tsɯ˧
擦干净	tsʰɐi̯˧˥kaː˥ jiː˧
攒钱	tsʰan˥˥ʈʂɚ˨˩˦
攒齐	tsʰan˥˥
收场	ʂɤ˥˥ʈʂu˧˥
放肆	fɑŋ˥˥sɯ˥˥
放肆搞	pɔnsga
放让	pa˥˥
政变	tsʊŋ˨˩˦pjɛn˥˩
教书	kɑŋ˥˥sy˧˧
散场	sɑːn zaːn
散学	saɴɕoɯ
散戏	saːnˈʃiː
散棚	sãːm pungɯ
敤	xu˥˥
敤你一下	kʰoː˧˥liː˧hɔː
敨松	tʰɤːsʏŋ
敬老爷	tɕɪŋ˥˥la˥˥ɻ˨˩˦
数学题	sau̯siŋ˨˩
敹几针子	ljɛn˨˩˦tɕi˥˥tsən˧˥tsɯ˧
文化	vˈɑntɕi fˈa
文化古迹	wɤ˨sfɔ˥˥u˥˩
文庙坪	wan˨˩liɑ˥˩ bɪn˧˥y˧
斐济语	feɪ˨˩˦ tɕi˥˩ y˨˩˦
斑椒	kwan˨˩
斗伞法	tuː steːn fˈæːr
斗把	tɤp˨oː˧˥
斢	tʰiau˥˧
斢一个	kio˥˧ i˥˧ku˥˧
斢工作	tʰakən˨˩˦tsʊ˥˥
斫柴	kʰa˥˥laː˧˥
斫脑壳鬼	kɐnˈaʊtʃˈukˈ
断黑	tʊŋ˨˩˦kɤ˧˥
斯瓦比亚语	tsua biaxin
新型冠状病毒	sin˥˥ sĩŋ˧˧kuan˥˩tswɑŋ˥˩ piŋ˥˩tu˧˧
新年快乐	n˧˥ kʰa˥˥lu˨˩˦
方	xu˥˩
施肩吾	ʂɚ˥˥tɕjɛn˥˥u˧˥
旅游	bio
旅遊鞋	liːˌɔːˈhɑː
无皮泻血	u˨˩˦ pi˨˩˦ ʂ
无究冇事	ʂɚ˥˩ɕjɑʊ˥˥ma˨˩˦ʂɚ˥˩
无聊	maːweɪ˧˥
日	ʒˈɛ
日头	nʲitɪ
日文	zˈuɾən
日本	nibən
日本国	sɯpɯŋguɾ
日本國	dˈə- pˈɛ̃koʁˈ
日本鬼子	nivən˧˥kwan˥˥tsɯ˧
日里	eɪ˧˥
旧年	tɕjaɪ̯n˨˩iːn˧
早上	tsɑʊ˥˩ʂɑŋ˨˩˦
昆明	mɪn˧˥
明	mja
明天	mɛ̃˧ːlsɤ
明日	mˈaː
明日子	mjaːnjs˥
易俗河	isozˈɔ
昨天	tsu˨˩˦u˥˩tʰɪn˥˥tsuɨ˥˩i˥˩ʂɚ˥˩
昨日	e̞kẽˈʁsõːsot̪
是	zˈ
是不是	y zˈɛ̃sˈ
是吗	zd̪ima
晏	ŋ
晓得不	si˨˩˦lɤ˥˩tsʰu˨˩˦ toʊ˥˩bɔ˥˥
晓得筒卵	sia˥˩ lttmɤŋ˧˥
曙光	ɕjo˨˩˦gw˧˥
曬袍鎮	seˈj buˈdɯn
曲	tʃo
曲子	tɕʰjɑʊ˨˩˦
更忙	kɐm˧
曾國藩	sunguːaːfaːn
月	jɤ˥˩
月震	ɥœ˥˩ ʈʂən˥˩
有格	joqɛ
服行	ʂxɑŋ˧˥
望闻问切	ŋ˥˥wɐn˨˩tsi˥˧
木鱼	mɔ˥˩y˨˩˦
未必	mɕ
未必是那样的啊！	ɒhdiːz ɒˈɔlˈɑndjɑ
本地辣椒	bən˥˥pi˨˩˦ lu˧˥u˥˩a˥˥tɕja˥˥
朱	dʒu˥˩
朱庆余	ʈʂu˥˥tɕʰjɑŋ˥˩y˧˥
朱德	tɑː
朱鎔基	bjɔː˩˦ en˨˩˦
机械	tɕi˥˥ka˥˥
机械硬盘	tɕi˥˥ʰɕjɛ˥˩ tɕjɛn˥˩pʰan˧˥
李尚禹	li˨˩˦ʂɑŋ˥˩
李忱	li˨˩˦
李益	liː˨
李端	li˥˩tu˥˥
李简	li˥˩kaaː˧
李绅	li˥˧ sun˨˩˦
李贺	lˈiːxˌoʊ
杜牧	tomo
杜甫	tɔːˈfuː
束缚	sɑʊ˥˥fu˧˧
来煞	laː˧˥
杨五六宗	tɕjɛn˨˩˦u˨˩˦lɑʊ˥˥tʰɪŋ˧˥
杨巨源	tjɛn˨˩˦tɕy˥˩y˧˥mɪŋ˧˥
杭州	hɔːŋ˥
東莞	d̪ɪŋo
林加拉语	lian˨˩˦kɔ˨la˥˥y˥˩
架势	jɑʊ˥˩ ʂɚ˧˥
架场	tɑŋ˨˩˦
架路	ɔlɔ
柴老师	ʈʂa˧˥lɤŋ˥˩ʂɚ˥˥
柴鱼	sǎː˩˦yː
树木	symˈo
株洲	byd̪e
株洲人	tʃyː taʋɫən
样范	fˈa
桃源	tɔ˧˥
桃花源	tɔ˥˩ y˧˥
梦冲哒	mən˧˥sən˥˩tɑːx˨˩˦
棉絮	n˪eɪm˧sɯ
棉纤	mɪnˈtɕi
森	sən
植	ʈʂɚ˨˩˦
楚	tʰau˥˥
槟榔	im˩˥maː
樂	lo
檐老鼠	jɛn˨˩˦
欠不得止	tɕʰi˥˥ pu˥˩ tɕɯ˥˥
次毛	tsʰɯ˥˩mɑʊ˧˥
欢	fən˧˥
欺著	tɕʰaʈʂɚ˨˩˦
歉不得止	tʃe̞n buðʌðzɯ
歉吃	tɕʰi˥˥
歌曲	ku˥˩tɕʰɑʊ˥˩
歐陽	pɔ˥
武	u
武元衡	u˨˩˦y˧˥xan˨˩˦
武汉加油	u˨˩˦an˥˩ tɕja˥˥ joʊ˧˥
武漢	ɦɑ
武漢加油	ko˥˩ ha˥˥ tso˨˩˦ jɛ˧˥
武陵	uːlɪn
死了猴子	tta˥˩ he˧˥tsɯ˥˩
死哒血	sɯ˥˥ tɕʰi˧˥
死火	fufu
死蔫落气	si˥˩lɔ˥ tɕʰi˥˩
毛	mɑʊ˨˩˦
毛氏红烧肉	ma˨˩˦ ʂɚ˥˩  ɕja˥˩ljɛ˥˩
毛泽东	mˈɑ̃sˈe dˈɔ̃
毛泽东——毛大爹	mau˨˦tsit˦ŋ˥˥mau˨˦ta˨˩˦tio˨˩˦
毛澤東	mau˨˩tsĩ˥˧ʈən˧˥
毛里求斯克里奥尔语	pɔ˥˥ni˨˩˦tɕʰoʔ˨˩˦sɯ˥˥kʰe˥˥n lɔ˥˥ue˥˧
民權主義	n˥˥tɕy˥˥
水湓出来了	sue˥˥tʰabən˨˩tsy˥˩ la˥˧˧ liaʔ˨
汆汤	fɑŋ˥˥fɑŋ˥˥
汉字	kɑːz
汉语	xa˨˩˦y˨˩˦
汗国	aŋ
江南	tɕiã˥˥an˥˧
江泽民	kiõŋs amjnes
池塘	tsi˨˩˦ ta˧˧
汨羅	li˨˩˦lu˨˩˦
沁（清）甜的	tʃɪn deɪ̯nʲdi
沅江縣	jn˧˥dʑoɔ˨˩˦ŋ˥˥sian˨˩˦
沙婆子	sːoɰᵝaboɯtsɯ
沙河街	sɔː˧
没意思	move
沤热子热	mou˥˩y˧˧tsyɥ˩
沤菜子	nɔ˥˩ tsʰaɪ˧˥tsi˨˩˦
沥干水	li˨˩ i˧˥kɑ˨˩ ʃue˥˥
油抹〇光	jaʊmɔːɾiŋkwˈɑŋ
油抹淋光	jɐu˨˩mɔː˥liːŋ˨˩kʷɐn˨˩
油炸臭干子	joʊ˨˩˦ʰʐoʊ˥˩ʈʂʰoʊ˥˥ kan˨˩˦tsɯ˧
油炸鬼	jɑʊ˨˩˦tsɯ˥˥kweɪ˥˥
油盐坛罐	jɐu̯˩˧
泉州	tsi˥˩tʂɤ˥˩
法國	fakwe
法律	fɔ˧˥li˨˩˦
法蘭西	fa˥˥lài˧˥ɕi˧˥
法跳	pɔ˥˥tʰiaʔ˦
泻泥巴	seo nivo
泻泥巴扶不上壁	ɕjɛ˥˥li˨˩˦pɔ˥˥ fu˧˥pu˥˩sǎŋ˥˩i˥˩
泽	tsɯ˧
泾渭分明	tseŋ˥˩wu˧˥i˨˩˦ fən˥˥ɪn˧˥
洋	nɛ
洋意子	jˈɛ̃s
洋意子搞尽	jæ̀ːn jˈts kɑʊ˥˩
洋菩萨	jæˈn bʊsʊ
洗刨湫	tɕʰi˧˥ pɑʊ˥˥tɕʰi˧˥
洗脚	ɕy˥˥tsuɔ˧˥
洗脚城	ɕ tɕiŋ˨˩˦
洗身上	ɕi˨˩˦sən˥˥ʂɑŋ˥˩
洞庭	ti˥˧
洞庭湖	tʊŋ˨˩˦tʰɪŋ˧˥ xu˧˥
活泛	u˨˩˦fɑːn˥˥
洽交貨	tsʰia˨˩ hʊŋ˨˩
派出所	pagiso
流时	ljoʊ˨˩˦
浇湿的	ʈʂan˥˥a˥˥ʂɚ˧˥li˨˩˦
涿（霑）雨	tsaɪ˨˩˦y˥˩
淌碗	tʰoŋ˨˩˦
淡看	ttan˨˩ kʰan˥˥
深圳	ʂɤŋ˥˩ʈʂɤŋ˥˩
混账	fənʈʂɑŋ
淹水	maː e̞ʃue
清亮	tɕʰɪŋ˥˥ljɑŋ˨˩˦
清白	tɕʰɪŋ˥˥pʰaɪ˧˥
温庭筠	un˧˥tjɛn˨˩˦ɥœn˧˥
港口	koŋ˥˥kʰɔ˨˩
湓出來噠	paːn jətʃɔɾadɔ
湖南	tsoˈla
湖南卫视	finalˈejs
湖南省	xu˧˥ɑ˨ɑ˨ʂɤŋ˥˩nʂɤŋ˥˩
湖南话	flavˈoː
湘	sjæt
湘南	ʃaɪ˥˥na˧˥
湘江	ʃɛn˨˩˦ʈʂɛŋ˧˥
湘潭	tɑŋ˨˩˦
湘潭人	ɕioŋ˨˩˦toʊ˥˩ɪn˨˩˦
湘菜	ɕɪ˥˥an˥˩tsʰa˥˥
溃噶哒	kʰua̯˨˩ i˥˩kø˥˥ tʊŋ˨˩˦
溜刷	ljoʊ˨˩˦ɕxuɔ˨˩˦
溜圞的	liau˨˦lŋ˨˩i˥˧
溜滑的	diuat˦
滑跳	fɔ˥˥tɪa˥˥
滗水	piːʃue
满女	maːn nyː
满崽	manza
满崽子	mɑŋ˥˥aɪ˥˥tsɯ˧
滷菜	lɔ˥˧tsʰa˥˧
滿哥	maːgʊ
漂淡的	pjoˈwa daːn˩˩˦diː˩˦
漫酒	mantʃo
潎淡的	kʰoː tanː diː
潘	pʰu˥˥
潙水	ʂweɪ˨˩˦
潮宗街	tɕau˨˩˦ tsɯŋ˥˧ka˥˥
潲水	sãŋ˥˩ɛsʃ˥
潽	u
潽出来哒	buːtʃuː rɑːdɑː
濟南	tsiː˥˥
瀋陽	un˥˩ni˨˩˦n
灌脓	kuːnann
灵泛	løŋ˧˥faːt˥
灵泛得乐	lɪŋ˧˥fan˥˩tɤ˧˥lɤ˧
灶屋	tsau˨˩wu˥˩
炉锅	laːgo
炎	jæn
点嘎子	tsf
点燃	te˥˩weɪ˧˥
热汽球	y˨˩˦ ɕi˥˥ jɛ˨˩˦
焚书坑儒	sən˨˩˦ʂɚ˥˩ kʰan˥˥y˨˩˦
無錫	u˨˩˦
焦干的	tɕuaɑʊːkˈaːnˈdi
焮下饭	ɕynxwa˥˩ fa˥˥
然后	y˧˥
煙台	djurinta
煤炉子	mɛlˈs
熨帖	y˨˩˦tʰe˨˩˦
熨贴	njɯ˩˦te˥˩
熬菜	lɔ˥˧tsʰa˥˧
熱滷刘	wiːlɑʊˈɟʰ�auː
營盤路	kĩ˥˥ pʰu˥˥
爱人子	najiːn˨˩tsɯ˥˩
爱尔兰语	ɪ˥˩ y˧˥
爱死个人	numeɾo tʃar
爱相	ai˨˦sian˥˧
爷爷	tio tio
爷老子	liːvˈɛɾaɪv
爸爸	po˥˩ːvo˥˩ː
爹爹	djoɔ˨˩
爺爺	fjɑʊ˨˩˦jɑŋ˥
牙齿	mɑʊ˨˩˦xwa˧˥ʈʂɚ˥˩
物什	u˥˩ ʂɚ˧˥
物以类聚，人以群分	u˨˩˦ i˨˩˦  ʈu˨˩˦
狗带帽子碰中的	kʰɤ˨˩˦taɪ˥˩ ma˨˩˦ʰtsi˨˩˦pʰɤŋ˥˥tɕjɛn˨˩˦
狗踹的样的	ko˥˥ti˨˩en˧˥ti˧˥
猜谜子	tsi˨
猪猡猡	syː luːluː
猪脑壳	dʒˈɛ lɛ̃kˈɔ̃
猫乳	màu˧˥y˨
猫鱼	mà˥˩y˨˩˦
獪撤	kʰua˥˥aɪ˥˥ʈʂʰɤ˨˩˦
王	u˨˩˦a˥˧
王勃	væːmˈbuː
王夫之	wɑŋ˧˥fu˥˥ʈʂɚ˥˥
王建	ɔːn dʒeː
王昌龄	wɑŋ˧˥ʈʂʰɑŋ˥˥lɪŋ˧˥
王涯	wɑŋ˧˥ ja˨˩˦
王船山	wɑŋ˧˥tɕɪŋ˥˥sɑŋ˥˥
玩得发	wˈʌnθɚ fɔː
现在素食餐馆越来越火爆了。	tsaɪ˥˩ʂɚ˥˩ sɑʊ˥˩ʂɚ˥˩ʈʂʰan˧˥kʊŋ˥˥lɪ˥˩ ʂɤŋ˥˩i˥˥ ɥœn˨˩˦ laɪ˧˥jɑʊ˥˩sa˥˩ aɪ˥˥ tɤ˧˥laɪ˧�
现成的	tɕiŋ˨˩˦tsən˧˧di˥˧
现话得	siːn fˈðɐ
现鸟	sʰjt̪eaʊ̯
甘贵	kɾankoi
甚（被）打了一顿	snʲtjɛ˧˥ ʲːa˥˩ i˧˥ðɤŋ˧˥
甜美	tʰjɛn˧˥meɪ˨˩˦
生得贱	sʊ̃dʊ̃dʑiː
生的贱	ʃɐnːtɕiː
田	te˧˥
田漢	ti˥˩in˨˩˦xan˥˥
甲鱼	t̚˨˩˦
男人家	la iẽn̪ɣ̞a
画胡子	tɑːɦɔvˈutʃʊ
留点神	ljoʊ˨˩˦ ti˥˩ sən˨˩˦
當頭	tando
瘸把子手	kʰoː˩˦ bɔː bɔː tsuː saː
癌	nˈaɪ
白	pɯ˨˩˦
白居易	ɤ˧˥tɕy˥˥i˨˩˦
白左	pjɛ˥˩tsuɔ˥˩
白沙烟	hˈuz eə jˈu
白眼字	pau̯ɲaɫo
白薯	paʔ˨
百	pa˥˥
百年	u˨˩˦n˧˥
皇甫松	xwɑŋ˧˥
皮	pʰiː˨˩
益阳	ˈeˈɔ̃
盐菜	njɛ˥˥tʰai˥˥
盐鸭蛋	jɛ˨˩˦ɕɥœ˧˥ ta˧˧
监狱	fa˥˥joʊ˨˩˦
盖码粉	ka˩˥ːj mo˥˩ːbɨn
相	ʃɛn
眉闭眼闭	maːbeː aːnbe
眼屎	naːn˧sɯ˥˩
眼睛	aɪ˥˥ʈʂɚ˨˩˦
睡觉	χu˨˩˦ aː˧˥bi˧˥
瞎子	hoːsuː
瞎恶闹搞	tɕʰoː˨˩laː˧˥ka˥˥
瞪	tɯ̞n
知法犯法	ʈʂɚ˧˥fɔ˧˥kwɑŋ˨˩˦pʰɔ˧˥
短哒路	tsun˥˩
矮敦敦	ŋai˥˧tŋ˨˦tŋ˨˦
石匠	sɯ˧˥tɕjɛn˨˩˦
石头	sɔdɔbu
石头鼓	tʃao̙ːraːiː kuu̯
石家莊	ʂɚ˧˥tɕjɑʊ˥˩tsʊŋ˥˥
石灰坛子	suːst˥˩seɴ˥˩ iː˥˩ kaː˥˥ɴ˥
砌匠	tɕjɛn˨˩˦
研究	niaɴdʑo
砣数	douːsɔ
砧板	tɤ˧˥faː˧
砲	pʰau˨˩
砵仔菜	u˨˩˦ ʈʂɚ˧˥tsʰɯ˧˥
硬件	nˌtjˈɛn
硬币	ɛmˈbæ
硬扎	naːn˩˧tsɔː˧
硬是	nɐ̃zɐ
硬盘	nɐ̃ŋˈpɔːŋ˦
确实	ʂu˨˩˦
碰哒你的鬼	tʰan˥˥lɔ˥li˥˧ di˧˧gu˧˧a̯i˥˧
碰哒鬼	pʰɯ̀ːn˧tɔ̀ːk˧wj
祝	tso
祝賀	ʈʂɑʊ˥˥
祝贺	tsɑʊ˨˩˦ku˨˩˦
科学性	ho˥˩sɯo˥˥
科技立国	kʰɤ˥˥tɕi˥˩ li˥˩kuɔ˧˥
稀下的	si˥˧ʃako˨˩˦
稀粑粑	n˩˧i˥˥pɔ˧˥
穷人	ʃiːnˈzəm
空卵事	kʰan˥˥lu˥˩ sɯ˨˩˦
空头路	kʰɤ˥˩
空间	kʰɐn˥˥kɑːn˥˥
穿衣	tɕʰɥœ˧˥i˨˩˦
窗户	tɕʰyn˧˥
竖	dˈʒˈam
竖起来	tɑntʃla
笔竖的	id̪ʌnɽi
笸箩货	u˨˩˦lu˥˩
筒子骨	tˈɪ tsuɤ
答白	tɔ˥˥
箇杂墙壁开坼哒啦	kɔ˨tsu˨˩˦ tsu˨˩˦la˥˥  piaʈi˥˩kʰaɪ˥˩tsʰɯ˨˩˦la˥˥la˥˥
算八字	tseŋ˥˩ tpɔ˧˥tsɯ˧
篮球场	tɕjɑʊ˨˩˦tsa˨˩˦
粘巴的	teinboːdi
粘锅	teŋgo
粤菜	ju˥˩
糖粒子	tti˥˩
糯米	lˈɔ̃ɔ̃iˈ
糯米甜酒	lu˥˧mi˥˧ti˧˧in˥˥tɕio˥˧
素食餐馆	tɕʰi˧˥ ʈʂʰan˧˥ u˥˩
累臭噠!	nia˥˧tsa˨˩ʔou˨˩ta˨˩
綯紧	kʰuɔː˧dʑiŋ˥˥
纠麻的	tʃa˥˥tʃau˨˩˦mɔː˥˥ di˧˧
红毛野人	an˥˥ma˥˩ a˥˧n
红薯	pɛ̃˨
细伢子	ʃiːmɔz
细别	ʃibˌe
细妹子	s mˈˈdi
细搣子搣	siː mˈid mˈeɪ
绊哒脑壳	pan˥˥taa˥˥˥la˥˥kɔ˨˩˦
绊矮	pau̯ŋ˧
绍兴	tso˨˩˦
结婚	kian˥˥fɑŋ˥˥
结束	tɕy˥˧tsʰau˨˦
结痂	tɕʰiː˧˥ kɔ˨
结筋	tɕy˥˥tɕin˥˥
给他	kɯ˥˥ tʰɔ˨˩˦
绝对优势	tɕʰɥœ˧˥teɪ˨˩˦jɤ˧˥ʂɚ˥˩
绞扣子	tɕjɑʊ˥˥pɤŋ˥˥tsɯ˧
绽衣服	tsian˥˩ i˧˥fɔ˧˥
绿豆蚊子	lɑʊtɤm˨˩˦ntsɯ˥˩
缴伙	tɕja˥˥
缺牙巴	tɕʰiː˧˥ ŋɔː˩˧pɔː˨
罩衣	tsɑʊ˥˩i˨˩˦
翅膀	ʂɚ˥˩pɑʊ˨˩˦
翼夹	iːga
翼架子	ekaz
老人家	la oniˈnˈɣa
老倌子	lɑʊ˥˥kwan˥˥tsɯ˧
老兄	lau˥
老姜	láu˥˥
老师	lou˥˩sɯ˧
老弟	lau˥˧ti˧˧
老懵癫懂	laːmn˩˩˦tiːn˧˥ɖən˧
老毛栗子	tˌɑmʊlˈizɨ
考試	kʰa˥˥sɯ˥˥
而里	jiri
耍痞	sɔpˈi
耳机	poʒi
耳機	ozi
耶和華	je ho fɔː
耶哒卵	ti˥˩ i˧˥kɔ˨lu˥˥um˥˥
联系人	nʕi˥˧ ran˨˦
聯繫人	nian˨˩ɕi˥˧ɲ˩an˧˧
聾子	lən˧˥tsɯ˧
肉丸	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
肉丸子	ɤ˧˥ yn˥˩tsɯ˧
肉便器	ˈɑɹəbˌe kɛːˈʌ
肉巴巴	jɐ̯gjˈpɔːpɔː
肚脐眼	tʰou̯˨˩tsiː˥ aːn˥
背后	fei˥˩heɪ
背弓	əɻkən
背时	peɪ˥˩ʈʂɚ˨˩˦
背时鬼	peɪ˨˩˦sɯt̚˥kweɪ˥˩
胡耀邦	fuja˥˩pɔːŋ˧˥
胡锦涛	fu˥˧kĩ˥˥ tʰa˥˥
脑壳	lɑʊ˥˥kɤ˥˥
脚把子[slash]腿把子	tɕi˨˩˦ pasi˥˩ pasi˥˩
脚板	tjˈu pˈa
脚猪子	gœzɪ̞z
脚盆	tsup̚˨˩n˥˩
脚鱼	tɕjoʊ˨˩˦y˧˥
腰形	ja˥˧ɕɪŋ˧˧
腿夫子	tʰaɪ˥˩fu˧˥tsɯ˧
腿幔	t̚˨˩mat̚˦
臉	bjenn
自家	tsi˥˧ kɔ˨
臭干子	tʃaːogandɔ
臺北	taʕtɑːb
臺北市	ta˨˩˦aɪ˥˥pɤ˨˩˦ ʂɚ˨˩˦
臺灣	te˨˩wa˥˧
舆论监督	jy˨˩˦ lɤŋ˥˩ ka˥˥ tɤ˧˥
舍噶哒	suːgadʑo
艾菲爾鐵塔	ŋaːl ˈfeltitˈa
芙蓉王	kuɔ˧˥
芫荽菜	jy˨˩˦ i˥˩ɕi˥˥sak˥
花	ʂu˨˩˦
花腔女高音	faː˧˥ɕʈʂʰʊŋ˧˥y˥˩ka˥˥
苏格兰盖尔语	sokʰtaŋ˨˩ʔka˥˥j˥˩ y˧˧
苏菜	sɔːˈtaː
苗	mʲãː
苶哒你郎家把门关严咯	ljoʊ˧˥tɑʊ˥˩ li˥˩ kɔ˨mɤŋ˧˥mɤŋ˧˥kwan˥˥ma˥˩ ɑ˨
苶哒尓郎家	jɔː˩˧kɔː˧
茄子	nɔˈvɔto
茅茨	mau˨˩tsʰɤ˥˥
茨菰	tsɫɨkɫ
茴坨	fajtɔ
草尾	tsa˥˥ue˨˦
草狗子	saoketsɯ
药王街	jo˥˩ u˥˩wa˥˥n˥˥kɑ˨
莫得法子	multe fatso
莫無衰撩	u˨˩˦su˥˥ ljɛ˥˩a˥˧
菌子	tɕyn˥˩tsɯ˥˩
菩萨	pu˧˧sɔ˥˩
菩萨伢子	pu˥˩sã˥˥na˧˥tsɯ˧
華	fˈa fˈa
華人	vˈase
萨摩亚语	sˌɑmuːjˈai
落星田	lɔːsindɛ
落雪构凌	duɣo ʃoje kɾiːn
董	t̪em
董存瑞	tən˥˩tsən˥˩ y˧˥
蒋介石	tɕjɛ˥˥an˥˥tɕjɛ˥˥ʂɚ˧˥
蓄点钱	tɕʰoʊ˨˩˦tiːn˧
蓄錢	tɕjoʊ˨˩˦
蓊菜	ŋ̪˥˥n˥˥tsʰat˦
蓊菜硬是蛮好吃。	nən˥˩tʰan˥˩sɯ˥˥ ma˥˩n˥˩xa˥˩t
蔑碎的	miː ˈɪzəjdi
蔣介石	tɕjɛn˨˩˦ka˥˥ɕi˨˩˦
蕹菜	vˈɑ̃sˈa
薄熙來	poɕla
薛涛	ɕu˥˥tʰɑʊ˧˥
蘇	sau̯
蘇州	sauː
虱婆	ʂɤ˨˩˦pɔ˧˥
虱婆子	sɤ˨˩˦ pɔ˧˥
蚂蚁子	ma˥˥li˨˩˦ʈʂɚ˨˩˦
蚊子	mən˨˩˦tsɯ˧
蛆	ʃi˥˥
蛆婆子	ʃiːrdʊ
蛋（壳子）球	brˈaːn kˈuːt ʃˈɛl
蜘蛛子	tsu˥˩tɕʰy˥˩ tsɯ˨˩˦
螃蟹	po˨˩˦xu˧˥
螞蟻子	moːnizɯ
蟆拐	m˥˥u˥˧a˥˧kua˥˥
蠢吧	tʰuã˥˥bo˥˧
蠢宝	tʃˈuːnˌpaɾ
血只噶洒	ʃuˈjiːt zɢoˈs ħoˈgɔ
衣架子	iikoɯzɯ
被窝	bjˈø
装宝	tɕuan˥˥pɑʊ˥˥
西里西亚语	ɕi˥˥li˨˩˦ɕja˥˩ y˨
要嘛	jama
要得	jˈɑːɾtˈe
覕黑的	miːxdi
觇起头	ta˥˥an˥˧si˧˧tɔ˧˧
觑	tɕʰi˧˥
角落彎	u˨˩˦lu˥˩mɑŋ˥˥
解	tska˥˥ haɾ˥˩
解手	kɯ̟ᵝɕjɛɯ̟ᵝ
解释	ta˥˥aɪ˥˥ʂɚ˥˥
触感	tsʰɤ˥˥
討嫌	kʰa˥˥
詈起别个	pn˩˩˦eː˩˩˦i�˻�ɟʰib˥˩i˻˧kuk˨
詹	tɕi˥˩
調	jɛ˨˩˦ tjɛ˥˩
講	coŋ˨˩
謝謝	si˥˩
謶巴子	ʈʂʰʊ˧˥ ʈʂɚ˨˩˦
謶钱	tɕɪŋ˥˥
識字嶺	sizˈrin
