!	jɔøoːbˈstaɪm
"	kuˀˀsæˀːin
"karel appel"	taʁˈaːl ˈapɛl
at foreligge - forelå - foreligget	æl fɒɾlægj foɾlæʒ foɾlægj
at forestille	æt fɔˀ e̝sd̥iːlˀ
at forgrene - forgrenede - forgrenet	ɛɐ̯d fʌɐgrˌeːnˌeː fɔˀ g̊rˈeːˌinˌeːðˌa fɔˀ g̊rˈeːˌinˌeːd
at forgrene - jeg forgrener	ˈɛt fɛrˈgˈrˈeːnˈɛ jˈɑːg fɛrˈgɾˈeːnˌɛɾ
at forgribe - forgreb - forgrebet	æt fɒgɾiːb̥b̥ fɒgˀɐˀb̥ foɐ̯g̊ɾæðˀ b̥fɒg̊ɐ̯b̥ɒ
at forhøje	ˈɛt fɔɾ hˈɔø
at forhøre - forhørte - forhørt	eːt fɔˀ ˈyːɜ fɔˀ ˈyːrdə fɔˀ ˈyːɹd
at forme	ædˈfɔːmə
at forsvare	ˈæt fɔz vˈɑ
at fortælle	æt fʌrteːlɛ
at fradømme	ɛt frat ˈtøːmø
at frelse	tˈeːmɑː nˈɔx
at frelse - frelste - frelst	æ frˈaɪlstə frˈalstə frˈɑːlst
at frembyde - frembød - frembudt	æt fʁønb̥b̥id̥ə fʁønb̥b̥id̥ fʁønˀb̥uðˀ
at frigøre	at frˈiːgøːər
at fryse - frøs - frosset	æt̥ fʁyˀsæ fʁøˀs fʁɒsjð̩
at fyre mig på det grundlag er helt ude af proportioner	ɑðˀ fˢyˀ eˀmɑ̈ b̥ad̥ d̥eˀ g̊ɔˀnˀ leː ɛɐ̯ hʰiˀ uˀðə æɐ̯ pʁˢoˀ pʰʌgˀsjɔˀnɛɐ̯
at få	et fø
at få op	ˈæd fɔː ˈʌp
at fæste - fæstede - fæstet	ˈæt fɪstə fɪstəl fɪstəl
at føje	et fɔjə
at føle	æts føːlø
at føle sig	æz fɵlɛsøj
at føles	æt føːløs
at følge - fulgte - fulgt	æt føljə fʊldə fʊlt
at gabe	ətskɛpˈɛ
at gemme	ætkæmæ
at gennemgå	tʃiːzi eɾkɛᵑgə
at genoplade	æt geːnʌb̥læð̩
at gide	tatskiː
at give	æt kiu
at give - gav - givet	æt g̊iːvə g̊æv g̊iːvə
at glemme	ets klemə
at glide - gled - gledet	g̊lˌiːðˀ g̊lˈiːðˀ
at glimre - glimrede - glimret	tˈɛlˈmɒɾˈa tˈlɛmɾɐ dˈə ˈɛl
at glinse - glinsede - glinset	æl g̊lɪnse g̊lʌnsɛðˀɑ
at glo	dˈɛst kluː
at gnide - gned - gnedet	æt kniðə knɛð kniðˈit
at gribe	gˈrɪb
at gribe - greb - grebet	æt gɾiːbə gɾæf gɾæbɛ
at gruble	a tsu kɔplˈe
at grue	tɛdɠˈoː
at gruppere - grupperede - grupperet	ə kupˈiɾ kupˈiɾdə kupˈiɾd
at græmme sig over	æt græmˈɛsɛ ˈɔvər
at gumle - gumlede - gumlet	æd̥ gɔmˀløˀ gɔmˀløˀ ɛd̥ gɔmˀløˀ
at gyse	ˈɛt kyːsə
at gå	ˈæt gˈoː
at gå glip af	ˈɛt kˈoʊ klˈipi
at gå i gang med noget	æb̥ go̝ iː˧ g̊aŋ mɛ̝ː nɔːðɛ
at gå op	atkoːɔt
at gå på pension	æt gʊbɑː pæŋʃoːn
at gå ud på	æt g̊oː ˈʌd pʰˈ
at gælde - gjaldt - gjaldt	ætkæl gjælt gjælt
at gø - gøede gøet	ætgøˀ gøˀðə gøˀð
at gøre	ˈæts gəːl
at gøre - jeg gør	ækˈøːr jˈaɪ kˈøːr
at gøre ondt	ˈɛtk ðˈɛɹ ˈuːlˈɛ
at hade	ˈæt hˈɚð
at hakke	æd̥hagɛ
at handle med	atˢ hæn̩lɛ mɛð
at have	tˈoʊ
at have det dårligt	ˈæz hˈævd ˈeɪ dɔːwˈɪt
at have det godt	ˈæz hˈædə gˈɑːt
at have tilfælles	æð hˈæti fˈɪlɪs
at hente	els hˈɪntə
at hilse	æt ildse
at hjælpe	æt jælb̥e
at holde af	oːhəlɛ
at hæmme - hæmmede - hæmmet	æt hæmˀɛ hæmˀeð hæmˀeð
at hænge	nɛthˈɪŋ
at hænge - hængte - hængt	hˈɪŋɪ hˈɪŋdə hɪŋˈɪd
at hævde - hævdede - hævdet	æd̥hæʊd̥ed̥ hɪ̞w̜d̥eð̩ hɪ̞w̜d̥eð̩
at høre	at høːərə
at høre - hørte - hørt	æt hˈøːɜ hˈyrd hˈyrd
at høre til	æt føː tˢoˀ
at ignorere - jeg ignorerer	ɛd̪iːnoːrɛɐ jaʔɛnoːrɛɐ
at indbyde	ˈæt ˈɛn iːldødə
at indebære - indebar - indebåret	hˈɛt ˈinebˌeːɑː ˈinebˌa ɪnəboːl
at indlejre - indlejrede - indlejret	æt ənlæjʁɑ ənlæjʁɑð ənlæjʁɑð
at indse - indså - indset	æt ˈæn sˈeːd ˈɛn sˈoː ˈæn sˈeːd
at indskyde - indskød - indskudt	æt ˈɛnskylˀɛ ˈɛnskylˀ ˈinskʰud̥
at indvilge - indvilgede - indvilget	ɑˀd̥ ɛnʋiʎi̯g̊ɛ ɛnʋiʎi̯g̊ɛð̩
at introducere	æt ɪntrodusere
at jage	æt jæˈje
at jage - jog - jaget	æt jæːˀː jo ˈjæ̐ːð
at jeg kunne være så glemmen!	æt jɑjˀ kʰuˀnɛ vˈɛːə sɒˀ glˀɪmˀˀnˀ
at justere - jeg justerer	æd̥oˀsd̥eːˀ jˈɑjˀ ʒd̥eoˀ
at kasse	ætkæˈse
at kaste op	tˈɪ tˈˈɛkst ˈɔp
at kende	tʃiːzi tʃiːzi
at kigge	æts iːgə
at klage - klagede - klaget	æt klæi klæːð klæːð
at klare	ta˥˩
at klistre	ɛt klistˀɐ
at klokke	atklɜgə
at klynge	ˈɛtklœŋə
at klæbe - klæbede - klæbet	æklɛb̥ˀ klɛb̥ˀə klɛb̥ˀə
at knuge - knugede - knuget	ɑˀd̥ kʰonˀɑwˀ kʰonˀɑwˀ
at koge	ˈæt kɔː
at komme	æt kɔm
at komme dig	la kamɛdaj
at komme godt overens	ˈæt kæm gˈɑt ˈoʊvɚ eɪns
at komme til hægterne	ɑð kʰɔmɛ tˢil hægtɛɐ̯nə
at koste	æˈkæʃt ælˈɑːj æˈkæʃt
at kradse	æt kɾˈɑsə
at krybe - krøb - krøbet	æt g̊røb̥ g̊røb̥ g̊røb̥əð̩
at krydse	æt kɔɫɯʃɯ
at kvæle	ə kvˈeːl
at kvæle - kvalte - kvalt	æd̥ kvæˀɛlə kvæˀˀldø kvæˀˀldø
at kyle - kylede - kylet	æt̚ˢ kʰyːlø kʰyːlød̥ kyːlø
at kåre - kårede - kåret	æt kʰɔ̀ kʰɔ̀ðˀ ðø̝ kʰɔ̀ðˀ
at købe	etkɔp
at køre	nˈɔx kˈøːrə
at lade	ætlɪ̞ðːɪ̞
at lade - lod - ladet	æt læðe lʌð læðæd
at lagre - lagrede - lagret	eðlejɾo lejɾoɾo lejɾoɾ
at lamme - lammede - lammet	ɛɾd̥eː lˈɑːmɪ lˈɑːmɪl lˈɑːmɪl
at lange	ætlæŋ
at lave	atlɛɪw
at le	a tste
at lede - ledte - ledt	æt lˈiðə lˈeːdə lˈeːdə
at lege	ˈætlˌaɪ
at leje	olaaɪ
at leve	et̪liɾ
at lide - led - lidt	æt liːðe leːð lid̥
at ligge - lå - ligget	æt læg̊g̊ə lˈo̝ˀ lɛg̊əð̩
at logre - logrede - logret	at lɔɢɔ lɔɣɔɾð̩ lɔɣɔɾð̩
at love	ˈæt lˈoːv
at lugte	ˈɛt lˈuktə
at lukke	et lˈuːg
at lukke ind .	ət lˈoːgə ɪn
at lyne - lynede - lynet	æt̪ lˈyːnə lˈyːnəd̥e lˈyːnəd̥
at lyse - lyste - lyst	æt lˈyːsə lˈyːstə lˈyːst
at lytte	æt lˈyːdə
at lyve - løj - løjet	ɛd̥ lʲw lɔðˀ
at låne	betlˈɔn
at låse	æt lʊz
at lægge - lagde - lagt	æt lɛʁ lɛʁ̊e lakt̚
at lære	æt læːeː
at lære at kende	et lˈɛ ælˌkæˌ keːnə
at læse	ets leːz
at løbe	æt løːbə
at mangle	aðmãn̪lø
at martre - martrede - martret	ætʁeʁ maʁtrʌmɑːrðæd mɑːrðrʌrðæ
at meddele	æn mˀð̩ːiːl
at mene	æt mˈeːn
at misdanne - misdannede - misdannet	æt mistˈɛnɪ mˈistɛnˈɑnɪ mˈistɛnˈi
at misfarve - misfarvede - misfarvet	æt mɪsfɑːv mɪsfɑːvˈˈe̞l mɪsfɑːvˈˈe̞l
at mjave - mjavede - mjavet	æt mʲau̯ mʲau̯ðɛ mʲau̯ð
at mose	ætmɔːsø
at myrde - myrdede - myrdet	ɒdmɒjˈɾodˈi biɾˈtiði biɾˈtið
at måle - målte - målt	mˈɔld bˈoːlt bˈoːlt
at nage - nagede - naget	æt neɣ̞ neɣ̞ð̞eð̞
at nive	æt nˈiːl
at nyse	tut mysə
at nyse - nøs - nyst	æd̥n̩usɛ nøːs nˀust
at nå	ˈɛt nˈoʊ
at nævne	atneɔnə
at omgå - omgik - omgået	æt ɒmg̊oːˀ omeg̊iˀg̊ ɒmg̊oːˀð̩
at omgås, omgikkes, omgåedes	ɑɒ̯gɔːˀs ɑːmgig̊is ɑːmgɔːˀs
at omgøre	ˈɛts ˈaʊnkɚ
at opkræve	ˈɛts ɑpqɑjlˈɯ
at opretholde - opretholdt	æld̥ ɑbɾad̥ hɔld̥
at oprøre - oprørte - oprørt	ɑːbɢɑː ɑːbɢɑː ɑːbɑː ɑːbɑː
at optage	ɛt ˈɔpzˌeː
at ose	æt uːsɪ
at pibe - peb - pebet	ˈdæst piˈu pˈɛst pˈil
at pine	tˈɛn pˈɛʁ
at pine - pinte - pint	tˈɪ piːnˈɛ pˈindɛ pˈind
at placere	at plˈɛjˈɛ seːˀɐ
at plapre - plaprede - plapret	plapˈrɔ plapˈrɔl plapˈrɔl
at pleje	at plˈaɪ
at pludre - pludrede - pludret	ʁɛdplˈuːdˈʁɑdplˈuːdʁˈdˈ plˈuːdˈʁə
at pryde	ˈɛt pˈyː
at prøve	æt brøˀoˀ
at pumpe	ətpˈˈʊmpəl
at putte	æt pʊɟ
at pålægge	æt pˈoːlˈeːgˌi
at påpege	atpɔpɹai̯
at rage	rau
at rasle - raslede - raslet	ɑːd̪ɑːg̊ɑːsle ɣ̞ɑsleð̞ɑːg̊ɑːsle
at rede	aːˈdˈrɛlˊ
at regne	hˈɛɾ dˈɾˈaɪnˈ
at rejse	æ̝ːt̚ˀ e̞jˀsø
at rende - rendte - rendt	æðɣɑnɯ ɢɑndɯ̞ ɢɑnd
at rette sig	æt ɢarðə sɑj
at returnere	ætre tˈi nˈiːjɜ
at ringe - ringede - ringet	æd̥ʁɛŋi̯ ɐŋɪðɑ ɐŋiðɑ
at ringe til	æt riŋe tˢo
at rive	tˈeːmɛ rˈivə
at ro - roede -roet	æɾd̥ʁo ɾoːˀɐðɑ ɾoːˀɐð
at runge - rungede - runget	ɑɐ̯ du ɐŋə ɐŋəðə ɐŋəðə
at ruste sig til	æt ʁuːsd̥ɛ sɑj tˢe
at rynke - rynkede - rynket	ɛɐ̯ d̥u ɐ̈yngeː ɐyngeːðˀ ɐyngeːðˀ
at råbe	ɛɾ dɾˈoːb
at råde	adroːl
at række - rakte - rakt	ˈɛdɜ ɾˈɛjgɪ ɾˈaːktə ɾˈaːkt
at røbe - røbede - røbet	æɾd̥ ɣ̞øb̥b̥ ɣ̞øˀɯb̥eð̞ ɣ̞øˀuβ̥əð̞
at røre	ˈeːɾ dɾˈɔøɜ
at røre ved	atˢ ʁøːðɑʁ̥ ʋiðˀ
at røve	æˌtrøːv
at sagtne - sagtnede - sagtnet	sakn̩˥
at samtykke	ətˢ samˀə
at se	ˈæt sˈi
at se i øjnene	ˈɛtsi ˈiː ojnene
at se ud	æt sɛj̯ ʌd
at segne	ˈats sˈaɪn
at sende	ɛtsɛne
at servere	ˈɛtsʃ tsaɪvˈeːr
at sidde	tsoː˨
at sige	ɛːts siː
at sige goddag	æˈsni kɔdˈe
at sitre - sitrede - sitret	tʃi tsro sˈi tˈrˈo lsˈi tˈrˈo
at skabe	ətskɛpˈɛ
at skide - sked - skidt	skɪ̞ð̞ skɪ̞ð̞ skʲitsʰ
at skifte	ˈɛtskˈiftɛ
at skjule	æt skjʊlə
at skjule - skjulte - skjult	æd̥skjʊld̥ sg̊oˀld̥ə sg̊oˀld̥
at skrive	etskɾˈio
at skrue	ɛt skuː
at skryde	ætskøɫe
at skuffe	els kofn
at skulle i gang med noget	æð̩ː sg̊ul iː g̊ɑŋˀ miːnˀoð̩ː
at skurre - jeg skurrer	æt sguːə jɑj sguːə
at skurre - skurrede - skurret	ætskuːɛ skuːəɾ ðe skuːəɾt
at skylde - at skylle	æt̚skylˀɛ æd̥skylˀə
at skåle	ˈæt sgˈuːlə
at skælde ud	ˈɛtɕkeːlˌøː ˈo
at slibe - sleb - slebet	æz sliːb̥ə sliːb̥ sliːb̥
at slikke én i røven	æt lˀiːg̊ɛːˀ iːˀn iːˀ ʁøːˀwˀl
at slippe - slap - sluppet	æt slʲɛb̥ə slɑˀpˀ slʌb̥əðˀ
at sludre	æt slʌvɑ
at smage	ˈɛts mˈeɪ
at smage til	ætsʰmɛnidʒɪl
at smyge	falt smˈyː
at smøre	etsˈmˈʁ
at snige - sneg - sneget	snˈiː snˈi snˈeːət
at snurre - jeg snurrer	æts nˈoːˈj jˈæ snˈoːˈ
at snurre - snurrede - snurret	ætsnʌð snˈoːðad̥ snˈoːð
at sove	æt sɔˀ
at sove - sov - sovet	æl̥sɒˀɒsɒsɒl
at sparre - jeg sparrer	ætsʰbɑːr jæsbɑːr
at sparre - sparrede - sparret	ˈɛts paɾ spɑːl spɑːl
at spille	æt spil
at spinde - spandt - spundet	æt spˈɪnə spˈɑnˀd̥ spˢˀənˀd̥
at spise	ætspizt
at springe - sprang - sprunget	æspai̯nʲɪs pɑːrɑspɔln˧
at springe i faldskærm	ætpr̝ʁiːŋˀɛ i fɛlsg̊ɑːm
at sprække	a tspraɪkɛ
at spørge	ætspɜ
at starte	ˈɛt stˈɑːdə
at stege	etsˈtaɪl
at stifte	ˈɛts stˈiftə
at stige	ˈæt stˈe
at stikke - stak - stukket	æsd̥eˀgˀe stˢak ʃtˢu g̊ɐ̯
at stille	ɛts tɛl
at stille op	ɛt stˢɛlə ɒp
at stirre	fætstijø
at strejfe	ˈɛts trˈaɪfə
at stritte	ɛtstɾeːtə
at strække	nˈɛst tˈrˈaɪgɛd
at strække - strakte - strakt	tstrˈaɪkə ʃtrˈaktə strˈɑːkt
at studere	æt stˈudəa
at stuve	ˈæz stˈuːə
at styrte - styrtede - styrtet	atstˢysdˢe̝ ʃtyd̥iðˢe̝ðˢɑ
at surmule - surmulede - surmulet	ææsʌɐmulɛ sʌɐmulɛ sʌɐmulɛ
at suse	els tsuð̞se
at svinge	ˈɛtsvɪŋ
at svulme - svulmede - svulmet	ɛɐ̯sʋul̪mø̞ ʃwilmøðˀ ʃwilmø̞ð̩
at sværge	ˈætzveːl
at sværte	ˈɛts vˈɛɾdə
at svæve - svævede - svævet	ˈɛst sveːoːn sveːoːn sveːoːn
at svømme	æt sʋøːmø
at synes	æs ynɪ̞s
at synge - sang - sunget	æt søːŋə sɑŋˀg̊ sʌŋˀɛð
at sælge	æˀːt̚ˀ sɪlˀjɛ
at sætte	ã tseð̞
at søge	ɛt søøø
at sørge	ˈɪts sˈoʊ
at tabe	ˈets tse bˈe
at tabe sig	æt tæˀbe sɑj
at tackle	ɛt tˢakle
at tage	tˈɪ tˈeːi
at tage det roligt	ɑːd̥sɛjd̥a rold̥
at tage initiativet	tsʰæ˥˥ in˨˩˦tɕʰi˧˧tsʰi˥˧
at tage på	atˢapɔˀ
at tage på i vægt	ætˢ pʰiː eːˀvɛ̀kt
at tale	ˈɛts sˈɛjl
at tale - talte - talt	æt tˢæˀi̯lɛ tˢɑˀːld̥ə tˢɑˀːld̥
at tatovere	æt tˈatʃʊʋirɔ
at tie	etʃtsijɛ
at tilbyde	ɛɐ̯ tˢilbyð̩
at tilbyde - tilbød - tilbudt	æt tˢelb̥b̥eðˀɑ tˢelb̥b̥eðˀɑ tˢelbud̥
at tilføje	æt tˢeʀ fʌæːˀ
at tilintetgøre	æt tˢilˀ ənˀ d̥e g̊øʁ
at tilkalde	ɛt tsɪlkɛlɛ
at tillade	æt tˢeʁɑðe
at tillade - tillod - tilladt	ɑɐ̯ tˢeʁlaðð̩ tˢelˀ oˀð̩ tˢeʁlað̩ð̩
at titte - tittede - tittet	ɛ tʲiðɛ tʲiðɛð tʲiðɛð
at tolerere - jeg tolererer	ætˢ tˢoˀleˀʁeˀjæ jɑj tˢoˀleˀʁiˀʁˀ
at trodse - trodsede - trodset	ɛtˢɒsɒ tˢoˀsɒd tˢoˀsɒd
at træde	atˢsɐ̯ðˢə
at træffe	nˈə tˈɾˈafə
at trække lod	ɛtˢ t̥ʁæ̀ːg̊a lʌð̠
at trække vejret	ˈɛɾ dˈɾˈaɪ gəvˈɛːɾt
at træne	æˀːtˢreːˀːn
at trøste	tˈɪ tˈɔɹsʔ
at tumle - tumlede - tumlet	ɑˀtˢ t̥ʰɵmle̝ː t̥ʰɵmle̝ːð̩ t̥ʰɵmle̝ːˀ
at tåle	æt tˈoːl ə tˈoːl
at tælle	ætʃʃeɫe
at tælle - talte - talt	æt tˢeːlə tˢaltˢe̞ tʰalt
at tænke	æts t̪æŋke
at tænke - tænkte - tænkt	ˈæz tˈɪŋkɛ tˈɪŋtɑ tˈɪŋt
at tære - jeg tærer	ætʃæjja jætɕɛjj
at udgøre - udgjorde - udgjort	at ɔðg̊øːð̩ oðg̊oɐ̯ ɔðg̊oɐ̯d̥
at udjævne - udjævnede - udjævnet	ɑɐ̯d̥ uðˀjævn̩ð̩ uðˀjævn̩əð̩ɑ
at udrede - udredede - udredet	æt uːlˈræj øɬˈʁæj øɬˈʁæj øɬˈʁæj
at udrydde - udryddede - udryddet	ʁyðgʁødʁyðgʁødʁyt
at udstøde - udstødte - udstødt	æt wˈʊdstˌaɪl wˈɪdstəd wˈɪdstəd
at ulejlige - ulejligede - ulejliget	æɒ̯ doleːˀg̊liˀg̊ uleˀg̊liˀg̊ð̩
at varetægtsfængsle	æt ʋaːˀʔtˢeːg̊s̺fɛŋsld̥
at variere - varierede - varieret	vˈɑjˈeːr vˈaɪjˈeːlt vˈaɪjˈeːlt
at veksle	ætʋɛkslʏ
at vende	ˈɛts vˈeːnə
at vente	æz vintsæ
at vide	æt ʋeð̩
at virke	et vˈɪ̞rkə
at vise	æt viz
at vokse	et ʋˈɑks
at vride - vred - vredet	æd̥vʁˀilˀ vʁaðˀ vʁaðˀað
at vrikke - vrikkede - vrikket	æt fʲrægːæ ʋrɛgːæð fʲrægːæð
at vriste sig	æt rɛstə säj
at vræle - vrælte - vrælt	æd̪bɾeːldːə vrəldˈə
at vånde - våndede - våndet	æd̥ ʋnəð̩ wˌɑnˀəð
at væde - vædede - vædet	æd̥ ʋeð̩ ʋeð̩ð̩
at vække	æt veˈgə
at vænne sig til	æt vənə sɛj tˢel
at være	at veːr
at være forelsket i	ɒw vɛːə fʌg̊ ælˀskˀɛ i
at være i færd med at ...	ˈɛtvi fˈaɪmˌeːɛ
at være i færd med noget	æt ʋæj ɛj fæːˀʁ̥ mɛnoːð̩
at være i gang med noget	æt ʋeˀ eˀg̊ɑ̈ŋˀ mɛ̝ nˀoð̩
at være på gale veje	ælt vˈiːr pˈoː gˈæːlə vˈɛj
at være tørstig	ɑɛd biːjad ʃafti
at være ved at blive	æt ʋeː wɛː oːˀ ɑwˀ b̥lˀiːg̊ə ɑwˀ b̥ɛʁ viˀ ɑwˀ ʋeː oːˀ ʋeː oːˀ ʋeː öwˀ ɑwˀ
at være ved noget	at vɛj ɒw ʋɛðnˀoːð̩ eːˀɐ̯ vɒˀ eːˀn ʋeːˀ nˀoːð̩
at åbne	ˈɛt ˈɔpnø
at ånde - åndede - åndet	æn æn æˀnø̝ ɑnø̝ ɑnø̝
at ælte - æltede - æltet	æt ɛld̥ə ˈld̥əð̩ ˈld̥əð̩
at ændre	æt ˈɪntɑː
at ænse	æt ɪnˌnæsø
at ænse - ænsede - ænset	æt ˈɪnsɛ ˈnsɪð̞ ˈnsið̞
at ødelægge	æt ˈyðəlæg
at øge	æd̥ ø̞
at øve	æt øːo
ateisme	ð̞atsʰĩːiːsmɪ
ateismen	ˈɛtsiismɪn
ateist	ˈɛtʃiˈaɪ
ateisten	tɨjistim
ateister	ˈesˈesistˈo
ateisterne	bɛndɛnistana
ateistisk	ɛtsɛistis
ateistisk selskab	æt ægjstis kɪselsgˀe
ateistiske	tɛet̪e̞ist̪isɨ
athen	ˈætjˈe
athenæum	et̪inejum
atlanterhavet	ætlantˢeːˀhævæ
atlantvolden	ˈatlˈlˈɛndbˈɔxən
atlas	ætlæs
atle	etʎe
atlet	ætlʲit
atleter	ˈætlˈeːdɚ
atletisk	akompanovas
atmosfære	lˈɛtmɪstˈɛɾ
atmosfæren	ˌeːtmˈʊsfˈeːrən
atom	etsu
atombomber	æˀːtʰuˀnbʌmˀb̥ɑ
atomer	ɛtsˈoːvmˈa
atomet	ɛːtsɔːnˈɔ
atomisk	ætˀɔ̀misk
atomkraft	atˈoːmkɾˌafˈtˈ
atommagt	ɛːttʃoːmakt
attaché	ɛˈteeʃit
atten	ˌətən
attende	etne
attentaterne	ɑɐ̯d̥nteːˀtˢɐ̯nˀə
atter	ælˈa
atterdag	ɛtsudɪ
attitude	etˈi
attraktioner	ɛˈdtˈʁkˈiːˈɔ̃nˈ
attraktiv	atʁˈaktˈiv
attribut	etsiʁiput
attributiv	ˈœvʁtʁiputjˈu
attrå	atʁo
attråværdig	æˈætˢɾoːvɒːdiː
au pair	ˈopˈpeːɾ
aubergine	oːbˈæn
auchenberg	aʊxɪmpɛɾ
audi	au̯di
audioguide	ˈaʊdiːˌoːgˈuːˈɑːidˈ
audiologopædi	auːdˈɪˌoːlˈoːkʊpədiː
audit	au̯t̪it̪
auditiv	au̯diːtse
auditorium	audiːtsoːøːnˈ
august	au̯gozt̪
august bournonville	aʊgɛs pɔnɔn vɪl
august krogh	auːgˈʊstroː
august sandgren	au̯g̊ʌst̪ sæŋg̊aɪ̯n
august strindberg	au̯guzts vẽn be
augusta	au̯kɫɯ̞sdɑ
augustin	au̯gɔstʃtʃɛn
augustine	au̯gustinɛ
augustus	au̯kɔstɔs
augustussen	au̯kustusen
aula	aˈwla
auning	au̯ne̞ɣ̞
aura	aɣo
aura dione	boɾa diːlm
aurora	ɔːweːˈ
australien	ævstˈɑl
australier	aˈʊsfɾaʎɐ
australiere	aʊ̯stˢɐalˀioː
australsk	awstaɾls
australske	æʌ̽stˢɐ̯r̥ɑlˀsg̊ɛ
autentisk	au̯t̪ɕe̞tʃˈisk
autisme	aʊtismɨ
autistisk	ˈɔːtsɪstˌɪsiːk
auto	aʊtʊ
autofiktion	autˢoˀfixiˢoˀn
autofiktiv	autˈɔ̃fˈiktˈɪvˈ
autogensvejsning	aʊtɑɬkiːnsvaɪsmi
autograf	autogɾaf
autokefal	ɑːltˈuˈkæfəl
automat	altʊme
automatisere	ˌɑltumˌeðisˈia
automatisk	automajtsis
automobil	auˈtˈmobiːl
automobilindustri	aʌt�mobijlɛntɔ̀stri
automobilværksted	auˈtˈmobˈiːtˈlˈækestor
autonom	au̯tʃonom
autonom - autonomt - autonome	ˈaʊtoːnˌoːm ˈaʊtoːnˌoːlt aʊtoːnˈoːmə
autor	au̯tsua
autoradio	aˈʊtˌoːɾadioː
autoreferat	au̯tˈoːrəfˈeːrðˈ
autorisere	au̯tsuiˈsia
autoriserede	au̯t̪o̞jsi˥˩ð̞
autoritativ	au̯t̪o̞it̪at̪iu
autoritet	aʊtɔvizˈtˈid
autoritær	aʊttɔitseɾ
autostol	aut̪oztɔɣ̞wt̪
autostrada	aːtsoːstɾatɛ
autoværn	au̯suːvˈɛrn
autoværnet	ɑʋtˢoˀvɛːrnə
av	au
avance	aɻ˥˩tsʰɯ˨˩˦ʂɚ˥˩
avancement	avantsemeːl
avancere	hˈævdsˈeɪtə
avanceret	avˈɒntsˈiːˌˈot
avantgarde	aɾvˈaŋgaɾt
avantgardistisk	evankatistisk
ave	ev
avedøre	ɛːvɛjˈlyːø
avernakø	amənadʒə
avis	avˈis
avisartikel	ɛvˈiːzˈaziːni
avisen	ɛɾvˈiːsən
aviser	ɛvˈiːsɑ
aviserne	ɛɐ̯vˈiːzɛɐnə
aviskiosk	abizkøz
avle	aul
avlelem	au̯lø̞ldæm
avocado	evokeˈro
avocadoolie	ɛɐ̯vokˢatˢoəɒulˢi
avokado	ebukˈeɪtʊ
axel axgil	ɣ̞sl aɣ̞skil
axel olrik	ˈaksjl ɒlˈʁɛk
axel salto	aksjˈal sɛlso
axel strøbye	ɑg̊sɛlˀ sd̥oɐeːˀb̥y
aya	qɔzum
azorubin	esokupim
b	p
b-menneske	bˈitmˈɛnzgˈɛn
ba	ˈpiːə
baagøe	poɫɪ
babelsk	bˈeɪtənz
babelstårn	bˈeɪtwˈɑztɒg
babette	bæbˈɛd
babettes gæstebud	ʋæ bæɾdæst gæstɛ bɔn
babser	patufa
baby	bˈeɪ
babyalarm	beɪbiɑlɑm
babyblå	beibɪblˈɔ
babyen	bæbʲi
babyen pludrer så nuttet	bʲaˀbi ɛn plˀuðˀɐ sʌmˀnˀud̥ɑðˀ
babyer	beːbiːjaː
babylift	ðeɪdˈilˈist
babymad	beɪbim˧a
babymajs	beid̪emˈaɪz
babymælk	be̞jbiːme̞lt
babysam	bˈeɪbisˈeɪm
babyshower	bˈeɪbiʃˈaʊɚ
babysitte	beɪbisɯit
babysitter	beɪbɪʃaɪɾɑ
babysitting	bˈeɪbisɪtɪŋ
bachelor	pətʃlo
bacille	bˈɛsˈtˈlˈ
backgammon	pækæmæn
bacon	bɪːkɑːm
bad	pl
bade	bˈɛl
badeanstalt	bˌaðɑˈænsˈɛlt
badebro	vˈɛ̃pɔ̃
badebukser	bɛlɛnʔoːsɛ
badede	pe
badedragt	bɤːt˥aːq˨˩
badeforhold	b̥eˀð̩fɒˀhɒl
badeforholdene	b̥æð̩fʌɐhʌld̥næ
badeforhæng	fɛːlfɔːnˈɛnt
badeforhængsstang	bæˀˀðefoˀhæŋsstˢãŋ
badehåndklæde	bælhæŋkʰilˈ
badehætte	bæðhˈɪtə
badekar	tɛlˈkɑː
badekarret	belkaːr
badekåbe	bˈɛlkɔ
badeland	ˈɛɹɪmˌɛnt
bademester	ˈesˈestˈa
bademåtte	beˀˀːeˀˀmɒtˢ
bader	alo
badering	væi
badersten	peɾvostĩːn
badet	pɛld
badetøj	mei̯˨tsɵy̯˧
badevægt	bˈɛləvɛkt
badeværelse	b̥æðəvæːˀɐ̯lsə
badeværelser	pæˀːð̩vɛː̯alˀsa
badeværelserne	b̥æˀːð̩ʋ̩ˀɛʁ̥ɛ̀lsɑ̈ɐnˀɛ
badeværelsestilbehør	b̥eðəd̥vɛjˀɑlˀsæstˢeʁb̥øːðɑ
badeværelsesvask	bˈeðədvɛjˀælˀsæld̥sb̥ɛˀsg̊
badeværelset	ˈɛtəlvˈɛrelseːˌ
badge	pɛtʃ
badminton	spæˀːtmɪntˈɑːn
bae	bˈeɪ
bag	b
bag ved	pejˀ
bagage	pekejse
bagagerum	bˈɛkˈeːktjˈugɔm
bagagerummet	ləˈgeːʃugəmiː
bagatel	pakˀatjˀl
bagatellisere	baːgətjˈliːseːˌo
bagbord	pɔ˥
bagdel	auɾi
bagdør	pau̯t̪a
bagdøren	bautaãmb
bage	be
