abadîn	ɑbɑdiːm
di pêşerojê de	dˈə- pɛjˈtʃˈa ɹˈuːʒ dˈiʁ dˈɛ
di xew de	ðə xeʊ də
dibistan	dɔʋɛstaːm
didan	dˈə-dˈɑ̃
dido	dudˈo
dihok	dɯ̞hɯ̞o
dijber	dʒbɛr
dijmin	teʃmin
dikare	dˈɪkɑːrə
dikarim	ðɯkɑrɯm
dikarin	dˈɪkɑrəŋ
dikarî	dˈɢaːriː
dilan	dilon
dilber	dɛlber
dilbijok	dɪlbizok
dilbijokî	dlbzːoːkiː
dilcivîn	dælˈgjˈvɪn
dildar	dɪldɑːr
dildarî	dldaːri
dilketin	ðɯ̞rkʲɪtʲɪm
dilketî	il-katˈi
dilop	dlɔ
dilope	dlɔpɛ
dilovan	dloba
dilê mn	dʒɒle mɒn
dilşad	ɖəɾʃɑːt
dinivîsim	denevisɛn
dinya	dˌeˈniˌˌa
diran	dˈrɑːn
dirandin	ðɾändˈɪn
dirende	ðrɛnˈde
dirok	ɾɒk
dirrinde	ðɯ̞rɯ̞ndæ
dirust	dʊɾuz
dirêj	driz
dirêj (adj.)	ɾɾ
dirûtin	drʏtɪ̞n
divê	dvˈe
diya me	dʒome
diya min	dʒo˩˥ː men
diya te	djote
diya wa	dʒɑːvɑː
diya we	ʝɔvɛ
diya wê	djoje
diya wî	rʲɛau̯i
diyar	ð̞ioɾ
dizek	ðəzˈɛk
dizên mirîşka	d zeːn məˈrɪʃkə
doerkesplatz	dˈɔgɛsplˈats
dorpêç kirin	dɒɾpəj ɒtʃkɾˈin
dostanî	dɔstɑni
dotmam	tɔtmam
doz kirin	dɒˈz kɒɾˈn
doza hiqûqî	doza χɑqwqiː
drav	drɔv
drêj	dɾes
drêjî	dɾɛʒi
du	dˈø
du caran	dʏdʒaɾæm
dudil	dɔdʒu
dur	duɾ
durge	naejeɴtdʑoɯtɕʰiːkijuːmnɤbuː
durr	dʏ̞r
dusiba	duːsba
duyem	dujæm
dêlegur	de̞ɫe̞gʏr
dêr	ðeːr
dêrcimt	ðɯɾʒiːmd
dêrendaz	ðɪ̞rænd̪ɑs
dêrsim	tɪ̞ɾsʲɪm
dêrsîm	derʃim
dêw	dˈeʊ
dêûbav	teupaʁ
dêşe	deˈʃe
dîcle	ditʃle
dîlber	ɟilbær
dîlgirtî	ilgəɾtj
dîn	d̪in
dîroknas	diɾoknɑs
dîrokî	dˈiɹookˈi
dîsa	dˈiːsˈa
dîwana hadî	tiʋana ħɑːdiː
dûmahî	dmahi
dûrahî	doːrɑːŋ
dûrbîn	doːrbim
dûstan	dɪjˈuˈɑːsktɪ
dûv re	dubr
ec	tʃoːs
edebîyatzan	ɒdɒbiˈjˈadzɒˈnˈ
efnik	afnik
efnikî bûn	afˈnˈikˈibun
efrînê	afˈrinˈi
efrîqa	frika
ehdname	æhnɑmæ
ehmed	æhmad
ehmedê mala mûsa	ɑhmɑd mɑlɑ moːsɑ
ekîb	akˈip
el'ezîz	alʔaziʃ
elburzî	ɾɒlbʁˈzi
elewî	ɒlɒvi
elezîz	ælæzɪz
elman	ælmɑːn
em	n
em di civakekê de dijîn.	hem d ddʒəˈva kaːˈkida d ddʒn
em dipirsin	æm d̪ɪ pɪrsʲɪn
em dê paşê biaxivin.	ænd pɑːˈʃ bɑː xoːˈjiːm
em gelekî lîstik zanin .	hɒmgɒliˈ kelisliˈkiˈzɒni
em in	ɛmin
em in.	ɛmin
eme	ɦɑmɯ
emekdar	ɛmækdɑːr
emele	ɒmela
emr kirin	ərkjɾin
emrîka	embrika
emza	ɑːmzɑː
endezarî	ændæzæɾiː
endezyar	ɛndɑzɪə
engul	aŋgwl
ensîklopedî	ensiklopedi
enîşk	anɪʃk
erdelanî	art̪anãn̪i
erdhej	ɾthæʃ
erdnas	adnɔs
erdnasî	hæɾnɑːsiː
erebistan	ɑːɾæbistæm
ermen	ɛrmæn
ermenî	ɾmænjɪm
ermenîstan	ærmænɪstɑn
erxenî	ɦærχæniː
erzincan	ɛrzɛnˈdʒan
erzirom	aɾzɯɾum
erênî	areni
esas	esos
esirandin	ɒsrɒntˈinˈ
esr	plasɛr
esîr	ɛsijr
et[slash]kek	ætkæk
eva	ˈɛvɚ
eva mijareke girîng e	ɑːvɑː mʒɑːr ke geːˈrɪng e
evar	eːbɑːr
evciqîn	ʔafdʒaqjn
evinamın	həˈdiːnɒnˈmɒn
evîndar	æbindɑɾ
evîndarî	ævindari
ew	au
ew dipirse	ɛʏ dɛpɪ̞rθɛ
ew dipirsin	aʋɯ̞pʊ̞rsʏ̞n
ew dı zane.	ɛʊ dɛ zaːnɛ
ew e	ˈɛwe
ew e.	ɛve
ew in	ˈeɪən
ew in.	evin
ew kî ye ?	aw kie
ew qasî	æfqaːsiːm
ewlehî	ɛːvle̞hi
ewqas	au̯s
ewrasya	evrˈafia
ewt	aʊt
ewtîn	hau̯t̪i
exlaqşîrîn	æxlɑqʃiːæɾiːn
exlat	ɛχlɑt
eyar	ajjɑɾ
eylo	ˈeɪlɔ
eyndarê	ai̯nd̪are
eyne	ajnɯ
eyûb	ajˈub
ez avê dixwazim	æz ɑːvɛd xɑːzæm
ez bixwe	æz boːˈxoːhæ
ez bêrîya te dikim.	ɛs bʲeːrʲi atɛdakam
ez dibê cejn cejna kûrdaye	æz ðeˈbe dʒæʒn dʒɑdʒnɑː kʰoɾdɑː je
ez dikarim	əz ðɪ kɑɾɯm
ez dipirsim	æz ðə pɜːsəm
ez dişêm	æz ðə ʃim
ez im	ɛzim
ez im.	ɛðɪ̞m
ez ji te hezdikim	ɛz ʒitɛ χɑzdɪkɪ̞m
ez rêwîyê rêya evînê me .	æz ɾɛuːirːe aːɛvvĩnɛmmɛ
ez te fem nakim.	ˈɛfde fɑmˈnɑq ɯm
ez xelké rojavayê kurdistanême	mæn χæl ke roʒvɑːˈvɑːʒ kʰælˈstɑn
ez ê bipirsim	æziːbɪpɪɾˈsin
ezbenî! libê!	ʔazban
ezirgan	tʃiɾkɔm
ezm	ɑzb
ezman	mæ
ezmûn	æzmouːn
ezîz	azˈiʒ
fam kerdiş	fɑm kɛrdɪ̞ʃ
fanos	fɑːnˈuːs
fanîla	vanˈiːlə
fanûs	fˌanˈus
farqîn	ɸɑːrpiːn
fars	fars
farsî	farsi
fasîle	fɑsˈilɑ
federasyon	fædæɾasjɔn
federedewlet	tɛrɛdɛvulɛt
fedî	fadiː
felek	fˈelˈɛk
feleknas	beleknas
felsefe	fælsæfæ
fem kirin	fam kɯ̞rɯ̞n
feqeh	fæqtæ
feqiyê teyran	la ɟliːtˈeːɾa
feqî	fqiː
feqîr	faqeːl
fer	fɛr
ferfûrî	fæɾˈfuːri
ferhengek nû	færhæŋgæk nu
ferhengok	fərhæŋgɔk
feris	fɪˈɾes
ferman	fæɾmɑn
ferman kirin	fərmɑn kørin
fermanberê ramyarî	kæɾmɑːnbeːriː rɑːmiːɑːriːm
fermandar	fæɾmɑndɑr
fermo	farˈmɔ
fermuar	fæɾmæˈvɑːr
ferq	fæɾq
ferqîn	sɛrˈtiːn
feylî	fɛjˈliː
filetî	filiːti
fille	fˈlˈɛ
filîstin	fˈɛlɪstˌiːn
find	fˈɛnt
findik	fɪ̞ndɪ̞k
firat	frat
firavîn	fraːviːn
firkandin	fərkˈoːndən
firokvan	fɛrˈɔkvɑːn
firotin	rɛtɪ̞m
firrinde	fɯ̞rɯ̞ndæ
firseng	fɛrˈsenk
firîk	frik
foc	fok
fotraf	fokɾof
fransa	frɑːnsɑ
frensî	fɑ̃kˈi
froke	fɾɔke
fuad masum	foʔad maħsuːm
fêkî	fɛkˈi
fêrbûn	fɾɔːn
fîdan	sidaːn
fîdon	fidˈɔ̃n
fîşton	fistˈoːn
garis	gˈɑɾəs
gav	gˈɑv
gava	gavauː
gay	fˈaːndəgˈeɪ
gazin kirin	gɒziˈnkɾˈinˈ
gazinc	gɒzʒiˈntʃ
gazinc kirin	gɫ zɯntʃ kɪrin
gazind	gɒzˈint
gazindok	zɑːnˈdɔk
gede	gɒdɒ
gelawêj	ʝˈanˈoβ̞es
gelek	gele
gelek caran	gælek dʒɑːræm
gelektir	gælæktʲiɾ
gelekî kêfxweş bûm	gæl ke kʰeˈf xaʃ bon
gelê	gæle
gelîye	gelje
gelîyê osman	gʲælˈje osman
gemarî	gmri
gemş	dʒenˈs
gerdene	ge̞rðænæ
gerdenî	geˈrðni
gerdûn	gardun
gerek	kæˈræk
gerguhêz	gˈɛrgʊhˈˈɛtˈ
germ kirin	kœrm kørym
germisîn	gæɾmʲisːiːn
germiyanî	pˌɛrmiˈɔni
germîyan	gɛrmʲɪn
gerok	rɔk
gewr	gæu̯r
gewre	daura
geya	gɛːjˈa
geşepêdan	gʃpˈdɒːn
geştiyar	gʃtiːr
geştiyarî	geʃtiːjɒːɾiː
ghobadi	gɔbaˈdi
gidî	gidi
gihanek	gəˈʔɑːnək
gijnîş	gəsnˈiːk
gilkarî	saːrj
gilyaz	gʏljˈɑːs
gilyaze	gjˈljɒzɒ
gimgim	gəmgəm
gindûr	gɐ̃ndˈʊɾ
giranker	gˈɾˈɒnkˈɛɾ
girover	gˈɾˈoːvæɾ
girs	girs
girtîgeh	kɪ̞ɾtʲigæ
girtîxane	grtixani
givêje	gəʋɪzɪ
giya	dˌio
gişt	gʏ̞st
giştî	gusti
goger	gɔˈgɛr
golê	gɔle
gor	gˈɔɹ
gore	gɔɾɛ
gorn	koɾn
goskerî	kozkeɾi
gotin	gˈotˈˈɑ
gotûbêj	gɔtʃibeʃ
govend	govˈent
goyende	gɒjɒnde
goze	gozɛ
goş	gˈoʃ
goştxuran	gɑʃtxoɾæn
goştê beraz	goʃt beːraːz
goştê ga	gɔʃteˈgɒ
goştê pez	gɒʃteˈpeːz
grêva birçîbûnê	gɾɛva brtʃi bolɛ
guhar	guar
guherandin	guːhˈɛrˈandɪdm
guherîn	gɔɦɛrɪn
guhê xwe dan	guːh xɔdɑn
gujîge	gyzʲigæ
gula cinetê	gula dʒenete
gulcan	gʊldʒɑːn
gulistan	gulˈʃˈstɑn
gulkelem	kwl̟qælæm
gulleya top	gulɛ atoʊp
gulşîn	ɔsʃɛ
guman kirin	gˈomɑn kɾˈin
gumanbar	guˈmãnˈdɑr
gumen	bu
gund	gynd
gundi	kundʉ
gurçik	gurtʃik
gwehdar	gʊˈʔdɐrdˈɑɾ
gwehdarî kirin	bɦdɑːriː kərən
gwîz	bujˈi
gwîzok	guizok
gzing	guziŋ
gêlaz	kiːlɑːs
gêrîlla	gɛrɪlˈla
gêzer	kɪ̞zɪ̞r
gîya	gˈiɐ
gûhdarî kirin	qɯ̞ðːaɾ ɪ̞kɪ̞rɯ̞n
gûz	guz
gûzelder	gʏzældær
halo	χɑlɔ
hanar	ɦanəɾ
har	hɑːr
hasîtî	hæsiːdiː
hatin	hɑtɯm
havin	avin
havîn	laiˈmi
hawa	aɫɑ
hawar	hawˈaːn
hawin	avin
hawre	hɑʏrɛ
hawîn	hæwˈin
haşt	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
hebûn an nebûn	peˈguːn ɑn nebuːm
hechecîk	ħadʒħadʒak
hefsûdank	havsuːdɑːnk
heftar	hevtaɾ
hefte	həˈste
heftem	hæfˈtæm
heftê	χæfˈtˈɑ
heftî	adˈə
heje	hɛʒɛ
hekarî	ħɑkˈɑri
heleq	hælq
hemal	aːl
hember	hæmbɒːr
hemserre	hæmsæɾɑh
hemû	hemu
henek	ħɛnɛk
henek kirin	ænæk keɾeŋ
henekî	ħɑnɛtʃtʃɑ
hengav	hæŋgəl
heps	hˈæps
heq	hɑq
heq dan	aqtɔl
heqbra	hɑqbr
her	hær
her bijî	hærbʲiʒi
her roj	hɛrɾoʃ
here	hɛræ
herekat	haraket
hergele	ɛrgele
herimandin	hɒˈrmɒndiˈn
herimîn	hæɾmiːn
herwisa	ɦɛrvɛsɑ
herêmek	harimæk
herî pîr	heɾi pˈɯɾ
herîr	ɦæɾiːʃ
herîv	ħaːrɪv
herîvî	ˈɛɹɪvˈi
hesinkar	həsɪ̞nkˈɑɾ
hesîçe	hasjæ
hesûd	he̞sut
heval	awɑl
hevalcêvî	tɛˈvɑldʒeˈviː
hevaltî	ɦvɑlti
hevaltî gelek encame .	he̞vɒːltiː gælk ænʒɒːmɒː
hevalzava	hæwɑlzavɑ
hevalê	hevoːlɪ
hevbend	hɛvbɛnd
hevenav	hˈævənˈʌf
hevjîn	nˈə
hevok	havok
hevoka sereke	evukɑ sɛrɛkɛ
hevonandin	avonondin
hevwate	hɛwɑtæ
hevyaz kirin	hɪ̞j wɒz gɪ̞rɪ̞n
hevîr	heð̞iz
hewal	ħɑwɑl
hewce bûn	ħɑʋdʒɑbwn
hewdik	ħɑːdˈk
hewiyan	hæɹdjɔn
hewl	ħɑːw
hewl dan	hevldɑm
hewldan	hæʊlˈdɑːm
hewlêr	havlɪr
hewr	hæuːr
hewremanî	ɦɒːrmɒːniː
hewt	hæ̹l
hewîsûk	hˈɛdwˈʃu
hewş	ħauːʃ
heyf	ˈeɪs
heyirî	ħajri
heyva nû	haj væɾ nˈuː
heyva sor	hˈævə θɔːt
heywan	tɕiw˨˩˦n˥˥
hez	hæz
hez kirin	hæz kjɾin
hezkirin	æzkjɾin
hezro	hæˈzɾu
hezû	ʁɛzˈo
heşikser	aʃsæ
heşt	eʃt
heştem	hæʃtæm
hibir	ɛvɪ̞r
hilkolk	hlk
hilmij	helmɛdˈʒ
hiloq	həˈloːk
hilçinîn	heltʃenˈin
hilçûn	helpʃuːn
hilî	hæ̹liː
hinartin	hænɑrtɪ̞m
hindikayî	ɦəndˈgajˈm
hingiv	ɦŋɯn
hiqûq	hɛqq
hire	dˈi
hirç	hɜːtʃ
hisiyan	ħasiːn
hisret	ħasraːt
hitok	getok
hividar	ɛːvidaːr
hizirîn	huzˈɾiːn
hiş kirin	hʃkɾn
hiş!	hɪ̞ʃ
hişk kirin	hɪ̞ʃk kɪ̞rɪ̞n
hişkî	oːʃki
hişme	hɪ̞ʂmæ
hişpak	ɒˈʃbaˈk
honandin	hɒnandˈin
hosta	osta
hozan	ozɑn
hunermendî	ɒnəɾeməndi
hurrîyet	rˈjɛt
hêjîre	ɒgine
hêlekan	hejlækɒn
hêliştin	hælæʃtɪ̞ŋ
hêncet	ɦendʒet
hêne	hˈɛnˈɛ
hênî	heˈni
hêruge	heɾrɒgæ
hêrvês	vˈɚviz
hêç	ˈhet
hêştirswarî	estəɾsuaɾi
hêştirvan	eʃtˈiɾˈvɒn
hîlal	hlɑl
hîsab	ɦɪsɑp
hîvhilatî	hiːlhəˈlɑti
hîvîdar	hˈivˈidaɹ
hîwa	hiva
hûn	hun
hûn dipirsin	xun d pə arsɪm
hûn in.	unum
hûn çi difikirin	ˈɛɬʲntʃɛdɛ fɛkrɛn
hût	ʔut
imir	ɑmɯ̞r
israr	ɪsˈɾɑɾ
i̇ngilîz	ɛŋlis
i̇ngilîzî	iŋgɭizi
jan	ʒˈɑn
jarmar	zɑɾmɑɾ
ji	g
ji axê	ʒˈə ɑ̃hˈe
ji ber	ʒəbˈɛ
ji bîr kirin	ʒɯbʲiɾ kɯɾɯn
ji bîr kirin (verb.)	ʃa bʲer kɯ̞rɯ̞n
ji dayik bûn	ʒɯ̞ dɑik tʊ̞r
ji ku	ʒˈɛkʊ
ji min	ʒˈɛmɛn
ji te	ʒˈə-sˈe
ji wê	ʒˈʁi
ji wî	ʒwˈi
ji-	ʒˈø
jidil	ʒdl
jikerêketî	ɾikːɑɾikɑti
jin	zˈyn
jin, jiyan, azadî!	dʒɨn dʒiˈɑn ɑzadˈi
jina wî binim ,miriye	dʒnɐʊˈ i bˈinɐm mˌɪɾˈiɐ
jinbira	ʒɛndʁa
jinkujî	dˈiʒyɲi
jino	ʒˈɛnˈo
jinxal	dʒnxɑl
jistan	dʒusˈdan
jiyan	ʒˈiɑn
jiyanname	zjajnɑkmɛ
jowan	dʒuːɔn
jêbir	ʒˈɛbɛr
jî	ʒiː
jîngeh	ʑindɛ
kade	kɒde
kadegoşt	kʲɑːdgoʃt
kadexwûrîs	kædæmxoːˈriːst
kadik	kɑɾɯ̞k
kafirbav	kafiɾvɑv
kaj	koʒ
kakaç	kakˈatʃ
kakil	kakɐkːl
kakî	kɑːˈkiː
kal	kɒn
kalemêr	kɑɫɛmɪɾ
kanî	kaːni
kanîreş	kɒˈniˈɾeʃ
kanûna pêşî	kɑːnunɑː pæiːʃiː
kar (m.)	kar
karantîna	qɑrɑntɪna
karazê	karazɛ
kareba	kareba
karin	kɑːɾiːn
karker	kɑːrkɑːrf
karmîç	kɑrmitʃ
karobarêt komelayetî	kɑːrɔ bɑːɾed koməlaːjætiːd
karok	karok
karsaz	kɒɾsɒˈs
kartol	qɑrtʊ̞ɫ
karwan	kɑːɾvɑːn
karxane	kɑːrxɑːne
karçikan	kɒɾtʃɒˈkɒn
karê te çi ye	kɑˈrɪtɛ tʃiː
katalan	katalɑn
katalanî	χɑtɑlɑːniː
katib	kɑtɯp
kato	hɑtu
kawa	kʰɑ˥˥wɑŋ˨˩˦
kawayê hesinker	kɑwɑjhæ ˈhæziːm kʰeɾ
kaxizman	χɑjˈxɛzmen
kayîn	kaːˈin
kazax	kɑːzɑːxiː
kaşxank	kʲæʃχɑːnk
keban	kɛˈbɔn
kef	kɛf
kej	kˈɛʒ
kela dimdimê	kel adɯm diːmej
kelek	kɛlɛk
kelem	kælæm
kelhorî	flɦoːri
kemilandin	kɒmmˈɒlndin
kemilî	kɛmmɛli
ken	kæn
kenîn	keniːn
ker	kɛr
keramet	kæɾˈɑːmmɛt
keran	kʰɑːn
kerb	kəʊˈ
kercos	keɾdʒoz
kereng	kæɾæŋ
kerkin	kærkən
kerkûk	kalˈkˈ
keroşk	kˈarʊʃk
kerp	kɛrp
kes	kæs
keser	kæsæɾ
kesk	kˈɛsk
kesk sor û zer	kats soɾ kutsal
kesk û sor û zer	kˈɛsk u sɔr u zˈɛr
kesk, sor û zer	kˈas kˈolsˈɒvɾˈugzˈar
keska	kɛskɑ
keskesor	kʰæzkesʊr
kesol	miːnsoʃ
kevrekanî	kʰəfərkɑːni
kezeba mî	gɒzɒb ɒmˈɒˈ
kezeba spî	kezeb ɑsˈpi
keça kumsor	ke tʃak ɯm sɔɾ
keçel	kaːtʃˈa
keşe	kʃɛˈʃɛ
keştî girêdan	kʃtiː gæɾhædiːn
keştîgeh	kæʃtiˈgæ
keştîya şerr	kʃa eʃti a ʃæl
kifş	qyfˈʃ
kifş kirin	kɪ̞fʂ kɪ̞rɪ̞n
kiras	krˈas
kirmanckî	kʌrmɑːnʧki
kirmaşanî	kæɾmɑːʃɑːniː
kitekit	katakid
kitik	tɪ̞k
kixs	tæx
kobanî	kɑːbɑːnim
kom kirin	kʏ̞mkʲɪrim
koma agirê jiyan	vimˈvɑː ɑːgɑˈdeːʃtʃu
komal	kuɾtˈiθ
komalgeh	koˈmˈɒlgɒ
komar	xʊ̞mɑr
komedî	komeːˈdi
komkujiya roboskê	konkɔzija roˈbɔte
komkujî	koŋkodʒi
komunîst	kɔmunist
komunîzm	komunizm
kon	kn
kosî	kɒsˈi
koçber	kotʃbeɾ
koçer bîrkar	kɔtʃɛɾ jˈɾɪkɑɾ
koçgirî	koːtʃkɾiː
ku ne qur'an be, çi pirtûk be jî, mirov	koːnɛ qurɑːn bɑː tʃʰpæɾ toːg bɒdʒiː mrov
kujerî	kuʒɛɾiː
kulek bûn	kwllæk bun
kulgayeyî	kʏlgɑjˈɛji
kuncî	kunˈdʒi
kunederzî	konædæɾziː
kuneguh	kɔ̃agˈu
kunemişk	kˈɔ̃ˈeimˈɛk
kur	pup
kurd	ɯɾiˈdʊ
kurdistan	kʊrdʊstɑn
kurdistanî	kɔɾtɛstɑːniː
kurdî	kurdi
kurm	kwɛrmu
kurmanc	kæɾˈmɛɾn
kurmancî	kuɾmɑŋʒi
kurrebeşike	kuɾˈɒbʃiki
kurtenerîn	kɾtnˈeɾiːn
kurî	guɾiː
kweh	gwan˥˥
kêf anîn	kfeˈɑːniːm
kêfxweş	kevxwˈɛs
kêfxweş (adj.)	kiːv xɛʃ
kêfxweş bûn	kæf xoʃ buːn
kêl	kɪ̞l
kêm	kɪ̞m
kêm bûn	tˌeˈɛnˈbuː
kêmahî	keːmɑːhi
kêna	kana
kênek	gejnɛk
kêran	ke̞jɾn
kêz	kiz
kêzik	kizlik
kî ?	kˈi
kîrkor	kɪ̞rkoɾ
kîrqûnde	kʲirkʲɪnˈde
kîrtûj	kirtuʃ
kîrvindê	kɪ̞rwʊ̞ndɯ̞
kîs	kiz
kîştinok	kʲiʃtʲænɔk
kû	k
kûringan	kʏrʏŋgɑn
kût	kɾˈut
kûzekûz	kˈuekˈuʒ
kûzîn	kuːziːn
kûçik	kutʃik
labelê	labele
lacek	lˈɑdʒɪk
lalbûn	lalbun
lao	lau
law	lau
lazim	lɑːzɯm
laçik	lɑtʃɪk
laş	læʃ
lec kirin	lˈitʃkˈirˈɯn
leheng	lahæŋk
lekî	laki
lenger avêtin	lɛngɛr ʔazɛtɨn
lepitandin	lɑptɑŋgɯn
leva kirin	ɫæ vɑkɪ̞rɪ̞n
levketin	læfkɛti̠n
lew	ləʊ˦
leystik	lɛːstlik
leyîstin	lejˈizdin
leşker	lɒʃkæɾ
leşkerê nîzamî	æʃkæriː niːzɑːmiː
leşkerî	lʃkæɾiː
li ba	ðə bˈɛ̃
li baxçê zarokan hay ji wan hene û ew karin bi hev re bileyîzin, bistirên, birengînin, çertîkan çêkin û bê tirs bi rehetî hîn bibin.	lɒbaqtʃi zɒˈɾɒˈɾ kɒˈnˈ hɒnɒ ɒl kɒˈɾˈim bˈɒvɾe bilɒniz tˈɾˈenbrˈɒŋim tʃˈldkɒntʃˈlim v bˈɒbɒdʒˈɾˈ spɾɒjˈetijˈ ˈ
li ber	lɪbɛr
li bîr bîne	la bire ˈbɪnə
li dor	la doˈr
li gel	lgɛl
li gorî	lˈˈgoːri
li paşê	ləpɔʃˈe
li pişt	lɛpøʃt
li pêşîya keştîyê	le peʃiː ɑ kʃtiˈje
li ser	lɪsær
li swêdê gelek dêûbav bi giştî ji xebata pêşdibistanê pir razî ne.	la suˈɛd jˈɛtk lˈkˈtˈɛ u bɑːbælgʃti ʃɑjx batːɑː pʃd̪bɪstɑːn peɾˈʔɑːziːne
li vir	ɫɪ̞wɪ̞ɾ
licê	ledʒe
lidarxistin	ladaːrxistim
lihevkirin	laekkɾiːn
lixav	laħæb
lixwe kirin	laːxwaː kareːn
lobî	novi
lokomotîv	lɔkɔmɔtiv
london	lɔndɔn
lopik	lopek
lorik	loːrk
loristan	lulztan
lovike	lov
loş	lɔʃ
lurrê eslîn	pluɾe̞ æslæˈnæ
luxet	luxʃat
lê bar	leːbɑːr
lê xistin	liːx ztiː
lê-dan	laiːna
lê-xistin	ləxˈztɪn
lêbelê	lebeli
lêborîn	laboːˈrin
lêgerok	liːgˈɛrˈuk
lêgerîn	legriːn
lêkolîn	lekoːljn
lênûsk	lenuz
lîberalîzm	libirɑlɪzm
lîhêf	laħæθ
lîstik	lɪstɛk
lîstin	lˈɪstən
lûleya tivingê	lulɛ ɑtɑvɯ̞ŋɪ̞
lûtik	luːkj
madelyaya koçer bîrkarn jê re careke din hate dayîn.	mɑdɛlijɛ χoːtʃ hæbɪrkɑr dʒere dʒɑːrkʰedin hɑtadaj
mahsun kirmizigül	mɛχsyn qirmɯzɪ gyl
make	make
mala mihê	ɑlɑm he
mala min	malamn
maldar	mɑldɑɾ
maldarî	maldɑrɪ
malket	malkɛt
malnivîn	mɑɫnɪwɪn
malpar	mɑːlpaːr
malxerab	mælxæˈrɑb
mamesanî	mɑːmˈsɑːniː
mamik	mˈɑmɯ̞k
manend	mɑnɛnd
mare	maːrɛ
maria barin aydin	maːrɪaː baːr ɪn ajzvm
marmase	mɑɾmɑːsɛ
marîcek	maritʃek
marîzerk	maɾifɛr
mase	mase
mastfiroş	maːsfʲaːrɑʃ
masîgir	mˈˈɑ̃sigˈeʒˈ
masûlke	masˈulka
mawe	mɑwɛ
mayîn	maːjɛm
mazûvan	maːzuːvɑːn
mazûvanî	maːzvaːni
maç	mˈɑt
maç kirin	mɑtʃkɪrɪ̞n
me	mæ
me'ne	mɑːnɑ
medenî	mædæmi
meftune	mæstæˈrɑ
meh	mɛ
mehmed uzun	mæhmd uðuːn
mehmûdê bazîdî	maħmuːd bɑːzdiː di
mehsûl	maħsuːl
mehîr	mʰɛːr
mektûb	mˈɛktup
mele ehmedê cizîrî	mæn æhmad dʒaziːriː
meletî	mˈɛləti
melevanî	mælvɑːniː
melkemot	malkamot
melê	mɛːlɪ
memûr	mæmuɾ
meqam	mæqɑm
mer	mær
merr	mar
mescid	məθˈtˈt
met	mæt
metel	metæl
metîn	mätːˈin
mewda	mɛɾda
mexelî	mæˈxæl
mexelîn	mæhleːn
mexzen	maxzɑn
mezbût	mˈtˈbˈut
mezin	meˈzim
mezinker	mɒzinkɒr
mezintir	mɛzɪ̞ntɪ̞r
meşandin	meʃandɯn
mi bibore	mæbˈra
mifteh	køp
mijar	mʃʃaɾ
milazgird	mɯ̞ɫːɑʊ̞sgɯ̞rt
mildayî	mɪldɑːji
miletê	mˈɑlˈtˈe
milwanke	mɪ̞ɫwɑnkɛ
milyoner	mjɪːjɔːnæɾ
min	mən
min bixwe	ɛl buqa
min bêrîya te kiriye.	ɒgriˈjɒpteˈk teˈɾiˈje
min ciyawazim	mnː dʒjàwaːtˤim
min ew kir ango zêw	ʊnɨɨʊ kɾaŋgozɨu
min hevîr kir.	mæn hævjiːr kæˈr
min pirsî	mɪ̞n pɪ̞rsʲiː
mircan	merdʒɑːn
mirin	mɪˈrin
mirov	mɾɔv
mirovxwer	berɪ̞wχæb
mirtêl	marθɛl
misilman	miːsɪlman
misr	mʏ̞sɪ̞r
mitfeq	mtsəq
mitirb	mˈatːarp
mixabin	maxɑːbən
miz dan	mizdan
mizgîn	mɛzgin
mişayîx	mæʃɑːjiːx
mişkûnis	mʃkʊjˈnɯz
monitor	mɒnætæɾ
mor	mor
moran	mˈaʊɹən
moz	mˈuz
mozike	moziqi
muhammad fuad masum	maħeːmæd fʔuːʔalmaħsˤwm
mukrî	nuːkɾiː
mulk	nək
munasib	mʏnɑsɯb
munzur	muzuɾ
murad	mˈʊɾɑːt
musulman	məsʔəlmaːn
mêr	meɾ
mêranî	mjɾɑːni
mêrdîn	merdin
mêrg	mɪrk
mêvan	mˈeːrˈam
mêxik	mˈaɪxˈɛk
mêze kirin	mezakrɯn
mêş	mʃ
mêşa hinguv	neːʃtʃɑɦɯnˈgʏɾ
mîlan	mælˈlæm
mîratxur	miːɾatxʊɾf
mîrow	møɾˈɑ
mîzorik	misoɾek
mûm	mˈu
mûrad	muɾat
mûsil	musiʁ
mûş	mˈuʃ
nakokî	nˈaːkokʲi
namûs	namuz
nan	nˈaɪn
nanpêj	nõŋpeʃ
nas	nɔs
nasîn	nˈɛˈfiːn
navdêr	nˈaʊvdəɾ
navend	naovɛn
navendî	nˈɔvɛnˈdi
navmal	nvmɑl
navmalî	nɑvmɑːli
navsere	ɫæsæɾæ
navçe	nɛ
navê min	na vɨmen
navê te çîye?	nɒːv tʃiːt
navê wê arjin ê	nˈoːvɨ ˈuɛ oɾxɪnˈɛ
navîn	naːvˈin
naw	nˈɔv
ne'ne	nænæ
nebat	nɒbɒt
nebz	nˈo
nefret kirin	neʃɫet kɯɾun
negerguhêz	nɛgɛrgoheːs
nehem	nhem
nemir	næmɪ̞r
nenaskirî	nenaskiri
neqeb	nqɑb
nerme	nɛrmæ
nesax	nɛːsah
