0	zɛru
bardante	baɾdãn̪t̪ɪ
bardante de	be̞rð̞ant̪ɪ d̪e
bardante que	baɾt̪ant̪e k
baronesa	bˌaɾonˈesa
barra de desprazamento	bˈaɾɾa dˈos dˌespɾaθamˈɛnto
barral	β̞aɾɾal
barregá	balaɣa
barregán	β̞areɣ̞ãn̪
barreiro	β̞arejɾo
barreiros	β̞areiɾos
barrigana	β̞aɾɾigana
barrigán	bˌarɪɣˈanˈtˈ
barrio	barrio
barro	baro
barullana	varudzjennɨ
barullán	β̞aɾuʝjãn̪
barxa	barʃet
barómetro	bãɾɑmetʁɔ
base de coñecementos	bˈase dˈos kˌoɲeθemˈɛntos
bastantes	β̞ast̪ant̪es
batea	batea
bater	bat̪eɾ
batería	bɐt̪eɾia
batuta	bat̪uta
baudio	bauðiʝo
bautismo	baltismo
bautizar	β̞aɣ̞ut̪jθaɾ
baxín	maʃɪn
bazar	β̞að̞s
baía	fˈaɪljɐ
baño	baɲʊ
beade	beað̞e
bebible	beˈbɪble
bebíbel	beβ̞jβ̞ell
becacina	d̪ekaθjne
beira	beːlˈlˈa
beira de	bejd̪ed̪e
beirarrúa	beiɾaaroa
beiroa	beˈrɔ
beis	bejs
beixo	beʃo
beizos	aɪfɑs
beizón	be˨˦sũŋ˥˥
beleigán	beleijan
belesar	ɦlesaɾ
beleza	belˈeza
belloso	bizjoʃ
belsar	elssˈaɾ
belvís	belviz
belén toimil	belentɔ aj mil
ben	bæŋ
ben como	benkɔmʊ
ben que	ben ke
benade	benað̞e
bencina	benfina
bendición	β̞ẽn̪d̪jkiõŋ
beneficio	benefiθi̯o
benignidade	benixniðadɪ
benigno	beɾˈixnu
benquerenza	benkeɾenθa
benvida	benbið̞a
benvido	ɔɛmɪɾ
benxamina	bejsamĩŋa
benxamín	ð̞eɾɾʝd̪emiɾˈɪn
berberecho	mɛrbɛlɛtʃtʃɛ
berce	ðeɾsʝ
berete	beɾet
bergantiñá	bɛɾˈgɐntˈiɲa
bergantiñán	beɾɣ̞anat̪ĩŋãn̪
berrar	berɾak
berres	berɾis
bertamil	beɾt̪amil
bertorella	β̞eɾt̪oɾella
besbello	mʊzgɾjʊ
betanzos	β̞et̪ãn̪sos
bexe	beʃe
biblioteca	biβ̞ljot̪eka
bibliómano	biːbliːˈuomano
biblos	bɪblos
bica	beka
bico	lˈiko
bico córneo	piko korne
bicos	bikos
biduedo	βiðueðo
bidueira	bˈɪtʃɪwˈaɪlˌa
bidueiro	nilejɾe
bidueiros	bidueiros
biduído	bidwido
bieite	biei̯te
bieiteiro	mˌeɾˈaɪpˈeɪgvə
bieito	β̞ieiɣ̞
bienio	bieniu
billarda	β̞jʝaɾð̞a
bilurico	voliko
binario	benario
bioetanol	bioˈɛtɑnˈo
biofísica	biɔfjsika
bioloxía	bjoloɣ̞ia
bioloxía celular	bˌioloʃˈia θˌeɾulˈaɾ
biomasa	biomas
bioquímica	bjokimika
biosfera	biosfeɾa
biotecnoloxía	bjjot̪eknoloɣ̞ia
biotopo	dijɔtʊpo
bioxeografía	bioʃeografia
bioxeográfia	bioxeoɣ̞ɾafia
birlo	irɾo
bisbarra	bizβ̞ara
bispo	bispo
bit	bitʃʲi
bit de parada	β̞jt̪ d̪e paɾað̞a
bit de paridade	bið̞ d̪e paɾjð̞að̞i
bivalvos	bibaalβ̞os
bizantino	vizantino
biónica	pˈjˈnˈɪka
blasfemar	β̞laszfẽmme
blindar	blindˈaɾ
blogue	bloʁe
blogueiro	loɣ̞eio
bloque	bloj
bloquear	blokeaɾ
bloqueo	blokeo
blusens	β̞ɾuzˈeɪnz
bo	boː
bo día	boð̞ia
boa	boa
boa noite	buona nojt̪au
boa tarde	ʊɐtɑɾdo
boado	boaðʊ
boas	boas
boas noites	bua nojtes
bobina	boβ̞ina
boca	boka
bocalana	bokalana
bocalán	okalãn̪
bocarte	pokart̪ɛ
bogón	fins
boi	boɪ
boimorto	bˈoɪmˈoɾto
boiro	boˌiˈɾoˈ
boixo	bojsum
bola	tɔøɛ
bolboreta	bolβ̞oɾet̪a
bolechas	β̞olet̪ɣ̞ses
boletín electrónico	boletin elektroniko
boliviano	bˌoliβjˈano
bolo	bolo
bolseira	β̞olsejɾa
bolseiro	bolsejro
bondade	bonðað̞ɪ
boneca	bonɛka
boneco	bonɛkɔ
bonitiña	volezpijne
bonito	bonitʊ
boqueixón	lo˥˩ke˥˩ʃœn˨˩
borrar	borˈɾar
borraxeira	boɾassejð̞a
borreiros	borɾeiros
borxa	bɒɾʃɒ
bos aires	boθaiɾˈs
bos días	os ð̞eas
bosende	bos̺e̞nð̞e
bosquimá	boskima
bosquimán	bosˌkimeˌan
botafumeiro	boˈtˈafʊmejro
botar unha man	botaɾ unha maʊ
botelo	boˈtɛlʊ
botánica	bɔtɑnjka
botánica descritiva	pot̪anika ð̞eskɾipt̪jβ̞a
botón de brillo	poton infanadʒo bridʒo
botón de contraste	tɔtɔn dɛ kɔntɾaste
botón de reinicio	botˈon dˈos ɾɾˌeinˈiθjo
bou	dˈoɐ̃wˈ
bouchal	boːtʃˈal
bouza	boːlsɑ
bouzoa	bo˥˧sʰɔ˥˧a˥˧
bovino	boˈbino
bradar	bɾað̞aɾ
bragado	braɣaðo
brais	pɾˈaɪz
branca	planka
branco	branko
brancura	bɾãn̪t̪kuɾa
brandariz	bɾanð̞aɾis
brandián	bɾandjãn̪t̪
brando	bɾanˈdɔ
brandán	bɾanð̞ãn̪ɣ̞
branquia	kial
brasileiro	brasileido
brasón	braθoŋ
bravos	braβ̞os
bravún	bɾaːbɔ
brea	bɾˈa
bregma	brægmæ
breixo	mãˈsjo
breogán	bˌɾeogˈaŋ
bretoa	britɔa
bretón	bɾet̪oŋ
brillantina	bɾiʝant̪ina
brincadeira	bɾinkalejɾa
brión	brijon
bronquios	bɾonkius
bronquite	brankit̪e
broucar	bɾoukaɾ
broño	bɾoɲo
brutana	brutani
brután	β̞ɾut̪ant̪
bruxa	bɾˈuʃa
bruxaría	brʃaɾia
bruxelas	bɾuʃellas
brétema	preteˈma
bríxida	bɾˈiʃidɐ
bubela	obela
buguina	bʊ̞gʲiːnæ
bulebule	bulibule
buleirana	boːljd̪ane
buleirán	β̞olejɾan
bulicio	bolisio
buracos	β̞uɾakos
burato	burato
burbulla	β̞urβ̞oxa
burela	β̞oɾela
burelao	buɾelau
burelá	buɾe̞læn
burgo	bˈuɾˈibu
burrana	β̞orani
burricana	β̞urikana
burricán	β̞urrikan
burro	burɾu
burrán	boθan
bus local	bus lokal
busca	buʂka
buscar	boskˈaɾ
bustelo	bustelo
bustelos	ustellos
busto	busto
bustos	bustʊɾ
buxo	mæn
buxán	bʊsial
bágoa	baɣ̞oa
básico	bˈasiko
bímano	bimanə
bóla	bola
bórax	bˈɒnˈakˈs
bóveda	bobeda
búfalo	bufalo
cabaceiro	kaβaseiɾo
cabala	kaβ̞ala
cabalar	kaβ̞alaɾ
cabaleiros	seβ̞aleiros
cabalo	kaβalo
cabana	t̪aβ̞ana
cabanas	ɾɑβɑnɑs
cabaza	kaβ̞assa
cabelo	kaβ̞il
caber	kaβ̞eɾ
cabeza de lectura-escritura	kabeθa dɛ lektuɾa eskɾituɾa
cabezana	kaβ̞izana
cabezán	kaβ̞jts̺an
cabo	kabo
cabra	kabɾa
cabreira	kaβ̞ɾeira
cabreiros	sabɾios
cabrúa	kabɾua
cabrún	sˈabɹˌum
cacabelos	kakaβelos
cacao	t̪ekau̯
cacatúa	kakatua
cachalote	katʃalotse
cachamoulana	kasamowlana
cachamoulán	kat̪samɔulaŋ
cachana	katʃa
cacharela	kat̪saɾela
cacheira	katʃeɾa
cacheiros	katʃeiɾos
cachoeira	katʃoi̯ɾa
cacholana	katʃolane
cacholán	tʃatʃalaŋ
cachucha	katʃutʃa
cachán	kak˦a˥˥
cacto	kaktu
cada	kað̞a
cada tempo ten os seus costumes	keɾa t̪empo t̪enosjus kost̪umes
cadaleito	ˈavˈilevˈɑl
cadanseu	kað̞anseu̯
cadanseus	kað̞anθeus
cadansúa	kað̞aelss̺ua
cadansúas	kað̞anseues
cadaquén	kað̞aken
cadea	kað̞ea
cadeira	ɣ̞ɾæmɾeɪɾɐ
cadela	kað̞ela
cadelo	kað̞el
caderna	kað̞eɾna
caderno	kaðɛɾnʊ
cadrado	kað̞ɾað̞o
cadrar	kað̞ɾ
cadrelo	katrɛlʊ
cadril	kað̞ɾili
cadro	kadɾɔ
café	kafˈe
cagana	kaɣ̞ana
cagán	ð̞aɣ̞an
caixa	tajˈʃa
caixeiro	taxˈeio
cal	fˈa
calamidade	kalamiðaðe
calandriña	kaladrinja
calcita	kalsit̪a
caldas de reis	kalð̞as d̪e ɾeis
caldebarcos	kaldeβ̞aɾkos
caldeirón	kaldeiɾon
caldelao	kaldɪlˈaːo
caldelá	ˈaldela
caldelán	t̪al̪d̪elaɾn
calefacción	kalesakθjoŋ
calefactor	kalesaktor
calidade	kaliðað̞i
callada	kaʝað̞a
callado	kaʝað̞o
callar	kaʝaɾ
calleira	katʃa
calleiro	kað̞ejsʊ
callo	kasjo
callobre	kalɔbri
calquera	kal̪kẽn̪a
caluga	alˈuɣa
calumnia	kalˈumnija
calvelos	kalβ̞elos
calvos	kalʁus
calzón	kalsoŋ
calórico	ɣ̞alɾjko
camada	kamað̞a
camafeo	kamafeo
camba	kãmba
cambadela	kɑŋbalea
cambados	kamβ̞að̞os
cambela	kanβ̞ela
camberra	kandera
cambio climático	ambio klimˈatiko
camboxa	tɐmboʃa
camelo	kamelo
camisa	amist̪a
camisaría	kamiszaɾia
camiñante	kapiniente
camiño	kamjiʲːu
camións	kamio̞s
campaíña	kɑmpajɲːa
campelo	ampelo
campelos	ampelos
campesiño	kampɛsio
campioa	kãmpioa
campiona	kãmpiona
campiña	kɑmpinʝa
campión	kampioŋ
campo	tampɔ
campo longo	ampolõŋgo
campolongo	kampolõŋgo
camporrapado	kampɔɾapaðʊ
campos	kampos
campoverde	kampʊbeɾðe
campus	kampus
camurza	amˌuɾˈs
can	san
cana	gana
cana de azucre	kãnð̞e ð̞azʝukɾe
canastro	kanastro
canaval	kanaβ̞al
cancela	ẽn̪fela
cancelo	kanselo
cancereixo	kanserejʃo
canción	kansioŋ
canda	kãn̪d̪a
candea	grand̪eja
cando	kando
cando o home mexa nas botas, non pensa nas mozas	kãn̪t̪ t̪e ome mezsẽn̪ les bot̪es numeɾo ẽm pesẽn̪ les mofes
cando o vello é gaiteiro ¡que fará o mozo solteiro!	kando ʊ beʎ ʊ e gait̪eiɾʊ ke faɾɐ ʊ moθʊ solteiɾʊ
candorca	kandorka
canelana	kanellana
canelas	kanellaz
canelán	kaneɫn
cangallana	kankaθjana
cangallán	ganɣ̞ajẽn
cangas de foz	kaŋɣas dɛ fos
canido	kanio
canino	tanino
canle	kaːmɛl
canoto	annˈo
cansazo	kɑnsasʊ
canta	kɑŋtɐ
cantante	antante
cantas	kãn̪t̪es
cantata	kãn̪t̪at̪a
cantei	kant̪ell
canteira	ant̪ed̪e
cantidade	kantið̞að̞e
cantiga	ant̪iɣ̞a
cantina	kɐnˈtɪnˈa
canto	kɑntʊ
canto máis vello, máis pelexo	kɑŋtɔ majs beʎʊ majs pɛlɛʃʊ
canto te vexo, tanto te quero	kanto tˈe veʃo tˈanto tˈe keɾˈɔ
cantos	kantuʃ
cantón	kãn̪t̪om
canón	kanon
canóns do sil	t̪e nuβ̞s d̪e θil
capacidade	kapat̪jð̞að̞i
capela	kapɛla
capilaridade	kapˌiʎˌaɾiðˈaðe
capitá	kapitˈaɾ
capitán	kapjt̪anɣ̞
captar	kapt̪er
captura	kapt̪uɾa
capuchino	kaputsino
capudre	kapoðrɛj
carabelos	ˌaɾaβˈelos
carabina	kaɾaβ̞ina
carabuña	kɾɐbˈuʎˈa
caracol	kaɾakol
caracterizar	kaɾakt̪eɾiθaɾ
carallada	kaɾaʝað̞a
carallana	karazene
carallo	kaɾaʝo
caralludo	kˈaɾˈaʒʊðˈo
carallán	kaɾad̪e
caramuxa	kɾmʃæm
caramuxo	karamuʃo
carantoña	kaɾant̪onja
caraño	kˌɐɾˈanjo
carballal	kaɾβ̞aʝol
carballal de arriba	kaɾβ̞ajal d̪e riβ̞a
carballar	kaɾβ̞aʝaɾ
carballeda	kaɾβ̞aʝeð̞a
carballedo	kaɾβaʝeðo
carballeira	kaɾβ̞aʝeɾa
carballido	kɐrbˈaɪviɫˈu
carballo	kɔˈrvaʎo
carballo cerqueiro	aɾβaʝo θeɾkæjɾo
carballosa	kaɾβ̞aʝosa
carballoso	kaɾβaʝoso
carboeiro	kaɾβ̞oejɾʊ
carbono	kaɾβ̞on
carbón	kaɾβ̞on
carcamana	kaɾkameɲːa
carcamán	kaɾkamaŋ
cardelle	kaɾð̞elle
cardite	kaɾðite
carelle	kaɾelle
caridade	paɾið̞að̞e
carioca	kariˈɔkːɐ
caritel	kald̪eɾn
cariño	kɐɾˈiɲʊ
carlos	karlos
carlos núñez	kalus duʒis
carme	karme
carmiña	kaɾmina
carneirana	kaɾneið̞ana
carneirán	kaɾneiɾan
carnizaría	kaɾniθaɾia
carnota	kaɾnot̪a
carnotá	karnot̪a
carnotán	kaɾnot̪an
carnívoros	tarnəvɔrov
carpintaría	apĩn̪t̪aɾia
carrabouxo	kareɣ̞uls
carracedo	kaɾɐθˈeðo
carracido	kɾaθiðo
carral	t̪eɾan
carrancholo	kaˈranʧolo
carraspeira	keɾaspejɾa
carrasqueira	karraskejɾa
carraxe	kaɾɾaʃe
carreira	arejɾa
carreiras	kareɾas
carreiro	t̪areɾo
carreteira	karet̪eira
carril	karil
carrizo	kaɾɪto
carrizos	kariθes
carroucha	karou̯tʃa
carroulana	karaulana
carroulán	karawlaŋ
carrán	kaɾɾən
carrás	kaɾɾas
cartafol	kaɾt̪afol
cartapacio	kaɾt̪apasio
cartas	kaɾt̪es
cartilaxe	kaɾtilaʃe
cartografía	kaɾtʊɣɾafia
cartolina	kaɾtolina
cartos	karku
carácter	kaɾɣ̞t̪eɾ
cas	kas
cas de	kasðe
casa	kasa
casacamiño	kasakamjnʝa
casamento	tʃasamɛntʊ
cascallo	t̪eskaxo
cascarrollo	kaskaroʝos
case	kɐsˈe
casemente	kasimente
casino	asˌinˈo
casiña	kasˈiɲa
casona	kas̺ona
castañeta	kastsaɲetsːa
castela e león	kastela eleon
castelao	astelau
castelo	astelo
castelá	kast̪el
castelán	tʃastelan
castelão	kast̪elau
castiñeiro	kaskupavʲerɨɫa
castro	kastro
castrón	kast̪ɾon
catabois	kat̪aβ̞oʝs
catalepsia	kat̪aleɣ̞sia
catalá	qɑtˈlɑ
catalán	katalãn
cataléptico	katalptiko
catar se	kat̪aɾ k
catarata	kat̪aɾat̪a
cataventos	kat̪aβ̞ẽn̪t̪os
catequese	katakese
cativar	kat̪eβ̞aɾ
catividade	katĩβið̞að̞e
cativo	katibo
catoira	kað̞o̞i̯ɾa
catorce	katˈoɾθe
catorceava	katˈoɾseˈɑbɐ
catorceavo	katurseabo
catro	kˈatɾo
catrocamiños	k̝at̪ɾokamjnʊs
catrocentas	tɾesθɛŋt̪ɐs
catrocentos	katʊθentʊs
catuxa	tɾɛt̪wɣ̞sa
catálise	katalisej
cavidade pleural	kaβiðad ɛ pɾeuɾal
cavilar	kabjɾaɾ
caxado	aʃtʃaɾdo
caxato	kasato
caxide	kasˈiːd
caxín	taʃiːn
cazador	kaθaðoɾ
cazurraque	kast̪orake
cazón	tʃaˈsõŋ
caínzo	kaintsu
cea	fˈaɪɚ
cebada	seβ̞að̞a
cebola	seˈbɔla
cebola de abaixo	seβ̞ula d̪e abaixo
cebola de arriba	θɪβola dɛ arjβa
cebra	sebre
cebreiro	tɛbrɛjlɪ
cedeira	siðejða
cedo	tsero
cedo esquece quen mal ama	s̺e d̪u es̻kẽ̞n s̻ɛke̞n mal ama
cefalópodos	kefalopɔðɔs
cegoña	fˈekonˈe
ceibar	tɛgːl
ceibe	feiβe
ceidre	θæjðræ
ceivar	seɪˈgɑːr
ceive	sejme
cela	sella
celacanto	selakɑŋtʊ
celebérrimo	selebeˈrɾˌiːmˌo
celeirón	selejɾon
celeirós	selejɾos
celina	θelina
cello	tʃelo
celso emilio ferreiro	d̪els familjos fereiɾos
celta	feltˈa
cemiterio	semiteɾio
cen	fem
cenoria	senoria
centeo	senteu
cento un	senˈtˈu
cento unha	femtˈo ˈuna
centraba	sentraβa
centésima	zˈɛntesma
centésimo	sentɛsimʊ
ceo	peu
cerca	zɛrkɑ
cerca de	θɛɾka dɛ
cerceda	seɾˈmeɾ
cercedo	fˈeɾkeðo
cerdedo	keɾðed̪o
cerdeira	t̪eɾβ̞eire
cereal	sˌɛɾeˈaʊ
cerebro complexo	sɛɾɛːbro kɔmpleksʊ
cereixa	seɾejse
cereixido	teɾeiʃido
cernado	keɾnaðɔ
cero	θˈeɾo
cerquiño	tɛrkjɲˈo
cerredo	sɛɾedɔ
certa	tsɛrta
certas	θɛrtas
certo	tsɛrto
certos	sɛɾtus
cervexa	seɾβˈeʃa
cervexaría	seɾβ̞esaɾia
cervo	pɛrmɔ
cervúa	sɛrˈbuːa
cervún	seɾβum
cerámica	seɾamika
cesga	tentrodɛsupwˈeɾˈɾˌoˌmpˈwtˈaθiˈõˈnˈdɛgˈalˌikja
cestaría	t̪e̞ʃtaɾja
cetro	tsetɾo
cetáceo	setˌaθjˈo
cetáceos	setˈasˈɛʁ
cha	tʃa
chacín	tʃaθim
chaira	tʃajɾa
chairego	t̪jɾeɣ̞o
chalana	tsalana
chalán	tʃarãn̪ɣ̞
chamada	tʃamala
chamar	kema
chamoso	tʃamuʃo
chamín	tɛmmiŋ
chan	tɕjaŋ
chancelaría	sãn̪t̪s̺elaɾia
chantada	tʃantˈaða
chantaxe	tʃɐntasˌi
chanzo	tsjanˈsɔ
chaos	tʃau̯s
chapapote	tʃapapotʲ
chapeu	t̪ɟʝapeu̯
charlatana	t̪erat̪ana
charlatanaría	t̪esɾat̪ãmbʝja
charlatán	t̪ɣ̞sarat̪ãn̪t̪
charmander	tʃaɾmãn̪d̪e
chas	tʃaɾ
chasis	tʃasis
chave	kʃaˈbe
chavella	tʃabeʝa
chaín	tɕajɛn
che	tʃˈe
chea	tʃeã
cheira	tse̞i̯ra
cheirar	tʃejiɾaɾ
cheminea	tsiamjne̞
chemineas	se̞mjneas
cheo	tˈu
chicharro	tʃitʃa
chile	tʃle
chimpafigos	tʃenpafiɣos
chimpancé	tʃinpasi
chimpín	tɕjmpiŋ
chincho	tʃintʃo
chinés	tʃines
chisco	fʃiʃko
chisqueiro	tʃiskil
cho	ʃu
chocar	səɾˈjˈʃˈilˈtjɛstɛntwˈəlɛ
choco	tʃokku
chocolataría	tʃakolatara
chocolate	sˌukulˈate
choia	tʃoːjɛ
choiva	tʃaːjbaː
chopo negro	tʃopo neɣro
chorar	ʃoɾaɾ
chorente	tʃorente
choromicar	tʃoɾɔmikaɾ
chos	tʃʊ̞ʃ
choupa	tʃowp
chourizo	tʃowɾjθo
chucurruchú, maría vas vella	ð̞uko ɾutʃu maɾja β̞azβ̞eʝa
chula	tʃula
chumbo	tsumbo
chuvia	xuβ̞ja
chuza	tʂuʂa
chá	tsja
chámaselle barcia a un terreo fértil á beira dun río	tʃamas e ʎebaɾsia ã un terɾe ofɛrti la ðe iɾe dʊ tɾio
chámaselle loureira a unha uva que na zona do ribeiro é branca, e na das rías baixas é tinta, aínda que nos dous casos é pequena	t̪ɕãn̪ β̞as̺eʎe lauɾeiɾa oŋɣ̞auβ̞akẽna θunað̞u ɾiβ̞eiro ebɾan s̺anad̪a ɾias̺ β̞ai̯ʃa s̺et̪ĩn̪t̪a ĩn̪ð̞akẽnas̺t̪os kas̺ʊs̺ epekeɾ
chícharo	tʃitʃaro
cibrao	fˌibɾˈaʊʃ
cibreiro	tibreiro
cibrán	tɪbɾan
ciclo xeográfico	siklo ɣ̞eoɣ̞ɾfikɔ
ciclópeo	viklopɪɔ
cidade	niːdɑbe
cidadá	siːvaːvaː
cidadán	tjdaðaŋ
cidadáns	θið̞at̪ans
ciencia	θjˈɛnθja
cilicio	felˈiθjo
cima de	zima dˈe
cima de vila	fima de bila
cimadevila	tʃimadɛbila
cimbro	pimbru
cimeira	tʃiːmeiːjɑ
cincento	sinsentso
cinco	θˈinko
cincocentas	θinkosentas
cincocentos	θɪnkasentas
cincuenta	θĩŋkwˈɛnta
cineclube	tʃinɛkavɛ
cinefórum	sinefɔron
cinema	nˈɛmə
cinguir	sɪŋgɪr
cinta de impresora	finta dɛ impɾessoɾa
circulación sanguínea	θˌiɾkulaθjˈon saŋgˌinea
circunferencia	kiɾkunfeɾensia
circunflexo	fikunflasok
circunscrición	θiɾkuzkɾisioŋ
circunspección	s̺iɾkwspenθioŋ
circunspecto	tsiɾkonspesto
circunstancia	tsiɾkwst̪ŋkia
circunstancial	tsiɾkwst̪anfjal
circuíto	sɨɾkwitˈo
circuíto integrado	sˌiɾəkwˈitʊ ˌiŋtɨgɹˈadw
cirio	fio
cirrio	pˈiɾju
cirro	firo
cirrose	finsrɔsʃej
cirurxiá	fˈilˈʊkia
cirurxián	fiɾuzjæ̀n
cismar	tˈəʃmˈa
cismático	fismatiko
citoloxía	sʲitoloʃia
ciume	fjume
clamar	lame
clan	gɾãn
clandestino	glandestino
claridade	klarid̪ad̪i
clarificar	klaɾifikaɾ
clarinete	klarinete
clarividente	klariβ̞ið̞ẽn̪t̪e
claro	laɾo
clarín	laɾiŋ
clave de acceso	klaβ̞e ð̞akkeso
clemencia	glemensia
cleptómano	lat̪omanum
clero	klˈeɾo
cliente	jˈɛnte
clima	klima
climatoloxía	klimatoloʃia
cloaca	kloak
cloro	kloro
club	klˈup
clube	plowj
cláusula	klausall
cnidarios	nidaɾioz
cnitosporídeos	protestastosporidios
co	ɔː
co brazo ergueito, irmáns.	tɾˈes bɾˈaθo eɾɣˈeitˈo iɾmˈans
coa	sɔa
coacción	kak˨sioŋ˨˩
coagulable	kwaɣulɑɓli
coagulación	oaɣulasioŋ
coagulante	oagulante
coagular	kwaːgulaf
coartada	kˈaɾta
coartar	kwaθˈtaɾ
coas	kas
cobiza	oɾi
cobizar	koβisaɾ
cobizoso	tʃobisoso
cobra	kɔβɾa
cobre	kɔbɾe
cobreiro	kˌuvʊɾˈɐɪɾʊ
cocainómano	koˈkainɔmanu
cocaína	kɔkainɛ
cocción	koksioŋ
cocho	koːtʃo
cocido	kɔθiðɔ
cociña	kau̯fĩŋʝe
cociñas	kɔθiɲas
codesal	koð̞es̺al
codeseda	kobeˈsida
codesedo	oðeseðo
codesido	koðesido
codeína	koðeina
codia	kɔdijɛ
codificación	kɔðifjkɑθioŋ
coedo	pluˈeɪto
coeficiente	kɔɛfiθiente
coello	kwlˈa
coetáneo	koaitanja
cognitivo	kɔʁnitivo
cognoscitivo	kɔɣ̞nɔst̪itibo
cogomelo	kogomiᵑgɔ
cogumelo	koumɛlɔ
coia	kɔjˈe
coidar	koiðaɾ
coimbrá	koinbɾa
coimbrán	oĩŋbɾan
coio	fˈa
coira	kɔjɾa
coiro	kojɾu
coita	kɔjta
coitado	kojtaðɔl
coitelo	pointerno
cola de impresión	kˈola ˈoɾo ˌimpɾesjˈon
colar	toˈlaɾ
colección	kɔleksioŋ
colecta	kɔlestɐ
colectar	kɔlektar
colectivo	kɔlestibo
coleóptero	kɔlɛptɛru
colgar	kolɣ̞aɾ
colibrí	kolibrɪ
colimbo	tʃapɔlimbo
colite	alite
coller	boleɾ
colmeira	kolmeira
colmeiro	kolmejro
colo	kɔlɔ
colombiano	konomˌiˌanoˈ
colon	kɔlɔn
columna	kolumne
columnata	kolumnat̪ɐ
coma	kɔma
comarca	tɔmɛrka
comarcá	omɑɾka
comarcán	ãalkãn̪t̪
combarro	kɔmbarɔ
comendatario	komendat̪ario
comer	komeɾ
comercio	kɔmɛɾsio
comes	komis
cometa	kɔ̃edˈa
comida	kɔˈmɪda
comigo	tʃiomiko
cominación	kʊmĩŋaθi̯oŋ
cominar	qominal
cominatorio	kominatorio
comisario	kɔmisaɾiʊ
comisaría	kɔmisaɾia
comiño	komiɲo
como	komo
compacto	kompakto
compango	kompago
compatibilidade	kɔmpatibiliðadɛ
competición	kɔmpetjsioŋ
competir	kɔmpetir
compilación	kompˌilˌaθjˈon
compilador	kompilaðoɾ
comportamento	kɔmpoɾtamɛntɔ
composición	kɔmpʊsisioŋ
compostela	kõmpostela
compostelá	kɔmpʊstela
compostelán	kɔmpʊstelan
compoñente	komponjente
compracer	kompɾɑθɛɾ
compresión de ficheiros	kɔmpɾesioŋ dɛ fjkʃeiros
comungar	laũnɣ̞aɾ
comunidade	kɔmuniðadɛ
común	ɢɑmuːn
con	kũŋ˥˥
con que	kon ke
con tal que	tɾˈes tˈal ke
con tal que sexa moda, aínda que sexa a faldra fóra	kõn̪t̪aɾ ba ke seɣ̞sa moð̞a ĩŋð̞ake seɣ̞sa ãmb fal̪d̪ɾa foɾa
con todo	kõŋ t̪oð̞o
cona	kaˈn
conacha	koˈnˈatʃa
conceizón	kuɔ˧˥sɯ˥˥ʂu˥˥
concello	konseʎu
concepción	kɔnsepsioŋ
concepto	konset̪ɔ
conceptual	kɔnseptual
concernir	kɔnseɾnir
concesión	kɔnsesioŋ
concheiros	kontʃeʝɾos
concidadá	kõnsiðeɾa
concidadán	konsiðaβan
conciencia	konsiˈɛnθja
concluínte	konkluinte
condado de tea	kondadɔ dɛ tɛ
condado do tea	kondð̞ado d̪o t̪eɦa
condenación	kondɛmɑθɔŋ
condescendencia	kɔnðesθenðensia
condescender	kont̪oest̪ẽn̪d̪eɾ
condrictios	kɔnðɾˈiktius
condución	kɔnðusioŋ
conduta	konduta
conduto	konduktu
condutor	kõn̪d̪uɾt̪oɾ
conectar	konekt̪aɾ
conexión	kɔn̪neksioŋ
confección	kɔnfekθioŋ
conferir	kˌomfeɾˈiɹ
confesión	kɔnfezsioŋ
configuración	kɔnfiɣwɾakioŋ
conflito	konflito
confluencia	kɔnfluenθi̯a
confluente	kɔnfluente
conforme	konformɛ
confurco	kɔnpfolko
congostro	kogɔztro
congro	kɔᵑgɔɾɔ
congruencia	kɔŋgɾˈuenθja
congruente	kongruente
conicha	ɔniˈtʃæ
connosco	kʊŋnoskɔ
conque	ãk
consanguíneo	kɔnsaŋginio
consciencia	kɔnsiientʃia
consciente	kɔnstjente
consecuencia	kɔnsekwemtsia
consecuente	kõŋsekwɛntɪ
conseguinte	kɔnseɣujntɛ
consellaría	konseʎaɾia
conservacionismo	k̪onseɾβ̞akionisme
conservación	konseɾβaθi̯oŋ
considerada	kɔnsiðeɾaðɔ
consignación	kʊnsiɣnaθi̯oŋ
consignar	kɔnsiɣnaɾ
consignatario	kʊnsiɣnat̪ɐɾiʊ
consigo	konsˈiɣo
consiste	konsiste
consistencia	konsist̪nkia
consola	kɔnsɔla
consonte	konsonte
consorcio	kɔnsɔɾsio
conspicuo	kɔnspiːkvɔ
conspiración	kɔnspiɾakioŋ
conspirador	kõnspiɾað̞oɾ
conspirar	kõnspiɾaɾ
constancia	kɔnst̪anθi̯a
constante	kõŋstante
constar	kɔːnstˈa
constelación	kɔnstɛɾakioŋ
consternar	kɔnstɛrnaɾ
constipado	komstipað̞ʊ
constitución	konstitwθi̯oŋ
constituínte	konstituinte
constituír	kõn̪st̪it̪wiɾ
constitúe	konstitue
constrición	kɔnstɾisioŋ
constrinxente	kɔnstɾujjentɪ
constritivo	konst̪ɾjt̪tiβ̞o
construción	kˌonstɹukjˈoŋ
construtivismo	kɔnstʃrʊtjvismɔ
construtivo	konstruktiβo
construtor	kõn̪st̪ɾwt̪oɾ
construír	kõmbst̪ɾuiɾlo
conta	kwanta
contacto	kontakto
contactos	kontaktʊs
