(หนึ่ง)ทุ่ม	hŋ˨˩tʰʊm˥˩
คุณแม่	kʰun˧mʰɛː
คุณแม่ทำสลัดให้รับประทานเป็นมื้อเย็น อร่อยมาก	kʰun˧ʔmkʰtʰamɔːsǎl˧tɕhʰrapra˦˥pran˧ʔpen˩˩˦mɯː˧ʔhen˧ ɔːa˦˥rɔːj˥maːk˥
คุณแม่ไปตลาดมาแล้ว	mɛːʔpʰtɔ̀laːjmaːʔlw
คุณโอเคไหม	kʰun˧ʔk̚˨˩aj
คุณให้เงินทอนผมผิด	kʰun heŋ˧˥ɛːn˧tɔːn˧kʰpʰiʰd˥
คุณ​น่ารัก	kʰun˧naːw˧ak
คุน-และ-ผม	kʰun˧ʔl˧a˦˥pʰŋ˧
คุม	xum
คุย	xuːjˈ
คุยกัน	kʰua̯i˥˧n˧
คุยกับ	kʰʊː˧j˥˩pʰ
คุุ้น ๆ บ้างไหม	kʰun˧kʰun˧boaːŋ˧ʔhm
คุ้ม	kum
คุ้มครอง	kʰʊm˥˩kʰroːŋ˧
คุ้ย	kʰuː˧˧
คูปอง	u˨˩pɔ˥˥
คูปอง - ส่วนลดพิเศษ	kʰuːpɔŋsʰan˧n˩˩˦okʰiːajʔseː
คูเรียม	kuːriːam
คู่	kʊ
คู่กรรม	kʰʰuːkʰam˥
คู่จิ้น	kʰuː˧
คู่ต่อสู้	fu˥˩tɔ˨˩˦ su˥˩
คู่นี่เป็นรองเท้าที่ผมชอบ.	pʰuːnn˧iːʰʔpen˧n˧ɔːŋ˧kʰaːwtiːʰʔhom˧tɕɔb
คู่มือ	kumˈa
คู่มือการใช้	kʰuːmɯːk̚˨˩aːn˧jkʰ
คู่รัก	kʰuːrak
คู่หมั้น	koʊ˥˩man˥
คู่แข่ง	kʰuːkŋ˨˩
ค่อนข้าง	tʰɔ̀nkʰaːŋ˧
ค่อย	kʰɔ̀ːiː
ค่อยยังชั่ว	kʰw˧
ค่อยๆ	kʰɔ̀ːkʰɔ̀ː
ค่ะ	tˈa
ค่าง	kʰaːŋ
ค่าธรรมเนียม	kʰaːtʰmn
ค่าธรรมเนียมในการดำเนินการเป็นเท่าไหร่	tʰaː˥˩ʔtʰam˧ʔniːʰj˧mn˧k̚˨˩aːndam˧n˥k̚˥˩aːrpenʔa˦˥rai˥
ค่าบริการ	kʰaː bʔrkaːn
ค่าฝุ่นละออง	kʰaː˥˩n˥˩ʔwaːʔɔ̄ːŋ
ค่าย	kʰlɛː
ค่าเช่า	kʰaː˥˩ʈsʰaː˥˩
ค่าโฆษณา	kʰaː˥˩kʰʊ˥˩ʔsn˧aː˩˩˦
ค่าใช้จ่าย	kʰʰaː˥˩tsʰɐiː˧jt̚˨˩
ค่ำ	dʒoːm
ค่ำคืน	kʰam˥pʰuːn˧
ค้น	kʰun˧
ค้นค้วา	kʰɔːn˧kʰw˩˩˦aː˧
ค้นพบ	kɔ̀np
ค้นหา	kʰon˧haː˧
ค้นหาเว็บ	kʰunhaː˧ʔwp
ค้อน	kʰɔːn˥˩
ค้า	kʰaː˥˩
ค้าขาย	kʰaː˥˩kʰaː˥˩j˧
ค้าง	kʰaːŋ˥˥
ค้างคาว	kãŋ˥˥kʰa˥˥
ค้ำประกัน	kʰaːmpɾakn˩˩˦
ฅ	kʰaː˧kʰl
ฆ	k̚˥˩kʰraː˧kʰaːŋ˧
ฆอ	kʰɔː
ฆาต	kʰaːt̚˨˩
ฆาตกรรม	kʰaːt˥tak̚˥˩ram˥
ฆ่า	kʰaː˥˥
ฆ้อง	xɑŋ˨˩˦
ง	aɣo
ง งู	nooo
งง	nˈoŋ
งงงวย	ŋoŋɲgɔ̀i
งงู	ŋˌuːmˈuː
งด	nˈɔ̃t
งดงาม	n˩˩˦ot˦˥n˧a˥m˥˩
งดเว้น	ljoʔt˧ʰua̞n˧
งบ	nop
งบประมาณ	nopraːma
งมงาย	ŋ˨˩ŋ˧ʔa˥j˥
งมเข็มในมหาสมุทร	ŋ˧mʔm˧n˩˩˦maːhaː˧s˦˥mkʰ
งวง	muwan
งวงช้าง	n˧wŋ˨˩ʈʰaːŋ˧
งวด	n˧uːat˦
งอ	nʲa
งอก	nˈoːf
งอน	ŋɔ̀n
งั้นพรุ่งนี้เตือนให้ผมทำด้วยนะ	ŋan puːŋniːʰʔt̚˨˩ɛːnhʰpʰɔmtʰamt̚˨˩ʰt̚˨˩uj˩˩˦hnɑ
งา	aɾ
งาขาว	n˥˩aːkʰaːw˧
งาดำ	nàːrâːm˥˩
งาน	nˈaɪn
งานการ	ŋ˥˩aːn˥k̚˦˥aːn˥
งานก่อสร้าง	ŋaːn˥kɔːsaːŋ˧
งานของคุณน่าสนใจมาก	ŋ˧aː˧kʰɔ̀ːŋkʰun˧hn˧aː˧sn˧tɕaj˧maːkʰ
งานช้าง	n˧a˥˧n˧tɕaŋ˥˩
งานธุรการ	ŋaːn˩˩˦tʰua̯ɔːraːkaː˧r
งานประจำ	nɛːn pratsam
งานพิเศษ	ŋaːn
งานวิจัย	naːn˧ʔtɕaj˧
งานอดิเรก	naːn˧ʔabireː˧
งานเขียน	ta˥˥n˥˧kʰian˨˩
งานเลี้ยง	ŋaːn˩˩˦liŋ˧
งานแต่ง	ŋ˧an˩˩˦tɕŋhɔːŋ˧an˩˩˦tɕŋ˧an˩˩˦
งานแต่งงาน	ŋ˧ɛ̄ːn˥˩ʔtŋ˧ɑːn˥˩
งานแสดงนิทรรศการ	ŋaːrst̚˨˩ɛ̄ːn˧tʰâːskɑːr
งาม	mãn̪t̪
งิ้ว	niu
งู	moː˩˧
งูกินหาง	n˧ua̯kin˩˩˦haːŋ˧
งูจงอาง	ŋ˨˩ʰʔâːŋ˧˥
งูหางกระดิ่ง	ŋ˥˥ua̯˧˧haː˥˥ŋ˧˧k̚˦˥a˦˥ʔdin˦˥
งูเหลือม	ŋuːlɯm
งูเห่า	lˌoːnˈɛ
งูใหญ่	ŋ̍˩˦uː˧jɐj˨
ง่วง	n˧uaŋ˨˩
ง่วงนอน	muð̞no
ง่าย	nˈaɪ
ง่ายง่าย	ŋaːi˥˥ŋaːi˥˥
ง่ายดาย	nʝdaːj˧
ง่ายๆ	ŋaːjɲaːj
จ	tɕɔːtɕaːn
จ จาน	dˌiːzəlˈaːt
จงกล	tɕɔ̀ŋ˥k̚˦˥l
จงกล่าวเถิด มุฮัมมัด ข้าพระองค์ขอความคุ้	tɕŋ˩˩˦k̚˨˩laːw˧ʈʰɛːtʰmʰɑmɑʈʰ
จงฟัง	tɕʰɔ̀ŋ˧faŋ˥
จด	tɕʰoːt
จด ๆจ้อง ๆ	tɕot̚˨˩ʰtɕot̚˨˩ʰaŋaŋ˥
จดจำ	t̚˨˩tɕam
จดทะเบียน	t̚˨˩ʰtʰj˧n˧
จดลิขสิทธิ์	tɕt̚˨˩liːkʰt̚˨˩
จดหมาย	tɕot̚˨˩maːj
จดหมายเหตุ	tɕt̚˨˩maːjʔʰ
จน	jɔːn
จนกระทั่ง	ʈn˩˩˦pra˨˩ʃaj˧
จนกระนั่ง	t̪empɾe am
จนกว่า	tɕonkwaː
จนถึง	t̚˨˩n˧ŋ˧
จนเบื่อ	ʈʰan˩˩˦ʔeːa˦˥
จบ	tʃop
จบแล้ว	pʰlɛ̄ːw
จม	sɔm
จมูก	dˈɛɹ mˈɔɹ
จรดล	tɕɔːra˦˥t̚˨˩n
จรรยา	an˥˩ja˧˧
จรรยาบรรณ	tɕaŋ˥˩nɑ˥ban˥˩
จรวด	tɕaːrwt
จระเข้	ʔkʰɔːra˦˥ʔkʰ
จระเข้ (จอ-ระ-เข้)	dʒoːɾakːei̯
จราจร	tɕa˦˥raːtɕɔn
จริง	lɪŋ˨˩˦
จริงจัง	tsiŋ˥˧tɕaŋ˥˥
จริงหรอ	tsiŋ˧hɔː
จริงหรือ	tɕĩŋ˥˥ rɚ˧˧
จริงเหรอ	rɪŋ˧hrɔ
จริงใจ	tsig tsai
จริงๆ	tɕiŋ˥˥tɕiŋ˥˥
จลาจล	tɕa˥˥laː˥˩ʈʰon˧
จวน	tua̯n
จวนเจียน	tɕn˧ʈj˧n˧
จอง	tɕjɛ˥˥
จอด	saːr
จอดตรงรถคันสีฟ้าค่ะ	tsʰit˦tsʰiː˨˩ faː˨˩
จอมทอง	tɕɔːm˧tʰɔ̀ːŋ˧
จอมทัพ	kʰɔːm˧tʰap̚˥˩
จอมทัพไทย	tɕɔ̀ːm˧tʰapʰ
จอแจ	dʔtɕɛ
จะ	dˌa
จะขอเป็นกำลังใจให้ตลอดไป	tɕakʰɔːp̚˨˩rɛːam˧n˧áŋ˧tɕaj˧hʰt̚˨˩a˨˩lɔːt̚˨˩paj
จะตาย	tɕat̚˨˩t̚˨˩aaː˧j
จะถูกเก็บไว้อย่างถาวร	ʥaːtʰɯ̀k˥ʔbʔwʔjaː˧ŋ˧tʰaːwɔːn
จะสั่งอะไร	ʥaːsaŋ˩˩˦ʔa˦˥rai˥
จะเข้	tsakʰe
จะเป็น	tɕaʔtn
จะเห็นว่ามันดีกว่า	tɕajhvaːmaːrdiː˧k̚˨˩waː
จักจี้	tɕakɑtʰi
จักร	tsak
จักรยาน	tɕaːk̚˦˥ra˦˥jaːn˧
จักรยาน‎	tja˥˩kja˥˥n˥˩
จักรวาล	tɕaːk̚˦˥n˩˩˦aː˧n˧
จักรี	tɕakriː
จักรเย็บผ้า	tɕak̚˨˩ʰkʰpʰaː˥˩
จัง	san˩
จังหวะ	tɕjɛŋ˥˥
จังหวัด	sa˨˩wat˦
จังเลย	tɕaŋ˥lɤj˥
จัดการ	tɕat̚˨˩kaːt̚˨˩
จัดการโฟลเดอร์	tɕat̚˨˩k̚˦˥aːn˩˩˦ʔfodaː˩˩˦ʔ
จัดงาน	tɕapŋaːn
จัดจ้าง	tɕat˦˥tɕaːŋ˥˩
จัดจ้าน	tɕat̚˨˩tɕaːn˧
จัดซื้อ	tɕat̚˨˩ si˥˩
จัดซื้อจัดจ้าง	tɕat̚˨˩zɯː tsat̚˨˩zaːŋ˧
จัดตั้ง	tɕat̚˨˩taːŋ˥˩
จัดทำ	tɕat̚˨˩tʰam
จัดส่ง	tɕat̚˨˩sʰŋ˥˩
จัดหา	tɕat̚˨˩haː˧
จัดอันดับ	tɕaːk̚˨˩ʔan˩˩˦daːp̚˥˩
จัดเก็บ	tɕat̚˨˩rp
จัดแถว	tɕatʰa̯w˧
จัตวา	tɕat˦˥tʰa˥˥waː˥˩
จัตุรัส	tɕat̚˨˩toʔratʰ
จันทบุรี	t̪ãn̪t̪a buɾiː
จันทบูร	tɕant˥˩ʰbun˧
จันทรคติ	tɕaːn˩˩˦tʰɔːraːkʰt̚˨˩
จันทรุปราคา	tɕajn˧haːn˧praːkʰaː
จันทร์	san˩
จับ	tɕap
จับคู่	tɕap˦˥kʰuː
จับฉ่าย	tɕap̚˦˥tɕʰaːj˩˩˦
จับด้วยมือ	ʈabʔt̚˨˩ʰwj˩˩˦mɯːɔː
จับตาดู	tɕap̚˨˩taː˩˩˦duː
จับมือ	tʃapmɯ
จับมือกันเดินข้ามมา	ʈabʰmɯ̄ːʔn˧ʰdɛːn˧kʰʰaːmmaː
จับเจ่า	tɕat̚˨˩t̚˨˩aːw˧
จั่ว	dʒua
จั๊กจี้	tɕak nt̚˨˩a˥ʔì
จา พนม	kaː panom˩˩˦
จาก	tɕaːk
จากนั้น	saːmiːn
จากบนลงล่าง	t̚˨˩aːk̚˦˥bwlŋ˧laːŋ˧
จากภายนอกเธออาจดูเหมือนเป็นปกติ	tɕaːk̚˨˩pʰâːj˧n˧ɔ̄ːk̚˨˩ʔtʰɔːaːʥaːduːʔhmɯːɔːktiʔ
จากยอดเขานี้ สามารถเห็นทะเลหมอกได้	t̚˨˩aːk̚˨˩rj˧ʔdkʰaːn˥˩iːʰsaːmaːrtʰʔhen˧tʰa˦˥rmɔːk̚˦˥ʔt̚˨˩ʰ
จาคะ	tɕaːkʰaː
จาง	tsa˥m˥˩
จาน	dʑaːn
จาม	tɑːm
จามจุรี	tʃaːmdʒʊriː
จารกรรมทางอุตสาหกรรม	tɕaːraːk̚˨˩am˧tʰaːŋ˧ʔut̚˨˩saːhk̚˨˩am
จำ	tsam
จำกัด	tʃãŋ˨˩ kan˨˩
จำกัดความ	tɕam˧kat̚˨˩kʰwaːm˩˩˦
จำคุก	tɕam˧kʰúk
จำนวน	tɕam˧n˧ua̯n˩˩˦
จำนวนจริง	tɕam˧duən˧ciən˧
จำนวนจินตภาพ	tɕam˧n˩˩˦wɔːn˧k̚˨˩n˩˩˦tʰaː˧pʰaː˧
จำนวนมาก	tɕam˧n˧w˧nmaːk̚˦˥
จำนวนเชิงซ้อน	tɕam˧n˩˩˦uːn˧ʃʰɛŋ˧sʔn
จำปา	tɕa mpaː
จำปาศักดิ์	tɕam˥paːt̚˨˩ak̚˦˥
จำปี	tɕaːm˧ɔ̀
จำพวก	tɕam˧pʰuːa˥k̚˦˥
จำลอง	tam˨˩lɔːŋ˧˥
จำหน่าย	tɕamnaj
จำเป็น	tɕam˥pen˧
จำเป็นต้อง	sanpen˨˩tɔ˥˧
จำเลย	tɕamlɤj
จำเลยรัก	tɕam˧lɤj˧raːk̚˨˩
จำได้	tɕamʔt̚˨˩ʰ
จำไม่ได้	pʰam˧ajʰʔt̚˨˩ɛː
จิงโจ้	tsiːm˨˩tsɔː˧
จิต	tɛː˥˩
จิตตภาวนา	t̚˨˩taːpʰaːw˧naː
จิตตะ	k̚˦˥ta˥˩
จิตรกร	tsit˦˥traː˧˧kɔːn˧˧
จิตรกรรม	tʃit̪ traːˈkam
จิตวิทยา	kʰit˦˥tʰ˥jaː˧
จิตวิเคราะห์	tɕit˦w˧kʰɔː˧
จิตแพทย์	t̚˨˩stapʰeːt̚˥˩
จิตใจ	t̚˨˩t̚˨˩t̚˨˩ʰt̚˥˩
จินตนาการ	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
จินตนาการถึง	tɕint̚˨˩an˧aːk̚˨˩aːn˩˩˦hŋ˧
จิรกิตติ์ คูอาริยะกุล	tsiːraːˈkid xʊːaːriːaːn
จิรายุ	k̚˨˩rai˥
จิรายุ ตั้งศรีสุข	kʰi˧raː˥˩j˥˩uːk̚˨˩aːŋ˥˩sì˧k̚˨˩
จิรายุ ละอองมณี	raːjuː ˈɛra ɔːŋmaniː
จิ้งจก	tɕkɯ˥˥tɕkɯ˥˥ tɕkɯ˥˥
จิ้งจอก	tɕĩŋ˥˥tsɔː˧˥
จิ้งหรีด	tɕʰŋ˧p̚˥˩
จิ้น	il
จิ้ม	tʃim˨˩
จิ้มลิ้ม	tsʰiːm˥˧
จิ๋ว	tsiu˨˩
จีน	tɕiːn˥˧
จี้	ti˥˩
จี๊ด ๆ	tsi˧˧tsi˧˧
จึง	tsiŋ˨˩˦
จืด	tɕʰiːn˧˥mɪt˥
จุ	tjo
จุงเบย	ŋ˨˩bɤj˧
จุดด่างดำ	t̚˨˩daː˧ŋ˧dam˧
จุดประสงค์	tɕʰt̚˦˥tra˨˩sŋ˧
จุลทรรศน์	n˩˩˦a˦˥tʰaːt̚˨˩
จุฬา	laː
จุฬาลงกรณ์	tʰulaːlŋkʰɔ̀n
จุฬาลงกรณ์มหาวิทยาลัย	hɔ̀laːlɔ̄ŋkɔːn˧hm˥˩ǎːhaː˧wjt̚˨˩tʰjaː˧aj
จุ๊บ	tɕú˧˧
จูบ	dˈu
จู่โจม	to˧˧m˥˩
จู้จี้จุกจิก	tsi˥˧tsuk˨ tsik˦
จ่ามงกุฎ	tɕaːmungkut
จ่าย	tsai
จ่ายด้วยบัตราเครดิตได้ไหม	tɕaːj˧t̚˨˩ua̯j˩˩˦bat̚˨˩kʰr˧edit˥ʔt̚˨˩ʰm˥˩
จ่ายด้วยบัตรเครดิต	tɕaːj˧t̚˨˩ʰua̯j˩˩˦bat̚˨˩ʔkʰrp
จ่ายด้วยเงินสด	tɕaːj˧t̚˨˩ʰwjn˧sat̚˨˩
จ่ายเงินที่ไหน	tɕaːj˧n˧tʰiːʰhn˧
จ่ายแยก	tsaːjˈev
จ่าอากาศเอก	t̚˨˩aːɔːk̚˦˥aːt̚˨˩ʔk
จ้อง	sõŋ˨˩
จ้ะ	sap
จ้า	ja˥˩
จ้าง	tɕaŋ˥˩
จ๊ะ	sˈa
จ๊ะเอ๋	tɕatʰjɛ
จ๋อ	tɔː
จ๋า	tɕaː˨˩
ฉ	tsʰŋ˨˩
ฉ ฉิ่ง	tɕʰɔːʈʰan˥
ฉก	tɕʰok
ฉบับ	tɕʰap̚˨˩bab
ฉลอง	tʃalɔ̄ːŋ˦˥
ฉลองพระบาท	ʃaŋpʰa˥paːt̚˨˩
ฉลองพระองค์	ʈʰal˧ɔ̀ŋ˧pʰaːŋ˧
ฉลาก	tɕʰlak
ฉลาด	sæn˩˥
ฉลาดเกมส์โกง	tɕʰla˥t̚˨˩rk̚˦˥amjkŋ˧
ฉลาม	tɕaalaːm
ฉะนี้	ʈʰan˩˩˦i˦˥
ฉะเชิงเทรา	tɕʰɛːn˧sraː
ฉัน	ʈʂan˨˩
ฉัน ไม่เข้าใจ ค่ะ	ʈʰan˦˥ajʰkʰʰaːtɕaː˧a˦˥
ฉันกราบพระก่อนนอนทุกคืน	tɕʰank̚˦˥raːpʰpʰlaːk̚˦˥ɔːnn˧tʰuk̚˦˥n
ฉันกิน	tɕʰan˨˩kɪn˥˥
ฉันขอร้องคุณ	ʈʰan˩˩˦kʰɔː˧nɔːbkʰuː
ฉันขอเบอร์โทรศัพท์เธอได้ไหม ?	ʈʰankʰɔ̀bɯːrtʰn˧a˦˥tɕʰʔptʰɔːʔt̚˨˩o
ฉันขอโทษ ฉันไม่ได้ตั้งใจ	tɕʰak̚˦˥kʰɔːtʰɔːtɕak˥ʔn˧tɕaj˧
ฉันขี่จักรยานไปโรงเรียนทุกวัน	tɕʰǎn˧kʰiːtɕaːkk̚˥˩ra˦˥jaː˧n˩˩˦pajrn˧ŋ˧ʔriːj˧n˧tʰukʋan˧
ฉันคลื่นไส้	ʈʰan˩˩˦n˥˩j˧
ฉันจะ	tsiaŋ˨˩satʰja˥˧
ฉันจะพบหมอได้เมื่อไหร่	ʈʰan˩˩˦tɕapʰʔpʰom˧ɔːʔdʔeːʔhr
ฉันจะหาร้านขายยาได้ที่ไหน	ʈʰantɕahaːrɑn˥kʰaːj˧aːʔt̚˨˩owtʰiːajhn˧
ฉันจะให้โอกาสคุณ ... หนึ่งเดียวกับที่คุณ	ʈʰán˩˩˦ʥaːhʰɔ̀ːk̚˦˥aː˥˩̚˥˩ɔːkʰun˧hŋ˧ʔdew˧p̚˥˩tʰiːʰkʰun˧
ฉันจำไม่ได้หรอก	ʈsamajʰʔhlɔk
ฉันชอบกินข้าว	ʈʰán˩˩˦tɕʰɔ̀bk̚˥˩in˧kʰaːw˥˩
ฉันชอบกินผลไม้แอปเปิ้ลค่ะ	mɑn˧ʔk̚˦˥n˧pʰaːn˧m˧aːj˧ʔp̚˥˩n˩˩˦kʰaː˧
ฉันชอบกินผัดไทย	ʈʰan˧t̚˨˩rk̚˦˥in˩˩˦pʰáj˧tʰaj˧
ฉันชอบกินผัดไทยค่ะ	ʈʰan˩˩˦tɕofk̚˨˩n˧at̚˨˩pʰjkʰaː˧
ฉันชอบคุณ	ʈʰan˩˩˦tɕʰɔ̀bkʰun˧
ฉันชอบคุณมาก	ʈʰan˧tɕʰɔ̀k̚˦˥kʰunma˥t̚˨˩
ฉันชอบดื่มกาแฟมาก	ʈʰt̚˨˩ʈʰɔ̀bʔt̚˨˩ŋ˧ʔkaː˧ʔfʔmaː
ฉันชอบรอยยิ้มคุณ	ʈʰan˩˩˦tɕʰʰaːp˥˩ʔn˧aː˥˩mkʰun˧
ฉันชอบสีดำค่ะ	ʈʰan˩˩˦tɕɔːbsiːʰdam˧kʰaː˧
ฉันชื่อโซเฟียค่ะ	ʈʰan˩˩˦tsʰɯː˧ʔsʰw˧fʔkʰaː˥˩
ฉันดื่ม	ʈʰan˨˩lɤ̄ːm˥˩
ฉันต้องการความช่วยเหลือ	ʈʰant̚˨˩ŋ˧k̚˦˥aːrkʰw˧aːmtɕʰʰw˩˩˦ʔhɔː
ฉันต้องการคืนสินค้า	ʈʰant̚˨˩ɛːtɔŋ˧k̚˦˥aːrk̚˦˥ɛːn˧n˧srn˩˩˦kʰaː˧
ฉันต้องการถอนเงิน	ʈʰant̚˨˩ŋ˧k̚˦˥aːrtʰɔːn˧n˩˩˦
ฉันต้องการฝากเงิน	ʈʰant̚˨˩ŋ˧k̚˦˥aː˥˩ɔːn˧faːk̚˦˥ʔɛn˧
ฉันต้องการโอนเงิน	ʈʰant̚˨˩ŋ˧k̚˦˥aːr˧ʔɔ̀ːn˧ʔn
ฉันต้องไปเสียภาษีศุลกากร	ʈʰan˩˩˦tɔːŋ˧pajrsiːapʰaː˧rsiːn˧a˦˥k̚˦˥n˩˩˦a˦˥k̚˦˥n˩˩˦
ฉันทนา	tɕʰaːmfn˥˩aː
ฉันทะ	srʌn˥tʰaː
ฉันทานแลคโตสไม่ได้	ʈʰan˧tʰaːn˧n˧áktʰɔː˧jmaajʰʔdʰ
ฉันทานแล็กโทสไม่ได้	n˧tʰaː˥˩ʔlk̚˨˩t̚˨˩dajʰʔd̚˨˩
ฉันท้องผูก	tɕʰan˧tʰɔ̀ŋ˧
ฉันท้องเสีย	tɕʰann˩˩˦tʰɔːŋ˧s˦˥j˧
ฉันท์	tɕaːt̚˨˩n˧
ฉันบอกให้เขากลับไป	ʈʰan˩˩˦bɔːk̚˨˩hʰkʰaː˧k̚˦˥láp̚˦˥paj
ฉันปวด	tɕʰan˩˩˦pɯ̄a˥d
ฉันปวดหลัง	tɕʰan˧pɯ̄a˥dhlaŋ˧
ฉันปวดหัว	ʈʰan˩˩˦pua̯t˥˩hua̯˧
ฉันมาจากประเทศไทย	ʈʰan˩˩˦maː˧ʈaː˧k̚˨˩pratʰeːstʰj
ฉันมาจากเม็กซิโกค่ะ	ʈʰanːaːʥaːk̚˨˩mɕk̚˨˩koː˧kʰaː˧
ฉันมาจากไต้หวัน	ʈʰǎn˧maːtɕaːkʰtɔːj˧wan˧
ฉันมีความสุขที่สุด	ʈʰan˩˩˦mi˥kʰwaːm˧k̚˨˩tʰiːʰt̚˨˩
ฉันมีความสุขมาก ๆ	ʈʰan˩˩˦mi˥kʰwaːm˧k̚˥˩mɑːk̚˥˩maː˧k̚˦˥
ฉันมีผื่น	tɕʰan˧miː˧pʰɯ̀ːn˧
ฉันมีรอยบาด	tɕʰan˩˩˦miː˧rɔːj˧baː˧t̚˨˩
ฉันมีอาการเดิมอยู่	tɕʰan˧miːʰɔːk̚˨˩aː˧ɔːn˧ʔt̚˨˩mɔ
ฉันมีเหตุฉุกเฉิน	tɕʰan˩˩˦mi˥ʔht̚˨˩tɕʰɯ̀kʰtɕʰɔ̀ːn˧
ฉันมีใบเสร็จ	ʈʰan˩˩˦mi˥baː˧j˧ʔst
ฉันมีไข้หวัด	ʈʰan˩˩˦mi˥kʰɛːi˥ɔː wat̚˨˩
ฉันยังมีความหวัง	ʈʰan˩˩˦jaː˥˩ŋ˥miːkʰw˧aː˥˩m˥˩hwaŋ˧
ฉันรักคุณ	ʈʰán˩˩˦rák˥kʰun˧
ฉันรักคุณ๚	ʈʰan˩˩˦rak̚˨˩kʰun˧
ฉันรักเธอ	ʈʰan˩˩˦rák˥ʔtʰɔː
ฉันรักไทย	ʈʰán˧rák˥kʰaj˧
ฉันรับของได้ที่ไหน	ʈʰán˩˩˦rábkʰɔːŋ˧ʔt̚˨˩ʰtʰiːʰhn˧
ฉันรับมือได้	tɕʰǎn˧ráp̚˦˥mɯːʔt̚˨˩ʰ
ฉันรู้สึกเศร้าใจที่ได้ยินข่าวร้ายของคุณ	ʈʰan˦˥ʔuːk̚˨˩sʰaː˧w˧tɕaj˧tʰiːajt̚˨˩iːajn˧kʰaː˧wraːj˧kʰon˧
ฉันลองใส่ได้ไหม	ʈʰǎn˧n˧ŋsaj˧ʔt̚˨˩ʰt̚˥˩ʰoɔ̄ːhm
ฉันลืมรหัสผ่าน	ʈʰam˧mraːt̚˨˩pʰaːn˧
ฉันลืมรหัสพิน	ʈʰan˧m˥˩raːhaː˧dpʰiːn˧
ฉันวางหนังสือไว้บนโต๊ะ	tɕʰǎn˧hwaŋ˧hŋ˩˩˦sɯ˥˩ʔhw˧jbn˧t̚˨˩ɔːp̚˥˩
ฉันวางแผนที่จะเรียนภาษาไทย และ ทำอาหารไท	ʔn˧aː˧ŋ˧ʔpln˧tʰiːʰʥaːj˧rj˧ɔːn˧pʰaː˧sa˨˩aː˧ʔtʰa˨˩ʰtʰam˧âːhaː˧ŋ˧kʰŋ˧
ฉันวางแผนที่จะไปเที่ยนวเชียงใหม่ในเดือนส	ʈʰan˩˩˦hwaŋ˧pʰn˧tʰi˥ʰʥaːpajʔtʰeːa̯ʔtɕʰj˧ŋ˧hn˧ʔn˧ɛ̀w˧
ฉันสวยมั้ย	ʈʰān˧wj˥ʔhm
ฉันหิว	ʈʰan˥�˥heʊ˨˩
ฉันอกหัก	tɕʰan˧ʔɛk̚˨˩har
ฉันอยากรู้ยอดเงินคงเหลือ	ʈʰan˩˩˦ɔːjaː˧k̚˦˥ɔːjaː˥˩ʔnn˩˩˦kʰŋʔ
ฉันอยากไปปรึกษาคุณครู	ʈʰan˧haːkpajk̚˥˩saː˩˩˦kʰun˧kʰɔː
ฉันอายุยี่สิบเจ็ดปีค่ะ	sanɔsipʰ tɕæpːiːkʰaː
ฉันเจ็บคอ	ʈʰant̚˨˩ʰbkʰɔː
ฉันเป็น	ʈʰan˨˩rɛːn˥
ฉันเป็นคนไต้หวัน	ʈʰan˩˩˦rpɛnkʰon˩˩˦tot̚˨˩ʰaːnhʋaː˥˩n˧
ฉันเป็นโรคหอบหืด	ʈʰán˩˩˦rpen˧roːfhʔɔːrd
ฉันเป็นไข้	ʈʰan˩˩˦rpen˧kʰaj˥
ฉันเรียนภาษาไทยกับครูโบค่ะ	ʈʰankʰʔjn˧k̚˨˩aː˧sʌːkʰt̚˨˩am˧ɔ̀bn˧
ฉันเรียนภาษาไทยเพราะฉันชอบประเทศไทยและ	ʈʰan˩˩˦ɔːn˧kʰráːsaː˩˩˦ʔtʰj˧pʰʋɑ ʈʰan˩˩˦ʈɛʋ˧kʰɔːsatʰj˥ʔlua̯
ฉันเหนื่อย	ʈʰan˩˩˦ʔɛj˧
ฉันไม่ชอบ	ʈʰan˩˩˦ajʰtɕʰɔ̄ːb
ฉันไม่สบาย	ʈʰan˩˩˦ajʰs˦˥baː˧j˧
ฉันไม่เข้าใจ	tɕʰan˧ajʰkʰʰaː˧tɕaj˧
ฉาก	�˥tʰaː˥˩
ฉาง	tɕʰaŋ˨˩
ฉาน	tɕʰaːn
ฉาบ	tɕʰaːm
ฉาย	tɕʰaːj
ฉิ่ง	tɕʰiŋ˨˩˦
ฉีด	tɕʰiːd
ฉีดยา	si˨˩ja˥˧
ฉี่	si˥˩
ฉุก	sˈo
ฉุกเฉิน	tɕʰuk̚˦˥ʈʰɤn˧
ฉุน	n
ฉู่ฉี่	tsuki
ฉ้อ	tɕʰoɔː
ช	tɕʰɔ̀ʃaŋ˧
ช ช้าง	tʰaːm
ชก	tɕʰoː˨˩
ชง	tsʰʊŋ˥˥
ชงกาแฟใส่แก้วกาแฟได้เลย	tʃŋ˩˩˦kʰafʔtrsaj˧ʔkj˧w˧kʰaf˥˩ʔt̚˨˩ʰlɤj
ชงชา	tɕʰʰaː
ชงโค	tɕʰʊŋ˨˩hoː˧˧
