aaв	av
сайншанд	sjˈænt
сайтай	seːtɛr
салхи	sɛst
салхивч	sæɮtɕuew̜w̜
самандын жавхлан	samɴtʰiːn tɕaaɢɮaaŋ
самбар	sambɑr
самбарыг	saˈmbɾejk
самнах	sanna
самрах	sɑmɑraχ
санагдах	sanɑkdɑq
санах	sanɑq
санацгаа	anatsɯkaː
сандаал	sandɑˈr
сандал	sˈɑndəʃ
сандаль	saːndaːr
санжаасүрэнгийн зориг	saːndʒɑ suɾuŋuŋ zøɾk
сансар	sænsɑɾ
санчир	santʃɯɾ
сар	sar
саримсаг	særimsɯ̞k
сармагчин	sɑrmɯ̞qtʃiŋ
саруул	sɐro̙o̙ɮ
сарын	sɐrɪːn
сибирь	sibir
сингапур	sʲɛŋapur
сойз	sɛts
солигдох	sədepˈɑ̃
солонго	sɔ̙ɮɞ̙ᵑg
солонгос	sɐɵɮɐqas
сонгино	saŋgən
сонголт	saŋgoʃt
сонгох	sɑŋɢɯ̞h
сонгууль	saŋgoʃ
сонирхдог	sɑnɯ̞rqtɯ̞k
сонирхдог ном	sɑnʲɪrqtʲɪk nɑm
сонирхолтой	sænɪ̞rχɑɮsɪ̞tæe
сонирхох	sɛnɪ̞ɾχɑq
сонордуулбал	sanɐrtʰoːrpɑɮ
соёл	χäɪ̞ɮ
соёлын	saiːθiŋ
судас	sotːes
судлал	sotsiˈlɒʃ
сурагчид	sʊ̞rʊ̞qtʃɪt
сурах	arɑq
сурвалжлага	sʊ̞rʊ̞ɫtʃɪ̞ɫɛn
сургах	forkɑh
сургуулийн	srɔːɬiːn
сургууль	sɯ̞rɯ̞qɯ̞æ̹l
сурна	sawrɯnˈnɯ
суудал	suɫɯ̞tɯ̞r
суулгах	so̙o̙ɮkɐχ
сууна	sɔːna
суух	fˈɔʁ
сэдвээр	zˈɛstvˈeːɾ
сэлэнгэ	sʲilɪ̞ŋk
сэлэх	sɪ̞fɪ̞k
сэргээж	sɪrˈkɪtʃ
сэрх	ɕir
сэрээ	seɾɪ
сэтгүүл	sʲikuz
сяньби	sjɛn˨˩bi˧˧
сүбэдэй	supeite
сүйрэл	syːrɪx
сүм	sum
сүмбэ	sump
сүмбэр	sumbɪ̞r
сүмс	sumsˢ
сүрхий	sʊɾhʲiː
сүрьеэ	sʏɾjɛ
сүрэглэх	suɾɛklɛk
сүсэг	sustˈɛk
сүхбаатар	sʏgɑtɑr
сүхбаатар дүүрэг	tsuχvatr durɨk
сүү	sˈu
сүүдэр	sʏtr
сүүтэй цай	sutɛtsɛ
сөрөх	ɾɯv
та	dak
та нар	tʰɐ̙ɪ̞nɔ̙ɮ
тааз	tɑːts
таалагдах	tʰaːsalpɑχ
тав	tɑːv
тав тухтай хооллох	tʰæw tɔ̙χtaa χɔ̙ɬɔ̙ɢ
таваг	tɑwɯ̞k
тавтай морилогтун	tʰɑrtʰæe mørɬɵχ tʰuŋ
тагнай	t̪aknæ
тагнуулын ерөнхий газар	kɔ̙knɔːɬnɪ irɵkʰiːɮ e̝k äːtsɞ̙r
тагтаа	daxta
тайван	tɛ̀vɛŋ
тайчууд	pˈeɪtɹɪk
тал	kʰæːr
талархах	kʰäːsɑrχɑɐχ
талбай	tʰaɮpæe
талх	qɑsx
тамга	tɑmɑq
тамсагбулаг	tʰɐnsɪ̞kpɔ̙ɮɔ̙k
танай	tʰɤ̀ŋɛ
танил	pekin
танхим	m
тар	ar
тарав	tʰaːraw
тараг	tʰɑrɑx
тарах	dara
тарвага	χɑruq
тариа	t̪e̞ræf
тариалан	tɛrɛpɪ̞ŋ
тарни	χæjrɪm
тархи	parʲɪ
тарь	hær
тасалгаа	tʰɐtsɐɮɢa
татах	tɑtːɑ
татвар	tɑtɯ̞r
тахиа	taˈɕiʁ
тахианы	takeame
тахианы мах	t̪ekjano emaq
тахийлгах	tæeɮɢɑχ
тахил	hɛχɪ̞q
тахь	tˈæθ
ташуур	taʃuɾ
тв шоу	tɔːk ʃauː
театр	tʲeatr
титан	seka
товлох	tʰɐrʃɐχ
товчилсон нэр	tʰɐχtɕe̞ɮɐŋ nʲir
товчлон	tʰɞ̙w̜tɕɮɔ̙ŋ
товчоон	tɨftɕɔm
тоглогч	tʰɵgɵɮɵktɕ
тоглоом	tɔ̙kk̚˥ʃɔːn
тоглосон	tɑdlɑsɯm
тогоруу	tɐʁrɑ
тогтнол	tʰɔ̙χɔ̙tnɔ̙ɮ
тодруулах	tʰɐpro̙o̙ɮɐχ
тойрог	tœrokɛ
токио	tɔkio
толгой	tʰaʰ̞sgaʔ̞
толь	aʃ
томд нь	tʰamɔ̙
томруулдаг шил	tʰɔ̙mɾo̙ɮtʰɪk ʃiɮ
тоншуул	tʰɞ̙nʃɔ̙ɬ
тоор	tʊr
тоормос	tʊ̞rmʲs
тоох	tˈɔʁ
тос	tos˧
тосгон	tˈəsʁˈɛ̃
тоть	tɛt
тохилог	tæɐχtɮɐk
тохиол	kʲæˈʃ
тохой	tʰɤˈʃɛ
трактор	tʊ̞rɑktʊ̞r
трамвай	qɔːnˈbɛ
тугал	pɔʁɑs
туйлын	toɪl
тулааны талбар	tʰɵsɑn tʰäːs pər
тулга	tusqa
тулуй	kʰiː˨˩˦tʰoʊ˥˩˦sɯ˥˩i˥˩
тун завгїй	tʰo̞˧˧tsaʊ˨˩ue˨˦
турк	tʊrk
тусгал	tʰɞ̙sɪ̞kaas
туслаарай	tsɯgɯsɯeɾe
туслаарай!	tæfɫe
туслаач	həˈkanə
тутарга	tʊ̞tʊ̞rɑk
тухай	tʰu˨˩˦xaj˥˩
тухтай	tɔχtɛ
тэвчээр	t̪iftʃɛr
тэд	tɪ̞t
тэжээх	tito
тэмдэг	teˈmdik
тэмцэлдэх	tʰɪmtsɪɮtʰi̞
тэмээ	tɕimeː
тэмээн хяруул	tʃɛŋ heɾɒs
тэмүжин	tɕiŋ˨˩wtɕiŋ˥˩
тэмүүжин	tiu̯˨˩muː˧˧tɕiŋ˨˩˦
тэмүүжин хүү	tʰi˧˧mu˥˩tɕɪŋ˥˥ huː˨˩˦
тэнгэр	tʲɪŋkɪ̞r
тэнгэрийн заадас	tegriŋ zadz
тэнд	kent
тэндээс	tiˈnd˞is
тэнхлэг	tʰi̞nɪ̞sɪ̞p
тэнэг	teˈnɯt
тэр	hɪ̞r
тэр баян түмэнд амьдардаг	tʲir bɑjɯ̞n tʏ̞mʏ̞n tæmdɪ̞r tɪ̞k
тэр хичээлдээ хоцорсон.	tʲɪr hɪ̞tʃɪ̞ɫtʲɪ hɑtsɯ̞rsɯ̞ŋ
тэр өлсөөгүй.	tʃto sʲɛgwʲi
тэрэг	tʲiɾɪ̞k
тэрэлж	hɪ̞rɪ̞ɮtɕ
тэсрэлт	pʲisrɪlt
түвшин	tʰɵw̜sijn
түлхүүр	tʰuːlχuːr
түрийвч	uripːt˥ʰiːɕɕ
түрэг улс	tʊ̞rʊ̞k ɑz
түрүүлэх	tʊ̞rɔ̙ɮkʰ
түүний	tuni
түүх	tˈuʁ
түүхий	puxi
түүхийг	tʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːuzɛŋtʃl�
төв	tʃu
төвийн	tˈuvˈaɪn
төгрөг	slˈʌk
төдий	tətˈi
төлбөр	tʊ̞ːɮpɯ̞r
төмөр	tɵmɵɾ
төр	kʏr
төрийн ордон	tʏrɪ̞ ɑrtɯ̞ŋ
төрөлх хэл	tʰɵrɵɵ ɕiɮ
увс	ˈɔfs
уг нь	ɔkɐn
угаах	oːqaː
углааш	abklaaʃ
угтвар үг	ɔxtor ɔp
удаагийн	tɑːˈgiːn
удах	ɔtɑ
удахгүй	wakaχqoi
удирдав	pøtɛrtɑw
удирдагч	w̜terstɐɵtɕi
удирдах	ʏtɾɪtɑq
уйтан	ʊ̞j˥˩tʊ̞ŋ˨˩˦
уйтгартай	ɵɮtʰɑːstɛ
украйн	ukrain
улаан	osaaŋ
улаан-үд	po̙˥sɑŋ
улаанбаатар	bɒzaːnbɒtdiɾ
улаангом	o̙ɮao̙aako̙m
улаанхад	ɔ̙ɮɑɴχɑt
уламжлал	w̜sɑmtɕʰɮæɬ
улбар шар	ɞ̙ɮ pɔ̙ɮ ʃɐ̥r
улиастай	ʊ̞dʒɒste
улирал	w̜iɫrɯ̞ɫt
улсын	asĩŋ
унах	ua˧˥na˥˩
ундаа	ɔnda
уншив	ɔːnʃɪv
унших	anʃɑk
уран	orɑq
ургах	urqah
урд	ʊ̞rtʊ̞
уриалга	ʏrjæɫsæk
урсах	aʁsaq
уртын дуу	osteŋ dʊ
уруул	ɵɾɵɬ
урьдаар	bystär
ус	os
устөрөгч	asturuptʃ
утас	ɑtas
утасдах	aːtasˈta
уулархаг	wɫɯ̞sɯ̞χɯ̞t
ууль	ɨ̯s
уурхай	ʊ̞rχæ
уусах	osɑx
уучлаарай	atʃlaɾe
ухагдахуун	okˈastʁˈɔ̃
учир	ʊ̞tʃɪ̞r
уях	tsɯg
фабрик	faprɨk
фенол	minˈɑt
ферм	fɛrim
физик	fˈiːtsɪk
филиппин	fʃɛlpɪn
фильтр	kɾɪstɪ̞r
фосфор	fəsˈbˈɚ
фтор	fɯ̞tɑr
хаа	xaː
хаалга	χɑtɑq
хаалган	χaːskɑm
хаалганы	χäˀˀɮɢniː
хаанаас	ɣɑnɑs
хаваржих	χɒˈbɒɾtɒh
хавсаргах	hæw̜særqɑq
хавтгай	fˈavʁˈɛ
хавч	afˈtɕi
хавчаар	afˈtʃar
хагархай	ħɑzˈitˈχˈist
хадгадагдах	χätɐw̜sɐɐtɐ̆χ
хажуу	həˈdʒuːp
хайду	dʒædɔ
хайлаас	helas
хайлуулах	χäe̝sːo̙ɮɔ̙ɐ̙χ
хайр	həˈɛ
хайрс	χæɾs
хайрцаг	hɛrsʲɪk
хайх	ʁ
хайч	ətʃ
хайчлах	χæjˈtʃlˈah
хакүхо	akuhaua
халбага	χɐ̈ɮpɔ̙k
халгай	kʰasqe
халив	χæθɪ̞w
халим	χætɪ̞m
халтмаагийн баттулга	χɐrtkɐnɐgin pæɐ̆rtʰɔ̙rɬɔ̙q
халтмаагийн баттулга, ерөнхийлөгч д.трамп уулзалт хийнэ.	χɐtmækɪn pæ̝ːtʰɔ̙ɬɔ̙ɢ jɵn χɪɮɪç tɔ̙nɔ̙ɬ tʃɵnɵmp ɔ̙ɮ tsɪɮt χɪn
халуун	hɑ˥˥
халх	χäˀsx
халхын гол	χɐlɢɪniːn ko̙o̙ɮ
хальслах	hɛ̀ːslɐ̆x
хамаарах	amara
хамаг	χämɑt
хамар	χämɐr
хамах	χɑmmˈħ
хамелеон	kʰam˥˩siaʊ˥˥
хамт	pamp
хамтдаа	χamta
хан	χɑŋ
хана	anna
хангалт	χæŋkaʃt
хангалттай	ɑŋɯrtɪʁb
хангах	amble
хандгай	χɑŋ˨˩˦pʰlɛː
хандив	χanˈtɯv
ханой	a
хань	χænɫe
хар	χar
хар дарсан зүүд	χɒˈɾtɒɾsɒl tsud
хар тугалга	χɑr tɔ̙ɢɮɔ̙k
хар хорум	χar xʊ̞rʊ̞m
хараах	ʁɑrɑx
хараацай	harɛtsɛ
харайлт	χæɾʲɪxt
харамсал	χɐrmsɐɮ
харамч	χɑrɯ̞mtʃiʃ
харандаа	ɦɑrntɑ
харив	ɦɛrʊb
харилцаа	χɐrstsa
харин	χæjrɪ̞ŋ
хариулах	hæriːɵɵlɵχ
хариулна	χæɾʊ̞ʃm
хархорин	χɑrχʊ̞rɪ̞ŋ
хархорум	χärhorum
харцгай	χɐstsɢæe
харьцах	χɛrtsɑχ
харьцуулан	χɛɾʲtsɔ̙rɔ̙ɬɞ̙ŋ
хатагтай	katɯgɯ
хатуу	ʁɑtoː
хахууль	ɣɾʊs
хачиг	χɛtʃik
хашаа	æʃæ
хашгирах	hæʃkɑrɑh
хаях	skˈa
хемоглобин	emeklɑpɪŋ
хийв	ʃiːv
хийд	ʃiːt
хийнэ	ɕi˥˧
хийсэн	hħ
хийх‏	hˈi
хил	ɕir
хими	kɛːm
хиртүүлэх	ir̥tɵɮɵ̙x̟
хичээлийн	çɯːjin˨˩hi˧çiːjin˨˩
хичээх	jˈtʃæst
хлор	ɦlɑːr
ховд	χɔːt
хог	hɒp
ходоод	χɑtɑt
хойд	hɑːt
хойш	hæʃ
холбогдох	χɑɮpæektaa
холбоо	kʰaspa
хонгорзул	χɔ̙npɔ̙rtsɵɮ
хонох	χɑnɯq
хонх	hɑ̃ˈʁ
хонь	hən˥˩
хоньчин	antʃɛŋ
хоолны цэс	akompano nitsis
хоосон	pɔsem
хор	al
хорвоо	hɒˈrmɒˈ
хорлоогийн чойбалсан	ɞ̙rlɔ̙kiːn tɕæɞ̙pɞ̙ɮsɔ̙n
хорлох	ɒɾtɒlɒħ
хормогч	ärmɑktʃ
хорон	χɑrɯ̞ŋ
хороо	hɑɾɑ
хороолол	hɔ̙rɑɞ̙tɪ̞ɮ
хорь	χɑjrɯ̞
хот	χɑt
хотон	χastɯ̞ŋ
хоцорсон	χɐtsɪrsɯ̞ŋ
хошуу	ɦɑˈʃu
хоёр	ɑjɯɾ
хоёрдугаар	ɦajɯrzɫar
хоёрыг авъя!	qɒjɾɒː kɒˈviː
хоёрын	hɔːi̯˧˥
хром	χrɑːm
хубилай	hʏ̞plæː
хуваарь	qɔlˈvɑr
хувалз	χʊ̞ɫgɑʂt
хувин	fliŋ
хувцас	χɔftɕis
хувь	χø
хувь нэмэр	hʊ̞j nʏ̞mʏ̞r
хувьсгал	hɔːsɔːs
худал	xɔtl
худалдагч	o̙taɮtɐχtɕi
хулан	χʊ̞rðɪŋ
хулгай	ɞ̙rɔ̙çɔ̙χɢo̙o̙
хулгайч	ɔ̙ɮɔ̙χɔ̙
хулээнэ	ʊ̞sæn
хумс	homˈs
хундагалах	χondaqsaq
хунирах	χʊ̞nːiɾɑq
хурал	χʊ̞rɑs
хуралд	χuræɫt
хурга	qɯ̞rɯ̞q
хурдан	urtɑŋ
хурим	ʏ̞rʏm
хуримтлал	χʏ̞rʏ̞mʲiðæʂ
хурлын	χoɾθĩŋ
хуруу	χurɑ
хус	osɯ
хутга	dˈoːstˈɑkˈ
хуудас	χoːtɑs
хууль	χɵɬ
хуульч	pɔːst
хуурах	fɔːrɑq
хуучин	χʊ̞ɫtɕiŋ
хэл	tʃi̞r
хэлийг	ʃiʁe
хэлэв	ʃi̞luː
хэлэлцүүлгийг	kiɮiçoːrkɪːn
хэлэлцүүлгээс	χɪlɪ̞ɮtɕue̞ɮɢe̞s
хэлэлцүүлэг	çiːrrlɪçttsˈuːrlɪçk
хэлэх	ʃu˨˩˦
хэмхрэх	k̠æˈrʲiːs
хэн	sin˥˥
хэний	tʃini
хэнийг	ʃiˈnit
хэнтий	çɛntˀiː
хэрлэн	ɕi̠rɪ̞sʲɪŋ
хэрхэн	χɪ̞n
хэрэггүй	ʃi̠ɾɪkkuij
хэрэгтэй	hejkdi
хэрэйд	hiɾit
хэрэм	ʃɪ̞rʲɪm
хэсэг	χiːsuk
хэтэвч	ɢɪtɪftʃ
хэцүү	kitsu
хятад	ʑɯ̞tːɑt
хятан	ɕitˈa
хүзүү	ɦutsu
хүйтэн дайн	aʝ tɛntɛng
хүлэгү	ɵɮɵɵ
хүмүүн	tɑ̃ɑ̃
хүн ам	pʊŋˈɑm
хүннү	unˀ˩
хүнс	ɛʁˈun
хүрз	kurts
хүрэл тогоот	ʊrɪ̞ʃ tæwɢɔ̙t
хүрэм	voɾumma
хүрэн	ɦrɐn
хүрэх	ʊɾʊ̞
хүсэл	kʏsɪ̞ʂ
хүхэр	χwχɪ̞r
хүчилтөрөгч	qɵtʃɪztʏ̞rɪ̞χtʏ̞
хүү	fou
хүүхэд	fuxɨ
хөвсгөл	χɵw̜sɵɮ
хөвөн	χubuŋ
хөгжил	χɵχtɕɵɮ
хөгжим	ɦʊ̞ktʃɪ̞m
хөгжүүлэх	χɵw̜tɕɵɵɮɪç
хөгшин	ɦoχʃiŋ
хөгшин хүн	oʃuŋ�w˧hʊŋ˧˥
хөдөлгүүр	χɵtɪlkɵr
хөдөлгөөн	kɵtɵɬkɵɵ
хөдөө	ɦut̪ɑ
хөл	χɵl
хөл болох	χɵɮ pɞ̙tɞ̙χ
хөл бөмбөг	ɦoʐɯmdʊk
хөлдөөгч	χɵɮɮɵχt
хөлөнбуйр	χʏ̞sʏ̞mbœɪ̞r
хөмсөг	χʏ̞msɯ̞k
хөнгөн цагаан	kwn˥˥kwn˥˥ tɕʰagʌŋ˥˥
хөрс	urɕ
хөрөнгийн бирж	huɾʉŋgɛjɛn bejɾtʃ
хөх	ˈuf
хөххот	ʁuxot
хөшөө	kʊ̞ʃˈɯ̞
хөөмий	xɔ˥˥mi˨˩˦
хөөрхөн	jɯɯ
цаа буга	taːpˤok
цаазаар авах ял	tʃätsɑr ɑw̜
цаана	san˩
цаас	tʃas
цаатан	tsak
цавуу	savo
цаг тооны бичиг	tsæk tæɑːniː bɪtʃikː
цаг хэд болж байна	χælːepaʎtɕiŋ
цагаан	sawaːŋ
цагаан алт	saɢan ħɑst
цагаан будаа	t̪s̺ǎɢaːŋ po̞t̪a
цагаан тугалга	sähɑn tʰo̙kɮɐ̙k
цагадай	saɢate
цагийн	sakeˌen
цай	se̞
цайдам	sæːtæm
цайр	tsɛr
цамхаг	sɑmhəq
цамц	saːm˩˩˦tsɯ˥˩
цан	tsaŋ˥˥
царай зүс	fara ɛt sus
царай муутай	tsɪ̞rɛ mʊ̞tæ
царс	sars
царцаа	tsaʃa
цас	sas˦
цахар	sɐχar
цахиагийн элбэгдорж	saajɦɮiːn˧ i ɾsɾiːn tɔɾtʃ
цахилгаан	tsɯkɯ˥˩saaːŋ˥˩
цахиур	sauɣnt
цахлай	sɐχʃɛ
цацраг	tsatsɾak
цацрал	saçsaɾaɮ
циклон	tˈɛstkˈlɑːn
цонх	fˈɑ̃k
цоохор тахь	saxr tˈʰæhˈ
цорын ганц	tsɒɾiːn ɒnts
цочирдох	kʰʃatɕrtɔ̙
цугларав	sa
цугларах	sɔːkitaɾːχ
цуглах	salʃak
цунами	sonami
цус	tʃuʃ
цус сорогч	tsosakutʃ
цуу	so
цэг	sˈeɪk
цэлийх	siz
цэнэг	senit
цэнэглэгч	nɪtɮɪktɕ
цэр	sɪ̞r
цэргийн	siɾgen
цэрэг	sɯɾik
цэцэг	tsʲitsʲɪk
цэцэрлэг	tʰɪtʰɪrlɪk
цээжлэх	fɛːtɕlɛ
цөхрөл	sɵχɵrɵ̙ɮ
чадах	tʃɑdɑq
чадвар	ʃatɨw̜aɾ
чамайг	tʃamɛk
чанах	ʈʂan˩˩˦ax
чанга	tʃaːmk
чарга	tʃaɾaq
чармайлт	ʃarmɛaɮ
чемодан	tɕamtaŋ
чи	tɕʰi˥˥
чи зөвхөн минийх	tʃezzueːkːuː mẽn̪i
чидун	tɕiðɔ̃
чимэх	ʃɛmˈi
чингис хаан	tʃiŋ˨˩˦gɯ˧˥sxɑŋ˥˥
чингэлтэй	tʃi̞nɢɪ̞ɮtʰɪ̞
чингэлтэй дүүрэг	tʃɪ̞ŋgɪ̞ɮkæe toːrɐk
чиний	tɕʰiːn˩˩˦
чих	tɕiː
чихэр	tʃiχi̠r
чихэрлэг	çɪχirɪsɪ̞k
чойбалсан	kʰʊ̞ːpɑʮsɯ̞ŋ
чойжилжавын цэвээнпүрэв	tɕo̙o̙ɮtɕ äw̜iːn tɕiw̜iːn pʊrɔ̙
чойр	tʃer
чулуу	tɕo̙o̙
чулуун	tɕo̙tɔ̙ŋ
чулуут гол	tʃuɫuɣɯ qɑl
чуулалт хаалга	o̙o̙satʰ χaaɐ̆ɮɐkʰ
чухал	ʃuːχɐl
чөдөрлөх	ʃɪ̞tɪ̞rɪ̞çh
чөтгөр	tʃitqur
чөттөр	tʃʰtˈkʰɯtˈkʰyɾ
шаазгай	ʃaːtsʰlʰaː
шавар шавхай	tʃaβ̞ɯ̞r ʃævɢæ
шавж	ʃˈɛpt
шавхай	ʃafˈɣˈe
шавьж	ʃɛɹtʃ
шагнал	ʃɐknɐɮ
шал	ʃar
шантрах	ʃantra
шанцай	ʃantsaɪ
шар	ʃɑːr
шар зөгий	ʃar tsəkɛ
шарх	ʃɑːx
шат	ʃˈɛt
шашин	ʃaʃɯm
шивнэх	siwˈni
шивээ	ʃibˈe
шийдэх	ʃiːtix
шил	ʃɪ̞ɫ
шилжих	ʃi̞ɮtɕek
шилтгээн	ʃi̞ɮtʲe̞ɲ
шинжилгээний	ʃintɕiɮkeːniː
шинжлэх	ʃintɕɮeχ
шинэ	ʃɪ̞nː
шинэс	ʃiˈnɪs
шинэхэн	ɕʰɛːn˥˥
ширгэх	ʃɪrkɪ̞x
ширээ	siɾeɾ
ширүүн	ʃiˈɾˈoˈɴ
шонхор	ʃɑŋheɾ
шоргоолж	kɵʃɬɢaɛ̀ɮkɪ
шорон	ʃɑrɯ̞ŋ
шороо	ʃaːrɑ
шохой	ʂɚ˨˩˦xaj˥˩
шош	ʃaʃ
шувуу	tʃɔvɔ
шувуун	ʃu˨˩˦
шугам	ʃɔɦɑm
шулуун	ʃˈadˈoŋ
шумуул	ʃˈmoːʃ
шуудан	ʃotam
шуурга	ʃoɾɑk
шүд	ʃut
шүлс	ʃus
шүмэр	ʃumr
шүршүүр	ʃuʃur
шүхэр	ʃʏχɪ̞r
шүү	ʃu
шүүгээг	tʃuːkikː
шүүс	ʃuːs
шөл	ʃuɫ
шөнө	ʃɵn
эpдэнэт	ɾʲisɪ̞t
эвэр	ɪvɪr
эд	iːt
эд хогшил	e̝t χɔ̙χɔ̙ɬ
эд хогшлыг	it χɑɐ̆xʃlik
эд юмс	etʃ jəms
эдгээр	itgeːr
эелдэг	ɾeilkɪtɪç
эквалит	ekwãˈljt
элс	ls
элсэн чихэр	ɪ̞ɫtɪ̞n tɕiχiɾ
элчин	ɪ̞ɮtɕiŋ
элчин яам	ˈiktʃiːm jˈɑːm
элэг	iʃi̠k
элээ	iˈθe
эмнэлэг	iŋsɪ̞k
эмч	imˌtʃʰ
эмэгтэй	imɕpe
эмээ	tɛmɛ
энд	ende
эндээс	les
энзим	jɛn˨˩ʰ
энх тайван	iŋkpɛrkɔ̙ːŋ
энэ	enːe
энэтхэг	enitskɛ
эрвээхэй	gʲirbæhʲi
эрдэм	i̠fːɪ̞m
эрдэнэт	irtmɪ̞t
эрт урьд цагт	ɛrt ɵrt sæktɯ̞
эртний	lɪfniː
эрхүү	bɾɪxˈu
эрэг	i̠ɾɪ̞k
эрүү	i̯ɾuː
эс	ˈɪf
эх	mˈɪn
эхлэв	ikːliːv
эхлэх	ɪ̞fsɪ̞k
эхнэр	iʃmɪr
эхэлнэ	iʃin
эцэг	itsiɟ
эцэс	itsɪs
ээж	eʒ
ээлж	eɾe
ээлжит	ɪ̞ɫdʒit
ээмэг	æmɪ̞t
юм	jɔmɑ
юу	ju
юу байна?	jʊpæn
юу үлдсэн бэ?	jo̙o̙ ɵɮsɵm pe̝
юү	u
яам	dʒam
яарах	jaːrəx
явав	jɑvɑv
явах	jɑwɑh
яг	jak
ягаан	jɑqɑq
ягаан хөх	jæqɑŋ fʊ̞w
ялаа	ɐtsɑ
ялах	jæʁ
ямх	liamɣ
яндан	jɐntɐng
яншуй	jɛn˨˩˦ɕy˥˩
япон	jˈapˈɛʁ
ярианы	jæræmɪ̞
ярилаа	ɪ̞jɪ̞gla
ярих	jɑrɑχ
яруухан	jæroːxuːn
ярьж	jɛrtʃɛ
яс	jˈɛs
ятуу	jato
ёстой	jɛstɛ
үгүй	ɔkue
үдээс	opˈis
үер	uir
үерийн далан	ɵɾiːn tɑrnɯn
үзнэ	utsin
үзэг	ʊ̞tsʊ̞k
үзэсгэлэн	ɵtsɪkɮiŋ
үйл үг	w̜iːl ɵk
үйлчлэгч	w̜eɮtɕɪɬɪɢtɕ
үйлчлэх	ʊ̞stʃix
үл ойлголцол	uʃ ʔaaʔal ʁuʁsɚ
үлэг гүрвэл	w̜ʃɪk kɵrus
үндэс	ɯndɯs˦
үнсэх	ouf
үнэг	unɯ̞k
үнэн	buniŋ
үнэндээ	anɪnˈde
үр	uɾ
үргэлжилж	ɵɐɵɵɮtɕiɮtɕ
үргэх	ʊɾtʃ
үрийн	uɾiŋ
үрийн будаа	ʊɾɪŋ bɔtɑ
үс	a
үхэл	ʊ̞χɪ̞ɫ
үхэр	χɪ̞ɾ
үхэр зөгий	uxɪr tsʏkɪiː
үүд	ʊˈt
үүл	uð
үүлэрхэг	ɵɵɮɵrχɪk
үүний	u˨˩˦n˩˩˦i˨˩˦
үүнийг ном гэдэг.	uʝ nɑm kʲitʲɪk
үүр	uːr
үүргийг	urgiːk
үүргэвч	ʊɾgʊ̞ftʃ
үүрэг	ʊrɪk
өв залгамжлагч	χuːt zæɮkɐ̆m tɕʰiɮɪktɕ
өвдсөнөөс	au̯t̪snos
өвдөг	uβtʊ̞k
өвс	uf
өвчин	oftʃɛnɨ
өвөл	ɵɮ
өвөлжих	ɵɵɵstʃɪç
өвөлжөө	ʊ̞uɫtɕɐ̆w
өвөр монгол	kuuɾ mɔ̙ŋgɔ̙r
өвөрхангай	ɵɵrχɛŋgɛ
өвөө	uvwɑ
өглөөний мэнд	okɮɛnɪmɪ̞nt
өгэдэй	ɔkɔte
өгүүлэгдэхүүн	ɵkɵɵɮɪktɪχɵɵn
өгүүлэл	w̜kɵɮes̺
өгөв	ogau
өгөх	ʊkʊ
өдрийн	ɔtriːn
өдөр	ʊtʊɾ
өдөөж	ɔtɔtʃ
өлгий	ʃuθkiː
өлгөх	wʃkʊ̞x
өлсөөгүй	ʃuquj
өмгөөлөгч	ɵnɵkɵɵɮɵktɕ
өмнө	ulmunˈna
өмнөговь	ʊ̞mʊ̞nqæjf
өнгөнд	unqintɪn
өндөг	ʊ̞ndʊ̞k
өндөрхаан	unðɯ̞rhæŋ
өнцөг	untʃɯk
өнө удаан	unut̪a
өнөө	una
өнөө өглөө	ʊ̞nɔː ɔkɮɔː
өнөөдрийн	uneotɾei
өнөөдөр	unwadʊr
өргөн	ʊɾkʊŋ
өргөн чөлөө	urpən ʃyɣɫ
өргөст хэмх	urɢɵst χɪm
өргөх	ʊɾpʊk
өрнүүлэв	ɵɾnwsɪw
өрнөснөөс	burinsnos
өрөгжүүлэх	ɵɾɵɵtʃuːɮ
өрөх	ɔɾuʋ
өрөө	ʊɾɑ
өс санах	ɵsɵs samx
өтлөх	pɵtsɪç
өчигдөр	ʏtɕɪgɪ̞r
ᠥᠪᠦᠷ ᠮᠣᠩᠭ᠋ᠤᠯ	w̜ur mɔ̙ŋko̙o̙
ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ	wul mɑŋɫʲɪ ʔoʃtɑntʃɯz sɯzʁɑrɯn
ᠬᠥᠬᠡᠬᠣᠲᠠ	ʁuxʁɔt
ᠮᠤᠨᠭᠭᠤᠯ	mɔ̙ŋɢɔ̙ɞ̙ɮ
