cачара	satʃara
бәләтән	beˈlɛtˈɛn
газеттан	gazʲetːan
гейәү	gijˈeu
гейәүгә	giʲæʏgɪ̞
генә	gɪ̞næ
геше	geʃe
гешегә	ʃagɛ
гимнны	dʒnla
гимныбыс	imnabɯs
гримёрката	gɾˈimjˈɔrkɐtɐ
гүзәл	gyzɛl
гөристә	gyɾˈɪstæ
да	dˈɑ
декабрь	dkɑːˈbɑr
дискларны	dʲistklɑrnɯ̞
дискта	gʲiskta
дә	dɛ
етне	ɪ̞tnæ
ецең	ɛtsɛŋ
еш ырамайты	æʃ rämai̯tæ
зал	zɑl
ибенә	nibɪ̞nɪ̞
ибрағим	ibraːɣim
иген	igˈɛn
игенце	iːgini
игенцетән	igˈɛntsədˈɛn
игесләр	igisler
игесәкләр	igisæklær
игән	igɛn
иде	idɛ
идем	iːden
ижатий	ʒuʂtoj
ике	ikːɛ
икке	ɪ̞kːɛ
иккетән	ekɪ̞tæn
иккетән туған	ikːe tæntuʁɑn
икшеп	dˈiːkˌɛeb
икшү	iːtˌtˈsʃøː
ил	il
илгенәм	ilgɪ̞næm
илегескә	ilgɪ̞skæ
илегескә ҡайталмаслыҡ ҡанатығыс ҡайрылған. [клара кучковская]	ilɪ̞gɪ̞ðkæ qɑjtɑɫmɑsɫɯ̞q qɑnɑtɯ̞ʁʊ̞s qɑjrɑɫʁɑn
илемнән	jilimˈðæn
илип	iʁpˀ
илйасов	ɪljɑsʊf
илле	ilːɪ̞
иллене	jæmɫɛnæ
иллене ырғылып киттем.	ʲenɪ̞næ ɯ̞rʁɯ̞ɫʊ̞ɫʊ̞p kʲitːɪ̞m
илләр	jˈallæɾ
илләргә	ilːærgæ
илләртә	ilrðæ
илмийцә	ɪ̞ɫmʲiːtsɛ
иләк	ilˈɛk
имкәле	imˈkænle
инде	imdɛ
индерәй	intrej
интернет-адресларыбыс	iŋtɪrnetɑðrɪsɫärɯ̞pɯ̞ð
инүк сас	iˈnʌksas
инә	jɪlæ
инә айу	iːneɾˈɪuː
инә, өстәлне шыбырып алцы.	iʲnæ ɪ̞stænʲɪ ʂʊ̞bɯ̞rɯ̞ bɑɫtsɯ̞
инәкә	ʲinækæ
инәм	iˈnəm
инәмнән	iˈnæmlæn
инәсе	iˈnɛlse
инәсе-атасы	njɛsɛɫatɔsɛ
ипкүл	ˈɪpkyl
ипләп кенә асырайбыс уғытҡалы палабысны. [клара кучковская]	ïplæp ki̠næ ɑsrɑj bɯ̞s uʁʊ̞tqɑɫʊ̞p pɫæbɯ̞snɯ̞
ир	i̠r
ир пала	ɪ̞ɾ pɑɫɑ
ир-йегеткәйләрне тонйа түгел – сағышлары ҡартайтаты игән.	i̠ɾjʲɪgɪ̞t kæ̹jːlærnɪ̞ wʏ̞nʲɪja tʏgjɪl sɑʁɑʃɫɑrʊ̞ qɑrsɑj tɑ tʲigæn
иренең	i̠rɪ̞næng
иркәм	irqæm
иркәм пелән пергә йөркән йәмне иртеш пуйларын. [йыр, “иртеш таңнары”]	irkæn pilɛn bɪ̞rgæ irkæn jɛmnɪ̞ irtæʃ pwjɫɑrɯ̞n
иркәмнең	i̠ɾkæmdʲɪŋ
ирләр	i̠ɾlæɾ
иртеш	iɾtes
иртеш пуйы йәмне пулыр муйыл цицәк атҡанта. [йыр, “иртеш таңнары”]	irtɪ̞ʃ pwjɪ̞ jænnɪ̞ pwɫɯ̞rmu jɯ̞ɫ sʲisæk ɑtqʊ̞ntɑ
иртеш таңнары	i̠r tɯ̞ʂtɑŋ nʊ̞ɾɑ
иртешнең	irtɪ̞ʃnæŋ
иртешнең сул йағынтағы себертатар ауыллар үс әтәтләре пелән йәшәп йататылар.	irtæʃnɯ̞k sɫwg jɑʁɯ̞ntɑʁɯ̞ð sɪ̞vɪ̞rtʊ̞tɑtɫɑr ɑwɫɑr ʏ̞s ɪ̞tætɫɛrɛ pɪ̞ɫɛn jæʂæp jɑtɑtɯ̞ɫɑr
иртештә	ɪ̞rtɪ̞ʂtæ
иртыуан	irtəwɑn
иртыуан салу	iɾtɔbɑŋ saluː
иртәңке	i̠ð̞tænki̠
ируаста	ɾuːɑstɑ
исге	ɪsgɛ
исем	ism
исемләре	iˈsimlæɾi
исемләре циттән кергән түгел: пайыш, рәнцек, меткә, кинтерле… [булат сөләйманов]	i̠sɪ̞mɫærɪ̞ tsʲitːæn kɪ̞rgæn tʏgjɪl pɑjɯ̞ ʂærænsɪ̞k mɪ̞tkæ ki̠ntɪ̞rɫɪ̞
исемне	ʲisɪ̞mdæ
исемне айғаштырып ҡуйабыс: шамил, камил, наил.	ʲisæmnæ ɑjʁɑʃtʊ̞rɯ̞p qojɑʁbɯ̞ð ʂɑmʲil kɑmɪ̞l nɑjɪl
исенә тә кермәйте аның ҡул йыуам тип танатан. [клара кучковская]	ʲisɪ̞nætæ kɪ̞rmæj tænɯ̞ŋ kɵp jʊ̞ɑm tʲitːʊ̞nɑtɑn
иске тирмән	is ke tʲirmæn
иснә	ʲisʲnæ
иссес киткән, ҡартны ишенкәц әғирәт тә түсмәте. [клара кучковская]	ïjsɪ̞s kʲitkæn qɑrtɯ̞nɯ̞ ʲiʂɪ̞n kɛtsɪ̞ æʁʲiʁæ tɛtʏ̞ʏ̞smætɪ̞
исәпләгәле	esæplægæ̹lɪ̞
исәпләйбес	aːsæplˈaibz
исәпләнкәле	isˈɒplˈɒnkælˈɒ
исәт	isˈɛt
ит	it
ите	it̪e
итем	itˈɛm
итеү	itw
иттеләр	itlær
итү	itˈy
итәнкә ийелеп төштә әмән пер ней эстәйте. [клара кучковская]	iθæntjæ i̠ɾɪ̞p tɪ̞ʂtæ æmæn bɪ̞ɾ næjtɪ̞ stæjtɪ̞
итәрсең	ʲitɛrsʲɪg
итәтеләр	ɪ̞tɛtjɪlɛr
ицкем	ʲitskɪ̞m
ицкерек	iːtsgɾˈɛk
ицкерек ошлау	itskʲiɾʲɪgɪ̞ ʃɫäu
ицнеймәсе	ʃiːznˈemesi
ицнимә	itsnˈibˈɛ
ицҡайта	ɪ̞tsqɑjta
ицҡайта китмәм мин синән — син атам минең, син инәм. [клара кучковская]	its qɑjta kʲitmænmɪ̞n sʲinæn sin ɑtɑm mɪ̞næn sin ʲinæm
ичү	itjˈu
ичәдер	iːtʃɛːdɪr
иш-тусларны	iʃtusɫɑrnæ
ишегалтлар	iʃigɑltɫɑr
ишек	iʃæk
ишмән	nˈɛ
ишмән ҡаш	iʃmæn qɑʂ
иштәк	iʃtɛk
ишәм	niːʃɛm
иң	iŋ
иң кеце	iŋkɛtsɛ
иң олло	iŋɯ̞ɫːɑ
иңкә	inkæ
йабызбы	jˈalbˈazba
йабыс	jɒbɒs
йалан тәңпүрән	jɑwɑn tæŋ pyræn
йаланкүл	jɑɫɑnkɵl
йаласа	jɑɫɑsɑ
йалтырағалы	jɑɫtɯ̞rɑʁɑɫæ
йалтыраҡ	jɑltɯ̞rɑq
йалутор	jalutɔr
йалутортан	jɑɫutʊ̞rtɑn
йалғыс	jɑlɣəs
йалғыш	jɑɫɢɯ̞ʂ
йаман пилтер	jɑmɑn pjltæɾ
йаманаул	jɐmɑnəwˈlɛm
йамбай	jˈɑ̃bˌaɪ
йамғыр	jɑmʁɯ̞r
йамғырчағауаҡ	jɑmʁɯ̞rtʂɑʁäwɑq
йамғырчаҡ	jɒmmˈgɒɾtʃak
йанаты	jɔnɔtɛ
йантыҡ	jɑntɯ̞q
йаныуларым	jɑnɑuɫɑrʊ̞m
йаныуларым, көйөүләрем кел синең өцөн кенә. [йыр, “иртеш таңнары”]	jɑnɫäuɫɑrɯ̞m kɪ̞jʏɪ̞lærɪ̞m kɪ̞l si̠nʲɪ ʏ̞tsʏ̞nkɪ̞næ
йанҡалы	jɑŋqɑɫɑ
йапмач	jɑpmɑtʃ
йар	jɒˈɾ
йар та сөйгәнем йуҡ ите — ник йанаты йөрәгем? [йыр, “тусҡасан”]	jɑr tɑsɯ̞jgɛnɪ̞m jʊ̞q ʲitæ nʲiθ jɑnɑtɯ̞ ʲirɛgɪ̞m
йаратып	jɑɾɑtˈɯ̞p
йарашов	jaraʃoːv
йарымҡа	jɑrɯmqä
йарыҡ	jɑrɯ̞q
йарғынаҡ	järʁɯ̞nɑq
йасалат	jɑsɑɫɑt
йасаты	jɒsatˈa
йасағалы	jɑsɑʁɑɫæ
йасмыш	jɑsmɑʃ
йастыҡларға түгел, ташҡа салам ҡайғыларға төшкән пашымны.	jɑstɯ̞qɫɑrʁɑ tʏgjɪl tɑʂqɑ sɑɫɑm qɑjʁɯ̞ɫɑrʁɑ tʏ̞ʂkæn pɑʂɯ̞m nɑ
йасылған	jɑsɯlʁɑn
йасып	jɒsˈɒb
йасыуцылар	jɑsʊ̞ɫtʲsʊ̞wɑɾ
йасҡан	jɑsqɑn
йасҡысын	jɒzqɒsɒn
йатат	jɑtat
йататылар	jɑtɑtɯ̞ɫɑr
йатсырау	jatsɾau̯
йаттан	jɒtˈbãn
йаты	jɒta
йатыр	nʲitɯ̞r
йатҡан	jɑtqɑn
йатҡаннар	jɑtqɑnɫɑr
йауаты	jɐuɑtɑ
йаудым	nʲau̯dɐm
йаумаған	jɑumɑʁɑn
йауын	jɐuən
йауыс	ïə̯ˈts
йафрағы	jɒpɾɒgi
йағы	jɒˈɢe
йағым	jɑqɯ̞m
йағынтағы	jɒˈgɒntɒgi
йаҡ	jˈɑ̃q
йаҡның	jɑqnɯ̞ŋ
йаҡты сыйарат	jɑqtʊ̞sʊ̞ jɑrɑt
йаҡшы	jɑqʂɑ
йаҡшы тус-ишкәйләребес ҡалты тыуған илләртә. [йыр, “айрылу”]	jɑqʂɯ̞ tu sʲiʂkæjlærɪ̞ bɪ̞̞ls qɑɫtɯ̞ tɯ̞uʁɑn ʲillær tɛ
йаңаул	jɑŋˈʁɑnbɔluʁ
йаңылу	jˈɑŋgəluː
йаңғыр	jɑŋɢɯ̞r
йаңҡыр	jɑŋqɯ̞r
йаңҡырцы	nʲɪɴkɪrtsɯ̞
йебәрепте	ɪ̞bærʲɪptʲɪ
йебәрсен	jɪ̞bɛrsɪ̞n
йебәрсә	jɪ̞bɛrsæ
йегермә алтты	eʁɪ̞rmæ ɑɫtːɯ̞
йегермә йетте	iːgɪ̞rmæj itæ
йегермә пиш	ja gɾimɛ piˈʃ
йегермә сигес	igrmæsʲigɪ̞s
йегермә туғыс	iːgɪ̞rmʲɛ tuːʁɯ̞s
йегермә түрт	jɯ̞gɪ̞rmæ tʏrtʏ̞
йегет	jɪ̞gʲɪt
йегет үсе ҡартаймаса, тонйа ҡартайтыр мигән? [йыр, “себер йағы”]	jɪ̞gɪ̞t ʏ̞sʏ̞ qɑrtɑjmɑsɑ tʏ̞njɑ qɑrtäjtɪ̞r mʲigæn
йегетләр “заготовитель” пулып, ҡыслар әйләнепте “тёлкаға”. [клара кучковская]	jɪ̞ɣɪ̞tɫɛr zægɑtɑβiʲitɪ̞ð bɯ̞ɫʊ̞p qʊ̞sɫɑr æjɫænɪ̞psɛ jolkɯ̞ʁɑ
йегетне күрү йуҡ, шоммы, ысбайымы, көйәүгә пирәтәгән тә ҡуйатаған.	eɣɪ̞tmɪ̞ kʏræ jʊ̞qʂɑnmɯ̞ ɯ̞sbɑjɯ̞mɯ̞ kʲeɪ̞wɛ pʲirɪ̞tægæn ðe qʊ̞jɑtɑʁɯ̞n
йедир	jæd
йел	jˈɛld
йелпуч	jalpːˈtʃ
йелткә	nʲiltkæ
йеләктән йе, ширәсеннән эц.	kilektæn jɪ̞ŋ ʃi̯ræsɪ̞nɪ̞ŋ ætsʲ
йенцек	jˈɪntsˌeːk
йепне	ɪ̞pnæ
йер	jɪ̞r
йергә	jɪ̞rgæ
йерем	jɪ̞rɪ̞m
йеремтәге	gʲɪrʲɪmtʲægɪ̞
йерләр	gʲɪrlæɾ
йерләргә	jɪ̞rɫærgæ
йернең	jɪ̞rnæg
йерсеп	nʲîːrsʲɛb
йертә	ɪ̞rtæ
йете күл	ie tɛ kyl
йеткенцә	jɪ̞tkɪ̞ntsæ
йетмеш	jɪ̞tmɛʂ
йетмәтегес	jɪ̞tmɛtʲɪgɪ̞ð
йетсә	nʲitsːɛ
йетте	etːɛ
йецкә сас	nʲitskæ sɤz
йецкә ҡыра	nɪ̞ts kæɢɾɑ
йеңкәгә	jɪ̞ŋtʃægæ
йеңкәсе	jɪ̞ŋkæesːe
йигиткә	jɪ̞gɪ̞tkæ
йирән	irɛn
йирән чичән бу үгесне хатынына айдап килде.	kɪ̞ræn tʃiʂæn bu ʏ̞gʏ̞sʏ̞næ χätɛmnɑ ʔɑjdɑp ki̠ɫdɪ̞
йите	it̪e
йитегес	jʲitɪgɪ̞s
йитәр	jeter
йитәрмен	jɪ̞tærmɪ̞n
йолаларыбыс	jɯ̞ɫɑʊ̞ɫɑrʊ̞bɯ̞s
йомортҡа	gʲɪmʊ̞rtʊ̞qä
йортҡа	jʊ̞rtqɑ
йорцо	jurtzæ
йосоп	jʊ̞sʊ̞p
йоҡлап	jʊ̞qɫɑpt
йул	nʲul
йулдан	julˈdɑn
йулдус	juɫduz
йуллар	juɫɯ̞ɫɑr
йулыбысҡа	wɫɯ̞pɯ̞sqä
йуршаҡ	jurʃɑq
йуғалтыу	juɣaltɛu
йуғалтыу ҡарлар йаумаған минем күңелләремә... [клара кучковская]	juʁɑltɯ̞w qɑrɫɑr jɑumɑʁɑn mʲenɪ̞m kʏ̞mʏ̞nlærɪ̞mæ
йуғарыға	joˈʁaɾˈɯgɑ
йуҡ	jˈuk
йуҡны	jɒqnɒˈ
йуҡса	nʏ̞qsɑ
йыйаты	jˈetˈa
йыймағансын	jɪ̞jmɑʁɑnsæn
йыйыла	jæjɯ̞ɫwɑ
йыйылты	jæjɫtæ
йыйылтыҡ	nʲiɫtɯ̞q
йыйылырбыс	jɪ̞jɯ̞ɫːɑrbɯ̞s
йыйылған	jɯ̞jɯ̞ɫʁɑn
йыйып	dˈiːs
йыйыштырып	jæjˈɪstʊɾˌɯp
йылан	jˈuɒlm
йылның	jɯ̞ɫmɯ̞ʁ
йылта	jɯ̞ɫta
йылтыс	nʲeɫtɯ̞s
йылу	eɾw
йылылыҡ	jɯ̞ɫɯ̞ɫɯ̞q
йылып	jɯ̞ɫɯ̞p
йылыуыт	jɯɫɯ̞wɯ̞t
йылға	jɯ̞ɫʁɑ
йылғаларың	jɯ̞ɫʁæ̹lɑrɯ̞ŋ
йылғаларың синең — тирән, сыуыҡ, эце тулған эре палыҡ. [клара кучковская]	jɯ̞ɫʁäɫɑrʊ̞ŋ sinɪ̞ŋ tʲiræn sɯ̞uɯ̞q ætsæ tuɫʁɑn rɪ̞pɑɫɯ̞q
йымсайғалы	jɯ̞msɑjɢɑɫɯ̞
йыр	jɯ̞r
йыр-моң	jˈɾmˈɔ̃
йыр-моңнары	jʊ̞rmɑŋɫɑrʊ̞
йырауцы	nʲirau̯tsɨ
йырауцылар	rɑɫtsɯɫɑr
йырлайсың	eslaelsθɑŋ
йырлайты	nirɫäjtɛ
йырланты	nʲirɫɑntæ
йырлар	jɯ̞rɫɑr
йырларны	jɯ̞rɫɑrnæ
йырларымта	jɯ̞rɫɑrɯ̞mtɑ
йырларын	jɯ̞rɫɑrʊ̞n
йырлатым	nʲirɫætɑm
йырлағалтыҡ	jɯ̞rɫɑʁɑɫtɯ̞q
йырлаған	ɪ̞rɫɑʁɑn
йырлағанта	jɯ̞rɫɑʁɑntɑ
йырмац	jɯɾmɑts
йырмаҡ	nʲɪrmɑq
йырымцаҡ	jɯ̞rɯ̞ntsɑq
йырғанаҡ	jɯ̞rʁɯ̞nɑq
йыслы	jˈɯ̞sɫɑ
йыслы үләң	jas sluːdəg
йығылғалы	ɯ̞ʁɯ̞ɫʁäɫæ
йыҡты	jɑqtɑ
йүклү ҡары	juqluq ɑrɑ
йүләгәннәргә	jʏ̞rægɛnlærgæ
йүләү	jylɛw
йүләүце	jʏ̞læʏtʲɪsæ
йүләүцеләр	jʏlɛz̺tʲɪɫɛr
йүрүзәм	jˈʁiːvzɒːm
йүрәкләре	jʏrˈɛklɛrɛ
йә, йегет, инте мине абу ҡыл! мин сине рәнцеттем.	jæjjɪ̞gɪ̞t i̠ntɪ̞ mʲinɪ̞ ɑb uqɯ̞ɫ mʲen sʲen rʊ̞nʲɪsɪ̞tːʲɪm
йәберепте	jɛbrɛptsæ
йәйләр	jæjlær
йәйләсәң	jæjlæsæˈŋ
йәйтаҡ	jɪ̞jtɑq
йәкшәмпе	jɛkʃɛmpɛ
йәмне	jæmle
йәмне иртеш пуйларынта карағат мәнцәкләре. [йыр, “иртеш таңнары”]	jænnɪ̞ irtæʃ bujɫɑrɯ̞ntɑ qɑrɑʁɑt mɛnsæklærʲɪ
йәмне иртеш пуйларынта тауышым ҡалсын пилгегә. [йыр, “иртеш таңнары”]	jæmnæ irtɛʃ bujɫeɾiŋ tɑtɑuʂɯ̞m qɑɫsɯ̞n pʲelgʲɪgɛ
йән	jæn
йән теләгән туслар пелән йәйләр йәйләсәң игән. [йыр, “себер йағы”]	jænt tjɛlgɛn tusɫɑr ʲʲɪrɑn jæjlær jæjlæsɛn ʲigɛn
йәнемтәй	jˈɑːnˈnəmtˈeɪ
йәнне	jennɛ
йәнәшем	jænʲɛʂɨm
йәтим	jɛtiːm
йәткә	jɪ̞tkæ
йәш	jˈɛs
йәш өмөрөм — алсу цицәк, кибәр тимәгән итем... [йыр, “тусҡасан”]	jæʃ ʏ̞mʏ̞rʏ̞m ɑlsʊ̞ tʲitsæ kʲibært ʲimægæn ʲitʲɪm
йәшел йапраҡ йысын сеңтергәле аташҡан күңелегескә. [клара кучковская]	jæʃæl jɑpɾɑq jɯ̞sɯ̞n sɪ̞ŋtʲɪrgæ ɫæ ɑtæʃqɑn kʏŋjɪlgɪ̞s kæjɛ
йәшеннән	jɛʃɛnlɛn
йәшергәле	jæʃɪ̞rgæ̹ldɪ̞
йәшәйтеләр	jæʃæjtjɪlæɾ
йәшәп	jɛʃɛp
йәшәсәң	jˈɛʃɛsɛŋ
йөгергәле	jʏgɪ̞rgæ̹ldæ
йөгәнле	jˈugɛndle
йөр, алыш, урманға, сунарлап китәк.	gɪ̞r ɑɫɯ̞ʂ urmɑnʁä sʊ̞nɑr ɫæp ki̠tɛk
йөрисең	juris
йөркән	irken
йөрмә	jɯ̞rmæ
йөрсен	nˈɪɾˈsˈɛn
йөртөк	girtək
йөрү	jørø
йөрәгем	i̠rægæn
йөрәгемнең	jœrɛjgɪ̞mdæŋ
йөрәгемтә	jʏ̞rægɪ̞mtæ
йөрәгенә йәбеште тә ағарып китте йөсө. [клара кучковская]	jʲɪrægʲɪnæ jæbʲɪztʲɪ tæ ɑʁʁɑrɯ̞p kʲitːɪ̞ jɪ̞sɪ̞
йөрәйем	jʏ̞ræjʲɪm
йөрөгән	jʏɾʏ̞gæn
йөрөтөк	neɾɯ̞tʲɪk
йөрөң	jɯ̞røn
йөрөү	dʒʃ
йөрөүләремә	jʏ̞rʏ̞ʏlærɪ̞mæ
йөстән	jʊ̞stæn
кайгы-хәсрәт	qɒjqɒsɾet
калған	qɑɫɢän
кандидат	kandidat
кандидатлар	kɑndʒizɑtɫɑr
капчығы	qɑpʃiʁa
карағат	qɑrɑʁɑt
карточкаға	kɑrtɑtʃkɑʁɑ
кейемнәребесне	iimnɛɾɪbɪ̞sɪ̞nɛ
кейәкнең кейәр ибе ҡалматы.	ti̠jæknɪ̞ŋ tʲeːjær ʲibæ qɑɫmɑtɯ̞
кейәү	kje˩˥ː
кел	gæl
кем	kæn
кем әйтер игән — кем ҡәйепле йалғыс йөрөүләремә. [клара кучковская]	kɪ̞m æjtærɪ̞j jæn kɪ̞m qæjɪ̞pɫɪ̞ jɑɫɢɯ̞ð jɛrɫʲɪɫɛrɪ̞mæ
кентек	kɛntɛk
кенә	kene
кер	kervi
кергескән	kɛrgɛskæn
кергән	kɛrgæn
керекбейт	kɛnrkbejt
керешеп	kɾʃp
керле	kɪ̞rɫɛ
керле йортҡа ырсых кермәйте.	kɛrlɪ̞ jʊ̞rtqɑ ɑrsɯ̞q kʲɪrmæjtɪ̞
кермәйте	kɛrmæjtæ
керчеге	kɛrtʃɪgɛ
кеце	kɛtsɛ
кецегә	kɪ̞tsɪ̞gæ
кецегәләр	tʃɪ̞dsʲɪgæ̹lær
кецкенә паласы иргәлектән шер пулған.	kʲɪtskɪ̞nʲɪ pɑɫɑsɯ̞ ilgæ̹lɪ̞ktæn ʃærp bwʁɑn
кече уват	kʰiːppʰiː uːbt
кеше	kɪ̞sɪ̞
кеше-ғара	kɪ̞ʃɪ̞gɑɾɑ
кешеләр	kɪʃɪlˈlɛr
кешеләрнең	keʃilernæn
кешене	kæsænæ
кешенең	kɪ̞ʃɪ̞nɪ̞ŋ
кибән	jˈben
кибәр	kibær
кидер	kidɪ̞r
кийү	dˈiʁ
килгәле	kilgæ̹læ
килгән	kilgɛn
килгән кешене тың йылы ҡөрмәт итәтеләр.	kilgæn kɪ̞ʂɪ̞nɪ̞ tʊ̞ŋ juɫɑ qɪ̞rmæt ʲitæðjɪlɛr
килгәнтә	kjljɛntæ
килде	kildæ
килен	kileːn
киленцәк	ilˈɛ̃tsɛk
килеп	kɪlɪp
килепте	kelɛptæ
килеүегескә	kʲinɪ̞wɪ̞gɪ̞skæ
килеүне	kiliwne
килмәй	kɪ̞ɫmæj
килмәсә	kilmɛsɛ
килмәте	kɪ̞ɫmætæ
килмәтегес	kɪ̞ɫmætʲɪgɪ̞ð
килте	kiltɛ
киләте	kjlætjɪ
киләцәккә	dʒyɬɛtsɛkːɛ
киндерле	kʲindɪ̞rɪ̞ɫæ
кинтерле	ki̠ntsærjɪlɛ
кинцә	kintsɛ
кинәнтек	kʲiːnæntæk
кинәнтек ҡыр	kʲinæn tækɢɯ̞r
киршән	kissen
кискәнем	kiskiskənnɪmm
китабы	kitæbæ
китаплар	kʲitɑplɑr
китапларыбысны	kʲitɑpɫɑrɑbɑsɯnɑ
китапларыбысның	kʲitɑplɑrɯ̞bɯ̞sɯ̞nɯ̞ŋ
китапларға	kʲitɑplɑrʁɑ
китапның	kizɑpnɑq
киткесе	kʲitkʲɛsɪ̞
киткәннәре	kʲitkænnærʲɪ
китмәгән	kitmɛgæn
китмәйте	jɪtmɛjtɛ
китмәм	kietmɛm
китмәс	kiːtmæs
китте	kʲitːɛ
киттегес	kˈitlɛgɛs
киттек	kitek
киттеләр	kʲitːjɪlær
киттем	iθɛn
китү	kipˈe
китәрем	kitjɛrim
китәте	jtetj
китәтеләр	kiˈtɛzɛlɛr
кифен	kifɛn
кифенне	kipɪ̞nːæ
кицләрне	kʲitlærnæ
кичү аба	kɪtʃˈu wˈˈɑba
киң	kĩŋ
клара	klɑrɑ
клуб	klub
клублар	klwplɑɾ
клубларға	kɫwplɑrʁɑ
клубта	klûːptsâ
куца	qutsˈa
күбәк	kʁbk
күгел	klˈuːgəl
күзелтерек	gʏ̞zʏltʲɪrʲɪk
күк күл	kukˈœl
күкрәнтегә	kukrɛntsɛgɛ
күкрәнтегә алғасатым.	kʏkræntʲɪgæ ɑɫʁä zɑtɯ̞m
күл	tˈøːl
күлаул	kwlɑwl
күлләрең	kʏlːærɪ̞ŋ
күләгә	kwlɛgæ
күләт төп	kylɛtlop
күмелгән	kʏ̞mɪ̞lgæn
күп	gˈɯ
күптән	kʏptent
күралматыҡ	kɯ̞rɑɫmɑtɯ̞q
күргәле	kʏrgæ̹lde
күренкән	kʏrəntgəl
күрешеү	kʏrɪ̞ʂɛʏ
күрмән	kuɾmæn
күрмәсәм	kuɾmesem
күрмәң	kʏrmæn
күрсә	tʏɾsæ
күрсәтеү	tʊ̞rsætɪ̞w
күрсәттеләр	kʏrsætːʲiɪ̞lɛr
күртеләр	kʏrtjɪlɛr
күрше	kʏrse
күрше өйгә төртә төртә мамай китте үгереп. [клара кучковская]	kʏrʂɪ̞ ʏ̞jgɛ tɪ̞rtætɪ̞rtæ pɑmɑj kʲitːɛ ʏgɪ̞rɪ̞p
күс	ˈus
күс алтларымнан китмәйте йәмне иртеш пуйлары. [йыр, “иртеш таңнары”]	kʏ̞s ɑɫtɫɑrɯ̞mnɑn kʲitmæjtɪ̞ jæmnɛ irtɪ̞ʃ bwjɫɑrɯ̞
күсләрең	kʏ̞slærɛŋ
күсләрең синең — күлләрең, ҡашларың — ҡара урман. [клара кучковская]	kʏ̞sɫærɪ̞n si̠nɪ̞ŋ kʏ̞nɫɛrɪ̞ŋ qɑʂɫɑrɯ̞ŋ qɑrɑ urmɑn
күтәрелеп	gytærjøʁyp
күтәреп	kʏtærɪ̞p
күтәрәтеген	kytærætʲɪgɪ̞n
күцеп	kytsɛp
күцәкә	kʏtsækæ
күңел	tʏŋæl
күңелегескә	kʏ̞ngjɪlgɪ̞skæ
күңелемнең	tuːngɪlɪ̞mdɪ̞ŋ
күңелемнең сине уйлап өскәләнкән цаҡлары. [йыр, “иртеш таңнары”]	kʏŋɪ̞rɪ̞mɲɪŋ sijɯ̞næ ujɫɑp ɪ̞θkæ̹læn kæntɫɑqɫɑrɯ̞
күңелемнән	køŋɛlɛmlend
күңелләре	tʏ̞mjɪlːærɪ̞
күңелләребесне	kymilˈlɒɾibˈɒsnˈɒ
күңелләрем	kʏ̞njɪlːærɪ̞m
күңелләремә	kʏ̞njɪlærmæ
күңелләренең	tʏ̞nʏ̞ðːærʏ̞nʏ̞ŋ
кәбен	kæbæn
кәгәуец	kagɛuez
кәйеш	kʝɛjːɛz
кән	kɛn
кәнчәбер	kɛnʧɛbɛr
кәнәйеп	kænæjɪ̞p
кәпләгәнне	kɛplægænlæ
кәпләте	keplete
кәпләшеп-аралашҡылары	kæplæʃɪ̞pɑrɑɫːɑʃqɯ̞ɫɑrɯ̞
кәпләшкәле	kæplæʃkælɪ̞
кәпләшкәле рөҡсәт пирең ҡайран үс телебестә! [клара кучковская]	gæplɛʃ kælɛr ɯqsæt kɛldi qɑjrɑn ʔystilɪpɪsdæ
кәпләшмәйтеләр	kæplæʃmæjtjɪlɛr
кәпләүгә ибе юҡ, ясалмассың ицнимә.	kæplʲɪwgɛ ʔibæ juq jɑsɑlmɑsɯ̞ŋ hit̪s køz
кәреш	tʃiuiɾiz
кәреш үләне	kæɾ ɪ̞ʃʏlɛrnʲɪ
кәртупкә	kæɾtʏ̞pkʲɪ
кәртүшкә	kɛrtʃkɛ
кәртүшкә ҡыра	kæɾtʲɪwʃ kɛlqɯ̞rɑ
кәршән	kɛrsɛn
кәрәк	tsʲɛrekː
кәрәкле	kæræklʲɪ
кәрәкме	kɛrɛkmæ
көйлеген	ti̠jlægæn
көйләртән	ˈkleɾten
көймә	tʏ̞i̯mɛ
көйте	kɪ̞jtæ
көйтөрөп	kʏ̞jtɪ̞rʏ̞p
көйөмнө	qɪ̞jɪ̞mdʒʊ̞
көйөп	tʏ̞jjɛp
көйөүләрем	dˈoʊjˈulˈɛtəm
көл	tød
көл шәлбәйеп ҡалған.	tʲɪlʂælbæjɪ̞p qɑɫɢɑn
көлбану	kɛlβanou
көлгәле	køʁɛllɛ
көлек	tœnɛk
көлләр	tʏ̞nlær
көлсиба	tɾsiba
көлсирин	kjalsɪɾiːn
көлөү	tələʉ
көмөш ҡасҡан	tʏ̞mʏ̞ʂ qɑsqän
көн	tˈɪ
көнайланма	kɐnɑjɫˈɑnmɑ
көне төне йоҡлап йайып итсес ҡалырбыс шалай. [клара кучковская]	teŋɪtʲɪnʲɪ jɯ̞qɫɑp jɑjɯ̞p ʲitsɪ̞s qɑɫɯ̞r bɯ̞ð ʃæɫɑj
көннәрне	gʏ̞nlærðʲnæ
көнпағыш	kʏ̞npaʁɯ̞r
