abang	apãŋ
pedhet	peːteːt̪
pekarangan	pagkaːraːŋan
peken	vukːan
peking	pekˈinŋ
peksi	patsʲi
peli	li˥˩
pelog	plok
pemain	lamaːn
penak	fena
pendah	pɛnda
penek	pe˥˩n˩˩˦n˧
pener	pən̪ar
penerus	panarus
penet	ɑnɑb
penganten	bŋ˥˩aː˥˩n˩˩˦ʔtɕn˩˩˦
penggalih	pəŋgali
pengkeran	bŋ˧k̚˥˩rʌ̀n˥
pengrawit	bŋ˧raːt̚˨˩
pengrungu	pangronˈmu
penthil	paːn̪ɖil
penthol	pen˥˩tɑ˥˥lɑ˥
pepak	pɐpːa
pepalang	pɑpɑlaŋ
perang	prrʌŋ
perangan	rɑːŋan
perduli	pertuli
perkara	pˈɛrkˈorˈo
perkawis	perkaʋis
perlu	peɾˈlu
pesagi	pəsɑːkiː
pesisir	pazsjsɪs
pesthi	pastːi
peteng	papat̪ãŋ
pikiran	pʰiːk˥ɪː˧ráp˨
pilingan	pi˥˧lŋan˥˩
pinarak	piːnara
pindha	ɓindɔ
ping	pɛŋ
pinggir	pigir
pinter	t̪eɾ
pinulas	pɪnulas
pipi	pipˈi
pira	piro
piring reged	bʲiræ̀i̯n ɾakːɪ̯b
pisan	sian˨˩
pisanan	pi˥˩sǎnən
pitik	pite
pitik babon	pite papon
pitu	pitu
pitung atus	pito pou
pitung puluh	vitombulo
piyambak	pliːjampa
piye	pie
piyik	ˈeɪ
planet	planet
playu	tua˧˧iu˥˧
plerak-plerok	lalara˥˩˦
plerok	pliro
pocong	po˥˧tɕʰɔ˥˥ŋ˥˥
pocung	po˥˧tsʊŋ˥˥
pojok	pɔʧːɔ
polah	poːla
polos	polos
pon	pɔ̃n
pradangga	aːtˢtuːŋ˨˩lɤ
praen	bˌaɪn
prajurit	pəraːt̪tʃuɾeːt̪
prakara	pɾɔkɔrɔ
pramuladi	tramulati
prang	branʝo
prapta	prapto
prasaja	prasotsiu
prau	rau
prawan	raːwan
prayoga	prijuko
precil	pret̪sjl
prelu	pralum
prembayun	rəmbajʊ̯n
pripun	tripun
priya	rio
puja	putʃo
puja-puji	putʃoputsi
puji	putsi
pukul	pukul
pulas	pulas
pulo	pulo
pumpung	pompon
pundhak	unð̞a
pundhut	uɳɖut
punika	puniko
punạpạ panjenengan saged bạsạ jạwi?	ʔpʊnˈopə padʒanŋan ˈsakɛt puːsut̪ʃaːwi
pupu	pɔpɔ
purbalingga	poɾpɛɑliŋga
purna	uɾnu
purun	puɾun
pusaka	puːsoːkoːˈ
putih	pute
putra	pˌutrˈo
putri	putri
putu	butu
putus	putos
pådhå karo	prottoɔːkaːruː
rada	rotːo
raden	raten
radi	rati
rah	ra
rai	raːiː
raja	rotʃo
raja-kaya	rotʃakojo
rama	ro˩˥ːmo˥˩ː
rambut	rãmbuːt
rame	rame
rana	ɾɔnɔ
rancangan	n˩˩˦aː˧n˩˩˦tɕaː˧ŋ˧an˥
rangkep	raːŋ˦˥pʰ
rantang	raː˥˩n˥tʰaŋ˥˩
raos	aus
rasa	rosso
raseksa	rasksob
rasukan	rasʊ̄ˈan
ratan	râːt̚˨˩ɑŋ
ratu	ratu
rawis	rauz
rawuh	rao
rebab	e̞mˈpˈap
rebo	po˥˩ːku˥˩
rebut	rɑpput
redi	at̪i
rejeki	retʃekij
reka	reko
rembulan	rɑmbwln
rempon	brɐmːpɔn
rena	ɾanow
rene	rene
rerenggan	roβenˈgɑn
rerigen	r̥aːr̥iken
rewang	rjˈwāŋ
reyot	prijod
rikat	riːkat
rikma	ɾɛjtmõ
ringgit	ɾɪᵑgɪt
ringgit purwa	ɾɪŋkʰitːkʊrwɔː
riwe	riue
rodha	roto
rolas	rolas
ron	rn
rong	rɔŋ
rong atus	roŋaˈtʊs
rong puluh	rombulo
royo-royo	rujuruju
rubuh	rupːo
rugi	ruki
rukun	ruːkɔn
rumat	roːmatt
runtuh	ruŋdo
rupa	ruːpɔ
saben	saˈpən
sabin	pɪn
saestu	saestu
sagah	saːkka
saiki	saeki
saka	sokou
sakanca	sa˥˩ko˥˩n˧tso˥˩
sakit	sakɛt
sakiwa tengene	saˈki waːto nɛ̃ːnɛ̃
sakloron	saːkloron
sakmenika	saːɑmɐnɪkˌɔ
salah	ala
salah kaprah	salah kapra
salira	saliro
samangke	sɑmɑːnkeː
samekta	saːməktaʋ
sami	saːmi
samirana	samirono
samodra	samutro
samparan	saːmbaran
sampeyan	sampe˥˩an˥˩
sampin	sã˥˥pʊ˥˩n
samubarang	samoparãm
sandhuwure	taduˈre
sandi	sãn˩˩˦diː˨˩
sanes	sans
sanga	tʃiːzinɔːm
sangang atus	saŋgaŋ atʊs
sangang puluh	saŋan bulo
sanggar	sangar
sanggarunggi	sˌɔŋgɔːɾʊŋgˈi
sanginggilipun	sakɲiŋgilipun
sapa	sau̯pɔ
sapi	sapi
sapu	sapu
sapunika	sˌɑpˌʊnɪkˈɔ
sarana	saˈrono
sare	saˈre
sareh	sare
sareng	saːrəŋ
saron	saːrɔn
saron penerus	saˈron pəˈnɛrʊs
sasampunipun	saksampʊnip̪un
sasi	sã˥˥si˧
sasra	sɔsɾɔv
satemah	satɐma
sato kewan	satʰokʰn
sato kéwan	sa˥toʔkŋ
satriya	satrio
satuhu	satuhu
satus	tsatos
sawah	saːwˈˈah
sawanci-wanci	sa˥˩wan˧˥tsi˨wan˧˥tsiː˨
saweg	sawak
sawingkingipun	saːqwiŋkeŋipun
sawise	saːviːsiː
sawiyah	saɐuːjɑ
sawung	sau̯ŋ
seba	sejpo
sebab	sapˈtap
sebat	səpat
sebut	spud
sedasa	sɛtojsɔ
sedhiya	estio
sedhot	sat̪toːt̚˨˩
sedulur	stolor
sega	sɛkːo
seganten	sa˨˩kã˥n˧tan˧
segara	sakoro
segawon	sa˨˩kaːw˧n
seka	s˦əka˥˥
sekar	sekaɾ
sekaten	sa˦˥ka˥˥tan˥˩
sekawan	sa˥˩kâːn
sekedhik	saqəbti
seket	seːˈkæːt
seket siji	sa˨˩ak˦ʰap˨˩sì˥˩tɕʰiː˧˥
sekolah	sakula
sekolahan	s˦˥koɔːlaːkʰɐn˩˩˦
sekul	seko˥˩l
selasa	sa˨˩n˩˩˦ɔːʔsʰɔː
semarang	smaːrɑːm
semut	smut
sendhok	senˈdo
senen	sən˧n
seneng	lẽŋ˨˩laŋ˧˥
sengguh	sjæŋgo
sengkuyung	sŋ˥˩kʰu˥˥jʊŋ˥˩
seni	saj˥˩n˩˩˦tʰ
senthir	sənt̪ir
senthong	sint˨˩
separo	sɛpɑru
sepatu	səpatu
sepisan	səˈpisən
sepuh	sapo
sepuluh	spuˈlo
serang (kutha)	sejrãŋ
sesakit	saˈkit
seseg	səˈsək
sesengkeran	səsəŋˈgran
seta	sɪto
setengah	sætæŋæ
sethithik	sat̪it̪e
setu	sat˦tauː
setunggal	satunɣal
sewelas	sɔːlɑːs
sewidak	sowitːa
sewidak siji	suˈita sitˈi
sewu	sɛːw
sidik driji	səte tri si
siji	fˈaʃt
sikak	siːkaː
sikil	sikel
silit	siːlt
simah	seama
simbah	sjˈimba
simpen	sjmpən
sinambi	sinanbi
sinau	si˥˩nau˧˧
sinengker	siːnəəŋgər
sing	seŋ˨˩
singosari	ʃiŋgoːˈzˈaɾiː
sinjang	sin˥˥tɕjaŋ˨˩
sinom	sinom
sinoman	si˥˧n˩˩˦man˥˩
sinten	sintən
sirah	sirah
sisih	sisi
sisihan	si̯ʃian
siwer	sˈiwˈɚ
siyaga	seoko
slametan	sŋ̪amitan
slendro	slindru
slenthem	slandəm
slentho	slando
slentik	salaˌnˈtik
slintru	sɛˈɫĩːntruː
slira	sliːroː
soca	sʊ˨˩˦tsɔ˨˩˦
solo	sɐ̃uːaː
solo (sala)	sɔːlɔ
sore	soɾej
sothil	saːrteːl
sowan	sɔːn
sreg	srk
srempeng	srmpŋ
srengenge	frɑŋˈkɑː
srengéngé	ɾŋˈgeˈɲe
srepeg	srpak
sri paduka	sriˈbat ɗuko
srimpi	sriːpːiː
sripah	sriːpa
stagen	stakɛn
suda	tuto
sugeng dalu	su kˈi tˈɛn lə
sugeng enjing	suk˨rʊŋ˥˥ ẽn˨˩ʐən˧˥
sugeng rawuh	s˦˥ukŋ˨˩raːw˧
sugeng siyang	sukŋ˨˩siaŋ˥˩
sugeng sonten	suː kən˧˥sən tən˧˥
sugeng tindak	sukəŋ ti˥˩nda˥˧
sugih	suke
suguhan	sukˈuʁɑn
sujen	sutʃen
suku	sˈuku
sukun	sukon
sulap	soɾrɑt
sulaya	sulojo
sulih	sule
sultan	sʊlˌtan
suluk	suːlˈo
sumangga	sumɔŋgo
sumawana	sʊ̃maːwono
sumbul	sˈumbɔɾˈʌ
sumebar	sumoppar
sumedya	sumetjo
sumengka	sumʊŋgə
sumerep	sʊmɤ
sumilir	sumilɛr
sumpek	som˧pa˟ːk˥
sumurup	suːmuːrok
sungkan	sʊŋ˥k̚˦˥an˥
sungkem	sʊŋ˨˩kɐm˥˩
sungu	sʊ̃ˈʊ̃
sunya	suŋ˨˩ljoʊ˨˩˦
supados	supatos
surabaya	suɾɒbˈɔlɔ
suradira	soɾotiɾo
surakarta	suɾɔgaɾtʊ
surjan	soɾtɕæːn
suroboyo	sʊropʊjo
surup	sʊrop
surya	suɾjɒ
susu	swsˈu
susuh	susˌo
susuhunan	suhsuahunaːn
susuk	susˈo
susur	susur
sutawijaya	supovidʒoio
suwala	sʊɔlɔ
suwar-suwir	suaɾsueɾ
suwuk	sˌuːo
swara	svorɔ
tabuh	tapu
tak	tak
takon	ta˥˩kɔn
taman	ta˥˩man
tamba	tɔmɟɔ
tambah	tamba
tameng	ta˥˩mŋ˨˩
tampah	tampɑ
tandha	ton˩˥ːdo˥˩ː
tandur	fanduɾ
tanduran	t̪ãn̪t̪d̪uɾan
tangan	ta˥˩ŋ˧n˥˩
tangeh	taŋeʃ
tangenipun	saŋˈgemiːbun˨˩
tanggap	ta˥˩ŋ˧p̚˨˩
tanggap warsa	tua mkɑːrwaɾsɔ
tanggung	ta˥˩ːŋgun
tangsel	taŋ˥˩sɔː
tanjak	pan˩˥ːdʑak˥
tanpa	tampɔ
tapak asma	tapa asmo
tapih	tɐpːɨ
tapuk	tɑpɔ
tarik	are
tata	to˧˧tɔ˧˧
tatakan	ta˦˥ta˦˥an
tatanan	ta˦˥tanan˥˩
tatu	tatu
taun	tɑːn
tawon	ta˥˩n˧
tayub	taio
tebih	tɐpːix
tedheng	tavtɛŋ
tedhun	tətn
tegel	t̪akːl
teh	tɛʃʰ
teji	te˥˩ʈʂi˨˩˦
teka	tako
tekun	stakon
tela	te˨˩lo˥˩
telu	alˈu
telulas	t̪elulas
telung atus	təlʊŋ atʊs
telung puluh	taloɔᵐbulo
temah	tɑmɑ
temanten	t̚˨˩maːnt̚˨˩an˧
tembe	tambɪ
temen	tɐmən
tempik	tɛmpi
temulawak	m˥˩laːw˧˥a˦˥
tenan	tɑ̀nn
tengah	tɐnga
tenger	taŋar
tepa slira	tpoɾsɫiːro
terus	daɾuz
terwelu	tɛrwelʊ
tetedhan	təpˈtapˈtan
teteg	tata
theklak-thekluk	taklatakklo
theklek	taklæk
thok	tauk
tiba	pipo
tiga	tiko
tigang	pliːkang
tikus	tikus
tilem	t̪iɭəm
timur	t̪eesmãɾ
tindak	ina
tinimbang	tiːnimbuŋ
titihan	t̪iːpɪhɐn
tiyang	tian˥˩
tliti	pliːtˢiː
tokoh	toːkːo
tomat	tʊmɑt
tosan	tʊ̞˨˩san˩
toya	tojo
trengginas	trŋgɪnɑs
tresna	trɛsnou̯
trinil	tɾinil
tuladha	tuːlɔtʃtʃɔ
tumama	tumɔmɔ
tumeka	tomɐkˈo
tumekeng	tʰuːmakaŋ˨˩
tumrap	t̪umra
tumuju	tʊmˌutʃˈu
tumut	tʃiːzimɪt
tuna	tuno
tunggak	tuga
tungkak	tunka
tur	tʊɾ
turangga	tʊrɔngɔ
turu	tʊrʊ
tutuk	tˈutːo
tutup	tˈʌtˈɔp
tuwa	tɛu˥˩oɾ
ucul	utʃoɾ
udheg-udheg	otakotak
uga	ukːo
ugi	ukːi
ukuran	ukuran˥˩n
ula	kulõŋ
ulam	ulam
ulat	ulat
uler	ulaɾ
umum	umum
umur	umor
untu	ũn̪d̪u
untung	punt̪o
upama	apo˥˩ːmo˥˩ː
upaya	ˈupojo
urip	puːrip
utama	utomo
utawa	ɨtɕlo
utawi	ʔut̪aːw˧
utusan	ut̪usãn̪t̪
uyah	ʊˈjɑh
wadi	vˈɛstˈɛ
wadya bala	a tlapo lo
wae	waj
wage	akːe
waja	ɔːtːʃoː
wajur	natʃɛ
wakul	ʋaːql
walanda	aˈlɔnto
walang	walau˧
wana	vono
wangkingan	wǎŋ˧kiːŋ˧an
wani	vˈɑni
wanita	a˥˥wa˥˥nitʰo˨˩
wantun	wan˥toon˧
wara-wara	waːraːwaːraː
wareng	waːrɛːŋ
warni	aɾni
warsa	arɨsɑu
warung	ʋaːɾʊŋ
watak	wɑtɑ
waton	wã˥˥ton˥˥
watu	toɹo
wawuk	wˈaːvu
wayah	wɑjɑ
wayang	wã˥˥laŋ˨˩
wayang klithik	ʋaːjˈæn klite
wayang kulit	ua̯aːjaŋ˧kuːɔːn˥˩
wayang purwa	vajaŋ pɔrʋɔ
we	vataɕitatsɯ
wedhus	vˈʌtdˈuʒ
wedi	wɔtːt
wedok	wˈitːo
wektu	ʋɑktˤuː
wenak	lˈana
weneh	vaeme
wengi	uaŋ˧˧i˥˩
wening	wˈɔɹnɪŋ
wentis	antˈes
werkudara	aɾkut̪aɾo
wesi	waːsiː
wetan	ʔw˧jtan
weteng	wɔstŋ
wicaksana	li˥˩tsʰak˨˩so˥˥nɔ˥˩
wilangan	ʔwiːlaːŋan
wilet	iːt̚
wingi	ui˥˧ŋ˥˥i˥˧
wingking	ʊi˧˧ŋ˥˥kĩŋ˥˥
wis	wˈɛθ
wis angèl olèhé ngéntukaké, iwaké mung mrucut ucul.	ʃaŋɛl ɔlɛ heŋɛn tɔː kɛ jiwaː imɛum ɾudʒotʃul
wit-witan	ljkljˈtan
wiwit	ʔwiː˧t˥
woh	vɒː
woh-wohan	waːhwɔːhɑŋ
wolu	uɔɫˈɔ
wolung atus	boluŋaːtʊs
wolung puluh	ɔlɔŋ puːlɔ
wondene	undini
wong	uɔːŋˈmɯː
wong liya	w˧˧
wonten pundi	wɔːn tɛnˈpɔn dɪ
wos	vˈɔs
wudel	pɔtɛl
wudun	voːtɔm
wujud	hutʃit
wulan	ʔw˧n
wuri	bʊ̞rɪ̞
wus	bos
yaiku	jo˥˧iku˥˧
yekti	jɐt̚t̪iːv
yogya	juqjo
yogyakarta	jokio˥˩ka˥˩rto˥˩
yogyanira	iokianiro
yuda	juːdo
yuswa	juːsʋoː
étung	tʊŋ
