a	aɾ
gurrî	ɣrʲiː
gurz	guz
gurz lê dan	guɾzliːdɑr
gustîl	gustˈiʎ
gustîrk	gʊstʲiːrk
guvaştin	guvaʃtɪn
guzm	gøzim
guşî	ˈʌgossˈiɛ̃
gwêşî	gʊˈeʃi
gwînî	gɛaˈwɪni
gwîrêz	gʊiɾezi
gwîzek	guizɐk
gêhtik	ɪ̞htɪ̞k
gêhtikstûr	lʲextr
gêj	gʃ
gêrs	gɛrs
gêrvês	kelɾʃ
gêrê	giriˈ
gêsin	gɛlsɨn
gîsme	gizmˈa
gîyadîn	ɟiladim
gû	guː
gûdde	gudˈa
gûfîk	gufik
gûgerîn	guːkˈɛriːn
gûgirêfk	gʊgɾəvk
gûhesin	boːhɪsˈin
gûhûr	guhuɾ
gûhûşk	guɦˈuʃk
gûjme	guʒmˈɛ̃
gûlden	gʊlˈdɾˈəɳ
gûlik	guːlik
gûmez	gumaz
gûmik	gˈuˈmʏk
gûn	guːn
gûnî	guːniː
gûp	gˈuːp
gûpa	gupˈa
gûran	ɣurɑn
gûse	gusɐ
gûsik	gusɯ̞k
gûsinc	guzindʒ
gûsk	guːsk
gûstêrk	gustɛɾk
gûşpil	goʃbe
gûşîdar	goʃiːdɑːr
ha	a
hacî	ħɑdˈʒiː
hacî omeran	ħadʒ uːmɑːrɑːn
hajok	adʒoːk
hak	rəg
hal	jɛn
halowal	χɑːlugˈwaːn
halîm	ħælæm
halûmeselet	aħalmaθlɪt
hamnan	hamnaːm
hamûr	haːmuːr
hargûş	harˈguːʃ
hars	heːɾs
harsim	harsem
harsîn	harsiːm
harsînî	ɦɑːɾsɪːniː
hastûk	hastug
hatin	ɦɑtɯ̞n
havêtin	aːvetim
havîngeh	kavinːgːɑhˈrɑn
hawar kirin	aːlɑr kɪ̞rɪ̞ŋ
haxte	ɑqtɑ
hay jê hebin!	ɦɑj dʒeɾæ hæbˈm
hazîranî	ɒːzæiːɾɑːniː
hebûn	æboun
hec	ħɑdʒ
hecî legleg	ħadʒiː lætɫɑg
hedinandin	həd̪inɑnd̪ɯn
hedinîn	hˈədˈɛnɪn
hefnikî	χæfnkiː
heft	haft
heftreng	hæftræng
heftê	ħafte
hejdeh	adʒda
hejk	hæʃk
hejmar	ɦɛzmɑːr
hejîr	aʒiɾu
hek	q
helebce	ħɑlɑptʃɑ
helepçe	alptsʲi
helez	helezæd
heliz	ɦælʲiz
helwest	helwˈest
helîl	ħaliːl
helû	ælˈo
hem	tɛn
hemam	ħamaːm
heman	heˈmɑːn
hemandin	hæmæntɪm
hemanekî	hemɑnɑki
hemdanî	hemedɑːniː
hemedan	he̞madaːn
hemewend	amwaaːnd
hemoreşk	hamˈorʃk
hempa	hampo
hemîkan	ɑːmiːkɑːn
hemîn	ɑmɪn
hena	fana
hendîv	həndˈiv
heqîqe	faqˈiːqa
heqîqî	ħækiːqɪ
her	hæɾ
herbeqne	hærbɑqnɑ
herf	ħɑrɛf
hermet	ɒrmɒt
herweha	arohe
herêm	ħɑˈrɛjm
herî	ħɑriː
herî baş	hɛɾiː baːʃ
herî pîr	hæɾiːpiːɾ
hesenan	ħasˈnɑːn
hesilîn	hæslin
hesin	hɛsm
hesinker	hɪ̞sɪ̞nkær
heskîf	æskif
hespê dibeze	χɒsbi eˈntɒbɒzɒn
hestî	hɒstiː
hestîv	hastˈiːv
hesîg	hasig
hetikandin	hətkandɪn
hetikî	hetkiː
hetikîn	atkiːn
heval	ɑːwɑːn
hevaldeng	havaldunˈg
hevaljîn	ævælʒiːn
hevdeh	hæʏðæ
hevjînî	havʃiːniː
hevoka sereke	ɦɛɫokas sɐrkɐ
hevpişk	hæfbɪsk
hevpol	afˈpɔl
hevrîşim	hˌɛvɹiːʃən
hevrîşm	havreʃ
hevsazî	ħafsɑːziː
hevîzar	hvizɑːr
hewal	ħɑwɑl
hewlêr	hau̯leːr
hewz	aus
heye	hɛjɑ
heyra	χæjˈrɑ
heyv	hˈeɪv
heyvane	te̞jˈvɒːnɒː
heyvbanû	e̞jv̞bɒːnuː
hezar	həˈzɑr
hezinîn	hæzðeˈnˈɪm
hezmaz	hæzmæs
hezo	hæzoː
hezîranî	hæziːɾiːɒːniː
heçkû	ətʃku
heşt	ħæʃt
heştwan	hæʃtuːan
heştê	hæʃtiː
hicirandin	gɛrdɕirandim
hijdeh	kɛdʒda
hilandin	kɒlandɒn
hilbijartin	elbʲidʒaːrtʲɪn
hilbijêr	ælbʒiːr
hildan	heldɒn
hilgirtin	aːlqɛrtɪm
hilreşandin	hjɪlɪ̞ræʂɑndɯ̞n
hiltî	helthi
hilweşandin	helvajsandeːn
hilweşîn	heloʃiːn
hinar	ɦənɑːr
hinarek	kˈɑnark
hinav	ɦɛnav
hindik	hɯ̞ndɯ̞k
hindirû	ezzlesew
hine	ħana
hinek	hɪ̞næk
hing	høng
hingivîn	ħɑngʲvæn
hingulîsk	anguliːsk
hingur	munguɾ
hinguvîn	hˈəlˈgɐvˈɪnˌ
hingê	həŋˈgiː
hingûv	hˈəngˌuv
hinkov	tɛnkɔvɐ
hirmî	fɪrˈmiː
hirç	ertʃ
hirî	hri
hirîn	rne
hirît	riːd
hirîyî	riːjjɪ
hisarê	bzˈɑːrʲ
hivdeh	ħæbːæh
hiş	ejʃ
hişik	heʃˈɛk
hişk	ħɑʃk
hişyar	əʃiːaːr
hişyar bûn	pʃjˈɑːrboːn
hişyar kirin	hʏ̞ʂjɑr kɪ̞rʲɪn
hoker	ɦugar
hol	pɔl
holhol	hoːlhoːl
hrî	ri
hunda kirin	punda
hunermend	ħɔnˈrmænæd
hungistir	unɣɯstʲɪr
hungulîsk	pʊŋgulˈeʃk
husênawa	aasˈsˤɑːnɑːuːɑː
hêja	ɦeːʒɒː
hêja bûn	æˈsæbˈuːl
hêjar	ɒːˈnʒɒɾ
hêjî	etʒˈi
hêk	hˈeɪk
hêkesîr	egəsiːr
hêl	ɦɪl
hêro	eɾəʊ
hêsa	ɦisæ
hêsan	hɪzsɒn
hêstir	ɛstɪr
hêvî	en
hêwîş	æɾwˈɪʃ
hêz kirin	əskˈɾˈɯn
hêşin	hejʃiːm
hîm	fʲin
hîn kirin	hʲen kɪ̞ræn
hînik	tʃiːniːk
hînker	hiːr
hîrov	hˈiɹoʊ
hûn	hun
hûnîn	kuːnin
hûçik	ɦuʊtʃɯk
iro	ˈɪɾˈo
ixdir	ɪ̞χdɪ̞r
jar	ˈdʒɑːr
jehr	dʒˈɑ
jehr-dan	gˈʌʁˈdɑn
ji kû	ʒˈə- kˈu
ji yekî hatin	ʒiːɛ kiː ɦɑːt̪n
jidandin	ʒɛdɑndɯn
jikerêketî	ʒukrekatia
jimar	zumɑɾ
jimartin	ʒmrtən
jin	ʒen
jinik	ʒʏ̞nʏ̞k
jê hez kirin	dʒe ez geɾeŋ
jêhat	ʒɛːhɑt
jêhatî	ɟɛɦɑti
jêkirin	ʒigɪ̞rʲɪm
jêpanî	ʒʊˈbɑːnɪ
jêr	ʒˈeɪɹ
jêrenot	ɟəranuːt
jî	ʒiː
jîn	ʒiːn
jîr	ʒiːr
ka	ˈkaɾ
kabok	kɑːbˈʊk
kadiz	kʌbˈɛz
kadîn	kaːdiːn
kahrîpese	kħriːpəsə
kakabaveh	kakɑbaːvɑ
kakate	kakata
kamdar	kæmdɑːɾ
kanî	kaːni
kanîya qehbê	kaːn ja kaħteː
kanûn	kanuːn
kar	kɑːr
kar kirin	kagɾˈgɯrɯn
karberdan	kareberˈdan
kardar	kardar
kargeh	kärgæ
karger	karrgɛr
karmend	kɑrmɛn
karrica	karradʒa
karçîn	kartʃiːn
karî	kaːriː
karîn	kaːriːm
kasika fincanê	kazka fʔiːn kanji
katalunya	kataluˌnia
katjimêr	katʃmɛr
kavar	gɑːvɑːr
kavil	gɑːvən
kavil bûn	kavɪl bɔːn
kavil kirin	kɑwɪ̞ð kɪ̞rɪ̞n
kaw	kau
kawayê hesinker	kɑwɑjɯ hasim kʰæʃ
kaxez	kavəs
kaxizman	kɑːgzmɑːn
kay	ɟʰoi
kaş	kɒʃ
kehnî	kæˈne
kehnîmirî	kæhˈnimˈrɪn
kehr	kär
kejolî	kədʒɔːliː
kek	kˈat
keldûman	kaldˈumɑn
kelepor	kɾpːɾ
kelhok	klˈoːk
kelhûrî	kəlɦoːriː
kelijandin	kæ̹lʲʒandɪ̞n
kelijî	kenɢiː
kelijîn	kandexine
kelmêş	kalmiːʃ
kelpûç	kalputʃ
kelê	kæˈliː
kelîme	kælima
kemnik	gømlik
kendal	kandɑːr
kendûlî	kalˈduːliː
kengî	kẽ̞ngi
kerb	kærbou
kerboran	kare̞bɔʁrɑːn
kercews	kəɾidʒauʃ
kereh	kmikro
kerex	kɐrɐχ
kerkuk	hɛrkuk
kerpîç	kɛrpiːtʃ
kerr	kər
kertê	kaɾti
kerî	kæriː
kesidandin	kasidɑmdiːm
kesinan	kɾɑsɑjnɑːn
kesper	kɒspɒr
keverzo	kavaɾzo
kevgîr	kəðgiːr
kevin	kɛvɪn
kevir	kɐˈvɪr
kevirî	kamriː
kevlo	kavlo
kevn	kɛvɪ̞n
kevok	kavok
kevot	kevˈut
kevzî	kʌfzi
kevçî	tʃiːˈt
kevçîk	kɛvˈtʃɪk
kewe	kɐua
kewçer	kɒutʃˈɒɾ
kexte	kɑxtɯ̞
keyber	kajbas
keye	kejˈa
kezebşewitî	kazapʃaːbti
kezer	gəzəɾ
kezidandin	gazidɑndɯn
kezidandî	kazdaːnˈdi
keç	kɛtʃ
keçik	katʃɪk
keçmam	keˈtʃmɑm
keşf	kajʃ
keştî	kʃtiː
keştîya binav	kast̪i benaːv
keştîya hêlekanî	kʃtia ħɪl kaːnəi
kil	kɛl
kin	kɛn
kinoj	knuz
kird	kɯ̞rd
kirdas	kɾdɑs
kirdasî	krdsi
kirde	keɾiˈdæ
kirin	kɪ̞rɪ̞n
kirkirîn	kɾkriːn
kirmanc	kɛrmandʒ
kirmanşan	kɯrmanʃa
kirmaşan	kermɑːʃan
kirrandin	kɾandɯˈn
kirrîn	tʃiːzi
kiryar	kriːˈɑr
kirêker	kriːkəˈrɛjkəar
kirêt	kjʁeɦit
kirîn	kɾeːm
kit	qit
kitêb	kɛteːb
kiştiban	kʃtæˈbɑːn
klaw	klou
kobanê	kɔbɑnɛ
kokan	koːˈgaːn
kokazer	kulkazɑɾ
kolber	koːlbˈɛr
kom	kum
komel	qɔmæn
konsolxane	kɑnsu�lxana
kooca	kugudʒuː
kopal	kɔɬɓɑl
kor	kɔːr
kos	kɔz
kovan	koːvɒːn
kovar	kʊbɑːr
kox	kˈuʁ
koçer	koːˈtʃar
koşk	kuʃk
ku	v
kubar	kubɑɾ
kud	kud
kudik	kudɯ̞k
kuflet	kœflɛt
kujer	kuzˈzɑɾ
kul	tʃu
kulav	kʰæˈlæv
kulek	kwlˈlæk
kulpavyeyî	kəlpaːviː
kulî	kwliː
kulîlk	kˌulˈˈig
kulîn	ʒʊəlɪn
kulînka şevînê	kuˈlˈinkˈa ʃeˈvjne
kum	kum
kumik	qʏ̞mʏ̞k
kun	kun
kunandin	qunandim
kund	kund
kundir	qundir
kunebace	koːnəbaːdʒə
kungî	kʰɪŋjiː
kurd	kaɾd
kurd e	koɾdɒːm
kurd im	kɒɾdim
kurd in	kurdun
kurd î	kɾdiː
kurdayetî	qrdaːjædi
kurdistan	kurdɯztɑn
kurdperwerî	kʊˈɾˈdpəɾˈvɑri
kurdzanî	kʊrtsaːniː
kurdî	kurdiː
kurdîtî	koɾdijti
kurdîzade	kyrdigazada
kurmanc	gʊrməːns
kurr kirin	kʏrkʏrˈn
kurrîs	kɾiːs
kurêz	kɹˈiz
kus	kɾʏss
kutan	qɯ̞tɑn
kutkutok	kutkutɔɫk
kuwar	kugar
kuzênî	quzzini
kuç	kutʃ
kuçe	kutʃa
kuştar	kʏ̞ʂtɑːr
kêfxweş	kifʁaʃ
kêlek	kijɬɛk
kêlgeh	kejɪlgæ
kêm	kɛːm
kêmdil	kɪ̞mdɪ̞l
kêr	k
kêrx	kɪ̞ræx
kî	ti˥˩
kîjan	kʲiʒoː
kîlomêzîn	kilomezeen
kîpik	kipɯg
kîr	kig
kîrquzdê	kirkusd̪e
kîrvindê	kirvɨnde
kîrê sa	giːɾe̞sɒː
kîte	kʲitæ
kîvroşk	kivroːʃk
kû der	kudɒɾ
kûmzarî	kʊlmzɑːriː
kûr	kˈuɾ
kûtûm	kutum
kûz	kuz
lal	lˈɑl
lal bûn	lɑlbun
lao	lɛːv
las	lˈɔs
lat	lɔt
laundry	ʒɛl˨˩˦tʃi˥˩oʃ
lavlavk	lˈʌvlˈɔf
lawaz	laːvɑz
lawik	laɪk
lawir	laːr
lawj	lauʒ
lebat	labat
leg	lˈɛg
lehbok	laħbuːk
lehd	laħt
lehî	lahˈi
lekij	lakˈɛʒ
lem	la
lempe	lɛmpɑ
lepik	ɫæpəg
leq	bˈɫɑ
leqayî hatin	læqɑj ħɑtæn
leven	laːn
lewitandin	lotsyndiːn
lewitîn	ne̞ʊtˈin
lexav	laxˈb
leyla zana	le̞jlɒː zɑˈnɑ
leymûn	lajmin
leystikvan	liːstɪkvˈɑn
leystîn	ɫestim
lezgîn	ləgˈgiː
li	lɛ
li dar	ləd̪ɑːr
li hêvî man	lahe viːmaːn
li vir	lɪvɛr
li wir	lɪvɪd
liherk	laħerk
lihêf	laħˈiːθ
limêj	lɛmɛʒ
limêjker	lemijʃkəɾ
livîn	lvˈjˈn
lokî	loki
lort	nˈɔrd
lorîn	loɾiːn
lê	le
lê gerîn	niːtˈriːn
lêhatî	lɦɑt̪ʰiː
lêker	neːkər
lêkolîner	lekɔliːnər
lênehatî	lne̞
lênûs	linuz
lêv	lˈiv
lêxistin	lejxestim
lîbya	lˈɪbɪə
lîce	lˈidʒɐ
lîm	liːm
lîstikvan	lɪstɪkwˈʌn
lîte	lɪˈtə
lûş	louge
ma	maː
mabeyn	maːbeːn
mabên	maːbiːn
mader	maːd̪ɾ
maf	mˈɑf
mafdar	mɑfˈdɑr
mafhez	maːfħaz
mafxwax	mafˈxuaʃ
mafxwaz	mæfxɑs
mahsun kırmızıgül	mɑχswŋ kɾi̠ɾmɯ̞zɯ̞ gʏl
mahîzerd	maːasjæːr
maker	mɑːkɑːr
makew	makɐu
makî	maːkiː
mal	mˈɑl
mala xalo	maːlɑː xɑːloː
malavanî kirin	mˈɑˈlɑvɑnˈ niˈkɪrɪŋ
malbat	mælbɑt
maliştin	mɑɫɯʃtɯm
malkambax	ɑlkɑmˈbɑx
malnexirab	malnæxrɑb
malper	mɑːlper
malxirab	mælxæˈrab
malî	ɑli
malîn	malim
malşewitî	malʃoːti
mam	mɒːm
mamekîye	maːmˈæːkiːja
mamosta	mamustæ
mamoste	mɑmustɛ
man	mˈɑn
mandel	mandəl
mangane	mangɦne
manîsor	mɑnjsɔr
mar	mˈɔɹ
marg	mˈɑɹk
margîsk	margijsk
marmasî	mɑːrmɑːsˈiː
maro awî	maːrʔɔ̀ɪ
marûnî	mɑːrˈvunj
mas	mˈɑːs
mast	mˈɔst
masî	mɑːsiː
matmayî	matsʲmai
mava	maːva
mavajî	mɒːvɒːʒiː
may	mˈaɪ
maçû	mˈɑtuːb
maşot	maːʃuːt
me	me̞
mebest	mabɛst
medd	mˈad
medrese	mˈadˈrˈassa
medîne	mɑdiːnɑ
mef	mˈas
mefteh	mafˈtˀɑ
mehabad	maħʔadˤ
mehacir	mɑhɑdʒɯɾ
mehane	mahɑnɑ
mehebad	maħabat
mehemedî	maħadˤiː
mehmedêl	maħmdiːl
mehzûn	ɑħzuːn
mehîn	mahj
mekteb	mˈˈkˈtoˈpˈ
melaqî	malaːqij
mele	mælæ
melek	malak
meletî	malati
melheze	manħæzɑ
melhêb	malheːb
melivandin	malʊvändɯm
melkis	mɛlkɛs
melû	maluu
mem û zîn	mæn uːziːn
memê drêj	mɛmiː dɾɛjʃ
mencel	manʒɒl
mendel kirin	mæn dæl kɪ̞rɪ̞n
menqel	manqɑl
meqbûz	maqbuːs
meqes	maqas
meraş	mˈarˈjˈs
merd	merd
merendî	maɾanð̞i
meres	mˈaɾaz
mereto	mʊˈrɑːto
mereş	mæɾæʃ
mergeh	margæ
meriv	mɛˈriv
merivatî	məːrɪvɑːtiː
merxes	maːxˈs
merçiqî	mˈartʃəkˌi
merş	mɑːrʃ
mesîhî	misˈiħi
mesûd barzanî	mæˈsuːd bɑːrzɑːniː
metelok	mataloːk
metik	mətɪk
metirsî	mataɾsi
metre	matro
mewlid	maːvlɪd
mewîj	mˌɐ̃uˈiʒ
mexmûr	mˈɑxmuːr
mexzenîk	maɣzni
meydan	mejdan
meynoş	mˌeɪnˈuʒ
mezel	maːzəl
mezgir	mæzgʲɪr
mezin	mɒzɒːn
mezra	mɛzrɑ
meşhûr	maʃhuːr
mi	m
midyat	medjat
miherk	mɑhɑrɑk
miherka xewê	mʊ̃ʊ̂rkâːx xoːˈji
mihû	naaɦoː
mijdar	mʃdɑːr
mijîn	mɛgːin
mijûl	mʃuːl
mil	ml
milk	tɪlt
milqot	mɑlˈqut
min	men
minminîk	mɛnmɪnˈjiːk
miqeş	mɑqɑʃ
mirad kirin	mˈraːt gˈaˈrim
mirdalî	mrdali
mirin	mɪˈrʲɪn
mirován	merovon
misliman	mɯzlimɑn
mist	mɪst
mitehandin	mʊ̞tæhɑndɪ̞n
mitehîn	mætˈʃæl
miwêl	loːl
mizgeft	mizgoft
mizgevt	nˈɪsgˈft
mizgewt	mʲəsgoːt
mizî	nˈeˈziː
mişar	mʃɑːr
mişema	mʃɾma
mişk	mˈɪʃk
mişkul	mɑʃˈkɑl
mişmiş	mʏ̞ʂmʏ̞ʂ
mişo	mʃu
mohr	mɔɦʊɾ
molet	mæn
mon	mon
morîstank	mˌɔristˈɑŋ
motkî	mɔtki
mozezebeş	moːzɔzɔbʃ
mozîzer	moːzizəɾ
msas	jʊŋ˨˩˦joʊ˥˩˦ttnjɛn˥˩
muzîkjen	muzˈidˈʒaɛ
mê	ne
mêhtandin	mæhtɑndɯn
mêhtin	mæhtɪ̞m
mêjî	meʒi
mêjû	meʒu
mêr	meɾ
mêrdînîyan	merdsjnian
mêrekî	mˌeɪɾɨkˈi
mêrînî	mjɾn
mêşa hingiv	mˈaɪʃɑ ˈɪn gˈɪf
mêşin	mɪˌʃæn
mî	mˈi
mîde	mita
mîjî	migj
mîna	mino
mînak	miːnɑːk
mîr	nˈiɹ
mîrate	iːɾatɒ
mîrmîrok	mɪrˈmjrok
mîrzayê biçûk	mir zajp ɟʉk
mîsoger	miːsuɫgæɾ
mîz	liz
mû	muː
mûhemmed	æhˈmˈad
mûnîse	muːnˈisɑ
mûz	mˈuz
mûç	mut
mûçink	mʊtʃˈɯnk
mûş	muz
na	nˈoʊ
nal kirin	nɑlkɪ̞rʲɪn
nalîn	naːliː
name	naːmə
namil	nɑːmɪl
namzed	namˈzæt
nan	nˈaɪn
nandoz	nɒːmdoːz
nanegoşt	nanagɔʃt
nankor	nankuɾ
naumîd	naːmiːt
navber	nˈoːstˈɾ
navbeyn	naʊ̃biŋ
naverok	naːbruk
navgonk	nˈafgʊŋ
navneteweyî	nˈɔvntˈvˈi
navran	navron
navranqeta	nafɾaːnqata
navranqetanî	naːvˈɾɑnqɑtˈtaːniː
navteng	afak
navê min	naviː men
naw	nˈoʊ
naxebite	nɑχʃaːbeta
nazik	nɑːzɯk
naçar	nɑːtʃɑːr
ne	nˈoʊ
nebûn	nɛbuːn
nedilovan	nadloːˈvɑːn
nediyar	nˈaðˈiʝˈs
nefel	nfɑl
neh	nɛ
neheq	nɑhˈq
nehwêd	naħwaːt
nekêlayî	nakʰeːlaːɦiː
nemaz	næmæz
nenas	nɛˈnɑs
neng	neng
nepen	napan
neptûn	naptˈuːn
neqar	nɑqɑːr
neqd	nə
neqebok	abok
neqenc	naqenʃ
neqenctir	naqlɯʃtɯr
neqerûşk	naːgɒruːʃk
neqirandin	nɑqiˈɾandim
neql	nɑqn
neql kirin	nɛ qɯ̞l kɪ̞rɪ̞n
neqlan	nɑqlɑn
nerast	narast
nerbêl	nrbjð
nerm	nærʊ̞m
netew	neter
netewe	natoa
neteweyî	nɛtaːrgɪ
nevî	navˈi
new	nˈoʊ
newal	nuaːl
newala dirêj	naoɑlɑ drʒ
newaq	nˈoːfˈaq
newroz pîroz be!	nʊroːs biːros be
new­roz	naʊɾˈuz
next	ˈaxt
nexweş	nˈahwˈaʃ
nexweşxane	nɑqʃxɑːnæ
neynok	nejnuːk
neçandî	netʃaːndi
neşaristanî	naːʃɑːrstɑːniː
nifir	læfteːr
nift	nˈɛft
nifte	nˈɪftə
niha	nɑhɑ
niho	nɛːngeː
nihên	nɛgɪn
nijad	nˈedʒˈa
nijadperestî	neadzʲinresti
nik	ɛk
nimaj	nəmaːʒ
nimayîş	maː
nimêj	nɛmɛjʊʒ
nirx	mˈˈɪrˈjx
nirxandin	merxandɯˈn
nisilîn	nɛsɛliːn
nivistin	nɛvɪstɪn
nivişt	nɛvɛʃt
nivîn	nˈevˈin
nivîsbar	navisbar
nivîskar	nevaskar
nivîskî	ɛne
niwanî	nuaːniː
nizarê	lizare
nizilîn	nzln
nişk	ʃk
niştîman	nˈɪçtˈiːmɑːn
nişûv	neʃuð
no	nˈo
nobedar	nobadar
nobet	nobat
nojdar	nʊzdaɾ
nok	nˈok
noker	nˈoːlˈkæʃ
nom	nˈom
non	nˈoːn
noqî bûn	no ki bun
not	nˈɔt
notirvan	nˈoːtrʌvˈan
nozdeh	nozda
noş	nʊʃ
noşîcan	nʃiːdʒɒːn
nusxe	nˈusxɑ
nêht	lˈɪçt
nêrgiz	nirgz
nêtar	neːtʰeːɾ
nêzîk	gɛziːk
nêçîr	ne˩˥ːtʃi˥˩r
nêçîr kirin	ne tʃirkerim
nêçîrvan	nɛgɕrwan
nîgarkêş	niːgɑːrkeʃ
nîn	nˈiː
nîqaş	nˈekˈaʒ
nîqaş kirin	niˈqɒʃkɾˈin
nîr	nˈiɹ
nîsan	nɪˈsɑːn
nîsk	nˈiːsk
nîveşkêl	nivæʃkæl
nîş	nˈiʃ
nîşan dan	nʃnd̪ɒːn
nîşanbaz	niːʃɑːnbɑːz
nû	nɔː
nûal	nˈʊˈaːl
nûbihar	noːgˈʊhɑːr
nûdem	nˈʌdˈɛm
nûhzîn	nˈuːxzˈiːn
nûleşker	ɔlɛʃkæɾ
nûmandin	nʊmɐnˈtɪŋ
nûner	nuːnər
nûrşîn	nˌuɾʃˈiŋ
nûçe	nˈutʃa
nûçebêj	nutʃabezʃ
nûşte	nʊ̞ʃta
nûştekî	nˈoʃtˈaki
nûştiş	nˈoːʃtɪʃ
nûştox	nustur
ode	aʁdɑm
oldar	ɒldaːr
oldarî	ɑːldaːri
olk	ul
oramî	ɔɾɑːmiː
osetya	oːsɪtjɑː
osetî	ɒsˈtiː
oxîn	ɔxˈin
pace	paːdʒɑ
pageh	ɑgæ
pak	pæk
pal	pɑːl
pale	pɑːlɑː
paleyî	pɑːleːiː
pall	pɑl
palês	pɑlɪs
palîn	pæːˈlɪn
panav	bɑːnɔv
pantor	kantur
panzdeh	ɑŋzidɑ
papor	pɑpuɾ
paqij	pɑqøʒ
par	bɑːr
par wergirtin	pʰɑru wɛrgɪ̞rkʲɪn
pare	qɑːrɑ
parizandin	paːrzandɯn
parizîn	pɑrˈziːn
parpar	pɑːrˈpɑːr
pars kirin	pɒrskiˈɾiˈn
parsek	pɑrsɑk
partiya aştî û demokrasiyê	kɑːɾtiːjɑː ɑːʃkiːw v dæmɑːkɾɑːˈsijæ
partiya karkerên kurdistan	pɑːɾtijɑː ɟɑrɟeːrjn fuɾdɛstɑːn
parve kirin	pɑrʊ̞k kɪ̞rʲɪŋ
parzûng	parzung
parêv	paːɾiv
parêz	parɪs
parêzer	pɑːrjzɑr
parî	pari
pas	pɒs
patos	patus
patoz	patʊs
patoz kirin	pɒtɒz kɒɾiŋ
payîz	paˈis
pazdeh	ɑːzda
paç kirin	pɑtsʃkɾʏ̞m
paş	laʃ
paşeroj	pɑʃroːʒ
paşko	pʊˈʃuː
paşmawe	pəʃmɑva
paşnav	pɑːʃˈnɑːf
paşî	ˈɑʊʃi
paşîk	pʃk
pehn	fah
pehnî	fæˈniː
pejk	pɛʃk
pekîn	pækiːm
pel	pl
pelax	pælɑh
pelixandin	pɛlχɑndɨn
pelixî	pˈælˈxˈhi
pelixîn	ælˈħiːn
pelişandin	pɒliʃandim
pelişî	pˈɛlˈlʃiː
pelişîn	pˈælʃiː
pelê	pˈɛlˈi
pembû	pambˈo
pencere	pɒndʒera
pend	pˈɛnd
pengizîn	pˈˈngəzˌiːn
penîr	aniːr
pepûk	tɛpuɟ
perdanpêt	pɒˈɾˈdɒnbiˈd
pergel	parˈgan
peritandin	pɑrɯ̞tɑʋdɯ̞ŋ
peritî	pʰɾt̪iː
peritîn	pʌrtˈin
perr	pɛr
pers	pɛrs
persayîş	parsaːiʃ
perwerde	pɛrvɛrda
perwîn	pˈɾˈviːn
perçe perçe	partʃa partʃa
perçiqandin	pɛrtʃɯqandɪm
perçiqî	pɛrˈtʃʊki
perçiqîn	pərˈtʃøkiːn
perêwendî	tˈɾɪuˈnˈdi
perî	peri
perîn	riː
perîstank	parɪstank
perîşan	pæɾˈʃɑːn
perû	taɾuː
petam	pɛtɑm
petîx	pɑtˈiːx
peyamdank	pehamdaŋg
peyda	ˈeɪdɑ
peyde kirin	pæjðækɪ̞rɪ̞n
pez	puz
pezê kovî	pazɪ kɔviː
peşk	pɛʃk
peşma	bʃmɑ
pihîn	fħajn
pijdanok	ʃdɑnʊk
pijiqandin	biʒiqɑndɯn
pijkoj	be̞s̺ko̞s̺
pijme	bʒmɒn
pijmîn	pʏ̞ʒmʏ̞n
pijîndar	beʒiːnædɒːɾ
pijûn	beʒul
pilik	bɪlˈlyk
piling	pɫɛnʲk
pilor	peduos
piloxe	bˈaxxə
pilpilik	bɪ̞ɫbɪ̞lɪ̞k
pilîke	bɛliːgɑ
pir	hɯ̞r
pirpag	pʰiɾpaːg
pirs	pɜːs
pirsîn	persiːn
pirtik	bɪ̞ɾtɯ̞k
pirtik kirin	pʲirttʲɪk pɪ̞rɪ̞m
pirtikandin	birtʏkɑŋtʏɴ
pirtûk	pʰɪrtʊk
pirzik	pɯ̞rzɯ̞k
pisîk	psiːk
pitepitîn	pɔtɑpɔtiːn
pitew	p˨˩a˥˧ts˥a˥˧
pivandin	bˈiːvɑndɯn
piwaz	dˈɔːs
pizan	bæzæn
piçûk	bɛjtʃoːk
piçûktir	tʏ̞pʲɪkɪ̞lɪ̞r
pişirandin	pɒʃɒɾɒndim
pişk	ɪ̞ʃk
pişt	pʊʃt
piştkurm	pʏ̞ʂtʏ̞kʏrɪ̞m
piştstû	pˈɛʃtstˈu
piştî	bʃti
pluton	pluton
ponijîn	poneʒi
porhilû	porglʊ
porqijol	pʊ̞rqʒuːl
porrihan	plˈæzənt
porteqal	poqtɔqaːl
poz	pɔz
poç	pɔtʃ
poşman	pɒːʃmɒːn
purteqalî	pɒɾtɒqɒliˈ
pê	pˈe
pêdivî	pe
pêdivîn	uzpedvin
pêguherî	peːgʊhɾiː
pêkanîn	beːkɑːmiːn
pêl	pˈe
pêlav	beːˈlɑf
pêleystok	pˈeːlistˈuk
pêmayî	pemai
pênas	pe̞nɒːs
pênc	beintʃ
pêncî	pandʒiː
pêncşem	benʃndʒm
pênûs	penuz
pêr	ɓeɾ
pêrar	beːrɑːr
pêvajo	pevaʒo
pêveber	beːvˈærbˈɛrʒ
pêwendî	pe˨˩wanˈdi˧
pêxember	pekanˈdɑr
pêçewane	peˈtʃoˈvɑnɑ
pêş	pˈeʃ
