't	tʰtʰtʰtʰ
börstenbinner	bˈɜstənbˈɪnər
börstenmaker	bˈɪstənˈmˈoːkə
börstig	bˈɪɾstɪç
börtig	bˈʏɾtɪç
böskup	bɛskɔp
böskuppen	vˈɛstkˈupən
böss	vˈɛʃ
bösselmaker	vˈɛsəlmˌɔkɑː
bössen	bˈɛsəl
böst	bˈɛst
bösten	fˈɛstən
böstenbinner	bˈɛstənvˈɪnɜ
böstenmaker	bˈʌstɛnmˈokˈa
böstig	fˈɛstˌɪç
bötel	tˈɪ
böten	təltən
böttjer	kɔtʃa
bövelst	oˈɪdvøːst
böverbeen	boːvɚbiːn
böverbegreep	bɔjvæpɛgræp
böverst	beːlˈstˈ
böög	bøøk
böögde	bˈɚʃtˈa
böögsch	takʃ
böök	pøːk
bööm	dæm
böön	pɔɪn
böönhaas	boːnhˈɑɹs
böönhasen	lˈasənˈɑːseːm
böös	poɛs
bööt	dˈʌlt
bück	tɵk
bückel	tˈɪkəl
bücken	təpˈɛn
bücks	fˈɛks
büdel	bɵɾɵɵ
bült	bˈɪlt
bün	pyn
bünd	tˈɪ
bünn	pyn
bünnel	tpɛ̃u
bünnen	bən
büsch	bˈɛʃ
büscher	fˈaʃˈˈ
büss	bˈɛs
büst	fɛst
bütelst	pʏdəltsʲ
büten	bˈɪtən
bütern	bytˈaːm
büterst	bɪdˈast
bütt	fˈʏt
büx	tʊ̞ks
büxenbeen	vˈʊxzənbˈeɪn
büxenbeverhuus	bʏksdˈeːnbˈeːvəlhˈuːs
büxenknopp	bʏksmˈdˈknˈɔp
büxentasch	bʏksɛntˈɑːʃ
büük	pˈyk
büüt	yːt
celle	tsɛle
charakter	karakta
cheemsch	keɛmʃo
chemie	ʃajmi
china	ʃino
chineesch	hˈinˈeɪz
choor	kɔa
chor	kˈuɑ
christ	kɾˈɛst
christboom	kɾestɔn
christbööm	kristˈo
christendom	kɾˌɪstˌɛnˈdˈaʊm
christmaand	kɾˈɪstmɑːnt
chöttingen	søtɛŋen
chöör	køːeː
daag	dɑːx
daagbook	dˈɑˈoːk
daaglang	tɔxlˈaŋ
daak	dɒg
daal	tɔl
daalbrennen	tolbrn
daaldrücken	dˈaɪdˈiː
daaldwingen	tˈɔldˈvɪŋ
daalfallen	tˈɔlfˈalən
daalfieren	tolfˈiːɾn
daalfiern	tolfjˈˈa
daalfohren	dolmvæn
daalfullen	tˈɔlfˌʊln
daalgahn	tɑːlgoːn
daalgang	dɒgæn
daalkamen	dɑːlkæm
daalklutschen	tˈɔlklˈʊtʃən
daalklutscht	tˈɑːlklˈʊtʃt
daalkrachen	tˈɑlkɾˈaxən
daallaten	tˈɑːlˈoːtən
daalleggen	tˈoːlˈdɛkˌn
daalrieten	ˈdɔɪlɪtən
daalrutschen	tʊɫjuɾɔtʃɪŋ
daalsacken	gonzˈak
daalsackt	dɔlzˈɪçt
daalsetten	dˈɑlzˈɪtən
daalslaan	dɑːlsˈlɑːn
daalslag	tˈɔlslˌah
daalslucken	dˈɔlzlˈʊkən
daalsteken	dˈɑːltˈeːpən
daalstellen	tˈɔlstɛln
daalstörten	tˈɔlstɚ
daam	dɔm
daat	dɔːt
dachen	dˈaxən
dack	tak
dackdecker	taktɛka
dackeldeek	dˈakəldeːk
dackeldeken	dakəldeːkən
dackfast	dˈakfˈast
dacklatt	dakˈlatˈ
dackpann	dakˈɛn
dackrönn	akɾan
dacksteen	ðˈɛkstˈin
dackstohl	taksðoɫ
dackverband	takfɛʁpandɔ̃
dag	dˈax
dagdääglich	tˈaxttˈɛɾçlɪç
daglicht	dˈaxlɪçt
daglöhner	dɔxlˈøːnɜ
dahlenborg	dɒːnbɒːʃ
daken	dˈɔɾtən
dakig	dɔkəl
dal	tɔl
dalbreken	tɔlbrai̯tən
dalbringen	tɔlbrĩŋ
daldrücken	tɔgɛtʊɾaɛf̚
daler	ˈdɑlə
dalf	dˈaɪf
dalfallen	dolˈdalˈln
dalgahn	dɑːlgɑːm
dalli	tˈalˈiː
dallig	dˈɛɾlˈɪç
dallohrig	dˈalˈoːrɛk
dalsmieten	tˈɑːlsmˈiːtən
dalverig	dˈɛst
dalwarts	gˈɔlvɑːɾts
damens	dˈɑmənz
damm	dum
dammeln	damˌɛnˈ
damp	dˈʌmp
dampen	dampən
damper	dampɛ
dangel	dammə
dank	tank
dank seggen	dˈæntsdˈɛkˌoʊn
dank u	dˈɛ̃k
dankbor	tɛŋpɔ
danken	ðæŋkʲi
dankschrieven	dˈaŋkʃlˈiːbən
dann	d̪one
dannappel	danaβɯ
dannenappel	dˈanapəl
dannenboom	tɐnˌtʊŋ˨˩˦
dannenbööm	dænbøɾm
dannig	tɛnɪk
dannnettel	t̪anːl
danz	dˈæns
danzböön	dantspøn
danzen	dˈantsən
danzig	dˈanˌtsɪk
danzlehrer	dˈɛntslˈeːrɜ
danzsaal	dˈanzˌɔl
danzschool	dˈansʃeːrvəlˈ
danzvergnögen	dˈiːfɛrgənˈʏgən
danzünnericht	dˈiːˌyːnərˈɪçt
darm	dɑːm
darmkreevt	dæmkɾˈeif
darms	dˈæns
dassel	t̪ãzpũzxaːhˈɑt˥
dat	tˈat
dat danzen to lehrn	ðət dˈæntsənt tˈu lˈɛɹn
dat du min leevsten büst	tˈɑːt bˈu miːn lˈeɪfstən bˈɪst
dat heff ik nich mit afsicht maakt.	dˈas hˈɛːvɪç ˌaɪnəs dˈeːm ˈafzˌɪç nˈoːpt
dat is mi heel un deel egaal.	dˈas ˈaɪ mˈxˈəʏ mˌaɪnən lˈeːgəɫ
dat is mit’n kringel betekent.	tˈeːmɑː ˈaɪnfˌax dˈeːm dˈeːn kɾˈɪŋɛl bətˈeːkənt
dat negere regelt en gesetz.	wˈi lˈotʁəkwˈlˈɛ nˈə tʃaʁˈastwˈ
dat piert	tˈeːmɑː pˈiːɾt
dat se bliven ewich tosamende	dat zˈeːblɪvən ˈeːvɪç tərzˈamənˈdə
dat stimmt op'n prick.	tˈeːmɑː ɛs ˌoːpənplˈɪk
datenschandaal	dˈɔrtənʃandˈɑːl
datsülve	dˈastsyːlvˌɛ
datsülvige	tˈeːmɑːtsˈʏnvɪgˌɛ
dau	dˈɐ̃ʊ̃
daudroppen	tau̯toɾɔpɨŋ
daudruppen	tautolup
daudrüppen	dautɾəkm
dauwedder	dˈaʊnvˈɛnɚ
dauweder	dˈɐ̃ʊ̃vˈeɪɾɐ
de	dˈeɪ
de appel is wormstekig.	dˈeːn ˈapəl dˈas vˈɔɾmstɛːgˌɪç
de daagstiet beden	dˈi dˈɔɹf stˈiːt beɪdən
de fährkroog	dˈɛɾ fˈɛɾkɾaʊx
de herr von hebbenix	ðeɪ hˈæv ən hˈæpinˌɛks
de herr von heffnix	ðeɪ hˈæv ˈun hˈæv nˈɛɹs
de krei de kreeg een	ˌʊntɜʃtˈʏtst kɾˈaɪ dˈɛɾ kɾˈɛçt tˈɪʃ
de krei de speelt fitel	ˌʊntɜʃtˈʏtst kɾˈaɪ dˈɛs bˈɛlt fˈiːlə
de landesregeren mutt den landdag fröh un vullstännig informeren.	kʰʰaʃlɑʃtɕɥɛŋ tʰaːxˈjɛnd˥˩aːxt t̚˥˩ltsʰuː˨˩˦ʈʂʰɑŋ˨˩˦xian˨˩˦tɕjɛn˧
de mak sik en spaß	dˈɛmə ˈʌksɪkɪnz pˈɔɹs
de möblierte herr	dˈeːm bˈɪst blˈiːɾ tˈeːm
de nees hoochdregen	diː nˈɛçs hoːxtˈrˈɛkɛn
de plünnen tosamensmieten	ˈɪnzəl plˈʏn tə zˈɔnnsmɪtən
de tiet beden	dˌeːtˈid bˈeɪdən
de voß beet em dot	dˈə fˈɔl bˈɛtəm dˈaʊt
debatt	dˈepˈat
dech	dˈɛç
decht	ɛç
deckel	tɛkə
decken	dækæn
decker	d̪ek
deckswabber	tʃtˈakˌsla
deef	dˈeɪv
deeg	dˈeːç
deeglich	ɪˌɛkˌlˈɪk
deegt	tˈeɪst
deek	tˈeɪk
deel	dˈeɪl
deen	dˈeɪn
deensdag	tˈɪtstɑːx
deenst	dˈænst
deenstdeern	tiːmstiam
deensten	dˈɛŋstən
deenstkledaasch	dənstkliːdˈaʃ
deenstleistung	teːŋstlaɪstʊŋ
deenstlich	dˈɛntstlɪç
deenststeed	teːnztˈɪstˈeɪt
deensttiet	dˈɛnsttˈiːt
deenstunfall	dˈɛnstˈʊnfˌal
deenstvörschrift	dˈɛnkstfˈœɾʃrɪft
deep	teːp
deepblau	tejplau̯
deepde	tejptə
deepdenkern	teiptengkap
deepdenkersch	deːptdˈeːnkˈɪɾç
deepdinkern	teapdɪŋkɛm
deepdinkersch	teːpdɛŋkeːrˈʃ
deepsinnig	dɛpzɪnˌɪç
deern	tian˨˩
deert	diːɾt
deet	eɪt
deevsch	dˈeɪvz
deevsche	dˈeːvʃˌeː
deevsgoot	dˈævəsgɪlt
degen	dˈeɪk
degern	ləɣ̞ən
dei	taj
deidei	dajdaj
deist	tajˈst
deit	dˈaɪt
dek	tæk
deken	teipɔ
deklinatschoon	dekliːnatsʃaʏn
delen	dˈeɪən
dell	tɛl
demokraat	dɛmɔkɾat
demokraatsch	demokradʒ
demokraten	dˌeːmoːkɾˈɑːtən
demoot	dˈeɪməlt
dempen	tɛmpɛn
demper	tɛmpɛr
demödig	d̪eːmʋøːdəx
demödigen	deːmøːdɪŋ
den sien	teinziːn
den vörtog geven	dˈeːn fˈœɾtɾɔx gˈɛɪvə
denen	te̞ɢn
dener	dˈænə
denken	dˈɪŋkən
denkmaal	t̪e̞ŋgmol
denkmaalschutz	tɛnkmoːrʃˈʊts
denn	t̪em
denn dritten dat brot	ðentˌɾˌetn dˈat pɾˈaʊt
denn geit dat canditel	dənˌgˈaɪdət kˈan diːdəl
denn geit dat mal schön	dɛn gˈaɪdɜt mˈɑːs ʃˈøːn
denn irsten bringt´s den dood	dˈeːn jˈeːɾstən bɾˈɪŋt steːn dɑːt
denn tweeten de not	ðen tɹˈeɪtən ðə nˈoʊt
dennig	tenek
dennso	denˈzəʊ
despekteerlich	dˈiːsbˈɛktˈɛɾlɪç
dessau	tsˈe
desterwegen	dˈɛstɑːvˌeːgən
desülve	dɛzulʁ
desülvige	dizɾvigə
deudeln	tˈɔødəln
deven	teivam
deveree	teivɾei
deverie	deːveɾi
devern	eɣam
dewiel	dˈeɪvjˌɐ
dezember	deːtsˈɛmbɚ
di	ti
dibbern	dɪbˈæn
dicht	dɪçt
dicht an dicht	dˈɪçt an dˈɪçt
dicht bi	tɪspiː
dichtbi	tˈɪçtbˈiː
dichten	dɪçtɛn
dichter	dˈɪçtɜ
dichtfreren	dɪçtfrɛɛ
dichthollen	dɪçthɔlm
dichtmaken	dˈɪçtmˈɪɾkən
dichtproppen	tɪxtpɾoːppˈn
dichtstoppen	lˈɪçtstˈɔpən
dick	tik
dick doon	t̪ikːto̞n
dickbastig	tˈikpˈastɪç
dickbuuk	tikːpuːk
dickbuukt	dɪkpʊkt
dickde	tiktɛ
dickdoer	tɪktɛwa
dickdoner	tɛktawˈna
dickdoon	tɪkdaʝ
dickdoonsch	tiktau̯ns
dickdreevsch	tiktraif
dickels	dˈɪgəlz
dickerdriefmann	tigatrsman
dickfellig	tˈɪkfɛlˌlˈɪç
dickkopp	dekalpa
dickköpp	dikːəb
dickmaken	dikːmˌɔːtən
dickmelk	tˈɪkmˈɛlk
dickpans	dˈɪçpˈants
dicksnuten	lˈɛknutˈ
dicksnuut	t̪iksnut̪
diedrick	tidrɛk
dieg	dɪç
diegen	tiːgən
diegt	rˈɪçtɛ
dieh	ti
diehen	tiːn
diek	tig
dieken	tiːtˌen
dieker	dikːa
diekslüüs	lˈiːkslʏs
diekwacht	dˈɪkvˈaxt
diem	tiːm
diemen	tiːmən
dien	tiːm
dien sien	tintse
dierk	tiek
dierker	dʲːakˌa
diesig	dizˌɪç
dieskopp	dˈiːskˈɔp
diesköpp	dˈiːstkˈɔp
diessel	dizˌɛ
diestel	dˈistə
dießel	diesl
diggen	t̪e
diggst	lˈɪçst
diggt	dˈɪçt
dik	tɛk
diktaat	diktˈɑːt
diktater	diktadɑː
ding	teŋ
dingen	teŋɛn
dingerees	tiŋɛisʃ
dings	t̪e
dingsdaag	ðiːmstɑːx
dingsdag	tiŋˌstah
dingsdagavend	dˈɪŋstɑːxˈɑdvənt
dingsdagavends	dˈɪŋstɑːxˈɑːvəns
dingsdagfröh	dˈɪŋstɑːxfrˈɔø
dingsdagmiddag	dˈɪŋsnɑːxmˈɪtɜ
dingsdagmiddags	dˈɪŋstɑːxmˈɪtəls
dingsdagmorgen	dˈɪŋstnɑːxmˈɔɾgən
dingsdagmorgens	dˈɪŋstlˌaxmˈɔɾgəns
dingsdagnacht	dˈɪŋstɑːxnˈaxt
dingsdagnachts	dˈɪŋstɑːknˈaxts
dingsdagnamiddag	dˈɪŋsdˈaʃnˈɔɾməlˌah
dingsdagnamiddags	dˈɪŋstɑːxnˈɔɾmədˈas
dingsdagvörmiddag	dˈɪŋstnɑːxfœɾmˈeːdˌaç
dingsdagvörmiddags	dˈɪŋsdˈaɾffˈœɾmɛdɾˌɑxz
dinken	tɪŋkɛn
diplomaatsch	dɪplˈoːməntʃ
dippen	dipːən
direkt	d̥iːrˈɛkt
direktemang	direktɛman
direkter	direkta
disch	tɛːʃ
dischdeck	tˈeːmɑːʃtˈɛk
dischdook	tˈeːmɑːʃtˈɛlk
dischtennis	dˈɪʃtənˌɪz
diskereern	dɪskɪ̞rʲiːn
diskereren	diskɛriːaːn
diskuschonen	dɪskʊsʃoŋ
diskuschoon	dʲɪsko˥˩ːʃauːm˧
diskusschoon	dˈɪskoːʃˌoːn
disse	tiːsɛ
dissel	dizˈe
disssiet	ðɪssˈid
dit	dɪd
ditmal	dˈɛstmˈɔl
dittjen	lˈɪtʃɔn
do	dˈo
dobbe	opɛ
doch	dˈiː
dochen	tˈoːxən
dochter	tˈoχka
dodder	t̪ot̪a
dodenfier	dˈɛɾwɛtənfˈiːɾ
dodenkult	dˈɛutoːnˈkˈʊlt
doffen	dˈiː
dogen	duːˈʊm
dogg	tok
dohl	təa
dokter	tˈopːta
doktersch	tokˈtæʃ
dollschen	dˈɔlʃən
domaals	dˈɔmɔlts
domen	tɛum
donner	dˌiːzə
donnerdaag	dæɾˈdɑːsdɑːʁ
donnerdag	tontˈzˈa
donnerdagavend	ðˈɔnɜdˈaxˈɑːbənd
donnerdagavends	dˈɔnɜdˈaɾçˈɑɾbəns
donnerdagfröh	dˈɔnɜdˌaçfrˈɔø
donnerdagmiddag	dʌnˈaːtˌaxmɪdˈax
donnerdagmiddags	d̪onˈnaːtˌɑhmiːlˈas
donnerdagmorgen	dˈɔnɜdˌaxmˈɔɾgən
donnerdagmorgens	dˈɔnɜdˌaxmˈoːɾgəns
donnerdagnacht	sˈoːnˈadtˌaxnˈax
donnerdagnachts	dˈɔnəntˌaxnˈaxts
donnerdagnamiddag	danadaneːnɑːmædæh
donnerdagnamiddags	gˈɑnədɑxnɔrmɪðˈɾɑːz
donnerdagvörmiddag	dɔnˈadajfˈœʁmɛdˈa
donnerdagvörmiddags	dɑːnæðeæqfɑːrme̞jdæɾs
donnern	dɔnæm
donnersdaag	dɑːnæzdɑːɢ
donnersdag	dɑːnæzdæx
donnersdagavend	dˈɔnɜsdˈɑːxˈɑːfənt
donnersdagavends	dˈɔnɜsdˈaxˈɑːbəns
donnersdagfröh	dˈɔnɜsdˈaxfrˈɔø
donnersdagmiddag	dˈɔnɜstˌaxbˈɪtax
donnersdagmiddags	dɔnˈnɑːsnakhæmˈeɾɑːs
donnersdagmorgen	dˈɔnɜsdˈɑːxmˈɔɾgən
donnersdagmorgens	dˈonɾˈsˈtˈahmˈoːgəns
donnersdagnacht	ðˈɔnɔsdˈaɾnnˈaxt
donnersdagnachts	dˈɔnɜstˌaçnˈaxts
donnersdagnamiddag	tˈɔnˈasdˈahnˈɔɾmədˌah
donnersdagnamiddags	tˈoːnˈhəzdˈaxnˈɔɾmədˈas
donnersdagvörmiddag	dˈɔnɜsdˈaɾfˈœɾmɛdɑːx
donnersdagvörmiddags	dˈɔnɜstˌaçfˈœɾmədˌaxt
donnerslag	d̪õnnæslæx
donnerslääg	ðˈɔnəslˈaɪk
dood	dˈoːt
doodbleven	dˈoʊntblˈeɪv
doodsdag	dˈoʊntstˈʌf
doodslag	dəutsˈlɑkh
doof	dʊɫf
doog	dˈɔx
doogst	dˈɔxst
dook	tɛlk
doom	tɨŋ
doon	teun
doorn	twan
doos	deus
doot	tɛut
doot gahn	dˈoʊtgˈɔn
doot maken	dˈɛlt bˈoːtən
doot slaan	dˈoʊnt slɔːn
doot slagen	dˈoːts lˈɑːgən
dootblieven	dˌoːtblˈivən
dootfreren	dapˈtfrɛɦərˌn
dootföhren	dˈoʊntfˈɚn
dootgahn	dˈoːtgˌoːn
doothauen	dˈoʊnthˈoʊn
doothaun	dau̯tɑon
dootmaken	tɛltmɔvkɛn
dootscheten	dˈoʊntʃˈaɪtən
dootslaan	dˈoːtslˈɔn
dootsteken	dˈoʊntstˈeɪtən
dopp	tɔp
dor	kula
dor bi	tupˈiː
dor kannst nix bi maken.	bˈɪst kˌanst nˈɛçst bˈiː mˈoːpən
dor sien	lɑːziːn
dor wesen	dˈuɐ vˈeʒɐ̃
dorachter	duːɑːɑxtæm
dorachterkamen	doæxtekɑːm
doran	md̪aŋ
dorbi	uəpiː
dorch	dˈoɾʃ
dordör	tɔðˈɔ
dore	toɾe
dorför	dˈɔfə
dorgegen	dʊɐkeːkən
dorhen	toːʔæn
dorhin	dʊɐhɪn
dorhinner	dʒoːʔa
dorin	toɾin
dormaals	dˈɔmɔlts
dormank	tɔɦmænk
dormit	dˈuːɾmɪt
dorna	doːnˈoː
dorop	tɔrɔb
doropsetten	tɔrɔbsɛfˈtˈan
dorp	tɔp
dorst hebben	dˈɔɹst hˈɛd
dorstellen	dˈɑstˈæˌ
dorto	tɔ̀tˈo
dortoreken	tʊɐtʃɐwːrai̯tn
dortwüschen	dˈɔɾtvˈɪʃən
dortwüschensteken	dˈuːɾtˈvˈɪʃənsˈtˌakɛn
dorut	tʊrut
dorvon	dˈʊɾfən
dorvun	tʊɾfʊn
dorvör	tˈofˈa
dorwegen	durveldim
doröver	dˈoːˈoːvɜ
dorüm	tʊ̞rʊ̞m
dorünner	dˈiːsˈœnər
dost hebben	dˈɔst hˈɛbən
dove	dou̯va
draad	ðəlɑːn
draak	trak
draapstell	ðˈarˈapztˈɛl
drachbannen	tɾˈɐχbˈɑnən
dracht	drˈaxt
drachttiet	drˈɑxttˈoːt
drad	tæɾˈɑt
draff	tˈrˈaf
draggen	dˈɾˈakːɛn
drahn	trn
drahne	traːnˈe
draht	tɾˈɑt
draken	tɑːɾbøː
drall	tral
drallen	tɾan
drammen	t̪ramen
drang	tɾãn
drangen	drangɛn
drank	trank
drapen	dˈɔbən
draugen	tɾˈaʊgən
drauhen	trau̯n
drauhtiet	deltid
draußel	laβ̞oãsi
dreeangel	træ̝iænæ
dreebastig	dˈrˈaɪbˈastəx
dreebuck	trɛjpɔk
dreebück	trˈeɪpəg
dreedubbelt	gɾˈɛːgəbəlt
dreeduppelt	tr̝ejd̪ubl
dreeeck	drejˈɛk
dreeeckig	dɾeːˌɛkˌɪç
dreefoot	trijfɛʊ̯t
dreefööt	ðɹævˈfuːd
dreekant	bɾˈɛjkant
dreekantig	trˈeɪkhˈændə
dreeklöört	drˈaɪklˈœɾt
dreemal	trˈejmˌuɫ
dreemastschipp	trˈajmˈastʃˈip
dreerad	tɾaiɾat
dreesiedig	trˈejziːdɛx
dreespänner	træ̝ːspɛnˈa
dreetimpig	trˈeːɪtʃɪmpɪç
dreetinkt	brˈaɪtɪŋt
dreev	tˈɾˈæf
dreeviddeljohr	drˈaɪfˈiːɾtdˈəlˈuːɑː
dregen	trˈeːgən
dreih	traj
dreihbass	tɾɑjps
dreihbäss	trajpes
dreihen	train
dreiher	traja
dreihledder	trajlera
dreihsaag	tɾaɪzax
drell	tɾel
dremmeln	tɾeme
drempel	tɾempɛ
drepen	tɾˈeːpən
dresch	træʃ
dress	kɾes
dresseln	tɾesan
dressler	tɾɛsla
dreven	tɾɐ̃jvɐ̃
driefhuus	drjˈbhuːz
driefsand	trifsãnˈd
drieseln	trizoɾn
driest	tɪ
driestheit	ðəlˈisthˈaɪt
driethuus	tɾiːthos
drievels	tɾɪvˈɛlˈs
drieven	iːvən
drievenkiel	trɪfmkɪl
drievens	tɾˈivənz
driever	gɾɪvɑ
drift	tɾˈɪft
driftig	tˈrɪftɪç
dringen	tɾˈɛŋən
drinkels	tɾˈɪnkəls
drinken	trɪ̞ŋkɛn
drock	tɾak
drockde	torktɪ
droffen	tɾˈɔfən
drollig	tʊrɔlis
droog	trˈaʊx
drook	drou̯k
drookheit	bɾoːghˈhˈaɪd
droom	tɾˈom
droomhaft	dæɾˈmhæft
drooßel	truzl
drosch	tros
drosselbeerboom	bˈɚtəlbiəbˈoʊn
drosselbeerbööm	tʊɾaːsʊɫepjɛpøm
droßelbeerboom	roːsʊlpjɛpːa
droßelbeerbööm	tɾoːsɛlpiːɛboːj
druck	t̪oluk
drucken	tɾuːkˈon
druckeree	trʊ̞kɑrɛj
druckknoop	truknuwp
drullig	trɔlɛj
drunken	trunkan
drunksüchtig	duɾˈumsuˈʃtɪd
druppen	tʊrpm
drusel	trˈuzɛ
druseln	tɾuzɔln
druuf	truːv
druufbohr	trʊvpɔ
druus	tɾuz
druusch	trʊʃ
druven	trovu
drägen	tˈɾeːgən
drängelee	drɪŋˈɛlɛj
drängeln	træŋən
drängen	trængɛn
drängneern	træŋnejˈan
drängneren	trenkne
drèents	tɾanz
dröff	tˈuɾəf
dröffen	tɾasˈn
drögeldook	troɪgɔldauk
drögeldöker	trʊ̞jgəlbʲau̯ka
dröger	troiːga
dröhn	tʊɾaɛ
dröhnbüdel	tɾɔɪnpyrø
dröhnen	trʊ̞jn
dröhnig	tɾˈʊjnˌaɪç
dröht	tɾuːɪt
drömelig	tˈrɔøməlˌɪç
drömeln	toɾolmɯl
drömen	trojim
drömerig	tʊ̞rʊ̞nbæɾɪ̞k
dröneree	tɾojnaræj
drönerie	trʊ̞njɑriː
dröteln	dʁˈɑldən
drötig	trˈɔøtɪç
dröven	tɔrɔjðɔm
dröög	tʊɾaiʃ
dröögde	trʊ̞jʃtʲɪ
dröögever	truːxɛːvɑː
dröögnis	srɔɪʃnɛs
drööm	trɔem
dröön	tro
dröönkraam	druːjtʁaːm
drööt	tɔɾɔjt
drööv	trʊjθ
drücken	tʊrɑkl
drücker	tɾuɟa
drüdde-welt-länner	dˈuːdˈəvˈɛltlˈɛnɜ
drüddehalf	tʊrɪdˈeˈals
drüppeln	trupən
drütt	tɾut̪
drütte	drød̪e
drüttel	toɾorun
du büst	du bˈɪst
du deist	dˈuː dˈaɪst
du geihst	dˈuː gˈaɪst
du harrst	dʊ heʃt
du hest	dˈu hˈɛst
du kiekst	tˈuː kˈiːkst
dubbeldeken-bus	tˈɪpəlteːkɪnpˈʊs
dubbeleren	dube˩˥ːlərn
dubbelhuus	dɔpɪlɦɔɛs
dubbelkopp	dˈʊbəlkˈɔp
dubbelmoord	dˈʊbəlmˌɔɑt
dubbelt	dˈɔbəlt
dubbelthuusholt	dˈɔbəlthˈuːshɔlˈd
dubbelzentner	dubɪltɛntna
ducknackig	lukenakei
ducknackt	tˈʊknˈɑkt
dudelkassen	duːgəlkˈɛsən
dudelkasten	duːdəlkˌɛstən
duern	tuan
duerstellplatz	bˈuːɾstˈəlplˈats
duff	duf
duken	tupɔ
duld	dˈʊlt
dull	tˈɔl
dullbregen	nˈɔlbrˈaɪk
dulldill	tʊɫdɪl
dulldillen	tʊlɪl
dulldübsen	tʊlˈtˈʏpsˌn
dullen	tʊlˌ
dullerhoort	dʊlˈlahˈoːat
dullheit	dʊlˈhˌaɪt
dullhoorig	tʊlˈhoːrəʃ
dullhorig	tˈʊlhˈoːrəç
dullhuus	tʊɐlˈʊs
dullig	dˈʊlɛç
dullkopp	tˈʊlkɔp
dullkoppig	duːlkɑːbk
dullkoppt	tˈoːlˈkˈoːpt
dullkruut	dˈʊlkɾˈuːt
dullsnacken	dˈʊltˌnˈakən
dullwoot	dˈʊlvˈɔlt
dumen	dun
dumm	tum
dumm tüüg	duːm tˈʏç
dummboort	tˈʊmbˌɔɾt
dummbüdel	tumbʏl
dummdriest	t̪ãn̪t̪aɾist̪
dummerhaftig	dʊmɜhʊftɪg
dummerig	tʊmərɪ̞k
dummheit	dˈʊmhaɪt
dummkopp	dumkɑb
dummköpp	dumˈkɯ
dummsnuut	tumsnuð
dummtüch	tumtʃʏk
dummtüüch	dummtˈʏç
dummtüüg	dʊmtʏç
dump	tompom
dunas	donas
dunen	dˈun
dunkelbruun	tˈunkəlbɾˈuːn
dunken	dˈʊŋkən
dunkern	tunka
dunn	tʊn
dunner	dona
dunnerdaag	dunədɑː
dunnerdag	dnaðæ
dunnerdagavend	dʊnˈnɜdˈaxˈɑːvənd
dunnerdagavends	tʊnˈɑtˈakhvˈɪns
dunnerdagfröh	dˈɔnɜdˌahfrˈɔø
dunnerdagmiddag	tonaːrˈtaxmˈɾˈaɣ
dunnerdagmiddags	dˈʊnɜdˌaçmˈɪdɜs
dunnerdagmorgen	dʊnˈɑdɑːxmˈɔɾgən
dunnerdagmorgens	dˈiːtnˈətˈaɪmɔn
dunnerdagnacht	dˈɔ̃nɜdˈaçnˈaxt
dunnerdagnachts	dʊnˈnɜdˌaçnˈaxts
dunnerdagnamiddag	dunadaxnoːmeˈdax
dunnerdagnamiddags	dˈʌnˈnadˈaxnˈɔ̃mɛdˈaxz
dunnerdagvörmiddag	dʊnˈnadˈaxfœɾmɪdˈax
dunnerdagvörmiddags	lˈʊndɜdˈaxfˈœɾmbədˈaxz
dunnerkiel nachmalto	dˈiː nˈɪçt nˈɔx mˈɔl teːˈoː
dunnern	dunam
dunnersdaag	d̪uːnæzdɑːx
dunnersdag	doːnɑːsdəx
dunnersdagavend	bˈɪstnˈɛɾstdɑːxˈɑːvənt
dunnersdagavends	dˈɔnɜstdɑːxˈɑbəns
dunnersdagfröh	dˈɔnɜstˌaçfrˈɔø
dunnersdagmiddag	tɔnˈɑːsdɑːxmdɑːr
dunnersdagmiddags	d̪oːnast̪ebaɾaxt
dunnersdagmorgen	dˈoːnɜstˌaxmˈɔɾgən
dunnersdagmorgens	dˈɔnɜstˌaxmˈɔɾgəns
dunnersdagnacht	dʊnˈɑːsdagnɑːx
dunnersdagnachts	dˈoːnɜstˌaçnˈaxts
dunnersdagnamiddag	dˈʊnəstˌaxnˈɔɾmɛdˌah
dunnersdagnamiddags	dˈiːzmˈɪtjˈuːnɔmdɑːnˈʃ
dunnersdagvörmiddag	duːnˈɑːsdˈaxfˈœɾmədˈax
dunnersdagvörmiddags	dˈiːsnˈɔxdˈaxfœɾmədˈaxs
dunnerslag	dˈoːnɜzlˌah
dunnerwedder	tʊnavɛra
dunnerweder	t̪unabeiɾa
dunnmaals	dˈʊnmˌɔlts
dunntomaal	dʊntoːmɔl
dunntomalen	tʊntʃɔmɔln
dunsen	tˈonzɐ
dunst	dˈʊnst
duppel	dˈɔ̃pˈœʁ
duppelmoker	dˈopɛlmˌɔkˈa
duppelt	dˈɔpəlt
duren	duan
dusel	dˈuːze
dusendjohrig	ðˈuːzəntjˌˈoːrəç
dussel	tozam
dusselig	dˈɔzəlˌɪç
dutt	dˈotʁ
dutten	tɔtɛn
duttens	tˈudənts
dutts	tuts
duttwies	tʊtviːs
dutz	tuts
duuknacken	dupknakˈɔn
duuknackig	duknˈakɪç
duuknackt	lˈʊknˈakt
duuksig	dukseːx
duum	dum
duun	dum
duuntje	tʊntʃə
