aguara	aɣaɾa
yva	dvˈa
yvate	ɨvˈaːte
yvatekuarahyreike	ɨvatɛkvarahɨrajikɨ
yvatekue	ɨbatekwɛ
yvaty	luːt˦t˦
yvoty	wɒttɪ
yvotyty	lotute
yvu	u
yvy	biliwɣin
yvyguy	dʒuːziːn˧wɪn˧
yvyja	ulmajɯdʒa
yvyku'i	œ̃nvˈɛkˈuʁi
yvykua	dˈə-vˈykwˌa
yvykũme	dɨbɨkume
yvypóra	euepora
yvyra	toʋeɾa
yvyramáta	kəgˈaːləmˈaːt
yvyrusu	ɛvɨrʲuˈsʊ
yvytimbo	ɯkiɴbõ
yvytu	vɨtɨ
yvyty	lələp˨˩
yvytyvéva	iotɨbeva
yvága	au̯vaɣ̞a
ára	a
áva	ava
ñahatĩ‎	niahgn
ñamba'apova'erâ jakarusévo	nɛaba ɑ pɔbɛɲa ɟakaru seɣo
ñami	ɲiami
ñana	njanna
ñanary	njˈanˈɑli
ñande	nande
ñande ja'u pan.	jɛndɛʄːɑhʊ̞pɑ
ñande japuka ha ha'e hasê	nʲanda jedʲa puka haa eɣa se
ñandejára ñe'ẽ	njˈan ˈke ʎˈaɾa nɛ
ñandy	njɛ̀n˩˦duː
ñandyry	nˈjˈandˈiɢɾʏ
ñandéve	nndbe
ñapytĩ	nˈjapəti
ñañepyrũ	nʲapavʲerɨɫapɨruu̯
ñe'a	nɛa
ñe'êkuaa	dˌiːzəgˈɑ
ñe'ẽ	nˈeɛt
ñe'ẽharakuéra	neehaɾakoeɾa
ñe'ẽhára	ne˥˩ːe˥˩ːha˥˨la˥˧
ñe'ẽngu	iˈɛ̃ɹˈu
ñe'ẽnguéra	neengwˈɛlɚ
ñe'ẽnunga	nieenoge
ñe'ẽpehẽtai	ɲeɛpɛɦɛtai
ñe'ẽryru	niɛɾsɔ
ñe'ẽte	njete
ñemañaha	nˈemɑnˈnexˈah
ñembosarái	nˈeˈnˈbosˈaɾai
ñemohenda	nemɔbɛnda
ñemoñare	nˈemˈojˈɲaɾe
ñemu	ɲemu
ñemure	njemule
ñeno	nʲieno
ñepyrũ	n˩˩˦j˧ʔpɯː˧n˥˩uː
ñepyrũgui	nʲapɨnumʲi
ñeñangarekóre	nɛnjaŋaɾɛkoɾe
ñe’ẽjoapykuaa	neɛndʒɔwɔpɨkɰaʔa
ñe’ẽteja	nietˈeʒˈa
ñe’ẽtéva	nˈeeleˈvˈˈa
ñorairõ'ỹ	niɔːɾɔːiːða
ñorãirõ	njo˥˩ʎɾãːi˧lɔː
óga	oga
ỹrõ	œ̃nˈɔ̃
