aah	ˈɑː
critically	kɹˈɪtɪkli
criticise	kɹˈɪtɪsˌaɪz
criticised	kɹˈɪtɪsˌaɪzd
criticises	kɹˈɪtɪsˌaɪzɪz
criticising	kɹˈɪtɪsˌaɪzɪŋ
criticism	kɹˈɪtɪsˌɪzəm
criticisms	kɹˈɪtɪsˌɪzəmz
critics	kɹˈɪtɪks
critique	kɹɪtˈiːk
critiqued	kɹɪtˈiːkd
critiques	kɹɪtˈiːks
critiquing	kɹɪtˈiːkɪŋ
critter	kɹˈɪtɐ
critters	kɹˈɪtəz
croak	kɹˈəʊk
croaked	kɹˈəʊkt
croaker	kɹˈəʊkɐ
croaking	kɹˈəʊkɪŋ
croaks	kɹˈəʊks
croaky	kɹˈəʊki
crochet	kɹəʊʃˈeɪ
crocheted	kɹəʊʃˈeɪɪd
crocheter	kɹˈɒtʃɛtɐ
crocheting	kɹˈɒtʃɪtɪŋ
crochets	kɹəʊʃˈeɪs
crock	kɹˈɒk
crocked	kɹˈɒkt
crockery	kɹˈɒkəɹi
crocket	kɹˈɒkɪt
crockets	kɹˈɒkɪts
crocks	kɹˈɒks
crocodile	kɹˈɒkədˌaɪl
crocodiles	kɹˈɒkədˌaɪlz
crocodilian	kɹˌɒkədˈɪliən
crocodilians	kɹˌɒkədˈɪliənz
crocus	kɹˈəʊkəs
crocuses	kɹˈəʊkəsɪz
croft	kɹˈɒft
crofter	kɹˈɒftɐ
crofters	kɹˈɒftəz
crofting	kɹˈɒftɪŋ
crofts	kɹˈɒfts
croissant	kwˈɑːsɑ̃
croissants	kwˈɑːsɑ̃s
cromlech	kɹˈɒmlɛtʃ
cromlechs	kɹˈɒmlɛtʃz
crone	kɹˈəʊn
crones	kɹˈəʊnz
cronies	kɹˈəʊnɪz
cronk	kɹˈɒŋk
crony	kɹˈəʊni
cronyism	kɹˈəʊnɪˌɪzəm
crook	kɹˈʊk
crookedly	kɹˈʊkɪdli
crookedness	kɹˈʊkɪdnəs
crooking	kɹˈʊkɪŋ
crooks	kɹˈʊks
croon	kɹˈuːn
crooned	kɹˈuːnd
crooner	kɹˈuːnɐ
crooners	kɹˈuːnəz
crooning	kɹˈuːnɪŋ
croons	kɹˈuːnz
crop	kɹˈɒp
cropped	kɹˈɒpt
cropper	kɹˈɒpɐ
croppers	kɹˈɒpəz
cropping	kɹˈɒpɪŋ
crops	kɹˈɒps
croquet	kɹˈɒkeɪ
croquette	kɹəkˈɛt
croquettes	kɹəkˈɛts
crosier	kɹˈəʊzɪɐ
crosiers	kɹˈəʊsiəz
cross	kɹˈɒs
crossbar	kɹˈɒsbɑː
crossbars	kɹˈɒsbɑːz
crossbeams	kɹˈɒsbiːmz
crossbill	kɹˈɒsbɪl
crossbills	kɹˈɒsbɪlz
crossbones	kɹˈɒsbəʊnz
crossbow	kɹˈɒsbəʊ
crossbows	kɹˈɒsbəʊz
crossbred	kɹˈɒsbɹɛd
crossbreed	kɹˈɒsbɹiːd
crossbreeding	kɹˈɒsbɹiːdɪŋ
crossbreeds	kɹˈɒsbɹiːdz
crosscheck	kɹˈɒstʃɛk
crosse	kɹˈɒs
crossed	kɹˈɒst
crosser	kɹˈɒsɐ
crosses	kɹˈɒsɪz
crossest	kɹˈɒsəst
crossfire	kɹˈɒsfaɪə
crosshair	kɹˈɒsheə
crosshatch	kɹˈɒshætʃ
crosshatched	kɹˈɒshætʃt
crosshatches	kɹˈɒshætʃɪz
crosshatching	kɹˈɒshætʃɪŋ
crosshead	kɹˈɒshɛd
crossing	kɹˈɒsɪŋ
crossings	kɹˈɒsɪŋz
crossly	kɹˈɒsli
crossness	kɹˈɒsnəs
crossover	kɹˈɒsəʊvɐ
crossovers	kɹˈɒsəʊvəz
crosspatch	kɹˈɒspætʃ
crosspieces	kɹˈɒspiːsɪz
crossroad	kɹˈɒsɹəʊd
crossroads	kɹˈɒsɹəʊdz
crosstalk	kɹˈɒstɔːk
crosstown	kɹˈɒstaʊn
crosswalk	kɹˈɒswɔːk
crossway	kɹˈɒsweɪ
crossways	kɹˈɒsweɪz
crosswind	kɹˈɒswɪnd
crosswinds	kɹˈɒswɪndz
crosswise	kɹˈɒswaɪz
crossword	kɹˈɒswɜːd
crosswords	kɹˈɒswɜːdz
crotch	kɹˈɒtʃ
crotchet	kɹˈɒtʃɪt
crotchets	kɹˈɒtʃɪts
crotchety	kɹˈɒtʃɪti
croton	kɹˈəʊtən
crouch	kɹˈaʊtʃ
crouched	kɹˈaʊtʃt
crouches	kɹˈaʊtʃɪz
crouching	kɹˈaʊtʃɪŋ
croup	kɹˈuːp
croupier	kɹˈuːpɪɐ
croupiers	kɹˈuːpiəz
croupy	kɹˈuːpi
crouse	kɹˈaʊs
crow	kɹˈəʊ
crowbar	kɹˈəʊbɑː
crowbars	kɹˈəʊbɑːz
crowberries	kɹˈəʊbəɹɪz
crowberry	kɹˈəʊbəɹi
crowd	kɹˈaʊd
crowded	kɹˈaʊdɪd
crowding	kɹˈaʊdɪŋ
crowds	kɹˈaʊdz
crowed	kɹˈəʊd
crowfoot	kɹˈəʊfʊt
crowing	kɹˈəʊɪŋ
crown	kɹˈaʊn
crowned	kɹˈaʊnd
crowning	kɹˈaʊnɪŋ
crowns	kɹˈaʊnz
crows	kɹˈəʊz
crozier	kɹˈəʊzɪɐ
croziers	kɹˈəʊziəz
cru	kɹˈuː
cruces	kɹˈuːsɪz
crucial	kɹˈuːʃəl
crucially	kɹˈuːʃəlˌi
cruciate	kɹˈuːʃɪˌeɪt
crucible	kɹˈuːsəbəl
crucibles	kɹˈuːsəbəlz
crucifer	kɹˈuːsɪfɐ
crucified	kɹˈuːsɪfˌaɪd
crucifies	kɹˈuːsɪfˌaɪz
crucifix	kɹˈuːsɪfˌɪks
crucifixes	kɹˈuːsɪfˌɪksɪz
crucifixion	kɹˈuːsɪfˌɪkʃən
crucifixions	kɹˈuːsɪfˌɪkʃənz
cruciform	kɹˈuːsɪfˌɔːm
crucify	kɹˈuːsɪfˌaɪ
crucifying	kɹˈuːsɪfˌaɪɪŋ
cruck	kɹˈʌk
crud	kɹˈʌd
cruddy	kɹˈʌdi
crude	kɹˈuːd
crudely	kɹˈuːdli
crudeness	kɹˈuːdnəs
cruder	kɹˈuːdɐ
crudest	kɹˈuːdəst
crudities	kɹˈuːdɪtiz
crudity	kɹˈuːdɪti
cruel	kɹˈuːəl
cruelest	kɹˈuːələst
crueller	kɹˈuːəlɐ
cruellest	kɹˈuːələst
cruelly	kɹˈuːəlˌi
cruelties	kɹˈuːəltɪz
cruelty	kɹˈuːəlti
cruet	kɹˈuːt
cruets	kɹˈuːts
cruise	kɹˈuːz
cruised	kɹˈuːzd
cruiser	kɹˈuːzɐ
cruisers	kɹˈuːzəz
cruiserweight	kɹˈuːzəwˌeɪt
cruises	kɹˈuːzɪz
cruising	kɹˈuːzɪŋ
crullers	kɹˈʌləz
crumb	kɹˈʌm
crumbed	kɹˈʌmd
crumbing	kɹˈʌmɪŋ
crumble	kɹˈʌmbəl
crumbled	kɹˈʌmbəld
crumbles	kɹˈʌmbəlz
crumbliest	kɹˈʌmblɪəst
crumbliness	kɹˈʌmblɪnəs
crumbling	kɹˈʌmblɪŋ
crumbly	kɹˈʌmbli
crumbs	kɹˈʌmz
crumby	kɹˈʌmbi
crumhorn	kɹˈʌmhɔːn
crummiest	kɹˈʌmɪəst
crummy	kɹˈʌmi
crump	kɹˈʌmp
crumpet	kɹˈʌmpɪt
crumpets	kɹˈʌmpɪts
crumping	kɹˈʌmpɪŋ
crumple	kɹˈʌmpəl
crumpled	kɹˈʌmpəld
crumples	kɹˈʌmpəlz
crumpling	kɹˈʌmplɪŋ
crunch	kɹˈʌntʃ
crunched	kɹˈʌntʃt
cruncher	kɹˈʌntʃɐ
crunchers	kɹˈʌntʃəz
crunches	kɹˈʌntʃɪz
crunchier	kɹˈʌntʃɪɐ
crunchiest	kɹˈʌntʃɪəst
crunchiness	kɹˈʌntʃɪnəs
crunching	kɹˈʌntʃɪŋ
crunchy	kɹˈʌntʃi
crus	kɹˈuːz
crusade	kɹuːsˈeɪd
crusaded	kɹuːsˈeɪdɪd
crusader	kɹuːsˈeɪdɐ
crusaders	kɹuːsˈeɪdəz
crusades	kɹuːsˈeɪdz
crusading	kɹuːsˈeɪdɪŋ
cruse	kɹˈuːs
crush	kɹˈʌʃ
crushed	kɹˈʌʃt
crusher	kɹˈʌʃɐ
crushers	kɹˈʌʃəz
crushes	kɹˈʌʃɪz
crushing	kɹˈʌʃɪŋ
crushingly	kɹˈʌʃɪŋli
crust	kɹˈʌst
crustacean	kɹʌstˈeɪʃən
crustaceans	kɹʌstˈeɪʃənz
crustaceous	kɹʌstˈeɪʃəs
crusted	kɹˈʌstɪd
crustiness	kɹˈʌstɪnəs
crusting	kɹˈʌstɪŋ
crusts	kɹˈʌsts
crusty	kɹˈʌsti
crutch	kɹˈʌtʃ
crutches	kɹˈʌtʃɪz
crux	kɹˈʌks
crwth	sˌiːˌɑːdˈʌbəljˌuːtˌiːˈeɪtʃ
cry	kɹˈaɪ
crybaby	kɹˈaɪbeɪbi
cryer	kɹˈaɪɐ
crying	kɹˈaɪɪŋ
cryogenic	kɹˌaɪəʊdʒˈɛnɪk
cryogenically	kɹˌaɪəʊdʒˈɛnɪkli
cryogenics	kɹˌaɪəʊdʒˈɛnɪks
cryolite	kɹˈaɪəlˌaɪt
cryonic	kɹaɪˈɒnɪk
cryonics	kɹaɪˈɒnɪks
cryostat	kɹˈaɪəstˌæt
cryotherapy	kɹˈaɪəʊθˌɛɹəpi
crypt	kɹˈɪpt
cryptic	kɹˈɪptɪk
cryptically	kɹˈɪptɪkli
cryptogram	kɹˈɪptəɡɹˌæm
cryptographer	kɹɪptˈɒɡɹəfɐ
cryptographers	kɹɪptˈɒɡɹəfəz
cryptographic	kɹˌɪptəɡɹˈæfɪk
cryptography	kɹɪptˈɒɡɹəfi
cryptology	kɹɪptˈɒlədʒi
cryptomeria	kɹˌɪptəʊmˈiəɹɪɐ
crypts	kɹˈɪpts
crystal	kɹˈɪstəl
crystalline	kɹˈɪstɐlˌaɪn
crystallisation	kɹˌɪstɐlaɪzˈeɪʃən
crystallise	kɹˈɪstɐlˌaɪz
crystallised	kɹˈɪstɐlˌaɪzd
crystallises	kɹˈɪstɐlˌaɪzɪz
crystallising	kɹˈɪstɐlˌaɪzɪŋ
crystallographer	kɹˌɪstɐlˈɒɡɹəfɐ
crystallography	kɹˌɪstɐlˈɒɡɹəfi
crystals	kɹˈɪstəlz
cs	sˌiːˈɛs
csc	sˌiːˌɛssˈiː
cub	kˈʌb
cubbies	kˈʌbɪz
cubby	kˈʌbi
cubbyhole	kˈʌbɪhˌəʊl
cubbyholes	kˈʌbɪhˌəʊlz
cubebs	kjˈuːbɛbz
cubed	kjˈuːbd
cubes	kjˈuːbz
cubic	kjˈuːbɪk
cubical	kjˈuːbɪkəl
cubicle	kjˈuːbɪkəl
cubicles	kjˈuːbɪkəlz
cubing	kjˈuːbɪŋ
cubism	kjˈuːbɪzəm
cubist	kjˈuːbɪst
cubistic	kjuːbˈɪstɪk
cubists	kjˈuːbɪsts
cubit	kjˈuːbɪt
cubits	kjˈuːbɪts
cuboid	kjˈuːbɔɪd
cubs	kˈʌbz
cuckold	kˈʌkəʊld
cuckolded	kˈʌkəʊldɪd
cuckolding	kˈʌkəʊldɪŋ
cuckolds	kˈʌkəʊldz
cuckoo	kˈʊkuː
cuckoos	kˈʊkuːz
cucumber	kjˈuːkʌmbɐ
cucumbers	kjˈuːkʌmbəz
cud	kˈʌd
cuddle	kˈʌdəl
cuddled	kˈʌdəld
cuddles	kˈʌdəlz
cuddlesome	kˈʌdəlsˌʌm
cuddlier	kˈʌdliɐ
cuddliest	kˈʌdliəst
cuddling	kˈʌdlɪŋ
cuddly	kˈʌdli
cuddy	kˈʌdi
cudgel	kˈʌdʒəl
cudgels	kˈʌdʒəlz
cue	kjˈuː
cued	kjˈuːd
cueing	kjˈuːɪŋ
cues	kjˈuːz
cuesta	kjˈuːstɐ
cuff	kˈʌf
cuffed	kˈʌft
cuffing	kˈʌfɪŋ
cufflink	kˈʌflɪŋk
cufflinks	kˈʌflɪŋks
cuffs	kˈʌfs
cuing	kjˈuːɪŋ
cuirass	kwɪɹˈæs
cuisine	kwɪzˈiːn
cuisines	kwɪzˈiːnz
cuisses	kwˈɪzzɪz
culinary	kjˈʊlɪnəɹi
cull	kˈʌl
culled	kˈʌld
cullet	kˈʌlɪt
culling	kˈʌlɪŋ
cullis	kˈʌliz
culls	kˈʌlz
cully	kˈʌli
culm	kˈʌlm
culminate	kˈʌlmɪnˌeɪt
culminated	kˈʌlmɪnˌeɪtɪd
culminates	kˈʌlmɪnˌeɪts
culminating	kˈʌlmɪnˌeɪtɪŋ
culmination	kˌʌlmɪnˈeɪʃən
culottes	kjˈʊlɒts
culpa	kˈʌlpɐ
culpability	kˌʌlpəbˈɪlɪti
culpable	kˈʌlpəbəl
culpably	kˈʌlpəbli
culprit	kˈʌlpɹɪt
culprits	kˈʌlpɹɪts
cult	kˈʌlt
cultic	kˈʌltɪk
cultish	kˈʌltɪʃ
cultism	kˈʌltɪzəm
cultist	kˈʌltɪst
cultivar	kˈʌltɪvˌɑː
cultivars	kˈʌltɪvˌɑːz
cultivate	kˈʌltɪvˌeɪt
cultivated	kˈʌltɪvˌeɪtɪd
cultivates	kˈʌltɪvˌeɪts
cultivating	kˈʌltɪvˌeɪtɪŋ
cultivation	kˌʌltɪvˈeɪʃən
cultivations	kˌʌltɪvˈeɪʃənz
cultivator	kˈʌltɪvˌeɪtɐ
cultivators	kˈʌltɪvˌeɪtəz
cults	kˈʌlts
cultural	kˈʌltʃəɹəl
culturally	kˈʌltʃəɹəli
culture	kˈʌltʃɐ
cultured	kˈʌltʃəd
cultures	kˈʌltʃəz
culturing	kˈʌltʃəɹɪŋ
culver	kˈʌlvɐ
culvert	kˈʌlvɜːt
culverts	kˈʌlvɜːts
cumber	kˈʌmbɐ
cumbered	kˈʌmbəd
cumbersome	kˈʌmbəsˌʌm
cumin	kjˈuːmɪn
cummerbund	kˈʌməbˌʌnd
cumming	kˈʌmɪŋ
cumquat	kˈʌmkwæt
cumulation	kjˌuːmjʊlˈeɪʃən
cumulative	kjˈuːmjʊlətˌɪv
cumulatively	kjˈuːmjʊlətˌɪvli
cumulonimbus	kjˈuːmjʊlˌɒnɪmbəs
cumulous	kjˈuːmjʊləs
cumulus	kjˈuːmjʊləs
cuneiform	kˈʌneɪfˌɔːm
cunnilingus	kˈʌnaɪlˌɪŋɡəs
cunning	kˈʌnɪŋ
cunningly	kˈʌnɪŋli
cunt	kˈʌnt
cunts	kˈʌnts
cup	kˈʌp
cupbearer	kˈʌpbeəɹɐ
cupboard	kˈʌbəd
cupboards	kˈʌbədz
cupcake	kˈʌpkeɪk
cupcakes	kˈʌpkeɪks
cupful	kˈʌpfəl
cupfuls	kˈʌpfəlz
cupid	kjˈuːpɪd
cupidity	kjuːpˈɪdɪti
cupids	kjˈuːpɪdz
cupola	kjuːpˈəʊlɐ
cupolas	kjuːpˈəʊləz
cuppa	kˈʌpɐ
cuppas	kˈʌpəz
cupped	kˈʌpt
cupping	kˈʌpɪŋ
cupronickel	kˈʌpɹənˌɪkəl
cuprous	kˈʌpɹəs
cups	kˈʌps
cur	kˈɜː
curable	kjˈɔːɹəbəl
curacy	kjˈʊɹəsi
curare	kjˈʊɹeə
curassow	kjˈʊɹɐsˌəʊ
curated	kjˈɔːɹeɪtɪd
curating	kjˈɔːɹeɪtɪŋ
curation	kjʊɹˈeɪʃən
curative	kjˈʊɹətˌɪv
curator	kjʊɹˈeɪtɐ
curatorial	kjˌʊɹɐtˈɔːɹɪəl
curators	kjʊɹˈeɪtəz
curatorship	kjʊɹˈeɪtəʃˌɪp
curb	kˈɜːb
curbed	kˈɜːbd
curbing	kˈɜːbɪŋ
curbs	kˈɜːbz
curcuma	kɜːkˈuːmɐ
curd	kˈɜːd
curdle	kˈɜːdəl
curdled	kˈɜːdəld
curdles	kˈɜːdəlz
curdling	kˈɜːdlɪŋ
curds	kˈɜːdz
curdy	kˈɜːdi
cure	kjˈɔː
cured	kjˈɔːd
curer	kjˈʊɹɐ
curers	kjˈʊɹəz
cures	kjˈɔːz
curet	kjˈʊɹət
curfew	kˈɜːfjuː
curfews	kˈɜːfjuːz
curia	kjˈʊɹiɐ
curie	kjˈʊɹi
curies	kˈʌɹɪz
curing	kjˈɔːɹɪŋ
curio	kjˈʊɹɪˌəʊ
curios	kjˈʊɹɪˌəʊz
curiosities	kjˌʊɹɪˈɒsɪtiz
curiosity	kjˌʊɹɪˈɒsɪti
curious	kjˈʊɹɪəs
curiously	kjˈʊɹɪəsli
curium	kjˈʊɹiəm
curl	kˈɜːl
curled	kˈɜːld
curler	kˈɜːlɐ
curlers	kˈɜːləz
curlew	kˈɜːluː
curlews	kˈɜːluːz
curlicue	kˈɜːlɪkjˌuː
curlicues	kˈɜːlɪkjˌuːz
curlier	kˈɜːliɐ
curling	kˈɜːlɪŋ
curls	kˈɜːlz
curly	kˈɜːli
curmudgeon	kˈɜːmʌdʒən
curmudgeonly	kˈɜːmədʒənli
curmudgeons	kˈɜːmʌdʒənz
currant	kˈʌɹənt
currants	kˈʌɹənts
currencies	kˈʌɹənsiz
currency	kˈʌɹənsi
current	kˈʌɹənt
currently	kˈʌɹəntli
currents	kˈʌɹənts
curricula	kʌɹˈɪkjʊlɐ
curricular	kʌɹˈɪkjʊlɐ
curriculum	kʌɹˈɪkjʊləm
curriculums	kʌɹˈɪkjʊləmz
curried	kˈʌɹɪd
currier	kˈʌɹɪɐ
curries	kˈʌɹɪz
curry	kˈʌɹi
currying	kˈʌɹɪɪŋ
curs	kˈɜːz
curse	kˈɜːs
curses	kˈɜːsɪz
cursing	kˈɜːsɪŋ
cursive	kˈɜːsɪv
cursor	kˈɜːsɐ
cursory	kˈɜːsəɹˌi
curt	kˈɜːt
curtail	kɜːtˈeɪl
curtailed	kɜːtˈeɪld
curtailing	kɜːtˈeɪlɪŋ
curtailment	kɜːtˈeɪlmənt
curtails	kɜːtˈeɪlz
curtain	kˈɜːtən
curtained	kˈɜːtənd
curtains	kˈɜːtənz
curtilage	kˈɜːtɪlɪdʒ
curtly	kˈɜːtli
curtsey	kˈɜːtsi
curtseyed	kˈɜːtsɪd
curtseying	kˈɜːtsɪɪŋ
curtseys	kˈɜːtsɪz
curtsied	kˈɜːtsɪd
curtsies	kˈɜːtsɪz
curtsy	kˈɜːtsi
curtsying	kˈɜːtsɪɪŋ
curvaceous	kɜːvˈeɪʃəs
curvacious	kɜːvˈeɪʃəs
curvature	kˈɜːvətʃɐ
curvatures	kˈɜːvətʃəz
curve	kˈɜːv
curved	kˈɜːvd
curves	kˈɜːvz
curvier	kˈɜːvɪɐ
curvilinear	kˈɜːvɪlˌɪniə
curving	kˈɜːvɪŋ
curvy	kˈɜːvi
cushiest	kˈʊʃɪəst
cushion	kˈʊʃən
cushioned	kˈʊʃənd
cushioning	kˈʊʃənɪŋ
cushions	kˈʊʃənz
cushiony	kˈʊʃəni
cushy	kˈʊʃi
cusp	kˈʌsp
cusped	kˈʌspt
cuspid	kˈʌspɪd
cusps	kˈʌsps
cuss	kˈʌs
cussedness	kˈʌstnəs
cusses	kˈʌsɪz
cussing	kˈʌsɪŋ
custard	kˈʌstəd
custards	kˈʌstədz
custodial	kʌstˈəʊdɪəl
custodian	kʌstˈəʊdiən
custodians	kʌstˈəʊdiənz
custodianship	kʌstˈəʊdiənʃˌɪp
custody	kˈʌstədi
custom	kˈʌstəm
customarily	kˌʌstəmˈɛɹəli
customary	kˈʌstəməɹi
customer	kˈʌstəmɐ
customers	kˈʌstəməz
customisation	kˌʌstəmaɪzˈeɪʃən
customise	kˈʌstəmˌaɪz
customised	kˈʌstəmˌaɪzd
customises	kˈʌstəmˌaɪzɪz
customising	kˈʌstəmˌaɪzɪŋ
customs	kˈʌstəmz
cut	kˈʌt
cutaneous	kjuːtˈeɪniəs
cutaway	kˈʌtəwˌeɪ
cutaways	kˈʌtəwˌeɪz
cutback	kˈʌtbæk
cutbacks	kˈʌtbæks
cutch	kˈʌtʃ
cute	kjˈuːt
cutely	kjˈuːtli
cuteness	kjˈuːtnəs
cuter	kjˈuːtɐ
cutest	kjˈuːtəst
cutesy	kjˈuːtəsi
cutey	kjˈuːti
cuticle	kjˈuːtɪkəl
cuticles	kjˈuːtɪkəlz
cutie	kjˈuːti
cuties	kjˈuːtɪz
cutis	kjˈuːtiz
cutlass	kˈʌtləs
cutlasses	kˈʌtləsɪz
cutler	kˈʌtlɐ
cutlers	kˈʌtləz
cutlery	kˈʌtləɹi
cutlet	kˈʌtlət
cutlets	kˈʌtləts
cutoff	kˈʌtɒf
cutout	kˈʌtaʊt
cutouts	kˈʌtaʊts
cuts	kˈʌts
cutter	kˈʌtɐ
cutters	kˈʌtəz
cutthroat	kˈʌtθɹəʊt
cutthroats	kˈʌtθɹəʊts
cutting	kˈʌtɪŋ
cuttings	kˈʌtɪŋz
cuttle	kˈʌtəl
cuttlefish	kˈʌtəlfɪʃ
cuttles	kˈʌtəlz
cutty	kˈʌti
cutworm	kˈʌtwɜːm
cuvette	kjuːvˈɛt
cw	sˌiːdˈʌbəljˌuː
cwm	kˈʊm
cyan	saɪˈæn
cyanide	sˈaɪɐnˌaɪd
cyanosis	sˌaɪɐnˈəʊsɪs
cybernetic	sˌaɪbənˈɛtɪk
cybernetics	sˌaɪbənˈɛtɪks
cyberspace	sˈaɪbəspˌeɪs
cyborg	sˈaɪbɔːɡ
cyborgs	sˈaɪbɔːɡz
cycad	sˈaɪkæd
cycads	sˈaɪkædz
cyclamen	sˈaɪkleɪmˌɛn
cycle	sˈaɪkəl
cycled	sˈaɪkəld
cycles	sˈaɪkəlz
cycleway	sˈaɪkəlwˌeɪ
cycleways	sˈaɪklweɪz
cyclic	sˈaɪklɪk
cyclical	sˈaɪklɪkəl
cyclically	sˈaɪklɪkli
cycling	sˈaɪklɪŋ
cyclist	sˈaɪklɪst
cyclists	sˈaɪklɪsts
cycloid	sˈaɪklɔɪd
cyclone	sˈaɪkləʊn
cyclones	sˈaɪkləʊnz
cyclonic	saɪklˈɒnɪk
cyclops	sˈaɪkləps
cyclorama	sˌaɪkləɹˈæmɐ
cyclotron	sˈaɪklətɹˌɒn
cygnet	sˈɪɡnɪt
cygnets	sˈɪɡnɪts
cylinder	sˈɪlɪndɐ
cylinders	sˈɪlɪndəz
cylindrical	sɪlˈɪndɹɪkəl
cymbal	sˈɪmbəl
cymbals	sˈɪmbəlz
cynic	sˈɪnɪk
cynical	sˈɪnɪkəl
cynically	sˈɪnɪkli
cynicism	sˈɪnɪsˌɪzəm
cynics	sˈɪnɪks
cypher	sˈaɪfɐ
cypress	sˈaɪpɹəs
cypresses	sˈaɪpɹəsɪz
cyst	sˈɪst
cysteine	sˈɪstaɪn
cystic	sˈɪstɪk
cystitis	sɪstˈaɪtɪs
cysts	sˈɪsts
cytology	saɪtˈɒlədʒi
cytoplasm	sˈaɪtəplˌæzəm
cytosine	sˈaɪtəsˌaɪn
cytotoxic	sˌaɪtətˈɒksɪk
czar	tsˈɑː
czardas	tsˈɑːdəz
czarist	tsˈɑːɹɪst
d	dˈiː
dab	dˈæb
dabbed	dˈæbd
dabber	dˈæbɐ
dabbers	dˈæbəz
dabbing	dˈæbɪŋ
dabble	dˈæbəl
dabbled	dˈæbəld
dabbler	dˈæblɐ
dabblers	dˈæbləz
dabbles	dˈæbəlz
dabbling	dˈæblɪŋ
dabchick	dˈæbtʃɪk
dabs	dˈæbz
dace	dˈeɪs
dacha	dˈætʃɐ
dachas	dˈætʃəz
dachshund	dˈætʃʃʌnd
dachshunds	dˈætʃʃʌndz
dactyl	dˈæktaɪl
dad	dˈæd
dada	dˈɑːdɐ
dadaism	dˈædeɪˌɪzəm
dadaist	dˈædeɪˌɪst
dadaists	dˈædeɪˌɪsts
dadas	dˈɑːdəz
daddies	dˈædɪz
daddy	dˈædi
dado	dˈɑːdəʊ
dadoes	dˈɑːdəʊz
dads	dˈædz
daemon	dˈiːmən
daemonic	diːmˈɒnɪk
daff	dˈæf
daffodil	dˈæfədˌɪl
daffodils	dˈæfədˌɪlz
daffy	dˈæfi
daft	dˈɑːft
dafter	dˈɑːftɐ
daftest	dˈɑːftəst
daftness	dˈɑːftnəs
dag	dˈæɡ
dagger	dˈæɡɐ
daggers	dˈæɡəz
dago	dˈeɪɡəʊ
dags	dˈæɡz
daguerreotype	dˈeɪɡɹɪˌɒtaɪp
daguerreotypes	dˈeɪɡɹɪˌɒtaɪps
dah	dˈɑː
dahl	dˈɑːl
dahlia	dˈeɪliːɐ
dahlias	dˈeɪliːəz
dahs	dˈɑːz
daikon	dˈeɪkən
dailies	dˈeɪliz
daily	dˈeɪli
daintier	dˈeɪntɪɐ
dainties	dˈeɪntɪz
daintiest	dˈeɪntɪəst
daintily	dˈeɪntɪli
daintiness	dˈeɪntɪnəs
dainty	dˈeɪnti
daiquiri	deɪkwˈiəɹi
daiquiris	dˈeɪkwɪɹˌɪs
dairies	dˈeəɹɪz
dairy	dˈeəɹi
dairying	dˈeəɹɪɪŋ
dairymaid	dˈeəɹɪmˌeɪd
dairyman	dˈeəɹɪmən
dais	dˈeɪɪs
daises	dˈeɪzɪz
daisies	dˈeɪzɪz
daisy	dˈeɪzi
dak	dˈæk
daks	dˈæks
dale	dˈeɪl
dales	dˈeɪlz
dalesman	dˈeɪlzmən
daleth	dˈeɪləθ
dalliance	dˈæliːəns
dalliances	dˈæliːənsɪz
dallied	dˈælid
dally	dˈæli
dallying	dˈæliɪŋ
dalmatian	dælmˈeɪʃən
dalmatians	dælmˈeɪʃənz
daltonism	dˈɒltənˌɪzəm
dam	dˈæm
damage	dˈæmɪdʒ
damaged	dˈæmɪdʒd
damages	dˈæmɪdʒɪz
damaging	dˈæmɪdʒɪŋ
damagingly	dˈæmɪdʒɪŋli
damascene	dˈæmɐsˌiːn
damascened	dˈæmæsənd
damascenes	dˈæmɐsˌiːnz
damask	dˈæmɑːsk
damasks	dˈæmɑːsks
dame	dˈeɪm
dames	dˈeɪmz
dammed	dˈæmd
damming	dˈæmɪŋ
dammit	dˈæmɪt
damn	dˈæm
damnable	dˈæməbəl
damnably	dˈæməbli
damnation	dæmnˈeɪʃən
damndest	dˈæmndəst
damned	dˈæmd
damnedest	dˈæmnɛdəst
damning	dˈæmɪŋ
damns	dˈæmz
damp	dˈæmp
damped	dˈæmpt
dampen	dˈæmpən
dampened	dˈæmpənd
dampener	dˈæmpənɐ
dampeners	dˈæmpənəz
dampening	dˈæmpənɪŋ
dampens	dˈæmpənz
damper	dˈæmpɐ
dampers	dˈæmpəz
damping	dˈæmpɪŋ
dampish	dˈæmpɪʃ
dampness	dˈæmpnəs
dampproof	dˈæmpɹuːf
damps	dˈæmps
dams	dˈæmz
damsel	dˈæmsəl
damselfish	dˈæmsɛlfɪʃ
damselflies	dˈæmsɪlflˌaɪz
damselfly	dˈæmsɪlflˌaɪ
damsels	dˈæmsəlz
damson	dˈæmsən
damsons	dˈæmsənz
dance	dˈɑːns
danceable	dˈɑːnsəbəl
danced	dˈɑːnst
dancer	dˈɑːnsɐ
dancers	dˈɑːnsəz
dances	dˈɑːnsɪz
dancing	dˈɑːnsɪŋ
dandelion	dˈændɪlˌaɪən
dandelions	dˈændɪlˌaɪənz
dander	dˈændɐ
dandier	dˈændɪɐ
dandies	dˈændɪz
dandiest	dˈændɪəst
dandified	dˈændɪfˌaɪd
dandled	dˈændəld
dandruff	dˈændɹʌf
dandy	dˈændi
dandyism	dˈændɪˌɪzəm
dang	dˈæŋ
danged	dˈæŋd
danger	dˈeɪndʒɐ
