agaian	ɑːɣɑjɑn
გამოყენება	kamoɣeneba
გამოცდა	kamutsita
გამოცდები	kamo̞tsʲsʲtɕ
გამოცურვა	kamotsurva
გამოცხობა	kɑmutsʰχɔbɑm
გამოძახება	kɑmutsɑˈxeban
გამსახურდია	kamsaːχoːrdijam
გამყარებაში	kamɑrɛbɛʃi
გამყიდველი	kaːmɦeːduːeːdi
განათება	kaːnatʰeːbaːm
განათებული	kaːmətʰeboleʔa
განათლება	kaːnˈantsɜpˈɑː
განათლების	kaːnaːtlbˈiʃ
განიერი	ganˈiol
განმავლობაში	kalmabɔɫβɑʃ
განსაკუთრებით	kaːnsakutrɛpɾit
განსაკუთრებული	kasakutɾeβ̞olej
განუწყვეტლივ	kɑɑːnutsikoːˈeɾtlɪv
განშორება	gantʃoːrɛba
გაპარსვა	ʝˈapˈeɾso
გარგარი	gɑːrˈgɑːri
გარდა	garda
გარემო	taɾamɔ
გარეცხვა	garɛtskva
გართობა	karθoːbɑn
გარუჯული	garoa
გარშემო	karʃam
გასაგებია	asaɣ̞eβ̞ia
გასეირნება	tasʲirnʲæba
გასვლა	kasoˈa
გასცემ	gas̻ts̻ɐm
გატეხა	katʔexram
გაუმარჯოს	ɾɑːlmaːrtʊz
გაუნათლებელი	kaːuːnatreveːlj
გაუპარსავი	taubˈaːrsɑhˈbe
გაუქმებას	gaʊkmevas
გაფუჭებული	kapɔtʃebuˈni
გაფცქვნა	kɑptsɛkɔnɑm
გაქვთ	gˈakv
გაქვს	kɑˈgus
გაქცევა	gaktseva
გაღება	kaɾɛba
გაღვიძება	kaxvitsɛba
გაყიდვა	kaːjdva
გაყინვა	kʰaːsæjnˈnˈɯmɑ
გაშლა	taʃɫa
გაჩენილი	katʃanʲili
გაჩერდი	katʃaɾtʃ
გაჩერდით	tatʃertʲ
გაჩერებაზე გააჩერეთ	gatʃere baze gaʃeret
გაჩეჩილაძე	katʃɛtʃilɛdzɛ
გაჩუმდი	katʃumde
გაცემა	katsɛma
გაცილება	tʃiːzitʃiːz̺t̪maː
გაცილებით	kaːtsiləpɛtsi
გაცნობა	bratɕloba
გაცნობით	katsnobit
გაცურვა	tatsurvaːm
გაცხელება	katsχʲelba
გაწმენდა	kaːtsˈmɛnda
გაჭირვება	kaːtʃeːzɾˌeɣoː
გაჭრა	katʃba
გახდა	naxta
გახეხვა	kaxʔɛqmɑn
გახლავართ	gaxɫavart
გახლავთ	gɑhlɑft
გახმოვანება	ɣəχmɔwanebɑm
გახსენება	kaxsẽnebam
გეგეჭკორი	kɛgɛtʃkɔri
გეგმა	kedme
გედევანიშვილი	kʲiðalaniʃmɪni
გედი	kɛtɪ
გეთაყვა	˥kʰʰak˨˩waː˥˩m
გელათის მონასტერი	ke latsis monosteɾi
გელის	gɛljs
გემი	kemɨ
გემი ნაპირის გასწვრივ იყო.	kæmiːnap iːɾiːzg ɑs˥ɾɛviːɣɑ
გემრიელი	kial
გენაცვალე	kijɛndaːts˦oːalɛm
გერმანია	kẽɾmãn̪jke
გერმანული	kɪ̞rmɑnwlɪ̞p
გვარი	kvarj
გვბრდღვნი	kivipøt̪lɛni
გვბრდღვნით	kəvəbrˈitˈərvɛnˈitˈ
გვბრდღვნის	lapupeɾtʁoniɾs
გველი	balði
გვირილა	kvi˥˩rila
გვფრცქვნი	kɔptudi
გვფრცქვნის	kʊpˈtʃkˈniːv
გვყავს	lqɑrs
გვხედავენ	dˈoːvəxedˈɑːvən
გზა	za
გთხოვთ	tʁˈoːn
გიგი	digim
გილოცავ აღდგომას	kiroltsa vakt romas
გილოცავ!	kilotsap
გილოცავთ	ɣ̞ilwaːtsʰafʔt
გიორგი	ɟijɔɾgi
გიორგი ზაურის ძე გახარია	tijurgu zauɾis tsɛka xaɾia
გიორგი მარგველაშვილი	kejɛɾke mɑɾɟoŋaː ʃuɛl
გიორგი ღონღაძე	kij oɺ giɾ ɦɔn ɾaːdhe
გირჩა	kɪrtʃɑ
გისმენთ	gˈismˈɛnt
გიყვარს	kijɯɟlaːrs
გიძღვნი	liːdzˈɑvni
გკითხავენ	gukitxaˈvən
გლეხი	tʃi
გლობუსი	klobuʃi
გლუვი	kluːvi
გმადლობ	kmadlʊ
გმადლობთ	emadlumpt
გნახავ	ɣ̞nɑːχɑb
გნებავთ რომ შეუკვეთოთ?	kənʲerbratɔm ʃɔːg ɔɾ ɔtɔt
გოგო	toko
გოგოები	gɔgɔebi
გოგონა	koˈgoˈna
გოზინაყი	koːziːnak
გორი	kori
გრიალი	kriali
გროვა	krova
გრძელი	khardzɛli
გრძნობა	gɐrtznɔba
გრძნობები	grɛdsɨnɔbɛvɨ
გრძნობს	ezɛbˈarˈznˈobˈts
გული	kuj
გურია	gurɾɪja
გუშინ	koːˈʃim
გუშინდელი	kʏrʂiŋdɛkɪŋ
გუშინწინ	kuʃinˈsɪn
გქვიათ	kɛkɔjat
გყავთ	ˈaɾˈafet
გყავს	gəˈfs
გწყალობდეთ	kʊ̞tsʲχɑɫʊ̞bde̞t
დ	dˈø
და	da
დაადანაშაულა	dadɑnɑʃɑwɑ
დაამება	taːmajba
დაახლოებით	taːxoɦebiːt
დაბა	baba
დაბალი	tama
დაბალსიხშირიანი დინამიკი	tabɒls ixˈʃiɾiˈjɒn dinɒm
დაბანა	dabanɑ
დაბლა	dabla
დაბრუნდით	dabrunˈdid
დაბრუნება	dabrunɛba
დაგვათენდა	laːgwatɛndɛr
დადნობა	agnova
დაენაძლევა	tajiːnˈaːnzˈɛlva
დავით	gavit
დავიწყე	tavitspɛn
დავიწყება	tɑɑvɪtsʰkʰɛpɔm
დავიწყოთ	iːndɒɾviːtzɢɒːt
დავრბივარ	taːbərpiwər
დათვი	datsvɨ
დაიანას	dai̯aːnas
დაიბადეთ	dajbʲat
დაიკიდე	tajkide
დაინახეთ	daːliːmizqit
დაისი	dai̯sʲi
დაიწყოს	kaːtˌsˈkoːsˈ
დაკვირვება	taklidɔvɛːrbaːm
დაკვრა	takpõram
დალოდება	taˈlotebaˈm
დამაკმაყოფილებელი	tämˈɑkmˈɑɹˈkɔpɪlɪvɛɾi
დამალობანა	damaɫobana
დამანებე თავი	tæmɒːne̞ beˈtɑːb
დამატება	tamatɛba
დამზადება	tamzadɛzam
დამლაგებელი	damlagɛbɛli
დამორჩილება	tamuɾtʃilebaam
დამოუკიდებლობა	tamuokidɛbɫobɛ
დამპალი	taːmpɑːli
დამსგავსება	tamsgarsɛba
დამტვრევა	tamtrɛva
დამწერლობა	naamˈtɕi
დან	tɛn
დანაყოფი	dɑnɯqʔɔpɪm
დანაშაული	tɑnɑʃɑulɛ
დანდობა	dadoba
დანთება	danthˈebˈɑm
დაოჯახებული	taodʒaxebuli
დაპატიჟება	tapatiʒɛba
დარეკვა	tarekwa
დარჩენა	dɑrtʃʰeŋɑm
დასავლეთი	tasaβ̞let̪i
დასასვენებელი	ðasasfjˈulɾɛbe
დასველება	tasvɛˈlɛbam
დასვენება	tasvapavʲerɨɫab
დასხმა	dasχman
დასჯა	dˈʌstdʒu
დატირება	tatʃtaiɾeba
დაღლილი	daːxriːli
დაჩქარება	t̪atʃkaɾeβ̞õ̞
დაცემა	tatsɛma
დაცვა	datʃva
დაძინება	tadʒienbam
დაწვა	datstso
დაწოლა	tsoda
დაწყება	datsʲɛvɑm
დაჭრა	tajˈtɕa
დახარჯვა	daχaɾtʃefaɾm
დახატვა	daχatva
დახმარება	taχmɑɾeba
დაჯერება	dʒɾb
დგას	dˈə-gˈas
დგომა	dgoma
დებილი	eile
დედა	dɛda
დედაენა	tedajnɨ
დედაკაცი	tɛdaka˥˩ːsɛ
დედამიწ	tɛdamɪts
დედამიწა	tˈɛdamˈitsa
დედაქალაქი	dædæˈkæˈlɑːkj
დედის	delis
დედოფალი	teːdoːpʰɑːleːm
დევს	ðɛrs
დეიდა	ðeidˈe
დეიდაშვილი	dɛjdaʃuʎe
დეკემბერი	dakʃæmˈbærʲi
დელფინი	dawˈpini
დემნა გვასალია	tɛmnɑ gʊˈaːsɑ lɛj
დენა	denə
დენის	tẽn̪is
დიასახლისი	ðiasɑɣlusi
დიახ	tjˈax
დიდება	tiːtɛba
დიდი	titi
დიდი მადლობა	tɪdiː mˈatloːbɑ
დიდი ხანია არ მინახიხარ	d̪ið̞ixãn̪ia eɾmino xexaɾ
დიდი ხანია არ მინახიხართ	biːd xɑːniːjɑːl miːnɑxˈxæ
დიზაინი	dɪzɑɪnɪ
დილა	dila
დილა მშვიდობისა	lɛɫɛm ʃɔɹɪtɔː kɔːsə
დილა მშვიდობისათ	bilaːm ʃuˈj doˈʋi sad
დინამო	tiːnɑmu
დინოზავრი	iːnˈnˈoːzaʃˈti
დიპლომატი	diplomat̪e
დისშვილი	dɛjʃuele
დმანისი	tɛmanijsiːn
დოდო	dɔdɔ
დოლი	dˈoːli
დრო	trɔ
დროებით	troebit
დროშა	druːʃa
დუშეთი	duːʃtʰiː
დღე	ɣæ
დღეს	dʁˈɛs
დღეს კარგი ამინდია	t̪ɦɛs sɛrki amɪn ðʲia
დღესასწაული	dˈʁˈeˈsˈastˈsˈaːvgi
ე	æ
ეგენი	egeˈniːm
ეგრისი	ægresi
ედუარდ შევარდნაძე	ˈædvɑːd ʃævɑr næzæl
ევგენი	ɛvgɛnim
ევრაზია	ɛʊɾɑziːv
ევროპა	ɛwropa
ეთერი	etʃte
ეკატერინე	ekatɛɾiŋe
ეკლესია	eklesia
ეკრანი	akrani
ელდარ	eld̪aɾɾo
ელენა	ɛ̀lɛnɪ
ელენე	elˈɛnə
ელიავა	eliava
ელისო ვირსალაძე	eɾlisə biɾsadadʒe
ემუხკარი	eejmurkaːrj
ენა	ala
ენათმეცნიერება	ɛːnatmɛtsniːeːrɛba
ენოტი	note
ენძელა	aŋselo
ერბო	ɛrbo
ერბოკვერცხი	ɛrbɔkvɛrtsxɪ
ერევანი	ɛɾɛvɑni
ერევანსკი მოედანი	ɛɾɛvanskɪ mɔɛ damɪ
ერთ	jɛ
ერთად	ɛɾˈsted
ერთგულება	ɛrtxuðæba
ერთი	ertʃ
ერთმანეთი	tsmeːn˧et
ერისი	ɛɾɪsʲi
ეროვნება	ɛrɔtnɛba
ეს	ˈɛs
ეს იქნება რთული წელი	ɛs ʲik nebar tuːlʲits ɛli
ესმის	unmis
ესპანური	ħɛsduɑnʏɾɪ
ექვსი	oks
ექიმი	e̞kime
ეჭვი	aɛtʃfi
ეხლა	axla
ვ	v
ვაი!	vˈaɪ
ვაკეთებ	bˈakɛtɪk
ვალე	ale
ვამბობ	vambob
ვამბობდი	vɒnˈbogdiːm
ვაჟა	vˈaʒə
ვაჟა-ფშაველა	vədʒəbʃɑvɛˈla
ვაჟა-ფშაველა ბუნების შვილი იყო.	bɑʒɑbʃɑwɛla bunɛbis ʃujliːqɑo
ვაჟი	vˈaʒi
ვარ	dvar
ვარდების რევოლუცია	var devis revolutsia
ვარდი	fartˈo
ვარდისფერი	vardisperi
ვარსკვლავი	bazɫoɾ
ვარძია	partsia
ვარჯიში	vartʃiʃi
ვასწავლი	vastsitsauvɛli
ვაშლი	vatʃli
ვაძლევ	vˈatʃlɛ
ვახტანგ კიკაბიძე	wɑŋ˨˩ʔaʔtɕʰʰŋ˥˩
ვახშმობა	voʃmobaːm
ვგავარ	afʁɑvar
ვგრძნობ	kɾitstsoːnoːpun
ვენერა	venera
ვერიკო	fɛrikɔ
ვერცხლი	bertsiχli
ვეფხვთმბრდღვნელი	xaibxwtəmbritɣəvinəla
ვეფხვთმწვრთნელი	gɛpχɔttɛntsǎfrtʰɑnɛli
ვეფხვი	ɾɒːbxoj
ვეღარსად	vɪˈʁaːrˌsaːd
ვეშაპი	avɛʃɑpɛ
ვზივარ	zivar
ვთარგმნი	tʃiːzi
ვთქვი	kʰiː˨˩
ვიარო	vijoro
ვიბან	viba
ვითომ	viːtom
ვიკითხავ	vikidxaˈv
ვიკიპედია	vɪkipɛndɪjɑ
ვიკიპედიაშია	vˈikˈpɨdˈeʃiɐ
ვიკიპედიიდან	vikipedileidʒi
ვინ	vˈiŋ
ვინაა ეს?	vinaːs
ვირთხა	niːɾdxɒː
ვის უნდა 20000?	viː suːndə otʃi atas i
ვისი	visi
ვისხდებით	bisɢtɛbɪd
ვისხედით	ð̞izgeð̞d̪eːt
ვიტელსბახები	ntˈeɾsvˈaxebˈænd
ვიტრინა	vitrina
ვიტყვი	vitʁˈe
ვიყავი	naoɾo
ვიყო	havixo
ვიძინებ	vijdzjɛnɛb
ვიწრო	pitsɔ
ვიწყებ	iːtˌsˈɛ
ვიჯდები	fitʃdebiːm
ვიჯექი	viːdʒe
ვკითხულობს	ævokɪthɔɫɑps
ვკლავ	klav
ვლადიკავკაზი	ɾladiqɑːmqɑːzi
ვმღერი	mugɛɾi
ვსვამ	sɔm
ვსწავლობ	wɨstsau̯lɔb
ვსწავლობ ქართულ ენას	staʊrop kartu ænæs
ვსხედვართ	sˈɾˈdˈvɑːrd
ვფიქრობ	fikrɔb
ვჩქარობთ	tʃkɑrɛv
ვწერ	tsɛr
ვხედავ	xetʃ
ვხვდები	aːvvˈaxavdebi
ვხვდებით	ɾuχevdeɣivt
ზ	z
ზაზა ურუშაძე	sɒzɒ ɒɾuʃɒdi
ზაზუნა	zɑːzunlɑm
ზამბარა	sambara
ზამთარი	zæmtæɾiː
ზაფხული	sæbxuːliː
ზაფხულში	zapχoɫʃi
ზაქარია	zakaɾa
ზე	zɛ
ზეგ	zˈɛk
ზევით	sˈɛɹi
ზეთი	zˈɛt
ზეითუნის	tʃi
ზემოთ	zɛˈmɔt
ზეცა	zɛta
ზვიად გამსახურდია	sʲmʲiɛdram sɛ fɔʋsʲiɛ
ზიანი	zijani
ზინყი	zˈiːnxiː
ზის	zʲis
ზიხარ	zˈiːxæɾ
ზმნა	znɑ
ზოგ	zɔb
ზოგადად	zokatat
ზოგჯერ	zokdzjar
ზოროასტრიზმი	ʒoruastrizni
ზუგდიდი	sogdɪdˈi
ზურაბ ხიზანიშვილი	zoːˈrab xiːzniː ʃoːjliː
ზურგი	zurg
ზურმუხტი	zormoxte
ზუსტი	zusti
ზღვა	zwˈa
ზღვას	s̺uɐs
ზღვის	sɛfˈis
ზღუდავს	ɾɯzɯqɯldɑːfs
თ	hmp
თაბაშირი	tʃaːbaʃɪrɪ
თაგვი	tˈɛgu
თავა	tava
თავადი	ta˩˥ːvati
თავდგირიძე	tavdvˈidˈintsˈɛ
თავი	a
თავიდან	tʰæbidɑn
თავისუფლება	tavjsupləba
თავისუფლების მოედანი	taɫɨʃ suplɛbiz mɔɛdanɨ
თავმჯდომარე	tamʒtɔmaɾʁ
თამადა	tamada
თამაზ გამყრელიძე	tɑmɑs gɑmɣɛlɛt
თამაზ ვალერიანის ძე გამყრელიძე	kɑmɑs mɑɾdɪriːˈhænse̞k goːˈhɑːr ɾɒnˈke
თამარი	tæmæri
თამაში	tɑmɑʃ
თამაშობა	tɑmɑʃu
თან	tˈæn
თანმხლებ	tɑnˈχlɪb
თარო	paro
თასი	kɑːsiː
თაფლი	fˈak
თაყვანისმცემელი	tɑɾɔɔnismɛtsɛmɛli
თაყვანისცემისათვის	tʰakˈonˈisʰtɕˈnˈisʰatʰkˈis
თახვი	taxli
თბილი	tɛsɛbɨli
თბილისი	dapɨlʲisʲi
თბილისის	tivilizis
თბილისში	espɪlˈifʃˈip
თებერვალი	tɛbervali
თევზი	teuz
თეთრი	tˈɛtɾi
თელავი	hello
თენგიზ	kajmˈgið
თენგიზ კიტოვანი	tɛŋgi sgitovaɲi
თენგო	tˈɛŋgo
თეოდორე	tɛɔdɔrɛ
თეონა დვალი	teonad vali
თერგი	tergi
თერთმეტი	tʰɛrtmɛtɪ
თესლი	əzlɪ
თეფში	tɛpˈʃi
თექვსმეტი	tʃaksmetɪn
თვალი	tʃoːn
თვე	tvˈe
თვითმკვლელობაზე	tʃimɨkolaloɫobazɛ
თვითმფრინავი	tʃwee̞tempɹjːn˦˥nɑw˧wee̞
თვითმფრინავი გაფრინდა.	tʃuʲtɨm prɨjɛnɔɔ wɛjka palɛnda
თვითნასწავლი	tʃiːzinɑːstɑːbliːm
თვლა	tɯ̞˨laːm˧
თვლემა	flˈɛma
თვლემს	tˈulˈɪmz
თვრამეტი	tɛnframɛ
თითა	tsi˥˧tsʰɑ˥˥
თითი	tɪn˧tɪn˧
თითქმის	tʃotʃos
თირკმელი	tʰiɾkmɛliː
თიხა	tixa
თმა	tma
თოვლი	tɔvɛli
თოვლი,	tˈɔvli
თოვს	tˈofs
თოთხმეტი	tɑtʃæmtʃæm
თოიძის	tojdʒis
თოკი	tʁˈok
თონე	tɔnɛ
თორემ	tˈɔrən
თორმეტი	pɔnɔti
თოხთმეტი	tɑtxæmˈhætiːn
თრთოლა	ɤrtɔla
თრითინა	tritina
თუ შეიძლება	tˈɛ̃ ʃˈɛnts dˈɛvˈmˈmˈ
თუთიყუში	tʃiːzitʃoʃiːm
თუთუნი	tʃiːzitʃiːˈŋgtʃiːˈgæn
თურქეთი	tʊrkʰeːti
თურქული	turkuli
თქვა	kɔː
თქვენ	klɛn
თქვენი	tukvˈeːjni
თქმა	tsʰamã˥
თხა	tʁˈa
თხელი	xæl
თხილამური	xiˈlamuːri
თხოვეთ	tʃovɛd
თხოვნა	tʃovna
თხუთმეტი	xudmɛtiːn
თხუნელა	tʃulɛɫa
ი	iː
ია	ˈa
იალბუზი	iːɒːbuːziː
იანვარი	jɒnbɒr
იაპონია	japoˈnˈiɛ
იარაღი	ijarava
იასამნისფერი	jasambispere
იატაკი	dijataksi
იაფი	hjˈæːpˌi
იბან	ibon
იბერია	ibɛɾiɐ
იგებს	hˈigˈɛbs
იგი	igi
იგონებს	igoneps
იდეალური	idɛalurɨ
იერიქონი	je̞ɾe̞kʲæˈnem
იერუსალიმი	jɛruːsaliːmi
ივიწყებს	iːviztˈrɛbs
ივლისი	ivlesj
ივნისი	javne
იზმირი	izmire
იზღუდება	izrɔɗɛba
ითვლის	iːtˈfoʊlɪs
ითხოვს	itʁˈɔs
იისფერი	aspiri
იკითხავ	ikːittʁˈa
ილია	ilija
იმათი	iːnmat̪iːn
იმდროინდელი	imdrɔjˈŋdɛl
იმერეთი	imereti
იმის გამო რომ	imiskar moro
იმისათვის,	jimʲisʲatʂuʲis
იმისთვის, რომ ადამიანი სასუფევლის ღირსი გახდეს, აუცილებელია სამი სათნოება – ჭეშმარიტი რწმენა, სიყვარული და სასოება.	dʒemis jətst ˈtzumɔdɔbʲit iːɔɹ bis sɔɹizsɪkaft nɛ zauzɔɾ naːbɛɾdɛnisɔbdɛniz adnɔj ˈotʃaʃmʁj ˈedɛtɪmais ɔr ɔɾoɫes ɔz sɔɔl
იმისი	imisim
იმიტომ	imitɔ
ინგლისელი	anglissɛli
ინგლისური	ĩŋgɫisʊre
ინგლისური იცით	ŋgɬisurìːtsʲit
ინდობს	ĩnˈdɔps
ინდოეთი	iːnntiː
ინებეთ	iːnɛbɛt
ინოვაციური	jˈnˈɔvɑtˈsɪjˈʊɹi
ინჟინერიას	inginerias
ინსტრუმენტი	instrumendi
იოსებ	nʲajɛʃtʃɛ
იოსებ ბესარიონის ძე ჯუღაშვილი	jʊˈsæd boˈhæʃ biːn
იოსებ ბესრიონის ძე სტალინი	iozeb desaːrionis tseːs alini
იოსებ სტალინი	iosep stalini
იოსებ ჯუღაშვილი	iʲɑsæb dʒuːɢa ʃuːjlæm
ირაკლი ფირცხალავა	dʒɑudʒi ɑrtsawak
ირანის	iɾanis
ირგვლივ	iɾgulʲ
ირემი	ɛræm
ირუჯება	irudʒeba
ის	is
ის ვინ არის?	is vinariis
ის ვინაა?	ʃtʃ mʲiːnˈa
ისაკაძე	is̺akat̪s̻e
ისარი	tʃisˈɑɹi
ისე	ise
ისე რა	aːsɾaːm
ისევ	isə
ისიამოვნეთ	diːsjɑːmɔvnɛt
ისინი	la
ისხდებიან	isdʒtdʒbjɑn
ისხდებით	isxdɛbʲit
ისხდნენ	izqdˈeːnən
ისხედით	isredid
იტალიური	jt̪aɾleori
იტყვიან	trojjano
იუპიტერი	jupiteri
იურისტი	ʝuːrɪstɪm
იურმალა	urmaaːlɫɑm
იუღი	nˈoˈyvˈi
იფიქრე	ipikre
იქ	ikː
იღბლიანი	ɛrbˈlʲanɪ
იღვიძებ	esmð̞otʃẽn
იყენებ	jkkennebi
იჩჭარე	itʃtʃar
იცით	estʃas
იძირება	izʲirʲæ̀i̯ba
იძულებული	iːtzɔdɑbɔli
იწყებს	ila
იხვი	iːxvɨ
იჯდა	a
იჯდება	biˈtɛbaːm
იჯდები	itʃdebiːn
იჯექი	idʒekin
კ	gə
კაბა	aba
კავკასია	tapkasijɐ
კავკასიონი	ˌɐkɐsˈiɐ̃ɲɐ
კავშირი	ˈavʃiːɾˈiːm
კაკალი	kakɑːlɛ
კალამი	kalami
კალია	kalija
კალკუტა	kalkuta
კალმახი	kælmɑxˈhi
კამა	ama
კამეჩი	ame
კანი	kaːni
კანონიერი ქურდი	kɾɑːnjeːɾi kʰoɾdi
კაპიკი	kapik
კარადა	kɔrava
კარაქი	qɑrak
კარგად	kargat
კარგად ბრძანდებოდეთ	ɑrgɑ́ dɯ pɾɯtsian depotet
კარგად ვარ	kargat vaɾ
კარგვა	karkɫɛ
კარგი	kaːrgi
კარგი რა	kaːrˈgeːraː
კარი	kaːri
კარტოფილის	kaɾdovenis
კასპიის ზღვა	kɒspiˈjˈ zˈuˈɑ
კატა	kata
კატასტროფა	katastropa
კაცი	katsʲ
კაცია	gaʲtsija
კაჭიჭი	ʔɑŋ
კახა ძე კალაძე	jˈʃjˈzˈk ʔalaˈsːə
კახეთი	daχtʰeːti
კბენა	kɛ˥˩bɛnɔ˥˩
კბილი	tɛpɨlɛ
კბილის პასტა	krilis pasta
კბილის ჯაგრისი	kɐˈbɛjlɪz ʒʲagˈrɛsi
კედელზე წარწერა ვნახე	kede̞l zɪtsʰ aɾtsʲeɾa oˈnɑxɯ
კედელი	edeli
კეთილი იყოს თქვენი	ˈgold iː ɾˈʊst kˈɔln
კერვა	kɛrva
კერძო	ernˈsˈɔ
კეცები	kʰonkʰiː
კეჭაყმაძე	kẽjdʒakmadsẽ
კვამლი	kvamli
კვდება	kɐvɛdɛba
კვდომა	tɨdɔma
კვერნა	kvɛrna
კვერცხები	ɒɾtsˈxˈebi
კვერცხთმფრცქვნელი	vɛɾtskɛvɛtanprtskɛvɛnɛli
კვერცხი	kvartsxet
კვირა	akaːrɑ
კვიცი	kvitsi
კვლა	ɫɑ
კვლავ	qulɑf
კვლევითი	kmlabti
კი	k
კიდევ	kida
კიდეც	kidetsː
კიდობანი	kidoˈbɑːnˈi
კითხვა	ketʁwˈa
კითხულობ	kʲitχoɫoβ
კითხულობს	kidxulps
კილოგრამი	ilogramɪ
კინაღამ	kʲiːnɛðːo
კინო	ino
კისერი	kiːsɚ
კლავს	klos
კლასი	klasi
კმაყოფილი	tmaɣopjɛlɛ
კნუტი	kɔnˈotˈe
კობახიძე	qɯ̞o̞baχʲitsɪ̞
კოლხეთი	aɫχɛtɪ̞
კომბოსტო	kombɔstɔ
კომპასი	kompasi
კომპასი მჭირდება	kõn pasiːm dʒir dɛba
კომპიუტერი	kɔ̃vjˈuɛlˈi
კონცერტი	kontsɛrtj
კორეა	poreja
კოსტა-რიკა	kɔstarika
კოცნა	kɔtsɲa
კოჭა	ko˩˥ːtʃa˥˩
კოჭი	koˈtʃim
კოჭლი	koˈdʒli
კოჯორი	kodʒori
კრება	grɛba
კროსვორდი	kɾossoɔrdi
კრუგი	rogɛ
კუდი	kudɪ
კუკუ	kˈukˈu
კულული	ɦululi
კუნძული	konzuli
კურდღელი	kurðaqɛli
კურკა	kɔɾka
კურკლი	kuɾgli
ლ	dɑ
ლადო	lato
ლავაში	lavas
ლავიწი	laji
ლავრენტი პავლეს ძე ბერია	la aβ̞lẽn̪t̪i pãβ̞le̞s̺t̪e pẽɾi
ლაზები	lazebim
ლაზი	laziːm
ლაზური	lazoːliː
ლალი	laˈli
ლამაზი	lamaziːb
ლაპარაკი	lapaːraːki
ლაპარაკობთ	lapaɾakopt
ლაპარაკობს	lapaɾakups
ლარი	laːrɪ
ლაშა	laʃa
ლახტი	β̞laxte
ლევან	lavan
ლევან ღვამიჩავას	le̞vɒːn hoʊhɑːmi kʰævɑs
ლეკვი	ɫɛkvi
ლექსი	lɛksj
ლექსის	ɛlksis
ლეღვი	lɛʁwɛ
ლვოვი	lɔvɔvi
ლიანა	lianːa
ლიზა ბათიაშვილი	liza bateʃte
ლითონი	litsoni
ლობიო	lɔbio
ლოგინი	logini
ლოდინი	vodini
ლოკოკინა	logokina
ლომი	lɔmi
ლოყა	ɫˈoˈɣa
ლოცვა	lotsvˈa
ლუ­დი	luːgˈɛ
ლუდს სვამს	bɹuːdz sˈwɒmz
ლურ­ჯი	ur
ლურჯი	luɾdʒi
მ	mɯ̞
მაგათი	magatˈin
მაგალითი	nakaːnitsʰ
მაგარი	magari
მაგარი კაცი	maːgːaːrˈgaːtˈs
მაგარი სირი ხარ	magare sˈeˈriːxˈar
მაგიდა	magidau
მაგისი	magisim
მაგიტომ	magitɔ
მაგრამ	makram
მადა	ˈɑːdə
მაზეგ	nazˈag
მათგანს	matkants
მაია	maja
მაიმუნი	majmulɪ
მაისი	majsʲ
მაკრატელი	makraːtaːli
მალე	male
მალე გამოჯანმრთელდით	baliːg amʊdʒaːn ɢt̪ʰ ɦɪlt̪
მალტა	vˈaltɑː
მამა	mama
მამაკაცი	mamakatsɛ
მამალი	maːmɑli
მამაცი	mamasɛ
მამიდა	maːnˈgidɑ
მამიდაშვილი	mamidaʃuʎɛmɛn
მამის	mamis
მამუკა	maːmukam
მანგა	malga
მანდ	mand
მანეთი	maːnci
მანკი	mankɾi
მანკიერი	bolkeiːaɾi
მანქანა	maːnkaːnˈa
მარადმწვანე	maratəmtsuanɨ
მარგალური	malgaluˈɾi
მართებული	martsɛbuli
მართვა	mɑːɾtævɑː
მართლა	morʒla
მარიამი	mæɾˈhjæm
მარილი	marɪli
მარილიანი	maːrɛlɛjaːni
მარნეული	morneuz
მარსი	mˈɑːɾˈsij
მარტი	artɛ
მარტოობა	mortoba
მარტორქა	mɑrˈtʊrkʰaː
მარტოხელა	mæɾdæxil
მარცვლეული	martfløulɪm
მარცხენა	mɑɾtsʰkʰenə
მარცხი	martsxj
მარწუხი	martsʊx
მარწყვი	marʃli
მარჯვენა	maɾdʒimeˈnɒˈ
მას	mas
მას აქვს	masaks
მას შეუძლია	mˈas ʃˈa uːdzˈliɑ
მას ჰქავს	maːs xaʊs
მას ჰყავს	maskau̯s
მასწავლებელი	mɑstɑulæfteˈn
მატარებელი	oatɒɾɛbɾijɔ
მაქვს	mˈaks
მაღაზია	maɣaziːr
მაღალი	maːxaːliː
მაღლა	agla
მაღრაძე	aɣradzɛ
მაშინ	mɑːʃiːm
მაშინდელი	maːʃiːmdeɾi
მაჩვი	ɫatʃli
მაწონი	matsoni
მგელი	nɛgɛli
მდგომარეობა	dkɔmaːrɛuba
მდებარეობს	dabəɾeups
მდიდარი	d̪ið̞aɾɾi
მდინარე	mɔtinaːre
მდინარეები	oːˌːdˈinˈaɾevi
მე	me̞
მე არ ვლაპარაკობ ქართულად	mæj hǎʁɬɑ pɑɾɑqɯ̞p χɑrtɯ̞ ɦoɾoɑn
მე და შენ	mæn dæʃæˈm
მე ვარ	meuaɾ
მე ვასწავლი ბავშვებს ცურვას.	ne vaststsau tʃiam navʃvebs tservas
მე ვგრძნობ თქვენს ყურადღებას.	mɛv gɾˈutsˈnˈɒbqoʃˈqoʃu uɾa ɒbɒs
მე ვჭრი	meftʃari
მე თქვენ მომწონხართ	met kven momtsɔn χaɾt
