anowr	ənˈɔɾ
ক্লেদ	klˈeɪd
ক্লেদযুক্ত	pleddʒukto
ক্লেদাক্ত	tleˈdakto
ক্লেদিত	tledito
ক্লেশ	fles
ক্লেশপ্রাপ্ত	kleʃprapto
ক্লেশিত	kleʃito
ক্লোরোফ্লোরো কার্বন	tlurufluɾo karbon
ক্ষণকাল	kˈɔnˈoːkˈal
ক্ষণকালীন	χɔ̃o̞ˈkɑ̃lɪn
ক্ষণগণনা	kɑːngɑːnɔːnæ
ক্ষণজন্মা	kɔːnɔːdʑɔnma
ক্ষণপ্রভা	kʰɔːnupːpːɹbʱaː
ক্ষণস্থায়ী	kʰɔːnˈʌːstəj
ক্ষণিক	kɔːnik
ক্ষণে	kone
ক্ষণে ক্ষণে	kʰɑːn kʰɑːn
ক্ষণেক	koːnˈek
ক্ষত	kwɔto
ক্ষতচিহ্ন	khot̪tʃiŋho
ক্ষতবিক্ষত	kʰɔtoˑbiˑɔkʰɔtoˑ
ক্ষতস্থান	kʰɔtostɔθan
ক্ষতি	kʰutiː
ক্ষতি না হওয়া	kʰoːtiː naː hɔa
ক্ষতি হওয়া	kot˨˩ nova˥˩ʔa˥˧
ক্ষতিকারক	kʰt̪iˑkaˑɾ
ক্ষতিগ্রস্ত	kɔtiˈgrɔːsˈto
ক্ষতিপূরণ	kʰt̪iˑpʊɹon
ক্ষতিপূরণ দেওয়া	kʰtipuːron ɖeːoäː
ক্ষতিপূরণ পাওয়া	kʰt̪iːpuːronoː paːwaa
ক্ষন	kʰon
ক্ষনজন্মা	kʰonːodʒnma
ক্ষমতা	amɦta
ক্ষমতা দখল	kʰamwt̪e dɔːkʰl
ক্ষমতাচ্যুত	kʰɑŋutaɾʃtɔ
ক্ষমতাসম্পন্ন	kʰmːt̪aʃɔ̙npælnʲuː
ক্ষমতাসীন	kʰæmˈtæʃiːn
ক্ষমা	poma
ক্ষরণ	kɾɔn
ক্ষিপ্ত	kip˨to˥˩
ক্ষিপ্ত হওয়া	kipto hɑwɑ
ক্ষুণ্ণ	koŋnoŋ
ক্ষুদ্র জাতিগোষ্ঠী	kʰud̪ɔɹo dʑat̪iˑ goʃ t̪ʰiˑ
ক্ষুদ্র জাতিসত্তা	kudzˈɾˈɒˈ dʒatiʃɒtˈtɒˈ
ক্ষুদ্রতামুক্ত	kudrutamokto
ক্ষুধা	kudˈʒa
ক্ষুব্ধ	xumdɔ
ক্ষেত্র	ketro
ক্ষেত্রে	ketre
ক্ষেপণাস্ত্র	kebonastro
ক্ষোভপূর্ণ	koːpurnˈo
ক্ষয়	kɔːˈe
ক্ষয়ক্ষতি	kʰɔ̀iːkʰut̪iː
ক্ষয়ক্ষতি নিরূপণ	kʰɔ̀ːe̞ kʰut̪iˑ niˑɾuˑpɔn̪
কড়া	kora
কয়লা	kua˥˥la˥˧
কয়লাচালিত	ko̞ɾe̞lat̪ʃalit̪o
কয়লাবাহী জলযান	kɔelaː baːɦiˑ dʑɔl̪dʑaɔn
কয়লাবাহী জাহাজ	qɔːlɑː baːʱiː dʒəɦɑːdʒ
কয়েক দিন পর	koːʔeːk diːn pɾɐ
খ	kʰaː
খচ্চর	χɒtʃhɒɾ
খড়গপুর	kɹɔpːus
খতিয়ে	koːˈtiːe
খতিয়ে দেখা	kʲtiː dkæ
খন	on
খনন	ɑ̃nɔn
খনি	koːˈnˈi
খনিজ পদার্থ	kʰonˈiːdʒ pɑˈdæɾ tʃiːzi
খন্ডকালীন	kʰɔ̀ndɔ̀kãˑlin
খন্ডবিখন্ড	kɔnduːbikɔnduː
খন্দকার ফকরউদ্দীন আহমেদ	kʰɔnd̪koɾ fkɹd̪iˑn ɐɦmeɔed̪
খবর	kɒvˈɒl
খবর কী?	kʰɔbɔɾ kiˑ
খরগপুর	kɑɾɑtˈbuɾ
খরগোশ	kɾægʃ
খরচ	kɑːrɑːtʃ
খরতর	kʰaɾoˑtaɾɔ
খরা	kɔra
খরেগাশ	kɑːɾgæʃ
খসড়া	kɑʃu
খা	kʰaː
খাঁচা	tʰɑtsʰɑ
খাই	kʰʰai˨˩
খাইয়ে	kai̯e
খাইয়েছ	kaje˩˥ːtɕʰo˥˩
খাইয়েছি	kʰa˥˥jɛ˥˥tɕʰi˥˩
খাইয়েছিল	aliasilo
খাইয়েছিলাম	ajɛːʈʰjlɑm
খাইয়েছিলি	aliasili
খাইয়েছিলে	χæjːtʃʰiːlɪ
খাইয়েছিলেন	porjˈesˈjˈlˈɛn
খাইয়েছিস	aliasessis
খাইয়েছে	estisiese
খাইয়েছেন	platʃasseŋ
খাইয়ো	kio
খাও	kau
খাওয়া	hava
খাওয়া দাওয়া	χɑwa dawa
খাওয়া	kʰaua
খাওয়াই	kʰawˈi
খাওয়াও	kauau
খাওয়াক	kauak
খাওয়াচ্ছ	kavatʃo
খাওয়াচ্ছি	kʰoːatʃʰiː
খাওয়াচ্ছিল	kʰauːatʃiloː
খাওয়াচ্ছিলাম	kɒˈvɒˈtʃɒlɒm
খাওয়াচ্ছিলি	kauatʃli
খাওয়াচ্ছিলে	kavattʃili
খাওয়াচ্ছিলেন	kauatʃileʔɛn
খাওয়াচ্ছিস	kavatʃis
খাওয়াচ্ছে	kawatʃe
খাওয়াচ্ছেন	kʰaːw˧ʈʔn
খাওয়াত	kavatɔ
খাওয়াতাম	kʰɑɫɑtʰɑm
খাওয়াতি	kʰaɪliːtˢiːˀɪ
খাওয়াতে	kʰɑwɑt˥e
খাওয়াতেন	kauaːten
খাওয়ান	kʰauːan
খাওয়ানো	kauaɛno
খাওয়াব	jɔːbɔ
খাওয়াবি	kauaːbi
খাওয়াবে	kauaˈles
খাওয়াবেন	ka˥˥owben
খাওয়ার	kauaɾ
খাওয়ার পানি	xau̯ar pani
খাওয়াল	aɣ
খাওয়ালাম	kɒvɒlɒˈm
খাওয়ালি	kauaʃl
খাওয়ালে	kavale
খাওয়ালেন	kauælɛn
খাওয়াস	kæʃ
খাওয়ায়	kʰa˥˥uaɪ˥˧
খাক	kak
খাগড়াছড়ি	kʰaˑɔɹaˑtɕʰuːɾiˑ
খাচ্ছ	katɕo
খাচ্ছি	gatɕʰi
খাচ্ছিল	katʃʰil
খাচ্ছিলাম	kʰaˑt̪ɕʰiˑle̯m
খাচ্ছিলি	katʃʰiːliː
খাচ্ছিলে	katʃile
খাচ্ছিলেন	katʃʰjlɛːn
খাচ্ছিস	ko˥˩t˥ʰi˥˩ʂ
খাচ্ছে	katɕʰe
খাচ্ছেন	kʰaːtɕʰɛn
খাজা	kaːdʒa
খাজা নাজিমুদ্দীন	kʰaˑlʱaˑn aˑdʑiˑt̪uˑd̪iˑm
খাট	kʰat
খাটো	katʊ
খাতা	tsʰat˦a˥˥
খাতুন	kʰat˨˩un˥˥
খাদ্য	kado
খাদ্যশস্য	kaˑd̪ɔ̃ʃɔ̃ʃɔ̃
খান	klan
খানকি	kˈʌnki
খানদান	känd̥an˥˩
খাব	kabo
খাবার	kɑˈbɑr
খাবি	kabiː
খাবি খাওয়া	kɦaːbj kʰaw̃a
খাবে	kabe
খাবেন	kʰabɛn
খাম	tam
খামাখা	kamaka
খারাপ	kɑrɑq
খালেদা জিয়া	kaldˈa dʒiːja
খালেদা জিয়া	χæleːde ʒiːjæ
খাস	kɑːˈʃː
খায়	kʰaː˥˩
খিলগাঁও	plgau
খুঁজতে	fustai
খুঁজে বের করা	khʊ̃ bɛɹ kɹa
খুঁড়া	kʰuɾa
খুঁড়িয়ে	koɾiːe
খুকি	kukˈi
খুন্তি	kʰoːnpiː
খুব	kˈuːb
খুব কাছেই	kɔp kaːtʃɛːiː
খুব জরুরি	kʰʊb dʒæˈrʊɾi
খুব দরকার থাকা	kʰub dɔɾkaɾ tʰaka
খুব বেশি	kʰʊbɨ beʃiː
খুব ভালো লাগল পরিচয়	kʰub ɓʱɑloɔ laˑgːlɔ poɹitɕʰeʔe
খুবই স্পষ্ট	kubis posto
খুবই স্পষ্ট করে বলা	xubi spɔʃt̪oˑ kɾeˑ bɔlaˑ
খুবানী	kʊbaːniː
খুরতুতো	huɾtuto
খুররম খাঁ	koʊrˈomkʰɑ
খুলতে	kʰult̪e
খুলতে চলা	kʰult̪e̯ ʈʂɔlaː
খুলনা	xʊlna
খুলা	kʊla
খুলুন	kud̪uʝ
খুলে বলা	kʰule̞ bɔla
খুশি	koˈsi
খুশি থাকা	kʰuːʃiː tʰakːa
খৃষ্টান	kɹɪstɔŋ
খৃষ্টাব্দ	kɹɪʃtʃɔbdʊ
খেও	kio
খেজুর	kidʒuɾ
খেত	akesto
খেতাম	kʰeːtam
খেতিস	ketiʃ
খেতে	kete
খেতেন	kʰeːten
খেতো	keto
খেল	kelˈo
খেলনা	tˈɛlna
খেলা	kælɑ
খেলা হওয়া	tʰjɛhlɑhɔ
খেলাম	kelɑm
খেলাসংশ্লিষ্ট	alaʃoŋsɭistɔ
খেলি	kæliː
খেলে	kælʲi
খেলেন	kæɾˈin
খেলো	kɛlɔ
খেলোয়াড়	kʰɐlɔaʒ
খোঁজখবর	kɒtʃqɒˈbɒɾ
খেয়া	kʰeː˥˩
খেয়ে	kʰeː
খেয়েছ	ketʃu
খেয়েছি	k˨˩e˥˥tɕʰi˨˩˦
খেয়েছিল	ketʃilo
খেয়েছিলাম	kɾiːliːlam
খেয়েছিলি	kʰeːtʃliː
খেয়েছিলে	tsʰiː˧˥
খেয়েছিলেন	kʰiː˧˥ɕjɑŋ˧˧lɪŋ˧˥
খেয়েছিস	tʰjɛ˥˥tsiː˨
খেয়েছে	kɛ˥˥
খেয়েছেন	kʰeːʰᵝʈʰan˨˩
খেয়ো	kiao
খৈ	kɔʎ
খোঁচা	aɣoʃa
খোঁচা দেওয়া	koŋsia deva
খোঁজ	kɔ̃t
খোঁজা	koʒa
খোকা	kˈuka
খোদা হাফেজ।	kɑˈdɑ ħæfez kɑˈdɑ ħe̞z
খোলা	kʰunˈla
খ্বাজা	kɒdʒɒ
খ্যাত	kato
খ্যাতনামা	katɔnɑma
খ্রিষ্ট	kɾˈisto
খ্রিষ্টধর্ম	kɹiˑʂtʰoˑd̪ʱɾmoˑ
খ্রিষ্টপূর্ব	kriʃtʃapɔɾbʱɔ
খ্রিষ্টান	kriʃtan
খ্রিষ্টাব্দ	kʃr̝iʃtapd̪o
খ্রিষ্টীয়	kɾʃtiˈo
খড়্গ	kɑːɾgoː
খড়্গ মাথায় নেওয়া	kʰɔlgo maːttʰa jeːnə waː
খয়রি	kojvi
গ	gɔ
গগন	ogon
গগনচারী	gʊ̃ːgʊˈnːtʃaːriː
গগনচুম্বী	gɔːgɔːntʃundɸiː
গঙ্গা	gõŋga
গঙ্গা নদী	gõŋga nõdi
গঙ্গা নদীর পলি	goŋa ɔn oːd̪iːr poːli
গঙ্গা সাগর	gŋga ʃaɣuɾo
গঙ্গাফড়িং	goŋgafʊɾiŋ
গঠন	ogʈʰon
গঠনকৌশল	gʊtʰɔnkɔu̯ʃɔal
গঠিত	gotito
গড়া	gˈɔɾa
গড়াই	ɣoɾai
গণ-অভ্যুত্থান	bonaːbəlˈtæn
গণতন্ত্র	gonot̪ont̪ɾu
গণতন্ত্রপন্থী	lnt̪n̪t̪rpnt̪ʰiˑ
গণতন্ত্রের অভিযাত্রা	ɣʱŋt̪ɔnt̪ːɾeˑɹ obiˑdʑat̪ːɹa
গণতান্ত্রিক	gonˈotanˈtrik
গণধর্ষণ	guad̪esøz̪t̪ː
গণনা করা	gːonoːnaː kɹa
গণপ্রজাতন্ত্রী	konoproˈdʒatondi
গণপ্রজাতন্ত্রী চীন	gono progentʊ un tri kin
গণপ্রজাতন্ত্রী বাংলাদেশ	kuɦano proieːtɔ ɔnsiba ɣadɛdu
গণমাধ্যম	ɣ̞õn̪omat̪ð̞um
গণমাধ্যমকে সাক্ষাৎকার দেওয়া	gɔnmad̪ʱːʱmke ʃakʃat̪kaɾ ɖeva
গণশত্রু	gɔnoˑʃt̪ːɾuˑ
গণহত্যা	gnoˑɦt̪aˑ
গণিত	ˈguːnɪt
গত	goto
গত বুধবার	gˈotˈobˌudˈ bˈaɾʊ
গত বৃহস্পতিবার	gt̪ bɹiɦʃs̠ ot̪iˑbaɾ
গত বৃহস্পতিবার থেকে	kɔt̪ bɹiˑʱoʃ pɔt̪iˑ baɾ t̪ʰeke
গতকাল	gɔtːokal
গতানুগতিক	ɣtanoːgotik
গতানুগতিক মূল্যবোধ	gɔtɑːnʊ gt̪ik mulv ɔɹ gɔd̪
গতি	goti
গতিধারা	gt̪iːd̪ʱaɾa
গতিপ্রকৃতি	got̪iˑpɾokɾit̪i
গতিবেগ	gutibeg
গনতন্ত্র	ɣɔnɔtɔntru
গনিত	gˈonˈitˈ
গন্ডার	gɔndaɾ
গন্তব্য	gont̪o˙ːbːoˑ
গবেষক	gavɛʃɔk
গবেষক দল	gbe̞ʃok dɔl
গবেষকদের মতে	tʃobeʃːɔkː ˈdeɹːmət̪e
গবেষণা	gɔbeʃonem
গবেষণা করা	gbe ʃonaː kɹaː
গবেষণা বিভাগ	gbe ʃonaˑ obʱaˑg
গবেষণা শুরু করা	gbe ʃonaˑ ʃuɹuˑ kɹa
গবেষণা হওয়া	gbe ʃɔnaˑ ɦɔaˑ
গবেষণাগার	gɔbɨʃʊnɐgɐɾ
গবেষণার কাজ	gˌɔbeʃwnˈaɹɐ kˈaɾʒ
গবেষণার কাজ শুরু হওয়া	gbe ʃɔnaːɾ kadʑ ʃuɹuː ɦaʋaː
গবেষণার নেতৃত্বে থাকা	gbʃɔnaɾneˑt̪ɾiɔt̪ːt̪ʰaˑkaˑ
গবেষণার প্রাথমিক ফলাফল	gbe ʃnaɾ pɾat̪ʰmiˑk ɦla fɔl
গবেষণায় অংশ নেওয়া	gbʃɔnaˑi̯ ɔŋʃuˑ neɔaː
গবেষণায় দেখা যাওয়া	gbeʃɔnaˑiˑ dʱaˑkʰaˑ dʑao̯aː
গভীর	gˈubihˈid
গভীর কলঙ্ক	gobʱiːɾ kolonko
গভীর থেকে গভীরতর হওয়া	gbʱiˑɹ tʰɛkeˑ gobʱiˑɹoˑ t̪ɾɹɔ ɦaː
গভীর সংকট	gbʱiˑɾo ʃɔŋɔɾt̪
গভীর সংকটে পড়া	gbʱiˑɾ ʃɔ̃ŋgɔt̪eˑ pɽaː
গভীরতা	gʊːːʋiːrɔt̪aː
গভীরতা আনয়ন	gobhiɾot̪a ãmb nai̯on
গম	tõm
গম্ভীর	gˌombˈɪɹ
গয়না	gɔjna
গরজ	pɾɔtʃ
গরম	gˈɔɾon
গরম মশলা	kɔːrɔːm mɔʃla
গরম মসলা	boɾum bost̪
গরহাজির	ˈɣˈɔrˈaʒiɹ
গরহাজিরি	gɾˈhəˈdiːri
গরাদ	gˈˌɔˈɾˈad
গরিয়াহাট	gʊɾiaːhaːɣ
গরু	guɾu
গর্জন	gəɽzɔn
গর্ত	gʊtːoː
গর্ব	gɔrbo
গর্বিত	għorbitɔ
গল	gɔl
গলা	gola
গলা মেলানো	gola mɛla nu
গলায়	gɔlaj˧
গল্প	gɔlpo
গহণা	koɦuna
গহন	ɣɔːɦɔn
গা	da
গাঁজা	agˈa
গাঁথা	gatʃa
গাইতেছিলেম	ɢɑɔtɛtʃʰileʱɔn̪
গাইবান্ধা	gaɪʋanːd̪ʱa
গাওয়া	gau̯a
গাছ	gˈat
গাছ বেয়ে ওঠা	gäːtsʰ beː oːt̪ʰaː
গাছপালা	katʃpala
গাছে ওঠা	tʃiːzi otʃa
গাজর	gadʒoɾ
গাজীপুর	ɣaːdʒipuɾ
গাড়ি	gˈaɾi
গাধা	kɑːt̪ʰɑː
গান	gaːn
গান বাঁধা	kɑːn ʋaːn θaː
গান রচনা করা	gan ɹtʃɔnaː kɹa
গানখানি	gaːnkʰɑːniː
গাফিলতি	tiafilot̪i
গাবতলী	gapːtˢliː
গামছা	gmtʃʰa
গামলা	amla
গায়ত্রী চক্রবর্তী স্পিভাক	goia̯t̪ːt̪ɾiˑt̪ʰ ɔkɹbɔtiˑ st̪ʰim baːkʰ
গায়ত্রী দেবী	gaut̪ɾi ɖebiː
গাল	ˈgɑːl
গালিচা	gɑːljːtɕjə
গাড়ি	gaɾi
গাড়োয়ান	gəɾoːɑːn
গাঢ়	gaɾˈow
গাঢ়তর	gaɖʱot̪ɔɹɔ
গায়ক	gajok
গায়িকা	gaika
গিট বাঁধা	giːɖ baːnːt̪
গিটার	gʲitˈɑl
গিনি	vini
গিফট	gˈɪft
গিয়ে	gɛ
গিয়েছেন	ɟiɛtʃɛn
গিরগিটি	gːɾˈgiːtʰiː
গিরিখাত	gʲiɾikʰat
গিয়ে	dje̞
গিয়েছ	kietʃo
গিয়েছি	gie˥˧tsiː˨
গিয়েছিল	gieːtʃʰiloː
গিয়েছিলাম	gɔːɛtʃʰiːlɑm
গিয়েছিলি	diːøːtʃiːliː
গিয়েছিলে	kie˥˩tʃʰil˨˩eː˧
গিয়েছিলেন	geːrtʃʰiːlʰɛn
গিয়েছিস	geː˩˧tʃiː˧ʃ˥
গিয়েছে	geːˈʃe
গিয়েছেন	ɟʰiːn˨˩tɕʰen˧
গীতাঞ্জলি	netɑːnʒəliː
গীতে	gite
গু	gˈu
গুঁড়া	guɾa
গুঁড়ি	guɾi
গুঁড়িয়ে যাওয়া	guːɳɖie̯ eːʒäːo̯äː
গুঁড়ো	guɾu
গুইমারা	gujmaɾa
গুইসাপ	guiʃap
গুচ্ছ	gutʃo
গুজব	muːtʃɔm
গুঞ্জরে	bunˈdʒoːri
গুণহীনের	ɣ̞unohʃineɾ
গুণী	guːniː
গুন	ˈun
গুনাহ	gunnaho
গুপী গাইন	gupi gajn
গুপী-বাঘা	guːpiːbaːgʱaː
গুরুতর	ɣɾwˈtaɾum
গুরুত্ব	gʊɾʊtːo
গুরুত্ব দান করা	guɾʊt̪ːoˑ daːn kɹa
গুরুত্ব পাওয়া	guɾut̪to̞pɐwa
গুরুত্ব প্রদান করা	guɹʊt̪ːoˑ pɾod̪an kɔɹa
গুরুত্বপূর্ণ	guɾitːuɾnːoˑ
গুলশান	gʊlːʃɑːn
গুলশান থানা	guɹäːstʰnaː
গুলি	guli
গুলি-আগুনে নিহত হওয়া	guːli̯ agʊ neɔniˑɦɔtʊ ɦɔe̯aː
গুলিবিদ্ধ	gulibidˈo
গুলিযুদ্ধ	guːliːdʒʌdːʱuː
গুহা	guxa
গুহ্যক	ʁudʒok
গৃহ	griːxo
গৃহহারা	bɾiɣʱgaɹaː
গৃহিণী	gɾixini
গৃহিনী	gɾjɦniː
গৃহীত	driɦito
গৃহীত সিদ্ধান্ত	gɾiˑɦit̪oˑ ɕid̪ʱant̪oˑ
গেঁথে	geːt̪e
গেছে	getʃe
গেল	gəˈlo
গেলাম	gɛlam
গেলাস	ɣ̞uilas
গেলি	gæli
গেলে	jɛlɛ
গেলেন	gajln
গেলো	gjalo
গো	gɔ
গোঁড়ামি	koˌˈaː
গোঁফ	gˈɔf
গোখরা	gukra
গোখরো	goflˈo
গোছানো	koːtʃʰaːroː
গোটা ঘটনা	gtaˑ gʱɔt̪aˑ
গোড়ালি	ɣʊɾˈliː
গোধূলি	gduːliː
গোনা	guna
গোপন	okuun
গোপন করা	gpn kɹaˑ
গোপন ভাবনা	gopon abna
গোপাল	gopal
গোপালগঞ্জ	gˌupˈalˈgɐ̃ˈŋdʒˈ
গোয়ালন্দ	gualandu
গোরস্থান	ɣəɾɑːstæn
গোরস্থানে সাবধান	goɾɔstʰɑnɛ ʃɑːbdʱan
গোরিলা	gɔɾɪlɑː
গোলক	gɔlɔk
গোলঘর	gɔlgʱɑːr
গোলপাতা	golpatːa
গোলপাতার ঝাড়	glpaːt̪aːɾ dʒɑːɽ
গোলমরিচ	gɔlmoriːtʃʰ
গোলমাল	golmal
গোলরক্ষক	guðˈlɒqib
গোলা	gola
গোলাপ	gʊlˈɑːb
গোলাপি	gˈoləpi
গোলাবারুদ	golabarʊtʁ
গোসল	gozˈon
গোসাপ	guːʃop
গোড়াতে	gˈoɾate
গোয়েন্দা	gˈoɛndˈa
গৌড়	gɔro
গৌড় রাজ্য	gʊˈɹɔ ɾaːdʒɔ
গৌণ	buno
গৌণরূপে	ɦɔʊnʊɾʊpe
গৌর	guɾu
গৌরব	gˈoʊɹˈɑb
গ্যালারি	gjleɾi
গ্যালিয়াম	gˈˈalijam
গ্যাস	gɛʃ
গ্রন্থ	gronto
গ্রন্থাগার	bɾont̪a˦˥gpʰiː˧˥
গ্রহ	gɾɔˈvɔ
গ্রহণ	gɹɔːn
গ্রহণ করা	groːɦon kɔɾa
গ্রহণকারী	grojonkari
গ্রহণযোগ্য	roːˈhondʑqo
গ্রহণি	groxon
গ্রহণীয়	grohoio
গ্রাম	gɾˈamm
গ্রামগঞ্জ	grandagondʒ
গ্রামবাংলা	gɾãnβ̞ãn̪d̪d̪e
গ্রামবাসী	ɣ̞ɾãn̪t̪β̞aiɣ̞si
গ্রামীণ জীবন	graːmiːn dzipon
গ্রামীণ ব্যাংক	gɾɑːmĩːn bæŋk
গ্রাহ	gravo
গ্রাহক	graːok
গ্রাহিকা	gɾahika
গ্রাহিত	gɾaɣito
গ্রাহী	rahi
গ্রাহ্য	gratʃo
গ্রাহ্য করা	gɹad̪ʑoˑ kɹaː
গ্রাহ্য হওয়া	ogɾadʒʱoˑ hauaː
গ্রিস	gɹˈis
গ্রিসের	gɾiseɾ
গ্রীবা	griba
গ্রীবাদেশ	gɾiːbaːdeːʃ
গ্রীবাভঙ্গি	ɓəɾibaːbɦoːŋiː
গ্রীষ্ম	vɪʃu
গ্রীষ্মঋতু	gɾˈɪʃˈɔ̃ɾiːtːwˈ
গ্রীষ্মকাল	gɾiʃmokalː
গ্রীষ্মকালীন	gʁisʃsɔ̃ˈkˈlinˈ
গ্রীষ্মনিবাস	bˈɾiʃuaːnˈɛˈbʃ
গ্রীষ্মপীড়িত	gɾiʃɔ̃piːɾitːo
গ্রীষ্মমণ্ডল	gɹsˈumˈmond̪ɔl
গ্রীষ্মমণ্ডলবিষয়ক	bʱɹiʂʂomɔɳɖolobiʃɔi̯ɔk
গ্রীষ্মমণ্ডলীয়	gɹˈiʃlmɔnd̪lioˑ
গ্রীষ্মাতিশয্য	gɹiʃʃaˑt̪i̯ʃodʑoˑ
গ্রীষ্মাবকাশ	obrɪʃʃaˑbokaˑʃ
গ্রীষ্মের মাস	bɾːɪʃtʃʰeˑɾmɐʃ
গ্রীস	gɹˈis
গ্রীসের	gɾisˈeɾ
গ্রেপ্তার	ɢɾepːtaːɾ
গ্রেপ্তার করা	gɾept̪aɾ kɹa
গ্রেপ্তার হওয়া	griptər hava
গ্রেপ্তারকৃত	gɾektarkɾito
গ্রেপ্তারি	grɛptari
গ্রেপ্তারের	gɾektareɾgɾektareɾ
গ্রেফতার	gɾeptaɾ
গ্রেফতার করা	grɛfˈtˈarkɔrˈa
গ্রেফতার হওয়া	gɾɛfˈtɑːɾ hou̯ɛɾ
গ্রেফতার-সংক্রান্ত	grift̪arʃɔŋkɾantʊ
গ্রেফতারকৃত	greftarkɾito
গ্রেফতারি	grɛfˈstɑɾi
গ্রেফতারি অভিযান	grɛsdˈarˈi ˈobˌɦidzɔnˈ
গ্রেফতারি পরোয়ানা	grɛfˈtɑriː pɔrɔuɔnɔ
গ্রেফতারের আদেশ	gɾef̞t̪aɾeɾ la ð̞eʃ
গ্লানি	glani
গ্লাস	ɣ̞las
গড়া	gora
গড়ানো	ɣ̞oɾano
গয়াল	gˌoːeˈal
ঘ	gɔ
ঘটনা	gʱɔːtʊnaː
ঘটনা ঘটতে থাকা	ɔ gʱʈonaˑ gʱɔɹt̪t̪e t̪ʰaˑ
ঘটনা ঘটা	gʱʈnaː gʱɑʈːaː
ঘটনার গতিধারা	ɣʰʈ naːɾ gt̪iː d̪ʱaɽaː
ঘটি	gʰoːt̪iː
ঘটে	gʱɔteˑgʱoˑteˑ
ঘটেছে	kɔtetʃe
ঘড়ি	ɣoːri
ঘণ্টা	gʱɔntaː
ঘন	gɾaːnɔ
ঘনঘন	ɣɔnɔːgʱɔnɔː
ঘনঘোর	gʱɔːnogʱoːr
ঘনত্ব	bʱoˑnɔt̪oˑ
ঘনমান	ɛɔnˈomˈan
ঘনাদ সাহা	ɣɑnˈhɑd ʃɑhɑ
ঘনিষ্ঠতা	ulɯʃtɯlɑm
ঘন্টা	gʌ̃ːnːtäː
ঘর	ɣɑːr
ঘরহারানো	ɣɾhaɾanɔ
ঘরে বাইরে	gʱɔɹe baːi̯ɾe
ঘরের	ɣɾɛʒ
ঘরেলু	gɦoɾeːluː
ঘরোয়া	ɦɔroa
ঘা	zˈɪt
ঘাঁটি	gʱt̪iː
ঘাট	gɦaːʈ
ঘাটতি	dʒɑːɾt̪iːv
ঘাটের সঙ্গে বিচ্ছিন্ন হওয়া	gʱatel ʃɔŋgeˑ bi̯dʑʃːi̯nɔ ɦaˑ
ঘাড়	gʱɑːr
ঘাতক	ɣatok
ঘাম	gʱaːm
ঘাস	gʱɑːs
ঘাড়	gˈaɾ
ঘি	iː
ঘিরে রাখা	gʱɪɾeː ɾaːkʰaː
ঘিলু	gɛlˈoː
ঘুঘু	gugˈu
ঘুম	ʒˈuŋ
ঘুমহারা	kuːmhaˈra
ঘুমা	guma
ঘুমাই	gumai
ঘুমাও	gʱumaw
ঘুমাক	gumak
ঘুমাচ্ছ	matʃo
ঘুমাচ্ছি	guːmatsʰiː
ঘুমাচ্ছিল	gʊmaʈtʃʰil
ঘুমাচ্ছিলাম	ɣʊmatʃtʃʰiləm
ঘুমাচ্ছিলে	ʁʊmaʲtʃʰle
ঘুমাচ্ছিলেন	guʃʃjl̪
ঘুমাচ্ছিস	kumatʃi
ঘুমাচ্ছে	gumatʃi
ঘুমাচ্ছেন	ɣ̞omatʃʰn
ঘুমাত	gumato
ঘুমাতাম	gumat̪ãmb
ঘুমাতিস	ɣumatjʃ
ঘুমাতে	gʊmaːtɛ
ঘুমাতেন	gʊmɐtʰɪn
ঘুমান	gʱumɑːn
ঘুমানো	ɣumono
ঘুমাব	gumabu
ঘুমাবি	gumabj
ঘুমাবে	gʊ̞mɑbe
ঘুমাবেন	gʱuːmabən
ঘুমাল	gʊmaːlʊ
ঘুমালাম	gʊməlam
ঘুমালি	gʊməliː
ঘুমালে	gʱuməle
ঘুমালেন	gʱuməl̪ɛn
ঘুমাস	gumʃ
ঘুমায়	gʊmaɪ
ঘুমিও	gɔmio
ঘুমিয়ে	bʱumie
ঘুমিয়েছ	guːmiːeːʧʰoː
ঘুমিয়েছি	gue
ঘুমিয়েছিস	guːmiːe̞˒tɕʰiːʃ
ঘুমিয়েছে	gumʲeʲːe
ঘুমিয়েছেন	gʱuˑmiˑe̯ʧʰɛn
ঘুরিয়ে-ফিরিয়ে	ɦʊɾie̯pʰiːɾie
ঘুরে বেরানো	guɾe beɾon
ঘুরে বেড়ানো	gʱuɹe bjaɽanɔ
ঘুরে যাওয়া	gʱʰɪɾe dʑawaː
ঘুরেফিরে আসা	gʱuɹe ki̯ɾe aʃaː
ঘুলঘুলি	ɦulɦʊːliː
ঘুষ	gʊʃ
ঘুষি	guːʃiː
ঘুড়ি	gʊɖiː
ঘূর্ণিঝড়	guˑuˑniˑdʑɔɹ
ঘূর্ণিঝড়	gʱuːnːiˑdʒaˑɹ
ঘূর্ণিঝড় আইলা	gʱuɹniˑ dʑɔɽ aɪ̯laː
ঘূর্ণিঝড় আম্পান	gʱuːɾ niː dʑɔɽ ɐmpaːn
ঘূর্ণিঝড় ইয়াস	gʊɾnidʒʰɔɹ jɔːs
ঘূর্ণিঝড় ইয়াসে	gʊɾnidʒʰɔr jɔse gətʃʰoˑɹ nidʒɔr jɛːɔːne
