's jûns	nions
omheech	ɔnhˈeːɣ
omke	omkɛ
omleech	ˈɔmlɪx
omtrint	ũntɾˈɛnts
ophelle	ʔɔ̄ːpʰlaː
opljeppenens	oplɛpɛnins
oplosse	ɔplˈɔʃə
oprjochte	ɒbɒjɒqtɒ
opwaarmje	pɔpvarɨjɛ
oranje	aˈdˈeɪæ
ornaris	ɔɾnaɾəs
ornearret	oɲeret
paad	pɑːt
paden	ɑɾdɑm
pake	paka
pake en beppe	fˈak ˈɛm bˈɛva
panne	pɔna
papier	papir
par	paɾ
pear	fˈeːɾ
pears	ljɛʃ
persoanlik	kəɾsʊɫnˈæk
pikefel	tɪkɛ˥˩fɛ˥˥
piloat	plow˦wˈʌt
pine	bine
pipe	tˈɛspˈɛlipa
pipet	pliːbatsɛ
plak	plak
plakboek	lˈɑtbuːk
plaknamme	plaknamɛ
plechtich	plestis
poalen	tˢoˀɾa
poat	pˈoːat
poaten	pɔɐtɨm
poddestoel	poð̞est̪u
pols	pɔls
pompeblêden	pompeβlɛjrdɛn
pompke	pumka
popel	popul
poppe	pɔpɛ
praatsto	raːtstɔv
praatsto ek ingelsk?	trasto eginas
praatsto frysk?	krastoːzˈɾˈisk
prachtich	prˈaːxqix
priis	bɹˈis
priuwe	pɾɪɛwɛ
prizen	ɾɪːsen
protest	nˈotˈɛsk
provinsje	kɾɔɫfˈinʃə
prúm	tɾum
pyk	bik
pylk	tɨlk
pún	yn
raam	ɾɑːm
raar	rˈaːr
read	rˈeɪt
reade koal	re̞jɨɾakou
ree	dˈeːm
rein	nʲ
reinbôge	berajnbalde
rekkening	zɛkɛnɪŋ
riden	ʁiːn
rjochtbank	rʲiːdˈtifˈɑːnk
rjochte	ɾiːzɑxte
rjochttroch	ɾɛjˈɑxtdrˈɑx
roazen	roːæzˈɛn
rom	ɑːɾɑm
ropt	ɦrɔft
ryk	ɾiːk
rykdom	rˈikdɔm
ryksmonumint	rˈiksmˌoːnymˈɛnt
rêch	bɾˈaɪf
rêden	radu
rêstich	rˈɛstɪx
rôs	roʃ
rôt	pravat
rút	dˈyt
rûlaasje	ruːlaːʃe
rûn	ron
rûn gesicht	bˈoːn dˈə zˈɪxt
sa'n	sãom
saak	sak
sabeare	sɐbeːɾa
sacharose	sˈaxarˈɑusa
safier	safiːr
safolle	saːfola
sakrekt	sakrɛkt
saksen	sakʃən
samar	sama
santich	sɒntˈɒˈ
santjin	sɑːntʃən
searje	ʃˈirnˈɛ
sechtich	sɛxtɐx
sechtjin	sɛʁtjˈɛn
see	fɪ
seewier	seɣ̞ðiɾ
seis	sˈaɪz
seishûndert	sˈaɪzhˈʊndɚt
seistûzen	saɪstəuɣən
seit	sˈaɪt
sels	sels
sette	sˈɛta
seure	sɪoːjɛra
side	siða
siden	sʲign
siedzje	siʃˈa
siel	sio
siik	sˈiːɾk
sikehûsopname	sikɛhoːʃɒbnaːmɒ
siket	ʃikˈɛd
sil	siu
silen	tʃiːlən
simmer	semɛr
simmerfakânsje	sˈemɪtfɛkˈaɪvˈɑnʃˈɛ
sin	sen
sines	siŋes
sinne	fynø
sinneskyn	sɪnɪ̞skˈin
sipel	sipo
sis dat wer, as jo wolle	siːs tˈat ʋˈɛr wˈɑs jˈɔn wˈɔla
sitte	seta
sitten	sepˈin
situaasje	tʃiːtjˈuʃtʃe
sizze	sˈeʒa
sjen	sʃtʃɛn
sjerp	ʃɛrt
sjiraffe	ʒʈʰiːf
sjochst	fˈɛst
sjocht	ʃˈɑt
sjoen	ʃawn
sjonge	ʃɒhɒ
sjoukje	ʃɛʊkʲi
skaad	sgˈat
skake	taka
skammest	ʃakamast
skamte	skamtsɛ
skea	zkejˈa
skealike	skiːɛleke
skema	sˈeɪmɛ
skerp	skəp
skiep	sˈkiɹ
skimerich	skimelɛχ
skine	tʃkina
skippen	zɣɛtn
skipper	skɛper
skjin	ʃikˈin
skjinmeitsje	skˈiɛnmˈɛɪtjə
skjinne	eskjɛɾa
skjinner	skjɛnər
skoalle	ʃkvalɐ
skoallebern	skwalbæ̀ːn
skodhollet	skuɔthɔlat
skoech	ʃkʊx
skonken	skuŋɣan
skoot	ʃkˈovat
skotlân	skotɫo
skouren	sˈkˈorˈn
skowe	skoːɛ
skrift	skrˈift
skriuw	skɾjʊ
skriuw it del, asjebleaft	skrˈulɪd ˈɛl ʌʃə brˈeːft
skriuwe	ʃkrɪwɑ
skuon	tʃɔm
skuonfiter	skwɔːfʲitɛr
skyld	skjut
skynt	skint
skûlje	fskuliɛ
skûtsjesilen	skutsʲesʲiɫɐ
slaad	slˈaːt
slacht	slˈɑx
slachter	slˈɑxtɛr
slide	slˈida
sliep lekker	slˈeːɛ plˈɛkɚ
sliepe	sljɛba
sliepen	zlˈiːɾbən
sliepsek	sliːpzɛk
sliepsekken	sliabzægˈn
sljocht	sjˈɛxt
smoarch	smarˈɯx
smoarge	zmˈoːrˈɣɛ
smook	smˈoʊk
smûk	ʃmoo
snein	snˈaɪn
sneon	h
snie	snjɛ
snits	snɪtʃ
snoade	tsɯnɑwɑnɛ
snút	ʃnɪt
soan	sa˥˩wɑŋ
soart	tʃoˈvɑ
soartgelyk	sɔɹtgɾˈeg
soe	tsoː
soere	ʃuɣoɾa
soerstof	sustov
soure	ʃura
spin	spɪn
spitigernôch	spiːthˈɪvnˈənˈɑx
spjelde	spjævbæ
spoar	spɔːɹ
sprek trager, asjebleaft	sprˈɛk drˈaːɣən ˈɑs jˈə ʋˈɪlt
sprekke jo it frysk?	sprˈɛkə jˈɔx hˈət frˈɪsk
sprutsen	pɾɛtsɛ
spul	spˈɛl
spultsje	spˈɛltjˈa
spylder	spjˈulgɚ
spylje	spiɫjɐ
stadich	ztaljx
stadichoan	stˈaːdərˈuːn
stapt	stapt
stean	stˈɛn
stekt	ztɛkt
stelle	stɛla
stelt	stˈɛlt
stiel	stˈiɔn
stien	stˈiːn
stiennen	fˈiːɾˌiː
stientsjes	sˈtɕɛnʃes
stiet	stˈid
stiif	stˈif
stikeltsjes	stikːlesos
stimmen	ztɪlˈeːm
stiselmoal	estisɔmɔɾ
stjer	stʲeɾ
stjoer	stjˈuɚ
stjoerder	stjuːoːdˈɛr
stoarm	stvarɔm
stoel	tsto
stoepe	stupə
stoere	storã
stopje	ʃtˈopjə
stoppet	ztˈɑpˈɛt
strange	stranɛ
streamke	strɪjɛmkɛ
strie	tɹiː
strjitten	s̻t̪ʃaɾe̞pĩŋ
studint	stˈudənt
stypje	ʃtipjɛ
stêden	steɾˈm
stêf	stæf
sudersee	syðəsej
sulver	sɫvɚ
sus	ʃɪʃ
suster	sɛʃtʃɛ
swaaie	svˈaɪə
swakke	zʋˈɑkə
swart	srats
swarte	svartɛ
swier	ʃvjɛr
swiere	sfˈeːrə
swietstof	zvˈiːrdstɔf
swit	sʋɛt
switte	ʃtɛ
swurd	sven
swurd van grutte pier	slˈɵt vˈɑn grˈɛtə pˈɪɾ
sy	sai
sykje	sɛjkɪ
sykte	sɪktɛ
sylboat	siːlbɑwɑt
sâlt	ʃɒːt
sân	sauːn
sânenfjirtich	zˈɔnənfˈiːɾtɪç
sânhûndert	saːnhundəɾt
sântûzen	saˈɑntuːzɑm
sêfte	seˈɛˈʔoftɛ
sûker	sˈukɜ
sûnder	sjˈunar
sûnenssintrum	s̺oːnẽns̺kẽn̪t̪ɾẽn̪
tachtich	tˈɐxtəx
tafel	t˨˩af˨
tagelyk	taglik
tank	dˈaŋk
tankewol	dankɨvˈor
tapyt	tapjt
tastimming	tˈastˈɪmɪŋ
teannen	tʃɛn
tefreden	təfrəiːgn
tegearre	tˈɪgˈɛɹə
tei	ai
tekst	tˈɛkst
telefyzje	teːlˈeːfˈis˦ie
temjitte	təmjɛtæ
temûk	tˈɪmˈuːk
teplak	tˌeplˈak
tergiet	tʊ̞rkʲiɪ̞t
ticht	ləɣ̞st
tige	tˈiːxə
tige goed!	tʃiːx gɦɛguːaːt
tige tank.	tˈɪ nɣədˈɑŋk
tiger	tivɛr
tiis	kɲiʃ
tiisdei	tʃiːzi
tinkt	tˈɪŋkt
tinne	tʃaːna
tinte	tɕjˈæntsɚ
tjûverich	tʃuːvɐrˈix
toan	tɔːmɔːn
toar	tˈuːɾ
toarnbei	twantbi
toars	toʃ
toechslobber	tuːxsɫobak
tolve	tˈɔlfˈa
tonger	tsʊmɯr
tongerje	tˈuɹjɐ
tongersdei	d̪oːmeʃd̥ə
tosk	kɔʃk
toskedokter	tʊʃkənɔgˈtar
tosken	tˈoʃkən
toskfleis	tˈʌskflˈaɪz
tou	tˈaːʊ
tram	trˈam
trep	tɛrɛp
tretjin	tretʃɛn
triennen	tʊɾjɛnlp
trije	traja
trijeentritich	trˈaːjˈɛntrˈitəx
trijehûndert	tɾˈaɪvəˈhʌndərd
trijentweintich	bˈaːrəɪnˈtwˈɛntˈɑx
trijetûzen	trˈaɪdˈɵzən
tritich	tsʲitˈax
triuwe	trɔwa
troch	trɔx
trou	trau
tsien	tsiːn
tsiende	sie̞ɞnɔh
tsiis	sˈis
tsjerke	sjˈɛrkə
tsjil	tɕʰiŋ˥˧
tsjin	tʃɪn
tsjinje	tʃɪn˥˩
tsjoend	tʃʏnd
tsjoender	tsʲiwɨndɛr
tsjok	skjɒk
tsjuster	ʃʏ̞stʏ̞r
tuskenyn	təʃˈkˈanen
twa	tɕʰiːpaː
twadde	tsɔbabɛ
twaentritich	tvˈaːrˈɛntrˌeːtəx
twaentweintich	tʋaːntʋɛɪdəx
twahûndert	sʋˈaːɾhˈɵndərt
twatûzen	tˈvˈaːtˈyːzən
tweinitch	tˈrˈaʏnˈtˈɛx
twirrewyn	tˌɪvɪrˈin
tún	tyn
tút	tˈʌt
tútsje	tʊtsʲi
tûk	sˈuk
tûke	tuko
tûzen	tˢiˀˀsæˀːn˩
tûzenien	tʊ̞znĩːn
underguod	undərgˈlɑs
unfoldwaande	unfʊldwaːndɑ
uranium	ʊɾaːnʲiːm
us heit	pau̯
utjower	nʊkâːl
utjowerij	tʃaːw˧rajeː
wa	mwaː
wa?	vaː
waarm	mˈaɾm
waarman	varmon
waarmte	vˈaɾəntɪ
waarmtepomp	wɑrmtpɔm
wachtsje	maqtʃi
wachtsjen	baxtʃem
wandeljen	nˈoːnoːjˈu
wannear	manˈeːr
wannear?	vaniːr
wat	wɒt
wat in aardicheid!	ʋˈɑt dˈə nˈaːdəx hˈit
wat?	wɒt
wattje	dvatʃe
weagen	ˈweːrən
wei	vˈaɪ
welkom	vˈɛlkəm
wenjen	bɛndʒen
wennet	benetsˌ
wenning	beni
wenningen	daniŋɪm
wer	vˈeɾ
wer is myn horloazje	beːr es mˈina lˈoːʃɛ
west	bɛst
wetter	ˈβɜːɹ
wetterbak	ɟətəɾba
wettergebrûk	beːtərˈgəbrˈuk
wettersmoargens	wˈɛtərzmˈɑrəndʒ
wetterstof	bətərstɔf
wibelt	libot
wichtich	ʋˈɪxtəx
widze	vˈeːɾ
wie dy ketting djoer	β̞ʝ d̪e kət̪ɪŋ dʒuːɪ
wiet	es
wiete	vita
wiif	ðiːf
wike	vikˈæ
wike 6	biːk eis
wikel	nikːoː
wikker	bɪkˈɛɾ
wilbert jan heeringa	ʋɪl bɪt jˈɑːn hˈɪrɪŋˌɑ
willem barents	β̞jllẽ β̞aɾð̞ẽn̪s
winske	bɛnska
wit	vit
wite	lɪkːa
wittenskip	wɛtɨnski
wizer	vizɛr
wjerljocht	bərlɪˈɑxt
wjirgje	vjɛrjɛ
wjirm	vjɾum
wjuk	vˈɛk
woansdei	vˈaɾʒlˈ
woe	vˈoː
wol	wɔ̃
wolfraam	vofram
wolkom	bˈeθən
wolris	moːres
wolst	wɔːst
wolsto wat bôle?	β̞o̞s t̪al pãn bala
wolsto wat wetter?	molˈstˈov ʍˈɑt lˈɛtɚ
wrame	ɾama
wriuwt	brˈiʊt
wroechwjirm	drˈuxvˈɛːrəm
wrâld	frat
wurch	ðˈɾˈæx
wurde	vɔɾˈðæ
wurden	gəɾdʒen
wurdskat	bətsʃkot
wurdt	løt
wurk	fins
wurket	vɯ̞rkʊ̞ts
wurkje	vɛrkjɛ
wyk	vˈik
wylst	bjˈuʃt
wyn	u
wâl	bɔːl
wâld	vˈɑt
wêr	weɾ
wêr is de bibleteek?	vˈɛɹ ˈɪz ðə bˈigleɪ teɪk
wêr is it húske?	e iːt ˈɛst ðyska
wêr komme jo wei?	beːrkoma jaː uvaɪ
wêr komsto wei?	vɛrkom tʃtɔl vaj
wêr wei?	veˈr ʋˈaɪ
wêr wennesto?	ʋərʋ ɛn ɛn stɔɫ
wêr?	ðeəɾ
wêrhinne?	ðeːrhˈɪn
wêrom	veron
wêrom?	varon
wêze	vˈɛːse
wêzen	mɛʒa
wûn	um
yn	m
yn 't wolnimmen	kɪnt bɔl nemmɛn
yn it begjin	lˈiːnə tˈibɛrˈɛn
yn it wetter en yn de fryske flagge fine jo pompeblêden	ɪn hˈət ʋˈɛtər ˈɛn ɪn dˈə frˈɪskə vlˈɑɣən vˈɪnən jˈə ˈɔp pˈɔmpɛn blˈɛɪən
ynboelferdieling	imbrulfandjlin
yslike	ˈislˈɪkˈɑ
yt	eɣ̞sdʒeɾeɾsʃt˦eɾ
yêta	vʲata
âld	ɑwɑt
ôfbrânde,	abratɛ
ôfhinklik	afhˈɪntlˈʌk
ôfkomstich	akomsˈtˈiːx
ôfrûne	ɑɾuːnɯ̞
ôfwaskje	aːlɑʃke
öfgrün	ogruŋ
ús	dˈus
út	yt
úteinsette	ˈʌtaɪnzˈɛtən
útstjoerd	ɪtsstʃtʊɐd
ûle	uβ̞
ûnder	unðɑɾ
ûnmooglik	oːnmˈoːʊɦlˈak
ûnrêstich	ʊrɛstɪɣ
ûnsjoch	nʲtso
ûntbrekken	sɔːˈa
ûntdekke	untdɛka
فارسي	nˈɪçtmi
