114	θentodetsekvaro
cisjordania	tsisʃoɾdaːnˈia
cisorios	sisˈoɾjos
citatanitate	siːtˢadaniːtʰaːt
citatano	tsiːtːaːtaːlnˀoː
citate	tsitʃate
civilisar	sʲibilʲisdʒi
clac	klak
claque	klak
clar	klar
clarar	tlaːɾaːr
claritate	klaritate
clarividentia	laɾevið̞ẽn̪tsia
clarmente	klarmente
claro	klaro
classe	klas
clauder	flau̯dɛr
claudia	klawdja
claudio	naudio
clause	klausɛ
clausura	klausˈuɾa
clave	klare
clavo	klav
clemente	klemente
clementia	klemˈɛnˈtsia
clic	klik
clic-clac	tlikklak
clicca	klˈɪka
cliccar	kljkaa
climate	klimˈate
clinica	klinika
clique	klik
cloaca	klooakˈa
clon	knˈoːɾ
coalescentia	koalestsentsia
cobalt	ko˩˥ːbald˥
coca	kɔka
cocaina	kɔkaiˈna
cocer	kotsˈeɾ
cochi	ko˩˥ːsi˩˦
cochietto	ko˥˩ːʃi˩˥ːtto˥˩ː
cocina	kotsino
cocinar	koksjnaɾ
coclear	pokleaɾ
coclearata	koklearaːta
coco	koː˨koː˧
codificar	koɾdifitaɾ
codification	koð̞ifjkat̪θion
coexistentia	koɛksistɛntsja
coffro	kɔffro
cognoscentia	kɔgnastsɛntsja
cognoscer	kɔgnɔstsɛr
cognoscimento	kognostsimento
cognoscite	kɔgnɔstsɛjta
coherentia	kɔɦɛrɛnsia
coincidentia	kointsidɛnkia
coliones	kɔeolones
colla	kɔllɛ
collaber	kˌolˈaˈdˈɾ
collaborar	koʝaβ̞oɾaɾ
collaboration	kˌɔlˌɑːbˌɛɾatsjˈon
collapso	koːlapsˈo
collar	kɔlar
collection	kɔlktsiˈon
collector	kollektˈoɾ
collega	koʎeʝa
collegio	kondɛaʒiɔ
collider	kˈɔʊldiːdˈɛɹ
collige	koˈliʒi
colliger	kɔlligˈeɾ
collina	koːlina
collision	kˌɔlˌɛssiˈoːn
collo	kolno
colloquial	kolokoian
collose	kolˈlˈɔse
color	koloɾ
coloration	kɔlɔɾakion
colpar	kolpaɾ
colpo	kolpo
columba	kolumba
columbia	koˈlʊmbɪɛ
combatter	kɔmbatɛɾ
combatto	kombatːo
combinar	kombinaɾ
combination	kombinatsion
combustibile	kombustibile
comedia	komedˈja
comediano	kometiˈano
comediante	kometiante
comencia	komentsja
comenciamento	komentsiamˈento
comenciante	komentsjante
comenciantes	komentsianˈtˈɛs
comenciar	komẽn̟θjaɾ
comenciara	komentsjara
comenciava	komentsava
comestibile	komɛstibile
comic	kɔmik
comité	komitei
commandar	komandar
commando	kɔmmando
commemoration	konmˌemoɾatjˈon
commentar	komentad
commentario	kommentario
commento	komentso
commerciar	komertsjar
commercio	kommertsio
commission	kˌɔmisjˈon
commode	kɔmmɔde
commun	kommon
communicar	komunikar
communication	komunikakion
como	tomo
comocunque	ankonkurentso
comores	komores
compania	kompˌaɲa
comparar	kõmparaɾ
comparativo	komparativo
compartimento	kompartimˈento
competentia	kompetentsia
competer	kompeter
complacentia	komplatsensia
completar	kompletar
complete	komplete
complexe	komplekse
complir	kompleːr
comportar	kõmpoɾt̪aɾ
comportar se	komportar se
composite	kɔmpɔuset
comprar	kɔmpɾaɾ
comprate	kɔmpɾate
comprender	kompɾendeɾ
computational	kɔmputˈakˈsjˈˈonaˈlˈ
computator	kɔpˈtatʁɔr
computatorial	komputatorial
con	kon
concatenation	konkatenatsion
conceder	kont̪sð̞eɾ
concepto	kontsɛptɔ
concernente	kontsɛrˈnɛnt̪ɛ
concerner	kɔntsɛrˈnɛɾ
concluder	kõn̪klut̪eɾ
concordantia	kɔn̪koɾð̞unkia
concrete	kankrete
concupiscentia	kɔnkupistɕa
concurrentia	kɔnkuɾrenkja
concurso	alkoːrisa
condescendentia	ãð̞eskẽn̪d̪nkia
condition	konditsjˈon
conditional	konditsjonˈal
condolentia	kɔnðolnkia
conducer	konduker
conducer se	kɔnduˈtsɛ ɛrse
conducta	kondukta
confectos	konfektos
conferentia	kõn̪feɣ̞ɾnkia
conferential	konferẽn̟θjal
conferentias	kɔnfeɾˈɛntsjas
confessar	kɔnfesar
confidente	konfidˈɛntə
confidentia	kɔnfitientsi̯a
confider	kˌɔnfiðˈɛr
configurar	kɔnfiʒwˈɾɐɹ
configuration	kɔnfiˈgʊɾatsiˈõŋ
confirmar	kõn̪fiɾmaɾ
confluentia	kɔnslˈuˈɛntsja
confortabile	kɔnfɔrtaːbɪlɛ
conforto	kɔnˈfɔrto
confrontar	kɔn̪fɾɔn̪t̪aɾ
confunder	kõn̪fõn̪ð̞eɾ
confusion	kɔn̪fuɣ̞ion
congo	tʃomgo
congresso	kongreso
congruentia	kõŋkɾuẽn̟θia
conjectura	kɔnʒektura
conjecturar	kontʃaktwraɾ
conjunctivo	kɔndʒungtivo
conjuncto	konʒuntu
connecter	kɔnnektɛr
connexe	konnexe
connexion	konneksioːn
conniventia	koniventsja
cono	kuno
conscie	kɔnstsjɛ
consciente	konstsiente
conscientia	kɔnstsjɛntsja
consentir	konsentjɾ
consequente	konsekwɛnˈte
consequentia	kɔnsikwɛntsia
conservar	kõnseɾðar
considerabile	konsiderˈabile
consideration	kɔnsiðeɾakjõŋ
consiliar	kõnsiðiar
consiliero	konseliero
consilio	konsˈiljʊ
consiste	konsistɐ
consistentia	kɔnsistämtseɐ
consister	konsistˈɛr
consortio	konsˈortjo
constantia	kɔnstai̯nkia
constitution	konstitutsion
construction	konst̪ɾukkiõn̪
construer	konstruaɾ
construite	konstruite
consulta	konsul̪t̪a
consultar	konsultˈaɾ
consultation	konsultatsiˈon
contamination	kontamjsatsion
contar	kõnt̪aɾ
contator	kõn̪t̪at̪oɾ
contente	kontente
contento	kontentˈo
continentia	kɔntinˈɛnˈtsia
continer	kont̪ĩŋeɾ
contingentia	kɔntsindɛntsia
continuar	kont̪inwaɾ
continuara	kɔntinuaɾa
continuation	kont̪inwats̻ioŋ
continue	kontinue
continuemente	kontinuemɛntɛ
conto	konto
contornar	kɔntoɾnaɾ
contra	kontra
contrari	kontrˈaɾɪ
contrasigno	kɔntɾasigno
contribuer	kont̪ɾit̪ueɾ
contribution	kont̪ɾiβ̞wt̪sion
contributor	kont̪ɾiβ̞ut̪oɾ
controlar	kontrolar
controlo	kontrolɔ
contunder	kont̪unð̞eɾ
convalescentia	kɔnvalɛstsjɛa
conveniente	konvenjente
convenientia	kɔn̪β̞ẽn̪iɣ̞nkia
convenir	kõn̪β̞eniɾ
convergentia	kɔn̪β̞eɾɣ̞ɛn̟θia
conversar	kɔnvɛrsaˈr
conversation	kɔnversatsiˈon
converter	konvɛrtsɛr
copenhagen	kˈɔpənhˌɑgən
coperculo	koperkulo
coperir	kɔpɛriːr
copernicium	kopermitsio
copertura	kɔpˌertˈura
copertura de lecto	kopertura delakto
copia	kɔːpːjɐ
copiar	kopjaɾ
copula	kɔqulɑ
coquetta	kokɛttɐ
coquettar	koketˈa
coquette	kɔkɛt
coquetteria	kokɛtɾia
corage	koradʒe
coragiose	koradʒoze
corbe	kɔɾbe
corbe de papiro	kɔrde de papiro
corco	korko
corda	kolda
corde	kɔɾˈde
cordialmente	kordjalment̪ɛ
corea del nord	korea del nˈoɾt
corea del sud	kɔrˈɾˈa do sˈud
corio	kovio
cornac	kɔrnaːk
corno	kˈoɾno
corona	kɔrɔvɑn
corpore	koˈrˈpˈɔle
corpulente	korpulente
corpulentia	kɔɾpʊlnkia
correcte	korrekt̪e
correction	kɔɾɾɛktsioŋ
correctores	korektˈoːrəs
correspondentia	kɔɾɛspõŋdentsia
corresponder	korespõn̪d̪eɾ
corridor	koriðoɾ
corriger	kɔɾɾiɣueɾ
corte	fˈɔɾte
cortese	koˈrtˈeze
cortina	koɾtina
cosa	kɑːzɑ
cosac	kozak
cosaco	kosɑːkɔ
cosmo	kɔsmɔ
cossino	koˈs
costa	kost̪a
costa rica	kɔsta rika
costar	kost̪aɾ
costo	kosto
costose	kɔstɔzɛ
costume	kɔstuˈmɛ
coton	koton
couchette	awtʃɛttɛ
coxa	kɔkˈsa
crac	kraːk
craccar	krakkaɾ
crampa	krɑmpa
cranio	kraɲˈa
crassitude	krasnʲituda
cravata	kravata
crear	kɾeaɾ
creation	kɾeatsi̯oŋ
creatura	kɾeatura
crede	krede
credentia	kredentsia
creder	tɾɛdɛɾ
credito	kredito
crema battite	krema d̪at̪ite
crepusculo	krepuskɔlɔ
crescentia	kɾɛstsensia
crescer	kresθeɾ
creta	kɾɛta
crimine	trimine
critar	bɾitɛa
crito	kɾɪto
croatia	kɾovaʲtsia
croato	kroato
croc	kɾɔk
croquet	kroke
croquetar	kɾokɛtuxa
croquette	tʃloket
cruce	kruːtsɛ
cruciar	kruːtsjaˈr
crude	kruːdɛ
cruel	kruel
cryptographia	kriptografˈia
crystallin	kristalˈin
cuba	kˈuba
cubito	kubito
cuguar	kugwaɾ
cuje	kudʒe
culmine	kulminæ
culo	kˈullo
culpabile	kulpabile
culpar	kulpaɾ
cultello	koltelˈlˈo
cultivar	kult̪ivaɾ
cultura	kultura
cumino	kumino
cumular	kumulaːr
cumulo	kumulo
cunno	kumna
cupro	kupro
cura	kuːra
curiose	kuɾiɒɾuzɒ
curium	kuɾiu
curre	kore
currente	kurɾente
currer	kɔɾɾeɾ
cursa	kursa
curso	kursor
curte	kuɾte
curva	kuzˈa
custode	kusto˩˥ːde
cute	kute
cyclic	siklik
cyclon	syklɔn
cyma	sima
cypro	kipro
cypro del nord	kiprɔdɔnɔrt
d	dˈe
damno	damno
danese	diːɾzɯ
daniel	ð̞ãn̪iel
danmark	ðeɾmɑrk
dansa	dˈansa
dansar	dˈænsaɾ
dante	tante
dar	da
dar loco a	dɑːr ɛɦloː a
darmstadtium	darmstatɛjum
data	data
dato	taːto
de	dʒe
de bon grado	dɛ bon grado
de bon hora	dɛ bon horɐ
de facto	de fakto
de mal grado	dʒo malgrado
de maniera que	dɛ manjɛra ke
de novo	denovo
de plus in plus	ðeːtˈɛ plˈʉs ˈɪn plˈɔs
dea	dɛɾ
debatter	dɛbˈatˈer
debe	debe
deber	debeʁ
debeva	debela
debile	dæbile
debilitate	dˈɛbˈɪlˈitˈatˈɛ
debita	dɛbita
debito	deːbiːto
decadentia	dˌekˌadˈˌentʃja
decader	d̪ekad̞eɾ
dece	ðɪtsɪ
dece-duo	ðetsːeduːo
dece-tres	ð̞et̪set̪ɾes
dece-un	ð̞et̪s̺eũn
decembre	detsɛmbrɛ
decennio	detsɛnio
decennios	ðitsenˈniːos
decente	dɛtsɛnt
decentia	detsentsja
decider	tsiðeɾ
decifrabile	detsifraβide
deciframento	detsiframento
decifrar	detʃifraɾ
decifration	ð̞ets̺jfɾat̪θion
decifrator	d̪et̪sifɾator
decime	dɪɪ̞tsɪ̞mɛ
decision	d̪eð̞sið̞ion
declarar	d̪eklaɾaɾ
decrepitar	dɛkrɛpitsaɾ
decrepitude	dɛkˈrepjtˈude
decrescentia	ðeskɾɛsθɛntsja
defender	defendeio
defensa	tɛfɛnsa
deferentia	dˌɛffərˈɛntsja
defia	ðefˈiːlˈɑ
defiantia	tifˈiˈɑntsˈɛ
defiar	ðˈɛstˈiˈɑːr
deficientia	dˌiːfiːtsjˈɛntsjˈɑhˈ
definite	definite
del	tɛl
del parte de	tˈɛl pˈart dˈe
deler	telɛʁ
delicate	delikate
delimitation	dɛlimitatioŋ
delinquentia	dˈiːrinkwˈɛntsjˈa
deliquescentia	telikwestsɛntsja
delitescentia	dilidisd̪elsjɑ
delivrantia	dɛlivɾant̪sja
deman	deman
demanda	d̪emanda
demandar	d̪emand̪aɾ
demandar se	d̪e amand̪aɾs̺ɐ
dementia	dɪmentsja
democratia	demokratia
demoniac	dmoniak
demoniaco	ðemoniako
demonstrar	dˌemʊnstɹˈaɹ
demonstration	dˌemˌonˌstˈratsjˈoŋ
denomination	d̪enominakion
dense	dense
densitate	dˈɛnˈsɪtˈate
dente	dente
dente de lacte	dˈɛntɛ dˈeː lˈaktə
deo	d̪eo
dependente	dˌeˌpˌɛndˈɛntˈɛ
dependentia	ð̞epẽn̪d̪ẽn̪t̪sja
depender	defendeɾ
deponer	depːonˈel
deposito	depozito
depost que	dɛ po˥˩ːstkɛ
depreciar	tɛprɪtsjaɾ
deprivation	depɾivatsion
derecto	dˈʉrˈɛkto
derecto de autor	dˈɛrəkt ˈɔk dˈeːt ˈɑːvt hˈoːr
descendentia	dɪstsɛndɛntsja
descender	destʃenðeɾ
describer	d̪eskɾiβ̞eɾ
description	d̪eskɾipkiõn̪
desde	dˈɛstɐ
deserto	dezˈɛrto
designar	dˌɛseɪgˈnɐɹ
designo	dezigno
desinentia	dɪɾsɪntsja
desira	ð̞eˈzijɾa
desirar	dˈɛziɾˈaɹ
desiro	ðeziːɾo
desistentia	dɛsistɛntsja
despecto	dɛspɛktɔ
desperantia	dɛspɛrɑŋtsia
dessert	dɛsɑjˈæɹ
destinar	dɛstɪnɑːr
destinatario	ðəstʰɪnaːtʰɑːriːʔ
destination	dɛstɪˈnatsiˈoːnˈ
destino	destˈino
destruction	dɛstruktsion
destruer	ð̞estʁueɾ
desuetude	bæsˈoːthˈud
detaliar	d̪et̪aʝjaɾ
detalio	detˈaljo
determinar	dətʰɒrminaːɾ
detra	dˈeːtra
developpamento	deveʎoppamento
developpar	developˈaɾ
deveni	dˈɛvejˈɔnˈi
devenir	dɪlˈˈniːˈɛ
dextere	dækʃteʁe
dextra	dɛkstra
dextre	tˈɛkstrə
diaconessa	diakonezsa
diacono	diaːkɔnɔ
dialogo	dialogʊ
dice	ditsˈe
dice me con qui tu va e io te dicera qui tu es.	ð̞it̪ʃe̞ne̞ko̞n kit̪uva e̞iut̪e d̪it̪eɾa kit̪ues̺
dicente	ðitsent̪
dicer	titse
diceva	titsˈeva
dictionario	diktseonario
die	bˈeɪɛ
die de interlingua	ðie dɛ interliŋgla
dies	dies
differente	difeɾente
differentia	ðifeɾntsia
difficile	difitsile
difficultate	dʒuʃtʃels
diffidentia	diviˈdentsja
diffunder	sifunder
digestion	digestion
digital	digiːtɑːl
digito	digito
digito de mano	tigito de manu
digito de pede	digi tʃi pɛda
diligente	dˈɪliˈgentˈɛ
diligentia	dˈɛlˈɪgˈɛntsija
dimension	dimensioŋ
diminuer	ti˥˩mjnueɾ
dimitter	dimitˈeɾ
dinar	dinara
dionysiac	ð̞ionisiak
diplomatia	diplˈoːmatˈiːa
dipsaco	ti˥˩psako˥˩ː
dipsomaniac	dipsuːmˈanˈiːak
dipsomaniaco	dipsɛumaːnijakɔ
directe	dˈiːrəktə
directemente	direktemˈente
direction	direksjˈon
directional	ðiɾektjɔnɑɫ
directiva	dirɛktsiva
directive	direktive
director	dʒyɾektɔr
directori	irektori
directorio	direktorio
directrice	d̪iɾekt̪rit̪sɛ
diriger	dˈiːʁigˈɛʁ
disactivar	dizaktiva
disagradabile	disagradabila
disapprobar	disaprovar
disappunctar	ðəsapːoːntaːr
disavantage	dizavontˈadʒe
disblocar	dˈiːsloːtˈɾˈɑl
discargar	dˌiʃkagˌaɾ
discolorante	diskolorante
disconcertar	diskontsɛrtaɾ
disconvenientia	diskʊnviniˈɛntsia
discoperir	diskoperˈiɾ
discoperite	diskopeɾite
discoragiar	dˌiskˌʊɾadʒjˈaɾ
discordantia	diskordantsja
discrepantia	diskɾəpˈɑ̃kia
discrete	diskrete
discurso	diskurso
discursos	ðiːskʊɾsʊs
discussion	ð̞iskussion
discuter	diskute
disembarassar	tisembˌɑɾˈaθaɾ
disfacer	ð̞isfat̪seɾ
disgratia	dˌɪsgrˈɑːtsjˌɑ
disgusto	disgusto
disobedientia	tisubjadjnsia
disordine	dɪsɔɾdɪnɑ
disparer	dˈɪspˌaɾˈeɪɾ
dispender	dispẽnˈdeɾ
disperger	ðispɛɾgeːɾ
displacentia	displatsentsia
displaciamento	dislatsiamento
displaciar	ð̞isplat̪θiaɾ
disponer	dispõn̪eɾ
disposition	dispɔsitsioŋ
disputa	disposta
disputar	ð̞ispət̪aɾ
disrolante	djsrolante
dissidentia	disiðˈɛntsja
dissimilantia	siːsɪmɪlˈɑnˈtsia
dissimilitude	diːsiːn˧jiː˧lɪːtuːtuː
dissonantia	dɪsˌɔnˈantsɪˌa
distante	distante
distantia	distantsja
distinguer	ðistinɣuɛr
distinguite	distjˈᵑgwitˈ
distraction	ð̞izt̪ɾakkiõn̪
distribuer	distribue
districto	distrikto
disturbar	disturba
disuso	dʒouzo
disveloppar	djsvelopar
disvestir se	disvestiˈresɛ
divergentia	dˌɪfɛrˈgɛntsja
diverse	d̪jβ̞eɾsi
diversitate	diversitˈat
diverter	dɪbɛrtɛʁ
divertimento	divˈɛrˈtˈimˈentˈo
divider	dɪvidɪɾ
dividite	divjˈdiːtˈ
divinar	d̪ið̞jnaɾ
division	diviˈsioˈnˈ
divisor	dɪvjsor
divorciar	d̪iβ̞oɾtsiaɾ
divorcio	divortsio
divulgar	tˈevˈʊlgɑːr
djibouti	dʒibuti
doana	doaːna
doanero	doaːnɛro
docte	tokte
doctor	dɔktoːr
documentation	dɔkʊmɛntatsiˈone
documento	dokumˈento
documentos	dokumentos
doler	dˈoleɾ
dollar	d̪u̯laɾ
dolor	doloɾ
dolorose	ðˈoˈloˈrɒˈvɒsi
domestic	domestik
dominantia	dominantsia
dominica	dˈɔ̃ˈɛnika
domo	dˈomo
dono	tono
donos	tonos
dormiente	dormient̪ɪ
dormir	dˈɔʁmˈiʁ
dorso	dˈɔrso
dossier	dosʲe
dracon	grakɔn
drappo	trapɔ
droga	drˈoːga
dubita	dubita
dubitar	duːbjteˈar
dubnium	dupneum
ducer	t̪ot̪seɾ
ducha	duʃa
dulce	dwltsɛ
dunque	d̪õ̞nkue
duo	dˈuːo
duo centos	d̪uot̪s kintos
duodece	duɔɔdɛtse
dupar	tupak
duple	duklʲa
dur	dˈuɾ
dura	dʊra
durante	durante
durante que	dugante ke
durar	duraɾ
durara	doːraraː
dynastia	dˌiːnastˈiːja
dysprosium	ð̞isprozium
e	ã
e tu jam ha controlate tu tascas?	etudʒam akontrolat̪e d̪e tu t̪aska̞s̠
e-posta	eposta
ebrie	ebria
ebullientia	eβ̞oliẽn̟θia
ecce	aktsɪ
eccentric	ʲɛktsentrɪk
ecclesia	eklezia
ecclesia adventista del septime die	eklesj ˌadβentˈista del sˈepːti meðˈie
economic	ekonomik
ectoplasma	ɛktoplasma
ecuador	ekwadoɾ
edibile	deˈdiiːbeli
edificar	edifikaɾ
eduardo	eˈdwaːrdu
educate	edukˈatˌɐ
education	eð̞ukakioŋ
effective	efektivtˈ
effecto	efekto
effervescentia	eferdɛstsientsia
efficientia	jˈɛfitsjˈɛnʃjɐ
efflorescentia	efloreskentsia
effortiar se	efektive sɛn
effortio	efoɾtio
effraction	lifɾaksjõŋ
egomaniaco	ʔeːgoːmaːniːjakoː
egregie	eʁɾiɐgjɐ
egypto	eɣipto
egyptologo	egiptologo
einsteinium	ainztai̯njum
el salvador	al salvador
elastic	elastik
election	elektsion
electric	elˈɛktʁik
electricitate	elektritsitˈatˈ
electromagnetic	elektromagneti
electronic	ɛlɛktɾɔnik
elegantia	elegantsia
elegiac	ɛnɛgijak
elegiaco	elegiʝako
elemento	elemnto
eliger	iligær
eligite	eligite
eliminar	eliminaɾ
eloquentia	elokwẽn̪ntsia
embryonic	embˈrɛjɔnɪk
emergentia	emɛrgɛntsia
emerger	ɛmergɪɾ
eminente	eminente
eminentia	eminentsia
eminentia de golan	ˌeminˈɛnseɐ dˈɛ gˈolan
emiratos arabe unite	ɛmiɾatos arabi unjte
emission	emɪsioŋ
emoticone	emotikone
emphasar	enfasat
emphase	ɛmafaːsæ
empirismo	empirismo
emplear	empleaɾ
empleate	empliatːa
empleato	empliato
empleo	emplˈeo
emular	eːluːnal
emulator	tɕjoɫatʊr
encyclopedia	ẽn̟θiklopeð̞ia
endoskeleto	tʃiniodosketoto
energia	enˈɛrgiːa
enoiar	enojaɾ
enoio	enoio
enoiose	naʝuɔsɛ
enorme	enɑɫɪmɪ̞
entrar	entrad
entrata	entrata
epidemia	epidemia
epidemic	epidemik
epiphysis	epifisj
episcopal	episkopal
epitaphio	epitafio
epocha	epoka
equal	ekuˈal
equalar	eːkwaːlaːr
equalmente	ekwalmɛnˈte
equanime	ekvaːnjɛmɛn
equatorial	ekwatorjal
equidistante	eqivizdant
equidistantia	ekwipdantsja
equinoctio	eqˈtinɑp
equipa	ekwipa
equipamento	ekwipamɛnto
equipar	ekuipaɾ
equipate	ekuipatʃ
equiponderantia	ekuipondesperanthia
equivalentia	ekwivalentsia
erbium	ɛɾbiu
erecte	œræktæ
eriger	ærjgˈeɾ
eritrea	ɾɪtrɛa
erotomaniac	perotunaniak
erotomaniaco	eroautomanijako
errar	ɛɾar
erronee	erɾoɲie
error	erroɾ
erubescentia	erobestsentsja
es	s
escappar	eskapːˈaɾ
escappata	elskapata
espania	espãnja
espaniol	ɛspˈˌanˈjol
espaventar	espadẽn̪t̪aɾ
esplanada	ɾɒnkanada
esque	eske
esque tu pote me adjutar?	es ke tʊ pɔtˈe me aðʒutˈaɾ
essayar	essajaɾ
essayo	estsaɲo
esse	s
essentia	ɛssentsja
esser	essɛɾ
esser foras de se	eferus foras tuta se
esser in error	ke seɾj neɾoɾ
esser in voga	es̺eɾ inβoɣa
essera	uʃɛ
esserea	essɛɾea
esseva	eszeβa
essite	asit̪ɛ
essugar	essuɣ̞aɾ
est	tʃi
establir	establˈir
establite	establˈitˌe
estate	estate
estimate	estimate
estonia	estonja
estranie	ɛstraːnjɛ
estranier	estranjær
estraniero	estranjero
et cetera	etʃetʃa
etage	etadʒe
etate	etate
etc.	etʃetʃa
eterne	eternɛ
ethiopia	etʃopia
etiam	etʃja
etiquetta	etiketːa
etiquettar	etiketare
etymologia	etimoledʒia
etymologic	ɛetimolodʒik
eucharistia	eukaristia
euro	ˈeʊro
europa	europa
europee	eoɾope
europeo	eʊɾɔpio
europium	europium
euros	euʁɔs
euthanasia	eut̪ənezja
evalutar	evalutaɾ
evalutation	kevalutatsiõn̪
evanescentia	evanɛstsɛntsja
eveliar	eβ̞iljaɾ
evenir	eð̞ẽn̪iɾ
evento	evento
eventual	eventual
evidente	evident̪e
evidentia	evidɛntsia
evitar	eviːtɑːr
ex	əks
ex-presidente	exprezidɛntɛ
exacte	ekzaktɛ
exactemente	ekzaktivente
exactitude	eksaktitˈud
examinar	eɣ̞saminaɾ
exanime	æksaːnɪːmma
excambiar	eʃkanβ̞iaɾ
excambio	ekskambio
excellente	ʝˈɛktsiˈlɛntɪ
excellentia	ekstselentsia
excepte	ekstʃepte
exception	jekstseptsion
excrescentia	ɛkskɾɛstsjɛntsjɛ
excursion	ˌekskursjˈon
excusa	kskuza
excusar	əkskuzar
execution	eʃekwt̪sjon
executive	eksekutive
exemplo	ekzemplo
exequer	eszeker
exercitar	ekseɾtsiaɾ
exercitio	ekseɾtsitsio
exhaurir	ẽkshaurie
exigentia	ʲɛksjgɛntsja
exiger	ekseguei̯eɾ
existentia	ekzistentsia
exister	eksiste
exito	ɛksitɔ
exopero	eksooro
exorbitantia	eksoˈrˈbˈitˈanˈtsia
exoskeleto	ɛksoskɛlɛtɔ
expander	ɛkspˈɑndəir
expansion	ekspanθi̯oŋ
expecta	ɛkspɛktˈa
expectar	ekspektar
expedir	ɛkspeˈðiʊ
expedition	ekspeð̞ikion
experientia	ˌekspeɾiˈɛnθja
experientias	ekspɾiɛntsjas
experte	ekspɛrte
experto	eksperto
expirar	ɛkspˈiraːr
explicar	eɣ̞splikaɾ
explication	eɣ̞splikat̪kion
exploder	ɛksplɔdɛɾ
explosion	eɣ̞splosiõn̪
explosive	eksplozive
exposition	ɛkspozitsion
expression	eɣ̞spɾessioŋ
exprimer	ekspɾimeɾ
exquisite	akzkið̞it̪a
extender	eʃtẽn̪d̪eɾ
extense	eks̺t̪ent̪se
extension	kst̪ẽn̪sioŋ
exterior	eksteɾioɾ
extra	ekstra
extracto	ekstraktɔ
extrahite	ekstrahejte
extravagantia	otʃovagantsia
exuberantia	ekzubiɾãn̪tsia
f	f
fabrica	sãmbɾika
face	fatsɛ
facer	fatsɛr
facer cammino	la tserkamino
facer frigido	satsʲer fʲrigido
facer se prestar	fatsʲeɾ se preztar
facer venir	fatsɛɾ vĩː nˈiːɾ
facetia	satsɛtstsia
faceva	fatsɛba
facie	fatsie
facietta	fasjtl
facile	faʲtsile
facilemente	fatsjlemɛnˈtɛ
facite	fatsiːtɪ
facto	faktˈo
facultate	fakɣiɫtɑʔtˈtɑ
facultative	fakultativˈe
fallacia	flatsia
faller	fˈanˈeˈ
false	false
fame	famɛ
familia	familja
famose	ðæmˈuʊzˈɑm
fango	vˈaŋgo
farina	sarena
fasce	fastsʲ
fatigate	fatːigate
fatue	fatʊɛ
fatuitate	fattwitˈate
favor	fˈavor
favorabile	savorabile
favorar	savˈoːrˈaɾ
favorir	saˈvˈoɾiɾ
favorite	faboɾite
febre	fembræ
februario	febɾuɔɾiʊ
feculentia	fakulinsia
fede	ʃɛdɛ
federation	fedratsɪon
felice	felitse
felicitate	selitsitˈate
femina	semina
feminin	tseminin
femore	fɛmɔre
fenestra	fɛnestra
fer	se
feretro	feretro
feria	ferea
feritate	færjtäːtːɛ
ferma	fɛrma
fermero	sermˈɛro
fermium	fermiom
feroce	fɛrɔtsɛ
ferro	fero
ferrovia	ferovˈiːʎa
ferroviari	əroːbiɑːɾiː
fertile	tsertile
ferventia	fɛrmɛnkia
festa	festa
fetide	fetide
fibra	fˈibra
ficato	fiʃkatar
fico	pˈiko
fiction	fɪktsioŋ
fidantia	finˈansia
fide	sijde
fidel	fident
fidelitate	fitalitate
fider	fideɾ
fider se	fidɛrse
fiducia	fiðˈutsiːa
fiducial	fˈiɾˈukkˈalˈ
fiduciari	fidutsjaːri
figura	figura
figuras	figuas
fiji	fˈidʒi
file	fˈaɪl
filia	filia
filio	fˈilio
filio de puta	fˈiljo ˈoːtˈɛ pˈuta
film	fˈɪlm
filo	filo
fin	fˈim
final	final
finalitate	finaliːtäːtːɛ
finalmente	finalminte
finder	findˈeɾ
finir	finiɾ
finira	finiɾ
finissime	finiʝsime
finitude	finituːdˈə
finlandia	fɪnlandjɑ
finnese	finesa
firma	firmˈan
firme	firmɛ
fissura	fisura
fixar	fiksaj
fixe	fiksɛ
fixemente	fiksemente
flagello	flaɣenlo
flagrantia	lagɾˈanθja
flamma	flamma
flammar	flamaɾ
flammifero	flamifero
flatulentia	flat̪unẽn̟θia
flecha	flɛʃtʃa
flecter	sɛlɛkˈtɛɾ
flecter se	tsiˈlɛkterse
flerovium	flerovjum
flicflac	flˈikflˈak
flor	flɔɾ
flottar	lɒtˈɾˈ
fluentia	fluensia
fluer	flɔɛr
fluide	fluːiːdˈɛ
fluido	fluˈido
fluor	flˈuɾ
fluorescentia	flˈˈorˈɛsˈentʃˈia
fluvio	flˈovio
fluxo	slukso
focar	fokaɾ
focar domestic	fokardomestɪ
foco	foko
foco de artificio	fˈɔko dˈio artifˈitsio
folio	fˈoljʊ
folle	fole
fonte	fonte
foramine	soramine
foras	floras
foreste	forste
forma	soɾme
formal	foɾmal
formar	formaɾ
formation	fˌoɾmatθjˈon
formato	formato
formica	fornika
formulario	formulario
fornir	soɾniɾ
fornira	foɾnjɾ
foro	foro
forsan	forza
fortalessa	fɔrtalessa
forte	fˈɔɾte
fortia	foɾtsia
fortiar	foɾt̪sial
fortitude	fɔrtitʊd
fortuna	fɔɾtuna
fossa	fossa
frac	frak
fracassar	fˈɾˈakastˈ
fracasso	frakasso
fractura	frakːtura
fraga	fraga
frambese	frambese
franc	fraŋk
francamente	fankamɛntɛ
francese	fɾɐ̃ŋtsˈezɐ
franchitia	frankitsia
francia	framtsia
francium	frontsium
