185	zˈaɪtəfˈɪlmfɜdˌaxtɪg
weiwaleid	bˈɛɪɣənlˌeːt
wejtweit	ʋˈeːtʋˈɛɪt
welf	ɾæf
wels	vˈɚs
welt	bøt
weps	bɛps
wien	v̞ejan
wiesn-diandl	β̞ʝzsʲmt̪jɛ̀ːnt̪u
wiggerl	ikːau
wimmerl	ˈaɪbˈenmˈalo
windgeräusch	vˈɪntgɜrˌaɪʃ
wittlsbach	vˈɛtsəlsbˌax
woars	wˈʌs
woi	voj
wolfgang	wˈɪθkoŋ
wolperdinger	oipatɨla
word'n	voapkɔm
wos mechst denn in münchen?	vˈʌs mˈeɪkst ˈɛn ˈeɪ nˈaɪn
wuchtl	uɣtu
wuchtldrucker	wˈuxtltɾˈukɑ
wurst	wˈɚʃt
xaverl	saˀmɐl
z'erscht	tsia
zahnpastatuben	saːnpasˈtɑtɯm
ziehen	sian˥˧
zimbarn	zɪmban
zipfe	tsʏpfɛ
zipfeklatscher	tsɛpˈfˈeklˈˈaːdˈʒˈa
zuagroaster	tsuːɾkɾˈasta
zudecken	tɛw˧eːɹtɛk˨˩um˧
zum teufel nochmal	tsɐm taɪfɛj nɔw̃mɔɪ
zuzeln	tsuzlɛn
zwei	tsvˈa
zwetschgendatschi	tsvɪtskɛndɑːtʃiː
zwetschgnmandal	tsʋeːtzʃkmɛndad
zwicken	tsliːk˨tuː
ächern	eʃn
äding	etːing
ähern	ɛɛn
äiamal	ˈeɪəmwˈe
åbe	obe
östareich	ˌaʊstɾˈaɪç
östareich-ungarn	est̪ɾai̯unɣ̞an
österreich	ɛʃtɜrˈaɪç
