''	tfoɲuzam
falja	fˈalia
falje	falie
falltar	faltˈaɾ
fallxhi	fau̯gi
fan	fan˨˩
fan stilian noli	fanz tɪ li annɔli
fantazmë	fˈɐ̃ntˈaːʒmɐ
faqe	fʲazsʲe
fasule	fasulˈe
fati	pate
fatjon	fat̪ion
fatkeqësi	fˈatkˈajsɪ
fatkeqësisht	faket̪sest̪
fatma haxhialiu	fatma hodʒia liu
fatos nano	ftuznaːnɔ
faturën	fˈatˈuːlˈɛn
faturën, ju lutem	fatʊron jylutam
federata shqiptare e futbollit	fˈetɾatˈa ʃiptˈaɾi fɔtˈbɔlɪ
feja e shqiptarit është shqiptaria	jæʃtʃɯp tǎɾit ɑʃtʃɯp tǎɾiʎɑ
femrave	femralen
femër	fˈæmɚ
femëror	fɛmmˈlˈɔr
ferit duka	fɛɾit dukˈa
ferizaj	fɛɾɪzai
ferizaji	fæɾʲizˈaɪ
fermë	fˈɛɹm
ferr	fˈɛr
festa	fˈɛsta
festoj	fɛstɔj
festën	feston
fetaj	au̯nˈʌnˈɛ
fidan aliti	fidon alite
fier	fˈɪɹ
fieri	fjeri
figurative	fˈˈɛguɾˈaˈtivˈɛ
fik	fˈik
fike	fika
fiks	fˈɪks
filip	fˈiːlˌɪp
filloj	filoj
fillojnë	fʲiɛʎoɪn
fillosh	filoʃ
fillova	fjlova
filluan	filuan
film	fˈilm
filma	fˈilma
filmi	fˈɪlm
filmin	fˈiːlmˈɪn
filozofia	filozoffia
filtroj	fˈɪltrˈɔj
finale	finˈale
finiqi	finiʃi
finok	fokɛ
finoku	finokum
firmoj	fsmoi
fishkëllej	fʃkɔlej
fiskulturë	fiskʊltˈuːr
fisnikë	fˈɪstnɪk
fitoi	fito˩˥ːi˥˩
fitoj	fɪtˈɑːr
fitojë	fitoj
fitore	fˈiːtˈˈoːrə
fitova	fˈitoːva
fitove	fitove
fizarmonikë	fizaʁmonˈik
fizika	fizˈika
fizikë	fizˈik
fjala që del nga goja nuk merret më.	fiala tʃə dɛlɛnga goja nu kmeɾeθno
fjalë	fˈa
flak	flˈak
flakë	flˈɑːk
flamur	flamˈœʁˈ
flamurit	flamurˈɪdt
flamurë	flamuɾ
flas	flˈas
flasim	flasim
flaut	flaut
fle	flaːr
flesh	flˈæʃ
flet	flˈɛt
fletore	kidatoɯnɯ
fletorja	flətˈoːrɪa
flisni	pliːsni
fliste	flʲiste
flogert dollani	flo gɛrt dola mi
floke	flˈɔk
flokë	flˈɔg
florent hadergjonaj	flˈøːləen tˈɑdɔr dʒoːrnˈɑ
florent hasani	flˈʉɾənt hˈɑːr sˈɑːrni
florent muslija	flˈˈoːrənt mˈʊsliə
florentino	flˈoːrinˈtˈiːnoː
florentino duhet te vish ne firence	florentino duhɛt vɪʃnɛ fiɾɛntse
flotë	flˈɔt
flutur	flˈuːtˌuːɾ
fluturoj	flˈʉtːarˈˈarˌ
fobi	fɔbi
fola	fˈɔla
fole	foːlˈeː
foli	fɔli
foljet	fɒljet
forcën	fˈɔɹtsən
formoj	fɚmˈɔj
fort	fˈɔɹt
forta	fˈɔɹtˌa
fortesa	fɔrtɛsa
fortë	fˈɔɹt
foshnjë	fou̯ʃnʲ
foto	fˈɔto
fotografi	fɔtɔgɾafi
fotografoj	fˈɔtʊgɾˈafɔj
fotosinteza	fotɔsintɛzɔ
fotot	fɔtɔt
fqinj	ftʃɪn
frak	frak
francez	frˌantsˈɛz
franceze	frantsˈeze
francë	frˈaːns
frashër	flˈaʃer
frederic veseli	edrik vɛsɛle
frekuentoj	fˈrˌekwˌɛntˈɔj
frenat	frɛjnat
frenoj	fˈɾˈɛnˈɔj
freskët	flˈɛskat
frigorifer	fɹˈɪgɚˈɛfˈɛɹ
frika	frika
frikacak	fɾˈɪkasak
frikshme	frikʃmɛ
frikshëm	fɫiːkse
fryhet	flˈʉhˌeːt
fryj	flyˈ
frymëzohem	frɪmzau̯hem
frymëzoj	frimzɒˈi
frëngjisht	fɾanʝist
fshat	fʃat
fshati	pʃate
fshati vranidoll	ʃɒti ɾɒn idɒb
fsheh	fʃˈɛ
fshihet	fʃiːhæt
fshij	pʃi
fshik	fʃik
ftoh	ktɔ
ftohem	ftohem
ftohtë	fdot
ftohtësi	ftˈoːxtsiː
ftoj	ftoj
ftuar	fˈtuːˈɑːl
fundin	fˈundɪn
fundjavë	fondiavɔ
fundos	fondas
funksionoj	funktionˈoːlˈ
funksionojë	fʊŋksjɔːnɔːjˈ
fuqia	fuzia
fuqishme	futʃiiʃme
fuqizoj	fʊˈʃiːzɔːj
furgon	fwˈɛlgˌan
furnizohem	ko˥˩ːn˩˩˦e˥ːz˩ː˩ːgəm˧
furnizoj	fonizoi
fus	fˈɔs
fusha e korçës	fʊʃaɪp˥˩ɑɹtʃɯz˥˩
fusha e myzeqesë	fˈʊʃˈɑj myzˈɪk ˈɪst
fushohem	fuʃɒhɒm
fushë	fuʂa
fushë kosovë	fuʃko sɔf
fushë-arrëza	fʊʃɑrsa
fushë-kruja	fuʃkɾuːjɒ
fushën	fʊʃɔn
fustan	fustan
fustani	fustani
fut	fˈud
futbollistik	fwtbɔlˈistɛŋk
futbollit	tɔðɛmɔðɔlɛ
fute	fute
futem	futˈɐm
futesh	futeʂ
futi	futi
futu	futu
futur	futːɔɾ
fyej	fyˀˈɛ
fyt	fˈyːt
fëmija	fɔːˈmˈˈ
fërgesë	fɔɾˈgeːs
fërgoj	fɔrˈgɔj
fërkoj	fɔːkɔj
gabime	gabime
gabimi	gabimi
gaboj	kaˈbɔːə
gadishulli ballkanik	ɣ̞ad̪iʃuli balkanik
galenus	ɣ̞alenos
gani llalloshi	ganila loˈʃi
gara	gaːraː
garantoj	garantɔj
garazh	ɣaɾaʒ
gatopard	gatopˈaɾtʊ
gatuaj	taduua
gazeta	gazeta
gazetar	gazet̪aɾ
gea çausholli	gʲæːˈtʃɑːv ʃɔɫɪ
gegëri	kigɔɾiː
gegëria	gɛgɐriːɐ
gegët	gɛgɔt
gejzeri	gɛjzæɾiː
genc	gɛns
genc beqiri	gynts bej ʃiɾi
genc fuga	gɛnts fuːga
genci	kjɛnsi
gent bejko	gɛnd beːgˈoː
gent pjetri	gɛnd pjɛtri
genti deçka	gɛnti dætʃka
gentian zenelaj	gentjan z̺enɛlaj
gerdec	guːtˢtˢs
gerona karabashi	ɛ rɔna kaˈra βaʃi
gertian deçolli	gɛntjan dɛ tʃolɪ
gezuar krishtlindjen	gəzˈuːr kɪˌ diʃlˈeːndjə
gisht	gist
gishtat	gistat
gishtin	gistin
giyshe	dʒʊsˈɛ
gjahtar	dʒaːtaːr
gjak	ak
gjakmarrja	dʒakmaria
gjakos	dʒakos
gjakova	dʑakɔva
gjakovë	dʒakov
gjaku	dʒakʊ
gjallë	dʒau
gjalpë	dʒɑːlˈb
gjarpër	dʒarɛpɚ
gjashtë	dʒaʃ
gjashtëdhjetë	dʒaːstɾiat
gjashtëmbëdhjetë	dzʲaʂtʲambɨrajeð
gjat	ʒˈat
gjatë	dʒad
gjatë dimrit	dʒa diːmr ˈɪt
gjej	dʒeɪ
gjeji	dʒe
gjel	dʒɛl
gjelbër	dʒeɾelbəɺˈɓˈɛ
gjellë	dʒˈɛl
gjendem	dʑɛndɛm
gjendja	dʒenja
gjendje	tʃãnˈdɪ
gjeofizika	dʒeoviziga
gjeraqinë	dʒeɾaʃaŋ
gjergj	dʒˈɛɹdʒ
gjergj kastrioti	ʒˈɛrdʒɪ kastɾˈiotˈi
gjergj pelini	dʒɛrdʒ pɛlini
gjergji	gjergi
gjermani	dʒermonʝ
gjersa	dʒrˈsɑ
gjerë	dʒeɾ
gjethe	dʒese
gjevukaj (albanian)	dʒevuka je
gjeçov	dʑɛtʂɔv
gjidoda	dʒidoda
gjilan	dʒiːlan
gjilani	gilani
gjilpëra	gɪlˈbɑːlˈla
gjinia	dʒenia
gjirafë	ʒiɾaf
gjirokaster	dʒʊɾɔkastɛr
gjirokastra	dʒiɾokastɾa
gjirokastër	dʒʲeroː˧kɔːstɔː
gjitar	dˈitˈaɾ
gjitha	dʒiːθɑ
gjithandej	dʒifandiː
gjithkush	dʒizkuʃ
gjithmon	dʒizmon
gjithçka	etsestʃamp
gjithë	je
gjitonia	dʒitˈoːnia
gjizë	dʒiz
gjokaj	dʒokaj
gjon	xɔn
gjon mili	ˈdʒɔn mˈill
gjoni	dʒoni
gjorgiev	dʒˈɔɹdgˈiɛv
gjovalin	xoβ̞alim
gjuaj	dʒuɪ
gjuajtje	dʒauajtjɛ
gjuajtur	dʒuˈaɪtˈoɾ
gjuan	dʒuɔn
gjuetar	ʒuɛtˈaɹ
gjueti	ʒuɛt̪i
gjuha	dʒuħa
gjuha vete ku dhemb dhëmbi	dʒuːaːvɒːde kɒdɒm ðænbi
gjuhe	tʃuɣa
gjuhë	dʒoː
gjuhë amëtare	xuː am tˈaɾa
gjuhëtar	dʒuːtˈaːr
gjumi është vëllai i vdekjes.	dʒumi ˈʌv ðə lajv tˈekɪz
gjumit	dʒumɪd
gjumë	dʒum
gjumë të ëmbël!	tʃuŋ tʃuŋ bɑɾ
gjunjë	dʒˈunijɪ
gjunjëzohem	dʒuɲuzɔhem
gjurmoj	ʒuɾmɒiː
gjykata	dʒukata
gjykatë	ykat
gjykoj	dʒˈɛˈʌkɔj
gjyle	tylˈlˈe
gjylihan	dʒəliʔɑn
gjyq	dʒytʃ
gjysh	ʒʉʃ
gjyshe	dʒyːsɛ
gjyshet	yʃet
gjyshi	dʒuːʃi
gjysmë	ʒˈʌsmˈ
gjë	dʒa
gjëja e dhënë s'merret prapë.	gəjə vən sməɾet prəp
gjëja që falet nuk kërkohet.	gɛja dʒə faɐlɨt nɔkɔɾˈkɔhɪt
gjëje	tʃɛjɛ
gjëmoj	dʒɛmɔj
gjërave	dʒəraːve
gladiola harizaj	gladiola arizai
gliozheni	dioʒini
gllabërim	ɫɑbrim
gllënjkë	gɭˈænk
goca	gɔtsɛ
godas	gɔdas
godet	gˈˈodˈˈetː
godit	ɣ̞od̪it̪
godite	gˈodˈite
goditi	konditˈe
goditje punë	gɔdˈiti ɛ pʊˈan
gogësij	gɔgsi
gojë	gɔj
gomar	gˈomˈarˈ
gomari me dru, njeriu me fjalë .	gɔ marɪ mɛ drw ɲerɛ juː mɛ fjal
gomë	gˈoːm
gonxhe	gɔndʒɛ
gorillë	gʊɾˈiəlˈ
gostivari	gˈostɪvˈˈaːri
gota	gˈota
gotë	koto
gra	gɾa
grabit	glˈabˌit
gramozi erseke	gɾamoz jersɛk
gramsh	gɾamʃ
gramshi	granda
granit xhaka	gɾanit ɛːkɑka
grei dailanaj	grˈeːidˈaj lˈɑːnˌaɪ
grek	krek
greku	gɾˈɛkˈoːn
greminë	ɣ̞ɾemin
grenzë	gɾˈænts
greqi	gɾesʃiɾ
greqia	kwau˧˧
greta koçi	grɛtɑ kɔtʃi
gri	gri
grij	gɹiː
grindem	grˈindəm
gris	gɹˈiʃ
gropos	gropos
grosh	grɔʃ
grua	gɾua
grumbulloj	kɾˈumbulˈɔɪ
grup	klˈuːp
grupeve	grupʲa
grusht	gruʃt
gur	gˈuɹ
guri	guri
gusht	guʃt
guxim	guzim
guxoj	guzzɔj
gzim hajdinaga	gzim hajdinaga
gëckë	gɯtsk
gëlltit	gɨltit
gëlltitje	gɔltitjɛ
gënjej	gʌnˈɛ
gënjeshtar	gʲynʲːestǎʲː
gënjeshtari kapet më kollaj se topalli.	kɲi ʃtɑri kapɛt mɔkɔlajs ɛ topaɫɪ
gënjeshtra	ɣʲanʲeʲatʂtra
gënjeshtër	gnʲetɨr
gënjyer	gˈanˈeːbˈɑɹd
gërhas	lʏdasf
gërmoj	gˈʊɾmɔj
gërryej	grɨvʲej
gërvisht	gʏrviksː
gëzim	kɑˈziːm
gëzim rudi	jˈɛrdziːm brʊdi
gëzohem	gəzɔhem
gëzohem që po takohemi	g zoˈjim dʒu pɔ tɑˈkɔgɛmɪ
gëzohem që të njoha	ɣazoʲem tʂɛta nʲoɣa
gëzohem që të takova	gzoem ʑa tut takova
gëzohem që u njohem	ɫezaːj ˈmtʃuː nɛ
gëzoj	gəzˈaɪ
gëzuar	gəzˈˈɛ
gëzuar ditëlindjen	ʒɛzˈaːr dɪ glˈeːndiən
gëzuar ditëlindjen!	kəsˈor dɪ lˈindɪən
gëzuar festat	gəzuɔr fˈɛstat
gëzuar krishtlindjen	gəzˈʊɐg rˈɪçtɪgə lˈɪndiən
gëzuar pashkën	gəzuːr pˈaʃkan
gëzuar vitin e ri	gəzuɚ viːdɛnɛriː
gëzuar!	gəzˈˈoːˈar
ha	hla
ha sot, por mendo dhe për nesër.	hæz sɔːt pæɹmendˈɑ ɔl ðˈɛɹpɚtnˌɛsɚ
habit	ħabit
hajdut	ajdut
haje	hˈɑːjə
hakmarrja	akmaɾja
halla	ta
hallo	alo
hallë	aɫ
halë	hǎl
hamdi	hamte
han	tsʰan˥˩
hanë	tsʰan
hap	ap
hapa	hapa
hapem	apːɛm
hapeni	haaapeni
hapet	hˈɑpˌit
hapim	apim
hapjen	apjɛn
hapni	apni
hapur	apɔ
hapësirë	hapsie
harabel	hˈɛrrabəl
haradinaj	jˈʃtinˈaːj
hardhuca	arðutsˈa
hardhucë	ərdʌvˈtʃ
hark	ˈæɾk
harro	ɣ̞
harrohem	jaroːhˈem
harroj	haroj
harroni	harɾo˩˥ːnim
harrove	jarove
harta	hˈartˈa
hartografia	artografˈia
hartoj	artˈoj
harxhoj	hˈɚdʒˈɔɪ
has	hˈɑs
hash	hɑːʃ
hashim thaçi	haʃim sɑtʃɪ
hatemja	atɛmja
haxhiademi	hadʒiadeːmim
haxhijaj	adʒiai
haxhiu	adʒiu
hedh	help
hedhim	heðim
hedhësh	heðəʃ
hekuri	hejkuli
hekuros	hekʊɾos
hekurudha shqiptare	jɛkuɾuða ʃiβtäɾɐ
helidon xhixha	helido˥˩n gidʒa
helikopter	hˌɛlɪkˈɔptˌeːˈɑːr
helm	hɛlm
helmoj	helmˈɔj
hemoglobina	hemoglobina
hendek	hæŋˈdæk
heqim	hˈeɪtʃhˈim
heqësh	hˈeɪtʃɚ
heroi	heˈɾɔːi
herolind shala	ɦɛroːlɪn sˈala
heronj	eɾon
heronjtë	hˈəɾˈˈɔint
hersiana matmuja	θɛrsiana matmuːja
hervin çuli	ɛɾviːn ʃuːliː
hesht	hæʃt
hetoj	hetɔj
hidajet	hidajət
hidhem	kiva
hidhi	kjv
hidhërohem	tʰiː˧rɔːham
hidhëroj	hˈiðˈɔɹəv
hienë	tʃiːtˈu
hije	fˈiːr
himara	imˈaɾˈɑ
himarë	hˈimˈɑɹd
hip	çiːp
hipi	tipi
hipnoza	kibnɔzɑ
hipoteza	ipoteza
hir	hˈɪɹd
hiri	hˈɪl
hirtë	hˈirtˈæ
histori	histoɾj
historia	ist̪oɾia
hithër	hˈiθɚ
hodha	ho˩˥ːva˥˩ː
hodhi	ho˩˥ːldi˩˥ːm
holandë	hˈɑlˈand
hollë	hɔːl
horizont	aˈtˈe
hotel	hˈɔtˈɛl
hoteli	hoˈtɛli
hov	hoːv
hoxha	hodʒa
huaj	hwˈaɪ
humb	fum
humbasim	unbasim
humbe	hˈumbˈe
humbet	huːnbət
humbim	humbim
humbje	huŋbjɛ
humbjen	humbjɛn
humbur	hˈumbˈuːr
humbëm	hˈumbəm
humnerë	fɔːmˈɛɹ
hundë	hˈʊnt
hungarez	unɣəɾɑs
hungari	unha
hurma	hulmˈa
hyj	hˈy
hyjmë	hˈʉm
hymni i flamurit	hˈʉmni ˈiː flamurˌɪt
hyn	hˈyn
hyr	fˈɚ
hyri	igtjɪlˌiːm
hyrja	hˈʉlia
hyrje	fyrlø
hysh	hɵʃ
hëna	hɤla
hënë	ˈɑn
hënën	hɑːnən
i	iː
i afatshkurtër	ɪjafat ʃkʊltaj
i butë	ibˈut
i ikuri dhe i vdekuri harrohen shpejt	iː ˈɛvvə dˈɛɹɪ ˈeɪ ˈɑɹəl ənd speɪtˈɛ
i lagësht	ulɒv bˈuʃt
i lindur	jˈˈlindˌuːˈɾ
i lëshuan mendtë në fushë mbret, sekush mori mendjen e vet.	ilɛ ʃuan mɛnd nø fʉʃ mbɾɛt sɛ kuʃ mɑr ɛ j mɛnd jnɛ ʋɛt
i madhe	imau
i marri kur hesht, s'është i marrë.	jmari kuiɾi heʃt sə ʃtimar
i mbyllur	imbi oluɾ
i mençur	i með̞ʃo
i mençuri e kupton vetë.	imanʒu lije guptɔn vɛt
i pastër	iː pˈæstɚ
i shkurtër	ˈis kˈuɾtər
i zgjuar	es eʒiwˈaɾðə
ideja	idˈeja
identifikoj	idˈɛntɪfikoj
idhull	izʊɫ
idiote	idjote
idriz voca	idrʲiz vɔtsa
igli	igle
igli tare	jgliːtaːrə
iguana	igwana
iki	ikː
ikin	iːkən
iku	ikoɯ
iku nga shiu e ra në breshër.	i kˈom gˈasʃˌiʊ ɛɾˈa nʊ pɹˈeɪsʊ
iku nga tymi e ra në zjarr.	iː kunˈgatːyːmˈi eːrranːˌɔzijar
ilaçe	nɛlatʃe
iliaz bazda	iljaːs baːzda
ilion lika	ɛ liːˈon lˈika
ilir kazaferi	la ljkɐ zafˈɛɾi
ilir kazeferi	ilˈiɹ kˌɐzɨfɛɾɪʊ
ilir muhametaj	iliːl muhameːtai
ilirida	ilrˈida
illyrian	ːliːɖiːaːn
im	imˈ
imaginoj	imˌaʒinˈõj
imagjinoj	imˌɐdinˈɔj
ime	iːmæ
imeri	imˈeɪɹi
imi	imj
imitoj	imitˈoj
imja	imja
imponoj	imponoi
importoj	imˌpɔɾtʊˈɐ̃i
imzot	imzɑt
ina gjini	inaʄini
ina memelli	ina me̞ mæ̹lɪd
inatosur	nʲatʊʊsɔɹt
incizoj	intʃɪˈzɔj
indinjohem	ˈɪndɪnjˈɔɹhˈɛm
indinjoj	ɪnˈdiːɲɔj
individ	inˈdˈivˈid
industriali	ɪnˈdˈʊztˈɾˈialˈɪ
informohem	jɛnformɔɦem
informoj	ɪnfˈɔɹmˈɔj
infrastruktura	infɾast̪ɾwkt̪wɾa
injoroj	iɲɔroj
inspektor	nˈɪspəktˈoːr
integrale	integrˈale
interesant	intˈɛrɛsant
interesante	interessante
interesi	inteˈrˈesˈsi
interesohem	intɛrɛsɔgə
internet	ˈintɚnˌɛt
interpretoj	intˌeɾpɹɨtˈoɪ
inva mula	invalmula
investoj	investoi
inxhinier	ˌiŋdʒənˈiɹ
ironia	jˈɾˈɔnia
isa mustafa	ɪ saːmu stafɑ
ish	iʃ
isha	ˈiʃa
ishte e shijshme	ist̪e e̞ʃiʃme
ishull	ˈiʃuɭ
islam	ɪslˈɑm
islandez	jslondels
ismail kadare	ismaʔil qɑdɑrɛ
itali	italii
italian	italiˈan
italiane	italjˈane
italisht	italiʃs
izmir smajlaj	ˈɪzmiə smˈaɪlˌaɪ
izraelit	izrˈaelˈit
i̇smail	ɪsmajl
jabllanica	jˈabɫanʲitsa
jabllanicë	nʲabɫanʲits
jahmir hyka	jɑːmiːɾˈ yːkˈɑ
jam	jɑm
janaq paço	janaʃ patʂo
janar	janˈ˩aːr˥˩
jani çekixhi	jɑnitʃɛ kiʄi
janë	jˈɑːn
jap	jˈɑːp
japim	ja˥˩pim
japoni	japoni
jasemi	jˈɑːsˈɛmˈi
jashari	ʝˈeːʃaːɾiːdt
jashtë	jaʃt
jashtë valles dinë të gjithë të kërcejnë .	jɑʒd waˈles dɪntɛdʒistɪ kɛrtsɛjn
jasin	jɑsin
jastragaç	njɛztragatɕ
java	java
javë	jav
javën	javɛn
javës	javɛs
je	jˈe
jehonë	jæhɔn
jelek	jeˈlæk
jemi	ɪeːmji
jeni	ɛnni
jenë	jˈɛn
jepte	etʃta
jeshile	jeʃile
jessica kasemi	dʒɛsˈika kaːsɛjɛmi
jeta	jɛta
jeta ime	jɛta imɛ
jeta mehmeti	kara tiam mehmeh si
jeta shkurti	jet aʃkʊɾtjl
jetmir	jˈɛtmiːr
jetmir metaj	jɛtmiːr mæːtˈaɪ
jetmira dusha	jɛtmjɛɫa duˈʃa
jetoj	akompano
jetoni	jɛtɔnɛ
jetë	et
jetën	ʲæːˈtæn
jetët	je˩˥ːtɔt
jezus	jɛzus
ji	ʒe
jo	dˌiːzə
jona	jona
jona rexha	ɟʝona rexa
jonida bare	jˈoni dˈa barˈɛ
jonis	ionis
jonë	ɛanɑ
jorgan	xoɾgən
jorida meta	io lida metad
jorke broka	ɛorke broka
jozefina luci	ɛʊzefjna lʊtsi
ju	lɛːw˧
ju faleminderit	ju faɫimɪn ðeːɾj
ju flisni	juɫʲisnɨ
ju kuptoni	jˈʊk ˈɔptuɔni
ju lexoni	iu le donni
ju lutem	jʊlɛtɛm
juaj	ʐuˈaɪ
juaji	jˈuˈɑi
jug	ljug
jugosllavi	jugoʂlɑvij
jugut	juːgʊd
julian canameti	juliand sa nam titi
julian deda	ʒuli anta m
juliana pasha	juliana paʃa
julka gramo	julka gramo
junik	junik
jupiteri	iupitellɨ
jurgen caka	jùrgʲæn sàːkâ
ka	kaː
ka shumë kohë që s'jemi parë	kˈaʃu mkˈɔʁ dʒˈə- sɛmˈi pˈɛʁ
kacavarem	kaːtˢsavaːɾam
kadaif	kadaʲif
kafe	kafɛ
kafeina	kapˈeːiːnˈa
kafkë	kau̯
kafsha	kafʃa
kafshoj	tafˈʃɒj
kafshë	kafʃ
kafshët	kafʃɨt
kah	tska
kajsi	aisi
kakarriq	kakarjtʃ
kaki	kakʲi
kaktusi	kaktuʂi
kala	tʰælæm
kalaja e gjirokastrës	kˈalaˈjˈa dˈi rokaˈstɾas
kalendar	kˌɑləndˈɑːɾ
kali	kali
kalit	kˈalit
kallami	kalaːmi
kallëzoj	kalzoj
kaloj	kaloi
kalorës	kalores
kalova	kalova
kalova lumin, të dhjefsha kalin!	kalovale lumj tə ðjɛvʃakal
kalova lumin, të dhjefsha kalin.	ka˥˩ː lo˥˩ː wa˥˩ː lumi˥˩ː tɔdjɛvʃakali
kalove	kalove
kaluarën	kaluaɾlən
kalë	kˈaɪl
kalë-fuqi	kaːrfuːʃiːr
kalëroj	kalʁɔːl
kam	kɒm
kamban	tampan
kamelja	naˈmˈɛglia
kamenicë	kamenits
kamera	kämera
kamerat	kalmeɾat
kamion	kamˈion
kamp	kɑːmp
kampion	kampion
kamza	kamza
kamëz	kamas
kanarinë	kanaɾin
kangur	kanguɾt
kanuni	kanuni
kap	kɑːp
kapa	kapa
kapak	kɑpak
kapele	kapˈɛle
kapelet	kapɛlɛt
kapem	skapɛ
kapeni	kapene
kapi	kaːpi
kapin	kapin
kapuçi	kaputʃɨ
kapërcej	kapɾetsˈei
karajfili	kaːrifiːli
karamele	karameːlˈe
karamelet	kˈɑːrlamˈeːlt
karikatura	kaɾikatˈuɾa
karikaturat	karikatˈuːrad
karotë	kaɾot
karrige	karige
karrota	karɔta
karton	kartoŋ
kastravec	kastravʲæts
kastriot dermaku	kastriots internatsia rmaku
kastrioti	kastriˈoti
kastriotët	kastriːɔtɔt
kat	kat
katandis	kat̪ent̪ð̞is
katedrale	katedrˈale
katedralet	katədɾˈalet
katet	kaːtˈet
kati	kati
katër	kak̝ak
katërmbëdhjetë	kaːtunbəðijaːt
katërt	katɛrt
kau plak e bën brazdën të drejtë.	kau pla kai pam plasɨnu tut rɛjt
kavaja	kavaja
kavajë	kavaj
kaçanik	katʃaˈn
kaçkavall	katʃkavaɫ
keidi bare	kˈaɪ dˈi bˈɑːr
kelmendi	kelkaiel
keq	kẽ̞n̪t̪ʃ
keqja	kejtʃjɒn
keqësoj	kˈetʃsˈɔj
kesaj	ksajˀː
kikirikë	kikːeɾeki
kinema	kinemɛm
kinematika	kinematika
kinez	kines
kini	kini
kinë	kɪn
kisha	kˈiʃɑ
kishat	kʲiːʃat
kishë	kʲiʃ
kitarë	kɨtˈaɾdʊ
kjara hokja	kjˈɑːr ˈɑːʊjˈɑ
kjo	kjo
klajdi musabelliu	klajdi musabilio
klara shehu	klar la ʃero
klasë	klˈas
klaudius	klaʊtius
klaus	klaus
klea huta	klˈɛna xˈuta
klea vlashi	klʲea βlʲaʃʲi
kleton perntreou	kleton pentrio
klima	klima
klinë	klean
kliti roshi	pliti roʃi
klodiana keco	klodiana aːkɛtsˈo
klosi	kloski
klubi	lˈubi
koala	koala
koalë	koˈal
kockë	koˈnskˈ
kodi	ko˩˥ːdi
kodin	kodˈin
kodër	kɔːdər
koha	kaha
koheve	kɔɦvɛ
kohë	ˈɔ
kohë pa folur	kˈɔpa fˈɑːlˈʊr
kohë pa u parë	kʰoːp˥aːfˌar
kohësh	kɔɦɔs
koja	kˈɔja
koka	kɔka
kokoreci	kokoratsʲi
koks	ks
kokë	kɔk
kokë e këmbë	kˈɑk ə kæmp
kokërr	koːkːøːr
kokës	kɔkɔs
kolaudoj	kolaudoj
kolegj	kɔlˈeʒ
koll	kɔ̃wˈ
kolltuk	lˈtˈuk
kolonel	kɔlɔnɛl
komandanti	komandantˈi
komandoj	komandˈoj
kombinoj	kompanoi
kombësi	kompostˈi
kombëtare	kompˈtarˈlˈɾˈɑ
kombëtarja shqiptare e futbollit	kə bətˈɑɹia ʃɪft taɾˈif fˈoːtbˈɑl
kometa	kometˈɑ
komodinë	kˈomodiːn
kompani	kompanj
kompania	kampɐnia
kompaninë	komponin
kompanisë	kompanˈiʃ
kompensoj	kompessoj
kompiloj	kompiloi
kompjuter	kompjˈutɚ
komplet	komplˈɛt
komplikuar	komplikuaɾ
kompozoj	kompozoi
komprometoj	kɔmprʊmentɔj
komunikoj	kˌomˌʊnɪkˈɔj
konfiskoj	kɔnfiskɔj
konispoli	konnispɔlɪ
konsideroj	konsiderˈˈoɪ
konsumoj	konsumɔj
kontakt	kɔntˈakt
konteshë	kontɛz
kontinent	kont̪inənt
kontraktoj	kontraktɔj
kontratë	kontraːt
kontribuoj	kˌontɹibʊˈɔj
kontroll	kontrˈoʎ
kontrollit	kontroːvˈɪt
kontrollo	kontrolo
kontrolloj	kɔntɾulɔj
kontrollojmë	tɾˌulˈoɪm
kontrollon	kontrolon
kontrolloni	kontrolo˩˥ːni˩˥ː
konvertoj	konveɾt̪ɔj
koper	kɒpˈɾˈ
kopje	kɔpjɛ
kopjoj	kɔpjɔj
kopliku	koːpliːku
kopsht	kɔpʃt
kopsit	kɔpsiːt
kopër	kɔpɚ
koqe	kɔɛtʃe
korb	kɔrb
kordë	kɒːɾˈt
korrigjoj	kˈorɪdʒˈɔj
korrik	kɔrik
korruptoj	kɔrˈuːptɔj
korça	kɔrtʃɑ
korçë	kˈɔɹtʃ
kosova	kɔssova
kosovare asllani	ko˥˩ːsɔvore ɑsɫɔn
kosovë	kɒsˈɒ
kosta rika	kɔsta rika
kostallari	kustalaːri
kostum	kostum
kot	kɑt
kotele	kotˈɛlˈlˈe
kozmologjia	kozmologia
kozmos	koˈzmos
koçi xoxe	kɔtʃiːd zɔdzɛ
kraharor	klˈahˈaʊhˈɔɹl
krahasoj	kɾɑːsɑːriː
krahë	skrˈa
krahët	klarad
krasniqi	krasniːtʃi
krasta	kraːsta
kreh	kræ
krejtësisht	kɾɛjtɛsˈiʃt
krekosem	kɾɛkɔsɛm
krem	kɾˈɛm
kremi	krimi
kremit	kɾɛjmiːt
kremra	kremra
kremtoj	krmtoj
krenar	kɾˈɛnˈɑl
krenare	klˈɛnˈarˈlˈɛ
krevat	krɛvaːt
krihem	kriːhem
krijoj	krioj
krikëll	kɾikɔ
krim	kɹˈim
kriminel	krimiːnˈɛl
kriminologjia	kriminolodʒia
krimit	krimit
krip	xrip
kripë	kɾip
krishtlindje	kriʃlʲindʲːe
krishtlindjen	krislinˈdijˈɛn
krist thimjo	krist θimio
kritikoj	kɾitikɔj
