a-má	a.ˈma
comodismo	ko.mo.ˈdʒiz.mʊ
comoditização	ko.mo.dʒi.tʃi.za.ˈsãʊ̃
comodo	ko.ˈmɔ.dʊ
comodoro	ko.mo.ˈdɔ.ɾʊ
comorbidade	ko.moɣ.bi.ˈda.dʒɪ
comores	ko.ˈmo.ɾɪs
comorim	ko.mo.ˈɾĩ
comoros	ko.ˈmɔ.ɾʊs
comos	ˈkɔ.mʊs
comosa	ko.ˈmɔ.zə
comovente	ko.mo.ˈvẽ.tʃɪ
comover	ko.mo.ˈvex
comoveu	ko.mo.ˈvew
comovida	ko.mo.ˈvi.də
comovido	ko.mo.ˈvi.dʊ
comovidos	ko.mo.ˈvi.dʊs
comoção	ko.mo.ˈsãʊ̃
comoções	ko.mo.ˈsõỹs
comoé	ko.mu.ˈɛ
compacidade	kõ.pa.si.ˈda.dʒɪ
compacta	kõ.ˈpak.tə
compactada	kõ.pak.ˈta.də
compactadas	kõ.pak.ˈta.dəs
compactado	kõ.pak.ˈta.dʊ
compactador	kõ.pak.tʃa.ˈdox
compactadores	kõ.pak.ta.ˈdo.ɾɪs
compactados	kõ.pak.ˈta.dʊs
compactamente	kõ.pak.ta.ˈmẽ.tʃɪ
compactar	kõ.pak.ˈtax
compactas	kõ.ˈpak.təs
compactação	kõ.pak.ta.ˈsãʊ̃
compacto	kõ.ˈpak.tʊ
compactos	kõ.ˈpak.tʊs
compactuando	kõ.pak.tu.ˈã.dʊ
compactuar	kõ.pak.tu.ˈax
compadeceu	kõ.pa.de.ˈsew
compadecida	kõ.pa.de.ˈsi.də
compadecido	kõ.pa.de.ˈsi.dʊ
compadres	kõ.ˈpa.dɾɪs
compadrio	kõ.pa.ˈdɾi.ʊ
compaixão	kõ.pay.ˈʃãʊ̃
compal	kõ.ˈpaw
companha	kõ.ˈpã.ɲə
companhas	kõ.ˈpã.ɲəs
companheira	kõ.pã.ˈɲey.ɾə
companheiras	kõ.pã.ˈɲey.ɾəs
companheirismo	kõ.pã.ɲey.ˈɾiz.mʊ
companheiro	kõ.pã.ˈɲey.ɾʊ
companheiros	kõ.pã.ˈɲey.ɾʊs
companhias	kõ.pã.ˈɲi.əs
compania	kõ.pa.ˈni.ə
companias	kõ.pa.ˈni.əs
compaoré	kõ.pa.o.ˈɾɛ
compar	kõ.ˈpax
comparabilidade	kõ.pa.ɾə.bi.li.ˈda.dʒɪ
comparada	kõ.pa.ˈɾa.də
comparadas	kõ.pa.ˈɾa.dəs
comparado	kõ.pa.ˈɾa.dʊ
comparador	kõ.pa.ɾa.ˈdox
comparados	kõ.pa.ˈɾa.dʊs
comparam	kõ.ˈpa.ɾãʊ̃
comparamos	kõ.pa.ˈɾã.mʊs
comparando	kõ.pa.ˈɾã.dʊ
comparando-as	kõ.pa.ɾã.ˈdo.əs
comparando-os	kõ.pa.ɾã.ˈdo.ʊs
comparar	kõ.pa.ˈɾax
compararam	kõ.pa.ˈɾa.ɾãʊ̃
compararem	kõ.pa.ˈɾa.ɾẽỹ
compararmos	kõ.pa.ˈɾaɣ.mʊs
comparatistas	kõ.pa.ɾa.ˈtʃis.təs
comparativa	kõ.pa.ɾa.ˈtʃi.və
comparativamente	kõ.pa.ɾa.tʃi.va.ˈmẽ.tʃɪ
comparativas	kõ.pa.ɾa.ˈtʃi.vəs
comparativos	kõ.pa.ɾa.ˈtʃi.vʊs
comparava	kõ.pa.ˈɾa.və
comparavam	kõ.pa.ˈɾa.vãʊ̃
comparação	kõ.pa.ɾa.ˈsãʊ̃
comparações	kõ.pa.ɾa.ˈsõỹs
comparecem	kõ.pa.ˈɾɛ.sẽỹ
comparecendo	kõ.pa.ɾi.ˈsẽ.dʊ
comparecer	kõ.pa.ɾe.ˈsex
compareceram	kõ.pa.ɾe.ˈse.ɾãʊ̃
comparecerem	kõ.pa.ɾe.ˈse.ɾẽỹ
comparecessem	kõ.pa.ɾe.ˈsɛ.sẽỹ
compareceu	kõ.pa.ɾe.ˈsew
comparecia	kõ.pa.ɾi.ˈsi.ə
compareciam	kõ.pa.ɾe.ˈsi.ãʊ̃
comparecido	kõ.pa.ɾe.ˈsi.dʊ
comparecimento	kõ.pa.ɾe.si.ˈmẽ.tʊ
comparem	kõ.ˈpa.ɾẽỹ
compares	kõ.ˈpa.ɾɪs
comparou	kõ.pa.ˈɾow
comparsa	kõ.ˈpax.sə
comparsaria	kõ.pax.sa.ˈɾi.ə
comparsas	kõ.ˈpax.səs
comparticipação	kõ.pax.tʃi.si.pa.ˈsãʊ̃
compartilha	kõ.pax.ˈtʃi.ʎə
compartilhada	kõ.pax.tʃi.ˈʎa.də
compartilhadas	kõ.pax.tʃi.ˈʎa.dəs
compartilhado	kõ.pax.tʃi.ˈʎa.dʊ
compartilhador	kõ.pax.tʃi.ʎa.ˈdox
compartilhados	kõ.pax.tʃi.ˈʎa.dʊs
compartilham	kõ.pax.ˈtʃi.ʎãʊ̃
compartilhamento	kõ.pax.tʃi.ʎa.ˈmẽ.tʊ
compartilhamentos	kõ.pax.tʃi.ʎa.ˈmẽ.tʊs
compartilhamos	kõ.pax.tʃi.ˈʎã.mʊs
compartilhando	kõ.pax.tʃi.ˈʎã.dʊ
compartilhar	kõ.pax.tʃi.ˈʎax
compartilharam	kõ.pax.tʃi.ˈʎa.ɾãʊ̃
compartilharem	kõ.pax.tʃi.ˈʎa.ɾẽỹ
compartilharão	kõ.pax.tʃi.ʎa.ˈɾãʊ̃
compartilhassem	kõ.pax.tʃi.ˈʎa.sẽỹ
compartilhava	kõ.pax.tʃi.ˈʎa.və
compartilhavam	kõ.pax.tʃi.ˈʎa.vãʊ̃
compartilhou	kõ.pax.tʃi.ˈʎow
compartimentada	kõ.pax.tʃi.mẽ.ˈta.də
compartimentado	kõ.pax.tʃi.mẽ.ˈta.dʊ
compartimentados	kõ.pax.tʃi.mẽ.ˈta.dʊs
compartimental	kõ.pax.tʃi.mẽ.ˈtaw
compartimentação	kõ.pax.tʃi.mẽ.ta.ˈsãʊ̃
compartimento	kõ.pax.tʃi.ˈmẽ.tʊ
compartimentos	kõ.pax.tʃi.ˈmẽ.tʊs
compará-las	kõ.pa.ˈɾa.ləs
compará-los	kõ.pa.ˈɾa.lʊs
comparável	kõ.pa.ˈɾa.vew
comparência	kõ.pa.ˈɾẽ.si.ə
compas	ˈkõ.pəs
compassado	kõ.pa.ˈsa.dʊ
compassiva	kõ.pa.ˈsi.və
compassos	kõ.ˈpa.sʊs
compatibilidade	kõ.pa.tʃi.bi.li.ˈda.dʒɪ
compatibilismo	kõ.pa.tʃi.bi.ˈliz.mʊ
compatibilistas	kõ.pa.tʃi.bi.ˈlis.təs
compatibiliza	kõ.pa.tʃi.bi.ˈli.zə
compatibilizar	kõ.pa.tʃi.bi.li.ˈzax
compatibilização	kõ.pa.tʃi.bi.li.za.ˈsãʊ̃
compativel	kõ.pa.tʃi.ˈvew
compatriotas	kõ.pa.tɾi.ˈɔ.təs
compatível	kõ.pa.ˈti.vew
compelida	kõ.pe.ˈli.də
compelidas	kõ.pe.ˈli.dəs
compelido	kõ.pe.ˈli.dʊ
compelidos	kõ.pe.ˈli.dʊs
compelindo	kõ.pe.ˈlĩ.dʊ
compeliu	kõ.pe.ˈliw
compendio	kõ.pẽ.ˈdʒi.ʊ
compensa	kõ.ˈpẽ.sə
compensada	kõ.pẽ.ˈsa.də
compensadas	kõ.pẽ.ˈsa.dəs
compensado	kõ.pẽ.ˈsa.dʊ
compensador	kõ.pẽ.sa.ˈdox
compensadores	kõ.pẽ.sa.ˈdo.ɾɪs
compensados	kõ.pẽ.ˈsa.dʊs
compensam	kõ.ˈpẽ.sãʊ̃
compensando	kõ.pẽ.ˈsã.dʊ
compensar	kõ.pẽ.ˈsax
compensaram	kõ.pẽ.ˈsa.ɾãʊ̃
compensatória	kõ.pẽ.sa.ˈtɔ.ɾi.ə
compensatórias	kõ.pẽ.sa.ˈtɔ.ɾi.əs
compensatório	kõ.pẽ.sa.ˈtɔ.ɾi.ʊ
compensatórios	kõ.pẽ.sa.ˈtɔ.ɾi.ʊs
compensava	kõ.pẽ.ˈsa.və
compensação	kõ.pẽ.sa.ˈsãʊ̃
compensações	kõ.pẽ.sa.ˈsõỹs
compensou	kõ.pẽ.ˈsɔw
compensão	kõ.pẽ.ˈsãʊ̃
compersão	kõ.pex.ˈsãʊ̃
compesa	kõ.ˈpe.zə
compete	kõ.ˈpɛ.tʃɪ
competem	kõ.ˈpɛ.tẽỹ
competencia	kõ.pe.tẽ.ˈsi.ə
competente	kõ.pɛ.ˈtẽ.tʃɪ
competentemente	kõ.pe.tẽ.tʃɛ.ˈmẽ.tʃɪ
competiam	kõ.pi.ˈtʃi.ãʊ̃
competicão	kõ.pe.tʃi.ˈkãʊ̃
competido	kõ.pe.ˈtʃi.dʊ
competidor	kõ.pe.tʃi.ˈdox
competidora	kõ.pe.tʃi.ˈdo.ɾə
competidoras	kõ.pe.tʃi.ˈdo.ɾəs
competidores	kõ.pe.tʃi.ˈdo.ɾɪs
competindo	kõ.pe.ˈtʃĩ.dʊ
competiram	kõ.pe.ˈtʃi.ɾãʊ̃
competirem	kõ.pe.ˈtʃi.ɾẽỹ
competiria	kõ.pe.tʃi.ˈɾi.ə
competiriam	kõ.pe.tʃi.ˈɾi.ãʊ̃
competirá	kõ.pe.tʃi.ˈɾa
competirão	kõ.pe.tʃi.ˈɾãʊ̃
competissem	kõ.pe.ˈtʃi.sẽỹ
competitiva	kõ.pe.tʃi.ˈtʃi.və
competitivamente	kõ.pe.tʃi.tʃi.va.ˈmẽ.tʃɪ
competitivas	kõ.pe.tʃi.ˈtʃi.vəs
competitividade	kõ.pe.tʃi.tʃi.vi.ˈda.dʒɪ
competitivos	kõ.pe.tʃi.ˈtʃi.vʊs
competitor	kõ.pe.tʃi.ˈtox
competiu	kõ.pe.ˈtʃiw
competividade	kõ.pe.tʃi.vi.ˈda.dʒɪ
competição	kõ.pe.tʃi.ˈsãʊ̃
competições	kõ.pe.tʃi.ˈsõỹs
competência	kõ.pe.ˈtẽ.si.ə
competências	kõ.pe.ˈtẽ.si.əs
compila	kõ.ˈpi.lə
compilada	kõ.pi.ˈla.də
compiladas	kõ.pi.ˈla.dəs
compilado	kõ.pi.ˈla.dʊ
compilador	kõ.pi.la.ˈdox
compiladores	kõ.pi.la.ˈdo.ɾɪs
compilados	kõ.pi.ˈla.dʊs
compilam	kõ.ˈpi.lãʊ̃
compilando	kõ.pi.ˈlã.dʊ
compilar	kõ.pi.ˈlax
compilaram	kõ.pi.ˈla.ɾãʊ̃
compilava	kõ.pi.ˈla.və
compilação	kõ.pi.la.ˈsãʊ̃
compilações	kõ.pi.la.ˈsõỹs
compilou	kõ.pi.ˈlow
compiz	kõ.ˈpis
complacente	kõ.pla.ˈsẽ.tʃɪ
complacência	kõ.pla.ˈsẽ.si.ə
compleição	kõ.pley.ˈsãʊ̃
complejo	kõ.ˈple.ʒʊ
complementa	kõ.ple.ˈmẽ.tə
complementada	kõ.ple.mẽ.ˈta.də
complementadas	kõ.ple.mẽ.ˈta.dəs
complementado	kõ.ple.mẽ.ˈta.dʊ
complementados	kõ.ple.mẽ.ˈta.dʊs
complementam	kõ.ple.ˈmẽ.tãʊ̃
complementando	kõ.ple.mẽ.ˈtã.dʊ
complementar	kõ.ple.mẽ.ˈtax
complementaram	kõ.ple.mẽ.ˈta.ɾãʊ̃
complementares	kõ.ple.mẽ.ˈta.ɾɪs
complementaria	kõ.ple.mẽ.ta.ˈɾi.ə
complementaridade	kõ.ple.mẽ.ta.ɾi.ˈda.dʒɪ
complementariedade	kõ.ple.mẽ.ta.ɾi.i.ˈda.dʒɪ
complementarmente	kõ.ple.mẽ.taɣ.ˈmẽ.tʃɪ
complementava	kõ.ple.mẽ.ˈta.və
complementavam	kõ.ple.mẽ.ˈta.vãʊ̃
complementação	kõ.ple.mẽ.ta.ˈsãʊ̃
complementem	kõ.plɛ.ˈmẽ.tẽỹ
complemento	kõ.ple.ˈmẽ.tʊ
complementos	kõ.ple.ˈmẽ.tʊs
complementou	kõ.ple.mẽ.ˈtow
completa	kõ.ˈplɛ.tə
completada	kõ.ple.ˈta.də
completadas	kõ.ple.ˈta.dəs
completado	kõ.ple.ˈta.dʊ
completados	kõ.ple.ˈta.dʊs
completam	kõ.ˈplɛ.tãʊ̃
completamente	kõ.plɛ.ta.ˈmẽ.tʃɪ
completamento	kõ.plɛ.ta.ˈmẽ.tʊ
completando	kõ.ple.ˈtã.dʊ
completar	kõ.ple.ˈtax
completaram	kõ.ple.ˈta.ɾãʊ̃
completarem	kõ.plɛ.ˈta.ɾẽỹ
completaria	kõ.ple.ta.ˈɾi.ə
completariam	kõ.ple.ta.ˈɾi.ãʊ̃
completará	kõ.ple.ta.ˈɾa
completas	kõ.ˈplɛ.təs
completassem	kõ.plɛ.ˈta.sẽỹ
completava	kõ.ple.ˈta.və
completavam	kõ.ple.ˈta.vãʊ̃
completação	kõ.ple.ta.ˈsãʊ̃
completem	kõ.ˈplɛ.tẽỹ
completeza	kõ.ple.ˈte.zə
completo	kõ.ˈplɛ.tʊ
completos	kõ.ˈplɛ.tʊs
completou	kõ.ple.ˈtow
complexa	kõ.ˈplɛ.ksə
complexamente	kõ.plɛ.ksa.ˈmẽ.tʃɪ
complexação	kõ.ple.ksa.ˈsãʊ̃
complexidade	kõ.ple.ksi.ˈda.dʒɪ
complexificação	kõ.ple.ksi.fi.ka.ˈsãʊ̃
complexo	kõ.ˈplɛk.sʊ
complexométrico	kõ.ple.kso.ˈmɛ.tɾi.kʊ
complexos	kõ.ˈplɛ.ksʊs
compliação	kõ.pli.a.ˈsãʊ̃
complica	kõ.ˈpli.kə
complicada	kõ.pli.ˈka.də
complicadas	kõ.pli.ˈka.dəs
complicado	kõ.pli.ˈka.dʊ
complicador	kõ.pli.ka.ˈdox
complicados	kõ.pli.ˈka.dʊs
complicam	kõ.ˈpli.kãʊ̃
complicando	kõ.pli.ˈkã.dʊ
complicar	kõ.pli.ˈkax
complicaram	kõ.pli.ˈka.ɾãʊ̃
complicaria	kõ.pli.ka.ˈɾi.ə
complicava	kõ.pli.ˈka.və
complicação	kõ.pli.ka.ˈsãʊ̃
complicações	kõ.pli.ka.ˈsõỹs
complicou	kõ.pli.ˈkow
complôs	kõ.ˈplos
compoem	kõ.ˈpo.ẽỹ
compondo	kõ.ˈpõ.dʊ
componente	kõ.po.ˈnẽ.tʃɪ
componha	kõ.ˈpõ.ɲə
compor	kõ.ˈpox
comporam	kõ.ˈpɔ.ɾãʊ̃
comporem	kõ.ˈpɔ.ɾẽỹ
comporia	kõ.po.ˈɾi.ə
comporiam	kõ.po.ˈɾi.ãʊ̃
comporta	kõ.ˈpox.tə
comportada	kõ.pox.ˈta.də
comportadas	kõ.pox.ˈta.dəs
comportado	kõ.pox.ˈta.dʊ
comportados	kõ.pox.ˈta.dʊs
comportam	kõ.ˈpox.tãʊ̃
comportamental	kõ.pox.ta.mẽ.ˈtaw
comportamentalismo	kõ.pox.ta.mẽ.ta.ˈliz.mʊ
comportamentalista	kõ.pox.ta.mẽ.ta.ˈlis.tə
comportamentalistas	kõ.pox.ta.mẽ.ta.ˈlis.təs
comportamentalmente	kõ.pox.ta.mẽ.taw.ˈmẽ.tʃɪ
comportamentismo	kõ.pox.ta.mẽ.ˈtʃiz.mʊ
comportamento	kõ.pox.ta.ˈmẽ.tʊ
comportamentos	kõ.pox.ta.ˈmẽ.tʊs
comportando	kõ.pox.ˈtã.dʊ
comportar	kõ.pox.ˈtax
comportaram	kõ.pox.ˈta.ɾãʊ̃
comportarem	kõ.pox.ˈta.ɾẽỹ
comportaria	kõ.pox.ta.ˈɾi.ə
comportará	kõ.pox.ta.ˈɾa
comportas	kõ.ˈpox.təs
comportava	kõ.pox.ˈta.və
comportavam	kõ.pox.ˈta.vãʊ̃
comportem	kõ.ˈpox.tẽỹ
comportou	kõ.pox.ˈtow
comporão	kõ.po.ˈɾãʊ̃
compos	ˈkõ.pʊs
composicional	kõ.po.zi.si.o.ˈnaw
compositiva	kõ.po.zi.ˈtʃi.və
compositivas	kõ.po.zi.ˈtʃi.vəs
compositivos	kõ.po.zi.ˈtʃi.vʊs
compositor	kõ.po.zi.ˈtox
compositora	kõ.po.zi.ˈto.ɾə
compositoras	kõ.po.zi.ˈto.ɾəs
compositores	kõ.po.zi.ˈto.ɾɪs
composição	kõ.po.zi.ˈsãʊ̃
composições	kõ.po.zi.ˈsõỹs
composta	kõ.ˈpɔs.tə
compostagem	kõ.pos.ˈta.gẽỹ
compostas	kõ.ˈpos.təs
compostela	kõ.pos.ˈte.lə
compostelana	kõ.pos.te.ˈlã.nə
compostelanos	kõ.pos.tʃe.ˈlã.nʊs
compostos	kõ.ˈpos.tʊs
compostura	kõ.pos.ˈtu.ɾə
compotas	kõ.ˈpo.təs
compra	ˈkõ.pɾə
comprada	kõ.ˈpɾa.də
compradas	kõ.ˈpɾa.dəs
comprado	kõ.ˈpɾa.dʊ
comprador	kõ.pɾa.ˈdox
compradoras	kõ.pɾa.ˈdo.ɾəs
compradores	kõ.pɾa.ˈdo.ɾɪs
comprados	kõ.ˈpɾa.dʊs
compram	ˈkõ.pɾãʊ̃
compramos	kõ.ˈpɾã.mʊs
comprando	kõ.ˈpɾã.dʊ
comprar	kõ.ˈpɾax
compraram	kõ.ˈpɾa.ɾãʊ̃
comprarem	kõ.ˈpɾa.ɾẽỹ
compraria	kõ.pɾa.ˈɾi.ə
comprariam	kõ.pɾa.ˈɾi.ãʊ̃
comprará	kõ.pɾa.ˈɾa
compras	ˈkõ.pɾəs
comprassem	kõ.ˈpɾa.sẽỹ
comprava	kõ.ˈpɾa.və
compravam	kõ.ˈpɾa.vãʊ̃
comprebem	kõ.ˈpɾɛ.bẽỹ
compreenda	kõ.pɾe.ˈẽ.də
compreendam	kõ.pɾe.ˈẽ.dãʊ̃
compreendem	kõ.pɾe.ˈẽ.dẽỹ
compreendemos	kõ.pɾɪ.ẽ.ˈdẽ.mʊs
compreendendo	kõ.pɾɪ.ẽ.ˈdẽ.dʊ
compreendera	kõ.pɾɪ.ẽ.ˈde.ɾə
compreenderam	kõ.pɾɪ.ẽ.ˈde.ɾãʊ̃
compreenderem	kõ.pɾɪ.ẽ.ˈde.ɾẽỹ
compreenderia	kõ.pɾɪ.ẽ.de.ˈɾi.ə
compreenderiam	kõ.pɾɪ.ẽ.de.ˈɾi.ãʊ̃
compreendermos	kõ.pɾi.ẽ.ˈdeɣ.mʊs
compreenderá	kõ.pɾɪ.ẽ.de.ˈɾa
compreendessem	kõ.pɾɪ.ẽ.ˈdɛ.sẽỹ
compreendia	kõ.pɾɪ.ẽ.ˈdʒi.ə
compreendiam	kõ.pɾɪ.ẽ.ˈdʒi.ãʊ̃
compreendida	kõ.pɾɪ.ẽ.ˈdʒi.də
compreendidas	kõ.pɾɪ.ẽ.ˈdʒi.dəs
compreendido	kõ.pɾɪ.ẽ.ˈdʒi.dʊ
compreendidos	kõ.pɾɪ.ẽ.ˈdʒi.dʊs
compreendimento	kõ.pɾɪ.ẽ.dʒi.ˈmẽ.tʊ
compreendo	kõ.pɾe.ˈẽ.dʊ
compreendê-las	kõ.pɾɪ.ẽ.ˈde.ləs
compreendê-los	kõ.pɾɪ.ẽ.ˈde.lʊs
compreensibilidade	kõ.pɾɪ.ẽ.si.bi.li.ˈda.dʒɪ
compreensiva	kõ.pɾɪ.ẽ.ˈsi.və
compreensivas	kõ.pɾɪ.ẽ.ˈsi.vəs
compreensivelmente	kõ.pɾɪ.ẽ.si.vew.ˈmẽ.tʃɪ
compreensivos	kõ.pɾɪ.ẽ.ˈsi.vʊs
compreensão	kõ.pɾɪ.ẽ.ˈsãʊ̃
compreensível	kõ.pɾɪ.ẽ.ˈsi.vew
compreensões	kõ.pɾɪ.ẽ.ˈsõỹs
comprem	ˈkõ.pɾẽỹ
compressas	kõ.ˈpɾe.səs
compressibilidade	kõ.pɾe.si.bi.li.ˈda.dʒɪ
compressiva	kõ.pɾe.ˈsi.və
compressor	kõ.pɾe.ˈsox
compressores	kõ.pɾe.ˈso.ɾɪs
compressão	kõ.pɾe.ˈsãʊ̃
compressível	kõ.pɾe.ˈsi.vew
compressões	kõ.pɾe.ˈsõỹs
comprida	kõ.ˈpɾi.də
compridas	kõ.ˈpɾi.dəs
comprido	kõ.ˈpɾi.dʊ
compridos	kõ.ˈpɾi.dʊs
comprimem	kõ.ˈpɾi.mẽỹ
comprimento	kõ.pɾi.ˈmẽ.tʊ
comprimentos	kõ.pɾi.ˈmẽ.tʊs
comprimida	kõ.pɾi.ˈmi.də
comprimidas	kõ.pɾi.ˈmi.dəs
comprimido	kõ.pɾi.ˈmi.dʊ
comprimidos	kõ.pɾi.ˈmi.dʊs
comprimindo	kõ.pɾi.ˈmĩ.dʊ
comprimir	kõ.pɾi.ˈmix
compro	ˈkõ.pɾʊ
comprobatória	kõ.pɾo.ba.ˈtɔ.ɾi.ə
comprobatórios	kõ.pɾo.ba.ˈtɔ.ɾi.ʊs
comprometa	kõ.pɾo.ˈme.tə
comprometam	kõ.pɾo.ˈme.tãʊ̃
compromete	kõ.pɾo.ˈmẽ.tʃɪ
comprometedor	kõ.pɾo.me.te.ˈdox
comprometedoras	kõ.pɾo.me.te.ˈdo.ɾəs
comprometedores	kõ.pɾo.me.te.ˈdo.ɾɪs
comprometem	kõ.pɾo.ˈme.tẽỹ
comprometendo	kõ.pɾo.me.ˈtẽ.dʊ
comprometera	kõ.pɾo.me.ˈte.ɾə
comprometeram	kõ.pɾo.me.ˈte.ɾãʊ̃
comprometerem	kõ.pɾo.me.ˈte.ɾẽỹ
comprometeria	kõ.pɾo.me.te.ˈɾi.ə
comprometeriam	kõ.pɾo.me.te.ˈɾi.ãʊ̃
comprometessem	kõ.pɾo.me.ˈtɛ.sẽỹ
comprometiam	kõ.pɾo.me.ˈtʃi.ãʊ̃
comprometida	kõ.pɾo.me.ˈtʃi.də
comprometidas	kõ.pɾo.me.ˈtʃi.dəs
comprometido	kõ.pɾo.me.ˈtʃi.dʊ
comprometidos	kõ.pɾo.me.ˈtʃi.dʊs
comprometimento	kõ.pɾo.me.tʃi.ˈmẽ.tʊ
comprometimentos	kõ.pɾo.me.tʃi.ˈmẽ.tʊs
compromissada	kõ.pɾo.mi.ˈsa.də
compromissadas	kõ.pɾo.mi.ˈsa.dəs
compromissado	kõ.pɾo.mi.ˈsa.dʊ
compromissados	kõ.pɾo.mi.ˈsa.dʊs
compromissos	kõ.pɾo.ˈmi.sʊs
compromissória	kõ.pɾo.mi.ˈsɔ.ɾi.ə
comprou	kõ.ˈpɾow
comprovada	kõ.pɾo.ˈva.də
comprovadamente	kõ.pɾo.va.da.ˈmẽ.tʃɪ
comprovadas	kõ.pɾo.ˈva.dəs
comprovado	kõ.pɾo.ˈva.dʊ
comprovados	kõ.pɾo.ˈva.dʊs
comprovam	kõ.ˈpɾɔ.vãʊ̃
comprovando	kõ.pɾo.ˈvã.dʊ
comprovante	kõ.pɾo.ˈvã.tʃɪ
comprovar	kõ.pɾo.ˈvax
comprovaram	kõ.pɾo.ˈva.ɾãʊ̃
comprovarem	kõ.pɾo.ˈva.ɾẽỹ
comprovaria	kõ.pɾo.va.ˈɾi.ə
comprovariam	kõ.pɾo.va.ˈɾi.ãʊ̃
comprovassem	kõ.pɾo.ˈva.sẽỹ
comprovativos	kõ.pɾo.va.ˈtʃi.vʊs
comprovava	kõ.pɾo.ˈva.və
comprovavam	kõ.pɾo.ˈva.vãʊ̃
comprovação	kõ.pɾo.va.ˈsãʊ̃
comprovações	kõ.pɾo.va.ˈsõỹs
comprovem	kõ.ˈpɾɔ.vẽỹ
comprovou	kõ.pɾo.ˈvow
comprovável	kõ.pɾo.ˈva.vew
comprá-las	kõ.ˈpɾa.ləs
comprá-los	kõ.ˈpɾa.lʊs
compta	ˈkõp.tə
compte	ˈkõp.tʃɪ
comptos	ˈkõp.tʊs
compulsiva	kõ.puw.ˈsi.və
compulsivamente	kõ.puw.si.va.ˈmẽ.tʃɪ
compulsivos	kõ.puw.ˈsi.vʊs
compulsoriamente	kõ.puw.so.ɾi.a.ˈmẽ.tʃɪ
compulsão	kõ.puw.ˈsãʊ̃
compulsória	kõ.puw.ˈsɔ.ɾi.ə
compulsórias	kõ.puw.ˈsɔ.ɾi.əs
compulsório	kõ.puw.ˈsɔ.ɾi.ʊ
compulsórios	kõ.puw.ˈsɔ.ɾi.ʊs
compulsões	kõ.puw.ˈsõỹs
compunha	kõ.ˈpũ.ɲə
compunham	kõ.ˈpũ.ɲãʊ̃
compusera	kõ.pu.ˈze.ɾə
compuseram	kõ.pu.ˈze.ɾãʊ̃
compusessem	kõ.pu.ˈzɛ.sẽỹ
computabilidade	kõ.pu.tə.bi.li.ˈda.dʒɪ
computacional	kõ.pu.ta.si.o.ˈnaw
computacionalmente	kõ.pu.ta.si.o.naw.ˈmẽ.tʃɪ
computada	kõ.pu.ˈta.də
computadas	kõ.pu.ˈta.dəs
computado	kõ.pu.ˈta.dʊ
computador	kõ.pu.ta.ˈdox
computadores	kõ.pu.ta.ˈdo.ɾɪs
computadorizada	kõ.pu.tə.do.ɾi.ˈza.də
computadorizadas	kõ.pu.tə.do.ɾi.ˈza.dəs
computadorizado	kõ.pu.tə.do.ɾi.ˈza.dʊ
computadorizados	kõ.pu.tə.do.ɾi.ˈza.dʊs
computados	kõ.pu.ˈta.dʊs
computam	kõ.ˈpu.tãʊ̃
computando	kõ.pu.ˈtã.dʊ
computar	kõ.pu.ˈtax
computação	kõ.pu.ta.ˈsãʊ̃
computações	kõ.pu.ta.ˈsõỹs
computorizada	kõ.pu.to.ɾi.ˈza.də
computável	kõ.pu.ˈta.vew
compêndio	kõ.ˈpẽ.dʒi.ʊ
compêndios	kõ.ˈpẽ.dʒi.ʊs
compósitas	kõ.ˈpɔ.zi.təs
compósitos	kõ.ˈpɔ.zi.tʊs
compôem	kõ.ˈpõ.ẽỹ
compôr	kõ.ˈpox
compôs	kõ.ˈpos
compõe	kõ.ˈpõỹ
compõem	kõ.ˈpõỹ
compões	kõ.ˈpõỹs
comumente	ko.mu.ˈmẽ.tʃɪ
comumentemente	ko.mu.mẽ.tʃi.ˈmẽ.tʃɪ
comuna	ko.ˈmũ.nə
comunal	ko.mu.ˈnaw
comunalidade	ko.mu.na.li.ˈda.dʒɪ
comunalismo	ko.mu.na.ˈliz.mʊ
comunas	ko.ˈmũ.nəs
comuneros	ko.mu.ˈne.ɾʊs
comunga	ku.ˈmũ.gə
comungam	ku.ˈmũ.gãʊ̃
comungar	ko.mũ.ˈgax
comungava	ko.mũ.ˈga.və
comunhão	ko.mũ.ˈɲãʊ̃
comunhões	ko.mũ.ˈɲõỹs
comunica	ko.mu.ˈni.kə
comunicacional	ko.mu.ni.ka.si.o.ˈnaw
comunicada	ko.mu.ni.ˈka.də
comunicadas	ko.mu.ni.ˈka.dəs
comunicado	ko.mu.ni.ˈka.dʊ
comunicador	ko.mu.ni.ka.ˈdox
comunicadora	ko.mu.ni.ka.ˈdo.ɾə
comunicadores	ko.mu.ni.ka.ˈdo.ɾɪs
comunicados	ko.mu.ni.ˈka.dʊs
comunicam	ko.mu.ˈni.kãʊ̃
comunicando	ko.mu.ni.ˈkã.dʊ
comunicante	ko.mu.ni.ˈkã.tʃɪ
comunicar	ko.mu.ni.ˈkax
comunicaram	ko.mu.ni.ˈka.ɾãʊ̃
comunicarem	ko.mu.ni.ˈka.ɾẽỹ
comunicassem	ko.mu.ni.ˈka.sẽỹ
comunicativa	ko.mu.ni.ka.ˈtʃi.və
comunicativas	ko.mu.ni.ka.ˈtʃi.vəs
comunicativos	ko.mu.ni.ka.ˈtʃi.vʊs
