! (vykřičník)	kɾˈitˈvˈ
nemáme	nɛmamɛ
nemáme moc zbytků	nɛmaːmɛ mˈot zbɪtkuː
nemáme čas	nɛ mamɛ tʃas
nemám kdy	nɛmaːmgdɪ
nemám námitky	nɛmaːmnaːmɪtki
nemám tolik strach	nɛmaːmtˈolɪxstrax
nemáte drobné?	nɛ maːtɛ drobnɛ
nemáte to v jiné barvě?	nɛmaːtɛ tˈo vˈiːnɛː barvjɛ
nemáte čas?	nɛ maːtɛ tʃas
nemáte spuštěn	nɛmaːtɛspuʃcɛːn
nemá největší	nɛmaːnɛjvɛtʃiː
nemá to konce	nɛmaːtˈokˈontsɛ
nemáš	nɛmaːʃ
nemáš důvod	nɛmaːʃ duːvɔt
nemáš velký výběr	nɛmaːʃ vɛlki viːbjɛr
nemáš zač	nˈe mˈaj sˈatʃ
nemáš špetku rozumu	nemaːʃpetkuroˈzumu
nemíním se	nˈɛmʲiːɲiːmsɛ
nemístný	nɛviːstriː
nemít hlavu ani patu	namˈiːt ɦlavu anʲi patu
neměj péči.	nɛ mnjɛ i pɛːtsj
neměl	nˈɛmɲˈal
neměl čas, tak zhltl polévku a utíkal na vlak.	nɛmɲɛːl tʃas tˈak zɦutlu polɛːfku a utiːkal na vlak
neměla	nɛmɲala
neměli	nɛmɲɛli
neměli auto	nenieli auto
neměli jsme čas	neˈmiːɛlizmɛ tʃas
neměls	nˈɛmɲaɫs
neměnný	nɛmɲɛniː
nemůže	nɛmuːʒɛ
nemůžeme	nɛmuːʒɛmɛ
nemůžeme si dovolit šlápnout vedle	nɛmuːʒɛmɛ sɪ dovol tʃlaːknout vɛdlɛ
nemůžeš pořádně dýchat	nɛmuːʒɛ ʃ por̝aːdɲɛ diːxat
nemůžeš předvídat	nɛmuːʒɛːʃ pr̝ɛdviːdat
nemůžou	nɛmuːʒou
nemůžou to si dovolit	nɛmuːʒɛ ʔu si tˈo dovolɪt
nemůžou to vidět	nɛmuːʒau tˈo viɟɛt
nemůžu	nˈəmuʒˈu
nemůžu jinak	nˈə muʒˈu jinˈak
nemůžu na to moc koukat, protože je to žrout energie	nɛmuːʒu natˈo mˈots koukat prˈotoʒɛ jɛ tˈo ʒrouc ɛnɛrgɪɛ
nemůžu na to moc koukat, protože...	nɛmuʒu na to mɔts poukat prɔtɔʒɛ
nemůžu se dočkat	nɛmuːʒu sɛ dotʃkat
nemůžu se přihlásit do programu	nɛmuːʒu sɛ pr̝ɛɦlaːsɪt do programu
nemůžu se rozhodnout	nɛmuːʒuː sɛ rozɦodɲouc
nemůžu to vysvětlit	nɛmuːʒut ɔvi sʋɛtlɪt
nemůžu vyhrát	nɛmuːʒuː vɪɦraːt
nemůžu za to	nɛ muːʒu za tɔ
nenadálý	nɛnadaːlɪ
nenahraditelný	nɛnaɦradɪtɛːlniː
nenahradí	nɛnaːɦraɟiː
nenajde	nenajðə
nenaolejuje-li	nɛnaolɛjujæli
nenapadalo	nɛnaːpadaʎo
nenapadly	napadlji
nenapodobitelný	nɛnapodobɪtɛlniː
nenapovídá	nɛnapoviːdaː
nenasytný	nɛdasɪtniː
nenasytně	nɛnasiɛtɲɛ
nenažraný	nɛnaːʒraniː
nenechal	nɛnɛxal
nenechavý	nɛlɛxavim
nenechte	nanekste
nenechá	nˈanɛxˈa
neni nutné odpovědět ihned. promyslete to.	nɛɲiː nutnɛː odpovjɛdjɛt ʔɪ ɦmɛt promɪslɛ tɛto
nenosím čepice, i když je sníh a tuhý mráz	nɛnosiːɲ tʃɛpɪtsɛ ʔɪ gdɪ jɛ snɛiːx a tˈuɦɪːm rˈaːs
nenucený	nenˈotʃɛmˈaɪ
nenudil	nˈonˈogˈɪl
nenápadnost	nɛnaːpadnɔst
nenápadný	nɛnaːpatɲiː
nenápadně	nɛnaːpadɲɛ
nenápadně mizet	nɛnaːpatɲɛmɪzɛt
nenásilnost	nɛnaːsɪlnost
nenásilný	nɛnaːsɪlniː
nenásilně	nanasɨlɲɛ
nenávidím	nɛnaːviːɟiːm
nenávidět	nɛraːvɪɟɛt
nenávist	nɛnaːvist
nenávistnost	nɛnaːvɛstnost
nenávistná láska	nɛnaːvɪsnaː laːska
nenávistný	nɛnaːvɪstiː
nenávratný	nɛnaːvratniː
nenávratně	nɛnaːvratɲɛ
není	nˈɛn
není divu	neniivˈo
není dlouhé	nɛɲiː dʎouɦɛː
není jiná možnost	nˈɛɲiː jɪnaː moʒnˈost
není tady někde řeka?	nˈɛnˈi tɛrɪ nɛgdɛ ʒˈɛt
není ti rozumět	na ɲiki rɔzumjɛt
není to	nenito
není to běžné	nɛɲiː tˈo bjɛʒnɛː
není to jenom o penězích	dɛɲiː tɨɕ jɛnɔm ɔpɛɲɛ zix
není to jenom o tom, jestli tě to baví, ale jde i o jiné věci	nɛɲiː tˈo jɛnom o tˈom jɛslɪgɛ tˈo baziː al jɪdɛ ʔɪ o jɪnaj vjɛtsɪ
není to můj šálek kávy	nɛɲiː tˈo moj ʃaːlɛk kavɪ
není to neznámé	nɛɲiː tˈo nɛznaːmɛː
není to přirozené	nɛɲiː tˈo pr̝ɪrozɛnɛː
není to upřímné	nɛɲiː tˈo prɪjiː mnɛ
není to vášeň	nɛɲiː tˈo vaːʒɛɲ
není tolik lidí, co se učí česky	nɛɲiː tolik lɪdiː tsˈo sɛ utʃiː tʃɛskɪ
není tvoje zodpovědnost dělat něco zábavného	nɛniː tvˈojɛs odpovjɛdnost dɪlat ɲɛtso zaːba avnɛːɦo
není těm problémům konec	nɛɲiː cɛm problɛːmuːm konɛts
není třeba lát a lomit rukama.	nˈɛɲiː tr̝ɛba laːt lomɪt rukˈama
není vám zima?	nɛɲiː vˈaːm zʲima
není vás slyšet!	nˈɛniː vˈaːs slɪʃɛt
není výhodné je vyměňovat	nɛɲi fiːɦɔdna jɛ vɪmjɛɲɛvac
není zač	nɛɲiː zˈatʃ
není co do huby	nɛntsodohubɪ
není co žrát	nɛntsosrˈaːt
není tam ani živáčka	nɛɲiːtˈamaɲɪʒivaːtʃka
neobhospodařovávatelných	nɛobɦospodarofaːvatɛlniːx
neoblomný	nɛoblomniː
neobratný	nɛobratniː
neobsazené	nɛopsazɛnɛː
neobtěžuji?	nˈɛ̃ˈuptˈeʒwˈe
neobvyklá	nɛobvɪklaː
neobvyklý	nˈaɔmzˈikliː
neobydlený ostrov	nɛobɪdlɛniː ʔostrˈo
neobyvatelná	nɛobɪvatɛlmaː
neobyčejná	nɛoːbɪtʃanaː
neobyčejný	novitʃeˈni
neobyčejně	nɛobitʃɛjɲɛ
neobývaný	nɛobiːvanˈiː
neocenitelný	nɛɔtsɛɲcɛːɫniː
neochota	naosot̪o
neochotně	nɛxɔtɲɛ
neochvějně	nɛɔxʋjɛjɲɛ
neodborník	nɛodborɲiːk
neodborný	nɛodbornɛː
neodbočuj	nɛadboʃuj
neodbytný	nɛodbɪtniː
neoddělitelný	nao˧˧tjˈaɪ˧˥tɑ˨liː˩˦
neodejdu	mˌeʊdˈeɪtʊ
neodhalí	mnɛodɦaliː
neodkladnost	nɛodkladnɔst
neodkladný	nɛodkladniː
neodkladně	nɛodkladɲɛ
neodmyslitelně	nɛodmjɛslɪtɛlɲɛ
neodolatelný	maudolatɛlɔmi
neodpouštějící	nɛodpou̯ʃcɛɲitsi
neodpovídat	nɛodpoviːdat
neodpovídá	nɛodpoviːdaː
neodpustil	nɛodpustiɪl
neodvolatelný	mɛodvolatɛlniː
neodvolatelně	nɛodvolatɛlɲɛ
neodvážila	naotvaːʒilo
neodym	nɛɔdɛjmɔ
neodůvodněný	nɛoduːvotɲɛniː
neodůvodněně	nɛodvvɔdɲɛɲɛ
neoficiální	nɛofɪtsɪaːlɲiː
neogén	nˌɛˈoːlgˌeːn
neohrabanec	nɛoɦrabanɛts
neohrabaný	nˈoˈaɾɐbˈɑni
neohrožují	nɛoɦroʒujiː
neokouzlil	naokouzlɛlu
neokázale	nɛɔkɑːzalɛ
neolemovanou	nɛolɛmovanou
neolemovaný	nɛolɛmovanˈiː
neolemujeme-li	laɔlemʊɛemimi
neomalený	nɛomalɛɲiː
neomezený	nɛːwmɛzɛnˈniː
neomezených	neɔmɛzɔniːt
neomluvitelný	nɛomruvjɛcɛlɲiː
neomura	nɛomura
neomylní	nɛomɪlɲiː
neomylný	nɛomilniː
neomylně	nɛomɪlɲɛ
neon	nˈɛon
neonové světlo	nɛonɔvɛː svjɛtlo
neonácek	nɛonanatsɛk
neoplodněný	nɛoplɛdɲɛniː
neopodstatněnost	nɛopostatɲɛnost
neopodstatněný	nɛopodstatɲɛniː
neosobně	nɛosobɲɛ
neospravedlnitelný	nɛosprovɛdolɲɪtɛlniː
neostrý	nɛuːstriː
neotesaný	nɛotɛzaniː
neotravuj	nɛɔtravuji
neovane	nɛːɔvanɛ
neovladatelný	nɛovladatɛlniː
neovládají	nɛovlaːdajɛ
neověřitelnosti	nɛovjerzɪtɛːlnoscɪ
neozbrojený	nɛosbrojɛniː
neozdobený	nɛozdobɛniː
nepamatovat	nɛpamatɔvat
nepamatuji si	ne komatʊistɪ
nepamatuju	pavʲerɨɫapamataju
nepamatuju si nic	nɛ pamɑtu juː siː nʲits
nepamatuju si, v kolik hodin letím v ned	nɛ pamatuju sɪ f kolɛkɦodɛn lakiːm v nɛdʒolɪ
nepasice	nɛpasɛtsɛ
nepasterizované mléko	nɛpastɛrzɔvnajɛ mlajkɔ
nepatrný	nɛpatrɲiː
nepatrně	nɛpatrɲɛ
neperlivý	nɛpɛrligiː
nepije	nɛpeɾ
nepil	napl
neplachov	nɛplaxof
neplachovice	nɛplaxovɪtsɛ
neplakat nad rozlitým mlékem	nɛplakat nat rozlidiːm mlɛːkɛm
neplatnost	nɛplatnɔst
neplavec	nˈopˈɛθˈɛs
neplavkyně	mepʊsʲtʃɛn
neplecha	nɛplɛxa
neplete se ti čeština a ruština?	nɛplɛtɛ sɛ tiː tʃɛʃtʃɪnˈa e rˈuʃtɪna
nepleťte	nˈepɭɑtʃtɛ
neplnoletost	nɛplnɔlɛtɔst
neplnoletý	nɛplnalɛtɪ
neplodný	nɛplodɲiː
neplánovaný	nɛplaːmovanɪ
nepochopen	napəxoˈpan
nepochopením	nɛpoxopɛɲiːm
nepochopil	nɛpoxopɪl
nepochopitelné	nɛpoxopɪtɛlnɛː
nepochybný	nɛpoxjɪbniː
nepochybně	nɛpɔxɪbɲɛ
nepochybně to by bylo nějaké blbosti	nɛpoxibɲɛ bɪ tˈo bɪlɪ ɲɪjaakɛː brboscɪ
nepoctivý	nɛpɔtsciviː
nepodařený	nɛpodaːʒɛlʲiː
nepodařilo	nɛpudazɪlo
nepodaří	nɛpodaːr̝iː
nepoddajnost	nɛpoddajnost
nepodmíněně	nɛpodmiːɲɛɲɛ
nepodplatný	nɛpotplatniː
nepodělej si to	nɛpoɟɛlɛj sɪ to
nepohnul	nɛpoɣnuw
nepohrdne	nɛpoɦɛrtnɛ
nepohyblivý	nɛpoɦɪblɪviː
nepokoj	nɛpokojɛ
nepokoje	nɛpokojɛ
nepokoje vyvolalo 400 radikálů, bezdůvodně napadli policisty	nɛpokojɛ vɪvolalo tʃtɪr̝ɪsta dɛdikaːlu bɛzduːvodɲɛ na parɪ polɛtsɪstaj
nepokrytý	nɛpokritiː
nepolitičnost	nɛpolɪtɪtʃnˈost
nepomuk	nɛpɔmuˌk
nepomyšl	nɛpɔmiʃl
nepoměr	nɛpɔmɨɛr
nepoměřice	nɛpomɲɪr̝ɛtsɛ
nepomůže	nɛpomuːʒɛ
nepopisovat	nɛpopːiʃɒvat
nepopsatelné	nˈɛpˈyːsɛtˈɛlɛː
nepopsatelný	nɛpopsotɛlniː
neporadil	nɛpɔratɪl
neporovnatelný	nɛporovnatɛlniː
neporušený	nɛporuʃɛniː
neporušují	nɛporʊʃujiː
neposeda	nɛpʃɛda
neposkvrněna	nɛposkvrɲɛna
neposlechnout	nɛposlɛxnou
neposlední	nɛposlɛdɲiː
neposlouchatelný	ɲɛposluːxatɛlɲiː
neposlušnost	nɛpozluːʃnɔst
neposlušný	makosɔʃ
nepospíchají	nɛpozpˈiːxajiː
nepostradatelný	nɛpostradatɛlniː
nepotopitelný	nɛpotopɪtɛlniː
nepotravinářské	zɛpotravɪnaːskɛ
nepotrestaný	nɛpotrɛstaniː
nepotrpí	nɛpɔtrpiː
nepotřebné	nɛpotr̝ɛbnɛː
nepotřebuješ	nɛpotr̝ɛbujɛʃ
nepotřebuješ žádný účet	nɛpotrɛbujɪ v ʒaːdniː uːtʃɛt
nepotřebuji mužů.	nɛpotr̝ɛbuiː muʒuː
nepouštět	nɛpouuʃtɛt
nepoužitelný	nɛpouʒɪtɛlniː
nepovažujeme	nɛpɔvaʑujɛmɛ
nepovinný	nɛpɔveni
nepovolaný	nɛpovolaniː
nepovolil	nɛpovoɫɪl
nepovolný	nepo˥˩ːgo˥˩ːlni˩˩˦
nepozorný	nɛpo˥˩ːzorni˩˥ː
nepozorovaně	nɛpozorɔvaniɛ
nepočetný	nɛpotʃɛtniː
nepočitatelná	nɛpotʃɪtotɛlnaː
nepočítaný	nɛpotʃiːtaniː
nepočítej	nɛpotʃiːtɛj
nepořádek	nɛporzaːdɛk
nepořádky	nɛpˈor̝aːtkɪ
nepořádně	nɛporaːdɲɛ
nepoškodit	nɛpoʃkɔdʒit
nepoživatelný	nɛpoʒivatɛːlniː
nepracovní	nɛpratsovɲiː
nepravděpodobný	nɛpravɟɛpoɾobniː
nepravděpodobně	nɛpravɟɛpodobɲɛ
nepravidelná	nɛpravɪdɛlnaː
nepravidelná galaxie	nɛpravɪdɪlnaː galaksɪjɛ
nepravidelné	nɛprolidaːlmeː
nepravidelný	nɛpravɛdɛlɲiː
nepravidelně	nɛpravɪdɛlɲɛ
nepravostí	nɛpravoscɪ
nepravý	nɛpraviː
neprobouzel	lapˈɛʁʋoza
neprobylice	nɛpropɪlɪtsɛ
neprodejný	nɛprodɛjniː
neprodleně	nɛprodlɛɲɛ
neprodyšný	nɛprodɪʃniː
neprodyšně	nɛprodɪʃɲɛ
neprofesionál	nɛpropɛsjɔnaːl
neprokázala	nɛprokɑːzɔvɔ
nepromokavý	nɛpromɔkabi
neproporcionální	nɛproportsionaːniː
nepropustnost	nɛpropustnɔst
nepropustný	nɛpropustniː
neprospěch	nɛprɔspjɛx
neprotavení	nɛprotavɛɲi
neprovozuju	nɛprovozuju
neprůchodný	napruxodmʲi
neprůhledný	nɛpruːɦlɛdniː
neprůstřelná	nɛprˈuːstr̝lnaː
neprůstřelná vesta	nɛprouztr̝ɛlnaː vɛsto
neprůstřelná pneumatika	nɛprvstɛɛnɑːpnɛu̯matɪka
nepsaný	nebstaniː
neptun	nɛptun
neptunium	næptuːnjum
nepustil	nɛpustɪl
nepustí	nɛpustiː
nepál	nɛpaːl
nepálština	nɛpaːlʃtɛna
nepěkně psát	nɛpɪknjɛpsaːt
nepředloženost	nɛpr̝ɛdloʒɛnost
nepředstavitelný	nɛpr̝ɛdztofɪcˈtɛːliː
nepředstíraný	nɛpr̝ɛtsciːranɪ
nepředvídatelný	nɛpʃɛdviːdatɛlnɪ
nepřehledný	nɛprzɛɦlɛdniː
nepřehýbat	nɛpr̝ɛɦiːvat
nepřekonatelnou	nɛpʃɛkonotɛlnou
nepřekvapovalo	nɛpr̝ɛkvapoval
nepřemejšlelas	nˈapr̝ɛmɪʃlɔlˈos
nepřemýšlela	nɛpr̝ɛmiːʃlɪlo
nepřepepřete	nɛpʃɛpɛpr̝ɛtɛ
nepřerušovaný	nɛpr̝ɛruʃovaniː
nepřesný	nɛpʃɛsnɪ
nepřesně	nɛpʃɛsɲɛ
nepřesvědčivý	nɛpsɛsʲʋʲidtʃɪʋʲi
nepřetržitá	nɛpr̝ɛtrɪtaː
nepřetržitá služba	nɛpʃajtrʒɪtaː sʎuʒba
nepřetržitý	nɛpr̝ɛtrʒɛtiː
nepřetržitě	nɛpsɛdrʒɪcɛ
nepřevázka	nɛpr̝ɛvaːska
nepřežije	nɛpr̝ɛʒiːjɛ
nepřibližuj se	nɛpr̝ɪblɪʒujɪsɛ
nepřichází v úvahu	nɛpr̝iːxaːziː f uːvaɦu
nepřijetí	nɛpsiɛciː
nepřirozený	nɛpr̝iːrozɛniː
nepřistáli	nɛpr̝iːstaːli
nepřitažlivý	nɛpr̝ɪtazlɪviː
nepřivezl jsem peníze	nɛpr̝ɪvɛzljsɛmpɛɲiːzɛ
nepřizpůsobivý	nɛpʃɪspuːsobɪviː
nepřál	nɛpsaːl
nepřátel	nɛpr̝aːtɛl
nepřátelsky	nɛpr̝aːtɛlskɪ
nepřátelský	nɛpʃaːtɛllskiː
nepřátelství	nˈɛpsatɛlfiː
nepřátelé	nɛpʃaːtɛlɛ
nepřátelům	nɛpsaːtɛluːm
nepříjemnost	nɛtr̝iɛmnus
nepříjemné	nɛpr̝iːjɛmnɛː
nepříjemný	nɛpˈtɕijɛmmi
nepříliš	nɛpsiːlɪʃ
nepřímo	napʃiːmo
nepřímo úměrný	nɛpr̝iːmouːmɲɛrniː
nepřímá daň	nɛpʃiːmaːdaːɲ
nepřímé	nɛpʃiːmɛ
nepřímého	nɛpstsiːmɛːho
nepřímý	nɛpr̝iːniː
nepřístojnost	nɛpriːsdojnost
nepřístupný	nɛpʃriːstupniː
nepřístupných	nɛpr̝iːstupniːx
nepřítel	nɛpr̝iːtɛl
nepřítelkyně	nɛpʃiːtolkɪɲɛ
nepřítomnost	nɛpr̝iːdˈomnost
nepřítomný	nɛpʃiːtɔmɲiː
nepřízeň	nɛpʲriːzɛɲɛ
nepříznivý	nɛpriɛzɲɛvˈiː
nepřízvučné	nɛprˈiːzvutʃnɛː
nepřízvučný	nɛpʃriːzˈoːtʃɲiː
nepříčetnost	nɛpʃriːtʃɛtnɔst
nepříčetný	nɛpr̝iːtʃɛtniː
nepříčetně	nɛpriːtʃɛtɲɛ
nepůjdeš?	nɛpujdɛʃ
nepůjdou	nɛpˈujdˈo
neracionální	ɪɲoratsjɔːnaːlɲiː
nerad	nɛra
nerad varím	nɪra tv
nerad vařím	nɛrad bar̝iːm
neradostný	nɛradostɲiː
neratovice	nɛratɔvɪtsɛ
neredin	nˈɛrɛdiːn
nerez	nˈɛrs
nerezavějící slitina	nɛrzavjɛjiːtsiːslɪtɛno
nerofmální	nɛformaːn
neronet	mɛrɔnɛt
nerostů	nɛrɔstuː
nerovnice	mɛrovɲɛtsɛ
nerovnost vozovky	nɛrovnˈost dvozofkɪ
nerovný	nɛrovɲiː
nerozešla	nɛrzɛʃla
nerozhodnosti	nɛrozɦodnoscɪ
nerozhodná	nɛrosɦodna
nerozhodný	nɛrosɦodɲiː
nerozlučná dvojice	nɛroslutʃnaː dvujtsɛ
nerozlučný	nɛrɔzlutʃniː
nerozlučně	nɛrazlutʃɲɛ
nerozpakoval se	mjesus pakuvosk
nerozum	nɛrɔzum
nerozumí	nɛrɔzumiː
nerozumím	nɛrzoɲiiːm
nerozumím tomu slovu a taky to nemůžu najít na internetu	nɛrozumjiːm tɔmu slovu a tak jɛ tˈo nɛmuːʒu najiːt na ɪntɛrnɛtu
nerozumím té otázce.	nɛrazumˈiːm tɛ ˈotaːstsɛ
nerozumíme	nɛrɔzumɪːmɛ
nerozvážnost	nɛrosvaːʒnost
nerozvážný	nɛrozvaːʒniː
nerudný	nɛrnɪ
nerušený	nɛruʃanˈiː
nerušeně	næruːʃæɲ
nerušit	nɛruʃɪt
nerušný	nɛruʃniː
neruším tě v nevhodnou dobu?	nɛruʃiːm tɪ v nɛfodnou dˈobu
nerv	nɛrf
nervový	narvo
nervózní	nɛrvouzɲiː
nervózně	nɛrvɔzɲɛ
neschopenka	nesxopɛnka
neschopnost	nɛsrobnɔs
neschopný	neskɔpni
nese	mˈɛsa
neseme	nɛsɪmɛ
nesení	nɛsɛɲiː
neser	mɛðɛr
neseriózní	neserioziːnˈ
neseriózní práce	nɛsɛrɪozɲiːpraːtsɛ
neseriózní vztah k práci	nɛsɛriɔːzɲiːfstˈaxkpraːtsɪ
nesete	əsɛte
nesezdaný	nɛsɛzˈdaniː
neseš	nˈɪsɪk
neshoda	nɛsɔda
neskrývaný	nɛskriːvanɪ
neskutečný	nɛskudɛtʃniː
neskutečně	nɛskutɛtʃɲɛ
nesl	nɛsɔ
nesla	nɛsla
neslané	nɛslonɛː
neslavný	nɛslavɛniː
neslučitelný	nɛslutʃɪtɛlniː
neslušnost	nɛsluʃnɔst
neslušný	nˈasɫuʃniː
neslyšel	næˈsliːʃævɑr
neslyšel jsem rozdíl mezi	nɛ sɫɨɕɛ sɛm rɔzdiɔmɛsɨ
neslyšela	nɛsliʃɛla
neslyšeli	nɛsliʃɛlɪ
neslyšící	nˈazlɪxvɪtsiː
neslyšících	nɛsliʃiːtsiː
nesmazatelný	nɛsmazadɛlniː
nesmlouvavý	nɛsmouvaːviː
nesmrtelnost	nesmirtelnos
nesmrtelný	nɛsmrtɛlniː
nesmysl	nˈɛʃmɪsɛ
nesmyslnost	nˈɛʃmmeːsˈsˈlˈnɔst
nesmyslný	nˈɛsmɪslnˈeː
nesmí	nˈɛsmɪ
nesmí být	nesˈmi bˈit
nesmírný	mɛsmirniː
nesmírně	nɛsmɪrɲɛ
nesmíte tady kouřit	nɛsmjːtsɛ tadɪ kougrɛts
nesmíš	nˈɛsmɪg
nesmíš dát nové boty na stůl	nɛsmɪ jiʃ daːt novɛː botɪ na stˈul
nesmíš otevřít deštník v domě	nɛsmɪʃ otɛr̝iːt dɛʃtɲiːk v dˈomɲɛ
nesmělý	nɛstɪriː
nesmět	nɛsmjɛt
nesnadnost	nefnadnos
nesnaž	nɛsnɛʃ
nesnažil	nɛsnaʒɪl
nesnaží	nɛsnaʒiː
nesnese se se sestrou	nɛsnɛsɛsɛ sɛ zɛtrou
nesnesitelná lehkost bytí	nɛsnɛsɪtɛl naːlɪf kˈodbiːtɪ
nesnesitelný	nʲasnasjtɛrmi
nesnáz	nɛsnas
nesnášenlivost	nɛsnatʃɛnˈalɪvost
nesnášenlivost lepku	nɛsmaːʃɛnlɪvo slɛpku
nesnášet	nɛsnaːʃɛt
nesnáší, když s ní lidé nesouhlasí.	nɛsnaːʃiː grɪsɲiː ɪdɛ nɛouɦlasiː
nesnáším laktózu	nɛsnaːʃiː mla ktɔːzu
nesnášíme	nɛsnaːʃiːmɛ
nesnésu	nasnesu
nesobeckost	nɛsupɛtskɔst
nesolventní	nɛsɔlvɛntniː
nesou	næsɔ
nesou ta jablka	nɛsou tˈa jˈablka
nesouhlas	nɛsou̯glas
nesouhlasila	nɛsouɦlasɪla
nesouhlasím	nɛsɛmɔlasimi
nesouhlasím s tím	nɛsou nˈaziːm s tˈiːm
nesoulad	nɛsuːlɒt
nesouměrný	nasɔmjerni
nesouměrně	nɛsoumjɛrɲɛ
nesouosý	nɛsou̯oziː
nesouvisí	nɛsɔʋisi
nespaluješ tolik tuku	nɛspalujɛʃ tˈolɪ k tuku
nespaluju tuk	nɛspaloju tˈuk
nespavost	nispavos
nesplnění	nɛztalɲɛniː
nespokojenec	nɛspokojɛnɛts
nespokojený	nɛspokojaniː
nespolehlivý	nɛspolɛɦlɪví
nespolečenský	lesβ̞ɔɾtɕanseke
nesporný	nespo˥˩rni
nespoutaný	nɛspoucaniː
nespočetněkrát	nɛspotʃɛtɲɛkraːt
nespočine	nɛspotʃɪnɛ
nespravedlivý	nɛspravɛdlɪviː
nespravedlnost	nespɾed̪elnost̪
nespraví	nɛspraviː
nespražený	nɛspraʒɛniː
nesprávný	nɛspraːvniː
nesprávný názor	nɛspraːvniːnaːzor
nesrovnatelný	nɛsrovnatɛlɲiː
nesrozumitelné	nɛsrozumɪtɛːlnɛː
nesrozumitelný	nɛsrozumɪtɛlniː
nestabilita	nɛstabilita
nestacionární	nɛstatsɪonaːrni
nestalo	nɛstalɔ
nestalý	nɛstaːliː
nestarec	nɛstarɛts
nestačila	nɛstatʃɪlɑ
nestačit	nɛstatʃit
nestačí	nɛstatʃiː
nestačí to	nɛstatʃitɔ
nestejnorodý	nɛstɛjnorodɪ
nestejnost	nestɛjnɔst
nestejný	nɛstɛjmiː
nestihl	nɛsciɦl
nestojí	nɛstɔjiː
nestojí to za nic	nɛstɔi tɔ za ɲɛts
nestojí to za nic	nɛstajitszaɲɛts
nestojí to za to	nɛstuɪtozatˈo
nestor	nɛstɔr
nestranický	nɛstraɲitskiː
nestranný	nɛstranɪ
nestranně	nɛstraɲɛ
nestraník	nɛstrɛɲu
nestravitelný	nɛztravjɛtɛnɔnjː
nestrojený	nɛstrojɛniː
nestvůra	nɛstvoura
nestyda	nɛstida
nestydatý	nɛstɪdɛtiː
nestydatě	nɛstɪdatjɛ
nestyděl	nestijel
nestálost	nɛstɑːlost
nestálý	nɛstaːliː
nestíhaly	nɛstiːɦalɪ
nestíhatelnost	nɛstiːɦatɛlnos
nestíhám	nɛstiːxam
nestřežený	nɛstr̝ɛʒɛniː
nestřídmost v našem stravování	nɛstriːdbo s mdoʃɛm strafavaːniː
nestůj tam	nɛ stˈuj tam
nesu	messo
nesundala	nɛsundala
nesvoboda	nɛsvoboda
nesvá	nɛsvaː
nesvědomitost	nɛsvjɛdomitost
nesvědomitá	nɛsvjɛdomɪtaː
nesvědomitý	nɛsvɪadomiti
nesvůj	nɛsvuj
nesú	nesu
nesčetném	nɛstʃetneːma
nesčetný	nɛstʃatniː
nesčetněkrát	nɛstʃɛtɲɛkraːt
nesčíslný	nɛstʃiːslɛnɪ
netalentovanost	nɛkalɛntovanɔst
netavený základní smalt	nɛtavɛniːzaːkladɲiːsmalt
netečnost	nɛtɛtʃnost
netečný	nʲetʃnʲ
netečně	nɛtɛtʃɲɛ
neteř	mɛtɛʃ
netolice	nɛtulɪtsɛ
netoliko	nɛtɔʎikɔ
netopýr	nɛtopir
netoužil	nɛtouʒɪl
netočí	nɛtɔtʃiː
netrefil	natrɛfɪl
netrhly	nat̪ɾəɣ̞lẽ
netrpělivý	nɛtrpjɛlɪviː
netrpělivě	nɛtrpjɛlivjɛ
netrpělivě čekat	nɛtrpɪliʋɛtʃɛkat
netrvala	nɛtrvala
netrvat	nɛtrvɑt
netušil	nɛtuʃɪl
netuším	nɛtuʃim
netvař se tak dementně!	nɛ tvaʂɛ tak dɛmɛntɲɛ
netvor	nɛtvor
netín	mɛtʃˈinˈ
netýkavka	nɛtiːkaːfka
netřeba uprchlíky nějak démonizovat.	nɛtr̝ɛba u prxliː kɪɲiːak dɛːmonɪzofat
neubuz	neubus
neuctivý	nɛodstɛvjɛ
neudělal	nɛuːdʑoval
neudělám	nɛuɟɛlaːm
neuděláš	nɛuɟɛʎaːʃ
neuhasitelný	nɛuɦasitɛːlniː
neujasněný	nɛujasɲɛniː
neukázněnost	nɛukaːzmɛnos
neumí japonsky	nɛ uˈmiː japɔnskɪ
neumí řídit auto	nɛumiː r̝iːdɪt ˈaʊto
neumím mluvit česky.	nɛumɪjɛ movɪt tʃɛskɪ
neumím moc dobře mluvit česky.	nɛumɪjˈm mˈots tˈo br̝ɛmovɪt tʃɛskɪ
neumím péct koláče	nɛumɪm pɛːst kolaːtʃɛ
neumím čínsky	neʊ̞mjntʃinske
neumíš španělsky?	nɛumɪʃ ʃpaɲɑlski
neumějí	nɛʊmjɛʎi
neumějí psát	nɛu mɲɛjiː psaːp
neumětely	naumɲɛtɛlɪ
neuposlechl	nɛuposlɛxau
neuposlechnout	nˈovposˈlˈaxnovˈit
neupravuje	nawbrɛwujɛ
neurologie	nɛurɔlɔgijɛ
neurvalec	nɛurvalɛts
neurvalost	nɛurbalost
neurvalý	nɛurvaliː
neurčitek	nɛurtʃitak
neurčité	nɛurtʃitɛː
neurčitý	nɛurtʃɪtiː
neusmívala se	nɛu smiːvala sɛ
