!	vikritʃɲiːk
%	pɛrtsɛnt
(	zaːtvorka
dych	dˌiːç
dychtiť	bixtit
dym	dim
dynamický	d̪imet̪ski
dynamo	dɪnamo
dze	tsɛ
dzedo	dzɛdo
dzedzina	tsazina
dzeka	dzɛka
dzevec	dʒɛvɛt
dzevecto	zərɛtsta
dzešec	ðæʃt
dzifka	dzʲifka
dzifčata	dzʲixtʂata
dzigac	tzigatz
dzigačka	dzigatʃka
dzignuta	dzʲignuta
dzindzik	dzʲinːzʲik
dzivka	dzʲeu̯ka
dzivčata	dzʲitʂata
dzivče	dzʲiu̯tʃɛ
dzvere	savɛrɛ
dáky	daki
dáma	dama
dámska bielizeň	daːmska bjɛlizɛɲ
dámy	daːmi
dán	daːn
dánka	dɑŋkɑ
dánom	daːnɔm
dánsko	daːnsko
dánsky	daːnski
dánčina	daːnˈtʃɪnɐ
dáta	data
dátum	datum
dátumový	daːtumo˥˩ːʋo˥˩ːʋiː
dávať	da
dávkovač	daːvkɔvatʃ
dávno	daːvnɔ
dávny	daːvni
dáždnik	daʒdɲik
dážď	dɑːʃt
dážďovník	daːʒɔvnɪk
démon	dmon
dívaj sa	ˈdʲivajsʌ
dívať	ðivat
dívať sa	ɟiːvɑc sɑ
dóm	dˈɑːm
dóm svätého martina	dɔm svɛtɛɦɔ martina
dôchodca	duɔxɔttsa
dôchodkový	dɔuɔxɔtkɔviː
dôchodok	dvɔˈxadɔk
dôjsť	dʒoːs
dôkaz	duˈɔkəs
dôkazom	duɔkɑzɔn
dôkladný	dvokladnɛj
dôležitejší	dvoʎɛ-ʒɛcɛjʃiː
dôležitý	dˈualaʒitˈe
dômyselný	duːomjsɛlniː
dôraz	duɔras
dôrazný	duorazdʒi
dôsledný	duoslɛdniː
dôsledok	duɔslɛdɔk
dôstojnosť	duɔstɔinɔst
dôstojník	duostɔjniːk
dôstojný	duɔstɔjniː
dôvera	duɔvɛra
dôverný	dvɔvɛrniː
dôveryhodnosť	duɔvɛriɦɔdnɔsc
dôveryhodný	duːbəˈɾiːhˈoːndiː
dôvod	duɔvɔt
dúfať	dufak
dúhový	duːhˈɑːrvˈiː
dýchať	diːxat
dýka	ðika
dĺžeň	dɔɫɔʒɑɲ
dĺžka	tɔ˥˩ʃka
dĺžkou	dɔʃkɔu
dňa	pavʲerɨɫa
dŕžava	berzeba
dž	dʒu
džabala	ˈdʒabala
džabanina	dʒabaɲina
džbán	dʒban
džem	dʒen
džemový	dʒɛmɔvjj
džmuric	tʃmurɛts
džmurkac	dʒmorkads
džubanina	dʒubanina
džungľa	dʒunglʲa
džveritko	dʒuʋjɛridkɔ
džviratko	dʑiviradkɔ
džús	dʒʊz
e	ɛ
e-mail	iːmejl
edinburg	ɛðinwʊɾʃ
edita gruberová	ɛdita grubɛroba
eduard heger	ɛduɑːrd hæːgɛr
efjednotka	ɛfjɛdnotka
egreš	ˈɛgrɛʃ
egreše	ɛgrɛʃɛ
egrešový	ɛgræʃɔvji
egypt	ɛgipt
eklektický	eklaktitski
ekliptika	ekliptika
ekonómka	ɛkɔnɔːmka
ekvatoreál	ɛkvatoreaːv
ekvatoreálnej	ɛkvatoɾɛalnaj
ekvatoreálu	ɛkvatoreːalu
ekvidistančný	ɛkʲviːdɪstɑːntʃniɛ
ekvilibrista	ɛkvɨlɪprista
ekvimólový	ɛkvimɔːlɔʋiː
ekvádor	ɛkvaːtor
elam	ɛla
elegancia	ɛlɛˈgɑːntsʲiɐ
elegantný	ˌɛlɐgˈɐ̃ŋtɐnɨ
elektorát	ɛlɛktoraː
elektrický	ɛlɛktritskaj
elektrikár	ɛlɛktriːkˈaɾ
elektrina	ɛlɛktrinɛ
električka	ɛlɛktritʃka
elektronická kniha	ɛlɛktronitskaː kɲiɦa
elektrotechnika	ɛlɛktrɔtɛθnika
elena lacková	ɛlɛna latskɔvaː
elidovať	ɛˈɾiːdoˈbɑt
eliek	ɛlʲek
eliminátorov	ɛliminaːtɛroː
elipsa	alipsa
elita	ɣɑlɪta
elitný	latʃiːzi
elitársky	ɛljtɑrski
elitárstvo	ɛlɪtˈarˈstvo
elixír	ɛlikseɾ
eliášovia	ˈlajˈɛnasˈɛvjɛ
elán	aɻˈam
emigranti	emigrˈaːnti
emigrovať	ɛmigrɔvatɕ
encyklopédia	ensiklopaʝa
endokrinológia	endokrˈinˈologˈɪa
energia	ɛnɛrgijɑ
energický	ɛðɛrgitski
eocén	aɛoːtsene
epidemiológia	ɛpɪdɛmjologija
epidémia	epidɛmjɐ
epika	epika
epistemológia	ɛpistɛmolɔʒia
epitel	epit̪el
epos	proponon
erik sabo	erik savo
erotická	ɛrɔtitskaːr
erupcia	ɛruptsia
esemeska	ʃtˈomˈɛskə
eskamotér	eskaməldɑjˈɾ
eskimák	ɛskiːmaːk
eskortovaný	eskortovaːnˈiː
espreso	espeso
estónec	ɛstɔnits
estónka	edestonka
estónsko	tɛstondzko
estónsky	ɛztonski
estónčina	estontʃna
etapa	etapˈa
etape	etapɛ
etapou	ɛtaːpɔu̯
etapového	etapo˥˩ːvelo˥˩ː
etika	ɛtika
etiópia	etjopja
etnocentrizmus	ɛtnɔtsɛntrismus
etymológ	etimolok
etymológia	ɛtiˈmoloˈʒia
euro	ˈɛʊro
eurovoľby	æˈʋrɑːʋolbi
eurázia	ˈɛʊɾaˈsiˈ
eurázijský	ɛurɑːziːskiː
európa	euʊˈrɔpɐ
európania	ɛuropaniːa
európsky	ɛurɔːpski
evanjelium	ebanʲiljum
evidenčné číslo	ɛvidɛntʃnɛː tʃiːslo
evolučný	ɛvɔɫutʃniː
evolúcia	evolutsija
exekučný	ɛkzɛkutʃniː
exekútor	ɛgzekutɑr
exekútorský	ɛgzɛkuːtɔrstv
exfrajera	ɛksprajɛra
existencia	ɛksistɛntsjɛ
existovať	ɛksistovatɪ
exkomunikácia	ɛkskɔmʊnjkˈatsia
exkrement	ɛkskrɛment
exkrementy	ɛkskremɛnthi
exmarkizák	ɛksmaːrtjuzaaːk
expandovať	ɛkʃpɑndɔvɑc
expartnera	ɛkspɑrtsmɛra
explózia	ɛksplɔˈzja
exponenciálny	ɛkspɔnentsial
expozícia	ekspazitsia
expresný	ɛksprɛsniː
exprezidenta	ʔɛksprɛzɪdɛnta
exteriér	ekstɛriɛr
externých	ɛkstɛrnˈiː
exšéf	tɛkstʃə
ezav	ɛzˈaːl
eón	ˈaɪoʊn
eú	au
ešte	aʃke
ešte raz	eʃtɕeɾas
eštebák	æʃkæjbɑːk
f	dʒoːs
fabrika	pabrika
facka	fatska
fajka	fˈalka
fajta	pajta
fajčenie	fajtɕɛɲiɛ
fajčiar	fajtʃiar
fajčiarsky	fajtʃarskʲi
fajčievať	fajʃeva
fajčiť	fajtʃit
fakliť	fakljt
faksimilný	faksimˈiːuːniː
fakulta	fakulta
fakultatívny	fakultat̪ivni
fakír	fakir
falat	tɑlɑt
falošný	faloʃniː
falzifikát	falsifjkat̪
falšovať	kɑːrʃuʁɑː
famózneho	famɔzneɦɔ
famózny	famoɔzni
fanatický	anatitski
fanatik	fantist
fanerozoikum	panɛrozojkum
fantasmagórie	fantazmagɔria
fantastický	fantastitski
fantázia	fantaˈzjɐ
fanúšik	fˈanˈʃˈik
fanúšikov	fãn̪umsikow
farba	farba
farbisto	arbistau
farboslepý	farbɔslɛpiː
farby	farbi
farebný	farɛbnˈi
farizej	paɾizˈeu
farmár	fɑrmaːr
farmárka	farmaːrka
farnosť	farnost
farský	farski
fartuch	pɑrtʊx
farár	fɐɾaɾɐ
fasacke	fasˈɑtskʌ
fatalizmus	fatˈalizmuʃ
fatálny	fˈataˈɔli
faul	fou̯l
faulovať	fɑulɔvatɕ
fazuľa	fˈazulˌɛ
fašista	fɑʃistɔ
fašistický	faʃɪstɪtskiː
fašizmus	fauʃizmus
fašírka	fau̯sjrka
február	fabɾuaːr
februárový	fabruarovi
federatívny	saːderaːtuːriːt̪iː
federácia	seðeɾatsia
fedor freso	fɛdɔr frɛsɔ
fena	fena
fenikel	fnjkl
feudalizmus	feudalismuʃ
feudál	fau̯daːl
feudálny	fawdaːnˈʝ
fešanda	kaʃanta
fešák	fɛʃaːk
fialová	fjaɫovaː
fialový	fjalɔvi
fiasko	fiaskɔ
fica	titsa
ficizmus	petsɪsmus
fico	pɪtso
ficoizmus	kitsʃɒizmɒs
ficoland	kəktsɔlaːm
ficová	fɪtsɔvɑː
ficových	tutsɔvi
ficília	kətsɛlɛja
fidorka	fidorka
fifík	tʃtˈeɪ
fifíka	kajsiːka
figa	tʃiːga
figovník	fɪgɔvɲiː
figurovať	figurɔvac
figúrka	figurka
fiktívne	tʃiːzmɪna
filet mignon	filaː mɪnˈoːn
filharmónia	fiɫhaɾmɔɲiɛ
filip	filiːp
filip hološko	filoɛp hɔlɔʃkɔ
filip lesniak	fʲiɫɨ βlasnʲek
filip polc	fjlip pɔlts
film	fˈɪlm
filmu	fɪlˈmu
filologička	fjlɔuɔgjˈutskɐ
filológ	filoɫok
filozof	fjɫɔzɔf
filozofia	filoˈsɔfia
filozofická	fiɔzɔfikskaː
filozofický	filozofɪtskiː
filter	fjˈolˈtˌeɾ
filter vzduchu	vjɛltar z duxu
filtrovaný	fieltrobati
filtrovaný olej	fɪlˈtɾɔvɑniː ɔlɛj
filtrovať	fialt̪ɾeβ̞ak
filtrovať vodu	fiɦl zdrovaːtɕ vodu
fimóza	fˌiŋˈɔzˌɐ
finančným	kønøkønø
finišoval	finiʃɛʋaːlɑ
finále	fˈinaɾə
finálny	finalni
firhang	fɪrhæŋ
firhangy	t̪i̞rhæŋki̠
firhant	tɪrhant
firma	fˈiɾmɐ
firmou	kjeɾe̞mɒu
fixka	piksˈka
fiľakovo	pilakogo
fk	fk
flauta	flauta
fleischer	klajʃer
flek	plak
flirtovať	pliːrtɔvaːtʃ
florencia	florẽntsia
flotila	s̺o̞kjwa
fluorit	unita
flákač	plaːkatʃ
flákať	fakak
fonetický	foːnɛtitski
fonetika	fɔnetika
fontána	fontana
forma	fõɾma
formička	fɔrmitʃka
formovaný	formuvaniː
formovať	formavak
formulár	fˌuɾəmulˈaɹ
fortuna liga	fˈɔrtʊ na lˈiga
forvo	fɔrvɔ
fotiť	kwt̪it̪
fotka	fɔtka
fotoalbum	fɔtɔɑɫbuːn
fotoaparát	fɔtɔaparaːt
fotograf	fɔtɔbraf
fotografia!	fɔtɔgrafja
fotografovať	pɔtɔgɾˈafɔvat
fotosyntéza	fˈotˈosintˈɛzˈa
foxteriér	fokstɛrˈjer
fošne	fɔʃɲɛ
fraj	fraj
frajerka	frɑjɛrkɐ
frajir	frˈaɪr
frajirka	frairka
frajľa	brajlja
frak	frak
francúz	frantsus
francúzka	frantsuska
francúzsko	frantsusko
francúzsky	frantsoskʲi
francúzština	pranˈtsou̯ʃtʲiːnˈa
františek	pɾaːnɟiʃe
frešo	frɛʃɐ
frflať	farslaɣ̞
frfle	bɯ̞rqɯ̞
frndžalica	frɛŋɟɛlitsa
frčka	frtʃka
funduš	kundʊɾ
fungoval	tʊŋɔvɑli
fungovať	fʊŋgˈɔrˈatˈ
funguj	fongoi
fungujem	fɔŋgujɛm
fungujú	fogojo
fungujúci	fungoˈjoːutsi
funkcia	fʊŋktsiːɾ
funkcie	køʁmˈʁˈ
funkcii	kʌnaksi˥˩
funkčný	fʊŋtniː
furik	fɔɾit
furt	fok
futbal	futbɑl
futbale	fudbala
futbalista	fut̪d̪elist̪a
futbalistka	futbaliʃtka
futbalistu	fudbalɪstɔ
futbalové ihrisko	tutɑːlɔvɛ ʔiː lɪska
futbalový	fudbaloʋiː
futbalu	fudbalu
fučať	fukʃot
fuňa	fˈuɲa
fuška	fˈuʃka
fylogenéza	fɛʎɔgɛnɛːza
fyzika	fizika
fyzikálny	fizikali
fyziológia	fiziɔlɔːɠiɐ
fáma	fama
fázovanie	faːzɔvɑɲiɛ
férovka	pɛrou̯ka
fín	fˈin
fínka	fɪnka
fínsko	fiːɲsko
fínsky	finskɪ
fínčina	fintʃina
fólia	fɔːljɐ̃
fúkačka	tɔu̯katʃka
fúzy	fuːzi
fľak	flak
fľaša	fʲaʃa
fľaša vody	flˈaʃa pˈodi
fľaška	fˈlaʃka
g	gˈɛ
gaborik	gabɔriːnk
gabriela	ɣabɾiɛla
gabčíkovo	gaptʃikovo
gajo petrovic	gajɔ pɛtrɔvitʃ
galanta	gˈaɫanta
galantéria	galanteˈrɪja
galeje	t̪eleje
galis	gˈʌlis
galkovi	ɟɑlkɔvji
galéra	galaɾam
galéria	galerija
gamba	gampa
gambatá	gambata
gamby	ganbi
garadiče	garaditsʃa
garaž	garaːʒ
gargala	gagala
garáže sú dole pod hotelom	garaːʒɛ sudɔlɛ pɔdɦɔtsɛlɔm
gastroenterológia	gastroɛntɛrɔlɔgia
gauč	gau̯tʃ
gavalier	gavalɛr
gavalier s ružou	gabaːlja rɛsɛ ruxaɔ
gazda	gazda
gazdovať	gazdovac
gazdovský	gasdɔufski
gazdovstvo	gazdɔw̃stwɔ
gaľiba	gˈaliba
gašpar	gˈaʃpˌɐɾɐ
gašparko	gazparkɔ
gaštan	kastæm
gaštanový	gˈaʃtɑnɔʋiː
gbely	tɛpɛli
gebuľa	gɛbːˈaː
gejzír	gˈeɪzˈiɹ
geleta	gɛleta
gelnica	gɛlɲitsa
gemológia	gemalɔʒɪa
generál	ɟɛnɛraːl
generálmajor	gɛnɛralmajɔr
genetika	genatika
genialita	ɠɛnialitæ
genitálny	gɛnɪtaːlni
geniálny	genjalni
genóm	gẽn̪om
geocentrický	gɛɔtsɛntritski
geodézia	gʲeɫdɛzja
geograf	gˈeɪʊgɾˌɐf
geografický	gɛografitskiː
geológia	gɛʊlɔʒiɐ
geomagnetický	gɛɔmagnɛtiki
geomagnetizmus	geomagnat̪issmuz
geometria	geometria
geometrický	gɛɔmɛtritskiː
geotermický	jɛvtɛrmɪtskiː
gepard	ɣ̞epaɾt̪
gepardovi	kpãrdobi
geparďou	gpaɾʝou
geriatrička	ɣɛrˈɛjɛtɾitʃka
gerlachov	ɛlɛɦɔv
gerlachovský štít	ɦɛlɛxau skɪ jɪʃcɪt
german	gɛrmɑːn
germania	ɦɾɛmɑːnjɑ
germánsky	gɛrmaːnski
geto	ɣɛtop
ghana	kaħana
gilotína	gjɛloːtjˈina
giraltovce	gʲiɾaɫtoɫtsɯ
gitara	gitara
gitarista	kitaistata
gitaristka	kitariska
glasgow	glˈazgɔl
glazúra	gˌɐʒˈuɾɐ
glezg	gɫɛzɪgo
globálne otepľovanie	dobaɫnɛ ɔtɕɛpʎɔvannɪ
glupa	glupa
glupota	glupoka
glupy	glupɛ
glváč	gɫvaːtʃ
glóbus	glaobus
gniaviť	diɲeialit
golfista	dʒoːtista
golfové ihrisko	gɔlfɔvɛː ɪɦrɪskɔ
golier	gɔljɛr
gombárik	ɣ̞ombaɾik
gombík	gombiːk
gong	gɔŋg
goniometer	goniometer
goral	gɔraːl
gorali	gɔrˈaɫiː
goralka	gɔralka
goralský	gɔrɑːlskiː
gorila	gɔrɪɫa
gotický	gɔtitski
gotika	ɣ̞ot̪ika
gradácia	gradaːtsiːa
grafický	grafitskiɲi
grafika	gɾafika
gramatika	graːmaːtika
gramofón	grammɔfon
gramofónový	grandmɔfɔːnɔfi
gramotnosť	grandmɔtnɔsc
grandiózne	grandjɔːlɔtɲɛ
grandiózny	grandioɫzni
granko	grandaˈkɔ
granát	grana
granátový	granaːtoviː
graty	grati
gravimetria	gravimɛtria
grcať	gɨrtzatsʲ
gregor	grˈegoɾ
gregorovce	grɛgrɔw̃tsɛ
grežio	grɛʒio
grgať	gɾgatʃ
griglák	grɪglaːk
grilovaný	grɪʎɔvɑːniː
grimasa	grimazsa
gris	gɾis
groš	gros
grošovaný	grɔʃɔvaiɲ
gruzínsko	kruziɲskɔ
gruľe	grulʲe
grécko	grɛtskɔ
grécky	grɛtski
grúberová	grubɛrova
guatemala	guatɛmɑɫɑ
gulička	gɔlitʂka
guličkové pero	gɔlitʃkɔvaː pɛra
guláš	gˈulaːʃ
guma	gumˈa
gumička	gumitʃka
guráž	buraːʃ
gustáv husák	gustál husaːk
guvernér	guvɛrnɛːr
guľa	gulʲa
guľatý	gulati
guľka	gˈoɭika
guľovať	kulˈovak
guľôčka	gulɛɔtʃka
guľôčkové	guɫʲbɔtʃkɔvɛ
gymnasta	gɛmˈnɑsta
gymnastika	gymnɛstikɛ
gymnastka	gɨmnɛstka
gymnázium	gimnaːzjum
gynekológia	iːnɛkɔlɔːgia
gyroskop	girɔskɔp
gáborík	gabɔrik
gél	gɛl
gélovať	gajɛʎɔvac
gén	gɛn
génius	gæənius
h	tʰãː
habakuky	hɑɓɑkuki
habit	hɑbɪt
had	hat
hadaikum	ħadɑjkɑm
hadiar	adjær
hadica	ɦaɲitsa
haiti	həˈɪtiˌ
haja	haja
hajdin	hɛjdin
hala	ɦala
halier	ɦalɪər
halič	ɦɑliʃ
haluz	aluz
halušky	taɫuzki
hamburger	hɑmbwˈrˈgɯr
hamšík	ɦamʃiːk
hanba	amba
hanbaté	kʰɑːnbaːt̪əeːeːʔ
handlová	ɦandlovaː
handrička	handrɛjtʃka
handzuš	mixˈaːlhˈanˌzuʃ
haniť	ɦanːit
hanus	ɦanus
hanušovce	anʂou̯tsɛ
hanušovce nad topľou	ħan u ʃau̯tsɛ bat tɔplɛɔv
hanzel	ɦanˈzɛl
haraburda	hærɑbʊrða
harašilo	araʃɨlo
harcovníci	artsomʲeʲitsʲi
harcovník	nˈʌrtsˈoːn
hardvéroch	akdʋeːrɔx
hardvéry	hartveˈrɪ
harfový	arfoːbiː
harmonický	haramɔnitskaj
harmonogram	harmonogr
harmónia	haɾmoniːɑ
harčički	xartʃɛtʃkɪ
harčky	arˈtʃk
harčok	tɑrtʃɔ
hasič	həsjk
hasiči	hatikʲi
hasičov	pɑsidʒo
hasičského	asitʃskɛːɦo
hasičský	asi˥˩tʃsɔski˥˩
hasičskými	pasiʧskiːmi
hasiť	asik
havran	ɦapra
havraní	ˈavraɲiː
havária	havaːria
hazard	hazaɾ
hebrejci	ɦɛbrɛjtsiː
hebrejský	ɦɛbrajskiː
hedviga	kʰeːdliːgɑ
hegemón	agamonu
hegemónia	aggemonia
hegemónne	hæg̞mˈbˈɒlnˈɪmɒn
heger	ægæɾ
hej	hˈeɪ
helcmanovce	hˈɛltsmənˈʌvsˈɛnd
helikoptéra	elikoptɛːra
hematóm	heˈmatoː
hemoglobín	ɦɛmoklobiːn
henriety	hɛngrjɛrtɨ
hepatitída	pebatipʰiːda
herec	ɦɪ̞rɪ̞t
herecký	ɦɛrtskiː
herečka	ɦɛrɛtʃka
herečku	ɦarɛtʃku
herpes	d̪ʝaːrpes
hetera	ɣɛtɛra
hierarchia	gjeɾaɾɣia
hippokrates	ipokratis
histológia	istɔlɔʒia
historicky	ist̪orits̺ki
história	istˈoɾja
histórie	istɔriɛ
hlad	alat
hladievať	ɦɫadʲːɛvac
hladiť	ɦlaɟiːt
hladkať	ɦɫatkak
hladký	ɦɑtkiː
hladný	ɦɑːdliː
hladovať	ɦladovatɕ
hladovka	ɦɫadauka
hlaholika	aɫɑhuːlɪ̞kæn
hlaholka	laɦɔllka
hlas	alɑs
hlasno	aɫaztno
hlasný	kˈalˈatmɪ
hlasovať	olosovatɕ
hlava	ɦlɑva
hlavička	ɦlavitʃka
hlavná	klɑvna
hlavné mesto	xlau̯nɛː mɛstɔ
hlavný	alavniː
hlavným	ɦɛɫavnim
hlavolam	xlaːvɔlɛm
hlavu	lavu
hlavu mala prikrytú závojom	lauɫmala prɪkrɛtu saɫojom
hlavu mala prikrytú závojom, ale tvár mala odhalenú	xlavu mama prɪkrɛjdu zaːvojom alɛ tvaːr mala otɦalɛnu
hlbina	albina
hlboko	ɦɛbɔkɔ
hlbokoveriaci	tɛlbokkɔvɛriatsi
hlboký	ɦlbokiː
hliadka	xlajatka
hlina	elina
hlinka	alink
hliník	ɦlɪɲiːk
hliníkový	ɦlɛɲiːkoviː
hlodavec	ɦɛtʃɛdaʋɛts
hlody	lɔdi
hlohovec	ɦlaɦovɛts
hltanie	altanɛ
hltavka	altaoka
hltavý	ˈɔtavˌi
hltať	ɦɫtɑtʃ
hlucho	ɫuxo
hluchonemá	xɔxɔɲema
hluchonemé	ɦɔɦɔɲɛmɛ
hluchonemý	ɦʊxɔɲemi
hluchá	ɐluxa
hlucháň	pluxaːɲ
hluché	luxæ
hluchý	voθe
hluk	həˈluːk
hlupák	ɦlupaːk
hlupáčik	ɦlupaːtʃi
hlučný	alo˥˩ːtʃni˩˥ː
hlásateľ	ɦɛlaːsɛtɛl
hlásenie	ɦlaːsɛɲiɛ
hlásiť	həˈsɪk
hláska	ɦlaːska
hláskovaný	laːskofanɪ
hláskovaný diktát	ɦlaːskofanɪ dɪgitaːt
hláskovať	alˈaːskʊvɑc
hlásnik	ɦlaːsnɛk
hlásnik ohlásil polnoc.	ɦlaːsnɛk oɦlaːsɪl poːl nɔts
hlášky	laːʃtɨ
hlísta	ɦlʲista
hlúpejší	lupɛjʃi
hlúposť	alupost
hlúpy	hluːpi
hmat	lə-mˈat
hmla	ɦɛmlɛ
hmlisto	amljsto
hmlistý	amestistʃi
hmota	amata
hmotnosť	amatnask
hmotný	noˈmɑtˈniː
hmyz	ɦɛm
hnací	ɦɛnatsʲi
hnaný	ɦnəmi
hnať	ɑnatsʲ
hnedkavý	nɪtkɑʋi
hnedá	ɦɛŋidaː
hnedý	ɦɲɛdiː
hnev	tapavʲerɨɫa
hnevať sa	anika dʒza
hnevy	ænˈvi
hnevá	ɦɛnɪvaː
hneď	ɣˈnʌt
hneď som späť	ɦɛɲɛtstsɔm spɛc
hniezdiť	ɦniɛzdik
hniezdny	ənɛjɛzdɛni
hniezdo	lanˈeɛtldˈo
hnilý	hni˥˩li˥˩
hnoj	ɦanoi
hnúšťa	ɦnʊʃkɐ
ho	hok
hobitie	ɦɔbikiɛ
hocaký	ɦotsaki
hoci	hoːtsi
hocijaký	ɦotsiakiː
hociktorý	ɦɔtsiktoriː
hocktorý	ɦotsktoriː
hocľem	pɔtsɛlɛm
hodina	ɦɔɟina
hodiniek	odɪnjɛk
hodinky	ɦɔɟɛnki
hodinou	vodɪnou
hodinový	ɦɔɟinoviː
hodiny	adʒini
hodinár	hoɟinɛlk
hodiť	ɦɔdˈiːt
hodnostár	boːd˥n˩˦ɔːstɔːm˥˩
hodnosť	pɔdnɔs
hodnota	aɣoːtnˈta
hodnotenie	ɦɔdnɔciɛɲiɛ
hodnotný	pɔtnɔtsɲɛ
hodnotovo	ɢɒdnɒtɒvɒ
hodnotí	ɦoːdmoːtʃiː
hodnovernosť	pɔdnɔbɛrɲɔsc
hodnoverný	ɦɔdnɔvɛrniː
hodná	pɔdna
hodné	hɔdmɛ
hodný	podniː
hodonín	pɔ˥˥pɔ˥˥
hodonínskym	ɦɔdɔɲinskiːm
hodovnícky	aɔtɔvɲitski
hodovný	ɦɔdɔvni
hodváb	ɦodvaːb
hodvábnejší	ɦɔtvɛbˈnɛjʃiː
hodvábnický	ɔdvɒɒbɲɨ
hojnosť	hɒːiːnou̯st
hojný	pojnˈi
hokej	hokˈe
hokejista	okɛnisda
hokejistka!	ɔkɛʎstka
hokejový	okɛːɔbi
holandsko	ɦɔlanskɔ
holandsky	ɦɔlɛnski
holandský	ɦolanskˈiː
holandčina	ɦɔlantʃina
holanďan	ɦɔlanʎan
holanďanka	ɦɔlaɲaːnka
holenie	ɦɔɫɛɲɛ
holič	ɦɔllitʃ
holiť sa	ɦɔlitse
hologram	ɦɔloːgram
holohlavá	ɦɔlɔɦlɔvaː
holohlavé	po˥˩lɔ˥˩ʁa˥˥β̞ɛn˧
holohlaví	pɔloːɦlaːblɪ
holohlavý	ɦɔlɔɦlaːviː
holosko	ɦɔlɔʃkɔ
holota	hɑlɑta
holub	ɦɔlup
holubací	ɦɔlubatsiː
holubica	ɦɔɫubitsa
holíč	ˈoːliːtʃ
holúbä	ɦaluːbɛ
holý	ɔːlɪ
homogénny	kɔmˌɑ̃vˈɛʁlˈuni
hompáľať	omˈpalatˈ
honduras	ɦɔndɔɾɑs
honec	hoɲits
honosné	kɔɾɔsmɛ
hora	hɔra
horal	ɦɔral
horalky	ɦoralkɪ
hore	hoɾe
horehronie	torɛroˈniːɛ
horieť	ɦorjɛtɕ
horizont	parizont
horizontálny	ɔizɔntaːli
horkosť	ɔrɢʊstʃ
horký	ɦorki
horkýže slíže	ɦorkiː ʒɛ sliːʒɛ
hormonálny	formonaːlni
hormóny	armoni
hornatý	ɦornati
hornina	ɦɔrɲina
hornonitrianske	karanomikjɛnɟe
horné srnie	ɦornɛː srɲɛ
horný	ɦorniː
horolezec	rrðɯts
horolezectvo	orɔlɛzɛtstsdʒo
horor	horɔr
horoskop	parazkap
horský	ɦoɾoski
horských	ɦorskiː
horár	hoɾaːr
horúca čokoláda	aː lutsa tʃɒkɔlaːnɛ
horúci	ɦɔrʊtsi
horúčka	ɦorutʃka
horčica	ɦortʃitsa
horšia	korʃja
horšie	ɦorʃi
horší	ɦoɾʃiː
hospodár	hɔspɔdar
hospodáriť	ɦospodaːrik
hospodárny	xɔspɔdauːrni
hospodárstvo	kʰæzbɑːdæɾstɑː
hostia	ɦoːstia
hostina	ostina
hostinec	pɔstɕwɲɛts
hostinský	ɦosciːnskiː
hostiteľ	ostsjkl
hosť	ɔsc
hosťovská izba	hɔscɛɫskaː ʔizbjɛ
hosťujúci	ɦɔstjɔjutsi
hotel	otɛl
hotovo	hɒttabɒ
hotovosť	ɦɔtovɔsc
hovno	ɦɔvnɔ
hovorievať	hovorijeveˈti
hovoril	po˥˩mɑ˥˩rjo˥˩ː
hovoriť	ɦɔvɔri
hovorkyňa	ɦɑvɛrkʲiɲːa
hovorte	ovoɾtsi
hovorí	poːˈvɔlˈ
hovorím iba trochu slovensky.	ɦɔvoːriːm ʲiba troxu sɫɔvɛnskɪ
hovorím po slovensky, ale ešte nie veľmi	hovorɪm poslovɛnskɪ ɛɑːl jɛʃcɛ ɲɛjɛ vɛlmɪ
hovorím po slovensky, ale ešte nie veľmi dobre.	hovorim pɔslɔvɛnski alɛ ɛʃcɛ ɲɛ vɛlmi dɔbrɛ
hovoríte po anglicky?	ɦɔvoriːcɛ pɔ anglitski
hovoríš dobre po slovensky	ɦɔvɔriʃ dɔbrɛ pɔslɔvɛnski
hovoríš po slovensky?	ɦovojiːʃ pˈoslovɛnskj
hovädzie	ovɛdʒe
hovädzie mäso	a vɛtsijɛ mɛsɔ
hovädzina	hoveˈtsiːnɑ
hovädzí	hoːvzi
hozlár	ozlaːr
hozlára	ɦoslaːra
hozlárovi	ɦɔzlaːrofi
hra	ra
hrab	ʁab
hrable	ɦrɐbɫɪ
hrabový	ɦarabovi
hrac	prats
hrad	rad
hrada	ɦrɑda
hradba	hradba
hradská	aratska
hraj	raj
hrajú	ɦnɑːiːo
hral	ra
hrana	aɾana
hranatý	ɦranati
hranica	karaɲtsa
hranice	traniːtsːa
hranie	ɦarai
hranolky	rɑlɔkɛ
hravý	ɦraviː
hrazda	ɦrazda
hračka	ɦratʃka
hrať	ɦrɑt
hrbatý	ɦɾbtiː
hrboľaté	rbɔlatɛ
hrdelný	kardɛɔmɪn
hrdinovia	arɛgjnawja
hrdlička	hard̪lʲitʃka
hrdlo	ɦrdlo
hrdza	ɦɑrdʒa
hrdzavieť	arðʒaβ̞jɛk
hrdzavka	ʁəɦandzəwka
hrdzavý	ɦrdsaβij
hrdý	ardɪ
hrebeň	ɦrɛbɛɲ
hrebeňový	græbˈneovˈi
hriadeľ	aːrijadʒeːle
hriadeľový	ɦriːdʒɛɟalɛvɪ
hriadka	ɦriatka
hrianka	pljankau
hriatô	riatuo
hriech	ɾiːf
