1	jæːj
可耻	kʰoʊ˨˩˦tsɯ˧
可能	qunˈa ɒbˈɒt
台	tɛj˧˥
台中	te˨˦tsʊŋ˥˥
台北	tepo
台北市	tˈɛpˈɔsə
台北車站	de bo tu ze
台南	dˈeːn
台子	be˥˩˦tsɯ˧
台州	tɕʰof
台州三門青蟹	tʰi˧˥wɔ˥˩sɛ˥˥muːn˧˥ tsʰin˥˥ha˥˨
台巴子	tɕjɛ˨˩˦pa˥˥tsɯ˧
台本	tâi̯˧˥fɤŋ˥˥
台湾	tɛ˨˩we
台湾省	te˨˩we˧˧sa˧˧
台灣	tɛːwɛ
台灯	dæɪ̞tæn
台球	teːˈʒu
台语	deɲˈʌ
台阶	plika
台风	pe˨˩˦fɔ˥˥
史	sɯ˥˩
史书	sɯ˥˥
史实	sɯ˥˩
史料	sɯ˥˩ljɛ˥˩
史诗	sɯ˥˩ʂɚ˥˥
右	hjˈu
右邊	ʝau pi
右面向	elmɾuʃe
叵	tɑŋ˨˦
叶	je
叶宅村	ti˥˩tsaʔ˨tsʰu˨˩˦
号	a
号召	a˥˥
号头	eðo
号码	aˈmˌɔː
号脉	aɣu
司	fˈɛ
司令	tsɯ˥˥lɪŋ˧˥
司寇	sɯ˥˥kʰa˥˥
司带脱	sɯˈtɑːt˥hɑŋ
司徒	sɯ˥˩ tu˥˩
司徒廟	sɯ˥˥ tʰow˥˥ mjɛ˥˩
司必灵	sɯ˨˩˦ pjɛ˥
司必灵锁	sipa lˈɪnso
司机（司機）	sɯ˥˥kɤ˧˥
司法	sɯ˥˥fɑŋ˨˩˦
司的克	sta si
司空	tsɯ˥˥kʰoŋ˥˥
司空曙	sɯ˥˥kʰʊŋ˥˥ ʂɚ˧˥
司馬	sɯm˥˥
叽	tsɯ˧˥
叽里咕噜咕	tsɯ˥˩ li˥˩ku˥˥rkʰu˥˥
吃	tʃa
吃不消	ʃˈa fˈasˌeɾ
吃不消你	ʃɔː˧ʃɔː˧nɔː
吃力	ke̞le̞
吃功	sokwɑŋ
吃场	tɕʰi˥˧tɕʰjɛ˨˩˦
吃头挞	tʃʰdːiː tʰɑː
吃官司	tɕʰi˨˩˦kuj˥˩sɯ˥˥
吃布	kəbu
吃惊	ʂɚ˥˩ aŋ˥˥
吃死	tɕja˥˥saa˥˧
吃生活	tɥœ˧˥sɑŋ˥˥uɔ˨˩˦
吃白食	tʃe bˈɑðə
吃累	tʃɚlɪp
吃老酒	tʃloːdʒu
吃茶	tɕʰjɛn˨˩˦
吃药	tɕʰjɛ˨˩˦
吃落	tʃiˈɾoʊ
吃虧	kikːuaɪ˥˩
吃额	tɕʰe˥˥
吃飯	tɕʰeʔ˨
吃饭	tʃɪvɛn
吃饱啦	ʃoˈpɔla
各	ko
各人	niːm
各地	kouji˥˧
各式	tsɛ
各方	konnˈa
各样	koja
各色	dˈiːs
合	ˈa
合办	a be
合口	tɛn˨˩ kʰauː
合并	a pˈim
合格	luːkˈaː
合算	kasaj
合约	xɤ˧˥ɥœ˥˥
合肥	lɔʁi
合适	aˈsia
合魚	ljoʊ˧˥
吉	jɛ˥˩ su˥˩lɤ˥˩
吉他	tʃɛta
吉利	kliː
吉林	tsidiːn
吉祥如意	tɕjɛ˥˥ɑŋ˥˥ʈi˨˩˦
吉祥物	tɕʰatsk˨˩˦ jɛn˥˩fɔː˧
吊	tˈu
吊吊虫	tio tio tsũŋ
吊灯	tio˨˩ŋ˨˩˦tŋ˥˥
吊角	lɛkːa
同	tɐ̃ŋ
同事	tʊŋ˥˥sɯ˥˥
同僚	dˈɔ̃ lˈœ̃
同化	dʊn˨˩xʊ˥˩
同学	toɴgo
同學	tɔŋɔː
同居	tʊŋ˨˩˦tɕy˥˥
同年	tʰʊŋ˨˩˦eː˥˩
同归于尽	tũŋ˨˩kweɪ˥˥ y˧˧ sin˨˩˦
同德一心	tʊŋ˨˩˦tɤ˥˩ɕɪŋ˥˥
同情心	tõŋ˨˩zin˥˥ sin˨˩
同意	dˈom ˈy
同步	tɔ̃mbw˧
同济大学	tʊŋ˨˩˦tsit˦a˥˧
同理心	dok˨sin˩˩˦
同胞	tɔ̃ŋpɔ
同裡	tɑ̃dˈi
同谋	tʰu˥˩ meɪ˧˥
同輩	tʃu paːiː
同里	tɔŋ˥˧liː˧
同龄	dˈom mˈiŋ
同龄人	dʊ̞ŋlʲɪnʲɪnʲ
名	man
名册	mĩ˥˥ tsʰak˨
名号	m̩˨˩ŋ˥ŋaː˧˥
名堂	mãn̪d̪u
名堂经	mĩŋ˨˩tã˥˥tɕĩŋ˨˩
名媛	mjɤ˥˩
名字	mjɛn˨˩˦tsɯ˧
名录	milo
名次	mjtsɯ˥˩
名氣	mɛ̃˨ʰg˦iː˧˧
名流	mjɛn˧˥ljoʊ˨˩˦
名産品	ŋ˥˩ʔɛːpʰ
名票	mɤŋpʰi˥˥
名言	tɛ̃ʁ˧˥ li˥˩
名词	mæŋzɪz
名额	mɛ̃ːɛ
后东村	aːlˈtˈoŋsuː
后中村	tsʊŋ˥˥tsʰŋ˥˥
后卫	xɤ˧˥
后备箱	hŋ˨˩˦ y˨˩˦ peɪ˥˥sɪŋ˥˧
后宫	hɤ˨kʊŋ˥˥
后庭	tsunai
后悔	pɐuːˈliːhɔːiː
后手	hou˧˧
后日	ajɲa
后生	a˥sa˨˩
后生兒	loːsɑːŋ
后生头	tsʰiː˨˩
后生家	jɐu̯˩˧saː˥kʷɔː˧
后退	aʊ˥˩tʰɐi˥˩
向	ɕjɛ˥˥
向右	ɕja˥˥y˧˥
吒	tsu˥˥tsu˥˥
吓人	tsɑning
吓人倒怪	tʰɤŋn˧ tɯɢ˧˥ kʼaː˧˧
吓死	hasa
吓煞	pʰuːsɔː
君	kyn
君子	ku˨˩˦pʰɯ˥˩
君王	tɥœn˧˥ wɑŋ˧˥
吞	tɛn
吞没	am
吟	n̪in̪
吠	beː
否	ʂu˨˩˦
否三否四	foˈiˈɑ̃sosɯˈ
否出言	ʂu˥˩tɕʰy˥˩kɛ˥˥
否啻	ʒuzˈeɪ
否得	fɛteˈi
否會	faj
否訾那顯	futsʰmau̯siː
否講契	fukutʃi
否講聽	ʃkutam
否過門	ʃakumˈaʁ
否響	ʂu˨˩˦
含	e̞
含辛茹苦	he˨˦sĩn˥˥ sĩ˥˧ kʰoʊ˨˩˦
听	kin
听不懂	tʰiːn˥˥
听不见	tʰɪŋ˧˥ʂɚ˥˩
听天由命	tʰi˥˥y˨˩˦mi˥˩
听明	kjɛŋmjɛ̀ːm
听着	te˨˩mã˥˥ha˥˧
吮	sɛn
吮卵	sənˈleɪ
吮吮	sɛnzən
吱吱叫	tsɯ˥˥ʈʂɚ˥˥tɕjɛ˨˩˦
吳	vu
吳拼	umq
吳方言	voŋ˧˥fɑŋ˥˥njɛ˥˩
吳江	mh
吳江閒話	u˨˩˦kɔːŋ˧˥ hɛ˨waː˨
吳淞	losɐ
吳淞江	u˨˩sɔ˥˧ ka˥˥
吳糯軟語	nomɲmɪn
吳語	nˈy
吳越	m˩˩˦eː˧
吳越語	nu˥˩
吴	au
吴(白读)	m
吴县	nˈy
吴国	hou˨˦
吴士彦	ɤ˨z˥˩ n˩˩˦i˨˩˦
吴江	mhˈɛ̃
吴淞江	ŋsʊŋ˥kɔ˧˧
吴语	nɔ̃
吴越	xɑʊ˨˩˦
吴越人	wˌiːt̚˨˩ la nˈiːt
吵	sã
吵架	tsʰjɛn˥˥mɯ˨˩˦
吸	si
吸壁虎	ʃetˈe fˈi
吸碳	kʰiːtɹ
吸鐵石	sɛtːɛ za
吹	tɕʰi˥˥
吹牛三	tsɯ˥˥ny˨˩˦sɯ˥˥
吹牛屄	tsi˥˩ny˥˩ti˨˩˦
吹簫	tsɯ˥˩ɕy˥˩
吹蕭	tsʰɯ˥˩ ʂɤ˥˧
吹風	tsʰɯ˥˥ fɤŋ˥˥
吹風涼	tsʰɯ˥˥fɤŋ˥˥ljɑŋ˨˩˦
吹风机	tsʰɯ˥˥fɤŋ˥˩tɕi˧˥
吻	vɛ̃˨fɔŋ˥˥
吻合	fˈɛɹ
吾	nˈo
吾伉爾	nkʰu˥˩ni˨˩˦
吾伲	nɛ
吾倈	nˈoːlˈɛ
吾儂	mon
吾勿晓得	ɢufa ʃuta
吾厘	nˈɛ
吾叫 ...	ŋɔː˧tsiː˨
吾啦	la
吾尼	uˈniː
吾搭	da
吾搭爾	njɯ˩˦ta˥˩ni˨˩˦
吾有眼勿适意	ŋɔː˩˦yːn˨˩˦ ɛː˥fɑːsɑːzɯː
吾望爾	mˈɔ̃ni
吾来自...	ŋɔ˥˥lɛ˨˩˦tsɯ˧
吾欢喜侬	ʁuhui̞sʃlno
吾等	qʊ̞ðɯ̞n
吾老吃力个	ŋuɬltsʰ iʁeʁa
吾自家学	vˈy ʒˈi sˈɔ̃
吾（吴语湖州闲话）	m
呂	lˈy
呃	kɪ˧˥
呆	ne
呆哩呆痴	ni˨˩˦lɤŋ˥˥i˥˩
呆塘附	nˈə tˈɔ̃ blˈu
呆大	neidau˨˩
呆大儿子	ne˨˩˦ tɤŋ˥˥tsɯ˥˥
呆大儿子格东西。	njɛ˨˩˦ tɑŋ˥˥ tsu˥˥ka˥˥ tʊŋ˨˩˦
呆大弗识	ne̞� vɕi
呆头	nˈeːdəʊ
呆头呆脑	nidentino
呆头木西	ni˨˩˦de˨˩˦mɔ˥˩
呆头鹅	n̪iːɾiŋgɐ
呆忖忖	n˩˩˦ tsən˥˥tsən˥˥
呆木大	nˈemdˈʌl
呆痴痴	mitsɯ˥˥tsɯ˧
呆脱	nˈeːtˈ
呆荡附	ni dˈɑ̃ dˈy
呆钝钝	ɴi̠dɪ̞ŋdɪ̞ŋ
呆頭	nˈidɪ
呉	u
告	ko
告密	tɛːmik
告白	koba
告訴	kesum
告诉	kɔsʊ
告辞	kaˈz
呐噪喊	naːtˢ˞ɔː˧he
呒不	dˈe
呒书到帐	nˈnˈyːtɜ˨˩ʊtʊ˥˩a˥˧
呒人	lɛlɛn
呒做	m̪t̪ə
呒准	mdʒn
呒告	m˥˩s˦ə˥˥
呒告用	mːkɑːjˈom
呒处	mh
呒得	multa
呒数	n˧sɑʊ˥˩
呒料	m˥˩ljoʊ˥˩
呒杲	m˥˩kɑː
呒没	nˈə
呒畀种	m̩˨˩pa˥˥tsʊŋ˥˥
呒胆	mtæ
呒规呒矩	ŋ˨˩˦kua˥˥an˥˩ tsy˥˥
呒队	m̩˨˩˦t̪e˧˥
呒青头	tʰou̯̯˨
员	i˥˩
呝	k
呢	ts
呢大衣	nsð̞az̞
周	dʒu˥˩
周伯通	tseu patro
周作人	tsou̯tɕʊŋ˨˩˦jɛn˩˩˦
周圍	tɕyː˨ wˈaɪ˥˩
周年	tsɤ˧˥ li˨˩˦
周庄	tsu˥˧sau˥˧
周建人	tso˥˩ tsiniŋ˨˩˦
周恩来	tsɐi̯˧˥jɐn˨˩leɪ˧˥
周末	tsɯimma
周樹人	tsɛː ʑ zniː
周润发	tsaˈ zaŋˈgolfe
周璇	tsui˥˧
周而复始	tsweɪ˥˩i˧˥ɚ˥˩ fu˥˩sɯ˥˥
周鼎凡	tsai˥˧tin˥˥ ve˨˦
味之素	vˈɛˈtˈsɔː
味精	mi˥˩ːtsən˥˩
味道	mˈiːdɑ
呷	hɑ̝
呸	pʰeɪn
呸扫	pˈisˈsɒ
呸掃	pe
呼	ʂu˥˩
呼吸器	xu˥˩
呼延	ʈʂu˥˥jɛn˧˥
命	mɪn
命名	mɛ̃nˈmɛ̃
呾	ja˥˩
咄	te
咄鷹	te˨˩ʔe˧˥am˥˥
咋回事体	tsa˨˩˦y˥˩ tsit˦tʰjɛ˨˩˦
咋话	tsɛːn˥˧kɔ̀ː̧
和	mh
和善	χɒze
和尚	ɑ̃n ʁən
和平	ɾubi
和我说你穷有意思吗？	pan˥˥tɕjɛn˨˩˦ʂuɔ˧˥i˥˩ sɯ˥˥
和暖	ul
和解	etʃ
咒语	ke un�ˈjuːnˌiː
咕哩咕嚕	kˈulˈkulˈɯ
咖啡	kaafi
咖啡厅	hɔ˥˥si˥˧tʰɪŋ˨˩˦
咪	mi
咬	m˥˩
咬伤	sa˥˩
咸	ɛː
咸盐	ˈɛ
咸糕	eːkoː
咸菜	e˨˦tsʰi˥˧
咸蛋	hæe̞mˌteː
咸阳一炬	pʰaɪ˨˩˦jɑŋ˥˥ e˨˦
咸青团	tɕʰɪŋ˧˥
咸順順	ozonzoŋ
咸鸭蛋	ajˀaːde
哀个	ɪ̞jˈɑ̃gˈɑ
哀伤	a˥˥sau˨˩
哀婉	eɪˈɔ
哀怨	eʁø
哀愁	iːzuː
哀求	ˈeɪŋdʒɨ
品	pʰiːn˧˥
品位	pʰi˥˩
品牌	pimba
品行	pʰi˥˩
哄	ɦŋ
哆嗦	tɔsˈto
哇	a
哈七八搭	ʌtʃpətə
哈密瓜	amikɯ
哈尔登	heɾdeɾ
哈巴河	havav
哈拉雷	halale
哈摩辣	tamola
哈爾濱	tʰa˥˥m̩˨˩˦tən˧˥
哉	se
响	fɛ˥˩
哎	ˈaɪ
哎喲	ajo
哑佬	aɻ˥˩
哑佬手势	a˥˥la˥˧  sio˨˩˦si˧˧
哑子	o˥˩tsɯ˥˥
哕	ˈo
哜哜糟糟	tsiʈsit˦tsuɔ˥˥tsuɔ˥˥
哜糟	tsuɔ˥˧
員	y
哥	kəˈz
哥利亞	gaːɾiː
哥哥	kukˈuɐ
哥德堡	kɵtɪ̞pɪ̞
哥本哈根	koːpɨn roːjɔkɨn
哦七哦八	o tʃe opa
哦呦	tɕʰiː˨˩˦
哪	nˈoʊ
哪吒	u˨˩˦ʈʂɚ˥˥
哪垯	nˈoːtˈæ
哪能	na˥˩
哭	kwˈ
哭作无赖	kʲap zolgla
哭做五拉	tsuɔ˥˩ u˥˩ la˥
哭法哭法	kwfɑkwfɑ
哭法子	ɢu fts
哭煞	kusˈo
哭笑不得	kosɪ fata
哭诉	ko˥˩sɑl
哲	tɕi˥˩
哲学	tɤ˧˥
哶	mi˥˩
哽落斗	ka˥˥nɔːko˥˧
唇	tsɐn˨˩
唊	lɛ
唐	tɔː
唐僧	tʰoã˨˩sən˥
唐太宗	kɑŋ˨˩˦tʰa˥˥
唐山	doː sɔː
唐朝	taː dʒə
唐高宗	tɑːŋ˨˩ kaː˥˩ sʊŋ˨˩
唔倷	ne
唔爹娘改训	nt̪ɾjˈnˈkejɣ̞sõ
唠叨	dʒoːniː
售	dzəʊ
唱歌	kʰaː˥˥ keʔ˨
唱片	tsʰa˥˥pʰi˨˩˦
唱詞	tɕjɛ˨˩˦ tʐɚ˥˩
啃	kʰaŋ˥˥
啄	tu
商	tɕaː
商业区	sa˥˩ne
商場	ɕjɛ˥˥
商定	sɑŋdɪŋ
商店	ʃʰt˥jɛ˨˩˦tjɛ˥˩
商朝	sanzʊ
商用	sɑ̃ jʊ̃ŋ
商船	sɑ̃ zˈɛː
商议	sɑ˥˥ni˨˩˦
啊	a
啊侄	aːdʒe
啊叔	a seo
啊啦	alo
啊大兒	badaːn
啊太	bɑt˥a˥
啊姐	at˦si˥˩
啊娘	a pavʲerɨɫa
啊嬤	amu
啊寶兒	apen
問	mɑŋ˧˥
問號	mangne
問長問短	mandʑemantɯ
問題	vˈɛ̃ ldi
啘	wɛ
啜生活	tʃiːz heːn wæh
啞	u
啞佬	ˈo lə
啤酒	bi˧˧tsɯ˥˧
啤酒瓶	bi˧˧tsioʊ˥˧ bi˧˧
啥	saː
啥个	sã˥˥
啥事体	saːzˈti
啥人	sʊˈnɪŋ
啥地方	ˈa dˈi fˈɛ̃
啥样子	saɪ˥˥jɛn˥˥tsɯ˧
啥物事	saːmal
啥花头	sa˥˥a˥˧fa˥˥te˨˩
啥辰光	sa˥˩ɑ˥˥zən˥˥kwɑ˨˩˦
啦唻	la˥˥m
啰嗦	lou˨˩sou˨˩
善意	sɔːˈiː
善良	sylˈɛ̃
善行	sɯˈɪn
喇叭枪	lˈaːtpˈaːt
喇叭花	la pa˥˥kum˨˩
喉咙	auˈlɔn
喉咙头	aw lɔŋdo
喏	nɔ̃
喘息	tsʰœn˨˩sik˦
喘死我了	a za tɔwɔlɔ
喚	hlo
喜	ɕi˥˧
喜事	ɕi˥˥
喜欢	si˥˧xwan˥˥
喜气	si˥˧tsi˨
喜酒	ɕi˥˧tsau˧˧
喜鹊	ʂɚ˥˥tɕʰjɑŋ˨˩˦
喝	h
喧賓奪主	tɕy˥˩ tɕy˥˩ tsɯ˧
喫	kik˦
喫補	tsipo
喫飯	fɔː
喫饭	tɕʰvʔ˨
單	tˈɔ̃ɪtˈɔ̃
單下	tɔːw˨
單個	tɔ˥˥kʰai˨˩
單個兒	tokaɛ
單個腦	dokaine
單句講	tˈɑ̃ tˈy kˈu
單條心	tˈo dˈy sˈɛ̃
單生	tʃiːzi˥˧
單路	kolɔ
喷	hən˥˥
喷射	tən˨˩zɔːŋ˨˩˦
喷火枪	pʰɤ˥˩ fu˥˩tɕʰjɑŋ˥˥
喷铜	ɦyn˥˩tʊŋ˥˥
喷香	pʰaŋ˥˥ɕjɛ˨˩˦
喻	zˈɯ
嗅	hˈɑ̃
嗍	sɒ
嗒	tɔː
嗝	a
嗨	hi˥˥
嗯子	ɯtsɯ
嗲	piam˨˩
嘅	kʰiːp˨˩n˧t˥ʰʰɤŋ˥˩pʰiː˨˩˦nɕjɛ˥˩ʈʂu˥˩li˨˩˦ʂu˥˩tɕʰjt˥ʂu˥˩tɕʰi˨˩˦  t
嘈	sɔː
嘉	u
嘉兴	tɕia˥˥sĩ˥˥
嘉定	ka˥˥tsiː˨
嘉定区	tɕja˥˥tɪŋ˥˩
嘉定县	ka˥˥teŋ˨˦ y˧˥
嘉興	u˨˩˦ɕjɑŋ˥˥
嘎三壶	kɕɛ˥˥
嘎三湖	kaːseːv
嘔	au
嘗	tɨ
嘞叻瞎弄	la laħħː buː
嘟哝	tʊˈlɔŋ
嘟囔	dʊna
嘰	i˥˩
嘰哩嘎啦	kɪˌnˈikˈala
嘴	sy˥˥
嘴唇	tsɯ˥˩ sʊŋ˨˩˦
嘴唇皮	tsi˥˩ lɤŋ˥˥ pi˨˩˦
嘴唇膏	zomu kɛ
嘴巴	sɯpɔ˥˥
嘴脣	tsɯ˥˩ ʐən˧˧
嘴脣膏	tsɯ˥˩ tɤŋ˥˥kaɪ˥˥
嘴臭	tsɯ˥˩
嘴舌	ʈʂɚ˥˩
嘴花野味	tsɯ˥˩xu˥˥aɻ˧mi˥˩
噁	u
噁心	uzon
噆	dʒuː t˥
噋	tən˧˥
噍	dˈiʁ
噎	m
噜苏	lau̯sɛʊ
噜苏嘴	lau˨˩sɐu˥˧ʈʂɪ˥˥
噤	dʒaŋ
噦	ˈo
器	tsʰɯ˨˩˦
噪	sou˥˩
噪声	tsɛssam
噪音	tsʰɔ˥˥ i˧˥
噱头	sødæm
噶老	ka˥˥lok˨
嚇	hah
嚇人	a ti
嚨喉	ləŋ˧˥ɑː
嚴	ni˨˩˦
嚴儘	nitʃa
嚴儘式	niã˨˦ tɕĩŋ˥˥ ɕiã˨˩
嚴肅	nɛsɐʊ
嚴謹	nitsʲaɴ
嚴重	nˈidʒu
嚼	ʃa
嚼舌头	ʃa fɛ di
囉哩囉唆	lăw˧˧ li˧˨ lău˧˧ zɐu˧˨
囉唆	lɔoso
囉唆散嘴	lau̯˨˦sɐu˨˩se˨˩ tɕi˥˥
四	sɯ˥˩
四個	sɯ˥˥
四勿像	si˨˩fɤ˧zɤ˨˩˦lja˧˥
四十	sɯza
四十一	sɯ˥˥
四喜湯糰	sɯ˥˩ ʃi˥˩ tʰɑŋ˥˥
四四十六，二八十六	sɯ˥˥sɯ˥˩ lɔ˥ tsipu˥˩ lɔ˥
四季	ʂɤˈti
四季八節	satʃi pui̯tʃi
四季如春	sɯ˥˥tʂu˨˩˦ ʂɤŋ˥˥
四季桂	sɯ˥˥ʈʂi˥˧kuaɪ˥˥
四季蚕豆	sɯ˥˩ ttsɯ˥˩
四季豆	futsɯdɯ
四川	sɯ˥˩ ʈʂʰɤ˥˥
四川闲话	sɯ˥˥tsʰweɪ˥˥ joʊ˨˩˦
四平八穩	si˥˩mɪŋ˥˩ pʰu˥˩wən˧˥
四平路	sɯ˥˥pɪŋ˥˥luən˧˥
四捨五入	sɯ˥˥sʊŋ˥˥tsɯ˨˩˦
四散	sǎ˥˥
四時八節	sɯ˥˥ zy˨˩˦ pɔ˥˥ tsɪŋ˥˧
四月	sə
四海	sɯ˥˥
四海龍王	sɯ˥˥
四眼睛	sizɪz ekin
四脚蛇	sɯt˦iaz˦oɯ˥
四腳蛇	sɯ˥˩ tɕja˥˥tsuɔ˨˩˦
四菱方廊	sɯ˥˥ lɪŋ˧˥ fɑŋ˥˥lɑŋ˧˥
四號	sɯ˥˩
四通八達	sɯ˥˥ tʰʊŋ˥˥ pɔ˥˥
四面八方	sɯ˥˥mj˧˥pɔ˥˥
四點	sɯ˥˩
回	wˈaɪ
回信	weɪ˧˥sin˥˥
回加回	zˈaɪk bˈaɪ
回升	ua˨˦i˨˩˦sɪŋ˥˧
回国	koɯkˈɯ
回复	uaifu
回工	tsiŋ˨˩
回忆	ini
回放	wˈʌn fɔː
回教	weɪ˨˩˦ʈʂoʊ˥˥
回族	wˈezo
回民	lmi
回盤	wˌaibˌɛːu
回礼	wˈeɪri
回答	zˈaɪ tˈu
回绝	weəɹ ˈɪz ˈɪt
回转	vˈa lˈmˈtˈy
回转咷	ʊ tɛ dɔ
回音	tŋ˥˥ĩ˥˥in˥˥
回饋	wekwe
囟	ɕin˥˥
因	jɪn˥˥
因素	jˈʌnˈfɯ
囡	ne
囡儿	laaɔ̃
囡儿头	nendeː
囡儿婿	nən˥˥
囡儿孙	nen sen
囡兒	n˥˩aːn˩˩˦
囡囡	nˈa nˈœ̃
团	˥˥
团圞	døːlø
团子	ʈʂɚ˨˩˦tsɯ˥˥
团结	te˥˩tʃɔ˥˧
团长	pˈaː
囤	au
囥	ko
囫囵	ulɪ̞n
园	i˥˩
园子	i˨˩˦tsɯ˧
园艺	ɛ̃pˌnˈi
困晏觉	kʰwˈan˥˩tl˥
困着	unza
困苦	kʰuən˥˥kʰoʊ˨˩˦
困覺	kɔːŋˈkaː
困觉	kwɑŋgɔː
困难	kʰɔ̀nlɛ
困難	kamɔ
困高	kʰuɔ˧˥
围	y˨˩˦
围口袋	kibˈi
围困	niː kwɑn
围巾	ʐy˨˩˦ tɕɪŋ˥˥
围观	we kə
固	tɛmˀ
固定点	ku˥˧ti˧˧
国	ko
国事	ur
国君	kua˧˧tsyn˨˩
国士無双	ksu˥˥ʂɚ˧˥u˨˩˦sɑŋ˥˩
国家队	ko˥˩ːxa˥˥de˥˩
国庆	ko˨˩ːn˩˩˦im˧˧
国库	kua˧˧kʰau˨˦
国度	kɔdu
国教	kɔ̞tsuɔ̞
国有	kwɛː˨
国母	ãmˌu
国民党	komentam
国王	kua˥˥wɑŋ˧˥
国语	kwan˥˥ʈʂɚ˨˩˦
国际标准	kwa tɕi pʰiʁ˥˥ɑŋ˨˩˦tɤŋ˨˩˦
国际语音学协会	kʰɤ˨˩ʂən˥˥ tɥœn˥˥ hɔ˧˥ jɑʊ˨˩˦aɪ˥˥
图书	tɤ˧˥
图书馆	na u̯sɨkuɪ
图样	daɫja
图画	dˈuː
图腾	dˈoːdˈɛn
图谋	tˈu lmˈɔ̃
圆	tiːm
圆卵卵	jyːlæŋlæŋ
圆形	ɥœ˨˩˦ i˧˥
圆满	jømɯ
圈	ʃˈy
國	ko
國家	kot̪ja
國民黨	komintɔ
國語	kɛːn jˈu
國際	kits˦e˨˩˦
國際標準	kwa tsi pjɑ̃ˈtˈint
圍	u˨˩˦
圍巾	njy˨˩˦kɪŋ˥˥
園	nɛ
園卵卵	y˧˥lɑŋ˥˥lɑŋ˥˥
圓	lɛːm
圓圈	tyt˦˥
圓圈卵	bykylˈɛn
圓珠筆	mʊ̞tsɯ bi
圓眼	i˥˩
圖	tu
圖書館	tʃiːzi tʃiːzi
圖片	tau˥˩
圖畫	tau˥˩
團	dˈø
團圈	dˈø kˈyˈa
團圓	døː
土	tu
土匪	tə tˢ
土家	tʰɤ˥˩ku˨˩˦
土狗	tɛuk˨oʊ˨˩˦
土耳其	tʰɤŋ˥˥ʈʂi˨˩˦
土話	tʰou˥˥
土话	tɔː
土豆	tʊdˈɛ
圣经	sian˥˧tiaŋ˨˦
圤	pʁo
在	tɕʰi˧˥
在 （la）	la
在世	seɪ˥˩
在场	zˈeidʒi
在外	zˈiŋa
在所难免	se˨˩sʌŋneɪ˨˩mi˥˥
地	dˈi
地下	dio
地下鉄	tiu˥˩tʰjɛn˥˥
地中海	nei̯˩˧tsʊŋ˥
地位	dˈeɪnʊ
地势	i˨˩˦
地区	dˈeɪtsˈɛ
地图	tiːtuː
地圖	ð̞ejð̞o
地圖冊	te˨˩tʰou̯̯˧tsʰaː˧
地址	dˈeɪts
地坑	dˈika
地坛	tsɯ˥˩ʂɤ˨˩˦
地域	djˈvæ
地堡	spɔ
地壁蟲	tˈə
地壅	tion
地壇	beido˨˩
地壤	ilˈɔn
地契	ti˥˧tɕʰi˨˩
地宕	ti˥˧lɔːŋ˨˩˦
地拖	ti˥˧ tʰau˧˧
地方	tfɑŋ˧˥
地方地方	diː hoː diː hoː
地板	dɑj pɔɑ
地标	al pi
地步	dˈɛstˈɛ
地毯	i˥˩tʰɛː˥
地浪	ti˥˩lɑŋ˥˥
地滑溻	tsibatˈa
地狱	tiːn˩˥ɔ
地球	tiːd ʒuː
地球人	ti˨˩˦ʈʂɚ˥˥nɪŋ˧˥
地理	ti˥˩li˥˩
地瓜	ti˥˧kwa˧˧
地界	d̪e̞jka
地税	i˥˩ke˥˩
地落撐	tɕi˨˩˦ lɔ˥tsʰa˥˥
地藏王	titsaŋ˨˩˦ wɑŋ˧˥
地藏王生日	dʑidaɴnwa saːɴi
地表	buːpiː
地貌	diːmæn
地质	diˈtsɛ
地道	tiˈe
地金蛉	dʑtɕiɴni
地铁站	ti˨˩ tsɯ˥˩ seŋ˧˥
地雷	ti˥˩le˥ː
地震	tˈitˈom
地面	ti mja
地頭蛇	ti˥˩tʰoʊ˧˥ʂɤ˨˩˦
地鳖虫	dˈɛs ply dˈɔ̃
地點	ti˥˩
场	san˩
场合	stˈɑɹt
场头势	sli˥˩
场头势不灵清	sɑŋ˨˩˦t˥oi˥˩ sɯ˥˥ fɛ˧˥lɪŋ˧˥tɕʰɛn˨˩˦
场面	tɕʰie̞
均勻	kioŋ˨˩ iʊŋ˨˩
均衡	tɕyn˥˥
坊	fɔː
坌	daŋ˨˩
坌雲	tɑŋ˨˩˦jʊŋ˨˩˦
坏	wɑh
坏人	wan˥˥ wan˥˥
坏脱	wa˨˩˦tsʰɤ˥˥
坐	sauː
坐坑	sˈɛv kˈɑːn
坐垫	sˈɛv di
坐标	supjo
坐班房	sˈa pˈɛvwˈˈ
坐監牢	sɐu˥˧
坑	kʰa˥˥
坑溏	kazɔ
坑缸	kaɴ˥˥kɔːn˧˥
坑缸板	kʰan˥˩kʰu˥˥pʰi˥˧
坚	tɕi˥˥
坚信	tɕi˥˥sɪŋ˥˧
坚持	ʈʂi˥˩ʈʂɚ˥˩
坚硬	tɕi˥˥nɑ˥˧
坟	fɛn
坟墩头	fɛntɛnˈdeː
坟头岁	plandauʃ
坠	tsɯ
坦克	pˈekˈa
坼	sap
垂	sã˥˥
垂夜快	se˨˩aː˧ kwɔː˧
垃圾	la sa
垃圾桶	la si˥˧tʊŋ˨˩
垃圾车	lai˨˩˦sɯ˥˥ʈʂu˥˩
垃圾食品	la si zˈapˈpˈnˈ
型	jæn
垟	jˈɛ
垟地	jereɲ
