.ئاسلان	bɑzɫæ
ئورۇنباستى	uɾunpasti
ئورۇنباسقان	uɾunbɑsqɑn
ئورۇندىن	buɾʊ̞ndɯ̞n
ئورۇندۇق	boɾunduŋ
ئورۇنسىز	ɒɾuˈnsiz
ئورۇنسىز ئەندىشە	ɒɾuˈnsiz ɒndiʃɒ
ئورۇنغا	ʊ̞rʊ̞nʁä
ئورۇنلاش	ɔɾuːnlaʃ
ئورۇنلاشتۇرۇش	ɒɾynlɒʃtɒɾuʃ
ئورۇنلاشتۇرۇلغان	ururlɑʃtururlʁɑn
ئورۇنلىرىغا	burunlɛrʁɑ
ئورۇچ	uruʒ
ئوزان	uzun
ئوزانئالپ	ozɑnɑˈɫɯp
ئوزانئەر	uzɑnʔɛr
ئوزانسوي	uzunsɔj
ئوزتاي	pozˈtˈɒj
ئوزگان	uzgˈɑn
ئوسقان	ʊ̞sqɑn
ئوسقاي	ʊ̞sqɑj
ئوسكار	oskɑɾ
ئوشۇقچە	aʃuqtʃæ
ئوغان	ulʁɑn
ئوغراش	oʁɾaʃ
ئوغراشلىق	ɒʁɾɒsliq
ئوغراق	ɔgɾɑq
ئوغرى	ˈɾˈɑ
ئوغلا	ɒgˈlɒˈ
ئوغلاق مەشرىپى	ʔoʁlɑq mɛʃrapi
ئوغلانچۇر	ʔɔʁlɑntʃoɾ
ئوغۇر	ulguɾ
ئوغۇرئاتا	uʁurɑtɑ
ئوغۇرئالپ	ʊ̞ʁʊ̞rɑðɯ̞p
ئوغۇرتېكىن	bɔɢuztïikyn
ئوغۇرلاش	ɔgɔɾˈlɑʃ
ئوغۇزئاتا	oɣuzɑtɑ
ئوغۇزئالپ	buʁuzʔɑlɪp
ئوغۇزئوغلى	ʔuʁuzʔɒʁli
ئوغۇزئەر	aːzɛr
ئوغۇزبالا	onguzbɑmɑ
ئوغۇزباي	buzbɑj
ئوغۇزتاڭ	ɒgustˈɒŋˈ
ئوغۇزتۈرك	ʔuʁuztirøk
ئوغۇزجان	ʊgɔzdʒɑn
ئوغۇش	uʁˈoʃ
ئوغۇشلۇغ	ulgɯzlug
ئوغۇشلۇق	uʁuzluq
ئوغۇل	ɔˈgɔl
ئوغۇلباش	oʁuɫbɑs
ئوغۇلباي	ʊ̞ʁʊ̞ɫbɑj
ئوغۇلتارقان	ʊ̞ʁʊ̞ɫpɑrqɑn
ئوغۇلتۈرك	ʊ̞ʁʊ̞ɫtʏ̞rʏ̞k
ئوغۇلخان	ʔɔʁulχɑn
ئوغۇلكۆز	ɔɦulkoz
ئوغۇلچاق	ʔuʁultʃɑq
ئوغۇچ	ugutʃ
ئوفلاز	ofeˈlaz
ئوق	u
ئوقئات	qɒt
ئوقئاتار	uqɑtɑr
ئوقئاتاي	buqatɑj
ئوقئايكۈن	ʔqʔɑjkyn
ئوقئەر	ɵqɛr
ئوقئەرگۈن	ʔoqwɛrgyn
ئوقان	tʊ̞qːɑn
ئوقانئالپ	qɑnʔɑlɪp
ئوقانئەر	ʊ̞qʊ̞nɛr
ئوقباي	ʊ̞qpɑj
ئوقبۇدۇن	ʔuqbudɪm
ئوقبۇغا	oqpuʁa
ئوقبەر	uqtɑr
ئوقتار	pʊ̞tːär
ئوقتاش	oqtɑʃ
ئوقتاغ	pɔxta
ئوقتاي	lɔːk˨tʰaːhiː˧
ئوقتاڭ	ʔoxtɑŋ
ئوقتۆرە	ʊ̞χtʊ̞ræ
ئوقتۇغ	oqtug
ئوقتۇغخان	ʔuχtuʁkɑn
ئوقتۇنا	oqtunɑ
ئوقتۇچ	ɔkdutʃ
ئوقتۈرك	ʔuχtil
ئوقتېرەك	ɔxteɾak
ئوقجان	buktʃaŋ
ئوقخان	ʔqqɑn
ئوقسار	uqsɑr
ئوقسال	oqsɑl
ئوقسالدى	ʔqəʃɑldi
ئوقسالمىش	ʔuqsɑlmɪʃ
ئوقسالۇر	aqsɑlɑr
ئوقسۆيەر	ʔqsijær
ئوقسۇ	oqsum
ئوقكۈچ	auʁkyt
ئوقكۈچلۈك	ɔχgʏʃlʏ̞k
ئوقلۇق	ɔqɫuq
ئوقماق	qmɑq
ئوقيار	oqjɑɾ
ئوقيالاز	ʔuqijɑlɑs
ئوقياي	oqjaj
ئوقياۋۇز	ɔqjɑwuːz
ئوقچى	uχtʃi
ئوقچىئوغلى	oqtʃiʔɔʁli
ئوقچۇن	oqtʃuŋ
ئوقۇت	hukˈut
ئوقۇتقان	tuqqqqqɑn
ئوقۇتقۇچى	aqutqutʃi
ئوقۇتمان	ɒqutmɒn
ئوقۇتۇش مۇنبىرى	ʔoqtɔʃ mundʒrɛ
ئوقۇدۇم	ɒqidum
ئوقۇش	ʊ̞qʊ̞ʂ
ئوقۇشلۇق	ʊ̞qʊ̞sɫʊ̞q
ئوقۇشمۇ	aqʃmu
ئوقۇغان	ɵqʊ̞ʁɑn
ئوقۇغۇچى	ʊ̞kɯ̞ʁʊ̞tʃʲe
ئوقۇپ بەرمەك	ulqup bɛrmɛk
ئولتۇر	ɔɫt̪uɾ
ئولجا	ʔoltʃa
ئولجايتۇ	ʊɫdʒɑjtɯ
ئولجايتۇغ	uliaːjtɔ
ئولجايتۈرك	ulˈdʒɑjtyrɛk
ئولجۇم	buluʒum
ئولداچ	ultatʃ
ئولگۇنئاي	ulguˈnɑj
ئولگۇنئەر	ʊ̞lgʏ̞nær
ئولگۇنسوي	ulgunsɒj
ئولگۇنسۇ	ulgunsu
ئوماق	ummaq
ئوماچ	umatʃ
ئومۇر	umuɾ
ئومۇرئالپ	umˈuɾɑˈlɯm
ئومۇرباي	umurbaj
ئومۇربەگ	umrbæg
ئومۇرتاش	umurtaʃ
ئومۇرتاي	ʊ̞mʊ̞rtäj
ئومۇرتاڭ	ʊ̞mʊ̞rtʊ̞ɑm
ئومۇملاشقان	ɒmuŋlɒʃqɒˈn
ئومۇملاشمىغان	ʔumuʁlaʃmɑʁɑm
ئومۇمىي	omumi
ئون	un
ئون بىر	un bir
ئونئاي	onˈɑj
ئونئايلىق	unʔɑjliq
ئونئەر	unr
ئونات	unat
ئوناتسۇ	unatsu
ئوناتقۇت	uˈnɒtqut
ئونار	bunɑɾ
ئونارئان	unɑɾɑn
ئونباش	unβɑs
ئونبۇدۇن	unbuˈdun
ئونتاش	ontas
ئونساي	unsˈaɪ
ئونسۇ	bunsʊ
ئونغار	unʁaːr
ئونپولات	unpɫɑt
ئونگۈ	ɔŋy
ئونگۈنئالپ	ulgʏnɑˈlɯp
ئونگۈنئەر	ʊ̞ngʏ̞nær
ئونگۈنئەش	ungines
ئونگۈنسۇ	ongyˈnsuɫ
ئونۇر	unur
ئونۇرئات	wnˈuɾɑt
ئونۇرئال	unurɑˈl
ئونۇرئالپ	bunuɾɑˈlɯp
ئونۇرخان	unurχɑn
ئونۇرسان	unursan
ئونۇرساي	onursɑj
ئونۇرقان	ʔunurqɑn
ئونۇق	unq
ئونۇقئەر	bunuqɒˈr
ئونۇقتاي	onuχtɑj
ئونۇقتاڭ	unukdɑŋ
ئونۇقتېكىن	ʔuniqtækɪn
ئونۇل	unul
ئونۇلتاڭ	unultɑŋ
ئويئال	ɔjɑɫ
ئويئالپ	ɔjɑːlɯp
ئويانئالپ	ujɑnɑˈlɪp
ئويتاڭ	igit˦aŋ˥˥
ئويتوغراق	ojtʊʒrg
ئويتۇن	ojtun
ئويتۇچ	ojtotʃ
ئويخان	ojxaːn
ئويغان	ɑɫɢɑn
ئويغانماي	uɪ̞ʁɑnmɑj
ئويغۇچ	qujʁutʃ
ئويقان	qɑn
ئويلاش	ɔjˈlɑʃ
ئويلاپ	ojɫɑt
ئويلىغان	bʊ̞jlɪʁɑn
ئويلىغىنىدەك	qujˈliˈginiˈdɒk
ئويماق	ʊ̞jmɑq
ئويناش	ojˈnɑʃ
ئويناق	ojnɒb
ئويناقئاتا	ojnɑqɑtɑ
ئويناقئوغۇل	ʊ̞jnɑqʊ̞uɫ
ئويناقئۆز	ojˈnɑqʔøz
ئويناقكۆز	ojnɑqkøz
ئويناقيىگىت	ujnɑqikit
ئويناپ	ojnab
ئويۇلىدۇ	ɔjʊɫɯdɯ
ئوپېرا	opera
ئوپېراتسىيىسى	oːpɾatʃizi
ئوچاق	ɒtʃɒq
ئوڭ	uŋ
ئوڭدا	bˈũŋbˈɐ
ئوڭشىلىدۇ	ɔɦmiʃlɑdu
ئوڭغا بۇرۇلماق	uˈngu bˈuˈrilmɑq
ئوڭلۇق	uŋɫɯk
ئوڭلۇقئاتا	oɴluqʔatˈa
ئوڭلۇقئالپ	ʔuŋluqʔɑlɪp
ئوڭلۇقئەر	wʊ̞ŋɫɯ̞qɛr
ئوۋچى	u˨˩˦tɕʰi˥˧
ئوۋچىبارس	autibars
ئوۋچىلار	ɒvutʃilɒɾ
ئوۋۇتلۇغ	aːtlɔ
ئى	iː˩˦
ئىئانە بەرمەك	beˈɑne beɾmæk
ئىبادەت	ibɑːt̪
ئىبارە	ibara
ئىبارەت	ibɑrɛt
ئىبلىس	iːbles
ئىت	tʃt
ئىتالىيە	ɑjˈtɑliə
ئىتىلسۇ	bitˈtɪlsɔ
ئىجانقاغان	ɪdʒɑnqɑʁɑn
ئىجتىمائىي	aːsdmaːi
ئىخلاس	xlɑz
ئىدارىسى	ɪdɑːrɑsɪ
ئىدارىلەرنى بىرلەشتۈرمەك	id�ˈɒɾlɒˈɾni biɾlɒʃtuɾmɒk
ئىدارە	idara
ئىدارە باشلىقى	idɑrɑ bɑʃlɯ
ئىدى	iti
ئىدىش	ɪ̞dʲɪs
ئىدىل	iˈdil
ئىدىم	idim
ئىدىيىۋى بوپا	a di vi boˈpa
ئىدىيە	idiːe
ئىدۇق	idˈo
ئىدېئولوگىيە	ɪˈdiːɔlɔgiː
ئىدېئولوگىيە سىستېمىسى	ɛdiɔlɔʁijɛ sɨstɪjɪmɪzɪ
ئىرقىلئاتا	tɯ̞rɯ̞qqɯ̞ɫɑtɑ
ئىزا-ئاھانەت	zɑɑhɑnɑt
ئىزباسار	zbasar
ئىزباستى	izbastɪ
ئىزبۆرە	zbœɾe
ئىزبۇغا	zbuʁɑ
ئىزدىنىش	zˈdɪnɪʃ
ئىزدەش	zdɛʑ
ئىززىتىنى قىلماق	ʔizzitni qilmɑq
ئىزكۆرەر	izkøːrær
ئىزكۈن	bizkyn
ئىزولياتسىيە	izuɫjɑtsɯjæ
ئىزولياتسىيە قەۋىتى	izoljɑtsiæ kɛlɛti
ئىزىنى يۇقاتماق	ʔøzini joqatmɑq
ئىزچى	istˈi
ئىزگىل	ɦɪzgjl
ئىزگۇتاي	bizgʏtɑj
ئىزگۈ	bɪzgʊ
ئىزھار	miːˈʌ
ئىزھارىم	zɑːrɯm
ئىستاتسىتىكىسى	atsitʃtʃ
ئىستىراھەت	ʃtrɑɦɛt
ئىستېمال	ste
ئىستەمىخان	stɛmˈxɑn
ئىسسىق ئېقىم	sɯ̞q ʲeqɪ̞ŋ
ئىسسىق بەلباغ	sapˈpˈltˈɑ
ئىسسىقچان	saktɕan
ئىسكىرىپكا	skrpkɑ
ئىسكەندەر	sˈkɛndær
ئىسلام	sɫɑm
ئىسلاھاتى	slɦɑtɪ
ئىسىم	sɪm
ئىسىگ	ɪsˈɪg
ئىسپات	spat
ئىسپانىيە	spaniˈe
ئىش	dˈis
ئىش- ھەرىكەت	ʃɛrkɛt
ئىشباراقاغان	ɪ̞sbɑɾɑqɑʁɑn
ئىشتان	tɑn
ئىشتىن بۇرۇن	iʃtiˈn bˈuˈɾˈɯn
ئىشتىن بەزمەك	ʃtin bɛzmɛk
ئىشتۇت	ʃtʃ
ئىشخانا	ʃxɔːnɑ
ئىشخانىنى	ʃanɛne
ئىششىق	sˈɪp
ئىشقار	ʃqɑr
ئىشكاپ	sˈɑkɑp
ئىشلىتىدىغان	ʃltʰɪdʊ̞ʁɑn
ئىشلىتىش	ʃlʲtɛj
ئىشلىتىلىشكە	sliːtskæ
ئىشلىتىپ	iʃxɛttɛp
ئىشلىتىڭ	ʃlt̪ɪ̞ŋ
ئىشلىتەلەيمەن	iʃlitælæjmæn
ئىشلىرى	iʃljɾe
ئىشلىرىنى	iʃlærænæ
ئىشلىگۈچى	ʃlegutʃi
ئىشلەتكۈچىسى	ʃiʃletkytsʲsi
ئىشلەتكەن	ʃlætkæn
ئىشلەنگەن	ʃlæmgæn
ئىشلەپ	ʃlæp
ئىشنى	ʃtʃɛ
ئىشنى بۇزماق	tʃiʃni pizmɑq
ئىشىغا	ʃiʁa
ئىشىق	sʲɪk
ئىشىك	ʃik
ئىشىك بېكىتىكلىك	ʔiʃɪk bɛkitɪxlɤk
ئىشىككە تۇتقۇچ بېكىتمەك	ʔiʃkɛ tutqutʃ bixitmɛk
ئىشچان	ssʲan
ئىشچى	tɕi
ئىشچىلار	kɪʃtʃɯlɑɾ
ئىشەك	tʃiːzitʃe̞k
ئىشەنچلىك خەۋەر	ʃɒntʃlik χɒvɒˈɾ
ئىغتۆمۈر	ɢtˈmr
ئىقتىدار	qtɯdɑr
ئىقتىدارغا	ɯ̞χtʊ̞dɑrʁɑ
ئىقتىدارى	ɣtdɑːri
ئىقتىدارىغا	ɢtjdɑrɢɑ
ئىقتىدارىنى	aqtadaːrini
ئىقتىساد	axtsɑːt
ئىقتىسادشۇناس	χɛssattʃuˈnɑs
ئىقتىسادشۇناسلىقى	χʲːsatsʲʂunˈɑsliqe
ئىقتىسادىي	ɢtsˈɑdˈ
ئىقتىسادىي بوھران	qɪtsɑdiː bɔxrɑn
ئىككى	ˈaɪ
ئىككى تال	kikːeːʁˈtɑl
ئىككى تۈرلۈك	iktʏrlyk
ئىككىنچى	tɕikːintɕi
ئىككىنچى دەرىجىلىك	ikːintʃi dɛrdʒilɪk
ئىلاج	ilɑʒ
ئىلاجسىزلىق	ilɑːtʃɯzɫeɾ
ئىلبارس	ilbaris
ئىلباستى	ilbˈɛstɛ
ئىلباسمىش	ilbasmɯʃ
ئىلباي	ilbaj
ئىلبىلگە	bilbɪlgæ
ئىلبۇقا	ilbuqqɑ
ئىلتاش	iltâːs̠
ئىلتىرەك	vˈiːltrˈɛk
ئىلتىپات	pat
ئىلتۈزمۇش	iːltuzmuʃ
ئىلتەر	iːltæɾ
ئىلتەچى	piltatʃe
ئىلجان	ildʒan
ئىلداش	mˌildˈaʃ
ئىلدېڭىز	ildoz
ئىلسۇ	ilsu
ئىلغارچى	ulʁɑrtʃʲi
ئىلقاغان	ɪ̞ɫqɑʁɑn
ئىلقۇت	ɫqut
ئىلقۇتاي	bɪlqitaj
ئىلكسەل	iliksæl
ئىلكقان	ilˈkqɑːn
ئىلمىي	ɪlmi
ئىلمەن	bilmæn
ئىلى	ili
ئىلى دەرياسى	jniː dɒriˈjɒːse
ئىلى مەشرىپى	iliː mæsrɛpːæ
ئىلىم	ɪ̞ɫɪ̞m
ئىليىغدى	iljˈɛʁdˈe
ئىلچىنئەر	ɨltʃɪ̞nɛr
ئىلچىنباتۇر	ɨltʃɨnpɑtuɾ
ئىلچىنباش	ilˈtʃinbaʃ
ئىلگىرى	ɾɯ
ئىلگىرىكى	ilgiɾikeː
ئىلھام بۇلىقى	ʔiːnɑ hɑm qwliqqɪ
ئىلەڭگۈچ	ilangitʃ
ئىمارەت	imˈɑrət
ئىمتىھان	ɪmˈtɪhan
ئىمتىھان ئالماق	ɪ̞mtɑhɑn ɑɫmɑq
ئىمرەن	ʲimræn
ئىمزا	imza
ئىمكان	ɛ̃kɛ̃ʁn
ئىملا	ɪ̞mɫɑ
ئىملادىكى	imˈlɑdiki
ئىملاسىنى	mɫɑsini
ئىمىن	ʔiːmən
ئىناقئوغۇل	bʲinɑqʔuʁul
ئىناقيىگىت	inɑqjiˈgɪt
ئىنالچۇق	mʲinɑltʃoq
ئىنانئۆز	iˈnɒnøz
ئىنتايىن	ɪntajn
ئىنتوناتسىيە	intuɲatsʲ
ئىنتېرنېت	ïntɜnˈnɛt
ئىنسانپەرۋەرلىكى	jɪnsɑnpɛrværlɨki
ئىنكاس	inkɔs
ئىنى	yne
ئىنىقسىز	ˈinːqsiz
ئىنگلىزچە	ingliztʃɒ
ئىنگىلىزچە	ɒngliztʃɒ
ئىنەك	jæne
ئىيىبار	ibɒr
ئىيىتۇغقان	tɤqqɑn
ئىيىسان	lisoʁ
ئىيىكۆرەر	iˈjkørær
ئىيىكۈنكۆر	iːinkøɾ
ئىيىيۈرەك	iːɯˈɾɛk
ئىپادىلەش	farˈles
ئىپادىلەندى	qipɑdlɛndi
ئىپادىلەيدىغان	kipaːdlˈajdɑʁan
ئىپادىلەيدۇ	jpɑːdlɛjdu
ئىپادە	ipaːde
ئىپلاس	plas
ئىپلاسلىق	ipɫɑslɯ̞k
ئىچ	itʃ
ئىچكىن	itʃkɪn
ئىچكىي	itʃki
ئىچىدىكى	kitsibiti
ئىچىدىن	kɪtʃʲiːden
ئىچىدە	kitʃde
ئىچىملىك سۇ	ɕitʃimlik su
ئىچىگىرەك	kɛˈtɕiːigrak
ئىچۈرمەك	tˈyrmæk
ئىگدىر	iːgdɪɾ
ئىگىلىگەن	i̠gjɪlʲɪgæn
ئىگە	jˈgɛ
ئىگەم	igem
ئىگەمخان	igemhɒn
ئۆ	fɯ
ئۆت	øtː
ئۆتتى	qɛn
ئۆتكۈرئات	ʏ̞tkʏ̞rɑt
ئۆتكۈرئالپ	ytkʏɾɑˈl
ئۆتكۈرئوغۇز	ʔytqyrʁz
ئۆتكۈرئوغۇل	ʔœtkʏrʔoʁuʁ
ئۆتكۈرباتۇر	ytkyɾpɑtːuɾ
ئۆتكۈرباش	tœtkøɾbɑʃ
ئۆتكۈربول	ʏtkʏrˈbɔl
ئۆتكۈرجان	ʏ̞tkʏrdʲɑn
ئۆتكۈركۆز	ʔytqyrkøz
ئۆتكۈريىگىت	øtkyrjeˈgɛn
ئۆتكۈزىۋەتمەيدۇ	ytkizɪvɛtmɛjdu
ئۆتكۈزگۈچ	dʒʃkuzgʉtlɑ̃tj
ئۆتكۈزگۈچ سىم	ʔœtkizgutɕsim
ئۆتكۈنچى;维吾尔语 (ug)	utkyntʃi
ئۆتكەن	tk̚˨˩an˧
ئۆتكەن يىل	ʔøtkæn jɪl
ئۆتمەي	œtmæj
ئۆتىدىغان	ʏ̞tʏ̞ðʏ̞ʁɑn
ئۆتۈش	ˈœtøʃ
ئۆتۈك	œtʏk
ئۆتۈنچ	ʉtʉnʲtʃ
ئۆرتاش	yrtɑʃ
ئۆرتاغ	wœrtaʁ
ئۆردەك	œrdæk
ئۆردەكچىلەپ مېڭىش	wurdæk tʃiðɑt mɛŋiʃ
ئۆرسان	ɪɾsɑn
ئۆرسەل	ʉrsɛl
ئۆركەشئەر	pʏrkæʃɛr
ئۆركەشقان	ʏrkæʃqɑn
ئۆرلۈك	ʉrlyk
ئۆرلە	ʉɾɯnˈdæ
ئۆرۈك	ʉryk
ئۆرۈمە	œrymæ
ئۆرۈنئالپ	ʔørynʔɑlɯp
ئۆرەن	mhm
ئۆرەنمىش	ʏrenmiʃ
ئۆز تەجرىبىسىنى بېيتىماق	kɒz tɒdʒɾbˈisniˈ bˈitmɒˈp
ئۆز ۋاقتىدا	øz vaqtɯda
ئۆز- ئۆزىگە	ʉz ʉzigæ
ئۆز-ئارا	øzɑrɑː
ئۆزئاتا	ozɑtːɑ
ئۆزئاتاي	øzɑtːɑj
ئۆزئارسلان	øzɑrislɑn
ئۆزئاقان	ʔøzʔɑfqɑn
ئۆزئاقاي	øzɑqˈɑj
ئۆزئالتۇغ	ʔøzʔɑltu
ئۆزئالتۇن	ʔøzʔoltʊn
ئۆزئوزان	øzɔzɑn
ئۆزئوغۇل	ʔøzʔɔʁun
ئۆزئىلتەر	ʉziːlttɛr
ئۆزئىنان	ʔuzːoːnal
ئۆزئۆندەر	ʉzʉndær
ئۆزئۈن	ʔøzʔyn
ئۆزئەرتىنچ	ɔzɛrtintʃ
ئۆزئەردىم	ʔøzʔɛrdim
ئۆزئەرمان	ʔøzʔɛrmɑn
ئۆزئەك	dʒuzʔɛk
ئۆزئەن	øzɛn
ئۆزباش	ɒzbɒs
ئۆزباغ	øzˈbɑː
ئۆزبال	ʒuzbal
ئۆزبالا	oːzbala
ئۆزبىك	ozbik
ئۆزبىكىستان	ɒzbˈikˈstɒn
ئۆزبىل	ʉzbʉl
ئۆزبىلگىن	ʔøzbɪlgɪn
ئۆزبۇغا	ozbuʁa
ئۆزبېك	ʉzbe
ئۆزبەر	ʉzber
ئۆزبەرق	ʔøzberak
ئۆزبەكقان	ʔøzbɛkqɑn
ئۆزتارخان	ʔøztɑrχɑn
ئۆزتاش	zɯtaʃ
ئۆزتاغ	øzˈtɑː
ئۆزتاق	ɔztaq
ئۆزتامار	ʔøztɑmɑɾ
ئۆزتوغرا	zɒztɒˈgɾɒ
ئۆزتونار	ʔøztonɑɾ
ئۆزتىلماچ	ʉztɯlmɑtʃ
ئۆزتىلەك	ɔztilɛk
ئۆزتۇران	ʌztʌɾɑn
ئۆزتۇردى	iztʊrdi
ئۆزتۇرغان	ʔøzturʁɑn
ئۆزتۇغا	ɔztɔʁɑ
ئۆزتۇغقان	ʔøztuqqɑn
ئۆزتۇنا	øztˈunɑ
ئۆزتۇپراق	ʊ̞ztprɑq
ئۆزتۇچ	iztutʃ
ئۆزجان	ʉzgɛn
ئۆزجەبە	izdʒɛbɛ
ئۆزخاقان	ʔøzχɑqɑn
ئۆزدەش	oˈzdɒs
ئۆزدەك	ɒzdɒk
ئۆزدەل	ozˈdɒl
ئۆزرۇم	ʊzrum
ئۆزسۆيگۈ	ʉzsøjgʉ
ئۆزسۆيەر	ɵzsɯgɛr
ئۆزسەل	yusˈsɛl
ئۆزسەلەن	øzsɛlɛn
ئۆزشان	gøzʃɑn
ئۆزشاھىن	ʒʊ̞sʰɑːhĩːn
ئۆزقان	ʔøzqɑn
ئۆزقايرا	ʔøzqɑjˈra
ئۆزقۇتئال	ʔøzqutʔɑl
ئۆزقۇتئاي	ʔøzqutʔɑj
ئۆزقۇتلۇق	ʔøzqutluq
ئۆزقۇرت	ɒzqurt
ئۆزقۇل	ʔizqul
ئۆزكۆك	ɔzcøk
ئۆزكۈمۈش	ʌzkymyʃ
ئۆزكۈچ	øzkytʃ
ئۆزكە	ʊ̞zkæ
ئۆزكەر	ʔøzkæɾ
ئۆزكەنت	øzˈkennit
ئۆزلۈكئەر	uzlɪkɛr
ئۆزمۇت	ʔøzmut
ئۆزمەن	ozmen
ئۆزى	øzˈe
ئۆزىتوغرا	ʔøzitɔʁrɑ
ئۆزىنى	ɒzini
ئۆزىنى ئىلىم-پەنگە بېغىشلىماق	ʔøznɨ ʔillimp hɛŋgɛ beʁɪʃlimɑ
ئۆزىنى بوغۇزلىۋالماق	ʔøzini bɔʁizdɤvɑlmɑq
ئۆزىنىڭ	ʔøziniŋ
ئۆزىڭىزنى	øzɯzni
ئۆزىڭىزنىڭ	uzuzuznɯ
ئۆزىگە	ɒziˈgɒ
ئۆزيۇرت	øzjurt
ئۆزيۈرەك	ɒzjyɾɛk
ئۆزيۈكسەل	øzjysɛl
ئۆزچىنار	ʉztʃiˈnɑr
ئۆزچەۋىك	ɒztʃɒvik
ئۆزگىرئاي	ʏ̞zgʏ̞rɯ̞ɑj
ئۆزگىرىشچان	izqɾiʃtʃɑn
ئۆزگىچىلىك	øzgitʃurupq
ئۆزگىچە	æzɣitʃe
ئۆزگۈرئەل	ʏ̞zgʏ̞ræl
ئۆزگۈن	ʉzgyn
ئۆزگۈنئەر	ʔøzgynʔɛr
ئۆزگۈنەش	ʔøzgynes
ئۆزگۈۋەن	øzgyvɛn
ئۆزگەئەر	ʔøzgæɛr
ئۆزگەرتىلدى	ɒzgɒɾtiˈldi
ئۆزگەرتىپ	jɛzgɛrtjɛt
ئۆزگەنباتۇر	ʏzgænpɑtʊɾ
ئۆزگەنچ	ʉzgɛntʃ
ئۆزھال مۇقامى	qɒz hɒlmuqɒˈmɒt
ئۆزۈك	yzyk
ئۆزۈم	ɵzim
ئۆزۈممۇ	ozimmu
ئۆزۈمنىڭ	jɛzymnɨŋ
ئۆزۈمگە	ʔøzymgæ
ئۆزەقان	ʔøzɛqɑn
ئۆزەڭچۇ	øzɛŋtʃu
ئۆستەڭ	ʔɑstɛŋ
ئۆسمۈر	uzmˈir
ئۆسمۈرلەر	ʏ̞ʂmʏlær
ئۆسمە	ʉsʲmæ
ئۆسەرباتۇر	ɵsærbatur
ئۆسەرجان	oˈsɛrdʒɑn
ئۆغۈت	ə-ʁut
ئۆكئەر	ɛkr
ئۆكتۈزۈن	buktʃyn
ئۆكتەنئەر	ʏ̞ktænɛr
ئۆكۈز	ʏ̞kːʏ̞s
ئۆلكىلىك	œlkiˈlik
ئۆلكە	ulka
ئۆلمەس	ulmɛs
ئۆلمەسئاتا	ʉlmæsɑtɑ
ئۆلمەسئوغۇز	ʔylmɛsʔuʁuz
ئۆلمەسئەر	œlmæsɛr
ئۆلمەسئەرجان	œlmæsɛrdʒɑn
ئۆلمەسئەرقان	ʉlmæsʔærqɑn
ئۆلمەسئەرك	ʉlmæsʔɛrɛk
ئۆلمەسئەرەن	ʔylmɛsʔɛrɛn
ئۆلمەسباي	ʔylmɛsbɑːj
ئۆلمەسبولغان	ʔølmæsbir
ئۆلمەسبەرق	ʉlmæspæræk
ئۆلمەسبەگ	ulmɒsbɒg
ئۆلمەستاش	ølmeztaʃ
ئۆلمەستۈرك	ølmæstyrøk
ئۆلمەسكۆز	ʉlˈmɛsjut
ئۆلمەسيىگىت	ʉlmɛsjɪˈgɪt
ئۆلمەكنىڭ ئۈستىگە تەپمەك	ʔœlmɛkmɪʁ ʔystigɛ tɛtmɛk
ئۆلچىمى	ɒltʃimi
ئۆلچىمىگە	ɒˈlˈtʃimigɒ
ئۆلچىمەك	ɔɫtʃɯmɛk
ئۆلچەش	ultʃeʃ
ئۆلچەش مۇلازىمىتى	wɪtʃæʃ mɪʎɑzɪmɪtɪ
ئۆلچەم	tʃøz
ئۆلچەمدە	ʉltʃɛndæ
ئۆلچەملىك	øɫtʃɛmɫɯc
ئۆلۈك	ʏlʏk
ئۆلۈك تن ترئىك ياخشى	ʔyliktim tirɛk jɑχʃi
ئۆلۈم	ølʲym
ئۆلۈمگە مەھكۇم	ʔylymgɛ mɛhkum
ئۆم	ɛm
ئۆمىكى	imiki
ئۆمۇرجان	ɵmʏrdʑaːn
ئۆمۈر	ømʏr
ئۆمۈر بۇيى	ʔømur bɔji
ئۆمۈرئاتا	ʏmʏ̞rɑtä
ئۆمۈرئەركىن	ʏ̞mʏ̞rærkɪ̞n
ئۆمۈرلۈك	ymrlik
ئۆمۈچۈك	ɛmytʃɛk
ئۆمەر	ʏmær
ئۆمەرجان	ʉmærdʒɑn
ئۆنئال	ynɑl
ئۆنئايدىڭ	œnʔɑjdɯŋ
ئۆنئىز	unɛz
ئۆنئەن	œnˈɛn
ئۆنكۆرەر	ʏ̞nkɔjʁɫær
ئۆنچەل	œntʃɛl
ئۆنگۈت	njyt
ئۆنەل	pɛnɛn
ئۆي	ˈɵɛ
ئۆي خېتى	œ̞j tˈe
ئۆي قۇتلاش مەشرىپى	ʔøjʃ qutlaʃ mɛʃripbi
ئۆينى بېزىمەك	œynʲi beːzmɛk
ئۆينى بېسىقتۇرماق	jini bisɯkturmɑq
ئۆيگە بېكىنمەك	ʉjgɛ bekindek
ئۆيگە چىراغ بېكىتمەك	ʔøjgɑ tʃirɑʁ bekitmɛk
ئۆيۈمدە زاغرام يوق، ئېتىم مارجان بۈۋى	ʔøjimdɛ zɑʁrɑm joq etim mɑrdʒɑn bywʔej
ئۆچ	ytʃ
ئۆچمەس	etʃmez
ئۆچمەنلىك	ltʃmentlɛk
