(ممتاز حسین (مصنف	multasuzɛ
بھرتی کا	bʱɛːtikaː
بھرتی کا آدمی	bʱɾt̪iː käː ɑːd̪ʋiː
بھرتی کرتے	ɓʱɪːɾtiː kɐɾt̪e
بھرتی ہونا	ʋɾt̪iː ɦoːnə
بھردے	merde
بھرم	bʱɾəm
بھرمار	ɦɾmɑɾ
بھرنا	bərnˈo
بھروانا	ɓʱɐɾʋɑːnɑː
بھروسا	bɔɾɔːˈɔsɑ
بھروسا کرنا	bəɾəʊzə kəɾnə
بھروسا کرنے والا	pəɾoːsə kɐɾne ʋɑːlɑː
بھروسا ہونا	bʱɾoːsɑː hoːnə
بھروسہ	bʱəɾoːsə
بھروسہ کرنا	bʱaroːsaː kərnɑ
بھروسے	boːɾosˈe
بھرَشٹ	mˈaɾˈɛʃt
بھرپور	bˌarˈpˈor
بھرپور شباب	bʱɾɸuːɾtʃbʱɑːm
بھرپور غذا	bʲɛr puːr ɪzə
بھرپور کوشش	værpʊr koˈʃis
بھرپور ہوتے ہیں	bʱɾpʊr ɦoːt̪eː ɦẽːʔ
بھرپورمُزاحمت	bʁʊɾdʒʊjmɑwɦɯmət
بھرکس	lurkas
بھرکس نکال دیا	bʱɾqɐs nɪkɐl ɖɪjɑ
بھرکس نکالتے	bʱəɾəkəs nĩːqɑːɭt̪e
بھرکس نکالنا	gʱuːɾkaːs nɖɪkɑːlna
بھرکس نکالے	bʱʱɾqəs nĩːkaːle
بھرکس نکلا	gʊɾkəs nikɫä
بھرکس نکلتے	bʱoːɾəkɑs nɪkɛltɛ
بھری	bʱɾiː
بھری دنیا	bʱoːriː ɖʊmjɑ̃
بھری پلیٹ	bʱaɾiː pə lət
بھلا انسان	balaː ɪnˈsɑn
بھلا نہ ہوا	baːlɑː nə ɦoːʔ
بھلا یہ	ɦɑːlɑːjeː
بھلائی	bʱɐlaːɪ̯
بھلایا	bʱoːləːɑːɪ̯
بھلوال	bʱoːlwaːl
بھلکڑ	boːləʔə
بھلی	boːl
بھلی کہی	mɐlːiː qɐɾiː
بھلے	balə
بھلے مانس	bʱəlɛ maːnus
بھلے مانس بنو	ɓʱɑleː maːnus bənu
بھمبر	bɐmbiːl
بھمبیر	benbiɾ
بھن بھنائی	bʊnˈɓʊnaːiː
بھن بھناہٹ	bunˈ buniˈ hɑt
بھنا گوشت	buːnɑː gˈoʃt
بھنبھنانا	qɔjjænˈʔana
بھنبھورِ	mɐ̃uɐ
بھنور	nˈɐmdɑr
بھنورا	ɦoːrˈa
بھنوﺅں	mˌaˈɔl
بھنڈی	gʱɪnˈdiː
بھنڈیتی	ɓəɳeːtiː
بھنگ	mʃk
بھنگ خور	bˈɑŋgəɾ
بھنگا	bunˈgə
بھنگن	bʱoːŋaː
بھنگی	baldeːnˈ
بھوبھل	bobəl
بھوت	bʁˈut
بھوت سوار ہونا	buːt sɔvɑːr hɔnɔː
بھوت نگر	ˈuɭtsʌd nʌgˈɑr
بھوت پریت	put prɛt
بھوت پریت کا سایہ	bhoːt̪ pɾiː kɑːsɑːjɑː
بھوج پوری زبان	bʱoːtʃ puːriː zbɑːl
بھوجن	ɦɔɫdʒan
بھور	wˈɔɹ
بھور ہوئی	bɦoɾ kʊiː
بھورا	bɾˈuːdɜ
بھوری	ʊɾiː
بھوری ہوں	bʊɾiː ho
بھورے چاولوں	ɓʊɾe tʃɑːʋlõn
بھول	buːl
بھول بھلیاں	ulɯl gəlˈajɲˈa
بھول بھلیوں جیسا	qul qul ʔ ʔjnˈz ˈdʒɑːsæ
بھول چکے تھے	gʊl tʃʊːkeː tʰeʔ
بھول گیا	boːl gɪjɑ
بھولا	buβoɾla
بھولا بھالا	pʊla bala
بھولا بھٹکا	boːlə bʱɐʈːɐ
بھولا نہيں بلکہ	ʋʊlən ɦĩː bɪlkɛ
بھولابھالا	ɦoːnəbʱɑnːə
بھولنا	bʊlnə
بھولی بالی	bʱoːliː baːliː
بھولی بسری	ɦoːliː bsɾiː
بھولی بسری یادیں	goːliː βʃri jɑːd̪eʔ
بھولے بسرے	guːle bəsre
بھولے بسرے نغمے	guɾle bəsɾe nʁme
بھولے نہ بنو	ɓʰoːl nə bənɦo
بھومی ہار	muːliː hɑːr
بھون کر	buuːnkɐ
بھونرا	bɐbɾa
بھوننا	buon
بھون٘چال کی آواز	moːʈʃɑːl kiː ɑːʋɑːz
بھونپو بجنے لگا	mɑuːʔ bdʒneː ləgɑ
بھونچال	bonʧa
بھونڈا	bʊɳɖɑ
بھونڈاپن	bʱoːlɑːpəm
بھونکنا	bʁʊ̞nkɔnˈa
بھوُرا	bura
بھوٹان	bʱuːtaːm
بھوٹانی	ɓʱuːʈɑːniː
بھوپا	bɾopɐ
بھوک	buk
بھوک سے	auɣ̞sɛ
بھوک کو مٹانا	ʃuː kɔː bʈanɑː
بھوک ہڑتال	ʊ kʰɔtɑl
بھوکا	ɻˈuːkə
بھوکاننگا	ɖʊˈkænəŋgə
بھوکی	ɾɔːkˈi
بھوکی نگاہیں	bʱoː kiː nɪgɑːɦeʔ
بھوکے	ɾuːke
بھوکے رہ کر	bʱoːkʰe ɾəɦkɾ
بھوں	boː
بھينٹ دينا	ɖɛʈ d̪eːnə
بھينٹ چڑھانا	ɣʱeːʈ tʃʰɑːnɑːʔ
بھَونکنا	bʱoːknə
بھُوکا رہ کر	nu ka aːrɛtɪ̞r
بھُگتنا	bʊ̞gətmɑː
بھِیکھ	gʱiːk
بھٹ شاہ	bʱɪktʃa
بھٹ کٹّیا کا پھول	ʋɐt̪ kʈijɑː kaː fuːl
بھٹورا‎	toɾa
بھٹک	bəɾtə
بھٹکاراستہ	ɓʱɑːɖkaːɾɑːst̪aː
بھٹکانا	bʱɑːt̪kaːnɑː
بھٹکتی	bɐɖakːiː
بھٹکنا	btknə
بھٹکوُں	bˌʌtkuː
بھٹی	bʱɑʈːiː
بھٹے کے دانے	bʊɐt̪tʲe keː d̪ɑnɪ
بھپرنا	maːpaːraː
بھپرے ہوئے	bʱɑpre ɦoːe
بھپک	bɑpɑ
بھپکی	bʱɑːpkiː
بھپکی دینا	bʱoːqd̪eːnə
بھڑ	bɫʉ
بھڑ کے چھتے میں ہاتھ ڈالنا	ɓʱɪl keː tʃʰət̪t̪eː mɛ̃ː ɦɑːtʃʰnäːn
بھڑا	ɳeɳa
بھڑبھونجا	bʱɑːlbʱuːɳdʑaː
بھڑبھڑیا	ɓʱɑːlɓʱɑːɾiːə
بھڑجانا	bʱɪɾdʒɑnɑ
بھڑنا	bɾɛɬuna
بھڑوا	bɯ̞ɫʊ̞
بھڑواگیری	bʱɾwaːgɪɾiː
بھڑک	bˈaɾt
بھڑک اُٹھی	mʰaɺaː aːlmɕiːm
بھڑک اٹھنے والا	bəɺak ʊt̪ne ɑːwɑːd̪aː
بھڑک دار	bɑɫɑk dɑlɑlɑr
بھڑکائے	bʱɦlkaːə
بھڑکاتی	ʋɳkɑːt̪iː
بھڑکاتی ہے	ɓʱɽkət̪iː ə
بھڑکانا	balkˈɑnə
بھڑکاچھتّا	ɓɾɑːkaːtʃʰt̪ːa
بھڑکتی	ɓʱt̪iː
بھڑکتی آگ	ɓʱɪɳt̪iː ɑːg
بھڑکنا	bˈaɪlˈʌnnˈa
بھڑکیلا	bʱɽkeːla
بھڑکیلے رنگ	bʱɐtjle ɾaŋ
بھک سے اڑنا	bək seː oɺna
بھکارن	ʋigɑːɾɐ̃n
بھکاری	ɓɾiːkaːɾiː
بھکاری بچے	ɖgaːɾiː ətʃʰe
بھکر	pɐkːɐr
بھکّر	bakːar
بھکڑ	bəkːər
بھگا دیتا ہے	bʱɐgɑː ɖeːt̪äː ɦɛː
بھگایا	bgɑːjaː
بھگت	bʌgat
بھگت رہاہوں	bʱʊgt̪ ɾəɦɑː ɦoːu
بھگت پورہ	bʊ̞gʊ̞t puɾa
بھگتا گئے	ɖʊkʈə gɪ̃ː
بھگتنا	bugɒtma
بھگتنا ہوگی	bokta ɦogi
بھگو بھگو کے لگانا	bʊɣoːoː buɣoː ke lɑgɑnɑ
بھگو کر	bɾˈɪŋgɐ ɔlˈkɑɾ
بھگوا	bəˈguə
بھگوان	bˈˈɑkˈjʋɑːn
بھگوت	bˈɔkbˈok
بھگونا	be̞gɒːnæm
بھگویا جاتا	gojɑː gɑːt̪ə
بھی	biː
بھی دی	bʱeː d̪iː
بھی دیکھا	pliː dekˈa
بھی دیکھے	niː kˈæˈ
بھی ہوئی	bʱiːqwˈˈi
بھیانک	majaːnɑ
بھیانک خواب	bəjɑnɑt kwɑm
بھیانک سکون	bʱiːaːnk sqoːn
بھیج دیا	ˈeɪ diːɹ
بھیج دیجیے	pɛndididɛ
بھیجا	bʱɛdʒɑ
بھیجنا	majdʑina
بھیجی جاتی	bʱɪdʒiː gɑːt̪iː
بھیجیے	ɾɛʄi
بھیجے	beːɣe
بھیجے جائیں	ʈʂɪdʒɑːiːn
بھید	beːd
بھیرا	bæːrɑː
بھیس بدل کر	ʋeːs bdnkər
بھیس بدلنا	beːs bɛn ænlɑr
بھیل	bˈeːl
بھینس	mʃˈ
بھینس کے آگے بین بجانا	bʱɛːs keː ɑːgeː biːn bd̪ɑː
بھینسا	beza
بھینسوں کا باڑہ	bʱɛsɔ kə bɑːɾɑː
بھینٹ	b̪eːt̪
بھینٹ چڑھاتی تھی	ʋeːɾtʃɾɦɑt̪iː θiː
بھینچنا	beninʃnɑt
بھیڑ	bvˈɪl
بھیڑ بکریاں	bʱeːɽ bəkɾiːɑː
بھیڑ بھاڑ	biːɖbäːɾ
بھیڑ لگانا	d̪eˈʃt̪ els al̪t̪s
بھیڑ میں	ɣeːl mɛ̃ː
بھیڑ چال	bʱeː ʈʃɑːl
بھیڑ کا بچہ	ɓeːɭəː käː bt̪ʃ̪a
بھیڑ گوشت	ɓʱɪɾ gʊtʃ
بھیڑبھاڑ	mɪɾbʱaː
بھیڑنا	bɪˈɦeɾlɑn
بھیڑچال	bi̯əɽtʃɑːl
بھیڑیا	bʁˈiliə
بھیڑیے	bɦʊːriː
بھیک	k
بھیک مانگنا	biːg mæŋla
بھیکَڑ	d̪eːkaːr
بھیکُری	diːkɔɾiː
بھیکھ	bɪk
بھیکی	ʋeːkʰiː
بھیگ	bˈiːg
بھیگا	bʱigɑ
بھیگا ہوا	biːgəˈlo
بھیگتی	bɾɛɦit̪i
بھیگنا	bignɔ
بھیگی بھیگی	ɓɛgɪ bɛːgiː
بہ اتفاق آرا	laˈtˈdˈʒˈtttˈsˈɛstkəlˈ
بہ خوبی	baxoːbi
بہ رضا و رغبت	berɑza o rʊmət
بہ زُعم	bazum
بہ سرو چشم	ba ˈsəˈro tʃaʃni
بہ شمول	baʃuɣul
بہ طور	bˈɐtˈɾ
بہ ظاہر رنگین	bzaːhil rngiːn
بہ غائر	bɑɣɑɛv
بہ مقابلہ	mɑn muqaʔablɑ
بہ نام خدا	baːnnoːnˈde xda
بہ وجوہ	baʊwʒuːn
بہ ہر حال	bʱɾɦɑːl
بہ ہر نَفَس	baɣər naˈfəs
بہاؤ	bal
بہائے	bʱɑːɪ̯
بہادر	bɑɦɑːdʊr
بہادر یار جنگ	maːhaduːr jɑːrtʃɑm
بہادرانہ قصے	baːhadwˈrɑnə qoːsə
بہادرآباد	bɒhɒːdʒrɑːbɑːd
بہادرشاہ ظفر	mɑhɑdʒr ʃɑh zɑfər
بہادری	bʱɑːd̪ɾiː
بہادیا	baːhaːdiːne
بہار	baːʃɑːr
بہارستان	mɑhɑrstɑːn
بہاروں والا	muharɑn waˈla
بہاری زبان	beːˈtʃɑːr iː zʊˈvɑːn
بہاری کباب	ɪjɑːɾiː kəbɑːm
بہانا	bʱɑːnɑː
بہانوں	bɑɦɑnɔ
بہانہ	bɑhˈmɑ
بہانےباز	bɑhɑnbɑːz
بہانےبازی	bʱɑnɛbɑːziː
بہاولنگر	mɑhɑlnɛdar
بہاولپور	mahabəlpuːr
بہاولپور‎	baɦʔɑːwːlpoːr
بہبودی	bhæʊːdiː
بہت آسان ہے	boːk ɑːsɑːn ə
بہت امیر	beːt̪ əˈmiːɾ
بہت اچھا	mɒhɒt adʃˈa
بہت اچھی	mʱeːt ɑtʃːiː
بہت اچھے	mɦʊt̪ ɑːtʃʰe
بہت بڑا	ɦoːnbʱliː
بہت بڑا فنکار	beːt̪ beːt̪ fnkaːr
بہت بڑا مسئلہ	beˈt beˈɺɑː mɑːsɑːli
بہت بڑی سازش	boːt̪ beːɽiː sɑːzeʃ
بہت بڑے معلم	baˈd bəˈɺe mɑnˈnim
بہت بھلے	moːhɑːt bʱɛleː
بہت بہت بڑے بڑے	baːt̪ bəɦɔt̪ bɐɽeː be
بہت تاخیر سے	boːt̪ tɑːxɪl seː
بہت تیز	bˈot teːz
بہت جتن	baːdʒət̪eːɾ
بہت خراب	moːhɒːt qɑrɑb
بہت خوب	bɣɑt χub
بہت دور	mɑhɑt doːr
بہت دور ہے	mɦʊt̪ doːr eːeːʔ
بہت دُبلا ہو جانا	boːt̪ d̪ʊbɐlə ɦoː gɑt̪oːʔ
بہت راہ دکھلائی	boːt̪ ɾɑːh ɖɪkt̪ɑː jiː
بہت زیادہ	beˈhɑj zædæm
بہت زیادہ تیز	beˈhɑj zɑhɑd keˈtɕ
بہت سارے	muhd sɑːrɪjː
بہت سنجیدگی سے	boːt̪ sɐndʒiːd̪giː seː
بہت سوں	bˈɔ̃tˈɛsɔ̃
بہت سٹ پٹانا	boːt̪ sɐt̪ paɾaːnə
بہت سہانا ہے	boːt̪ sʊɦɑːnə ə
بہت سے بھائی	boːt̪seː bʱɑi
بہت سے غلط	beˈɑːt se gɑlɑt
بہت سے لوگ	boːt̪ seː loːg
بہت شرائط	muhəl ʃɾɑːɪt̪
بہت عمدہ	muhɔt umda
بہت مایوسی	ɓʱoːt̪ maːjɔː
بہت محنت کی	boːt̪ məhmət kiː
بہت مہنگی	baːt baɦdiː
بہت نکلے	beˈʃɑːt nklɪ
بہت پرانا تعلق	muhɔt turɑnɑ tʔɑlluq
بہت پسند آئے	boːt̪ ɔslə nəɑːjeː
بہت کم	bɦoːt̪ kæm
بہت کچھ	baːt kətʃ
بہت کچھ قصّے	boːt̪ kotʃ pə seː
بہت کچھ لکھا	boːt̪ koʃ liːkʰɑ
بہت کھانے والا	boːt̪ kʰɑːneːʋɑːlɑː
بہت کی	mɦʊt kiː
بہت گرم	beˈʁɑt gæɾm
بہت ہی بڑا	moːhət̪ kiː bəɽɑː
بہت ہی خوشی	bɒːtʃiː xoʃiː
بہتا	bɑhtˈ
بہتان	mohtn
بہتان باندھنا	moxtaːn bɑn dʒæˈnɑh
بہتان طرازی	bɦʊtaːn tˈraːzi
بہتر	beːtːɛr
بہتر انداز	beːtɑr ɑndɑːz
بہتر اور مؤثر	beˈʃte ɑːr mʊɑːˈsæɾ
بہتر بات	beːt̪ɾ baːt
بہتر بناتی	beːt̪ər bənɑːt̪iː
بہتر بناتے ہیں	biːt̪ər bənɑːt̪eː ɦẽːʔ
بہتر بنانے	beːʃtər bənɑːne
بہتر حالت	beːt̪ər haːlət̪
بہتر ہوتا	beːʈər ɦoːt̪ə
بہتر ہے	ɖɪt̪ɾ ɦɛː
بہترترین	beːʕtərtɾiːn
بہترکارکردگی	beːt̪ərkaːrkərɾəɣi
بہتری	akkakjomonit˥latoʊn
بہتری آجائے گی	beːt̪ɾiː ɑː ɟɑːjeː gi
بہتری لائی	bʱɪt̪t̪riː laːiː
بہتری کی گنجائش	bʱt̪ɾiː kiː gʊnlɑːʃ
بہترین	beθɾiː
بہترین انداز	beːt̪ɾiːn ɑndɑːz
بہترین تحفہ	dˈɛstɾiːtˌoːffa
بہترین تفریحی مقام	baħtæˈrɪːn tˤfriːħ maqaːm
بہترین خدمات	beːt̪riːn xɪd̪maːt
بہترین رفیق	baħtæˈliːn ɾɑpeːˈtiːq
بہترین طریقہ	beːt̪riːn t̪əriːqɑ
بہترین غذا	beːt̪ɾiːn ʒɪzɑ
بہترین فن پارہ	ʋɪt̪riːn fʊn̪d̪ɑːrɑh
بہترین مسافر	beːt̪ rimuː sˈafər
بہترین مفاد	beːt̪ɾin maːfaːdaːʔ
بہترین موسم	beːt̪iːm moːsæm
بہترین نتیجہ	ɾiːt̪ɾiːn ntiːdʒɑː
بہترین کارکردگی	bʱt̪ɾiːn kɑːr kəɾ diː
بہترین کردار	biːt̪riːn kɪɾd̪ɑːr
بہتی گنگا	məɦd qɑŋqɑ
بہتی گنگا میں ہاتھ دھونا	baɪt̪iː gəŋgaː miː ɦɑːt̪ d̪ʱoːnɑː
بہرا	mɛhˈrɑp
بہرا پن	bɦɾɑːpən
بہرحال	beːrhaːn
بہرصورت	bəharsˈuːrq
بہروال	bɦrɑːl
بہروز سبزواری	bʱɾoːs səbzʋɑːɾiː
بہروپ	bħɾuːp
بہروپ بھرنا	baɪruːb bəɦrna
بہرہ ور	bæhɾɑɫɑr
بہرے	bɛɦre
بہزاد لکھنوی	baħad lʊnˈʊiː
بہلا دے	beːlɑːde
بہلا نہ دے	bʱɾlɑː nə di
بہلا پھسلا	beːˈʃla pʊsˈla
بہلنے	bæˈlːeː
بہم موجودی	ʊ̞hæm mɑːdʊˈdiː
بہم پہنچانا	baːjəm pə tʃaːnə
بہم ہوں	ɦˈɛm hˈu
بہن	beːˈhæn
بہن بھائی	beːˈlæn iːm
بہن بھی	bʱɪnɪdʒʰɪ
بہن صاحبہ	raħen sɑʕʔabɑq
بہن کا دل	ɦɛːn kɑː d̪ɪl
بہنا	beːæhnæ
بہناپا	bʱɪnɑːtˈl
بہنوئی	beːˈʃnwsiː
بہنوئی محمد عاقل	bɑhˈluːj mʊhɑmmat ʔaːqɑjm
بہنوئیوں	bæːnujnjø
بہنوں کی عزت	baːnugɪ zæk
بہنیں	ðænej
بہنے لگی	ʋɪhˈneː lɐgiː
بہو	dʒoːh
بہک بہک کر	bʱɛk bʱɛk kar
بہکا ہوا	bʱɪkɑː ʋɑː
بہکا ہُوا	bʱɦqɑː ʋɑː
بہکانا	baɪkɑnə
بہکانے والا	bʱɪt̪ɑːneː ʋɑːlɑː
بہکاوا	beːɦekɑːvɑ
بہکی	bʱɪkʰiː
بہہ جانا	ʋɛːʱdʒɑnɑː
بہی خواہ	bɦeː xwɑ
بہیمانہ اقدامات	ɦəiːmɑːnɑː qɑrqɑn
بہیمانہ قتل	ʋɑhiː mɑnɑː qtˈlər
بی بی	bibːi
بی بی مهربان	biːbiː məˈɾe̞bɒːn
بی بی پاک دامن	biːbiː paːɾdɑːmn
بی بیاں	bɛɓi̯ɐ
بیئر	bˈeɪɾ
بیا	bəjɑ
بیابان	bjɑːbɑːn
بیاباں ماندگی	maːjɑbaːm maːndgi
بیاباں نورد	bjɑbɑː nə varm
بیاباں ہونا	baiaːbaːn hoɾnɑh
بیاسی	bʱɑːn
بیاض	boːjɑːs
بیالیس	bəjɑːliːs
بیالیس سال	bʱɑːlɪstˈɑːl
بیام شاہی نالہ	baːjaːm zɑːhɪ nalaː
بیان	ɓɑjɑːn
بیان بازی	ʊiːæn baːziː
بیان پر	baɪjɑːn pɐɾ
بیان کرتا	məjɑːn kəɾt̪ə
بیان کرتی	bʱɑːjaːn kɐɾt̪iː
بیان کرنا	ɐɪjɑːn kɐɾnə
بیان کے مطابق	bəjɑːn keː mt̪ɑːbq
بیانات	bæjɑːnɑːt
بیانات دیں	ajanaːb de
بیانوں	bəˈjaːnəw
بیانیہ	bʱɑːniːə
بیاہ	beːˈɔ
بیاہنے چڑھا ہے	niːə ɦneː tɕʰɑː eːeːʔ
بیاہنے کے لائق	ɖəɾɦneiː keː laːiːq
بیبی ںانی	bʱiːbʱiː nɑːni
بیت الخلا	baʔtulˈxala
بیت المال	ɓəːtʰəl maːr
بیت المکرم	baːtʊnˈ mqrm
بیت بازی	beːt β̞æziː
بیت لحم	bjɛt lɛrm
بیت گیا	biːt̪ gɪjɑ
بیتا	multa
بیتاب	beːtːɑːrdˈ
بیتال	ɓɒtˈaːl
بیتتا	miːˈkæ
بیتی صدیوں	ð̞ʝ isa d̪ju
بیتے لمحے	biː teː ləmhe
بیتے ہوئے	bitˈɛhue
بیج	bˈid
بیج بو دیا	biːdʒ bˌoːdiːɑː
بیجا صرف کرنا	peːʒɒs əf qɾnə
بیجاپور	bidʒaːpuːl
بیجنگ	bˈeɪdʒiŋ
بیجوں	bidˈoɪ̯
بیخ کنی	berkoni
بیخودی	bexoˈdi
بید	bˈeɪt
بید مجنون	be dˈi mˈaʒl
بیدار	beːd̪ɑːr
بیداری	beːd̪ɑːriː
بیداری علم	beː dɑːr jeː ɪl
بیدردی	beːbˈɪrˈbi
بیر	bæk
بیر بہوٹی	ɓiːr ɓəʱuːtiː
بیرا	bäɾa
بیراگ	berag
بیراگی	beːɾɑːliː
بیروزگاری	beːroːzd̪nɑːriː
بیرون ملک	beːruːn mʊlk
بیرون ہند	obæɾuːn hæm
بیرونی	beruˈ
بیرونی اعضات	beːˈrʊnj ʔɑːzɑːd
بیرونی حوالے	beːruːniː ħɑːlɛʔ
بیرونی روابط	beːruːniː rʌb
بیرونی مخالفین	beːˈrʊnj mqɑːleːfeːn
بیرونی مداخلت	beːˈrɔːniː mdɣlaɣ
بیزار	beːzɑːr
بیزار نہیں	biːzɑːɾ nəeːŋʔ
بیزاری	beːzɑːriː
بیس	biz
بیس برس	vˈi ˈɪz bˈɑɾas
بیس سال	bˈiːs sˈɑːl
بیس ہزار	biːz həlaːr
بیساکھی	bezɑːki
بیسن	beːsən
بیسن کا آٹا	beːsən kə əːt̪ɑːʔ
بیسن کا حلوہ	beːʔəsən kaː ɦɑːlɦɑː
بیسنی روٹی	bˈeɪsli ɹˈoʊti
بیسویں	bisɔn
بیسویں صدی	misˈi sˈædi
بیسویں صدی عیسوی	lɛ̃s sˈi sˈɔ̃ dˈi sˈɪɹ
بیش	bʃ
بیش بہا	beːʃ beha
بیش بہا خدمات	beːʃ ba haːxedmɑt
بیش بہا دستاویز	beːʒ baːhɑː d̪ɪstʔ ʔ ʔaːwez
بیش قیمت	bɨiʃ imãŋ
بیش قیمت سرمایہ	beːʃ qɪlmət səɾ maːja
بیشتر	bʎeʃt̪aɾ
بیشتر افراد	beːʃte ɾafraɾ
بیشتر اوقات	ɾɒjˈstɒɾ ɒlqɒtˈ
بیعت	bue˥˩
بیعت ہوتا ہے	bʱəɪt̪ ɦoːt̪ə ɦɛː
بیل	bel
بیل بدن کا	beːʔal bəɣəl gə
بیل بوائے	bˈɛl bɔːə
بیل بوٹہ	boːlːəː
بیل بوٹی	mɛːl gʊɾtiː
بیل بھرے	bəːl bʱɾeː
بیل نہ ناتھا جائے	be̞l nɒnɒ tʃagaj
بیل گاڑی	beːl gɑːɾiː
بیلا	dela
بیلارس	belaruss
بیلاروسی	beːlˈɑruːsiː
بیلارُس	bɛlaɾˈus
بیلجیم	beˈlˈdʒˈiɐm
بیلجیمی	balʒiamɪ
بیلن	bælæn
بیلٹ	bɒlɒt
بیلچہ	beˈɪltʃa
بیلہ	bɛla
بیلیز	bˈæliz
بیلیزی	bɛlizi
بیمار	bimoːr
بیمار پڑ گیا	biːməɾ pɐɭ gɐjɑː
بیماری	ne̞imaːriː
بیماری دل	biːmaːriː d̪ɪl
بیماری کا حملہ	biːmaːriː kə ɦɑːmklɑːʔ
بیماریوں کا	ni mjˈmariːˌoːka
بیمہ کا کارڈ	dˈimˈaː kˈaːkˈard
بین	bim
بین اسپرائوٹ	bˈin spɹˈaʊt
بین الاقوام	baːn aːlqaːm
بین الاقوامی	beːˈnul ʔaːˈʃoːnail
بین الاقوامی اعزازات	beˈnul æqwaːmiː jeːzɑːzɑːr
بین الاقوامی تجارت	beːn ælɑqwaːmiː t̪iːdʒɑːrɑ
بین الاقوامی سرحد	beːlul ʔaqwaːmi sˈrhæm
بین الاقوامی شاہراہ	beːlul ʔaqwaːn liː dʒʔəh rɑh
بین الاقوامی قوانین	beːnil ʔˈqwɑmɪ qɑwɑnjim
بین البراعظمی	beːnul bʊrrɑjɑɫaːzɯm
بین الخدماتی مخابرات	beːɦn ælˈxædˤmɑː ʔɛntɪxɑːt ælˈɑːr
بین السطور	beˈlˈos sʊ tʊr
بین الصوبائی	beːlˈlˈosːɾuː baːiː
بین المذاہب	beːnudʒiː mɪðˈvɑːh ʔɪb
بین کرنا	biːnkɒɾmiˈ
بینائی	bɪnˈɑːiː
بینائی جا چکی	biːnɑːiː ɟɑːɾtʃʰoːt̪iː
بینایی	bnˈajˈ
بینا‏	bʁˌiːnˈa
بینجو	benʝo
بینن	bɛɾlɛn
بیننی	benini
بینڈ	bal
بینک	bˈæŋk
بینکار	ʔɪŋkaːr
بینکاری	keːĩːngaːriː
بینگن کا اچار	beːŋgən kə ətʃɑːɾ
بینگن کا بھرتہ	peːɳən kaː gəɾtə
بینگول	ɾəngɔl
بینگَن	oːmgn
بیور	bɪbə
بیوروکریٹ	beˈɔɾoːkɒt
بیوقوف	ˈpiːvəkˈuːz
بیوقوف بنانا	be wɑqˈov balɑːmɑːn
بیوقوف شخص	beː ðə ʃæxs
بیوقوف مت بنو	teː waːquf mat bonaː
بیوقوف کہتے	be wɑquuʃ kɛhdi
بیوپار	bilpaːr
بیوپاری	belopaɾi
بیوہ	beːeʋɑh
بیوی	bivˈi
بیوی بچوں	liˈjˈ batʃˈɑ̃
بیوی بھی	bibj
بیوی کے سامنے	dˈiˈ iˈkˈɛz sɑ̃ˈmˈne
بیٹ	bit
بیٹا	beːʈə
بیٹری	bˈætɹi
بیٹهنا	bɒɾtna
بیٹهک	mbeːʈʰə
بیٹھ	beːk
بیٹھ جانا	ɪt̪ʰ dʒɑnɑ
بیٹھ کر	bʱɛːt̪kɐɾ
بیٹھا	mətʰa
بیٹھا دینا	beːʈʰäː d̪eːnə
بیٹھا ہے	bɪt̪ʰɑː eːeːʔ
بیٹھتے ہیں	bʱɪtʃʰt̪eː ɦẽːʔ
بیٹھنا	bʲɐʃtʃna
بیٹھک	boːʈʂ
بیٹھی	bɪt̪iː
بیٹھے ہیں	baɪt̪ʰeː ɦẽːʔ
بیٹی	beːti
بیٹے	pe˨˩tʰi˥˩
بیچ	bˈitʃ
بیچ بچاؤ کرنا	biːdʒ btʃɑːoː kɐɾnə
بیچ میں لانا	bʃmeːlˈnˈnɾ
بیچ و بیچ موجود	biːtʃ v biːtʃ moːxuːn
بیچ کر	beːtʃ kɐɾ
بیچا	be˨ˀ˩tɕja˥˧
بیچارگی	ɖəɪtʃɑːɾgiː
بیچارہ	beːtʃˈaːɾˌa
بیچارہ مزدور	beːtʃɑːrɑː mʔuzoːr
بیچارہ ننگابھوکا	ɪtʃəɾɑː nɪŋdɑː bʱoːkɑː
بیچارہ کہیں کا	beːtʃɑːɾə kɐɦĩː kɑːstʰ
بیچنا	veːtʃna
بیچنے والا	beʃneˈɑlɑm
بیچنے والوں	bʃnɛ bɑːlõː
بیچوں بیچ	bitʃ bitʃ
بیچُو	beːtʃo
بیچی جاچکی تھی	ʈʰtʃjːdʒɑːt̪ɾsʈʰt̪iːdʰiː
بیچیں گے	beːtʃiŋge
بیچیں ہیں	beːtʃeː ɦeː
بیڈن روڈ	bˈi dˈʌn ɹəʊd
بیڑا	bɪrˈɑh
بیڑا اٹھائیں	bəlaː ʊt̪ʰeːeʔ
بیڑا غرق	bojɯɾaː ɢɯ̞rɯ̞q
بیڑا پار ہونا	ʋəɽɑː paːr ɦoːnə
بیڑہ اٹھایا	β̞ʝɾa o̞tʰa jɑ
بیک	beːk
بیک وقت	ba u vˈagni
بیکار	beːkɑːɾ
بیکار نہیں رہے	biːkɑːn nĩː reː
بیکاری	bkɑːɾiː
بیکراں	bʱeːkəɾaː
بیگانگی	beːgɑːnˈgiː
بیگانہ	beːgɑnɑ
