.अश्वमेधाधिकं	aːʃuːniːɖɦdiːkəm
sarvalokaikanatham	sɐɾwalɔqajɟɑnɑːtʰnam
sarvāstivādin	tɛrvɑsɨtɪbɑːn
sarvāṅgāsana	sɐɾoɐsŋaːsɐnɐ
satcitananda	satːʃtʃɐtʰæːnænd
sathya	satː
sati	səˈt̪iː
sattva	satva
sattvic	satʰuek
sattwa	satˤu
satyagraha	st̪ʰjəɑːgrəɦʰɑ
satyagrahi	ɑkɪstʃ
satyameva jayate	sɐt̪ːjɐ miːbɒː ʈʂɐt̪eː
satyasya satyam	təpˈljɑsijˈɑs ʔapɛn
savasana	ʃɒˈvɒsɒnɒ
savikalpa	sɛːrɪkalˈbˈa
sañjīvani	saɴdʑiːbɔnːi
saṃjña	sannjaː
saṃskṛt	sænstɯ̞rt
saṃsāra	ɛssɐɐɾ
shaantih	ʃɑːnˈt̪ɪ
shaktipat	ʃkʰt̪ipaːt̪
shambhavi	ʃaːmbavi
shantakaram bhujagashayanam	ʃɒˈnˈdɒ kɒɾimˈbˈudʒɒgɒg ʃiˈjɒnˈim
shantaram	baɾɔ
shanthakaram	ɕaːn̪t̪aːkaːɾəm
shanti	ʃɑŋt̪ɪ
shanti rupena sansthita	ʃɑːn̪t̪iː ɾuːpɛn səmʃtʃʰt̪ə
shashishekhara	ʃɛˈsiʃejkɾaː
shastri	tʃastri
shaunaka rishi das	sauna tarəʃidaɾ
shavasana	ʃɒɾɒsana
shishya	ʃiʃi
shiva	fɑ˥
shiva purana	ʃiːfaː koɾɑːn
shivaya	ʃvaɪɛ
shraddha	tʃʰraːmdʒʰaː
shraddha rupena sansthita	ʃɾd̪ʱa roːpʰe nə mɪstɪt̪ə
shrihari	ʃɾiːħɾiː
shruti	ʂɨtɨ
shubh	ʃʊbˈax
siddhartha	stʃtʃtʃ
siddhartha gautama sakyamuni	tibɾɯ hadaː dɑmɑʃad
siddhi	sɪdːiː
sirsasana	siːrʃiːnɯ
sivananda	ʃɪvɑnandɑ
sivaratri	sɛwɛraːtɾi
skanda purana	k̪ɐnd̪ɐ puːˈɾaːɳ
skandha	skanda
smaraṇa	smorˈɔnˈa
smṛti	sʏɹɪti
soham	sogɑm
sraddha	tɕi̠ɾanːit̪a
srila prabhupadha	ʃɛriːla pra bubaːniː
srimad bhagavatham	ʃrĩːmd bʲaːgʊaː tʰɐm
srinivas	sɾɪjnivɑs
srinivas kari	sɾɪ nːɪʋɛːs kaːrɪ
sthira	st̪eɾa
stupa	tupˈa
stuti	tutˈi
suddhodana	tɛm˧˥tsoŋ˨˩˦
sudhakar	sɐd̪ʱäːkɐɾ
sujata	sʊdʒɑːt̪ə
sukha	sʊ̞kɑ
sukhii bhava	suːkʰiː bʱoː˧
sumati	suamai
sumedha	snəɖˈsneɪdhəʋ
sunyata	siw˧˥niː˧aːtʰ
supratim	ypprɛtim
supta	sukt̪e
suryakotee-samaprabha	ɑːɾeːkoːʈiɕnəpːəɾgəɾ
susheela	swˈʃiːlɛ
sushumna	sufɔmˈnaː
sutram	sˈutːɾˈɔn
sutta	ləp˨˩t˥a
svadhistana	sʋɑrdˈɪʃtɑn
svadhyaya	svagaj
svanasana	ʃuanˈɑsənˈɑ
svasthya	sʋaːstɦjɐ
svasti	svastɪ
svastika	swɛstik
svatantryam	tʃapatɛntɛ
svatma	sva
svayambhuva	svˈajˈambˈɔva
svdhyaya	sʊaːtdiːhajoː
swadisthana	sadʒtʰaːnɐm
swami vivekananda	sva˥˩mi bi ʋe˥˩ːka˥˩nanda
swararanga	svaraːraga
swas	ʃiːvɑːsɑ
swayambhuva	suajamabovɐ
syādvāda	sʲiːaːdvaːda
sādhu	säːd̪ɦoː
sāma veda	saːmaːl veːb
sūkṣma	sɔvˈkˈʃmˈa
sūrya	sˈuːrɑː
sūtrālaṃkāra	dobraːlantaː
tadasana	tadaːsana
tadatmanam srijamy aham	tɪdɑːt̪mɑːrʊm sɾdʒʱmɦəhəm
tadyatha	taːɾajɛd
tadâ	tada
tadā	tɐdˈa
takshashila (taxila)	tak ʃa siɫa
tamas	tɑmɑs
tamaso ma	tǎm˧suaː˧maː
tanmatras	t̪ɐnmaːt̪ːraː
tantra	tɛntɾɐ
tapas	apas
tat tvam asi	tatːɨva mˈas
tat twam asi	t̪at̪t̪ːuʋam əɦːsiː
tat-savitur-vareṇyaṃ	t̪at̪t̪s̺aβ̞it̪aɾebaɾjẽn̪ɣ̞s̺ɐm
tathagata	t̪aːtaːgət̪ə
tattva	ta
tattwa	tako
taxila	tkʰu˨˩˦ʂan˥˩ɕi˥˥nɑ˥˩
tejasvinavadhitam	teːdʒsɛpʰnaːʋadɦiːdtʰm
tejasvinavadhitam astu = let our studying be vigorous (powerful)	tɛːdʒas vɪnaːvar ɦitamastup
thah	daha
tirthankar	tiːɾʊ̃t̪ʰɐ̃ŋkɐɾ
tirthankara	teːʋt̪ʰəmkɐɾ
trikonasana	t̪rikoːɾnɑːsɑn
trimurti	trimulti
trimurtii	tremurti
tripitaka	triːpiːtːaka
trishul	tresol
tryabakam yajaamahe	trəjəm bkjəm jɑdʒɑːm ɐɦe
tulasi	tˈɔ̃lasiˈi
tushaar	tuːʃɑːr
tvaam dhanyam vadaami	ʈʂʈʂʈʂtʃwɑːm d̪ʱəɳjəm βʊɑːdɑːmɪ
tvam	toam
tāḍāsana	taːɾaːzəna
ubhaya	ubʱjɔ
ucchissta	utʃˈeʃti
ucchuṣma	utʃoʃma
udayana	udäjɑn
uddhaaraka	ʊt̪ɦɑːɾʊk
uditi	udik
ujjayi	ʊtːəiː
upadeśasāhasri	ʔuːqdʒʃsɑːhsɪriː
upanyāsah	upːɳnːjɑːsɑː
upasana	upəsɑnɑ
upasika	upəˈsik
upaya	upai̯
upekkha	upɛkːa
upeksha	tɛpɔʃa
uppeksha	au̯pʰikːsaː
urdhva mukha svanasana	guɾd və mokɜːʃ fɔˈaːn asfɔˈnɑ
urdhva prasarita	oːrd̪ ɦoː pə sɑːrɪt̪
urvi	oɾmˈiˈ
utkaṭāsana	ʊt̪kʈaːɦɑːɐsənə
uttanasana	ut̪t̪a˥˥nɑːsɑnɑː
utthita	ɔtʃˈɛ
utthita trikonasana	ut̪ ta d̪ri koːɳaːs̺ɐn
uvacha	matʃɔ
uḍḍiyāna	puːbjɐnˈɑ
vachika	ɦuatʃika
vadikaraste	ʋaːd̪iːkɑːrɾəsteː
vaidya	aβ̞aʝaβ̞ia
vairagya	moʔkərɑk
vairochana	bajɾoːtʃanɐ
vaishnava	bʃnɔvɑ
vaishravanaya	ʋajɕrʋaːɳaːjo
vaishvaanara	vajsvaːnar
vaishya	væʃim
vaisnava	tajiʃnava
vaiśravaṇa	væjtʃraːvɒn
vajracchedikā	bdʒɾtʃlɪkːaː
vajrayana	vadʒrɒjaːn
vajrāsana	əlʒɒsɒma
vakratunda-mahaakaaya	ʋpəɾeːnɾmaːkɑːɪ̯
vakratundam	ʋpːkɾt̪umʈəm
vamana purana	ʋäːmən kuɾaːɳ
vande mataram	ʋɐn̪d̪eː maːt̪ɾum
vande vishnum bhavabhayaharam	ʋʌnːdʒiːʃnːuːn bʱɑː ʋəjɑːrɑːnʊ
vanita	anand̪a
vapusha	avˈapˈʊxa
varaha purana	vɔraɣə puɾam
varna	β̞eɾna
varuṇa	vorona
vasana	wasã
vashishta	wasɪztˈɑː
vasudeva-sutam-devam	ʋæːsʊd̪eːʋɐsɐt̪md̪eːʋəm
vatayanasana	ʋaːt̪aːjɑnɑːsɑnam
vayu	ðeju
veda	bed̪e
vetti	tˌɛti
vibhuti	liputti
vidagdha sākalya	gid̪aː gð̞os̺aː kəlˈlɪv
vidhya rupena sansthita	ʋɪdːjɑːrʊpːɛnː smsˈtitaː
vidya	vidiˈa
vidyacaranasampana	koːilɛːtjaːɾ˥ːɑnɑːsambɑlɑː
vidyācaraṇasaṁpanna	ʋɪd̪i̯ɑːtʃʰɐɾɳːsaːmpʌnːnaː
vighnanashanaya	vɪgnɑːnɑʃanaja
vighnaraajendram	ʋɪgnɑːrɑːdʒɑjɛndram
vijayanagar	vidʒajnɑgɑɾ
vijayate	ʋidʒəjɛtɛːd
vijita	lˈigipˈɛn
vijnabhairava	nigkːjɑːmhajɾəbɑː
vijnana	mjˈɲɑnˈa
vijnyanamayakosha	ʋɪdʒniːäːnɑːmjɛːkɔːʃɑː
vijñanamaya	viːn˧˧n˧˧a˥˧nɑmɑjɑ˥˩
vikatameva	ɾʊkːaʈːaːmɛŋ
vimaya	vimaj
vinaayakam	bɪˈnɑːjækəm
vinashaya cha dushkritam	miːnɑː ʃɑːj tʃʰdʃkʰrðɑm
vinaya	linaja
vinayakaaya	vinajakaaja
vinyasa	vɪ̞ŋˈɑ̃sɤpˈ
vipaka	lˈɪbata
viparita karani	diparitakrami
vipaśyī	vipaʃɲiː
virabhadrasana	ʋiːrəbɦɑdɾäːsɐn
virasana	viːraːsɐnɐ
visarga	ɪsˌarˈgɑ
vishaya	vʃaːja
vishnu	nʃtɑv
vishnu purana	ʋɪʃuː puːɾaːɳ
vishudda	vʃd̪ʱa
vishvadharam gaganasadrisham	miʃʋɑːd̪ʱɑːɾm gʊbɪnˈɛ sɐd̪ʱuːʃm
vishwam	bʃʃwɔ
vishwanath	bʃɔnˈaːt
vivekachudamani	viviktʃuːdaːmni
vividhaḥ	nened̪a
viśrava	jʌjˈmɪnkai˥˥
viśālākṣa	ɟʰiːˈʃɑlɑkʃu
viṣṇu	vˈɪʃknʊɫ
viṣṇugupta	duʃtdoˈguktə
viṣṇuśarman	ɪ̞ʃnɔvɕɑrbɑb
vrindavan	ʋɾndaːvɐl
vrishanka	d̪ʱɐʃɑːmkə
vrittayah	brɪ̞tːɑjɑwɑ
vritti	vrɛk
vrka	brka
vrksasana	vˈɛkʃasenaɾ
vrkshasana	vˈɪkʃˈaftmˈɑːlɜ
vyasa	vjas
vyutaaha	fidoβles
vyākaraṇa	ʋjɑːkːkɾɐɳɑː
ya devi sarvabhuteshu	jɑ ɖɛʋiː srvbʱ t̪eː ʃuː
yada yada hi dharmasya	jɪd̪jjɪd̪aːt̪iː ɖʱɾm sɪjɑː
yajna	jɛdnˈa
yajnavalkya	jagɛnvaltʃe
yajur veda	jædʒir bɪ̞næt
yajurveda	nɛnɑrʊˈvenam
yajāmahe	jɪːgɑːmʰeː
yama	ljamu
yamini	jamni
yamuna	jamunˈɑ̃
yantra	janɔto
yashoda	jɑʃɔt̪ʰa
yathā bhutam	jeː tʰɑː buːt̪m
yatra	jatra
yatrika	ɪˈatrɪkːa
yoga sutra	jo˩˥ːga sʊtr̥˩
yogacara	loːgɑːtʃaːr
yogakshemam vahami aham	loːd oːkʃiːneːn baɦniː neːt̪ɑːn
yoganidrasana	jugo˥˩ːnitraza˥˩ː
yogi	joɯi
yogibhir dhyanagamyam	ʔəgiː bʱeːgd̪ɪɑːnː gmɪŋ
yudhishhthirah	jɪ̞dɪ̞ʃtʲɪr
yugandhara	juːgəŋd̪ʱɐɾa
yājñavalkya	kiah˨liːɑk˥
zarathustra	zaratutstra
ásana	aːs̺ə
âtmajñana	atmakjɒnˈim
ācārya	aːʈtʃɑːhjɛm
ājñā	dʒa
ārya śūra	aːria ʃuːra
ātmāñjali	pɑqˈtmaːhɑːnˈdʒɑːli
śabdabrahman	ʃæpdbrɑːmmʲæ̀ːʲ
śamatha	ʃɒmæt
śanaiḥ	ʃamaiha
śarīra	tʃarɪra
śauca	tʃau̯tʃa
śaucam	tʃau̯tʃam
śivāya	ʃivˈaɪɐ
śloka	tʃlɔk
śrāvaka	ʃraːʋɐkːa
śrī-mahādevī	sɹimahandɛwɪ
śrīmad bhāgavatam	ɕreɴ mɑɑt nɑɑrgɑ bɑɖɯ̞m
śrīmahādevī	srmahad�tojvj
śīkṣaṇa	ʃiːkʃæn
śūdra	tʃudr
деваки	dʊɫkʲi
अ:	ɦɑ
अं	ɑm
अंधक	ɐn̪d̪ʐk
अक्षोभ्य	ækʃoːbʱa
अगस्त्य	ælgˈɑstjæˈ
अग्नि	oglˈid
अग्निदेश	ɑɣnideʃ
अघासुर	qɑqɑtʃu
अङ्कपाश	əŋkpaːʃ
अङ्गार	əŋɣɑːr
अङ्गुरि	oguɾi
अचलनाथ	aːtʃaːlaːnnaːʔtˈhɑ
अजं	ɑdʒɑm
अज्ञान	ˈnʌnˈɑnˈ
अञ्जलि मुद्रा	la ʝe li mut̪ɾaβ̞a
अत्र	atːɾv
अथ	atʃə
अथ ध्यानम्	ʔatadʒanaːm
अथ श्रीमद्भगवद्गीता	ətʃʃiːmɾ bʱɑːgʋd̪ɪkə
अथर्ववेद	ʔəθrbʋed
अथर्ववेदः	ʔˈtˈɾavjdo
अदिती	ʃaˈleti
अद्वैत	advajt
अद्वैत वेदान्त	ədʒʋajətʰ beːd̪ɑːnt̪
अधातुः	anatulu
अनन्तविजयं	ʔanɑnˈtɑvidʒejem
अनाहत	nɑːhət
अनुग्रहं करोति	ənʊgɾəʦɪm kɾoːt̪iː
अनुव्याध	anʊviˈaða
अनुष्टुप्	anɯsˈtɯpɯ
अनेकान्तवाद	ʋɔ̃nɛːkɑːmt̪oːaːɖɐ
अन्गरकाय	aɴaɾakaja
अन्ये	ælˈniː
अपर्याप्तं	apɾijɑt̪ɐm
अपश्यत	papaʃtʃɛt
अपौरुषेय	ãpau̯rɔʃejo
अप्रमेय	opɾɨmjlɨ
अभय	əbɦeː
अभयचरणारविन्द	odabɾaadʒaɾɐnɑːɾginda
अभयदान	abəeð̞aːn
अभिचरति	ɑːbʱiːtʃɑːɾt̪iː
अभिजायते	ə̃biːgɑːt̪eʔ
अभिरामस्त्रिलोकानां	əbɦɾäːmst̪ɾiːloːpɑːnäːm
अमिताभ	əmitɔːb
अमितायुस्	ɑmitajaɪˈus
अमृत	amrð
अमृता	amrtaː
अमोघसिद्धि	ʔəmoːjbʱsid̪d̪iː
अम्भो	ambo
अयनेषु	ajɑnniːʃoː
अर्जुन	aɾʒun
अर्धचन्द्रासन	əɾd̪ʱatʃnd̪raːsɐn
अर्धमत्स्येन्द्रासन	ʔərd̪ʱməksijnd̪raːsan
अर्यमन्	əɾijəmai
अर्हति	ɾɑhˈtɪm
अर्हत्	arad
अलेक्सन्डर्	jək˥san˥ˈgai
अवतार	abdɑːr
अवलोकितेश्वर	avaɫogetaxʃoɾ
अविद्या	oˈidˈˈa
अव्याहताज्ञः	ɔvjaːɦtɑːd̪nɦɑː
अशोकः	aʃoɣa
अश्वघोष	æʃvɑlkɾuːʃ
अश्वत्थामा	æʃuet̪tʰaːmɑ
असि	asˌi
असु	asˌu
असुर	asuɾa
अस्ति	ɦəzænʃæ
अस्तु	astʊb
अस्माकं	ʔsmak
अस्य	ɑsˈil
अहं किं करोमि?	əgä̃m kim kəɾoːmi
अहं कुशलिनी	ajang kuʃa lini
अहं कुशली	ʔː˦ɦŋ koː˧˥siaː˩˦liː˧
अहंकार	ʔaːŋ˥kɔːiː˨
अहि	ɑːhi
अहिंसा	oiːəiːnsæm
आः	aha
आकाश	ɑːkəlʃ
आगम	ɑːgəm
आचार्यमुपसंगम्य	əʈʃɑːrjmpsŋgmjeːʔ
आचार्यमुपसङ्गम्य	ɑːtɕɑːrɪmʊpəsəŋgəmmɪˈʌ
आज्ञा	ɑːdnim
आत्मन्	atmeni
आदि	ɑːbiː
आदिष्टवान्	aːdiːʃʈʋaːnɔ
आनन्द	animdi
आनाभेः	ɑːnɑːbʱɛː
आयुर्वॆद	ɑːjɾʊveːɖu
आयुर्वेद	ajɯɾbʲed
आरण्यक	ɑːrəɳɳiːəg
आरामः	aːraːmi
आर्य	ɑːriːv
आर्यभट	plau̯ɾiːaːpˈaka
आर्या	aːria
आर्यावर्त	ɑːɾijɑːʋɐɾʊ̃ː
आर्यावलोकितेश्वर	ɑːriːjəfəloːgkiːdeʃvæɾə
आलय	əˈleː
आलयविज्ञान	ɑːliəvijgnjɑːn
आविर्भूतं	ɑviɾbɯtɑm
आश्विनमासः	ɐʃʋɪnmaːsɐɦɐ
आसन	ɒːsæm
इंन्दिरा	dˌiːzətˈɪ
इति ध्यानम्	ɐt̪ɪd̪ɦaːnɐm
इत्येतानि	it̪tiːetɑːmiː
इन्दुवासरम्	ɛndoväːsərøn
इन्द्र	ɪn̪d̪ɾə
इस्कॉन	liːskɔn
ईश्वर	ɪ̞ʃwːn
उच्छुष्म	otʃuʃma
उत्तमौजाश्च	qitːamojtʃɑʃq
उपजायते	ʔfgɑːjət̪eː
उपनिषदम्	uboniʃadəm
उपनिषद्	ubiniʃad
उपसुन्‍द	upəszunənd
उपासक	upasɐkˈa
उवाच	ulɑtʃtʃɯ
उषस्	buʃtʃest
ऊर्ध्व	urdva
ऋ	rʊ̞rɔʊ̞xʲi
ऋक्ष	ɾuktʃa
ऋग्वेद	ɾʊgvijˈb
ऋग्वेदः	rɨgvˈːeidˈ
ऋत	rɨta
ऋषि	tʃuː˧˥
ऋषिः	sˌuʃi
ऌ	lɛ
एकराळिति	ẽːkɾɑːliːt̪iːm
एकैकमक्षरं	aːkajkɯbwkʂɯɾm
एतां	eːt̪aːm
एताम्	eːt̪ɒm
एव	eɣo
एवम् अस्तु	eːʋəm əstuː
एषः	ieʃɦ
ऐश्वर्यशालिन	ɑːiːʃvɑːrjeʃɑːliːm
ओंकार	koːnˈkɑːt
कंठं	kɔːn˧
कंठे	kntʰiː
कच्छपः	kʰʊŋpʰɔː
कटी	kətiː
कणाद	kˌɐɾənˈaŋdɐ
कण्ठ्य	kɔːnˈtʰiːv
कथमस्ति भवती	kɐt̪ʰɐmɐst̪ʰɪ bʱɐbʱɐt̪iː
कथमस्ति भवान्	kɾt̪ʰɐmɐstɪb ɓʱʱɑːbɑːn
कन्यादान	an
कन्याधन	kɐɳjɑːn
कन्याभ्यः	kɪˈɲjˈæbjɦl
कन्यायाः	taːnjaːjahaː
कन्यायाम्	kɐnːjaːjaːm
कन्यासु	kɛːnːˈjäːsʊ
कन्ये	kɐnːiː
कपिध्वजः	ɦbdʒɑːdʒɑː
कमलम्	kəmələm
कम्बोजदेश	nɔmɒljɔdˈisɔ
करस्थाः	kɾsˈt̪ʰa
करिश्यति	kəɾiːʃt̪iː
करुणां करोति	kɐɾʊɳaːm kɐroːt̪iː
करुणार्णवं	kəɾunaaːrɳəʋum
करोति	kɾt̪iː
करोसि	kɾɔːɦ
करौ	kəˈrɑːv
कर्णश्च	kɾniʃtʃjɐ
कर्तव्यं करोति	kəɾt̪əvjm kɾoːt̪iː
कर्म	karma
कल्कि	qɯ̞ll
कल्प	albo
कल्पवृक्ष	kəlpɾukʃ
कल्पवृक्षाणां	kəlpədɾuːkʃɑːnɑːmiː
कवची	kʌʋɑtʃiː
कश्यप	kasiːpa
काकुत्स्थं	kaːɢut̪stʰam
काकुत्स्थः	kauketʃo
काम	oɣo
कामसूत्र	kaːmasˈutra
कामान्कामकामाय	kaːmaːnːkaːmaːkɑːmaː
कामेश्वरो	kɑːmʃʋroː
कार्तिकः	kaːrpʲikːah
कालचक्र	kɑːlʃəkːr
कालिदासः	kˌɐlidˈaʃ
काल्प	kɑːl
काव्य	kalvio
काशिराजश्च	kɑːʃiːrɑːjʃtʃə
काश्यश्च	aʃaʃtʃa
काषाय	kaːʃaːjo
किमकुर्वत	kibɯɾibata
किम्	kɪm
कीलकम्	kiːlaːkəma
कुंती	kʌntiː
कुण्डलिनी	kɾɐɖini
कुन्ती	kompniː
कुन्तीपुत्रो	kontipotruːz
कुबेर	kubˈɛra
कुबेराय	kubajraja
कुम्भ	komba
कुम्भ मेला	kumb məˈla
कुरुक्षेत्र युद्ध	kruːkʃɛːtr judːj
कुरुक्षेत्रे	kʊɾuːkʃeːt̪re
कुरुवृद्धः	kuɾvut̪a
कुर्म	kˈuɾəmˌo
कुर्मः	kʊːrməɦä
कुर्महे	kurmə
कुलनिहंतारौ	kəlːneːgːtˤɑːraw
कुस्वप्न	kusapna
कूजिन्	uːzˈiːn
कृतयुग	kriːɦjʊg
कृपश्च	klupasʧtɕau̯
कृष्ण	kˈiliʃim
कृष्णः	kɾˈisnˈi
कृष्णकृपामूर्ती	kɾiʃekɒzbɒˈmvdiˈdim
कृष्णभावनामृत	bɾʃnɒːmhɒːqnɒːmiːduːd
केतु	keːtuː
कैकेयी	kike˥˩
कैटभ	qəiːtəm
कोश	kʊʃ
कोसल	koːˈsɑl
कौसल्येयो	qɔːsɑːljeːə
क्रियाशक्ति	qiːjaːʃɐkt̪iː
क्रौञ्च	kraaɔntʃa
क्लीं	kliːm
क्लेश	pliːs
क्ष	tʃaptʃatria
क्षण	ʃɒn
क्षत्र	kʃatˈtɪrʊ̞
क्षत्रिय:	tʃɛtrʲiɐ
क्षम्यताम्	kɛŋnjɛtam
क्षितिगर्भ	kʃiːtigarpʰa
क्षीर​	kˈiɹɐ
क्षेत्र	kʃɛtr
खड्गी	kɔːnliː
खदति	χadati
खरध्वंसी	kaːrtʋeːwsj
गङ्गा	kɐŋˈɛː
गङ्गानदीवालुकासम	gʌ̃ŋäːnəd̪iːʋäːlɐkaːʃəm
गच्छताम्	qəːʧˈtaːmɑ
गच्छन्मनोरथोस्माकं	kətʃangʌnˈuːrʈhosmɑːkæm
गजासुर	ɾʊŋɑːsʊɾ
गज​	gadʒa
गणेश	ʒʈɾɪs
गन्ध​	gɐnd̪ʱa
गरुड	gəɾuɖa
गविष्टि	ɟavistɛ
गायत्री	gɑːjɛtɾiː
गीत गोविन्द	giːt̪ goːʋɪnd̪
गुणनिधिं	koˈlˈaːmɪti
गुप्त	gupˈt
गुरु	bɔlu
गुरुदास	guɾˈuðaːsjɐ
गुरूवासरम	gʊːrʋaːsəɾəm
गुर्जर प्रतिहार	kəɾtʃəɾ prət̪ɪɦɑːɾ
गौतम	gɐlɨtɨm
ग्राम​	grama
घटोत्कच	gʈuːt̪kɐtʃ
घोषो	bʰu˥˩ʂu˥˧
घ्राणं	kaːrm
च	ʃo˩˥ː
चंडाल	dʒɳɖɑːl
चक्रं	tʃəkɾəm
चक्रम्	kakɦɑɾam
चक्षण	tʃakʃɒn
चण्डी	ʃɐɳɖiː
चतुर्थ	sat̪oɾt̪
चत्वारि आर्यसत्यानि	ʃʌtwɑːɾiː ɑːrgʱə sɛt̪iːɑːliː
चन्द्र	tʃãn̪d̪ra
चन्द्रगुप्त	tʃɛmdʲɛrgɔptu
चमूम्	tʃamuɾma
चरितं	ʃɛːɾiːt̪t̪əm
चातुर्महाराजिककायिक	tʃɑːt̪oːrmaːɾɑːdʒkkaːk
चापबाणधरो	saːtbaːndʒəɾoː
चामुण्डा	ʃäːmʊd̪ɐ
चिकित्सति	tʃɪkːetˈsˈti
चित्	kip
चित्रांगदा	tʃitraːngɨdaː
चिन्तामणिचक्र	tɕintttɑmɨnnʲedʒɑqra
चिरान्न दृष्टम्	tʃiraː na drʃtam
चिरायुः	tʃlɐjo
चीन	tʃiːnɑ
चीरकृष्णाजिनाम्बरौ	ʃiːroːkɾʃnɑːdʒiːnɑː
चेला	tʃela
चैतसिक	tʃaːjtˈasiːkːa
चैव	saˈiva
चौहान	kaːohan
छ	tɕʰeʔ˨
छंदः	tʃɛnˈdɑ
ज	dʒˈe
जंघे	dʒɔːŋgiː
जगजैत्रैकमंत्रेण	dʒakadʒejtˈrɛjkˈɔmentɾˈiːnˈ
जगत्रातुं	gəgt̪t̪ɾaːt̪um
जटामुकुटमंडितम्	ʃəːʈaːmkɾmɐnɖit̪t̪əm
जटासुर	dʒʈaːsuɾi
जननी जन्मभूमिश्च स्वर्गादपी गरीयसी	nɑɢal lrmɑɾnulɛʃtʃɐ
जनपद	dʒənˈbəd
जप	dʑapːa
जपना	tsʌb�ˌnˈnɑ
जपन्नित्यं	tʃaːpənmɪtkim
जयति	gəjət̪iː
जयमंगलम्	dʒɛjɪ̞mʊ̞ŋgjɑlʊ̞m
जलधि	jɑlɑtʰiː
जलम्	dʒɐlm
जल​	dʒɒlɒ
जातक	tʃaːt̪k
जानकीलक्ष्मणोपेतं	tʃɑːnʔiːlqʃmɾõːpeːt̪əm
जानकीवल्लभः	tʃaːd̪akʲiːbælɲəgə
जानु	dʒan
जानुनी	dʒaːnliː
जापान	dʒapn
जाबालि	dʒɑːbaːliː
जामदग्न्यजित्	dʒɑmɯdɛlɛnɯnɑdʒɛtɪm
जाम्बवदाश्रयः	dʒɑːmbaːbɑːrʃrəjɑ
जिन	dʒiːn
जिव्हां	dʒiːvɑːm
जिह्वा	dʒiːxwa
जीव	dʒiː
जीवजीवक	gibgʊːɑkːa
जीवति	dʒivati
जीवन	dʒiɾiːbɐnə
जीवात्मा	ʒiːʋɑːt̪ʰoːʔ
जैन	dʒen
जैन धर्म	dʒɑjɪm d̪ɑrmuːl
ज्ञ	seɲˈa
ज्ञा	nʲa
ज्ञान	njˈano
ज्योतिष	dʒuːtˈeʃ
झ	zɯ̞
झं	fjalma
झान	gjon
ञ	nɛ
ड़	loːs
ततः	tɑtɑ
तत् त्वम् असि	tˈɛt twˈɑ̃ asˌi
तत्त्वमसि	taːtːoːmˈɛsij
तथा	tsa˥˩˦tsʰa˥˩˦
तथागत	tojtagə
तदस्माकं	tədæsmɑqim
तदा	tsɯ˥˩da˥˩
तन्त्र	t̪ẽn̪t̪ɾə
तपस्	t̪əpəs
तम्	tɐm
तरुणौ	taɾuɾou
तव	tawɯz
तव नाम किम्	d̪ə ʋə naːm kiːmɑ
तस्य	ʁˈɛst
तान्निबोध	taːn˩˥niː˧boː˧˥tʰɤŋ˧˥
तान्ब्रवीमि	taːnzɾɐgiːmiː
तापसौ	tɑːpɑsɑː
ताभिः	taːbʱiː
तिलक	tˈilə-vˈɛ̃
तिष्ठति	t̪iːztʰɐtiː
तु	tɔ̃
तुमुलोऽभ्यनुनादयन्	tomlûːbwərnɑːddɪjɛnʔ
तृतीया	tsitiːjɑ
ते	ti˥˩
ते हं नाकं	tʰiː˥˧haː˧˥naː˩˧kʰon˨˩
त्यक्तजीविताः	kaktədʒivita
त्यजति	kjadʒti
त्रायेतां	raːjəjtaːm
त्रिमूर्ति	trimuːrti
त्वच्	tˈuˈtɕ
त्वयि स्निह्यामि।	tʃuɔːs˦˥ nˈimˌe
त्विदमेतेषां	feɾˈdˈɛddeɪ̯ʃaːn
दत्त्वा	takˈtojˈva
ददातु	tadaːtu
दधतमुरुजटामंडनं	zəd̪ʱt̪mʊrɯdʒʈɑːmɪnɖənə
दध्मौ	dadˈəmˈɑl
दयानन्दसरस्वती	tajaẽn̪d̪e̞n̪t̪s̺eresfat̪i
दशमुखान्तकः	dæʃɛrɦokkaqɑnʔizdɯgɯ
दशरथतनयं	daʃaˈrɛtadvjɔn
दशरथस्यैतौ	dʃrthlsjəto
दशरथात्मजः	dʃɾetħɑtmdʒɑ
दान	dˈan
दान्तौ	danto
दान​	daːna
दाशरथिः	daʃrt̪i
दिव्यायुधः	ðeːʋ
दिव्यौ	divjˈeu
दीपावलिः	tipaːʋoli
दीपिका	ɖɪpika
दुःख	dupˈkʰə
दुर्गा	dʊɾgɑ
दुर्योधन	dʊrjɔdɦan
दुर्योधनस्तदा	dadadʒyɾɯɾɯdhənɪ̞sɪ̞tadaː
दुर्वादलश्यामं	arwaːdʃaːmɑn
दृशौ	dʒoɯ
दृश्यता	drɛʃitˈa
दृष्ट्वा	trɛʃtɔvaː
देव	deo
देवकी	dɛɾˈbɑtˈiː
देवता	deːvataː
देवदत्तं	d̪eːw̪d̪ɖɪktaːm
देवनागरी	beɾəuːnˈɑbɾi
देवा:	seːʋɑːhə
देवास्तानि	t̪iːt̪oːst̪ɑːniː
देवी	ɖeːvi
देवे	se
देवेभ्यः	dʲɪwʲɪbjɑh
दैत्‍य	d̪e̞k̚t̪i̯ʝa
