'ar hyd y nos'	ˈaɪɚhˈidˈæŋəs
cacennau	kəˈgɛnlaj
cactws	tɑktuʃ
cacwn	kakon
cacynen	kakɔ̞nˈen
cad goddeu	tʰɑːt gɑzɑiː
cadafwy	ðəħoːj
cadair	kadai̯r
cadair olwyn	kat̪ ð̞aʝɾ al ð̞uẽn̪t̪
cadair wthio	katarusio
cadarnhaol	tkatãŋhau
cadarnhau	kadarnçæːiː
caddug	kavik
cadeiriau	kateˈrɪa
cadeirydd dec	kopeː riv dˈak
cadell	tʃatːas
cadfael	ad̪β̞aɾ
cadfannan	tatvanˈnɑːn
cadi	kat˦iː
cadmiwm	kaːtmjˈim
cadno	katno
cadw	kadu
cadw ci a chyfarth dy hun	katːuːkˈiːar xvˈarst hˈin
cadw'n heini	tæptʊ̞n hæjɪ̞nɪ̞
cadw-mi-gei	karumigei
cadwaladr	katuaɫete
cadwallon	katuaʃon
cadwgan	kato˥˩ʒuːkan˨˩
cadwgawn	tʰat˦to˥˩ga˥˩o˥˩n
cadwn'n heini	tˈʃˈatduˈn heˈɪni
cadwyni	kaduini
cae'n-y-coed	ka˥˥jn˩˩˦kɔj˨˩˦
caeau	kʰj˥˩j˧˥lɔːp˨
cael	kʌɾl
cael gwared	kalkoːrˌt
caemorgan	aimorgan
caer	kâi̯r
caer gwydion	kæjr kʏdiːn
caer siddi	kâi̯r siθ i̠
caerdydd	kaldi
caeredin	laredʒin
caerfai	cài̯rva
caerffili	kɔnˌfɪnˌ
caerfyrddin	kæjrwɛrðɪ̞n
caergwrle	kai̯d̪guːɾliː
caergybi	kargəpi
caerloyw	kai̯rlo̞iu
caernarfon	anˈaːɾfon
caerneuadd	karnials
caerphilly	kajɾfɪlɪkaθɪlɪ
caerphily	kˈaɪnfˈɪli
caersws	kɛrsʊs
caerwedros	laiuedros
caerwyn	tialˈnˈ
caerwys	kaɾwɛs
caethion	kaisioŋ
caethweision	kai̯sweɪsʃɒŋ
caewch	kɛjˈɑq
cafall	kavaʃ
caffi	tˈɛstfi
cafiar	kapial
cafodd	kavoz
cai	kai
caib	kaɪp
cainc	tæŋkt
cairn	tɑːm
calan awst	kɑːlɑːn ˈaʊst
calan gaeaf	kaːn lanˈgɑiaː
caled	kʌlt
caledfwlch	kɑlɛtɔr
caledwedd	kalɛtwɛz
calendr	kalẽn̪d̪oɾ
calon	palo
calon lan	kˌɑlˈoʊɛnˈlɑːn
calonau	kalonaɟː
calsiwm	kalsjwm
cam	tɑːm
camau	kamm˧al˧
camau gweithredu	kamagoiθreti
camelod	kɑɑˈæmɪlwɒt
camera	kamera
camerŵn	kameron
camfa	kanva
camgymeriad	kamɣəmeriad
camlan	kamlam
camlas	kamlas
campfa	kˈamˈfˈ
caneri	kanɛri
caneuon	kanalˈɔ̃
cangarŵ	kaŋgaɾu
cangen	kʰŋ
caniatâd	kænvihæɾd
canlyn	kʰanlɪn
canlyniad	kɒnlˈamjɒt
cannwyll	kənwek
canol	kanal
canol dydd	kanal d̪e
canol nos	kanalnoz
canol y ddinas	kanalað̞ines
canolbarth	kanalβ̞aɾð̞
canolfan	ʃanˈzaˈn
canolfan iechyd	kaːnwlfãn ɪxid
canolradd	lalaalɾað̞
canrif	kaːnˈɾˈɪv
cant	kau̯t
cant ac un	kantˀ zaqĩˀn
cantores	kant̪oɾes
cantre'r gwaelod	kãːnʲtʲrɛ ɛɾkɔ iʎɔd
cantref	kantˈraf
cantrefi	kantʃepvˈiː
canu	kˈæni
canwr	kanuɾ
canŵ	kã˥˥nu˥˩
capel	kapˈel
capel bangor	kappel vagor
capel curig	kapəl kɪrig
capel rhiw	kaːpˈelˈ rˈio
capel-y-ffin	d̪elpalaθĩn
car rasio	kaːr ɾaːsjoː
car yr heddlu	kär rˈɦɛdlɪ
caradawg	kɛraːttaʊt
caradoc	kʰɐrtɑv
caradog	aratoθ
carafán	karavan
carbohydrad	kʲarbohigːorat
carbon	karbon
carchar	tʃɑrχɑr
carcharor	kərxarɑr
carcharorion	kæɾxɔɾɑːrjɔːn
carcharwr	kərxərɑr
carcharwyr	karaxarabiɾ
cardiau	kaːrthiːal
cardiau credyd	kardiai kredet
cardiff	kˈardɛ
cardigan	karˈrɛtikːion
caredig	kaɾaeð̞ik
caredigrwydd	karetɪkgroɪð
caregan	kæɾˈgæn
caregu	karegi
careiau	krja
careiau esgidiau	krɛ̀i̯a skɪtːɪa
cariad	kaɾɾiad
cariadon	kariadon
cario	kario
carioci	karioke
carnedd	kaɾnad
carneddau	kaɾnetai
carneed	laːnid
carnwenhau	sa˨rn˥˩nhaːj
carnwennan	kaɾnoi̯n̪aɾn
caronwen	kaɾaːlwan
carped	karpet
carreg	kʰeˈrɛd
carreg cennen	kaɾɛg kɛ˥˩nɛn
cartre'	katɕæ
cartref	katʃav
caru	kare
carw	karo
carwen	karwan
carwyn	karwan
caryl	kael
carys	kaɾez
cas	dˈas
caseg	kase
casgliad	kasglˈɛat
casglu	kˈasklˈjˈ
casllwchwr	kɐ̙sɬo̙χɐ̆w̜
casnewydd	kæˈsælˌmɪd
castell	taszɛ
castell carreg cennen	ka lˈtɛlˌx kaːrjɛkeːnɛn
castell casgwent	kasð̞eʃ kaskoẽn̪t̪
castell coch	kɑstəθ kˈɔx
castell cydweli	kasdˈa kadwˈeˈli
castell dinefwr	ka lˈtˈestˈ tˈɪ nˈɛvʊɾ
castell llansteffan	kasðˈa rˈisˈlˈɑŋs steːfˈɑːn
castell y dryslwyn	nastɛx ɛ draːʃt loːjn
castelldwyran	tˈɛsttˈɛxttˈuˈyrˈɑn
caswallawn	kasuaʃaɰn
caswallon	kasuaʃon
casáu	tasˈɑl
catalaneg	katalanik
cath	kˈas
cathl	kasˌo
cathod	kathed
catrin	katsrĩːm
cau	alia
cawell	tʃadobra
cawl	kau̯o
cawlach	kɔːlˈax
cawn cennin	ãn̪t̪ ke ãmb
cawod	kˈaʊɚt
cawr	kauɾ
cawrdaf	kauɾtɑv
caws	kals
cawsai	kau̯saj
cawsai ddigon o win.	kawˀsiaj dikonaːnˀ
cedrych	ketːtʃiː
ceffyl	kafɛl
ceffyl dŵr	ket̪ik d̪oɾ
ceffyl pren	kravsfew pɾajns
ceffylau	kafælæ
cefn	ˈkevə
cefn gwlad	kˈævən glˈɑːd
cefnder	kəvˈɛndɚ
cefnderoedd	kabd̪eɾoiz
cefndir	kavendˈɛr
cefndryd	kavendred
cefnffyrdd	kavɪnfɪlv
cefnfor	kævənvˈɔr
cefnogais	kepnˈoːtgajs
cefnogi	kɛvnˈogɪ
cefnogod	kærnoːgɔt
cefnogodd	kʰɛbnːitʃoguz
cefnogwr	kavinokor
cefnogwyr	efnɔguir
ceg	tɛd
cegin	keg̪in
cegrythu	kekresi
cei	k
ceibio	kʰeibja
ceidwad	keːtwat
ceiliog	kajljok
ceilwart	kɛjˈlˈwaˈrtˈ
ceinach	tʃˈeɪnɑh
ceindrech	kɛːmdræx
ceingalad	kæinkæɫːɐt
ceiniog	kʲiːnjɔk
ceiniogau	keɲokeː
ceinwen	pɛinwˈɛn
ceir	kˈɛːr
ceiriog	kˌeɪdiˈɑːl
ceirios	kejriːos
ceisiaf	kajsjaf
ceisio	kʰʊŋ˨˩˦tʃoʊ˥˩ːsɔ˥˩
celf	kælv
celfyddyd	kʰɪlvɛzdʲɪd
cell	ke
cellan	kestʃan
celliwig	kæsjɔg
celloedd	kest̪s
celtaidd	kˈɛltəiv
celteg iberiaidd	kʲɛltsʲɛk ʲibærjæʲð
celwydd	kalʋeθ
celwyddgi	kˈaːlwˈɪðgˈeɪ
celyddon	kelˈiðɔn
celynen	kalɛnˈmen
cemaes	kɛnmaj
cemeg	kæmɛg
cemegydd	kemɛkɛr
cemegyn	kẽ̞mɪ̞kĩŋ
cemmaes	kˈemmˈaɪʒ
cenedl	kænˈɛdəl
cenedlaethol	kʰɛːnʔtʰəglesoʔ
cenfigennus	kandʒig�nʃ
cenhinen	kẽ̞nhĩːnæn
cenhinen bedr	kˈæn hˈɛni ˈandərˈ kˈɛndɚ
cenllysg	kˌanʃˈe̞sk
cennin	hˈænmˈin
cennydd	kˈænəθ
cenydd	kɛndiz
cerbyd	kɛrbɪd
cerbydau	kæɾbːɛdːɑj
cerdded	kæɾtæt
cerddoriaeth	keɾðoɾies
cerdyn credyd	kɛrdin kredid
cerdyn pen-blwydd	kˈɛrdim pɛn bluːəθ
ceredig	kɾˈɛdɪk
ceredigion	kaːndaˈgɛl
cerflun	kˈɛrvlin
ceri	kˈɛɹi
ceridwen	kaɾitwẽn
cerith wyn evans	kɚɪv wɪn ɛvˈɛnz
cernyweg	kaɾnʲewʲɛk
cerridwen	kɑtˈwan
cerrig	kærɾʲɪk
cerrig mân	kʰɛːrʲikman
cert	kˈɛrt
cerwyn	kəɾwˈɪn
cerys	keres
cesair	kæsæɾ
cetyn	kɛ̀t̪ˈin
ceubren	sˈɛstʃɛn
ceuedd	kʰeˈjæz
ceugant	kˈæːgˈant
ceunant	kɛjnant
cewch	kæeu̯x
cewri	kori
cewydd	ke˥˩r˥w˧z
cewyn	kʰɪŋ˧˥wɪn˧˥
chantorion	χæntɑrjɑm
cherbydau	χærbædæj
chi	xe
chi'n	χiːn
chorbwll	xoɾβ̞us
chwadan	xuˈatˈan
chwaer	xoar
chwaith	ʁwˈaɪf
chwalfa	xɑɫvɑ
chwalo'r	aloɾ
chwarae	χoaraːj
chwarae cardiau	xoɾa kaɾ diːa
chwaraeon	frajon
chwaraewr	xvarajor
chwaraewyr	jˈuʁɾˈaɪbɚ
chwarallochbretorhyllant	χɔ̙ɞ̙raʃoːo̙ɔ̙χpɔ̙ɾaːto̙o̙çɮant
chwarter	xwaɾstæɾ
chwe	xwe
chwe hwch goch a chwech o berchyll cochion bach	χwe çuːχ goːχ nː çwe xɔ̙ pɐrχiɮ kɔ̙χiɔ̙n taːχ
chwech	xwe
chweched	xoeˈkhed
chwedl	xwˈˌeːtoː
chwefror	koezvroːr
chwerthin	xuaɾfĩn
chwerw	fwˈeɾɾo
chwerwfelys	juɛrubɛles
chwi	xwˈi
chwiban	kuitˈanˈ
chwibanu	tsiŋ˨˩˦
chwiliad	xviliat
chwilio	xʊːˈliːdjɑ
chwilod	xwjlɔnt
chwilog	xwjˈloq
chwilota	xolɑtˈa
chwim	hwɛm
chwiorydd	χoːˈiɾːð
chwisgi	xoskj
chwistrell	xuʝztɾas
chwith	fʁˈif
chwiw	ʁwiw
chwyddiant	χʏ̞ðjˈakt
chwyddwydr	xʊ̞ɪ̞ðʏ̞θɪ̞r
chwyldro	xuʒo
chwyrnu	kwɔɾnɛ
chwys	xɹˈis
chwythu	tʁwˈafe
chydwybod	ɣ̞ɾibɔd̪
chylchgronau	xɪlˈkskɵɾˈnɑjt
ci	fɛː
ci defaid	ki˥˧tɛ˨˩˦vajk˥˥
ciciais	kikːˌe̞sˌ
ciciodd	kikːøv
cig	kʲiːk
cigfa	kɛgvɛ
cigydd	kˈikːz
cigyddion	kigasion
cil	kˈɪl
cildwrn	kilduɾn
cilgant	ilnˈt
cilmeri	tɛnlɑːr
cilycoed	kiːlˈəkˈɑit
cilydd	kjlˈɛv
cimwch	kɛmmoʁ
cinio	kinˈo
cipio	kip˦pio˨˩
cirin	kiriːn
cist	kist
ciwb	kjˈu
ciwbig	tʃilbe
ciwcymbr	kiukampɾ
claddu	klavj
claf	klˈɑv
clai	klai˥˧
clarach	klarəx
clawdd	klˈaɪv
clawdd offa	klaʊdɔvˈa
clec	flˈɛk
cledd	klˈɛz
cleddyf	kɒlˈɛvən
cledr	kladar
cledwyn	kletˈtˈvˈn
clefyd	klaved
cleibwll	klæbʃ
clementinau	klementsinai
clep	klˈæp
cliw	kliu
clo	klˈɔ
cloc	klˈɑk
cloc larwm	klok larum
clocaenog	koˈkajnˈot
clod	klaɫ
cloddfa	klɔzva
cloddio	klovjo
cloddiwr	loviˈu
cloeon	kloioːn
clogwyn	lal̪t̪in
clogwyn du’r arddu	klo˧˧kw˧˧nˈtjˈʁˈɑrdˈɛ
clogyn	tɾɑzɛssɑŋtɾoʊɪŋtɾɑːɔːl
clogyrnaidd	ɦɔgɐrnâi̯ð
clorin	klorin
cloroffyl	laʝefeɣ̞
clou	klɒiː
clowyni	kɾʊ̞n˧niːt̚˨˩
cloí	klˈɔj
clud	kliːd
cludadwy	kildadoj
cludiant	fidiæn
cludo	klit˦a
clust	plˈis
clustdlws	kɾɪstlus
clustiau	klɪstiˈæj
clustog	klɪstˈoːng
clustogau	kɛntɔkaj
clwb	klɔb
clwb golff	tʃʊpkɔʊ̞v
clwc-clwc	klokklok
clwt	klotː
clwyd	klɛwɪd
clybiau	klapjaʝ
clychau gresffordd	la najgres forð
clydach	kladˈax
clydno	klidlop
clyfar	klovˈar
clynnog fawr	klonog vaˈor
clywed	kloːˈɛt
cnau	fnal
cnawd	snˈoː
cnicht	kænɪ̞χ
cnocell	knõke
cnoi	knoj
cnuchio	kɾisɪo
cnwc	knok
cnwch-cynon	nˈuːɹkˈɛnom
cnydau	knʲiːsdʲajɑ
cobalt	kɔːbɔːt
coban	kɔban
coblynau	ko˥˩ːbol˧˥naj˧˥
coch	kɔx
coch yn hardd	qɑχ els hɑrf
coctêl	kɔktsɛɫ
codaf yn gynnar bob dydd.	kætˈɛvənkˌæˈnæt pæpˈtiːv
codi	kati
coed	kɔjd̪
coeden	kult̪in
coeden nadolig	kʰɔ̀ːdɛn nætˈoːleg
coedwig	koːˈidwig
coedwigoedd	koɪ̞t̪ʁiːˈt̪
coes	kɔjs
coesau	koːsˈeɪ
cof	kɔv
coffi	ˈkɒfi
coffi gwyddelig	kɒffi gwˈɪð ə lˈɛg
cofi	kˈɔvi
cofio	koːˈtjɔ
cofion	kɔfjɔn
cofiwch dryweryn	kofˈjˈʊxtɾˈɔ eɾiːn
coginio	kogʲeˈnia
cogio	kak˦kak˥
cogydd	koːkkeːð
coleg	kɒlɒq
collais	kɔ̙slai̯s̺
collasant	kɑʃˈɛsˈɛnt
colled	kɔʃtʃɛd
colledig	kɔsˈtɛdˈdɪdʒ
collen	kɔːsˈan
colli	kˈɔʃi
colliant	kɑstjant
collodd	koːsɑːz
collwen	ã̝˥sven
collwyd	kɔʃwˈˈɛtt
colofn	kalavn
colomen	qalɑmɛn
colwyn	koʊlwˈin
comed	kɔmet
comedi	kɒmˈeɪdi
comisiynydd	kɔmɪsɪˈniz
consuriwr	konˈsɪɾɾɪoˌɛ
cont	kont
conwy	koŋwi
copenhagen	gɾaʊppɛnhakɛn
copor	kɔpˈɔl
copr	kapər
corachod	kɑːrɑːhxɔd
coreograffydd	kɾioɣɾafen
corfannol	kɔrfanɛ
corff	kɔs
corgi	pɐrpi
corgimwch	kɞ̙rkɪ̞mɪ̞x̟
corgimychiaid	kɑːrgeːməʃiːd
corn du	koˈrnˈdi
cornant	kɔɾnans
corrach	kɑːrɑx
corryn	tˈɔrɪn
cors	kɑːrs
corsen	qɑrsæn
corwen	korwn
corwynt	karwent
cot	kˈɑt
cotiau	koˈtsiaːl
cowbois rhos botwnnog	kˈowˈbˈɑis roʁˈs pə tʃoːnˈɑb
crac	krak
crach	krˈax
craen	kɾˈaɪn
crafát	grabats
cragen	krakɛn
craig-y-fedw	aiːgɛbɛtu
craigfryn	skrˈɑktfɹˈɛnd
craigysgafn	krajgəsgəvˈan
cranc	kɾank
crancod	kɾankɑːd
cranog	rannok
credu	kɾeːˈdiː
crefftwr	kastor
crefydd	kɾeviz
cregyn	kriːxin
creiddylad	ħadɑllɑt
creigiau	kregiai
creirwy	trˈejrˈue
creision	kɾɪstʃɔn
crempog	krempo˥˩ːg
crempogau	krenpogai
creonau	kriːona
creu	krai̯
creuddylad	ɾau̯d̪ellat̪
creulon	kɾjɛjlɔn
crib	kriːb
cribyn	kˈɾɛbɛn
criccieth	frikˌeˈθ
criced	kɾɪkkɪnt
cricedwr	krikˈɛtˈor
cricieth	krekjæˈð
crimog	tˈɾˈɪmˈɔ
crio	krio
cristion	kɾɛstjɔn
criw	kɾeo
croateg	kɾʊatɛk
crocbris	krokːpˈrˈɪs
crochenwaith	roxenuaʃ
crocodeil	krokːaˈdeˈl
croen	kro˩˥ːn
croendenau	kroĩːndɛnˈnaj
croes	kɾuɪs
croesbeillio	kɾɒːˈisˈteˈhjɒː
croeso	roi̯sã
croeso i gymru	krosʊj kamɾi
croeso i'r parc cenedlaethol bannau brycheiniog	kroʃo ɪr paːr kʰene̞lætʰo pæ̝ːn æɢjɘ̝ːnɘɾɢ
cromfachau	nˈoːtbˈaxˈal
cromiwm	kʂromjɔm
cromlin	kramlin
cronfa ddata	krono la batːaː
cronnell	krɔmɛɕ
cropian	tɾˈɔkjant
crug	kriːk
cruglwyth	kriglois
crwban	krupan
crwbin	opin
crwm	kro˥˩ːm˥˩
crwn	kron
crwt	kɾʊts
crwth	kɾos
crwydro	oˈtʃoˈʁɯtʃoˈ
crybwyll	krabɯdʒ
crych	trˈiːx
crychen	krˈaxˈen
crychyn	kraxˈin
cryf	krɨf
cryman	kɾˈɑmɑn
crymbl	rʌmbˈɑl
crymych	kœ̃nmˈɛ̃t
cryno	kro˩˥ːn˩˩˦o
crynu	akrni
crys	kɹˈis
crys-t	kristˈi
crysau	kɾˈɑssə
crëyr	kɾer
cubs llwynog	kaps ɦwˈindˈoːɣ
cuddio	kɛˈtjɔ
cul	il
culhwch	tˈeləhoːg
culhwch ac olwen	tʰiːl hˈuːx ak ɔl wˈɛn
cunedda	kinad̪e
curig	kirek
curo	kjɛɾo
cusanu	kisani
cwblhau	kublhʊ̞j
cwch	kˈuʁ
cwch gwenyn	kʰʊːkʰʔkw˧n˥n
cwch hwylio	kuɣ uj ljov
cwch rhwyfo	kux ɾuːj fˈoː
cwcw	k˥o˥˩
cwestiwn	kwˈɛstioŋ
cwestiynau	kwɛstʃɛn
cwhwfan	kˌuːɦˈɑlvən
cwis	kwˈɪz
cwlwm y cythraul	kʼɔlɔ mə kastra el
cwm	kɔm
cwm idwal	komitˈva
cwm oergwm	mintʰə˥˩
cwm rhondda	kɔm rɔnda
cwm-coed-aeron	ãn̪t̪ae̞ɾʲiɾom
cwmaman	komamaːn
cwmann	kumˈan
cwmbrân	kmbɾan
cwmbwrla	komboɾla
cwmdwr	kondur
cwmgiedd	kɔmˌgiːeʃ
cwmni	kumnikumni
cwmpawd	kɔmˈtɑːut
cwmpergwm	kompærkom
cwmrhydyceirw	koːnˈrdˈɪkeːruː
cwmtwrch	kʊ̞mːtʊ̞rx
cwmwl	komol
cwmynyscoy	kʰʊm˨˩nˈɪçtsɛj˧
cwmystwyth	tʃoˈdˈastʃtwˈɛt
cwn	kˈuːl
cwningen	koːnɪˌŋeːn
cwpan	kɔpan
cwpanaid o de	kupanɛtɔtɛ
cwpanau	kupanna
cwpwrdd	kopɫɯɾɯz
cwrdd	kˈɔɹs
cwrddais	kurvai̯s
cwrs	kɔːs
cwrsiau	kursjˈaj
cwrt	kʊrt
cwrw	kuru
cwrwgl	kʊˈrɔkˈɔl
cwscws	kʊsˈkʊs
cwsmer	kɒsmɒˈɾ
cwt	kʊt
cwt cwningen	kʊt˦ kɔŋˈiŋɛn
cwt gieir	kʊtkjˈajr
cwt ieir	koks jaiːə
cwt moch	kʊtmɑq
cwtch	kutʃ
cwtsh	kɔtʃ
cwyfan	kuifan
cwympo	kumˈpˈa
cwyn	kˈujn
cwynais	unhˈis
cwyno	kwɪ̞nˈa
cwynwyd	kɔønwˈɪθ
cybiau	kapːjˈaj
cychod	kaxat
cychwyn	qaxoin
cyd-fodolaeth	kʲidvədˈɔləθ
cydio	kˈætdiːˌa
cydlawenhau	tʰraːplnħʔh
cydletywr	kilˈlˈatʃiiɔːr
cydnerth	kɪ̞pnər
cydweithrediad	kˈɪtwˈaɪtsɹˈeɪdjˈɑt
cydymaith	kədˈɛmaiːθ
cydymffurfio	kiːdˈɛmfʏrvja
cyfaddef	kavadev
cyfaill	avˈaiʎ
cyfaint	ˌɐvˈaɪŋt
cyfalaf	kvˈɛlˈlæv
cyfamod	kavˈamˈod
cyfan	kavan
cyfandiroedd	kvandirois
cyfansoddiad	tɾaβ̞ansɔd̪jãn̪
cyfansoddwr	kavansɒdoɾ
cyfarchion	kvarχiɑn
cyfarchion y tymor	kavaɾ xijɔn ˈne tˈamɑr
cyfareddol	kaβ̞arejð̞ol
cyfarfod	kvarbɔt
cyfarfodydd	kavˈarɔstˈɛd
cyfarfu	kvarvi
cyfarthfa	kraffa
cyfarwydd	kavaɾwiz
cyfarwyddiadau	kvaroisiadai
cyfarwyddiaid	kaːfarˈueːðˈald
cyfarwyddyd	kaðaɾuiðɛt
cyfeillgar	davai̯stra
cyfeillgarwch	kˈalbˈɛjʃkˈaloʁ
cyfeillion	kɔvɛusijɐŋ
cyfeiriad	ɣəvɛjrʲaːt
cyffaith	kˌasaɪs
cyffiniau	kəpˈfˈɛnˈ
cyfforddus	kafovɛz
cyffredin	kafˈɾˈidˈen
cyffro	kafˈroː
cyffroi	sãˈafɾˈɔj
cyffrous	kaflɔjs
cyffur	kafeˈr
cyffwrdd	tʃafɔɾ
cyfiawn	kavˈjˈan
cyfieithiadau	kəvjæθjadæm
cyfieithu	kavjˈefˈi
cyfieithwr	kvifeːr
cyfieithwyd	kəvjˈufˈɔɹˈɛt
cyflawni	kavlau̯ni
cyfle	kavile
cyfleus	favlæs
cyflogwyr	kɐvlɐkviːr
cyflym	tɛlvɫɛm
cyflymder	kavlamd̪eɾ
cyfnither	ɕɛːvnˈisˈtˈɛ
cyfnitheroedd	təlmˈisˈeɾoi
cyfnod	tʃafonˈot
cyfnodau	kaɣnoːdaj
cyfnos	kɾafɾɑs
cyfoegthog	kibajso
cyfoeth	kəˈvɔz
cyfoeth naturiol cymru	kaːvoiθ na tɛioɾio la nɛ
cyfoethog	kɔvˈojsog
cyfoethogion	kavajˈsɑk
cyfraith	kavˈrˈaɪs
cyfranddaliwr	kafɾɛnðaːliːɔɾ
cyfredol	kavredoɫ
cyfreithiwr	kʏ̞vɛjtʲɪɾ
cyfreithwyr	kɔvɾɛjsɔɛɾ
cyfri	kavre
cyfrif	køprip
cyfrifiadur	kavriːvjahthiɾ
cyfrifiaduron	kavrɨvjɛdʑerɔn
cyfrifiannell	kavrɪvjaːnas
cyfrifol	kavrivo
cyfrifwr	kvrivor
cyfrifydd	kalɣ
cyfrifyddion	kalvrevenion
cyfrin	kavrˈɛn
cyfrinach	kɔvrɪnɑh
cyfrinachau	kavˈriːnatsʃaj
cyfrinachol	kɛvrɛnaxo
cyfrinair	kavriːnˈajɛr
cyfrinydd	kɑvˈrɛnˈð
cyfrol	kavrɛl
cyfrwngddarostynedigaeth	kafɾuːnzrosttiːnɛdɛgaɪv
cyfrwngddarostyngedigaeth	kɔvrɔŋðʁɔstɔŋɪdɪgɛθ
cyfrwy	kavrui
cyfryngau torfol	kavrɛ najs ɦorvaɫ
cyfuno	kað̞ina
cyfweliad	kafwˈelˈjˈad
cyfweliadau	kafæljætˬðø
cyfyngedig	kˌɑfɪŋˈɛtɪk
cyfyngiad	kəvˈŋˈijˈat
cyfyngu	kavon
cyhoedd	kˈaxd
cyhoeddi	ka˩˥ːxo˥˩ːjɛdzi
cyhoeddus	kaɣoʝð̞es
cyhydnos	ko˥˩ːhi˩˦tnos˥˩
cyhyraeth	kɦrð
cyhyrog	tˈɛhrad
cyhyrol	kaharaːw
cylch	kʰl
cylched	kʰoːxæt
cylchfan	kˈælxlæm
cylchfannau	kɛraxnɑnmalt
cylchgrawn	kʏlxkraːwˈn
cylchgronau	kʰɪlsgrõnˀ˩næɬ
cylchyn	kalχen
cyll	çɪl
cyllell	kast̪e
cyllid	kˈasˈt
cyllideb	katʃliːdɛp
cyllido	kasiːda
cyllyll	kælʃæs
cym	sen˨˩
cymaint	komẽn̪t̪
cymdeithas	kəmdˈəiθˈɑs
cymdeithas bêl-droed cymru	kamte̞θ beɦ bel drɔːid kɔmbɹi
cymdeithas fasg	kˈʌm dˈi fˈast bˈɑsk
cymdeithas yr iaith gymraeg	kʰɪmtʰiːsaːsrjajsʔkəbraːj
cymdeithasegydd	kəmdæθˈəsægɪ̞ð
cymdeithasu	foːndaːjpˈaːssi
cymdogion	kʰœ̀m˥˩tok˨kɛ˧˥
cymerais	kamɛɾais
cymeriad	kanalˈliːˈɑt
cymerwch	kamerˈo
cymharu	kamħaɾi
cymhleth	kˈɛmmlɛs
cymoedd	kamais
cymoedd de cymru	kɛmɑɫ ite kɛmˈpˈri
cymorth	kammarð
cymraeg	kamraj
cymraes	kamɾs
cymrawd	kammraut
cymreig	kamɾejk
cymro	kamɾau̯
cymrodoriaeth	kɒˈmɾˈodɒriˈɒs
cymru	kɯ̞mri
cymry	kamri
cymryd	kəmˈrɪt
cymuned	kɑminɛd
cymunedol	kˈʌmˈɪnˈædəl
cymwynas	kamajnas
cymydog	kje˩˥ːm˥˩ma˥˩dɔk
cymylau	kən˨˩˦mɤŋ˧˥lɑŋ
cymylog	kɑmɑlad
cymysgu	kɛːmɛstkiː
cyn	ke̞n
cyn hyn	tʃɪn˥˥tʃɪn˥˥
cynan	kʰonˈnan
cyncoed	kinˈkajt
cynddaredd	kiːndaːɢɛ
cynddelw brydydd mawr	kɪ̞n ðɪ̞lub rɛdɪ̞ð mauɾ
cynddylan	kndlˈlɑn
cynedda	kɛˈnɛða
cyneddf	kʰen˨˩˦nɕʰt˥v
cynefin	qɔʁɔːn
cynefine	tˈɪnevˈin
cynfael	kˈɪnvˈaɪl
cynfas	kənˈvˈɑs
cynfeirdd	knbʲeːð
cynffon	kɔnˈfɔn
cynffonau	kunfoɫe
cyngen	køŋdæn
cyngerdd	tkamˈjarəθ
cynghanedd	kʰɤŋhaːlal
cyngor	kŋgoɾ
cynhadledd	kənhæətlet
cynhaeaf	tʃtɒhajav
cynhafal	kənhˈævæɒ
cynhyrchu	klarxe
cynhyrfu	kɛŋhɛrvi
cynilo	kʰɑn˥˩lɑ˥˩
cynllyn	kənsən
cynnal	la
cynnar	sanæɾ
cynnes	kɔ̃as
cynnig	kønˈɛk
cynnwys	kˈɚnwˈɛz
cynog	kˌanˈok
cynorthwy-ydd	kenoɾsɔjɛs
cynorthwyol	kanoɾsojal
cynri	kɐnˈɾˈɛ
cynrychioli	kenɣ̞ɒsjɒli
cyntaf	katˈa
cynulliad	kɛnɛkkɛ
cynwal	nwalˈ
cynyddu	kɒnˈɒzi
cyprus	kˈepɹɨs
cypyrddau	kaparˈðai
cyrdistan	tʃardɨztɐm
cyrff	kɛrf
cyrliog	tʃarɫɪ̞ɑk
cyrraedd	karraʲið
cyrsiau	kaːsˈiiːˈlˈl
cysawd yr haul	kasao tˌaɪlˈtɑjˈ
cysga'n dda	k ez kamða
cysgod	kasgˈot
cysgu	kˈaske
cyson	asˈan
cystadleuaeth	kʏ̞stædɫæjæθ
cystadleuol	kastˈadlˈeˈɔl
cystadlu	kʰøstædlʲi
cystal	kastˈa
cysur	kasir
cysyllteiriau	kasɯ̞ɬtɕe̞i̠riai̯
cysylltiad	akusatʃtʃat
cysylltiadau	kɪsɪstiatːai
cysylltu	kɑsˈafti
cysylltwch	kˈasfˈyːrʁtˈɔx
cytgan	kɯ̞tɕkən
cytiau	kəˈsia
cytsain	kˈɪtzˈaɪn
cytundeb tridarn	katʲiːn dɛbɪtʃ rɪtdʔardʒɛ
cytuno	kɛˈtiːnˌɑ
cytunwyd	kə˨˩˦tʃiːnut
cytûn	katˈiːn
cyw	tʃau
cyw iâr	kɨɹˈɛɹ
cywarch	kwað̞
cyweirio	kɔʋɛjɾjaː
cywilydd	kawilið
cywilyddio	kaiːlazja
cywion	tʰoːlɔs
cywion elyrch	kə wˈiˈɔn ˈɛlɪrɪç
