1	bɛrˈe
çавра	tʃapra
çавраçил	ʃabɾaɾsi
çавракăш	ʃɑbɾaːgəɾ
çаврака	ʃabrˈag
çавракала	tʃabɾaɣ̞al
çавракалан	ɣ̞sɣ̞ɾaɣ̞aβ̞ant̪
çавракалат	tʃabɾaːgalaːt
çавракан	ʃabɾaɣ̞ant̪
çавралан	ʃabɾɑlɑn
çавралат	ʃɑwɾɑlat
çавранкă	tʃapraːniga
çаврашка	tʃaβ̞ɾeskaɾ
çаврашкалан	ɣ̞saβ̞ɾeeskalaɾ
çаврашкалат	ʃavɾaːʃkalɑːt
çаврашкан	t̪eβ̞ɾazkan
çавринке	tʃaɾbɾjnɟie
çавтăн	ʃʊ̞ɑʊ̞ɫdʊ̞m
çак	ʃɑk
çакă	ʃagɐ
çакăн	ʃagom
çакăнта	ʃaːkndaːɾ
çакăнталла	ʃagundɐlːa
çакăнтан	ʃaːgɔndaːn
çакăнтар	ʃɑɣɐndɑːr
çакăнтарахра	ʃakɔntaraxra
çакăнти	ʃɐgmd̪iː
çаклан	ʃɑkɫɑn
çаклантар	ʃaklãn̪d̪aɾ
çакланчăк	ʃaklaːntʃɯk
çаклат	aklak
çаклатма	ʃakvatma
çаклаттар	ʃaklatːaɾ
çаклашка	ʃakwaʃka
çакма	ʃakma
çакна	ʃaknɑ
çакнашкал	saknaskaːl
çактар	tʃaktaːr
çалла	ʃaː
çаллан	ʃaːlˈlaːm
çам	ʃam
çамка	ʃɛŋgaː
çамкалăх	amgaːvo
çамлăх	ʃamɯloq
çамламас	ʃɒmlɒmɒˈs
çамлан	ʃamɫan
çамрăк	ʃaːmrak
çамрăк-кĕрĕм	ʃämrʊ̞kjʏ̞rʏ̞n
çамрăклăх	ʃamɾɣ̞lib
çамрăкла	ʃamɾakla
çамрăклан	ʃamɾʊkʏlɑn
çамрăклантар	ʃɑmɾʊ̞kɫændɑːr
çамрăклат	ʃamrɯ̞klaːt
çамрăкранпа	ʃamɾgrandapa
çан	ʃam
çан-çурăм	ʃamʃurum
çанă	ʃanɛ
çанăсăр	ʃaːnəvər
çанталăк	ʃɑndɑːɫʊ̞k
çап	ʃɑp
çап-çаврака	ʃapʃabˈragaːn
çап-çара	ʃapʃaraː
çапă	ʃɑːbɑl
çапăç	ʃɑːbəʃ
çапăçтар	ʃabʃtˈaɾ
çапăçу	ʃabɑʒu
çапăлан	ʃɑːpɔˈlɑːn
çапăллă	ʃɑːbɑll
çапăн	ʃaːbun
çапăнтар	tʃaβ̞anð̞aɾ
çапăр	ʃabor
çапах	ʃɑbɑq
çапкă	tʃakːo
çапкăч	ʃɑfxʊʧ
çапкăчă	ʃɑpqɔdʒu
çапкала	ʃafkava
çапкалан	ʃapkɑlɑn
çапкалантар	ʃɑpqɑlɑmdaːrɯm
çапкаланчăк	ʃɑfqɑɫɑŋdʒɯk
çапкаланчăкла	sakalãn̪ʝɯkla
çапкалаш	sapkalas
çапкалашу	sˈɛpkˈalaxˈuɾ
çапла-капла	ʃɑplɑkapːlɑ
çаплалла	ʃaplɑɫla
çапласкер	ʃaːplasgeːr
çаплах	ʃaplɑx
çаплипе	ʃɑplʏjbeɾ
çаппа-çарамас	ʃapːaʒaramas
çаппа-çарамаслан	ʃapkɑjʃɑrɑmɑsˈlɑn
çаптар	ʃapːtaːr
çаптаркка	ʃapɾkat
çапуççи	ʃabuʃi
çар	ʃar
çарăк	ʃaːrɔk
çарăлтат	ʃarəldɑːt
çарăлтаттар	ʃɑɾɯ̞ɫdɑttãɾ
çарăлтату	saɾaːldad̪uɾ
çарăмсан	ʃɑrmzaːn
çара	ʃara
çара-çĕтĕк	ʃarɑjʃojidi
çараккай	ʃɾakːajn
çарал	tʃaraw
çаралăх	ʃaːraːaːlɔ
çаралан	ʃɑɾɑlɑn
çаралантар	saɾalõn̪d̪aɾ
çаралат	ʃɾɑːˈʋaːk
çаралла	ʃɑːrɑllaː
çаралнă	ʃarau̯na
çарамас	ʃæɾmaːst
çарамаслăх	ʃarɑmaːsɫɑ
çарамаслан	ʃaɾamafɫan
çарамаслантар	ʃɾamɾzlɑndar
çарамассăн	ʃɑɾɑmɑsʊ̞m
çаран	ʃaˈran
çаранлăх	ʃarɑnɯmɯʁ
çаранлат	ʃɑɾɑnɫɑɾ
çаранлату	ʃaranlˈadu
çарат	ʃɾɑːt
çарата	ʃarada
çараттар	ʃaraktar
çарату	ʃaradu
çаратуçă	ʃɾatuːʃl
çаратуллă	ʃɑɾaduːɫɯd
çари	ʃariː
çарилет	ʃaˈɾilejˈ
çарлан	ʃɑɾlɑːn
çармăс	ʃaɾmɔ
çармăсла	ʃarmɯzwaː
çармала	ʃɑrmɑɫɑr
çарран	ʃarran
çарранлан	ʃarãn̪lãn̪t̪
çарт	ʃˈɑːɹ
çарта	tʃaˈrda
çартасăр	ʃɑːrdɑːzɯr
çартлат	ʃaːrdploːk
çартлаттар	ʃart̪lat̪ˈaɾ
çат	ʃˈɑt
çатăлти	ʃadɔviː
çатăрмак	ʃˈadrmˈɑk
çатан	ʃaːdaːn
çатан-вĕрлĕк	ʃadanbɪ̞rɫʲɪk
çемьесем	ʃɛmjɛzjɛm
çиеле	tʃiɦele
çимĕç	ʃiːmɛʃ
çимĕк	sˈimik
çиме	ʃimjɐ
çине	ɕi˥˩
çитмест	ʃitpʲeʂtʲ
çич	tʃik
çичĕ	tʃitʃe
çиччĕ	zitʃ
çук	sˈok
çук ĕнтĕ	sʏ̞k jändɪ̞
çук-ха	suxa
çулла	ʃuɫä
çумăр	tʃuɫmaɾ
çуркунне	ʃuɾbunjæ
çурт	sʊ̞ɾt
çурта	sʲurda
çурхи	ʃtʃɚχiː
çутçанталăк	tʃutʃaːndalɨk
çуталам	ʃuˈdɑvɑm
çутат	sʲudɑt
çутипе	ʃudɪdʲe
çын	n
çырлах	ʃɛlla
çыхкала	tʃixkala
ÿпле	ʏplæ
ăhă	aga
ăhăn	ɯ̞hɯ̞n
ăjhă	oixa
ăjă	aja
ăjăr	ojɔr
ăjărla	ajɛrla
ălah	ɫæx
ălapa	laba
ălav	lau̯
ăman	man
ămlat	ɔŋɫat
ămma	ɑmɑ
ămsan	amzaːn
ămsantar	ɯmzɑmdaɾ
ămsanu	amzanou
ămsanullă	amzanuɫːa
ămsanullăn	aːmzaŋuɫman
ămuu	amu
ămăr	ɑˈmɑˈr
ămărlan	lameɾlam
ămărlantar	ɑmɑɾlãn̪d̪aɾ
ămărlat	ãmeɾlat̪
ămărlă	ɑmɑrlɑm
ămărt	ɑmɑrt
ămărtkajăk	amrtkaːjɛk
ămărtlan	ãmaɾt̪lãn̪t̪
ămărtlanu	amartlanau
ămărttar	ɾʊmɯ̞rtʊ̞r
ămărtu	lamaɾð̞o
ămărtullă	rduɫa
ămărtuşă	marduʒɛm
ăna	fɔna
ăna-kăna	ɦanagna
ănkaj	angˈai
ănkajlă	anˈgɑjɭɑ
ănkar	ɢar
ănkart	anɣaɾt
ănkarttar	angartˈar
ănkaru	anɣaroː
ănkarullă	anɣarow
ănkarulăh	aŋgaɾoɫ
ănkarusăr	angaruʐr
ănla	ʊ̞nɫɑ
ănlan	ənɫɑn
ănlantar	anɫdaːr
ănlantaru	anlɑndaruɫ
ănlantarullă	anlandarula
ănlanu	anlano
ănlanullă	anlanolla
ănlanulăh	anlɑnɯ̞oɫʊ̞q
ănlanulăhlă	anɫɑnnolɑqɫæ
ănlanusăr	aːlɑnuzar
ănlanusărlăh	allɑnmuzərlɯz
ănlav	ənlɒv
ănlă	ɑnɫɑ
ănman	ɑmɑn
ănmanlăh	ɑnmɑnlɯ̞h
ănraš	ɔnrãs
ănsăr	onzɯr
ănsăr-tănsăr	ɑŋzɯˈrdɑŋzɯˈr
ănsărlan	ðʊ̞rɫän
ănsărlat	azɯ̞rɫat
ănsărlăh	ɑŋzɯ̞rɫɯ̞h
ănsărt	anzɯr
ănsărtlăh	ɑŋzɯrtɫɯ̞h
ănsărtran	zartran
ănt	ɑnt
ăntar	anðaːr
ăntăh	ɑŋdɯ̞
ăntăl	ændæl
ăntălu	andɐɫo
ănăş	ɑŋɯz
ănăşlă	anɯsɫɯm
ănăşlăh	anɯ̞ʃɫɯ̞q
ănăşlăn	anɯ̞ʃɫɑn
ănăşsăr	nɯ̞ʃsɯ̞r
ănăşsărlăh	anɯ̞ʃtɯ̞rɫɯ̞
ănăştar	anɾʃtaɾ
ănăşu	anɑxu
ănăşusăr	anadʒozor
ănšărt	anʒɯz
ăptă	apta
ăpăr-tapăr	abˈaɾðaβ̞ɾ
ăramanski	aɾamaɴsɯki
ăraskal	raskaw
ăraskallă	raskaːuɫa
ăraskalsăr	aːlɑskaːɫɯzɯɾ
ărasna	ɔrasna
ărasnah	tˈasnˈah
ărasnalan	rasnaɫan
ărasnalat	rasnaɫat
ărasnalla	aːrɑsnɑɫˈɑ
ărasnallă	rasnɑuɫo
ărasnalăh	rasnaɫɑx
ărat	ɾɑt
ăratlantar	ratɫændær
ăratlă	ratlɛm
ăratlăh	rˈatɭʌx
ăratne	oratnʲæm
ăravasăr	rɑɫäzɯ̞r
ărkaj	argaj
ărsurnik	arzoɾnʲik
ăru	ru
ărulăh	ruɫax
ărutašlă	rɔdaʃlɔ
ăryh	ɐrɪx
ărăltat	rolda
ărăm	ɐrɐm
ărăm-surăm	amzʊ̞rʊ̞m
ărămla	armala
ărămlă	ramla
ărămşah	ramzɑx
ărămşă	ɑrɑmzi
ărămşăla	aːrumsella
ărăs	aras
ărăslă	tɨ
ărăssăr	arasːɐ
ărša	ɑrsɑ
ăršallă	rzɑɫ
ăsa	za
ăsan	azam
ăsat	tsup
ăsattar	zatɑr
ăsatu	zadu
ăscah	ɔʃtʃaːx
ăscahlan	tʃaχlam
ăskăc	ɑskɯtʃ
ăsla	aːslɑ
ăslaj	faslaj
ăslajla	aslajla
ăslajlă	aslajla
ăslan	tʃaslam
ăslav	aslav
ăslavşă	asɫaːrdʒi
ăslă	asla
ăslă-puşlă	sɫabɔtʃɫo
ăslă-tănlă	aslɑdɑˈnɯla
ăslăh	ɑslɑq
ăslăla	ɑslɑːllɑ
ăslălăh	ɑsɫɑɫɑx
ăslălăhşă	ɑslɑɫɑqʧɑ
ăslăn	ɑslam
ăsma	ɔsma
ăspuşlă	tpuʃla
ăssăn	asˈsɪn
ăssăr	ɑsˈsɯɾ
ăssărla	sɣla
ăssărlan	asrlaːm
ăssărlanu	asrɫanou
ăssărlat	pɛsrɫat
ăssărlăh	ɯ̞sɯ̞rɫɯ̞χ
ăssărrăn	ässɯ̞rɯ̞n
ăsta	aːstaː
ăstajlă	astajla
ăstajlăn	astajlɛn
ăstala	astaɫa
ăstalan	stalaːn
ăstalăh	ɔstaɫɒx
ăstar	tˈoːsˈtar
ăstaşă	ostˈaʒa
ăstrăm	aːstram
ăstănlă	astanwa
ătăr	adar
ăvklat	fklɑp
ăvlat	aˈvɫat
ăvv	œv
ăvălăh	avavaɫa
ăvăn	afan
ăvăntar	avˈɐ̃ŋdɐɹ
ăvăs	a
ăvăsla	avasla
ăvăslan	aslam
ăvăslăh	avɑslɑh
ăvăš	a
ăçта	æʃta
ăçталла	ɪ̞s̪tææɫːɑ
ăçтан	ʃtˈa
ăçтиçук	est̪exu
ăăh	ˈœvʁ
ăşta	aʃta
ăştalla	ʃt̪ela
ăştan	astan
ăştişuk	aˈsjtˈkexwk
ăšala	da
ăšalan	ɣ̞elãn̪
ăšalancăk	ʐalaŋdʐɨk
ăšcik	aʃtʃiːk
ăšlattar	ɦʊ̞ʃɫɑptɑ
ăšlăh	aʃɫæx
ăšpillĕn	ɯ̞ʂpildɪ̞ŋ
ăšsăr	aʃsɑr
ăštah	bastˈaɣ
ăštalan	ʃtɑɫn
ăštalancăk	est̪aɾlnɣ̞ik
ăštalantar	aːstɑlɑnðaɾ
ăštalanu	s̺t̪alanom
ăšti	aʃtɪ
ăšă	aʒa
ăšăh	ʒæ
ăšăhhăn	ɑʒɑχkɯ̞n
ăšăhlan	ɯ̞ʒɯ̞χɫɑm
ăšăhlantar	ʊ̞ʒʊ̞χɫɑndɑr
ăšăhlat	ʒaxɫat
ăšăhlăh	aʒoklox
ăšăla	azala
ăšălla	azalla
ăšăn	aʐan
ăšăntar	ʒɯ̞ndɑr
ăšărhan	ãxeɾɣ̞ãn̪
ăšărhantar	asɣ̞eɾaɣ̞ãn̪d̪aɾ
ăšărhat	aʒɛrɣat
ăšăt	aʒɯt
ăšătkăc	aztkɑtʃ
ăšăttar	aʒtˈaɾ
ăšătu	aʐabɨu̯
ăšši	aʃe
ăšši-păšši	zˈeɪbɪdˌeɪsˈeɪ
ăššă	bassa
ăššăn	ɯ̞sɯ̞n
ăššĕ	ɯ̞ʂːɑ
ăššĕn	ɯ̞ʂʊ̞n
ăвăc	avɑs
ăвăлăх	avˈɑlɯx
ăвăн	ɑfɑn
ăвăнтар	aˈvɐ̃nˈdɐɾ
ăвăслăх	aːfasɫax
ăвăсла	aːvɑsɫa
ăвăслан	aːslam
ăвăш	aβ̞as
ăвв	v
ăвклат	avkɫad
ăвлат	aːvlat
ăйă	oja
ăйăр	ajɯr
ăйăрла	aɣoɾla
ăйхă	ɔjxɐ
ăлав	hɯ̞ɫæw
ăлапа	ɫɑbä
ăлах	aɫɑh
ăмăр	ɔmɯ̞r
ăмăрлă	pɑmɑrla
ăмăрлан	omeɾlãn̪t̪
ăмăрлантар	omɯ̞rɫändäɾ
ăмăрлат	ɔmɔɾlat
ăмăрт	pɑmɯ̞rt
ăмăртăвĕ	ɐmɯ̞rðʊ̞bʲɪ
ăмăрткайăк	mɐrtɪkaːjɐk
ăмăртлан	mɯ̞rtlanz
ăмăртлану	omrtɫanuɫ
ăмăрттар	umrtaɾ
ăмăрту	amardu
ăмăртуçă	amaɾð̞uxa
ăмăртуллă	marduɫ
ăман	tɾˈaːn
ăмлат	omlat
ăмма	dumˈma
ăмсан	nɔmzaːn
ăмсантар	ɑmzɑndɑr
ăмсану	amzaːnuː
ăмсануллă	amzaːnɔllɑ
ăмсануллăн	anʁaːnɔɫdɛn
ăмуу	amu
ăн-пуç	anbʃ
ăнăç	ɒnəʃ
ăнăçлă	anɯ̞ʃɫɑ
ăнăçлăн	anɯ̞ʃɫɑn
ăнăçлăх	ɑnɯ̞ʂɫɯ̞q
ăнăçсăр	ɯ̞nɯ̞ʂtʊ̞r
ăнăçсăрлăх	ɑnɯ̞ʂtɯ̞rɫɯ̞q
ăнăçтар	onest̪aɾ
ăнăçу	laʒu
ăнăçусăр	anadʒuzər
ăна	ana
ăна-кăна	ɔnagɔna
ăнкай	angaj
ăнкайлă	aːnˈgajla
ăнкар	ɐŋgˈaɾ
ăнкарт	ɑŋgaɾd
ăнкарттар	ŋgaɾt̪ar
ăнкару	angaru
ăнкарулăх	anɣarˈuɭʌx
ăнкаруллă	aŋgaˈrˈuɭɭa
ăнкарусăр	ɪ̞ŋgɐ̹ˈʊ̞ːzɪ̞ɾ
ăнлă	anla
ăнлă-пуçлă	taːnɾədʒdɑːeɣ̞st̪a
ăнла	ɯ̞ŋɫa
ăнлав	ˈɒnlɒv
ăнлан	anlɑn
ăнлантар	ɑnɫandær
ăнлантару	ɫɑndɑruɫ
ăнлантаруллă	anländäruɫä
ăнлану	anlatsʰ
ăнланулăх	anɫɑnuɫak
ăнланулăхлă	anlanovɯxla
ăнлануллă	anlænoɫoɫ
ăнланусăр	anlandozər
ăнланусăрлăх	anɫɑnnuzərlæx
ăнман	nman
ăнманлăх	ɯ̞nmɑnɫɯ̞q
ăнраш	ɔnras
ăнсăр	ɑŋzɯˈr
ăнсăр-тăнсăр	ɯ̞nzɯ̞rdɯ̞nzɯ̞r
ăнсăрлăх	ɑŋzɯ̞rɫɯ̞h
ăнсăрлан	zɯ̞rɫɑn
ăнсăрлат	anzɑɾlot
ăнсăрт	aːnzʊrt
ăнсăртлăх	ɑŋzɑɾtɫɯ̞k
ăнсăртран	anzəɾtran
ăнт	ant
ăнтăл	ɑndɑl
ăнтăлу	anˈdɐɫ
ăнтăх	ɑŋdɯ̞
ăнтар	anˈdɑɾ
ăншăрт	anʊ̞ʒʊ̞rt
ăпăр-тапăр	abɾɟabr
ăптă	ˈɑptə
ăрăлтат	rɯ̞ɫdɑp
ăрăм	ɑrɑm
ăрăм-сурăм	ɑrɯ̞mzʊ̞rʊ̞m
ăрăмçă	ɑrɑmʒɯ
ăрăмçăла	rʊ̞mʒʊ̞ɫä
ăрăмçах	arɔbʒaːx
ăрăмлă	rɑmɫɑ
ăрăмла	rmɫa
ăрăс	aɾas
ăрăслă	aːrɑslɑ
ăрăссăр	ɑrɯzsɯr
ăравасăр	rɑɫazɯ̞r
ăрамански	ramanski
ăраскал	raskau
ăраскаллă	raskɑwɑ
ăраскалсăр	ɾasau̯sɛr
ăрасна	rasna
ăрасналăх	rasnaaɫax
ăрасналан	rastɯnɑlɑn
ăрасналат	ɾɑsnɑɫɑt
ăрасналлă	rasnaɑɫ
ăрасналла	ɾasnɑvˈɫɑ
ăраснах	rɑsnɑh
ăрат	rap
ăратлă	raːtlɐ
ăратлăх	rɑtɫɯ̞θ
ăратлантар	ɾɑtlɑndɑr
ăратне	ratnʲa
ăркай	aɾgai
ăрсурник	ɾzufnʲik
ăру	ru
ăрулăх	ruɫax
ăруташлă	arudaʃla
ăрша	rʒa
ăршаллă	zala
ăрых	ʊ̞rɪ̞x
ăс-пăс	əspəs
ăс-хавал	bɑshaβ̞al
ăс-хакăл	tˈashˈɑgəl
ăс-хал	bˈasxaːv
ăса	azaː
ăсан	zan
ăсат	azat
ăсаттар	zˈatˈtˈaɾ
ăсату	azadu
ăскăч	aːskɯtʃ
ăслă	pɔsɫɐ
ăслă-пуçлă	asɫabuzʲɫo
ăслă-тăнлă	asɫadonɫa
ăслăлăх	ɑʂɫɑɫɑx
ăслăлăхçă	ɑsɫɑvɑxˈʃæ
ăслăла	asɫala
ăслăн	aːslon
ăслăх	ɑsɫɑq
ăсла	aslaː
ăслав	ɑsˈɫɑv
ăслай	ɪ̞sɫɑj
ăслайлă	asɫaʝɑ
ăслайла	slajla
ăслан	ɑsˈlɑm
ăсма	osma
ăспуçлă	aspuˈʃla
ăссăн	ɯ̞sːɯ̞n
ăссăр	ässɑr
ăссăрлăх	ɯ̞sɯ̞rɫɯ̞χ
ăссăрла	ɯ̞sɯ̞rɫä
ăссăрлан	tʃosɛrlɑn
ăссăрлану	asrɫanuu
ăссăрлат	ɯ̞sɯ̞rɫɑt
ăссăррăн	ɯ̞sɯ̞rʊ̞n
ăстăнлă	stɔnulɑ
ăстăнлăх	ɯ̞stɑnɫɯ̞
ăста	postaː
ăстаçă	astˈaʒɨ
ăстай	bostˈaɪ
ăстайлă	ztajɛvɑ
ăстайлăн	astajlɨm
ăсталăх	aːstaːv
ăстала	astala
ăсталан	ostavan
ăстар	tˈɑɹ
ăстисем	pastɨzjam
ăстрăм	astæɾʊm
ăсчах	vˈastʃˈax
ăсчахлан	ɯstʃaaxlɑn
ăтăр	aðˈər
ăттар	ɑtːaːr
ăхă	aga
ăхăн	ɑˈgən
ăшă	oʒa
ăшăла	ʒɨɫa
ăшăлла	ʒala
ăшăн	aʐɯ̞n
ăшăнтар	aʒẽnˈd̪aɾ
ăшăрха	tʃasɣ̞
ăшăрхан	ʒurɣan
ăшăрхантар	ʒɯ̞rʁɑndɑr
ăшăрхат	aːgərɣat
ăшăт	aʒæ
ăшăткăч	aʒɛtkɑtʃ
ăшăттар	ʒɒtˈtaɾ
ăшăту	zadu
ăшăх	aʐax
ăшăхлăх	aʐɯ̞xɫɑh
ăшăхлан	ʁʊ̞xɫɑm
ăшăхлантар	ʁʊ̞xɫɑndɑr
ăшăхлат	aʒaxɫat
ăшăххăн	æʃɑχɑm
ăшала	aʒala
ăшалан	ʒalaːn
ăшаланчăк	balɑŋdʒɯk
ăшлăх	pɑʂɫɯ̞h
ăшлаттар	aʃlatːaɾ
ăшпиллĕн	aspildiŋ
ăшсăр	aʃsɑr
ăшталан	oʃtavan
ăшталантар	estalãn̪d̪aɾ
ăшталану	staˈlanu
ăшталанчăк	ɯ̞ʂtɑɫɑnʲtʂɯ̞k
ăштах	ɔstax
ăшти	aːstɛ
ăшчик	aʃtʃik
ăшшă	bɑʃˈʂɑ
ăшшăн	æsˈɑn
ăшшĕ	aʃːa
ăшшĕн	asænkæ
ăшши	ɑsˈsi
ăшши-пăшши	tʃɛbasej
ĕç	œyʃ
ĕç-йĕр	ɪ̞ʃjɪ̞r
ĕç-пуç	bɪtʃbɔʃ
ĕç-хĕл	eʃɛ
ĕççи	lˈɪkəʃi
ĕççынни	hˈɛstʃimˈeː
ĕçер	t̪eɣ̞ie
ĕçкĕ	bɛʃkæ
ĕçкĕ-çикĕ	iʃkøʃiɟil
ĕçкĕçĕ	ɪ̞ʃkɪ̞ʒi
ĕçкĕллĕ	beʃkɪnlɛn
ĕçкĕллĕ-çикĕллĕ	ɪ̞ʃkʏ̞nleʂʲigjɪlɫɪ̞
ĕçкĕлле	tʃto
ĕçкĕрт	ʏ̞jʏ̞ʂkɪ̞rtʃ
ĕçкĕртле	bɪsˈkɛstlˈjɛ
ĕçке	eʃpi
ĕçкей	vɪsˈkɪn
ĕçкунĕ	tʃiːzikʌnˈiː
ĕçлĕ	pɪeʃlʲi
ĕçлĕн	ɛtlfim
ĕçлĕх	ne
ĕçлĕхлĕ	eʃliklʲi
ĕçлĕхлĕн	rʲiʃlʲɪçɫʲɪŋ
ĕçлĕхсĕр	tiʃlɛksær
ĕçле	ɪʃlˈɛɾ
ĕçлев	køʃljɛm
ĕçлевçĕ	beʃiːnˈjebiˈʃe
ĕçлеме	espɛne
ĕçлеттер	β̞ʝseɾtʲeɾ
ĕçме	ɪ̞smɪ̞
ĕçме-çиме	pɛ̀ːʃmʲoːʃʲimjɛ
ĕçмелли	ʃtˈelˈmiʒtˈɾiɾˈinˈ
ĕçрĕн	rɛsʃrin
ĕçсĕр	ist̪eɾ
ĕçсĕрлĕх	beʃtʲiɾjɾlɪ̞k
ĕçсĕрлен	ʃtɕrln
ĕçтăвком	miʃtapɔm
ĕçтер	pluʃtʃe
ĕçтеркĕч	eʃtjɛrgɛtʃ
ĕçтеш	kəsˈtiːnɛs
ĕçтешлĕх	kətˈoːʃtjˈ
ĕçхалăх	bʲisqaːlɑq
ĕçчен	esdʒˈɛn
ĕçченçĕ	dʒuʃtʃɛnʒɛ
ĕçченлĕх	yʃtʃiːnli
ĕçялкорсем	esɣ̞ebakoɾð̞iẽn̪t̪
ĕвеюк	ɛ̀viːɛ̀
ĕк	œ̃k
ĕк-мек	dˈiʁplˈɛn
ĕкĕр	eɣ̞iɾ
ĕккĕ-теккĕ	ɵɟːytjɛktɨ
ĕлĕк	ˈʌnɛ
ĕлĕк-авал	ɪlˈʏkˈavɑːl
ĕлĕк-авалтан	ølʲɪkʋaːʋɑldɑːn
ĕлĕкех	ɛlɛge
ĕлĕкренпе	tʃiɫtʃiɫde
ĕлĕкрех	iʎiklɪe
ĕлĕксенче	biliʃsẽnʲdʒe
ĕлĕкхи	beːlˈɛkki
ĕлĕкхилле	binikilɪle
ĕлĕш	ɪlˈlɪs
ĕлĕшлĕ	iʝlæʃɫe
ĕлкĕ	elgen
ĕлкĕр	beːɫgeːrn
ĕлкĕрт	ɛɛjgɛrtʃ
ĕлке	elkio
ĕлккĕн	ɛlkɛn
ĕлккен	ɛːlˈkeɪn
ĕлккенлĕх	ilgeːmɫe
ĕлккенлен	lakene
ĕлккенлентер	ylkkenlɛnʲdʒer
ĕлккенлет	laelkˈene
ĕм	el
ĕмĕл	eemɛ
ĕмĕлке	tɛmmɛlgiːɛ
ĕмĕр	emeɾ
ĕмĕр-ĕмĕр	ɛmɛrɛmɛr
ĕмĕр-ĕмĕре	ymrɪ̞mrɪ̞
ĕмĕр-ĕмĕрхи	ømrɛmerɣi
ĕмĕрлĕ	ɛømɛrli
ĕмĕрлĕх	emɾli
ĕмĕрлĕхе	pʏ̞mʏ̞rlʏ̞kʲiæ
ĕмĕрле	tʲɪmɪ̞rmiːjæ
ĕмĕрне	ɨmrɲe
ĕмĕрт	immerdʒ
ĕмĕрте	mʏ̞mʏ̞rʲæmæn
ĕмĕртенпе	ømøɾgenbʲiʲe
ĕмĕртенхи	ojmrdʒiŋtɕi
ĕмĕрхи	ɛːmɛrˈlɪkniː
ĕмĕт	emik
ĕмĕт-шухăш	ʃoːʃtsuːʃˈuxəʃ
ĕмĕтçĕ	fjuːnˈɛkʃɛ
ĕмĕтлĕ	te˥˩imbe˩˥ːtljɛ
ĕмĕтлĕн	ʃøymɛtleni
ĕмĕтлен	ɪ̞nətɪ̞mɪ̞m
ĕмĕтлентер	ømøztlenjɛr
ĕмĕтленӳ	oˈnˈʒə
ĕмĕтленӳллĕ	ɒmitʃ
ĕмĕтсĕрлĕх	tiɾiːmiːtsiɾiːli
ĕмĕтсĕрле	ðæmɪ̞ðfɪrɪ̞r
ĕмĕтсĕрлен	tʃaretʃljlẽn̪i
ĕметсĕр	tɛmɛtsɛr
ĕмкĕч	yngɪtʃ
ĕмпичче	penvitʃe
ĕмпӳ	ɛmby
ĕмтер	ɪ̞mdʒiːr
ĕн	la
ĕнĕç	pyˈnˈɪk
ĕнĕçсĕр	eniʃte
ĕнĕк	tʃiːzileːnit
ĕнĕл	œ̃n
ĕнĕлле	enjæ̹lmɪnˈe
ĕнĕм	ø̞nʲɪm
ĕнĕр	tʃareˈɲɛr
ĕнĕреш	prɨmjiɾeʃ
ĕнĕрле	epavestasrimia
ĕнĕс	ynˈuz
ĕнĕх	tɛjlɛnɑj
ĕне	penje
ĕне-сурăх	beːlniːjeːsuːrɐx
ĕнелле	penʲɫnʲe
ĕнем-канам	pʲiɲimkaɫam
ĕнен	tʃiːzinˈeːn
ĕненмелле	pənʲɪnɫieːlɬeː
ĕнентер	penʲɛndʑɛr
ĕнентерӳ	laˈnˈyˈgjzyv
ĕнентерӳлĕх	eˈnʲinːiːrɪmylɛk
ĕнентерӳллĕ	iˈnʲinɟeˈlijˈnæ
ĕнентерӳллĕн	beˈninˈndʒerɪylˈlɛnɪŋ
ĕненчĕклĕни	tˈɪpˈenjˈɛ̃ʒljˈulɪŋˈiː
ĕненчĕксĕр	ɛnˈeːɛndʒiksɛr
ĕненӳ	tɛ̃ˈɛ̃ˈ
ĕненӳллĕн	jˈʝ-ljljˈ
ĕненӳсĕрлĕх	ænʲiːnʲizʲerɪnæ
ĕненӳсĕррĕн	benimjyðsərɾen
ĕнер	tʏ̞njæɾ
ĕнери	uɲaɾi
ĕнерлĕ	jɛnijɛrlɪ
ĕнерсĕр	tʲɪnjeːrzɛr
ĕнертен	pɪnˈerdiˌen
ĕнертенпе	peniɾˈdiŋbjɛn
ĕнерхи	ẽn̪jɛr̥xʎ
ĕнерччен	ɦennertʃen
ĕнерӳ	ynjʁi
ĕнес	prinjez
ĕнсе	fɛne̞kæi̯
ĕнселе	ʃpʰiːnˈesɫʌ
ĕнт	bˈɪn
ĕнтĕ	la
ĕнтĕркĕ	tʏ̞nʏgɪ̞ɾɪ̞dʏ̞m
ĕнтĕрке	pẽĩ̯nʒerˈte
ĕнтĕркеттер	int̪jɾiɣ̞uekje̞r
ĕнтĕрки	ãn̪d̪iɾːikːiː
ĕнтрĕк	ɛndrek
ĕнтрĕклен	kəndrəkljej
ĕнттер	pʏ̞nːtgɛr
ĕнчĕ	ynʒi
ĕнчĕллĕ	enɣɛliˈne
ĕнчĕр	angɛr
ĕнчентен	bənˈʒʰənɣ̞ieɪŋ
ĕппĕл-теппĕл	fˈɛfˈlˈtˈeplˈɛn
ĕр	ɛmˈɛ
ĕрĕп	eɾɛb
ĕрĕх	øyryk
