1	e
拍胎	pʰa˥˥tʰa˥˥j˥
拔秧	a˥˥
拖車	tʰɤ˥˩tsʰi˥˥
拨款	pua˧˧kʰu˨˩
指	tʃin
指甲	tɕjɛn˨˩˦
按字有動靜音，諸韻皆以上聲，是掌切，爲升上之上，屬動，去聲，時亮切，爲本在物上之上，屬靜。上聲上字，高也，是指物而言，上海：則本在物上之上亦作上聲矣。	hioŋ˥˧hai˥˧
挖	wwa
接	tʃiː˨˩˦
接受	dʒi˥˧fɪu˥˧
推辭	tʰɔ̀iːtsuː tʰɔːiːtsuː
插	tsʰap˦
揚	y˥˩ɥœn˧˥
揣	tsʰuː˨˩˦i˨˩˦
揭	kɛn
搓	kʰaː˥˩
搖	lɛ
搬	puaŋ˥˧
搶	siŋ˥˥
摇	juː
摌	θɯ̞ŋ
摔	tə
摩擦	mɔː˧
摺	tsie˨˩
撇	fˈi
撒	pɑk
撞钟	tɔ̙n˥˥tsʊŋ˨˩˦
撥	pua˨˦
撩	lio leʊ
播	pɔː
擂	nɔj
擂粉	lɔj˨˩˦
擊	k
擔	taŋ˥˥
支那	tɕieŋ˥˥ a˥˧
收	fju˥˩
收錢	tɕʰi˥˥
收领	siu˨˩liau˧˧
改	kaj
改變	kaɪ˥˥pɪŋ˨˩˦
放火烧山	pʊŋkfu j tʃiw˨˩˦sa˥˩n˥˩
放炮	fum˥˩ pʰau˨˩˦
故	u˨˩˦
故事	kustu
故意	kˈu ˈeɪ
敆	ka
救	tio
救命	kioʊ˨˩mian˨˩
敗類	palˈnˈoɾ
散	fɑŋ˥˥fɑŋ˥˥
数学	fɔː
整理	t̪in̪liːt̪
整齐	tsintse
斃	bi˥˧
文	wɔː
文讀	voːnt
斐济语	ti˥˩n˧˥
斑	bˈeɪŋ
斛	hə
斥	tɕʰeː
新加坡	sʰɪŋgɑpɔ
新华字典	sĩŋ˥˥uaʔ˨tit˦e˧˥
新年平平安安，吉祥如意！	sĩ˥˥mian˨˦ pĩ˥˥ an˥˥an˥˥ kisuɔ˥˥y˨˦le˨˦
新年快乐	tsiŋ˥˥nin˥˧ kʰua˥˥lɔ˨˦
新杀或生魚为鲜、朝鲜	sin
新杀或生鱼念朝鮮	ɕɪŋ˥˥
方	um
施肩吾	f˧ʊ˨˩kʰɪŋ˥˥ nɔː˥
旋	to su
无主意	mau˨˦tsue˥˧
无事莫来这	m̩˨˩ʔt̚˨˩äː˧lɤ˥
无人	mɔnɔ
无名	bomja
无味	mɑʔweɪ
无土	mɑːˈtoː
无形	bˈɑː hi
无由生	mɔː˧˥jiːuː˧˥ tsʰan˥˥
无私亲	mɑŋ˨˩˦tsu˥˥tɕʰɪŋ˥˥
无良心	bɔ˥˧liŋ˨˦tsĩŋ˥˧
无解	mˌɔːkˈke
日	ne ne
日头	nilaː
日子	ni˥˧kĩ˥˥
日本	lipo
日本国	nikpompon
日本國	nipɔːnkɔ
日頭	la
旭	hɛ
时	fˈaɪv
时候	s˦i˨˩hau˥˧
时节	si˨˩ʈʂɚ˥˥
明	meɪn
明【看视远近是非暗幽】	b
明堂	neŋ˨˩ta˥˩ʊ˥˩ŋ˨˩˦
明年	maːn˩˩˦iː˧eː
明旦	minaː
明明	ben ben
明晰	beːn˧fˈit˦
明暗	mɪ˧˥ peɪ˨˩˦
明月出云崖	neŋ˨˩u˨˩˦tsʰu˥˥hʊŋ˨˩ a˥˧
明朝	ben tiu
明镜	ne˩˥ːn˩˩˦ kia˥˧
易	e
春风东北起	tsʰũ˥˥ hoŋ˥˧tioŋ˨˩pɔ˨˩kʰi˥˥
昨天	la va
是	e̞
昼	dau̯
時	fi˥˥
時間帯	si˨˩ ka˥˥ taj˥˩
晏晏睏	aːŋ˥˥
晓得	au̯t̪a
普照天下为明 清明 光明 聪明	ʰʈi˥˥ tʰiŋ˥˥ʔa˥˥ wjzmian˥˧ tʃʰiŋ˥˥ meŋ˧˥ kʰu˥˥meŋ˧˥ tsʰu˨˩˦meŋ˧˥
景	kĩ˥˥
暗	aŋ˥˥
暮	bu
曉	fiu̯
曉港	hjʊ̞rəm
書	u˨˩˦
最多	tsɔːiː˧˥ tɔː˥
會	e̞
月	u
月光	nʏ̞jɛːkwɔːŋ
月季	nˈʌkjɛ
月爿山	mupen˨˩faŋ˥˥
月经	boːˌkeː
月震	u˨˩˦tɕi˧˥njɑʊ˥˩
有	o
有味	umme
有型	wˈe
有退讓風	ʔuːt˥hɔːŋ˧˧
有閒	u eːn
朋友	fˈɛlmˈɪlˈ
服	həʊ
朝	tiu˥˧
朝鮮	tiu˨˩tsĩŋ˥˥
朝鲜	ti˥˥u˥˧tsʰiŋ˥˧
期	pliː
木	fˈuk
木为机，主發动为机【手机】	m˥˥ue˨˦ke˥˥ tsu˥˧fa˨˧tŋ˥˥ue˨˦ke˥˥
木英	bok˨i˥˧
木虱	mɒsɒ
未	mɔjˈ
末	boa
本	tuaŋ˥˥
本事	pɔndɯ
朱庆余	tsu˥˧kʰi˧˥nʏ˨˩˦
李	liː
李白	eˈp˨
李绅	liː sˈɛnts
李贺	li˥˩ ha˥˥
材	tsaɪ˥˩
杜定	tʃiːzi tʃiːzi
杜牧	tʊmɔ
杜甫	aɾ
束	fok˨
来	lˈi
杨巨源	iuŋ˨˩ ke˧˧ mu˧˧
杭州	hauŋ˨˩tsiu˥˧
杯	pu˥˥
東洋	tau̯n˥˥hiau̯˨˩˦
杷	pa˥˥
松	fum
松【不坚固松散】	sˈoŋ
松柴	unna
枇杷	piva
林	lian˨˩˦
林觉民	lin˨˩˦ kom˥˩in˧˧
枯	kɔː
枳	akːi˥˩
染	nʲin˨˩
柔	leu˨˩
柘榮	kjeäjum
柱	tɛːuː
柳	lˈiŋu
柴	tsʰa˥˧
柿	la
树	tio
树枝	tʃiw˨˩ki˧˧
校	pau
根本	aŋpũŋ
案	an˥˩
桌子	tua˧˧liŋ˥˥
桶	tɔ̃
梁	ljoŋ˨˩
梁鴻志	ljoŋ˨˩˦ h˥ŋ˥˥tsi˨˩˦
梦	mɐ̃n
梨	li
梳	sɛː
棄	ti˥˩
棕	tɕjɛŋ˥˥
森	sen
椅	jˈɛ
椶	tʂɤŋ˥˥
楚	tsu˥˩
業	e
極	k
楼上	laʊ˨˩hioŋ˨˦
楼面	la me
樂	nˈo
樓	lau
樹	tɕʰiː˧˥w˧˧
橄榄	kalaː
橋	kiu
櫥	deu
欢喜	xwã˨˩ni˥˩
欨	h̞iː
欨：笑也	ti˥˩ su˥˩
歇	hˈi
歐	eʊ ɑːl
止	tsi˥˩
正好	tsiŋ˥˧ ho˧˧
正正好	tsiŋ˨˩tsiŋ˥˥ hɔ˨
正直	tɕjã˥˥ti˨˩
正經	tiaŋ˨˩n˥˥tsit˦
正門	tsiŋ˥˧mun˨˦
正露丸	tsiŋ˨˩lu˥˧u˥˧
此	tsu˥˩
步	pʊ
武打	u˨˩˦tɑ˥˥
武汉加油	u˥˥ hɑŋ˨˩˦ ka˥˥ ju˥˥
歲	xuːj
歸	tɨk˥kɔj˨
殕	pˈu
殺	sˈa
每一天	buːɪˈθɪtʃˌɪŋ
每一工	boːjˈθɪkəŋ
毒	tˈɛlˈ ləʊ̃
毕业	pɛ̀ːn˩˧iː˧
毛蚶	mɔː hãŋ˥
毛里求斯克里奥尔语	maːɾiːk okːuaːkːaɾiːˀːaːniːɔːi
民族素質	nsu˥˧sut˦ tʰi˧˥
氣	tii˧˧
氣力	kile
氣氛	kion
水	tɕi˥˩
水底	tɕit˦e˥˥
水深	tɕi˥˧tsʰɪŋ˥˥
水溝	tsweɪ˨˩˦kɑʊ˥˩
水濁	tʃit˦
永容	migjo
永泰	iŋ˥˧tʰa˥˧
汁	sˈɛt
求	fou˥
汉字	kʰan˨˩lɤ˨
汉语	an˩˩˦i˥˩
汗	kã˥˥
汝	lˈyː
江	tɔŋ˥˥
江西	kõŋˈfe
江陰	koŋˈɲin
汤	tʰʊŋ˨˩˦
汪	fɔː
汽	lɛ̃
沙	tsto
沙【响声】	sa˥˩
没一工	mˌuitikˈaʊn
没本事	mɑʊ˨˩˦
沫	mˈˈ
河	fou˥
油	iu˥˧
治療	ti˥˩liu˨˦
沿	ɪn
泅	fˈeʊ
泉州	tɤŋdʒɛːw
泉水	tsi˥˧
法	hət
法国	fak˦ku˨˩˦
法國	hwakːl
法律	qwˈðˈu
法蘭西	kɔːn˧n˧ɑːn˥˩sɛː
泡	tɕʰaːn˥˩ʈʂuː˧˥
波浪	pɔ˥˥lau˥˥
泥	ne
泰	tʰâi̯˧˧
洋美镜	iun miːt˧kiŋ˧
洋蟆衣(車前)、胎衣，衣裳，雨衣	maui tʃaui yi
洗	fɛˈfɛ
洗澡	sɛlɔn
洞	tsɤ˧˥
洪山桥	hŋ˨˩faŋ˥˥kiŋ˨˩
洲	dʒu˥˩
活	hɔːt
活動	fak˨˩tʊŋ˥˥
流	lau
流光	lɑʊ˨˩˦kuŋ˥˥
流年	lau˨˩˦
流水	lou˨˦tsi˥˧
浙江	tkoŋ˨˩
浦	pʊ
浦城	puvjæ
浩	fou˥
浪子回头金不换	lɔːŋ˧˧tĩã˥˥ u˨˦tʰaʔ˨tʰiã˥˥ u˨˦a˥˧
浮	pʰu˥˧pʰu˥˧
海	həˈi
涟	lɪŋ˧˥
液	i˨˩˦
淑	sau
深圳	sin˨˩ton˧˧
減	ken
温州	unʄĩŋ
渴	kʰak
游八极	epeki
湖	a
湯	tʰɔ̃
準	tsʊŋ˥˥tsʊŋ˥˥tsʊŋ˥˥
溪	k
溫	i˥˩
滅	mˈi
滑	pɔːt˨
滑头	pɔ˥˥tsʰa˥˧
滚汤	kwan˥˥nɔːŋ˨˩˦
满足	muaŋ˨˩tsʊk˨˩
滴	t̪e
漆	hˈi
漉	la
漏	lau
漻淚	bujloj
漿	tioŋ˨˦
潭	tʰaŋ˨˩˦
潮润	tiu̯˨˩n˩˩˦ou̯˨˩˦
澤	kak˨
激	t̪e
激气	kʰeː˥˥
濁	tɛ
灋	pwˈa
火	hɔ̀ːiː
火把	kʰuj˨˩paː˥˩
火笼	fulo
火簏	elõ
灯丝就要㱤	ta˧˧nt˥˧ j˧˧tsuː˨˩ʔaː˧tʰiː˧˥ liːn˧˧
灰	xu˩˦
灵药	lɪŋ˧˥ i˥˩
灶	tˈaʊ
灶前	˨˩taʊ˨˩˦le˨˩˦
炎	iːm
炒飯	tɕʰjɛ˧˥
炮	pʰaːu˨˩
炼形	lɪŋheɪŋ
烏	u
烛	tsu˥˩
烦劳	fʔn˧lɔː
烦脑	favon
热人	ˈitnə
無七無八	mou̯tʃi mˈɔ̃tˈ
無情	mou˥
無錫	uzi
焰	jˈɛn
煤	mɔ̃j
煩惱	fˈaːnˈnɔ
煮	t̪e˥˩
熄	fˈʃˈɛtˈ
熄火	seŋsfʰɔi
熊	kian˥˩
熊猫	dˈiːs mˈau
熟	sy
熟悉	suitˈse
熬	ŋnaˈ
熱	jɛ
熻	hˈe
燒傷	tiu˧˧sioŋ˨˩
燕	iˈn
營養	iːngˈioŋ
爪	su˥˧tsu˥˧
爬	pa˥˥
爬鼓山	pˌaˈɾˌaθˈoˈɾˈan
爱尔兰语	aːjˈŋ˧raːn˨˩iː˧
爲	oi
爸	pa˥˥
爺	je
牖	u
牙齿	naki
牛	la
牛奶	moːne
牛肉	nˈoːk
特	tɛ
犬	tʰæn
狮	sajf
狹	ˈeɪ
狼狈	lon pung
狽	po˥˩ːji˥˩
猪	død
猪八戒	tiːpɛkːɛ
猫	ma
猴	kau
獸	fiu
獺	tʰjɛ
玉	bu nˈo
玉：前汉音 后广韵	gu
王建	tũŋ˨˩lĩũ˨˩ŋ˥˥
王昌龄	fau˨˩tioŋ˥˧ lin˨˦
王涯	umma
玩	tʰa˥˥ljoʊ˨˩˦
玫	moi
玫瑰	mˌoɪkwˈeɪ
玻璃	pɔːlˈiː
班	pw˧aŋ˥˥pw˧aŋ˥˥
球	tiu
理解	likːæ
琚	kɯ̞
琴	kɪŋ
琶	dˈaɾ
瑰	tsuko˥˩
瓜	aɣ
瓢羹	pʰiũ˨˩lɤŋ˧˥
甌	wɛ
甘	tgan˥˥
甘愿	sanɣ̞um
甘草药名	tsɔː
生命力	fiamini
生日快樂	sǎŋ˥˥n˥˩ kʰuɔ˥˩lɤ˨˩˦
生死由命 富贵在天	tʰauŋ˨˩ tʰi˥˥ s˥˥niaŋ˧˧hɔ˨˩pɵ˥˥weɪ˥˧tsai˥˧tʰi˥˥
田	ʔ˧
由	je̞o
申	sɪŋ
电	tiːn˥˥
电影	tiŋ˧˧
男人	nŋˈɛˈɛdʒæ
男孩	tœ̃˨m˥˥a˥˧jaŋ˥˥
画	xu˥˥u˥˩
留位	lǎʊ˨˩˦uɤ˨˩˦
留学	lauɔ
畜	hɛ
畝	meu
番仔	koːŋˌmˌ
番薯	hˈɛl nˈy
畬	sˈe
當	tɔŋ˨˩˦
當時	ton˥˧ si˧˧
當歸	t ðə kʰuːi˥˧
疏	fɛː
疤	pa˥˥
疯	hoŋ˨˩˦
疲劳	pˈɪlˌɑ
病	fˈaŋ
痕迹	hũŋ˨˩˦ si˥˩
痘	tau
痱	oi
癌	nˈɛn
癖性	pʰiː˧˥fɪŋ˧˥
癡	tsʰi˥˩
癫	ti˥˩n˥˥
發	pæk
發表	wɔːt˥bɛːw
白	pɑ˥˥
白兔	patˌo˨˦
白头发	pʰa˥˥ hɔːua̯˨˩ta˥˩laːʰua̯˩˦
白皙	fˈa fˈa
白目	tɑŋdɑ
白讀	fokˈpɛ
白露	alˈo
白露变霜	palˈo piŋsˈo
白頭片	pa˥˥tʰaʔ˨ pʰiŋ˥˥
百分百	paːn˥˥paː˥˥
的士	ti˥˥sɔ˨˩˦
皆	kakt̪eː
皙	fˈe
皤	fou˥
盆	tɔm
盈	eɪ̯n
益	e
盖世	ai
目	nˈə
目汁	mi˥˧ʈep˨
目珠	lɪvɛ
目珠䀫nong起	miʄaueatnaŋ˧i
直	t̪e
相	fiuŋ˨˩
相【信也】	fˈilm
相片	siu˥˧ pi˧˧
相顾	siŋ˨˦ku˨˦
盻	hɛ
省	fian˨˩
眉	mi
眉毛	mi˥˩mɔ˥˩
看不起	kʰaŋ po˥˩ːkʰi˥˩
真	tɕĩ˥˥
真好	tsin˥˥ ho˥˥
真正	tsĩ˥˥tsiŋ˨˩ tɕjã˨˩
眨	nˈe
眼	naŋ
眼镜	n˥˥an˥˥n˥˥
睏	kʰaŋ˨˩
睬	sãĩ˨˩
睭	dʒu˥˩
睹	tu
瞎	hɛ
知	t̪iː˦
知音	ti˥˧ɪŋ˥˧
矩	m
短	lə
石	sɛ
石家莊	siu˥˧ ka˥˥tsõŋ˥˥
石菊	ɕikːɯ
破	pɑ˥˥
破镜飞上天	pʰak˨laŋ˧˧ pʰi˥˧tiu˧˧n˧˧tʰiŋ˧˧
碌	lo
碎	tsʰa˥˧
碧	fˈi
磨盘	mɔ˥˧pŋ˨˩˦
磨磨蹭蹭做什么	mau˥˥tsao˨˩mau˥˥tsao˨˩tsaɰ˥siaʔ˨lau˥˥
礼	lɛ̃
礼貌	le mao
祚	tsu˨˩˦
神气	t̪ɪnkj
神药	seɪ˥˩ i˨˩˦
福	o
福安	xua˩˥ːam
福州	huk˨˩˦tɕiu˥˧
福建	huk˨ i˥˩
福斗	pɔːtɑːl
福清	putsʲa
福鼎	ʊd̪iŋ
禮拜二	la bani
秋	tɕʰiːp
科学	kua
秒	mjˈu
秤	tsʰi˧˧
积	tzi˥˩
稽	kʰi˥˥en˥˥
穗	suj
穴	iˈiˈ
穷	kwm
空床	kən˥˥ʈʂʰɑŋ˧˥
空船	pɛ˥˥fɔ˥˥
穿线	tsʰuŋ˥˥hĩã˥˥
窟	hwa
竅	kiu
竇	teu
立	le
章	tioŋ˨˩
竹	dˈy
竹竿	tiko˥˩
笋	tsun˥˥tsun˥˥
笑	tio
笠斗	lɪtˤo˥˩
符	u
符合	hɔ̀xâː
第一现场	te˨˩ i˧˧ hĩn˥˥ kio˨˦
等	te˥˩iŋ˥˥
等汤凊后再食	tʰiŋ˨˩tʰʊŋ˥tsʰi˧˥hɐu˨tsʰai˧˧
筑墙	tuk ʃo
答	tˈɑ̃
筢	pa˥˥
筢草：五齒筢泥，用以取草。	tɕʰjoʊ˨˩˦
签字	tsintɛj˨˩˦
算數	tʃiːzi˥˧
算日子	sʰɯ˨˩˦ ni˨˩˦tʰi˨˩˦
管	wˈʌn
管弦	kwan˨˩ hoŋ˨˩˦
箭	tɕĩŋ˥˥
箸	dˈy
篩	tʰaj
篾	mˈi
簏	la
簡単	san˩˥ːta˥˩ŋ˨˩˦
簫	fju˥˩
米	li˨˩˦
米浆	mi˥˧tʃiu˥˧
米湯	mi˥˧ tʰau˧˧
粉腸	ˈeˈɪ̃z nɔːn
粑	pa˥˥
粒	la
粗	tsu˥˩
粜	aˈi
粥	se
粽	tsœ̃ŋ˨˩˦
糉	tsua
糊里糊涂	pɔli fʊtɔː
糜	muj
糜粥	mˌuiːɚ
糟	tsau
糯米	nɔː miː
紅	ˈɛl
紅色	ˈɛɹn
紐	doɾ
紙	tɕi˥˩
級	lə
素	fou˥
紫	tɕjɛ˨˩˦
細	sæ
紵	tɛ
組	tsu˥˩
結	ke
結束	kiso
給	tæˈteː
統	tɔm
絲	piuː
經常	tiŋ˥˧t̪sĩŋ˥˧
綠茶	nu ta
綽	k
緊	lɛn˧˥
練	lɪən
縮	fɔː
繞	nˈeu
繽	peɪn
红高粱	ŋ˨˦ ko˥˧liŋ˥˧
组装	su˥˧tsau˥˧
细腻	tsen˨˩ne˨˩˦
经	kẽ˥˥
绝	tsou̯
绳	lɪŋ˧˥
绵	mˈi
绵签	mɪn˧˥tsʰɪŋ˥˥
绿：力玉切，爾雅作菉音录 茶：直加切 綠茶： 春藏葉，可以爲飮	lu ta˥˩
缠	tiŋ˨˦
缤	pɛn
罪	sã˥˥
罰	wɒt
罵	ma
羋	mã˥˥
美	mˈi
美丽	mile
美云	mi˥˧hoŋ˨˩˦
美玉	mig
美酒	mitʃu
群	kou˥˥
羽	iːˈfˈ
習	sə
翮	lə
翹	kiu
翼	fjɛ
老	lɔː
老八	na˥˩ʔt˦e˧˥
老师	si˥˧
老板	lopˈɛ
老蛇	lau̯ie
老鼠	la
考卷	kɔ˥˥kʰu˨˩˦
耇	tɐu˥˥
耳	ni˥˩
耳机	nˈigi
耳機	niki˥˧
耳环	niroi
耳聋	gjˈlə
耶和華	ja˥˥ʂuɔ˨˩˦ lɔ˥
聋	lˈœ̃
联	lɪŋ˧˥
聖水	fintʃˈiː
聚	kˈut
聚财	tsue˥˧tsai˨˦
肅	fok
肆	θeː
肉	nɛ
肉片	nyp˨e˥˩
肌	kʰi˥˩
肖	fiu˥˧
肚子	tɑ̃gˈlˈɔs
肯	kɪŋ
育	jo
胃	uɔ˧˥
胎	tʰaːiːxʰ
胙	tsu˥˥
胳肢窝	ko˨˩lɔ˥a˥˧
脆	tsʰuː˧˧i˨˩˦
脚	kʰaː
脫	tʰa
脰	tau
脱臼	tʰau˨˩ku˥˥
腋	e
腰	lɛːw˧
腹	pˈo
腿	tʰɐ̀
自	tsu˥˩
自主	ke˨˩tsu˥˧
自然	tʰioŋ˨˩˦
臭	tsau
臭豆腐	frau
臺北	tajp
臺北市	taːi˥˩fən˨˩˦tɕʰi˥˥
臺灣	tài˥˥wan˧˧
臼	kˈu
舀湯	ljoʊ˨˩tʰɔŋ˥˥
舅	kiu
與	y
舉	akːiː
舌	se
舒	tɕʰy˥˩
舟	tɕʰiu˨˩
船	fou˥
良马	lə- maː
色	sɛt
艳阳天	dʒinːnˈtiːn˧
艾	jɑːl
艾草 艾白	n˥˥e˨˦tsʰau˧˧ n˥˥e˨˦la˥˧
艾草,艾白	n˥˥e˨˦tsʰau˥˧ n˥˥e˨˦ pa˨˩˦
芋卵	ulɔːm
芙	hˈoʊ
芬	hũŋ˥˥
芭	pa˥˥
花	ho˥˥
花开花谢	fɔ˥˥kʰu˥˥i˥˩ fɔ˥˥ji˧˥
花朝月夕	pʰau˨˩tiŋ˥˧u˨˩zɪŋ˥˧
花瓶	hoːpiːn˧
花落	ʁˈu lˈɛ
芳华	a˥˥hoŋ˥˥ hɔ˥˥
苎	dajɛ
苏格兰盖尔语	skəraːŋkaːˈniːn˩˩˦
苗	mˌioː
若	na
苦	kʊ
苦头	kɔ˥˥tʰau˨˦
苧	tæ˧˥
英国	iŋgo
英语	iŋˈyː
茶	tã˥˥
荀	kun
草	tˈoː
草【甘草药名】	tsʰa˥˥
草堆	tsʊtɔj
草菅人命	tsʰaʔ˦ kan˥˥ jeŋ˨˦ mian˨˦
莊	tson˨˦
莓	multi
莫出裼比喻出洋相	mˈaːtɹˈfˈkˈ
莫嫌	mɔɾəlhˈiŋ
莫惊	mokjã˥˥
莫盻	mohe
莫管	mok˨kuã˥˧
莫语伊	bɔŋ˧˧gi˥˧ i˥˩
莲花	n˩˩˦e˧˥
莽	muːmɔːl
菄	lɛŋ˧˥
菄風，草名。	tŋ˨˦ hʊŋ˥˥
菄風，草名。嶺南平澤有	tŋ˥˥hʊŋ˥˥tsʰɤ˥˥mĩãŋ˨˩liãn˨˩ laŋ˨˩ pĩŋ˥˥ tsɯ˥˧ɔ˨˦
菅	tán
菇	ku˥˩
菊	t̚˥˩ kkiː˧˥ t̚˥˩ jɛn̪˩˧lfɑ˥˥ t̚˥˩ i˧˥kɔː˧ʈʂt̚˥˩
菜	tsʰai˨˦
華人	pua˥˥in˥˧
華僑	xã˥˥ kiu˨˦
萆	pip˨axe̞
萨摩亚语	sã˥˥wa˧˧
萬金油	wˌɑŋiːn˨˩ juː˧
落难	lɔːn˧hŋ˧
落雨	lɔ˥˧u˥˧
葆	pˈɑ
葉	iˈɛt̪ nˈoʊə
葡萄	bʱoː
蒜頭	sŋ˨˩tʰau˨˦
蒲李	puliː
蔥	sŋ˥˥
蔥頭	tʃanao
蕉	tʃu
蕉城	tio˨˩fian˨˩
蕊	lwˌi˥˧
蕭	fiu˥˥
薄荷	pe˨˩ho˧˧
薛	tse
薛涛	fɯːt˦hɔː
薩	fwɛt
薪	fɪŋˈ
薯	feu˨˩
藍	laːm
藏	tsou˥˧
藠	tjo˩˦
藠头	dʒuʐau
藨	pʰɔː
蘋果	peˈuˈ
蘭花	lɛŋuɔ˧˧
虎	h
虚度	alto
虛	fou˥
蚌	pau̯
蛋白	tɾa
蛋白質	tãn˨˩pâ˥˥ tɕìŋ˥˧
蛛	tø
蛤	dˈaɪ
蜂	pʊŋ
蜘	tˈin
蜜	mˈe
蝕	fˈi
蝦	ha˥˥
螺	nɔj
蟲	tɛːl
蟳	pɛ̀ːmˌ
蠑螈	tɕenu
蠘	fˈi
蠟	la
蠟燭	la sˈuk
血	hɔː
血脈	aɛmˈa
行	kiaŋ˨˩
行时(lucky)	tʰok˨ tʰan˥˥ne˥˥
行李 五行 几行	aɣlˈi u˨˩˦aŋ˥˩kui˥˩ aŋ˧˥
行李 几行	hŋ˨˩ li˥˩ hɤ˥˥
術	fokɔ̞
衣	i˥˩
衣裳	iɛbɪgo
表叔	ibˌa
袜	wˈa
裹	oj
襪	wˈʌt
西	sæn
西南风	tʰi˥˧laŋ˨˩hŋ˥˥
西安	seɦan
西施	fɛːfˈiː
西瓜	ta˥˥kʰo˥˥
西里西亚语	fe ləjˈfeː aː˧mj˧
西顾	se̞kəʊ˨˩
要	ˈaɪ
要求	iu˥˧ue˥˧u˥˧
見面	kiam˨˩ŋ˧˥mian˥˧˥
親戚	tsi˥˥
覰	tɕʰy˥˩
覺	kˈa
觀四方而高者曰台，堂來切 台北	tɤ˥˥ aɪ˨˩˦taɪ˨˩˦taɪ˨˩˦pɤ˥˩
见	tɪŋˌ
角	kˈa kˈa
解	ke˥˩ ka˥˥i˨
解决	keki
解释	kẽ˥˩ si˥˩
解闷	k̚˥ mˈoŋ˨
觸 (觸碰,撞擊)	tˤ
言	i˥˩kɑ˥˥
計	i˥˩
託	tɑːp
記	fˈi
詞	fou˥
詩	fˈi
話	wa
語	nˈu
說	fʊːt
誯	siũŋ˨˩˦
請	tsʰiŋ˥˧
請教	sian˥˧kau˨˦
諾	na
謂	wˈaɪf
謈	p
謈：大声骂也	pok tʰuːsianma˥
講	u
謝	fˈa
謝謝	pʰie˨˩pʰie˧˧
警察	kintsa
讀	hə
讀書	aːtdʒiː
讓	niŋ˨˩ niŋ˧˧
认真负责	nɪŋ˨˩˦tɕjɛn˨˩˦fu˥˧ʈʂɤ˥˩
讬梦	amban
训练	hũŋ˥˥lɪŋ˧˥
记得	teːgitə
讲道理	tuŋ˨˩ tɔ˥˥li˨˩
设	θiː
误	u
说明	summe
请	sian˥˥
请人扛	sian˨˦tŋ˨˩ koŋ˥˥
请谢	sian˥˥tsĩ˨˩
调羹	tiu˥˧an˥˧
谈恋爱	taŋ˨˦ njuŋ˥˥ aː˥˧
谢	θeː
谢谢	fˈaɪfˌɛ
谢谢大家	tsʰiː˥ seŋ˧ kaː˧
谷歌	kuk˦o˥˥
谷雨	u˨˩˦i˥˩
谷雨 雷雨自上而下曰雨	u˨˩˦i˨˩˦
豆	tau
豆腐	tau˥˩
豉	fˈi
象	hsiŋ˥˧
豬	tu
豬肉	tønø
豬肚	dyˀtu
豺	tʰɔ̀iː
豺犬	taj˥˩eːn
貓	mˈa
貝	fɔj
責	sətˈ
貴	koːjˈ
貼	hɛ
資	tuː
資料	dʒoɯlɛɾ
賊	tʰæk
賠	fouˈi
賭博	tuba
賽	fˈaɪ
贖	fok
败自己名声	pai˥˧ tsĩ˥˥ni˧˧ mian˨˦tʰian˥˧
货	u˨˩˦
质	tɕi˥˧
贪二没一	tʰaːn˥nei̯˩˧
贵	oi
贾岛	tato
赤	tsʰi˥˩
走	tsau
赶快	kãŋ˥˥
起動	tito
起坐	kʰiːzoj
起泡，泡茶	hia˥˥pʰa˥˥ pʰa˥˥ta˨˩
起火	tʃuɞn˥˩
起火頭	tʃuɛla
起碼	tẽ˧˥maː˩˩˦
越南	a
趕緊	kŋ˨˩˦nɕ˥
足	sok
跪	kui
路	duɔ˥˩
踏	tʰak
踢	te˨˩
蹳	pa˨˦
身	seɪn˥˥
身体	siŋ˩˩˦ʔtʰw˧n˩˩˦iː˧
車	kɤ˥˥ tʃʰe˥˥
輕鬆	kẽˈnɔwˈ
輝	xʊˈjiː
车轮	tsʰi˧˧lɔ˥˧
轭	e
辟	tʰe
辦	pɛŋpɛŋ
迁	tɕĩŋ˨˩˦
迅	fim
过嗣	kuzo
这时候	dʒˈɪk fiː hɛl
这里	tʰi˥˥lɪŋ˨˩˦
远	xũŋ˧˥
连	lɪŋ
迣	tˈe
迹	tʃiːzi˥˩
退	tʰɔːi˨˩
退休	tʰɔ̀ː˧
退出	tʰau˨˩ tsʰoʊ˥˧
退烧	koːˈjˈf
退热	tɔ̃kʁiː
适	sˈe
适当	sit˦ tʰon˨˦u˥˧
透	tʰau˨˩
透风	pʰaːkʰŋ
通	tʰɤ̆ŋ˨˩˦ tʰʊŋ˥˥
通信地址	tʰɐŋfˌiːn˥˥ti˨˩˦ tɕi˨˩˦
速	fok˨
逢	oɔ
連江	lĩŋ˨˩kɔ˧˧
連續	lian˨˩sɯ˥˩
道	tɔː
道士	tʰo˨˩laːi˨˩
道德	taːdəb
道理	tʃasˈgˈrl
違	oɪ
遘	tɕau˥˧
遙	iũŋ
遙遠	iu˨˦ pou˨˦
遥念	ˌiːuːneɪn
遥看	joʊ˨˩˦kʰan˥˥
遥远	lɛ˥˩
適應	fˈɛstˌaɪ̃
遮面	tsɛ˨˩˦ meɪ˧˥
遲	ˈtiː
遺傳	mi˥˧du˥˧
邀	u
還債	heŋ˨˩tsak˥
邻近	lĩŋ˨˩kən˥˥
