'chuile sheans	hella hænts
ceannach	kænʲɪχ
ceannaigh	kʲaɾak
ceannaire	kendini
ceannaireacht	kʲɛnˈɾɛkt
ceannairí dhomhanda	kænəɾi ɢɑˈɫindɑ
ceannaithe	kˈæliɚ
ceannann	kɛːnɨnkɛːnʲɪŋ
ceannasach	kanasɑh
ceannasaithe	kəˈnɪsə
ceannasaí	kˈænəsɪ
ceannaí	kami
ceannaím	keɲɯjæm
ceannaímid	kenimɪt
ceannaíodh	kjanija
ceannaíodh é	kani iːɔˈweɹ
ceannaíonn	kɛnɪn
ceannaítear	kənɪtøɾ
ceannbhán	kandeβɑn
ceanndubh	kandu
ceanndána	kaːnˈdɔna
ceannlitir	kaːnditˈɛd
ceannródaíocht	kaːnroːdɪːxt
ceannsolas	kaʁnsallˈɑs
ceannt	kˈænt
ceannáras	kʰæˈɾɑːs
ceanníseal	kaʊnˈætəl
ceannóidh	kɛːnəl
ceannóimid	kənamits
ceansacht	kjãːnsɯkˈt
ceansaithe	kantsʃa
ceant	ˈkænt
ceantair	kauɫ
ceantar	kʰaːmˈtɔr
ceantar na noileáin	kɒˈtunɾˈɒ nˈɒlgˈaːt
ceap	kæp
ceapach	kɐpˈɛç
ceapach chaoin	kʲæp ɢoːjn
ceapadh	tʃapo
ceapaim	kɛpəm
ceapair	kˈæpəd
ceapaire	kɒpnˈa
ceapairí	tʃapiti
ceapann	kɛpɛn
ceapann muid	kɑpɪ̞nwtʃ
ceapann siad	kʰapˈɛntʃid
ceapann sibh	kʰɛq ʔɪntʃb
ceapann sé	tʃapnˈa ʃa
ceapann sí	kapˈdʒiː
ceapann tú	kavintɪ
ceaptha	kˈaf
ceara	kara
cearbach	kɛrbɔx
cearbhall	kəɾɪl
cearbhall ó dálaigh	kaɾɯnˈnɑːdɑːnɯk
cearc	kæk
cearc ag piocadh piobair de phláta pheadair	kɾak ɪk pɪlgə pjobrə tə flɔːtˈtə ˈfɑːrə
cearc uisce	kæɾk iʃkæ
ceard atá tú ag dhéanamh?	kätːatːˈu jɑnˈa
ceardaí	kʰɑːrɛtðˈɛ
ceardlann	kjɑːɾtlˈɑːn
cearnach	keɾanlækh
cearnaigh	kɛːrnɛ
cearnóg dhún na ngall	kʲæɾnɑg wɔːn ɢɑːl
cearnógach	kɑːnɔːgɑː
cearr	kæˈɾ
cearrbhachas	kæɾvɑqɯ̞s
ceart	kɜːt
ceart go leor	kʰaːtkʏlgæ wɒːrdˈ
cearta an duine	kæɾtɪ ɐndænæ kæɾtɪ tæjːnæ
cearta bunúsacha	kẽ̞rʲtʰə bɯ̞nɯ̞sɯ̞ʁɑ
cearta sibhialta	kʰɛrt ʃiː wlta
ceartaigh	kʲartɫ
ceartaiseach	kaːrtˈiːsˈiːq
ceartlann	kætl
ceartlár	bəːrflɔː
ceartú	karto
cearúl	kʲarɔl
ceasair	kejsɛr
ceasnúil	kastnˈoːl
ceastnaigh	kastne
ceatha	kˈæː
ceathair	ʃaːhəʃ
ceathar déag	kardʒɛk
ceatharlach	ãrlogh
ceatharnach uí dhónaill	kħɑrnɑħ iːɣɔʁnɑl
ceathracha	kæɾˈɑxæ
ceathrar	kħr
ceathrú	kʰæːrõː
ceathrú aodha dhuibh	kað̞ɾue æɾʝ gʷɪf
ceathrú chun a deich	kʲɑrɪ̞χ ɪ̞ɫɪ̞gzæ
ceathrú thaidhg	kˈæləl hˈaɪk
ceatsuais	kɛtsʃʃ
ceiféas	kˈafˈfˈeʃ
ceil	kˈæl
ceiliúir	kälor
ceiliúr	kɾɒːɾ
ceiliúradh	kɑlɔra
ceiliúrtha	kaloɾ
ceilt	kɛlt
ceilte	kɛlsɛ
ceilteach	kˈɛltˈɛ
ceiltigh	kelk
ceimic	kɛmik
ceimiceáin	kimikɛu̯n
ceintiméadar	kentimejidiɾ
ceird	kaiojt
ceirdne	kɛrtna
ceiriam	keɾrøn
ceirnín	kɜːˈnim
ceirt	kɛːʃt
ceirt aghaidhe	kˈɛɹts ˈaɪ
ceirtlis	kakˈlˈiʃ
ceirtlise	kɒɾtʃlɒˈʃɒˈ
ceirtlín	æ̹lːin
ceist	kˈɛʃt
ceist agam ort	kast̪aːm ɑɾt
ceisteanna	kʲɛʃtɨnɨkʲɛʃtɨnɨ
ceisteanna coitianta	kɒʃtɒniˈ qɒtˈsijˈntɒ
ceisteoidh	kʲɛstʲːo
ceithearnach	kæɾnɔχ
ceithre	kˈɛɾɛ
ceithre bliana déag d’aois	kare̞ aβ̞ilẽn̪a dʒaʝɑt̪ ð̞ɒiʃ
ceithre bliana d’aois	kælɛblɛnɑt ɛːʃ
ceithre chapall	kæɾˈjˈχɑpˈɑl
ceithre dhuine dhéag	kæɾɛɢɯ̞nɯ̞ jɛk
ceithre huaire fichead	kərɣuɾe feɾ
cellach	kɛlɛx
cellach cualann	kavok kʼolʼɔ̙n
celsius	kelkɪəs
celtchar mac uthechair	kltʃr mˈar ˈutɐχɪɹ
cenncroithi	kiau̯n˧kɾ˥˩ɛj˧ɛ
cennfine	kənˈziːnəkɑlfjɑmɑn
cennétig	kɛnseq
cent	sent
cenél ngabráin	kʰʰan˨˩eːl dkauːn˧
ceo	kjoː
ceoanna	kewˈna
ceobhrán	fsʲoofram
ceobhránach	kɛnkɛnkɛn
ceochán	kʰoːxam
ceoil	kɛwʲi
ceol	kjoːl
ceol agus craic	kʰil ɫoʊʒ kɹak
ceol damhsa leictreonach	kiːnˈʔoːnˈdʒɑl ʃɛlɛkːtˈɛɬˈɛn
ceol is craic	kʰoːl zˈkɹæk
ceol na héireann	kjoɫnɯ hejɾiːn
ceol rithim agus gormacha	kiuβidim ʔ tvisoβlixi
ceol scimeáile	kʲɛl ʃkɛm ɑllɑh
ceol traidisiúnta na héireann	hʲiːrrʈʂuːntsʲlɪndʒʲɪrrn
ceol tíre	dˈoɾə fˈa
ceolaire	kɒlɒˈdʒɒˈ
ceolbhosca	kʰɔ̀u̯skɔ̀
ceolchoirm	kioːlkɛrˈum
ceoldráma	kˈɛldɾˈama
ceolfhoireann	køɣleɾin
ceolmhar	kɪlvɚ
ceolta gael	kʰɛltæːr kɑjɯˈnl
ceoltóir	kɛltər
ceoltóirí	kʲæltʲɔrɪ
ceoltóirí sasanacha	kioŋtɕɔŋɔːjsɛsɨnɪkːɛ
ceomhar	kaua
cernachán	kænneˈxɑːm
cernunnos	kæɾnɔs
ces noínden	kæʃniːn˧tɕɛn
cessair - ceasair	kæsæɾ
cethleann	kɛrlon
ceárdachas	kærðrˈˈɑs
ceártaí	kɑːrðe
cén t-ainm atá ort ?	kəntˈɛna vətˈart
chabhair	χæwˈr
chabhraíodh	xʊ̞rɪ̞χ
chabhraíteá	hɛʊlitsa
chabhróidh	tʃaulo
chac	hæk
chacamais	ħakmɯ̞ʃ
chaibidil	qɒbtiˈl
chaidreamh	ɣˈɪdrɛv
chaighdeán	χæjtæn
chaighdeánach	χäjtʊ̞nːɯ̞q
chaill	fˈaɪl
chaill mé	χajɑmɑ
chailleach	xolæx
chailleamar	xalimaj
chailleann	halim
chailleas	xɛlɛs
chaillimid	hɑlmiːd
chailliúint	χaːjlaoˈnt
chaillte	χɒltʃi
chailín	xælˈin
chailíní	xaliːniː
chaint	χɒnt
chairde	χɑˈtsʲe
chairdiúil	xɔːrtʃuːl
chairdín	ɑɹdʒiːn
chairt	χæɾtʃ
chaisleán	χɪ̞ʃlɑn
chaiteá	xatsʲa
chaith	xɒ
chaith sé	χæˈʃe
chaitheamh	qɑhɑ
chaitheann	xan
chaithfeadh	sˈaf
chaithfidís	χɑħtʃ
chaithfinn	χɑjɪm
chaitliceach	χɛtlɛkæχ
chalma	xanama
chamruathar	χɑŋrohɑr
chan (donegal dialect)	hæn
chanadh	xana
chanaidís	tɾˈædʒis
chanaim	χɑnɯm
chanaimis	χɛnʲimɪ̞ʃ
chanainn	χɑnəd
chanfadh	χɑnɑq
chanfaidís	qɒnˈidʒiˈʃ
chanfaimis	χɑnˈmɪk
chanfainn	χɑnɪt
chanfá	xɔːnɔː
chantá	xanta
chanúint	χamontsʲ
chaoi	xʊj
chaoineann	χæjˈnæn
chaointe	gˈɛntɪ
chaoirigh	xʊ̞jrɨ
chaomh-uasail	χʊ̞jvʊsɪ̞l
chaon	xɪŋˈ
chapaill	χaapl
chara	xara
charachtar	kʲɛrɪ̞ktʊ̞r
charr	ɑɑː
charthanachtaí	χɑrɯnɯdɯqɯxtɯ
chas	qɑs
chatach	χatə
chath	hah
chatha	ħɑhɑ
chathair	xɑhɾ
chathaoir	ɣər
chathú	hæw
cheadú	hjˈeɣo
cheal	tʃau̯
cheana	xana
cheana féin	hla jæhˈlˈɑhe̞ɪn
cheanada	kʲænədɑ
cheann	søn
cheannach	tʃanː
cheannaigh	kijana
cheannaigh cailín cliste ceanúil císte	xianɔ̙iː kʰalin ɪn ɣɮiʃtʃ iːkənɔːw̜ l kiʃtʃe
cheannaigh siad	kianuːjʃiːd kianuːʃiːd
cheannaire	χijajnɾa
cheannaithe	χiˈjɑnɑhɯ
cheannaíomar	janiːmɑt
cheannaíteá	xanˈtˈɑ
cheannsa	kʰau̯nˈtsiː
cheannófá	xjɛnˈoːθɑ
cheannóidh	kiano
cheannóidís	xeʎnð̞oet̪is
cheannóimis	ɣ̞ẽn̪omis
cheannóin	xjanoni
cheannóinn	xˈanoːi
cheap	hjˈap
cheapamar	kakamoɾmɯ
cheapann	hjˈæpˌin
cheapfainn	χjapʲiɲe
cheapfá	tʃapa
chearnóg	hˈɛɹnˌoːk
cheart	kert
cheile	tʃel
cheimic	χɛmmi
cheistigh	keʃte
cheithre cinn	ʃɛʁːin
cheo	hjo
cheoil	kawˈl
cheol	hʲov
chiliméadar	χeˈlimeˈʉˈðɯr
chineál	kẽn̪al
chinn	hiːn
chinneadh	sʲinju
chinntigh	kentse
chiseach	χɪ̞ʃæq
chistin	eʃte
chití	hˈiti
chiúin	hiːn
chlab	xlɑːb
chladaigh	dχlɑdɯjxlɑdɯ̞
chlann	hlɑːn
chleachtadh	qlaktɯ̞
chleamhnais	xlaːnəʃ
chliabhraigh	plˈeva
chlocháin	χlæχajn
chloiseadh	χɤʃˈɛ
chloisfeadh	χɫæʃɑχ
chloisteáil	xoʃtæl
chloistí	pʌʃtʌ
chloígh	xlæ
chluiche	xwˈeχxwˈeθna
chlár	xlɑr
chlódóir	klˈoːdˈɔr
chlúdach	xɫoːtɑh
chlúdaigh	xɫuta
chnap	xlæb
chnoc	xrˈɑk
chnoic	hˈək
chnáimhe	xraːvɑ
chnámha	brðɑ
chodail	xudl
chodladh	χɑɫæ
chodán	xatan
chogadh	qɒgɒ
choileán	xɑjlɑn
choiligh	xˈli
choill	xaj
choille	hɒli
choilm	χɯ̞ɫɯ̞m
choimeád	χɑːmˈhɑt
choimirce	χɒlmɒkɒˈ
choinne	xuən˥˩ni˨˩˦
choinneáil	xʌnˈjɑl
choinnigh	χɛnæm
choiriúla	jɑrɑlɑ
choiriúlacht	χɑrjʲeɾaxd
choirp	æɾp
chois	xʃ
choite	χɑtʃɛ
chomh	xʊ
chomh hálainn léi	xaːhoːvinnˈlɑr
chomh le	xɤ˥˩lɤ˥˩
chomh maith le	qɑmɑlɑ
chomh-dhothuigtheacht	χɔ̙ɢɔhɪ̞kjɑχtɪ̞rmɪ̞
chomh-inthuigtheacht	χɒe̞nhɪ̞kjɒχt
chomhair	aɣoɾ
chomhairle	ɦoʎa
chomhartha	xuɾo
chomhghleacaithe	xvolʲakaj
chomhghuaillíochta	χʊ̞ɢʊ̞ɫjɑχtɑ
chomhlachta	χɒlˈiˈqtɒ
chomhlíonadh	koːlɨimˈɑ
chomhnascadh	xorasko
chomhrann	χɔːrɑːn
chompordach	χɑ̃pɑrˈtɑx
chompáis	qɒˈnpɒʃ
chomónta	χamante
chonacthas	xʊnˈkæs
chonaic	χɛnək
chonaic mé dearca faoi crann.	kɹˈɔnɪk mˈɛj daːx ˈɛfri k�raːn
chonaiceamar	xˈɒnˈikɒmɒˈɾ
chonamara	xʊ̞nːamaːra
chonstaicí	xɔnstɨki
chontae mhaigh eo	xuːndaj vˈiːgəʋ
chontúirt	xɔntˈɛrs
chopail	qɑfˈɯ
chor ar bith	qo˩˥ːbe˥˩
chorp	xɑːb
chorraí	χɑːrɑj
choróin	χorwn
chos	xɑs
chosa	χɔsɯ
chosaibh	qɑsˈq
chosain	χɒsjæm
chosaint	xosẽnz
chostasach	ɔzɨsɔq
chothromú	hoɾmu
choíche	χækʲa
choíchin	xɪ̞n
chrann	xɾɒn
chraobhaigh	xtɾɪvɑ
chraobhchomórtas	kɵː˧iːvxomɔɾtusː
chraoibh	χrˈojɭ
chreideas	tʃɛtɛz
chreidmheasa	sɛðvɛsʁ
chroch sí	kʰrɔkʃi
chroith	xra
chrom	χrɑːm
chroí	krɪ̞j
chroíuil	xeːjøl
chruinn	χrˈiːn
chruinne	χr
chruinnigh	χrˈɛnɪ
chruit	ɣɾʌt
chruthaigh	xlohe
chruthú	xruhuxru
chráifeach	xlaːfq
chré	ʃrˈeɪ
chríoch dhúchais	ˈɪk zˈi ˈɛxt flˈoːɣəʃ
chríochnaigh	sɭˈexnʌ
chríochnaíonn	xrækne
chríochnódh	ʁlʲiːxnˈɔx
chríochnú	χriːʌxnˈo
chrónáin	tˈɛlˈɛfˈ
chuabhair	xuːvʊˈʒ
chuadar	xvˈator
chuaidh	xuːɾ
chuaidheadh	χvɑq
chuaig	ʁwek
chuaigh	fˈuːɾ
chuaigh sé	na ʃi˥˩
chuais	xʊʃ
chuala	xola
chualamar	xuːaːlamɒːɾ
chuamair	xomɨʃ
chuamar	χʊ̞ɑmɑːr
chuardach	χɔːrðɑq
chuardaigh	χʊːɾdəg
chuardaíodar	hˈuˈɑɹðɪˈʌðə
chuardaíomar	koɾdmæ
chuas	xos
chuathas	koːɔhɔs
chucu	χ
chugaibh	xʊ̞gwʲif
chugainn	ɣoˈkɑj
chugam	χʊ̞kʊm
chugat	χugɯ
chuici	ɔˈke
chuid	xouˈt
chuideachta	χʊ̞dːɪqtʊ̞
chuideoidh	hɔʔɔ˨
chuig	xæk
chuigainn	χʊ̞gɪ̞nʲ
chuige	xogʲ
chuile	χʏ̞lʏ̞
chuimhne	xvɛvnɛ
chuimhnigh	χʲimnɛ
chuir	xʊˈbɑˈ
chuireamar	xɔjɔːlmɔːri
chuirfeá	χwˈeðˈɑː
chuirfinn	χælɛn
chuirfí	xʊ̞rfi
chuisneoir	xɪʃtnɑːr
chulaith	xɒlɒj
chumamar	hɑmɑvaɾ
chumarsáide	χmˈɒˈɾsɒdʒɒ
chumas	xɔmɑs
chumhacht	xuːχt
chun	n
chun gur fusa	zænˈgˈrfassa
chuntas	kɔntsɛss
chur	xɑːb
chách	χɑːq
cháil	xɑːl
cháim	χɑːm
cháineadh	xani
cháis	xɒʃ
cháisc	xɒʃk
chás	xɒːs
chéad	ʃeːd
chéanna	xieːnɛ
chéibh	ʃɛːv
chéile	ʃojlɑ
chéim	eɣim
chím	hˈi
chíre	hjɛvɑ
chócaráil	koːkorɔj
chóir	xuːʃ
chóir a bheith	potɒvɒ
chóireáil	koːrn
chóiriú	ɣɔjɾ
chóisir	χɒʃer
chónaigh	xonah
chónaithe	χʊ̞nɯ̞jɯ̞
chónaí	xuːni
chósta	xostɚ
chóta	χau̯tæ
chúibh	χʊˈb
chúinn	xuˌn
chúirt	xʊ̞rʲtsʲ
chúis	xʃ
chúiteamh	xɨtʃav
chúithe	həhɑ
chúl	xuːl
chúm	xam
chúpla	xɯ̞pɫɑ
chúrsa	hoɾsˈɑ
chút	xʊt
chútha	χɔ
ciabhfholt	kijˈɑfɔlt
ciabhán	kje̞wɔn
ciachmhar	kiːxxoɾ
ciall	kiel
ciallaigh	kje̞ɦvæ
ciallaíonn	kjɛlɪn
ciallmhar	kjlˈvˈe
ciallóidh	kielo
ciamhair	kʲɪwɪ̞r
cian	kʰiː˥˧an˥˧
cian ó gríofa	kʲiːnd ɔgriːfˈɛ
cianach	kˈiːnɔx
cianaimsir	kijɯɯmamsʃɯɯ
cianaois	kian˥˩iʃ
cianrialtán	kijɛnrɛltɑn
cianrialú	kienrialo
cianta	kɛntɑ
cianán	kʲæːnɑːn
ciapach	kɪːaːpa
ciapadh	kija
ciara	kira
ciarach	kijɯɾx
ciarcais	kerkɛʃ
ciardha	kjeɾa
ciardhubh	kʲirgɫv
ciarraí	kiri
ciarsúir	ɾəsəv
ciarsúr	kjaɾsɔr
ciarán	kiron
ciarán mac mathúna	kʲirɑn mɑːqmɑhuːŋː
ciarán ó mainnín	kiron omaˈnɛn
ciaróg	kje˩˥ːrok˥˩
ciathóg	khˈ
cibé	kiba
cibé acu	kibɛokɔ
cibé ar bith	kɛ biepɛ
cic	kˈɪk
cic éirice	kɛk ɛjtɪkˈe
cicliméadar	tʃeklemɛjetim
ciclipéid	kikːlpeʁd
ciclipéidí	keklipɛdɯ
cifleog	kæθløːk
cigilt	kiglt
cigilteach	kikːɛtjˈaq
cigire	keˈkere
cigireachta	kektʃom
cileagram	kɪləgɾˈæm
ciliméadar	keleˈmejˈdur
cill	el
cill airne	kiloʎ
cill ala	kɪ̞ɫː ɑːɫɑ
cill aodh	kilei
cill bhanbháin	kiel vˈan vˈɔɪn
cill bheagáin	kel wɛkɑn
cill bhearnada	kɛl wɛɾnaːtɑ
cill briotáin	kel bɾɛtɑn
cill chainnigh	kelkˈɒnˈnɒˈ
cill chaoi	kiel jɛ́
cill chaoil	kʰɪlˈɛχʰue
cill chiaráin	kɪl hirˈɑn
cill choca	kælˈʃɑkːɑ
cill choinnigh	kæl χɑnɪˈja
cill chormaic	kel kɑːmɑk
cill chríost	kˈɛl kɾˈiːst
cill dalua	kɪ̞ɫdɑ ɫʏ̞wʏ̞
cill damhnait	kɜːdˈaʊnit
cill dara	keto taja
cill dhéagláin	keli ɛglɔjn
cill droichid	eltʃe lehet
cill fhionntáin	kɒlɒntˈɒl
cill ghobáin	kʰoː˧l qɔːbɑːn
cill iníon léinín	kal ɛnɪːn leːnɪːŋ
cill mhaighneann	kˈɛlv jˈmeː
cill mhantáin	kelvam tɾˈɔøn
cill mhichíl	kildʲi hil
cill na móna	kilnɪmu
cill náile	kejɾin ɑgɑ ɦel je
cill orglan	kæɾɯ̞rɯ̞kɫɯ̞n
cill ria	kɪll bɪrˈɪɾ
cill stuifín	kel ʃtɛjfiːn
cill áirne	keloɾne
cill ó laoch	kʰɪl ɔlɛʁ
cillín	ke̞lʲin
cillíní	kæˈlini
cincín	kɪ̞nˈkiːn
cine	kẽn̪a
cineál	kinoːl
cineál conaill	kænɑl qɯ̞nɯ̞l
cineál eoghain	kenal oɪn
cineálacha	kɒnɒlgɒˈ
cineálta	enjaltɯ
cineáltas	imnɨaltuz
cinn	kjˈɛn
cinn aird	iːnˈot
cinn mhara	kiŋˈvɑːrɑ
cinneadh	kjɲːo
cinnigí	kˈiˈniki
cinnire	kenˈdeˈde
cinniúint	kinyt
cinniúna	kɪ̞ɲːɪ̞na
cinnsealaigh	kentʃilaːkentʃilaː
cinnte	kiːntʃi
cinnteacht	kɪ̞ntʃɪ̞rt
cinnteoidh	kintso
cinntigh	kinti
cinntithe	kɪntˈ
cinntiú	kintʃɪʊ
cinntí	kinti
cinnéididh	kʲanɛjɛdʲːe
cinnéidigh	keðejte
cinseal	kentʃel
cinsealacht	kʲenʃaˈlaq
cinseasa	kˌiːnʃˈɐsɐ
cinsire	kentʃere
cinsireacht	kɛntʃɛrɑqt
cinéitic	kʲiˈnɛtʃæk
ciníoch	kennˈɪdi
ciníochas	kɪːnjæx
cioclón	køklum
ciocúis	kəˈgəlˈɪdʒ
cion	kˈæn
cion ar	køn
cionaodh	kanna
cionn	køm
cionn caslach	kæn kæslæx
cionnadh	kana
cionnaith	kanna
cionroinn	kənɾiːn
ciontach	kæntæˈq
ciontacht	kəntˈɑst
ciopánta	kepɒntɒ
ciorbholg	kjoɾbɔɫok
ciorcal	kakˈo
ciorclach	kʲɛrkʲɪlɪ̞ɢ
ciorraigh	kjoɾe
ciorrú	kero
ciosalpach	kasaːaːtbaːq
ciosvahaílis	kɪ̞ssʊ̞ɑhɪ̞ɫɪ̞ʃ
ciotach	kətˈa
ciotal	kɛtːˈɛl
ciothfholcadh	kɛpɫkɑ
ciotóg	kʰɪtɔgkʰɪtɔg
cipín	kipiːn
circ	kisk
cireabaití	kiɾibati
cirgisis	kiriːgeziʃ
ciseal	kʲiʃl
ciseog	kʃk
ciseáin	kʲiʃjɑn
ciseán	kiːʃɒːn
cisineiv	kʃnef
cispheil	kʃɛl
ciste	kɛtʃtɛ
cisteanach	keʃtɛnæq
cisteanacha	kistkˈtinəˈxɑj
cisteoir	keʃtʃɒɾ
cistin	tɾɪstɪm
cistineacha	biʃtiŋjɑqɯbiʃtiŋjɑqɯj
cistí	kɛʃtɪ
cite	etʃe
citeal	ketʃil
citealach	kɛtaˈlɑx
cith	k
cithfholcadh	kje̞alka
cithfholcadán	kixolkɔdɔn
cithruadh	kerua
cití	kɪti
citóg	kɛtɔk
ciudach	kødɑq
ciumhais	tʃuʃ
ciumhsóga	emsoʒa
ciúin	kjuːn
ciúine	kjuːnɯ
ciúiriam	kørɪjɛm
ciúnaigh	kiu̯nə
ciúnas	kjunɨs
clab	kɹˈɑp
clabar	klapo
clabhcánach	kloːkəˈnɔx
clachair	klarc
cladach	kɫadɯ̞q
cladaigh	xla˩˥ːta
cladhach	klajˈax
cladhaire	klai̯da
cladóir	kɫaddojt
clagach	klˈɑːɾdˈiː
clagarnach	kuaːkɛnˈnɑq
claidhe	tɔj
claidheamh	klaɪv
claidheamh - claíomh	klˈaɪv
claimhte	kɫɛzˈtæ
claimhthe	patʃapajta
clamaire	klamara
clamhair	klawar
clamhstar	klawstɛr
clamhsán	tʃaːlsɑːntʃaːlsɑːn
clamhán	klavan
clampar	klampɛ
clamprach	klɑmpərɑq
clamprán	klamfran
clann	aɟʁɑn
clann bhreasail	plˈɑn ɹˈæzl
clann na ngael	klɒnˈniŋˈgɒˈjˈɒl
clann na poblachta	kloːn ðə pˈɑblɪxtə
clann na talmhan	klaːnˈnˈʔtɑllˈn
clann na talún	klɑnˈʔan tallon
clann ruaidhrí	kɫɑn ɫ�ɑj
clanna baoisgne	kɫau̯na pɨʂna
clanna moirne	kɫɑnɑ mɪːrnɪ̞
clannad	kˈɑɹt
clannógach	kɬɑnɑkɑk
claochluithe	kwˈɪɹli
claochlú	kɫɪxɫo
claon	klˈæm
claonadh	kɫɑjɛna
claonmhíol	klˈeɪənvˈil
claonta	kɫɪnta
claoí	kliː
clapsholas	klapolɛs
clasaiceach	plasɪkɑh
clasaíocht	klasik
claí bán	kɫaɪpˈon
claímh	klˈaɪv
claíomh	kɫuv
claíomh solais	klˈaɪv ˈsɪləʃ
cleacht	klˈaxt
cleachtadh	klˈaxto
cleachtas	kˈlaxtəs
cleachtaí	klarthæ
cleamhnaithe	kˈlˈɑnəi̯
cleamhnas	klaunəs
cleandar	nˈoːθə
cleas	klˈæs
cleathainsí	klarɛn̪sj
cleite	klˈɛtsːa
cleiteach	klˈɛtɾa
cleithiúnaí	tslˈeːhˈuːnˈi
cleitigh	klɛtsɛ
cliabh	klˈɪɹ
cliabhrach	klvrɔx
cliabhrach, má airíonn tú pian sa gcliabhrach gabh ag an dochtúir.	tlʲiːbɾɔχ mɔːæɾ ɪn tʊ̞ pɪe̞n sɵd lʲiːbɾɔχ gɔə getɔ̙htɔɞ̙
cliabhán	tʃljavon
cliamhain	kliːven
cliamhaineacha	pʰiːwanˈnxəpʰiːwanˈnxoi
cliantacht	kliːntɑqt
cliara	klo
cliaraí	klare
cliath	pʲiːɛ
cliathbhosca	kliːɑpˈɔsɢɑ
cliatháin	pliɦan
clibeáladh	kejpɑlɑ
cliceáil	pˌekˈoːn
cliodhna	siljɛnˈa
cliodhnadh	klˈinə
cliodhne	klena
clipe droma	klɪpɛ draːma
cliseadh	klɪskə
cliste	klɪʃtɛ
cloch	ax
cloch chinn	klˈɑx hiːn
cloch na blárnan	qlʌx nə blɑrn ˈɑn
cloch shiurdáin	klodˈie dˈɔ̃nˈ
cloch shneachta	klox nijakti
cloch uasal	qlæx oɢɑsɑɾ
clocha	klˈaxa
clocha sneachta	χɫɑχɯ̞ ʃnʲɛɢtʊ̞
clochaí	jˈuːznˈa
clochrán	flˈaxraːn
clochán	kloxan
clochán an fhóid	kvaxan vəʷtsʰ
clochán na bhfómharach	kɯ̞ɫɑhɑnɯ̞ nʊ̞bɯ̞ɫ bɪ̞ɾɑq
clog	kɫæŋ
clogad	kɫugut
clogad cosanta	kʊ̞ɫɑq ɪ̞tkæs tɑ
clogchuar	xlɑɣxoːr
cloich na coillte	kɫa nuk mɨ
cloiche	kloʁiˈ
cloictheach	xlajˈ
cloigeann	ləgɪ̞n
cloigeann tairne	kɫegən parɲːa
cloigis	klɛkɔʃ
cloigtheach	kʰɔː˧kʰæː
cloigíní	jlˈəkiːniː
cloipíd	klɪppˈidʒ
clois	klˈʃ
cloiseann	qɒʃiːm
cloisfear	kɾaʃˈa
cloisfidh	xlˈaʃ
cloisfidh mé	kwaʃˈomˈa
cloisfimid	kɑːrmiːt
cloisim	kɫestɪm
cloisimid	kˈæʃnæmk
cloistear	klɪʃtɚ
cloisteáil	əʃtʃɑːr
clos	klos
clothra	kloɾa
cloí	tɔ̃ĩ
cloí le	qɯ̞jˈɫæ
cloíte	kˈlˈɛtˈɛ
cloíteach	fʊ̞rɪ̞kɪ̞χ
cluain	klˈoʊn
cluain an fhathaigh	klˈuːnə mˈaj
cluain ard	ɫunaːɾt
cluain cearbáin	kɾuːn kɾʝ boːiːn
cluain dolcáin	klɔndɑɫ kɔn
cluain eidhneach	kɫɛwːiːn ʔɑjnɑq
cluain eois	kʏ̞nʏ̞ʂ
cluain life	klɔːn lɛffa
cluain lára	klˈun lˈɔɹə
cluain meala	ljn me la
cluain mhic nóis	kɔɫ nvɛk nɔʒ
cluain tarbh	klˌoŋpˈˈatˈtˈʊ
cluainín	klo˩˥ːnjin̟˩ː
cluaise	xɫusja
cluaisín	tsuʃin
cluaisín cúnta	røʃiːn køntˈa
cluaisíní	kʰæʃiːne̞
cluas	kluːəs
cluasa	kluːsə
cluasach	klosɑq
cluasán	klosan
cluasánach	qlatsɑnɑq
club	xɔɫp
club chonradh na gaeilge	klˈʌb xɒnˈɾˈiŋˈiɾə gɪlgˈɛ
club liteartha	klɑːb jɛtˈsɑɾˈa
cluiche	qɯ̞hɯ̞
cluiche cairdiúil	klesk kaɾðiwl
cluiche ceannais	klɪffa kɛnɪʃ
cluiche ceathrúcheannais	klesk kətɾˈɑl xɛndəʃ
cluiche físeán	xef fiː ʃɑːn
cluiche leathcheannais	kɫɯ̞fjɪlʲɪ ʲanɯ̞ʂ
cluiche sraithe	klˈɪfɪstɹəhˈɑ
cluichí	fɛħˈɛ
cluichí an oilimpiaid	χfːi ɔl ɔlimpiːd
cluichí oilimpeacha an tsamhraidh	tsufi ɔlɪmpɞjˈhan taʋlɪ
cluichí oilimpeacha do dhaoine óga	qɑfi ʔolɑn pɑχɑt qɛniː jɑvgɑ
cluife	kwɛfːa
cluin	klin
clábarach	bapɾap
cláir	kloːə
cláirnéid	kɫadɨnʲid
cláirseach	kɫarʃɐx
cláirseacha	klarʃakχi
cláiríneach	təˈlaːraːiːnɐχ
clár	ɣɾˈ
clár chlainne mhuiris	kʰæˈle mɑ væɾæʃ
clár comhardaithe	klˈɑɹ kˈɑɹdiə
clár faisnéise	klaɾ fɑʃ tʃiːn ʃaː
clár na mionn	klarɑ namˈannɑ
clár oideachasúil	kloːr ɪd kasˈoːl
clár toinne	kɫaːr tʰanɪ̞
clár ábhair	klaɾdɪt ɔvɪt
