'arif	uʔib
javlaq	jɑwɫɑq
javlaq qatïγ	jɑuɫäq qɑtɯ̞ɢ
javlaq tillig bẹgdän kẹrü jalŋus tul jẹg. [мәхмүд кашгарый]	jɑwɫɑq tjɪlːɪ̞k bʲɪkdæn kɪ̞rɪ̞u jɑɫɯ̞mʊ̞z tʊ̞ɫ ʲek
javramaq	jɑvrɑmɑq
javrïmaq	jɑwbrɯ̞mɑq
javrïtmaq	jɑwrɯ̞tmɑq
javsamaq	jɑfsɑmɑq
javuq	jæv
javuqï	jɑuqɑ
javuz	ʝˈaʊzʊ
javuz iš	ja boːzɪʃ
javuzlamaq	jɑvɯzɫomɑk
javuzlanmaq	jɑvuzɫɑnmɑq
javuγ	jaoɣ
javïz	jˈɔuz
javčan	jo˨˩˦tsʰœ˧˥n
javčunmaq	jɑwːnmaq
javčurmaq	jɑwːˈtʃuɾmɑq
javγan	jɑvɣɑn
javγan aš	jɑwɢɑnɑʐ
javγanlanmaq	jɑuʁänwɑnmɑq
jaz	ʒaz
jazamaq	jɑzɑmɑk
jazaq	jɑzɑk
jazlatmaq	jɑzɫɑtmɑq
jazlïnmaq	jɑzɫɯ̞nmɑq
jazlïp	jˈɑzˈlˈɑp
jazlïp alqïnmaq	jɑzɫɯ̞p ɑɫqɯ̞nmɑq
jazlïšmaq	jɑðlɑʃmɑq
jazmaq	jɑzmaq
jazmas	jɑzmas
jazoq	jɑzɑq
jazqï	jɑzqɯ̞
jazsamaq	jəlssɑmɑq
jazturmaq	jɑstʊ̞rmɑq
jaztï	jˈɒsf
jazuq	jɑzʊk
jazuq mün	jæzʊ̞k møn
jazuq qïltačï	jɑzuq qiɫtɑtʃɯ
jazuq qïltačï bolmaq	jɑzu qɯltɑtʃɯ bɔlmɑq
jazuqlamaq	jazuqlɑmɑq
jazuqlamïš	jɑzuqlɑmɯz
jazuqluγ	jɑzɑqlɔɦ
jazuqqa käfarät bolur ig toγa. [йосыф баласагуни]	jɑzuqqä kæθæræt bwɫɯ̞r iktʊ̞ʁä
jazuqsuz	jɑzuqsuz
jazuqtan tïdïnmaq	jɑzuqtɑn tɯ̞dɯ̞nmɑq
jazï	jˈɑzɑ
jazï taγ tẹŋiz kötki oprï jirig. [йосыф баласагуни]	jɑza tɑqtʲi nʲis køtkɪ ɑpɾɑ jeɾeɟ
jazïlmaq	jäzɑlmɑq
jazïn	jɔzɐn
jazïnmaq	jɑ̈zɯ̞nmɑq
jazïqmaq	jɯ̞zɯ̞qmɑq
jazïšmaq	jɑðɯ̞ʂmɑq
jazïγlïγ	jɑzɯ̞ʁɫɑʁ
jazγuq	jˈazʁˈoːq
jačanmaq	jɑtʃɑnmɑq
jaŋ	ljoʊ
jaŋa	jɐlˈvɑ
jaŋalduruq	jɑŋɯ̞ɫtʊ̞rʊ̞ɫq
jaŋalïγ	jˈɑŋgjʊ̞
jaŋalïγ sü	jɑŋɑlɯ̞q sʏ̞
jaŋan	jˈʌŋɑn
jaŋaq	jɯ̞ŋɯ̞q
jaŋaq üzä türtmäk	jɯ̞ŋɑq bʏ̞zæ tʏ̞rʏ̞mæk
jaŋaqïn bïčmaq	jɯ̞ɫɢɑqhʊ̞n bʊ̞tʂmɑq
jaŋluq	jɯ̞ŋɫɯ̞q
jaŋluq at	jɑŋɫuɢɑt
jaŋluqsuz	jɯŋluqsʊz
jaŋluqsuz könisinčä	ja unɫoksuskø ljksiːntsjɛ
jaŋlïγ	jɑŋɫɯ̞ʁ
jaŋqu	jˈɑqˌu
jaŋqulamaq	jɑŋqyɑmɑq
jaŋqurmaq	jɑ̃qurmɑq
jaŋramaq	jɑŋɾɑmɑq
jaŋraq	jɑɫɾɑq
jaŋuz	ʝɐ̃wgj
jaŋzatmaq	jɑŋzætmɑq
jaŋzaγ	jˈɔ̃zˈɔʁ
jaŋï	jɒvŋa
jaŋïla	jɑŋɯ̞ɫɑ
jaŋïladï	jɑŋɯ̞ɫɑdʊ̞
jaŋïlamaq	jɑŋɯ̞ɫɑmɑq
jaŋïlmaq	jɑŋɯ̞ɫmɑq
jaŋïlγan	jˈunˈɔvɑːn
jaŋïrtï	jɑŋɯ̞rtɯ̞
jaŋšaq	ʝˈɑmʃˈɑk
jaŋšatmaq	jɑŋʃɑtmaq
jaš	iˈaʒ
jaš ot öndi.	ja ʃqot ʔønwɪld
jašamaq	jɑʂɑmɑq
jašar	aʃaɾ
jašarmaq	järʃärmɑq
jašartmaq	jɑʂɑrtmɑq
jašarγan	jəʃaʃχan
jašaŋurmaq	jɑʂɑnoɾmɑq
jašaγu	jˈɑːʃarˈoː
jašlamaq	jɑʂɫämɑq
jašlïq	jɑʂɫɯ̞q
jašlïγ	jˈɑʃlɯˈʁˈ
jašmaq	ʝˈɑʃmˈɑk
jašnamaq	jɑʂnɑmɑq
jašnat	jaʂtnɑt
jašnat qïlïč bašïnï üzä, qaqqïl, jara.	jɑʂnɑt qɯ̞ɫɯ̞tʃ bäʂɯ̞nɯ̞ ʏ̞zɛ qɑq qɯ̞ɫ jɑrɑ
jašnatmaq	jɑʂnɑtmɑq
jašru	ˈjaʃtˈo
jašrušmaq	jasrʊ̞ʂmäq
jašsamaq	jæʃsämɑq
jašumaq	jæʃumɑq
jašuq	aʃuɫ
jašurmaq	jɑʂuɾmɑq
jašurγan	jˈɑʃuɾgˈɑːn
jašut	ˈjaʃˈut
jašï	jˈaʃ
jašïl	ʝˈɑsʊl
jašïl kök bẹzädiŋ tümän julduzun.	jɑʃɑˈl køk bʲiz hediŋ tymen jolˈduzun
jašïl kök bẹzädiŋ tümän julduzun. [йосыф баласагуни]	jɑʂɯ̞ɫ kʏ̞k bʲizæ dʲinʲ tʏ̞mæn juɫdʊ̞zun
jašïl čüvit	ja ʃɑɫtʃuʲit
jašïl čüvüt	ja ʃuɫ kɵːt
jašïm	jˈɑʃum
jašïn	ˈjaʃˈaŋ
jašïna	ʒɑsɯn˨˩˦lɑɾ
jašïnlïγ	jˈɑʃənlˈʊɣ
jašïq	jˈɛnʃɛk
jašïq badï jüzkä qara jüz baγï. [йосыф баласагуни]	jɑʂɯ̞q bɑðɑ jʏ̞skæ qʊ̞rɑ jʏ̞z bɑʁʊ̞
jašïq jazdï bolγaj örülüg sačï. [йосыф баласагуни]	jɑʂɑq jɑzdɯ̞ buɫɢɑj ʏ̞rʏ̞lʏ̞k sɑtʃʲɪ
jašïqmaq	jɑʂɯ̞qmɑq
jašïr	jˈɑʃər
jašïrdïm	jæʂɪ̞rðʊ̞m
jašïrmaq	jɑʂʊ̞rmɑq
jašïrumẹn	jaʃɛrʊmʲɛn
jašïŋ	ja˥˩ʂɤŋ˥˥
jašïŋ qïrqta kẹčsä, kün aj ẹrsä küz, isig nẹŋ bilsä sẹn özüŋ tab’i tüz. [йосыф баласагуни]	jɑʂæn kaːrktɑkʲi sækʲynæ ʲir sækʲiz izʲigniŋ bɪ̞ɫsæs sʲin ʏ̞zʏ̞mtɑp ɢɛj tʏz
jaγ	iˈɑq
jaγ bojnï	jɑɢ bɒjlɒˈ
jaγ bolmaq	jɑq bʊ̞ɫmɑq
jaγan	jˈɔxən
jaγanlïq	jɑʁɯ̞nɫʊ̞q
jaγaq	jɑq
jaγaqlïq	jʊ̞ʁɑqɫɯ̞q
jaγaqlïγ	jɑʁɑqɫɑq
jaγlamaq	jɑʁɫɑmɑq
jaγlanmaq	jɑʁɫɑnmɑq
jaγlatmaq	jɑʁɯ̞ɫɑtmɑq
jaγlïγ	jɑʁli̠ɢ
jaγmalanmaq	jɑʁmɑɫɑnmɑq
jaγmaq	jɑʁmɑq
jaγmur	jɑɣmˈur
jaγmur jaγmaq	jɑq muːr jɑq maːq
jaγmurčïl	jɯ̞qmʊ̞rtʃʊ̞ɫ
jaγmïš	jɑqmɯz
jaγmïš tutuq	jɑqmɯ̞ʂtʊ̞ðq
jaγnï tẹrikä siŋirdi. [мәхмүд кашгарый]	jɑʁni tɛrɪjkæɛ sɨŋirti
jaγqu	jˈɑːqlʊŋ
jaγru	jˈɑːgɾˈw
jaγrïmaq	jɑʁrɑmɑq
jaγsamaq	jɑqsɑmɑq
jaγsïmaq	jɑqsɑmɑq
jaγsïnmaq	jɑqsɯ̞nmäq
jaγturmaq	jɑqtʊ̞rmɑq
jaγumaq	jæʁumɑq
jaγuq	jˈɑːgq
jaγuqluq	jɑʁuqɫuːq
jaγutmaq	jɑɣutmɑq
jaγutγan	jˈɑːgædˈɾɑn
jaγušmaq	jɑʁuʃmɑq
jaγušmas	jɑɣʊʃmɑs
jaγï	jɒˈgɒ
jaγï bojnï jančar, kü čavïn ïδur.	jaˈɣi bɒjnɒ jantʃaɾ kuˈj ʃɒˈvɒn nɒzɒɾ
jaγï bolsa ẹšiŋ, öŋär ǯanïŋa ja tẹrmiš jumïtmïš anuq malïŋa.	jɑˈgɯ bulsɑ ʔɪʃiŋ ʔøŋær dʒɑnɯŋɑ jɑtiɾmiʃ jʊmɯtmɯʃ ɑnɯqmɑɫʁɑŋɑ
jaγï qïlγï bilgü	jɑʁɯ̞ qɑɫʁʊ̞ bʲel bʲigʏ̞
jaγïdïp	jɑːgɯdɯp
jaγïlamaq	jɑʁʊ̞ɫɑmɑq
jaγïlmaq	jɑʁɯ̞ɫmɑq
jaγïmïz	jɑɣimæz
jaγïmïz tẹgirä učuq tẹg ẹrti. [orkhon-enisei scripts]	jɑʁɯmɯz tɛjgirɛ ʔutʃuq tɛk ɪ̞rtʲi
jaγïqmaq	jɑʁɯ̞qmɑq
jaγïr	jɑːr
jaγïrlamaq	jɑʁɯ̞rɫämɑq
jaγïrlanmaq	jɑʁɯ̞rɫänmɑq
jaγïrlïγ	jɑʁi̠rlʊ̞ɢ
jaγïtmaq	jɑˈgɯtmɑˈq
jaγïtγan	jɑˈgɯtˈɢan
jaγïz	jɑqiz
jaγïz jẹr jašïl kök kün aj birlä tün, törütti halâjık öd üdläk bu kün. [йосыф баласагуни]	jɑˈgɯz jɛr jɛʃɯ̞ɫ køk kyn ɑj bʲiɾɫætɪ̞ɴ kø̞rʏ̞tːʲɪ hæ̹lɑjɯ̞k ʏt ʏ̞tlæk bu kyn
jaγïz jẹr jašïl torqu jüzkä badï. [йосыф баласагуни]	jɑjɯ̞q jɪ̞r jɑʂʊ̞ɫ tʊ̞rqʊ̞ jʏ̞skæ bɑðɯ̞
jaγïz jẹr jüzi jašardï, körklädi. [türkische turfan-texte]	jɑˈgɯz jɛr jøzi jɑʃɑrdɯ kørklɛdi
jaγïz jẹr qatunï	jɑʁɯ̞ð jɯ̞r qɑtʊ̞nɑ
jaγïzdaqï	jɑqizdɑqtʊ̞
jaγïš	jɒqɒʃ
jaδur	ʝˈadˈuɾ
jaδurmaq	jðɵrmæq
jaḥšï	la
jig	ig
jig ẹt, aš, sürmä tilädi. [die legende von oγuz qaγan]	jɪːgɪt ɑːr sʏr mʏːtʏlædi
jigin	nˈoːx
jigin alpturan	jɪ̞gɪ̞n ɑɫtʊ̞rɑn
jigitlik	igitlik
jigitlikkä küsämäk	jˈgit lˈig kˈɛk ysɛmɛk
jikrar bẹrdi	iːk ɾɑr beːr
jikrar bẹrdim	ʲik rɑɾ bʲerdʲiːm
jikrar bẹrgil	iχrɑr bɪ̞ɾild
jikrar bẹrürmẹn	jiqrɑɾ bʲiryɾmæn
jilim	iːliːm
jin	iːn
jini	jiniː
jinčkä torqu	jintʃkæ tʊ̞rkʊ̞u
jiriŋlig	jɪ̞ɾiːŋliːg
jirtinčü	iːrtˈɪnˌtɪwˈ
jitgürmäk	jɪ̞tgʏrmæk
jitgüsiz	jˈetgysiz
jitig	jˈɛ
jitkürmäk	jˈitgʏrmæk
jitmäk	jˈitmɛk
jitürdüm	jøtyrdøm
jitürdüm jigitlik jẹtildi jašïm, jïpar kẹtti kafur asundï bašïm. [йосыф баласагуни]	tʏ̞rðʏ̞m jɪ̞gʲɪtlʲɪk jʲetjɪldʲɪ jɑʂɯ̞m jɯpɑr kʲitːɪ̞ kæfʊ̞r ɑsʊ̞nðʊ̞ bɑʂɯ̞m
jitürmiš	jʲitɨrmɪʃ
jitürü	jidʁy
joduγ	juduɾ
joduγ jẹtürmäk	jˈɯl jˈɯl hœrmɛk
jol	fʲoː
jol jarasun	dʒoɫ dʒarasun
jol kẹsmäk	jo˩˥ːkism˩˥ːek
jola	jɯɫːɑ
jolaq	jʊ̞ɫɑq
jolïn kẹs	jovənkʲis
jolïn qïsmaq	jɔvɨŋ qiːsmɑq
jolγa jür	jʊ̞ɫʁæ jʏr
jolγa jürdüm	joɫʁä jyrdʏm
jolγa jürürmẹn	jɒˈgɒ jˈuɾiˈɾˈ mˈɒn
jomuqtï	lomokt̪a
jonmaq	lʏ̞nmɑq
jontumuz	jˈuntˌumʊʒ
joq	jɒq
joq čïγaj	jɔq tʃiɢaj
joq ẹrsä jazuqum, jüzüŋni qïzartma maŋa. [йосыф баласагуни]	jɒɣ eʃæ jɒˈzuqum jˈuzumnˈi qizɒɾtmɒmɒŋˈlɒˈ
joqamaq	jqɑmɑq
joqamaqqa	jɪ̞qʊ̞mɑqqa
joqamaqqa jumšaq iči, pür aγu. [әхмәд йүгнәки]	jʊ̞qɑmɑqʊ̞ʊ̞ŋʂɑq ʲitʃi pɪ̞ɾ ɑʁw
joqamaqqa jumšaq, iči pür aγu. [әхмәд йүгнәки]	joqɑmɑqqɑ jʊ̞ŋʂæk ʲitʃi pɪ̞ɫ ɑʁw
joqaru	jʊ̞qɑru
joquγ quruγuγ tanuqlamaq čïn kẹrtü ẹrür. [türkische turfan-texte]	jqoq qurʁɔ̙rʁɔ̙tːɑn qɫomɑq tʃe̝n kirtʲɪ ɪ̞l
jora	jura
jorïdačï	jurendaztʃe
jorïmaq	jɯ̞rmɑq
jorïmaz nẹ jatmaz udïmaz oduγ. [йосыф баласагуни]	jurmɑsmi jɑtmɑs ʔudʒmɑs ʔotuʁ
jorïq utru tutmaq	jʊ̞rʊ̞ʁʊ̞tʊ̞ɾʊ̞ tʊ̞tmɑq
jorïtmaq	jʊ̞rʊ̞tmɑq
jorïšmaq	jʊ̞rʊ̞ʂmɑq
jorïγlï	jʊ̞rʊ̞ʁɫä
jorïγlï ašï ol, učuγlï mẹŋi. [йосыф баласагуни]	jʊ̞rʊ̞ɢɫä ɑʂɑ oɫ utʃʊ̞ʁɫɯ̞ mʲiŋʲi
jorïγïl	jˈʊ̞rɯ̞ʁɯ̞l
jorïγčï	jʊ̞rɯ̞qtʃæ
jotuz	iutuz
joŋaq qïlmaq	juŋɑq qɯ̞ɫmɑq
joŋaq qïlγučï	nʲuɑ qɯ̞ɫʁutʲːæ
joŋaqčï	jʊ̞nɑktʃæ
joγan	jʊˈgɑn
joγdu	jʊɣdˈoʊ
joγurmaq	juʁurmɑq
joγurča	juːɣurtʃa
joγï	jɔˈgɑ
joγï qïlmaq	joʁiʁiɾ
joγčï	juɣtʃe
jula	ɫ
julaq	jʊ̞ɫɑq
julduz	jˈuldˈuz
julduzluγ	juɫdɯzbuɟ
julmaq	lmɑk
jultuz	jʊ̞ɫtʊ̞z
julup	jʊˈlʊb
julup almaq	lwp ɑɫmɑq
juluγ	nˈovˈuɐ
juluγ bẹrmäk	joɫuɢ bʲirmæk
julγalï	joɫʁɑɫæ
julγalï barmaq	jɯ̞ɫʁä ɫæ pɑrmɑq
jummaq	nˈomq
jumqï	jumqɯ̞
jumulmaq	jumulmɑq
jumurtqa	jʊ̞mʊ̞rtqäjä
jumïtmaq	jˈumtɪmɑq
jumïtmïš	jomɯtmɯz
jumšaq	jʊ̞mʂɑq
jumšat	jʊ̞mʂät
jumšatmaq	jʊ̞mʂɑtmɑq
jumγaq	jʊ̞mʁɑq
jumγaq ig	jʊ̞mʁä kʲig
jumγaq ig bolmaq	jʊ̞mʁä gʲik bɔɫmɑq
jumγaq tänä	jum kaqtænæ
jumγu	nˈoːkvˈ
jumγï	jʊ̞mʁæ
jumγïn	jʊ̞mʁən
jun	ʒˈun
junmaq	jwnmɑq
junt	ljʊnt̪
juntur	ʒʉntuɾ
juntur-suquntur	zʏ̞ntʏ̞rsɑqɑntœr
junturmaq	jʊ̞ntuɾmɑk
jup	jup
jurla	jʊɾɫɑ
jurlamaq	jurɫämäq
jurt	jʊ̞rt
jurtta qalmaq	jʊ̞rtːɑ qɑɫmɑq
juttur	juːtˈtˈuɾ
jutturmaq	jʊ̞tːʊ̞rmɑq
jutuz	iutuz
juvqa	jʊ̞uqa
juvundum	jo˩˥ːndo˥˩ːm
juvunurmẹn	jˈuːnˈuːrməŋ
juvunγul	jʊ̞wʊ̞nɢoɫ
juzaq	juzɑk
juzaqla	jʊ̞zɑqɫä
juzaqladum	jʊzɑqlɑrdʊm
juzaqlarmẹn	jʊzɑqɫɑɾmɛn
juδuγ	jˈuðvˈlˈɑɾ
jïd	jˈɛd
jïd jïpar	jɛt vjɐpɑːr
jïd jïpar tẹg	jɛt bjɐp aːɾtɪk
jïdaŋ	jˈɛdɐm
jïdiγmaq	jʊ̞ndɯ̞ʁmɑq
jïdlamaq	jɯ̞ðɫɯ̞mɑq
jïdlanmaq	jɯ̞dɫɑnmɑq
jïdlašmaq	jɯ̞dɫɑʂmɑq
jïdlït	jædlæt
jïdlïγ	jɯ̞dɫʊ̞ʁ
jïdruq	jˈɑdruːq
jïdï qalmaq	jɯ̞tɯ̞ qɑɫmɑq
jïdïm	jɯˈðɯm
jïdïmaq	jɯ̞ðmɑq
jïdïmaq sasïmaq	jɯ̞ðɯ̞mɑq säɴsɯ̞mɑq
jïdïšmaq	jɯ̞dɯ̞ʂmɑq
jïdïšqamaq	jɯ̞ðʊ̞ʂqɑmɑq
jïdïγ	jˈɛdˈɔʁ
jïdïγ sasïγ	jɯ̞ðɯ̞ʁsɑʊ̞sʊ̞ʁ
jïdïγ tuz	jˈɑ dɐɁtuz
jïdïγï kẹtmäk	jɯ̞ðɯ̞ʁʊ̞ kʲitmæk
jïjarmẹn	jæjɑːrmen
jïl	jɯ̞v
jïl aj kün kẹčär tẹg tiriklik kẹčär. [йосыф баласагуни]	jɯɫ ɑj kyn kitʃertek tiriglik kɪtʃer
jïlaju	jɪ̞ɫɑjˈu
jïlan	jɯɫɑn
jïlan jarpuzdan qačar qanča barsa, jarpuz utru kẹlür.	jɯɫang jɑrpuzdɑz qɑtʃar qɑntʃɑ bɑrsɑ jɑrpuz ʔoturuv kɛlɪlir
jïlan kün	jʊ̞ɫaːn kyn
jïldrïq	jɯ̞ɫdɯ̞rɯ̞q
jïldïz	jɯ̞ɫdʊ̞z
jïldïzlïγ	jɯ̞ɫdɑzɫɑq
jïlqï	jɯ̞ɫqɯ̞
jïlqï ažunu	jɑɫqɯ̞ ʊ̞ʒʊ̞ɫʊ̞
jïlqï qara	jɯ̞ɫqʊ̞ qɑɾɑ
jïlïn ajïn	jɯ̞ɫɯ̞ŋ ɑjɯ̞ɴ
jïlïnčγa	ilˈæntsiga
jïlïγ	jɯ̞ɫɯ̞ʁ
jïlïγlïq	jɯ̞ɫɯ̞ʁɫɯ̞q
jïpar	ʝapaɾ
jïpar kin	ja paɾkjnt
jïpar taqïqu	jəpəɾtaq ə ku
jïpar, bor birlä ičsün. [zur heilkunde der uiguren]	jɯpɑr bɔr biɾˈlɛr itʃ syn
jïpar, qara tuz bilän aγzïnta tutsun. [zur heilkunde der uiguren]	jɯ̞pɑr qɑrɑtʊ̞z bʲeɫæn ɑʁzʊ̞ntɑ tʊ̞lsʊ̞n
jïpardïn jïpar-oq jïdïr ol idi. [йосыф баласагуни]	gəpardʁiŋ jɯpɑr ʊ̞q jɯ̞ðɪ̞r ɑwʲidʲi
jïparlïγ	jɑpɑrlkʊ̞
jïparlïγ kẹsürgüdin jïpar kẹtsä, jïδï qalïr. [мәхмүд кашгарый]	ɪ̞pɑrɯ̞ɫʊ̞ kʏ̞sʏ̞rgʏ̞ðʏ̞n jɯ̞pɑr kʲitsæ jɯ̞ðɯ̞ qɑɫɯ̞r
jïplamaq	jɯ̞pɫɑmɑq
jïplašmaq	jɯ̞plʊ̞ʂmɑq
jïq	jɯ̞q
jïqarmẹn	jɯ̞qɑrmɪ̞n
jïqmaq	jɯ̞qwɑq
jïqmïš	jɯ̞qmɯ̞r
jïqmïš taz	jqmʊ̞ʂtˈɑz
jïqsa	jɑqsɑ
jïqsa bolmaq	jɯ̞qsɑ bʊ̞ɫmɑq
jïqtur	jɯtˈvɯr
jïqturmaq	jɯ̞qtʊ̞rmɑq
jïqtï	jɯ̞qtɑ
jïqïl	jɑqɯ̞ɫ
jïqïldum	jɯ̞qɯ̞ɫdʊ̞m
jïqïlmaq	jɯ̞qɯ̞ɫmɑq
jïqïlurmẹn	jɯ̞kɯ̞ɫuɾmɪ̞n
jïqïš	jɯ̞qɯ̞ʂ
jïqïšmaq	jɯ̞qʊ̞ʂmɑq
jïr	jɯɾ
jïraq	jɯ̞rɑq
jïraq barsar bolmaz	jɯ̞rɑq bɑrsɑr bɔɫmɑθ
jïraq jẹrdäki	jɪrɑq gɛp ki
jïraq tarïqïp	jɯ̞räqtɑrʊ̞qʊ̞p
jïraqtan	gʲɪrɑqtɑn
jïraqtan közünü turur	gɪrɑqtɑn køzymɪzɯ turuɾ
jïraqtïn	jɾɑqtɯ̞n
jïrla	jɯ̞rɫɑ
jïrlamaq	ɲɯ̞rɫɑmɑq
jïrlaγïl	jɯ̞rɫɑʁʊ̞ɫ
jïrtlaqlïγ ču	jizɑqlɑq tʃu
jïrtlaqlïγ ču kẹrgäk bolup, tarïγ tarïmaqqa jẹrni almïšïmqa… [uigurische sprachdenkmäler]	jɪ̞rtɫɑqɫɯ̞q tʃiw kɪ̞rgæk buɫɯ̞p tærɯ̞q tɑʁɯ̞mɑqqɑ ʲirɪ̞nʲɪ ɑɫmɯ̞ʂɯ̞mqä
jïrïγ taŋlaju ẹsirkäjü ïγlaju tẹgrä tolï tururlar ẹrti.	jʊ̞rʊ̞ktæŋɫäjɯ̞ ɪ̞sʲɪrkæjɯ̞ ɑʁɫɑjɯ̞ tʲɪkrʲæt oɫɯ̞ tʊ̞rʊ̞rɫɑr ɪ̞rtʲi
jïtlïγ	jätɫʊ̞q
jïtsamaq	jɯ̞tsɑmɑq
jïtï	jˈɑtˈa
jïtïtlï	jˈutˈɑtlɑ
jïva	lɛn
jïvmaq	umek
jïvïlγu	jˈuwɪllˈoʊ
jïš	jˈɪʃ
jïšda	nʲɪsdɑ
jïšïγ	iʃˈæˈr
jïšïγ bolmaq	jɯ̞ʂɯ̞q bʊ̞ɫmɑq
jïγ	jˈʁ
jïγa	jˈɪk
jïγač	jɪˈʁɑt
jïγač julduz	jɯŋa jäntʃɯw̃ldwz
jïγač ïrγamaq	jɪ̞ʁɑʒ ɯ̞rʁɑmɑq
jïγačlanmaq	jɯ̞ʁɑtʃɯ̞ɫɑnmɑq
jïγačlïq	jɪ̞ʁɑʧɪ̞ɫɑq
jïγačqa baγlamaq	jɯ̞ʁɑtʂɯ̞qɑ bɑʁɫɑmɑq
jïγaččï	jɪˈʁɑtʃæ
jïγla	jɯ̞ɢɫɑ
jïγlamaq	jɯ̞ɢɯ̞ɫɑmɑq
jïγlatmaq	jɯ̞ʁɫɑtmɑq
jïγlaturmaq	jɯ̞ɢɯ̞nätʊ̞rmɑq
jïγlašmaq	jɯ̞ʁɫɑʂmɑq
jïγlïšmaq	jɯ̞ɢɯ̞ɫɯ̞ʂmɑq
jïγmaq	jɯ̞ʁmɑq
jïγrïlmaq	jɯ̞ʁrɯ̞ɫmɑq
jïγï	jɯ̞ʁa
jïγïlmaq	ʁɯ̞ɢɯ̞ɫmɑq
jïγïm	jɯ̞ʁʊ̞m
jïγïn	jɯ̞ʁən
jïγïnmaq	jɯ̞ʁɯ̞nmɑq
jïγït	jɯ̞ʁɯ̞t
jïγït sïγït	jɯ̞ʁɯ̞ð sʊ̞ʁɯ̞t
jïγïš	nʲɪɢɯ̞ʂ
jïγγalï tẹrgäli	jɪ̞ʁɑɫɯ̞ tʲɪrgæ̹lʲɪɪ̞
jïδ	jˈɯ̞v
jïδlamaq	jɯ̞ðɫɑmɑq
jïδlanmaq	jɯ̞ðɫɑnmɑq
jïδlaš	jæzvˈɑʒ
jïδlašmaq	jɯ̞rɫɑʂmɑq
jïδlïγ	jɯ̞vɫʊ̞r
jïδï qalmaq	jɯ̞ðɯ̞ qɑɫmɑq
jïδïmaq	jɯ̞ðɯ̞mɑq
jïδït	jadəp
jïδïγ	jˈæv
jïδïγ ot	jɯ̞ðɯ̞ʁ ɑt
jïδïγlïq	jɯ̞ðɯ̞ʁɫɯ̞q
jïḥïl	jˈɪxˌɯl
jöläk toqu	jʏlæk tɑqw
jöläštürgülüg	juðæʃtʊ̞rgʏlʏk
jöläštürgülügsüz	jʏlɛʃtʏlgʏlʏksʏl
jörgäli	jʊ̞rgæ̹lʲi
jörgäli šẹškäli	jˈʊɾˈgˈæˈliːʃ iʃ kˈɛli
jörgämäk	jʊ̞rgʲɪmæk
jörüg	jʊˈɾˈugˈ
jügür	jˈugˈʊɾ
jügürdüm	jʊgɯ̞rdʏ̞m
jügürmäk	jʊ̞gʏ̞rmæk
jügürtmäk	jˈugɪrdmɛk
jügürü barmaq	juˈgyry bɑrmɑq
jügürürmẹn	juːkɔɾʊɾmen
jük	juːkˈ
jük kötürmäk	jɔ̙k kʏtʏ̞rmæk
jük tüšürdüm	jˈukt tˈʃˈɾɯttˈɯm
jük tüšürürmẹn	juq tʃʊzɯz ʒyzmæn
jükmäkig	ʝˈʌkmɛkˈiŋ
jüküngüči	jʊ̞kəngtʃiː
jükünmäk	jokɨʎmek
jükünüp	jʊkɛnˈʌp
jürgäyäk	jʏɾdæjæk
jürägi kürmät	jʏ̞rægʲɪ gʏrmæt
jüräk	jʊrk
jüräk jarïlmaq	jʏ̞ræk järɯ̞ɫmɑq
jüräki jarïlïp ölti	jʏ̞ræk i̠ jɑrɯ̞ɫɯ̞ bɪ̞ɫ tʲi
jürüdüm	jʏ̞rʏ̞dʏ̞m
jürüntäk	jʊ̞ːrʏntək
jürüŋ	jʏɾʏŋ
jürüŋ bulït önüp, jaγmur jaγdï. [türkische turfan-texte]	jʏ̞rʏ̞ɴ buɫɯ̞t ʏ̞nʏ̞p jɑʁmur jɑʁdɯ̞
jürüŋ qaraq	jʏ̞ðjʏn qɑrɑq
jüttürmäk	jʏ̞tʏ̞rmæk
jüz	jˈøz
jüz artuq oqun urdï.	jʏ̞zær tʏk ɑqɯ̞n ʊ̞rdʊ̞
jüz at mẹniŋ aγdïn kẹčti. [мәхмүд кашгарый]	juztɑt meŋig ɑʁdɯn kɛtʃti
jüz ačmaq	juˈzɑtʃmɑq
jüz aγï	nˈoːzˈoːvˈɛ
jüz bujanlïγ ẹtigin ẹtingülük	jʏz bʊjɑɫɯ̞q ɪ̞tʲɪgʲɪn ɪ̞tʲɪgʲi lyc
jüz jüzägüdin bẹrü	jʏz jʏ̞zɛ gʏlɪ̞n beɾiw
jüz körk	jʏ̞skɪ̞rk
jüz miŋ kolti	juz mˈinkvlˈtˈjˈ
jüz qïzartmaq	jʏ̞z qɯ̞zärtmɑq
jüz suvï	juːzɔvɑ
jüz tügmäk	jˈʌstʁmˈæk
jüz türlügin	jˈʊst tˈɚ lˈʌgiən
jüz urmaq	jʏ̞zʏɾmɑq
jüz urunmaq	jʏ̞ð wurɢɯ̞nmɑq
jüz ẹvürmäk	jʏ̞zʏ̞ wʏ̞rmæk
jüzi körki körklüg kẹräk bẹg jülüg. [йосыф баласагуни]	jusi kirk jwkˈirk lək kirɛk bɛk jwlək
jüzintäki	juzintɛkɪ
jüzlänmäk	jyˈzlɛnmɛt
jüzlüg	jˈuzləuk
jüzlüg tẹgirmi	jyzlyktɛ jɪrmɪ
