abhidhamma	əbd̪ʱm
tiracchāna yoni	tiraʔtʃaːn ɔjoni
tiratana	tiːrat̪anɾ
tisaraṇa	d̪is̺aɾana
tiṭṭhati	tʰɪtʰɔti
tīra	tˈiɾɐ
tuṇḍa	tˈʌndə
tuyham	tojoɳ
tvaṃ	t̪oːŋ
ṭhapeti	tʰɐpɛtʰi
ucchu	putːʃo
udadhi	kuːd̪ʒd̪iː
udaka	udaka
udayabbaya	uðäjäpɐjä
uddaka rāmaputta	ʊtdɐkɑɾaːma puːtːɑ
uddhacca-kukkucca	ʊd̪ʱtʃəkopʊt̪ːaː
udeti	udeti
udāna	ˈudana
uḍḍeti	udɛti
uggaṇhāti	ʊgɐnɦɑːteː
ugghaṭitaññu	ugʈit̪anː�iːw˧
upalitta	upaditˈa
upamā	upamaː
upasaṅkamati	ʊpəsənkomatiː
upāsaka	upˈaːsɑkɑ
upekkhā	upikːa˥˥
uposatha	uːpoːrsɑfˈra
uppajjati	ʊpːʊdʒɐt̪iː
uppatati	uppatati
upādāna	upˈaːdana
uraga	ugɒgɒ
ussahati	uʃsɦtɪ
ussāpeti	kwsˈaːpeːt̪iː
uttara	hʊ̞tːɑɾa
uttarati	utːəɾətːi
uṭṭhahati	ʊt̪ʰɐɦʈiː
uyyāna	uʝana
vadaññū	vadannju
vadhū	ʋðʱu
vaḍḍhakī	ʋɐɖkʰiːɑ
vaḍḍheti	ʋd̪ʱeʈiː
vagga	bˈɐgə
vammika	nˈomˈikˈa
vana	bana
vandati	lant̪t̪et̪i
vaṇṇavantu	ʋanːaɣum
vapati	wɑpɑti
varāha	baraː
vassa	vˈasˈsˈa
vattha	ɔːtːaː
vatthu	wɔːtˈtuː
vattu	bɐtˈtu
vaṭṭa	vˈatːa
vaṭṭagāmaṇī	ʋʊtːaːqaːmɐɳiː
vedanā	be
vessavaṇa	re̞s̻ɐʋɐnaː
vesākha	visaka
vibhaṅga	li˨˩bʰɤŋ˨˩˦gə˥˩
vicikicchati	viːkiːkɪtsʰtʃiː
vicikicchā	viːtʃiːkiʧtʃʰaː
vidū	vidu
vigayha	li˥˩gaj˧˥ə
vihāra	rɪɦaːra
vijjhati	ʋidʑɐti
vijjā	fidʒa
vijjācaraṇasampanno	ʋidʒaːtɕraɳn̪əʃəmpəɳnu
vimuccati	niːmɪtʃːatːiː
vimānavatthu	vimanavatu
vinaya	ˈonˈo
vinayapiṭaka	vinajapitaka
vipassanā	dipasanaː
vipāka	vipaka
virajjati	niːrat̪ɣ̞ti
viriya	bɾˌiɾˈiɐ
visuddhimagga	bisˈubdhimˈɛdʒə
visākhā	vˈɪzɑːkˌɑː
viññāṇa	veɲˈaːra
vyākaroti	bɪːɑːkəɾoːt̪iː
yadā	jædæː
yadi	jadʒi
yakkha	jakːa
yakkhinī	jakːoɲiː
yamaka	jamak
yasavantu	jasɛfɐntu
yasmā	jɪˈzmaː
yathā	jæˈtaː
yathā bhūtaṃ	jɛːtʰɑːb ɦoː n
yathā-bhūta-ñāṇa-dassana	jetʰaːbəˈhtutnjaːɳadsəˈna
yato	akto
yatra	jætra
yattha	jætːa
yaṭṭhi	jətiː
yācaka	ɪˈʕakːa
yācati	jatʃtʃ
yāgu	ʒaːgu
yāva	javɛ
yuvati	jˈuɛthˈɪ
ñāṇa-dassana	nʲaˈɾadˈstəna
ābādha	ɑːbɑːd̪ʱɑː
ācariya	aːtsariːj
āciṇṇaka-kamma	aːtʃnkkˈkæmːa
ādi-buddha	ɑːt̪iːbʊt̪ːʰɑː
ālaya	aːləjə
āloka	alˈoθɐ
ānanda	aːnɑndɑ
ānāpānasati	ʔaːnəːpəˈnaˈsəte
āsava	aːsva
āsāḷhā	aːsǎ˥˥ɑː
ātappa	aːtɐpa
ṭhāna	tɑna
