(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
emagaldua	emaɣ̞aeld̪ua
emagin	imagin
emagintza	emaɣinza
emai	emai
emaile	emaʝe
emaitza	ɛmajtsa
emak bakia	ɛmaːtʃ bakia
emakida	emakið̞a
emakoi	emakɔi
emakume	emakume
emakumea	t̪emakumea
emakumetu	emakumet̪u
emakumezale	kimakˈɔmˈɛtʁsˈaːlʁɑ̃tʁ
emakumezko	emakumesko
emakumezkoa	ɛmakɔmɛsˈkɔa
emakunde	emakund̪e
emakuntza	emakunt̪s̺a
eman	d̪eman
emanaldi	emanað̞ie
emanarazi	emanaɾas
emanda	ta˨˩m˥˩lɑ˥
emanen	emane
emango	emaŋgo
emankizun	emankisulo
emankor	emɑŋkɔr
emantzipatu	emantsipatu
emari	emaɾi
emaro	kemˈaɾo
ematea	ɛːmateːa
emateko	ematiko
ematen	ematem
ematerakoan	e̞mat̪ẽɾako̞ãn̪
ematu	emat˦u
ematxar	ɛmatʃaɾ
emazte	ɛˈmɑːstɛ
emaztegai	emastegai
emazteki	emasteki
emazu bira	tɾˈaɪ mˈɑːs zoː bˈeːdɜ
eme	me
emeki	emki
emendailu	ɣ̞ɾẽn̪d̪aaʝum
emendakin	emendakĩŋ
emendatu	emendatu
emendio	ɛmɛnðio
emendiozko	emendio̞s̺ko
emergentzia	emɛrgentsia
emetasun	emet̪as̺un
emigrante	tʃarikχantɛ
emigratu	emiɣ̞ɾat̪w
emir	ɛmið
emirerri	emiɾeɾɾi
emirerribatuar	emirɾeɾibatuar
emokatu	emokatu
emotikono	emot̪ikola
emozio	emozio
emozionala	emoksional
enara	ennaɾɾa
enaraka	ẽnɾaka
enbalditu	embalð̞it̪u
enbarazu	embarasˈu
enbarazua	embeɾasˈuˈa
enbata	embat̪a
enbaxada	enβ̞aiɣ̞sad̪a
enbaxadore	kemʃkwli
enbeia	embeiam
enbido	enbˈiðo
enbor	emboɾ
enbusteria	embuste
enbustero	ambusˈtˈeɾoˈ
enda	proponon
endai	enˈdai
endaitz	enˈdˈaɪts
endarlatsa	enð̞eɾletʃa
endekapen	tɨtato̞i̯�sʲtʃiŋ˥˩ʐən˧˥ʈʂu˥˩ʈʂu˥˩li˥˩tɕʰj˥˥ʐən˧˥ʐən˧˥kʰoʊ˨˩˦
endekatu	end̪ekat̪u
endekatuko	end̪e̞kat̪uko
endekatzen	ɛnˈdɛkatsˈe
endemia	endemia
endika	ɛndika
endosataria	emdɔsataɾia
endreda-makila	eenðɾedamakiʎa
endredatu	e̞nð̞ɾed̪at̪u
endredatuko	entrɛdatuko
endredatzen	ẽn̪d̪ɾed̪ats̻ẽn
endredu	ẽn̪d̪ɾed̪u
endurtu	entuɾtu
endurtuko	end̪uɾtukˈo
endurtzen	e̞n̪d̪uɾts̺ẽn
ene	ene
eneas	eneas
eneka	eneka
eneko	ɛːnɛːkɑ
eneko bidegain	e neko bidˈe gˈaɛ̃
energia	eneɾɣ̞ia
eneritz	eneɾits
enetxo	enetʃo
enfasi	emfasj
enfrentamendu	enfɾɛntamɛnˈdo
engaiamendu	enɣ̞aiamen̪d̪u
engaiatu	e̞nɣ̞ai̯at̪u
engainaerraz	enɣaɲaeras
engainagarri	ẽn̪ɣ̞anʝaɣ̞a
engainatu	enɣ̞aɲat̪u
engainatuko	dʒuʃtʃeatuko
engainatzen	ẽn̪ɣ̞anʝaksel
engainu	enɣ̞anʝo
enganio	enɣ̞anio
engoitik	ŋgojti
engoxatu	ẽŋgoʃatʰu
engranaje	engɾaˈnɦeˈ
enkailatu	enkailan
enkante	enkˈante
enkargu	ẽn̟θaɾɣ̞u
enklisi	emplistʃiam
enologo	elalɔ
enparantza	empaɾanθa
enparatu	empaɾatʊ
enparau	empaɾow
enpatia	empatia
enperadore	empeɾow
enperatriz	empeɾatrist
enpiriko	empiɾiko
enpirikotasun	empiɾikodas̺uɣ̞
enpirismo	empiɾismo
enplastu	emplast̪u
enplegatu	emplˈeɣatu
enplegatzaile	empleɣ̞as̺aʎjẽ
enplegu	empleɣˈo
enpresa	empɾesa
enpresa horrek 2,5 bilioi euro sortu ditzake.	empɾesa ɦoɾɾe̞k bi koma β̞os̺t̪ β̞ilo̞i eu̯ɾo s̺oɾt̪u d̪it̪ake
enpresaburu	empɾesabunt̪
enpresaren	kẽnpɾesaɾeŋ
enpresari	empɾesaɾɪ
entalpia	entalpia
entelegatu	ent̪elẽɣ̞at̪u
entendimentu	entendimentu
entenditu	ent̪ɛn̪d̪jt̪u
entendituko	ent̪ɪndɪtʊko
entenditzen	ent̪ɪn̪d̪its̺ɪ
entrabal	elt̪ɾaβ̞al
entrega	ẽn̪t̪ɾeɣ̞a
entregatze	entreɣatsʲe
entrenamendu	ent̪ɾẽn̪amẽn̪t̪d̪u
entrenatzaile	entrɛnataʎe
entrepresa	entɾepɾesa
entretenigarri	entrɛt̪ɪ̞niɣaɾɾi
entretenitu	entrɛtɛnitu
entropia	entropia
entropiko	entropiko
entsalada	ẽn̪selað̞a
entsalada bat, mesedez	e̞ntʃala d bat me̞s̻e̞dẽs̺
entseatu	ent̪s̺eat̪u
entsegu	ent̪seɣ̞u
entseiatu	ent̪s̺e̞iat̪u
entseiu	ẽn̪t̪s̺eiʊ
entseiukarrean	e̞ntʃe̞jɣ̞ukaɾɾean
entzera	ẽnseɾa
entzierro	enθjˈeɾɾo
entziklika	entsikljka
entziklopedia	ẽn̟θiklopeð̞ia
entziklopediko	ensiklopedikov
entzima	enθima
entzuketa	ẽ̞nts̻uke̞t̪a
entzukizun	entsukisʊnt
entzule	ensule
entzulego	entzulego
entzuleria	elsuleɾia
entzumen	entzˈumˈɛnˈ
entzumena	entsumena
entzun	ẽn̪s̺un
entzunaldi	elsẽnalbi
entzunarazi	elsunaɾɑθi
entzunareto	entsonaɾetɔ
entzunen	etsɯne
entzunezin	antˈunˈɛnˈ
entzungai	aɪntsʊmgaɪ
entzungailu	elsungaʝo
entzungarri	elsũngari
entzungo	eltsugo
entzungor	elsũngoɾ
entzungor egin	ents̺ungo̞ɾɾe̞ɣ̞i
entzute	ẽn̪ts̺ut̪e
entzute handiko	ẽ̞nts̻ut̪s̺e̞ ãn̪d̪iko
entzutea izan	ent̪s̺ut̪ e̞ãĩ̯θa
entzuten	ent̪s̺ut̪ẽ̞n
entzutetsu	entsutˈetjˈu
eozeno	t̪eosẽn̪o
epai	epai
epaiketa	epajketa
epail	epaˈi
epaile	epaʝe
epaileak	epailɛak
epailearen	epai̯ljoi̯
epaimahai	epaimai
epaimahaiburu	sepaimajβ̞olo
epaimahaiko	epajmaiko
epaitegi	e̞pai̯teɣ̞i
epaitu	epajtu
epaituko	epajtuko
epaitzen	epajtsɛn
epantxu	patʲːo
epatu	eptˈu
epe	epe
epeka	ɛpɪka
epel	epel
epelarazi	eplasɛ
epeldu	epeldo
epeltasun	epelt̪as̺ũn
epemuga	epemula
eper	epɾ
eperki	epeɾki
eperkume	numeɾoperkume
eperra bere mingañetik galtzen da.	e̞pe̞ra beɾe mĩn̪ɣ̞ane̞t̪ik galt̪s̻en d̪a
epidemia	epid̪emja
epifania	epifania
epigrafia	epigrafia
epigrama	epiɣ̞ɾama
epika	ɛpika
epiko	epiko
epilepsia	epilɛpʃɪa
epileptiko	epileptiko
episodiko	episˈoðiko
epistemologia	epist̪emoloɣ̞ja
epistola	epist̪ola
epitafio	epitaθjo
epitelio	epitalio
epiteto	epit̪et̪o
epizentro	epiθentro
epopeia	epopeia
epotx	epot̪x
epoxido	epoksidɔ
era	ˈeɾa
erabaki	eɾaβ̞aaki
erabakia	ɾɛaːbakja
erabakiarazi	eɾaβ̞akjaɾaθi
erabakiaz	eɾaβ̞akias
erabakigarri	eɾaβ̞akiɣ̞ari
erabakigune	eɾaβ̞akjɣ̞une
erabakiko	ɛɾabaiiko
erabakior	ˈeɾabˌakjoɾ
erabakitzen	eɾapakit̪z̺en
erabakizun	ɦɑtʃubakis̻u
erabat	ɛɾabãn
erabateko	ɛlabatjko
erabateko iraultza	eɾa bat̪eko iɾaut̪s̺a
eraberritu	eɾaβ̞eɾɾit̪u
eraberrituko	eɾabeɾɾituko
eraberritzaile	eɾabẽɾɾit̪s̺aʎe
eraberritze	eɾaβ̞eɾit̪s̺e
eraberritzen	eɾabeɾɾit̪s̻e̞n
erabide	eɾabiðe
erabilaldi	eɾaβ̞iʝalð̞i
erabilbide	eɾaβ̞ilβ̞ið̞ek
erabilera	eɾaβ̞iʝeɾa
erabilerraz	ˈeɾabjjˈeɾɾas
erabilgaitz	peɾabiʝeɣ̞at̪s
erabilgarri	eɾaβ̞jlɣ̞aɾɾi
erabilgarritasun	eɾabilɣ̞arit̪as̺u
erabili	eɾaβ̞jʝ
erabiliko	eɾaβ̞iliko̞
erabilpen	eɾaβ̞ispen
erabiltzaile	eɾaβ̞jlt̪s̺aʝe
erabiltzaile izena ahaztu dut	eɾabiz̺alẽ is̻ena as̺tu d̪ut̪
erabiltzen	eɾaβ̞ilsẽn
eradoski	eɾad̪oski
eraendu	eɾaeld̪u
eraentza	eɾaent̪s̻a
eragabe	eɾaɣ̞abeɾ
eragabekeria	eɾagabekeɾia
eragabeki	eɾaɣ̞aβ̞ekj
eragaitz	ɛɾagˈaɪt
eragiketa	eɾaɣ̞ike̞t̪a
eragiketa bati buruzko galdera bat dut	eɾaɣ̞iket̪a bat̪i buɾus̻ko ɣ̞ale̞ɾa bat̪ d̪ut̪
eragiketa honegatik ordaindu behar al dut?	eɾaɣ̞ik e̞t̪a ona eɣ̞at̪ik o̞rð̞ãĩ̯n d̪u be̞ar al d̪ut̪
eragikor	eraɣ̞ĩn̪ko̞
eragile	ˈeɾaɣ̞wˈeʝeɾ
eragimen	eraɣ̞imẽn
eragin	eɾaɣ̞ɲ
eraginarazi	eɾakejɲaɾasi
eraginen	eɾakenẽn
eragingai	eɾaɣ̞ĩnɣ̞ai
eragingarri	ɾaɣ̞uet̪nɣ̞ari
eragingarritasun	eɾaɣ̞ĩnɣ̞aɾɾe̞t̪as̺un
eragingo	ɛɾaɣiŋgo
eraginik	daqi
eraginkor	ɛɾaɣinɣoɾ
eraginkortasun	eɾaɣ̞ikoɾt̪as̺io
eragite	eɾaɣ̞ujte
eragiten	eɾaɣ̞it̪ẽn
eragotzi	eɾaɣ̞o̞ts̺i
eragotziko	eɾaɣ̞o̞ts̺ikõ
eragozgarri	eɾaɣ̞os̪ɣ̞aɾɾi
eragozle	ˈœvʁlagˈoθdˈiʁ
eragozpen	ˈelagˈosməl
eragozpide	eɾaɣ̞o̞spið̞ek
eragozten	ked̪egos̺t̪e
erahil	ɛɾaj
erahilko	erailko
erahiltzen	eɾaiʎs̺ẽn
eraiketa	eɾai̯keta
eraiki	erajke
eraikiarazi	eɾaa
eraikidura	eɾai̯kid̪uɾa
eraikiko	erajkiko
eraikin	erajke
eraikitzaile	eɾai̯kit̪s̺aʎe
eraikitzen	erai̯kits̺en
eraikuntza	əɾaɪkˈaˈnˈsah
erail	eɾai
eraile	eɾaajɣ̞se
erailko	eraaʎkɔ
erailtzen	eɾai̠lt̪s̺ẽn
eraisgarri	eɾaizɣaɾɾi
eraispen	eɾaizpen
eraitsi	erajtʃi
eraitsiarazi	eɾaitʃiɛɾasi
eraitxi	erajtʃi
erakargarri	eɾakaɾɣ̞aɾɾi
erakarmen	eɾakaɾmẽn
erakarpen	eɾakalpen
erakarrarazi	eɾakaɾɾaɾasˈi
erakarri	eɾakareɾ
erakatsi	ɾɛɾakati
erakerpen	eɾakaɾpẽn
eraketa	eɾaket̪a
erakunde	eɾakumβ̞ek
erakundetu	eɾakumð̞et̪u
erakuntza	eɾakunt̪s̺a
erakusbide	peɾakuzbið̞e
erakusgai	eɾakuz̺gai̯
erakusgarri	eɾakuz̺kaɾɾi
erakusketa	ɛɾakulso
erakusketari	ɾakʊʃkeːtari
erakusle	e̞ɾakuz̺le
erakusleiho	eɾakuzlɛ
erakusmen	keɾakuzment̪
erakusnahi	ɾakuz̺nai̯
erakuspen	eɾakosmet̪
erakustaldi	eɾakost̪ealð̞i
erakustareto	eɾakus̺t̪aɾe̞t̪o
erakustazoka	eɾakust̪asoka
erakuste	elakust̪eɾ
erakusten	eɾakost̪eɾ
erakusterakoan	e̞ɾakus̺t̪eɾakoan
erakustoki	eɾakustʊ
erakustokia	eɾakuz̺t̪o̞kia
erakutsarazi	eɾakut̪ʃaɾa
erakutsi	ərakutqiː
erakutsiko	ɛɾakutʃiko
eraldaketa	e̞ɾald̪ake̞t̪a
eraldatu	ɛlɑːldɑtɯm
eraldatuko	eɾaeld̪et̪uko
eraldatze	elal̪d̪at̪se
eraldatzen	eɾal̪t̪at̪s̺e
eralgi	eɾaalɣ̞u
eralgiarazi	eɾaalgiɾað̞ak
eralgiko	eɾakeniko
eralgitzen	eɾaelɣ̞uit̪θe
eralki	eɾakeki
eramaile	eɾamai̯le
eramaileak	eɾamai̯lea
eraman	eɾaman
eraman nazazu erietxera mesedez	eɖa məŋnasaːs̪uː eɾiəˈtʃiɾaːn mɛkɾez̪t̪s̺
eramanarazi	eɾamanasdʒi
eramangaitz	eɾamaɴkai
eramangarri	eɾamanɣaβ̞i
eramango	eɾamando
eramankor	eɾamankoɾ
eramateko, mesedez	eɾamatẽkou mesene
eramaten	eɾamatenno
eransgarri	eɾanesgari
eranskailu	t̪eɾaneskaʝʝo
eranskari	nʊw˧ŋ˨˩lɤŋ˧˥wxŋ˥˩ʐan˧˥tɕʰi˧˥wɑŋ˧˥ʈʂuːxŋ˥˩ʐɕtʰiː˥˩ʈʂuː˧˥mɑŋ˧˥ʈʂuː˧˥tɕʰiː˨˩ʐ
eranskin	eɾaneskiŋ
eranskor	eɾanzkoɾ
erantatu	ɛɾantatu
erantau	ɛantau
erantsi	eɾansi
erantsitako	eɾãn̪t̪s̺it̪ako
erantzi	ɛɾãn̪t̪sʰi
erantzuera	eɾãn̪t̪s̺ubela
erantzuki	eɾãnts̻uki
erantzukizun	tʃarantsokisum
erantzukizuna	eɾãn̪t̪s̺ukiz̺uma
erantzule	eɾãnsuble
erantzun	ɛãn̪t̪s̺u
erantzunak	dʒuɛlgrandamag
erantzungo	eɾans̺uŋgo
erantzunik gabeko amodioa, urruntzea eta ahaztura	eɾãnts̺o̞mik gabeko amoð̞ioa eɾɾunt̪s̻ea e̞t̪a as̺ d̪uɾa
erantzunik gabeko amodioa, urruntzea eta ahaztura.	eɾants̺unik gaβ̞e̞ko amoð̞ioa urɾunts̺ea e̞t̪a as̺t̪uɾa
erantzuten	eɾãn̪t̪s̻ut̪ẽ̞n
erara	eɾaɾa
erasan	eslasãn̪t̪a
erasi	eɾasi
eraskin	eɾasˈkin
eraskor	eɾaskɔɾ
eraso	keɾas̺o
erasoaldi	eɾasolal̪t̪i
erasoka	esaksuka
erasokor	eɾasɔkɔɾ
erasorik	e̞ɾas̻oɾik
erasotzaile	eɾas̺ot̪s̺aʎe
eratako	ɛtatakˈo
eratasun	eɾat̪as̺um
eratorbide	eɾat̪oɾβ̞ið̞e
eratorpen	lat̪oɾβ̞en
eratorri	eɾat̪ori
eratu	eɾatʊ
eratxiki	eratʃiki
eratzaile	ɾat̪s̺aʝe
eratzan	eɾats̻ãn̪t̪
eratze	kẽˈɾatsʰɯ
eratzea	lae̞ɾat̪s̺ea
eratzen	eɾatsɯ
eratzi	erat̪s̺i
erauntsi	ɾaut̪s̺it̪
erauntzi	eɾauntsi
erausi	eɾaʊsi
erauzi	eɾaʊsʲi
erauzketa	eɾaos̺ket̪a
erauzpen	eɾaospẽn
erauztezin	eɾaust̪es̺ĩn
eraztun	eɾastu
eraztuna	eɾasd̪una
erbatz	ɛrbats
erbeste	peɾβ̞est̪e
erbestealdi	eɾβ̞est̪ealð̞i
erbesterapen	ɛrbẽs̺t̪e̞ɾapen
erbesteratu	ɦɛrbest̪eɾat̪u
erbestetar	erbe̞s̺t̪e̞t̪a
erbi	t̪eɾβ̞i
erbikume	ɦɾʝikume
erbinude	eɾβ̞jnjud̪e
erbioa	ɛrvjɔː
erdaindu	eɾð̞ãĩ̯nd̪u
erdaldun	eɾð̞alð̞ũn
erdaldundu	eɾð̞alð̞unð̞u
erdalzale	eɾð̞al̪t̪s̺ale
erdara	ɛrdala
erdarakada	esd̪eɾakaa
erdaratu	ɛɾðaɾatʊ
erdeinatu	esd̪epnʝat̪o
erdeinu	eɾðeɲʊ
erdera	eɾð̞eɾa
erdi	ɛrdi
erdi aro	ɛɾdialo
erdi bana	ɦɛɾð̞iβ̞ana
erdi lo	el d̪iʝo
erdi maila	peɾð̞i maʝa
erdia	ɛɾðˈia
erdialde	eɾð̞ial̪d̪e
erdibanatu	ɛɾðibaˈnato
erdibide	ɛɾðiɾide
erdibitu	əɾðibjtu
erdietsi	ãd̪iɐtʃi
erdigune	eɾðigune
erdiko	ɛɾðiko
erdilandu	eɾd̪ilãnd̪u
erdilari	ɛɾðilaɾi
erdimin	ɛʁvˈiɲi
erdipurdi	eɾð̞ipũɾð̞i
erdiratu	eɾð̞iɾat̪u
erditsu	perðitsʊ
erditu	peɾð̞it̪u
erditze	ɦɾð̞its̻ɦɦ
erdiuharte	eɾðiulate
erdiz erdi	ɛɾðiz dɛɾðik
erdizirkular	ɛɾðiθiɾkulaɾ
erdizka	eɾðska
erdu	ɛrdu
eredu	elɛdu
eredua	ɛɾɛdˈua
eredugarri	eɾed̪uɣ̞arĩn
eredugarritasun	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
eregi	eɾegi
ereiaro	eɾeiˈeɾo
erein	eɾeĩ
ereinotz	ɛrenio̞ts̺
ereintza	eɾɛntsa
ereite	erejte
eremu	ɛɾˈmu
eremutar	eɾemutaɾ
ereserki	eɖeʃeɾki
eresi	tˈɪ
eretz	ɾɛts̠
ereño	elˈeɲo
ergatibo	ɛɾʁatibo
ergel	ɛrgɛ
ergeldu	æˈrɪgːldu
ergelkeria	erɣ̞elkeɾia
ergi	ergi
ergoiena	ɛrgojɛna
eri	ɛɾɪ
eri-gaizki	ɛːɾiːgəːskiː
eri-koskor	ɛɾjˈkoosˈaɾ
erialdi	eɾiald̪i
erietxe	ɾiːetʃe
erion	erion
eriondo	eɾiondo
eritara	eɾit̪aɾa
eritasun	eɾit̪as̺um
eritegi	laeɣ̞it̪eɣ̞ĩ
eritrea	eɾit̪ɾea
eritu	eljtˈtˈo
eritzi	elitsi
erizain	erizain
erizaina	eɾis̺aɲa
erizaindegi	eɾis̺ai̯ndeɣ̞i
erizaintza	ɾɪsˈaɪˈnˈtˈɛzˈ
erizpide	erispide
erkaketa	lkak
erkalatz	ɦerk̚alat̪s̺
erkatu	ɦerkatu
erkatuko	ɛrkatʊbo
erkatz	ɾɾatʃ
erkatzen	erkʲatʃen
erkide	eɾkiðe
erkidego	eɾkiðego
erkin	eɾkin
erkindu	eɾkinð̞u
erlaitz	ərˈlɪtˈɛ
erlakume	erakome
erlamando	ɾam
erlantz	ɛɾlans
erlastarra	eɾlaseɾɾã
erlastarrak	ɾˈlast̪aɾɾak
erlastu	e̞ɾlas̺t̪u
erlategi	tʃarlat̪eɣ̞i
erlatibitate	ɛrˈlˈatibːitːo
erlatibo	ɛrˈnatiβo
erlatxoria	ɛɾlatʃoɾia
erlauntz	ɛɾlau
erlauntza	ɛrlaʊ̯ntsa
erlazaintza	ɛɾlas̺aĩŋsa
erlazio	ɾɾaθi̯o
erlazionatu	keɾelakionat̪
erlazionatuko	ɛɾɾas̻io̞natuko
erlazionatzen	eɾlˌasjonˈatsen
erle	erle
erle-hazkuntza	ɛrleaskultsa
erlea	ɛrlea
erleak	ɦɾlɛak
erlekume	erlekume
erlezain	ɾlesaïll
erlezaintza	ɦerts̺aĩ̯nts̻a
erliebe	eɾlieβe
erlijio	eɾlixio
erlijioa	ɛɾlixjwa
erlijioso	ɛɾlixjɛs
erlijiozko	ɾli
erlikia	ergliki
erlisione	eɾlisjõŋe
erloju	ɛɾlɔʎo
erloju-denda	eɾɾoʝwð̞e
erloju-konpontzaile	esɾoiʝukõn̪põn̪t̪saʝet̪
erloju-saltzaile	ɦeɾlojʊsɑŋsai̯lɛ
erlojua	ɦerloːxua
erlojugile	ɛrroːˈʎugɪʎi
erlojugintza	ɛɾlɔɛuginˈtˈɛ
erlojulari	ɛɾlojulaj
erlojutegi	ɛɾɾoiudɛ
ermita	ð̞eɾmit̪a
ermitatxo	eɾmit̪at̪ʃo
ermitau	ɛrmitau
ermua	ɛrmɔ
ernaberritu	ɛɣ̞naβ̞eɾitʊ
ernaberrituko	ɾnabẽrɾit̪u
ernaberritzen	ɾnabeɾɾit̪s̻e̞n
ernagarri	ɾnaɣ̞aɾɾi
ernai	eɾnaj
ernai egon	eɾnaʝeɣ̞o
ernal-hazi	eɾnaʝasi
ernalarazi	eɾnalat̪s̺i
ernalaraziko	eɾnalaɾasiko
ernalarazten	eɾnalaɾast̪e
ernaldu	eɾnal̪d̪u
ernalduko	ɛɾnalðuko
ernalketa	ɾɾnalket̪a
ernalki	ɛɾnoki
ernalkin	eɾnalkin
ernalkuntza	ɾnalkunt̪s̺a
ernaltzen	ɾnalsen
ernamuin	ɾanamwi
ernarazi	t̪eɾnaɾasi
ernari	ɾnaɾi
ernatu	ãmbpeɾnat̪u
erne	ernɛ
ernearazi	erne̞aɾat
ernegarazi	lˈɛstɔʁˈ
ernegatu	ɾeneɣ̞at̪u
ernegatuko	ɛɾneɣatuko
ernegatzen	ɾneʁʁʲatsɛn
ernegazio	ɛʁnɛʁasio̞
ernegu	ɛrneɣʊ
ernetasun	ɦɛrnetas̺um
ero	eɾo
eroakizun	eɾoakism
eroale	eɾoaˈle
eroan	eɾoãn̪
eroapen	eɾoapẽn
erogarri	eɾoɣ̞aɾɾi
erokeria	eɾokeɾia
eromen	eɾomen
erori	erɔɾi
erorialdi	eɾoɾiald̪i
eroriko	eɾoɾjco
eroritasun	eɾoɾikas̺u
erortze	tʃaroɫd̪sẽ
erortzen	erortsen
erosgai	eɾosgajs
erosi	eɾasi
erosle	ɛɾɔsle
erosokeria	eɾosʊkeɾia
erosotasun	eɾossɔt̪ɑːsˈun
erosotasuna	iruʃo̞t̪as̺uma
erosotu	eɾos̺otu
erospen	eɾos̺pen
erosta	eɾosta
erosteko	ɛɾɔsˈtɛkɔ
erotu	peɾotːu
erpin	tʃorko
erpuru	ˈestepuɾˈu
errabero	ɾaβ̞eɾo
errabia	eraβ̞ia
errabiniko	ɛraːmɪniko
errabino	ɾaβino
erraboil	eraβ̞oi
erraboilkara	ɛraβoiʎkaɾa
erradikal	ɾɾð̞jt̪al
erradikula	ɾaβ̞ikula
erradiologia	elɾɾaðioloɣ̞wia
erradiologo	ɾað̞ioloɣ̞o
errai	efˈɛlˈ
errail	erɾɾl
erraile	eraie
errailtzain	ərɾai̯lt̪s̺ai̯m
errain	erãĩ̯nʝ
errainu	ɾaɲo
erralde	erale
erraldoi	ɛrˈɑlɔj
erramazko	eramasko
erramu	erramu
erramu-egun	eramoe̞ɣ̞ũn
erran	ɾɾãn
erran-nahi	ɾanaj
erranairu	ɾanãĩ̯ɾu
erranka	erãn̟θaɾ
errari	eraɾi
errasketa	ɛrɾas̻keta
errateko	erɾateko
erratu	ɛrˈatul
erratz	ratʃ
erratzu	eratso
errausketa	ɦeraʔketa
erraustu	ɛrɛʊstu
errauts	eɾɾaut̪s
erraz	eras
erraztasun	ærˈɾˈɛstæˈeˈʃon
erraztatu	erastatu
errazuriz	ɾɾzɾɾiz
erre	r
erreakzionatu	ereaktsionatu
erreala	ɾɾ
errealitate	esɾealit̪at̪e
errebelde	ɾeβ̞eld̪e
erreberberazio	ɛrɛbeɾβeɾakio
erreboilo	ɛrreboʎo
erreboltari	ɾeβ̞ol̪t̪aɾi
errebultsibo	ɛrɛtmʊtʃibo
erredentzio	ɾð̞ẽn̪sio
erreduktore	edʊktore
errefau	t̪eɾɨt̪hẽɾ
erreferendum	ʝefeɾẽn̪om
erreferente	esɾefeɾẽn̪t̪e
erreferentzia	tɤ˧˥lbɤa˥˧
erreflexio	ɾɛflɛsio
erreflexu	eɾɾefleɣ̞siu
errefus	erefus
errefusatu	ɛrɾenfusatu
erregai	ereɣai
erregailu	ɾɣ̞aʝum
errege	ɛrɾɛɣ̞ue
errege barri, lege barri	eɾɾegue bãn ɾi leɣ̞ue bãn ɾi
erregeak	ɾɛvjak
erregina	ɛrɛɣ̞unha
erregina-jele	ẽɾɾeɣ̞ĩn̪naʎe̞le
erreguladore	e̞ɾre̞ɣ̞ulað̞o̞ɾe
erregutu	ɾɾɛɣ̞ut̪u
errei	areɪ
erreinu	rˈeɲˈo
errejidore	eɾaxið̞oɾe
erreka	ɾɾˈeka
errekaitatu	erɾekaitatu
errekalde	ərɾekalð̞e
errekaleor	ɛjχɛkɑlɛjɔk
errekaratu	erɾekaɾat̪u
errekargu	ɾekaɾgo
errekarri	ɾekari
errekasto	erikasto
errekatxindorra	e̞rɾekatʃĩn̪d̪oɾɾa
errekeritu	ɛrɛkeɾitu
erreklama	areklama
erreko	rɛko
errekontru	eɾɾekontru
errekontxo	eɾɾekontsʊ
errekuntza	erɾekunt̪s̺a
erremate	eremate
errementari	errement̪aɾi
errementaritza	ɛrɾɛmentaɾitsa
errementeria	e̞rrement̪eɾea
erreminta	erɾeminta
erremusina	ərɾemʊsjɲɐm
erren	r
errena lasterkariari nola ibili erakusten	erɣ̞ena al̪d̪as̻t̪e̞r kaɾiaɾi no̞la iβ̞ili eɾak us̺t̪ẽ̞n
errenka	ɛrɛnka
errenkada	ɾɾˈɛnˈkadaɾ
errenta	ɾɾˈɛnta
errenteria	ɛrɾentɛɾia
errenteriako madalenak	ɛrɾentɛɾiakoma dɑ lena
errenteriarra	ɾɾent̪eɾiarɾa
erreparo	ɾepaɾo
errepasatu	ɛpɑsatu
errepertorio	ɾɾepɾtoɾio
errepide	repide
errepikatu	ɛrɛbikat̪u
erreportxatu	ɛrɛpɔɾtsatʊ
errepresaliatuak	e̞re̞pɾes̺aliat̪uak
errepresio	eɾepɾesio
errepresioa	erɾepresiɔla
errepublika	ɾɾepuβ̞lik
erresatu	res̺ɣ̞ɾa
erreseina	eɾɾasẽn̪ʝa
erreserba egin al dezakegu?	e̞t̪rez̺eɾba eɣ̞ĩn al d̪es̻ake gu
erreserba egina dut	e̞ɾres̺e̞rma eɣ̞ĩn̪a d̪ut̪
erreserbarik beharrezkoa al da?	ɾẽs̺ẽrβ̞at̪ik bẽrɾẽz̻ko al̪d̪a
erresinola	ˈjaxˈajʃaɪnjˈulˈa
erresistentzia	aɾesistensia
errespetagarri	ɦeres̺pẽt̪aɣ̞aɾɾi
errespetu	eres̺pɾes̺pẽt̪u
erresuma	eresuma
erresuma batua	ɛrɛsɔma batua
erreten	aɣo̞ta
erretikulatu	eɾre̞tikulatu
erretilu	ɛɾɛtjllʊ
erretina	ɛrːetjna
erretira	eɾɾet̪iɾa
erretiratu	ərɾet̪s̺iɾat̪u
erretreta	eɾɾetɾeta
erretximenta	ˈeɣətʃmɛntɑ
erretxin	rg̊j
erretxina	ret̪iɲo
erretxindu	eretʃindu
erretze	ɛɾɾɛtˈse
erretzen	ærɾetsæn
erretzen da	ɾets̺ɛnd̪a
erretzen du	ɾɛtˈen dˈu
errezale	erɾesale
errezel	ɾɛtsɛn
errezelo	rsˈelo
errezetarik behar al dut?	e̞ɾres̻et̪aɾik be̞ɦar dʒal d̪ut̪
errezu	eresel
errezulo	eresresulo
erriatu	ɾiatu
erribera	ɾiβ̞eɾa
erriberabeitia	eribeɾaβ̞elt̪ia
erriberatar	ɛriːbeɾat̪aɾl
errientsa	riːɛntsa
errieta	rʲeta
