12345678910	jɯ˨˩˦ tsan˥˩sɯ˥˥ ntɕʰi˨˩˦ pɑk˥˥iu˨˦ʂan˥˩
我的爱人就是你	uɔ˨˩˦ tɤ˧˥aɪ˥˥ ʐən˧˥tɕjɛ˥˩ʂɚ˥˩ʂɚ˥˩ni˨˩˦
我等	nɔːtom
戚	tɕʰi˥˩
戥子	ten˨˩ts˨
戰爭	tensem
戴	tai˨˦
戶口簿	tɔ ke˥˩ːl po˨˩˦
房	fou˥
房子	fɑŋ˥˥tsɯ˧
房间	fɔːŋ˥˧kan˨˩
手套子	ɕi˨˩˦ tʰan˨˩˦ʰtsɯ˥˩
手捏子	ɕiu˨˩n˥˥iek˥˥tsɯ˧
手术	ɕʂŋ˨˩˦sum˨˩˦
手術	ɕiu˨˩˦
扎	tsa
打夜作	ta˨˩˦ja˥˧tsok˨
打寒噤	ta˨˩˦fɔ˥˥ ntɕĩŋ˥˥
打斜	ta˥˥
打脾寒	ta˥˥pʰi˥˧ hɔːn˧
打臊哇里	naaːsaːɔ
打醮	ta˨˦tɕiɔ˥˧au˧˧
扤	u
扬子江	ioŋ˨˦tsit˦ koŋ˥˥
扯	tsaɪ˥˥
扯卵谈	tɕʰʰlɔːnkʰan
扯锯	tsʰa˨˩ke˥˥
扯霍	tfɑ˥
扳罾	paːn˩˩˦jn˥
把	pa˥˥
抐	nen
抓时	tsa˥˧˥ɕi˥˧
投	hˈɛl
投降	tʰeu˧˧
抖文	te˨˦win˥˥
折面子	sɛmiəns
抚州	futʃum
抚州门	hu˨˩ tɕiu˥˧mən˥˧
抚广片	ʂu˥˩kwɑŋ˥˩pʰjɛn˥˥
抚河	fu˥˥
报	tɑu˥˥
抧	tsɯ˧˥
披萨饼	pi˥˧sã˥˥pʰi˨˩aŋ˨˩
抱	hau˥˥
抲	kɑː
抹澡	moktsau
抻	tən˥˩
抻扯	tsɤ˥˩ŋ˥˩tsa˥˥
拉脱维亚语	la˥˥ kɤ˥˩ n˥˩a˧˥ny˨˩˦
拌命	pʰa˥˥meŋ˨˩
拍馬屁	pˌɐmˈɐˈpˈi
拍马屁	pʰaɪ˥˥ma˥˩pʰi˨˩˦
拖板子	tʰoʊ˥˩pan˨˩˦tsɯ˧
拖鞋	tʰɔ˨˦hɐi˥˧
拗戾	ɲawljɛ
拘礼	tʰy˥˩ li˨˩˦
拣脚走	k̚˦˥aːn˩˩˦k̚˦˥ʔɛk̚˦˥ʔw˧˥
拣菜	kã˥˥satʰ˥
择	tsʰa
括	kʰua˥˥
挂	la
挂记	kua˥˥tsi˨
指	ki
指南针	znatʃn
指甲篷	tsok˨ka˥˥ poŋ˨˦
挏捶	tʊŋ˨˩˦fɤ˧˧
挦	tsiən˨˩˦
捕	nɔ̃
捩	t̚˥˩
捩干	lˈiɐkkoʊj˧
捺	nˈe
捺钉	plakthiam
掇	tˈɑːt
接风洗尘	tsiak˨˩fʊŋ˨˩si˧˧ tɕĩŋ˨˩
揀拾	sɐt̚˥
揇	lˈɔn
揎	siua˥˧ i˥˩
揚	ljoŋ˨˩
換	wən˥˧
揩面	tʰaɪ˥˥mjɛn˨˩˦
揪酸	tɕiu˥˧suən˥˧
揭	tɕʰe˨˩˦
搁	kˈa
搂	lɛɔ
搂摗	luː˧sɛːw˧
搉	kˈɔ
搞卵	kau˧˧lɔːj˨˩
摑	kwˈak
撥	pwˈʌt
撮箕	tsʰɔːkk
撮簸子	tsʰɔ̙ pɔtsɯ
擉	tsa
擘开	pakaj
擴	kʰeʁ
攎	lˈɔ̃
攒	san
支微	tsɯ˥˩weɪ˥˩
支持	tsɯ˥˩ʂɚ˥˩
支那	tira
收嚇	siju˥˩a˥˧k
收脚迹子	ɕi˥˩ u˨˩˦ tɕjɑ˥˩ tsɯ˧
敖	nˈaʊ
敗	hˈeɪ
教室	kaːu˧˥sɐt̚˨
教育	kɐu˥˥
敥	jɛn
敨	tʰeu
敨凉	tʰɛːw˧˧liõŋ˨˩
数	su˨˩˦
数学	sˌuːhˈok
文化大革命	uən˧˧ faː˧ dʰaːi˨˦ keak˥ mian˥˧
文学	wŋ˥kʰk̚˥˩
文浩	uən˧˥xɑʊ˥˩
文章节义	wŋ˨˩sʊŋ˨˩tsiat˥˥nei˧˧
斐济语	feɪ˧˥ʈʂi˥˥y˥˩
斗	teu
斗霸	tʰeu˧˧paː˧
斗风	teefum
斜	tɕʰa˥˥
斜上	tɕja˥˥sɔ˥˧
断夜边	tʰŋ˨˩˦ja˥˧ pjɛn˨˩˦
新余	ɕɪŋ˨˩˦y˥˩
新型冠状病毒	sən˥˥sɪŋ˧˥ wan˧˥tsʰoʊ˥˥ pʰiã˨˩an˧˥tʰu˥˩
新妇	tɕʰi˥˩fɑŋ˥˥
新娘子	ɕin˨˩li˥˥tsɯ˧
新婦	fɤˈuˈɛ
新年快乐	seni˨˩pal˨˩ɔ˧
新郎官	sin˨˩ loŋ˨˦ kan˥˥
方	fɔː
於	mh
施	tɕi˥˩
施肩吾	si˥˧tɕjɛ˥˥e˨˦
旋	tʃoɪ
族	tsu
族群中心主义	tsʰu˨˩˦n˥˥ʈʂu˥˩ ʂɪn˥˥tɕy˧˥ li˨˩˦
无	mh
无常鬼	pʰu˥˥sŋ˥˥kʰi˨˩˦
日	ni
日上	ni sɔŋ
日头	njɛ̀ːt˥ʰau˧˧
日子	nˈɛ
日本	ʐapən˨˩
日本国	niːtan˧kok˨
日本國	koŋsɑsɯp˥
日间	nˈikːan
旧年	tɕʰjoʊ˨˩˦n
早先	sian˨˩
早已	tso˨˩ i˨˩˦
早晨	tsaːŋ˨˦sin˥˥
早间	tsau̯ka
早饭	tsa˨˩ha˧˥
时候	sɯ˥˥ɛ˧˥
时间	sǯ˧˥ kən˨˩˦
旺	jɔːn
明	mioŋ
明年	mjãŋ˥˥n
明日	mian˨˩ɲ˩
明朝	n˩˩˦iaŋ˨˩ta˥˩
星	ˈɛɹ
映龙灯	j˧áŋ˧lʊŋkɛ̀˥ŋ˦˥
昨	tsa
是	ɕi˥˩
昼饭	tsi˨˩ u˥˧fian˨˩
時	sɯ̞
晉	tɕĩn˨˩
晏	nan
晒楼子	sa˥˩liau˨˩˦tsɯ˨˩˦
晓得	dʒoɾak
晚上	wan˨˩˦tsɔːŋ˥˥
普贤寺	tʰoʊ˧˥ɕjɛn˥˥tsɯ˧
景	tiaŋ˨˦
景德鎭	kĩ˧˥ tɤ˧˥ tsən˨˩˦
景德镇	dʒɨndæːtsɪn
景致	tɕĩŋ˨˩˦tsɯ˥˥
晴天	siaŋ˨˦tʰjɛn˨˩
智恒	tsɯ˥˩ hɛn˨˩˦
暂	san
暎	jɛːŋ˨˩˦
暎牛	jɛːŋ˧˥niaw˧˧
暗	ŋɔːn
暢	tsoŋ˨˩
曲	kjoɾ
曲礼八俩	tʃuɾi pˌaˈɾiˈɑ
更	tian˨˦
曹	tˈɪl
曾	tsɪ̞
最	dzəj
月	nʲa
月亮	iɔto
月光	ni˥˩wa˥˥ kua˥˥
月震	n˪ut˦tsĩŋ˨˩
月餅	nˈo pˈjˈa
月饼	ljoʊ˨˩˦pjaŋ˨˩˦
有	u
朋友	pʰɪŋ˨˩˦
望云门	mɑŋ˨˩˦ ɪŋ˧˥mɤn˧˥
望仙门	mɑŋ˧˥
朝贡制度	tsʰjɛ˨˩˦w˧˥kʊŋ˥˥tsɯ˥˥ tʰu˧˥
朝鲜	tsʰau˨˦ɕjɛn˨˩
木	lɔː
末子	mɔktsɨ
朱	tɕy˥˥
朱庆余	tʰy˨˩˦ tɕʰi˧˥y˥˩
机场	tsi˥˧tsʊŋ˨˩˦
杀火	fˈɔ
杀青	sat˦tsʰiaŋ˥˥
杂	tsa
杌子	wɒtsɒ
李家渡	lidʒa˥˧
李尚禹	li˨˩˦sʊŋ˥˩y˧˧
李忱	i˥˧
李渡	ti˥˩
李绅	li˨˩˦ sin˩˥
李贺	lˈiho
杏子	ɕi˥˥tsɯ˧
杏花	hæŋˈfɑː
杏花楼	sin˥˥ fa˨˦leʔ˨
杜	tˈoʊ
杜牧	tɔmˌu
来	lɛ
杨千嬅	ioŋ˨˩ tsʰie˥˧ i˥˧
杨绛	jʌŋ˨˩˦kɔːŋ˧˧
杭州	xuən˧˥tsɤ˥˥
東莞	tʊŋ˥˥uən˧˥
松	tʃũŋ˨˩˦hŋ˥
松毛	tiu˨˩mau˥˥
松江区	suŋ˥˥kɔ˥˥ tɕy˥˩
板栗	paːn˩˩˦lɤ˥˩
极权主义	tɕit˦tsʰuaŋ˨˩ tɕy˧˥ni˨˩
林	tiːn
枝	tɕi˥˩
枣子	tsɑŋ˥˩tsɯ˨˩˦
柏	bɪ̞
柏木	pˈɛmmʊ
柘叶	saːiː
柚子	jeu̯zɯ
查	tza˥˧
柯	kʰɤ˥˩
柱头	tɕʰyː˨ tʰau˧˧
柳	dˈiʊ
柴	sai˥˧
柿	si˥˩
栎栎	liak lak
栏杆	lan˨˦ koʔ˨an˨˦
树	y
树杪子	ɕy˨˩˦ mjɛ˥˩ tsɯ˨
栗	ti
样什	jʊŋ˨˩˦sin˥˧
核	wɒt
核桃	ɦɛtaːʊ
根	pien
根本	tjˈɛ̃pən˨˩
格	ka
格子	kaktsɯ
格物致知	tua˧˧tsi˨˩
栽	tsaɪ˥˩
桂	kwˈe
桂花	kʰue˧˧i˧˧faː˧˧
桃子	tʰaʊ˨˩˦tsɯ˥˩
桃花	tˈa ˈɹɔfə
桑	sɑŋ˥˥
桑枣子	sɑŋ˥˩tsa˨˩˦u˨˩˦tsɯ˥˩
梁	lioŋ˨˩
梅	mˈɛ
梅子	mitsɯ
梅岭	mi˥˧liãŋ˨˦
梅汝璈	mi˥˩ lu˥˩haː˥˨
梅花	mi˥˧ fa˨˩˦
梗	tjɛn˨˩˦
梗子	kwan˥˥tsɯ˧
梦山石室	mɔ̃˨sã˥˥sak˨ sə˥˩
梨	fˈɛ
检	tɕjɛn˨˩˦
棉花	mian˨˩fa˥˥
森	fˈɛn
棺	tsiŋ˥˧an˥˧
棺材	kuan˥˥sai˥˧
植	tsa
楔	ɕjɛt
楚	tsu˥˩
楼梯	lɛːʊ˨˩ diː˧
樂	lɔ
樊	fan˨˩
樟树	sɔːŋ˥˥ɕyː˧
横	wɔ˥˥
横直	aŋ˨˦ tɕʰit˦
樱桃	jinda˥˩
橘子	tɕʰy˨˩˦ ʈʂɤ˨˩˦
橡皮擦子	sœ˧˥ ŋ˨˩˦pi˧˧tsʰak˨tsɯ˨˩˦
橫直	wɔːŋ
橱	ʃiː
檐老鼠	jian˨˩˦ lɑŋ˨˩˦ ʰ
櫼	tɕjɛ˨˩˦
欒	lɔ
欛碗	pa˥˥wan˨˦
欧洲联盟	niau˨˩tɕiu˨˩liaŋ˧˧mian˥˥
欲望	n˩˩˦ukmaː˧ŋ˨˩
歌	kɔː
歐	njuː
歐陽	n˧jɛ˥˥
正	san˩
正月初一	tsiŋ˨˩˦ljɛn˨˩˦ ts˥u˨˩˦
步	poo
武	u
武汉加油	u˨˩˦ aŋ˨˩˦ka˥˥
武漢	u˥˩xɑŋ˧˥
武漢加油	u˨˩hɑŋ˥˥kɑ˥˥li˥˩u˥˩
歷史	lɪsˌtʃˈ
段	tʰɔ̀ŋ˨˩˦
殷	iːn
毃	kok
母	mˈɔ̃
母妗	mˈuːtʃi
母羊	mʊ˨˩˦ jɔːŋ˧˥
母舅	mutsʲo
母马	muːŋ˧˥maː˧˥
母驴	mu li
母鸡	m˨˩˦uː˩˦tɕiː˥˥
比	i˥˩
毛	mau̯
毛栗子	mau˥˥li˨˩˦tsɯ˧
毛泽东	mau˥˧tsʰæ˨˩tuən˥˩
毛线衣	màu̯˨˩sĩ˥˩ isoŋ˨˩˦
毫秒	au̯miːu
民	mɪn
民主主义	mɪn˧˥tɕy˧˥tɕy˧˥neɪ˥˩
民族主义	mĩŋ˨˩˦tsy˥˩ tɕy˥˥ni˨˩˦
民船	hŋ˥˥sɔ̄ːn˥˥
气味	tʰi˥˥ wi˨˩˦
气逼	tɕʰi˨˦ pit˦
氟	ba
氧	ioŋ˨˦
氬	na
氯	ljuː
水	sũy˧˧
水果	se˨˩kɔ˨
水煠饭	suːjˈzatːfan˨˩˦
水观音亭	si˨˩ tʃin˥˥ in˥˥
氽	tɕʰɛːm˨˩˦
汁	tçˈi
汁豆豉	tʰiː˥˨ tʰeu˨˩˦ sĩ˥˩
汉奸	ho˥˥an˨˦ kan˥˥
汉字	onʒi
汗国	ɔːŋ
汗褂子	hɤŋ˨˩˦kwa˥˥tsɯ˥˥
汞	kŋ˥˥
江	kɔ˥˥
江南	koːˈnɑː
江右	kɔːŋˈʎiŋ
江河	koŋ˥˥hɔ˨˩˦
江泽民	koːˈnaːs mɪn
江西	kɔ˥˥sit˦
江西话	koŋ˨˩siu˨˩a˥˧
江陽	kɔːŋ˧˥
池	tɕʰi˧˥
汤	tɔːŋ
汤圆	tʰʊŋ˨˩˦ɥœn˨˩˦
汪	wɔːŋ˧˥
汽划子	tɕʰi˨˩˦ fa˥˥tsɤ˨˩˦
汽車	tɕʰi˥˥tsʰa˥˥
汽车	t̚˨˩saː
沈	sen
沉	tən˧˥
沉默	tɛ˧˥
沕水	mise
沙	saː
没	mˈə
沰	tˈo
油	juː
治	t˥i˥˩
沿	ɪeːn
泉州	tʃœn˨˩˦
法兰西	fǎk̚˨˩laːn˩˩˦tɕʰiː˩˩˦
法国	fɛkːwˈˈɛt
法國	fakwˈeɾ
法蘭西	fǎ˨˩lan˧˥si˥˩
泡圆	tʰaŋ˨˩jɔːn˥˧
泥巴	ni˨˩˦ pa˨˩˦
泽	tsa
洋油	ljoŋ˨˩ jɛ˥˥
洋火	jɔːn˧˥fuː˨
洋碱	jʊŋ˨˩kʰan˥˩
洋芋头	jũ˨˩ tʰɛːŋ˨˩
洞	tʰʊŋ
洪	fun˥˥
洪崖丹井	fŋ˥˥la˥˧to˥˩n˧tsiŋ˨˦
洪州	fum˥˥tsiu˨˩
测字	tɕʰɤ˥˩ tsʰɯ˥˩
浓郁	lũŋ˨˩ lɯək˨˩
涎围子	jts
涯	ngaj
深圳	sinjin˨˩
淹	jen
清司蛮早	tʰiŋ˥˥se˥˩ man˥˥tsaʊ˨˩˦
清早	tɕʰi˥˥tsaːo˨˩
清汤	tsʰi˥˧n˥˩
清真	tsʰin˥˥tsin˥˥
清粥	tsiaŋ˨˩tsuk˨
渔网	lˈʌvɚ
渠	tɕjɛ˥˥
渠人舊年就过了	ke˥˥nɕĩn˨˩tsʰiŋ˥˧nian˧˧tsuko˥˧ari˧˧
渠做事好杀青	tɕjɛn˥˥tsɯ˥˩ʂɚ˥˩ kɑʊ˥˥sat˦ tɕʰjɑŋ˨˩˦
渡船	tʰu˨˩sõ˥˧n
渣	san
温庭筠	ua̯n˧˧tiː˧ən˧
湖北	fɔ˥˥
湖南	fɔːlɔn
湖南卫视	fou˧˥lɑŋ˧˥ ɕ
湘语	sy˥˩ oʊ˥˩ŋ˥˥njy˨˩˦
湯圓	tʰɤŋ˨˩˦ jon˥˧
溫	wˈʌn
溴	ɕjʊŋ˥˥
滑	bat̪
滕	tɛn
滕王阁	tʰiən˧˧
滾	kuːn˧˧
漢	hɔːn
漢人	hɔːn˥˩ɕiːn˨˩
漫畫	n˩˩˦aː˧l˧fʔ
潘	pɔːn
潮王洲	tsʰau˨˩jon˥˧ tʃiu˥˧
潲水子	sɑʊ˥˥su˥˩i˨˩˦tsɯ˧
潽	hˈu
澹台门	toŋ˨˦la˥˧mən˥˧
濞	mi˥˩
濟南	tioo˧˧
濩	po
瀋陽	seɪˈn jɔːn
瀺	y
灒	san˩
灣	wˈʌn
火车	fou˥˧tsʰa˥˥
火车站	tsiaʈʂan˥˥
灰面	fuja
灵应桥	lĩŋ˨˩n˥˥tɕie˥˧
灵长类动物学	lĩ˥˧ tsʰaŋ˨˩li˨˩ tʰʰŋ˥˥ la˥˥ hɑ˥˥
灶屋	sẽ˨˩ke˨˩mɤ˧
灶蚂子	tsa˥˥ ma˨˩˦tsɯ˨˩˦
灾	tsaɪ˥˥
炆肉	uˈɛnjˌul
点心	tʰiã˨˩sin˥˥
烊雪	jʌŋɕjɒp
烏龜	uhueueue
烧	sɛl
烧包	sˈɛl pˈaʊ
热	jˈɛ
無錫	uɔ˧˥
焦	kau˥˥
焦干	tsiau˥˧ kon˥˥
焼	sɛu
煙台	jɛnde
煨	w
煪	tʃeo
熊	siũ˧˧
熬	nˈoʊ
熰	nˈoʊ
燒	fˈɛu
燕	jˈɛm
燕子	jɛn˨˩˦tsɯ
爆竹	ɑuzʊm
爪子	sa˥˩ tsɯ˥˩
爱	ne
爱国主义	lai˨˦kuek˥˥ tʃy˨˦ni˨˦
爱尔兰语	nɤ˨˩˦laŋ˨˩˦ njɛ˧˥
爷	dˌiːzə
爸	pa
爹	tia˥˧
爹爹	tea˥˧ka˥˧
牚	tsən˧˧
牛	nˈeo
牛婆	niaw˧˥pʰa˨˩
牛崽子	neu˨˩˦tsɯ˧
牛牯	niau˥˧ku˨˦
牟	mˈɛ̃
物理	wɛlɛ
物理学	wa˦˥li˧˥xɔːk˥
特是	tɛs˥
特朗普	tʰjɛn˨˩˦lɑŋ˨˩˦vua˥˩
狐狸	fuli
狗	kiau˨˩
狗公	kiau˥˧kuŋ˥˧
狗嗥	ke ælˈt˦o
狗婆	kiaʊ˨˩ mɔ˧˥
狭窄	aːtʃe
狮子	ʂɚ˥˩
狼	lɔːŋ˧
狼秆	lɔːŋ˧˥kɔːn˧
猪	tˈu
猪叶子	tɕy˥˩ i˥˩aʈʂɚ˨˩˦tsɯ˧
猪婆	tɕy˥˩ pʰau˧˧
猪招财	tue˥˧tsiau˨˩tsai˧˧
猪油	tɕy˥˥
猪牯	tɕi˥˩ku˨˩˦
猪肉	tʃi˥˩njoʊ˥˩
猪血	tɕy˥˩ɕjɑʊ˥˩
猪顺风	tɕy˥˩ sən˨˩˦fʊ˥˩
猫儿	mauː
猫公	maaaw
猫婆	maːw˧pʰaː
猫狗	miel giel
獎	tɕjɛːŋ˨˩˦
玉	ljˈu
玉米	ny˨˩˦mi˥˩
王建	wɔːŋ˧˥tɕjɛn˨˩
王涯	wɔːŋaː
玩	ŋɔː˧˥wãn˥˥
环保主义	wan˥˥pa˨˩˦ tɕy˨˩˦ni˨˩˦
现	ɕjɛ˥˥
现世	ɕjɛn˨˩˦sɯ˥˥
现在	sian˥˧tsʰai˨˦
现在停電了	sian˨˩tsʰai˥˥tʰĩ˧˧ tʰiən˨˩˦ ka˥˥
现洋	ɕjɛn˨˩˦jɔːŋ˥˥
現	tɕʰian˨˩
現在	ɕjɛn˨˩˦sai˥˩
理论	lˈiɭən
瑞金	jyɛjdʒin
瑶湖	jɛu˨˩
瓜	kua˥˥
瓢羹	pekin
瓣	pɔːn
瓯子	mjˈau̯ts
瓶桶	pʰiãŋ˨˩ tʰʊŋ˨˩
甄	tʃɪn
甏	kʰaːn
甑	tsaŋ˨˩˦
甘	kɔːn
甘蔗	kon˥˥tsa˥˧
生姜	sadʒo
生物学	seŋ˨˩wɔː˥hɔːk˥
田	tʰjɛn˨˩˦
田塍	tʰiã˨˩en˧˧ sin˥˥
田野考察	tʰjɛn˧˥ɑ˨˩˦kʰa˥˥tsʰa˥˥
田雞	tʰjɛn˨˩˦tɕi˥˩
田鸡	tʰjɛn˨˩˦
申	sɪn˥˧
甴	tsʰap˦˥
甴巴子	tabatˈi
电	tɕjɛn˨˩˦
电脑语言	tʰjɛn˨˩˦la˥˧njyː˩˧n
界	kã˥˥
畜生	soksaŋ
畢	hɛt
疖癞	tsie˥˧laj˨˦
疨	a
痒	jʊŋ˨˩˦
痕	hæn
痛	punk
痠	sʊn˥˧
痣	tɕi˥˧
痨	nˈaʊ
瘸	tɕʰjɛn˨˩˦
癌	nˈaɪ
癌症	nan˨˦tsən˨˩
癞蛤蟆	n˧aː˧j˥haːmaː
發	fok
發人發財	fa˥˥tɕʰy˥˩fa˥˥tsʰaɪ˧˥
發財	fatsaj
白	pˈa
白左	pʰaʔtsua˨˦
白鹭洲书院	pʰã˨˩lu˨˩ tɕʰi˥˧ʊ˥˩ɕy˥˩ æn˥˩
白鹿洞书院	pʰi˥˧ lɔ˥ tʰʊŋ˨˩˦ ɔːj˧
百	fˈa
百花洲	pa˥˥kfa˥˥ tɕiŋ˨˩
的	dˈiːf
的街上去	ðə kai sɒnˈɛːt
皆來	kʰã˥˥lɤ˨˩˦
皆可	ka˥˥e˨˦kʰɔ˨˩
皇帝	ŋ˨˦ti˨˦
皇恩大赦	ŋ˨˩ jɛn˨˩ haː˨saː˥˥
皇殿侧	wɑŋ˨˩˦tʰi˨˩˦ən˧˥ʈʂian˥˩
皇甫松	wɔ˥˩ ʂu˨˩˦
盅子	tsuntse
盐	jɛn˨˩˦
监听	ka˥˥tiaŋ˨˩
盘费	pʰaːnfuː˧i˨˩˦
盘香	pʰa˨˩an˧˧siong˨˩
盛	sen
監廉	ka˥˥nlian˨˩
直	tɕʰit˦˥
相	fion˨˩
相像	tʃœŋ˨˩
相对主义	siuŋ˨˩tʰui˥˧jny˧˧
相片	ʂɤŋ˥˩pʰjɛn˥˥
相骂	sma
眉	mi˥˧
看	kɔːŋ˧˥
県	pʰi˥˧an˥˧
眏牛	jã˥˥n˩˩˦nɕʰau˨˦
眠梦	mian˨˩mɔːŋ˨˩
眼屎	ngan˥˥sɯ˥˥
眼毛	laːn˩˩˦m˥˩mauː˧
着	sok
着啬	sɔː sˈɛt
着嚇	tsʰaːhaːk
着急	sok˨
着累	tsʰak˨˩lɤ˨i˨˩˦
睡觉	kʰkʰ
瞌睏	kɒgquˈn
瞿	tɕʰi˧˥
知	tɕi˥˩
知单	ɕʈʂɚ˥˩tɑŋ˥˩
知己	tsɯ˥˩
知心	tsɯ˥˩ɕin˥˩
知根知底	tsɯ˥˩ tsu˥˩
知道	tsɯ˥˩ tʰɑʊ˨˩˦
短裤头子	toan˥˩ kʰu˥˥tsɯ˧
矮	naj
矮子鬼	nˈaɪts tɹˈeɪ
石	sǎ˥˥
石头	sakke
石家莊	saˈkˈatˈsˈɑ̃
石灰	sak fʊj
砚台	ni˨˦en˨˦tʰaɪ˧˥
砣	to
砸	tsa
硙磨	laj˨mɔː˧
硫	dɨeu
硬	n
碗舷	uən˥˥sian˥˥
碘	dʒe
碧	pia˥˧
確	kɔːn
磑	lai˥˩
磕头	kʰɔː˧tʰɛːw˨˩˦
磕膝头子	tʰiɛ˥˥ tʰiɛ˥˥
磨鹰	mɑ˥˥
磷	tiːn
礼步湖	li˨˩˦ pu˨˩˦fu˥˥
社会与文化人类学	sa˥˩fu˧˥i˨˩˦ wɤ˨˩˦n˥˩ fo˧˧a˥˧ li˨˩˦xɔ˨˩˦
社会主义	sã˥˥fɔ˧˥tɕy˧˥nei˨˩˦
祁	tɕʰi˥˧
祖	tʰy˨˩
祝	tty
祝賀	dʊkɔ
祝贺	tsɯ˧
禅	sen
福建	sus˦sian˥˧
禾	uɔ˥˩
禾秆	ɛ̀uɛkɑ
私塾	sɯ˥˩
秆	la
秆子	kɔ˥˥an˨˦tsɯ˥˩
科学	kɔ˥˥ɔ˧˧
科學	po˥˩
科技立国	kʰaʔ˨ tɕʰi˥˧lik˦ kʰuaː˨˩
秘书	pi˥˧ɕy˥˩
租	ʈʂɚ˥˩
秦	tɕʰin˥˥
秧	ljoŋ
程	tsan˥˥
稗子	pʰa˥˥tsɯ˥˩
稽	dʑi
穆	mˈo
窗子	zɔnˈsɛ
竇	tɛːv
立宪主义	lɪ˥˩ tʃin˥˥y˧˧ni˨˩˦
站	san
章	tsɔː
章江门	sʔŋ˨˩kɔːŋ˧mɯːn˧
童	tʰɤŋ˨˩˦
端筒	tɔ̀n˩˦tʰŋ˩˩˦
竺	tʃu˥˩
笃真	tok˨tsin˨˩
笋	sin˥˥
笑	ʃiːl
笑容	siaʊ˨˩jʊŋ˨˩
笔	vɛ
笛子	lia˥˧tsɯ˨˩˦
符	fou
等下一起吃中饭吗？	tən˨˩˦ a˨i˥˩ʂʰɕtɕja˥˥ʈʂoʊ˧˥fan˥˩mɔ˥˩
策慌打白	tsʰeː˨˩fɔːŋ˨ tɑːp˥hɑːk̚˨
策谎	tsɛːfˈfn
策谎打白	tsʰɛːfɔːŋ˧˥ta˨˩paːkʰ
箅	pʰi˥˩
箇向子	kɔ˥˥ɔ˨˦sioŋ˨˩sɯ˥˥
算命	sɔ˥˧ ħami˨˩aŋ˨˩
管	kuaŋ
箬	nˈo
範	fan˨˩
篼	tɛ˥˥au˥˧
篾匠	mi˥˧a˥˧
簟	tjɛn˨˩˦
簟子	tʰjɛn˨˩˦tsɯ˧
簡	kan˥˥
簿	v
米	mˈe
米糁子肉	mi˥˧sian˥˧tɕʰi˨˩˦lɪu˥˧
粉	fˈɛn
粑	pˈa
粟米	ɕiuːkmai˥
粤汉铁路	jokkʰon˧tʰiːa˥˧duː
粤语	jˈot nˈy
粥	tso
粽箬子	tsʰuŋ˨˩ljoʊ˥˧k˥ tsə˧˧
精	tiaŋ˨˦
精怪	siã˥˥ku˧˧a˥˧i˥˧
精肉	tsiaŋ˨˦ni˥˧w˧˥
糊羹	fu˨˩˦kɑŋ˥˥
糕	ˈaɪoʊ
糖	tŋ
糠	kʰɔ̀
糯米	lɔ˥mi˥˩
系	tɕi˥˧
紀	tɕi˥˧
紗	sau
素菜	su˥˧sai˨˩˦
索子	sˈɔtsˈ
紫	tɕi˥˧
絕	tʃe
練	tjˈɛn
繫	tɕi˥˥
红	fou˥
红谷滩	fungu daːn
纵	sõŋ
纸	tɕi˥˧
纸扎	tsɯ˨˩˦tsa˥˧
线头褂子	sian˨˦tʰioʊ˧˧kwa˥˥tsɯ˥˧
线粉	sian˥˧ fun˨˩
细人	si˧˧ nɪŋ˥˥tsɯ˧
细人子	ɕi˨˩˦ njɴ˥˥tsɯ˨
细伢子	tsi˨˩˦ tse˨˩˦
织	tse
经	tʃiːn
结棍	tʰakn
绝杀	tʃʰøːs˨˩aːt˦
绪言	tsʰi˨˩n
绳金塔	sindʒɪnda
绿	dup
缗钱	mian˨˦tɕjɛn˨˩
缝	fum
网	m˥˩
罪	tsʰe
罪恶	sɯ˥˩ no˥˩˦
罯屑	nˈɔ̃tˈsˈiˈ
罯气	nˈɔːtə
羅	lo
羊	jˈɔːŋ˨˩˦
羊崽子	jɑŋ˨˩˦tsɯ˧
美國	mˌiːzˈʊˈɛ
羹	kâŋ˥˥
翁	vˈun
翅膀	ja kɑŋ
習	ɕi
習近平	si˧˧tɕʰi˨˩˦ pʰin˨˩˦
翟	tsɛ
翼胛	jˈak kaːŋ
老师	lɑʊ˨˩˦ ʂɚ˧˥
老弟	lau˥˥
老早	lau̯tsa lau̯tsa
老爷子	lɑʊ˥˥ɑ˨˩˦tsɯ˧
老福山	la˥˥fɤk˥ saːn˥˩
老虎	lɑʊ˥˩fu˨˩˦
老蛤	laː˧˨aːw˧˧kat˦˥
老闺女	lau˨˦kwi˥˧njuː˧˥
老鸦	laːŋˈa
老鼠	laŋ˨˩ɕ
耕	kâŋ˥˥
耳机	aɣ
耳機	tɕʰi˧˥
耿	kan
职	tut˦
联系人	te˨˩ʃi˨˩lɪŋ˧˥
聯繫人	njaɕiɴ
聶	nˈe
肉	njuː˧
肏	tsʰoŋ˥˥
肺癌	fu˥˧i˨˩˦ŋan˥˥
胁夹里	sieːkali
背书	pʰi˨˩˦ ɕy˥˩
背时	pʰaɪ˨˩˦sĩ˧˥
背時	ʂɚ˥˥
背褡子	piːtatsɯ
胛下里	ka˥˥tʰa˥˥li˨˩˦
胛骨子	kakːvˈatsˈ
胛骨里	kak kwˈeˈle
胡	ʁˈu
