-abel	ɑːbəl
ellisiv	ɛllesejˈv
elsa	ˈɛlfa
else	ls
elska	alʃːa
elske	ˈɛlska
elskede	ælsgˈɾˈɑ
elskende	ˈɛlːɪskɪnˈa
elsker	hæfskɪ̞r
elskerinne	əlskrɪmmˈa
elsket	ˈɛlsgət
elskling	ˈɛlsklɪŋ
elskov	elskou
elsykkel	ɛlsɛkːil
elte	la
elte deigen	ɪltæd ɑːjɪ̯n
eltekrok	ˈɛltekɾˈuːk
eltet	ltˈeːt
elv	ɛlˈv
elvalandet	lbaloma
elveblest	ˈɛlvblˈɛst
elvebredd	ˈɛlvbrˌɛd
elvedelta	ɛlːədɛltˈɔ
elveleie	lwlɪ
elvemunning	ˈɛlvmynˌɪŋ
elverafting	ɛlveɾafte
elverum	ˈɛlvrʉm
elvesving	alvɪsvɪŋ
em	ɛːlm
em-kvalifisering	ˈeˈeɪˈɛmkvˈɑləfisˈeɪɾiŋ
emajogi	ɛmajɔʁi
emalje	ɛmːɑʎe
emaljekopp	nɛmɔːliːeːkup
emballasje	nˈəbˈɔtlˈɑːtə
emballasjen	ɛmbˈɑlˈoːkˈ
emballasjene	embalaʃna
emballasjer	təmbaːlɔːʃiːr
embedsmann	ˈɛmvˈɛtːsmˈan
embete	mbˈtˈə
embetsmann	ˈɛmˈɛbɛzmaiːn
embetsmannen	ænbætsmɑn
embetsmenn	ˈɛmbˌɛtsmən
embetsmennene	embetsmeni
embryo	ɛmbɾjʊ
embryologi	embˈrˈioloki
embryosekk	ambˈrˈiːosɛk
emelie	ɛmælæ
emil hansson	ˈɛmil hansʌn
emil hegle svendsen	jˈɛmil hˈɛgləs vˈɛnsən
emilie	ɛmiljɛ
emilie haavi	enˈilˈe hˈoːve
emilie nereng	ilˈeːa nˈɪkræŋ
emilio	emilio
emirater	əmɪratɛr
emisjon	ˈɛɾmˈɪçelˈ
emma	enˀbːa
emne	ɛmnɑ
emneknagg	ɛtnˈəklˈup
emoji	ɛmɔdʒik
emosjonell	omufunæl
empati	npɔti
empirisme	empirisma
en	kɛːm
en abdikasjon	ɛna dɪ kaʃuɫ
en abolisjon	ajnabolʲe ʃu
en adressant	ˈɛn adrɛsˈant
en adressat	ˈeːn ˈabɾɛsat
en adresse	ən adːˈɛssa
en adressebok	ˈɛn adrˈɛsə bˈuːk
en adressekalender	bɪˈɛn adrɛssɛ kalendɪr
en alder	ɪ̞jæm ɑɫdɯ̞r
en anerkjennelse	ˈɛn ˈanər kˈɛnəlsə
en annen	ən ɔn
en annen stol	æn æneɾn stˈuːr
en arbeidsgiver	ˈɛn ˈaɾbaɪtˌiːvər
en arbeidsplass	ˈɛn ˈaɾbɜtsplˌas
en arm	æn ɑrʏ̞mʏ̞
en avis	ɛna vˈeʃ
en barnehage	ˈɛn bˈɑːrnəhˌɑːgə
en bhutaner besøkte norge.	ˈɛn vˈʉtanar bəsˈøːktə nˈɔrjə
en bie	ən bˈi ˈɪlə
en bil	empil
en bilnøkkel	ˈɛn bˈiːlnøːxəl
en bonde	enpˈunda
en bredde	enbrˈata
en bror	ˈæn bɹˈuɹ
en bruker	ˈɛn brˈʉkər
en brus	ən bɹˈus
en bunt persille	ˈɛn bˈɵnt pˈɑːr sxillə
en byrådsleder	la birodslælˈlæˈɑk
en båt	ˈɛn bˈoːt
en bøk	ən bˈøk
en bønn	ˈɛn bˈøn
en dato	ˈɛn dˈɑːtˌoː
en del	pˌɛndɛl
en diamant	ˈɛn dˌiːamˈant
en dritt	ˈɛn drˈɪt
en dråpe i havet	ˈɛn drˈoːpə ˈiː hˈavə
en dyr stol	ɛn dˈyr stˈuɾ
en dyrehage	ˈɛn dˈyrə hˈɑːgə
en elg	ən ɛlʒ
en elv	ˈɛn ˈɛlv
en etasje	ˈɛnə tˈɑːɾ ʃa
en evighet siden sis	ən ɛɾvɛɾtsiːdən siːz
en fabrikk	ən fabˈrˈɛk
en familie	ˈɛn famˈiljə
en far	lmp fɔːr
en fast lønn	aɪn fˈast lˈand
en fetter	ˈɛn fˈatːar
en fiken	ən fˈiːkən
en fin dag	ən fˈin dˈɑːg
en fjern slektning	ən fjˈɑːr ən ʃlˈɛktnɪŋ
en fjernkontroll	enfˈiaɾ a kˌuŋtɹˈol
en fjord	ən fjuːɾ
en folkefiende	en fɔlki fjˈɪndɛ
en fred	ˈeˈɪm fɪrˈed
en frykt	ɛnfrˈɪkt
en fryser	ˈɛn frˈyːsər
en fugl i hånden er bedre enn ti på taket.	ˈɛn fˈʉli hˈoːn ˈɛɐ̯ bˈeːdrˌa ˈɛn tˈiː pˈoː tˈɑːka
en gammel flamme	ˈɛn gˈaməl flˈamə
en gift	ˈɛn jˈɪft
en glad laks	ngɾɑː lˈɑks
en glødende varm dag	ˈɛn gˈʉløːdˌɛnə ˈværm dˈɑːg
en gutt	ˈɛn gˈʉt
en halv øl	ˈɛn hˈɑl øl
en halvliter	ãn hal jɪw tɛjfɪn
en hatt	ˈɛn hˈat
en hestesko	en hˈɛstəsgˌoː
en hoste	ˈɛn hˈʊstə
en hov	ˈɛn hˈov
en hånd	ən hˈɑn
en innsjø	jæn ɪntʃø
en jente	jˈɛn jˈɛntb
en jente spiser is.	enjenthɪ spiːzɪd ˈis
en kaffekopp	æn kæfə kˈɑp
en kalkun	ˈɛn kˈaɫ kˈyːn
en kaptein	æn kʰɒp tæiːn
en kjeller	ˈɛn sjˈɛlər
en kjøkkenrull	ˈɛn ɕˈɛkənrˌʉl
en klubb	œ̃n klˈœb
en kremasjon	ɛt kˈɾˈɛmˈaʃoːn
en kult	ˈɛn kˈylt
en kvinne	ən kˈɪn
en kvinne uten mann er som en fisk uten	ˈɛn kvˈɪnə ˈʉtən mˈan ˈɛɐʃɛm ˈɛn fˈɪsk ˈuːtən sˈyːkəl
en kvinne uten mann er som en fisk uten sykkel	ˈɛn kvˈɪnə ˈʉtən mˈan ˈɑːr sˈɔm ˈɛn fˈɪsk ˈʉtən sˈyːkəl
en kyst	æˈɛn ʃyːst
en lakris	ɛnd lɔg kˈrɛs
en langvarig bedring	ˈɛn lˈɑːŋvɑːrɪ bədrɪŋ
en laser	kˈɛn lˈɑːsr
en legg	ˈɛm lˈɛg
en lengsel	en lænjsaːl
en lever	ˈɛn lˈɛvər
en lillesøster	ˈɛn lˈɪlə sˈɛstər
en lime	ˌɪnzˈlˈaɪm
en lykkelig oppvekst	ˈɛn lˈyklɪg ˈɔpvˌɛkst
en lyst	ˈɛn lˈysst
en lås	ˈɛn lˈɔs
en lærer	ˈɛn lˈɛːrər
en mann	ən mam
en mann, ei kvinne og en gutt	ˈɛn mˈɑːm ˈɛɐ̯ kvˈɪnə ˈɔk ˈɛn gˈʉt
en milliard	ən miljˈɑɾd
en million	e ãn milˈiːn
en motorvei	ˈɛn mˈɔtːoːrvˈəj
en måte	enˈmˈˈɔtˈtˈɛ
en ny job	ˈeːn nˈi jˈɑʊp
en nær slektning	ən nˈɛː slˈaknəŋ
en nærliggende forklaring	ˈɛn nˈɛrlɪgːɛ nə fˈoɾkllariŋ
en nøkkel	ˈɛn nˈakːal
en og tyve	ˈɛn ˈɔk jˈʉvə
en onkel	els ũn kel
en oppgang	ˈɛn ˈɔpgˌaŋ
en optisk illusjon	ˈɛn ˈɔptˌiːskt ˈiːlˌiːʒuːn
en orden	mʲɛn ʊ̞rðɯ̞n
en orkide	n ʊ̞rki dæ
en overraskelse	ænɪːn ʋaːbɑg ɑskɪlsɑ
en pakke	ən pˈakə
en palme	nˈpˈɑlmˈ
en pappa	ˈɛn pˈapa
en parasoll	npɐɾaːsɐl
en peis	əmpˈeɪs
en penn	ˈæn pjɛm
en persienne	ən pˈarˈisˈɛnna
en petroleumsingeniør	ˈɛn pətrˈiːuːmˈs ˈɪŋiːnˈœr
en pizza	ajn piːtsɑ
en plass	ˈɛn plˈas
en pose [på:s]	ɛn pʊsa
en pris på	en prispˈo
en rekke arrangement	ˈɛn rˈɛkːə ˈarɑːŋxɛmˌɑŋ
en rev	nðrˈɛv
en ring	ˈeɪn ɹˈɪŋ
en ro	ənɾuː
en rullestol	ˈɛn rˈʉlːestˌoːr
en rørlegger	ˈɛn rˈøːrləgˌɛr
en sekk	ən sˈak
en side	ˈɛn sˈid
en sirkel	æn si̠r̥ki̠l
en sitron	ˈɛn sˈɪt trˈuːn
en sjanse	ən ʃˈɑːŋsə
en sko	ˈæn skuːl
en skolesekk	ən skoləsˈɛk
en skuespiller	ðˈɛn sˈkˈʉð bˈɪləd
en skygge av seg selv	ən ʃiː gəls ˈæz ɪn
en skyld	ˌæn ʃˈɪl
en smultring	ˈɛn smˈɪltrɪŋ
en snakk	ən snˈak
en sofa	entsoːfˈa
en stand	ˌɛnstˈɑːn
en stikkontakt	ˈɛnst dˈɪk kˈɔntakt
en storesøster	ˈɛn stˈoːrə sˈœstər
en stråle	æn strˈɔla
en svigerforelder	ˈɛnsiːfˈar ɑːfɾallˈah
en sviske	ən swˈɪskə
en syltetøy	ˈɛn sˈyltətˌɛj
en sønn	ɛn søːn
en t-bane	ɛntɛ bona
en tape	ˈæn tˈaɪp
en terskel	ən tˈɑːskal
en time	ɛːn tˈimə
en ting	ˈæn tˈɪŋ
en trøffel	ˈɛn trˈɛfəl
en tur	ˈɛn tˈʉr
en tur ut på byen	ˈɛn tˈʉr ˈʉt pˈoː bˈeːn
en tyv	ˈɛntiːv
en uke	ˈɛn ˈøːkə
en ullyke kommer aldri alene	ən ˈøːlɛkə kˈɔmər ˈaldərɪ ˈɑlɛːnɑː
en unge	hˈɛn ˈuŋə
en uttale	ˈɛn ˈʉtːalə
en v-8	nv ˈɔtːø
en vakker dag	ˈɛn vˈakə dˈɑːg
en vakker tulipan	ən vˈɔkə tˈʉlɪpˌɑːn
en vegg	n vˈag
en vekst	ˈɛn vˈɛkst
en venn	ənd ðen
en venninne	en vənɪnə
en vinduspusser	an vˌɛndəs pˌʉsɐ
en vinter	ən wˈɪntər
encyklopedi	nsikloːkadɪ
end	ˈænd
endagsritt	əndˈɑːgzrɪt
ende	ˈɛnde
ende uavgjort	ˈɛnə ˈʉ ˈɑːvjɔt
endekløft	ˈɛnəklˈœft
endelig	andəli
endelige	ˈɛndlɪ
endelse	enˈalsˈ
endelser	ɛnnˈɛlsɪt
enden	ænɑ
endende	ɛndɛndæ
endene	n
ender	nˈnˈɛ
endes	ænðˈɪs
endetarm	ˈɛnətˈøɾm
endetarmen	ɪ̞nð̞ʝt̪oɾmẽn
endevende	anɯmdavanna
ending	ẽnd̪e
endingen	ˈɛndeŋe
endling	ˈɛndlˌɪŋ
endokrin	ɛndʊkajn
endokrine	ænduːkɾiːn
endokrinolog	ˈɛndˈukˈɾˈinˈɔlˈoːk
endokrinologen	ˈɛndoːgrˈiːnoːlˈoːgən
endokrinologene	ˈɛndukrˈiːnɔlˈoːgɛnə
endokrinologer	ˈɛndˈukrˈɪnˈogər
endokrinologi	ɛndokɾɛnɔgiˈ
endokrinologien	ˈɛndukˈrˈiːnɔlʊgˈiːɛn
endokrinologiene	ˈɛndoˈkrenolugˈiˈen
endokrinologier	ˈɛndoːkˈrˈiːnˈogir
endokrinologisk	ẽndukrinolɔgisk
endokrint	əndˈukkɾˈint
endoplastisk	ˈɛndoplˈastˈiːsk
endr	endɾ
endra	ˈɛndra
endrede	enð̞ɾeð̞a
endregaarden	ˈɛndregˈoːn
endrende	entɾena
endrer	ˈɛndrɛ
endret	ˈɛndrat
endrete	ˈɛndretːə
endringen	ˈɛndrɪŋən
endringene	ˈɛndriŋgɪnˌa
endringer	ˈɛndriŋgə
endt	ɛnt
endte	ɛntˈɛ
enebakk	ənˈeːbˌɑːk
enebarn	ˈænðəbɑːn
enebarnene	ˈɛnbˈaːrnna
enebarnet	hˈeːnəbˈɑːrnə
energi	ɛnɛrgii
energidrikk	ənˀnˈɑːsidrək
energiminister	enaɾʃiministeɾ
energiske	ɛnaːrɪgɪskɛ
enerhauggata	ˈeːnərhˈɛɾgˈatːa
enerverende	neɾveeˈdeˈnɾa
eneste	ajɑnɑsɑ
enevelde	ənvˈɛldə
eneveldig	ənvˈɛldɪ
eneveldig hersker	ˈeːnə vˈɛldɪg hˈɛrskər
eng	œ̃n
engangsbruk	ˈɛngˈaŋsbrʉk
engangsemballasje	eːngˈaŋsɪmbɐlˈaʃɛ
engangsplast	eːŋaŋsplˈast
engasjerende	enˈgˈaʃerˈnˈ
enge	ˈɛŋe
engegård	ˈɛŋigɔr
engel	ænjɪl
engelen	æŋʲilæn
engelsk	tnˈə
engelsk sennep	ˈɛŋɪlksanap
engelske	enɣ̞ɪlse
engelsken	ɛjnjɪlˈskɪ̞n
engelskkurs	hæŋgəlsɛkˀsɛr
engelskkurset	ɛŋɪlˈsgˈkˈɵʃa
engelskmann	ɛːnjlskemɔn
engelskmannen	æŋɪ̞ɫzkʲɪˈmeɑnɫɯ̞n
engelskmenn	ˈɛljəsgˈɑːn
engelsktime	ˈeːnːgəlˌsgteːmə
engelsviken	ˈɛŋilsvˈɪkən
engeløya	ænjælæjjɑ
engen	hẽŋnʲɪn
engene	ænjɪnɑ
enger	enʲɪr
england	ˈɛŋlˌɑːn
englene	lɛnɑ
engler	tˈɛ̃ˈoʊtˈɛ
englevakt	enɣlɛvɑq
engste	aɲsta
engstelige	ˈaɪgəŋstəlˈeːɾ
engsyre	ˈɛŋsˈiːrə
enheten	ɛɾnhˈɛɾtən
enheter	ənhətˌɛɾ
enhetlig	ˈɛnhərtlˌɛj
enhjørning	jˈɑmjˈɔɹmˈi
enhjørninger	eːnjøɾnɪŋer
enhver til sitt	ˈɛn vˈɑːr tˈɪl sɪts
enig	plu
enige	æˈnˈlˈɪ
enkelbillett	ənklpilˈad
enkelt	ænkɪlt
enkeltbillett	vˈɪkˈɛtlˈɛtˈ
enkelte steder	ɛnkjltːɪ̞ st̪eːd̪ɪ̞r
enkelthet	ənkjɪltˢeːt
enkeltindivider	ˈænkjltˈɪnd̪eːbˈiðər
enkeltmannsforetak	ˈɛnkəlmˌɑːnsfˈoːrətˌɑːk
enkeltrom	enkelð̞ɾum
enkeltseng	enkjlsẽn̪
enkeltspent dress	ˈɛnklt spˈɛnt drˈɛs
enkeltværelse	ankaltvˈɑːrˈɛsta
enkemann	ɛŋkəmˈan
enkemannen	tænkjæmim
enkemennene	ænkæmɛnɯ̞nɑ
enklave	enklava
enkle	ˈɛŋklæ
enklere	ˈɛntlˈɪrˌɛ
enklest	ˈinklˈɛst
enkleste	ˈɛnklɪstˌa
enn	n
ennå	anna
enogtjue	ˈɛnˈɔkjˈʉə
enogtjuende	æˈnɔːsjˈyːnˌɑ
enogtredve	jˈɛnˈutrˈɑtvə
enogtyve	ɛnɔtivɛ
enorm	ẽn̪oɾm
enorme	ɛnˈɔrʉmə
enormt	ənˈɔrmt
enquete	ˈɑnkɛt
ense	anˈsa
ensfarget	ˈeːnsfarkˌɛt
ensidig	æ̹nsiːðɪ̞
ensidige	ˈaɪnsiðˈa
ensjø	eɾnʃo
enslig	ˈɛɾnʃliː
enslig med barn	ɛːrnˀslɛːg mɛ̝ bɑːrn
enslig uten barn	ˈɛnslɛg ˈʉtənbˌɑːrn
enslige	ˌeːrənʃlˈeːɜ
ensom	ˈeːnsˈɔm
ensomhet	ˈɛnsˈɔmhˌeːt
ensomheten	ˈɛnsɔnhˌɛːtən
ensomme	ensɔma
ensomt	ˈɛnsˈɔlt
enstemmig	enstˌɛmmiː
entall	æntæl
entallsform	ɛntˈɑlsfˈɔrm
entalpi	ˌænθəlpˈi
enten	ˈɛn
enten...eller	ˈɛnˈɛnælːæ
enter-tast	ɛtˌalˈtˈast
entreprenør	ˈɛnkəpɾənˈœʁ
entreprenørskap	ˈɛntrˈɛpənˈɵrskˈap
entusiasme	entusiasme
entusiastisk	entuzjɐstˈiske
entydig	ˈændjˈudɪk
enveisbillett	ˈɛnvˈajsbɪlˌɛt
enveiskjøring	ˈɛnvˈasøːrɪŋ
enveistrafikk	ˈɛnvɛːrˌstrafˈɪk
enzym	ensˈim
epidemi	epˈpˈdˈmi
epifytt	ʃˈapˈyːfiːt
epikrise	ɛpikrisʊ
epilepsi	afiʔapˈsi
epileptiker	epilɛptɪkjɛ
epileptikere	epilɛptikːɾe
epileptikeren	ˌeːpiləptˌiːkən
epileptikerne	epileptike
epileptisk	epɪleptˈisk
episk	episk
episode	epis̺ude
epistemologi	epistemologi
eple	ep̞ɾe
eplehage	ˈɛftløjhˌɑːgər
eplehuset	ˈɛplhʊsə
eplejuice	espɾeus
eplekake	epːlekakːˈe
eplemos	opˈɾˈmʊs
eplemosen	æplɛmˈuːsˈn
eplemost	japɾɛmˈust
eplepai	ˈæflepˈaɪ
epler	ˈespɾes
eplesaft	æpləsˈaft
epleslang	ˈɛpləʃlˈaŋ
epletre	kẽ̞rʁətʃʰɛ
epos	epus
epost	ˈɛɹpˈost
epostadresse	ɛpˈostadrˈɛsːa
er	a
er basert på	aːba sˈerpo
er batterier inkludert?	ˈɛɾ bˈatərˌiːr ɪŋklˌɵdˌɛːrt
er billetten enveis eller tur-retur?	ɑːl bɪlˈeːtən ənmˈæːs ɔk tˈyːrə tˈyːr
er der	ˈɑɪd daɪ
er det en mann?	laɣ̞anmäɱ
er det gluten i denne retten?	ˈaɾudløf leːd ˈanˈd̪eː ɑːn
er det greit at jeg ikke blir med i kirken?	ˈɛːr dˈeːt grˈaɪt hˈat jˈɑːg ˈɪkə blˈiː mˈeːd ˈiː sxˈɪlˈkeːn
er det greit for deg?	ˈɑɹ ðˈɛg ɹˈæt fˈɔɹ ðə
er det ledig her?	aɽleːjˈ æd̪eː haːr
er det ledige plasser ute?	ˈɛɐk dˈeː lˈɛdɪgə plˈas ˈɑːv ˈʉtə
er dette bordet ledig?	ælˈbæt bˈɪl bɪlˈɛɹdæˈ
er dette på salg?	ˈɛːr dˈɛtːə pˈoː sˈalg
er dette setet opptatt?	ˈɑɾdəs fɛsˈɛtə ˈɔfˈsˈat
er du glad?	aˈy gʁˈɑ̃
er du her alene?	ˈɛːr dˈʉ hˈøːr alˈeːmə
er du norsk?	a lə nˈoʃk
er du opptatt?	alɔptat
er du på besøk her?	ˈɛːr dˈʉ pˈoː bəsˈøːkər
er du sammen med noen?	ˈɑːr hˈʉr sammən mˈeːd nˈuːan
er du tysk	a tˈo
er ferdig med	ɛːfafdiːmæ
er han en gutt?	ˈɛːr hˈɔn ˈɛn gˈʉt
er hjemme	ɛɾ jæmˈme
er inne	ʔaːn
er nede	ʔːd jˈnʒnɑː
er oppe	ˈæl bˈɔx
er så	aːsˌɔ
er til stede	artistˈta
er ute	ˈɛɐ ˈʉtə
erektil dysfunksjon	ɛːr rɪktiːl døsmɑːɾ
eremitt	ɛːrmɪt
eresfjord	aɾˈesfjˈoɾ
erfare	arfɔɾɐ
erfaren	æɾfæːn
erfaring	æɾfæˈrjɪŋ
erfaringen	ˈɛrfarɪŋən
erfaringene	ˈɛɹfɑːrɛŋiːnɑ
erfaringer	akfoɾinas
erfaringsmessig	ˈafˈaɪvʁɪŋsmˈɑsi
erfarte	axfaqta
ergerlig	ˈpˈattˈəgəli
ergerlige	aˈrɯkeleje
ergoterapeut	ɛɾigultaɪnawpəxˈuts
ergoterapi	ɛrguːthɛroːpɪ
ergre	arɛgrɛ
ergre seg over	agrɛsajː ɔvɛr
ergrer	æˈdˈɪgˈɪlt
ergret	æˈɾgɪt
erica mohn kvam	ˈɛːriː kɐmˈuːn kvˈam
erik	ɛˈriːk
erik bertrand larssen	ɛrikː bˈaːrtɾan lˈaʃɛn
erik bye	ɛɾˈik bi
erik elden	ɛːrɪk ɛlven
erik fosnes hansen	ɑɛrɪk fˈuːsən ˈɛs hˈɑnsən
erik gustavson	ɛrik kystafsuŋ
erik huseklepp	ˈɛtʁ ʁikˈe e
erik poppe	ɛrik popːɛ
erik skjoldbjærg	ɛrʲɪk ʃoːl bjɛrk
erik skuggevik	ˈɛst lˈɛktə kəvˈik
erik thorstvedt	ɛˈrɪktˈuʂtˈat
erik werenskiold	ɛrɪkk vərənʃˀɑl
erika	ɛɾɪkɑ
eriksmoen	ˈɛlɪksmˈɔn
erindre	æˈʁiːndˈʁɑ
erindrer	eɾaiŋdɾeɾ
erindret	ɛːrˈɪndrət
eritreer	ɛːl�ʲɪtrˈeːɪɔs
erkebiskop	arkibɪskɔpː
erkeengel	ærkeːɛïːnɢil
erkefiende	ˈɛɾˈɪkːɪfˈiːndˈɛ
erkjenne	aːrsjenː
erkjennelse	æsjɑmɯnɯzɑ
erkjennelsesteori	arxenilsɛsteori
erklære tre dagers landesorg	ɛrklæːre trˈe dˈɑːgərs lˈandəsˌɔrg
erklære under ed	ˈɛn klˈɛːrə ˈɵndər ˈɛd
erklærer	ˈalklaːrˌeːt
erklæring	æɾklæg
erklæringen	ˈɛrklˌɑːrɪŋən
erklært	ˈaɾklaɾt
erklærte	arkliˈaːrtˈɾə
erland	alam
erle	ˈal
erlend	æχjɪlæn
erlend bjøntegaard	æːnəm bjøntə gˈoːr
erlend loe	alˈɛm lˈuː
erlend nikulausson	arˈlˈɛn nˈiːkula hˈaʊsˈɔn
erlend øye	ærlˈɛn ˈøja
erling	aliŋ
erling braut haaland	ˈɛrlˈɪŋ brˈaʊt hˈoːlˌɑːn
erling braut håland	ˈɛrlɪŋ brˈʉt hˈoːlan
erling haaland	ˈɛrlˈɪŋ hˈoːlˌɑːn
erme	auɾmɑ
ermeløs kjole	ærməløːs xjula
ermene	ɑːrmˈɯnˈɑ
ermer	ˈaɾmɜ
ermet	armɯ̞
erna	ana
erna solberg	ˈɛɾnɑː sˈuːrbərg
ernst glaser	aːnʃtglsɪd
ernæring	anæɾiːn
ernæringen	ænɑːrʲɪnʲɛn
ernæringsmessig	braːnɪngsmɛssɪ
erobrer	ɛːroːbrər
erobring	ˌɛɾubrˈiŋ
erobringskrig	hˈatɾuːbɹˈɪŋkɹˈig
erosjon	ɛɾʊsʊɫ
erotikk	əˈrɔtːiːk
erotikken	ɛrˈʌtikːˈin
erotisk	ɛːrˈuːtˈiːskˈ
erstatning	astˈotni
erstatningen	æʃtætningiːn
erstatningene	æstæptɛŋiːnˌeː
erstatninger	æˈshtatnˈiːr
erstatte	ärsdˈotːa
erstatter	ˈɛɾʃtːatːər
erstattet	aʃtˈatdˈeːt
ert	tʃʰ
erta	eʈː
erte	ætːɑ
erten	ərtɯn
ertene	atna
erter	ɛxt
ertestuing	ˈɑɹtˈɪzdˈuɪŋ
ertestuingen	ˈɛrtestˌuːɪŋən
ertet	æˈtːøːt
ertvågsøya	ˈæktvˈoːksˈeː
eruptiv bergart	ˈɛruptiv bərgˈart
es	jˈɛs
esben leifsen	æspiːn lajpsin
esbjerg	ˈɛsmjˈag
esel	jˈɛsəl
eselet	esd̪e
eska	ɛska
eskalere	eskalera
eskariolsalat	ɛskariːˈɔlsalat
eske	sɛske
esken	æskɪ̞m
eskene	ɛskɪ̞nʲɪ
esker	ɛskɪ̞r
eskil	tˈɛstkjˈr
eskil pedersen	æskil pædæˈʃɛ
eskil rønningsbakken	æskil rø̞nɲɪŋis bakːɛ
eskil vogt	ɛskilfˈˈɑkt
esla	ˈɛɾsˌlˈɑ
eslene	ˈæflimˈɑ
eslet	asla
esmarkbreen	smarkbrən
espen	bɛstbəl
espen barth eide	nəs ʔɛnbwa taɪvə
espen j. aarseth	ˈɛspən jˈɑː ˈɔɐʃat
espen klouman høiner	ˈɛspən klˈaːrmant hˈøːjnər
espevær	esplor
espresso	eltɛsʊ
ess	ˈɛs
essay	ˈseɪ
essen	fˈɛstˈ
essendrop	sˌiːndrˈɑp
essens	eszeˈentˈs
ester	estɪ̞r
estetiker	ɪ̞sʲtɪ̞rtʲɪkɪ̞
estetisk	estˈɛtˈisk
estland	hɪ̞sʲtʲiːn
estlender	æslændæ
estlending	ɛstlændiŋ
estragon	estrɐgˈon
estragonen	estrasˈɛ
estragonene	estˈrˈagˈonˈnˈa
estragoner	estˈɾagˈoneɾ
et	t̪
et aber	ət ˈɑːbər
et adressebrev	ˈɛt adrˈɛs ˈɛːr brˈɛm
et adressebyrå	tˈɛt adrˈɛsɪbˈirˈo
et akvarium	atˈakvaːɾiːum
et annet	ət ˈɑːnt
et annet bord	ɛ tɔ ɐm puɾ
et as	ˈats ˈa ˈas
et av breva hennes	ˈɛtːa brˈɛva hˈɛnəs
et barn	ˈɛt bˈɑːn
et bartre	at baʁtrˈa
et best	ˈæt bˈɛst
et bilde	at bɪldə
et blankt svar	ˈɛt blˈaŋt ˈɑɾk
et bord	ɛt bˈuɾ
et bosted	at puu̯ ztɛd
et brev fra deg	ˈɛt brˈeːv frˈa dˈɛj
et brev til meg	ˈɛt brˈeːl tˈeː mˈɛɪ
et brød	ˈɛt brˈøː
et bytte	ˈɛt bˈytːə
et delta	et dɛlta
et dukkehjem	tʃiʃ toq jiam
et dårlig forbilde for ungdommen	ˈɛt dˈoːrli fˈoːrbɪldə fˈøːr jˈuŋdɐmmən
et dårlig kosthold	ˈatːˌoːral ɪk ˈɔstɔr
et eller annet	ˈɛtːɛlˈɛ rˈɑːrant
et energiforbruk	at ænærsimo fˈoːbrˌʉk
et etternavn	æt ætənam
et fjell	ˈɛt fjˈɛl
et fly	et̪fri
et forfengelig håp	ˈɛt fˈoːrfˈɛŋlˌiː hˈoːp
et forhold	atsoːkol
et fornavn	ˈɛt fˈoːr nˈɑːm
et forræderi	ˈɛt fˈɔlˈɛdriː
et forsøk	ˈɛt fˈoːr sˈøːk
et friskt blikk på verden	œt frˈɪsk blˈɪk iː gˈʊl vˈɛrdən
et fødested	æt søːrdɛstˈæd
et generelt problem	seˈnirel ˈtupɾeʝɛm
et glass hvitvin	dˈɛst kˈlas biːd vˈɪnə
et glass melk	lˈɪtkjˈulˈ smˈɛlk
et glass rødvin	ˈɛt klˈas ˈɛɾʉ ˈɑːv vˈɪnə
et glass vann	ˈeklasman
et golv	atgˈɑlv
et havarert ekteskap	ˈɛt hˈafarərt ɛktɛ skˈɑːp
et helikopter	ət hˌɛlkˈɔptər
et hode	ət hˈuːda
et hull	ˈɛt hˈy ð
et hus	ət hˈys
et håndtak	at hˈɔn tˈak
et i-land	ˈɛt i jlˈɑn
et insekt	ət ˈɪnsɛkt
et kamera	ˈɛt kˈamra
et kjøkken	ˈɛt ʃøkːiːn
et koronautbrudd	æz kɔˈɔnɑː ˈʉtbɾˌɔd
et koronavirus	tˈe kˈɔɹʊɑːnavˌɪɾʊs
et kort	aθ oʈ
et krus	at kʁˈyːs
et krydder	ətkrˈidːər
et land	etlam
et lite hus	ˈɛt lˈiːtə hˈʉs
et liv	ætˈlˈiv
et loft	ˈɛt lˈɔft
et lungevirus	atlˈɔ̃gə vˈɛˈeɪ̯s
et lunt smil	ˈætlˈɛntsæn
et løp	ˈɛt lˈøːp
et markant standpunkt	t mɑːr kʰant stˈant pˈʊnt
et menneske	æt mæn næskæm
et minutt	ˈɛt mˈynʉt
et mord	et moriɟm
et nick	ˈɛtnik
et ord	ɛt ˈuːr
et par	ˈɛt pˈɑːr
et par sko	æt pæɾsgu
et parti	atˈpˈarˈtˈi
et pass	ˈɛt pˈas
et problem	atproble
et program	ˈɛt prˈɔgram
et pund	ɛt pʏ̞n
et sekund	ˈɛtsi kɵn
et skjelett	ˈɛt kselət
et skjelmsk øyekast	ˈɛt ʃɛlmskøː kˈast
et skrivebord	askrˈiv bˈuʁ
et spørsmål	ɛtsʲ bɛʃmo
et sting	estˈɛnt
et sundt kosthold	æt sʌmd koːstˈoːb
et svar	ətsˈvɑːr
et svømmebasseng	ɛt svˈɛmɛbasˌɛŋ
et tabu	ˈɛt tˈɑːb
et tak	ˈɛt tˈɑːk
et teppe	akapːa
et tiår	ˈa tˈiːo
et tjern	ˈɛt jˈaːn
