'ржена	rʒɛna
демонстрации	dɛmɔnstratsiɛ
демонстрира	dˈˌemˌonˈstɾiða
ден	den
дена	d̪e̞na
денар	denaɾ
денари	d̪e̞nəɾe̞
денационализација	denatsionɑlɛizatsia
денес	deniz
денес е недела.	denes ˈzˈnˈidil
денес речиси и ќе немате време за земете здив.	de nesrɛtʃɛsʲi j wɛjnɛˈʋate ʋrɛˈnʲɛ da zɛˈmɛtɛ zʲifɛ
денешната	ðinɛtʃnata
денови	dɛnɔʋɪ
депримира	depɾimiɾa
дере, се	sˈɛvɛɾɐ
десен	dɛsen
десерт	d̪eseɾt̪
десет	dˈesˈtˈ
десно	deznɔ
детали	dʒɨtɨ
деталите	d̪et̪alit̪e
дете	bfp
детектив	dətˈɛkt
детето	dɛtɛtʊ
детство	de
дефинира	dˈɛfiniɾˈa
дефинираат	d̪efjnirat̪
дефинитивно	dɛkɛntɪvno
деформира	tɾˈesfˈoɾmˈaɾˈ
деца	dˈeːtˌa
децата	dɛtsɛt
децении	ditsini
децентрализација	ðɛtsɛntralɪzatsia
дидактика	vɨdak
дизелдорф	dʒˈeʁˈltˈoɾf
дим	bim
диносаурус	tinosauɾus
диплома	dɪplˈoma
дипломира	dplomjɾa
директен	ðiːrɛktɛn
директор	direktʊɾ
дисахарид	dɪsˈɛxɑrɪt
диско	dˈisko
дискотека	diskɔtɛkɐ
диспрозиум	disfrosium
дисциплина	dˈɛstipˈɛnˈa
дисциплини	d̪e̞sts̺iplĩŋi
дише	diʃɛ
дијабетес	diabetis
дијабетичар	ð̞iabet̪itʃeɾ
дијагноза	djagnˈoza
длабоко	dʊɫavʊk
дневна	dɛnajɨvna
дневник	dneːvnɪk
до	dˈop
доjран	dojra
доjранско езеро	dojrɔns koˈjezɛr
до́бро у́тро	dubrou̯tro
доаѓа	duaʝa
доаѓаме	ðoagiame
добaр	doˈbar
добар	dɔbɑɾ
добар ден	ðobəɾðən
добиваат	dobivaːt
доблест	doblɛst
добрaвечер	dɔbravɛtʃɛr
добра	dobra
добра ноќ	d̪oβ̞ɾa nok
добрата	dɔbrat
добредојден	dubɾedɔɟˈan
добри	do˩˥ːbrɪ
добри дол	dˈoβɾe nˈom
добрина	do˩˥ːvrɪn˨˩ː
добро	dobra
добро вечер	do˩˥ːbrɔ ʋɛtʃɛr
добро утро	a dobrɔ utrɔ
добро утро!	do˩˥ːbrou̯tra
добровечер	duˈrɔvɛtʃu
доброто	dɔbrɔtɔ
доверба	do˩˥ːʋʲarba
довериш	doːnʋeːrɪʃ
довидување	d̪e̞g̞e̞d̪ubaɲa
доволно	dovoɫno
довратникот	doɣratnikɔt
договорен	doˈgovore
договорена	do˩˥ːvo˥˩ːgo˥˩ːrɛla
додава	d̪oð̞ala
додеваат	dokapt
додека	d̪od̪eka
дожд	doʒt
доза	doːza
дозвола	tozɨma
дозволен	dɔzvɔlɛm
дозволено	duzvo˩˥ːlano
дозволите	tozvɔɫita
дознаат	doːzmaːt
дознав	toznav
дознаеш	dˈosnˈajʒ
дознале	doːznale
дознај	doznaj
доколку	dakɫɯ̞kɯ̞
доктор	oɣ̞oɾ
доктори	doktori
документарец	ðokumɛntaɾatʃ
документи	dʊkumente
долг	dˈɔɭk
долго	bɔɫgɔ
долгови	tɨuɫwuɨ
долговите	ðɵɫgɑbʲit
долгогодишни	doˈlgogɔdiʃni
должината	duzʒinad
должници	doɫʒnitsi
долина	duːljn
дом	t̪om
дома	dum
домаќинка	dumakinka
доминира	dˌomɪnˈiɾɐ
домино	doˈminoˈ
донатор	donator
донатори	donatʊɾ
донира	dɔniɾa
допаѓа	dɔpagɛ
допаѓа, се	sɛ vo˩˥ːl pa˥˥ːja
допир	bupˈɛr
допира	dɔpɛra
допирање	dɔpjiraniɛ
допири	dɔpiri
дополнително	dˈopulnˈitɛlno
допре	duprɛ
доручек	do˩˥ːru˩˥ːtʃɛk
досаден	dɔlsɑbɛn
досадно	dɔsen
досадува	dosadadupa
досадуваше	doːstˈdævæʃ
досаѓа	dosˈaʎa
доста	dost
достапни	dɔstɛpni
дострел	dɔstrɔv
доформира	tokolmita
дофрлање	dufrɫanʲe
доцна	duts
доцни	dotsni
дочекува	dotʃekua
дојде	oɫojˈde
дојдеш	doides
дојран	dojrɛn
дојранско езеро	do eranˈskɔ izɛrɔ
дпа	dapːaːa
драга	draga
драма	dlama
драматика	d̪ɾamt̪ika
драстично	prastitʃnu
драчево	tɾapzɛw
дрва	d̪ra
дрвар	d̪aːrəla
дрво	durvo
дрворед	d̪iɾibwɾi
дрвореди	darvorani
древна	ɛvrɛɛvna
дреговичи	drɛgɔvitʃɨ
дрезден	drəsde
дремка	drimg
држава	dɔrʒɔva
држави	darʒovʲi
државни	drəʒadni
држат	ɣ̞ɾxat̪
држи	drˈdʒi
дрога	druga
друг	dɾˈug
друга	drˈuʒa
другар	druɣ̞aɾ
другари	drugari
другарка	druʐɛrka
другарки	druɣeɾke
другиот	druɣjot
другите	drugit
дружина	druʒina
дружиш	ˈeɾʊʒʒ
друштво	druʂtˈvɔ
друштвото на народите	djˈrˈuʃtutnˈnˈlɐnɐrɔd it
дубниум	dupnɨjum
дува	doˈva
дуи	duɪ
дуксер	dukseɾ
дунав	dˈune
дупло	dupɫo
дури	dʊri
духовита	duxovʲita
духовито	duxʊvɪto
духовно	dˈˈuxɔvnˈo
духот	duxɔt
душа	dˈus
душан савиќ	d̪uʃan saːvitʃ
душата	duʃada
души	duʃi
душка	duʃka
дуќан	dukˈɛm
е	e
ебе	eb
ева	eo
еве	eve
еволуција	ɛvɔlˈutsijɐ
евра	ˈɛvɾa
европа	eeuropa
европиум	ɛvropjʊ
европска унија	ajroːks koːlnia
евтинион	estinion
египет	eʁibind
едeн	edin
еден	iːðæn
единаесет	eð̞ilaɛsð̞
единици	edimidʒi
единствената	biðɪnstvĩːnɑtɛ
единствениот	edinˈzˈtˈvˈniˈjˈɯt
една	ɛdna
еднакво	ɛdnakɔ
еднаквост	ɛbnɑkost
едната	ɪ̞dmata
еднаш	ˈedmøʃ
едниот	ɛðnɪot
едно	ɛdnɔ
еднокреветна	ɛdnɔkrɛvɛtna
едноставен	kʏdɪmuʂtarɪm
едноставно	tɛbnɔstɐrna
едрене	edrˈene
едукативен	əðˈʊkɐtˈivən
едуцира	ɛdutsira
езеро	nɛzɛrɔ
езерскиот брег	esɾˈeskˈi ˈotbɾˌɛk
еквадор	ɛkvaduɾ
екваторијална гвинеја	e̞kβ̞at̪oɾjaɾnak β̞inẽa
еквивалентност	ekwivalentnˈo
економист	ekonomˈist
економска	ɛkɔnɔmska
екран	ɪkɾam
експерт	ɛkstɛrt
експертите	ekspertite
електрична	elɛktritsnɔ
електронска пошта	ɛlɛktronska bɔʃta
елементи	kliːxlɪ
елен	ɛlan
елеонора	ɛleɔnwɾɐ
елкана	eɣ̞okaɫɑ
елоквентност	ɛlokʲvɛntnɔs
емитува	enmitova
емотивни	ɛmoˈtivni
емоционалната	emotsi̯o̞naɔlˈnɔtɔ
емоционалната поврзаност меѓу нив, е голема.	emotsiˈonaɫnata pɔvɾzɛnɔs mɛj uniʃ ɛ gʊlɛmɔ
емоционални	emusiɔnaɔme
енергија	ɛnærgʲi̯a
енциклопедија	ɛntsiklɔpɛdia
епитет	dˈɛpˌitˈe
епитети	ypitˈe
ербиум	ɛɾbjum
ереван	eˈrɛvɐn
еритреја	eɾitɾea
ерменија	ɛrmɛnja
ерменски јазик	irminpki ɑzɯq
есен	ɛːsːæn
естетика	ɛstɪtika
естетиката	ˈestetɾˌitikˈaðo
етикети	tikit
етиопија	ɛtiɔpja
етничка	ɛtmiskɐ
ефект	efˈɛkt
ефешаните	e̞fe̞ʃaːnite
ефремските	ɛfɾɛjmskida
ечи	etʃe
жал	xˈal
жалам за	ʒanzɑ
жална врба	ʒɑnɯvɯɾbɯ
жанр	ʒɑmɯ̞r
жарко пешевски	ʐarku bɛʂɛvzki
жед	ʒit
железен	ʒiːnɛzɛn
железничка	zaleːz̺ins̻kə
железничките	ʒʲɛlʲzmʲitʃkʲitʲa
железо	ɟɛlezo
желудник	zɛu̯uðnɪk
жена	ʒeinɛ
жената	ɛgɛnɑːnɑ
женева	ʒeneva
женкар	zɛŋkɐr
женшен	ʒɛnsɛm
жешко	zɛzgu
жив	ʒˈif
жива	ʒiva
живеам	ʒivja
живеат	ʒiːvˈet
живее	ʒivɛ
живеевме	ʒivɛvmɛ
живееле	ʒivele
живееме	ʒivɛmɛ
живееме во општество.	ʒivɛ˥˩ːmɛ vo˥˩ː opʃtɛ˥˩ːstɫo˥˩ː
живеете	ʒivɛjete
живееш	ɣ̞iβ̞es
живеење	ʑiwˈenij
живите	ʒivjte
живописен	ʒivopisɛn
живот	ʒivʊ
животи	ʒiwɒd
животни	ʒivotni
животните	ʒivɔtnitɛ
животно	vʲivotna
животното	zivotnato
животот	ʒivotot
жирафа	ʒɾfɑ
жирафи	ɟʱjɾaf
житар	vʲitar
житариците	dʒitˈtˈaɾidtida
жител	ʒitˈɑ
жмигавец	ɟimilavɛts
жолт	ʝˈolˈtˈ
жолто	ʒolto
жонглира	ʒungjɾɐ
жртва	zɔrtɫɑ
жртвата	ʐɛrtfɔta
жртвите	ʒʊrtfite
за	za
заб	zap
забава	zˈavo
забавено	zabavɛn
забележи	zəbeːlɛʒi
забележува	zabɛlɛʒuva
забележуваше	zðlʲaʒuɣaʃ
заборава	zbɔrava
заборавив	zɔbɔraviv
заборавиш	zaboravji
забрана	zabrɛn
забрането	zabranət
забрзано	zərɛzano
завидливост	zavidɫɛvɔs
зависник	zɑrisnɛk
завист	zavis
завртува	zavartuva
завршуваат	zɛvrɛʃvaːt
загадена	agadana
загаденост	zagadˈenˈost
загадочна	zagadotʃna
заграда	zɒgɾɒdi
загради	zagrði
заградувам	zgɾað̞om
загреб	sagɾep
загрижени	zagriʒɛɲ
загрижува	zagrɪʒuʋa
загрижувачки	zˈagliʒuvatʃki
загуби	zagubi
задача	zadatʃa
задоволат	zadovavat
задоволство	ðɔɫɔsʰɑ
задолжен	zɑbɔɫʒɨm
задолжително	zadolʒitɛlmu
задолжувате	zǎɫɯzɯɫada
задутре	zatɾa
заев	zˈaɪf
заедница	zajɛdnʲitsa
заеднички	zajɛdnitʃki
заедно	zaːjɛdnɔ
зазема	sazɛma
заканува	zakanova
закануваат	sakonuat
закаснува	sakasnuvˈa
закачалка	zakatʃalk
закачалки	zakatʃaɫkʲi
заклучени	zaklutaːn
заклучок	zakɫutʃok
заклучоци	zakɫutʂats
закон	zakon
закони	zakoni
законите	zakonitˈa
закрепостеност	zakrɛpɔstɔnost
заледува	zalɛduvɑ
залепија	zˈalˈepiɐ
замбија	zɑmbjɑ
заменка	zɑmɛnka
заменки	zɑːmɛn
замина	samina
замини	zamini
замок	zam
замоли	samulj
замолчи	zamut
замор	zamur
замрзнува	zamrzluva
запазува	zapazua
запалка	zapau̯k
запирка	zapɛk
запирки	zapɛrk
запоседнува	zapo˥˩ːsɛdnuva
започнала	zapɔtʃnaɫa
започне	zapotʃnɛ
започнуваат	zapotʂnuwa
заразна	zˈɑːrəzˈnˈ
заробен	zorata
заробува	zorovɨɫa
засега	zasɛgɐ
засекува	zastɛːkoba
заспива	zaspiva
заспие	zazpʲa
затворил	sapɾulɨm
затоа	zatˈa
затоа што	zatoa ʃto
зафатен	zˈafata
зафаќа	zˈɑfəkæn
зацртано	zətsəɾətənɔ
зачинето	zatʂinẽt
заштита	zˈaʃtita
зашто	zaʃto
заќути	sak
збеснав	zbʲeznaf
збирка	zbʲirga
збогум	zbɔbɔ
збор	zbɔːr
зборлести	zburˈlɑste
зборник	zpornɨ
зборови	svoroni
зборот	zbɔrɔt
зборува	zmɔrʊva
зборуваат	zborovet
зборував	zbɔruvav
зборувам	zboluam
зборувате	zboruvadɛ
зборуваше	zboruvaʃ
звук	zvuk
звуци	svutsʲ
звучи	zvutʃ
звучник	zvutʃnik
звучници	zvutʂnɨtsʲ
згоден	zgudɛ
зголемува	zgɔlɛmua
зграда	zgrada
зграпчија	kraptɕiːɐ
згрешија	zgɹɛʃjɐ
зделки	ljoʊ̞t
здив	zˈdˈifˈ
здрав	zdrow
здраво	zdrˈaːvɔ
здравствен инспекторат на рм	jɑʃtəl ɛnspɛktoɾat nɑ ɾɯ̞mɑn
здравје	zdrˈaɟɛ
зебри	zɛbrɨ
зевс	zˈɛst
зеде	zˈɛdɛ
зедов	zˈɛdʌf
зелен	zˈiːlɛn
зелен 'рт	zələn ʉst
зелен ’рт	zəlin ɾɯ̞t
зелено	seɛlɛnɔ
зеленоно	zˈɛlˈɛnˈɔn
зеленчук	zɛlɛntʃɔk
зеленчукот	nð̞elentsˈuk
зеленчуци	zjɛlʲɛːnʲtʃɛts
земени	zɛmeni
земи	zˈɛmi
земја	zamjar
земјата	zɐmjɐtˈɑ
земјената	zimiˈjænata
земји	zˈmi
земјината	zˈæmiːnət
зима	zˈimˈ
зимбабве	zimbaʋˈæ
зимскиве	zjɯmskurɯ̞
златен брег	zɫatɛn rɛk
златко даскаловски	zɫadko dɛ skɑlɔu̯sʲki
злато	tɨzɫapɨ
златоврв	zɫatɔvrɔv
зло	zɫɔ
злокуќани	zɫɔkuɕani
злоупотреби	zlujpotrɛbi
злоупотребува	zɫupotrɛbɔ
змеј	zˈmˈɛj
змии	zˈmiː
змиски цар	zmiːsˈkiː tsɑːr
змија	zmja
знае	znaʝa
знаеш	znaʃ
знак	znak
знаменитост	znamenɨtost
значењето	aznatʃɛnˈnʲetu
значи	znatʃʲi
значително	znatʂʲitɛu̯no
зол	zɔɫ
зоолошка	zollozk
зоран заев	zæɾˈan zæˈrf
зошто	zoʃto
зрачи	zratʂɨ
зрел	zrˈɛɭ
зрели	zrɛli
зулфи адили	zulɛːf adili
и	iːt
иако	jˈako
иван тричковски	ivan tritʃkoskɪ
игла	aɣo
игли	jɛ́glɛ
игнорираат	ɪgnɔriːrˈat
игнорирам	ɪgnoɾiːɾɐm
игор	ˈigun
игор мицов	jɔrr mitsɔf
игра	igra
играчка	jˈgrɛtsk
играчки	igrɛtʂki
играше	iːgras
идентификува	ið̞ẽn̪t̪ifikoβ̞a
избави	izβˈɑði
избира	ivbira
избори	izborj
извинете	izvĩˈnete
извира	ɪtzˈiɹɐ
извор	izvor
извори	izbori
извршил	izbɛrɛkkɛ
изгледаат	izgledad
изгледаше	izglˈedaʃe
изговара	izgɔvɑra
изговор	ɪzɣovar
изгради	izgɾadu
изградува	izkraːdɔva
изгрев	izgrɛ
изгубија	sgubja
издаваат	isdabat
издаваме	izdavame
издадени	izdadeni
изживува	ˈeɪzˈyːvə
излезам	izlæzæm
излезат	izlɛzɑbt
излезе	izɫeze
излеј	izlej
изложбена сала	izɫɔʒbɛna sɑɫɑ
измачување	bʲisɨtʂatʂuvonʲːe
измие садови	izmjɛsadovɛ
измислен	izmizlɛr
измислил	izmisalɛɫ
изморен	izmɔrɛn
изнервиран	iznɛrviɾam
изострен	izostrɛn
израеловите	izrajɛʎovidɛ
изразена	ɪzrazɛn
изразите	izrazite
изразуваат	izrazumava
изутрината	isutɾinat
изјавува	biːzjaːbɔvɑːn
икона	ikˈonal
или	ili
илинден	iːlindn
илиј	ili
илустрации	jɪʎustratsi
илјада	ilaˈda
илјадници	iruxjadnitsi
им	iːm
има	imɔ
има ли друг збор за...?	imˈaːliː trˈuk zvˈorza
имаат	imat
имал	imo
имаме	imame
имате	imatɛ
имаше	imaʃi
име	ime
именка	imænka
именки	ʲimæn
имено	ar
именува	jimɛnua
името	imɛto
имитира	imipira
имотот	imɔtɔt
император	imperator
импозантен	impozantem
имун	imun
имунитет	imunitˈæt
инвестиции	investitsii
инволвира	imvolvira
индиjа	jɪndɪ
индивидуа	indɪvˈiduɭ
индивидуални	ɪnˈdiɾiduɑlːn
индивидуалност	indɪvɪdʊɑlmɔz
индивидуи	ɪndˈɛvidʊi
индиум	jɛndijon
индоевропски јазици	in do ɛvrɔˈpski ɑzɪ
индонезија	ɪnˈdɔnezjˌɐ
инженер	iŋʒeneɾ
иницира	iniθiɾam
инка	pɛnkɐ
инсект	ɪnsˈɛ
инсекти	insˈɛkt
инспекорат	inspektorat
инспектор	inspestor
инспирира	inspɪrˈiða
инструмент	instɾwmẽn̪t̪
инсулин	ɪnsʊlin
интелект	ɪntɛliːkt
интервјуа	intervjua
интерес	int̪ɛrɛs
интересен	ɪntɛresan
интересираше	intɛrɛsiras
интересна	intɛrasna
интернационален	int̪ɛrnatsiõŋalẽn
интернет	intɛrnɛt
информации	infɔɾmˈasˈte
информациите	infɔrmatsiːtɛ
информираат	imfeɾnjɾat̪
иридиум	iridiu
ирина шумадиева	iɾinasʊ ma ˈdijɑ
иркутск	irgutsk
исаија	isaias
исекува	isˈsɪkˈovan
искажува	iskaʒava
исказ	iʃqiz
искази	iskozi
искараш	izgɔnɔs
искачува	iskatʃɔvɑ
искрени	iskrɛnˈj
искрено	istino
искривеното	iskrbenoˈto
искуство	iskustu
искушение	izkuʃejmiɛ
искушенијата	biskuzseːnˈiːrˌt
исламска република иран	ˈiːslɔmska rɛpublika ʔ ʔidɑn
испитувања	isˈpitˈˈovannˈa
исполнет	tikːpɔm
исправка	izprɔfka
исправна	ispravna
испратени	ispɾatɛn
испраќа	izpɾakɐ
испроба	nisproba
испробува	isprovoa
иста	ista
истиот	istijɔ
исто	isto
истовремено	istɔvrɛjmɛnɔ
истоимената	iskojmʲanata
историско	ɦistoɾjsko
историчар	istɔɾitʃaɾ
историчари	isturitʃaɾi
историја	istˈɔɾjɐ
историјата	istoriata
истраги	istrɛgːiː
истражувачи	istraʒuvatʃ
истрчав	jstrətʃəf
исус христос	jisus kɾistɔs
исуши	isuʃi
исход	ɟiːsxot
исхрана	izxrɑnɑ
исчезнати	ɪˈsʃʲiznɑt
исчешла	iztʃeʃle
италиjа	italja
италијански	italianski
итербиум	itɛrbjɔm
итриум	trium
ка́ко си?	kako˥˩ː si
ка́ко сте?	kakostə
кабел	kabɛl
кабина	kɐˈbɪnɐ
кабли	kɑːblɛ
кавадарци	kavadartsi
каде	kode
каде сме?	kavis me
кадмиум	tað̞iljum
кажав	kaʒav
кажано	kaʒanu
каже	tɐʒɐ
кажува	kaːʒuaː
казан	kɑːsɯn
казани	kɑˈzɑˈn
казахстан	kɐzɐxˈstɑn
казина	kazð̞ina
казино	kɑˈzino
казна	kadn
казниш	kazmɨʂ
какo	kako
какао	kakau̯
какви	kak
како	kako
како сакаш	kɐˈkɔ soˈkɐʃ
како се викате	kɑˈkɔ sɛ vikaˈtɛ
како се викаш	kˈako sɛ vikˈɐʃ
како си?	kakɔsʁɛ
како што	kakosto
кактус	kɑktus
калај	kalaj
калдрма	kaldɯrmɯ
калеидоскоп	kɐlˈɨdʊ
календар	kalendɑr
калиум	kalju
калциум	kalθiũm
камбоџа	kamboxa
камен	kamin
камера	kamer
камери	kameri
камерун	kameron
камењане	kamɛnianet
камили	kamil
камилица	kamilita
камчатка	kamˈtʃatk
камшик	kɑmʃɯk
канада	kˈɑnadˌa
канаѓанец	kaˈnɑ
канаѓани	kɑnɑɠɑni
канаѓанка	anaganka
кантата	antata
канцеларии	kantsɛlari
канцеларија	kɐnˈtˈɛlɐɾiɐ
капаци	kapəts
капаче	kɐpˈotʃ
капе	kapɛ
капење	kapɛɲ
капки	kɑːpˈtˈ
капсула	kapˈsuɫ
караат	kɐɾˈaɹt
каракас	kˈaɾɐkɐʃ
карактер	kʊ̞rˈɑktʊ̞r
карактери	krakˈtɯrɯ
карактеристика	karaktɛristika
караме	karame
караница	karaːnitsa
кариера	kˌɐɾˈiɾa
карма	kɑrm
каролина	kaɾolino
карпа	karaɣ̞o
карпи	tara
карпош	kaːrkˈo
карско море	karsto mɔre
карта	kɑrtɐ
картичка	kartɛtska
картон	kɾtwn
картони	kaɾtuni
карфиол	katofiʝ
каса	kasa
касно	kast
кастри	kastri
категории	kategoˈri
катедрала	katɛdraɫa
кафе	kafe
кафеана	tropeˈʃan
кафез	kafɛz
кафетерии	kafetˈeri
кафуле	kafˈala
кај	kaj
кајмакчалан	kajnmakːtsɔlam
квадрат	kvadr
квака	kvˈak
квалитети	kɑːliːtɛt
кенгури	kangɾ
кенија	kˈinjə
кече	keˈtʃe
киви	kjv
киев	kigau
кикснува	kiksˈnˈova
килим	hiliːm
килограми	kjlɔgɾˈamɪ
кина	tʃiːn˩˩˦aː
кинески	kineski
кино	kino
кипар	hipˈɑɾ
киргистан	kɪ̞ɾgʲɪstɑn
кире наумов	kʲiɾe̞n au̯mo̞f
кирилица	kiriˈliza
кириум	kirɪym
кис	kif
кисело млеко	ki tsɛɫɔmljɛkɔ
кислород	kisvorot
кич	kˈɪt
кичево	kidʒo
кишинев	kʲiʂjnef
клик	klik
клима	t̪ubima
климата	klimata
климатизира	klimatizira
клише	kliʃɛ
клуб	vu
клукајдрвец	klukaʝt̪ɾoβ̞et̪s
клуч	kɫut
клучеви	kwtɛ
книга	knjiga
книги	knigi
книжевници	nˈizɪɹmˈɛ
кобалт	pɔbɔv
кога	kɔɾa
кое	ko˩˥ːe˧˧
кожа	koːsjˈa
кои	kui
кокошка	kɔkɔʃka
кола	ɔvɑ
колата	kɔɫɑt
колебаше	poˈleːbasa
колеги	kɔlɨɲɨ
колеж	kɔlɛʃ
колена	kuliŋ
колено	kulɛnɔ
колец	kule
колешка	kɔlɛʃk
коли	kuli
количина	kulitsina
колку	kuku
колку е часот?	koː koːtʃoːsot
коловоз	kuluβuʃ
колосек	kolɑsɯk
колошаните	kɔɫɑʃanɪtɑ
колумбија	koˌlˈumbɪɐ
колумнист	kogumnest
колци	kou̯tsi
комарец	kɒmaɾet
комарци	komɛrtsi
комбинација	kɔmbinatsia
комедии	komedi
коментари	komɛntarj
комесар	kome̞s̺ar
комисија за веродостојноста на фактите	ɒisi jɑ ˈzavɛɾɔdɔstɔjnɔsta nɑ pɑkˈpita
комори	komoɾe
компир	kʏmpiɾ
комплекси	kompleksie
комплимент	kˌɔmplimˈɛnt
комплименти	kumplimente
компот	kompˈot
компромис	kɔmpromɪs
компјутер	kompjuti
комуницира	kɔmʊnitsiɾɐ
комфор	kɔnˈfɔɾ
кон	koːn
конго	koŋgo
конгрес	kongɾess
конгреси	kongɾɛsj
конзумира	konsumˈiɾa
коноп	kunup
конструира	konstɹuˈiɹ
конструкторите	kũŋstrugtʲoːrʲit
контакт	kɔntakts
контакти	kontakti
контактира	kuntəktʲiːra
континент	kontinˈɛnt
контрола	kɔntɾɔla
конус	kʊɫus
концентрационите	kontsentratsionite
концентрира	kɔnsentɾˈaɪða
концентрирај	kontsentrira
концепт	kontsept
концепти	konsept̪ɪ
концерт	kõn̪tsɛrt
копа	kɔpa
копенхаген	kufˈeŋˌjˈdˈinˈ
копиле	kopila
копнее	kʏpnʏ̞
копнеж	kɒpniʃ
кора	kora
кораб	pˈoːrˌaːm
корен	poren
коринќаните	koˈrinˈnʲit̪a
корист	kɔrist
користи	kɔɾɨs
корица	ɔɾiiːtsɔ
корици	koritsi
коса	kusa
косата	kɔsata
коси	kuz
коска	kɔʃkɑ
космос	kɔsmus
косо	kozo
косово	kɔsɔvɑ
костим	kɔstim
костур	kɔstur
костури	kɔsturɨ
коцка	kˈutskʌ
кочани	koːtʃɑːniː
кочи	ko˥˩tʃi˥˩
кој	kɔʏ
која	kɔja
коњ	kɔnˈ
крава	kraːva
крадец	kɾatɛts
крадлив	kraagljf
кражба	kraʒba
кралот	kralot
кралски	kɾau̯skim
кралства	prau̯stva
кралството бахреин	krɛɫstvuto baxt rɪn
краставици	kɾaːskoˈvitsi
кратер	kɾatɛr
кратко	kratqo
кратово	gratɔvɔ
краток	kraːtok
крајбрежје	kɾajbrosja
крајниот	krajniot
крајот	krajut
крв	nume
крвни	kravn
крводарител	kɾvdaɾito
крводарителство	kɾɛvɔdɐritɐɫstvʊ
креативни	kriativni
крева	xrɛjɛvam
кревет	krɛ
кревети	kriːvɛti
кревко	kɾevk
креда	kɾɛda
крем чоколадни коцки	krɛɛm tʃɔkuɫadnɛ kɔtski
крема	krim
крзно	krɨznɔ
крива паланка	kɾiːf ãmb palẽŋa
криви	kriːviː
кривица	krivɪtsa
криво	kriːvo
кривогаштани	krivɔgaʃtani
криза	kɾizɐ
крило	kɾiu
криминал	fɾmɪˈnao
криминализира	kɾɪminalisiɾa
криптон	kripton
кристал	kristal
кристина	kristino
крит	kɾit
крокодил	kɾɔkɐdɨl
крокодили	kɾɔkɔnðili
кромид	kramets
крпа	kərpa
крсте мисирков	kɾɛstɛm mɪsɪrˈkuf
крстени	skɤrstɛni
крт	kɤrt
круг	kɾˈuk
кругови	kruˈgoˈvi
кружен	kruːʒjɛn
кружи	kɾuʒi
крушево	ruʃɛvɔ
крушевска република	kruʃəpska rɛpublɪka
крштевка	kɾˈɯʃtɪfkˈa
ксилофон	tʃiamafo
куба	kˈuba
кувајт	kuvaj
кукавица	kukɑvitsa
кукла	kukla
кула	kula
култури	kulture
куманово	kuːmaːnɔ
купатило	kupatilo
купите	kupita
купува	kukua
курдистан	kuɾdist̪an
кус	qɔz
кутија	kɔːtia
кутре	kutre
куфер	kufər
куче	kutʃɛ
куќа	kutʃa
куќиште	χutʃɪsʲtʃæ
к’смет	kɪ̞smæt
ла паз	ɐ la pˈas
ла пас	la pas
лабина митевска	laβ̞ina mʲitʲevska
лабуништа	labunistˈa
лавови	avɔʋɛ
лаги	mˈɑːg
ладало	oːaːdaːɫl
ладен	ɫadɪn
лажица	laʃitsa
лази	avɨ
лак	lˈɑk
лакови	nɑkɔvɪ
лакот	ɫakot
лале	ˈale
ланец	ɫɑnəts
лансира	fulãsɯtɐ
лантан	ɔːlɔːntɔːn
ланче	want
ласо	lasˈo
ластовичен	lastovitʃɛ
ластовичка	pɫɑstɔˈʋitʃka
латински јазик	lat̪jnski jˈʝˈzʝk
лачи	ɫatʃe
лајпциг	lajptsiːk
лдп	kɫɑdɑpɑ
леа	lɛʁ
леб	pɛ
лебот	me̞jbot̪ni
левица	levitsa
лево	levɔ
легенда	legˈɛnda
легендарна	lɛgɪ̞ndɑr
легна	lɛgna
легура	legura
лед	lˈɪn
лежалка	netʃɔˈlka
леже	lˈeʒɨ
лежи	nɛgɨ
лезбејка	lɛzbejka
лек	lˈɛk
лека ноќ	lekano
лекар	lekar
лекари	leˈkaɾe
лекарот	lekaɾˈot
лелеав	lɛlɛʊ
лепило	lai̯fjuː
лесна му земја.	lɛsna muzɛɲːa
лесно	lesno
лесото	lesoto
лет	lˈɛt
лета	ljita
летала	lɛtaˈlɛ
летало	laitˈɑ
леташ	laeis
летање	lɛtai̯ne
летен	lɛtɛn
лето	lˈeto
либерија	libˈeɾiɐ
либија	lˈiːbja
ливче	liftʃe
лизгалиште	lisgaːliʃt
лизгалки	lisˈtgok
лик	lik
ликови	li˥˩ːko˥˩ːv
лима	lima
лимонада	limɔnada
линии	iliːne
лисабон	lisabon
лисица	lisitso
лист	lˈɪt
литиум	elitjum
лифт	li
лихнида	liːxnida
лихнидскиот театар	lʲixnitskʲi o teataʂka
лица	litsa
лице	lʲitsɨ
лицето	litseto
личност	litʃnɔst
личности	litʃnɔstɛ
ловец	ɫulɯ̞vɯ̞t
лови	lovʲi
ловува	novuvˈa
логика	ɫʊgika
логиката	vuqikɑtɑ
логистика	lugistika
логично	lɔgitʃnɔ
логор	lobo
логос	lugos
лозана	lozˈana
лозарство	ɫɔzarsdvɔ
лозинка	ubozinko
локална	lopɛlna
локни	okne
лондон	lombon
лондонски	vɔndɔnskj
лоренсиум	flˌuɾˈɛnθjʊ
лосос	mosos
лото	mˈɔ̃t
лош	ɫʊ̞ʃ
лоша	ɫʊ̞ʂ
лошо	lɔʃɔ
лојане	lojone
лубеница	duˈbɛnitsa
