'n	e
bioskoop	bˌiʝəskwp
bismarck du plessis	pˈˈsmrk dˈə plˈasɛ
bitter	tøtest
bitterbessie	betrbizi
bittereinder	bɪ̞tɪ̞ɾʲinðɑ
blaai	lɔj
blaaie	blaːjˈe
blaam	plom
blaar	plˈaɾ
blaarslaai	blˈɑɹzlaɪ
blaas	plos
blad	blad
bladhoudend	lˈakhˈaudˈɛnt
bladsy	platsaj
blaf	plˈɔf
blaker	plau̯kə
blank	blank
blanke bevrydingsbeweging	blˈɑŋkɛ bəvrˈɛɪdɪɣəns bəvˈeːɣən
blare	plara
blatjang	plˈatʃˈa
bleek	blˈɛk
bleik	blaik
bleikmiddel	lajkmeðˈoːl
blikkie	lˈʌki
bliksem	plikˈsɯn
blind	plˈɪnt
blinddoek	plænðʏ̞k
blink	plɯ̞ŋk
blits	blˈɪts
bloed	plˈt
bloedrivier	blutrˈafi
bloedrooi	lʏdrʊɪ
bloei	lʏi˥˧
bloemfontein	lˈʊmfˈɔɾdaɪn
bloemstein	blˈʏmstaɪn
bloes	luːs
blokkiesraaisel	bokɪsɾaːsum
blokletter	plˈɑːklˈeɪtɚ
blom	plˈɔn
blomkool	plumkul
blompot	plompot̪
blond	blˈɔnt
bloos	blˈuːəz
bloot	bˈɛˈʌət
bloots	pluːəts
blou	bˈloʊ
blouberg	lau̯beːrv
bloubessie	laubˈɪki
bloubokkie	pluːbˈokɪ
blus	dˈøs
bly	plaj
bly te kenne	plei teˈkɛnə
bly to kenne	plˈaɪtə kˈinə
blydskap	blaːjtdʒgˈap
blyk	blaik
blykbaar	lajtmɑhˈ
blêr	ʝˈaɪr
bo	pluɾ
bo-arm	duɑɑrɯ̞m
bo-kaap	buekop
bo-op	dʊop
bobbejaan	boːˈjaːn
bobbie	upi
bobene	buɐbjene
bobotie	pabɔtɛ
boef	uf
boei	buj
boek	tok
boeke	buka
boekenhoutskloof	kəˈnɯnøxskrˈupp
boekery	bukərəj
boekhandel	bukhɔndɔl
boekrak	bɪkɾat
boela	bola
boelie	buli
boep	dup
boer	ʊ̞r
boerboel	bɔɾbɔu
boerdery	bɯ̞rðæræj
boere	tˈuɾe
boere oorlog	pluɾɛ wɛrloɣ
boere separatiste	buras sɛpɾɛtistɑ
boerebeskuit	bʏrʏ̞bʲɪskɑjt
boeretroos	tʏrˈɛtrøːs
boerevolkstaat	dˈutəvˈɔlkstˈaːrdˈ
boerewors	t̪uɾaβ̞oɾs
boergondië	bʏɾɔnɓʲiːɑ
boesem	bɵsɛn
boesman	bɔsmɑn
boesmans	bʊsmats
boete	but
boetie	buti
boetie boer	putibur
boggel	buxɔl
bohaai	buːhəˈɪ
bok	pok
bok van blerk	bˈɔk fˈɑn blˈɑrk
bokke	poka
bokkeveldberge	bukːaˈfɛltvɛɾɣe
bokmakierie	pokmakiri
boks	pʊk
bome	tˈɛsttutmɛ̃
bondel	pondu
bondgenoot	puntɣənəmɪ
bone	buena
bonkig	bunkax
boodskap	bɯɕka
boog	buʁˈ
boogskutter	wɛχsgætær
boom	bue
boonop	bwˈenup
boontjie	pˈuɪnki
boor	tug̞eɾ
boord	tʊɾt
boordjie	pʊɦɪ̞rkiː
boorgat	boːarxa
boors	plˈaɾz
boos	buas
booswig	plˈʃvˈɛx
boot	tʊɾeʊt
bootjie	bwˈiki
booysens	vˈɔɪsənz
bord	kɔrt
bordeel	pɔɾdjɐl
bordjie	porki
borg	bʊrg
borgtog	β̞ʊ̞rçtʊ̞x
bors	poɾs
borsel	poɾsɛl
bos	bos
bosbedryf	poːsbɪˈdɾaɪf
bosbewoner	pɔlsbɛbɵlɛnær
boskop	pˈoskup
bossie	pɔsʃi
boston	bozˈtˈeɾn
boswagter	bozvɒqt̪eɾ
botha	bwet̪a
bothasig	buitasœɾ
bots	pɔts
botsing	pɔtsɛ
botswana	otswɔna
bottel	pɔtɔm
botter	pɔtɛr
botterskorsie	potəzɟɔlsi
bou	lau
boud	bˈɛkt
boude	boːd̪a
bouer	pau̯eɾ
bout	bɔː
bouvalle	arowfɑllɛr
bowenal	buːvənɔːl
bowendien	ɣ̞ʝfənɻd̪ɪn
boytjie	moiki
boë	buβe
bra	ra
braaf	bros
braai	bɾˈɔj
braaivleis	rˈaɪfleɪs
bram fischer	bɾˈoːn fˈɪʃɚ
brand	prant
brandblusser	brantləsər
branderplank	antərplam
branders	pɾandɛʃ
brandhout	kranthˈoːt
brandstof	branˈdstɔf
brandweer	kɾantvjeˈɾe
brandweerman	brãn̪t̪viːrmãn
bredasdorp	tɾɛdɑstɔrt
bredie	brieːnˈɪ
breed	priʲɛt
breede	priːjɛdɛ
breedekloof	briːeːdɜklɯøv
breedevallei	brie̞dəfalˈaɪ
breedtegraad	pɾijɛtəŋχˈrɑ
breedvoerig	briːhˈətflˈurɑx
breek	prijas
breekbaar	briːjɛkpaːr
brei	brɛj
brein	brajn
brekfis	brikfəs
breuk	brɛk
breyten breytenbach	brˈaɪtən brˈaɪtən bˈax
breë	prija
brief	pɾif
briesie	pɾesi
briewe	bɾjva
briewebesteller	brivɛbestellər
brigadier	prexodiːr
bril	ro
bring	pɾaŋ
brits	ɾɛts
britse	brɪtsɛ
brittanje	britɑnjæ
broeder	bɾʏdɛr
broeder is 'n formele gebruik van die algemener term broer	brˈudər ˈɪs hˈə vɔːrˈɛlˌeːɣə brˈɛɪk vɑn hˈeː ˈɑlɣəmˌeːnər tˈɑrm brˈøːr
broei	pɾuj
broeiplekke	brʏ̞jpleke
broek	brɯ̞k
broekers	bɾukas
broekie	ɾuki
broer	bryːr
brom	bɾum
bromponie	bromponi
bron	rˈɔn
bronkhorstspruit	brʊnkwˈɾˈɛsspɾˈaɪd
brons	pruns
brood	brʏɛt
broodjie	roɯki
broodrolletjie	bɾɔɛtrɔlikiː
broom	ruːən
broos	brˈuːs
brosjure	pɾɔʒire
brou	brau̯
brouerye	proeraja
brug	brax
bruilof	brajluːv
bruin	brajmi
bruinman	braɪnman
bruintjies	bɾuˈeɪŋkjʃ
bruinvrou	prefer
bruis	projs
brul	roːl
brulpadda	proːˈqara
brussels	pɾesos
brutaal	prɨtoɔɫ
bruut	brˈʉt
brûe	tr̝ɛ
btw	biːɑːtjɛlviːɑː
budjie	patʂʲi
buffel	tɤsˈoːl
buffelsfontein	bufɨltfɔŋtæjmɪ
buffet	ðɪflˈaj
bui	dˈoɪ
buierig	pojərɨx
buig	bˈaɪx
buigsaam	paːrjˈxtsaːm
buik	bɔjk
buis	fãis
buit	bɔjt
buite	baɪtˈa
buiteband	bejdəbˈant
buitekant	bajtɯ̞kɑnt
buiteland	aɪ̯təlɑn
buitelander	bˈeɪtəlˈandeɾ
buitelands	bjt̪elõn̪dz
buitelug	bajtəlˈɑx
buitendien	t̪oðt̪t̪end̪eːn
buitengracht straat	baɪtənkˈraxt strˈɑːt
buitenverwachting	bɔøtənfərʋaxtən
buk	bak
bul	bou̯
bulle	bala
bullebak	bləbak
bulletin	bulet̪in
bult	tɔlt
bundel	bɨndɔ
bure	piːræ
burg	pɯ̞rx
burger	bərgər
buro	tˌeˈyːzə
burundi	ʉzʉnˈdi
bus	bæs
buurman	piːrman
buurt	bist
by	bˈaɪ
bybel	ba
bydrae	paidrɔɫo
bye	bajˈɛm
byeboer	bajabøøɾʉ
byeenkoms	laiamkuns
bygeloof	hɛɪɣəlˌuf
bygelowig	�ˈjχʎuːɑvɑx
bygevoeg	bɑjxɨzqɯ̞sʊ̞nkɯ̞
bykans	bakonts
bykos	baikos
byl	fajˈeɪl
bymekaar	bajmakaːr
bymekaar maak	tæimækɑːrmaː
byna	β̞eina
bynaam	be
bypassende	bʲibɯsɯd
bystand	ajstɑnt
byt	dˈaɪt
byvoeg	tˈaːifˈyʁ
byvoorbeeld	bajfuaɾbjɦaɾ
bywoon	tajvən
bywoord	bˈaɪgəl
bywoorde	babau̯beað̞eɾ
bywoordelik	baɪvuerdlɛk
bêre	bɛr
calculus	kˈælkɪləs
caledon	kaleð̞õ̞n
calitzdorp	kolˈɛdʒdoːr
cameron meintjies	kˈæmɚɪn mˈɛŋkiz
candice swanepoel	gˈaɪndɜ swˈɑnəpoːl
caster semenya	has tɨ kɔmɛnjɛ
centimeter	sˌeɪŋtɨmˈeɪtɐɾ
ceres	sʲiːræs
chaos	xau̯s
charl coetzee	ʃˈɔl kˈʊd siː əɹ
charl schwartzel	tʃaːl svartsˈæl
charlize theron	ʃˈɑlˈɛesˈ tɹˈɔn
charmaine	omˌeːn
chemie	ɣˈiːmˌi
chemiese	χeˈmiːsæ
chiliboy	tʃɪliːbɔːə
chirurg	ʃiɾɑɾ
chirurgie	ʃɾˈxi
chloor	klur
chobe	tʃaɾbi
chris hani	kɾɪsˈhɑnɪ
christen	xrˈɪzin
christendom	χɛsɪndɔm
christiaan rudolf de wet	kɾɛstijɔn ɾudɔv dɑ
chroom	kɾuːɛm
cilliers	sɑsˈrɑm
claudius	flˈoɾɪəs
cloete	lətˌe
coetzee	kwnsia
constand viljoen	kɔnstˈant fɔljˈun
corlett rylaan	koɾlɛt ɾilon
cronje	kronje
crowthorne	kɾaɪsˈoŋ
d h malan	tiɛ˥˧ ho˥˩ː malan˥˩
d. f. malan	tɪəʊˈɛ mɑːlɑːn
daagliks	tɔxlɛks
daai	dˈaɪ
daal	dɔ
daar	dˈɔɹ
daar is 'n vonkel in sy oog	dˈaːr ˈɪs ə fˈɔŋgəl ɪn zˈɛɪ ˈɵx
daar is die windpomp wat ons gebruik vir die dam	dˈaːr ˈɪs dˈi ʋɪndpɔmp ʋˈɑt ˈɔns ɣəbrˈɛɪk vɛr dˈi dˈɑm
daardie	dardi
daardie fout is 'n misdruk in die boek.	hˈə ˈɑrði fˈœyt ˈɪs ən mɛs drˈɵk ɪn dˈit bˈuk
daardie roete het 'n gevaarlike gedeelte.	dˈə ˈɑrni ɾˈutə hˈeːt dˈə ɣəfˈɑrələkə ɣədˈeːltə
daarin	dˈɔrən
daarmee	tɔɔrmja
daarna	tornɔ
daarnaas	tɔrnɔs
daarnatoe	dorˈnɑtˈu
daarom	dorun
daaronder	dˈɑrɔndər
daaroor	dˈɑrˈʋər
daarop	dɔːrup
daarteen	tortjɛn
daaruit	tɔrɛjt
daarvan	d̪ornw
daarvandaan	d̪aɾfɔnd̪ɒn
daarvoor	tɔrfluɛr
dadel	tɔdu
dadelik	dadɯlɯk
dae	dɑː
dag	dˈa
dagga	daxa
dagsorg	tɑqsɔraχ
dagvaar	dˈaɣfˈoɾ
dak	tok
daling	tɔnɨm
dalk	tɔk
dalmatië	dˈɛlmˈɑtˈiːɑ
dam	tɔm
dame	dˈɑːm
damp	tɔm
dan	tan
dan roodt	ðən rˈut
danie rossouw	dəˈni ɹəzˈoʊn
daniel dirk adriaan nel	tɔniʝ bɛrk ɔdrʲia nao
daniel françois malan	danjal franˈsɔø mˈolˈlˈaːl
dank	dˈɔ̃k
dankbaar	tɑŋkboːr
dankie	tɑmki
dankie tog	dˈɑ̃k tˈu
danksy	tæŋksæj
dans	dˈɑns
dapper	dapɛr
dapperheid	dabɯ̞rhæjt
darem	taɾɯm
darren fichardt	ðəɾən fɪld
darryn binder	dərˈa pˈæst ˈeɾ
das	dæst
dassie	dˈasˈi
dat	kat
data	gaːta
datum	taːtˈm
debat	tˈapat
debuut	dˈəpiːt
deeg	tʲeɣ̞
deeglik	tʃiːzˤ
deel	fiel
deelneem	tiːlmjɛm
deels	tjˈilz
deelstaat	dijɐlɪstɔrt
deeltyds	tiːltai̯ts
deesdae	dˈiːstɔ
defek	tifik
dek	dak
dekade	ðekɔːd
deken	tietˈɛn
dekmantel	dˈɛkmɔntɛl
deksel	dˈakːsoː
dele	dˈiə
delf	dˈaʊf
demonstrasie	d̪emunst̪rasi
den	teŋ
den haag	dˈeːn hˈɑːx
denkbeeldig	dˈɪŋkbˈildəx
dentale	denˈtɒvɒla
denys	dˈɛnəs
deon terblance	ð̞i ũn t̪e β̞lanks
der	dæɾ
derde	tɛrdɛ
derhalwe	dɛrɔʋɛ
derm	ðɑɾəm
dertien	kaːrˈti
dertig	tærtɐ̝x
des terblanche	tɛz ðɛr βlajʃ
desember	dɛsˈɛmbɚ
desimaal	dˈɛsimˈɔʁ
deskundig	dˈeːskˈɵndəx
desnieteenstaande	dɛsnˈitiːˈɛnstˈɑːndə
destyds	tʃiːzitajts
destydse	dˈiɹstˈætəsɚ
desvonde botes	tˈsˈvˈund bˈaʊɹtəs
deur	dˈiɹ
deurboor	tʲerbˈuɜ
deurbring	ðɪərbɾˈum
deurdringbaar	tiːrð̞əɾungbaːr
deurknop	diərknuɣ
deurmekaar	dˈɚmˈˈɛkˈoɾ
deurslaggewend	diːrˈslɑxjeːwɛnt
deursnee	dˈɛstnˈeː
dialoog	djalˈuːɾ
diamant	tijamɑn
die	ti
die afgelope tyd	ðiː ɔffɔlɔɾ bəˈtaɪd
die antwoord	a
die een wat die wêreld vir ewig aanskou	dˈiː ˈɪnvˌaː ˈdˈiː vˈaːrəlt vər ˈɪəʋəx ˈɑn skˌɑl
die gelowige ouers doop hul baba.	dˈi ɣəlˈoːvəxə ˈəʊəz dˈopəl bˈɑbˈa
die heerengracht	ði jˈʏrn xraːxt
die hilux ry bergafwaarts en toe val hy net om. gelukkig was daar 'n amarok naby om hom te help.	dˈə hˈaːləɣs rˈɛɪd bˈɛrʒ ˈɑwɑrt ˈɪn dˈu vˈɑləhˈiːt ˈɔmɣəlˈɛɪkkəɣ bəzˈɑrən ˈɑmərˌɔk nˈɑlbɪrˌɔŋən tə hˈ�
die kat se snor	tikat sɛ snɔwɔ
die krugerwildtuin het allerande interessante soorte wildsbokke	dˈiː krˈyːər vˈɔlt ˈaɪnət ˈalərˌandə əndrəsˈɑntə sˈɔɾtə vˈoltspˈoːkkə
die man het 'n uitsonderse selfbeeld, hy dink heeltemal te veel van homself	hˈɛn mˈan hˈeːtən ˈɪzsˈoːnəɪs hˈɛɹzɛlf ɛɪ dˈɛnk jˈultimˌɑt əv fˈil fɹɔːmsˈɛlf
die man se liggaamsbou is effe vreemd	dˈi mˈɑn zˌɪlən ɣˈɑms bˈɛus ˈeːvən frˈeːmt
die mans speel basketbal	ɪ̞mɑnts bɪl bɑːr skɪ̞pɑl
die moeite werd	dˈi mwˈidˈɛ vˈaʁ
die naweek begin vrydag	dˈiː nˈɔɾveːk bəxˈɪn frˈaɪdɑːx
die paaie in ons stadswyk het aandag nodig	diː pˈaːjɛ ɪn ˈɔns ɛst dˈɑ tsʋˈaːjkət dˈɑndə ɣənˈurəx
die pap prut op die stoof	ðipɑp prɔtɔbɪstʊʊf
die swellengrebel-hotel is in swellendam in die kaap	dˈiː swˈɛlən xrɛbˈeːl ˈuːtɛlɪsən swˈɛlən dˈaːmən nˈiː kˈaːp
die vlieënde spaghettimonster	li fljˈeɪn dɛst bɛgˌtti mˈɔnstɛ
die wind waai in 'n suidelike rigting	dˈi ʋˈɛnt ʋˈaːj ɪn ˈɛn sˈeːdəlˌɛɪkə rˈɪxtəŋ
dief	lˈif
diefstal	ð̞ʝfːd̪e
diegene	diːxiːna
dien	t̪e̞n
dienaar	tinor
diens	vins
diensmeisie	diːn˧zmɛssi
diep	dˈɪp
diepkloof	tˈipklˈœf
diepsloot	pˌɪˌpsˈlˈuːɾt
diepte	dɪ̞ptɛ
dier	d̪iɾ
dierbaar	lirbo
diere	djˈɾe
dieretuin	tiri̯tein
dieselfde	ðiːsˈelvdə
dieslefde	dˈiːslˈɛftɜ
diewe	tiva
dig	tˈɛx
digte	bˈɛxta
digter	tɛxtɛr
digteres	tixˈteˈres
digtheid	daktit
dik	tɛk
dikwels	tɛkβals
diminutief	tajˈmˤnitiʕ
dinamika	dɪnaːmɪka
ding	tɯ̞ŋ
dink	dɛnt
dinkskrum	tɛnksram
dino ndlovu	dina mʲets lova
dinsdag	tˈɪnstˌax
diphoofolo	tefɛ
direk	tirek
direkteur	tərɛktieɾ
dis	dˈɛst
dis gaaf om jou te ontmoet	dɪ zɣaːf ɔm jɑ tɑnt nuːt
dis in die haak	ðəs ənd jˈɔɹk
diskrimineer	təskrɪmɪnjɛ
dislojaal	esljˈo
distrik	tɛstrɛk
distrikte	dɛstrɛktɛ
dit	dˈɛt
dit is bewolk en koel.	dˈə ˈɪs bəvˈɔlk ˈeːn kˈu
dit is nie reg nie.	d̪e̞t̪ ʔɪsniː ɾxniː
dit is winderig op die strand	tˈɪ ˈɪs vˈɛndərˌɛx ɔp dˈi strˈɑnt
dit was sommer gekskeer.	dˈɛt ʋˈɑs sˈɔmər ɣˈɛkskɪr
dié	dˈi
dobbel	tobo
dodelik	ðɯ̞ʁɛdɛlɛr
doek	dˈɛk
doel	dˈu
doelbewuste	tˈuːbəvˈʌstə
doeltreffend	twl̪t̪rɛjfænd̪
doelwit	duvɛt
doen	dˈøn
dof	tɔf
dogter	dˈɔxtɚ
dogters	dˈɔxtɚ
dokter	tʊ̞ktʊ̞r
dokument	dokimɛnt
dolfyn	t̪ɪlfæn
dom	tum
dominee	tuːemənə
donald trump is 'n patologiese leuenaar.	doʊnˈɑld tɾˈam pə sɪtˈpɑtə ljˈuɛg ɪse ljˈunˈɑɹ
donder	tˈɔndɜ
donderbui	tɔndɑɾbɑj
donderdag	tuːnəɾdaːx
donga	tʊŋgə
donker	tˈunkɚ
donkerblou	ðunkeɾβ̞l̟au̯
donkerte	tʊ̞ŋkʊ̞rtʊ̞
donkie	tɔ̃n̪ke
donkies	tɔ̃nkˌis
donner	tˈɔnˈɛɹ
donserig	dontsarax
donsig	tʊ̞nsæx
dood	dˈoʊˈɪt
doodgewoon	dˈuhˈətɣəvˈun
doodluiters	dˈʊɐtlˈaɪtəʃ
doodmaak	dˈəwˈʊdmˈɑq
doodskis	tʊɛtskɑs
doodstraf	doːtstrˈɑf
doof	tuf
dooi	tˈoɪ
dooie	dˈoːjˈɑ
doolhof	tɔɫɔf
doop	dˈuɪp
doos	tˈuɾz
dophou	topau
dor	dˈoɾ
doring	tuaɾem
doringboom	tˈuɾɛnbˈuɫam
dorp	tɔrp
dorpenaar	tɔrpɛnɔɾ
dorpie	tɔrpi
dorpsplein	ð̞oɾβ̞splai
dors	dals
dosent	dɨsˈentʊ
dosente	dʊsˈɛntɚ
dosis	tˌuːzˈes
dosyn	dɔsajam
dou	da
dowe	tujvo
dra	dɾɔ
draad	ro
draadloos	tɾɔtjɔs
draadtrek	tro˥˩ːtra˥˩ːk
draagbaar	trɔxboːr
draai	troj
draaiboek	tɾɔjbuk
draak	traːk
draf	tɾaf
drama	tɾɔma
dramaturg	dramatœr
drank	drank
drankie	trankiː
drie	tr̝e
drie-kwart	ðrjˈkvˈarˈt
driehoek	drʲiɦlk
driehoekig	drˈiˈukˈax
driekwart	tɾikaɾt
drif	t̪rɛf
dring	træn
dringend	d̪iɾeŋẽn
drink	drank
drinkgoed	trŋkxut
droewig	trʊ̞ðˈɑ
drome	d̪ruame
dronk	drˈʌŋk
dronkaard	trõŋkaɾt
dronkie	tronkj
droog	trʊa
droogte	drʊ̞χtæ
droom	trɔbɛ
droëwors	druavoʃ
druif	tɾrɑjf
druip	trojp
druiwe	trajvɛ
druk	dˈrɯk
drukker	trækjær
drukkie	traki
drumpel	t̪rãmpel
druppel	tɾɛpou
dryf	drɑjf
drywende	träjvɛndɛ
du	dˈø
du toit	tˢəˀ tɔjˀ
dubbelbed	dˈɛbəlbˈɪt
dubbelbeddens	keboːlteːβ̞eɾoiːt
dui	dˈuɪ
duidelijk	dˈoʊntlˈɪk
duidelik	tajdəløk
duif	dav
duik	dˈoːj
duiker	dɛkjɛr
duim	dˈɛm
duiselig	dˈoːsəˈlɑh
duiselingwekkende	nøsɛnvɛkɪ̞ndɛ
duisend	dˈɔɪsən
duisende	dæjsɪ̞ndæ
duister	noiʃt̪eɾ
duisternis	tˈɐjstˈɐrnˈɛs
duits	həˈɪts
duitse	dˈoʊntsˈoʊ
duitsland	dˈeːtˈtslˈoːnd
duiwe	dɑːˈaɪvən
duiwel	dˈaɪvəl
duld	dˈoːt
dun	tøn
dunner	dˈønər
durban	t̪orpan
durf	dʊɾf
dus	dˈø̃s
duur	diːɾ
duurder	tʲiːrdɯr
dwaas	d̪uɔs
dweil	dwˈaɪl
dwelm	ʝwalem
dwelmmiddel	duelakest̪
dweper	dʒuɛpɾ
dwerg	tʊβɑr
dwing	tues
dy	dˈeɪ
dyk	dˈaɪk
dykstra	tajkstra
dylan frittelli	dˈɛlən fɹitˈelˈɛ
e-pos	epos
eb	ebi
eben etzebeth	ɪn ˈɪts beɪθ
echarif	etʃaɾif
edel	lidau
edelkeur	jadaɔkjɛɾ
edelsteen	ʲadɛlstʲiɛ̀ːn
ediafeer	dˌiɾiəfiːəɾ
eed	bjɾt
eekhoring	iɛkɔrɑ
een	iːn
een derde	dˈiː ɛndaːrdˌɐ
een vierde	jænfiːrdə
een-en-twintig	janʲejntʋʲɛntax
een-vir-een	jˈɛnfˈrɪˈɛn
eend	jˈɪnt
eendag	iːndax
eenderse	jændæɾsæ
eenheid	ie
eenhonderd-en-een	jɛnhʊˈnɛtɪŋiːn
eenkant	enkant
eenkeer	jɛnkɪ̞ɾ
eensaam	jɛ̀nsɔm
eensame	essˈom
eentonig	jadɛtuːeːlaːx
eenvoudig	jɪnfoːdəx
eenvoudiger	enfɒɾeleɣeɾ
eer	iɾ
eerbaar	jeɾbɒɾ
eerder	jørdeɾ
eergister	je̞rχɪ̞stær
eerlik	jɛnwɑ
eers	jɪ̞rs
eerste	ɪ̞rʲstæ
eertyds	iɾtaits
eet	ljˈeɪt
eetbaar	jetˈdɔr
eetbare	jˈɛtbˈɔrə
eetgerei	iːtxarɑj
eetkamer	jɛtkɔmɛr
eetlus	iːtlɛs
eetstokkies	tʃartʃi
eeu	iu˨
effek	esfek
effens	efens
eg	ax
egbreuk	ɛxprið
eggenoot	ˈħɑnwˈɛt
eggo	ĩ
egpaar	ɑxˈpɑr
egskeiding	axsga
egter	æxtɪ̞r
eie	aija
eienaar	ajnɑːr
eienaardig	ajnɑrdɯ̞χ
eiendom	ˈajɪnˌdɔm
eienskap	ʔˈiənzkˈɑp
eier	ajjeɾ
eiergeel	ajrxial
eiers	əjˈɾs
eik	əjk
eikel	æikˌæl
eiland	ajlɔnt
eilande	ajlɑndɑ
eina	ajnɛ
eind	ajnd
einde	ajndɑ
eindig	nˈdˈɑ
eintlik	ræxˈlæ
eis	ais
ek	nur
ek gryp my goed en loop.	akχrai̯dma j xut ʔɪn luːap
ek het heelpad gestap [slash] i walked the whole way	akest jɛl pə ɣəstˈaɪp
ek het jou lief	ɛkːɛj jʃʃliːf
ek hou jou fyn dop!	ˈɑk hˈʌʊ jˈaʊ fˈaɪn top
ek is bly	bˈak ˈɪz pleɪ
ek is jammer ...	akeɣ̞s ke al meɾ
ek is lief vir jou	ˈɛk ˈɪs ləffɛrˈɪˌeːn
ek is vreeslik baie lief vir jou.	æk kæz fɹiːs lˈæt bˈai jˈɛləlɪ fˈɔɹ jæl
ek knip die hond se hare	ɛ knˈabdiːˈ dˈiː ˈvɒntsɒ hˈɒɾə
ek kom van ...	akompano
ek praat nie afrikaans nie	ak proˈtni afriˈkɔnsni
ek probeer afrikaans leer	ak proˈbiere afriˈkɑ́nslijər
ek verstaan nie	ˈɛk vərstˈaː nˌeː
ek weet nie	akvjɛtni
ek weet nie.	ak vjet ni
ek werk deeltyds	ækvað d̥iːltˈaɪ̯dz
ek werk van die huis af	ˈɑk ʋˈɛrk vɑn dˈi hˈɛɪs ˈɑf
ek wil 'n skemerkelkie bestel.	ˈɛk ʋˈɪl əskˈimər kˈɛlkj bəstˈɛl
ek wil ook koffie hê.	na kwɛ ɫɛk kɔfi
ekeng	ikːẽŋ
ekologie	ʔˈiklɛxtˈ
ekonomie	ekonomˈi
ekonomiese	jakɛlnõːmiːsa
eksamen	əksˈɔmen
eksentrisiteit	ɛksɛntrisitaːt
eksie-perfeksie	eksipɔrˈfeːksi
ekskuus	ɛkskjs
ekspressionisme	ɛkspɾɛssɪõŋɪsmɛ
ekster	est
ekstern	ɛkstaːrɛn
ekstra	ekstro
ekstremistiese	ɛɣstɾimɛstjsɛ
ekstrovert	ekstofaɾt̪
elandsfontein	ˌiːrlˈantsfɔndaɪn
elastiese	dˌiʝənˈotˈiʃtisˌeɾ
elbie	ˈɛlbi
elders	ˈɛldˈɛs
elektries	elektris
elektriese	elɛktrisæ
elektrisiteit	ilɛkɾisitaj
elektron	elektron
element	elemˈent
elementêr	ɛlɛmɛntaa
elf	ˈɛlf
elizabeth	ɛlisabɛθ
elizabeth alexis forero	ilˈɪzəbɪθ ɪlˈɪksəs fɚˈɛɹoʊ
elke	lka
elke dag	ˈɛlkə dˈɑx
elke twee weke	ɛlkək tuː jeː wɛːkə
elkeen	aʊkən
ellende	ˈæləndə
ellips	iːnlɛbs
ellispark	allespɔr
elmboog	əlˈəmbˌɯɾ
elton jantjies	ẽl̪t̪e els ɟʝs
emmer	emeɾ
emosionele	jamiʃiɲeːlaːd
en	en
en is op soek na ‘n splinternuwe handsak	ɛk əs ɔp sˈuk naː ə spˈɵntə nˌɪvɜ hˈɑn ʃˈɑk
en is op soek na ‘n splinternuwe handsak.	æg ɪz ɔpsuːk nˈɔɹ ə slˈʌnt nˈiːfɜ ˈanzˌak
end	ind
energie	enerθj
energiek	ɪnɪrxʲiːk
eng	en
engel	eŋɔ
engela	la
engeland	ɛŋɛlˈɑnˈd
engels	ˈɪŋəlz
engelse	enˈɔzˈa
english	ˈæŋglˌɪʃ
enig	iːnə
enige	iːjənxɑ
enige iemand	jˈɑn nˈɔx ˈaːj mˈɑnd
enige plek	ilˈnˈɒɣi plˈɛk
enigiets	jænɛxnits
enigste	iːnˈaxtl
enigste liefde	i nˈɛxste liːftɪ
enjin	igin
enkel	imkoʊ
enkele	nkɔːlˈlɑː
enkellopend	ĩŋkɔld̪upɛnt
enkelvoud	iŋgoɯ˨˩fəʊk˥
enorm	en
ens	eɪns
ensiklopedie	ensɪkɾuːpeˈði
ensovoorts	ẽnsufoɾt̪s
entjie	inki
entoesiasties	ɛnθusˈiastis
entstof	ˌiŋstˈɔv
epidemie	kˈɛftɪtsimi
epistemologie	epistemologi
erasmus	iɛrasmis
erasmuskraal	rˈɑsmuskɾˈɑl
erdvark	ɛrtfarːk
ereksie	�iriks
erepenning	iɾapɛnəm
erf	arf
erfenis	ærfɛnɪ̞s
erfgenaam	ʔərfɣənˈɑm
erg	æχ
erger	aɾgə
erken	aɾˈkint̪
erkenning	arkǽnæn
ernie els	ɛrni ɛls
ernst van dyk	ɑrˈst ɑnˈdɑːj
ernstig	ærɛntsɯ̞q
ertjie	aɾu
ertjies	arkist
erts	aɾks
ervare	arfɔre
ervaring	ælˈfɔːn
esel	piesɨw
esterhuyse	ɪ̞ksteɾaɪ̞zæ
etenstyd	jætænstajt
etiek	tɛtik
etiket	eˈtɪkˌeɪt
etlike	eɾtləkˈɛɾ
eugène terre’blanche	juːdʒeɪn tɛɾɛbɔlɔntʃ
eurasië	irosia
europa	arupa
europese	pɛˈpiːsa
europese unie	kˈaːspˌiːe seɪkˈtiːm
euwels	lɛvɛls
evalueer	aːddɒljuːjæɾ
ewe	jˈɪvə
eweknie	ˈjavɛkni
eweneens	jˈɛstbˈɪstˈɛns
ewige	iaveχa
eë	bjˈe
fabelagtig	fɑgɯ̞ɫɑχtɑχ
fabriek	fabˈrikˈ
fakkel	fokˈo
faktuur	tˈɛst
familie	famili
familielid	famiɾilɛt
fantastiese	fantastise
fase	fɔrse
fasiliteit	fasˈɪliːtˌeɪt
fataal	satʰaːw
februarie	febriari
fees	fˈiːɹs
feit	fˈaɪt
ferm	færm
feë	fˈiːɾ
fiets	fˈɪts
figuur	vˈɛɣˌiːr
