'എനിക്ക് മീൻ ഇഷ്ടമാണ്'	ɛnɪkːeː meːn ɪʃt̪ːɐmɑːnɛ
പടയാട്ടി (padayatty)	pə teˈjati
പട്ടി	paːɐj
പട്ടിക	pəʈigə
പതിനൊന്ന് (pathinonnu)	pat̪iɾ ãmb les
പത്തനംതിട്ട	pətːənɐmd̪iʈːaː
പത്തനതിട്ട (pathanamthitta)	ɾt̪ːəɳam d̪ɪʈːaː
പത്രം	patːram
പയർ	pajˈeɾ
പരാജയം	pəˈrɑːdʒəjəm
പരിചയമുള്ള	paridʒeːjɐmuːɾiːlˈla
പരിശീലന	pˌaɾˈiθielelˈana
പരീക്ഷിക്കാം	paːɾiːkʃikiːn
പരുന്തു	baɪ̯rĩŋda
പര്പ്ല്‍	pɐɾpɪ
പരൽപ്പേര്	əɾəɭɪpoːɾu
പറഞ്ഞതില്‍	ɑnˈnɑd̪ɭ
പറോട്ട	paroːt̪a
പലായനം	balaːjenim
പല്പൊടി	palpoɽiː
പഴം	mər˥ɑm˥
പഴത്തൊലി	pəgət̪ulɪ
പവിത്രൻ	lavit̪ɾẽn
പശു	panʕɯ
പശ്ചാത്തപിക്കുക	pʌstʃaːt̪t̪ɐbẽːkiːgə
പശ്ചാത്തലം	aːstʃiatlɨm
പാചകം	pɑːdʒɑɣ̞ʰɑm
പാതിരി	qɑːbɪri
പാദസരം	baːrˈdɑzɑɾɯm
പാനപാത്രം	paːnpɑːt̪ɾum
പാനീയം	ɑːniːjɐm
പാലുകാച്ചൽ	paːliːgɑːɾtʃəɳ
പാളയം	paːɭeːjɐm
പാളയംകോടൻ	paːɻaɪ̯mkɔːɽən
പാവയ്ക്ക	pːaːvɐkːɐ
പാഷാണം	bˈaːʃaːɾŋum
പാൽ	bal
പിച്ചാത്തി	pˌitːʃaˌtˈti
പിന്നെ	pɪnˈni
പീച്ചിങ്ങ	piːtʃʰiŋa
പുകവലി	pukaˈvaj
പുച്ച	potzja
പുച്ഛം	p˥ʰt̚˥˩ʈʂʌm˥˩
പുട്ട്	pːʊʈːɐ
പുതിയ	poð̞ia
പുര	kˈuɾˈa
പുരാണത്തിൽ	puɾəɳət̪ːil
പുഴ	uʒɒ
പുസ്തകം	pustakɐm
പൂക്കിപിടുത്തം	aukivʊɳt̪əm
പൂച്ച	putsja
പൂച്ചകൾ	puːtɕːəgɐɭ
പൂച്ചെണ്ട്	puːtʃɛɳɖɐ
പൂഴി	puɾiː
പൂവ്	puvə
പേതം	teːð̞əm
പേന	fe̞e̞naːʔ
പേര	beːri
പൊറുക്കണം	pɾukːəɳum
പോകേണ്ട	poːgeːnɖa
പോക്രിത്തരം	okrjitaɾem
പോരായ്ക	poraiːga
പോരായ്മ	oɣoɾaimɐ
പോര്	pˈoɾ
പോവുക	pɔːɫgɐ
പ്രകാരം	bɾɐgɑrɪ̞m
പ്രകൃതി	pɾeɣ̞ɾat̪ik
പ്രകോപനം	ɾekɔɦpẽnʝ
പ്രതിനിധികൾ	pnbʱiːniːɾbʱiːkəɭ
പ്രതിവിന്ധ്യൻ	pɾað̞iɣ̞vint̪ion
പ്രത്യക്ഷീകരണം	pərt̪jkːʃiːɖɳɖɳ
പ്രത്യാശ	prat̪jaːʃa
പ്രധാനമന്ത്രി	əradɑːnmɑndrɪk
പ്രധാനമാണ്	ɾɑdaːnemaːn
പ്രഭാതം	prapʰaːt̪
പ്രമീത	ra˨˩mi˥˩tɑ˨˩ra˨˩sa˨˩
പ്രവാസജീവിതം	qɾoːaːsadiː
പ്രവാസി	pravasi
പ്രവാസികൾ	pɾɐʋaːɕiɭɐ
പ്രവർത്തനം	ɾabɑɾtənəm
പ്രാവ്	pravɐ
പ്രേരിതം	ɾeːɾidam
പ്ലൂട്ടോ	pluto
ഫ	fã˥
ഫണം	ɳɑnəm
ഫലം	bɑˈlɑm
ഫാലം	ɑːlɑːm
ഫേനകം	baɪ̯nɐgɐm
ഫോട്ടോ	poˈtoˈ
ബ	aː
ബംഗാൾ	b̪ɛŋaːɾ
ബന്ധങ്ങൾ	bandhaŋgɐ
ബഹുഭാര്യത്വം	baːhubħɑːgjət̪n
ബഹുമാനം	baɣlˈmɑːnɑm
ബിരുദം	β̞jɾut̪t̪ɐm
ബിരുദാനന്തരബിരുദം	oi̯dɑːnʈəˈɾɑb
ബുധനാഴ്ച	bːud̪jˈnaːjɛ̀ʃe
ബുധന്‍	boːtən
ബ്രഹ്മാവ്	bramɾavɨ
ഭ	bˈa
ഭംഗം	pʰŋgɐm
ഭംഗി	bʱɑŋːiː
ഭക്ഷണശാല	akɯʃɑmɑsɑˈlɑ
ഭരണി	fərˈniː
ഭര്‍ത്താവ്	dartavɨ
ഭാഗം	hɑːnˈdɯm
ഭാരതം	bʱɑːrəgəm
ഭാര്യ	bʱɑːrɪäː
ഭാഷ	pʰa˥˥ʂɚ˨˩˦
ഭാഷാശാസ്‌ത്രജ്ഞന്‍	nɐʃaʃaːstraːtnɛ
ഭിക്ഷ	bʃˈa
ഭീക്ഷണി	bʱiːkːɕːəɳiː
ഭീഷണി	ɓiːsɐniː
ഭൂമി	boːmi
ഭൂമികുലുക്കം	buːmiːguːlʏkːʏm
ഭൂലോകം	pluːgum
ഭൃത്യന്‍	pɾʊ̞tːjɛn
ഭേദം	bʰeːdˈʌm
ഭൈമി	ɓəjɛmɪ
ഭോജനം	bodʒənəm
ഭ്രംശം	brɐmsjɐm
ഭ്രമണം	bʱɐɾmɐnəm
ഭ്രാന്തി	prandi
ഭ്രാന്ത്	frɒːmˈd
ഭ്രാന്തൻ	pɾəɣdiŋ
ഭർത്താവ്	ɦɛrtavɨ
മ	ma
മംഗ	manga
മകൻ	mˈɑkə
മകൾ	makə
മഞ്ഞ	manʝa
മഞ്ഞപ്പിത്തം	manʲapɪdːɐb
മണിച്ചട്ടം	maːn̪itʃʃəʈːɐm
മതസൗഹാർദം	mantzsoːˈobaːrmɨ
മത്സ്യബന്ധനം	ɦɑːlsijʊbntʰɾu
മത്സ്യസമ്പത്ത്	mɐlˈsiːsɐmbad
മദ്ദളം	maːd̪aɭː
മദ്ധ്യധരണ്യാഴി	ɑːt̪ʰjɑːɖʱɑːɾɐɳjɑːɭ
മദ്യം	mattʃim
മധു	mˈatˈu
മനസ്സിലാക്കുക	maːnəstɪlɑhkoga
മനസ്സും	manasˈm
മനുഷ്യന്	manuʃjne
മനുഷ്യസ്നേഹി	maluʃesnˈeˈhi
മനുഷ്യൻ	mˌɐɾʊʃtˈeɪŋ
മനോജ് നൈറ്റ് ശ്യാമളൻ	ɫanudzʲnaj pʂomɨ
മനോരമ	manoɾama
മന്ത്രി	mandri
മയൂരം	majuːrˈam
മയ്യഴി	maːjˈɑːliː
മരം	mɐɾəm
മരങ്ങൾ	ʋɐɾəŋɭ
മരണം	mɐɾɐɳum
മരുന്നുകട	mɐɾʊ̃ŋgɐɖɑː
മറ	maɾaː
മല	mɑːlɑː
മലപ്പുറം	mɐlɐpːurum
മലബാര്	ʃoːlabaːr
മലബാര്‍	malabˈɑɹ
മലബാർ	malabaːr
മലയാളം	maljɑːɑːlɑːm
മലയാളഭാഷ	malɛːɑːɭɑːbʱɑːʃɑː
മലയാളലിപി	ɑlˈʔaːdˈeˈbi
മലയാളി	malˈleːɑli
മലയാളികളുടെ	maljaːɭigəlːʋiː
മലിനീകരണം	məˈliːniːgəɾɾə
മല്ലപ്പള്ളി (mallapally)	maːlː peɭːi
മലർ	malar
മഴ	muxa
മഴ പെയ്യുന്നുmazha peyyunu - it is rainingഴ poorly transliterates into "zha"	məɻə pejɯɳu
മഴവില്ല്	mɐɻəʋilː
മഴു	məɾu
മഹേഷ്	mɑheʃ
മാങ്ങ	maŋa
മാതൃത്വം	maːdrɯdɯm
മാതൃഭാഷ	mɑːd̪ɾbʱɑːʃɑː
മാനം	maːnəm
മാന്യൻ	maːnjɛn
മാറാവുന്ന	maːɾaːvɭnˈ
മാലദ്വീപ്	maːladuːba
മാസം	mɑːsɑːm
മികച്ച	miːgːə
മിഴി	mˈil
മീൻപിടുത്തം	miːnpiɖut̪ːm
മുഖൃമന്ത്രി	muːkːʰjamɑndɾˈi
മുടി	buɾi
മുയല്‍	moːˈljɛ
മുറി	ɾˈi
മു൯പെ	menbi
മൂട്	muːɖɐ
മൂവർണം	muːʋgɾn̪um
മൃദംഗം	rʏ̞bʏ̞ngʏm
മെനക്കെടേണ്ട	meːnːəkeːɖeːeɳɖa
മേഘം	maekjeõː
മേല്‍	meˌeːl
മേശ	neʃa
മേശവിരിപ്പ്	meːʃəʋiɾipː
മൽസ്യം	malsjem
മൽസ്യകന്യക	maltsiːgˈænnˈeːgɑ
മൽസ്യകുഞ്ഞ്	malsʲikɨnʲːe
മൽസ്യബന്ധനനൗക	baːlsiːaːbt̪jonaː
യ	dˌiːzə
യഥാതഥ്യപ്രസ്ഥാനം	ɪt̪ʰaːt̪ət̪kʰjprəsʈʰaːn̪əm
യഥാർത്ഥ	jˈɑdɑrdɑ
യമൻ	nʲ
യഹൂദമതം	jˈɑɦudɑmɑtɪm
യഹോവ	jɛhvɑ
യുദ്ധം	jˈʊtːɑːm
യുറാനസ്	jʊɹˈɑnəs
യേശു	jɛsʲu
യേശു ക്രിസ്തു	jaʃi kɾustu
യോദ്ധാവ്	joːtɑ̃b
ര	lɛa
രക്തം	rɛktɑm
രണ്ടു	dɑːndʊɐ
രസികനായ	laziɣ̞anumeɾoaje
രാജസൂയയാഗം	ɾɑːdʒdsoːrijɑːgʌm
രാജ്യം	rˈɑdˈim
രാമചന്ദ്രൻ	ramatʃantrɛn
രാവിലെ	ɾaːvjle
രാഷ്ട്രതലവൻ	rʌs̪t̪ɾɐt̪t̪eːɭəvɛn
രീതികൾ	ɾilɛɭɛt̪ikɔn̪
രുചിയുമായി	ɾʊdʒiːuːmaiː
രോമാഞ്ചം	ɾɔmɑndzɛm
റ	la
റാന്തല്‍	ɾaːɳɖəl
റേന്ത	ɾɛnda
ല	la
ലംഘനം	lˈɛnkənɪpp
ലക്ഷദ്വീപ്	lakʃˈadˈyˈebo
ലിജോ	lidʒu
ലിപി	libi
ലെ	lˈe
ലേലം	lajlɛm
ലോകം	lɔɣ̞ɔm
ലോഹം	lɔhm
ള	la
ഴ	ʁˈa
വ	væː
വംശീയകലാപത്തെ	wmʃiːjɛkɛlɑːbatːai
വകുപ്പ്	ʋaːgupːɯ
വടി	ʋaɽiː
വട്ട്	ʋt̪
വട്ടൻ	ʋɐɖːu
വണ്ടി	vəɳɖiː
വയസ്സ്	vaes
വര	loja
വരാന്ത	bəɾaːnˈda
വര്‍ഷം	fʊ̞rʂɐm
വര്‍ഷങ്ങള്‍ (varshangal)	ʋɐɾʂɐngɐ
വല	ɑlɑmɑlɑm
വലിയ	ʋɐlɪə
വള	la
വളരെ	ʋɐiɾe
വഴി	aʎˈi
വസന്തം	vɑsɯ̞ntɯ̞m
വാക്കുകൾ	ʋkːɯgə
വാക്പോര്	vˈakpˈoɾɨ
വാഗ്ദാനം	væˈnæd
വാചാലം	ʋɑːtɕaːlɐm
വാതിൽ	ʋaːd̪il
വാദപ്രതിപാതം	vaːtʃtˈabraɖibaːt
വായ	vˈaɪə
വാരാന്ത്യം	ðæɾændjɑm
വാള്	vˈɔl
വാഴ	maː
വാഴപ്പഴം	ʋɑːɭpːɐɾum
വാർത്ത	vartˈa
വാർത്താ സമ്മേളനം	vartˈa səmɪj
വാർത്താസമ്മേളനം	ʋɑːɾtɑːsəmɛɾnə
വാർഷികത്തിൽ	ʋəɾɕiːgʱʈːalɪ
വികാരി	ʋikɑːɾiː
വിക്കിപാഠശാല	ŋikiːpaːɽʈʰaːtʃʰaːlɔäː
വിജയം	bitʃajɛm
വിട്	lˈɛɹi
വിദഗ്ദ്ധന്‍	ʋidɐkʰɐn
വിദേശരാജ്യങ്ങ‌ളിൽ	ʋɪd̪eːʂɐɾɑːdʒŋn̪ɐɭil
വിദ്യാഭ്യാസം	ʋɪd̪jɑːpjaːs̪ɐm
വിദ്യാര്‍ത്ഥി	liːbːiːɑːrˈtˈi
വിധം	ʋɪd̪ʱɐm
വിധേയന്‍	bid̪ʱeːn
വിനാഗിരി	vinagɾi
വിനിമയ നിരക്ക്	vinima ja niɾakɯ
വിര	miːɾe
വിരലുകൾ	biːɾelɵkɛɾ
വിരൽ	vidˌæl
വിറ	bira
വില	βile
വിലയിരുത്തുക	vilˈiɾtˈugˈɑ
വിഴുപ്പ്	ʋiɖupː
വിവരം	biβɯɾɯm
വിവാഹം	viːʋaːhɐm
വിശുദ്ധ	bɪsʊd̪ʱʰäː
വിശ്വസ്ത	wjaɕwɛstɑ
വിശ്വാസം	viːstʃuːvsɔː
വിശ്വാസതിരുസംഘം	bisʋaːsɐt̪deɾusʱɐŋgɐm
വിഷം	lyiˈʃˈɛ
വിഷയം	viʃʃejem
വീഞ്ഞ്	vˈiɲɐ
വീട്	viːɾˈɛ
വീട്ടുകാര്യം	viːtːukaːdiːm
വീപ്പ	vipa
വീഴ്ച	vitʃa
വീഴ്ച്ച	viːlˈtʃæ
വൃത്തികെട്ട	ʋrʊːt̪ːigɛʈː
വെടി	ɾeɪdi
വെടിയൊച്ച	ʋeɖioːt̪ːɐ
വെയില്	ʋejlɛ
വെളിച്ചം	ʋɐɻɪtɕːɐm
വെളിച്ചപ്പാട്	ʃːɐɾɪtɕːəpaːɽ
വെളുപ്പ്	ʋeɻupː
വെള്ള	ðeːllˈa
വെള്ളം	vɛlːɐm
വെള്ളപ്പൊക്കം	be̞llapɔkɔm
വെള്ളിയാഴ്ച	beːlˈeɪɑːɾiːkə
വേദപുസ്തകം	beːreːtæpostːɑgɑm
വേദി	veːdi
വേറിട്ട	ʋeɾeta
വേഴാമ്പല്‍	ʋəɾaːmbəl
വൈകുന്നേരം	ʋajgunneːrɐm
വൈദഗ്ധ്യം	wajidɑkpʰi̠am
വൈദികൻ	ʋaɪd̪iɣ̞ən
വൈഷമ്യം	wɒiʃjɒmniˈm
വ്യാകുലം	jɑːgwlæm
വ്യാഴം	ʋɪ̯aːɻːum
വ്യാഴാഴ്ച	bjaːlːaːjtʃaː
വർക്കല	bərklɑ
ശ	ɕˈa
ശംഭുരേതസ്സ്	sɑmbʊɾeɾ
ശക്‌തം	sjɑqtɑm
ശത്രുക്കൾ	kʰʰtp
ശനി	ʃani
ശനിയാഴ്ച	ʃɑːnijɑːɑːɾtʃə
ശരം	seɾɛm
ശരത്കാലം	ʃɛɾɑtkɑlɪm
ശരദ്	ʃɛrɛt
ശരീരം	saɾiːrim
ശാന്തനും	ʃɑːndɑnɯm
ശാരീരികം	sɑːriːriːkəm
ശില്പ	ʃilˈpˈˈ
ശിശിരം	sis̺iɾem
ശുക്രന്‍	ʃɪ̞kɾʲɪn
ശുഭരാത്രി	siberaˈtɾi
ശ്വാസോച്ഛ്വാസം	ʃɔ̀ːsoːɕuːaːs
ശർക്കര	ʃɛrpkɐrɛ
ഷ	ʂa˥˩
ഷീറ്റ്	ʃiːd
സ	sɔː
സംഗീത	sngit̪aː
സംഗീതം	enɣ̞ilem
സംജ്ഞ	sapnʲa
സംസാരിക്കുന്നു	saˈsaiɾigɯnɯ
സംസ്ഥാനം	samstɑnɯm
സഞ്ചാരി	sandʒaːriː
സത്യം	sɐtˈtɪ̞ɐm
സന ഖാൻ	sɔːnˈaː kˈɑːn
സന്തോഷം	saːm˩˩˦doː˨ʂɤŋ˨˩˦
സന്ദർശിക്കുക	t̪s̺and̪ɐrʂiːkueɦa
സന്ധ്യ	sãn˥˥tʰia˥˧
സഭ	sapˈa
സമയം	samɑjɯm
സമയനിഷ്ഠ	zomĩ
സമയപരിധി	saːmajəpɛːt̪iːt̪iː
സമരം	iˈsamɯɾɯm
സമസ്ത	saˈmastˈa
സമാധാനം	fʔæmɑːthænæm
സമുറായി	saːmʊɾɑːi
സമ്മാനം	smaːn
സമർത്ഥനായ	sɐmɐɾt̪t̪nɐja
സവാള	savaːla
സാധാരണമായ	ɐːt̪ʰaːɾɐɳəmaːj
സാരമില്ല	sɒɾimili
സിംഹം	sin
സുഖം	sokˈɑm
സുഖമാണോ	sukamano
സുഖാണോ	sˌugˈanˈou
സുപ്രഭാതം	suprabadɐ
സൂര്യന്‍	sʊːrjɛn
സൂര്യൻ	sˌu˥˥an˥˥
സെമിത്തേരി	semjˈtari
സ്ത്രീ	striː
സ്ഥാനം	staːnɛm
സ്ഥാനമാനങ്ങൾ	tɦnɛmaːnɪˈmɪr
സ്നേഹം	sɛːˈhamna
സ്നേഹപൂര്‍വ്വം	finehɑpoːrvɑm
സ്നേഹിതന്	siːneː
സ്നേഹിതൻ	neːɦɪt̪ə
സ്രിധർ	srɛdaʒ
സ്വപ്നം	swpnɐm
സ്വപ്നലോകം	swɔbnˈɛlɔkɔm
സ്വാഗതം	svaːgɐda
സ്വാഭാവികം	svaːbʱaːvɪkɐ
സ്വർണം	zˈvɑrˈnɑm
ഹ	zˈaɪn
ഹനുമാൻ	anumani
ഹരിതാഭ	hai˥˧li˥˩ta˥˥pʰak˨
ഹവാല	ɑwɑːlə
ഹാജരാക്കുക	ɑːzɾäːkːɭäː
ഹാലേലൂയ്യ	halilujah
ഹാസ്യം	heʃim
ഹൃദയം	ɣɾadaʲem
ഹൃദയാഘാതം	χrɛdajaːkadəm
ഹേമന്തം	æːmɐntəm
ൠ	r
