'a	a
preta	plˈeɪtə
prete	prˈɛtː
prevete	pɾɛjvɛtɐ
preziuse	tɐtsˈiwsʌ
preàmmolo	pˈɾeammolo
priesto	pliɛst
priggiuniero	pridʒʊnˈire
primma	prima
primmavèra	pɾimavˈeɾˌɐ
primmo	primˈo
prià	pria
produzzione	produkiona
pruvincia	provintse
pruvolone	provolõŋe
pruvà	prova
prèta	prɛjda
pròceta	pɾɔʃitɑ
pubblecàjeno	publɐgˈajlˈ
puje	ˈɔːjˈ
pujje	apˈoj
pulecenella	pɔɾuʃnɛjɫa
pulicinella	pʊltʃinɛll
pullanca	pˌullˈang
pullasto	plˈast
pullecenella	pʊlˈlɛtʃɛnella
pummarola	ummarola
puorco	porka
puozze	puaʲtsɨ
puparuolo	puparuɔla
pupata	bubaːhɑdɑm
pure	pˈuɾɐ
purpetiello	pʊrpɛtiel
purpetta	pɔrpetːɐ
purpo	pufa
purtuàllo	pʊɾtualː
pusilleco	pusiʎaka
pusilleco addiruso	poˈsɪlːo al kˈatʃ
putimme	potɛimma
puté	pute
puzzo	uts
può	pua
pède	peːr
père	peːnˈnˈɛ
pò	pɔ
pòrta	pɔɾt̪
pòvera	poːveːra
pùglia	puxja
púgghie	pungj
quanno	kwˈan
quase	kwazi
quatro	kwˈatɹɐ
quatèrno	kwadɛrno
quequero	kwekwˈˈa
rafaniello	raːfaːnjɛl
raggia	madʒa
rammaggio	ɾamnaj
rammàggio	rˈaːmmadʒːo
ramo	ramɔ
rancio	antʃa
ranogna	hˈælˈoːnˈjˈe
rastula	rastʊla
rattuso	ratːuːzɐ
re	ɾe
recchia	rˈikːa
recitava	kresiðola
regalo	regalo
rena	ɾɛjnæ
rene	pliɪe
resta cu' mme	la la est̪aɾ ãmb me
restarria	res̺t̪aɾd̪ia
rezza	ɫitsːɛ
ricchione	resististʃarma
rifurmàte	riformata
riggina	lˈɛktˈnˈɛ
rilorgio	loiloːrnˈtʃu
rilòrgio	riloˈrdʒː
rimpetto	rimpet̪ːa
rine	ilˈoːsə
ripostijo	ripoztiʎ
risciatà	rjʃatˈa
risponne	ɾiʃbɔŋni
risponnere	rɪʃponnera
riuscette	riʊsɛt
romma (roma)	rom
rosa	lˈɔsa
rose	roːzɛ
rummore	lummoːra
rusecà	ɾusɛka
rusella	rʊzella
russo	luːsˈ
ràggia	rˈadʒ
s'hann'	saːnɫɯ
saglie	sagɛ
sagliere	saʎeɾa
sagliette	saʎetːa
sagliuta	sajˈeuwz
sagliuto	saˈiwldɔ
saje	sˈaɪɐ
salierno	salierna
salone	uzalooŋ
saluto	salutɐ
sanghe	sang
sango	sang
santa lucia luntana	navɔsijɑmun
santacróce	sladˈagɾˈoʒɛ
sanzaro	saːnzaːr
sape	sˈɑbɐ
sapimmo	saβ̞im
sapurite	sapurita
sapè	abe
sapé	sapi
sarraje	saraiɐ
sarranno	saran
sarvietta	salvjetːa
satu	sato
sbrevugnà	ʒɛbrɛvɔnɪa
scala	ʃkala
scale	ʃkala
scalinatella	ʃaːdinɑtɛnla
scaline	skadɪna
scannetiéllo	ʃkanˈnatjˈɛlːa
scappi	ʃkatpi
scaravattolo	ʃkaɾalat̪t̪ala
scarfalietto	ʃkˈaɾfalˈetːa
scarpa	ʃkˈarpa
scarpesà	ʃɪ̞kɑrpsɑ
scarraffone	arafon
scarrafone	ʃkalafɔlɛ
scarrecà	ʃkarega
scarrupato	eskaɾɾopaɦt̪e
scartellato	ʃkartɛlˈatɛ
scartiello	tʃkastʲeʝa
scassà	ʃˈkɒsˈam
scelle	ʃɛl
sceneggiata	ʃanadʒaːda
scentella (scintilla)	ʃɛndɛlˈlˈa
scesa	sʃeza
sceta vajasse	tʃɚ dɔ va jas
scetato	bɒʃɒtadt
scetà	tʃˈɛta
scetànnome	ʃˈɛtaːnnˈɔmə
schiarato	skarata
schiattare	ʃkɐtˈaɾɐ
schiattà	skˈɛttˈa
schiribizzo	tʃkʰɛːmitsːɛ
schizzechià	eskitsɔdia
scialà	ʃala
sciarabballo	ʃaˈraːbˈall
scienzia	ʃtie
scigna	tʃinja
sciore	ʃora
sciosciabror	ʃoʃabrˈɔr
scippo	ʃip
sciummo	ʂum
sciure	sa
sciurille	ʃurilˈlɛ
sciusciata	ʃuʃadɐ
scola	ʃkɔla
scopa	ʃkɔpa
scostumatezza	suːkoːsʊtɯmɑdɯːtz
scotta	skotːa
scritta	ʃkrita
scrive	skriːva
scugnizzo	ʃkuˈnitsːɐ
scumma	ʃkˈomtˈma
scunzulato	ʃkʊnsulatɐ
scuorno	ʃkɔɾnɐ
scupà	ʃkupa
scurda	ʃkuɾda
scurnuso	ʃkʊɾnuːvɯzɯ
se	se
seggia	sˈɛdʒː
seie	seje
semmana	sammaɾna
semmàna	fammano
sempe	ˈsentɔː
sengate	sangadɐ
sento	seŋgə
sentì	səntˈi
servì	sɛrvi
sete	siːdæl
settembre	setːˈembr
sevaiola	svaioˈlˈ
sfaccimma	sfatʃma
sfaccimme	supatʃimo
sfessato	ʃˈvɛsˈatˈɐ
sfizio	ʃvˈiːtsjɐ
sfogliatella	ʃvˈuːdʒadɛlla
sfravecà	ʃfrapaga
sfreculià'	ʃtˈɛrkulɪja
sgabbuzzìno	tʃɨkabutsiːnɨ
sgarrupà	ʃgɐruˈva
sguarrà	ʒgwaɾa
si bell	la
siccomme	sɪkɔm
sicuro	seɣˈuɾɐ
silenzio cantatore	zilˈɛndzɪ kˈandaˈ tˈore
simm'	simm
sine (sì)	sˈina
smog	smɔːk
so'	sˈoː
soja	sɔuɛ
sole	fou̯l
song	sʊŋ
sorde	sˈɔrd
soreta	sˈɾˈɾˈdˈɾˈ
sorice	soːrɛʃɛ
sosere	sɔsɛra
sott'a	susta
sotta	sutːɑ
sotto	sˈotːɑ
spaccanapoli	spaːkanaːpolɛ
spagna	ʃpˈaɲa
sparadrappo	ʃpaɾadrap
sparagno	sparagna
spasso	ʃpˈasʃɐ
specchio	ʃpˈɛkˈtˈ
speranza	ʃpranzɛ
sperevano	sparejʋene
spero	peɾa
spertusà	ʃpɪrtuˈsa
spine	tʃpˈiŋˈɛ
spingola	spiŋgla
spireto	spiɾeta
sponta	ʃpˈoŋtɐ
spremmuta	spremutɐ
spullecata	ʃpullokatɛ
spurtiglione	ʃkustiʲoɫna
spurtiglione (pipistrello)	spurti iʃoɾn
spusammo	tʃuβ̞uzɒnima
spusàmmuce	ʃpozaːmmɑʃɑ
spàlla	spawɫ
spànnere	spamˈnˈɾˈɑ
st'	ʃtɛ
sta	sta
stagno	sdɑːnjʊ
staje	stavɛja
stammatina	stammatʃi
stammo	stˈam
stanz' 'e bagno	stanˈdzɛ baiˈɲːa
stanza	sans
stanzetta	ztanzejt
stata	tɑːdɑ
stateve	staɾtɛdɔ
statt senza penziere	ztaːtːə senˈsa bənˈsijərɛ
stella	stˈɛlla
stesso	stetso
stommaco	stɔmmaka
stong nguaiat	seŋgwˈaðˈo
stong'	stɔngɑ
stong' 'nguaiat'	stɔŋɔ uajat
stracquavemo	sðɾakɔbɐmɐ
stress	ʃtɾɛs
struie	strooie
strummolo	ztruːmˈɔlˈa
strunzo	struːnˈsɔ
struppiaje	strupjaiɛ
strùzz	strʊtsːa
studiato	stʊriˈata
stà	sta
stòmmaco	stomamagam
subbeto	sˈubbˈadɑ
sudore	sdovore
suggerì	sutʃːiɾi
suggiórno	sʊdʒoɾnɔ
sujo	sˈuːjɐ
sulamente	solamẽn̪t̪
sunnato	sʊnˈnɐdɐ
sunnà	suna
suonne	suon
suonno (sonno, tempia)	suɔnːa
suppigno	supiɲe
supponta	supõŋta
surbetta	urbetːa
surdato	sordatæ
suricillo	solidʒilla
surriento	surientɛ
susete	susɛte
susevamo	susˈeivɛmɛ
sustantive	sustanðiivɛ
sustenuta	sustɛnuta
svenne	dʒʋɪn
sàbbato	sabada
século	sajkula
sòla	tsɔola
sóla	sˈɔla
t'am	tɛm
t'astregno	tastrˈenjo
taliano	taliana
taluorno	talornɐ
tamarro	lamaɾ
tammorra	t̪eamora
tammurriata nera	tˈɪ mˈorˈiː aː dˈan iɾˈa
tammurro	t̪eamuɾa
tanno	dˈan
tardë	t̪aɾð̞o
tarëndë	t̪aɾð̞o
tavula	taːwɑlɑ
tavuto	tau̯da
te voglio bene assaje	koː mɑgˈljʊm eːɾə sɑh aj
tecniche	tekːnikː
tenimmo	tʃiːniːmmi
tené	tani
terra	tˈɛrɾa
terrazzo	t̪aɾrãt̪s
testiculì testiculà	ð̞est̪ikuli ã ð̞est̪ikula
tiano	tiana
tiempe	tjˈɛmpə
tiempe passate	t̪ɪmbɾe pazsata
tiempo	tjˈemba
tigre	tigrɛ
tirabbusciò	tʃiɾaβ̞uiɣ̞so
tiràte	tiɾatɐ
tiràti	tiˈraːjˈtɑ
tisicuzzo	dɪzˈɪkˈutzu
titina	tʲitɪne
titto	fʲitː
tonnò	tˈuːl
torre 'o grieco	tuɾɾu gɾeka
torre nunziata	tɔrʃanontsiata
torre ’o grieco	toro bɾika
totonno	totonne
totore	totːoʊrˈe
trammià	tɾanmia
trasì	tɾasi
tridece	triɾeʃe
tronola	tɾɔnɛlɛ
troppo	trˈopːa
truono	trˈɔla
truvato	truvat
truvà	truva
tujo	tˈuɐ
tuojo	tˈuɾja
tuone	twɔnɛ
tuorto	tʊɐ̃rtɛ
tuosto	tʊɐstɐ
tuppe tuppe mariscià	tokˈbãn miːɾ ðˈæst
tutt'	tutːo
tutte	tutː
tècchete	tɛkːɯzɯ
umane	umaːn
uocchio	okːjɛ
uoglio	vojdʒo
uosso	was
urdeme	ɔrdiˈmɑ
urdemo	urdɪmæ
urzo	uz
uva	uva
uè uè	wˈəwˈə
uèrra	�orra
uéh	wˈe
uócchio	ɫukːi
uósemo	vosamav
va	la
vacca	vˈakə
vaiassa	vˈaɪəs
valanza	balantsa
valé	valˈe
varca	bˈarka
varva	baldʒa
vascia	vˈaʃa
vascio	bˈaʃ
vaso	vˈɑsˈɑ
vattere	vatra
vecchie	ˈveɪ
veco	bˈeɪkə
vede	vˈeɪɾɐ
vedé	vd
vellicolo	bɔjˈlɪkɔlɑ
vellìculo	veliko
venuta	vˈonˈuta
venì	vini
via	mˌiːɾ
viche	vˈiːkə
vicienzo	vˌiːjˈeːntsɛ
vico	mika
viecchio	bʲekʲi
viento	jɛnˈtɑ
viernarì	bienlani
vierno	vʲerʲla
virza (verza)	pˈiːɾtsɐ
vita	ljˈtˈam
viulètto	njulˈɛtːa
viérno	vjern
vo	v
vocca	vˈokːɐ
voce	buuʃu
voglio	vˈɔʲɐ
volo	boːla
vonno	von
vorpa (volpe)	vompɐ
vosta	bostˈa
vraccio	vrˈatʃ
vrognele	vrˈoɲɛle
vuje	buːjɐ
vulite	volite
vullente	vollente
vulà	vˈuːlˈa
vulé	volˈe
vulìo	voleˈe
vuommeche	voɦmai̯ke
vuosto	vost
vurria	au̯ʒɨʲa
vuò	vua
véne	vˈeːna
vévere	vɪvɪra
vócca	vˈukːa
zelluso	tsluːs
zen	zˈɛn
zimmaro	tsimˈmˈra
zinco	zˈɪŋ
zolfo	tsufo
zoza	tsortsa
zuffriere	tsufriere
zèbù	dˈebˈo
zùccaro	sukːana
zúccaro	sukːɑra
àvaro	avaɾo
è	ɛ
éssa	ˈeɪs
ìnneco	iːnnekɛ
ùrdemo	urdɐmɑ
