0 பூஜ்ஜியம் அல்லது சுழியம்	bʊjʃiʲam bʊjʃiʲam alladɯɕoːʋijam
எடுத்தால்	nɾˈton
எடுத்தாளாம்	ɛːɽɨt̪ːɑːəɾ
எடுத்துக் காட்டாக	ɛt̪ːuk̟ gɖːɑːg
எடுத்துக்கோங்களேன்	jɛtukːoːŋɾiːn
எடுத்துக்கோயேன்	jeɾukːoːˈjeːn
எடுத்துச்செல்லக்கூடிய	ɪɖut̪ːɪtʃʃelːɐkːkɔːɖɪjeː
எடுத்துப் பொருளுக்கு	ɪɻːt̪ːup̚ poːɾʊɻɯkːu
எடுபிடி	ɾɐɖɪbɪɾi
எடுப்பதூஉம்	ɛupːɐd̪uːʋaum
எடுப்பானா	ɛɖɯpːaːnm
எடை	ˈeɪdˈaɪ
எடையும்	jɪɖai̯um
எட்டாதான்	jɛɾːɑːtaːn
எட்டியவை	ɛːʈiɛʋaɪ
எட்டு	jɛtːu
எட்டு {et-tu}	jɛt̪ːʌ
எட்டுக்குடி	ɛːʈːɯkːɔɖiː
எட்டுமா	jætnˈumˈaː
எட்டுமோ	jɛʈːumɔː
எட்டுவகைகளாகப் பிரிக்கப்பட்டுள்ளன	ɛːɾːʋɐkaɪgɐɾɐgɐp̚ peɾiikːɳpːʈːɭa
எண்	n
எண் எழுத்து இகழேல்	ɛn ɛɻut̪ːugɯ ɪkːɐɻeːj
எண்கணக்கு	ɛɳgɐɳɐɛɾɑː
எண்கள்	lakˈal
எண்குணத்தான்	eɳkɐɳɐtaːn
எண்கோணம்	enkɔːn̪
எண்ண	ɛnˈnɑ
எண்ணங்கள்	ɛnːŋgɯ
எண்ணப் படுவதொன்	enːpːɾijuvɐdon
எண்ணம்	jɐɳlɐm
எண்ணம் என்னும் ஆசைப் படகு	ɛɳːɯ ɛnːu ɑːgɑːpaɖɐgɯ
எண்ணாத	aɳːt̪
எண்ணாதே	ʝornat̪t̪e
எண்ணிக் கையில்	enːikːəjɭ
எண்ணிக் கொடுள்ளவா	ɛnʲikː kɔɖuɭ̪ʋaːm
எண்ணிக் கொளல்	ɛɳn̪ik̟ kɔɭɐɭ
எண்ணிக்கை	niki
எண்ணிக்கைக் கட்டுப்பாடும்	ɛɳniʈkaɪkː gəʈːup̚ paːɖum
எண்ணிக்கைக்கு	enːi̠kːkɯː
எண்ணிக்கையால்	enmɪkːajaːl
எண்ணிக்கொண் டற்று	ɛnɐkː kɔɳɖɐrɯ
எண்ணிக்கொண்டற்று	ɛnɐkːkɔɳɖat̪ːu
எண்ணிச் செயல்வேண்டும்	eːɳn̪itʃ tɕeːɭ ʋeɳɖu
எண்ணித் துணிக	enːit̪ d̪ɾɐgə
எண்ணியார்	ɛɳːnɛːɑːr
எண்ணு	jɛnːu
எண்ணுகிறேன்	ɛnnuhirɛn
எண்ணுப் பெயர்	ɛnːu pejɾ
எண்ணுவம்	ɛɳɪʋɐum
எண்ணூறு {en-noo-ru}	ɛnːoːru
எண்ணென்ப	ɛɳənb
எண்ணெய்	jˈɛnneɪ
எண்ணை	ɾəɳə
எண்பதத்தான்	jɛɳpːt̪ːəntː
எண்பது	ɛn̪d̪uɾɯ
எண்பத்து இரண்டு	enʋəɾɯɾəɳɖu
எண்பத்து ஒன்று	ẽn̪bɐt̪ːɾɯ
எண்பொருள	enpɾəgɑː
எதனால்?	ɛðɑnˈɔl
எதனுடன்	ɛt̪oːn̪ʊʈən
எதற்காக	ɪd̪ʌɾkɑːgʰu
எதற்கு?	ðɯ̞rkʊ̞
எதிரதாக் காக்கும்	jeːniːɾɐd kɑɣˈskum
எதிராக	jetiɾaːxæ
எதிராகச் செயல்பட்டார்	ɛt̪iɾaːɦɐtʃ ʃejɐl̪ʋɐɖːaːɾː
எதிரான	jɛdɪɾaːnɛ
எதிரி	jɛɾiːriː
எதிரெதிர்	ɛːdɪːrɛːɗiːr
எதிரே	et̪iɾeː
எதிர் திசை	ɛdɪ̞ɾ tɪsːɐjɪ̞
எதிர்கால	jet̪ildaːlɑː
எதிர்கொண்டு	efiɾkɔɳɖu
எதிர்கொள்	ɛt̪iɾkɭ
எதிர்கொள்ள	et̪irkoɭːt̪
எதிர்க்கடை	ɛt̪iɾgɖɑː
எதிர்க்கட்சிகளின்	ɪt̪ːugtʃːgətɕːiɾɐɻːiːn̪d̪
எதிர்பாராதது	ɛd̪ɯɾpaːɾaːd̪u
எதிர்பாராதவிதமாய்	ɛt̪iɾbaːɾɑːt̪ːʋid̪maːj
எதிர்பார்த்ததற்கு	ɪ̞ðiɾbäːrt̪aðɯ̞rkɯ̞
எதிர்பால்சேர்க்கை	ɛːd̪ɾʋɑːltɕeɾkeː
எதிர்ப்பட்ட	ɛt̪ɾpːʈː
எதிர்ப்பினாலும்	et̪iɾpːiːnaːlɔm
எதிர்ப்பின்றிப் பொறுத்துக்கொள்	ɪd̪il̪piːn̪d̪ri poːɾut̪ːukːoː
எதிர்மன்னசிங்கம்	jaʋirmannasiŋgɐm
எதிர்மறை	ɛːd̪iɾmɾaj
எதிர்லே	jɛ̀ːnhɪ̯ɾlːeː
எது	ɛðɪ̞
எதுகை	jeːˈdɯkaiː
எதுவரையில்	jeːd̪uʋɐɾajil
எதுவென்று	et̪uʋeːnrɯ
எதைப்பற்றியும்	ɪt̪aɪ̯p̚paːd̪ɾiɪu
எத்தகைய	jɪt̪ːəgɐjæːm
எத்தனை	at̪anai̯
எத்தனை போதும்	ɪt̪ːɳp̚ poːd̪um
எத்தனையேலும் பிரிவு	ɪt̪ːəɲeːlɨm piɾɪʋɯ
எத்தன்	aðˈten
எத்தல்	ˈætl
எத்தி இருஞ்சுனை	jʊ̃t̪ːi̯ iru̯ɳtɕoːn̪n̪a
எத்திசையும் புகழ் மணக்க	jt̪ːiʃɐɪ̯ːm poːgə maɳɐgə
எத்தோ நின் அன்புடமை	ɛtːoː n̪ɪ̯ əːnbuɖəmaɪ
எந்த	il
எந்தன்	jændæn
எந்திரன்	ɛnd̪iɾan̪eːs
எந்தெந்த	ɪ̞ndɛndɛ
எந்நாளும்	ɛnːɑːɭum
எனக்காக	ənakkaːɣ̟ə
எனக்கு	enak
எனக்குரை	jænˈakːiːɛrˈsˈɑmˈɑ
எனது	enɾɯ
எனது கார்	ɛnːɐd̪ɯ kaːr
எனத் தெரிகிறது	ɛnɛ tɪrɪ̞girɪ̞ðɯ̞
எனப் பல்லுயிர்	ja ne pɐlˈlɔ jeːɾ
எனப்படு வார்	ɛːnɐp̚ paɖuvaːəɾum
எனப்படுஞ்	ɛn̪ɐpɐɖuɲdʑ
எனப்படுவார்	ɪnɐpːɖuɑːr
எனலாம்	jɪ̞næːlɑːm
எனாத படி	ijːnaːnd̪ bɽiː
எனின்	jænɨ̯n
எனுமிடத்தில்	eːn̪uːmiːɖʈiɭ
எனைப்பகை யுற்றாரும்	ɪəɪ̯ pəgjʊtrɐɾum
எனைவகையான்	jɛːnɛːwəzajɑn
என்	ɪn
என் உளமே புகுந்த	ɛn ʊɻəmeː pugund̪
என் கண்ணில்,	ɛn kɐɳɪl
என் கழுத்து	ɐn ɔɻʊt̪mai̯lː
என் னெஞ்சு	jɛn men̪tɕɪ
என் பவ பாசம்	ɛnbʋɐpaːs̪m
என் வீட்டில்	ən vˈiːtl
என்கிறாயே	jɛ̃giːrɑːjeː
என்குற்ற	ɛnkɾː
என்ன	ɑmɑ
என்ன {en-na}	jɛnː
என்ன என்ன	jɛnːæ jɛnːæ
என்ன குறையும் இலோம்	ɛnːɑ koɾajum iloːmu
என்ன பண்ணறே	naː pənɾa
என்ன வேண்டும்	saɪmˈjːtnˈɑːmeːd̪ːaw˧
என்னசெய்வான்	jnsˈɪfwɑːn
என்னச் சிலை குலவி	ɛnːɐs tɕʰilãɪ̯ kuɭəʋi
என்னத் திகழ்ந்து	ɛnːɐt̪ːgiɾɐɳɖu
என்னத்துக்காக	enːt̪uɭkaːɣ̞u
என்னத்துடன்	enːt̪suɖɐn
என்னப் பொழியாய்	ɛn̪ːp̚ɻiaːj
என்னானை என்னரையன்	ɛnːaːn̪aɪ ɛn̪ːɐɾɐjɐn̪
என்னிடம்	ɛnːid̪um
என்னுடைய	ɛnːoːɖɐj
என்னுடைய ரேனும்	irnːuɖajjɐɾiːiːnum
என்னுடையரேனும்	enːuɖɛjrn̪um
என்னும்	jɛnːum
என்னுரிமை	jenːurimaj
என்னென்ன	ennɛnne
என்னே என்னே	jɛnːæe̞jɛnːæe̞
என்னே துயிலின்	jɛnːeː tʊi̯ɾi̯n
என்னை	jænːæj
என்னொருவன்	ɛnːɾʊʋən
என்பது திறவோர் காட்சியில்	ɛnɯɾɯ d̪iɾɐʋoːr gɑːɖtɕːi
என்பதைக் காட்டும்	enbd̪ak gɑːʈːum
என்பன	enbana
என்பனவற்றை	jn̪baːn̪maːd̪ɾaɪ
என்பனவாய	enbənʋaːj
என்பவன்	laβ̞aβ̞an
என்பவரால்	ɛnʋɐʋːɐɾɑːl
என்பவருக்கு	ənʋːʋɐɾgu
என்பவர்	en
என்பவர்களைக் குறிக்கும்	enpɐʋɐɾgɐɪkː kɾikːu
என்பி லதனை	jɛn biːlaːd̪aːnɛ
என்போர்றெவ்வுயிர்க்கும்	ɪnboːriʌbːiːɾʊaːm
என்ற	enɾɐ
என்றதாம்	enrɐtaːm
என்றது	ɛn̪ɾəd̪u
என்றதோ	ɛn̪ɾʌt̪oː
என்றற்றால்	ɛnˈɾətɾaːl
என்றலும் நாணாமே	ɛn̪ɾəlʌm n̪aːɳaːmeː
என்றவர்	nɾəβ̞
என்றானது	ɛn̪ɾɑːn̪ʋɯ
என்றானாம்	ɛnɾaːn̪aːm
என்றாய்ந்து	enrn̪d̪uː
என்றார்	ɛn̪ːɾɑːl
என்றிருந்ததே	en̪rɪiɳɖɖæeː
என்று	ɛndɾɯ
என்றுணரற்பாற்று	ɛndrɯʈːɾɐppaːtrʊ
என்றும்	jɛnʒuːn
என்றுரைக்கும்	iːnruːɾukːu
என்றென்றும் உன் சேவகமே	ɛn̪rɛn̪ːumːuːn̪ ʃeʋʋagːmeː
என்றேஎன்	ɛnːɾeːjɛn
என்றைக்கு	ɛn̪ɾaɪʲːu
எப் எம்	fm
எப்படி	əpɐɽiː
எப்படி {ep-pa-di}	jpːɖi
எப்படி இருக்க	ɛpːɐɖi iruːkː
எப்படி இருக்கீங்க	jɛpːɐɖi irkiːŋgə
எப்பணியும் செய்யற்க	jp̚ paɳɪjʌm ɕejɾɾkː
எப்பாடு	ɛpːɑːɖɯ
எப்பால்நூ லோர்க்கும்	ɪpːɑːl nʊɭoːɾkːu
எப்பால்நூலோர்க்கும்	jpːaːnbɔlɔrkːuːm
எப்பொழுது	ɛːpːɭəd̪
எப்போ	dˈiɹpˈoː
எப்போதிருந்து	ɪpːoːd̪ɪɾʌn̪d̪u
எப்போது	tɨu̯pːoːlˈðɯ
எப்போது வரை	baboːr
எப்போதும்	ɟepːoːt̪um
எமக்கு எம்கோன் நல்குதியேல்	ɛmːɐkːu jɛmkoːɳi ɳɑəlikːɯt̪ijɛɭaɭ
எமக்கேலோர்	jmukːɛloːr
எமன்	ˈɛmən
எமையேலோர்	jmajːeːloːr
எம் கை உனக்கல்லாது	jɛm kˈaj ʊnɐkː gɑlːɑːɖu
எம் கொங்கை	ijɛm kɔngai̯
எம் கோன் நல்குதியேல்	əm koːn ɳɑɫ gud̪ɪeːɭ
எம்.ஜி.ஆர்.	mgɾ
எம்கோமான் அன்பர்க்கு	əm koːmaːn ɐnɯɾɯkːu
எம்பாவாய்	ɛmbaːli
எம்பிராட்டி திருவடிமேல்	ɛmbiɾɑːt̪ːik d̪iɾʊʋɐɖi meːl
எம்பெருமாட்டி யசோதாய்	ɛm peːru maːt̪ːi iʃodaːi
எம்பெருமான்	ambɛrˈmɔn
எம்பெருமான் என்றென்றே	ɛm peːruːmaːn ɛn̪ɾenɾeː
எம்பெருமான் நந்தகோபாலா	ɛm peːruːmaːn n̪d̪gəgɔːpɑːɭ̆ɑːm
எம்மட்டோ	jɛːmat̪oː
எம்மாத்திரம்	jɛmmaːt̪ːiɾɐm
எம்மை ஆளுடையாள்	jɛmːaɪ ɑːɻɖaiɑːɭ
எம்மைத் தலையளித்து	əmat taːlaj ɐɻt̪ːu
எயிறு	jɪ̞rɪ̞
எய்தற்கரியது	eːɪd̪ɾgɐɾijɐdɯ
எய்தல்	eiðəl
எய்திடும்	jejɾigum
எய்யாமல் காப்பாய்	ɪiːjɑːməl kaːpːaːj
எரிகிற வீட்டில் பிடுங்கியது லாபம்.	əɾʊgviɾ ʋiːʈiɭ lɪɖigɪɪ ɭaːp̪m
எரிக்க	jɪrjkæ
எரிதல்	ɛːɾiːɖɐl
எரித்த	ɪ̞rjɪtːæ
எரிநுதுப்பேம்	jirinɵdupːəiːn
எரிந்தது	geːɾin̪d̪ɐdu
எரிந்தான்	irɪndaːn
எரிமலை	jæɾimæ̞lːai̯
எரிமுன்னர்	jərjmunnəaɾ
எரியாது	jɛɾijɑːt̪
எரியுதடா	ɛrjuːdaː
எரிவது	jriːbdɯ
எரு	jɛru
எரு அடி	ɛːɾʊ əɖɪ
எருது	jɯɾɯdɯl
எருமை	eɾumɛj
எருமை {e-ru-mai}	jɛrːumajɛ
எருவாக	jɾʊɑːg
எறி	jɛɾiː
எறிக	jæriːhæ
எறித்த	geɾit̪t̪e
எறிந்தால்	ɛːɾiːn̪d̪ɑːɭ
எறிபடுமா	ɛɾɪbɖɯmaː
எறிபடும்	ɛrriːɾeɖum
எறியும்	erijɯm
எறும்பீஸ்வரர்	jæɾumbiːgɪ̞sʋaɾæɾ
எறும்பு	jeɾumbu
எறும்புக்கு	ɪɾːumːɾʊkːɯ
எறுழ்	r
எற்றற்றே	jɐt̪ɾətɾe̞
எற்றுக்கு உறங்கும்	ɛəɾrɨkːu ʊɾəŋum
எற்றுள்ளும்	jˈɛtlˌum
எற்றைக்கும் ஏழ் ஏழ்	ɛːt̪ːrkːum eːɻeː
எலி	ɛˈliː
எலிக்குஞ்சு	ɛlikːuɲɖuː
எலியை	ɛliːjɑi
எலிவளையைக்காக்கும்	ɛliʋɐikaːkːum
எலுமிச்சை	jæ̹lɨmɪ̞tʃːɐj
எலுமிச்சைப் பழம்	lumitɕːəj paɻəm
எலும்பு	alempu
எலும்புத்தூள்	jɐlmput̪ːuːɭ
எல்	dʒoːs
எல்காட்தகவல்தொழில்நுட்ப	ɛlkaːrd̪gɐʋɐɭɖoɯɖuɖuʈpa
எல்லாப் பண்ணிற்கும்	ɛlːɑːp̚ paɳːiɾkːu
எல்லாப் புகழும்	ɛlːɑ pə gəɾum
எல்லாப் பொருள்முடிவே	ɛlːɑː pɔɾul muɖiʋeː
எல்லாம்	jælːɑm
எல்லாம் ருசி	ɾɑm ɾusɪ
எல்லாரும் போந்தாரோ	ɛlːɑːrʊm poːnd̪aːɾoː
எல்லாரும் வந்தாரோ	ɛlːɑːrʊm ʋɐn̪d̪aːɾɔː
எல்லாரும் வந்து நின்	ɛlːɑːruːm ɑn̪d̪u n̪iːn̪
எல்லே இளம் கிளியே	ɛlːeː ɪɻəm gɪɻiʝeː
எல்லை	ənlˈeɪ
எல்லைக் கோடு	ɛlːaɪkoːɖu
எல்லைக்குக் கீழே	jɛlːaɪkːu kiːɾeː
எல்லைக்குக் கீழ்ப்பட்ட	ɛlːækːɯkː kiɻpːɖːaːv
எல்லைக்குட்படுத்து	ɛlːai̯kːkɯɖpːɖʊɖu
எல்லைக்கோட்டில்	ɛlːaɪ̯koːʈːil
எல்லைப் பரப்பளவு	ɛlːai̯p̚ paɾapːɾɐʋu
எல்லோம் அறியோமே	ɛlːoːm ərijoːmeː
எல்லோருக்குமுரிய	ɛlːɔɾʊkːuːɔɾiːjɑːr
எல்லோரும்	ɛlːɔrʊm
எளிதற்ற	elʈɐrtaː
எளிதாக	jeːliːd̪ɑːgeːeːʔ
எளிதாக்கப்படுகிறது	ɛlɪd̪aːkːpːpaɖʊgirɖu
எளிதாக்குவதற்காக	elɪdaːkːɯʋəd̪ɾkːɑːgə
எளிதில்	ɪɭɪd̪il
எளிது	ɛɻɪd̪u
எளிதுமன்	ʃeːˈɾid̪ueːmaːn
எளிமை	jlɪmeɪ
எளிய	jeːliːjeː
எள்	ˈɛ
எள்ளற்க	ɛ̃nːlˈɑkːɑ
எள்ளல்	ɛɭːɑːl
எள்ளாத	jɛlːɑːtɛ
எள்ளுப்பேரன்	əɭːupːpeːɾən
எள்ளுப்பேர்த்தி	əɯpːeːrti
எழால்	rˈɑl
எழிலன்	ɛɻiɭan
எழில்	jeɾil
எழில்நலம்	eɻimnaɭəm
எழு	œlˈy
எழுச்சி	yu˨˩˦tɕʰi˥˧
எழுச்சிமிக்க	ioɾtɕimika
எழுத	eːɽʊzɐ
எழுதப்பட்டிருக்கலாம்	ɛɻʊɖɐp̚paʈːɪɾʊkːɑːm
எழுதப்பட்டிருந்தது	eɻʊɖɐp̚pa�ʈːiɾʌnt̪ɐd̪u
எழுதப்பெற்ற	ɛːɻʊd̪p̚peɾːaːm
எழுதப்பெற்றுள்ள	ɛɻʊd̪p̚peɾːuɭɭa
எழுதினவன்	ɛɻʊːˈdiːnɐvɐn
எழுதியதை	ɛːɾɑːd̪ɪjɐɾi
எழுதியவர்	elrɪd̪ieːbeːr
எழுதியும்	ɛːɾʊɖːijum
எழுதிவன்	jɛɖɯdiːʋɑːn
எழுது	ɫydy
எழுதுகிற	jɾudɯpiːrɑjɑm
எழுதுகிறவர்	ɛjɻʊd̪ueːkeːɾavɐɾ
எழுதுகோல்	rdˈokoːl
எழுதுவதற்குரிய	ijɖud̪uʋɐd̪akːɔɾijɛ
எழுதுவானா	ʔiːtˤwaːnˈɑ
எழுத் அணிகம்	ɛːʈːaɳiɣm
எழுத் உண்ணாக்கு	jɯ̞rɯ̞tː nnaːɖu
எழுத்தர்	ɪɻupːɑː
எழுத்தறிவு	jɛɻʊt̪ːɾɪʋː
எழுத்து	jaɾˈtɯ
எழுத்துக் கல்வெட்டுக்கள்	ɛtːuk gɭaʋeːʈːukigɐi
எழுத்துக்களுக்குப் பின்னர்	iɻʊt̪ːigɐɻukːup̚ piɳɾ
எழுத்துத்தான்	ɪɻut̪ːutaːnm
எழுத்துமுறை	ɭut̪ːɯmuɾai
எழுத்துமுறைகளிலிருந்து	jiɻut̪ːjɯɯɾaɪnd̪u
எழுத்துமுறைகளில்	ɛɻʊt̪ːumuɾaɪgɐɻɪ̯
எழுத்துமுறைகள்	jɪt̪ːɯmʊɾɐgəɭ
எழுத்துமூலம்	n̪aɻit̪ːumɔːlɐm
எழுத்துருக்கள்	ɛɻʊt̪t̪ɾukːɭ
எழுத்தென்ப	ɛt̪ːɪnb
எழுத்தெல்லாம்	mɪɻʊd̪ɛlːɑːm
எழுநூறு {e-zhu-noo-ru}	ɛɻɯ n̪oːɾu
எழுந்தருள்வது	jɪɻun̪d̪əɾuɭʋɾɐd̪
எழுந்திராய்	ɛɻun̪d̪raːj
எழுந்திராய் கொம்பனார்க்கு எல்லாம் கொழுந்தே குல விளக்கே	ɛɻiɳɖaɪkːu ʋɐnəːɾgeɭːɑːm poɖu ɖeːgəɭː ʋiɭakːkeː
எழுந்திரு	aɻdr
எழுந்துடையாள்	jɪɻumɖuɖaɪɑːu
எழுபது	jɾɯb̪d̪u
எழுபத்து இரண்டு	jɑlɯp̚t̪ːjɾɐɳɖ̪
எழுபத்து ஒன்று	jɐɻupːtːu ɒn̪d̪u
எழுப்புகிற	jɪlɪpːukiraɪ̯
எழுப்புவான் வாய்பேசும்	jɛɻupːpːvaːn ʋaːjbeːsum
எழுமையும்	jɛɾumai̯m
எழும்பூர்	ɛɻumbuːr
எழுவாய்	ʃtˤʃɑːj
எழுவாள்	jˈɛloːəi
எவன்	ɛvɛn
எவன்செய்பு	jɛːʋɐnsɛjːbuː
எவருக்காகவும்	jɐvɐɾugkɑːgɐˈm
எவர்	ɛvɚ
எவ்வ	javaː
எவ்வளவு	joːʋːlɑːʋvː
எவ்வளவு {ev-va-la-vu}	ɪɛuzɑɾɐvu
எவ்வழியில்	jɐuʋɐɻɪ
எவ்வினையும்	jɛvɨɪnɛjʊm
எஸ்	jˈɛs
எஸ். ஆர். ஸ்ரீனிவாச வரதன்	eːs ɑːr st̪iniː ʋaːɾsɑː ʋɐɾɐd̪eːn
ஏ	ɛ
ஏ. ஆர். ரகுமான்	ɑj ɑːr ɾɑɣmaːn
ஏகம்	iɯm
ஏகினான்	oːʱiːnaːn
ஏக்கம்	eʃm
ஏக்கற்றுங்	ejkːəʈːum
ஏசு	vizu
ஏச்சு	nɛ
ஏச்சும்	jɪ̯tʃːum
ஏடு	jeːɖu
ஏட்டறிவு	ɛːʈːɐɾʋu
ஏட்டிக்குப் போட்டி	e tiki pɔɭɭi
ஏட்டில்	eːt̪il
ஏட்டுச் சுரைக்காய் கறிக்கு உதவாது.	eːʈːitɕiɾaɪkːaːjkɾʊkːu ʊɖʋgəɖu
ஏணி	ɾɛːˈniː
ஏணி {ae-ni}	eːniː
ஏதப்பாடு	jɛːt̪p̚paːɖu
ஏதவனூர் ஏதவன்பேர்	ɪd̪ɐʋən uːɾɪd̪ɪd̪əʋən peːɾ
ஏதவனைப் பாடும் பரிசேலோர்	eːd̪ɐʋɐɳɑb paːɖu paɾusɛːlɔːr
ஏதாவது	æːt̪aːvɐd̪u
ஏதில	jeːɖɪl
ஏது	dɯ
ஏதேனும் ஆகான் கிடந்தாள்	ɛːɾeːnumaaːkːaːnː gɪɖ̪nd̪ɑːɭ̪
ஏதோ	edo
ஏத்திப் பறை கொள்வான்	ɛːt̪ːip̚ paɾakːoɻɪʋɑːn
ஏந்தல்	jemtal
ஏந்திற்று	eːn̪d̪ibt̪ː
ஏந்தும்	eːn̪d̪u
ஏந்தும் தடக்கையன்	eːn̪d̪um t̪ɾɐk pa
ஏனடி	dʒoːsˈ
ஏனம்மா	emma
ஏனை	jæne̞
ஏனை யவர்	æːn̪a jɔːˈvɑːr
ஏனைச் சிறுமைக்கும்	eːn̪tʃːi ɾumai̯kːu
ஏனோ	keen
ஏனோர்க்கும் தம்	n̪oːt̪m t̪am
ஏன்	m
ஏப்பமும்	eːpːəmum
ஏப்பம்	aɪpːɐm
ஏப்ரல்	eːpɾl
ஏமரா	eːmɐɾɑː
ஏமாற்றப்பட்டவர்	ɦimaːtɕːbpaʈːaɾɐ
ஏமாற்றம்	imatram
ஏமாற்றுதல்	əmaːatːɾʊd̪ɭ
ஏமாற்றுபவள்	eːmaːʈʂbʌʋaɪ
ஏமாற்றும் திட்டங்கள்	æːmaːtrʊm ɖiʈːaŋɭ
ஏமு	jɛ˥˥
ஏய்ப்பவன்	ɛjpəvən
ஏரி	iri
ஏரிகளில்	ɛːɾiːgɐn
ஏரிகளும்	jeːɾiːgəɾum
ஏரிகள்	eːriːkai
ஏரின்	eɪrɪn
ஏர்	eɾ
ஏர் உருவப்பூம்புனல்	ɛːrʊɾʊʋapː puːmpon̪ai
ஏர்போர்ட்	ɒːɾpˈɔːt
ஏர்லைன்சின்	ɾɑːrlajːmsin
ஏர்வாடி	əɾʋɑːɖiː
ஏறவேணும்	eːɾʋeːɳum
ஏறாதா	ɛːɾɑːtaː
ஏறாமல்	eːɾaːməl
ஏறினான்	ɾaːnɾn
ஏறினார்	jɛrɪˈnɑːr
ஏறினால் ராவுத்தன்	ɛːɾn̪aːj ɾɑːvuʈːən
ஏறியது	jɾiːt̪ːə
ஏறு	ɾɯ
ஏறுதழுவுதல்	beːrɯʈːɐɻɯʋɯd̪l
ஏறுபொழுது	piːrːɯpɯɫˈðɯ
ஏறுமா	eːɾumɑː
ஏற்கா	ɪɾkːaːm
ஏற்குமா	ɪɾˈkuma
ஏற்கெனவே	eːɾkːenaːbeː
ஏற்படலாம்	ɛːɾpɖɑːm
ஏற்படுத்தப்பட்டன	ɛːɾpɐɻuʈːbpaɖːaː
ஏற்படுத்தினர்	ɛːp̚ɖitɕːiɳɐɾ
ஏற்படுத்தியுள்ளது	ɛːɾpɖut̪ːuukːɯɭɯ
ஏற்படுமாறு	ɪɾpːɖumaːruː
ஏற்பட்டு	ɛːɾpːɐʈːɯ
ஏற்பட்டுள்ள	eːɾpːʈːuɭɭaːr
ஏற்பட்டுள்ளன	ɛːɾpːɖːuɭ
ஏற்பது	ɪeːɾpɐdu
ஏற்பது இகழ்ச்சி	ɛːɾpːɯɖu ɪɣɐɖtɕːiː
ஏற்பாடு	ɛɾpɑːɽɯ
ஏற்றதல்லாத	ɪɾːɑɯɭːɑːd̪
ஏற்றதாக	ɛːɾːɖəɑːgə
ஏற்றதாதல்	ːeːʈːɾɐd̪ɑːd̪ɑːl
ஏற்றபடி	jət̪ːr̪əbɾiː
ஏற்றம்	eɾtʃɐm
ஏற்றல்	jɪːtɹəŋ
ஏற்றால்	eːt̪ːrɑːl
ஏற்றி	et̪ri
ஏற்றிச்செல்லும்	əɖʈrɪtʃːɛlːum
ஏற்றின	eːɖɾiːn
ஏற்றிய	eːʈriʝɐ
ஏற்றுகிற	eːt̪ːrɦiɾ
ஏற்றுக் கொள்	jɛː˩˦ tɕiː˥˩ kɔɭˈʊ
ஏற்றுக்கொண்டதற்கு	jɛːtrʊkːkːɔɖgɐɾɐkːɯ
ஏற்றுக்கொள்ளுதல்	eːʈrukːjɭːud̪ɐɭ
ஏற்றுமதி	eːt̪ːrimt̪d̪i
ஏற்றுமதியாகும்	eːt̪ːrʊmd̪ɪəːgum
ஏற்றுமதியாயின	jɛtɾuːmɐɾiajɪnːaːm
ஏலக்குழலி பரிசேலோர்	aɪɭəkː kuɻəɭi pariɕeːloːr
ஏலம்	ɪlˈm
ஏலோர் எம்பாவாய்	a lo ɾe emβaβaj
ஏளனத்திற்கு	æɻʊ̃t̪ːrkːɯː
ஏளனம்	æːɻən̪
ஏழாம்	jɾaːm
ஏழிலை	jˈɛɹilˈeɪ
ஏழில் இயம்ப	eːɻɪl̪ imbɐ
ஏழு	eɾɯ
ஏழு {ae-zhu}	jɛ˥˩ʐɚ˥˩
ஏழு லோகமும்	eːɾʊ loːgəmum
ஏழு வண்ணங்கள்	eːɻvʊəiˈnɑːŋɑ
ஏழை பங்காளனையே	ɛɻɪpːŋgɑːɭn̪æː
ஏழையான	ʔjɛːɕl̪aːʔjɑŋnaː
ஏழ்மை	jˈɛlmˈeɪ
ஏழ்மையான	ʝərmːajɑːnħɑm
ஏவற்பாற்றன்று	ɛːvɐɾpt̪ːruːɳɾʌgːu
ஏவலாள்	əɪ̯ʋɐɭɑːɽ
ஏவல்	ɛːvɐl
ஏவாள்	ɛɔɾ
ஏவு	jɛvɨ
ஐ	ɛjˈ
ஐஏஎஸ்	ajɑjjeʃ
ஐங்குறு	aɪŋguɾuːp
ஐங்கோணம்	aɪ̯n̪k̟oːnamː
ஐசுவரியம்	aɪsʊʋɐɾm
ஐதராபாத்து	aɪðəɾabot
ஐநது	ai̯n̪d̪u
ஐந்தவித்தான்	ai̯n̪d̪ʋgitaːn
ஐந்தாவது	ai̯n̪d̪abɯɖɯ
ஐந்தின்	ajənʈːin
ஐந்திலை	ajnɖilaj
ஐந்து	ai̯n̪d̪u
ஐந்து {ain-dhu}	ai̯n̪d̪u
ஐபிஎஸ்	ˈaɪpˈeɪjˈɛs
ஐம்பது	fai˥˩bɤd˥əʁ˧˥
ஐம்பத்து இரண்டு	ɐɪ̯p̪t̪ːɯ iruɳɖɯ
ஐம்பத்து இரண்டு (52)	aɪmbt̪ːu ɾɐn̪ɖɯ
ஐம்பத்து ஒன்று	əmput̪ːu uɳzɯ
ஐம்பத்தொன்பது	əmpət̪ɖonb̪d̪u
ஐம்பொன்	aɪmpɔn
ஐயங்கார்	əjːŋɑːr
